Fp1   5,1556 5,1369 4,4787 3,1245 1,1693 -1,0325 -3,0177 -4,4896 -5,4102 -5,8510 -5,8249 -5,2569 -4,0673 -2,3003 -0,2196 1,7095 2,9837 3,2816 2,5819 1,1207 -0,7081 -2,4474 -3,6857 -4,1446 -3,6981 -2,3715 -0,3926 1,7552 3,4395 4,1773 3,8727 2,7654 1,1981 -0,5412 -2,2118 -3,5721 -4,4181 -4,6625 -4,3532 -3,6232 -2,6138 -1,4018 0,0167 1,6441 3,3722 4,9642 6,1421 6,6675 6,3690 5,1894 3,2758 1,0212 -1,0169 -2,2888 -2,4388 -1,4619 0,2320 1,9599 3,0988 3,3818 2,9338 2,0652 1,0312 -0,0753 -1,2654 -2,5145 -3,6875 -4,5916 -5,0687 -5,0179 -4,3665 -3,0616 -1,0986 1,4447 4,3761 7,3415 9,8210 11,2849 11,4144 10,1832 7,8161 4,7322 1,4541 -1,5009 -3,6757 -4,7221 -4,5061 -3,1610 -1,0080 1,5565 4,1246 6,3066 7,7615 8,2634 7,7873 6,5266 4,7974 2,9119 1,1171 -0,4158 -1,6110 -2,4888 -3,1041 -3,4776 -3,5841 -3,3698 -2,7726 -1,7763 -0,4934 0,8090 1,8174 2,3502 2,4468 2,3295 2,2871 2,5141 2,9906 3,5071 3,8419 3,9520 3,9935 4,1281 4,2923 4,1553 3,3350 1,6972 -0,5048 -2,7140 -4,2812 -4,7036 -3,7981 -1,7302 1,0669 4,0122 6,5361 8,2582 9,0847 9,1574 8,7133 7,9959 7,2459 6,6446 6,1914 5,6969 4,9574 3,9456 2,8803 2,1558 2,1561 3,0357 4,6047 6,4162 7,9980 9,0421 9,4693 9,4127 9,1215 8,7935 8,4784 8,1440 7,7784 7,3922 6,9770 6,4926 5,9030 5,2769 4,8510 4,9501 5,8209 7,4953 9,7559 12,2371 14,5887 16,5457 17,8825 18,3967 17,9997 16,7939 15,0181 12,9288 10,7364 8,6132 6,7090 5,1302 3,9326 3,1698 2,9330 3,3116 4,3053 5,7689 7,4326 8,9703 10,0996 10,6997 10,8629 10,7874 10,5914 10,2483 9,6754 8,8301 7,7485 6,5480 5,3722 4,2933 3,2508 2,0937 0,7213 -0,7779 -2,1407 -3,1018 -3,5218 -3,3293 -2,4203 -0,7062 1,7342 4,5695 7,2708 9,3182 10,4534 10,7382 10,3893 9,6183 8,5732 7,3401 5,9723 4,5104 2,9871 1,4565 0,0404 -1,0916 -1,8166 -2,1135 -2,0306 -1,6292 -0,9328 0,0818 1,4094 2,9289 4,4442 5,8145 7,0100 8,0331 8,8178 9,2353 9,1986 8,7434 8,0090 7,1670 6,3557 5,6504 5,0950 4,7681 4,7986 5,2923 6,2174 7,3612 8,4010 9,0120 8,9510 8,1351 6,7055 5,0146 3,4979 2,4800 2,0282 1,9460 1,9390 1,8650 1,8642 2,2590 3,3143 5,0359 7,1336 9,1562 10,6948 11,5149 11,5806 11,0328 10,1234 9,0918 8,0732 7,1008 6,1519 5,1927 4,2206 3,2870 2,4869 1,9378 1,7564 2,0010 2,6060 3,3854 4,1120 4,5991 4,7614 4,6746 4,5939 4,8332 5,5444 6,5894 7,6126 8,2449 8,2730 7,6625 6,5068 5,0065 3,4536 2,1836 1,5209 1,6959 2,7243 4,3356 6,0499 7,3776 8,0080 7,8925 7,2072 6,2088 5,0855 3,9239 2,7952 1,8450 1,2776 1,2627 1,8533 2,9212 4,1587 5,2106 5,8434 6,0344 5,9809 6,0185 6,4447 7,3505 8,5677 9,7339 10,4420 10,4281 9,7021 8,5400 7,3596 6,5495 6,3126 6,5996 7,1749 7,7535 8,1048 8,0999 7,7391 7,1661 6,6348 6,4226 6,7056 7,4539 8,4269 9,2878 9,7809 9,8591 9,6854 9,5295 9,6379 10,1262 10,8991 11,6545 12,0420 11,8616 11,1300 10,0332 8,8622 7,9408 7,5202 7,6650 8,1938 8,7376 8,9173 8,5717 7,8893 7,2977 7,1674 7,5857 8,3815 9,3131 10,1932 10,8890 11,3105 11,4148 11,1798 10,6086 9,8009 8,9579 8,2511 7,6943 7,1728 6,5871 5,9415 5,2817 4,5913 3,8345 3,1071 2,6851 2,8993 3,9350 5,7068 7,9076 10,1833 12,2684 14,0012 15,2778 16,0248 16,2082 15,8525 15,0384 13,8714 12,4413 10,8284 9,1851 7,7970 7,0103 7,0579 7,9197 9,3182 10,8663 12,2775 13,4881 14,6007 15,7268 16,8952 18,0739 19,1823 20,0256 20,2771 19,6410 18,0724 15,8371 13,4217 11,4230 10,3964 10,6692 12,2449 14,8448 17,9980 21,1242 23,6491 25,1650 25,5396 24,8976 23,5268 21,7802 19,9881 18,3610 16,9324 15,6371 14,4562 13,4581 12,7156 12,2446 12,0424 12,1141 12,4060 12,7827 13,1459 13,5300 14,0228 14,6128 15,1462 15,4291 15,3677 15,0116 14,4846 13,9142 13,4378 13,2365 13,5120 14,3789 15,7292 17,2000 18,3052 18,6420 18,0622 16,7287 15,0335 13,4232 12,2090 11,4661 11,0941 10,9715 11,0675 11,4548 12,2290 13,3759 14,7004 15,8931 16,6325 16,6306 15,6730 13,7262 11,0784 8,3509 6,2747 5,3615 5,7068 7,0208 8,8053 10,5717 12,0031 12,9882 13,5666 13,8588 13,9709 13,9205 13,6695 13,1885 12,4458 11,3898 10,0524 8,7002 7,8328 7,9697 9,3763 11,8778 14,8419 17,4098 18,9013 19,0941 18,1987 16,6652 14,9781 13,4752 12,2440 11,1805 10,2103 9,4934 9,3939 10,2462 12,1376 14,8162 17,6988 19,9852 20,9278 20,1715 17,9235 14,8288 11,6652 9,0577 7,3407 6,5847 6,6986 7,4830 8,6018 9,5990 10,0709 9,8847 9,2492 8,5917 8,3520 8,7991 9,9100 11,3908 12,8860 14,1951 15,2775 16,0924 16,4936 16,3160 15,5706 14,5027 13,4041 12,3864 11,3768 10,2975 9,1696 8,0398 6,9160 5,8324 4,9045 4,2444 3,8624 3,7006 3,7412 4,0552 4,7446 5,8233 7,1311 8,3466 9,1061 9,1353 8,2779 6,4706 3,7985 0,6035 -2,5129 -4,8754 -5,9976 -5,7233 -4,1817 -1,6529 1,5607 5,2098 9,0700 12,8227
Fz    5,6090 5,6453 5,2575 4,3740 2,9912 1,2594 -0,5447 -2,1323 -3,2978 -3,9375 -4,0288 -3,6085 -2,7640 -1,6345 -0,4162 0,6491 1,3505 1,6199 1,5406 1,2347 0,7833 0,2527 -0,2550 -0,5947 -0,6199 -0,2634 0,3776 1,0078 1,2224 0,7257 -0,4724 -2,0685 -3,6665 -4,9605 -5,7784 -6,0406 -5,7337 -4,9200 -3,7387 -2,3686 -0,9601 0,4162 1,7554 3,0455 4,1948 5,0095 5,2453 4,7022 3,3156 1,2204 -1,2513 -3,6603 -5,5777 -6,6702 -6,7647 -5,9125 -4,4159 -2,7407 -1,3266 -0,4295 -0,0939 -0,2172 -0,6221 -1,1234 -1,5934 -1,9976 -2,3714 -2,7547 -3,1256 -3,3773 -3,3517 -2,9024 -1,9457 -0,4953 1,3123 3,2123 4,8601 5,9484 6,3141 5,9511 4,9681 3,5662 2,0149 0,5846 -0,5204 -1,1847 -1,3776 -1,1342 -0,5246 0,3613 1,4104 2,4767 3,3657 3,8640 3,8448 3,3483 2,5365 1,5944 0,6893 -0,0375 -0,5199 -0,8148 -1,0641 -1,3913 -1,8258 -2,2907 -2,6374 -2,7199 -2,4717 -1,9402 -1,2586 -0,5750 0,0079 0,4565 0,7917 1,0358 1,1611 1,1001 0,8178 0,3898 -0,0062 -0,2209 -0,2796 -0,3933 -0,8121 -1,6321 -2,7108 -3,7490 -4,4369 -4,5565 -4,0352 -2,9483 -1,4620 0,2234 1,9010 3,3859 4,5420 5,2864 5,5825 5,4631 5,0821 4,6852 4,4699 4,4852 4,6575 4,8626 5,0060 5,1083 5,3243 5,8437 6,7487 7,9465 9,2053 10,2385 10,8012 10,7922 10,2923 9,4915 8,6006 7,8268 7,3495 7,2555 7,5063 7,9758 8,5188 9,0474 9,5780 10,2075 11,0306 12,0515 13,1414 14,0906 14,7383 15,0622 15,1330 15,0086 14,7055 14,2373 13,6234 12,8635 11,9333 10,8230 9,5781 8,2916 7,0688 6,0144 5,2445 4,8823 5,0132 5,6299 6,6200 7,7895 8,9049 9,7537 10,1982 10,1816 9,6967 8,7853 7,5782 6,2973 5,1770 4,3646 3,8802 3,6492 3,5473 3,4173 3,0993 2,5116 1,7254 0,9331 0,3375 0,0938 0,3299 1,1369 2,4952 4,2117 5,9468 7,3556 8,2557 8,6649 8,7057 8,5212 8,2363 7,9210 7,5846 7,2069 6,7576 6,2108 5,5759 4,9015 4,2356 3,6070 3,0627 2,7033 2,6625 3,0376 3,7998 4,7452 5,5719 6,0641 6,2046 6,0973 5,8226 5,4191 4,9719 4,6314 4,5263 4,6877 5,0438 5,4613 5,8138 6,0438 6,1750 6,2675 6,3479 6,3786 6,2925 6,0440 5,6220 5,0527 4,4143 3,8325 3,4413 3,3207 3,4419 3,6747 3,8797 4,0195 4,1779 4,4828 5,0262 5,8283 6,8258 7,8892 8,8714 9,6425 10,0919 10,1370 9,7518 8,9811 7,9373 6,7909 5,7445 4,9735 4,5572 4,4543 4,5516 4,7459 4,9938 5,2996 5,6620 6,0401 6,3737 6,6290 6,8189 6,9917 7,2050 7,4864 7,7937 8,0170 8,0242 7,7275 7,1349 6,3382 5,4487 4,5625 3,7863 3,2679 3,1669 3,5810 4,5005 5,8088 7,2995 8,7133 9,8005 10,3736 10,3426 9,7225 8,6126 7,1692 5,6029 4,1783 3,1656 2,7639 3,0567 3,9951 5,4025 7,0230 8,5811 9,8311 10,6214 10,9477 10,9340 10,7421 10,4721 10,1220 9,6281 8,9487 8,1182 7,2449 6,4810 5,9810 5,8334 6,0066 6,3845 6,8521 7,3472 7,8670 8,4487 9,1179 9,8403 10,5247 11,0700 11,4022 11,4802 11,2815 10,8038 10,0887 9,2386 8,4016 7,7373 7,3701 7,3225 7,4765 7,6293 7,6095 7,3520 6,9111 6,4346 6,1149 6,1269 6,5462 7,2740 8,0545 8,6116 8,8010 8,6529 8,2978 7,8642 7,4192 6,9732 6,5271 6,0979 5,6953 5,3069 4,9240 4,5613 4,2556 4,0696 4,0887 4,3699 4,8719 5,4369 5,8550 5,9437 5,5801 4,7156 3,4281 1,9589 0,6704 -0,0544 0,0667 1,1037 2,8864 5,0805 7,2969 9,1758 10,4550 11,0270 10,9616 10,4635 9,7565 8,9635 8,0758 7,0336 5,8454 4,6453 3,6368 2,9662 2,6338 2,5271 2,5385 2,6592 2,9725 3,5602 4,4194 5,4630 6,5826 7,6951 8,7151 9,5014 9,8831 9,7655 9,1999 8,3623 7,5008 6,8584 6,5728 6,6336 6,9460 7,4136 7,9424 8,3923 8,5960 8,4577 8,0089 7,3656 6,6574 5,9854 5,3919 4,8487 4,3145 3,8164 3,4452 3,2732 3,3084 3,5180 3,8481 4,2112 4,5065 4,6856 4,7834 4,8681 4,9682 5,0470 5,0470 4,9588 4,8319 4,7204 4,6510 4,6567 4,8141 5,2199 5,9163 6,8244 7,7358 8,3675 8,4645 7,9167 6,8219 5,4473 4,1185 3,0952 2,4897 2,2724 2,3498 2,6378 3,0770 3,5993 4,1057 4,5028 4,7506 4,8326 4,6843 4,1916 3,2779 2,0088 0,6144 -0,6176 -1,4855 -1,9275 -1,9822 -1,7434 -1,3335 -0,8756 -0,4698 -0,1606 0,0866 0,3370 0,6052 0,8458 1,0085 1,0745 1,0623 1,0386 1,1235 1,4578 2,1331 3,1296 4,3111 5,4724 6,4053 6,9642 7,0949 6,8255 6,2578 5,5495 4,8489 4,2212 3,6399 3,0732 2,5896 2,3595 2,5507 3,2364 4,3630 5,7407 7,0453 7,9015 8,0549 7,5037 6,4759 5,3011 4,2723 3,5580 3,1944 3,1525 3,4043 3,9032 4,5216 5,0687 5,4093 5,5699 5,7197 6,0466 6,6339 7,4133 8,2144 8,8821 9,3635 9,6813 9,8327 9,7399 9,3197 8,6046 7,7711 7,0391 6,5443 6,2979 6,2249 6,1938 6,0224 5,5370 4,6799 3,5503 2,3299 1,1913 0,2735 -0,3054 -0,4553 -0,1592 0,4807 1,2445 1,8536 2,0713 1,7992 1,0909 0,0864 -1,0462 -2,1216 -2,9505 -3,3846 -3,3537 -2,8741 -2,0469 -1,0283 0,0397 1,0941 2,1450 3,2023
F3    3,5150 4,3724 4,8718 4,8264 4,1161 2,8134 1,1841 -0,4411 -1,8024 -2,7609 -3,2824 -3,4071 -3,2197 -2,8219 -2,3287 -1,8825 -1,6092 -1,5090 -1,4323 -1,2099 -0,7892 -0,2336 0,3738 1,0071 1,6901 2,4078 3,0128 3,2173 2,7181 1,4051 -0,5180 -2,6325 -4,5185 -5,8858 -6,5817 -6,5662 -5,9117 -4,7903 -3,4140 -1,9656 -0,5602 0,7618 2,0141 3,2093 4,2853 5,0676 5,3195 4,8397 3,5405 1,5052 -0,9936 -3,5587 -5,7732 -7,2782 -7,8355 -7,4006 -6,1678 -4,5115 -2,8371 -1,4460 -0,4875 0,0259 0,1735 0,0597 -0,2449 -0,7188 -1,3630 -2,1504 -2,9741 -3,6379 -3,9107 -3,6117 -2,6780 -1,1885 0,6469 2,5074 4,0138 4,8623 4,9523 4,3792 3,3379 2,0634 0,8061 -0,2210 -0,8991 -1,2146 -1,2343 -1,0577 -0,7592 -0,3672 0,1126 0,6674 1,2407 1,7162 1,9782 1,9954 1,8150 1,4861 1,0345 0,4952 -0,0942 -0,7428 -1,4903 -2,3123 -3,0769 -3,6090 -3,7844 -3,5777 -3,0517 -2,3224 -1,5216 -0,7634 -0,1236 0,3677 0,7191 0,9415 1,0123 0,8904 0,5778 0,1792 -0,1226 -0,2046 -0,1419 -0,1996 -0,6640 -1,6420 -2,9843 -4,3663 -5,4245 -5,8596 -5,5081 -4,3768 -2,6166 -0,4846 1,6856 3,5444 4,8128 5,3463 5,1589 4,4352 3,5272 2,8485 2,6710 3,0038 3,6489 4,3302 4,8186 5,0408 5,1165 5,2726 5,6999 6,4584 7,4607 8,4912 9,2650 9,5539 9,2990 8,6010 7,6474 6,6719 5,9056 5,4963 5,4723 5,7687 6,2625 6,8258 7,3951 7,9929 8,6781 9,4653 10,2741 10,9594 11,4175 11,6654 11,7966 11,8791 11,9252 11,9244 11,8479 11,6201 11,1222 10,2576 9,0223 7,5111 5,8826 4,3325 3,0696 2,2641 1,9964 2,2576 2,9877 4,0794 5,3579 6,6006 7,5921 8,1678 8,2351 7,7982 6,9750 5,9666 4,9859 4,1854 3,6209 3,2642 3,0213 2,7350 2,2249 1,3996 0,3555 -0,6645 -1,4190 -1,7520 -1,5675 -0,8067 0,5059 2,1964 3,9399 5,3895 6,3593 6,8717 7,0557 7,0598 7,0073 6,9487 6,8618 6,7018 6,4208 5,9693 5,3288 4,5315 3,6289 2,6671 1,7074 0,8654 0,3268 0,3002 0,8865 1,9547 3,1783 4,2324 4,9505 5,3002 5,2841 4,9394 4,4027 3,8936 3,6096 3,6383 3,9318 4,3366 4,6822 4,8848 4,9798 5,0561 5,1585 5,2438 5,2211 5,0187 4,6099 4,0218 3,3552 2,7729 2,4352 2,4111 2,6170 2,8549 2,9603 2,9350 2,9360 3,1529 3,7036 4,5987 5,7360 6,9261 7,9631 8,6774 8,9353 8,6473 7,8183 6,5752 5,1312 3,7232 2,5676 1,8287 1,5796 1,7830 2,3234 3,0619 3,8671 4,6210 5,2175 5,5792 5,6906 5,6164 5,4783 5,4005 5,4565 5,6364 5,8452 5,9415 5,7816 5,2727 4,4451 3,4631 2,5239 1,7577 1,2386 1,0507 1,2880 1,9876 3,0927 4,4697 5,9284 7,2399 8,1733 8,5411 8,2486 7,3261 5,9153 4,2262 2,5048 1,0218 0,0340 -0,2760 0,1660 1,2980 2,9080 4,6804 6,2587 7,3044 7,6119 7,2274 6,4480 5,6746 5,2072 5,1076 5,2069 5,2456 5,0503 4,6281 4,1397 3,7863 3,6725 3,7506 3,8985 4,0290 4,1261 4,2278 4,4022 4,7144 5,1899 5,8074 6,5207 7,2738 7,9869 8,5318 8,7514 8,5369 7,8958 6,9504 5,8912 4,9214 4,1869 3,7206 3,4656 3,3527 3,3456 3,4402 3,6532 4,0207 4,5857 5,3463 6,1838 6,8642 7,1654 7,0259 6,5611 5,9498 5,3191 4,7078 4,1123 3,5633 3,1411 2,9054 2,8431 2,8922 2,9849 3,0687 3,1314 3,2138 3,3663 3,5694 3,6984 3,5711 3,0374 2,0394 0,6345 -0,9819 -2,4784 -3,4500 -3,5370 -2,5678 -0,6525 1,8639 4,5615 7,0830 9,1770 10,6870 11,5366 11,7308 11,3587 10,5581 9,4446 8,0590 6,3993 4,5217 2,6117 0,9404 -0,2639 -0,9230 -1,0988 -0,8834 -0,3100 0,6149 1,8081 3,0883 4,2764 5,3054 6,2315 7,1249 7,9394 8,5058 8,6573 8,3422 7,6523 6,7979 6,0325 5,5400 5,3694 5,4761 5,8028 6,2878 6,8050 7,1658 7,2243 6,9586 6,4473 5,8066 5,1422 4,5043 3,8760 3,2461 2,6955 2,3648 2,3308 2,5464 2,8994 3,2827 3,6057 3,8012 3,8582 3,8253 3,7605 3,6749 3,5279 3,2860 2,9825 2,7050 2,5320 2,5127 2,6948 3,1299 3,8361 4,7618 5,7801 6,7118 7,3643 7,5829 7,3078 6,5981 5,6099 4,5496 3,5983 2,8218 2,1611 1,5326 0,9282 0,4275 0,1346 0,1033 0,3125 0,6866 1,1046 1,3975 1,3829 0,9508 0,1566 -0,7604 -1,5004 -1,8771 -1,8735 -1,5767 -1,1103 -0,6004 -0,1517 0,1683 0,3472 0,4282 0,4623 0,4539 0,3728 0,2042 -0,0323 -0,2847 -0,4558 -0,4031 0,0050 0,8054 1,9135 3,1738 4,4193 5,5015 6,3117 6,7795 6,8587 6,5453 5,9086 5,0723 4,1452 3,1674 2,1465 1,1632 0,4148 0,1351 0,4737 1,4155 2,7527 4,1055 5,0390 5,2650 4,7837 3,8538 2,8383 2,0364 1,5793 1,4374 1,5230 1,7824 2,1739 2,5878 2,8528 2,8669 2,7248 2,6942 3,0456 3,8782 5,0495 6,2538 7,2111 7,8213 8,1516 8,2931 8,2433 7,9295 7,3274 6,5278 5,6846 4,9152 4,2575 3,6953 3,1745 2,5965 1,8546 0,9199 -0,1162 -1,1041 -1,9295 -2,5308 -2,8493 -2,8018 -2,3311 -1,4908 -0,4696 0,4605 1,0427 1,1368 0,7479 -0,0266 -1,0475 -2,1445 -3,1373 -3,8755 -4,2553 -4,2333 -3,8581 -3,2572 -2,5548 -1,7996 -0,9727 -0,0586
F7    3,2329 3,1518 2,7259 1,9091 0,7052 -0,7393 -2,1515 -3,2483 -3,8504 -3,9098 -3,4819 -2,6948 -1,7183 -0,7288 0,1102 0,6516 0,8094 0,6343 0,2900 -0,0782 -0,4152 -0,6983 -0,8630 -0,7978 -0,4016 0,3304 1,2353 1,9905 2,2319 1,7434 0,5887 -0,9332 -2,4616 -3,7147 -4,5219 -4,8078 -4,5849 -3,9397 -3,0009 -1,9043 -0,7456 0,4564 1,7338 3,0888 4,4188 5,4918 6,0080 5,7189 4,5370 2,5975 0,2375 -2,1096 -4,0286 -5,1928 -5,4154 -4,7138 -3,3489 -1,7583 -0,3844 0,4839 0,7615 0,5345 0,0031 -0,5979 -1,0984 -1,4521 -1,7096 -1,9381 -2,1548 -2,3147 -2,3438 -2,1612 -1,6791 -0,8249 0,3990 1,8611 3,3063 4,4417 5,0495 5,0468 4,4929 3,5719 2,5207 1,5188 0,6435 -0,0809 -0,6258 -0,9396 -0,9570 -0,6361 -0,0030 0,8272 1,6461 2,1970 2,3004 1,9548 1,2983 0,5053 -0,2558 -0,8267 -1,1130 -1,1480 -1,0729 -1,0393 -1,1233 -1,2971 -1,4551 -1,4782 -1,2938 -0,9029 -0,3689 0,2217 0,7904 1,2750 1,6303 1,8240 1,8278 1,6234 1,2321 0,7439 0,3024 0,0170 -0,1463 -0,3798 -0,8997 -1,7625 -2,7944 -3,6911 -4,1749 -4,0896 -3,4313 -2,3248 -0,9535 0,4980 1,8617 2,9959 3,7981 4,2197 4,2728 4,0379 3,6858 3,4484 3,4992 3,8551 4,3886 4,9051 5,2445 5,3843 5,4617 5,6726 6,1301 6,8025 7,5427 8,1377 8,3767 8,1613 7,5634 6,7573 5,9352 5,2922 4,9981 5,1213 5,6001 6,2918 7,0405 7,7444 8,3930 9,0405 9,7299 10,4224 10,9819 11,2522 11,1864 10,8979 10,5666 10,3083 10,1434 10,0520 10,0054 9,9533 9,8083 9,4695 8,8732 8,0197 6,9638 5,8043 4,6855 3,7879 3,2853 3,2836 3,7763 4,6244 5,5779 6,3619 6,7869 6,7906 6,4034 5,7238 4,9172 4,1705 3,6129 3,2736 3,1015 3,0202 2,9602 2,8408 2,5561 2,0287 1,2866 0,4676 -0,2502 -0,6977 -0,7173 -0,1903 0,8907 2,3604 3,8935 5,1290 5,8427 6,0094 5,7300 5,1593 4,4715 3,8149 3,2798 2,8914 2,6116 2,3676 2,1149 1,8657 1,6491 1,4608 1,2627 1,0332 0,8166 0,7087 0,7711 0,9537 1,1256 1,2058 1,2463 1,3502 1,5318 1,7237 1,9091 2,1762 2,6366 3,3270 4,1631 4,9538 5,4903 5,6600 5,4892 5,0909 4,5734 3,9819 3,3107 2,5581 1,7610 0,9882 0,3120 -0,2064 -0,5093 -0,5567 -0,3796 -0,1011 0,1344 0,2614 0,3204 0,4050 0,6127 1,0237 1,6634 2,4687 3,3035 4,0034 4,4240 4,4883 4,1952 3,5792 2,6990 1,6774 0,7094 -0,0121 -0,3868 -0,4343 -0,2457 0,0846 0,5002 0,9793 1,4867 1,9338 2,2117 2,2652 2,1249 1,8846 1,6595 1,5315 1,5006 1,4926 1,4050 1,1550 0,7268 0,1813 -0,3936 -0,9249 -1,3365 -1,5104 -1,3122 -0,6737 0,3631 1,6611 3,0125 4,1791 4,9541 5,2017 4,8669 3,9749 2,6266 0,9825 -0,7538 -2,3437 -3,5462 -4,1796 -4,1626 -3,5296 -2,4261 -1,0776 0,2490 1,2948 1,8964 2,0549 1,9092 1,6330 1,3348 1,0322 0,7027 0,3452 -0,0105 -0,3309 -0,5836 -0,7255 -0,7324 -0,6434 -0,5375 -0,4638 -0,4069 -0,2966 -0,0388 0,4327 1,1061 1,8931 2,6703 3,3149 3,7169 3,7915 3,5170 2,9642 2,2789 1,6273 1,1458 0,9044 0,8712 0,9085 0,8510 0,6104 0,2100 -0,2385 -0,5787 -0,6558 -0,3603 0,3183 1,2351 2,1122 2,6819 2,8431 2,6745 2,3142 1,8552 1,3306 0,7472 0,1230 -0,5090 -1,1309 -1,7471 -2,3515 -2,9072 -3,3448 -3,5482 -3,3704 -2,7256 -1,6972 -0,5438 0,4109 0,9079 0,8138 0,1288 -1,0022 -2,2922 -3,3669 -3,8572 -3,5101 -2,3025 -0,4677 1,6076 3,5221 4,9534 5,7196 5,8202 5,4254 4,7898 4,1172 3,4641 2,7459 1,8435 0,7420 -0,4071 -1,3630 -1,9572 -2,1951 -2,2101 -2,1322 -1,9891 -1,7100 -1,2146 -0,4898 0,4120 1,4249 2,4964 3,5510 4,4390 4,9688 5,0167 4,5961 3,8459 2,9925 2,2753 1,8369 1,6862 1,7703 2,0527 2,5005 3,0172 3,4566 3,7266 3,8332 3,8154 3,6851 3,4315 3,0300 2,4362 1,6252 0,6639 -0,2860 -1,0516 -1,5160 -1,6268 -1,4054 -0,9653 -0,4671 -0,0241 0,3448 0,6723 0,9753 1,2270 1,3843 1,4326 1,3887 1,2608 1,0469 0,7878 0,5987 0,6241 0,9541 1,5600 2,2802 2,8572 3,0255 2,6363 1,7380 0,5540 -0,6122 -1,4861 -1,9035 -1,8288 -1,3224 -0,5009 0,4954 1,5207 2,4337 3,1261 3,5446 3,6522 3,3850 2,6829 1,5641 0,1813 -1,1921 -2,2680 -2,8699 -2,9699 -2,6384 -2,0000 -1,2192 -0,4759 0,0917 0,4557 0,7124 0,9860 1,3041 1,5787 1,6948 1,5958 1,3068 0,9214 0,5786 0,4273 0,5767 1,0597 1,8291 2,7716 3,7274 4,5227 5,0061 5,0845 4,7713 4,2067 3,5852 3,0368 2,5743 2,1632 1,8292 1,6739 1,7959 2,2290 2,9352 3,7981 4,5995 5,0582 4,9679 4,3200 3,2875 2,1172 1,0356 0,1958 -0,3404 -0,5751 -0,5302 -0,2555 0,1341 0,4972 0,7834 1,1013 1,6491 2,5685 3,8355 5,2475 6,5140 7,4146 7,8982 8,0296 7,8529 7,3210 6,3654 5,0272 3,5077 2,0915 1,0239 0,4408 0,3556 0,6533 1,0939 1,3886 1,3333 0,8879 0,1433 -0,7504 -1,6119 -2,2399 -2,4648 -2,2392 -1,6851 -1,0555 -0,6336 -0,6065 -0,9842 -1,6357 -2,3967 -3,1349 -3,7456 -4,1372 -4,2396 -4,0155 -3,4700 -2,6704 -1,7419 -0,8169 0,0270 0,7853 1,4849
