Fp1   3,3040 3,1179 2,6294 1,9206 1,1054 0,3105 -0,3352 -0,7222 -0,8044 -0,6366 -0,3661 -0,1637 -0,1389 -0,3019 -0,5860 -0,8900 -1,1265 -1,2556 -1,2712 -1,1643 -0,9232 -0,5715 -0,1883 0,1314 0,3399 0,4541 0,5236 0,6042 0,7339 0,8997 1,0338 1,0610 0,9556 0,7523 0,5169 0,3140 0,1926 0,1714 0,2282 0,3153 0,3799 0,3630 0,2023 -0,1352 -0,6211 -1,1738 -1,7004 -2,1418 -2,5049 -2,8382 -3,1509 -3,3716 -3,4095 -3,2325 -2,8839 -2,4630 -2,0912 -1,8681 -1,8436 -2,0151 -2,3387 -2,7553 -3,2126 -3,6702 -4,0957 -4,4702 -4,8032 -5,1284 -5,4668 -5,8014 -6,1010 -6,3565 -6,5730 -6,7334 -6,7883 -6,6916 -6,4438 -6,0911 -5,6868 -5,2784 -4,9257 -4,6947 -4,6256 -4,7180 -4,9287 -5,1674 -5,3112 -5,2608 -4,9973 -4,5917 -4,1720 -3,8833 -3,8463 -4,1006 -4,5752 -5,1315 -5,6522 -6,0986 -6,4856 -6,8091 -7,0132 -7,0299 -6,8441 -6,5210 -6,1754 -5,9046 -5,7320 -5,6171 -5,5194 -5,4467 -5,4569 -5,6331 -6,0474 -6,7125 -7,5505 -8,4129 -9,1447 -9,6624 -9,9945 -10,2378 -10,4664 -10,6806 -10,8127 -10,7586 -10,4302 -9,8197 -9,0221 -8,1800 -7,3952 -6,6943 -6,0677 -5,5219 -5,0844 -4,7695 -4,5564 -4,3962 -4,2237 -3,9644 -3,5564 -2,9893 -2,3379 -1,7529 -1,3796 -1,2596 -1,3132 -1,4091 -1,4282 -1,2861 -0,9527 -0,4656 0,0909 0,6196 1,0293 1,2582 1,3103 1,2619 1,2077 1,1973 1,2237 1,2490 1,2426 1,2182 1,2330 1,3431 1,5730 1,9213 2,3575 2,7984 3,1199 3,2182 3,0603 2,6915 2,2135 1,7509 1,4195 1,2933 1,3744 1,5936 1,8388 1,9897 1,9579 1,7170 1,2908 0,7310 0,1243 -0,4135 -0,7897 -0,9825 -1,0387 -1,0475 -1,1083 -1,2785 -1,5330 -1,7907 -1,9829 -2,0917 -2,1426 -2,1644 -2,1444 -2,0305 -1,7983 -1,5035 -1,2447 -1,0873 -1,0395 -1,0890 -1,2391 -1,5090 -1,9200 -2,4815 -3,1628 -3,8721 -4,4852 -4,9044 -5,0889 -5,0400 -4,7837 -4,3735 -3,8914 -3,4259 -3,0382 -2,7513 -2,5738 -2,5120 -2,5424 -2,6073 -2,6632 -2,7001 -2,7070 -2,6640 -2,5828 -2,5218 -2,5451 -2,6747 -2,8929 -3,1797 -3,5203 -3,8726 -4,1597 -4,3092 -4,2853 -4,0934 -3,7833 -3,4452 -3,1825 -3,0632 -3,0688 -3,0838 -2,9653 -2,6392 -2,1343 -1,5508 -1,0099 -0,6037 -0,3568 -0,2207 -0,1038 0,0767 0,3453 0,6607 0,9495 1,1447 1,2018 1,0892 0,7876 0,3157 -0,2439 -0,7550 -1,0754 -1,1145 -0,8707 -0,4211 0,1163 0,6298 1,0566 1,3900 1,6494 1,8599 2,0619 2,3227 2,7108 3,2395 3,8334 4,3555 4,6810 4,7621 4,6337 4,3676 4,0217 3,6287 3,2283 2,8852 2,6422 2,4691 2,2880 2,0353 1,6929 1,2984 0,9385 0,7119 0,6819 0,8427 1,1246 1,4532 1,8116 2,2300 2,7205 3,2339 3,6662 3,9050 3,8910 3,6596 3,3259 3,0120 2,7694 2,5698 2,3604 2,1111 1,8175 1,4876 1,1380 0,8058 0,5597 0,4857 0,6464 1,0398 1,5835 2,1512 2,6433 3,0193 3,2700 3,3842 3,3580 3,2175 3,0119 2,7905 2,5832 2,3859 2,1701 1,9216 1,6676 1,4569 1,3227 1,2679 1,2581 1,2148 1,0477 0,7136 0,2325 -0,3487 -0,9867 -1,6253 -2,1628 -2,4640 -2,4160 -1,9789 -1,2045 -0,2138 0,8591 1,9034 2,8302 3,5722 4,0791 4,2961 4,1706 3,7091 3,0190 2,2818 1,6702 1,2718 1,0772 1,0356 1,1105 1,2862 1,5476 1,8668 2,1975 2,4872 2,7084 2,8555 2,9034 2,8025 2,5302 2,1356 1,7394 1,4867 1,4718 1,6813 1,9939 2,2389 2,2730 2,0325 1,5483 0,9349 0,3537 -0,0481 -0,1947 -0,1023 0,1461 0,4398 0,6798 0,8130 0,8480 0,8332 0,8180 0,8305 0,8802 0,9874 1,2154 1,6567 2,3556 3,2285 4,0657 4,6371 4,8157 4,6240 4,1950 3,6949 3,2443 2,8860 2,6207 2,4488 2,3727 2,3782 2,4329 2,5136 2,6213 2,7536 2,8850 2,9863 3,0475 3,0694 3,0497 2,9907 2,9130 2,8378 2,7562 2,6232 2,3803 2,0002 1,5417 1,1560 1,0033 1,1469 1,5127 1,9395 2,2809 2,4760 2,5392 2,5014 2,3749 2,1700 1,9279 1,7226 1,6263 1,6657 1,8044 1,9642 2,0711 2,0935 2,0420 1,9317 1,7560 1,5079 1,2169 0,9383 0,7002 0,4854 0,2775 0,1107 0,0713 0,2445 0,6412 1,1723 1,7000 2,1118 2,3655 2,4943 2,5695 2,6395 2,6872 2,6440 2,4451 2,0705 1,5455 0,9275 0,2992 -0,2459 -0,6352 -0,8504 -0,9354 -0,9687 -1,0203 -1,1172 -1,2359 -1,3292 -1,3689 -1,3616 -1,3238 -1,2540 -1,1376 -0,9785 -0,8238 -0,7637 -0,9103 -1,3443 -2,0397 -2,8371 -3,5199 -3,9322 -4,0293 -3,8472 -3,4564 -2,9286 -2,3043 -1,5836 -0,7646 0,1112 0,9554 1,6665 2,1686 2,4336 2,4821 2,3736 2,1798 1,9442 1,6764 1,3952 1,1489 0,9694 0,8357 0,7194 0,6451 0,6687 0,7966 0,9691 1,1362 1,3157 1,5595 1,8833 2,2396 2,5548 2,7861 2,9276 2,9714 2,8965 2,7125 2,4868 2,2937 2,1369 1,9436 1,6293 1,1502 0,5106 -0,2561 -1,1121 -2,0136 -2,8747 -3,5619 -3,9530 -3,9985 -3,7343 -3,2606 -2,7145 -2,2421 -1,9622 -1,9328 -2,1452 -2,5463 -3,0832 -3,7296 -4,4477 -5,1351 -5,6489 -5,8959 -5,8855 -5,7013 -5,4426 -5,1786 -4,9324 -4,6974 -4,4638 -4,2279 -3,9980 -3,8014 -3,6808 -3,6859 -3,8757 -4,3091 -5,0031 -5,8817 -6,7654 -7,4284 -7,6919 -7,5063 -6,9743 -6,2908 -5,6347 -5,0834 -4,5892
Fz    1,3115 1,4884 1,5193 1,4164 1,2235 1,0009 0,8070 0,6799 0,6248 0,6122 0,5904 0,5127 0,3642 0,1658 -0,0443 -0,2280 -0,3561 -0,4137 -0,3980 -0,3129 -0,1680 0,0194 0,2216 0,4064 0,5527 0,6552 0,7208 0,7696 0,8288 0,9092 0,9967 1,0699 1,1155 1,1229 1,0746 0,9533 0,7572 0,5011 0,2050 -0,1165 -0,4606 -0,8385 -1,2670 -1,7484 -2,2552 -2,7371 -3,1410 -3,4314 -3,6028 -3,6776 -3,6791 -3,6097 -3,4636 -3,2521 -3,0129 -2,7984 -2,6552 -2,6085 -2,6626 -2,8090 -3,0300 -3,3008 -3,5910 -3,8655 -4,0858 -4,2222 -4,2758 -4,2837 -4,2972 -4,3607 -4,5095 -4,7704 -5,1458 -5,5926 -6,0229 -6,3385 -6,4726 -6,4061 -6,1611 -5,7939 -5,3833 -5,0055 -4,7105 -4,5139 -4,4049 -4,3579 -4,3474 -4,3583 -4,3885 -4,4423 -4,5245 -4,6411 -4,8010 -5,0089 -5,2527 -5,5007 -5,7133 -5,8608 -5,9312 -5,9234 -5,8390 -5,6842 -5,4783 -5,2566 -5,0603 -4,9162 -4,8236 -4,7677 -4,7503 -4,8026 -4,9660 -5,2631 -5,6864 -6,1982 -6,7320 -7,2073 -7,5604 -7,7719 -7,8690 -7,8946 -7,8754 -7,8134 -7,6963 -7,5077 -7,2390 -6,9021 -6,5317 -6,1655 -5,8209 -5,4894 -5,1506 -4,7949 -4,4304 -4,0689 -3,7079 -3,3289 -2,9098 -2,4384 -1,9224 -1,3959 -0,9218 -0,5697 -0,3756 -0,3180 -0,3332 -0,3467 -0,2929 -0,1241 0,1786 0,5963 1,0778 1,5563 1,9707 2,2891 2,5249 2,7302 2,9646 3,2597 3,6052 3,9602 4,2803 4,5430 4,7531 4,9262 5,0733 5,1978 5,2928 5,3375 5,3028 5,1692 4,9459 4,6731 4,4027 4,1763 4,0199 3,9465 3,9565 4,0398 4,1743 4,3207 4,4273 4,4470 4,3491 4,1271 3,8084 3,4496 3,1089 2,8226 2,6001 2,4290 2,2821 2,1380 2,0029 1,9058 1,8735 1,9077 1,9808 2,0526 2,0961 2,1067 2,0821 2,0071 1,8724 1,6993 1,5284 1,3850 1,2628 1,1396 0,9967 0,8231 0,6180 0,3983 0,1978 0,0530 -0,0113 0,0134 0,1156 0,2648 0,4233 0,5645 0,6800 0,7735 0,8486 0,9044 0,9449 0,9849 1,0380 1,1071 1,1886 1,2734 1,3423 1,3694 1,3302 1,2099 1,0083 0,7393 0,4313 0,1288 -0,1141 -0,2505 -0,2529 -0,1184 0,1270 0,4327 0,7472 1,0430 1,3287 1,6396 2,0043 2,4146 2,8265 3,1829 3,4340 3,5553 3,5578 3,4814 3,3787 3,2994 3,2748 3,3112 3,3930 3,4885 3,5583 3,5677 3,5048 3,3926 3,2843 3,2417 3,3112 3,5045 3,7895 4,1036 4,3805 4,5774 4,6951 4,7753 4,8727 5,0228 5,2295 5,4746 5,7341 5,9808 6,1813 6,3034 6,3316 6,2732 6,1469 5,9663 5,7315 5,4393 5,1042 4,7635 4,4553 4,1993 4,0064 3,8905 3,8646 3,9374 4,1105 4,3699 4,6744 4,9603 5,1673 5,2683 5,2776 5,2364 5,1883 5,1623 5,1630 5,1728 5,1637 5,1206 5,0532 4,9800 4,9011 4,7965 4,6498 4,4670 4,2740 4,1016 3,9719 3,8959 3,8837 3,9530 4,1204 4,3791 4,6892 4,9982 5,2680 5,4788 5,6125 5,6468 5,5673 5,3809 5,1171 4,8222 4,5434 4,3104 4,1305 3,9968 3,8961 3,8099 3,7174 3,6027 3,4560 3,2662 3,0266 2,7489 2,4634 2,1983 1,9624 1,7502 1,5639 1,4267 1,3727 1,4279 1,5979 1,8644 2,1880 2,5130 2,7805 2,9485 3,0013 2,9411 2,7787 2,5398 2,2770 2,0619 1,9544 1,9725 2,0942 2,2827 2,5075 2,7414 2,9484 3,0831 3,1046 2,9981 2,7869 2,5181 2,2277 1,9282 1,6273 1,3526 1,1549 1,0857 1,1664 1,3746 1,6543 1,9349 2,1452 2,2254 2,1463 1,9303 1,6505 1,3956 1,2223 1,1327 1,0906 1,0590 1,0261 1,0052 1,0190 1,0867 1,2140 1,3911 1,5993 1,8223 2,0596 2,3256 2,6243 2,9212 3,1466 3,2346 3,1651 2,9746 2,7340 2,5142 2,3567 2,2630 2,2029 2,1355 2,0326 1,8876 1,7083 1,5120 1,3282 1,1874 1,1042 1,0729 1,0744 1,0853 1,0906 1,0974 1,1349 1,2335 1,3984 1,6019 1,7943 1,9231 1,9572 1,8996 1,7748 1,6044 1,3971 1,1576 0,9036 0,6654 0,4701 0,3284 0,2328 0,1670 0,1245 0,1224 0,1941 0,3598 0,6013 0,8647 1,0861 1,2189 1,2502 1,1963 1,0836 0,9396 0,7959 0,6854 0,6247 0,6055 0,6063 0,6111 0,6202 0,6473 0,7012 0,7762 0,8593 0,9431 1,0291 1,1247 1,2335 1,3431 1,4200 1,4187 1,3027 1,0636 0,7260 0,3383 -0,0435 -0,3703 -0,6109 -0,7656 -0,8690 -0,9754 -1,1308 -1,3470 -1,5932 -1,8144 -1,9619 -2,0142 -1,9757 -1,8647 -1,7081 -1,5392 -1,3929 -1,2996 -1,2857 -1,3712 -1,5559 -1,8090 -2,0799 -2,3268 -2,5301 -2,6836 -2,7778 -2,7892 -2,6806 -2,4143 -1,9738 -1,3854 -0,7228 -0,0847 0,4500 0,8534 1,1450 1,3691 1,5687 1,7613 1,9349 2,0696 2,1609 2,2171 2,2409 2,2293 2,1888 2,1367 2,0823 2,0210 1,9516 1,8854 1,8337 1,7930 1,7463 1,6806 1,5961 1,4968 1,3787 1,2389 1,0956 0,9882 0,9468 0,9576 0,9654 0,9026 0,7173 0,3906 -0,0596 -0,5928 -1,1592 -1,7020 -2,1628 -2,4995 -2,7004 -2,7813 -2,7754 -2,7250 -2,6801 -2,6961 -2,8199 -3,0702 -3,4290 -3,8574 -4,3185 -4,7766 -5,1862 -5,5032 -5,7108 -5,8263 -5,8884 -5,9381 -6,0020 -6,0835 -6,1692 -6,2421 -6,2867 -6,2895 -6,2432 -6,1491 -6,0165 -5,8649 -5,7276 -5,6405 -5,6184 -5,6428 -5,6703 -5,6522 -5,5587 -5,3995 -5,2175 -5,0561 -4,9303 -4,8238
F3    1,0966 1,3852 1,5393 1,5627 1,4951 1,3927 1,3065 1,2661 1,2717 1,2926 1,2787 1,1851 1,0027 0,7638 0,5160 0,2973 0,1295 0,0217 -0,0233 -0,0077 0,0579 0,1550 0,2582 0,3424 0,3940 0,4093 0,3893 0,3473 0,3097 0,2986 0,3223 0,3871 0,5025 0,6623 0,8244 0,9189 0,8811 0,6789 0,3200 -0,1575 -0,7047 -1,2794 -1,8507 -2,3899 -2,8635 -3,2434 -3,5187 -3,6919 -3,7704 -3,7613 -3,6597 -3,4486 -3,1274 -2,7375 -2,3521 -2,0475 -1,8769 -1,8608 -1,9963 -2,2671 -2,6444 -3,0844 -3,5330 -3,9366 -4,2484 -4,4328 -4,4815 -4,4283 -4,3399 -4,2933 -4,3586 -4,5804 -4,9531 -5,4106 -5,8482 -6,1633 -6,2920 -6,2195 -5,9698 -5,5980 -5,1823 -4,8010 -4,5060 -4,3131 -4,2095 -4,1685 -4,1640 -4,1783 -4,2024 -4,2341 -4,2781 -4,3446 -4,4439 -4,5756 -4,7222 -4,8551 -4,9505 -5,0042 -5,0279 -5,0278 -4,9906 -4,9011 -4,7705 -4,6420 -4,5676 -4,5748 -4,6485 -4,7493 -4,8561 -4,9873 -5,1799 -5,4585 -5,8251 -6,2564 -6,7010 -7,0919 -7,3816 -7,5693 -7,6936 -7,7929 -7,8720 -7,9036 -7,8501 -7,6796 -7,3764 -6,9557 -6,4667 -5,9712 -5,5103 -5,0878 -4,6831 -4,2836 -3,9020 -3,5602 -3,2586 -2,9719 -2,6671 -2,3222 -1,9345 -1,5270 -1,1512 -0,8643 -0,6935 -0,6246 -0,6194 -0,6335 -0,6182 -0,5189 -0,2908 0,0716 0,5186 0,9615 1,3129 1,5344 1,6617 1,7829 1,9808 2,2816 2,6503 3,0263 3,3620 3,6397 3,8647 4,0485 4,2005 4,3278 4,4303 4,4928 4,4868 4,3895 4,2070 3,9765 3,7436 3,5407 3,3862 3,2901 3,2538 3,2685 3,3144 3,3589 3,3633 3,2979 3,1484 2,9143 2,6132 2,2790 1,9477 1,6472 1,3956 1,1935 1,0208 0,8605 0,7257 0,6531 0,6706 0,7745 0,9239 1,0567 1,1188 1,0832 0,9450 0,7130 0,4190 0,1235 -0,1082 -0,2470 -0,3164 -0,3677 -0,4435 -0,5576 -0,6975 -0,8367 -0,9465 -1,0078 -1,0156 -0,9799 -0,9231 -0,8727 -0,8441 -0,8300 -0,8060 -0,7461 -0,6343 -0,4684 -0,2553 -0,0080 0,2528 0,5007 0,7133 0,8750 0,9673 0,9645 0,8438 0,6034 0,2656 -0,1354 -0,5567 -0,9404 -1,2172 -1,3301 -1,2540 -1,0002 -0,6148 -0,1689 0,2680 0,6576 1,0037 1,3413 1,7015 2,0748 2,4092 2,6373 2,7044 2,5910 2,3265 1,9859 1,6655 1,4504 1,3896 1,4895 1,7219 2,0342 2,3601 2,6358 2,8215 2,9193 2,9714 3,0348 3,1568 3,3592 3,6287 3,9193 4,1729 4,3516 4,4614 4,5437 4,6421 4,7771 4,9443 5,1308 5,3297 5,5359 5,7340 5,8991 6,0089 6,0517 6,0241 5,9200 5,7263 5,4335 5,0584 4,6482 4,2566 3,9189 3,6556 3,4796 3,3923 3,3896 3,4733 3,6445 3,8855 4,1523 4,3914 4,5684 4,6854 4,7699 4,8489 4,9324 5,0127 5,0717 5,0912 5,0649 5,0033 4,9202 4,8115 4,6555 4,4337 4,1489 3,8285 3,5145 3,2478 3,0581 2,9673 2,9985 3,1696 3,4697 3,8458 4,2250 4,5540 4,8103 4,9841 5,0617 5,0272 4,8768 4,6331 4,3446 4,0646 3,8271 3,6394 3,4921 3,3736 3,2761 3,1917 3,1103 3,0215 2,9137 2,7811 2,6307 2,4777 2,3307 2,1870 2,0394 1,8915 1,7713 1,7266 1,8013 2,0112 2,3333 2,7084 3,0556 3,2992 3,4011 3,3712 3,2463 3,0599 2,8384 2,6198 2,4607 2,4129 2,4961 2,6979 2,9951 3,3682 3,7913 4,2166 4,5750 4,7924 4,8146 4,6346 4,2909 3,8367 3,3211 2,7968 2,3274 1,9751 1,7755 1,7219 1,7735 1,8790 1,9939 2,0816 2,1082 2,0535 1,9311 1,7907 1,6845 1,6292 1,5978 1,5495 1,4663 1,3646 1,2795 1,2433 1,2740 1,3713 1,5217 1,7109 1,9362 2,2128 2,5652 2,9989 3,4707 3,8902 4,1634 4,2408 4,1346 3,9033 3,6261 3,3738 3,1870 3,0696 3,0003 2,9551 2,9193 2,8804 2,8253 2,7491 2,6562 2,5545 2,4499 2,3433 2,2321 2,1186 2,0214 1,9737 2,0036 2,1111 2,2687 2,4392 2,5943 2,7260 2,8446 2,9585 3,0506 3,0751 2,9881 2,7827 2,4922 2,1669 1,8514 1,5718 1,3340 1,1419 1,0200 1,0110 1,1405 1,3850 1,6761 1,9375 2,1202 2,2166 2,2463 2,2308 2,1817 2,1070 2,0173 1,9194 1,8119 1,6925 1,5674 1,4551 1,3796 1,3539 1,3712 1,4135 1,4628 1,5126 1,5742 1,6714 1,8205 2,0034 2,1576 2,2053 2,0995 1,8487 1,5077 1,1518 0,8537 0,6610 0,5748 0,5500 0,5213 0,4391 0,2978 0,1387 0,0217 -0,0142 0,0304 0,1315 0,2664 0,4235 0,5908 0,7434 0,8436 0,8522 0,7423 0,5114 0,1845 -0,1956 -0,5888 -0,9666 -1,3072 -1,5869 -1,7755 -1,8319 -1,7106 -1,3832 -0,8631 -0,2165 0,4574 1,0665 1,5579 1,9229 2,1851 2,3783 2,5242 2,6272 2,6896 2,7259 2,7542 2,7750 2,7773 2,7626 2,7468 2,7352 2,7128 2,6625 2,5841 2,4916 2,3989 2,3145 2,2447 2,1948 2,1604 2,1209 2,0519 1,9512 1,8480 1,7719 1,7151 1,6298 1,4602 1,1762 0,7911 0,3513 -0,0949 -0,5139 -0,8762 -1,1466 -1,2942 -1,3087 -1,2114 -1,0532 -0,9000 -0,8194 -0,8712 -1,0947 -1,4895 -2,0075 -2,5711 -3,1066 -3,5591 -3,8876 -4,0686 -4,1097 -4,0518 -3,9545 -3,8747 -3,8465 -3,8717 -3,9294 -3,9936 -4,0400 -4,0461 -3,9994 -3,9060 -3,7849 -3,6581 -3,5510 -3,4891 -3,4867 -3,5339 -3,5957 -3,6266 -3,6019 -3,5414 -3,5013 -3,5335 -3,6477 -3,8059
F7    1,1295 1,4388 1,6156 1,6517 1,5630 1,3866 1,1720 0,9683 0,8072 0,6892 0,5869 0,4631 0,2959 0,0994 -0,0807 -0,2001 -0,2475 -0,2471 -0,2355 -0,2373 -0,2529 -0,2606 -0,2342 -0,1615 -0,0458 0,0946 0,2296 0,3349 0,4019 0,4268 0,4051 0,3457 0,2745 0,2168 0,1821 0,1640 0,1449 0,0987 -0,0016 -0,1733 -0,4173 -0,7184 -1,0512 -1,3847 -1,6805 -1,8976 -2,0073 -2,0037 -1,9051 -1,7429 -1,5392 -1,3024 -1,0502 -0,8263 -0,6884 -0,6876 -0,8497 -1,1628 -1,5791 -2,0261 -2,4246 -2,7195 -2,9008 -2,9920 -3,0224 -3,0110 -2,9666 -2,8990 -2,8271 -2,7741 -2,7553 -2,7765 -2,8401 -2,9423 -3,0646 -3,1838 -3,2972 -3,4245 -3,5766 -3,7322 -3,8496 -3,8923 -3,8435 -3,7059 -3,4997 -3,2590 -3,0211 -2,8130 -2,6495 -2,5380 -2,4779 -2,4621 -2,4806 -2,5203 -2,5655 -2,6039 -2,6316 -2,6488 -2,6544 -2,6444 -2,6155 -2,5734 -2,5411 -2,5521 -2,6259 -2,7488 -2,8789 -2,9735 -3,0227 -3,0630 -3,1518 -3,3339 -3,6259 -4,0098 -4,4302 -4,8098 -5,0846 -5,2391 -5,3089 -5,3428 -5,3633 -5,3620 -5,3151 -5,2026 -5,0222 -4,7954 -4,5563 -4,3326 -4,1310 -3,9349 -3,7147 -3,4525 -3,1590 -2,8671 -2,6071 -2,3842 -2,1770 -1,9531 -1,6866 -1,3785 -1,0719 -0,8365 -0,7251 -0,7406 -0,8451 -0,9889 -1,1220 -1,1898 -1,1358 -0,9215 -0,5491 -0,0667 0,4486 0,9241 1,3196 1,6341 1,8915 2,1212 2,3430 2,5674 2,8062 3,0743 3,3768 3,6996 4,0093 4,2618 4,4189 4,4641 4,3987 4,2359 4,0038 3,7378 3,4578 3,1637 2,8538 2,5336 2,2081 1,8770 1,5409 1,2080 0,8970 0,6264 0,3971 0,1898 -0,0113 -0,2033 -0,3790 -0,5471 -0,7300 -0,9439 -1,1863 -1,4376 -1,6721 -1,8716 -2,0385 -2,1958 -2,3688 -2,5651 -2,7718 -2,9667 -3,1356 -3,2851 -3,4326 -3,5820 -3,7158 -3,8156 -3,8804 -3,9220 -3,9508 -3,9693 -3,9733 -3,9543 -3,9041 -3,8155 -3,6802 -3,4954 -3,2805 -3,0754 -2,9152 -2,8116 -2,7604 -2,7516 -2,7665 -2,7752 -2,7517 -2,6937 -2,6283 -2,5933 -2,6041 -2,6403 -2,6613 -2,6328 -2,5446 -2,4114 -2,2624 -2,1369 -2,0783 -2,1102 -2,2191 -2,3630 -2,4946 -2,5829 -2,6281 -2,6599 -2,7131 -2,7999 -2,9002 -2,9691 -2,9630 -2,8641 -2,6839 -2,4553 -2,2203 -2,0141 -1,8581 -1,7637 -1,7314 -1,7471 -1,7815 -1,7994 -1,7767 -1,7146 -1,6375 -1,5743 -1,5374 -1,5167 -1,4919 -1,4507 -1,3898 -1,3077 -1,2053 -1,0897 -0,9681 -0,8362 -0,6747 -0,4589 -0,1778 0,1521 0,4896 0,7941 1,0442 1,2265 1,3207 1,3105 1,2089 1,0595 0,9069 0,7663 0,6266 0,4738 0,3068 0,1284 -0,0701 -0,3034 -0,5649 -0,8145 -0,9976 -1,0717 -1,0212 -0,8584 -0,6142 -0,3294 -0,0471 0,2022 0,4123 0,5938 0,7595 0,9184 1,0710 1,2043 1,2943 1,3207 1,2834 1,1955 1,0613 0,8726 0,6320 0,3691 0,1304 -0,0459 -0,1475 -0,1859 -0,1761 -0,1198 -0,0149 0,1247 0,2645 0,3679 0,4199 0,4281 0,4034 0,3453 0,2437 0,0908 -0,1022 -0,2958 -0,4387 -0,4954 -0,4588 -0,3465 -0,1886 -0,0147 0,1533 0,3036 0,4322 0,5320 0,5814 0,5517 0,4263 0,2128 -0,0563 -0,3352 -0,5819 -0,7681 -0,8779 -0,9077 -0,8645 -0,7610 -0,6135 -0,4471 -0,2909 -0,1661 -0,0822 -0,0455 -0,0610 -0,1206 -0,1954 -0,2436 -0,2274 -0,1228 0,0806 0,3813 0,7587 1,1673 1,5469 1,8427 2,0205 2,0711 2,0095 1,8604 1,6382 1,3509 1,0209 0,6920 0,4165 0,2367 0,1683 0,1989 0,2991 0,4330 0,5579 0,6193 0,5591 0,3481 0,0155 -0,3587 -0,6909 -0,9391 -1,1051 -1,2022 -1,2321 -1,1922 -1,0909 -0,9540 -0,8187 -0,7170 -0,6565 -0,6136 -0,5411 -0,3852 -0,1111 0,2763 0,7319 1,1890 1,5884 1,9041 2,1482 2,3504 2,5326 2,6931 2,8112 2,8664 2,8565 2,7913 2,6765 2,5147 2,3146 2,0899 1,8551 1,6264 1,4195 1,2384 1,0692 0,8983 0,7354 0,6112 0,5539 0,5731 0,6583 0,7880 0,9427 1,1131 1,2893 1,4413 1,5183 1,4780 1,3216 1,0919 0,8465 0,6351 0,4844 0,3967 0,3679 0,4045 0,5167 0,6963 0,9087 1,1081 1,2580 1,3426 1,3702 1,3615 1,3314 1,2832 1,2196 1,1486 1,0760 0,9966 0,8979 0,7736 0,6374 0,5201 0,4454 0,4136 0,4083 0,4092 0,3955 0,3495 0,2665 0,1585 0,0383 -0,0954 -0,2554 -0,4510 -0,6722 -0,8841 -1,0419 -1,1112 -1,0821 -0,9791 -0,8581 -0,7830 -0,7961 -0,9005 -1,0598 -1,2224 -1,3527 -1,4392 -1,4773 -1,4582 -1,3795 -1,2566 -1,1191 -1,0002 -0,9310 -0,9283 -0,9807 -1,0499 -1,0897 -1,0717 -1,0026 -0,9165 -0,8506 -0,8213 -0,8152 -0,7973 -0,7321 -0,6054 -0,4403 -0,2911 -0,2051 -0,1823 -0,1720 -0,1047 0,0650 0,3364 0,6715 1,0207 1,3461 1,6302 1,8608 2,0197 2,0921 2,0740 1,9632 1,7641 1,5072 1,2533 1,0689 0,9906 1,0103 1,0936 1,2080 1,3269 1,4240 1,4829 1,5103 1,5308 1,5604 1,5811 1,5405 1,3781 1,0565 0,5816 0,0004 -0,6166 -1,2002 -1,6969 -2,0691 -2,2862 -2,3272 -2,2003 -1,9572 -1,6766 -1,4350 -1,2981 -1,3183 -1,5153 -1,8538 -2,2495 -2,6055 -2,8543 -2,9805 -3,0136 -3,0034 -2,9897 -2,9875 -2,9911 -2,9792 -2,9202 -2,7897 -2,5869 -2,3360 -2,0773 -1,8553 -1,7057 -1,6429 -1,6575 -1,7329 -1,8628 -2,0450 -2,2630 -2,4809 -2,6527 -2,7378 -2,7211 -2,6200 -2,4664 -2,2839 -2,0876
