Fp1   -0,1598 -0,5841 -0,8966 -1,0692 -1,0861 -0,8998 -0,4713 0,1492 0,8107 1,3427 1,6467 1,7165 1,5841 1,2569 0,7160 -0,0299 -0,8963 -1,7246 -2,3298 -2,5640 -2,3500 -1,6929 -0,6963 0,4338 1,4391 2,0959 2,2764 1,9711 1,2862 0,3989 -0,5293 -1,4152 -2,2379 -2,9632 -3,4817 -3,6276 -3,2783 -2,4504 -1,3041 -0,0554 1,1251 2,1497 2,9700 3,5063 3,6392 3,2866 2,4869 1,3921 0,1730 -1,0598 -2,2346 -3,2506 -3,9932 -4,4069 -4,4955 -4,2749 -3,7807 -3,1018 -2,3465 -1,5653 -0,7368 0,1678 1,1281 2,0624 2,8349 3,2854 3,2999 2,8912 2,2242 1,5548 1,1174 1,0185 1,1946 1,4693 1,6787 1,7670 1,7755 1,7593 1,7346 1,7035 1,6761 1,6187 1,4005 0,8551 -0,0611 -1,1649 -2,1159 -2,6124 -2,5461 -2,0164 -1,2440 -0,4634 0,1596 0,5385 0,6063 0,2831 -0,4769 -1,6370 -3,0977 -4,7482 -6,4869 -8,2225 -9,8765 -11,3674 -12,5961 -13,4742 -13,9525 -13,9940 -13,5381 -12,5435 -11,0645 -9,2588 -7,3248 -5,4395 -3,7274 -2,2563 -1,0446 -0,0693 0,7255 1,4027 1,9907 2,4523 2,7206 2,7815 2,7059 2,5979 2,5189 2,4645 2,4251 2,4464 2,6039 2,9378 3,4266 3,9924 4,5134 4,8394 4,8052 4,2485 3,0625 1,2739 -0,9227 -3,1996 -5,1722 -6,5107 -7,0707 -6,9538 -6,4446 -5,8621 -5,4190 -5,1656 -5,0395 -4,9635 -4,9153 -4,9333 -5,0716 -5,3484 -5,7257 -6,1181 -6,4090 -6,4770 -6,2352 -5,6502 -4,7289 -3,5131 -2,1065 -0,6932 0,5074 1,3462 1,8230 2,0604 2,2062 2,3673 2,6121 2,9848 3,4641 3,9115 4,0943 3,7965 2,9609 1,7511 0,4548 -0,6757 -1,4956 -1,9579 -2,1185 -2,1348 -2,1875 -2,3604 -2,5828 -2,6816 -2,4901 -1,9327 -1,0615 -0,0417 0,9110 1,5846 1,7935 1,4113 0,4348 -0,9691 -2,5056 -3,8734 -4,8814 -5,4978 -5,8218 -6,0016 -6,1468 -6,2876 -6,3943 -6,4205 -6,3274 -6,0848 -5,6701 -5,0774 -4,3226 -3,4445 -2,5174 -1,6436 -0,9046 -0,3180 0,1449 0,4998 0,7157 0,7397 0,5525 0,2027 -0,1905 -0,4706 -0,5180 -0,3236 -0,0004 0,2741 0,3350 0,0951 -0,4183 -1,0632 -1,6129 -1,8177 -1,5048 -0,6906 0,3764 1,3179 1,8234 1,7894 1,3136 0,5891 -0,1835 -0,8011 -1,0625 -0,8410 -0,1454 0,8947 2,0843 3,2139 4,1016 4,6154 4,6762 4,2713 3,4818 2,4931 1,5559 0,8904 0,5791 0,5447 0,6260 0,6585 0,5106 0,1234 -0,4504 -1,0551 -1,4742 -1,4902 -0,9701 0,0695 1,4592 2,9227 4,1539 4,9050 5,0480 4,5816 3,6081 2,3241 1,0131 -0,0270 -0,6226 -0,8042 -0,7439 -0,6263 -0,5674 -0,6015 -0,6870 -0,7080 -0,4984 0,0738 0,9959 2,0814 3,0643 3,7270 3,9560 3,7448 3,2089 2,5707 2,0582 1,7965 1,7892 1,9555 2,1648 2,2922 2,2900 2,1971 2,0854 2,0246 2,0783 2,2736 2,5639 2,8302 2,9196 2,7048 2,1722 1,4765 0,8651 0,5144 0,4412 0,5454 0,7142 0,8929 1,0921 1,3591 1,7369 2,2325 2,8300 3,5131 4,2431 4,9264 5,4393 5,7070 5,7524 5,6641 5,5037 5,2385 4,7805 4,1119 3,3592 2,7394 2,4447 2,5543 3,0037 3,6275 4,2767 4,9217 5,6423 6,5410 7,6825 9,0585 10,5448 11,9001 12,8597 13,2523 13,0352 12,2550 11,0158 9,4815 7,8741 6,4352 5,3500 4,6845 4,3945 4,3878 4,5776 4,9100 5,3640 5,9300 6,5971 7,3422 8,0898 8,6819 8,9385 8,7897 8,3479 7,8328 7,4118 7,1014 6,8066 6,4337 5,9680 5,4695 5,0144 4,6560 4,4363 4,4001 4,5836 5,0066 5,6765 6,5820 7,6715 8,8496 10,0178 11,1026 12,0140 12,5910 12,6409 12,0633 10,9438 9,5328 8,1451 7,0428 6,3462 6,0100 5,8933 5,8721 5,9003 5,9988 6,2126 6,5563 6,9842 7,4307 7,8788 8,3735 8,9749 9,7022 10,5021 11,2390 11,7270 11,8101 11,4400 10,6862 9,6990 8,6807 7,8438 7,3160 7,0762 7,0044 6,9909 6,9985 7,0439 7,1508 7,3440 7,6590 8,1123 8,6639 9,2340 9,7587 10,2113 10,5573 10,7059 10,5563 10,1119 9,5104 8,9280 8,4828 8,2331 8,2161 8,4340 8,8001 9,1292 9,2210 8,9916 8,5371 8,0599 7,7477 7,6884 7,8196 7,9600 7,9545 7,7971 7,5910 7,4333 7,3787 7,4861 7,8422 8,5033 9,4303 10,4852 11,4578 12,0960 12,1702 11,5633 10,3355 8,7225 7,0504 5,5944 4,4733 3,6784 3,1971 3,0750 3,3529 3,9869 4,8472 5,7704 6,6098 7,2649 7,6797 7,8057 7,5793 6,9554 5,9618 4,7340 3,5080 2,5478 2,0481 2,0853 2,6205 3,5032 4,4722 5,2369 5,6493 5,8003 5,9164 6,1766 6,6167 7,1377 7,5649 7,7454 7,6572 7,4295 7,2235 7,0844 6,9266 6,6460 6,2046 5,6219 4,9574 4,3186 3,8293 3,5586 3,5093 3,6769 4,0766 4,7040 5,4845 6,2625 6,8630 7,1897 7,2707 7,2155 7,1310 7,0481 6,9098 6,6309 6,1618 5,5176 4,8038 4,2032 3,8686 3,8137 3,9383 4,1441 4,4121 4,7902 5,3196 5,9625 6,5897 7,0165 7,0707 6,6891 5,9766 5,1637 4,5135 4,2469 4,4906 5,2544 6,4312 7,7970 9,0297 9,8040 9,9472 9,5342 8,8171 8,0501 7,3573 6,7436 6,2062 5,7984 5,5768 5,5316 5,6055 5,7645 6,0090 6,3241 6,6554 6,9319 7,0856 7,0538 6,7919 6,3018 5,6624 5,0344 4,6070 4,5025 4,7231 5,1827 5,7605 6,3184 6,7059 6,7753 6,4248 5,6728 4,7034 3,8097 3,2511
Fz    1,5432 1,4375 1,3366 1,2469 1,1635 1,0848 1,0026 0,8891 0,7083 0,4407 0,1011 -0,2580 -0,5637 -0,7545 -0,8081 -0,7461 -0,6173 -0,4705 -0,3367 -0,2268 -0,1399 -0,0747 -0,0367 -0,0350 -0,0752 -0,1502 -0,2414 -0,3305 -0,4047 -0,4557 -0,4885 -0,5258 -0,5911 -0,6824 -0,7620 -0,7733 -0,6760 -0,4747 -0,2233 0,0030 0,1500 0,2104 0,2117 0,1827 0,1363 0,0780 0,0204 -0,0149 -0,0146 0,0057 0,0090 -0,0358 -0,1452 -0,3300 -0,5873 -0,8787 -1,1356 -1,2925 -1,3131 -1,1902 -0,9332 -0,5683 -0,1435 0,2712 0,5973 0,7751 0,7900 0,6801 0,5176 0,3767 0,3036 0,2967 0,3088 0,2788 0,1735 0,0032 -0,1878 -0,3420 -0,4056 -0,3354 -0,1052 0,2721 0,7247 1,1473 1,4655 1,6751 1,8163 1,9214 1,9908 2,0045 1,9389 1,7789 1,5262 1,1907 0,7702 0,2451 -0,4005 -1,1596 -2,0025 -2,8915 -3,7851 -4,6327 -5,3785 -5,9688 -6,3556 -6,5071 -6,4252 -6,1450 -5,7153 -5,1824 -4,5867 -3,9636 -3,3385 -2,7206 -2,1054 -1,4861 -0,8678 -0,2786 0,2342 0,6166 0,8173 0,7954 0,5433 0,1084 -0,4177 -0,9392 -1,3863 -1,7186 -1,9107 -1,9472 -1,8356 -1,6087 -1,3074 -0,9653 -0,6048 -0,2402 0,1066 0,3887 0,5430 0,5267 0,3464 0,0638 -0,2161 -0,3760 -0,3306 -0,0637 0,3623 0,8362 1,2568 1,5713 1,7694 1,8647 1,8903 1,8945 1,9233 2,0029 2,1376 2,3143 2,5103 2,7075 2,9131 3,1685 3,5224 3,9823 4,4934 4,9605 5,2918 5,4373 5,4004 5,2216 4,9534 4,6426 4,3269 4,0342 3,7667 3,4816 3,0937 2,5119 1,7004 0,7157 -0,3181 -1,2732 -2,0622 -2,6469 -3,0379 -3,2884 -3,4741 -3,6544 -3,8399 -3,9994 -4,0927 -4,0968 -4,0140 -3,8714 -3,7095 -3,5718 -3,5068 -3,5660 -3,7847 -4,1503 -4,5923 -5,0091 -5,3062 -5,4218 -5,3394 -5,0827 -4,6955 -4,2251 -3,7151 -3,1962 -2,6820 -2,1803 -1,7057 -1,2757 -0,9017 -0,5862 -0,3297 -0,1370 -0,0155 0,0296 -0,0028 -0,1083 -0,2710 -0,4557 -0,6159 -0,7096 -0,7040 -0,5752 -0,3241 0,0079 0,3480 0,6231 0,7874 0,8308 0,7663 0,6149 0,4076 0,1917 0,0141 -0,1120 -0,2259 -0,3971 -0,6731 -1,0404 -1,4316 -1,7756 -2,0432 -2,2448 -2,4004 -2,5187 -2,5923 -2,6082 -2,5672 -2,4986 -2,4562 -2,4984 -2,6649 -2,9584 -3,3407 -3,7473 -4,1072 -4,3596 -4,4655 -4,4111 -4,2016 -3,8671 -3,4732 -3,1056 -2,8283 -2,6533 -2,5453 -2,4510 -2,3280 -2,1526 -1,9144 -1,6170 -1,2857 -0,9638 -0,6968 -0,5215 -0,4670 -0,5462 -0,7318 -0,9497 -1,1121 -1,1620 -1,0890 -0,9160 -0,6782 -0,4079 -0,1209 0,1968 0,5870 1,0889 1,6986 2,3548 2,9642 3,4388 3,7143 3,7556 3,5686 3,2013 2,7199 2,1895 1,6742 1,2282 0,8711 0,5911 0,3806 0,2533 0,2212 0,2742 0,3863 0,5245 0,6501 0,7250 0,7246 0,6434 0,5042 0,3605 0,2697 0,2552 0,3018 0,3795 0,4614 0,5246 0,5478 0,5220 0,4613 0,3931 0,3324 0,2662 0,1571 -0,0348 -0,3148 -0,6215 -0,8390 -0,8560 -0,6269 -0,1967 0,3316 0,8651 1,3651 1,8317 2,2656 2,6522 2,9631 3,1657 3,2464 3,2345 3,1959 3,1988 3,2859 3,4684 3,7261 4,0126 4,2736 4,4695 4,5792 4,5907 4,4967 4,3069 4,0621 3,8317 3,6857 3,6589 3,7386 3,8792 4,0235 4,1163 4,1103 3,9767 3,7255 3,4136 3,1150 2,8748 2,6949 2,5566 2,4438 2,3447 2,2434 2,1231 1,9804 1,8347 1,7257 1,7000 1,7870 1,9800 2,2350 2,4810 2,6365 2,6423 2,4933 2,2365 1,9415 1,6772 1,5043 1,4657 1,5626 1,7363 1,8877 1,9329 1,8547 1,7062 1,5740 1,5349 1,6307 1,8619 2,1997 2,6028 3,0229 3,4081 3,7179 3,9376 4,0778 4,1610 4,2072 4,2269 4,2227 4,1916 4,1223 3,9924 3,7747 3,4560 3,0548 2,6250 2,2476 2,0162 2,0099 2,2476 2,6627 3,1309 3,5230 3,7499 3,7834 3,6460 3,3902 3,0797 2,7664 2,4722 2,1960 1,9345 1,6933 1,4816 1,3027 1,1580 1,0660 1,0630 1,1738 1,3846 1,6480 1,9140 2,1521 2,3444 2,4706 2,5155 2,4946 2,4596 2,4636 2,5275 2,6388 2,7664 2,8739 2,9323 2,9287 2,8649 2,7540 2,6220 2,5063 2,4413 2,4365 2,4694 2,4982 2,4680 2,3127 1,9802 1,4665 0,8233 0,1380 -0,4998 -1,0265 -1,4192 -1,6883 -1,8508 -1,9098 -1,8627 -1,7220 -1,5199 -1,2956 -1,0823 -0,9047 -0,7825 -0,7366 -0,7891 -0,9551 -1,2305 -1,5838 -1,9593 -2,2958 -2,5463 -2,6854 -2,7103 -2,6450 -2,5424 -2,4628 -2,4307 -2,4147 -2,3598 -2,2305 -2,0260 -1,7794 -1,5508 -1,3996 -1,3384 -1,3127 -1,2417 -1,0800 -0,8405 -0,5729 -0,3352 -0,1714 -0,0882 -0,0464 0,0112 0,1179 0,2718 0,4570 0,6558 0,8420 0,9796 1,0305 0,9727 0,8181 0,6071 0,3796 0,1541 -0,0722 -0,3153 -0,5934 -0,9197 -1,2948 -1,6923 -2,0572 -2,3392 -2,5269 -2,6418 -2,7126 -2,7591 -2,7824 -2,7613 -2,6732 -2,5216 -2,3426 -2,1878 -2,0942 -2,0646 -2,0768 -2,1070 -2,1512 -2,2281 -2,3567 -2,5290 -2,7170 -2,9027 -3,0925 -3,3016 -3,5223 -3,7145 -3,8290 -3,8433 -3,7748 -3,6614 -3,5376 -3,4348 -3,3842 -3,3964 -3,4463 -3,4932 -3,5165 -3,5283 -3,5574 -3,6229 -3,7221 -3,8420 -3,9775 -4,1298 -4,2897 -4,4323 -4,5322 -4,5795 -4,5825 -4,5607 -4,5326 -4,5094 -4,5049 -4,5438 -4,6420 -4,7804 -4,9132 -5,0027
F3    1,6987 2,4403 3,1787 3,7898 4,1144 4,0371 3,5428 2,7216 1,7258 0,7029 -0,2464 -1,0568 -1,6784 -2,0931 -2,3289 -2,4379 -2,4699 -2,4648 -2,4433 -2,3954 -2,2971 -2,1358 -1,9069 -1,6034 -1,2360 -0,8549 -0,5178 -0,2381 0,0206 0,2966 0,5832 0,8298 0,9803 1,0019 0,8835 0,6272 0,2553 -0,1675 -0,5247 -0,6901 -0,6021 -0,3030 0,0829 0,4040 0,5354 0,4171 0,0768 -0,3768 -0,8004 -1,0773 -1,1440 -0,9917 -0,6727 -0,2943 0,0281 0,2235 0,2841 0,2526 0,1878 0,1236 0,0618 0,0002 -0,0517 -0,0885 -0,1181 -0,1498 -0,1720 -0,1371 0,0145 0,2923 0,6169 0,8492 0,8642 0,6261 0,2200 -0,1797 -0,3854 -0,2809 0,1247 0,7146 1,3442 1,9086 2,3573 2,6864 2,9258 3,1058 3,2234 3,2445 3,1426 2,9170 2,5714 2,0970 1,4776 0,7101 -0,1684 -1,0770 -1,9331 -2,6940 -3,3579 -3,9295 -4,3868 -4,6874 -4,8094 -4,7789 -4,6506 -4,4642 -4,2254 -3,9220 -3,5555 -3,1649 -2,8101 -2,5279 -2,3040 -2,0804 -1,7963 -1,4312 -1,0225 -0,6478 -0,3906 -0,3151 -0,4641 -0,8504 -1,4250 -2,0577 -2,5799 -2,8624 -2,8606 -2,6092 -2,2019 -1,7557 -1,3590 -1,0392 -0,7779 -0,5542 -0,3705 -0,2342 -0,1243 -0,0001 0,1505 0,2850 0,3417 0,2909 0,1468 -0,0552 -0,2724 -0,4562 -0,5644 -0,5766 -0,4999 -0,3642 -0,1937 0,0359 0,3947 0,9386 1,6481 2,4302 3,1795 3,8248 4,3148 4,5966 4,6436 4,5037 4,2872 4,0901 3,9358 3,7915 3,6236 3,4314 3,2376 3,0712 2,9584 2,8963 2,8307 2,6862 2,4221 2,0432 1,5639 0,9807 0,2887 -0,4785 -1,2370 -1,8923 -2,4030 -2,8054 -3,1717 -3,5529 -3,9603 -4,3785 -4,7881 -5,1948 -5,6312 -6,1146 -6,6125 -7,0573 -7,3761 -7,5183 -7,4887 -7,3521 -7,1795 -6,9915 -6,7686 -6,5144 -6,2840 -6,1440 -6,1195 -6,1785 -6,2482 -6,2371 -6,0465 -5,5904 -4,8443 -3,8868 -2,8692 -1,9400 -1,1960 -0,6753 -0,3761 -0,2887 -0,4139 -0,7521 -1,2821 -1,9492 -2,6574 -3,2788 -3,7063 -3,9075 -3,9186 -3,7929 -3,5670 -3,2639 -2,9052 -2,5189 -2,1308 -1,7458 -1,3500 -0,9541 -0,6240 -0,4437 -0,4633 -0,6977 -1,1456 -1,7821 -2,5352 -3,2905 -3,9324 -4,3850 -4,6237 -4,6801 -4,6449 -4,6352 -4,7346 -4,9596 -5,2690 -5,5942 -5,8695 -6,0509 -6,1261 -6,1147 -6,0517 -5,9699 -5,8860 -5,7915 -5,6522 -5,4170 -5,0401 -4,5173 -3,9061 -3,3092 -2,8342 -2,5533 -2,4863 -2,6084 -2,8670 -3,2034 -3,5768 -3,9666 -4,3478 -4,6746 -4,8817 -4,8990 -4,6853 -4,2637 -3,7217 -3,1654 -2,6676 -2,2515 -1,9014 -1,5772 -1,2381 -0,8717 -0,4937 -0,1277 0,2025 0,4821 0,7190 0,9277 1,1014 1,2031 1,1688 0,9242 0,4312 -0,2696 -1,0603 -1,7838 -2,2978 -2,5295 -2,5073 -2,3345 -2,1242 -1,9526 -1,8571 -1,8510 -1,9356 -2,1166 -2,4102 -2,8105 -3,2586 -3,6689 -3,9838 -4,1922 -4,3038 -4,3220 -4,2389 -4,0501 -3,7800 -3,4906 -3,2531 -3,1034 -3,0292 -2,9989 -2,9861 -2,9712 -2,9499 -2,9474 -3,0052 -3,1376 -3,3038 -3,4203 -3,4017 -3,2076 -2,8677 -2,4622 -2,0744 -1,7529 -1,5028 -1,2914 -1,0528 -0,7129 -0,2394 0,3263 0,8855 1,3301 1,5946 1,6812 1,6447 1,5609 1,4978 1,4962 1,5719 1,7291 1,9571 2,2079 2,3940 2,4299 2,2809 1,9664 1,5289 1,0228 0,5179 0,0833 -0,2343 -0,4130 -0,4519 -0,3745 -0,2309 -0,0910 -0,0209 -0,0554 -0,1933 -0,4161 -0,6962 -0,9885 -1,2347 -1,3968 -1,4853 -1,5433 -1,5991 -1,6387 -1,6183 -1,4976 -1,2745 -0,9993 -0,7660 -0,6824 -0,8068 -1,0946 -1,4196 -1,6485 -1,7001 -1,5675 -1,3061 -0,9998 -0,7297 -0,5549 -0,4987 -0,5358 -0,5983 -0,6093 -0,5201 -0,3252 -0,0511 0,2624 0,5660 0,7982 0,8984 0,8300 0,6066 0,3012 0,0174 -0,1551 -0,1682 -0,0255 0,2133 0,4534 0,6219 0,7131 0,7726 0,8495 0,9638 1,0984 1,2148 1,2824 1,2876 1,2260 1,1054 0,9507 0,7814 0,5722 0,2413 -0,2997 -1,0682 -1,9861 -2,9249 -3,7591 -4,3817 -4,7129 -4,7168 -4,4050 -3,8330 -3,0965 -2,3048 -1,5396 -0,8414 -0,2425 0,1980 0,4113 0,3719 0,1277 -0,2295 -0,6213 -0,9988 -1,3050 -1,4651 -1,4422 -1,2833 -1,0900 -0,9456 -0,8746 -0,8677 -0,9236 -1,0458 -1,2163 -1,4059 -1,6045 -1,8170 -2,0368 -2,2459 -2,4366 -2,6163 -2,7893 -2,9453 -3,0698 -3,1608 -3,2271 -3,2777 -3,3226 -3,3807 -3,4759 -3,6217 -3,8028 -3,9742 -4,0848 -4,1072 -4,0478 -3,9314 -3,7825 -3,6134 -3,4228 -3,2201 -3,0545 -3,0021 -3,1096 -3,3609 -3,6865 -4,0003 -4,2443 -4,4103 -4,5149 -4,5653 -4,5625 -4,5215 -4,4642 -4,3892 -4,2619 -4,0342 -3,6809 -3,2215 -2,7093 -2,2080 -1,7794 -1,4716 -1,3072 -1,2889 -1,4133 -1,6640 -1,9917 -2,3182 -2,5729 -2,7270 -2,7955 -2,8117 -2,7983 -2,7534 -2,6659 -2,5523 -2,4678 -2,4725 -2,5977 -2,8387 -3,1658 -3,5402 -3,9191 -4,2570 -4,5304 -4,7619 -4,9977 -5,2635 -5,5546 -5,8446 -6,0803 -6,1902 -6,1210 -5,8564 -5,4054 -4,8078 -4,1486 -3,5365 -3,0709 -2,8433 -2,9379 -3,3909 -4,1435 -5,0430 -5,8860 -6,4805 -6,7244 -6,6492 -6,3776 -6,0358 -5,7068 -5,4428 -5,2904 -5,2946 -5,4776 -5,8086 -6,2027 -6,5693 -6,8613 -7,0715 -7,2037 -7,2570 -7,2112 -7,0286 -6,6884 -6,2183 -5,6971 -5,2405 -4,9738 -4,9878 -5,3054 -5,8838 -6,6332 -7,4385 -8,1837 -8,7688 -9,1188 -9,1971 -9,0291 -8,7099 -8,3705
F7    0,5101 0,2820 0,1735 0,1746 0,2628 0,4101 0,5795 0,7308 0,8434 0,9299 1,0215 1,1367 1,2615 1,3550 1,3780 1,3273 1,2422 1,1731 1,1449 1,1483 1,1518 1,1115 0,9847 0,7480 0,4077 -0,0005 -0,4196 -0,7914 -1,0756 -1,2571 -1,3443 -1,3585 -1,3231 -1,2579 -1,1709 -1,0525 -0,8867 -0,6786 -0,4708 -0,3257 -0,2888 -0,3637 -0,5184 -0,7099 -0,9019 -1,0615 -1,1520 -1,1441 -1,0422 -0,8931 -0,7538 -0,6507 -0,5723 -0,4877 -0,3616 -0,1682 0,0948 0,4013 0,7075 0,9679 1,1505 1,2460 1,2686 1,2465 1,2089 1,1780 1,1633 1,1496 1,0996 0,9833 0,8074 0,6103 0,4393 0,3390 0,3402 0,4463 0,6324 0,8618 1,1029 1,3460 1,6095 1,9229 2,2964 2,7096 3,1299 3,5281 3,8723 4,1246 4,2591 4,2796 4,2062 4,0419 3,7629 3,3424 2,7767 2,0922 1,3385 0,5808 -0,1191 -0,7346 -1,2845 -1,8051 -2,3187 -2,8223 -3,2922 -3,6896 -3,9697 -4,0935 -4,0387 -3,7979 -3,3746 -2,7916 -2,0983 -1,3586 -0,6279 0,0578 0,6767 1,2167 1,6741 2,0419 2,2957 2,3960 2,3094 2,0297 1,5817 1,0126 0,3873 -0,2143 -0,7140 -1,0719 -1,3056 -1,4638 -1,5806 -1,6583 -1,6779 -1,6098 -1,4242 -1,1054 -0,6610 -0,1192 0,4794 1,0941 1,6916 2,2445 2,7299 3,1349 3,4572 3,6998 3,8677 3,9606 3,9712 3,9005 3,7754 3,6448 3,5547 3,5258 3,5514 3,6155 3,7098 3,8308 3,9724 4,1293 4,3034 4,4947 4,6919 4,8754 5,0225 5,1062 5,0986 4,9812 4,7532 4,4329 4,0550 3,6609 3,2782 2,9053 2,5164 2,0775 1,5650 0,9763 0,3229 -0,3768 -1,0911 -1,7674 -2,3430 -2,7670 -3,0194 -3,1139 -3,0902 -3,0052 -2,9224 -2,8874 -2,9142 -2,9958 -3,1207 -3,2817 -3,4786 -3,7156 -3,9940 -4,3046 -4,6230 -4,9119 -5,1285 -5,2273 -5,1707 -4,9535 -4,6204 -4,2524 -3,9281 -3,6841 -3,5095 -3,3818 -3,3017 -3,2884 -3,3545 -3,4907 -3,6571 -3,7880 -3,8168 -3,7098 -3,4741 -3,1429 -2,7632 -2,3854 -2,0476 -1,7663 -1,5406 -1,3631 -1,2351 -1,1758 -1,2153 -1,3755 -1,6542 -2,0246 -2,4501 -2,9003 -3,3524 -3,7881 -4,1967 -4,5735 -4,9046 -5,1586 -5,2927 -5,2707 -5,0909 -4,8084 -4,5201 -4,3109 -4,2165 -4,2290 -4,3190 -4,4583 -4,6341 -4,8459 -5,0891 -5,3434 -5,5769 -5,7615 -5,8853 -5,9583 -6,0041 -6,0427 -6,0809 -6,1215 -6,1701 -6,2340 -6,3137 -6,3888 -6,4093 -6,3189 -6,0976 -5,7767 -5,4139 -5,0545 -4,7129 -4,3839 -4,0671 -3,7788 -3,5388 -3,3611 -3,2575 -3,2344 -3,2769 -3,3444 -3,3908 -3,3918 -3,3529 -3,2987 -3,2566 -3,2374 -3,2306 -3,2187 -3,1980 -3,1873 -3,2215 -3,3348 -3,5351 -3,7924 -4,0601 -4,3048 -4,5082 -4,6573 -4,7489 -4,7966 -4,8260 -4,8691 -4,9592 -5,1157 -5,3320 -5,5857 -5,8631 -6,1656 -6,4948 -6,8385 -7,1751 -7,4840 -7,7507 -7,9662 -8,1211 -8,2049 -8,2232 -8,2091 -8,2006 -8,2042 -8,1915 -8,1305 -8,0209 -7,8946 -7,7873 -7,7189 -7,6913 -7,6853 -7,6621 -7,5859 -7,4385 -7,2064 -6,8723 -6,4320 -5,9117 -5,3650 -4,8507 -4,4029 -4,0224 -3,6977 -3,4240 -3,1990 -3,0163 -2,8674 -2,7396 -2,6132 -2,4763 -2,3385 -2,2168 -2,1100 -1,9974 -1,8637 -1,7174 -1,5849 -1,4923 -1,4521 -1,4630 -1,5150 -1,5893 -1,6557 -1,6838 -1,6600 -1,5938 -1,5134 -1,4569 -1,4606 -1,5547 -1,7720 -2,1390 -2,6463 -3,2414 -3,8491 -4,3928 -4,8135 -5,0902 -5,2447 -5,3281 -5,3937 -5,4745 -5,5749 -5,6758 -5,7465 -5,7648 -5,7286 -5,6463 -5,5257 -5,3801 -5,2259 -5,0659 -4,8905 -4,7023 -4,5328 -4,4340 -4,4532 -4,6056 -4,8589 -5,1405 -5,3568 -5,4121 -5,2337 -4,8055 -4,1877 -3,4996 -2,8750 -2,4151 -2,1636 -2,1107 -2,2078 -2,3759 -2,5206 -2,5629 -2,4737 -2,2872 -2,0871 -1,9720 -2,0116 -2,2204 -2,5605 -2,9617 -3,3451 -3,6393 -3,7876 -3,7576 -3,5475 -3,1830 -2,7191 -2,2368 -1,8188 -1,5255 -1,3869 -1,4046 -1,5595 -1,8208 -2,1552 -2,5318 -2,9179 -3,2724 -3,5530 -3,7334 -3,8179 -3,8477 -3,8878 -3,9990 -4,2182 -4,5482 -4,9530 -5,3694 -5,7296 -5,9834 -6,1041 -6,0737 -5,8723 -5,4856 -4,9136 -4,1779 -3,3327 -2,4654 -1,6772 -1,0528 -0,6415 -0,4553 -0,4765 -0,6674 -0,9781 -1,3506 -1,7305 -2,0886 -2,4291 -2,7726 -3,1406 -3,5439 -3,9671 -4,3676 -4,7020 -4,9492 -5,1086 -5,1870 -5,1933 -5,1392 -5,0414 -4,9196 -4,7904 -4,6593 -4,5222 -4,3772 -4,2346 -4,1186 -4,0626 -4,0986 -4,2416 -4,4751 -4,7539 -5,0212 -5,2311 -5,3674 -5,4425 -5,4758 -5,4798 -5,4661 -5,4504 -5,4415 -5,4371 -5,4372 -5,4565 -5,5075 -5,5749 -5,6183 -5,5969 -5,4878 -5,2861 -4,9995 -4,6447 -4,2463 -3,8351 -3,4444 -3,1053 -2,8372 -2,6400 -2,4971 -2,3897 -2,3121 -2,2687 -2,2563 -2,2605 -2,2704 -2,2860 -2,3121 -2,3497 -2,3978 -2,4587 -2,5382 -2,6386 -2,7616 -2,9169 -3,1179 -3,3654 -3,6312 -3,8527 -3,9566 -3,9073 -3,7301 -3,4807 -3,2073 -2,9484 -2,7375 -2,5932 -2,5180 -2,5082 -2,5573 -2,6631 -2,8298 -3,0563 -3,3202 -3,5774 -3,7822 -3,9126 -3,9703 -3,9649 -3,9161 -3,8656 -3,8729 -3,9902 -4,2415 -4,6154 -5,0631 -5,5006 -5,8293 -5,9737 -5,9165 -5,7139 -5,4713 -5,2843 -5,1967 -5,2054 -5,2868 -5,4112 -5,5500 -5,6819 -5,7886 -5,8417 -5,8047 -5,6614 -5,4377 -5,1825 -4,9313 -4,6957 -4,4798 -4,2946 -4,1548 -4,0676 -4,0266 -4,0195 -4,0324 -4,0504 -4,0616 -4,0667
