Fp1   -0,1726 0,4006 1,0605 1,7758 2,4591 2,9333 2,9196 2,1470 0,5410 -1,6851 -4,1015 -6,1957 -7,5390 -7,9675 -7,6276 -6,8595 -6,0404 -5,4165 -4,9821 -4,5233 -3,8013 -2,7386 -1,4531 -0,0979 1,2803 2,6619 3,9028 4,7731 5,1336 5,0143 4,5506 3,9008 3,2017 2,5518 2,0237 1,6751 1,5151 1,4792 1,4697 1,4381 1,4438 1,5915 1,8622 2,0307 1,8082 1,1084 0,2072 -0,3726 -0,1815 0,8948 2,5841 4,3277 5,4815 5,6129 4,7436 3,3406 2,0618 1,4382 1,6573 2,5175 3,5483 4,2397 4,2919 3,7307 2,7799 1,6328 0,3714 -0,9726 -2,3719 -3,7838 -5,0740 -5,9782 -6,2368 -5,7517 -4,5758 -2,8213 -0,6361 1,7638 4,0505 5,7982 6,6553 6,5609 5,7615 4,6417 3,5817 2,8888 2,7326 3,0898 3,7350 4,2603 4,1600 3,0453 0,9025 -1,8310 -4,4695 -6,3924 -7,2351 -6,8951 -5,4372 -3,0195 0,1091 3,6138 7,1157 10,2153 12,5115 13,6502 13,3839 11,6454 8,6070 4,6517 0,2757 -3,9856 -7,6026 -10,1324 -11,3353 -11,2233 -9,9766 -7,7867 -4,8110 -1,3193 2,1924 5,1328 7,0598 7,8159 7,5185 6,4745 5,0709 3,6716 2,5356 1,7653 1,3126 1,0973 1,2120 1,9806 3,7042 6,3062 9,2306 11,6707 12,9276 12,6523 10,9056 8,1217 5,0052 2,3184 0,6223 0,1314 0,7522 2,2262 4,2386 6,4370 8,4470 9,9599 10,8264 11,0612 10,7776 10,1162 9,2144 8,2277 7,3454 6,7369 6,4662 6,4685 6,6317 6,9117 7,3672 8,0974 9,1348 10,3399 11,3842 11,8993 11,6982 10,8815 9,7545 8,6497 7,8102 7,3870 7,4650 8,0276 8,9057 9,7901 10,3188 10,2299 9,5208 8,4566 7,3786 6,5183 6,0247 6,0755 6,8159 8,2045 9,9933 11,8079 13,2218 13,8720 13,5857 12,3871 10,4553 8,1687 6,0987 4,7930 4,5020 5,0978 6,2007 7,3865 8,3540 8,9407 9,0087 8,3936 7,0090 4,9949 2,7739 0,9548 0,1027 0,4921 1,9669 3,9861 5,8847 7,2158 7,9392 8,3402 8,7545 9,3093 9,8975 10,3419 10,5208 10,3756 9,9072 9,1657 8,2062 7,0748 5,8384 4,6140 3,6000 3,0326 3,0361 3,5272 4,2761 5,0575 5,7719 6,4438 7,1323 7,8617 8,5725 9,0744 9,1051 8,5215 7,4475 6,2268 5,2215 4,6142 4,3332 4,1242 3,7214 3,0092 2,0648 1,0707 0,1946 -0,4524 -0,7529 -0,5234 0,4286 2,1978 4,7344 7,8150 10,9955 13,6369 15,1217 15,1834 14,0592 12,3464 10,7116 9,5966 9,0262 8,6256 7,8708 6,4345 4,4151 2,3138 0,7734 0,2414 0,7771 2,0999 3,7760 5,3964 6,6965 7,6037 8,1739 8,4412 8,3098 7,6223 6,3736 4,8520 3,5432 2,8834 3,0609 3,9335 5,0501 5,8381 5,9208 5,3237 4,4033 3,5800 3,1058 3,0141 3,1970 3,5040 3,8266 4,1294 4,4190 4,6991 4,9456 5,1080 5,1520 5,1188 5,1241 5,2529 5,4546 5,5634 5,4349 5,0845 4,7071 4,5351 4,6605 4,9968 5,3816 5,6734 5,7765 5,6477 5,3277 4,9747 4,8168 4,9961 5,4540 5,9854 6,3804 6,4992 6,2598 5,6286 4,6442 3,4437 2,2497 1,2812 0,6361 0,2792 0,1692 0,4053 1,2365 2,8640 5,1770 7,6865 9,7353 10,8073 10,7305 9,6976 8,1368 6,5161 5,1925 4,3674 4,0896 4,2482 4,5967 4,8526 4,8244 4,4849 3,9493 3,3892 2,9554 2,7483 2,8353 3,2713 4,0755 5,1739 6,3715 7,4159 8,1172 8,4015 8,2643 7,7097 6,7399 5,3766 3,6989 1,9163 0,3776 -0,5919 -0,8657 -0,4983 0,3939 1,6631 3,0791 4,3298 5,1431 5,4704 5,5602 5,7988 6,4230 7,3497 8,2484 8,7852 8,8469 8,5738 8,2036 7,8896 7,6402 7,3638 6,9242 6,2074 5,2233 4,1449 3,2379 2,7681 2,9200 3,6762 4,7197 5,5279 5,6816 5,1328 4,1504 3,0250 1,8801 0,7354 -0,3640 -1,3156 -1,9828 -2,2062 -1,8378 -0,7991 0,9045 3,1796 5,7728 8,2390 10,0864 10,9896 10,8873 9,9453 8,4603 6,7725 5,1932 3,8999 2,8771 2,0063 1,2217 0,5976 0,3138 0,5261 1,2456 2,3480 3,6887 5,1771 6,7279 8,2045 9,4636 10,4238 11,0312 11,1579 10,6058 9,2702 7,3089 5,1504 3,3163 2,2044 1,9984 2,6837 4,0622 5,7995 7,5765 9,2407 10,7946 12,2528 13,5356 14,5028 15,0940 15,4219 15,6846 15,9587 16,0912 15,8027 14,9016 13,4373 11,7018 10,0771 8,8360 8,0763 7,8148 8,0931 8,9604 10,3541 12,0272 13,6187 14,8028 15,4047 15,4082 14,8644 13,8159 12,3215 10,5281 8,6794 7,0200 5,7070 4,8414 4,5331 4,8532 5,7312 6,9378 8,1678 9,1845 9,9735 10,7435 11,7275 12,9941 14,4352 15,8645 17,0862 17,8940 18,0936 17,5824 16,4040 14,7293 12,7807 10,7395 8,7254 6,8787 5,4126 4,5569 4,4794 5,2536 6,8267 8,9798 11,3436 13,4917 15,0701 15,8882 15,9133 15,2019 13,8479 11,9955 9,8906 7,9080 6,4904 5,9893 6,5033 7,8428 9,6415 11,5178 13,1896 14,4780 15,2105 15,1750 14,2336 12,4781 10,2459 8,0131 6,2519 5,3063 5,3283 6,2814 7,9760 10,1262 12,4109 14,4986 16,0583 16,7990 16,5251 15,2069 13,0649 10,5720 8,2926 6,6607 5,8799 5,9695 6,8368 8,2969 10,0436 11,6379 12,6030 12,5931 11,4945 9,4320 6,7699 4,0569 1,8158 0,3179 -0,4179 -0,4616 0,1072 1,1535 2,4768 3,8699 5,1584 6,2129 7,0034 7,6183 8,1098 8,3367 8,0684 7,2206 5,9483 4,5796 3,5117 3,0961 3,4973
Fz    0,0001 0,0788 0,0559 -0,0169 -0,0602 -0,0299 0,0372 0,0371 -0,1463 -0,5952 -1,3167 -2,1929 -3,0044 -3,5631 -3,8336 -3,9543 -4,1594 -4,6147 -5,2806 -5,9335 -6,3005 -6,1954 -5,5851 -4,5559 -3,2355 -1,7692 -0,3272 0,9367 1,9559 2,7712 3,4874 4,2046 4,9546 5,6807 6,2823 6,6632 6,7389 6,4537 5,8339 5,0224 4,2282 3,5817 3,0143 2,3041 1,2695 -0,0533 -1,3860 -2,3579 -2,7135 -2,4113 -1,5919 -0,5166 0,5077 1,2524 1,6624 1,8359 1,9221 2,0147 2,0988 2,0841 1,8821 1,4563 0,8476 0,1764 -0,4238 -0,9008 -1,2999 -1,6977 -2,1423 -2,6280 -3,0718 -3,3157 -3,2106 -2,7198 -1,9227 -0,9267 0,1864 1,3194 2,2922 2,8609 2,8492 2,2682 1,2989 0,1916 -0,8180 -1,5608 -1,9569 -2,0113 -1,8153 -1,5558 -1,4758 -1,7547 -2,3869 -3,1811 -3,8858 -4,3037 -4,3214 -3,9088 -3,1105 -2,0062 -0,6849 0,7489 2,1750 3,4641 4,4765 5,0581 5,0460 4,3198 2,8924 0,9349 -1,3103 -3,5968 -5,6500 -7,1767 -7,9977 -8,1578 -7,8457 -7,2004 -6,2414 -4,9940 -3,6062 -2,3056 -1,2752 -0,5888 -0,2416 -0,2047 -0,4287 -0,8138 -1,2148 -1,4977 -1,5957 -1,4946 -1,1510 -0,4593 0,6513 2,0889 3,5877 4,8210 5,5352 5,6149 5,0855 4,1201 3,0399 2,2292 1,9685 2,3120 3,0945 4,0352 4,8472 5,2995 5,2608 4,7528 3,9628 3,1711 2,6314 2,4681 2,6400 3,0005 3,4069 3,7765 4,0639 4,2278 4,2608 4,2488 4,3552 4,7288 5,4177 6,3179 7,1768 7,6949 7,6757 7,1120 6,1736 5,1311 4,2521 3,7243 3,6476 4,0486 4,8633 5,9099 6,9091 7,5842 7,7982 7,5952 7,0922 6,3718 5,5292 4,7502 4,2431 4,1187 4,3751 4,9267 5,5984 6,1553 6,3979 6,2399 5,7233 5,0180 4,4007 4,1454 4,3709 4,9751 5,6910 6,2008 6,2566 5,7566 4,7418 3,3411 1,7204 0,0561 -1,4690 -2,6681 -3,3862 -3,5621 -3,2678 -2,6833 -1,9946 -1,2801 -0,4818 0,5212 1,7869 3,2128 4,5521 5,5299 5,9621 5,8133 5,1891 4,2755 3,2638 2,3047 1,4762 0,7793 0,1953 -0,2674 -0,5967 -0,7965 -0,8529 -0,7095 -0,2879 0,4586 1,4984 2,7151 3,9248 4,8999 5,4273 5,3956 4,8524 3,9911 3,0678 2,2886 1,7303 1,3390 0,9984 0,6185 0,1877 -0,2335 -0,5629 -0,7493 -0,7681 -0,5704 -0,0779 0,7705 1,9755 3,4433 4,9583 6,2132 6,9319 7,0274 6,6535 6,1047 5,6610 5,4752 5,5388 5,7066 5,7519 5,4607 4,7547 3,7593 2,7253 1,8595 1,2351 0,8526 0,7253 0,8795 1,3122 1,9779 2,7857 3,5831 4,1586 4,3227 4,0401 3,4760 2,8816 2,4405 2,2153 2,1662 2,1695 2,0675 1,7592 1,2572 0,6638 0,1040 -0,3212 -0,5385 -0,5061 -0,2295 0,2503 0,8850 1,6169 2,3441 2,8957 3,0693 2,7409 1,9639 0,9444 -0,0912 -0,9973 -1,7049 -2,1735 -2,3636 -2,2453 -1,8290 -1,1837 -0,4156 0,3705 1,0978 1,7208 2,2162 2,5950 2,9423 3,4049 4,0674 4,8354 5,4644 5,7085 5,4602 4,7795 3,8133 2,7007 1,5403 0,4091 -0,6212 -1,4941 -2,1690 -2,5889 -2,6395 -2,1711 -1,1126 0,4124 2,1005 3,6114 4,7149 5,3500 5,5880 5,5437 5,3031 4,9089 4,4042 3,8844 3,4805 3,2707 3,2152 3,1803 3,0265 2,6882 2,1971 1,6643 1,2662 1,2277 1,7401 2,8246 4,2604 5,6721 6,7258 7,2589 7,2576 6,7730 5,8780 4,6803 3,3383 2,0310 0,9141 0,1002 -0,3632 -0,5134 -0,4311 -0,1690 0,2668 0,8765 1,6113 2,3440 2,9096 3,2142 3,2997 3,2818 3,2326 3,1419 2,9949 2,8727 2,9419 3,3202 3,9709 4,7376 5,4493 5,9641 6,1570 5,9402 5,3174 4,3983 3,3543 2,3638 1,5574 0,9522 0,4355 -0,1290 -0,7379 -1,2223 -1,4074 -1,2595 -0,8724 -0,3750 0,1170 0,5195 0,8100 1,0426 1,3331 1,8405 2,6987 3,8853 5,1495 6,0982 6,3735 5,8093 4,4930 2,7090 0,8344 -0,7499 -1,7584 -2,0763 -1,7429 -0,8949 0,2690 1,5328 2,7146 3,6835 4,3609 4,7391 4,8778 4,8531 4,7184 4,5231 4,3411 4,2365 4,1829 4,0496 3,7026 3,1356 2,5153 2,0848 2,0022 2,2686 2,7831 3,4064 3,9865 4,4068 4,6387 4,7214 4,6962 4,5740 4,3506 4,0581 3,8081 3,7465 3,9348 4,2815 4,6058 4,7653 4,7309 4,5731 4,3952 4,2638 4,1850 4,1349 4,1085 4,1408 4,2713 4,4883 4,7132 4,8466 4,8283 4,6380 4,2319 3,5228 2,4614 1,1312 -0,2605 -1,5066 -2,5194 -3,3193 -3,9288 -4,3122 -4,3978 -4,1447 -3,6114 -2,9395 -2,2248 -1,4260 -0,4222 0,8683 2,4211 4,1165 5,7782 7,2001 8,1857 8,6022 8,4135 7,6957 6,6291 5,4273 4,2515 3,2106 2,4313 2,0852 2,3321 3,2346 4,6988 6,4776 8,2618 9,8038 10,9681 11,6857 11,8973 11,5528 10,6560 9,3086 7,7124 6,1187 4,7588 3,7822 3,2273 3,0550 3,2170 3,6961 4,4985 5,5950 6,8446 7,9859 8,7320 8,8975 8,4607 7,5498 6,3831 5,2112 4,2991 3,9093 4,2139 5,1908 6,6157 8,1527 9,4655 10,2919 10,4644 9,9249 8,7634 7,2288 5,6576 4,3534 3,5000 3,1459 3,2338 3,6420 4,2101 4,7450 5,0491 4,9853 4,5122 3,6743 2,6063 1,5231 0,6152 -0,0691 -0,5992 -1,0273 -1,3299 -1,4803 -1,5127 -1,4883 -1,4339 -1,3306 -1,1290 -0,7774 -0,2877 0,2252 0,6100 0,7911 0,8043 0,7443 0,7092 0,7926 1,0743
F3    -2,3891 -2,6911 -2,7811 -2,6083 -2,1509 -1,4636 -0,7034 -0,0731 0,2776 0,2873 -0,0423 -0,6421 -1,3699 -2,0782 -2,7075 -3,3300 -4,0952 -5,0745 -6,1438 -7,0319 -7,4552 -7,2290 -6,3229 -4,8372 -2,9452 -0,8780 1,0782 2,6557 3,7179 4,3157 4,6545 4,9904 5,4914 6,1537 6,8340 7,3331 7,4596 7,0996 6,2927 5,2512 4,2727 3,5543 3,0328 2,4170 1,4150 -0,0179 -1,6049 -2,9056 -3,5647 -3,4482 -2,6371 -1,3767 0,0062 1,2411 2,2226 3,0012 3,6810 4,2999 4,7630 4,8853 4,5114 3,6161 2,3464 0,9794 -0,2182 -1,1274 -1,7808 -2,2696 -2,6710 -3,0109 -3,2235 -3,1589 -2,6883 -1,8087 -0,6225 0,7535 2,2088 3,5650 4,5236 4,7539 4,0939 2,6752 0,8474 -0,9885 -2,4877 -3,4048 -3,6180 -3,1524 -2,2023 -1,1179 -0,3090 -0,0739 -0,4558 -1,2480 -2,1493 -2,9203 -3,4265 -3,6068 -3,4225 -2,8285 -1,8065 -0,4221 1,1659 2,7339 4,0332 4,8344 4,9578 4,3192 2,9930 1,1926 -0,8499 -2,9501 -4,9130 -6,5038 -7,5386 -7,9671 -7,8209 -7,1151 -5,8699 -4,2445 -2,5821 -1,2688 -0,5409 -0,4146 -0,7600 -1,4017 -2,1534 -2,8078 -3,1622 -3,0993 -2,6560 -1,9708 -1,1226 -0,0468 1,3513 3,0137 4,6766 5,9862 6,6622 6,5749 5,7411 4,3406 2,7408 1,4092 0,7222 0,8106 1,5344 2,5749 3,5755 4,2461 4,4175 4,0810 3,3999 2,6534 2,1091 1,8904 1,9365 2,0952 2,2570 2,4016 2,5369 2,6315 2,6459 2,6244 2,7053 3,0329 3,6702 4,5481 5,4537 6,1115 6,3210 6,0428 5,3924 4,5748 3,7997 3,2345 3,0073 3,2013 3,8128 4,7096 5,6317 6,2774 6,4603 6,1978 5,6188 4,8270 3,9263 3,1188 2,6501 2,6685 3,1822 4,0711 5,0718 5,8259 6,0268 5,5469 4,4789 3,1242 1,9150 1,2439 1,2894 1,9581 2,9541 3,9121 4,5352 4,6689 4,2863 3,4382 2,2242 0,8002 -0,6043 -1,7207 -2,3498 -2,4628 -2,2015 -1,7879 -1,3989 -1,0796 -0,7395 -0,2276 0,5423 1,4985 2,4428 3,1687 3,5584 3,6173 3,4560 3,2217 3,0226 2,8927 2,7936 2,6517 2,4296 2,1514 1,8450 1,5181 1,2126 1,0435 1,1574 1,6372 2,4403 3,4140 4,3323 4,9255 4,9665 4,3972 3,3775 2,2122 1,2142 0,5823 0,3428 0,3672 0,4514 0,4239 0,2352 -0,0195 -0,1723 -0,1026 0,2101 0,7331 1,4339 2,2961 3,3159 4,4549 5,5773 6,4500 6,8455 6,6861 6,1017 5,3585 4,7255 4,3611 4,2724 4,3334 4,3301 4,0442 3,3779 2,4368 1,4725 0,7098 0,2264 0,0052 0,0431 0,3570 0,9242 1,6742 2,5149 3,3253 3,9478 4,2401 4,1628 3,8091 3,3306 2,8391 2,3753 1,9234 1,4293 0,8434 0,1745 -0,5166 -1,1809 -1,8108 -2,3966 -2,8650 -3,0908 -2,9714 -2,4699 -1,6108 -0,4714 0,8169 2,0631 3,0301 3,5089 3,4150 2,8017 1,7856 0,4934 -0,9253 -2,2785 -3,3522 -3,9679 -4,0568 -3,6937 -3,0451 -2,2681 -1,4548 -0,6602 0,0507 0,6222 1,0833 1,5597 2,1550 2,8275 3,4017 3,6834 3,5687 3,0696 2,2573 1,2043 -0,0105 -1,2649 -2,4026 -3,2988 -3,9025 -4,1967 -4,1180 -3,5464 -2,4157 -0,8456 0,8612 2,3684 3,4600 4,0878 4,3141 4,2242 3,8774 3,3049 2,5482 1,7118 0,9535 0,4023 0,0970 -0,0081 -0,0070 -0,0032 -0,0628 -0,1718 -0,2157 0,0018 0,6682 1,8158 3,2357 4,5612 5,4722 5,8301 5,6401 4,9465 3,7978 2,2957 0,6424 -0,8891 -2,0393 -2,6458 -2,6991 -2,3261 -1,6936 -0,9141 -0,0317 0,9228 1,8640 2,6232 3,0077 2,9241 2,4506 1,7797 1,0888 0,4633 -0,0580 -0,3852 -0,3735 0,0557 0,8187 1,7192 2,5713 3,2428 3,6215 3,6266 3,2659 2,6419 1,8943 1,1542 0,5178 0,0061 -0,4512 -0,9371 -1,4255 -1,7784 -1,8856 -1,7638 -1,5035 -1,1666 -0,7681 -0,3233 0,1347 0,5738 0,9926 1,4561 2,0712 2,8681 3,7070 4,3104 4,3744 3,7021 2,3082 0,4175 -1,6164 -3,3873 -4,5276 -4,8219 -4,2580 -2,9966 -1,3062 0,5105 2,1860 3,5268 4,4312 4,9095 5,0684 5,0295 4,8520 4,5433 4,1275 3,6652 3,1961 2,6997 2,1470 1,5868 1,1689 1,0602 1,3180 1,8462 2,4621 2,9788 3,2465 3,2004 2,9013 2,4899 2,0868 1,7420 1,4588 1,2605 1,2402 1,5182 2,1217 2,9144 3,6657 4,1900 4,4318 4,4652 4,4327 4,4521 4,5565 4,7070 4,8515 4,9684 5,0561 5,0956 5,0478 4,8870 4,6225 4,2722 3,8016 3,1135 2,1358 0,9253 -0,3358 -1,4638 -2,3942 -3,1611 -3,7784 -4,1836 -4,2885 -4,0552 -3,5477 -2,8991 -2,1832 -1,3408 -0,2622 1,0835 2,6191 4,2314 5,8240 7,2820 8,4361 9,0980 9,1348 8,5361 7,4324 6,0284 4,5065 3,0080 1,6889 0,7464 0,3787 0,7090 1,7128 3,1998 4,8880 6,5280 7,9747 9,1546 9,9813 10,3105 9,9854 8,9510 7,3377 5,4382 3,5991 2,0962 1,0660 0,5307 0,4709 0,8690 1,7071 2,9187 4,3211 5,6251 6,5570 6,9789 6,9092 6,4739 5,8403 5,1714 4,6360 4,4243 4,6808 5,4009 6,4082 7,4271 8,1929 8,5301 8,3552 7,6480 6,4655 4,9783 3,4535 2,1762 1,3585 1,0894 1,3433 2,0116 2,9053 3,7468 4,2421 4,2155 3,6712 2,7445 1,6429 0,5976 -0,2358 -0,8605 -1,3784 -1,8375 -2,1854 -2,3727 -2,4331 -2,4413 -2,4337 -2,3934 -2,2691 -2,0044 -1,6103 -1,2014 -0,9066 -0,7571 -0,6825 -0,5840 -0,3810 -0,0088 0,5822
F7    -1,6211 -1,8765 -2,1634 -2,4240 -2,5939 -2,6406 -2,5803 -2,4660 -2,3729 -2,3849 -2,5431 -2,7663 -2,8651 -2,6917 -2,2731 -1,8225 -1,6375 -1,9181 -2,6286 -3,5213 -4,2763 -4,6427 -4,5082 -3,8696 -2,7868 -1,4048 0,0222 1,2242 2,0732 2,6425 3,1198 3,6711 4,3492 5,0874 5,7733 6,3140 6,6295 6,6418 6,3220 5,7465 5,0755 4,4263 3,7545 2,8892 1,7018 0,2574 -1,1704 -2,2300 -2,6615 -2,3800 -1,4749 -0,1938 1,1250 2,2084 2,9718 3,4969 3,9198 4,3217 4,6777 4,8975 4,9013 4,6579 4,2014 3,6361 3,0703 2,5360 2,0073 1,4789 0,9851 0,5637 0,2487 0,0956 0,1636 0,4698 0,9986 1,7504 2,7343 3,8849 4,9839 5,6950 5,7356 5,0436 3,7930 2,2943 0,8834 -0,1683 -0,7023 -0,6810 -0,2023 0,4860 1,0489 1,2233 0,9489 0,3574 -0,3399 -0,9428 -1,2924 -1,2903 -0,9125 -0,1910 0,8066 1,9875 3,2542 4,5139 5,6632 6,5604 7,0130 6,8352 5,9712 4,5388 2,7371 0,7703 -1,1252 -2,6873 -3,7476 -4,3217 -4,5245 -4,3931 -3,8477 -2,8474 -1,5349 -0,1907 0,9316 1,7118 2,1437 2,2668 2,1408 1,8610 1,5556 1,3443 1,2883 1,3885 1,6553 2,1649 3,0054 4,1600 5,4483 6,5752 7,2547 7,3313 6,8320 5,9533 5,0064 4,3173 4,1043 4,4010 5,0760 5,9211 6,7303 7,3150 7,5001 7,1778 6,3941 5,3638 4,3774 3,6636 3,2992 3,2307 3,3780 3,7007 4,1685 4,7100 5,2424 5,7459 6,2741 6,9001 7,6559 8,4689 9,1373 9,4108 9,1240 8,2792 7,0558 5,7526 4,6800 4,0652 4,0228 4,5607 5,5803 6,8712 8,1294 9,0385 9,4093 9,2557 8,7120 7,9120 6,9966 6,1701 5,6390 5,5117 5,7919 6,4046 7,1885 7,9258 8,4287 8,5958 8,4200 8,0012 7,5457 7,2792 7,3205 7,6292 8,0454 8,3579 8,3764 8,0006 7,2470 6,2204 5,0652 3,9308 2,9563 2,2538 1,8844 1,8448 2,0677 2,4313 2,8120 3,1650 3,5577 4,1184 4,9293 5,9302 6,9190 7,6535 7,9673 7,8299 7,3377 6,6489 5,9125 5,2352 4,6657 4,1890 3,7690 3,3933 3,0656 2,7897 2,5937 2,5483 2,7362 3,1952 3,8891 4,7120 5,4905 5,9996 6,0383 5,5320 4,5832 3,4416 2,4035 1,6863 1,3507 1,3147 1,4340 1,5864 1,7133 1,8126 1,9038 1,9937 2,0881 2,2338 2,5148 3,0086 3,7528 4,7121 5,7379 6,5780 6,9915 6,9012 6,4327 5,8151 5,2598 4,8906 4,7198 4,6505 4,5059 4,1091 3,3988 2,4970 1,6411 1,0229 0,7005 0,6502 0,8461 1,2584 1,8255 2,4741 3,1421 3,7493 4,1602 4,2334 3,9456 3,4437 2,9404 2,5816 2,4184 2,4332 2,5379 2,5905 2,4671 2,1239 1,5993 0,9818 0,3901 -0,0237 -0,1033 0,2432 1,0059 2,0829 3,3071 4,4743 5,3625 5,7564 5,5163 4,6627 3,3775 1,9069 0,4729 -0,7456 -1,6068 -2,0122 -1,9198 -1,3624 -0,4575 0,6234 1,7229 2,7402 3,6111 4,2771 4,7088 4,9662 5,1909 5,4843 5,7975 5,9611 5,8198 5,3559 4,7041 4,0441 3,4751 2,9836 2,5056 1,9926 1,4292 0,8300 0,2652 -0,0980 -0,0271 0,6221 1,7505 3,0375 4,1237 4,7784 4,9530 4,7404 4,2942 3,7593 3,2410 2,8176 2,5768 2,6073 2,9248 3,4115 3,8510 4,0418 3,8977 3,4688 2,9007 2,3993 2,2094 2,5416 3,4409 4,7106 5,9923 6,9534 7,4113 7,3089 6,6526 5,5128 4,0519 2,5002 1,0853 -0,0211 -0,7208 -1,0132 -0,9983 -0,8020 -0,4786 0,0057 0,7016 1,5861 2,5209 3,3068 3,8092 4,0308 4,0486 3,8985 3,5447 2,9746 2,3216 1,8562 1,8143 2,2384 2,9888 3,8655 4,6823 5,2701 5,4885 5,2718 4,6538 3,7528 2,7404 1,7822 0,9471 0,1646 -0,6738 -1,5435 -2,2586 -2,6332 -2,6284 -2,3409 -1,9105 -1,4635 -1,0836 -0,7823 -0,4984 -0,1263 0,4626 1,3691 2,5539 3,7746 4,6662 4,8977 4,3093 2,9846 1,2137 -0,6133 -2,1179 -3,0389 -3,2882 -2,9116 -2,0360 -0,8557 0,4021 1,5383 2,4088 2,9291 3,1024 3,0292 2,8518 2,6892 2,6232 2,7135 2,9795 3,3506 3,6637 3,7491 3,5498 3,1762 2,8185 2,5862 2,4528 2,3373 2,1789 1,9509 1,6724 1,4085 1,2191 1,1218 1,1148 1,2157 1,4777 1,9756 2,7442 3,7050 4,6586 5,3684 5,6750 5,5647 5,1609 4,6484 4,1792 3,8202 3,5709 3,4185 3,3781 3,4728 3,6804 3,9151 4,0762 4,1159 4,0378 3,8204 3,3878 2,6917 1,8119 0,9493 0,2921 -0,1194 -0,3803 -0,5904 -0,7649 -0,8496 -0,7972 -0,6427 -0,4829 -0,3518 -0,1430 0,3294 1,2127 2,5287 4,1546 5,8568 7,3492 8,3821 8,8248 8,6699 7,9983 6,9587 5,7229 4,4315 3,2091 2,2304 1,7266 1,9043 2,8380 4,4015 6,2915 8,1522 9,7130 10,8318 11,4387 11,4781 10,9140 9,7730 8,1848 6,3842 4,6492 3,2077 2,1739 1,5561 1,3295 1,5035 2,1215 3,2040 4,6710 6,2817 7,6690 8,4891 8,5722 7,9672 6,8855 5,6056 4,3918 3,4801 3,0939 3,3865 4,3424 5,7601 7,3279 8,7201 9,6686 9,9989 9,6555 8,7310 7,4499 6,0875 4,8793 3,9736 3,4282 3,2325 3,3427 3,6957 4,1857 4,6580 4,9576 4,9773 4,6807 4,1359 3,5097 2,9602 2,5182 2,1070 1,6658 1,2128 0,8011 0,4659 0,2272 0,1106 0,1493 0,3896 0,8704 1,5475 2,2589 2,8068 3,0733 3,0577 2,8277 2,4774 2,1382 1,9704
