Fp1   0,8658 0,7168 0,7479 0,8482 0,9004 0,8478 0,7090 0,5304 0,3480 0,1948 0,1146 0,1425 0,2735 0,4628 0,6567 0,8107 0,8805 0,8262 0,6411 0,3620 0,0555 -0,2032 -0,3556 -0,3828 -0,2973 -0,1186 0,1251 0,3714 0,5327 0,5526 0,4495 0,3007 0,1865 0,1394 0,1365 0,1351 0,1119 0,0586 -0,0510 -0,2522 -0,5369 -0,8396 -1,0906 -1,2639 -1,3754 -1,4618 -1,5542 -1,6578 -1,7586 -1,8358 -1,8613 -1,8158 -1,7213 -1,6429 -1,6369 -1,7009 -1,7833 -1,8243 -1,7814 -1,6413 -1,4321 -1,2151 -1,0463 -0,9439 -0,8946 -0,8790 -0,8825 -0,9049 -0,9686 -1,1076 -1,3439 -1,6671 -2,0310 -2,3823 -2,6944 -2,9665 -3,2060 -3,4264 -3,6513 -3,8942 -4,1458 -4,3854 -4,5875 -4,7116 -4,7140 -4,5779 -4,3260 -4,0048 -3,6722 -3,3922 -3,2162 -3,1545 -3,1665 -3,1781 -3,1185 -2,9600 -2,7406 -2,5493 -2,4647 -2,4953 -2,5920 -2,7028 -2,7939 -2,8346 -2,7942 -2,6547 -2,4130 -2,0676 -1,6038 -0,9988 -0,2613 0,5270 1,2369 1,7725 2,1198 2,3240 2,4399 2,5113 2,5638 2,5914 2,5585 2,4175 2,1301 1,6952 1,1591 0,5895 0,0507 -0,3879 -0,6480 -0,6765 -0,4838 -0,1464 0,2201 0,4956 0,5836 0,4409 0,0996 -0,3498 -0,8141 -1,2365 -1,5943 -1,8991 -2,2025 -2,5668 -3,0153 -3,5089 -3,9503 -4,2254 -4,2778 -4,1410 -3,8979 -3,6244 -3,3536 -3,0610 -2,6864 -2,1885 -1,5776 -0,9043 -0,2300 0,4069 1,0031 1,5521 2,0015 2,2717 2,3137 2,1373 1,7926 1,3396 0,8403 0,3623 -0,0241 -0,2460 -0,2255 0,0964 0,7078 1,5014 2,3228 3,0510 3,6342 4,0683 4,3812 4,6352 4,8958 5,1709 5,3982 5,4980 5,4329 5,2290 4,9544 4,6699 4,3988 4,1446 3,9177 3,7312 3,5885 3,4890 3,4377 3,4403 3,4839 3,5279 3,5200 3,4181 3,2039 2,9010 2,5784 2,3234 2,2011 2,2304 2,3813 2,5846 2,7586 2,8501 2,8583 2,8232 2,7893 2,7733 2,7608 2,7232 2,6296 2,4612 2,2186 1,9093 1,5433 1,1441 0,7426 0,3630 0,0224 -0,2620 -0,4804 -0,6404 -0,7686 -0,9140 -1,1331 -1,4581 -1,8836 -2,3659 -2,8234 -3,1558 -3,2806 -3,1643 -2,8336 -2,3586 -1,8196 -1,2838 -0,7962 -0,3792 -0,0458 0,1804 0,2652 0,1899 -0,0245 -0,3229 -0,6477 -0,9575 -1,2163 -1,3862 -1,4369 -1,3517 -1,1222 -0,7513 -0,2616 0,3027 0,8688 1,3294 1,5744 1,5494 1,2875 0,8865 0,4595 0,0980 -0,1480 -0,2665 -0,2650 -0,1613 0,0156 0,2322 0,4552 0,6494 0,7772 0,8084 0,7394 0,5997 0,4357 0,2989 0,2416 0,3021 0,4958 0,8202 1,2407 1,6753 2,0314 2,2680 2,4099 2,5039 2,5717 2,6051 2,5848 2,4895 2,3032 2,0287 1,6969 1,3683 1,1171 0,9886 0,9639 0,9819 1,0018 1,0287 1,0780 1,1329 1,1525 1,1205 1,0862 1,1466 1,3802 1,8000 2,3596 2,9794 3,5653 4,0293 4,3129 4,4039 4,3344 4,1579 3,9275 3,6983 3,5341 3,4949 3,6124 3,8670 4,1880 4,4858 4,6963 4,8036 4,8225 4,7730 4,6778 4,5710 4,4953 4,4757 4,4959 4,5197 4,5348 4,5539 4,5788 4,5923 4,5879 4,5856 4,6141 4,6909 4,8192 4,9868 5,1585 5,2803 5,3110 5,2538 5,1600 5,1141 5,1998 5,4490 5,8188 6,2226 6,5808 6,8456 6,9891 6,9895 6,8503 6,6263 6,4083 6,2743 6,2500 6,3010 6,3470 6,2960 6,0952 5,7568 5,3456 4,9608 4,7116 4,6689 4,8386 5,1775 5,6108 6,0449 6,3993 6,6293 6,7286 6,7372 6,7403 6,8308 7,0618 7,4247 7,8568 8,2698 8,5838 8,7425 8,7141 8,4940 8,1095 7,6150 7,0925 6,6526 6,3972 6,3636 6,5115 6,7644 7,0550 7,3409 7,5973 7,8141 8,0019 8,1856 8,3731 8,5324 8,6154 8,6000 8,5037 8,3739 8,2615 8,1874 8,1317 8,0513 7,9132 7,7228 7,5116 7,2980 7,0785 6,8548 6,6451 6,4675 6,3237 6,2141 6,1611 6,2026 6,3612 6,6261 6,9618 7,3209 7,6423 7,8513 7,8948 7,7885 7,6143 7,4589 7,3572 7,2972 7,2574 7,2333 7,2460 7,3335 7,5218 7,7943 8,0881 8,3127 8,3860 8,2698 7,9885 7,6210 7,2619 6,9653 6,7333 6,5583 6,4447 6,3940 6,4055 6,4829 6,6226 6,7967 6,9548 7,0489 7,0550 6,9729 6,8203 6,6283 6,4240 6,2182 6,0246 5,8880 5,8602 5,9479 6,1062 6,2659 6,3607 6,3560 6,2569 6,0817 5,8467 5,5809 5,3374 5,1800 5,1641 5,3221 5,6411 6,0601 6,5013 6,8966 7,1923 7,3514 7,3593 7,2263 6,9900 6,7080 6,4385 6,2153 6,0266 5,8219 5,5407 5,1357 4,5939 3,9510 3,2803 2,6644 2,1754 1,8624 1,7403 1,7777 1,8990 2,0071 2,0211 1,9059 1,6758 1,3789 1,0811 0,8473 0,7235 0,7327 0,8843 1,1714 1,5575 1,9892 2,4206 2,8121 3,1112 3,2591 3,2262 3,0414 2,7777 2,5063 2,2581 2,0191 1,7620 1,4898 1,2493 1,1003 1,0741 1,1569 1,3010 1,4481 1,5468 1,5613 1,4822 1,3329 1,1578 1,0064 0,9282 0,9653 1,1406 1,4505 1,8539 2,2800 2,6760 3,0426 3,4045 3,7602 4,0716 4,2827 4,3409 4,2160 3,9067 3,4341 2,8341 2,1649 1,5158 0,9884 0,6613 0,5695 0,7061 1,0432 1,5570 2,2270 2,9997 3,7724 4,4290 4,8884 5,1159 5,1098 4,8839 4,4593 3,8674 3,1641 2,4466 1,8458 1,4778 1,3894 1,5465 1,8637 2,2398 2,5855 2,8472 3,0122
Fz    1,9819 1,6056 1,4001 1,3356 1,3329 1,3117 1,2337 1,1034 0,9475 0,8106 0,7493 0,7991 0,9460 1,1411 1,3359 1,4919 1,5632 1,5044 1,3006 0,9746 0,5724 0,1490 -0,2429 -0,5609 -0,7716 -0,8579 -0,8378 -0,7705 -0,7275 -0,7495 -0,8249 -0,9022 -0,9207 -0,8434 -0,6768 -0,4615 -0,2484 -0,0850 -0,0204 -0,0974 -0,3237 -0,6557 -1,0227 -1,3632 -1,6403 -1,8380 -1,9573 -2,0187 -2,0595 -2,1125 -2,1771 -2,2257 -2,2447 -2,2539 -2,2708 -2,2689 -2,1836 -1,9561 -1,5708 -1,0640 -0,5115 -0,0021 0,3965 0,6540 0,7728 0,7817 0,7281 0,6512 0,5582 0,4276 0,2293 -0,0529 -0,4067 -0,7929 -1,1597 -1,4534 -1,6331 -1,6909 -1,6606 -1,6024 -1,5771 -1,6284 -1,7703 -1,9790 -2,2017 -2,3816 -2,4770 -2,4657 -2,3533 -2,1862 -2,0336 -1,9376 -1,8830 -1,8181 -1,7045 -1,5517 -1,4169 -1,3718 -1,4566 -1,6511 -1,8962 -2,1404 -2,3580 -2,5385 -2,6793 -2,7779 -2,8167 -2,7619 -2,5817 -2,2644 -1,8327 -1,3512 -0,9011 -0,5294 -0,2164 0,0951 0,4429 0,8201 1,1865 1,4919 1,7031 1,8138 1,8350 1,7869 1,7028 1,6197 1,5631 1,5489 1,5962 1,7252 1,9442 2,2422 2,5932 2,9540 3,2576 3,4316 3,4392 3,2947 3,0400 2,7187 2,3724 2,0316 1,7021 1,3748 1,0534 0,7702 0,5837 0,5526 0,6949 0,9722 1,3147 1,6582 1,9693 2,2591 2,5719 2,9508 3,4046 3,8999 4,3812 4,8078 5,1782 5,5101 5,7974 6,0007 6,0827 6,0459 5,9329 5,7977 5,6851 5,6278 5,6513 5,7784 6,0213 6,3643 6,7533 7,1109 7,3686 7,4938 7,4976 7,4243 7,3380 7,3056 7,3673 7,5160 7,7041 7,8740 7,9853 8,0251 7,9998 7,9130 7,7541 7,5076 7,1653 6,7260 6,2033 5,6467 5,1436 4,7778 4,5779 4,5044 4,4767 4,4154 4,2778 4,0749 3,8604 3,6999 3,6483 3,7375 3,9549 4,2287 4,4619 4,5968 4,6458 4,6658 4,7076 4,7795 4,8449 4,8446 4,7221 4,4547 4,0708 3,6305 3,1926 2,7996 2,4731 2,2169 2,0293 1,9127 1,8659 1,8710 1,8858 1,8505 1,7168 1,4772 1,1642 0,8384 0,5774 0,4488 0,4770 0,6389 0,8836 1,1600 1,4375 1,7059 1,9655 2,2188 2,4565 2,6475 2,7529 2,7520 2,6522 2,4764 2,2457 1,9798 1,7074 1,4669 1,2993 1,2420 1,3238 1,5538 1,9144 2,3575 2,7994 3,1256 3,2267 3,0523 2,6423 2,1057 1,5678 1,1263 0,8402 0,7370 0,8148 1,0335 1,3224 1,6097 1,8444 1,9988 2,0594 2,0241 1,9095 1,7573 1,6234 1,5607 1,6116 1,8015 2,1292 2,5631 3,0417 3,4860 3,8317 4,0601 4,1890 4,2411 4,2261 4,1459 4,0066 3,8269 3,6365 3,4642 3,3276 3,2387 3,2113 3,2525 3,3497 3,4763 3,6086 3,7314 3,8245 3,8580 3,8103 3,6964 3,5772 3,5344 3,6238 3,8518 4,1932 4,6170 5,0909 5,5750 6,0211 6,3803 6,6124 6,6985 6,6546 6,5369 6,4185 6,3571 6,3786 6,4775 6,6218 6,7617 6,8488 6,8550 6,7819 6,6568 6,5233 6,4282 6,4121 6,4940 6,6595 6,8712 7,0961 7,3134 7,5027 7,6450 7,7385 7,8049 7,8785 7,9940 8,1708 8,3950 8,6183 8,7860 8,8674 8,8651 8,8080 8,7471 8,7441 8,8396 9,0318 9,2854 9,5502 9,7734 9,9069 9,9239 9,8388 9,7059 9,5932 9,5495 9,5854 9,6748 9,7703 9,8234 9,8042 9,7035 9,5212 9,2706 8,9872 8,7157 8,4903 8,3339 8,2573 8,2569 8,3222 8,4430 8,6070 8,8071 9,0541 9,3707 9,7701 10,2397 10,7354 11,1825 11,4920 11,5910 11,4523 11,1090 10,6445 10,1553 9,7257 9,4329 9,3434 9,4792 9,7959 10,1982 10,5774 10,8465 10,9626 10,9353 10,8209 10,7017 10,6469 10,6779 10,7701 10,8808 10,9755 11,0420 11,0831 11,0930 11,0420 10,8907 10,6222 10,2645 9,8707 9,4793 9,1006 8,7360 8,3946 8,0900 7,8261 7,5956 7,3890 7,2054 7,0610 6,9824 6,9829 7,0520 7,1607 7,2679 7,3412 7,3882 7,4484 7,5474 7,6731 7,7969 7,9008 7,9865 8,0754 8,2032 8,4038 8,6833 9,0075 9,3109 9,5224 9,5950 9,5276 9,3638 9,1622 8,9627 8,7867 8,6573 8,5953 8,6060 8,6868 8,8342 9,0295 9,2268 9,3697 9,4289 9,4242 9,4052 9,4102 9,4441 9,4847 9,4962 9,4517 9,3538 9,2212 9,0588 8,8597 8,6256 8,3723 8,1245 7,9059 7,7230 7,5602 7,3977 7,2295 7,0709 6,9602 6,9432 7,0424 7,2439 7,5151 7,8145 8,0911 8,2961 8,3973 8,3809 8,2598 8,0850 7,9262 7,8254 7,7683 7,6996 7,5580 7,3045 6,9404 6,5088 6,0737 5,6977 5,4301 5,3004 5,3104 5,4287 5,5962 5,7412 5,7998 5,7342 5,5369 5,2267 4,8479 4,4617 4,1244 3,8745 3,7373 3,7259 3,8288 4,0098 4,2258 4,4353 4,5950 4,6634 4,6164 4,4620 4,2404 4,0063 3,8075 3,6703 3,6040 3,6206 3,7440 3,9949 4,3672 4,8140 5,2544 5,6027 5,7987 5,8209 5,6888 5,4500 5,1516 4,8227 4,4916 4,2025 4,0063 3,9332 3,9688 4,0584 4,1507 4,2335 4,3185 4,4032 4,4610 4,4645 4,4059 4,2959 4,1497 3,9775 3,7840 3,5784 3,3833 3,2272 3,1242 3,0669 3,0344 3,0061 2,9694 2,9132 2,8238 2,6954 2,5323 2,3320 2,0801 1,7665 1,3934 0,9671 0,4996 0,0173 -0,4354 -0,8039 -1,0380 -1,1112 -1,0314 -0,8350 -0,5734 -0,2976 -0,0476 0,1455
F3    2,1621 1,6274 1,2917 1,1308 1,0618 1,0079 0,9389 0,8519 0,7473 0,6480 0,6111 0,6857 0,8671 1,1063 1,3530 1,5626 1,6750 1,6297 1,4128 1,0664 0,6630 0,2779 -0,0370 -0,2632 -0,4022 -0,4605 -0,4598 -0,4499 -0,4861 -0,5832 -0,6995 -0,7669 -0,7400 -0,6232 -0,4590 -0,2936 -0,1567 -0,0709 -0,0708 -0,1937 -0,4430 -0,7761 -1,1364 -1,4847 -1,7965 -2,0504 -2,2301 -2,3404 -2,4153 -2,4890 -2,5549 -2,5720 -2,5238 -2,4451 -2,3766 -2,3114 -2,2006 -1,9985 -1,6921 -1,2999 -0,8643 -0,4457 -0,1033 0,1280 0,2410 0,2461 0,1650 0,0164 -0,1948 -0,4701 -0,8011 -1,1554 -1,4770 -1,7140 -1,8475 -1,8845 -1,8418 -1,7553 -1,6822 -1,6750 -1,7603 -1,9445 -2,2196 -2,5533 -2,8836 -3,1400 -3,2776 -3,2939 -3,2210 -3,1155 -3,0439 -3,0430 -3,0841 -3,0894 -2,9878 -2,7635 -2,4709 -2,2095 -2,0664 -2,0668 -2,1842 -2,3844 -2,6403 -2,9202 -3,1867 -3,4090 -3,5628 -3,6222 -3,5537 -3,3208 -2,9149 -2,3905 -1,8469 -1,3564 -0,9100 -0,4465 0,0703 0,6137 1,1158 1,5038 1,7256 1,7616 1,6277 1,3777 1,0939 0,8530 0,6953 0,6332 0,6679 0,7842 0,9565 1,1765 1,4582 1,7985 2,1423 2,3973 2,4828 2,3693 2,0877 1,7095 1,3081 0,9149 0,5073 0,0513 -0,4451 -0,9173 -1,2662 -1,4031 -1,3035 -1,0207 -0,6439 -0,2472 0,1365 0,5195 0,9380 1,4122 1,9249 2,4325 2,8911 3,2866 3,6447 3,9874 4,2838 4,4680 4,5085 4,4366 4,3063 4,1553 4,0144 3,9272 3,9418 4,0898 4,3723 4,7529 5,1605 5,5135 5,7616 5,9126 6,0156 6,1199 6,2582 6,4544 6,7135 6,9902 7,1911 7,2281 7,0746 6,7746 6,4096 6,0499 5,7259 5,4330 5,1514 4,8623 4,5667 4,3007 4,1222 4,0712 4,1324 4,2342 4,2847 4,2145 4,0044 3,6957 3,3697 3,1022 2,9337 2,8734 2,9069 2,9950 3,0952 3,2017 3,3524 3,5896 3,9144 4,2650 4,5385 4,6409 4,5195 4,1734 3,6559 3,0571 2,4742 1,9845 1,6261 1,3988 1,2856 1,2689 1,3195 1,3835 1,3862 1,2615 0,9931 0,6256 0,2282 -0,1350 -0,4072 -0,5487 -0,5527 -0,4371 -0,2342 0,0157 0,2825 0,5613 0,8584 1,1560 1,3938 1,4959 1,4212 1,1907 0,8722 0,5404 0,2477 0,0244 -0,1094 -0,1470 -0,1014 0,0037 0,1541 0,3579 0,6346 0,9851 1,3688 1,7066 1,9099 1,9256 1,7621 1,4746 1,1331 0,8049 0,5493 0,4101 0,4035 0,5100 0,6910 0,9138 1,1547 1,3809 1,5385 1,5696 1,4531 1,2275 0,9682 0,7551 0,6586 0,7326 1,0012 1,4418 1,9735 2,4761 2,8541 3,0903 3,2287 3,3123 3,3494 3,3237 3,2119 2,9989 2,6960 2,3517 2,0365 1,8143 1,7180 1,7405 1,8423 1,9829 2,1520 2,3555 2,5648 2,7015 2,6863 2,5014 2,2178 1,9675 1,8752 2,0022 2,3418 2,8434 3,4310 4,0176 4,5247 4,8971 5,1024 5,1270 4,9858 4,7379 4,4883 4,3559 4,4149 4,6493 4,9653 5,2457 5,4064 5,4254 5,3278 5,1548 4,9519 4,7719 4,6664 4,6635 4,7523 4,8997 5,0777 5,2623 5,4193 5,5185 5,5646 5,5982 5,6670 5,8043 6,0213 6,2899 6,5369 6,6853 6,7146 6,6689 6,6186 6,6295 6,7404 6,9414 7,1829 7,4175 7,6293 7,8226 7,9854 8,0781 8,0715 7,9836 7,8704 7,7877 7,7634 7,7917 7,8406 7,8652 7,8324 7,7351 7,5807 7,3842 7,1737 6,9827 6,8368 6,7515 6,7319 6,7745 6,8752 7,0309 7,2378 7,5011 7,8368 8,2520 8,7290 9,2311 9,7106 10,1019 10,3211 10,2872 9,9624 9,3890 8,6897 8,0220 7,5197 7,2690 7,3086 7,6239 8,1444 8,7582 9,3365 9,7641 9,9752 9,9739 9,8193 9,5959 9,3846 9,2377 9,1746 9,1973 9,2990 9,4609 9,6462 9,8012 9,8657 9,7920 9,5689 9,2358 8,8526 8,4515 8,0365 7,6196 7,2326 6,8988 6,6144 6,3707 6,1748 6,0402 5,9779 5,9996 6,1092 6,2934 6,5177 6,7297 6,8851 6,9813 7,0479 7,1068 7,1535 7,1708 7,1497 7,1048 7,0791 7,1274 7,2874 7,5584 7,8940 8,2129 8,4223 8,4528 8,2914 7,9927 7,6439 7,3123 7,0326 6,8304 6,7190 6,6851 6,7122 6,8031 6,9566 7,1387 7,2963 7,4018 7,4744 7,5594 7,6914 7,8708 8,0560 8,1813 8,2020 8,1219 7,9590 7,7086 7,3691 6,9831 6,6296 6,3833 6,2686 6,2393 6,2141 6,1380 6,0060 5,8493 5,7221 5,6765 5,7276 5,8536 6,0284 6,2315 6,4348 6,6041 6,7117 6,7429 6,7023 6,6175 6,5257 6,4467 6,3688 6,2568 6,0703 5,7829 5,4029 4,9726 4,5444 4,1678 3,8909 3,7505 3,7533 3,8648 4,0203 4,1544 4,2236 4,2009 4,0566 3,7658 3,3425 2,8543 2,3932 2,0377 1,8371 1,8059 1,9200 2,1301 2,3915 2,6712 2,9326 3,1284 3,2161 3,1741 3,0109 2,7619 2,4757 2,1985 1,9731 1,8456 1,8548 2,0150 2,3155 2,7173 3,1424 3,4905 3,6805 3,6724 3,4711 3,1233 2,6999 2,2780 1,9385 1,7546 1,7630 1,9440 2,2246 2,5102 2,7387 2,9076 3,0405 3,1435 3,2001 3,1900 3,1056 2,9573 2,7660 2,5525 2,3354 2,1363 1,9794 1,8831 1,8456 1,8439 1,8521 1,8612 1,8777 1,8998 1,9024 1,8566 1,7542 1,6008 1,3979 1,1487 0,8645 0,5537 0,2179 -0,1405 -0,5037 -0,8306 -1,0735 -1,2087 -1,2423 -1,1890 -1,0593 -0,8718 -0,6606 -0,4725
F7    0,7066 0,1730 -0,2219 -0,4581 -0,5346 -0,4725 -0,3094 -0,0821 0,1680 0,3787 0,4896 0,4805 0,3760 0,2258 0,0891 0,0196 0,0422 0,1316 0,2241 0,2674 0,2560 0,2237 0,2156 0,2632 0,3732 0,5303 0,7025 0,8465 0,9192 0,8978 0,7958 0,6481 0,4804 0,2953 0,0793 -0,1706 -0,4145 -0,5764 -0,6062 -0,5287 -0,4250 -0,3770 -0,4241 -0,5491 -0,6997 -0,8311 -0,9197 -0,9511 -0,9178 -0,8295 -0,7177 -0,6296 -0,6055 -0,6567 -0,7734 -0,9412 -1,1319 -1,2856 -1,3251 -1,2106 -0,9785 -0,7237 -0,5467 -0,5061 -0,5915 -0,7299 -0,8330 -0,8525 -0,8013 -0,7301 -0,6913 -0,7216 -0,8400 -1,0456 -1,3138 -1,6006 -1,8552 -2,0400 -2,1483 -2,2055 -2,2498 -2,3046 -2,3653 -2,4150 -2,4477 -2,4702 -2,4838 -2,4674 -2,3851 -2,2171 -1,9802 -1,7204 -1,4860 -1,3054 -1,1832 -1,1055 -1,0383 -0,9357 -0,7700 -0,5570 -0,3424 -0,1682 -0,0528 0,0060 0,0197 0,0144 0,0418 0,1629 0,4153 0,7981 1,2754 1,7898 2,2787 2,6810 2,9405 3,0205 2,9250 2,7108 2,4655 2,2499 2,0697 1,9093 1,7757 1,6823 1,6060 1,4941 1,3204 1,1180 0,9608 0,9267 1,0630 1,3601 1,7472 2,1217 2,3922 2,5094 2,4759 2,3329 2,1313 1,9071 1,6810 1,4721 1,2916 1,1226 0,9269 0,6891 0,4498 0,2794 0,2238 0,2880 0,4575 0,7112 1,0180 1,3421 1,6539 1,9393 2,1988 2,4372 2,6560 2,8657 3,0878 3,3283 3,5561 3,7134 3,7494 3,6508 3,4503 3,2129 3,0136 2,9154 2,9535 3,1283 3,4055 3,7307 4,0553 4,3475 4,5834 4,7434 4,8209 4,8245 4,7746 4,7015 4,6353 4,6051 4,6472 4,7911 5,0325 5,3344 5,6478 5,9232 6,1201 6,2105 6,1761 6,0133 5,7380 5,3775 4,9616 4,5258 4,1192 3,7939 3,5752 3,4558 3,4149 3,4235 3,4481 3,4777 3,5390 3,6596 3,8199 3,9539 3,9932 3,9124 3,7425 3,5397 3,3422 3,1596 2,9893 2,8300 2,6864 2,5669 2,4756 2,4064 2,3411 2,2509 2,1069 1,8985 1,6495 1,4148 1,2488 1,1682 1,1516 1,1691 1,2004 1,2310 1,2458 1,2367 1,2190 1,2296 1,3012 1,4340 1,5988 1,7636 1,9062 2,0072 2,0459 2,0095 1,9057 1,7620 1,6104 1,4724 1,3536 1,2532 1,1774 1,1397 1,1547 1,2389 1,4136 1,6936 2,0616 2,4581 2,8109 3,0703 3,2160 3,2446 3,1592 2,9678 2,6908 2,3582 2,0004 1,6495 1,3497 1,1468 1,0555 1,0482 1,0883 1,1676 1,3036 1,5069 1,7638 2,0383 2,2775 2,4294 2,4808 2,4686 2,4406 2,4153 2,3914 2,3795 2,4091 2,5058 2,6612 2,8221 2,9128 2,8751 2,6985 2,4253 2,1333 1,9031 1,7812 1,7647 1,8255 1,9454 2,1230 2,3491 2,5827 2,7581 2,8182 2,7437 2,5588 2,3164 2,0710 1,8579 1,6970 1,6053 1,5939 1,6613 1,7964 1,9799 2,1802 2,3550 2,4668 2,5038 2,4824 2,4286 2,3616 2,2933 2,2306 2,1774 2,1400 2,1277 2,1398 2,1632 2,1915 2,2346 2,3073 2,4203 2,5819 2,7929 3,0361 3,2769 3,4764 3,6055 3,6546 3,6392 3,5922 3,5411 3,4981 3,4648 3,4356 3,4106 3,4044 3,4306 3,4836 3,5394 3,5676 3,5603 3,5517 3,6004 3,7467 3,9853 4,2691 4,5359 4,7274 4,7915 4,6963 4,4602 4,1623 3,9109 3,7870 3,8077 3,9326 4,0942 4,2268 4,2838 4,2397 4,0883 3,8427 3,5333 3,2012 2,8880 2,6211 2,4136 2,2819 2,2565 2,3588 2,5633 2,7971 2,9874 3,1041 3,1627 3,2013 3,2531 3,3284 3,4138 3,4882 3,5404 3,5653 3,5383 3,4103 3,1406 2,7468 2,3273 2,0178 1,9057 1,9775 2,1449 2,3199 2,4616 2,5657 2,6326 2,6622 2,6619 2,6396 2,6032 2,5723 2,5707 2,6099 2,6905 2,8042 2,9155 2,9600 2,8850 2,6902 2,4251 2,1604 1,9551 1,8218 1,7258 1,6336 1,5488 1,4908 1,4624 1,4558 1,4712 1,5107 1,5661 1,6204 1,6574 1,6669 1,6386 1,5603 1,4340 1,2847 1,1420 1,0234 0,9412 0,9147 0,9701 1,1299 1,3979 1,7460 2,1158 2,4400 2,6647 2,7628 2,7369 2,6173 2,4547 2,2984 2,1722 2,0725 1,9884 1,9164 1,8684 1,8701 1,9418 2,0763 2,2394 2,3859 2,4715 2,4664 2,3689 2,1959 1,9634 1,6919 1,4172 1,1801 1,0089 0,9125 0,8765 0,8702 0,8679 0,8615 0,8439 0,7969 0,7062 0,5802 0,4433 0,3160 0,2055 0,1201 0,0871 0,1381 0,2808 0,4939 0,7367 0,9491 1,0562 1,0005 0,7739 0,4257 0,0512 -0,2395 -0,3729 -0,3495 -0,2411 -0,1503 -0,1540 -0,2685 -0,4595 -0,6666 -0,8278 -0,9061 -0,9018 -0,8393 -0,7536 -0,6851 -0,6697 -0,7291 -0,8691 -1,0788 -1,3343 -1,6087 -1,8771 -2,1081 -2,2643 -2,3245 -2,3004 -2,2276 -2,1372 -2,0356 -1,9133 -1,7717 -1,6293 -1,5012 -1,3840 -1,2628 -1,1268 -0,9772 -0,8305 -0,7240 -0,7050 -0,7943 -0,9619 -1,1538 -1,3342 -1,4922 -1,6192 -1,6990 -1,7181 -1,6776 -1,5936 -1,4911 -1,4031 -1,3627 -1,3795 -1,4286 -1,4647 -1,4498 -1,3819 -1,3017 -1,2569 -1,2618 -1,2998 -1,3522 -1,4049 -1,4383 -1,4395 -1,4208 -1,4167 -1,4650 -1,5840 -1,7593 -1,9507 -2,1110 -2,2041 -2,2244 -2,1954 -2,1392 -2,0564 -1,9446 -1,8275 -1,7551 -1,7730 -1,9016 -2,1378 -2,4596 -2,8313 -3,2098 -3,5469 -3,8021 -3,9623 -4,0340 -4,0152 -3,8977 -3,6999 -3,4748 -3,2773 -3,1289 -3,0180
