Fp1   0,0429 -0,1658 -0,3754 -0,5427 -0,6291 -0,6132 -0,4899 -0,2690 0,0147 0,2887 0,4635 0,4905 0,4038 0,2988 0,2682 0,3488 0,5119 0,6910 0,8280 0,8943 0,8766 0,7657 0,5554 0,2430 -0,1466 -0,5395 -0,8445 -1,0088 -1,0349 -0,9570 -0,8182 -0,6577 -0,5045 -0,3761 -0,2786 -0,1961 -0,0810 0,1114 0,3652 0,5977 0,7181 0,6846 0,5201 0,2879 0,0561 -0,1221 -0,2134 -0,2155 -0,1592 -0,0880 -0,0438 -0,0744 -0,2329 -0,5445 -0,9784 -1,4511 -1,8505 -2,0768 -2,0861 -1,8940 -1,5491 -1,1160 -0,6705 -0,2847 -0,0028 0,1695 0,2590 0,3081 0,3461 0,3665 0,3335 0,2114 -0,0094 -0,3052 -0,6270 -0,9137 -1,1087 -1,1848 -1,1664 -1,1137 -1,0857 -1,1298 -1,2817 -1,5468 -1,8872 -2,2255 -2,4622 -2,5169 -2,3755 -2,0928 -1,7431 -1,3721 -0,9947 -0,6272 -0,3066 -0,0747 0,0489 0,0801 0,0651 0,0673 0,1352 0,2564 0,3500 0,3293 0,1677 -0,0969 -0,3959 -0,6470 -0,7634 -0,6845 -0,4104 -0,0050 0,4380 0,8368 1,1328 1,2687 1,1750 0,7942 0,1211 -0,7754 -1,7720 -2,7385 -3,5769 -4,2326 -4,6926 -4,9793 -5,1391 -5,2389 -5,3681 -5,6114 -5,9915 -6,4354 -6,8046 -6,9635 -6,8342 -6,4136 -5,7678 -5,0152 -4,2934 -3,7112 -3,3172 -3,1062 -3,0375 -3,0425 -3,0445 -2,9968 -2,9019 -2,7884 -2,6561 -2,4428 -2,0657 -1,5025 -0,8224 -0,1363 0,4806 1,0230 1,5227 1,9978 2,4432 2,8514 3,2140 3,5030 3,6715 3,6798 3,5247 3,2504 2,9191 2,5743 2,2458 1,9869 1,8880 2,0474 2,5176 3,2771 4,2477 5,3300 6,4245 7,4365 8,2809 8,8992 9,2677 9,3831 9,2536 8,9217 8,4887 8,0861 7,8038 7,6493 7,5751 7,5269 7,4666 7,3764 7,2595 7,1390 7,0498 7,0186 7,0462 7,1128 7,1954 7,2673 7,2891 7,2218 7,0593 6,8468 6,6543 6,5254 6,4572 6,4291 6,4424 6,5286 6,7232 7,0233 7,3604 7,6099 7,6445 7,3980 6,9082 6,3130 5,7966 5,5102 5,5102 5,7330 6,0224 6,2053 6,1739 5,9184 5,5041 5,0240 4,5625 4,1794 3,9098 3,7687 3,7492 3,8156 3,9081 3,9643 3,9465 3,8525 3,7024 3,5163 3,3043 3,0682 2,8089 2,5326 2,2482 1,9649 1,6991 1,4740 1,3055 1,1935 1,1258 1,0972 1,1247 1,2286 1,3993 1,5988 1,7875 1,9295 1,9844 1,9230 1,7524 1,5105 1,2370 0,9498 0,6446 0,3264 0,0517 -0,0772 0,0214 0,3459 0,8115 1,2918 1,6613 1,8213 1,7137 1,3342 0,7501 0,0950 -0,4801 -0,8797 -1,1143 -1,2846 -1,4990 -1,7959 -2,1348 -2,4343 -2,6016 -2,5567 -2,2824 -1,8521 -1,3862 -0,9861 -0,7162 -0,6189 -0,7138 -0,9720 -1,3093 -1,6261 -1,8551 -1,9726 -1,9841 -1,9132 -1,7982 -1,6881 -1,6304 -1,6601 -1,7854 -1,9705 -2,1369 -2,2121 -2,1889 -2,1408 -2,1828 -2,3945 -2,7534 -3,1497 -3,4745 -3,6837 -3,7807 -3,7714 -3,6531 -3,4331 -3,1478 -2,8582 -2,6204 -2,4635 -2,3963 -2,4168 -2,5101 -2,6412 -2,7571 -2,8044 -2,7596 -2,6519 -2,5556 -2,5556 -2,7017 -2,9782 -3,3098 -3,5984 -3,7652 -3,7880 -3,7190 -3,6605 -3,7031 -3,8684 -4,0869 -4,2351 -4,2209 -4,0448 -3,7815 -3,5169 -3,3100 -3,1933 -3,1865 -3,2977 -3,5126 -3,7899 -4,0748 -4,3238 -4,5208 -4,6682 -4,7678 -4,8073 -4,7567 -4,5867 -4,3013 -3,9406 -3,5501 -3,1628 -2,8151 -2,5571 -2,4349 -2,4711 -2,6634 -2,9771 -3,3332 -3,6250 -3,7738 -3,7779 -3,6977 -3,5985 -3,5154 -3,4641 -3,4624 -3,5387 -3,7227 -4,0200 -4,3897 -4,7533 -5,0332 -5,1855 -5,2051 -5,0992 -4,8610 -4,4779 -3,9743 -3,4412 -3,0116 -2,7926 -2,8074 -2,9852 -3,1977 -3,3278 -3,3331 -3,2551 -3,1725 -3,1451 -3,1906 -3,2927 -3,4286 -3,5925 -3,7826 -3,9723 -4,1096 -4,1399 -4,0255 -3,7646 -3,3977 -2,9919 -2,6224 -2,3577 -2,2358 -2,2482 -2,3476 -2,4658 -2,5336 -2,5015 -2,3567 -2,1391 -1,9388 -1,8526 -1,9295 -2,1584 -2,4858 -2,8272 -3,0902 -3,2199 -3,2242 -3,1473 -3,0310 -2,9085 -2,8166 -2,7919 -2,8532 -2,9902 -3,1713 -3,3668 -3,5608 -3,7412 -3,8853 -3,9593 -3,9228 -3,7365 -3,3858 -2,9051 -2,3767 -1,9047 -1,5788 -1,4447 -1,4842 -1,6164 -1,7364 -1,7755 -1,7257 -1,6115 -1,4622 -1,3150 -1,2146 -1,1899 -1,2334 -1,3032 -1,3445 -1,3115 -1,1745 -0,9274 -0,6102 -0,3161 -0,1513 -0,1726 -0,3646 -0,6700 -1,0193 -1,3432 -1,6002 -1,8063 -2,0234 -2,3107 -2,6868 -3,1228 -3,5492 -3,8770 -4,0407 -4,0411 -3,9509 -3,8794 -3,9192 -4,1022 -4,3931 -4,7266 -5,0517 -5,3452 -5,6053 -5,8462 -6,0923 -6,3679 -6,6817 -7,0033 -7,2626 -7,4016 -7,4250 -7,3923 -7,3688 -7,3703 -7,3282 -7,1179 -6,6457 -5,9219 -5,0589 -4,2043 -3,4708 -2,9078 -2,5077 -2,2250 -2,0082 -1,8280 -1,6813 -1,5770 -1,5318 -1,5764 -1,7479 -2,0651 -2,5053 -2,9965 -3,4357 -3,7221 -3,7785 -3,5620 -3,0823 -2,4114 -1,6596 -0,9356 -0,3234 0,1221 0,3768 0,4549 0,4106 0,3235 0,2610 0,2365 0,2048 0,1085 -0,0660 -0,2716 -0,4357 -0,5247 -0,5781 -0,6753 -0,8623 -1,1073 -1,3207 -1,4134 -1,3479 -1,1583 -0,9360 -0,7947 -0,8219 -1,0375 -1,3920 -1,8051 -2,2043 -2,5361 -2,7708 -2,9063 -2,9678 -3,0035 -3,0653 -3,1684 -3,2701 -3,3060 -3,2524 -3,1458 -3,0474 -3,0040 -3,0247 -3,0720 -3,0822 -3,0114 -2,8664 -2,7031 -2,6064 -2,6558 -2,8856 -3,2653 -3,7194 -4,1623 -4,5155 -4,7207 -4,7616 -4,6730
Fz    0,5800 0,6818 0,7763 0,8405 0,8620 0,8350 0,7684 0,6894 0,6308 0,6085 0,6074 0,5887 0,5112 0,3515 0,1111 -0,1829 -0,4786 -0,7130 -0,8400 -0,8556 -0,7946 -0,6998 -0,5941 -0,4809 -0,3559 -0,2162 -0,0675 0,0767 0,2114 0,3475 0,4932 0,6326 0,7311 0,7536 0,6785 0,5097 0,2809 0,0414 -0,1646 -0,3103 -0,3963 -0,4540 -0,5272 -0,6410 -0,7827 -0,9120 -0,9871 -0,9904 -0,9307 -0,8238 -0,6833 -0,5330 -0,4116 -0,3537 -0,3724 -0,4620 -0,6030 -0,7616 -0,8908 -0,9473 -0,9178 -0,8302 -0,7395 -0,7031 -0,7600 -0,9163 -1,1478 -1,4126 -1,6640 -1,8613 -1,9806 -2,0205 -1,9966 -1,9349 -1,8652 -1,8132 -1,7872 -1,7784 -1,7783 -1,7858 -1,7981 -1,8150 -1,8506 -1,9272 -2,0563 -2,2253 -2,3992 -2,5381 -2,6156 -2,6231 -2,5653 -2,4523 -2,2938 -2,1009 -1,8896 -1,6806 -1,4949 -1,3445 -1,2221 -1,1024 -0,9550 -0,7645 -0,5487 -0,3541 -0,2309 -0,2091 -0,2907 -0,4489 -0,6381 -0,8132 -0,9470 -1,0422 -1,1392 -1,2984 -1,5623 -1,9329 -2,3801 -2,8620 -3,3318 -3,7439 -4,0769 -4,3532 -4,6279 -4,9565 -5,3722 -5,8723 -6,4154 -6,9366 -7,3721 -7,6782 -7,8398 -7,8743 -7,8248 -7,7419 -7,6603 -7,5846 -7,4910 -7,3416 -7,1022 -6,7515 -6,2844 -5,7211 -5,1123 -4,5183 -3,9746 -3,4804 -3,0160 -2,5615 -2,0970 -1,6021 -1,0692 -0,5209 -0,0093 0,4043 0,6790 0,8131 0,8429 0,8310 0,8492 0,9582 1,1869 1,5237 1,9277 2,3517 2,7585 3,1246 3,4330 3,6685 3,8302 3,9439 4,0544 4,1989 4,3872 4,6047 4,8387 5,0994 5,4175 5,8157 6,2769 6,7423 7,1401 7,4138 7,5314 7,4915 7,3314 7,1141 6,8939 6,6974 6,5329 6,4045 6,3174 6,2753 6,2686 6,2609 6,2020 6,0622 5,8525 5,6148 5,3950 5,2182 5,0816 4,9708 4,8849 4,8462 4,8789 4,9747 5,0835 5,1481 5,1439 5,0889 5,0246 4,9858 4,9755 4,9621 4,8946 4,7256 4,4313 4,0225 3,5427 3,0563 2,6300 2,3119 2,1186 2,0406 2,0576 2,1458 2,2779 2,4284 2,5792 2,7200 2,8424 2,9325 2,9703 2,9379 2,8320 2,6711 2,4938 2,3468 2,2652 2,2600 2,3154 2,3924 2,4423 2,4296 2,3446 2,1982 2,0158 1,8338 1,6888 1,6017 1,5670 1,5611 1,5602 1,5471 1,5042 1,4141 1,2738 1,1031 0,9381 0,8204 0,7874 0,8611 1,0401 1,2917 1,5503 1,7383 1,8060 1,7513 1,6025 1,3884 1,1244 0,8232 0,5077 0,2054 -0,0669 -0,3025 -0,4919 -0,6182 -0,6707 -0,6610 -0,6268 -0,6138 -0,6498 -0,7396 -0,8854 -1,0995 -1,3895 -1,7341 -2,0888 -2,4122 -2,6773 -2,8699 -2,9906 -3,0555 -3,0860 -3,0951 -3,0780 -3,0214 -2,9271 -2,8253 -2,7527 -2,7245 -2,7305 -2,7484 -2,7571 -2,7466 -2,7189 -2,6783 -2,6243 -2,5589 -2,4928 -2,4463 -2,4479 -2,5199 -2,6596 -2,8398 -3,0273 -3,1983 -3,3418 -3,4533 -3,5310 -3,5828 -3,6253 -3,6684 -3,7011 -3,7036 -3,6680 -3,6009 -3,5120 -3,4080 -3,2941 -3,1745 -3,0554 -2,9451 -2,8542 -2,7964 -2,7861 -2,8338 -2,9417 -3,0937 -3,2481 -3,3545 -3,3863 -3,3566 -3,2993 -3,2374 -3,1677 -3,0730 -2,9470 -2,8033 -2,6690 -2,5713 -2,5256 -2,5312 -2,5805 -2,6687 -2,7917 -2,9382 -3,0858 -3,2087 -3,2908 -3,3287 -3,3290 -3,3065 -3,2789 -3,2569 -3,2406 -3,2259 -3,2114 -3,1989 -3,1979 -3,2247 -3,2914 -3,3963 -3,5301 -3,6832 -3,8404 -3,9731 -4,0488 -4,0563 -4,0178 -3,9684 -3,9312 -3,9127 -3,9155 -3,9429 -4,0010 -4,1005 -4,2467 -4,4265 -4,6099 -4,7669 -4,8856 -4,9759 -5,0508 -5,1093 -5,1381 -5,1221 -5,0538 -4,9355 -4,7764 -4,5898 -4,3967 -4,2279 -4,1176 -4,0911 -4,1518 -4,2738 -4,4105 -4,5132 -4,5515 -4,5277 -4,4738 -4,4315 -4,4341 -4,4991 -4,6235 -4,7775 -4,9060 -4,9517 -4,8858 -4,7205 -4,5027 -4,2975 -4,1645 -4,1304 -4,1854 -4,3003 -4,4487 -4,6201 -4,8175 -5,0411 -5,2785 -5,5075 -5,7018 -5,8374 -5,9024 -5,8969 -5,8250 -5,6930 -5,5177 -5,3308 -5,1683 -5,0543 -5,0007 -5,0137 -5,0908 -5,2155 -5,3603 -5,4930 -5,5853 -5,6214 -5,6011 -5,5330 -5,4283 -5,2989 -5,1535 -4,9946 -4,8217 -4,6349 -4,4305 -4,1949 -3,9139 -3,5947 -3,2732 -3,0001 -2,8276 -2,7992 -2,9318 -3,1998 -3,5440 -3,9033 -4,2427 -4,5528 -4,8282 -5,0538 -5,2117 -5,2904 -5,2945 -5,2497 -5,2016 -5,2043 -5,2994 -5,4962 -5,7720 -6,0931 -6,4262 -6,7358 -6,9793 -7,1169 -7,1307 -7,0373 -6,8857 -6,7428 -6,6712 -6,7080 -6,8534 -7,0838 -7,3751 -7,7120 -8,0834 -8,4765 -8,8769 -9,2737 -9,6614 -10,0303 -10,3522 -10,5790 -10,6624 -10,5788 -10,3382 -9,9773 -9,5489 -9,1091 -8,6966 -8,3198 -7,9628 -7,5991 -7,2024 -6,7502 -6,2308 -5,6569 -5,0713 -4,5304 -4,0831 -3,7586 -3,5596 -3,4623 -3,4257 -3,4058 -3,3673 -3,2948 -3,1977 -3,1000 -3,0304 -3,0206 -3,0931 -3,2406 -3,4184 -3,5625 -3,6188 -3,5677 -3,4265 -3,2369 -3,0502 -2,9107 -2,8379 -2,8147 -2,7997 -2,7567 -2,6755 -2,5663 -2,4472 -2,3374 -2,2617 -2,2564 -2,3632 -2,6053 -2,9600 -3,3573 -3,7213 -4,0224 -4,2907 -4,5794 -4,9255 -5,3412 -5,8177 -6,3154 -6,7648 -7,0949 -7,2696 -7,3051 -7,2601 -7,2020 -7,1717 -7,1775 -7,2138 -7,2769 -7,3693 -7,4988 -7,6692 -7,8630 -8,0368 -8,1454 -8,1756 -8,1528 -8,1221 -8,1230 -8,1711 -8,2511 -8,3293 -8,3783 -8,3893 -8,3673 -8,3270 -8,2888 -8,2679 -8,2621 -8,2626 -8,2745
F3    -0,0498 0,1147 0,3140 0,5074 0,6608 0,7550 0,7884 0,7724 0,7223 0,6500 0,5599 0,4416 0,2692 0,0217 -0,2905 -0,6191 -0,8965 -1,0627 -1,0876 -0,9845 -0,8032 -0,5990 -0,4051 -0,2300 -0,0701 0,0787 0,2163 0,3430 0,4683 0,6085 0,7689 0,9306 1,0622 1,1392 1,1439 1,0587 0,8737 0,6014 0,2775 -0,0527 -0,3544 -0,6132 -0,8266 -0,9886 -1,0887 -1,1232 -1,1017 -1,0449 -0,9718 -0,8841 -0,7671 -0,6128 -0,4366 -0,2665 -0,1260 -0,0338 -0,0105 -0,0699 -0,1958 -0,3396 -0,4550 -0,5345 -0,6092 -0,7214 -0,8963 -1,1335 -1,4189 -1,7367 -2,0649 -2,3707 -2,6157 -2,7659 -2,8032 -2,7387 -2,6175 -2,5037 -2,4457 -2,4495 -2,4866 -2,5144 -2,4909 -2,3934 -2,2329 -2,0409 -1,8475 -1,6769 -1,5535 -1,5007 -1,5272 -1,6165 -1,7335 -1,8421 -1,9169 -1,9424 -1,9116 -1,8265 -1,6997 -1,5475 -1,3861 -1,2300 -1,0812 -0,9253 -0,7538 -0,5852 -0,4520 -0,3788 -0,3750 -0,4371 -0,5531 -0,7037 -0,8614 -1,0039 -1,1355 -1,2821 -1,4656 -1,6899 -1,9480 -2,2316 -2,5300 -2,8347 -3,1534 -3,5113 -3,9313 -4,4163 -4,9509 -5,5111 -6,0646 -6,5643 -6,9478 -7,1607 -7,1898 -7,0806 -6,9243 -6,8143 -6,8039 -6,8929 -7,0381 -7,1655 -7,1819 -6,9970 -6,5572 -5,8749 -5,0271 -4,1200 -3,2453 -2,4561 -1,7677 -1,1722 -0,6565 -0,2187 0,1272 0,3686 0,5159 0,6025 0,6582 0,6913 0,6995 0,6969 0,7215 0,8206 1,0290 1,3524 1,7700 2,2524 2,7739 3,3094 3,8251 4,2834 4,6627 4,9673 5,2121 5,4065 5,5497 5,6342 5,6603 5,6513 5,6525 5,7092 5,8406 6,0332 6,2576 6,4807 6,6684 6,7957 6,8635 6,8930 6,8968 6,8674 6,8000 6,7116 6,6320 6,5832 6,5622 6,5366 6,4652 6,3307 6,1507 5,9631 5,8032 5,6877 5,6106 5,5584 5,5311 5,5412 5,5865 5,6305 5,6156 5,5004 5,2872 5,0192 4,7549 4,5393 4,3880 4,2913 4,2256 4,1625 4,0766 3,9521 3,7817 3,5654 3,3161 3,0628 2,8380 2,6620 2,5442 2,4846 2,4710 2,4814 2,4923 2,4864 2,4560 2,3987 2,3063 2,1665 1,9761 1,7498 1,5230 1,3456 1,2607 1,2794 1,3746 1,4945 1,5884 1,6273 1,6013 1,5102 1,3637 1,1819 0,9897 0,8125 0,6691 0,5658 0,4958 0,4404 0,3712 0,2630 0,1119 -0,0600 -0,2134 -0,3060 -0,3026 -0,1848 0,0390 0,3247 0,5968 0,7804 0,8319 0,7393 0,5097 0,1635 -0,2642 -0,7212 -1,1388 -1,4502 -1,6187 -1,6512 -1,5899 -1,4910 -1,4040 -1,3588 -1,3652 -1,4173 -1,4986 -1,5916 -1,6958 -1,8412 -2,0750 -2,4274 -2,8906 -3,4205 -3,9490 -4,4066 -4,7451 -4,9438 -5,0069 -4,9587 -4,8299 -4,6450 -4,4294 -4,2226 -4,0664 -3,9788 -3,9456 -3,9344 -3,9094 -3,8437 -3,7265 -3,5681 -3,3985 -3,2566 -3,1698 -3,1437 -3,1691 -3,2323 -3,3230 -3,4449 -3,6106 -3,8227 -4,0665 -4,3157 -4,5382 -4,7063 -4,8042 -4,8202 -4,7394 -4,5588 -4,3052 -4,0278 -3,7758 -3,5847 -3,4722 -3,4381 -3,4673 -3,5309 -3,5933 -3,6321 -3,6511 -3,6782 -3,7538 -3,9017 -4,1005 -4,2922 -4,4268 -4,4953 -4,5242 -4,5412 -4,5517 -4,5481 -4,5256 -4,4873 -4,4447 -4,4130 -4,3961 -4,3809 -4,3554 -4,3259 -4,3065 -4,2964 -4,2736 -4,2146 -4,1174 -4,0024 -3,8988 -3,8358 -3,8333 -3,8871 -3,9674 -4,0435 -4,1096 -4,1861 -4,2970 -4,4456 -4,6078 -4,7438 -4,8213 -4,8345 -4,8040 -4,7623 -4,7405 -4,7664 -4,8603 -5,0188 -5,2056 -5,3673 -5,4662 -5,4970 -5,4803 -5,4499 -5,4382 -5,4633 -5,5233 -5,5970 -5,6535 -5,6696 -5,6439 -5,6014 -5,5818 -5,6066 -5,6569 -5,6904 -5,6725 -5,5941 -5,4763 -5,3601 -5,2794 -5,2412 -5,2303 -5,2242 -5,2024 -5,1470 -5,0475 -4,9116 -4,7696 -4,6626 -4,6271 -4,6869 -4,8493 -5,0934 -5,3614 -5,5814 -5,7025 -5,7116 -5,6290 -5,5000 -5,3798 -5,3103 -5,3024 -5,3399 -5,3973 -5,4546 -5,4972 -5,5124 -5,4912 -5,4331 -5,3472 -5,2552 -5,1864 -5,1593 -5,1688 -5,1969 -5,2333 -5,2838 -5,3607 -5,4688 -5,6050 -5,7623 -5,9210 -6,0432 -6,0929 -6,0599 -5,9634 -5,8384 -5,7162 -5,6106 -5,5179 -5,4267 -5,3188 -5,1691 -4,9548 -4,6660 -4,3053 -3,8821 -3,4146 -2,9420 -2,5288 -2,2449 -2,1408 -2,2344 -2,5046 -2,8928 -3,3236 -3,7401 -4,1265 -4,4979 -4,8670 -5,2226 -5,5325 -5,7561 -5,8618 -5,8478 -5,7506 -5,6332 -5,5571 -5,5585 -5,6432 -5,7969 -5,9964 -6,2107 -6,3948 -6,4945 -6,4751 -6,3525 -6,1962 -6,0949 -6,1104 -6,2515 -6,4839 -6,7686 -7,0907 -7,4504 -7,8367 -8,2240 -8,5901 -8,9266 -9,2340 -9,5108 -9,7440 -9,9067 -9,9664 -9,8930 -9,6663 -9,2912 -8,8112 -8,2991 -7,8236 -7,4235 -7,1018 -6,8327 -6,5702 -6,2566 -5,8430 -5,3249 -4,7601 -4,2416 -3,8463 -3,6014 -3,4840 -3,4439 -3,4320 -3,4133 -3,3622 -3,2627 -3,1176 -2,9500 -2,7952 -2,6931 -2,6783 -2,7694 -2,9561 -3,1924 -3,4162 -3,5879 -3,7034 -3,7738 -3,8054 -3,7954 -3,7365 -3,6170 -3,4230 -3,1503 -2,8151 -2,4535 -2,1145 -1,8521 -1,7098 -1,7074 -1,8417 -2,0905 -2,4146 -2,7667 -3,1165 -3,4693 -3,8530 -4,2852 -4,7524 -5,2188 -5,6437 -5,9887 -6,2251 -6,3481 -6,3856 -6,3916 -6,4216 -6,4983 -6,5964 -6,6682 -6,6896 -6,6846 -6,7115 -6,8207 -7,0147 -7,2371 -7,4045 -7,4611 -7,4110 -7,3034 -7,1936 -7,1159 -7,0782 -7,0684 -7,0669 -7,0596 -7,0442 -7,0248 -7,0017 -6,9702 -6,9292 -6,8806 -6,8266 -6,7768
F7    -0,0860 -0,0054 0,0512 0,0783 0,0952 0,1260 0,1704 0,2043 0,2155 0,2279 0,2817 0,3872 0,4995 0,5369 0,4237 0,1360 -0,2695 -0,6681 -0,9279 -0,9798 -0,8453 -0,6097 -0,3754 -0,2165 -0,1454 -0,1116 -0,0444 0,0965 0,3125 0,5908 0,9099 1,2235 1,4638 1,5742 1,5321 1,3457 1,0381 0,6374 0,1800 -0,2839 -0,7003 -1,0290 -1,2482 -1,3496 -1,3343 -1,2089 -0,9807 -0,6659 -0,3039 0,0517 0,3560 0,5793 0,6982 0,6950 0,5626 0,3128 -0,0133 -0,3415 -0,5835 -0,6797 -0,6329 -0,5033 -0,3758 -0,3299 -0,4062 -0,5817 -0,7875 -0,9571 -1,0608 -1,1108 -1,1450 -1,1966 -1,2705 -1,3517 -1,4304 -1,5122 -1,6027 -1,6945 -1,7860 -1,8986 -2,0611 -2,2844 -2,5531 -2,8288 -3,0615 -3,2032 -3,2152 -3,0791 -2,8104 -2,4551 -2,0677 -1,6867 -1,3260 -0,9914 -0,7003 -0,4808 -0,3577 -0,3437 -0,4340 -0,6006 -0,7981 -0,9833 -1,1379 -1,2693 -1,3871 -1,4895 -1,5699 -1,6188 -1,6141 -1,5227 -1,3214 -1,0340 -0,7505 -0,5916 -0,6349 -0,8693 -1,2236 -1,6326 -2,0699 -2,5311 -3,0132 -3,5101 -4,0102 -4,4956 -4,9493 -5,3547 -5,6915 -5,9428 -6,1001 -6,1587 -6,1126 -5,9628 -5,7283 -5,4429 -5,1407 -4,8470 -4,5768 -4,3329 -4,0998 -3,8476 -3,5497 -3,2019 -2,8268 -2,4633 -2,1520 -1,9206 -1,7684 -1,6537 -1,4997 -1,2346 -0,8418 -0,3741 0,0805 0,4464 0,6846 0,7917 0,7963 0,7643 0,7888 0,9512 1,2756 1,7128 2,1662 2,5390 2,7684 2,8318 2,7403 2,5370 2,3001 2,1312 2,1240 2,3318 2,7581 3,3697 4,1170 4,9559 5,8571 6,7848 7,6653 8,3958 8,8921 9,1163 9,0693 8,7911 8,3750 7,9539 7,6467 7,5137 7,5490 7,7032 7,9169 8,1420 8,3407 8,4761 8,5216 8,4772 8,3637 8,1977 7,9767 7,6901 7,3417 6,9601 6,5952 6,3140 6,1795 6,2148 6,3956 6,6749 7,0011 7,3171 7,5673 7,7106 7,7259 7,6123 7,3858 7,0745 6,7118 6,3294 5,9618 5,6562 5,4642 5,4127 5,4799 5,5984 5,6810 5,6532 5,4791 5,1785 4,8195 4,4855 4,2357 4,0859 4,0088 3,9404 3,8014 3,5449 3,1959 2,8470 2,6139 2,5719 2,7096 2,9380 3,1483 3,2655 3,2625 3,1517 2,9671 2,7434 2,4986 2,2344 1,9494 1,6552 1,3766 1,1371 0,9479 0,8101 0,7199 0,6683 0,6412 0,6234 0,6067 0,5944 0,5946 0,6033 0,5920 0,5218 0,3745 0,1693 -0,0483 -0,2267 -0,3217 -0,3123 -0,2221 -0,1258 -0,1197 -0,2688 -0,5673 -0,9365 -1,2563 -1,4273 -1,4315 -1,3329 -1,2185 -1,1469 -1,1412 -1,2038 -1,3221 -1,4613 -1,5697 -1,6087 -1,5798 -1,5208 -1,4814 -1,4999 -1,5947 -1,7628 -1,9760 -2,1828 -2,3306 -2,3966 -2,3993 -2,3772 -2,3560 -2,3307 -2,2717 -2,1450 -1,9303 -1,6341 -1,2949 -0,9731 -0,7338 -0,6306 -0,6898 -0,8886 -1,1505 -1,3787 -1,5039 -1,5114 -1,4406 -1,3603 -1,3298 -1,3706 -1,4619 -1,5503 -1,5748 -1,5034 -1,3517 -1,1644 -0,9862 -0,8480 -0,7691 -0,7629 -0,8402 -1,0066 -1,2582 -1,5818 -1,9565 -2,3487 -2,7175 -3,0259 -3,2461 -3,3655 -3,3899 -3,3321 -3,1977 -2,9932 -2,7414 -2,4790 -2,2415 -2,0553 -1,9424 -1,9243 -2,0132 -2,2019 -2,4654 -2,7687 -3,0700 -3,3219 -3,4801 -3,5221 -3,4628 -3,3476 -3,2272 -3,1321 -3,0503 -2,9332 -2,7404 -2,4803 -2,2003 -1,9499 -1,7629 -1,6553 -1,6284 -1,6747 -1,7887 -1,9727 -2,2256 -2,5304 -2,8579 -3,1802 -3,4715 -3,6945 -3,8029 -3,7753 -3,6416 -3,4660 -3,3130 -3,2276 -3,2217 -3,2704 -3,3327 -3,3782 -3,3997 -3,4104 -3,4240 -3,4271 -3,3736 -3,2118 -2,9247 -2,5495 -2,1605 -1,8378 -1,6480 -1,6370 -1,8190 -2,1622 -2,5909 -3,0106 -3,3395 -3,5214 -3,5298 -3,3746 -3,1001 -2,7656 -2,4235 -2,1118 -1,8570 -1,6709 -1,5445 -1,4593 -1,3992 -1,3463 -1,2748 -1,1631 -1,0098 -0,8363 -0,6832 -0,6007 -0,6328 -0,8035 -1,1070 -1,5060 -1,9438 -2,3618 -2,7001 -2,8939 -2,8960 -2,7077 -2,3843 -2,0072 -1,6464 -1,3431 -1,1153 -0,9727 -0,9290 -0,9990 -1,1821 -1,4517 -1,7610 -2,0615 -2,3171 -2,5032 -2,5996 -2,5901 -2,4761 -2,2802 -2,0236 -1,7057 -1,3164 -0,8651 -0,3858 0,0850 0,5257 0,9186 1,2363 1,4526 1,5529 1,5260 1,3587 1,0485 0,6126 0,0867 -0,4753 -0,9990 -1,4056 -1,6474 -1,7272 -1,6778 -1,5308 -1,3058 -1,0149 -0,6743 -0,3124 0,0326 0,3174 0,4985 0,5458 0,4587 0,2715 0,0425 -0,1694 -0,3327 -0,4584 -0,5893 -0,7760 -1,0595 -1,4555 -1,9472 -2,4951 -3,0454 -3,5390 -3,9288 -4,1960 -4,3531 -4,4327 -4,4701 -4,4846 -4,4730 -4,4260 -4,3469 -4,2477 -4,1281 -3,9686 -3,7402 -3,4144 -2,9768 -2,4478 -1,8881 -1,3675 -0,9204 -0,5388 -0,2025 0,0970 0,3524 0,5440 0,6492 0,6553 0,5700 0,4211 0,2519 0,1088 0,0184 -0,0224 -0,0253 0,0160 0,1204 0,2999 0,5527 0,8670 1,2235 1,5972 1,9599 2,2795 2,5247 2,6732 2,7204 2,6849 2,6044 2,5148 2,4289 2,3400 2,2475 2,1737 2,1607 2,2444 2,4246 2,6558 2,8688 3,0017 3,0207 2,9194 2,7087 2,4116 2,0641 1,7082 1,3799 1,0990 0,8717 0,6945 0,5574 0,4492 0,3612 0,2858 0,2159 0,1428 0,0480 -0,0869 -0,2558 -0,4282 -0,5781 -0,7040 -0,8201 -0,9335 -1,0260 -1,0544 -0,9727 -0,7618 -0,4432 -0,0681 0,3078 0,6402 0,8904 1,0187 0,9965 0,8264 0,5491 0,2337 -0,0411 -0,2156 -0,2791
