Fp1   -2,7797 -3,5996 -4,2956 -4,5504 -4,1648 -3,1751 -1,8394 -0,5073 0,5374 1,1673 1,4312 1,5284 1,7149 2,1468 2,7739 3,3675 3,6428 3,3908 2,5617 1,2774 -0,2063 -1,5827 -2,6203 -3,2556 -3,5565 -3,5827 -3,2886 -2,5545 -1,3004 0,4113 2,3510 4,2012 5,6815 6,6270 6,9961 6,8465 6,2848 5,3832 4,1285 2,4823 0,5162 -1,5189 -3,2808 -4,5048 -5,0844 -5,0292 -4,4249 -3,4326 -2,2509 -1,0639 -0,0302 0,7381 1,2201 1,4870 1,6529 1,8047 1,9343 1,9272 1,6335 0,9620 -0,0784 -1,3932 -2,8260 -4,1870 -5,3131 -6,1106 -6,5408 -6,5993 -6,3347 -5,8596 -5,3013 -4,7332 -4,1737 -3,6464 -3,2133 -2,9381 -2,8170 -2,7512 -2,6004 -2,2725 -1,7683 -1,1462 -0,4617 0,2456 0,9219 1,4848 1,8459 1,9518 1,8216 1,5286 1,1340 0,6741 0,2042 -0,2023 -0,5146 -0,7822 -1,1034 -1,5560 -2,1497 -2,8151 -3,4209 -3,8100 -3,8472 -3,4644 -2,6985 -1,7036 -0,6970 0,1346 0,6916 0,9500 0,9017 0,5069 -0,2953 -1,5199 -3,0718 -4,7611 -6,4052 -7,9199 -9,3164 -10,6218 -11,8088 -12,7688 -13,3041 -13,1774 -12,2424 -10,5427 -8,2899 -5,7567 -3,1777 -0,7238 1,4745 3,3221 4,7753 5,8442 6,5569 6,8948 6,7700 6,0993 4,9167 3,4253 1,9392 0,7521 0,0284 -0,2111 -0,0197 0,5478 1,4284 2,4894 3,5133 4,2649 4,5696 4,3488 3,6287 2,5322 1,2385 -0,0713 -1,2386 -2,1275 -2,6204 -2,6059 -1,9958 -0,7955 0,8592 2,7544 4,6393 6,2292 7,2719 7,6668 7,4861 6,8768 5,9760 4,9143 3,8304 2,8383 1,9918 1,2847 0,6852 0,1910 -0,1494 -0,2979 -0,2988 -0,2599 -0,2668 -0,3262 -0,3659 -0,2960 -0,1021 0,1406 0,3425 0,4286 0,3027 -0,1469 -0,9861 -2,1753 -3,5438 -4,8131 -5,6635 -5,8530 -5,3659 -4,4701 -3,6047 -3,1736 -3,3541 -4,0168 -4,7960 -5,2651 -5,1475 -4,4721 -3,5427 -2,7298 -2,2788 -2,2490 -2,5276 -2,8870 -3,1083 -3,1125 -2,9978 -2,9578 -3,1554 -3,6512 -4,3953 -5,2598 -6,1025 -6,8196 -7,3416 -7,5989 -7,5170 -7,0578 -6,2827 -5,3680 -4,5163 -3,8392 -3,3359 -2,9732 -2,7837 -2,8773 -3,3327 -4,0612 -4,7847 -5,1739 -5,0490 -4,4752 -3,6897 -2,9566 -2,4694 -2,3268 -2,5371 -3,0347 -3,7156 -4,4565 -5,1009 -5,4738 -5,4517 -5,0235 -4,3006 -3,4935 -2,8478 -2,5305 -2,5587 -2,8440 -3,2885 -3,8487 -4,5601 -5,5117 -6,7489 -8,1754 -9,5630 -10,6586 -11,2803 -11,3457 -10,8660 -9,9422 -8,7422 -7,4385 -6,1411 -4,8900 -3,7488 -2,9127 -2,6629 -3,1823 -4,4260 -6,1373 -7,9650 -9,6168 -10,9282 -11,7874 -12,0792 -11,7752 -11,0245 -10,0919 -9,2295 -8,6040 -8,2630 -8,1213 -8,0303 -7,9124 -7,8191 -7,8608 -8,1090 -8,5605 -9,1635 -9,8535 -10,5462 -11,1019 -11,3271 -11,0621 -10,2934 -9,1662 -7,8812 -6,5910 -5,3862 -4,3600 -3,6631 -3,4581 -3,7806 -4,4512 -5,1579 -5,6671 -5,9728 -6,2386 -6,6275 -7,2039 -7,9324 -8,7166 -9,4573 -10,0794 -10,4957 -10,5928 -10,2977 -9,6314 -8,6916 -7,6220 -6,5895 -5,7570 -5,2686 -5,2331 -5,6863 -6,5729 -7,7733 -9,1332 -10,4863 -11,6875 -12,6414 -13,3073 -13,6907 -13,8320 -13,7750 -13,5429 -13,1677 -12,7128 -12,2275 -11,7099 -11,1540 -10,6121 -10,1802 -9,9408 -9,9300 -10,1376 -10,5142 -10,9778 -11,4240 -11,7260 -11,7415 -11,3690 -10,6252 -9,6537 -8,6425 -7,7336 -7,0070 -6,5236 -6,3647 -6,6344 -7,4047 -8,6151 -10,0085 -11,2008 -11,8841 -12,0093 -11,7827 -11,4849 -11,2647 -11,0781 -10,8158 -10,4418 -9,9876 -9,4685 -8,8576 -8,1471 -7,4274 -6,8860 -6,7174 -7,0137 -7,7026 -8,5755 -9,3961 -9,9957 -10,2700 -10,1516 -9,6724 -9,0286 -8,4943 -8,2528 -8,3186 -8,5786 -8,8870 -9,1459 -9,3305 -9,4668 -9,5994 -9,7633 -9,9493 -10,0951 -10,1264 -10,0009 -9,7309 -9,3863 -9,0503 -8,7736 -8,6058 -8,6469 -9,0021 -9,6695 -10,4937 -11,2367 -11,7039 -11,8186 -11,6009 -11,1300 -10,5438 -10,0139 -9,6725 -9,5713 -9,7138 -10,0789 -10,5699 -10,9705 -11,0225 -10,6058 -9,8561 -9,0823 -8,5646 -8,4228 -8,5960 -8,8658 -8,9500 -8,6686 -8,0259 -7,1277 -6,0747 -4,9618 -3,9374 -3,2149 -2,9915 -3,3394 -4,1782 -5,3197 -6,5082 -7,4676 -7,9845 -7,9648 -7,4242 -6,4607 -5,2383 -3,9429 -2,6951 -1,4996 -0,3025 0,9019 2,0218 2,9099 3,4408 3,5580 3,2755 2,6437 1,7198 0,5951 -0,5645 -1,5568 -2,2640 -2,7400 -3,1507 -3,6296 -4,1989 -4,7961 -5,3422 -5,7819 -6,0716 -6,1608 -6,0229 -5,7139 -5,3757 -5,1602 -5,1609 -5,4180 -5,9486 -6,7460 -7,7591 -8,8803 -9,9478 -10,7701 -11,1740 -11,0604 -10,4427 -9,4440 -8,2415 -7,0029 -5,8661 -4,9269 -4,2002 -3,6185 -3,0916 -2,5609 -2,0315 -1,6005 -1,4273 -1,6200 -2,1370 -2,8025 -3,4040 -3,7766 -3,8422 -3,6189 -3,1863 -2,6235 -1,9759 -1,2422 -0,3545 0,7836 2,1682 3,6210 4,8833 5,7737 6,2259 6,2052 5,6670 4,6246 3,2159 1,6779 0,2718 -0,7836 -1,3486 -1,3656 -0,8476 0,1141 1,3442 2,6190 3,7194 4,4829 4,8477 4,8390 4,5102 3,9131 3,1040 2,1456 1,1181 0,1294 -0,6900 -1,1985 -1,2790 -0,9205 -0,2640 0,4613 1,0424 1,3592 1,4407 1,4687 1,6680 2,1382 2,7803 3,3737 3,7078 3,6650 3,2269 2,4517 1,4880 0,5828 -0,0025 -0,1115 0,2678 1,0414 2,0453 3,0478 3,7811 4,0432 3,7957 3,1660 2,3556 1,5260 0,7501 0,0496 -0,5662 -1,1182 -1,6570 -2,2046 -2,7206 -3,1306 -3,3509 -3,2918 -2,9009 -2,2243
Fz    -0,6631 -0,6465 -0,5644 -0,4134 -0,2038 0,0357 0,2620 0,4303 0,5138 0,5182 0,4781 0,4424 0,4544 0,5311 0,6544 0,7813 0,8637 0,8728 0,8179 0,7318 0,6366 0,5318 0,4062 0,2536 0,0806 -0,0910 -0,2216 -0,2596 -0,1660 0,0556 0,3566 0,6800 0,9938 1,2801 1,5095 1,6458 1,6634 1,5471 1,2822 0,8600 0,2991 -0,3471 -1,0101 -1,6299 -2,1595 -2,5600 -2,8122 -2,9290 -2,9382 -2,8543 -2,6797 -2,4224 -2,1019 -1,7498 -1,4050 -1,1031 -0,8742 -0,7454 -0,7302 -0,8197 -0,9909 -1,2194 -1,4863 -1,7815 -2,0996 -2,4185 -2,6891 -2,8655 -2,9428 -2,9489 -2,9110 -2,8344 -2,7087 -2,5282 -2,3098 -2,0901 -1,9071 -1,7836 -1,7179 -1,6845 -1,6511 -1,5973 -1,5159 -1,4005 -1,2436 -1,0502 -0,8486 -0,6806 -0,5789 -0,5581 -0,6193 -0,7444 -0,8906 -1,0134 -1,1038 -1,1937 -1,3192 -1,4831 -1,6523 -1,7820 -1,8402 -1,8210 -1,7417 -1,6301 -1,5120 -1,4103 -1,3482 -1,3485 -1,4265 -1,5759 -1,7647 -1,9575 -2,1488 -2,3692 -2,6640 -3,0634 -3,5623 -4,1215 -4,6862 -5,2035 -5,6281 -5,9273 -6,0819 -6,0821 -5,9244 -5,6100 -5,1414 -4,5245 -3,7854 -2,9833 -2,2005 -1,5184 -0,9992 -0,6716 -0,5259 -0,5267 -0,6311 -0,7966 -0,9865 -1,1776 -1,3662 -1,5661 -1,7967 -2,0633 -2,3434 -2,5957 -2,7818 -2,8827 -2,9047 -2,8710 -2,8060 -2,7227 -2,6174 -2,4726 -2,2674 -1,9902 -1,6413 -1,2233 -0,7300 -0,1438 0,5442 1,3112 2,1096 2,8943 3,6292 4,2781 4,8202 5,2751 5,6974 6,1436 6,6396 7,1713 7,6918 8,1348 8,4417 8,5905 8,5938 8,4799 8,2879 8,0592 7,8114 7,5326 7,2099 6,8558 6,5054 6,1948 5,9376 5,7219 5,5352 5,3768 5,2429 5,1144 4,9623 4,7498 4,4361 4,0002 3,4683 2,9050 2,3717 1,8968 1,4773 1,0933 0,7233 0,3541 -0,0145 -0,3687 -0,6886 -0,9670 -1,2162 -1,4537 -1,6870 -1,9165 -2,1428 -2,3602 -2,5507 -2,7035 -2,8397 -3,0083 -3,2560 -3,6035 -4,0387 -4,5303 -5,0510 -5,5857 -6,1181 -6,6152 -7,0303 -7,3193 -7,4543 -7,4192 -7,1991 -6,7833 -6,1871 -5,4631 -4,6908 -3,9520 -3,3072 -2,7778 -2,3423 -1,9519 -1,5672 -1,1874 -0,8427 -0,5637 -0,3621 -0,2319 -0,1608 -0,1446 -0,1917 -0,3076 -0,4736 -0,6403 -0,7479 -0,7610 -0,6921 -0,5973 -0,5461 -0,5771 -0,6758 -0,7950 -0,8936 -0,9587 -1,0115 -1,0970 -1,2585 -1,5073 -1,8145 -2,1249 -2,3743 -2,5014 -2,4660 -2,2718 -1,9731 -1,6557 -1,3986 -1,2366 -1,1545 -1,1175 -1,1022 -1,1074 -1,1494 -1,2389 -1,3626 -1,4958 -1,6211 -1,7190 -1,7573 -1,7072 -1,5607 -1,3343 -1,0678 -0,8144 -0,6171 -0,4911 -0,4272 -0,4048 -0,3974 -0,3750 -0,3094 -0,1803 0,0163 0,2584 0,5057 0,7234 0,9022 1,0632 1,2495 1,5036 1,8366 2,2185 2,5955 2,9199 3,1721 3,3630 3,5169 3,6506 3,7641 3,8412 3,8517 3,7583 3,5341 3,1813 2,7419 2,2831 1,8589 1,4868 1,1671 0,9130 0,7521 0,7052 0,7698 0,9177 1,1114 1,3258 1,5491 1,7666 1,9484 2,0606 2,0891 2,0508 1,9821 1,9130 1,8490 1,7720 1,6555 1,4814 1,2512 0,9855 0,7139 0,4588 0,2238 -0,0009 -0,2166 -0,4061 -0,5445 -0,6110 -0,5954 -0,4971 -0,3184 -0,0635 0,2512 0,5962 0,9418 1,2614 1,5241 1,6960 1,7532 1,6871 1,5009 1,2054 0,8138 0,3371 -0,2114 -0,8051 -1,3969 -1,9287 -2,3582 -2,6762 -2,8961 -3,0294 -3,0756 -3,0363 -2,9362 -2,8197 -2,7196 -2,6391 -2,5702 -2,5270 -2,5518 -2,6834 -2,9156 -3,1898 -3,4285 -3,5758 -3,6129 -3,5539 -3,4370 -3,3097 -3,2213 -3,2241 -3,3545 -3,6091 -3,9474 -4,3113 -4,6407 -4,8931 -5,0676 -5,2050 -5,3529 -5,5249 -5,6903 -5,8007 -5,8313 -5,8038 -5,7743 -5,7996 -5,9116 -6,1177 -6,4144 -6,7937 -7,2367 -7,7086 -8,1658 -8,5678 -8,8952 -9,1641 -9,4192 -9,7074 -10,0429 -10,3841 -10,6460 -10,7422 -10,6259 -10,2976 -9,7826 -9,1136 -8,3336 -7,4940 -6,6359 -5,7810 -4,9474 -4,1754 -3,5226 -3,0244 -2,6685 -2,4188 -2,2528 -2,1677 -2,1672 -2,2591 -2,4554 -2,7662 -3,1838 -3,6705 -4,1654 -4,6063 -4,9471 -5,1693 -5,2988 -5,3978 -5,5125 -5,6207 -5,6398 -5,4918 -5,1577 -4,6719 -4,0879 -3,4664 -2,8794 -2,4038 -2,1030 -2,0066 -2,0927 -2,2874 -2,4826 -2,5713 -2,4943 -2,2687 -1,9708 -1,6867 -1,4673 -1,3258 -1,2630 -1,2814 -1,3804 -1,5534 -1,7917 -2,0901 -2,4591 -2,9324 -3,5479 -4,3115 -5,1783 -6,0680 -6,8989 -7,6158 -8,2035 -8,6849 -9,1068 -9,5157 -9,9364 -10,3600 -10,7469 -11,0480 -11,2280 -11,2734 -11,1845 -10,9562 -10,5668 -9,9969 -9,2647 -8,4309 -7,5694 -6,7399 -5,9777 -5,2947 -4,6858 -4,1375 -3,6359 -3,1699 -2,7339 -2,3322 -1,9833 -1,7135 -1,5380 -1,4443 -1,3958 -1,3433 -1,2329 -1,0191 -0,6859 -0,2578 0,2043 0,6251 0,9441 1,1381 1,2193 1,2130 1,1448 1,0514 0,9847 0,9909 1,0832 1,2317 1,3828 1,4986 1,5788 1,6468 1,7320 1,8561 2,0190 2,1993 2,3681 2,4940 2,5418 2,4836 2,3183 2,0760 1,7953 1,4969 1,1778 0,8282 0,4444 0,0295 -0,4004 -0,8067 -1,1392 -1,3674 -1,4983 -1,5615 -1,5814 -1,5686 -1,5409 -1,5412 -1,6196 -1,7979 -2,0611 -2,3742 -2,6983 -2,9950 -3,2344 -3,4172 -3,5915 -3,8406 -4,2394 -4,8097 -5,5059 -6,2386 -6,9146 -7,4596 -7,8220 -7,9751 -7,9214 -7,6965 -7,3629 -6,9900 -6,6300 -6,3103 -6,0440 -5,8350
F3    -1,4451 -1,3864 -1,2470 -1,0644 -0,8817 -0,7333 -0,6268 -0,5422 -0,4530 -0,3497 -0,2467 -0,1686 -0,1266 -0,1086 -0,0959 -0,0879 -0,1034 -0,1498 -0,1908 -0,1614 -0,0198 0,2199 0,5015 0,7559 0,9213 0,9568 0,8628 0,6906 0,5172 0,3989 0,3455 0,3400 0,3725 0,4427 0,5373 0,6273 0,6881 0,7106 0,6974 0,6623 0,6251 0,5917 0,5409 0,4386 0,2629 0,0145 -0,2993 -0,6734 -1,0853 -1,4751 -1,7592 -1,8690 -1,7839 -1,5457 -1,2448 -0,9789 -0,8122 -0,7629 -0,8047 -0,8761 -0,9093 -0,8687 -0,7719 -0,6794 -0,6525 -0,7057 -0,7948 -0,8533 -0,8405 -0,7564 -0,6302 -0,5071 -0,4352 -0,4470 -0,5435 -0,6924 -0,8466 -0,9642 -1,0127 -0,9689 -0,8361 -0,6561 -0,4841 -0,3397 -0,1921 -0,0043 0,2206 0,4394 0,5982 0,6578 0,6072 0,4694 0,2952 0,1369 0,0164 -0,0789 -0,1676 -0,2504 -0,3066 -0,3035 -0,2226 -0,0852 0,0526 0,1333 0,1244 0,0187 -0,1820 -0,4832 -0,8966 -1,4087 -1,9554 -2,4482 -2,8328 -3,1150 -3,3384 -3,5446 -3,7460 -3,9215 -4,0367 -4,0705 -4,0302 -3,9504 -3,8697 -3,8021 -3,7316 -3,6272 -3,4542 -3,1800 -2,7871 -2,2911 -1,7391 -1,1922 -0,7123 -0,3465 -0,1013 0,0634 0,2054 0,3717 0,5851 0,8358 1,0796 1,2531 1,3041 1,2166 1,0098 0,7185 0,3860 0,0625 -0,2094 -0,4041 -0,5064 -0,5062 -0,3974 -0,1755 0,1591 0,5964 1,1157 1,6842 2,2652 2,8377 3,4013 3,9596 4,5089 5,0444 5,5571 6,0279 6,4463 6,8319 7,2225 7,6443 8,0922 8,5265 8,8809 9,0785 9,0673 8,8531 8,4941 8,0689 7,6532 7,3048 7,0458 6,8576 6,7020 6,5421 6,3474 6,0957 5,7804 5,4186 5,0496 4,7177 4,4521 4,2682 4,1721 4,1398 4,1032 3,9816 3,7288 3,3476 2,8740 2,3572 1,8441 1,3675 0,9536 0,6351 0,4385 0,3548 0,3329 0,3083 0,2316 0,0764 -0,1655 -0,4851 -0,8510 -1,2094 -1,5041 -1,7081 -1,8419 -1,9550 -2,0934 -2,2812 -2,5183 -2,7862 -3,0616 -3,3325 -3,6022 -3,8757 -4,1388 -4,3512 -4,4577 -4,4019 -4,1477 -3,7084 -3,1455 -2,5319 -1,9168 -1,3225 -0,7618 -0,2471 0,2113 0,6033 0,9078 1,0973 1,1634 1,1366 1,0765 1,0391 1,0475 1,0875 1,1275 1,1432 1,1305 1,1070 1,1001 1,1256 1,1730 1,2112 1,2039 1,1303 0,9956 0,8243 0,6468 0,4925 0,3818 0,3145 0,2680 0,2125 0,1258 -0,0039 -0,1680 -0,3288 -0,4381 -0,4661 -0,4142 -0,3135 -0,2145 -0,1604 -0,1646 -0,2108 -0,2714 -0,3334 -0,4111 -0,5228 -0,6580 -0,7800 -0,8552 -0,8706 -0,8346 -0,7680 -0,6860 -0,5855 -0,4544 -0,2902 -0,1049 0,0824 0,2573 0,4203 0,5897 0,7882 1,0229 1,2826 1,5479 1,7975 2,0063 2,1526 2,2329 2,2656 2,2845 2,3305 2,4323 2,5883 2,7726 2,9643 3,1722 3,4276 3,7487 4,1089 4,4445 4,6914 4,8116 4,7912 4,6295 4,3461 3,9972 3,6667 3,4154 3,2422 3,1065 2,9773 2,8555 2,7693 2,7552 2,8287 2,9670 3,1227 3,2561 3,3528 3,4105 3,4198 3,3751 3,2934 3,2065 3,1327 3,0661 2,9841 2,8613 2,6802 2,4404 2,1666 1,9028 1,6847 1,5127 1,3578 1,1987 1,0511 0,9557 0,9457 1,0258 1,1813 1,3995 1,6740 1,9891 2,3121 2,6096 2,8659 3,0793 3,2449 3,3515 3,3894 3,3508 3,2228 2,9889 2,6451 2,2193 1,7645 1,3373 0,9880 0,7562 0,6626 0,7032 0,8522 1,0653 1,2808 1,4235 1,4305 1,2881 1,0430 0,7664 0,5043 0,2626 0,0302 -0,1928 -0,3817 -0,4965 -0,5109 -0,4308 -0,2898 -0,1417 -0,0555 -0,0975 -0,3034 -0,6528 -1,0739 -1,4878 -1,8493 -2,1461 -2,3780 -2,5527 -2,6865 -2,7865 -2,8360 -2,8073 -2,6859 -2,4851 -2,2513 -2,0575 -1,9772 -2,0550 -2,2941 -2,6597 -3,0872 -3,4998 -3,8409 -4,0963 -4,2861 -4,4480 -4,6357 -4,9117 -5,3186 -5,8419 -6,3970 -6,8617 -7,1281 -7,1379 -6,8844 -6,4010 -5,7544 -5,0260 -4,2760 -3,5208 -2,7535 -1,9842 -1,2638 -0,6696 -0,2654 -0,0668 -0,0389 -0,1239 -0,2669 -0,4277 -0,5882 -0,7567 -0,9540 -1,1900 -1,4501 -1,6971 -1,8812 -1,9533 -1,8925 -1,7371 -1,5801 -1,5075 -1,5265 -1,5568 -1,4989 -1,3099 -1,0129 -0,6534 -0,2723 0,0915 0,3911 0,5673 0,5636 0,3667 0,0384 -0,2970 -0,5129 -0,5538 -0,4639 -0,3445 -0,2802 -0,2950 -0,3689 -0,4818 -0,6273 -0,7892 -0,9270 -0,9997 -1,0071 -1,0089 -1,1016 -1,3695 -1,8442 -2,4903 -3,2177 -3,9155 -4,4954 -4,9249 -5,2325 -5,4821 -5,7380 -6,0469 -6,4324 -6,8858 -7,3591 -7,7817 -8,0902 -8,2433 -8,2163 -7,9923 -7,5709 -6,9804 -6,2713 -5,4995 -4,7100 -3,9300 -3,1824 -2,4977 -1,8941 -1,3518 -0,8258 -0,2823 0,2780 0,8152 1,2638 1,5606 1,6708 1,5975 1,3844 1,1140 0,8843 0,7700 0,8005 0,9618 1,2096 1,4887 1,7545 1,9818 2,1567 2,2705 2,3299 2,3683 2,4276 2,5238 2,6269 2,6799 2,6457 2,5345 2,3869 2,2451 2,1386 2,0753 2,0408 2,0211 2,0200 2,0402 2,0624 2,0586 2,0156 1,9330 1,8059 1,6254 1,3926 1,1172 0,8043 0,4529 0,0709 -0,3169 -0,6788 -0,9903 -1,2344 -1,3933 -1,4556 -1,4357 -1,3817 -1,3602 -1,4256 -1,5964 -1,8572 -2,1723 -2,4981 -2,7965 -3,0510 -3,2750 -3,5134 -3,8278 -4,2570 -4,7889 -5,3754 -5,9626 -6,4994 -6,9343 -7,2160 -7,2992 -7,1647 -6,8415 -6,4083 -5,9676 -5,6095 -5,3888 -5,3145
F7    -1,1335 -1,1061 -0,9863 -0,7941 -0,5836 -0,4208 -0,3462 -0,3609 -0,4434 -0,5670 -0,7047 -0,8268 -0,9022 -0,9061 -0,8277 -0,6749 -0,4738 -0,2596 -0,0555 0,1340 0,3047 0,4400 0,5180 0,5240 0,4545 0,3152 0,1262 -0,0669 -0,1991 -0,2185 -0,1152 0,0837 0,3386 0,6072 0,8426 1,0072 1,0922 1,1124 1,0858 1,0278 0,9524 0,8670 0,7634 0,6232 0,4371 0,2204 0,0044 -0,1827 -0,3221 -0,4042 -0,4309 -0,4121 -0,3598 -0,2911 -0,2300 -0,1983 -0,2075 -0,2629 -0,3620 -0,4876 -0,6141 -0,7236 -0,8134 -0,8929 -0,9766 -1,0710 -1,1671 -1,2504 -1,3191 -1,3843 -1,4533 -1,5189 -1,5691 -1,6033 -1,6313 -1,6617 -1,6956 -1,7209 -1,7060 -1,6089 -1,4062 -1,1197 -0,8088 -0,5292 -0,3072 -0,1491 -0,0589 -0,0367 -0,0725 -0,1512 -0,2645 -0,4090 -0,5706 -0,7239 -0,8505 -0,9488 -1,0204 -1,0581 -1,0508 -0,9873 -0,8599 -0,6735 -0,4529 -0,2354 -0,0570 0,0543 0,0770 -0,0055 -0,2001 -0,4800 -0,7765 -1,0190 -1,1903 -1,3351 -1,5167 -1,7683 -2,0810 -2,4235 -2,7650 -3,0796 -3,3395 -3,5158 -3,5778 -3,4923 -3,2337 -2,8026 -2,2339 -1,5863 -0,9196 -0,2815 0,2979 0,8131 1,2784 1,7093 2,1079 2,4566 2,7189 2,8564 2,8580 2,7525 2,5873 2,3990 2,2045 2,0088 1,8101 1,6030 1,3876 1,1730 0,9668 0,7728 0,5997 0,4635 0,3871 0,3990 0,5217 0,7582 1,0892 1,4778 1,8866 2,3058 2,7610 3,2810 3,8661 4,4907 5,1108 5,6706 6,1243 6,4590 6,6867 6,8223 6,8761 6,8556 6,7662 6,6128 6,4084 6,1769 5,9427 5,7236 5,5353 5,3860 5,2622 5,1377 5,0020 4,8682 4,7553 4,6694 4,5974 4,5178 4,4190 4,2999 4,1529 3,9658 3,7380 3,4840 3,2187 2,9497 2,6877 2,4549 2,2657 2,1058 1,9425 1,7506 1,5321 1,3178 1,1496 1,0569 1,0447 1,0951 1,1739 1,2429 1,2718 1,2443 1,1643 1,0548 0,9433 0,8435 0,7470 0,6320 0,4797 0,2784 0,0263 -0,2632 -0,5667 -0,8643 -1,1443 -1,3942 -1,5860 -1,6810 -1,6569 -1,5228 -1,3069 -1,0383 -0,7406 -0,4284 -0,1102 0,1989 0,4666 0,6548 0,7493 0,7716 0,7563 0,7223 0,6726 0,6135 0,5641 0,5480 0,5806 0,6567 0,7439 0,7989 0,8035 0,7843 0,7924 0,8642 0,9981 1,1596 1,3036 1,4005 1,4496 1,4681 1,4704 1,4598 1,4275 1,3537 1,2184 1,0187 0,7729 0,5103 0,2693 0,0994 0,0413 0,0977 0,2284 0,3738 0,4843 0,5396 0,5450 0,5109 0,4383 0,3195 0,1460 -0,0692 -0,2793 -0,4301 -0,4894 -0,4443 -0,2952 -0,0650 0,2033 0,4690 0,7063 0,8954 1,0219 1,0887 1,1185 1,1397 1,1783 1,2544 1,3719 1,5068 1,6146 1,6551 1,6125 1,5018 1,3664 1,2573 1,2051 1,2122 1,2625 1,3296 1,3821 1,3972 1,3722 1,3237 1,2812 1,2795 1,3490 1,4982 1,7003 1,9029 2,0498 2,0983 2,0349 1,8827 1,6820 1,4577 1,2198 0,9863 0,7824 0,6261 0,5264 0,4856 0,4945 0,5313 0,5707 0,5971 0,6093 0,6111 0,6028 0,5821 0,5458 0,4875 0,4003 0,2843 0,1483 0,0042 -0,1359 -0,2569 -0,3416 -0,3776 -0,3618 -0,2987 -0,1950 -0,0604 0,0884 0,2263 0,3201 0,3425 0,2965 0,2186 0,1480 0,1051 0,1024 0,1572 0,2802 0,4618 0,6749 0,8859 1,0612 1,1697 1,1853 1,0934 0,9038 0,6536 0,3944 0,1761 0,0310 -0,0353 -0,0375 0,0076 0,0958 0,2341 0,4221 0,6375 0,8462 1,0225 1,1533 1,2253 1,2210 1,1297 0,9604 0,7428 0,5199 0,3302 0,1942 0,1122 0,0729 0,0611 0,0549 0,0198 -0,0720 -0,2148 -0,3707 -0,4942 -0,5516 -0,5304 -0,4456 -0,3308 -0,2100 -0,0781 0,0865 0,2956 0,5370 0,7737 0,9509 1,0129 0,9319 0,7214 0,4193 0,0646 -0,3050 -0,6496 -0,9321 -1,1239 -1,2153 -1,2267 -1,2025 -1,1867 -1,2013 -1,2369 -1,2663 -1,2670 -1,2345 -1,1768 -1,1038 -1,0207 -0,9222 -0,7884 -0,5922 -0,3225 -0,0020 0,3158 0,5749 0,7524 0,8673 0,9510 1,0149 1,0528 1,0662 1,0715 1,0862 1,1165 1,1648 1,2441 1,3721 1,5523 1,7741 2,0209 2,2619 2,4489 2,5447 2,5578 2,5418 2,5595 2,6486 2,8192 3,0651 3,3618 3,6597 3,8956 4,0129 3,9729 3,7668 3,4247 3,0141 2,6196 2,3085 2,0999 1,9566 1,8117 1,6171 1,3702 1,0969 0,8177 0,5398 0,2739 0,0501 -0,0946 -0,1510 -0,1551 -0,1642 -0,2205 -0,3375 -0,5097 -0,7203 -0,9426 -1,1494 -1,3264 -1,4754 -1,6041 -1,7185 -1,8224 -1,9121 -1,9732 -1,9905 -1,9590 -1,8812 -1,7556 -1,5676 -1,2957 -0,9306 -0,4845 0,0097 0,5068 0,9637 1,3502 1,6513 1,8785 2,0747 2,2920 2,5614 2,8818 3,2199 3,5241 3,7499 3,8782 3,9159 3,8890 3,8388 3,8121 3,8431 3,9415 4,0911 4,2585 4,4077 4,5123 4,5639 4,5743 4,5668 4,5607 4,5606 4,5563 4,5348 4,4878 4,4164 4,3387 4,2826 4,2572 4,2490 4,2455 4,2448 4,2423 4,2284 4,1983 4,1526 4,0852 3,9879 3,8689 3,7538 3,6606 3,5850 3,5113 3,4272 3,3218 3,1840 3,0178 2,8491 2,7051 2,5938 2,5065 2,4304 2,3596 2,2936 2,2242 2,1303 1,9983 1,8401 1,6869 1,5663 1,4901 1,4565 1,4513 1,4471 1,4086 1,3046 1,1216 0,8716 0,5814 0,2792 -0,0042 -0,2366 -0,4010 -0,5054 -0,5747 -0,6365 -0,7093 -0,7952 -0,8808 -0,9506 -0,9948
