Fp1   0,1994 -0,1484 0,0083 0,6707 1,6888 2,8064 3,7326 4,2137 4,1072 3,4399 2,3752 1,0987 -0,2447 -1,5392 -2,6852 -3,5868 -4,1423 -4,2855 -4,0372 -3,5104 -2,8792 -2,3147 -1,9114 -1,6736 -1,5704 -1,5682 -1,5985 -1,5363 -1,2789 -0,8532 -0,4012 -0,0609 0,1160 0,1426 0,0308 -0,2314 -0,6206 -0,9924 -1,1187 -0,8553 -0,2214 0,6793 1,7204 2,7252 3,4535 3,6877 3,3683 2,6466 1,8095 1,1455 0,8306 0,8794 1,1719 1,5083 1,6674 1,4888 0,9578 0,2017 -0,6165 -1,3725 -1,9429 -2,1779 -1,9908 -1,4446 -0,7205 -0,0207 0,4961 0,7141 0,5641 0,0997 -0,4580 -0,8505 -0,9576 -0,8002 -0,4206 0,1603 0,8818 1,6377 2,3661 3,0706 3,7336 4,2506 4,4524 4,2179 3,5923 2,7852 2,0525 1,5916 1,4898 1,6862 1,9864 2,1897 2,2207 2,1452 2,0984 2,1910 2,4515 2,8226 3,1676 3,2998 3,0856 2,5221 1,6982 0,7213 -0,3148 -1,3352 -2,2694 -3,0428 -3,6060 -3,9692 -4,1817 -4,2671 -4,1944 -3,9209 -3,4320 -2,7257 -1,8015 -0,6924 0,5154 1,7134 2,8083 3,7318 4,4445 4,9337 5,2078 5,3170 5,3532 5,3876 5,4294 5,4511 5,3999 5,1937 4,7678 4,1336 3,3730 2,5722 1,7617 0,9311 0,0872 -0,7381 -1,5062 -2,1436 -2,5247 -2,5436 -2,2049 -1,6332 -1,0370 -0,6693 -0,7156 -1,1554 -1,7839 -2,3804 -2,8058 -2,9849 -2,8983 -2,6078 -2,2464 -1,9563 -1,8125 -1,7996 -1,8582 -1,9292 -1,9481 -1,8446 -1,5611 -1,0493 -0,2921 0,6180 1,4621 2,0149 2,1832 2,0326 1,7137 1,3779 1,1229 0,9714 0,8831 0,8035 0,7243 0,6966 0,7985 1,1199 1,7338 2,6248 3,6610 4,6576 5,4611 5,9975 6,2933 6,4653 6,6514 6,9119 7,1789 7,3015 7,1421 6,6596 5,9345 5,1129 4,3265 3,6581 3,1543 2,8608 2,8353 3,0892 3,5142 3,8846 3,9597 3,6317 2,9933 2,2519 1,5909 1,1167 0,8773 0,8700 1,0414 1,3095 1,5594 1,6372 1,4354 1,0035 0,5382 0,2612 0,3023 0,6619 1,2702 2,0685 3,0078 3,9709 4,7520 5,1672 5,1876 4,9457 4,6310 4,3910 4,2997 4,3658 4,5361 4,7158 4,8150 4,7785 4,6042 4,3721 4,2334 4,3260 4,6722 5,1517 5,5555 5,6595 5,3250 4,6167 3,8146 3,2605 3,1662 3,5242 4,1612 4,8710 5,5024 5,9709 6,2470 6,3427 6,3062 6,2251 6,2115 6,3606 6,7068 7,1962 7,7036 8,1028 8,3241 8,3591 8,2407 8,0186 7,7423 7,4585 7,2013 6,9756 6,7656 6,5615 6,3646 6,1758 6,0079 5,9103 5,9437 6,1112 6,3394 6,5311 6,6171 6,5716 6,4197 6,2363 6,1086 6,0801 6,1312 6,2070 6,2617 6,2950 6,3629 6,5348 6,8263 7,2054 7,6536 8,1618 8,6825 9,1385 9,4639 9,6037 9,5025 9,1450 8,6050 8,0209 7,5180 7,1596 6,9397 6,7903 6,6312 6,4380 6,2303 6,0250 5,8611 5,8337 6,0460 6,5399 7,2662 8,0885 8,8240 9,3226 9,5447 9,5715 9,5236 9,4624 9,3695 9,2119 9,0131 8,8446 8,7515 8,7134 8,6796 8,6085 8,4801 8,3023 8,1059 7,9315 7,8271 7,8461 8,0166 8,2979 8,5950 8,8334 8,9947 9,0748 9,0446 8,8760 8,6062 8,3507 8,2198 8,2237 8,2972 8,4104 8,6082 8,9380 9,3564 9,7170 9,8642 9,7542 9,4732 9,1400 8,8097 8,4645 8,0648 7,5980 7,0912 6,5989 6,1971 5,9808 6,0299 6,3422 6,8014 7,2259 7,4579 7,4370 7,2391 7,0446 7,0340 7,2826 7,7246 8,1899 8,4808 8,4569 8,0796 7,4093 6,6010 5,8812 5,4636 5,4535 5,8167 6,4071 7,0139 7,4295 7,5494 7,4300 7,2305 7,0999 7,1121 7,2491 7,3963 7,3800 7,0621 6,4266 5,5752 4,6249 3,6160 2,5520 1,5038 0,6266 0,0839 -0,0299 0,2661 0,8411 1,5062 2,0835 2,4462 2,5362 2,3928 2,1659 2,0552 2,1850 2,5154 2,8947 3,2000 3,4208 3,6333 3,9205 4,3119 4,7733 5,2288 5,5921 5,7886 5,7705 5,5281 5,0920 4,5351 3,9789 3,5583 3,3429 3,2980 3,3224 3,3141 3,2231 3,0668 2,9054 2,8222 2,9138 3,2604 3,8797 4,7053 5,6171 6,5041 7,3011 7,9775 8,4917 8,7600 8,6961 8,2927 7,6550 6,9493 6,3095 5,7776 5,3296 4,9498 4,6629 4,5072 4,4991 4,6121 4,7842 4,9590 5,1156 5,2574 5,3860 5,4858 5,5322 5,5334 5,5434 5,6098 5,7419 5,9346 6,1597 6,3333 6,3584 6,2125 5,9688 5,7358 5,5937 5,5736 5,6564 5,7793 5,8678 5,8603 5,6986 5,3338 4,7716 4,1088 3,5100 3,1145 2,9478 2,9199 2,8876 2,7088 2,2781 1,5628 0,6351 -0,3427 -1,1830 -1,7393 -1,9500 -1,8486 -1,5368 -1,1421 -0,7693 -0,4774 -0,3147 -0,3498 -0,6088 -0,9937 -1,3251 -1,4548 -1,3177 -0,9252 -0,3521 0,2809 0,8556 1,3157 1,6752 1,9893 2,3472 2,8530 3,5611 4,4147 5,2417 5,8387 6,0962 6,0531 5,8390 5,5794 5,3594 5,2358 5,2166 5,2249 5,1323 4,8603 4,4512 4,0492 3,8171 3,8328 4,0295 4,2405 4,3024 4,1233 3,7029 3,1309 2,5380 2,0061 1,5349 1,0878 0,6440 0,2301 -0,0690 -0,1494 0,0270 0,4037 0,8951 1,4400 1,9969 2,5400 3,0452 3,4430 3,6112 3,4604 3,0377 2,5130 2,0497 1,7057 1,4560 1,2763 1,1691 1,1030 0,9748 0,6925 0,2820 -0,1247 -0,3847 -0,3986 -0,1296 0,3771 1,0126 1,6535 2,1884 2,5329 2,6528 2,5736 2,3796
Fz    2,5168 2,1414 1,8971 1,8248 1,9111 2,0942 2,2774 2,3494 2,2260 1,8946 1,4160 0,8764 0,3442 -0,1408 -0,5615 -0,9072 -1,1609 -1,3084 -1,3528 -1,3191 -1,2487 -1,1808 -1,1307 -1,0864 -1,0306 -0,9647 -0,9062 -0,8651 -0,8390 -0,8328 -0,8621 -0,9283 -1,0035 -1,0523 -1,0661 -1,0674 -1,0803 -1,0944 -1,0652 -0,9543 -0,7508 -0,4576 -0,0920 0,2951 0,6205 0,8102 0,8438 0,7632 0,6446 0,5633 0,5686 0,6700 0,8370 1,0092 1,1123 1,0831 0,9020 0,6036 0,2478 -0,1121 -0,4256 -0,6320 -0,6794 -0,5569 -0,3031 0,0084 0,2896 0,4542 0,4391 0,2421 -0,0561 -0,3358 -0,5115 -0,5547 -0,4671 -0,2695 -0,0215 0,1870 0,2923 0,2956 0,2371 0,1444 0,0078 -0,1921 -0,4398 -0,6787 -0,8466 -0,9051 -0,8459 -0,6916 -0,4896 -0,2832 -0,0821 0,1350 0,3956 0,7069 1,0459 1,3708 1,6281 1,7577 1,7226 1,5375 1,2549 0,9305 0,6031 0,2910 0,0077 -0,2225 -0,3664 -0,3945 -0,2835 -0,0089 0,4523 1,1042 1,9231 2,8681 3,8860 4,9097 5,8635 6,6787 7,3055 7,7256 7,9604 8,0522 8,0323 7,9158 7,7106 7,4099 6,9938 6,4526 5,7936 5,0310 4,1884 3,3060 2,4318 1,6021 0,8271 0,0984 -0,5906 -1,2340 -1,8109 -2,2735 -2,5501 -2,5833 -2,3699 -1,9633 -1,4546 -0,9561 -0,5609 -0,2908 -0,0989 0,0740 0,2676 0,5094 0,8096 1,1384 1,4221 1,5772 1,5584 1,3799 1,0950 0,7684 0,4661 0,2497 0,1669 0,2425 0,4645 0,7662 1,0401 1,1917 1,1897 1,0690 0,8978 0,7411 0,6395 0,6006 0,6016 0,6083 0,6062 0,6134 0,6655 0,8051 1,0698 1,4632 1,9342 2,3961 2,7640 2,9801 3,0270 2,9350 2,7724 2,6086 2,4720 2,3384 2,1573 1,8910 1,5366 1,1202 0,6805 0,2554 -0,1222 -0,4177 -0,5966 -0,6528 -0,6309 -0,6118 -0,6719 -0,8411 -1,0901 -1,3581 -1,5904 -1,7523 -1,8275 -1,8215 -1,7621 -1,6899 -1,6563 -1,7219 -1,9267 -2,2546 -2,6325 -2,9655 -3,1780 -3,2360 -3,1428 -2,9256 -2,6371 -2,3616 -2,1922 -2,1807 -2,3024 -2,4770 -2,6212 -2,6830 -2,6413 -2,4988 -2,2867 -2,0630 -1,8854 -1,7888 -1,7768 -1,8122 -1,8237 -1,7437 -1,5534 -1,2952 -1,0507 -0,9157 -0,9630 -1,1900 -1,4982 -1,7476 -1,8374 -1,7477 -1,5278 -1,2575 -1,0154 -0,8593 -0,8157 -0,8792 -1,0175 -1,1784 -1,3042 -1,3550 -1,3262 -1,2472 -1,1582 -1,0836 -1,0284 -0,9888 -0,9559 -0,9213 -0,8864 -0,8605 -0,8519 -0,8656 -0,9018 -0,9558 -1,0218 -1,0968 -1,1771 -1,2515 -1,3039 -1,3301 -1,3442 -1,3707 -1,4367 -1,5626 -1,7395 -1,9161 -2,0186 -1,9910 -1,8230 -1,5477 -1,2152 -0,8601 -0,4894 -0,1019 0,2860 0,6445 0,9555 1,2162 1,4218 1,5571 1,6061 1,5563 1,3949 1,1190 0,7556 0,3568 -0,0278 -0,3677 -0,6514 -0,8849 -1,0784 -1,2294 -1,3335 -1,3980 -1,4186 -1,3583 -1,1681 -0,8213 -0,3354 0,2261 0,7792 1,2567 1,6236 1,8692 1,9911 1,9890 1,8715 1,6736 1,4635 1,3152 1,2622 1,2834 1,3290 1,3466 1,2970 1,1687 0,9859 0,8022 0,6813 0,6719 0,7822 0,9705 1,1718 1,3396 1,4574 1,5173 1,5060 1,4145 1,2580 1,0814 0,9392 0,8605 0,8357 0,8430 0,8768 0,9410 1,0183 1,0650 1,0445 0,9613 0,8558 0,7694 0,7165 0,6811 0,6322 0,5436 0,4070 0,2358 0,0615 -0,0771 -0,1556 -0,1831 -0,2023 -0,2653 -0,4051 -0,6180 -0,8591 -1,0535 -1,1282 -1,0525 -0,8568 -0,6216 -0,4456 -0,4019 -0,5110 -0,7408 -1,0223 -1,2704 -1,4154 -1,4346 -1,3589 -1,2537 -1,1917 -1,2277 -1,3749 -1,5985 -1,8395 -2,0478 -2,1966 -2,2851 -2,3409 -2,4148 -2,5577 -2,7911 -3,0968 -3,4422 -3,8130 -4,2044 -4,5832 -4,8776 -5,0077 -4,9304 -4,6716 -4,3235 -4,0007 -3,7836 -3,6918 -3,6956 -3,7384 -3,7495 -3,6619 -3,4495 -3,1515 -2,8415 -2,5693 -2,3354 -2,1128 -1,8816 -1,6471 -1,4352 -1,2788 -1,2082 -1,2451 -1,3979 -1,6568 -1,9919 -2,3546 -2,6825 -2,9179 -3,0357 -3,0577 -3,0365 -3,0242 -3,0472 -3,1005 -3,1587 -3,1868 -3,1440 -2,9919 -2,7072 -2,2904 -1,7621 -1,1509 -0,4826 0,2099 0,8682 1,4141 1,7861 1,9720 2,0084 1,9513 1,8399 1,6803 1,4582 1,1702 0,8392 0,5084 0,2256 0,0202 -0,1087 -0,1784 -0,2044 -0,2018 -0,1924 -0,2020 -0,2478 -0,3218 -0,3929 -0,4302 -0,4177 -0,3489 -0,2321 -0,1017 -0,0042 0,0366 0,0352 0,0293 0,0546 0,1305 0,2552 0,4033 0,5328 0,5966 0,5553 0,3956 0,1414 -0,1542 -0,4299 -0,6415 -0,7791 -0,8646 -0,9401 -1,0603 -1,2797 -1,6272 -2,0820 -2,5780 -3,0355 -3,3966 -3,6486 -3,8219 -3,9658 -4,1270 -4,3336 -4,5875 -4,8739 -5,1773 -5,4677 -5,6835 -5,7583 -5,6630 -5,4141 -5,0577 -4,6528 -4,2579 -3,9180 -3,6512 -3,4460 -3,2708 -3,0897 -2,8842 -2,6715 -2,5031 -2,4423 -2,5299 -2,7581 -3,0739 -3,4111 -3,7264 -4,0062 -4,2518 -4,4741 -4,7003 -4,9619 -5,2626 -5,5615 -5,7915 -5,8942 -5,8525 -5,7015 -5,5083 -5,3382 -5,2322 -5,1978 -5,2049 -5,1979 -5,1257 -4,9684 -4,7417 -4,4806 -4,2141 -3,9505 -3,6840 -3,4160 -3,1664 -2,9675 -2,8522 -2,8428 -2,9412 -3,1351 -3,4195 -3,8096 -4,3226 -4,9440 -5,6155 -6,2580 -6,8074 -7,2287 -7,5077 -7,6476 -7,6819 -7,6738 -7,6803 -7,7166 -7,7609 -7,7782 -7,7243 -7,5461 -7,2036 -6,6949 -6,0587 -5,3611 -4,6763 -4,0675 -3,5734 -3,1927
F3    1,9587 1,5103 1,2188 1,1087 1,1587 1,3151 1,4967 1,6102 1,5867 1,4150 1,1335 0,7882 0,4029 -0,0173 -0,4641 -0,8977 -1,2481 -1,4579 -1,5195 -1,4728 -1,3780 -1,2815 -1,1946 -1,1023 -0,9936 -0,8817 -0,7869 -0,7043 -0,6111 -0,5075 -0,4251 -0,3879 -0,3814 -0,3703 -0,3437 -0,3360 -0,3920 -0,5019 -0,5860 -0,5636 -0,4117 -0,1504 0,1799 0,5101 0,7527 0,8457 0,7917 0,6537 0,5112 0,4202 0,4085 0,4821 0,6208 0,7706 0,8477 0,7707 0,5156 0,1377 -0,2716 -0,6369 -0,8958 -0,9772 -0,8251 -0,4455 0,0847 0,6507 1,1369 1,4414 1,4874 1,2682 0,8916 0,5322 0,3206 0,2937 0,4337 0,6988 1,0073 1,2475 1,3439 1,3021 1,1773 1,0092 0,7871 0,4809 0,1005 -0,2856 -0,5880 -0,7385 -0,7068 -0,5099 -0,2065 0,1413 0,5070 0,8976 1,3260 1,7879 2,2549 2,6742 2,9658 3,0415 2,8682 2,5078 2,0733 1,6604 1,3199 1,0655 0,8957 0,8140 0,8303 0,9537 1,1867 1,5305 1,9880 2,5552 3,2168 3,9557 4,7549 5,5853 6,4001 7,1395 7,7397 8,1527 8,3728 8,4308 8,3628 8,2026 7,9853 7,7282 7,4227 7,0594 6,6385 6,1535 5,5926 4,9605 4,2869 3,6103 2,9579 2,3383 1,7476 1,1810 0,6518 0,2176 -0,0242 0,0096 0,3332 0,8833 1,5355 2,1259 2,5125 2,6601 2,6492 2,5931 2,5744 2,6468 2,8375 3,1241 3,4285 3,6515 3,7247 3,6400 3,4384 3,1793 2,9219 2,7163 2,6004 2,6034 2,7358 2,9606 3,1910 3,3353 3,3481 3,2434 3,0690 2,8763 2,7067 2,5864 2,5174 2,4822 2,4709 2,4908 2,5529 2,6668 2,8443 3,0840 3,3534 3,5963 3,7574 3,8049 3,7421 3,6089 3,4674 3,3703 3,3235 3,2748 3,1503 2,9086 2,5643 2,1666 1,7659 1,3976 1,0847 0,8525 0,7313 0,7279 0,8038 0,8910 0,9307 0,9098 0,8686 0,8608 0,9106 1,0061 1,1179 1,2088 1,2419 1,1957 1,0644 0,8464 0,5465 0,1897 -0,1751 -0,4855 -0,6864 -0,7491 -0,6711 -0,4692 -0,1931 0,0643 0,1978 0,1550 -0,0287 -0,2622 -0,4645 -0,5954 -0,6378 -0,5781 -0,4210 -0,2060 0,0100 0,1830 0,2968 0,3742 0,4757 0,6692 0,9799 1,3639 1,7145 1,8904 1,7750 1,3709 0,8336 0,3772 0,1410 0,1415 0,3132 0,5633 0,8053 0,9807 1,0702 1,0886 1,0707 1,0583 1,0865 1,1698 1,2967 1,4353 1,5529 1,6376 1,6974 1,7449 1,7917 1,8411 1,8792 1,8828 1,8354 1,7315 1,5695 1,3537 1,1048 0,8559 0,6329 0,4463 0,2975 0,1813 0,0857 -0,0061 -0,1150 -0,2557 -0,4146 -0,5417 -0,5785 -0,4966 -0,3151 -0,0871 0,1345 0,3333 0,5392 0,7937 1,1049 1,4449 1,7789 2,0771 2,3076 2,4458 2,4892 2,4485 2,3253 2,1174 1,8461 1,5620 1,3184 1,1426 1,0227 0,9153 0,7867 0,6519 0,5533 0,5074 0,5063 0,5535 0,6706 0,8760 1,1616 1,4848 1,7894 2,0388 2,2267 2,3627 2,4513 2,4815 2,4407 2,3442 2,2449 2,2032 2,2418 2,3372 2,4494 2,5399 2,5773 2,5531 2,4904 2,4287 2,4034 2,4344 2,5183 2,6250 2,7217 2,8087 2,9126 3,0418 3,1641 3,2273 3,1947 3,0733 2,9102 2,7527 2,6203 2,5205 2,4731 2,4984 2,5838 2,6742 2,7116 2,6837 2,6298 2,6005 2,6160 2,6565 2,6823 2,6582 2,5695 2,4302 2,2814 2,1741 2,1405 2,1700 2,2074 2,1811 2,0447 1,8028 1,5111 1,2520 1,0979 1,0804 1,1775 1,3196 1,4164 1,3967 1,2379 0,9687 0,6585 0,3937 0,2401 0,2116 0,2710 0,3577 0,4114 0,3868 0,2731 0,1008 -0,0782 -0,2190 -0,2971 -0,3150 -0,3047 -0,3171 -0,3967 -0,5605 -0,7935 -1,0668 -1,3630 -1,6726 -1,9661 -2,1822 -2,2462 -2,1094 -1,7928 -1,3980 -1,0568 -0,8543 -0,7953 -0,8315 -0,8985 -0,9266 -0,8480 -0,6314 -0,3128 0,0277 0,3238 0,5551 0,7315 0,8617 0,9430 0,9750 0,9680 0,9325 0,8637 0,7463 0,5707 0,3442 0,0923 -0,1433 -0,3190 -0,4171 -0,4595 -0,4940 -0,5697 -0,7105 -0,9026 -1,1036 -1,2635 -1,3393 -1,3030 -1,1429 -0,8596 -0,4614 0,0403 0,6307 1,2762 1,9082 2,4395 2,8124 3,0298 3,1388 3,1867 3,1871 3,1160 2,9370 2,6365 2,2435 1,8268 1,4690 1,2269 1,1096 1,0930 1,1465 1,2493 1,3912 1,5620 1,7460 1,9322 2,1217 2,3155 2,5064 2,6907 2,8678 3,0205 3,1154 3,1317 3,0838 3,0106 2,9480 2,9154 2,9178 2,9449 2,9698 2,9521 2,8511 2,6497 2,3675 2,0552 1,7751 1,5724 1,4564 1,4059 1,3774 1,3054 1,1184 0,7746 0,2869 -0,2820 -0,8461 -1,3292 -1,6928 -1,9423 -2,1099 -2,2365 -2,3561 -2,4857 -2,6368 -2,8252 -3,0424 -3,2315 -3,3199 -3,2684 -3,0807 -2,7939 -2,4726 -2,1904 -1,9939 -1,8717 -1,7647 -1,6059 -1,3521 -0,9999 -0,5900 -0,2003 0,0810 0,1936 0,1308 -0,0659 -0,3360 -0,6281 -0,9083 -1,1510 -1,3451 -1,5104 -1,6872 -1,8980 -2,1203 -2,2953 -2,3632 -2,3068 -2,1709 -2,0398 -1,9900 -2,0534 -2,2092 -2,3986 -2,5528 -2,6253 -2,6099 -2,5334 -2,4303 -2,3164 -2,1767 -1,9806 -1,7142 -1,3987 -1,0811 -0,8165 -0,6520 -0,6124 -0,7000 -0,9096 -1,2410 -1,6914 -2,2346 -2,8161 -3,3728 -3,8603 -4,2603 -4,5660 -4,7726 -4,8952 -4,9818 -5,0835 -5,2145 -5,3489 -5,4421 -5,4372 -5,2737 -4,9182 -4,3854 -3,7288 -3,0221 -2,3430 -1,7569 -1,3046 -0,9865
F7    2,5161 2,4484 2,3628 2,2900 2,2282 2,1490 2,0112 1,7743 1,4168 0,9552 0,4391 -0,0793 -0,5638 -0,9966 -1,3770 -1,7092 -1,9879 -2,2054 -2,3654 -2,4832 -2,5740 -2,6334 -2,6315 -2,5332 -2,3258 -2,0239 -1,6554 -1,2494 -0,8370 -0,4597 -0,1619 0,0334 0,1399 0,1944 0,2312 0,2700 0,3211 0,3921 0,4856 0,5955 0,7216 0,8782 1,0702 1,2596 1,3674 1,3237 1,1274 0,8527 0,5928 0,4047 0,3035 0,2814 0,3151 0,3604 0,3522 0,2288 -0,0252 -0,3619 -0,6979 -0,9554 -1,0835 -1,0624 -0,9017 -0,6318 -0,3001 0,0271 0,2766 0,3955 0,3726 0,2369 0,0395 -0,1692 -0,3566 -0,5076 -0,6135 -0,6711 -0,6988 -0,7390 -0,8321 -0,9865 -1,1717 -1,3481 -1,5089 -1,6822 -1,8871 -2,0954 -2,2403 -2,2552 -2,1069 -1,8120 -1,4287 -1,0251 -0,6531 -0,3401 -0,0853 0,1391 0,3753 0,6535 0,9645 1,2607 1,4898 1,6180 1,6324 1,5435 1,3846 1,2020 1,0417 0,9420 0,9314 1,0298 1,2491 1,5954 2,0714 2,6687 3,3573 4,0867 4,7992 5,4509 6,0224 6,5086 6,8997 7,1786 7,3333 7,3629 7,2762 7,1020 6,8856 6,6606 6,4333 6,1988 5,9464 5,6496 5,2757 4,8151 4,2937 3,7589 3,2586 2,8287 2,4880 2,2399 2,0839 2,0295 2,0909 2,2629 2,5135 2,8023 3,0889 3,3281 3,4876 3,5735 3,6231 3,6806 3,7845 3,9596 4,2082 4,5099 4,8221 5,0813 5,2235 5,2097 5,0353 4,7242 4,3288 3,9268 3,5950 3,3778 3,2733 3,2380 3,2062 3,1215 2,9624 2,7417 2,4810 2,1865 1,8508 1,4728 1,0696 0,6757 0,3353 0,0831 -0,0704 -0,1317 -0,1103 -0,0178 0,1211 0,2645 0,3670 0,4041 0,3844 0,3409 0,3132 0,3276 0,3833 0,4502 0,4828 0,4453 0,3313 0,1673 0,0007 -0,1288 -0,2105 -0,2515 -0,2581 -0,2381 -0,2084 -0,1874 -0,1803 -0,1628 -0,0805 0,1147 0,4214 0,7851 1,1286 1,3824 1,5040 1,4848 1,3371 1,0737 0,7055 0,2538 -0,2402 -0,7176 -1,1168 -1,3945 -1,5334 -1,5455 -1,4799 -1,4156 -1,4252 -1,5326 -1,7048 -1,8814 -2,0101 -2,0570 -1,9993 -1,8255 -1,5510 -1,2202 -0,8858 -0,5892 -0,3556 -0,1904 -0,0709 0,0462 0,1948 0,3779 0,5745 0,7530 0,8814 0,9509 0,9908 1,0462 1,1441 1,2807 1,4322 1,5710 1,6768 1,7449 1,7828 1,7966 1,7872 1,7627 1,7421 1,7427 1,7655 1,7898 1,7880 1,7506 1,6882 1,6156 1,5422 1,4676 1,3755 1,2388 1,0382 0,7732 0,4626 0,1484 -0,1051 -0,2441 -0,2669 -0,2234 -0,1784 -0,1793 -0,2447 -0,3744 -0,5645 -0,8064 -1,0722 -1,3145 -1,4886 -1,5762 -1,5905 -1,5625 -1,5176 -1,4537 -1,3408 -1,1507 -0,8884 -0,5891 -0,2908 -0,0184 0,2146 0,4020 0,5389 0,6132 0,6093 0,5271 0,3984 0,2806 0,2253 0,2409 0,2864 0,3059 0,2805 0,2456 0,2503 0,3068 0,3928 0,4830 0,5670 0,6488 0,7335 0,8119 0,8676 0,8948 0,9044 0,9192 0,9617 1,0397 1,1391 1,2342 1,3073 1,3591 1,3950 1,4054 1,3665 1,2539 1,0582 0,7957 0,5109 0,2644 0,1113 0,0823 0,1706 0,3281 0,4901 0,6177 0,7088 0,7732 0,8112 0,8069 0,7318 0,5635 0,3067 -0,0064 -0,3296 -0,6120 -0,8093 -0,9053 -0,9249 -0,9191 -0,9311 -0,9736 -1,0302 -1,0686 -1,0566 -0,9791 -0,8459 -0,6837 -0,5209 -0,3767 -0,2571 -0,1605 -0,0862 -0,0412 -0,0389 -0,0873 -0,1799 -0,2960 -0,4104 -0,5014 -0,5532 -0,5563 -0,5163 -0,4631 -0,4502 -0,5328 -0,7363 -1,0337 -1,3504 -1,6007 -1,7363 -1,7715 -1,7665 -1,7861 -1,8667 -2,0073 -2,1762 -2,3315 -2,4460 -2,5180 -2,5590 -2,5764 -2,5687 -2,5326 -2,4732 -2,4106 -2,3737 -2,3876 -2,4651 -2,6035 -2,7822 -2,9604 -3,0795 -3,0828 -2,9524 -2,7299 -2,4896 -2,2900 -2,1491 -2,0522 -1,9679 -1,8598 -1,7028 -1,5073 -1,3222 -1,2024 -1,1677 -1,1963 -1,2528 -1,3181 -1,3920 -1,4763 -1,5622 -1,6342 -1,6806 -1,6995 -1,6985 -1,6906 -1,6864 -1,6854 -1,6779 -1,6606 -1,6445 -1,6450 -1,6733 -1,7318 -1,8081 -1,8781 -1,9198 -1,9280 -1,9172 -1,9056 -1,8954 -1,8674 -1,7891 -1,6266 -1,3682 -1,0472 -0,7291 -0,4721 -0,3000 -0,2070 -0,1811 -0,2230 -0,3415 -0,5332 -0,7746 -1,0342 -1,2852 -1,5030 -1,6644 -1,7530 -1,7627 -1,6937 -1,5525 -1,3559 -1,1276 -0,8901 -0,6559 -0,4273 -0,2101 -0,0198 0,1307 0,2427 0,3288 0,4016 0,4694 0,5387 0,6123 0,6834 0,7406 0,7793 0,8049 0,8265 0,8494 0,8731 0,8893 0,8825 0,8362 0,7429 0,6100 0,4583 0,3129 0,1783 0,0188 -0,2256 -0,5949 -1,0745 -1,6003 -2,0889 -2,4708 -2,7135 -2,8272 -2,8522 -2,8427 -2,8496 -2,9004 -2,9971 -3,1311 -3,2876 -3,4355 -3,5374 -3,5713 -3,5393 -3,4619 -3,3704 -3,2946 -3,2445 -3,1998 -3,1255 -3,0016 -2,8339 -2,6408 -2,4425 -2,2642 -2,1405 -2,1035 -2,1629 -2,2956 -2,4555 -2,6029 -2,7269 -2,8374 -2,9436 -3,0447 -3,1303 -3,1771 -3,1545 -3,0411 -2,8394 -2,5830 -2,3331 -2,1644 -2,1411 -2,2917 -2,5900 -2,9615 -3,3144 -3,5811 -3,7388 -3,7998 -3,7833 -3,6930 -3,5186 -3,2603 -2,9437 -2,6111 -2,3123 -2,1073 -2,0562 -2,1826 -2,4589 -2,8340 -3,2665 -3,7339 -4,2269 -4,7330 -5,2185 -5,6305 -5,9204 -6,0637 -6,0703 -5,9874 -5,8842 -5,8189 -5,8130 -5,8544 -5,9116 -5,9342 -5,8576 -5,6356 -5,2690 -4,8005 -4,2863 -3,7774 -3,3135 -2,9180 -2,5837
