Fp1   -5,8378 -6,2810 -6,5062 -6,2978 -5,6121 -4,5557 -3,2729 -1,8673 -0,4066 1,0489 2,4282 3,6217 4,4725 4,8327 4,6471 3,9831 2,9881 1,8234 0,6267 -0,5155 -1,5792 -2,5464 -3,3093 -3,6585 -3,4072 -2,5424 -1,2646 0,1197 1,3636 2,3747 3,1821 3,8309 4,2969 4,4670 4,1834 3,3465 2,0160 0,4180 -1,1426 -2,3818 -3,0950 -3,1771 -2,6323 -1,5894 -0,2864 1,0178 2,1442 3,0183 3,6137 3,8996 3,8285 3,3586 2,5073 1,4051 0,2888 -0,5924 -1,1005 -1,2772 -1,3085 -1,3965 -1,6009 -1,7781 -1,6815 -1,1337 -0,1402 1,1205 2,4073 3,5164 4,3051 4,7048 4,7643 4,6437 4,5142 4,4574 4,4720 4,5549 4,7298 4,9804 5,1980 5,2171 4,8973 4,1807 3,1008 1,7734 0,3879 -0,8265 -1,6639 -1,9928 -1,7741 -1,0740 -0,0735 0,9681 1,8059 2,2925 2,3959 2,1661 1,6742 0,9569 0,0132 -1,1253 -2,3080 -3,2678 -3,7433 -3,6314 -3,0369 -2,1798 -1,2673 -0,4475 0,1567 0,4243 0,2753 -0,2651 -1,0455 -1,8453 -2,4797 -2,8767 -3,0698 -3,1317 -3,1270 -3,1063 -3,1031 -3,1180 -3,1191 -3,0593 -2,8776 -2,4742 -1,7022 -0,4371 1,3021 3,3024 5,2434 6,8388 7,9324 8,4920 8,5244 8,0122 6,9593 5,4943 3,8964 2,4890 1,4992 0,9951 0,9093 1,0968 1,3945 1,6798 1,9304 2,2391 2,7267 3,4047 4,1228 4,6507 4,8020 4,4964 3,7628 2,7186 1,5217 0,3201 -0,7546 -1,5830 -2,0880 -2,2542 -2,1009 -1,6591 -0,9875 -0,1875 0,6174 1,3251 1,8930 2,3286 2,6345 2,7739 2,6972 2,3916 1,9038 1,3146 0,6757 -0,0388 -0,9002 -1,9368 -3,0714 -4,1241 -4,8716 -5,1400 -4,8823 -4,1902 -3,2477 -2,2679 -1,4300 -0,8303 -0,4742 -0,3071 -0,2505 -0,2375 -0,2418 -0,2893 -0,4498 -0,8157 -1,4676 -2,4201 -3,5679 -4,7005 -5,6146 -6,2234 -6,5405 -6,5742 -6,2779 -5,6110 -4,6110 -3,3844 -2,0497 -0,7148 0,5004 1,4393 1,9063 1,6999 0,6982 -1,0450 -3,2625 -5,5186 -7,3117 -8,2194 -8,0462 -6,8769 -4,9836 -2,7007 -0,3858 1,5811 2,8586 3,2549 2,8040 1,7339 0,3567 -1,0279 -2,1664 -2,8495 -2,9276 -2,3885 -1,4403 -0,4587 0,2263 0,5295 0,6177 0,7351 1,0087 1,3798 1,6820 1,7704 1,5956 1,1937 0,6395 0,0235 -0,5270 -0,8277 -0,6871 -0,0225 1,0559 2,2680 3,2697 3,7701 3,6355 2,9388 1,9091 0,8156 -0,1242 -0,7816 -1,1204 -1,1792 -1,0287 -0,7343 -0,3552 0,0515 0,4711 0,9784 1,6989 2,6796 3,7884 4,7431 5,2469 5,1211 4,3425 3,0126 1,3515 -0,3112 -1,6456 -2,4657 -2,7725 -2,6905 -2,3756 -1,9450 -1,4550 -0,9161 -0,3100 0,3826 1,1328 1,8445 2,4162 2,8291 3,1512 3,4424 3,6811 3,7857 3,6807 3,3321 2,7618 2,0780 1,4993 1,2888 1,6024 2,3756 3,3375 4,1358 4,4919 4,3084 3,6932 2,9115 2,2807 2,0180 2,1196 2,3718 2,5002 2,3441 1,9530 1,5662 1,4737 1,8237 2,5198 3,2904 3,8700 4,1540 4,2104 4,1592 4,0634 3,9248 3,7297 3,4751 3,1679 2,8036 2,3456 1,7444 1,0010 0,2105 -0,4690 -0,9065 -1,0658 -0,9932 -0,7510 -0,3799 0,0726 0,5243 0,8952 1,1610 1,3735 1,6457 2,0922 2,7460 3,5244 4,2756 4,8614 5,2130 5,3293 5,2412 4,9946 4,6506 4,2744 3,9379 3,7687 3,9573 4,6487 5,8190 7,2651 8,6863 9,7863 10,3667 10,3657 9,7965 8,6638 6,9749 4,8342 2,4958 0,3087 -1,3784 -2,2848 -2,2553 -1,3182 0,3045 2,2560 4,1328 5,5776 6,3782 6,5250 6,1811 5,5953 5,0115 4,5756 4,2654 3,9179 3,3604 2,5514 1,6394 0,9127 0,6597 1,0083 1,8442 2,8832 3,8582 4,6556 5,2974 5,8422 6,3235 6,7402 7,0471 7,1519 6,9646 6,4760 5,7899 5,0739 4,4724 4,0472 3,7754 3,5877 3,4322 3,3418 3,4473 3,8726 4,5668 5,2628 5,6446 5,5614 5,1007 4,5172 4,1055 4,0586 4,3733 4,8751 5,3305 5,5542 5,4639 5,0796 4,4901 3,8237 3,2324 2,8647 2,8192 3,0894 3,5375 3,9500 4,1572 4,1123 3,8705 3,5253 3,1628 2,8385 2,5823 2,4321 2,4287 2,5528 2,7142 2,8335 2,8925 2,9105 2,9321 3,0148 3,1647 3,2977 3,3000 3,1214 2,8161 2,5257 2,4416 2,7423 3,4972 4,6091 5,8539 6,9730 7,7524 8,0708 7,9180 7,3683 6,5060 5,3670 3,9663 2,3921 0,8563 -0,3796 -1,1443 -1,4138 -1,2455 -0,7048 0,1308 1,1324 2,1153 2,8840 3,2919 3,2741 2,8379 2,0423 0,9999 -0,1095 -1,0595 -1,6619 -1,8663 -1,7745 -1,5480 -1,3062 -1,0911 -0,8707 -0,5484 -0,0120 0,7831 1,7625 2,7461 3,5063 3,8542 3,7258 3,2135 2,5100 1,8164 1,2899 1,0078 0,9259 0,9155 0,8874 0,8666 0,9438 1,1773 1,5464 1,9879 2,4600 2,9667 3,5292 4,1176 4,6105 4,8423 4,6867 4,0957 3,1018 1,8250 0,4737 -0,7029 -1,5000 -1,8285 -1,7439 -1,4218 -1,0867 -0,9258 -1,0219 -1,3220 -1,6728 -1,9085 -1,9292 -1,7505 -1,5123 -1,4049 -1,5438 -1,9201 -2,4657 -3,1190 -3,8103 -4,4341 -4,8766 -5,0719 -5,0316 -4,8387 -4,6051 -4,4111 -4,2724 -4,1684 -4,0956 -4,0874 -4,1945 -4,4544 -4,8710 -5,4104 -5,9935 -6,4823 -6,7147 -6,6073 -6,2335 -5,7980 -5,5176 -5,4905 -5,6509 -5,8343 -5,8884 -5,7483 -5,4230 -4,9233 -4,2134 -3,2394 -2,0268 -0,7634 0,2380 0,7125 0,6075 0,0792 -0,6590 -1,4575 -2,2237 -2,8767
Fz    -1,3322 -1,3465 -1,4425 -1,5404 -1,5626 -1,4931 -1,3816 -1,2914 -1,2491 -1,2364 -1,2118 -1,1282 -0,9359 -0,5938 -0,1002 0,4895 1,0858 1,6009 1,9751 2,1918 2,2786 2,2882 2,2703 2,2443 2,1860 2,0502 1,8267 1,5679 1,3475 1,1931 1,0669 0,9080 0,6844 0,4020 0,0840 -0,2420 -0,5432 -0,7905 -0,9737 -1,1071 -1,2094 -1,2726 -1,2605 -1,1495 -0,9627 -0,7561 -0,5761 -0,4396 -0,3418 -0,2705 -0,2097 -0,1336 -0,0101 0,1827 0,4400 0,7239 0,9751 1,1404 1,2022 1,1845 1,1398 1,1264 1,1832 1,3156 1,5047 1,7275 1,9717 2,2348 2,5130 2,7902 3,0282 3,1688 3,1585 2,9800 2,6619 2,2685 1,8762 1,5483 1,3234 1,2171 1,2203 1,2973 1,3882 1,4210 1,3358 1,1072 0,7422 0,2566 -0,3311 -0,9816 -1,6198 -2,1503 -2,4919 -2,6047 -2,4954 -2,2120 -1,8267 -1,4097 -1,0126 -0,6672 -0,3896 -0,1868 -0,0670 -0,0445 -0,1301 -0,3148 -0,5701 -0,8625 -1,1714 -1,5035 -1,8890 -2,3490 -2,8641 -3,3819 -3,8471 -4,2141 -4,4350 -4,4532 -4,2217 -3,7302 -3,0118 -2,1224 -1,1226 -0,0768 0,9539 1,9290 2,8345 3,6676 4,4192 5,0667 5,5796 5,9314 6,1105 6,1247 6,0049 5,8087 5,6097 5,4718 5,4220 5,4435 5,4904 5,5171 5,5074 5,4846 5,4884 5,5394 5,6203 5,6801 5,6520 5,4910 5,2069 4,8580 4,5121 4,2097 3,9534 3,7232 3,4999 3,2818 3,0973 3,0022 3,0427 3,2219 3,5119 3,8826 4,3069 4,7476 5,1506 5,4680 5,6851 5,8090 5,8367 5,7519 5,5529 5,2699 4,9506 4,6298 4,3213 4,0441 3,8368 3,7342 3,7339 3,7879 3,8145 3,7227 3,4507 3,0033 2,4503 1,8867 1,3926 1,0123 0,7509 0,5845 0,4803 0,4135 0,3726 0,3586 0,3799 0,4418 0,5299 0,5948 0,5575 0,3414 -0,0851 -0,6818 -1,3497 -1,9771 -2,4865 -2,8456 -3,0503 -3,1021 -2,9994 -2,7536 -2,4079 -2,0238 -1,6458 -1,2865 -0,9404 -0,6096 -0,3182 -0,1131 -0,0507 -0,1644 -0,4291 -0,7608 -1,0556 -1,2307 -1,2428 -1,0830 -0,7650 -0,3198 0,2093 0,7792 1,3552 1,9076 2,4081 2,8302 3,1506 3,3428 3,3714 3,2091 2,8694 2,4193 1,9518 1,5400 1,2079 0,9372 0,7089 0,5459 0,5135 0,6781 1,0697 1,6675 2,3986 3,1563 3,8362 4,3623 4,6925 4,8148 4,7468 4,5326 4,2243 3,8579 3,4459 2,9929 2,5190 2,0663 1,6778 1,3764 1,1730 1,0900 1,1564 1,3726 1,6922 2,0496 2,3926 2,6867 2,9079 3,0507 3,1386 3,2128 3,2999 3,3923 3,4651 3,4985 3,4755 3,3687 3,1458 2,7889 2,3132 1,7698 1,2308 0,7583 0,3842 0,1180 -0,0401 -0,1059 -0,1108 -0,0729 0,0245 0,2165 0,5267 0,9603 1,5103 2,1530 2,8333 3,4628 3,9422 4,1968 4,2038 3,9968 3,6447 3,2214 2,7877 2,3965 2,0992 1,9313 1,8925 1,9543 2,0803 2,2364 2,3900 2,5096 2,5732 2,5844 2,5703 2,5514 2,5215 2,4625 2,3657 2,2390 2,1006 1,9585 1,7996 1,6084 1,3869 1,1491 0,9126 0,7087 0,5821 0,5628 0,6389 0,7661 0,8996 1,0111 1,0857 1,1130 1,0868 1,0137 0,9188 0,8439 0,8372 0,9380 1,1678 1,5293 1,9992 2,5230 3,0314 3,4657 3,7943 4,0201 4,1831 4,3478 4,5799 4,9289 5,4122 6,0001 6,6198 7,1779 7,5858 7,7852 7,7716 7,5965 7,3376 7,0631 6,8134 6,6036 6,4290 6,2734 6,1219 5,9687 5,8158 5,6704 5,5399 5,4215 5,2948 5,1352 4,9354 4,7059 4,4639 4,2351 4,0563 3,9654 3,9886 4,1282 4,3506 4,5779 4,6950 4,5873 4,1986 3,5701 2,8335 2,1735 1,7760 1,7672 2,1627 2,8601 3,6809 4,4372 4,9967 5,3247 5,4736 5,5250 5,5384 5,5435 5,5566 5,5914 5,6559 5,7428 5,8267 5,8782 5,8866 5,8707 5,8698 5,9273 6,0632 6,2446 6,3933 6,4343 6,3452 6,1711 5,9889 5,8427 5,7125 5,5441 5,3051 5,0101 4,7059 4,4444 4,2598 4,1607 4,1389 4,1792 4,2577 4,3446 4,4175 4,4689 4,4996 4,5066 4,4808 4,4119 4,2938 4,1378 3,9812 3,8696 3,8297 3,8580 3,9279 4,0025 4,0459 4,0334 3,9594 3,8469 3,7504 3,7409 3,8713 4,1423 4,5025 4,8825 5,2314 5,5230 5,7295 5,8032 5,7074 5,4637 5,1530 4,8677 4,6690 4,5780 4,5853 4,6520 4,7067 4,6636 4,4612 4,0850 3,5585 2,9176 2,1940 1,4193 0,6418 -0,0695 -0,6431 -1,0250 -1,1860 -1,1260 -0,8804 -0,5179 -0,1222 0,2321 0,4937 0,6410 0,6847 0,6653 0,6388 0,6478 0,6957 0,7473 0,7642 0,7436 0,7178 0,7213 0,7714 0,8812 1,0700 1,3433 1,6719 2,0058 2,3050 2,5547 2,7583 2,9206 3,0372 3,1013 3,1140 3,0847 3,0362 3,0085 3,0435 3,1620 3,3538 3,5806 3,7865 3,9144 3,9267 3,8150 3,5928 3,2835 2,9146 2,5146 2,1049 1,6932 1,2773 0,8652 0,4934 0,2155 0,0700 0,0592 0,1558 0,3241 0,5309 0,7429 0,9234 1,0378 1,0675 1,0178 0,9118 0,7816 0,6576 0,5527 0,4570 0,3477 0,2023 0,0082 -0,2329 -0,5048 -0,7778 -1,0172 -1,1987 -1,3210 -1,4058 -1,4811 -1,5609 -1,6401 -1,7051 -1,7452 -1,7624 -1,7838 -1,8567 -2,0221 -2,2859 -2,6161 -2,9616 -3,2699 -3,4982 -3,6212 -3,6264 -3,5026 -3,2412 -2,8527 -2,3760 -1,8663 -1,3763 -0,9467 -0,6079 -0,3915 -0,3302 -0,4398 -0,7057 -1,0862 -1,5246 -1,9621
F3    1,6164 1,8183 1,6468 1,1271 0,3345 -0,6189 -1,6050 -2,5167 -3,2898 -3,8903 -4,2738 -4,3593 -4,0615 -3,3566 -2,3149 -1,0783 0,1985 1,3970 2,4499 3,3269 4,0140 4,4959 4,7463 4,7181 4,3468 3,5997 2,5517 1,3928 0,3385 -0,4754 -1,0226 -1,3283 -1,3962 -1,2043 -0,7531 -0,1009 0,6365 1,3038 1,7368 1,8052 1,4661 0,7950 -0,0405 -0,8599 -1,5429 -2,0380 -2,3375 -2,4696 -2,4882 -2,4405 -2,3261 -2,0860 -1,6438 -0,9799 -0,1758 0,6168 1,2599 1,6975 1,9633 2,1289 2,2405 2,3018 2,3073 2,2791 2,2648 2,3087 2,4406 2,6857 3,0536 3,4953 3,8743 4,0121 3,7925 3,2376 2,4904 1,7352 1,1237 0,7410 0,6140 0,7364 1,0804 1,5982 2,2182 2,8331 3,2983 3,4608 3,2030 2,4797 1,3471 -0,0307 -1,4150 -2,5637 -3,3118 -3,6103 -3,5008 -3,0661 -2,4012 -1,5994 -0,7507 0,0425 0,6599 0,9905 0,9759 0,6399 0,0818 -0,5572 -1,1396 -1,5718 -1,8274 -1,9541 -2,0557 -2,2402 -2,5616 -3,0064 -3,5209 -4,0303 -4,4377 -4,6292 -4,4930 -3,9438 -2,9553 -1,5779 0,0750 1,8505 3,5725 5,0600 6,1538 6,7543 6,8530 6,5289 5,9127 5,1460 4,3499 3,6166 3,0254 2,6569 2,5764 2,7904 3,2184 3,7220 4,1797 4,5390 4,8145 5,0542 5,3100 5,6226 6,0041 6,4067 6,7179 6,8221 6,6752 6,3077 5,7808 5,1638 4,5369 3,9912 3,6201 3,5012 3,6735 4,1185 4,7437 5,3896 5,8900 6,1461 6,1463 5,9363 5,5885 5,1826 4,7822 4,4217 4,1244 3,9284 3,8870 4,0391 4,3747 4,8197 5,2690 5,6584 6,0036 6,3620 6,7499 7,0831 7,1941 6,9230 6,2079 5,1198 3,8356 2,5702 1,5005 0,7236 0,2531 0,0392 0,0042 0,0681 0,1600 0,2399 0,3250 0,4801 0,7663 1,1830 1,6430 1,9944 2,0785 1,7998 1,1730 0,3128 -0,6239 -1,5037 -2,2561 -2,8632 -3,3219 -3,6217 -3,7405 -3,6392 -3,2626 -2,5622 -1,5382 -0,2771 1,0443 2,1930 2,9372 3,1214 2,7307 1,8970 0,8347 -0,2386 -1,1371 -1,7033 -1,8156 -1,4275 -0,5987 0,5292 1,7898 3,0286 4,0980 4,8505 5,1789 5,0751 4,6361 4,0092 3,3276 2,6741 2,0765 1,5194 0,9632 0,3773 -0,2161 -0,7148 -0,9534 -0,7664 -0,0720 1,0666 2,4365 3,7409 4,7062 5,1765 5,1485 4,7474 4,1679 3,6049 3,1850 2,9302 2,7795 2,6536 2,5119 2,3696 2,2724 2,2483 2,2808 2,3309 2,3757 2,4120 2,4280 2,3917 2,2762 2,0928 1,9045 1,8102 1,9074 2,2506 2,8208 3,5275 4,2444 4,8515 5,2556 5,3995 5,2664 4,8798 4,2984 3,6063 2,8857 2,1845 1,5166 0,8989 0,3637 -0,0777 -0,4489 -0,7656 -0,9848 -1,0109 -0,7469 -0,1320 0,8491 2,1531 3,6512 5,1188 6,2714 6,8473 6,7133 5,9346 4,7530 3,4922 2,4484 1,8072 1,6140 1,7903 2,1790 2,6026 2,9124 3,0198 2,9169 2,6732 2,3975 2,1872 2,0974 2,1278 2,2305 2,3501 2,4690 2,6091 2,7790 2,9173 2,9011 2,6301 2,1092 1,4601 0,8612 0,4769 0,4046 0,6446 1,1028 1,6356 2,1089 2,4329 2,5702 2,5365 2,3930 2,2234 2,1110 2,1261 2,2999 2,5908 2,8882 3,0670 3,0497 2,8455 2,5474 2,2844 2,1604 2,2329 2,5351 3,0970 3,9294 4,9995 6,2228 7,4721 8,5934 9,4256 9,8270 9,7303 9,1966 8,4009 7,5421 6,7565 6,1020 5,6052 5,2993 5,2143 5,3500 5,6668 6,0863 6,4954 6,7654 6,7855 6,4963 5,9188 5,1629 4,3961 3,7879 3,4644 3,4764 3,7808 4,2564 4,7558 5,1563 5,3815 5,3887 5,1491 4,6558 3,9555 3,1609 2,4252 1,9004 1,7001 1,8645 2,3335 2,9651 3,6124 4,1989 4,7388 5,2986 5,9281 6,6069 7,2507 7,7637 8,0824 8,1831 8,0715 7,7778 7,3623 6,9193 6,5507 6,3176 6,2210 6,2268 6,2928 6,3754 6,4319 6,4340 6,3844 6,3026 6,1817 5,9743 5,6299 5,1445 4,5842 4,0728 3,7502 3,7148 3,9838 4,4926 5,1164 5,6961 6,0819 6,1914 6,0409 5,7211 5,3426 4,9972 4,7394 4,5814 4,4996 4,4564 4,4259 4,4030 4,3994 4,4368 4,5291 4,6589 4,7703 4,7942 4,6949 4,5145 4,3836 4,4678 4,8666 5,5541 6,3940 7,1870 7,7198 7,8227 7,4344 6,6375 5,6261 4,6240 3,8057 3,2565 2,9864 2,9740 3,1906 3,5856 4,0652 4,5005 4,7635 4,7675 4,4870 3,9418 3,1678 2,2113 1,1458 0,0802 -0,8530 -1,5201 -1,8168 -1,7026 -1,2186 -0,4717 0,3984 1,2514 1,9737 2,4946 2,7905 2,8776 2,7908 2,5644 2,2367 1,8613 1,4977 1,1882 0,9547 0,8187 0,8258 1,0416 1,5072 2,1838 2,9402 3,6044 4,0495 4,2570 4,3085 4,3111 4,3254 4,3505 4,3534 4,3119 4,2326 4,1299 4,0045 3,8554 3,6902 3,5159 3,3403 3,1859 3,0861 3,0613 3,0966 3,1413 3,1365 3,0476 2,8703 2,6128 2,2887 1,9295 1,5901 1,3313 1,1940 1,1826 1,2624 1,3704 1,4340 1,3906 1,2033 0,8765 0,4618 0,0444 -0,2781 -0,4174 -0,3257 -0,0244 0,3916 0,7850 1,0373 1,1036 1,0142 0,8292 0,5977 0,3491 0,1004 -0,1383 -0,3623 -0,5686 -0,7554 -0,9251 -1,0775 -1,2038 -1,2997 -1,3831 -1,4822 -1,6046 -1,7262 -1,8104 -1,8283 -1,7657 -1,6166 -1,3719 -1,0243 -0,6027 -0,1949 0,0858 0,1719 0,0838 -0,0873 -0,2386 -0,3186 -0,3498 -0,3948 -0,5043 -0,6870 -0,9107 -1,1236
F7    -2,1385 -2,2830 -2,3463 -2,2419 -1,9412 -1,5042 -1,0386 -0,6319 -0,3167 -0,0823 0,0973 0,2428 0,3667 0,4811 0,5951 0,7052 0,7893 0,8121 0,7475 0,6030 0,4201 0,2580 0,1820 0,2462 0,4598 0,7723 1,0992 1,3638 1,5234 1,5692 1,5088 1,3547 1,1259 0,8432 0,5224 0,1810 -0,1506 -0,4369 -0,6560 -0,8042 -0,8815 -0,8757 -0,7719 -0,5768 -0,3308 -0,0858 0,1226 0,2807 0,3852 0,4358 0,4362 0,3976 0,3407 0,2967 0,3054 0,4001 0,5834 0,8199 1,0622 1,2791 1,4641 1,6308 1,8044 2,0108 2,2621 2,5517 2,8595 3,1590 3,4176 3,6005 3,6811 3,6501 3,5154 3,2952 3,0136 2,7082 2,4286 2,2141 2,0723 1,9833 1,9155 1,8356 1,7138 1,5306 1,2854 0,9963 0,6913 0,3993 0,1457 -0,0508 -0,1841 -0,2632 -0,3001 -0,2960 -0,2443 -0,1473 -0,0246 0,0951 0,1841 0,2276 0,2368 0,2475 0,2954 0,3891 0,5061 0,6112 0,6761 0,6806 0,5973 0,3882 0,0281 -0,4640 -1,0195 -1,5526 -2,0020 -2,3450 -2,5759 -2,6804 -2,6397 -2,4549 -2,1535 -1,7703 -1,3324 -0,8631 -0,3813 0,1154 0,6612 1,2982 2,0369 2,8384 3,6339 4,3609 4,9836 5,4848 5,8465 6,0486 6,0898 6,0034 5,8492 5,6826 5,5327 5,4089 5,3182 5,2712 5,2744 5,3207 5,3925 5,4719 5,5390 5,5683 5,5387 5,4431 5,2832 5,0600 4,7759 4,4425 4,0801 3,7122 3,3716 3,1036 2,9439 2,9016 2,9699 3,1443 3,4224 3,7906 4,2163 4,6637 5,1166 5,5670 5,9805 6,2938 6,4496 6,4272 6,2475 5,9544 5,5904 5,1875 4,7722 4,3719 4,0145 3,7252 3,5183 3,3853 3,2963 3,2122 3,0980 2,9321 2,7149 2,4726 2,2449 2,0636 1,9434 1,8819 1,8610 1,8513 1,8187 1,7309 1,5611 1,2893 0,9068 0,4253 -0,1229 -0,6912 -1,2260 -1,6767 -2,0072 -2,2006 -2,2642 -2,2210 -2,0889 -1,8753 -1,5995 -1,3081 -1,0599 -0,9001 -0,8442 -0,8746 -0,9507 -1,0262 -1,0641 -1,0410 -0,9392 -0,7413 -0,4336 -0,0195 0,4683 0,9708 1,4198 1,7580 1,9604 2,0434 2,0488 2,0168 1,9770 1,9611 2,0060 2,1279 2,2925 2,4203 2,4342 2,3105 2,0897 1,8426 1,6255 1,4604 1,3449 1,2764 1,2646 1,3207 1,4397 1,5991 1,7724 1,9500 2,1459 2,3759 2,6268 2,8560 3,0148 3,0646 2,9818 2,7627 2,4280 2,0204 1,5955 1,2056 0,8896 0,6774 0,5985 0,6748 0,9025 1,2395 1,6216 2,0055 2,3872 2,7679 3,1085 3,3339 3,3839 3,2563 3,0057 2,7102 2,4393 2,2374 2,1172 2,0587 2,0173 1,9443 1,8129 1,6298 1,4286 1,2536 1,1434 1,1171 1,1708 1,2806 1,4166 1,5631 1,7276 1,9240 2,1524 2,3936 2,6208 2,8098 2,9389 2,9922 2,9758 2,9234 2,8797 2,8747 2,9038 2,9267 2,8962 2,7957 2,6513 2,5085 2,4071 2,3704 2,3927 2,4327 2,4332 2,3583 2,2208 2,0878 2,0469 2,1459 2,3624 2,6267 2,8646 3,0276 3,1047 3,1122 3,0715 2,9990 2,9030 2,7786 2,6114 2,3975 2,1570 1,9252 1,7327 1,5956 1,5147 1,4745 1,4481 1,4116 1,3595 1,3073 1,2779 1,2786 1,2938 1,3068 1,3310 1,4159 1,6158 1,9492 2,3821 2,8441 3,2643 3,6015 3,8529 4,0433 4,2106 4,3927 4,6085 4,8457 5,0812 5,3076 5,5268 5,7261 5,8760 5,9486 5,9293 5,8210 5,6457 5,4331 5,1955 4,9222 4,6058 4,2673 3,9549 3,7251 3,6193 3,6479 3,7873 3,9946 4,2283 4,4480 4,6065 4,6594 4,5842 4,3912 4,1251 3,8514 3,6232 3,4497 3,2914 3,0911 2,8188 2,4966 2,1910 1,9874 1,9570 2,1277 2,4743 2,9328 3,4229 3,8684 4,2177 4,4600 4,6175 4,7165 4,7680 4,7781 4,7655 4,7628 4,7978 4,8733 4,9644 5,0406 5,0882 5,1187 5,1625 5,2519 5,3954 5,5572 5,6688 5,6706 5,5487 5,3363 5,0877 4,8464 4,6341 4,4555 4,3066 4,1782 4,0578 3,9378 3,8176 3,6976 3,5775 3,4645 3,3781 3,3431 3,3697 3,4376 3,5043 3,5355 3,5264 3,4916 3,4402 3,3759 3,3125 3,2745 3,2805 3,3306 3,4053 3,4767 3,5295 3,5690 3,6114 3,6760 3,7805 3,9269 4,0913 4,2348 4,3271 4,3621 4,3631 4,3811 4,4681 4,6352 4,8424 5,0364 5,1851 5,2802 5,3214 5,3054 5,2213 5,0447 4,7401 4,2827 3,6857 3,0081 2,3307 1,7203 1,2072 0,7899 0,4565 0,1974 0,0024 -0,1473 -0,2719 -0,3818 -0,4787 -0,5695 -0,6628 -0,7512 -0,8040 -0,7842 -0,6701 -0,4660 -0,2001 0,0887 0,3643 0,5977 0,7762 0,9148 1,0491 1,2086 1,4015 1,6225 1,8626 2,1095 2,3541 2,6005 2,8586 3,1251 3,3811 3,5974 3,7391 3,7771 3,7071 3,5601 3,3950 3,2722 3,2292 3,2711 3,3753 3,5045 3,6227 3,6995 3,7054 3,6133 3,4076 3,0939 2,7008 2,2675 1,8244 1,3869 0,9652 0,5776 0,2512 0,0121 -0,1280 -0,1758 -0,1520 -0,0753 0,0451 0,2014 0,3701 0,5068 0,5612 0,5005 0,3274 0,0800 -0,1885 -0,4367 -0,6428 -0,7986 -0,9076 -0,9847 -1,0465 -1,0995 -1,1328 -1,1263 -1,0702 -0,9801 -0,8946 -0,8593 -0,9057 -1,0361 -1,2224 -1,4204 -1,5916 -1,7240 -1,8394 -1,9776 -2,1651 -2,3988 -2,6520 -2,8878 -3,0695 -3,1726 -3,1902 -3,1262 -2,9854 -2,7750 -2,5120 -2,2215 -1,9279 -1,6562 -1,4405 -1,3185 -1,3054 -1,3778 -1,4906 -1,6074 -1,7112 -1,7998
