Fp1   0,8672 0,8822 0,8099 0,7273 0,7042 0,7813 0,9605 1,1900 1,3618 1,3469 1,0665 0,5377 -0,1532 -0,9073 -1,6345 -2,2395 -2,6297 -2,7539 -2,6215 -2,2923 -1,8534 -1,3812 -0,9058 -0,4049 0,1638 0,8137 1,5124 2,1908 2,7462 3,0558 3,0272 2,6594 2,0515 1,3435 0,6596 0,0987 -0,2736 -0,4459 -0,4591 -0,3876 -0,3125 -0,2967 -0,3836 -0,5894 -0,8809 -1,1920 -1,4646 -1,6559 -1,7360 -1,7029 -1,5821 -1,4033 -1,1813 -0,9102 -0,5828 -0,2368 0,0241 0,0798 -0,1148 -0,4861 -0,8839 -1,1587 -1,2252 -1,0952 -0,8604 -0,6336 -0,5006 -0,5033 -0,6411 -0,8920 -1,2326 -1,6247 -1,9966 -2,2641 -2,3863 -2,3867 -2,3139 -2,1906 -1,9930 -1,6774 -1,2405 -0,7536 -0,3331 -0,0927 -0,1131 -0,4084 -0,9086 -1,4959 -2,0559 -2,5024 -2,8006 -2,9809 -3,0972 -3,1847 -3,2782 -3,4285 -3,6597 -3,9343 -4,1770 -4,3275 -4,3696 -4,3171 -4,1921 -4,0211 -3,8258 -3,6040 -3,3367 -3,0100 -2,6077 -2,0998 -1,4647 -0,7220 0,0568 0,7642 1,3001 1,6160 1,7245 1,6746 1,5199 1,2989 1,0358 0,7524 0,4659 0,1827 -0,0830 -0,2757 -0,3149 -0,1678 0,1150 0,4249 0,6159 0,5435 0,1480 -0,4941 -1,2148 -1,8528 -2,3234 -2,6171 -2,7553 -2,7609 -2,6675 -2,5312 -2,4234 -2,4116 -2,5352 -2,7806 -3,0711 -3,2883 -3,3294 -3,1615 -2,8299 -2,4365 -2,1022 -1,9129 -1,8897 -2,0009 -2,1958 -2,4285 -2,6563 -2,8318 -2,9170 -2,8939 -2,7462 -2,4427 -1,9630 -1,3357 -0,6438 0,0170 0,5891 1,0634 1,4503 1,7593 2,0027 2,2072 2,4110 2,6298 2,8253 2,9205 2,8462 2,5845 2,1946 1,7998 1,5362 1,4894 1,6574 1,9800 2,4072 2,9147 3,4453 3,8706 4,0428 3,8895 3,4481 2,8359 2,2181 1,7701 1,6025 1,7026 1,9510 2,1977 2,3355 2,3161 2,1291 1,7944 1,3535 0,8391 0,2689 -0,3155 -0,8357 -1,2311 -1,4911 -1,6066 -1,5312 -1,2154 -0,6673 0,0255 0,7231 1,2913 1,6464 1,7647 1,6732 1,4266 1,0726 0,6378 0,1438 -0,3787 -0,9027 -1,4182 -1,9134 -2,3516 -2,6802 -2,8599 -2,8724 -2,7097 -2,3817 -1,9389 -1,4619 -1,0220 -0,6619 -0,4008 -0,2299 -0,1082 0,0128 0,1486 0,2698 0,3299 0,3038 0,2051 0,0828 -0,0004 0,0008 0,0921 0,2381 0,3768 0,4497 0,4396 0,3688 0,2608 0,1469 0,0943 0,1665 0,3529 0,5747 0,7533 0,8538 0,8661 0,7821 0,6151 0,4245 0,2975 0,2996 0,4433 0,7043 1,0663 1,5347 2,0954 2,6701 3,1434 3,4465 3,5991 3,6682 3,7118 3,7533 3,7826 3,7859 3,7692 3,7366 3,6655 3,5257 3,3240 3,1231 3,0172 3,0850 3,3541 3,7875 4,2919 4,7554 5,0899 5,2440 5,2013 4,9926 4,6953 4,3894 4,1154 3,8877 3,7357 3,7139 3,8695 4,1940 4,6119 5,0325 5,4052 5,7168 5,9553 6,0918 6,0957 5,9656 5,7462 5,5065 5,3029 5,1702 5,1337 5,2000 5,3325 5,4698 5,5812 5,6766 5,7570 5,7779 5,6674 5,3810 4,9389 4,4151 3,9088 3,5264 3,3579 3,4389 3,7243 4,1179 4,5525 5,0319 5,5831 6,1980 6,8250 7,3837 7,7928 8,0147 8,0783 8,0548 8,0134 7,9890 7,9692 7,9084 7,7660 7,5414 7,2785 7,0509 6,9446 7,0230 7,2804 7,6355 7,9901 8,2911 8,5315 8,7041 8,7831 8,7495 8,6181 8,4428 8,3028 8,2695 8,3716 8,5847 8,8538 9,1233 9,3598 9,5626 9,7520 9,9257 10,0224 9,9540 9,6852 9,2700 8,8140 8,4253 8,1860 8,1287 8,2312 8,4422 8,7191 9,0403 9,3734 9,6575 9,8381 9,8920 9,8054 9,5805 9,2801 9,0165 8,8717 8,8592 8,9515 9,0921 9,1871 9,1309 8,8575 8,3800 7,7911 7,2172 6,7592 6,4652 6,3295 6,3038 6,3221 6,3424 6,3746 6,4616 6,6315 6,8738 7,1571 7,4486 7,7071 7,8904 7,9846 8,0159 8,0311 8,0718 8,1620 8,3101 8,5041 8,7068 8,8627 8,9124 8,8170 8,5761 8,2159 7,7733 7,3019 6,8726 6,5379 6,3018 6,1430 6,0535 6,0371 6,0788 6,1411 6,1972 6,2576 6,3537 6,4952 6,6437 6,7184 6,6304 6,3284 5,8278 5,2243 4,6769 4,3331 4,2527 4,4125 4,7607 5,2385 5,7696 6,2723 6,6878 6,9833 7,1329 7,0990 6,8380 6,3514 5,7270 5,1130 4,6599 4,4743 4,5886 4,9593 5,4836 6,0116 6,3918 6,5519 6,5250 6,3882 6,1859 5,9137 5,5660 5,1799 4,8206 4,5259 4,2758 4,0272 3,7799 3,5880 3,5018 3,5138 3,5696 3,6112 3,5904 3,4635 3,2108 2,8676 2,5115 2,2202 2,0479 2,0116 2,0818 2,1996 2,3022 2,3375 2,2723 2,0966 1,8331 1,5304 1,2307 0,9524 0,7175 0,5723 0,5705 0,7393 1,0638 1,4947 1,9599 2,3872 2,7448 3,0486 3,3127 3,5203 3,6480 3,6909 3,6590 3,5703 3,4521 3,3376 3,2656 3,2769 3,3882 3,5707 3,7661 3,9220 4,0141 4,0498 4,0642 4,0990 4,1726 4,2591 4,2951 4,2194 4,0175 3,7327 3,4446 3,2400 3,1779 3,2588 3,4235 3,5780 3,6268 3,4988 3,1831 2,7628 2,3880 2,1770 2,1495 2,2553 2,4262 2,5906 2,6870 2,6897 2,6132 2,4921 2,3638 2,2656 2,2230 2,2280 2,2453 2,2532 2,2686 2,3359 2,5006 2,7877 3,1869 3,6413 4,0500 4,2965 4,3041 4,0997 3,8184 3,6112 3,5383 3,5606 3,6048 3,6062 3,5169 3,3121 3,0006 2,6311 2,2840 2,0344 1,9118 1,8961 1,9500 2,0428
Fz    0,7759 0,6729 0,4746 0,2565 0,0863 0,0121 0,0576 0,2048 0,3803 0,4727 0,3824 0,0739 -0,4075 -0,9600 -1,4683 -1,8388 -2,0244 -2,0376 -1,9347 -1,7811 -1,6244 -1,4776 -1,3100 -1,0615 -0,6804 -0,1573 0,4699 1,1262 1,7144 2,1430 2,3599 2,3676 2,2096 1,9431 1,6234 1,3020 1,0182 0,7936 0,6402 0,5577 0,5219 0,4844 0,3787 0,1414 -0,2445 -0,7211 -1,1757 -1,4984 -1,6362 -1,6057 -1,4622 -1,2614 -1,0413 -0,8161 -0,5820 -0,3454 -0,1447 -0,0350 -0,0446 -0,1497 -0,2969 -0,4480 -0,5989 -0,7741 -1,0057 -1,2966 -1,6024 -1,8595 -2,0312 -2,1256 -2,1746 -2,1963 -2,1824 -2,1188 -2,0110 -1,8825 -1,7514 -1,6152 -1,4461 -1,2018 -0,8679 -0,4955 -0,1805 -0,0197 -0,0821 -0,3789 -0,8508 -1,4010 -1,9395 -2,4063 -2,7784 -3,0596 -3,2546 -3,3707 -3,4461 -3,5387 -3,6687 -3,7984 -3,8746 -3,8743 -3,8060 -3,6872 -3,5327 -3,3650 -3,2149 -3,0995 -3,0150 -2,9479 -2,8714 -2,7333 -2,4737 -2,0633 -1,5289 -0,9440 -0,3874 0,0947 0,4932 0,8186 1,0827 1,2852 1,4114 1,4473 1,3951 1,2833 1,1743 1,1558 1,3012 1,6222 2,0610 2,5076 2,8142 2,8450 2,5619 2,0545 1,4770 0,9564 0,5490 0,2620 0,0956 0,0469 0,0805 0,1193 0,0746 -0,1110 -0,4390 -0,8589 -1,2851 -1,6173 -1,7740 -1,7272 -1,5137 -1,2232 -0,9657 -0,8235 -0,8223 -0,9347 -1,1040 -1,2763 -1,4201 -1,5194 -1,5589 -1,5200 -1,3843 -1,1372 -0,7730 -0,2998 0,2536 0,8364 1,3915 1,8736 2,2546 2,5216 2,6810 2,7649 2,8200 2,8730 2,9104 2,8962 2,8029 2,6336 2,4260 2,2361 2,1176 2,1086 2,2206 2,4455 2,7740 3,1843 3,6029 3,9100 4,0075 3,8720 3,5420 3,0847 2,5897 2,1600 1,8768 1,7629 1,7787 1,8560 1,9397 1,9994 2,0156 1,9725 1,8557 1,6464 1,3295 0,9247 0,4934 0,0954 -0,2363 -0,4692 -0,5544 -0,4539 -0,1704 0,2422 0,6828 1,0338 1,2095 1,1903 1,0216 0,7763 0,5065 0,2256 -0,0667 -0,3582 -0,6359 -0,9081 -1,1893 -1,4667 -1,6966 -1,8334 -1,8558 -1,7675 -1,5899 -1,3598 -1,1162 -0,8794 -0,6513 -0,4308 -0,2207 -0,0245 0,1482 0,2764 0,3399 0,3434 0,3247 0,3301 0,3839 0,4845 0,6186 0,7644 0,8914 0,9794 1,0382 1,1014 1,1878 1,2758 1,3435 1,4154 1,5359 1,7049 1,8648 1,9474 1,9212 1,7951 1,6053 1,4178 1,3177 1,3697 1,5860 1,9310 2,3492 2,8005 3,2749 3,7662 4,2348 4,6172 4,8763 5,0247 5,1005 5,1308 5,1131 5,0259 4,8640 4,6575 4,4433 4,2298 4,0075 3,7916 3,6392 3,6217 3,7779 4,0912 4,4994 4,9209 5,2760 5,4934 5,5183 5,3426 5,0277 4,6681 4,3324 4,0425 3,7953 3,5982 3,4924 3,5314 3,7214 3,9960 4,2637 4,4694 4,6050 4,6788 4,6930 4,6472 4,5489 4,4189 4,2835 4,1680 4,0985 4,0990 4,1746 4,2981 4,4285 4,5451 4,6512 4,7393 4,7668 4,6739 4,4282 4,0523 3,6127 3,1930 2,8739 2,7198 2,7615 2,9794 3,3146 3,7128 4,1496 4,6116 5,0790 5,5249 5,9119 6,1914 6,3289 6,3366 6,2760 6,2206 6,2086 6,2255 6,2201 6,1390 5,9607 5,7194 5,4987 5,3871 5,4200 5,5623 5,7464 5,9245 6,0871 6,2452 6,4047 6,5558 6,6770 6,7492 6,7719 6,7699 6,7782 6,8087 6,8370 6,8294 6,7770 6,7072 6,6738 6,7221 6,8434 6,9630 6,9845 6,8571 6,6101 6,3316 6,1198 6,0382 6,0936 6,2458 6,4381 6,6300 6,8059 6,9516 7,0349 7,0230 6,8947 6,6343 6,2484 5,8071 5,4371 5,2482 5,2793 5,5070 5,8662 6,2606 6,5774 6,7115 6,6007 6,2684 5,8263 5,4112 5,1062 4,9207 4,8206 4,7636 4,7233 4,7012 4,7162 4,7834 4,9078 5,0848 5,2973 5,5201 5,7358 5,9428 6,1430 6,3309 6,4950 6,6264 6,7285 6,8223 6,9342 7,0726 7,2176 7,3349 7,3903 7,3564 7,2232 7,0131 6,7811 6,5850 6,4483 6,3614 6,3181 6,3372 6,4423 6,6319 6,8765 7,1369 7,3728 7,5390 7,5884 7,4804 7,1967 6,7662 6,2695 5,8141 5,4995 5,3822 5,4561 5,6705 5,9703 6,3126 6,6510 6,9301 7,1152 7,2103 7,2257 7,1314 6,8646 6,3998 5,8002 5,1904 4,6903 4,3696 4,2388 4,2736 4,4398 4,6958 4,9947 5,3036 5,6116 5,9051 6,1296 6,1944 6,0406 5,6980 5,2582 4,7997 4,3518 3,9165 3,5068 3,1556 2,8912 2,7118 2,5877 2,4814 2,3572 2,1809 1,9317 1,6240 1,3104 1,0630 0,9454 0,9821 1,1507 1,4019 1,6786 1,9223 2,0810 2,1222 2,0405 1,8531 1,5880 1,2754 0,9516 0,6653 0,4682 0,3944 0,4507 0,6174 0,8534 1,1137 1,3752 1,6367 1,8921 2,1261 2,3332 2,5214 2,6995 2,8760 3,0692 3,3028 3,5915 3,9285 4,2777 4,5754 4,7504 4,7537 4,5802 4,2728 3,9098 3,5758 3,3265 3,1703 3,0759 2,9943 2,8847 2,7318 2,5528 2,3910 2,2935 2,2827 2,3420 2,4193 2,4464 2,3696 2,1797 1,9267 1,7003 1,5744 1,5659 1,6465 1,7735 1,9051 2,0102 2,0745 2,0954 2,0747 2,0187 1,9380 1,8335 1,6897 1,5005 1,3022 1,1648 1,1487 1,2747 1,5253 1,8563 2,2048 2,4956 2,6580 2,6580 2,5245 2,3408 2,2034 2,1792 2,2832 2,4753 2,6711 2,7738 2,7184 2,4994 2,1696 1,8176 1,5260 1,3325 1,2271 1,1751 1,1329
F3    0,5308 0,4315 0,2726 0,1718 0,2003 0,3631 0,6234 0,9068 1,0939 1,0519 0,7113 0,1127 -0,6242 -1,3613 -1,9750 -2,3742 -2,5265 -2,4644 -2,2509 -1,9497 -1,6244 -1,3321 -1,0923 -0,8586 -0,5404 -0,0673 0,5662 1,2953 1,9980 2,5308 2,7818 2,7066 2,3366 1,7677 1,1455 0,6297 0,3298 0,2733 0,4282 0,7149 1,0092 1,1739 1,0931 0,7030 0,0369 -0,7621 -1,5026 -2,0353 -2,3044 -2,3451 -2,2291 -2,0056 -1,6971 -1,3278 -0,9360 -0,5834 -0,3549 -0,3150 -0,4410 -0,6227 -0,7474 -0,7706 -0,7276 -0,7194 -0,8595 -1,1877 -1,6331 -2,0708 -2,4091 -2,6309 -2,7637 -2,8215 -2,7819 -2,6201 -2,3574 -2,0590 -1,7791 -1,5230 -1,2631 -0,9836 -0,7177 -0,5405 -0,5170 -0,6720 -1,0046 -1,4900 -2,0706 -2,6722 -3,2181 -3,6444 -3,9298 -4,0911 -4,1359 -4,0573 -3,8866 -3,6965 -3,5363 -3,4080 -3,3014 -3,2164 -3,1560 -3,1151 -3,0790 -3,0347 -2,9836 -2,9447 -2,9561 -3,0562 -3,2292 -3,3766 -3,3764 -3,1656 -2,7628 -2,2371 -1,6697 -1,1290 -0,6612 -0,2933 -0,0379 0,0981 0,1204 0,0674 0,0070 0,0031 0,1016 0,3362 0,7158 1,1971 1,6969 2,1227 2,3645 2,3009 1,8851 1,2158 0,4833 -0,1631 -0,6820 -1,0868 -1,3673 -1,4954 -1,4808 -1,3915 -1,3266 -1,3710 -1,5526 -1,8271 -2,0941 -2,2340 -2,1615 -1,8737 -1,4604 -1,0693 -0,8315 -0,7943 -0,9241 -1,1634 -1,4712 -1,8198 -2,1632 -2,4188 -2,4982 -2,3534 -1,9870 -1,4374 -0,7737 -0,0855 0,5440 1,0673 1,4789 1,7926 2,0149 2,1407 2,1721 2,1472 2,1325 2,1552 2,1661 2,0983 1,9343 1,7080 1,4758 1,2955 1,2215 1,2970 1,5339 1,9118 2,4001 2,9550 3,4820 3,8401 3,9121 3,6646 3,1440 2,4543 1,7530 1,2107 0,9314 0,9153 1,0843 1,3346 1,5848 1,7851 1,8977 1,8983 1,7801 1,5273 1,1069 0,5369 -0,0648 -0,5580 -0,8712 -0,9844 -0,8849 -0,5846 -0,1539 0,2800 0,5765 0,6516 0,5162 0,2419 -0,0941 -0,4384 -0,7767 -1,1243 -1,4817 -1,8116 -2,0792 -2,2924 -2,4760 -2,6202 -2,6788 -2,6126 -2,4181 -2,1114 -1,7115 -1,2625 -0,8483 -0,5540 -0,4142 -0,3967 -0,4234 -0,4153 -0,3427 -0,2421 -0,1838 -0,2173 -0,3333 -0,4641 -0,5276 -0,4791 -0,3319 -0,1409 0,0369 0,1820 0,3305 0,5479 0,8529 1,1700 1,4074 1,5625 1,6898 1,7919 1,8080 1,6991 1,4842 1,1888 0,8168 0,3965 0,0224 -0,1787 -0,1203 0,1930 0,6832 1,2691 1,9114 2,5799 3,1993 3,6660 3,9303 4,0393 4,0820 4,1024 4,0697 3,9223 3,6450 3,2993 2,9741 2,7205 2,5445 2,4439 2,4384 2,5673 2,8589 3,2905 3,7685 4,1594 4,3639 4,3621 4,1935 3,9309 3,6715 3,4883 3,3697 3,2334 2,9959 2,6392 2,2483 1,9750 1,9244 2,0891 2,3965 2,7744 3,1575 3,4863 3,7352 3,9141 4,0336 4,0859 4,0546 3,9297 3,7233 3,4709 3,2123 2,9692 2,7533 2,5974 2,5492 2,6220 2,7562 2,8330 2,7433 2,4565 2,0197 1,5187 1,0626 0,7792 0,7702 1,0525 1,5619 2,2186 2,9582 3,7079 4,3802 4,9016 5,2290 5,3533 5,3173 5,2173 5,1600 5,2054 5,3374 5,4787 5,5423 5,4731 5,2573 4,9278 4,5706 4,2911 4,1477 4,1199 4,1428 4,1790 4,2576 4,4344 4,7156 5,0388 5,3226 5,5211 5,6387 5,7105 5,7700 5,8241 5,8556 5,8473 5,7943 5,7062 5,6098 5,5334 5,4759 5,4021 5,2818 5,1353 5,0319 5,0466 5,2157 5,5136 5,8590 6,1572 6,3511 6,4462 6,4858 6,4916 6,4369 6,2808 5,9906 5,5405 4,9482 4,3261 3,8523 3,6688 3,8140 4,2257 4,7696 5,2850 5,6426 5,7775 5,6868 5,4215 5,0661 4,6946 4,3359 3,9885 3,6577 3,3643 3,1390 3,0326 3,1016 3,3546 3,7263 4,1130 4,4211 4,5978 4,6498 4,6319 4,6029 4,5917 4,5926 4,5849 4,5646 4,5631 4,6276 4,7779 4,9841 5,1917 5,3547 5,4435 5,4389 5,3405 5,1799 5,0041 4,8468 4,7355 4,7065 4,7834 4,9423 5,1134 5,2248 5,2421 5,1667 5,0131 4,7893 4,4813 4,0691 3,5747 3,0796 2,6932 2,5063 2,5545 2,8028 3,1773 3,6231 4,1240 4,6646 5,1950 5,6492 5,9836 6,1733 6,1696 5,8882 5,2780 4,4063 3,4582 2,6519 2,1427 1,9775 2,1146 2,4629 2,9117 3,3717 3,8058 4,2107 4,5644 4,7940 4,8081 4,5687 4,1275 3,5942 3,0740 2,6183 2,2342 1,9353 1,7552 1,7034 1,7362 1,7865 1,7980 1,7155 1,4795 1,0712 0,5533 0,0403 -0,3582 -0,5721 -0,5868 -0,4455 -0,2257 -0,0117 0,1250 0,1424 0,0398 -0,1440 -0,3514 -0,5430 -0,7186 -0,8887 -1,0302 -1,0872 -1,0168 -0,8199 -0,5308 -0,2004 0,1160 0,3874 0,6180 0,8117 0,9537 1,0453 1,1235 1,2251 1,3558 1,5061 1,6784 1,8882 2,1412 2,4064 2,6153 2,6928 2,5944 2,3277 1,9615 1,6152 1,4163 1,4410 1,6740 2,0098 2,2973 2,4085 2,3009 2,0369 1,7437 1,5333 1,4407 1,4225 1,3967 1,2921 1,0881 0,8309 0,6196 0,5605 0,7044 1,0129 1,3872 1,7198 1,9396 2,0423 2,0791 2,0981 2,1024 2,0606 1,9359 1,7015 1,3454 0,8933 0,4322 0,0883 -0,0297 0,1296 0,5504 1,1485 1,7809 2,2793 2,5086 2,4241 2,0896 1,6400 1,2180 0,9237 0,7985 0,8251 0,9283 1,0002 0,9505 0,7482 0,4363 0,1151 -0,1099 -0,1858 -0,1307 -0,0087 0,1044
F7    0,9501 0,7649 0,5044 0,1889 -0,1304 -0,3878 -0,5441 -0,6023 -0,5949 -0,5638 -0,5510 -0,5896 -0,6847 -0,8166 -0,9626 -1,0995 -1,1909 -1,1949 -1,0988 -0,9438 -0,7899 -0,6477 -0,4646 -0,1852 0,1867 0,5807 0,8987 1,0733 1,1036 1,0386 0,9345 0,8260 0,7241 0,6283 0,5437 0,4861 0,4617 0,4382 0,3592 0,2018 0,0099 -0,1427 -0,2021 -0,1490 -0,0023 0,1769 0,3184 0,3898 0,3960 0,3544 0,2823 0,1932 0,1075 0,0685 0,1221 0,2702 0,4546 0,5908 0,6154 0,5125 0,3169 0,0921 -0,1067 -0,2439 -0,2893 -0,2206 -0,0516 0,1591 0,3424 0,4620 0,5191 0,5256 0,4829 0,3884 0,2586 0,1271 0,0152 -0,0834 -0,1726 -0,2184 -0,1709 -0,0224 0,1764 0,3524 0,4517 0,4624 0,4109 0,3338 0,2498 0,1632 0,0869 0,0332 -0,0227 -0,1346 -0,3322 -0,5913 -0,8505 -1,0478 -1,1459 -1,1392 -1,0479 -0,9055 -0,7515 -0,6311 -0,5725 -0,5483 -0,4694 -0,2381 0,1833 0,7515 1,3853 2,0170 2,5990 3,0848 3,4305 3,6155 3,6603 3,6212 3,5569 3,4967 3,4377 3,3516 3,1907 2,9086 2,4953 2,0082 1,5614 1,2705 1,1923 1,3062 1,5488 1,8545 2,1554 2,3763 2,4568 2,3798 2,1759 1,9037 1,6287 1,4110 1,2883 1,2734 1,3646 1,5360 1,7243 1,8536 1,8814 1,8199 1,7181 1,6288 1,5984 1,6566 1,7828 1,9025 1,9456 1,9054 1,8305 1,7682 1,7163 1,6235 1,4376 1,1600 0,8540 0,6216 0,5817 0,8224 1,3362 2,0118 2,7010 3,2962 3,7580 4,0903 4,3051 4,4126 4,4404 4,4603 4,5775 4,8567 5,2487 5,6180 5,8470 5,9031 5,8239 5,6756 5,5211 5,4027 5,3452 5,3661 5,4685 5,6231 5,7776 5,8965 5,9808 6,0368 6,0428 5,9658 5,7945 5,5428 5,2363 4,9021 4,5589 4,2129 3,8675 3,5351 3,2384 3,0076 2,8668 2,7909 2,6928 2,5016 2,2332 1,9557 1,7216 1,5534 1,4702 1,4992 1,6480 1,8700 2,0872 2,2525 2,3706 2,4651 2,5520 2,6389 2,7209 2,7776 2,7858 2,7255 2,5792 2,3418 2,0179 1,6172 1,1733 0,7490 0,4025 0,1636 0,0515 0,0930 0,3023 0,6461 1,0403 1,3960 1,6639 1,8367 1,9277 1,9637 1,9805 2,0041 2,0451 2,1183 2,2498 2,4609 2,7514 3,0888 3,4114 3,6570 3,7928 3,8324 3,8290 3,8314 3,8454 3,8490 3,8225 3,7552 3,6532 3,5535 3,5124 3,5737 3,7475 3,9990 4,2553 4,4449 4,5376 4,5512 4,5310 4,5178 4,5250 4,5480 4,5821 4,6125 4,6111 4,5621 4,4786 4,3928 4,3284 4,2758 4,2000 4,0784 3,9299 3,8072 3,7513 3,7591 3,8030 3,8753 4,0051 4,2259 4,5210 4,8187 5,0435 5,1417 5,0818 4,8760 4,5919 4,3184 4,1328 4,1003 4,2568 4,5800 4,9982 5,4243 5,7766 6,0027 6,0931 6,0657 5,9413 5,7362 5,4680 5,1724 4,9134 4,7582 4,7378 4,8425 5,0410 5,2858 5,5183 5,6885 5,7759 5,7882 5,7436 5,6571 5,5335 5,3636 5,1337 4,8423 4,5108 4,1854 3,9249 3,7732 3,7354 3,7802 3,8657 3,9655 4,0752 4,2012 4,3472 4,5050 4,6577 4,7841 4,8548 4,8403 4,7406 4,5885 4,4122 4,2113 3,9797 3,7458 3,5728 3,5121 3,5758 3,7543 4,0321 4,3807 4,7565 5,1108 5,3999 5,5983 5,7060 5,7389 5,7178 5,6572 5,5484 5,3686 5,1304 4,9046 4,7752 4,7712 4,8562 4,9817 5,1226 5,2584 5,3419 5,2973 5,0594 4,6264 4,0796 3,5560 3,1986 3,1022 3,2637 3,5858 3,9485 4,2784 4,5506 4,7591 4,9092 5,0187 5,1064 5,1691 5,1721 5,0780 4,8834 4,6182 4,3197 4,0162 3,7239 3,4538 3,2306 3,0933 3,0715 3,1730 3,3673 3,5621 3,6441 3,5711 3,3975 3,2140 3,0852 3,0332 3,0556 3,1411 3,2731 3,4267 3,5564 3,6086 3,5676 3,4712 3,3800 3,3482 3,4084 3,5586 3,7661 3,9960 4,2274 4,4439 4,6239 4,7437 4,7904 4,7724 4,7022 4,5715 4,3613 4,0817 3,7907 3,5620 3,4362 3,4122 3,4667 3,5664 3,6779 3,7730 3,8205 3,7898 3,6647 3,4487 3,1679 2,8724 2,6241 2,4736 2,4452 2,5371 2,7283 2,9803 3,2405 3,4554 3,5913 3,6428 3,6138 3,4965 3,2846 3,0015 2,7053 2,4659 2,3347 2,3292 2,4385 2,6397 2,9056 3,2077 3,5238 3,8425 4,1502 4,4158 4,5965 4,6600 4,6053 4,4637 4,2658 4,0077 3,6627 3,2225 2,7189 2,2168 1,7900 1,4871 1,3055 1,1951 1,0977 0,9758 0,8069 0,5820 0,3261 0,0986 -0,0413 -0,0664 0,0167 0,1830 0,4055 0,6592 0,9123 1,1203 1,2341 1,2123 1,0330 0,7110 0,3098 -0,0758 -0,3587 -0,4796 -0,4129 -0,1825 0,1423 0,4859 0,7950 1,0393 1,2147 1,3426 1,4441 1,5255 1,5986 1,6865 1,7981 1,9190 2,0338 2,1461 2,2717 2,4085 2,5265 2,5955 2,6083 2,5773 2,5137 2,4125 2,2587 2,0495 1,8064 1,5710 1,3893 1,2906 1,2718 1,3086 1,3855 1,5039 1,6616 1,8380 1,9880 2,0449 1,9539 1,7149 1,3765 0,9960 0,6261 0,3296 0,1721 0,1832 0,3215 0,4841 0,5624 0,4971 0,2963 0,0257 -0,2145 -0,3300 -0,2827 -0,1059 0,1354 0,3820 0,5821 0,7018 0,7540 0,7930 0,8640 0,9622 1,0442 1,0817 1,0940 1,1210 1,1811 1,2627 1,3403 1,3809 1,3391 1,1780 0,9092 0,5951 0,2961 0,0290 -0,2126 -0,4167 -0,5486 -0,5830
