Fp1   4,6903 4,7862 4,7899 4,6375 4,2817 3,7119 2,9622 2,1096 1,2568 0,5050 -0,0748 -0,4644 -0,6982 -0,8379 -0,9406 -1,0342 -1,1122 -1,1499 -1,1243 -1,0240 -0,8537 -0,6417 -0,4364 -0,2801 -0,1806 -0,1081 -0,0200 0,1179 0,3229 0,5899 0,8842 1,1439 1,2964 1,2889 1,1132 0,8035 0,4198 0,0271 -0,3322 -0,6600 -0,9982 -1,3939 -1,8606 -2,3705 -2,8774 -3,3430 -3,7466 -4,0903 -4,3967 -4,6882 -4,9571 -5,1564 -5,2263 -5,1371 -4,9066 -4,5749 -4,1746 -3,7362 -3,3040 -2,9220 -2,6153 -2,3976 -2,2755 -2,2337 -2,2346 -2,2360 -2,1957 -2,0727 -1,8418 -1,5156 -1,1541 -0,8511 -0,6928 -0,7154 -0,8941 -1,1729 -1,5034 -1,8571 -2,2164 -2,5683 -2,9066 -3,2236 -3,4933 -3,6655 -3,6864 -3,5328 -3,2342 -2,8649 -2,5107 -2,2287 -2,0254 -1,8650 -1,6960 -1,4724 -1,1695 -0,8048 -0,4460 -0,1814 -0,0709 -0,1272 -0,3372 -0,6766 -1,1010 -1,5472 -1,9610 -2,3290 -2,6907 -3,1186 -3,6774 -4,3940 -5,2520 -6,2050 -7,1967 -8,1768 -9,1115 -9,9850 -10,7859 -11,4894 -12,0566 -12,4473 -12,6245 -12,5555 -12,2212 -11,6187 -10,7576 -9,6653 -8,3917 -7,0040 -5,5765 -4,1707 -2,8167 -1,5221 -0,2942 0,8514 1,8945 2,8154 3,6056 4,2818 4,8867 5,4700 6,0580 6,6286 7,1134 7,4324 7,5324 7,4061 7,0874 6,6328 6,0978 5,5261 4,9544 4,4128 3,9139 3,4609 3,0751 2,7998 2,6679 2,6731 2,7713 2,9068 3,0361 3,1371 3,2082 3,2587 3,2907 3,2961 3,2793 3,2775 3,3522 3,5547 3,8891 4,2973 4,6778 4,9347 5,0260 4,9717 4,8202 4,6119 4,3731 4,1203 3,8504 3,5337 3,1376 2,6605 2,1354 1,5997 1,0746 0,5726 0,1107 -0,2943 -0,6391 -0,9355 -1,2035 -1,4673 -1,7483 -2,0499 -2,3563 -2,6516 -2,9418 -3,2521 -3,6007 -3,9879 -4,4090 -4,8654 -5,3570 -5,8672 -6,3521 -6,7497 -7,0038 -7,0852 -6,9957 -6,7645 -6,4425 -6,0937 -5,7808 -5,5448 -5,3969 -5,3318 -5,3385 -5,3869 -5,4191 -5,3823 -5,2740 -5,1376 -5,0143 -4,9097 -4,7949 -4,6321 -4,4057 -4,1332 -3,8482 -3,5851 -3,3782 -3,2559 -3,2285 -3,2886 -3,4250 -3,6259 -3,8654 -4,0943 -4,2558 -4,3147 -4,2735 -4,1677 -4,0528 -3,9799 -3,9628 -3,9678 -3,9409 -3,8452 -3,6720 -3,4246 -3,1122 -2,7660 -2,4375 -2,1698 -1,9760 -1,8437 -1,7491 -1,6705 -1,5959 -1,5203 -1,4376 -1,3418 -1,2382 -1,1535 -1,1219 -1,1512 -1,2171 -1,2959 -1,3869 -1,4953 -1,6192 -1,7605 -1,9301 -2,1241 -2,2960 -2,3642 -2,2547 -1,9410 -1,4543 -0,8706 -0,2889 0,1957 0,5182 0,6601 0,6520 0,5616 0,4652 0,4172 0,4377 0,5183 0,6324 0,7448 0,8265 0,8788 0,9442 1,0712 1,2648 1,4779 1,6464 1,7343 1,7589 1,7777 1,8459 1,9853 2,1883 2,4339 2,6922 2,9267 3,0961 3,1572 3,0823 2,8810 2,5992 2,3022 2,0571 1,9085 1,8553 1,8531 1,8483 1,8114 1,7402 1,6435 1,5237 1,3748 1,2020 1,0334 0,8999 0,8160 0,7901 0,8343 0,9498 1,1159 1,2980 1,4625 1,5803 1,6272 1,5936 1,4967 1,3700 1,2378 1,1063 0,9826 0,8950 0,8846 0,9705 1,1272 1,2953 1,4172 1,4715 1,4796 1,4801 1,4998 1,5520 1,6500 1,8035 1,9953 2,1808 2,3155 2,3718 2,3302 2,1740 1,9022 1,5438 1,1615 0,8397 0,6529 0,6349 0,7690 1,0066 1,2998 1,6188 1,9352 2,1986 2,3453 2,3352 2,1824 1,9561 1,7491 1,6370 1,6532 1,7822 1,9737 2,1723 2,3420 2,4733 2,5770 2,6735 2,7763 2,8767 2,9450 2,9504 2,8814 2,7512 2,5827 2,3892 2,1757 1,9545 1,7538 1,6094 1,5425 1,5490 1,6085 1,6991 1,8065 1,9247 2,0456 2,1561 2,2517 2,3392 2,4256 2,5145 2,6137 2,7287 2,8475 2,9422 2,9904 2,9829 2,9082 2,7441 2,4692 2,0786 1,5977 1,0859 0,6149 0,2349 -0,0378 -0,2085 -0,2953 -0,3274 -0,3364 -0,3469 -0,3790 -0,4474 -0,5507 -0,6684 -0,7690 -0,8235 -0,8278 -0,8132 -0,8198 -0,8543 -0,8802 -0,8521 -0,7590 -0,6252 -0,4751 -0,3098 -0,1249 0,0700 0,2628 0,4606 0,6896 0,9737 1,3109 1,6704 2,0065 2,2707 2,4155 2,4009 2,2098 1,8638 1,4136 0,9119 0,4021 -0,0682 -0,4476 -0,7088 -0,8727 -0,9998 -1,1583 -1,3850 -1,6560 -1,8859 -1,9702 -1,8420 -1,5045 -1,0300 -0,5332 -0,1277 0,1121 0,1600 0,0262 -0,2679 -0,7170 -1,3349 -2,1343 -3,1073 -4,2155 -5,3913 -6,5494 -7,6034 -8,4757 -9,1014 -9,4329 -9,4442 -9,1323 -8,5138 -7,6243 -6,5183 -5,2679 -3,9561 -2,6665 -1,4752 -0,4397 0,4206 1,1283 1,7287 2,2787 2,8438 3,4789 4,2051 5,0160 5,9030 6,8637 7,8818 8,8975 9,7992 10,4586 10,7819 10,7432 10,3836 9,7854 9,0352 8,1977 7,3112 6,4021 5,4955 4,6205 3,8144 3,1178 2,5493 2,0827 1,6540 1,1928 0,6552 0,0431 -0,6055 -1,2483 -1,8652 -2,4597 -3,0500 -3,6525 -4,2553 -4,8024 -5,2137 -5,4250 -5,4262 -5,2734 -5,0604 -4,8693 -4,7303 -4,6120 -4,4500 -4,1991 -3,8663 -3,5049 -3,1784 -2,9222 -2,7382 -2,6231 -2,5994 -2,7079 -2,9676 -3,3504 -3,7884 -4,1970 -4,4960 -4,6314 -4,5906 -4,3986 -4,0986 -3,7379 -3,3658 -3,0337 -2,7941 -2,6924 -2,7489 -2,9557 -3,3045 -3,8042 -4,4633 -5,2675 -6,1781 -7,1390 -8,0947 -9,0124 -9,8782 -10,6725 -11,3642 -11,9198 -12,3113 -12,5229 -12,5617 -12,4623 -12,2717 -12,0264 -11,7498 -11,4725
Fz    6,6509 6,5380 6,3457 6,0446 5,6144 5,0597 4,4104 3,7120 3,0128 2,3526 1,7547 1,2237 0,7458 0,2941 -0,1592 -0,6236 -1,0770 -1,4726 -1,7634 -1,9212 -1,9394 -1,8277 -1,6091 -1,3175 -0,9879 -0,6501 -0,3300 -0,0518 0,1630 0,2934 0,3187 0,2237 0,0077 -0,3124 -0,7041 -1,1245 -1,5233 -1,8530 -2,0874 -2,2330 -2,3225 -2,3997 -2,5029 -2,6511 -2,8405 -3,0472 -3,2343 -3,3680 -3,4282 -3,4035 -3,2851 -3,0685 -2,7596 -2,3785 -1,9543 -1,5102 -1,0559 -0,5995 -0,1566 0,2592 0,6432 0,9867 1,2674 1,4609 1,5596 1,5805 1,5627 1,5585 1,6180 1,7712 2,0105 2,2893 2,5384 2,6960 2,7316 2,6489 2,4727 2,2363 1,9741 1,7136 1,4677 1,2380 1,0251 0,8389 0,7010 0,6382 0,6712 0,8038 1,0244 1,3146 1,6549 2,0220 2,3923 2,7547 3,1143 3,4776 3,8350 4,1581 4,4106 4,5568 4,5642 4,4087 4,0817 3,5890 2,9424 2,1547 1,2394 0,2156 -0,8855 -2,0195 -3,1388 -4,2035 -5,1867 -6,0725 -6,8524 -7,5219 -8,0750 -8,4984 -8,7722 -8,8766 -8,7973 -8,5265 -8,0618 -7,4036 -6,5549 -5,5244 -4,3287 -2,9928 -1,5467 -0,0197 1,5581 3,1434 4,6743 6,0872 7,3363 8,3985 9,2694 9,9655 10,5235 10,9871 11,3843 11,7155 11,9589 12,0877 12,0868 11,9636 11,7534 11,5121 11,2953 11,1379 11,0484 11,0136 11,0045 10,9903 10,9576 10,9163 10,8868 10,8899 10,9462 11,0725 11,2744 11,5387 11,8356 12,1267 12,3754 12,5638 12,7084 12,8590 13,0766 13,4076 13,8636 14,4164 15,0086 15,5717 16,0446 16,3881 16,5890 16,6559 16,6100 16,4737 16,2576 15,9609 15,5912 15,1775 14,7579 14,3608 14,0005 13,6856 13,4231 13,2139 13,0470 12,8976 12,7295 12,5033 12,1930 11,7972 11,3364 10,8360 10,3092 9,7594 9,1922 8,6178 8,0415 7,4615 6,8767 6,2965 5,7412 5,2304 4,7768 4,3877 4,0695 3,8244 3,6393 3,4814 3,3120 3,1114 2,8898 2,6749 2,4935 2,3669 2,3150 2,3472 2,4487 2,5839 2,7209 2,8558 3,0129 3,2206 3,4838 3,7734 4,0385 4,2292 4,3166 4,3000 4,1970 4,0327 3,8342 3,6291 3,4470 3,3181 3,2625 3,2758 3,3291 3,3867 3,4261 3,4473 3,4696 3,5225 3,6333 3,8181 4,0800 4,4083 4,7752 5,1402 5,4683 5,7466 5,9833 6,1923 6,3809 6,5504 6,7033 6,8455 6,9840 7,1264 7,2791 7,4426 7,6115 7,7773 7,9289 8,0531 8,1399 8,1905 8,2174 8,2330 8,2439 8,2545 8,2730 8,3108 8,3750 8,4615 8,5528 8,6183 8,6233 8,5442 8,3823 8,1654 7,9385 7,7492 7,6325 7,5986 7,6331 7,7076 7,7950 7,8798 7,9607 8,0499 8,1680 8,3319 8,5434 8,7865 9,0348 9,2685 9,4894 9,7187 9,9747 10,2577 10,5572 10,8648 11,1715 11,4595 11,7049 11,8880 12,0003 12,0468 12,0425 12,0097 11,9734 11,9503 11,9393 11,9244 11,8891 11,8264 11,7375 11,6286 11,5097 11,3913 11,2834 11,1980 11,1484 11,1434 11,1820 11,2495 11,3145 11,3398 11,3016 11,2002 11,0560 10,8987 10,7598 10,6694 10,6507 10,7142 10,8553 11,0581 11,2984 11,5409 11,7404 11,8550 11,8606 11,7572 11,5678 11,3328 11,0946 10,8842 10,7218 10,6244 10,6022 10,6472 10,7332 10,8297 10,9105 10,9545 10,9437 10,8639 10,7085 10,4865 10,2296 9,9835 9,7889 9,6625 9,5904 9,5380 9,4703 9,3642 9,2079 8,9975 8,7387 8,4520 8,1764 7,9588 7,8343 7,8137 7,8815 8,0007 8,1264 8,2264 8,2929 8,3414 8,4053 8,5268 8,7404 9,0574 9,4640 9,9277 10,4047 10,8451 11,1996 11,4293 11,5164 11,4698 11,3228 11,1201 10,9002 10,6835 10,4721 10,2595 10,0395 9,8080 9,5652 9,3194 9,0834 8,8642 8,6590 8,4593 8,2543 8,0360 7,8025 7,5593 7,3139 7,0695 6,8224 6,5637 6,2813 5,9700 5,6412 5,3190 5,0235 4,7616 4,5342 4,3435 4,1882 4,0555 3,9156 3,7303 3,4778 3,1736 2,8659 2,6187 2,4947 2,5333 2,7301 3,0369 3,3868 3,7261 4,0260 4,2735 4,4597 4,5812 4,6467 4,6741 4,6802 4,6768 4,6753 4,6866 4,7147 4,7525 4,7857 4,7993 4,7806 4,7184 4,6039 4,4373 4,2299 3,9988 3,7591 3,5257 3,3178 3,1597 3,0708 3,0533 3,0855 3,1280 3,1461 3,1355 3,1266 3,1608 3,2623 3,4241 3,6079 3,7510 3,7818 3,6370 3,2760 2,6921 1,9108 0,9750 -0,0694 -1,1765 -2,2963 -3,3770 -4,3731 -5,2529 -5,9975 -6,5934 -7,0239 -7,2662 -7,2957 -7,0962 -6,6710 -6,0465 -5,2634 -4,3675 -3,4033 -2,4109 -1,4234 -0,4631 0,4637 1,3630 2,2449 3,1209 4,0053 4,9128 5,8442 6,7768 7,6772 8,5197 9,2832 9,9371 10,4427 10,7713 10,9180 10,8989 10,7373 10,4532 10,0631 9,5845 9,0405 8,4630 7,8866 7,3370 6,8232 6,3345 5,8384 5,2893 4,6495 3,9082 3,0841 2,2153 1,3473 0,5223 -0,2314 -0,9042 -1,5031 -2,0394 -2,5119 -2,8974 -3,1603 -3,2762 -3,2522 -3,1311 -2,9719 -2,8209 -2,6909 -2,5614 -2,4007 -2,1918 -1,9387 -1,6607 -1,3849 -1,1411 -0,9591 -0,8729 -0,9180 -1,1156 -1,4555 -1,8966 -2,3814 -2,8497 -3,2514 -3,5585 -3,7699 -3,9032 -3,9814 -4,0273 -4,0678 -4,1345 -4,2572 -4,4563 -4,7411 -5,1139 -5,5797 -6,1502 -6,8355 -7,6324 -8,5157 -9,4374 -10,3365 -11,1547 -11,8433 -12,3638 -12,6957 -12,8482 -12,8608 -12,7857 -12,6656 -12,5259 -12,3784 -12,2187 -12,0287 -11,7934
F3    6,0911 6,0412 5,8921 5,6181 5,2054 4,6648 4,0325 3,3597 2,6959 2,0780 1,5271 1,0469 0,6243 0,2332 -0,1553 -0,5546 -0,9465 -1,2866 -1,5300 -1,6521 -1,6516 -1,5447 -1,3582 -1,1254 -0,8762 -0,6301 -0,3996 -0,1972 -0,0359 0,0701 0,1042 0,0511 -0,0947 -0,3219 -0,6055 -0,9135 -1,2099 -1,4607 -1,6489 -1,7837 -1,8938 -2,0127 -2,1636 -2,3538 -2,5789 -2,8252 -3,0710 -3,2976 -3,4965 -3,6603 -3,7734 -3,8147 -3,7654 -3,6177 -3,3796 -3,0686 -2,7055 -2,3162 -1,9311 -1,5717 -1,2461 -0,9642 -0,7478 -0,6188 -0,5822 -0,6199 -0,6915 -0,7424 -0,7190 -0,5876 -0,3521 -0,0581 0,2245 0,4307 0,5222 0,4885 0,3374 0,0895 -0,2243 -0,5696 -0,9193 -1,2581 -1,5760 -1,8611 -2,0961 -2,2617 -2,3456 -2,3497 -2,2875 -2,1724 -2,0110 -1,8082 -1,5708 -1,3019 -0,9981 -0,6614 -0,3131 0,0054 0,2475 0,3735 0,3539 0,1735 -0,1605 -0,6193 -1,1659 -1,7700 -2,4184 -3,1131 -3,8579 -4,6472 -5,4661 -6,2958 -7,1150 -7,8993 -8,6224 -9,2610 -9,7979 -10,2209 -10,5184 -10,6754 -10,6710 -10,4817 -10,0900 -9,4895 -8,6832 -7,6842 -6,5192 -5,2273 -3,8492 -2,4151 -0,9471 0,5246 1,9516 3,2785 4,4595 5,4659 6,2867 6,9321 7,4355 7,8406 8,1804 8,4605 8,6609 8,7538 8,7219 8,5681 8,3159 8,0035 7,6722 7,3530 7,0627 6,8042 6,5670 6,3349 6,1024 5,8813 5,6933 5,5643 5,5211 5,5842 5,7580 6,0252 6,3500 6,6870 6,9920 7,2373 7,4253 7,5853 7,7567 7,9673 8,2214 8,4991 8,7663 8,9860 9,1293 9,1840 9,1537 9,0491 8,8836 8,6716 8,4210 8,1299 7,7992 7,4465 7,0980 6,7716 6,4690 6,1841 5,9117 5,6494 5,3934 5,1338 4,8521 4,5252 4,1369 3,6894 3,2021 2,6961 2,1789 1,6482 1,1057 0,5595 0,0186 -0,5087 -1,0095 -1,4606 -1,8348 -2,1151 -2,3013 -2,4027 -2,4298 -2,3924 -2,3074 -2,2054 -2,1239 -2,0864 -2,0903 -2,1157 -2,1431 -2,1568 -2,1411 -2,0863 -2,0045 -1,9276 -1,8823 -1,8652 -1,8433 -1,7788 -1,6556 -1,4899 -1,3208 -1,1921 -1,1311 -1,1393 -1,2008 -1,2952 -1,4044 -1,5113 -1,5985 -1,6507 -1,6608 -1,6383 -1,6089 -1,5986 -1,6171 -1,6512 -1,6683 -1,6297 -1,5068 -1,2885 -0,9781 -0,5863 -0,1327 0,3527 0,8387 1,3039 1,7386 2,1363 2,4844 2,7667 2,9775 3,1282 3,2423 3,3453 3,4549 3,5764 3,7066 3,8419 3,9767 4,0960 4,1782 4,2112 4,2013 4,1655 4,1225 4,0941 4,1057 4,1788 4,3178 4,5056 4,7101 4,8937 5,0224 5,0765 5,0561 4,9808 4,8841 4,8064 4,7834 4,8327 4,9479 5,1056 5,2799 5,4521 5,6096 5,7457 5,8614 5,9607 6,0410 6,0910 6,0996 6,0731 6,0446 6,0610 6,1527 6,3209 6,5487 6,8139 7,0889 7,3357 7,5140 7,5972 7,5841 7,4954 7,3598 7,2039 7,0466 6,8962 6,7469 6,5831 6,3949 6,1864 5,9703 5,7601 5,5679 5,4034 5,2738 5,1883 5,1589 5,1908 5,2739 5,3806 5,4727 5,5169 5,4982 5,4223 5,3105 5,1906 5,0928 5,0498 5,0901 5,2252 5,4468 5,7333 6,0541 6,3665 6,6169 6,7562 6,7586 6,6300 6,4048 6,1369 5,8793 5,6670 5,5201 5,4562 5,4835 5,5836 5,7171 5,8467 5,9521 6,0246 6,0580 6,0464 5,9879 5,8925 5,7847 5,6965 5,6521 5,6541 5,6780 5,6854 5,6459 5,5489 5,3997 5,2104 4,9966 4,7833 4,6101 4,5190 4,5345 4,6515 4,8379 5,0446 5,2212 5,3331 5,3699 5,3446 5,2928 5,2631 5,2967 5,4075 5,5779 5,7697 5,9387 6,0433 6,0486 5,9310 5,6866 5,3379 4,9318 4,5256 4,1670 3,8831 3,6810 3,5563 3,4996 3,4974 3,5332 3,5952 3,6798 3,7843 3,8990 4,0084 4,0954 4,1439 4,1407 4,0779 3,9557 3,7781 3,5492 3,2694 2,9378 2,5609 2,1605 1,7666 1,4011 1,0720 0,7822 0,5379 0,3422 0,1841 0,0339 -0,1467 -0,3804 -0,6549 -0,9285 -1,1478 -1,2632 -1,2464 -1,1036 -0,8735 -0,6059 -0,3368 -0,0788 0,1669 0,3960 0,6003 0,7753 0,9262 1,0639 1,1996 1,3460 1,5145 1,7080 1,9162 2,1191 2,2931 2,4141 2,4546 2,3857 2,1889 1,8698 1,4564 0,9872 0,5035 0,0472 -0,3417 -0,6326 -0,8123 -0,8913 -0,9010 -0,8764 -0,8305 -0,7453 -0,5912 -0,3561 -0,0615 0,2392 0,4737 0,5701 0,4751 0,1648 -0,3543 -1,0542 -1,9005 -2,8621 -3,9102 -5,0106 -6,1209 -7,1930 -8,1773 -9,0276 -9,7032 -10,1698 -10,4004 -10,3760 -10,0877 -9,5436 -8,7753 -7,8332 -6,7714 -5,6384 -4,4766 -3,3261 -2,2205 -1,1796 -0,2100 0,6891 1,5257 2,3191 3,0981 3,8847 4,6779 5,4569 6,1978 6,8757 7,4563 7,8967 8,1604 8,2314 8,1149 7,8292 7,3981 6,8501 6,2182 5,5369 4,8405 4,1605 3,5226 2,9428 2,4197 1,9243 1,4063 0,8213 0,1576 -0,5606 -1,2893 -1,9839 -2,6142 -3,1712 -3,6668 -4,1273 -4,5811 -5,0377 -5,4739 -5,8444 -6,1095 -6,2626 -6,3340 -6,3711 -6,4099 -6,4579 -6,4952 -6,4939 -6,4394 -6,3362 -6,2011 -6,0548 -5,9145 -5,7953 -5,7194 -5,7208 -5,8309 -6,0591 -6,3876 -6,7775 -7,1760 -7,5288 -7,7944 -7,9533 -8,0063 -7,9677 -7,8605 -7,7135 -7,5566 -7,4158 -7,3132 -7,2679 -7,2992 -7,4316 -7,6909 -8,0903 -8,6225 -9,2611 -9,9660 -10,6901 -11,3891 -12,0255 -12,5680 -12,9926 -13,2929 -13,4861 -13,6023 -13,6679 -13,7000 -13,7090 -13,6938 -13,6403 -13,5352
F7    5,0835 4,9076 4,6129 4,1960 3,6648 3,0460 2,3882 1,7502 1,1812 0,7093 0,3411 0,0664 -0,1400 -0,3143 -0,4920 -0,6911 -0,9000 -1,0854 -1,2135 -1,2643 -1,2329 -1,1247 -0,9506 -0,7263 -0,4703 -0,2008 0,0655 0,3129 0,5278 0,6978 0,8095 0,8511 0,8175 0,7137 0,5480 0,3265 0,0572 -0,2458 -0,5681 -0,8971 -1,2201 -1,5272 -1,8158 -2,0893 -2,3538 -2,6175 -2,8909 -3,1902 -3,5330 -3,9195 -4,3231 -4,7003 -5,0054 -5,2026 -5,2711 -5,2020 -4,9988 -4,6894 -4,3213 -3,9337 -3,5427 -3,1553 -2,7876 -2,4644 -2,2096 -2,0370 -1,9429 -1,9062 -1,8938 -1,8701 -1,8097 -1,7085 -1,5869 -1,4769 -1,4075 -1,4023 -1,4849 -1,6719 -1,9615 -2,3330 -2,7545 -3,1909 -3,6097 -3,9829 -4,2884 -4,5121 -4,6532 -4,7266 -4,7589 -4,7739 -4,7834 -4,7860 -4,7708 -4,7245 -4,6418 -4,5319 -4,4180 -4,3301 -4,2922 -4,3141 -4,3953 -4,5313 -4,7153 -4,9377 -5,1879 -5,4608 -5,7657 -6,1261 -6,5634 -7,0819 -7,6694 -8,3064 -8,9662 -9,6075 -10,1792 -10,6344 -10,9428 -11,0978 -11,1163 -11,0256 -10,8425 -10,5609 -10,1611 -9,6281 -8,9631 -8,1819 -7,3074 -6,3630 -5,3671 -4,3235 -3,2237 -2,0683 -0,8856 0,2761 1,3665 2,3426 3,1745 3,8566 4,4093 4,8601 5,2199 5,4745 5,5982 5,5750 5,4120 5,1420 4,8151 4,4797 4,1645 3,8723 3,5915 3,3106 3,0244 2,7368 2,4620 2,2172 2,0157 1,8667 1,7779 1,7549 1,7999 1,9090 2,0685 2,2536 2,4334 2,5860 2,7075 2,8052 2,8847 2,9437 2,9742 2,9703 2,9359 2,8832 2,8246 2,7646 2,6975 2,6100 2,4891 2,3214 2,0861 1,7590 1,3331 0,8329 0,3016 -0,2221 -0,7155 -1,1720 -1,5979 -2,0059 -2,4080 -2,8112 -3,2198 -3,6429 -4,0948 -4,5809 -5,0852 -5,5770 -6,0305 -6,4355 -6,7960 -7,1257 -7,4433 -7,7647 -8,0897 -8,3920 -8,6299 -8,7718 -8,8123 -8,7655 -8,6496 -8,4803 -8,2725 -8,0424 -7,8077 -7,5809 -7,3634 -7,1481 -6,9281 -6,6939 -6,4255 -6,1027 -5,7336 -5,3654 -5,0543 -4,8269 -4,6700 -4,5501 -4,4413 -4,3410 -4,2694 -4,2585 -4,3311 -4,4828 -4,6836 -4,8939 -5,0802 -5,2187 -5,2930 -5,2966 -5,2374 -5,1394 -5,0370 -4,9591 -4,9149 -4,8918 -4,8630 -4,7984 -4,6744 -4,4780 -4,2062 -3,8676 -3,4842 -3,0828 -2,6821 -2,2915 -1,9191 -1,5778 -1,2885 -1,0711 -0,9301 -0,8476 -0,7894 -0,7188 -0,6105 -0,4615 -0,2910 -0,1267 0,0069 0,0906 0,1161 0,0966 0,0618 0,0355 0,0249 0,0328 0,0726 0,1690 0,3398 0,5795 0,8540 1,1117 1,3071 1,4237 1,4760 1,4958 1,5214 1,5887 1,7203 1,9137 2,1394 2,3553 2,5280 2,6453 2,7125 2,7433 2,7543 2,7555 2,7420 2,6964 2,6024 2,4658 2,3291 2,2530 2,2745 2,3850 2,5474 2,7259 2,8961 3,0357 3,1196 3,1288 3,0638 2,9447 2,7995 2,6527 2,5207 2,4110 2,3226 2,2454 2,1650 2,0675 1,9431 1,7911 1,6216 1,4476 1,2801 1,1320 1,0208 0,9614 0,9590 1,0064 1,0844 1,1652 1,2203 1,2296 1,1868 1,0981 0,9815 0,8661 0,7831 0,7492 0,7633 0,8150 0,8890 0,9619 1,0052 0,9958 0,9238 0,7916 0,6143 0,4191 0,2386 0,1005 0,0260 0,0265 0,0905 0,1766 0,2350 0,2373 0,1892 0,1195 0,0614 0,0360 0,0449 0,0773 0,1265 0,1954 0,2877 0,3932 0,4844 0,5307 0,5208 0,4707 0,4122 0,3731 0,3682 0,4038 0,4851 0,6097 0,7590 0,9051 1,0256 1,1083 1,1457 1,1292 1,0497 0,9070 0,7227 0,5366 0,3863 0,2922 0,2611 0,2939 0,3799 0,4853 0,5549 0,5310 0,3768 0,0931 -0,2811 -0,6831 -1,0482 -1,3291 -1,5056 -1,5820 -1,5753 -1,5054 -1,3911 -1,2439 -1,0672 -0,8651 -0,6479 -0,4314 -0,2333 -0,0693 0,0495 0,1147 0,1169 0,0432 -0,1181 -0,3702 -0,7024 -1,0848 -1,4677 -1,7978 -2,0426 -2,2032 -2,3018 -2,3611 -2,3986 -2,4329 -2,4903 -2,6029 -2,7913 -3,0464 -3,3279 -3,5777 -3,7386 -3,7768 -3,6979 -3,5399 -3,3479 -3,1546 -2,9783 -2,8284 -2,7086 -2,6157 -2,5381 -2,4583 -2,3605 -2,2297 -2,0479 -1,7972 -1,4740 -1,1007 -0,7256 -0,4077 -0,1993 -0,1349 -0,2290 -0,4786 -0,8662 -1,3655 -1,9448 -2,5634 -3,1686 -3,7009 -4,1113 -4,3797 -4,5208 -4,5742 -4,5765 -4,5337 -4,4189 -4,2023 -3,8831 -3,4959 -3,0981 -2,7561 -2,5311 -2,4645 -2,5730 -2,8539 -3,2939 -3,8764 -4,5847 -5,3969 -6,2793 -7,1907 -8,0895 -8,9348 -9,6825 -10,2856 -10,6970 -10,8735 -10,7843 -10,4173 -9,7846 -8,9267 -7,9076 -6,7981 -5,6608 -4,5455 -3,4876 -2,5037 -1,5911 -0,7370 0,0707 0,8401 1,5790 2,2999 3,0137 3,7156 4,3863 5,0064 5,5585 6,0171 6,3458 6,5108 6,4961 6,3086 5,9718 5,5187 4,9907 4,4346 3,8936 3,3976 2,9595 2,5776 2,2390 1,9199 1,5836 1,1883 0,7090 0,1527 -0,4439 -1,0317 -1,5693 -2,0374 -2,4397 -2,7937 -3,1203 -3,4336 -3,7284 -3,9786 -4,1521 -4,2324 -4,2342 -4,2006 -4,1810 -4,2059 -4,2734 -4,3544 -4,4133 -4,4268 -4,3878 -4,3031 -4,1935 -4,0874 -4,0132 -3,9932 -4,0404 -4,1549 -4,3241 -4,5306 -4,7547 -4,9703 -5,1471 -5,2615 -5,3028 -5,2695 -5,1643 -4,9978 -4,7962 -4,5963 -4,4338 -4,3356 -4,3192 -4,3989 -4,5890 -4,8960 -5,3094 -5,8026 -6,3413 -6,8918 -7,4316 -7,9541 -8,4573 -8,9264 -9,3354 -9,6672 -9,9280 -10,1404 -10,3273 -10,5059 -10,6924 -10,8980 -11,1198 -11,3402
