Fp1   2,2900 2,7771 3,2467 3,6754 4,0475 4,3413 4,5199 4,5341 4,3265 3,8489 3,0923 2,1184 1,0682 0,1063 -0,6624 -1,2034 -1,4945 -1,5230 -1,3569 -1,1624 -1,1062 -1,2349 -1,4660 -1,7002 -1,9111 -2,1152 -2,2968 -2,3942 -2,3513 -2,1679 -1,8872 -1,5492 -1,1790 -0,8044 -0,4591 -0,1823 -0,0210 -0,0155 -0,1965 -0,5874 -1,1570 -1,7668 -2,2004 -2,2657 -1,9040 -1,2446 -0,5426 -0,0383 0,1432 0,0116 -0,3069 -0,6200 -0,7607 -0,6660 -0,3882 -0,0555 0,1930 0,2793 0,2201 0,0962 -0,0047 -0,0056 0,1683 0,5526 1,0747 1,5479 1,7751 1,6820 1,3654 1,0329 0,8889 1,0293 1,4096 1,9041 2,3763 2,7139 2,8523 2,7855 2,5449 2,1696 1,7050 1,2194 0,7944 0,4894 0,3387 0,3665 0,5544 0,7973 0,9528 0,9469 0,8154 0,6511 0,5161 0,3965 0,2411 0,0388 -0,1578 -0,2949 -0,3876 -0,5119 -0,7520 -1,1701 -1,7886 -2,5570 -3,3444 -3,9963 -4,4096 -4,5584 -4,4828 -4,2872 -4,1187 -4,0955 -4,2444 -4,5052 -4,7771 -4,9561 -4,9757 -4,8544 -4,6909 -4,5894 -4,5848 -4,6263 -4,6250 -4,5231 -4,3321 -4,1183 -3,9575 -3,8948 -3,9239 -3,9940 -4,0432 -4,0159 -3,8552 -3,5227 -3,0359 -2,4630 -1,8812 -1,3540 -0,9191 -0,5688 -0,2458 0,1253 0,5938 1,1566 1,7616 2,3290 2,7765 3,0555 3,1857 3,2268 3,2009 3,0897 2,9157 2,7845 2,8350 3,1687 3,8119 4,6884 5,6102 6,3507 6,7622 6,8095 6,5214 5,9794 5,3469 4,8326 4,5759 4,5597 4,6479 4,7037 4,6564 4,4938 4,2423 3,9572 3,7249 3,6575 3,8345 4,2367 4,7510 5,2153 5,4637 5,3940 5,0363 4,5389 4,0568 3,6612 3,3607 3,1670 3,1072 3,1930 3,3991 3,6776 4,0077 4,4136 4,9121 5,4638 5,9772 6,3245 6,3799 6,0996 5,5599 4,9001 4,2589 3,7550 3,4647 3,3889 3,4573 3,5572 3,5649 3,3872 3,0141 2,5592 2,2223 2,1603 2,3874 2,7983 3,2423 3,5618 3,6235 3,3801 2,9244 2,4699 2,2458 2,3836 2,8746 3,6064 4,4288 5,2168 5,9119 6,5062 6,9868 7,3201 7,4829 7,4805 7,3296 7,0426 6,6460 6,2128 5,8519 5,6559 5,6534 5,8066 6,0481 6,3132 6,5522 6,7348 6,8351 6,8095 6,6177 6,2768 5,8744 5,5285 5,3371 5,3463 5,5462 5,8923 6,3257 6,7785 7,1733 7,4374 7,5336 7,4844 7,3588 7,2224 7,0912 6,9499 6,8081 6,7103 6,6953 6,7565 6,8316 6,8246 6,6459 6,2547 5,6912 5,0582 4,4670 4,0147 3,7908 3,8378 4,0914 4,4097 4,6799 4,8774 5,0509 5,2779 5,6139 6,0652 6,5966 7,1370 7,5867 7,8592 7,9244 7,8158 7,6232 7,4650 7,4237 7,5030 7,6388 7,7320 7,6985 7,5276 7,2978 7,1223 7,0820 7,2057 7,4728 7,8187 8,1657 8,4451 8,5952 8,5887 8,4643 8,2894 8,0985 7,9065 7,7619 7,7409 7,8932 8,2153 8,6691 9,2130 9,8087 10,3963 10,8693 11,1046 11,0450 10,7485 10,3547 9,9997 9,7565 9,6361 9,6037 9,5862 9,5154 9,3916 9,2894 9,2779 9,3376 9,3721 9,3027 9,1307 8,9163 8,7295 8,6364 8,6882 8,8790 9,1318 9,3541 9,4987 9,5767 9,6332 9,7127 9,8352 9,9975 10,1828 10,3704 10,5440 10,6842 10,7586 10,7407 10,6446 10,5383 10,5323 10,7442 11,2236 11,8748 12,4640 12,7475 12,6350 12,2521 11,8477 11,6360 11,7040 11,9958 12,3269 12,4492 12,1832 11,5225 10,6271 9,7272 9,0294 8,6790 8,7557 9,2605 10,0995 11,0796 11,9432 12,4682 12,5614 12,2668 11,7141 11,0588 10,4155 9,8219 9,2804 8,8172 8,4947 8,3769 8,4627 8,6491 8,8034 8,8703 8,8858 8,9080 8,9481 8,9521 8,8401 8,5490 8,0528 7,4090 6,7895 6,4024 6,3653 6,6548 7,1482 7,7127 8,2707 8,7745 9,1386 9,2690 9,1708 8,9616 8,7633 8,6226 8,5346 8,4919 8,4754 8,4127 8,1987 7,7822 7,2175 6,6205 6,0753 5,5944 5,1702 4,8336 4,6336 4,5938 4,7158 5,0058 5,4722 6,0877 6,7447 7,2694 7,5187 7,4694 7,2082 6,8524 6,5026 6,2363 6,0940 6,0670 6,1161 6,1798 6,1733 6,0347 5,7944 5,5797 5,5323 5,7296 6,1901 6,9099 7,8343 8,8042 9,5945 10,0276 10,0383 9,6693 9,0411 8,3011 7,5864 7,0194 6,6872 6,5942 6,6595 6,7879 6,9309 7,0661 7,1489 7,1217 6,9550 6,6563 6,2556 5,8110 5,4136 5,1606 5,1021 5,1953 5,3198 5,3817 5,4099 5,5135 5,7416 6,0007 6,1093 5,9377 5,4975 4,9076 4,3203 3,8836 3,6922 3,7361 3,9284 4,1874 4,4745 4,7784 5,0911 5,3812 5,5736 5,5886 5,4135 5,0998 4,7077 4,2972 3,9485 3,7516 3,7729 4,0175 4,4200 4,8871 5,3546 5,7945 6,1869 6,5091 6,7504 6,9387 7,1514 7,4759 7,9336 8,4497 8,9172 9,2812 9,5347 9,6553 9,5928 9,3082 8,8106 8,1623 7,4435 6,7325 6,1202 5,6892 5,4656 5,4081 5,4296 5,4286 5,3177 5,0423 4,5972 4,0388 3,4696 2,9905 2,6546 2,4592 2,3629 2,3073 2,2411 2,1588 2,1133 2,1602 2,3022 2,5097 2,7640 3,0398 3,2582 3,2860 3,0140 2,4600 1,7833 1,1939 0,8656 0,8785 1,1671 1,5495 1,8423 1,9601 1,9514 1,9645 2,1453 2,5419 3,0866 3,6336 4,0177 4,1311 3,9788 3,6725 3,3638 3,1710 3,1423 3,2579 3,4559 3,6691 3,8709 4,0997 4,4091 4,7689 5,0432 5,0846 4,8277
Fz    2,7862 2,9784 3,0989 3,1732 3,2261 3,2570 3,2328 3,1062 2,8316 2,3827 1,7743 1,0726 0,3823 -0,1982 -0,6210 -0,8797 -0,9721 -0,9066 -0,7451 -0,6097 -0,6218 -0,8167 -1,1184 -1,4098 -1,6220 -1,7520 -1,8208 -1,8395 -1,8139 -1,7593 -1,6933 -1,6156 -1,5068 -1,3454 -1,1274 -0,8779 -0,6478 -0,4897 -0,4429 -0,5338 -0,7512 -1,0147 -1,1940 -1,1729 -0,9085 -0,4550 0,0614 0,4927 0,7207 0,7064 0,5167 0,2877 0,1429 0,1346 0,2477 0,4350 0,6454 0,8391 0,9998 1,1358 1,2690 1,4312 1,6632 1,9841 2,3392 2,5958 2,6249 2,4002 2,0185 1,6365 1,3925 1,3528 1,5009 1,7697 2,0826 2,3713 2,5844 2,6942 2,6915 2,5741 2,3483 2,0406 1,7017 1,3999 1,2095 1,1834 1,3040 1,4642 1,5320 1,4439 1,2346 0,9949 0,8068 0,7023 0,6706 0,6923 0,7520 0,8150 0,8137 0,6720 0,3482 -0,1450 -0,7510 -1,3838 -1,9453 -2,3553 -2,5788 -2,6344 -2,5827 -2,5024 -2,4566 -2,4609 -2,4808 -2,4643 -2,3751 -2,2018 -1,9694 -1,7525 -1,6500 -1,7257 -1,9677 -2,2937 -2,5942 -2,7848 -2,8432 -2,8074 -2,7425 -2,6941 -2,6625 -2,6147 -2,5142 -2,3287 -2,0256 -1,5907 -1,0532 -0,4746 0,0831 0,5744 0,9829 1,3326 1,6722 2,0509 2,5042 3,0413 3,6326 4,2116 4,6962 5,0338 5,2371 5,3601 5,4416 5,4988 5,5662 5,7104 5,9997 6,4685 7,1010 7,8192 8,4879 8,9704 9,2038 9,2074 9,0323 8,7416 8,4309 8,2122 8,1453 8,1876 8,2286 8,1776 8,0118 7,7664 7,5132 7,3361 7,3041 7,4504 7,7563 8,1452 8,5072 8,7367 8,7595 8,5584 8,1949 7,7896 7,4499 7,2176 7,0863 7,0401 7,0641 7,1360 7,2325 7,3489 7,5098 7,7499 8,0769 8,4563 8,8187 9,0671 9,1094 8,9228 8,5732 8,1593 7,7593 7,4296 7,2087 7,1020 7,0714 7,0389 6,9129 6,6372 6,2300 5,7853 5,4315 5,2646 5,2999 5,4776 5,6997 5,8572 5,8498 5,6288 5,2446 4,8419 4,5878 4,5897 4,8604 5,3331 5,9002 6,4590 6,9459 7,3324 7,6030 7,7563 7,8195 7,8338 7,8200 7,7696 7,6711 7,5357 7,3969 7,2909 7,2350 7,2192 7,2229 7,2334 7,2476 7,2680 7,2897 7,2822 7,1993 7,0195 6,7739 6,5337 6,3744 6,3421 6,4438 6,6554 6,9332 7,2191 7,4468 7,5617 7,5508 7,4574 7,3504 7,2758 7,2362 7,2130 7,1963 7,1876 7,1819 7,1580 7,0830 6,9257 6,6650 6,3017 5,8768 5,4640 5,1256 4,8905 4,7744 4,7839 4,8879 5,0181 5,1206 5,1956 5,2891 5,4561 5,7200 6,0571 6,4184 6,7554 7,0317 7,2340 7,3755 7,4816 7,5794 7,6923 7,8203 7,9302 7,9764 7,9322 7,8071 7,6489 7,5233 7,4811 7,5450 7,7199 7,9845 8,2762 8,5122 8,6284 8,6010 8,4576 8,2714 8,1188 8,0316 8,0008 8,0208 8,1086 8,2823 8,5393 8,8617 9,2311 9,6325 10,0402 10,4004 10,6435 10,7293 10,6785 10,5528 10,4099 10,2752 10,1506 10,0292 9,9041 9,7812 9,6927 9,6819 9,7562 9,8526 9,8702 9,7468 9,4994 9,1962 8,9145 8,7284 8,6974 8,8307 9,0737 9,3416 9,5650 9,7119 9,7849 9,8071 9,8099 9,8252 9,8765 9,9737 10,1184 10,3029 10,4983 10,6627 10,7740 10,8533 10,9594 11,1623 11,4974 11,9170 12,2892 12,4655 12,3722 12,0592 11,6720 11,3683 11,2463 11,3083 11,4531 11,5157 11,3575 10,9469 10,3707 9,7851 9,3505 9,1873 9,3543 9,8361 10,5411 11,3109 11,9570 12,3269 12,3594 12,0901 11,6229 11,0820 10,5556 10,0732 9,6409 9,2865 9,0606 8,9984 9,0794 9,2252 9,3571 9,4515 9,5271 9,5924 9,6188 9,5573 9,3763 9,0737 8,6658 8,2017 7,7790 7,4998 7,4129 7,5000 7,6977 7,9293 8,1344 8,2685 8,2825 8,1454 7,8991 7,6538 7,5117 7,5131 7,6425 7,8510 8,0641 8,1912 8,1587 7,9484 7,6070 7,2169 6,8497 6,5360 6,2803 6,0897 5,9725 5,9286 5,9576 6,0673 6,2742 6,5851 6,9583 7,2983 7,5149 7,5763 7,4949 7,2901 6,9881 6,6362 6,2910 5,9980 5,7833 5,6406 5,5253 5,3860 5,2149 5,0633 5,0090 5,1192 5,4420 6,0035 6,7765 7,6494 8,4516 9,0244 9,2757 9,2045 8,8962 8,4853 8,1136 7,8940 7,8717 8,0019 8,1736 8,2785 8,2713 8,1662 7,9873 7,7456 7,4584 7,1551 6,8635 6,6134 6,4498 6,4179 6,5239 6,7049 6,8470 6,8659 6,7804 6,6826 6,6294 6,5778 6,4271 6,1129 5,6562 5,1391 4,6647 4,3377 4,2287 4,3300 4,5664 4,8579 5,1609 5,4600 5,7426 5,9819 6,1313 6,1531 6,0591 5,9008 5,7289 5,5837 5,5075 5,5404 5,7026 5,9755 6,3028 6,6238 6,9123 7,1820 7,4550 7,7296 7,9804 8,1854 8,3525 8,5119 8,6789 8,8358 8,9617 9,0665 9,1717 9,2748 9,3485 9,3624 9,2966 9,1443 8,9031 8,5812 8,2225 7,9025 7,6822 7,5734 7,5394 7,5137 7,4190 7,1917 6,8141 6,3321 5,8294 5,3748 4,9964 4,6981 4,4762 4,3121 4,1749 4,0556 3,9872 4,0141 4,1552 4,4056 4,7498 5,1437 5,4869 5,6356 5,4752 5,0088 4,3737 3,7676 3,3621 3,2481 3,4111 3,7512 4,1378 4,4613 4,6674 4,7682 4,8211 4,8868 4,9971 5,1395 5,2656 5,3242 5,2931 5,1895 5,0560 4,9385 4,8673 4,8500 4,8811 4,9557 5,0819 5,2828 5,5721 5,9108 6,2067 6,3668 6,3501
F3    3,1919 3,8175 4,3327 4,6550 4,7322 4,5551 4,1700 3,6662 3,1164 2,5232 1,8339 1,0127 0,1065 -0,7653 -1,4834 -1,9788 -2,2168 -2,1862 -1,9378 -1,6035 -1,3363 -1,2124 -1,1970 -1,2114 -1,2180 -1,2271 -1,2546 -1,3067 -1,3865 -1,4877 -1,5830 -1,6359 -1,6182 -1,5073 -1,2821 -0,9519 -0,5806 -0,2654 -0,1119 -0,2077 -0,5505 -0,9920 -1,3093 -1,3448 -1,0861 -0,6597 -0,2647 -0,0768 -0,1731 -0,5031 -0,9158 -1,2354 -1,3376 -1,1881 -0,8447 -0,4375 -0,1143 0,0379 0,0303 -0,0635 -0,1639 -0,1989 -0,0975 0,1807 0,5901 0,9902 1,2264 1,2394 1,0991 0,9483 0,9190 1,0662 1,3604 1,7333 2,1084 2,3958 2,5084 2,4096 2,1308 1,7377 1,2890 0,8286 0,4058 0,0950 -0,0128 0,1386 0,4933 0,8671 1,0550 0,9673 0,6728 0,3359 0,1035 0,0167 0,0146 0,0156 -0,0183 -0,0971 -0,2450 -0,5000 -0,8888 -1,4232 -2,0887 -2,8141 -3,4699 -3,9143 -4,0485 -3,8509 -3,3935 -2,8404 -2,3975 -2,2128 -2,3061 -2,5803 -2,8918 -3,1112 -3,1672 -3,0930 -3,0204 -3,0825 -3,3108 -3,6114 -3,8305 -3,8604 -3,7167 -3,5297 -3,4619 -3,6174 -3,9845 -4,4353 -4,7877 -4,8836 -4,6356 -4,0435 -3,1924 -2,2119 -1,2308 -0,3710 0,2583 0,6080 0,7329 0,7736 0,8906 1,1922 1,6887 2,2943 2,8804 3,3551 3,7056 3,9603 4,1192 4,1587 4,1017 4,0429 4,1021 4,3684 4,8604 5,4865 6,0462 6,3308 6,2617 5,9228 5,4687 5,0435 4,7789 4,7941 5,1417 5,7469 6,4216 6,9518 7,1832 7,0713 6,6898 6,1937 5,7661 5,5678 5,6722 6,0302 6,5026 6,9097 7,0736 6,8928 6,4185 5,8350 5,3324 4,9962 4,8229 4,8035 4,9495 5,2431 5,6074 5,9487 6,2262 6,4619 6,6853 6,8917 7,0458 7,0864 6,9418 6,5900 6,1062 5,6246 5,2616 5,0765 5,0648 5,1689 5,3112 5,4166 5,4087 5,2229 4,8620 4,4422 4,1573 4,1571 4,4477 4,9022 5,3321 5,5411 5,3866 4,8718 4,1802 3,5806 3,2812 3,3553 3,7594 4,3851 5,0989 5,7746 6,3312 6,7475 7,0399 7,2365 7,3655 7,4484 7,4867 7,4507 7,2950 7,0086 6,6480 6,3171 6,1130 6,0781 6,1864 6,3646 6,5373 6,6657 6,7371 6,7172 6,5516 6,2366 5,8663 5,5850 5,4841 5,5397 5,6507 5,7372 5,7851 5,8082 5,8047 5,7628 5,6911 5,6284 5,6166 5,6581 5,6989 5,6712 5,5631 5,4413 5,3992 5,4784 5,6319 5,7604 5,7735 5,6332 5,3732 5,0711 4,7900 4,5663 4,4315 4,3986 4,4243 4,4263 4,3512 4,2174 4,1088 4,1273 4,3341 4,7274 5,2583 5,8421 6,3720 6,7587 6,9605 6,9759 6,8329 6,5848 6,2849 5,9684 5,6669 5,4174 5,2511 5,1911 5,2566 5,4530 5,7662 6,1677 6,6026 6,9831 7,2224 7,2688 7,1130 6,7994 6,4261 6,0991 5,8771 5,7784 5,8311 6,0793 6,5328 7,1293 7,7539 8,2992 8,7102 8,9755 9,0848 9,0182 8,7898 8,4789 8,1950 8,0071 7,9147 7,8831 7,8720 7,8238 7,6889 7,5018 7,3928 7,4715 7,7026 7,9223 7,9719 7,8046 7,4783 7,0872 6,7274 6,4920 6,4443 6,5970 6,9287 7,3987 7,9403 8,4636 8,8790 9,1314 9,2177 9,1699 9,0236 8,8061 8,5429 8,2716 8,0495 7,9445 8,0123 8,2845 8,7641 9,4016 10,0602 10,5315 10,6323 10,3254 9,7613 9,1904 8,8262 8,7695 8,9888 9,3194 9,5126 9,3629 8,8367 8,0895 7,3649 6,8812 6,7830 7,1284 7,8800 8,8980 9,9470 10,7494 11,1045 10,9846 10,5180 9,8958 9,2875 8,7837 8,3818 8,0393 7,7407 7,5075 7,3627 7,2926 7,2496 7,2067 7,1862 7,2094 7,2466 7,2318 7,1095 6,8711 6,5460 6,1647 5,7674 5,4390 5,2728 5,2929 5,4387 5,6229 5,7994 5,9818 6,1801 6,3278 6,3218 6,1425 5,8878 5,6811 5,5856 5,6100 5,7468 5,9634 6,1692 6,2427 6,1194 5,8374 5,4876 5,1343 4,7904 4,4564 4,1579 3,9324 3,7997 3,7642 3,8399 4,0620 4,4509 4,9413 5,3722 5,5892 5,5589 5,3716 5,1481 4,9593 4,8156 4,6944 4,5711 4,4396 4,3013 4,1405 3,9369 3,7190 3,5903 3,6779 4,0589 4,7447 5,6980 6,8137 7,8868 8,6544 8,9098 8,5888 7,7938 6,7572 5,7448 4,9629 4,5268 4,4555 4,6620 4,9760 5,2219 5,3062 5,2413 5,0960 4,9368 4,8026 4,6976 4,6036 4,5170 4,4794 4,5648 4,8156 5,1666 5,4496 5,5181 5,3768 5,1623 5,0020 4,9051 4,7804 4,5398 4,1790 3,7680 3,3992 3,1567 3,0789 3,1203 3,1891 3,2421 3,3269 3,5270 3,8684 4,2797 4,6338 4,8293 4,8394 4,6890 4,4175 4,0861 3,7832 3,5896 3,5527 3,6866 3,9723 4,3690 4,8403 5,3650 5,9180 6,4436 6,8594 7,1021 7,1883 7,2208 7,3104 7,4906 7,7231 7,9607 8,1695 8,3198 8,3932 8,3866 8,2928 8,0849 7,7272 7,2135 6,6044 6,0081 5,5179 5,1647 4,9123 4,6895 4,4317 4,1021 3,6943 3,2296 2,7466 2,2780 1,8486 1,4962 1,2688 1,1935 1,2577 1,4287 1,6863 2,0205 2,4114 2,8342 3,2676 3,6651 3,9184 3,8710 3,4116 2,5817 1,5824 0,6683 0,0470 -0,1730 -0,0163 0,3784 0,8424 1,2596 1,6063 1,9381 2,3216 2,7622 3,1960 3,5312 3,6910 3,6403 3,3996 3,0402 2,6588 2,3510 2,1976 2,2426 2,4647 2,7824 3,1109 3,4226 3,7390 4,0478 4,2460 4,1923 3,8150
F7    0,9847 1,1105 1,1851 1,2679 1,4738 1,8875 2,4473 2,9309 3,0876 2,8055 2,1867 1,4897 0,9794 0,7898 0,8862 1,1199 1,3170 1,3473 1,1614 0,7989 0,3692 -0,0031 -0,2555 -0,4349 -0,6656 -1,0455 -1,5490 -2,0275 -2,3114 -2,3070 -2,0137 -1,4922 -0,8562 -0,2691 0,1166 0,2277 0,0728 -0,2763 -0,7108 -1,1493 -1,5818 -2,0359 -2,4937 -2,8350 -2,8759 -2,4895 -1,6895 -0,6187 0,5040 1,4399 2,0096 2,1630 1,9741 1,5751 1,0888 0,5898 0,1030 -0,3584 -0,7519 -1,0070 -1,0688 -0,9225 -0,5691 -0,0071 0,7272 1,5109 2,1559 2,4888 2,4312 2,0421 1,4898 0,9456 0,4944 0,1429 -0,1256 -0,3120 -0,3835 -0,2936 -0,0355 0,3393 0,7558 1,1661 1,5642 1,9481 2,2826 2,5102 2,5804 2,4742 2,2289 1,9331 1,6695 1,4519 1,2105 0,8431 0,3018 -0,3596 -1,0119 -1,5229 -1,8006 -1,7958 -1,5247 -1,0981 -0,6936 -0,4789 -0,5376 -0,8567 -1,3891 -2,0888 -2,8724 -3,6047 -4,1557 -4,4608 -4,5235 -4,3874 -4,1219 -3,8108 -3,5182 -3,2545 -2,9939 -2,7372 -2,5489 -2,5292 -2,7520 -3,2053 -3,7721 -4,2616 -4,4671 -4,2587 -3,6739 -2,9158 -2,2475 -1,8642 -1,8127 -1,9998 -2,2795 -2,5284 -2,6363 -2,4719 -1,9267 -1,0152 0,0868 1,1216 1,8803 2,2813 2,3685 2,2738 2,1560 2,1298 2,2434 2,4817 2,7670 3,0075 3,1706 3,2831 3,3872 3,5453 3,8642 4,4597 5,3745 6,5157 7,6589 8,5222 8,8785 8,6548 7,9543 6,9751 5,8997 4,8587 3,9736 3,3869 3,2289 3,5577 4,3005 5,2439 6,1293 6,7729 7,0900 7,0767 6,8221 6,4777 6,1598 5,9082 5,7377 5,6788 5,7511 5,9152 6,0548 6,0113 5,6677 5,0383 4,2892 3,6563 3,3342 3,4060 3,8202 4,4260 5,0542 5,5667 5,8608 5,8819 5,6203 5,0720 4,2472 3,2593 2,3527 1,7774 1,6304 1,8208 2,1528 2,4181 2,4568 2,2274 1,8439 1,4876 1,2767 1,2478 1,4064 1,7536 2,2748 2,9019 3,4985 3,9224 4,1058 4,0601 3,8389 3,5347 3,2732 3,1527 3,1847 3,2989 3,4136 3,5009 3,5727 3,6269 3,6556 3,6806 3,7487 3,9049 4,1598 4,4496 4,6459 4,6349 4,3831 3,9201 3,2945 2,5721 1,8414 1,2002 0,7514 0,5766 0,6768 0,9741 1,3870 1,8650 2,3585 2,8073 3,1661 3,4198 3,5736 3,6333 3,5875 3,4209 3,1510 2,8291 2,5141 2,2698 2,1481 2,1344 2,1346 2,0351 1,7691 1,3495 0,8649 0,4397 0,1755 0,1031 0,1770 0,3400 0,5995 1,0163 1,6258 2,3987 3,2379 3,9675 4,3712 4,3170 3,8716 3,2831 2,8325 2,6589 2,6913 2,7376 2,6335 2,3469 2,0171 1,8872 2,1298 2,7315 3,5219 4,2648 4,7523 4,8784 4,6475 4,1318 3,4379 2,6991 2,0641 1,6945 1,7591 2,3465 3,3545 4,5161 5,5485 6,2677 6,6139 6,6278 6,3930 5,9904 5,5153 5,0928 4,8326 4,7917 4,9832 5,3669 5,8163 6,1429 6,1925 5,9281 5,4311 4,8329 4,2577 3,8253 3,6715 3,9035 4,5031 5,2967 6,0500 6,5924 6,8631 6,8826 6,7032 6,3904 6,0450 5,8052 5,7749 5,9294 6,0897 6,0127 5,5527 4,7646 3,8741 3,1591 2,8053 2,8146 3,0452 3,3345 3,5906 3,8226 4,1085 4,5133 5,0331 5,6097 6,1672 6,6498 7,0613 7,4582 7,8788 8,2874 8,6089 8,7859 8,7881 8,6030 8,2481 7,7757 7,2498 6,7130 6,1799 5,6595 5,1762 4,7711 4,4706 4,2493 4,0485 3,8504 3,7234 3,7960 4,1800 4,8685 5,6976 6,4243 6,8513 6,9033 6,6100 6,0523 5,3562 4,7045 4,2814 4,1946 4,4569 4,9806 5,5567 5,9128 5,8764 5,5060 5,0522 4,7622 4,6995 4,7285 4,6287 4,2261 3,4851 2,5499 1,7127 1,2879 1,4358 2,0744 2,9655 3,8779 4,6747 5,2936 5,7043 5,9054 5,9355 5,8583 5,7377 5,6260 5,5419 5,4349 5,1907 4,7034 3,9649 3,0978 2,2993 1,7225 1,3934 1,2515 1,2656 1,4717 1,9027 2,5376 3,3132 4,1283 4,8487 5,3526 5,5754 5,5008 5,1323 4,4937 3,6561 2,7649 2,0222 1,6092 1,6047 1,9619 2,5417 3,1612 3,6486 3,8995 3,8900 3,6449 3,2150 2,6878 2,1915 1,8623 1,8035 2,0796 2,7190 3,6670 4,7375 5,6512 6,1551 6,1472 5,7161 5,0623 4,3783 3,8129 3,4987 3,5067 3,7433 3,9715 3,9737 3,6924 3,2413 2,8143 2,5526 2,4578 2,4221 2,3348 2,1580 1,9365 1,7669 1,7382 1,8630 2,0647 2,2288 2,2531 2,0725 1,6736 1,1003 0,4610 -0,0803 -0,3731 -0,3454 0,0031 0,6131 1,3635 2,1273 2,8315 3,4225 3,8110 3,9373 3,8750 3,7916 3,8292 4,0522 4,4383 4,8670 5,1592 5,1522 4,7666 4,0570 3,2186 2,5006 2,0826 2,0148 2,2512 2,7201 3,3533 4,0545 4,6819 5,1200 5,3735 5,5619 5,7988 6,0584 6,1563 5,8814 5,1710 4,1658 3,1139 2,2382 1,6743 1,4747 1,6269 2,0523 2,6146 3,1610 3,5522 3,6720 3,4592 2,9430 2,2497 1,5845 1,1531 1,0266 1,0963 1,1754 1,1252 0,9233 0,6562 0,4194 0,2213 -0,0036 -0,3117 -0,6992 -1,1013 -1,4250 -1,5893 -1,5348 -1,2263 -0,6922 -0,0448 0,5640 1,0071 1,2333 1,2775 1,2093 1,0756 0,8925 0,6654 0,4140 0,1761 -0,0232 -0,1900 -0,3419 -0,4769 -0,5592 -0,5381 -0,3919 -0,1569 0,0794 0,2175 0,2020 0,0443 -0,2073 -0,4973 -0,7532 -0,8650 -0,7110 -0,2441
