Fp1   2,3479 2,8024 3,2604 3,6843 4,0227 4,2331 4,3010 4,2383 4,0653 3,7996 3,4604 3,0738 2,6713 2,2863 1,9439 1,6421 1,3566 1,0681 0,7765 0,4863 0,2008 -0,0682 -0,3006 -0,4813 -0,6054 -0,6816 -0,7365 -0,8102 -0,9392 -1,1357 -1,3845 -1,6647 -1,9651 -2,2742 -2,5711 -2,8338 -3,0491 -3,2076 -3,2952 -3,3015 -3,2339 -3,1176 -2,9814 -2,8449 -2,7095 -2,5528 -2,3324 -2,0090 -1,5748 -1,0596 -0,5117 0,0204 0,4976 0,8945 1,1972 1,3990 1,5061 1,5411 1,5280 1,4725 1,3672 1,2150 1,0374 0,8610 0,7081 0,6011 0,5593 0,5859 0,6625 0,7550 0,8295 0,8680 0,8759 0,8767 0,8960 0,9422 0,9982 1,0313 1,0134 0,9335 0,8015 0,6407 0,4708 0,2956 0,1078 -0,0963 -0,3062 -0,4916 -0,6115 -0,6429 -0,5932 -0,4819 -0,3245 -0,1433 0,0224 0,1317 0,1670 0,1413 0,0906 0,0648 0,1083 0,2387 0,4478 0,7231 1,0551 1,4231 1,7927 2,1395 2,4584 2,7501 3,0157 3,2590 3,4809 3,6711 3,8123 3,8901 3,8940 3,8127 3,6349 3,3597 3,0057 2,6109 2,2227 1,8962 1,6897 1,6383 1,7332 1,9345 2,2013 2,5076 2,8357 3,1640 3,4666 3,7233 3,9246 4,0750 4,1948 4,3153 4,4639 4,6511 4,8656 5,0876 5,3062 5,5235 5,7493 5,9969 6,2668 6,5271 6,7249 6,8253 6,8421 6,8287 6,8331 6,8654 6,9095 6,9544 7,0062 7,0741 7,1525 7,2189 7,2486 7,2314 7,1747 7,0920 6,9869 6,8471 6,6635 6,4552 6,2702 6,1644 6,1799 6,3329 6,6036 6,9336 7,2418 7,4524 7,5195 7,4363 7,2328 6,9694 6,7213 6,5469 6,4647 6,4537 6,4725 6,4825 6,4654 6,4303 6,4062 6,4227 6,4924 6,6051 6,7312 6,8326 6,8804 6,8649 6,7942 6,6844 6,5564 6,4338 6,3317 6,2509 6,1871 6,1369 6,0963 6,0665 6,0560 6,0771 6,1406 6,2440 6,3607 6,4516 6,4945 6,4904 6,4418 6,3393 6,1740 5,9454 5,6559 5,3100 4,9160 4,4803 4,0087 3,5177 3,0384 2,6001 2,2096 1,8442 1,4693 1,0696 0,6690 0,3198 0,0660 -0,0890 -0,1817 -0,2541 -0,3251 -0,3883 -0,4256 -0,4249 -0,3823 -0,2941 -0,1632 -0,0125 0,1307 0,2567 0,3779 0,5301 0,7581 1,0749 1,4450 1,8168 2,1588 2,4586 2,7015 2,8631 2,9277 2,9071 2,8462 2,8095 2,8473 2,9566 3,0835 3,1618 3,1372 2,9676 2,6338 2,1593 1,6075 1,0537 0,5580 0,1530 -0,1570 -0,3901 -0,5746 -0,7315 -0,8638 -0,9672 -1,0485 -1,1278 -1,2236 -1,3510 -1,5304 -1,7825 -2,1068 -2,4676 -2,8112 -3,0899 -3,2737 -3,3565 -3,3614 -3,3252 -3,2715 -3,1953 -3,0717 -2,8769 -2,6031 -2,2634 -1,8867 -1,5053 -1,1477 -0,8318 -0,5511 -0,2725 0,0384 0,3947 0,7859 1,1864 1,5649 1,8960 2,1672 2,3703 2,4925 2,5321 2,5146 2,4773 2,4493 2,4481 2,4771 2,5286 2,5846 2,6152 2,5917 2,5040 2,3515 2,1254 1,8088 1,3952 0,9069 0,3990 -0,0606 -0,4221 -0,6743 -0,8409 -0,9609 -1,0665 -1,1666 -1,2378 -1,2338 -1,1150 -0,8764 -0,5612 -0,2477 -0,0047 0,1517 0,2502 0,3141 0,3378 0,3171 0,2834 0,2878 0,3562 0,4635 0,5487 0,5546 0,4575 0,2747 0,0517 -0,1573 -0,3111 -0,3987 -0,4446 -0,5001 -0,6106 -0,7823 -0,9802 -1,1615 -1,2983 -1,3748 -1,3870 -1,3532 -1,3133 -1,2978 -1,2828 -1,1886 -0,9467 -0,5546 -0,0597 0,4824 1,0242 1,5230 1,9454 2,2760 2,5178 2,6884 2,8124 2,9058 2,9619 2,9539 2,8569 2,6701 2,4155 2,1241 1,8357 1,5946 1,4269 1,3276 1,2749 1,2453 1,2182 1,1805 1,1329 1,0865 1,0577 1,0649 1,1122 1,1815 1,2501 1,3020 1,3318 1,3509 1,3810 1,4341 1,4996 1,5394 1,4983 1,3475 1,1287 0,9341 0,8300 0,8083 0,8160 0,8228 0,8463 0,9162 1,0454 1,2385 1,5006 1,8263 2,1859 2,5277 2,8001 2,9735 3,0491 3,0616 3,0671 3,1032 3,1571 3,1839 3,1531 3,0645 2,9302 2,7674 2,6118 2,5104 2,4970 2,5854 2,7674 3,0098 3,2706 3,5357 3,8305 4,1884 4,6075 5,0426 5,4429 5,7936 6,1075 6,3909 6,6321 6,8009 6,8503 6,7514 6,5303 6,2519 5,9850 5,7910 5,7083 5,7309 5,8142 5,9007 5,9489 5,9461 5,8935 5,7857 5,6143 5,3838 5,1210 4,8651 4,6473 4,4860 4,3908 4,3530 4,3382 4,3059 4,2367 4,1405 4,0473 3,9845 3,9577 3,9563 3,9746 4,0176 4,0911 4,1929 4,3157 4,4606 4,6350 4,8342 5,0303 5,1826 5,2544 5,2308 5,1269 4,9693 4,7772 4,5802 4,4261 4,3411 4,3101 4,3083 4,3240 4,3563 4,4114 4,4945 4,5930 4,6762 4,7195 4,7249 4,7090 4,6760 4,6248 4,5846 4,6122 4,7463 4,9751 5,2419 5,4803 5,6511 5,7534 5,8126 5,8649 5,9409 6,0519 6,1889 6,3265 6,4301 6,4761 6,4686 6,4340 6,4024 6,3875 6,3773 6,3468 6,2719 6,1325 5,9116 5,6042 5,2339 4,8563 4,5358 4,3207 4,2332 4,2682 4,3952 4,5638 4,7239 4,8494 4,9415 5,0096 5,0560 5,0765 5,0602 4,9839 4,8133 4,5238 4,1268 3,6742 3,2334 2,8515 2,5409 2,2960 2,1218 2,0416 2,0679 2,1668 2,2678 2,3104 2,2772 2,1873 2,0768 1,9923 1,9836 2,0808 2,2769 2,5320 2,7927 3,0114 3,1630 3,2547 3,3137 3,3657 3,4191 3,4605 3,4633 3,3975 3,2268 2,9164 2,4605 1,8936
Fz    2,8392 3,3501 3,8022 4,1739 4,4386 4,5715 4,5593 4,4090 4,1433 3,7901 3,3796 2,9458 2,5251 2,1517 1,8468 1,6041 1,3963 1,2058 1,0361 0,8935 0,7742 0,6740 0,5961 0,5439 0,5105 0,4743 0,3972 0,2296 -0,0684 -0,4972 -1,0136 -1,5595 -2,0870 -2,5634 -2,9682 -3,2963 -3,5580 -3,7663 -3,9256 -4,0354 -4,0974 -4,1129 -4,0787 -3,9884 -3,8328 -3,5989 -3,2703 -2,8388 -2,3252 -1,7794 -1,2536 -0,7756 -0,3510 0,0174 0,3187 0,5445 0,7026 0,8110 0,8779 0,8912 0,8344 0,7110 0,5511 0,3906 0,2529 0,1531 0,1024 0,0995 0,1223 0,1368 0,1215 0,0869 0,0692 0,1077 0,2245 0,4131 0,6383 0,8493 1,0001 1,0651 1,0492 0,9832 0,9006 0,8138 0,7146 0,5894 0,4320 0,2544 0,0872 -0,0401 -0,1117 -0,1172 -0,0459 0,1012 0,2976 0,4979 0,6622 0,7714 0,8314 0,8723 0,9387 1,0682 1,2805 1,5805 1,9587 2,3812 2,7945 3,1561 3,4500 3,6762 3,8397 3,9514 4,0251 4,0672 4,0735 4,0364 3,9488 3,8021 3,5882 3,3043 2,9597 2,5810 2,2150 1,9248 1,7695 1,7692 1,8939 2,0933 2,3331 2,6025 2,8913 3,1749 3,4290 3,6468 3,8363 4,0069 4,1658 4,3194 4,4740 4,6336 4,8006 4,9777 5,1657 5,3611 5,5604 5,7664 5,9763 6,1605 6,2687 6,2652 6,1572 5,9912 5,8224 5,6887 5,6089 5,5931 5,6448 5,7499 5,8714 5,9661 6,0073 5,9960 5,9550 5,9102 5,8693 5,8148 5,7246 5,6018 5,4841 5,4235 5,4629 5,6289 5,9260 6,3254 6,7668 7,1780 7,4953 7,6761 7,7077 7,6125 7,4439 7,2654 7,1285 7,0595 7,0581 7,1062 7,1833 7,2795 7,3995 7,5513 7,7298 7,9155 8,0819 8,1983 8,2319 8,1641 8,0058 7,7918 7,5633 7,3548 7,1867 7,0662 6,9973 6,9828 7,0210 7,1090 7,2425 7,4089 7,5870 7,7525 7,8785 7,9366 7,9106 7,8044 7,6300 7,3924 7,0881 6,7108 6,2582 5,7380 5,1674 4,5697 3,9706 3,3948 2,8622 2,3803 1,9333 1,4812 0,9817 0,4240 -0,1561 -0,6968 -1,1442 -1,4758 -1,6978 -1,8252 -1,8737 -1,8621 -1,8143 -1,7552 -1,7008 -1,6505 -1,5938 -1,5227 -1,4278 -1,2911 -1,0895 -0,7983 -0,4022 0,0842 0,6157 1,1465 1,6531 2,1252 2,5412 2,8635 3,0578 3,1174 3,0712 2,9763 2,8887 2,8268 2,7650 2,6603 2,4711 2,1582 1,6952 1,0877 0,3769 -0,3793 -1,1254 -1,8158 -2,4164 -2,9045 -3,2747 -3,5411 -3,7301 -3,8735 -4,0043 -4,1473 -4,3074 -4,4766 -4,6525 -4,8471 -5,0732 -5,3249 -5,5751 -5,7896 -5,9411 -6,0177 -6,0271 -5,9883 -5,9145 -5,7991 -5,6167 -5,3460 -4,9912 -4,5875 -4,1835 -3,8182 -3,5065 -3,2352 -2,9633 -2,6391 -2,2255 -1,7132 -1,1213 -0,4934 0,1158 0,6572 1,1018 1,4444 1,6947 1,8720 2,0014 2,1004 2,1752 2,2272 2,2539 2,2492 2,2077 2,1268 2,0078 1,8499 1,6359 1,3310 0,9010 0,3298 -0,3689 -1,1417 -1,9032 -2,5679 -3,0832 -3,4379 -3,6521 -3,7600 -3,7911 -3,7505 -3,6167 -3,3670 -3,0064 -2,5768 -2,1398 -1,7407 -1,3851 -1,0543 -0,7446 -0,4844 -0,3040 -0,1979 -0,1299 -0,0713 -0,0253 -0,0127 -0,0483 -0,1284 -0,2303 -0,3260 -0,3982 -0,4447 -0,4747 -0,5113 -0,5927 -0,7570 -1,0124 -1,3265 -1,6490 -1,9344 -2,1445 -2,2551 -2,2689 -2,2165 -2,1335 -2,0275 -1,8721 -1,6409 -1,3347 -0,9689 -0,5540 -0,1031 0,3564 0,7876 1,1587 1,4529 1,6682 1,8039 1,8456 1,7663 1,5429 1,1828 0,7366 0,2761 -0,1399 -0,4766 -0,7224 -0,8854 -0,9797 -1,0141 -0,9979 -0,9458 -0,8702 -0,7761 -0,6667 -0,5462 -0,4150 -0,2736 -0,1302 0,0041 0,1227 0,2243 0,3081 0,3690 0,4015 0,4060 0,3804 0,3118 0,1973 0,0726 -0,0072 -0,0216 -0,0032 0,0026 -0,0113 -0,0144 0,0212 0,1027 0,2322 0,4154 0,6488 0,9016 1,1194 1,2497 1,2691 1,1951 1,0841 1,0074 1,0063 1,0645 1,1290 1,1537 1,1202 1,0325 0,9144 0,8112 0,7739 0,8341 0,9977 1,2507 1,5659 1,9165 2,3012 2,7500 3,2949 3,9338 4,6258 5,3189 5,9762 6,5704 7,0740 7,4686 7,7467 7,9011 7,9330 7,8670 7,7411 7,5948 7,4719 7,4049 7,3854 7,3669 7,2998 7,1629 6,9698 6,7480 6,5208 6,3060 6,1130 5,9374 5,7643 5,5820 5,3966 5,2288 5,0892 4,9612 4,8116 4,6117 4,3547 4,0620 3,7695 3,5067 3,2869 3,1155 3,0014 2,9553 2,9777 3,0577 3,1842 3,3514 3,5507 3,7595 3,9406 4,0510 4,0635 3,9840 3,8378 3,6491 3,4531 3,3045 3,2435 3,2732 3,3758 3,5289 3,7117 3,9143 4,1376 4,3747 4,5998 4,7798 4,8961 4,9489 4,9473 4,9160 4,9080 4,9853 5,1790 5,4692 5,7967 6,0948 6,3194 6,4570 6,5202 6,5472 6,5931 6,7012 6,8783 7,0938 7,2977 7,4475 7,5251 7,5359 7,4989 7,4348 7,3545 7,2609 7,1564 7,0353 6,8736 6,6419 6,3412 6,0158 5,7246 5,5133 5,4112 5,4315 5,5619 5,7555 5,9453 6,0782 6,1334 6,1124 6,0219 5,8711 5,6710 5,4243 5,1182 4,7335 4,2664 3,7445 3,2176 2,7292 2,2962 1,9194 1,6100 1,3952 1,2885 1,2561 1,2260 1,1358 0,9704 0,7582 0,5490 0,4017 0,3717 0,4879 0,7339 1,0532 1,3733 1,6356 1,8123 1,9072 1,9463 1,9631 1,9806 2,0002 2,0088 1,9843 1,8882 1,6764 1,3298 0,8666
F3    3,4614 3,9687 4,4056 4,7473 4,9773 5,0872 5,0807 4,9726 4,7787 4,5045 4,1470 3,7085 3,2107 2,6976 2,2171 1,7945 1,4344 1,1415 0,9196 0,7523 0,6046 0,4516 0,2952 0,1527 0,0358 -0,0636 -0,1792 -0,3601 -0,6469 -1,0451 -1,5241 -2,0401 -2,5556 -3,0389 -3,4595 -3,7938 -4,0300 -4,1634 -4,1935 -4,1368 -4,0337 -3,9329 -3,8645 -3,8268 -3,7876 -3,6922 -3,4789 -3,1079 -2,5931 -1,9989 -1,4031 -0,8635 -0,4112 -0,0579 0,1958 0,3633 0,4784 0,5845 0,7021 0,8080 0,8519 0,8029 0,6746 0,5070 0,3435 0,2284 0,1999 0,2666 0,3943 0,5227 0,6036 0,6275 0,6218 0,6293 0,6864 0,8077 0,9812 1,1772 1,3572 1,4813 1,5222 1,4792 1,3708 1,2183 1,0399 0,8521 0,6725 0,5263 0,4375 0,4043 0,3981 0,3920 0,3809 0,3743 0,3784 0,3915 0,4108 0,4359 0,4717 0,5342 0,6415 0,7983 0,9975 1,2353 1,5125 1,8181 2,1269 2,4203 2,6971 2,9596 3,2032 3,4248 3,6264 3,8043 3,9403 4,0123 4,0072 3,9202 3,7453 3,4724 3,0991 2,6432 2,1507 1,6990 1,3775 1,2454 1,3086 1,5364 1,8880 2,3234 2,7968 3,2527 3,6435 3,9479 4,1734 4,3474 4,5076 4,6887 4,9081 5,1614 5,4287 5,6887 5,9279 6,1463 6,3629 6,6102 6,9002 7,1908 7,4013 7,4672 7,3798 7,1843 6,9444 6,7110 6,5185 6,3945 6,3569 6,3960 6,4629 6,4855 6,4063 6,2114 5,9346 5,6328 5,3519 5,1097 4,9056 4,7434 4,6433 4,6291 4,7157 4,9118 5,2147 5,5921 5,9838 6,3263 6,5748 6,7038 6,7000 6,5680 6,3413 6,0734 5,8160 5,6076 5,4755 5,4369 5,4959 5,6469 5,8803 6,1796 6,5099 6,8190 7,0536 7,1796 7,1961 7,1334 7,0381 6,9507 6,8913 6,8607 6,8436 6,8187 6,7758 6,7197 6,6619 6,6208 6,6165 6,6546 6,7187 6,7762 6,7843 6,7054 6,5330 6,3022 6,0622 5,8405 5,6335 5,4175 5,1588 4,8271 4,4015 3,8761 3,2702 2,6316 2,0206 1,4855 1,0411 0,6592 0,2862 -0,1201 -0,5613 -1,0023 -1,4005 -1,7329 -1,9919 -2,1658 -2,2354 -2,1907 -2,0451 -1,8353 -1,6068 -1,3928 -1,2075 -1,0508 -0,9102 -0,7637 -0,5838 -0,3328 0,0263 0,4942 1,0211 1,5386 2,0029 2,3989 2,7176 2,9422 3,0572 3,0634 2,9839 2,8590 2,7252 2,5902 2,4342 2,2357 1,9836 1,6684 1,2821 0,8323 0,3441 -0,1553 -0,6466 -1,1164 -1,5477 -1,9182 -2,2086 -2,4052 -2,4999 -2,4999 -2,4392 -2,3752 -2,3643 -2,4397 -2,6117 -2,8821 -3,2410 -3,6514 -4,0529 -4,3806 -4,5844 -4,6500 -4,6040 -4,4947 -4,3609 -4,2098 -4,0202 -3,7684 -3,4489 -3,0786 -2,6969 -2,3554 -2,0942 -1,9176 -1,7860 -1,6319 -1,3918 -1,0307 -0,5538 -0,0048 0,5506 1,0456 1,4272 1,6644 1,7551 1,7384 1,6863 1,6630 1,6979 1,7837 1,8820 1,9388 1,9090 1,7782 1,5630 1,2893 0,9701 0,6087 0,2047 -0,2532 -0,7842 -1,3842 -2,0073 -2,5887 -3,0799 -3,4580 -3,7177 -3,8688 -3,9291 -3,8986 -3,7480 -3,4497 -3,0216 -2,5320 -2,0606 -1,6496 -1,2825 -0,9087 -0,5003 -0,0861 0,2845 0,5975 0,8723 1,1137 1,2879 1,3421 1,2410 0,9943 0,6593 0,3100 0,0037 -0,2325 -0,4096 -0,5801 -0,8170 -1,1679 -1,6113 -2,0624 -2,4294 -2,6567 -2,7263 -2,6564 -2,5116 -2,3924 -2,3858 -2,4936 -2,6118 -2,6057 -2,3985 -1,9859 -1,4120 -0,7576 -0,1213 0,4169 0,8195 1,0880 1,2471 1,3258 1,3431 1,3000 1,1817 0,9804 0,7193 0,4403 0,1803 -0,0281 -0,1530 -0,1806 -0,1220 -0,0078 0,1153 0,1981 0,2105 0,1479 0,0228 -0,1383 -0,2852 -0,3556 -0,3114 -0,1638 0,0380 0,2336 0,3685 0,4009 0,3190 0,1561 -0,0315 -0,2110 -0,3730 -0,4851 -0,4930 -0,3877 -0,2404 -0,1425 -0,1141 -0,0931 -0,0073 0,1818 0,4870 0,8970 1,3662 1,8193 2,1710 2,3498 2,3264 2,1390 1,8875 1,6898 1,6191 1,6690 1,7724 1,8515 1,8536 1,7587 1,5864 1,4056 1,3084 1,3647 1,5973 1,9808 2,4525 2,9428 3,4124 3,8684 4,3418 4,8536 5,4045 5,9896 6,6084 7,2488 7,8698 8,4098 8,7971 8,9612 8,8726 8,5750 8,1560 7,7114 7,3419 7,1232 7,0588 7,0857 7,1217 7,1045 7,0071 6,8268 6,5726 6,2670 5,9432 5,6274 5,3247 5,0253 4,7297 4,4574 4,2212 4,0020 3,7612 3,4759 3,1605 2,8583 2,6151 2,4547 2,3689 2,3292 2,3106 2,3042 2,3166 2,3707 2,5011 2,7349 3,0662 3,4421 3,7735 3,9713 3,9940 3,8681 3,6576 3,4285 3,2578 3,2274 3,3692 3,6403 3,9607 4,2529 4,4709 4,6221 4,7526 4,8956 5,0444 5,1705 5,2513 5,2749 5,2251 5,0957 4,9263 4,7929 4,7546 4,8224 4,9669 5,1444 5,3191 5,4640 5,5543 5,5804 5,5645 5,5545 5,5977 5,7115 5,8761 6,0552 6,2162 6,3312 6,3763 6,3366 6,2113 6,0253 5,8244 5,6359 5,4395 5,1919 4,8811 4,5462 4,2438 4,0162 3,8909 3,8825 3,9831 4,1590 4,3680 4,5781 4,7705 4,9263 5,0230 5,0444 4,9832 4,8344 4,5977 4,2841 3,9161 3,5296 3,1631 2,8288 2,4987 2,1344 1,7382 1,3717 1,1084 0,9648 0,8925 0,8293 0,7425 0,6313 0,5164 0,4387 0,4526 0,5965 0,8615 1,1941 1,5327 1,8404 2,1029 2,3078 2,4415 2,5019 2,5000 2,4492 2,3625 2,2486 2,0958 1,8711 1,5461 1,1150
F7    1,9291 2,2960 2,6343 2,9456 3,2258 3,4505 3,5854 3,6195 3,5811 3,5155 3,4447 3,3422 3,1558 2,8536 2,4272 1,8892 1,3089 0,8073 0,4827 0,3584 0,3822 0,4676 0,5456 0,5782 0,5367 0,3920 0,1271 -0,2574 -0,7453 -1,2921 -1,8211 -2,2554 -2,5543 -2,7254 -2,8181 -2,9003 -3,0224 -3,1847 -3,3355 -3,4062 -3,3655 -3,2344 -3,0527 -2,8445 -2,6179 -2,3731 -2,0933 -1,7465 -1,3297 -0,9064 -0,5744 -0,4014 -0,3872 -0,4715 -0,5789 -0,6570 -0,6782 -0,6253 -0,4955 -0,3268 -0,1979 -0,1681 -0,2260 -0,3158 -0,3925 -0,4341 -0,4288 -0,3816 -0,3296 -0,3114 -0,3123 -0,2704 -0,1409 0,0725 0,3320 0,5809 0,7566 0,8188 0,7646 0,6158 0,4141 0,2123 0,0309 -0,1697 -0,4487 -0,8259 -1,2574 -1,6418 -1,8562 -1,8326 -1,6180 -1,3472 -1,1450 -1,0445 -0,9898 -0,9079 -0,7667 -0,5693 -0,3194 -0,0124 0,3460 0,7271 1,0985 1,4472 1,7674 2,0449 2,2715 2,4679 2,6683 2,8739 3,0491 3,1694 3,2468 3,3023 3,3321 3,3082 3,2042 3,0014 2,6801 2,2325 1,6848 1,0947 0,5485 0,1687 0,0670 0,2682 0,6998 1,2497 1,8180 2,3471 2,8338 3,3097 3,7939 4,2617 4,6673 4,9908 5,2502 5,4786 5,7043 5,9405 6,1900 6,4545 6,7286 7,0002 7,2782 7,5874 7,9053 8,1373 8,1951 8,0869 7,9085 7,7616 7,6892 7,6669 7,6557 7,6555 7,6859 7,7230 7,6844 7,4848 7,0977 6,5696 5,9990 5,4891 5,0838 4,7497 4,4252 4,0915 3,8121 3,6870 3,7717 4,0644 4,5231 5,0445 5,4799 5,7248 5,7766 5,6853 5,4812 5,1796 4,8258 4,4887 4,2067 3,9675 3,7484 3,5493 3,3708 3,2088 3,0978 3,1014 3,2520 3,5293 3,8713 4,1874 4,3940 4,4623 4,4267 4,3493 4,2788 4,2263 4,1642 4,0618 3,9177 3,7328 3,4902 3,1928 2,8810 2,6117 2,4325 2,3492 2,3057 2,2173 2,0402 1,8117 1,6087 1,4747 1,3973 1,3406 1,2863 1,2326 1,1439 0,9436 0,5791 0,0654 -0,5318 -1,1293 -1,6594 -2,1048 -2,5128 -2,9491 -3,4208 -3,8493 -4,1389 -4,2686 -4,2997 -4,3004 -4,2845 -4,2133 -4,0391 -3,7589 -3,4224 -3,0804 -2,7480 -2,4231 -2,1206 -1,8824 -1,7476 -1,6977 -1,6439 -1,4974 -1,2435 -0,9329 -0,6254 -0,3698 -0,2050 -0,1316 -0,0903 -0,0057 0,1538 0,3744 0,6257 0,8702 1,0733 1,2253 1,3359 1,4022 1,4014 1,3177 1,1578 0,9290 0,6239 0,2390 -0,2047 -0,6608 -1,0759 -1,4078 -1,6268 -1,7101 -1,6616 -1,5406 -1,4349 -1,3933 -1,4106 -1,4781 -1,6194 -1,8777 -2,2769 -2,7706 -3,2264 -3,5111 -3,5988 -3,5642 -3,4901 -3,4065 -3,3037 -3,1758 -3,0230 -2,8267 -2,5598 -2,2228 -1,8432 -1,4465 -1,0498 -0,6712 -0,3201 0,0144 0,3331 0,5958 0,7449 0,7348 0,5505 0,2417 -0,0926 -0,3735 -0,5650 -0,6471 -0,6104 -0,4750 -0,3078 -0,2129 -0,2872 -0,5539 -0,9253 -1,2556 -1,4405 -1,4576 -1,3547 -1,2400 -1,2561 -1,4996 -1,9492 -2,4902 -3,0003 -3,4033 -3,6690 -3,8015 -3,8287 -3,7857 -3,7062 -3,6120 -3,4957 -3,3312 -3,1048 -2,8422 -2,6094 -2,4723 -2,4537 -2,5269 -2,6299 -2,6844 -2,6329 -2,4812 -2,3056 -2,1929 -2,1580 -2,1522 -2,1369 -2,1176 -2,1394 -2,2559 -2,4723 -2,7278 -2,9517 -3,1267 -3,2882 -3,4796 -3,7303 -4,0438 -4,3804 -4,6728 -4,8684 -4,9484 -4,9387 -4,8844 -4,7755 -4,5430 -4,1650 -3,7181 -3,2973 -2,9183 -2,4957 -1,9267 -1,2177 -0,5061 0,0434 0,3448 0,4213 0,3586 0,2474 0,1719 0,1970 0,3408 0,5790 0,8594 1,0958 1,1976 1,1545 1,0381 0,8970 0,7181 0,4799 0,1535 -0,3210 -0,9665 -1,6806 -2,2585 -2,5170 -2,3998 -1,9763 -1,3711 -0,7181 -0,1479 0,2395 0,4157 0,4216 0,3155 0,1483 -0,0235 -0,1443 -0,2078 -0,2920 -0,4827 -0,7475 -0,9530 -0,9980 -0,8689 -0,5939 -0,2038 0,2610 0,7361 1,1284 1,3364 1,3086 1,0907 0,7957 0,5300 0,3578 0,3180 0,4415 0,7240 1,0699 1,3004 1,2753 1,0184 0,6899 0,4430 0,3513 0,4318 0,6686 1,0242 1,4519 1,9060 2,3568 2,8030 3,2792 3,8522 4,5558 5,3122 5,9623 6,3881 6,5809 6,5910 6,4376 6,1054 5,6302 5,1398 4,7858 4,6480 4,7115 4,9252 5,2419 5,5894 5,8414 5,8645 5,5925 5,0392 4,2624 3,3750 2,5595 1,9699 1,6315 1,4847 1,4790 1,5853 1,7552 1,9086 1,9716 1,9050 1,7042 1,4084 1,0945 0,8450 0,7287 0,7897 1,0243 1,3868 1,8358 2,3483 2,8826 3,3545 3,6661 3,7719 3,7160 3,5802 3,4230 3,3026 3,2935 3,4174 3,6079 3,7718 3,8466 3,8105 3,6852 3,5342 3,4260 3,3927 3,4350 3,5358 3,6627 3,7787 3,8464 3,8359 3,7461 3,6019 3,4368 3,2906 3,2095 3,2292 3,3394 3,4708 3,5346 3,4737 3,3023 3,1134 3,0160 3,0528 3,1909 3,3792 3,5778 3,7286 3,7563 3,6193 3,3367 2,9848 2,6654 2,4312 2,2390 1,9848 1,5928 1,0866 0,5791 0,1968 0,0167 0,0464 0,2505 0,5901 1,0335 1,5318 1,9885 2,2721 2,3051 2,1365 1,8941 1,6693 1,4685 1,2441 0,9405 0,5268 0,0206 -0,4942 -0,8869 -1,0457 -0,9318 -0,5857 -0,1095 0,3660 0,7326 0,9467 1,0182 0,9576 0,7544 0,4399 0,1429 0,0187 0,1153 0,3393 0,5525 0,6930 0,7870 0,8679 0,9359 0,9874 1,0340 1,0870 1,1368 1,1480 1,0666 0,8374 0,4308 -0,1307
