Fp1   1,1942 1,3080 1,5652 1,9124 2,2663 2,5430 2,6979 2,7436 2,7113 2,5916 2,3300 1,8876 1,2952 0,6411 0,0184 -0,5095 -0,9024 -1,1312 -1,1891 -1,1014 -0,9097 -0,6542 -0,3771 -0,1332 0,0205 0,0502 -0,0373 -0,1905 -0,3287 -0,3758 -0,2937 -0,1039 0,1106 0,2365 0,1925 -0,0232 -0,3469 -0,6978 -1,0230 -1,3149 -1,5761 -1,7662 -1,8190 -1,7205 -1,5452 -1,4177 -1,4369 -1,6043 -1,8211 -1,9654 -1,9595 -1,7797 -1,4559 -1,0781 -0,7767 -0,6662 -0,7909 -1,1080 -1,5077 -1,8649 -2,0930 -2,1667 -2,1095 -1,9739 -1,8338 -1,7700 -1,8342 -2,0267 -2,3086 -2,6265 -2,9267 -3,1683 -3,3330 -3,4207 -3,4446 -3,4318 -3,4140 -3,4124 -3,4345 -3,4774 -3,5288 -3,5791 -3,6461 -3,7670 -3,9509 -4,1459 -4,2659 -4,2582 -4,1387 -3,9613 -3,7791 -3,6362 -3,5677 -3,5877 -3,6730 -3,7631 -3,7878 -3,6975 -3,4698 -3,1037 -2,6121 -2,0194 -1,3582 -0,6642 0,0303 0,7010 1,3382 1,9471 2,5381 3,1065 3,6178 4,0212 4,2898 4,4344 4,4681 4,3790 4,1583 3,8328 3,4448 3,0142 2,5380 2,0172 1,4732 0,9393 0,4383 -0,0285 -0,4659 -0,8470 -1,0965 -1,1453 -1,0098 -0,7892 -0,5930 -0,4942 -0,5248 -0,6770 -0,9098 -1,1640 -1,3714 -1,4553 -1,3394 -0,9825 -0,4216 0,2212 0,7789 1,0968 1,0863 0,7602 0,2151 -0,4361 -1,1066 -1,7093 -2,1326 -2,2739 -2,0892 -1,6062 -0,9082 -0,1137 0,6479 1,2728 1,7079 1,9457 2,0014 1,8945 1,6547 1,3423 1,0427 0,8335 0,7569 0,8081 0,9399 1,1016 1,2936 1,5610 1,9230 2,3249 2,6627 2,8453 2,8473 2,7201 2,5567 2,4296 2,3441 2,2559 2,1330 1,9949 1,9044 1,9256 2,0841 2,3625 2,7186 3,0980 3,4503 3,7544 4,0182 4,2421 4,3874 4,3778 4,1304 3,6083 2,8674 2,0547 1,3458 0,8630 0,6264 0,5733 0,6303 0,7549 0,9075 1,0238 1,0473 0,9799 0,8844 0,8423 0,9065 1,0724 1,2789 1,4478 1,5324 1,5366 1,5008 1,4733 1,4788 1,5067 1,5333 1,5385 1,4927 1,3526 1,0913 0,7301 0,3279 -0,0586 -0,3947 -0,6554 -0,8087 -0,8235 -0,6963 -0,4610 -0,1734 0,1053 0,3085 0,3761 0,2935 0,1167 -0,0458 -0,0839 0,0543 0,3323 0,6577 0,9451 1,1481 1,2505 1,2517 1,1631 1,0077 0,8158 0,6208 0,4569 0,3644 0,3903 0,5612 0,8620 1,2621 1,7479 2,3124 2,9369 3,5849 4,1905 4,6576 4,8909 4,8388 4,5110 3,9593 3,2527 2,4682 1,6859 0,9815 0,4092 -0,0187 -0,3132 -0,4738 -0,4915 -0,3673 -0,1112 0,2581 0,7070 1,1899 1,6531 2,0432 2,3342 2,5377 2,6726 2,7416 2,7444 2,6903 2,5968 2,4878 2,3937 2,3416 2,3347 2,3378 2,2883 2,1383 1,8996 1,6454 1,4728 1,4633 1,6472 1,9812 2,3656 2,6926 2,8867 2,9118 2,7576 2,4413 2,0223 1,5914 1,2349 1,0035 0,9054 0,9234 1,0387 1,2391 1,5102 1,8296 2,1674 2,4899 2,7679 2,9920 3,1821 3,3830 3,6325 3,9184 4,1778 4,3471 4,4007 4,3479 4,2155 4,0322 3,8226 3,6131 3,4369 3,3281 3,3124 3,3961 3,5529 3,7325 3,8935 4,0196 4,1036 4,1277 4,0771 3,9651 3,8302 3,7064 3,5997 3,4971 3,3950 3,3100 3,2656 3,2718 3,3129 3,3510 3,3513 3,3134 3,2796 3,3078 3,4324 3,6332 3,8308 3,9307 3,8935 3,7670 3,6456 3,5951 3,6163 3,6802 3,7908 3,9953 4,3315 4,7945 5,3484 5,9404 6,5009 6,9546 7,2470 7,3633 7,3231 7,1678 6,9548 6,7459 6,5721 6,4118 6,2246 6,0095 5,8271 5,7740 5,9371 6,3438 6,9310 7,5640 8,0984 8,4519 8,6431 8,7652 8,9208 9,1673 9,4874 9,7898 9,9463 9,8580 9,5018 8,9231 8,2074 7,4634 6,8005 6,3016 6,0143 5,9496 6,0894 6,4075 6,8662 7,3885 7,8678 8,2232 8,4385 8,5412 8,5645 8,5448 8,5296 8,5590 8,6428 8,7643 8,8955 8,9914 8,9862 8,8278 8,5256 8,1408 7,7297 7,3159 6,9120 6,5493 6,2878 6,1963 6,3109 6,6017 6,9721 7,2963 7,4763 7,4823 7,3519 7,1600 6,9837 6,8758 6,8547 6,9109 7,0155 7,1311 7,2342 7,3235 7,3958 7,4307 7,4103 7,3298 7,1852 6,9798 6,7433 6,5190 6,3334 6,1877 6,0693 5,9616 5,8619 5,8009 5,8295 5,9817 6,2595 6,6422 7,0980 7,5967 8,1180 8,6400 9,1269 9,5366 9,8389 10,0337 10,1646 10,3014 10,4863 10,7000 10,8868 10,9996 11,0141 10,9165 10,6874 10,2972 9,7272 9,0039 8,2043 7,4231 6,7378 6,1968 5,8178 5,5934 5,4941 5,4715 5,4829 5,5281 5,6478 5,8841 6,2484 6,7148 7,2346 7,7608 8,2614 8,7092 9,0672 9,2901 9,3358 9,1814 8,8385 8,3576 7,8243 7,3438 7,0057 6,8489 6,8522 6,9508 7,0722 7,1717 7,2360 7,2587 7,2285 7,1474 7,0414 6,9404 6,8616 6,8336 6,9129 7,1494 7,5557 8,1139 8,7736 9,4426 10,0166 10,4173 10,5934 10,5231 10,2496 9,8897 9,5810 9,4213 9,4385 9,5965 9,8202 10,0235 10,1424 10,1566 10,0754 9,9153 9,6961 9,4430 9,1747 8,8932 8,5934 8,2803 7,9733 7,7045 7,5179 7,4534 7,5120 7,6402 7,7595 7,8021 7,7213 7,4989 7,1719 6,8310 6,5650 6,4191 6,4164 6,5750 6,8799 7,2688 7,6624 8,0029 8,2694 8,4681 8,6049 8,6717 8,6549 8,5434 8,3292 8,0189 7,6408 7,2223 6,7709 6,2936 5,8322
Fz    2,2111 2,0451 1,9080 1,8054 1,7253 1,6490 1,5700 1,4990 1,4447 1,3814 1,2464 0,9859 0,6030 0,1563 -0,2804 -0,6489 -0,9109 -1,0476 -1,0675 -1,0086 -0,9255 -0,8709 -0,8793 -0,9549 -1,0736 -1,2047 -1,3265 -1,4195 -1,4574 -1,4147 -1,2823 -1,0774 -0,8407 -0,6198 -0,4467 -0,3253 -0,2333 -0,1376 -0,0232 0,0922 0,1853 0,2629 0,3473 0,4273 0,4467 0,3479 0,1239 -0,1585 -0,3824 -0,4462 -0,3193 -0,0473 0,2734 0,5271 0,6172 0,5017 0,2064 -0,1886 -0,5796 -0,8809 -1,0499 -1,0828 -1,0026 -0,8537 -0,7068 -0,6555 -0,7720 -1,0530 -1,4266 -1,8130 -2,1680 -2,4792 -2,7446 -2,9613 -3,1224 -3,2253 -3,2895 -3,3513 -3,4341 -3,5300 -3,6144 -3,6773 -3,7373 -3,8160 -3,9014 -3,9459 -3,9093 -3,7982 -3,6585 -3,5285 -3,4192 -3,3358 -3,2997 -3,3390 -3,4603 -3,6289 -3,7783 -3,8416 -3,7746 -3,5592 -3,2038 -2,7448 -2,2406 -1,7535 -1,3290 -0,9852 -0,7145 -0,4896 -0,2759 -0,0545 0,1644 0,3613 0,5360 0,7037 0,8687 1,0178 1,1360 1,2106 1,2223 1,1443 0,9552 0,6481 0,2374 -0,2340 -0,6926 -1,0539 -1,2518 -1,2488 -1,0279 -0,6094 -0,0796 0,4303 0,8099 1,0107 1,0389 0,9304 0,7334 0,5021 0,2949 0,1673 0,1621 0,2976 0,5494 0,8368 1,0387 1,0461 0,8211 0,4145 -0,0810 -0,5944 -1,0860 -1,5042 -1,7659 -1,7908 -1,5484 -1,0690 -0,4243 0,2911 0,9800 1,5757 2,0639 2,4693 2,8244 3,1441 3,4199 3,6424 3,8266 4,0093 4,2272 4,4901 4,7722 5,0355 5,2677 5,4811 5,6728 5,8020 5,8071 5,6425 5,3168 4,9087 4,5345 4,2808 4,1549 4,1050 4,0761 4,0394 3,9817 3,8941 3,7816 3,6761 3,6220 3,6461 3,7515 3,9291 4,1539 4,3733 4,5094 4,4804 4,2301 3,7575 3,1263 2,4503 1,8553 1,4282 1,1851 1,0825 1,0662 1,1076 1,1897 1,2768 1,3230 1,3086 1,2574 1,2147 1,2128 1,2521 1,3034 1,3320 1,3268 1,3084 1,3093 1,3468 1,4069 1,4497 1,4366 1,3546 1,2097 1,0031 0,7234 0,3744 -0,0010 -0,3435 -0,6170 -0,8113 -0,9236 -0,9523 -0,9067 -0,8129 -0,7056 -0,6167 -0,5774 -0,6171 -0,7378 -0,8911 -0,9922 -0,9631 -0,7717 -0,4435 -0,0462 0,3415 0,6520 0,8361 0,8689 0,7604 0,5510 0,2916 0,0248 -0,2173 -0,4042 -0,5043 -0,5039 -0,4232 -0,2924 -0,1128 0,1410 0,4842 0,8945 1,3122 1,6626 1,8825 1,9301 1,7851 1,4524 0,9711 0,4116 -0,1419 -0,6104 -0,9370 -1,1012 -1,1131 -0,9905 -0,7487 -0,4025 0,0315 0,5256 1,0332 1,4986 1,8769 2,1533 2,3448 2,4843 2,5950 2,6769 2,7170 2,7119 2,6748 2,6302 2,6081 2,6333 2,7064 2,7995 2,8689 2,8780 2,8238 2,7532 2,7435 2,8580 3,1090 3,4529 3,8171 4,1367 4,3718 4,4960 4,4831 4,3200 4,0343 3,6950 3,3805 3,1435 2,9954 2,9133 2,8658 2,8377 2,8394 2,8982 3,0395 3,2658 3,5563 3,8878 4,2505 4,6419 5,0470 5,4266 5,7296 5,9236 6,0116 6,0199 5,9767 5,8954 5,7757 5,6250 5,4778 5,3876 5,4006 5,5299 5,7422 5,9731 6,1717 6,3240 6,4305 6,4772 6,4449 6,3364 6,1834 6,0298 5,9101 5,8384 5,8146 5,8343 5,8918 5,9716 6,0399 6,0535 5,9878 5,8649 5,7489 5,7066 5,7670 5,8980 6,0130 6,0138 5,8493 5,5529 5,2253 4,9692 4,8263 4,7788 4,8047 4,9137 5,1220 5,4192 5,7725 6,1457 6,4972 6,7720 6,9195 6,9291 6,8415 6,7231 6,6293 6,5841 6,5747 6,5600 6,4997 6,3942 6,3008 6,3082 6,4895 6,8618 7,3721 7,9178 8,3904 8,7331 8,9660 9,1516 9,3391 9,5429 9,7486 9,9218 10,0144 9,9859 9,8302 9,5778 9,2773 8,9796 8,7301 8,5619 8,4899 8,5064 8,5882 8,7123 8,8488 8,9454 8,9513 8,8624 8,7267 8,6039 8,5249 8,4923 8,5015 8,5462 8,6067 8,6495 8,6351 8,5191 8,2609 7,8503 7,3210 6,7290 6,1219 5,5341 5,0009 4,5631 4,2605 4,1206 4,1460 4,3082 4,5487 4,7894 4,9605 5,0347 5,0373 5,0268 5,0587 5,1564 5,3110 5,4969 5,6796 5,8259 5,9210 5,9640 5,9431 5,8362 5,6374 5,3603 5,0230 4,6506 4,2828 3,9585 3,6993 3,5097 3,3850 3,3175 3,3074 3,3771 3,5629 3,8808 4,3069 4,7880 5,2719 5,7364 6,1939 6,6627 7,1345 7,5702 7,9295 8,2086 8,4519 8,7194 9,0358 9,3684 9,6468 9,7941 9,7451 9,4545 8,9055 8,1132 7,1271 6,0335 4,9437 3,9657 3,1804 2,6338 2,3364 2,2650 2,3622 2,5483 2,7597 2,9813 3,2356 3,5432 3,8968 4,2696 4,6390 4,9967 5,3384 5,6499 5,9018 6,0488 6,0414 5,8541 5,5067 5,0659 4,6290 4,2956 4,1397 4,1940 4,4383 4,7943 5,1539 5,4325 5,5961 5,6497 5,6210 5,5552 5,5040 5,5022 5,5558 5,6644 5,8434 6,1086 6,4551 6,8613 7,2917 7,6937 8,0106 8,2034 8,2537 8,1703 8,0104 7,8710 7,8347 7,9264 8,1105 8,3190 8,4813 8,5384 8,4518 8,2180 7,8706 7,4545 7,0033 6,5429 6,1003 5,6914 5,3125 4,9527 4,6103 4,2974 4,0407 3,8777 3,8291 3,8700 3,9398 3,9852 3,9852 3,9483 3,9024 3,8775 3,8790 3,8848 3,8789 3,8709 3,8790 3,9141 3,9815 4,0813 4,2043 4,3263 4,4067 4,3984 4,2705 4,0198 3,6621 3,2275 2,7697 2,3533 2,0179 1,7623 1,5727
F3    1,9458 1,6632 1,4663 1,3759 1,3688 1,4052 1,4553 1,5035 1,5320 1,5024 1,3639 1,0914 0,7132 0,2965 -0,0912 -0,4008 -0,5924 -0,6374 -0,5420 -0,3623 -0,1966 -0,1535 -0,2941 -0,5844 -0,9177 -1,1954 -1,3764 -1,4555 -1,4305 -1,3050 -1,1046 -0,8715 -0,6520 -0,4901 -0,4124 -0,4134 -0,4575 -0,4950 -0,4916 -0,4508 -0,3873 -0,2873 -0,1307 0,0532 0,1837 0,1857 0,0426 -0,1825 -0,3698 -0,4167 -0,3043 -0,0976 0,0950 0,1600 0,0178 -0,3429 -0,8650 -1,4493 -1,9788 -2,3502 -2,4998 -2,4064 -2,0968 -1,6595 -1,2365 -0,9764 -0,9641 -1,1784 -1,5185 -1,8768 -2,1978 -2,4819 -2,7490 -3,0040 -3,2325 -3,4264 -3,6085 -3,8194 -4,0750 -4,3445 -4,5785 -4,7553 -4,8913 -5,0084 -5,0989 -5,1242 -5,0495 -4,8812 -4,6606 -4,4231 -4,1847 -3,9666 -3,8068 -3,7350 -3,7493 -3,8179 -3,8904 -3,9087 -3,8223 -3,6075 -3,2753 -2,8668 -2,4389 -2,0498 -1,7403 -1,5113 -1,3160 -1,0898 -0,7916 -0,4283 -0,0571 0,2465 0,4452 0,5580 0,6190 0,6472 0,6559 0,6594 0,6566 0,6191 0,5039 0,2812 -0,0513 -0,4737 -0,9453 -1,3992 -1,7577 -1,9558 -1,9432 -1,6986 -1,2701 -0,7698 -0,3108 0,0363 0,2443 0,3240 0,3200 0,2876 0,2647 0,2685 0,3226 0,4646 0,7003 0,9625 1,1361 1,1188 0,8677 0,4128 -0,1770 -0,8446 -1,5433 -2,1887 -2,6520 -2,8201 -2,6538 -2,1883 -1,5003 -0,6900 0,1310 0,8731 1,4969 2,0042 2,4129 2,7421 3,0075 3,2218 3,3971 3,5569 3,7349 3,9410 4,1354 4,2654 4,3284 4,3706 4,4276 4,4910 4,5194 4,4627 4,3032 4,0914 3,9168 3,8217 3,7493 3,5984 3,3272 2,9841 2,6437 2,3442 2,0925 1,9076 1,8260 1,8675 2,0207 2,2688 2,6009 2,9928 3,3894 3,7064 3,8513 3,7624 3,4445 2,9752 2,4745 2,0523 1,7638 1,6071 1,5611 1,6057 1,6971 1,7593 1,7194 1,5474 1,2739 0,9795 0,7485 0,6124 0,5323 0,4461 0,3328 0,2232 0,1595 0,1553 0,1842 0,2005 0,1803 0,1362 0,0853 0,0158 -0,1007 -0,2687 -0,4558 -0,6212 -0,7456 -0,8366 -0,9147 -0,9902 -1,0547 -1,0943 -1,1077 -1,1197 -1,1783 -1,3208 -1,5308 -1,7327 -1,8243 -1,7204 -1,3974 -0,9155 -0,3877 0,0872 0,4625 0,7241 0,8566 0,8448 0,6990 0,4581 0,1634 -0,1584 -0,4795 -0,7548 -0,9454 -1,0477 -1,0703 -0,9904 -0,7575 -0,3405 0,2281 0,8518 1,4163 1,8337 2,0533 2,0492 1,8107 1,3490 0,7181 0,0157 -0,6441 -1,1692 -1,5126 -1,6623 -1,6203 -1,4001 -1,0322 -0,5592 -0,0337 0,4840 0,9380 1,2901 1,5286 1,6745 1,7712 1,8563 1,9400 2,0070 2,0365 2,0251 1,9955 1,9782 1,9810 1,9844 1,9667 1,9149 1,8138 1,6536 1,4590 1,2995 1,2564 1,3768 1,6496 2,0115 2,3768 2,6693 2,8339 2,8364 2,6778 2,4109 2,1261 1,9065 1,7868 1,7400 1,7011 1,6220 1,5167 1,4526 1,4949 1,6595 1,9093 2,1913 2,4827 2,8038 3,1852 3,6187 4,0411 4,3736 4,5814 4,6898 4,7506 4,7988 4,8299 4,8155 4,7412 4,6303 4,5365 4,5200 4,6139 4,7984 5,0151 5,2124 5,3637 5,4431 5,4129 5,2511 4,9831 4,6826 4,4325 4,2787 4,2207 4,2388 4,3183 4,4522 4,6292 4,8165 4,9601 5,0129 4,9724 4,8917 4,8444 4,8728 4,9576 5,0254 4,9923 4,8157 4,5231 4,1990 3,9332 3,7657 3,6831 3,6717 3,7506 3,9413 4,2315 4,5852 4,9635 5,3269 5,6289 5,8210 5,8762 5,8161 5,7106 5,6394 5,6421 5,6954 5,7319 5,6848 5,5369 5,3460 5,2312 5,3205 5,6830 6,2826 6,9870 7,6367 8,1301 8,4622 8,6867 8,8574 9,0004 9,1157 9,1867 9,1881 9,0952 8,8915 8,5741 8,1612 7,7015 7,2635 6,9083 6,6725 6,5664 6,5859 6,7309 6,9929 7,3229 7,6392 7,8721 7,9943 8,0158 7,9698 7,9069 7,8857 7,9382 8,0386 8,1217 8,1266 8,0033 7,7020 7,2003 6,5366 5,7939 5,0505 4,3575 3,7563 3,2979 3,0387 3,0144 3,2161 3,5876 4,0398 4,4710 4,7970 4,9820 5,0452 5,0403 5,0234 5,0255 5,0476 5,0784 5,1053 5,1123 5,0814 4,9980 4,8537 4,6539 4,4262 4,2046 4,0081 3,8451 3,7225 3,6374 3,5784 3,5354 3,4959 3,4395 3,3579 3,2785 3,2520 3,3169 3,4826 3,7331 4,0402 4,3859 4,7761 5,2264 5,7249 6,2162 6,6372 6,9750 7,2833 7,6356 8,0638 8,5337 8,9558 9,2161 9,2200 8,9289 8,3600 7,5556 6,5639 5,4502 4,3096 3,2544 2,3842 1,7621 1,4047 1,2807 1,3168 1,4215 1,5314 1,6433 1,8020 2,0596 2,4361 2,9054 3,4135 3,9127 4,3801 4,8050 5,1663 5,4240 5,5263 5,4292 5,1213 4,6451 4,1017 3,6298 3,3573 3,3443 3,5540 3,8749 4,1876 4,4258 4,5756 4,6365 4,6117 4,5306 4,4490 4,4098 4,4236 4,4965 4,6492 4,8975 5,2415 5,6715 6,1558 6,6289 7,0189 7,2761 7,3647 7,2619 6,9984 6,6817 6,4519 6,4060 6,5496 6,8037 7,0520 7,1924 7,1726 6,9996 6,7178 6,3715 5,9833 5,5618 5,1170 4,6651 4,2271 3,8240 3,4724 3,1860 2,9862 2,8988 2,9248 3,0221 3,1321 3,2090 3,2245 3,1753 3,0987 3,0479 3,0362 3,0251 2,9780 2,8983 2,8184 2,7805 2,8263 2,9773 3,2133 3,4714 3,6686 3,7355 3,6436 3,3969 3,0061 2,4949 1,9262 1,3838 0,9224 0,5480 0,2456
F7    0,9614 1,0784 1,3173 1,5951 1,8216 1,9327 1,8996 1,7303 1,4583 1,1200 0,7472 0,3810 0,0767 -0,1227 -0,2148 -0,2401 -0,2665 -0,3568 -0,5303 -0,7576 -0,9785 -1,1140 -1,1002 -0,9440 -0,7387 -0,6032 -0,5953 -0,6789 -0,7649 -0,7757 -0,6850 -0,5169 -0,3139 -0,1110 0,0640 0,1876 0,2453 0,2359 0,1707 0,0658 -0,0575 -0,1637 -0,2124 -0,1948 -0,1636 -0,2097 -0,3966 -0,7161 -1,1017 -1,4639 -1,7125 -1,7818 -1,6564 -1,3712 -0,9946 -0,6125 -0,3059 -0,1205 -0,0519 -0,0659 -0,1332 -0,2453 -0,4133 -0,6551 -0,9627 -1,2944 -1,6168 -1,9332 -2,2595 -2,5881 -2,8825 -3,1045 -3,2507 -3,3500 -3,4143 -3,4160 -3,3260 -3,1469 -2,9047 -2,6429 -2,4180 -2,2684 -2,1958 -2,1874 -2,2307 -2,3078 -2,4006 -2,5015 -2,6091 -2,7196 -2,8256 -2,9201 -3,0050 -3,0892 -3,1655 -3,1961 -3,1357 -2,9589 -2,6604 -2,2485 -1,7443 -1,1751 -0,5694 0,0428 0,6307 1,1577 1,5912 1,9321 2,2188 2,4929 2,7673 3,0201 3,2118 3,3091 3,2941 3,1579 2,9002 2,5393 2,1053 1,6188 1,0835 0,5000 -0,1071 -0,6795 -1,1538 -1,4874 -1,6387 -1,5598 -1,2462 -0,7705 -0,2469 0,2148 0,5308 0,6653 0,6393 0,5049 0,3171 0,1319 0,0190 0,0585 0,2970 0,7014 1,1708 1,5925 1,8776 1,9681 1,8472 1,5495 1,1543 0,7664 0,4813 0,3464 0,3522 0,4637 0,6526 0,9037 1,2070 1,5461 1,8953 2,2287 2,5269 2,7706 2,9395 3,0205 3,0230 2,9884 2,9723 3,0119 3,1131 3,2577 3,4138 3,5488 3,6398 3,6736 3,6450 3,5614 3,4430 3,3077 3,1559 2,9847 2,8211 2,7221 2,7331 2,8607 3,0889 3,4064 3,8053 4,2637 4,7455 5,2044 5,5818 5,8195 5,8882 5,7976 5,5767 5,2473 4,8202 4,3096 3,7375 3,1425 2,5925 2,1672 1,9156 1,8325 1,8738 1,9858 2,1217 2,2424 2,3086 2,2792 2,1292 1,8719 1,5553 1,2377 0,9673 0,7792 0,7008 0,7405 0,8702 1,0388 1,2070 1,3604 1,4893 1,5733 1,5941 1,5529 1,4673 1,3653 1,2828 1,2525 1,2802 1,3305 1,3411 1,2681 1,1260 0,9757 0,8721 0,8334 0,8503 0,9011 0,9547 0,9745 0,9427 0,8860 0,8684 0,9469 1,1337 1,3908 1,6550 1,8670 1,9863 1,9958 1,9104 1,7786 1,6556 1,5686 1,5173 1,5040 1,5474 1,6631 1,8354 2,0193 2,1645 2,2325 2,2117 2,1327 2,0473 1,9811 1,9268 1,8848 1,8809 1,9277 1,9927 2,0216 1,9766 1,8458 1,6386 1,3881 1,1450 0,9519 0,8276 0,7720 0,7725 0,8089 0,8618 0,9112 0,9364 0,9315 0,9080 0,8807 0,8616 0,8597 0,8837 0,9467 1,0562 1,2037 1,3695 1,5387 1,7177 1,9284 2,1653 2,3713 2,4753 2,4496 2,3254 2,1670 2,0433 2,0016 2,0502 2,1657 2,3141 2,4584 2,5552 2,5563 2,4255 2,1558 1,7832 1,3857 1,0482 0,8276 0,7557 0,8513 1,1087 1,4866 1,9196 2,3418 2,7106 3,0103 3,2322 3,3728 3,4555 3,5231 3,6007 3,6723 3,6958 3,6334 3,4647 3,1857 2,8117 2,3789 1,9403 1,5611 1,3037 1,2025 1,2535 1,4277 1,6818 1,9613 2,2059 2,3614 2,3967 2,3197 2,1825 2,0588 1,9996 2,0071 2,0513 2,0971 2,1087 2,0505 1,9005 1,6613 1,3642 1,0711 0,8622 0,7989 0,8893 1,0831 1,2891 1,4082 1,3725 1,1739 0,8590 0,4934 0,1346 -0,1654 -0,3567 -0,4026 -0,2909 -0,0375 0,3143 0,7013 1,0596 1,3475 1,5486 1,6504 1,6395 1,5295 1,3731 1,2278 1,1173 1,0331 0,9596 0,8998 0,8831 0,9444 1,1012 1,3503 1,6621 1,9800 2,2490 2,4517 2,6100 2,7557 2,9055 3,0607 3,2186 3,3715 3,4939 3,5453 3,5036 3,3912 3,2589 3,1451 3,0599 2,9988 2,9607 2,9433 2,9337 2,9093 2,8497 2,7430 2,5843 2,3779 2,1450 1,9241 1,7602 1,6958 1,7602 1,9476 2,2073 2,4746 2,7110 2,9072 3,0549 3,1313 3,1136 2,9984 2,8063 2,5712 2,3160 2,0428 1,7526 1,4706 1,2381 1,0784 0,9746 0,8772 0,7349 0,5314 0,3011 0,1076 0,0074 0,0325 0,1865 0,4373 0,7243 0,9847 1,1766 1,2825 1,3034 1,2534 1,1504 1,0032 0,8138 0,5985 0,3886 0,2079 0,0622 -0,0507 -0,1285 -0,1568 -0,1160 0,0030 0,1949 0,4454 0,7308 1,0258 1,3141 1,5889 1,8420 2,0539 2,1968 2,2500 2,2228 2,1725 2,1862 2,3246 2,5808 2,8955 3,1964 3,4180 3,5026 3,4077 3,1207 2,6643 2,0829 1,4255 0,7388 0,0751 -0,5122 -0,9944 -1,3786 -1,6855 -1,9211 -2,0725 -2,1242 -2,0654 -1,8884 -1,5904 -1,1764 -0,6562 -0,0509 0,5893 1,1820 1,6393 1,9054 1,9756 1,8845 1,6802 1,4156 1,1521 0,9414 0,7927 0,6799 0,5879 0,5328 0,5377 0,6098 0,7330 0,8734 0,9998 1,1015 1,1898 1,2834 1,3872 1,4853 1,5552 1,5895 1,6119 1,6686 1,7950 1,9917 2,2239 2,4422 2,6013 2,6631 2,6126 2,4889 2,3809 2,3768 2,5166 2,7743 3,0689 3,3093 3,4478 3,4956 3,4962 3,4818 3,4504 3,3827 3,2702 3,1177 2,9288 2,6980 2,4159 2,0814 1,7131 1,3472 1,0247 0,7801 0,6289 0,5521 0,5039 0,4489 0,3953 0,3853 0,4526 0,5939 0,7822 0,9995 1,2539 1,5616 1,9116 2,2534 2,5169 2,6524 2,6590 2,5754 2,4415 2,2719 2,0618 1,8150 1,5642 1,3548 1,2060 1,1000 1,0086 0,9226 0,8614
