Fp1   1,3515 1,2112 1,1885 1,2351 1,2732 1,2431 1,1594 1,1199 1,2349 1,5217 1,8739 2,1417 2,2454 2,2228 2,1811 2,1991 2,2614 2,2647 2,0973 1,7517 1,3719 1,1679 1,2836 1,7385 2,4373 3,1824 3,6988 3,7122 3,0569 1,7446 -0,0454 -2,0244 -3,8432 -5,1537 -5,7046 -5,4106 -4,3653 -2,8268 -1,1807 0,1404 0,7842 0,5980 -0,3350 -1,7362 -3,2054 -4,3393 -4,8973 -4,9037 -4,5760 -4,1466 -3,7381 -3,3459 -2,8906 -2,3192 -1,6999 -1,2146 -1,0340 -1,1903 -1,5490 -1,8943 -2,0671 -2,0552 -1,9704 -1,9544 -2,1077 -2,4616 -2,9616 -3,4830 -3,8939 -4,1157 -4,1103 -3,8442 -3,3367 -2,7362 -2,3034 -2,2941 -2,8210 -3,7906 -4,9580 -6,0366 -6,7732 -6,9789 -6,5554 -5,5257 -4,0357 -2,3255 -0,6767 0,6592 1,5161 1,8336 1,6762 1,2388 0,7624 0,3797 0,0428 -0,3868 -0,9893 -1,7238 -2,4615 -3,0232 -3,2258 -2,9740 -2,3270 -1,4783 -0,6798 -0,1708 -0,1276 -0,6107 -1,5266 -2,6575 -3,7384 -4,5285 -4,8765 -4,7564 -4,2417 -3,4644 -2,5953 -1,8134 -1,2486 -0,9282 -0,7737 -0,6670 -0,5268 -0,3067 0,0416 0,5641 1,3093 2,3643 3,8337 5,7264 7,8736 9,9959 11,8654 13,4031 14,6439 15,6422 16,4151 16,9406 17,1849 17,1396 16,8539 16,4253 15,9612 15,5495 15,2257 14,9403 14,5952 14,1465 13,6746 13,3485 13,3012 13,5129 13,7995 13,9070 13,6443 12,9812 12,0479 11,0448 10,1537 9,5051 9,1777 9,2057 9,5799 10,2314 11,0312 11,8243 12,4759 12,8930 13,0157 12,8104 12,2829 11,4800 10,4883 9,4498 8,5449 7,9206 7,6301 7,6114 7,7049 7,7127 7,4782 6,9501 6,1988 5,3699 4,6127 4,0452 3,7660 3,8454 4,2679 4,9111 5,6069 6,2071 6,6043 6,7402 6,6188 6,3011 5,8686 5,3856 4,9026 4,4781 4,1693 4,0037 3,9925 4,1719 4,5894 5,2422 6,0575 6,9253 7,7267 8,3387 8,6513 8,5999 8,1896 7,5006 6,6778 5,9048 5,3410 5,0563 5,0448 5,2845 5,7331 6,2895 6,8268 7,2720 7,6156 7,8402 7,8878 7,7296 7,4430 7,1927 7,1323 7,3154 7,6760 8,0792 8,3963 8,5725 8,6664 8,8172 9,1512 9,7124 10,4552 11,2696 12,0137 12,5577 12,8237 12,8104 12,6024 12,3503 12,2203 12,3290 12,6956 13,2430 13,8370 14,3385 14,6489 14,7107 14,4694 13,8692 12,9233 11,7705 10,6192 9,6593 9,0317 8,8132 8,9935 9,4827 10,1432 10,8264 11,4000 11,7597 11,8373 11,6279 11,2120 10,7175 10,2431 9,8295 9,4912 9,2377 9,0764 9,0309 9,1367 9,3982 9,7660 10,1522 10,4579 10,6200 10,6636 10,6909 10,7965 10,9922 11,2072 11,3415 11,3144 11,0817 10,6400 10,0407 9,3883 8,7861 8,2894 7,9397 7,7897 7,8421 8,0179 8,2227 8,4078 8,5737 8,7362 8,8831 8,9709 8,9545 8,8047 8,5068 8,0568 7,4512 6,6912 5,8320 5,0274 4,4872 4,3665 4,6975 5,4090 6,3714 7,4065 8,2906 8,8175 8,8970 8,5931 8,0761 7,5494 7,1808 7,0427 7,1036 7,2884 7,5485 7,8798 8,3042 8,8346 9,4348 10,0213 10,5046 10,8012 10,8317 10,5566 10,0035 9,2347 8,3063 7,2766 6,2431 5,3536 4,7462 4,4599 4,4111 4,4525 4,4373 4,2451 3,8085 3,1739 2,5384 2,1835 2,3278 3,0074 4,0625 5,2188 6,2083 6,8626 7,1386 7,0860 6,8008 6,3947 5,9690 5,5853 5,2667 5,0235 4,8616 4,7689 4,7075 4,6442 4,5860 4,5531 4,5273 4,4634 4,3438 4,1972 4,0729 4,0078 3,9973 3,9822 3,8839 3,6763 3,4193 3,2204 3,1607 3,2509 3,4547 3,7306 4,0336 4,3116 4,5309 4,6865 4,7856 4,8289 4,7905 4,6169 4,2784 3,8198 3,3412 2,9328 2,6525 2,5549 2,6981 3,0978 3,6796 4,2815 4,7148 4,8323 4,5641 3,9413 3,0983 2,2165 1,4465 0,8765 0,5507 0,4943 0,7256 1,2553 2,0736 3,1220 4,2770 5,3784 6,2756 6,8592 7,0826 6,9519 6,4814 5,6828 4,6039 3,3406 2,0075 0,7103 -0,4575 -1,4123 -2,0885 -2,4416 -2,4558 -2,1738 -1,7238 -1,2892 -1,0232 -0,9802 -1,1213 -1,3693 -1,6465 -1,8843 -2,0257 -2,0298 -1,8959 -1,6979 -1,5597 -1,5611 -1,6729 -1,7772 -1,7204 -1,3642 -0,6501 0,3473 1,4325 2,3700 2,9859 3,2322 3,1833 2,9738 2,7291 2,5244 2,3695 2,2217 2,0296 1,7516 1,3429 0,7831 0,1353 -0,4665 -0,9038 -1,1374 -1,2076 -1,2020 -1,2176 -1,3322 -1,5881 -1,9620 -2,3421 -2,5823 -2,5960 -2,3720 -1,9123 -1,1904 -0,1852 1,0305 2,2352 3,1085 3,3657 2,8860 1,7470 0,1801 -1,4729 -2,8176 -3,5232 -3,4298 -2,5720 -1,1362 0,6048 2,3691 3,9530 5,2770 6,3522 7,2294 7,9740 8,6368 9,2286 9,7325 10,1103 10,2872 10,1721 9,7205 8,9729 8,0456 7,0882 6,2382 5,5993 5,2439 5,2109 5,4894 6,0104 6,6446 7,2145 7,5464 7,5368 7,1825 6,5707 5,8335 5,0872 4,3985 3,7698 3,1430 2,4490 1,6683 0,8405 0,0488 -0,5905 -0,9540 -0,9675 -0,6706 -0,2121 0,2407 0,5860 0,8015 0,8943 0,8293 0,4928 -0,2574 -1,4702 -3,0193 -4,6538 -6,1246 -7,2597 -7,9633 -8,2110 -8,0748 -7,7146 -7,2945 -6,8901 -6,4790 -6,0032 -5,4298 -4,7845 -4,1608 -3,7104 -3,6196 -4,0368 -4,9671 -6,2460 -7,6168 -8,8059 -9,5831 -9,8493 -9,6741 -9,2275 -8,6726 -8,1130 -7,6084 -7,1982 -6,8955 -6,6881 -6,5702 -6,5599 -6,6681 -6,8729 -7,1435 -7,4661 -7,8185 -8,1357
Fz    1,9161 2,0732 2,2985 2,5473 2,7611 2,8808 2,8750 2,7577 2,5683 2,3325 2,0526 1,7311 1,3931 1,0896 0,8758 0,7765 0,7654 0,7721 0,7166 0,5597 0,3343 0,1250 0,0160 0,0530 0,2288 0,4802 0,6972 0,7564 0,5687 0,1139 -0,5544 -1,3298 -2,0758 -2,6496 -2,9366 -2,8783 -2,4842 -1,8395 -1,1022 -0,4734 -0,1341 -0,1826 -0,6125 -1,3231 -2,1393 -2,8579 -3,3278 -3,5077 -3,4533 -3,2546 -2,9802 -2,6571 -2,2875 -1,8891 -1,5268 -1,3009 -1,2912 -1,5006 -1,8447 -2,2005 -2,4730 -2,6336 -2,7105 -2,7520 -2,8016 -2,8876 -3,0078 -3,1227 -3,1803 -3,1519 -3,0293 -2,8026 -2,4817 -2,1370 -1,8948 -1,8830 -2,1684 -2,7220 -3,4324 -4,1458 -4,7049 -4,9744 -4,8680 -4,3725 -3,5513 -2,5280 -1,4593 -0,4984 0,2365 0,6833 0,8540 0,8358 0,7427 0,6418 0,5212 0,3226 0,0008 -0,4376 -0,9332 -1,3886 -1,6983 -1,7933 -1,6727 -1,4071 -1,1204 -0,9558 -1,0263 -1,3660 -1,9114 -2,5280 -3,0586 -3,3692 -3,3906 -3,1360 -2,6792 -2,1198 -1,5652 -1,1129 -0,8215 -0,6902 -0,6648 -0,6702 -0,6402 -0,5153 -0,2365 0,2390 0,9315 1,8563 3,0272 4,4238 5,9598 7,5007 8,9256 10,1740 11,2426 12,1526 12,9231 13,5633 14,0780 14,4743 14,7609 14,9393 15,0044 14,9616 14,8251 14,5944 14,2546 13,8138 13,3261 12,8766 12,5414 12,3468 12,2518 12,1647 11,9879 11,6684 11,2188 10,7033 10,2112 9,8314 9,6282 9,6311 9,8335 10,1869 10,6044 10,9903 11,2742 11,4237 11,4302 11,2939 11,0231 10,6370 10,1681 9,6730 9,2239 8,8757 8,6418 8,4913 8,3566 8,1544 7,8165 7,3225 6,7128 6,0713 5,4861 5,0227 4,7246 4,6138 4,6761 4,8603 5,1095 5,3818 5,6416 5,8488 5,9674 5,9784 5,8848 5,7073 5,4798 5,2449 5,0403 4,8911 4,8213 4,8700 5,0755 5,4375 5,9102 6,4260 6,9146 7,3087 7,5512 7,6076 7,4727 7,1749 6,7797 6,3788 6,0527 5,8371 5,7323 5,7318 5,8224 5,9705 6,1363 6,3023 6,4742 6,6457 6,7823 6,8532 6,8721 6,8981 6,9971 7,1956 7,4616 7,7308 7,9439 8,0718 8,1283 8,1641 8,2375 8,3837 8,6016 8,8567 9,1001 9,2964 9,4368 9,5344 9,6160 9,7165 9,8751 10,1247 10,4710 10,8772 11,2704 11,5727 11,7349 11,7402 11,5785 11,2342 10,7127 10,0729 9,4143 8,8418 8,4450 8,2792 8,3444 8,5816 8,8962 9,1949 9,4099 9,5015 9,4529 9,2772 9,0303 8,7932 8,6259 8,5426 8,5223 8,5286 8,5294 8,5211 8,5320 8,5942 8,7159 8,8729 9,0203 9,1219 9,1824 9,2451 9,3504 9,4975 9,6396 9,7084 9,6458 9,4228 9,0480 8,5734 8,0857 7,6667 7,3613 7,1864 7,1443 7,2068 7,3159 7,4191 7,4928 7,5373 7,5534 7,5208 7,4099 7,2128 6,9466 6,6319 6,2799 5,8964 5,4973 5,1311 4,8837 4,8409 5,0387 5,4501 6,0093 6,6373 7,2433 7,7259 8,0023 8,0497 7,9181 7,7028 7,5035 7,3943 7,4065 7,5304 7,7366 7,9998 8,3014 8,6193 8,9233 9,1758 9,3451 9,4184 9,3959 9,2804 9,0847 8,8299 8,5250 8,1547 7,6973 7,1610 6,6025 6,1023 5,7145 5,4448 5,2665 5,1401 5,0172 4,8513 4,6346 4,4314 4,3591 4,5170 4,9240 5,5060 6,1287 6,6509 6,9746 7,0703 6,9637 6,7066 6,3592 5,9799 5,6140 5,2960 5,0543 4,9049 4,8420 4,8383 4,8658 4,9137 4,9762 5,0269 5,0261 4,9530 4,8220 4,6738 4,5504 4,4667 4,3968 4,2986 4,1561 3,9950 3,8625 3,7942 3,7971 3,8585 3,9644 4,1000 4,2458 4,3874 4,5239 4,6668 4,8290 5,0010 5,1433 5,2181 5,2231 5,1857 5,1318 5,0768 5,0435 5,0678 5,1732 5,3422 5,5173 5,6345 5,6557 5,5771 5,4227 5,2306 5,0274 4,8169 4,5959 4,3783 4,2006 4,1085 4,1369 4,2977 4,5734 4,9162 5,2617 5,5484 5,7315 5,7883 5,7091 5,4776 5,0761 4,5133 3,8357 3,1087 2,3935 1,7374 1,1780 0,7497 0,4839 0,4001 0,4877 0,6901 0,9134 1,0659 1,1016 1,0282 0,8807 0,6961 0,5052 0,3368 0,2231 0,1895 0,2329 0,3222 0,4303 0,5597 0,7416 1,0223 1,4448 2,0196 2,6968 3,3710 3,9247 4,2795 4,4257 4,4174 4,3423 4,2824 4,2866 4,3598 4,4679 4,5569 4,5685 4,4482 4,1720 3,7767 3,3434 2,9460 2,6152 2,3387 2,0791 1,7961 1,4634 1,0738 0,6523 0,2663 -0,0027 -0,1071 -0,0440 0,1699 0,5205 0,9925 1,5435 2,0780 2,4598 2,5664 2,3518 1,8639 1,2202 0,5836 0,1348 0,0174 0,2941 0,9407 1,8627 2,9210 3,9765 4,9410 5,7973 6,5688 7,2798 7,9367 8,5250 9,0178 9,3935 9,6399 9,7408 9,6771 9,4448 9,0678 8,5991 8,1060 7,6481 7,2702 7,0110 6,9034 6,9629 7,1734 7,4795 7,7921 8,0151 8,0770 7,9503 7,6545 7,2410 6,7647 6,2640 5,7497 5,2048 4,6143 4,0002 3,4157 2,9158 2,5437 2,3304 2,2825 2,3572 2,4671 2,5240 2,4811 2,3483 2,1671 1,9542 1,6627 1,2091 0,5434 -0,3049 -1,2457 -2,1740 -2,9913 -3,6086 -3,9669 -4,0693 -3,9839 -3,8050 -3,5970 -3,3716 -3,1130 -2,8169 -2,5101 -2,2431 -2,0750 -2,0641 -2,2500 -2,6214 -3,1068 -3,6028 -4,0082 -4,2473 -4,2933 -4,1783 -3,9719 -3,7418 -3,5251 -3,3307 -3,1571 -3,0016 -2,8653 -2,7633 -2,7248 -2,7703 -2,8939 -3,0721 -3,2777 -3,4776 -3,6313
F3    1,5985 1,8824 2,2085 2,5260 2,7755 2,9000 2,8733 2,7145 2,4672 2,1665 1,8310 1,4841 1,1694 0,9383 0,8218 0,8082 0,8412 0,8425 0,7490 0,5511 0,3079 0,1161 0,0525 0,1320 0,3039 0,4728 0,5297 0,3913 0,0298 -0,5185 -1,1712 -1,8251 -2,3722 -2,7176 -2,8022 -2,6077 -2,1508 -1,4976 -0,7847 -0,2007 0,0804 -0,0309 -0,5100 -1,2303 -1,9997 -2,6232 -2,9752 -3,0407 -2,8905 -2,6165 -2,2817 -1,9118 -1,5225 -1,1522 -0,8712 -0,7549 -0,8357 -1,0736 -1,3748 -1,6457 -1,8398 -1,9691 -2,0787 -2,2132 -2,4023 -2,6547 -2,9437 -3,2016 -3,3439 -3,3086 -3,0689 -2,6296 -2,0484 -1,4562 -1,0334 -0,9459 -1,2744 -1,9746 -2,8941 -3,8268 -4,5688 -4,9598 -4,9145 -4,4370 -3,6096 -2,5670 -1,4663 -0,4555 0,3499 0,8842 1,1488 1,2097 1,1523 1,0220 0,8042 0,4583 -0,0316 -0,6333 -1,2769 -1,8719 -2,3242 -2,5607 -2,5584 -2,3628 -2,0844 -1,8611 -1,8003 -1,9330 -2,2057 -2,5127 -2,7437 -2,8187 -2,7117 -2,4572 -2,1292 -1,8117 -1,5793 -1,4794 -1,5161 -1,6481 -1,8021 -1,8981 -1,8705 -1,6642 -1,2309 -0,5459 0,3851 1,5430 2,9021 4,4117 5,9733 7,4522 8,7245 9,7191 10,4282 10,8910 11,1682 11,3181 11,3869 11,4100 11,4174 11,4333 11,4719 11,5388 11,6237 11,6883 11,6811 11,5782 11,4036 11,2118 11,0534 10,9426 10,8449 10,6909 10,4149 9,9955 9,4677 8,9025 8,3834 7,9886 7,7682 7,7312 7,8519 8,0823 8,3647 8,6460 8,8906 9,0825 9,2136 9,2711 9,2409 9,1161 8,9023 8,6276 8,3432 8,0996 7,9154 7,7630 7,5793 7,2968 6,8781 6,3389 5,7481 5,1998 4,7777 4,5343 4,4898 4,6278 4,8863 5,1724 5,4062 5,5483 5,5903 5,5334 5,3828 5,1496 4,8503 4,5035 4,1339 3,7767 3,4715 3,2506 3,1420 3,1777 3,3845 3,7586 4,2554 4,7990 5,2948 5,6503 5,8044 5,7408 5,4821 5,0829 4,6273 4,2115 3,9077 3,7396 3,6952 3,7509 3,8705 4,0013 4,0958 4,1412 4,1560 4,1531 4,1225 4,0582 3,9884 3,9675 4,0426 4,2236 4,4768 4,7467 4,9805 5,1431 5,2303 5,2764 5,3398 5,4714 5,6867 5,9593 6,2385 6,4757 6,6409 6,7288 6,7621 6,7892 6,8700 7,0518 7,3453 7,7158 8,0948 8,4059 8,5879 8,6007 8,4186 8,0314 7,4632 6,7875 6,1127 5,5514 5,1966 5,1031 5,2714 5,6434 6,1174 6,5782 6,9279 7,1072 7,0991 6,9294 6,6631 6,3795 6,1334 5,9437 5,8083 5,7143 5,6460 5,6038 5,6123 5,6992 5,8707 6,1002 6,3360 6,5305 6,6743 6,8008 6,9509 7,1289 7,2872 7,3516 7,2584 6,9789 6,5281 5,9706 5,4068 4,9327 4,6023 4,4280 4,3887 4,4287 4,4738 4,4720 4,4169 4,3405 4,2793 4,2429 4,2169 4,1838 4,1283 4,0304 3,8677 3,6242 3,3069 2,9654 2,6889 2,5676 2,6493 2,9260 3,3525 3,8658 4,3882 4,8301 5,1141 5,2086 5,1418 4,9831 4,8088 4,6734 4,5999 4,5861 4,6227 4,7084 4,8425 5,0097 5,1786 5,3181 5,4180 5,4950 5,5709 5,6482 5,7081 5,7201 5,6443 5,4407 5,0874 4,6002 4,0409 3,4977 3,0428 2,6991 2,4404 2,2145 1,9678 1,6682 1,3309 1,0383 0,9178 1,0748 1,5228 2,1639 2,8287 3,3506 3,6325 3,6709 3,5282 3,2822 2,9946 2,6985 2,4019 2,1090 1,8391 1,6269 1,5069 1,4944 1,5794 1,7318 1,9035 2,0311 2,0579 1,9636 1,7784 1,5689 1,4040 1,3176 1,2921 1,2789 1,2423 1,1859 1,1419 1,1407 1,1929 1,2926 1,4281 1,5782 1,7123 1,8063 1,8581 1,8895 1,9320 1,9965 2,0596 2,0937 2,1009 2,1111 2,1557 2,2505 2,4021 2,6112 2,8635 3,1231 3,3424 3,4787 3,5091 3,4348 3,2789 3,0752 2,8488 2,6095 2,3692 2,1581 2,0212 1,9984 2,1066 2,3385 2,6668 3,0416 3,3940 3,6548 3,7724 3,7223 3,5003 3,1121 2,5797 1,9556 1,3144 0,7222 0,2147 -0,1997 -0,5244 -0,7598 -0,8989 -0,9368 -0,8913 -0,8117 -0,7640 -0,7985 -0,9270 -1,1258 -1,3565 -1,5795 -1,7589 -1,8636 -1,8690 -1,7673 -1,5835 -1,3697 -1,1704 -0,9918 -0,8020 -0,5516 -0,1962 0,2783 0,8346 1,3832 1,8153 2,0559 2,0996 2,0045 1,8539 1,7156 1,6220 1,5690 1,5268 1,4615 1,3439 1,1481 0,8656 0,5244 0,1761 -0,1406 -0,4196 -0,6828 -0,9635 -1,2872 -1,6573 -2,0571 -2,4501 -2,7744 -2,9606 -2,9652 -2,7780 -2,4084 -1,8757 -1,2141 -0,4917 0,1729 0,6292 0,7559 0,5205 -0,0130 -0,7164 -1,4245 -1,9620 -2,1923 -2,0566 -1,5772 -0,8427 0,0159 0,8683 1,6355 2,3035 2,8937 3,4354 3,9570 4,4748 4,9826 5,4563 5,8580 6,1331 6,2283 6,1189 5,8172 5,3645 4,8211 4,2535 3,7297 3,3226 3,1015 3,1119 3,3552 3,7734 4,2495 4,6388 4,8183 4,7292 4,3936 3,8925 3,3207 2,7489 2,2042 1,6687 1,1111 0,5302 -0,0310 -0,5077 -0,8419 -0,9972 -0,9705 -0,8068 -0,5919 -0,4165 -0,3388 -0,3679 -0,4788 -0,6563 -0,9274 -1,3430 -1,9244 -2,6329 -3,3898 -4,1155 -4,7414 -5,2087 -5,4846 -5,5850 -5,5724 -5,5189 -5,4605 -5,3773 -5,2176 -4,9450 -4,5720 -4,1624 -3,8110 -3,6177 -3,6565 -3,9366 -4,3885 -4,8935 -5,3262 -5,5887 -5,6405 -5,5114 -5,2797 -5,0274 -4,8076 -4,6415 -4,5291 -4,4530 -4,3888 -4,3310 -4,3042 -4,3406 -4,4551 -4,6442 -4,8908 -5,1554 -5,3766
F7    3,0312 3,0557 3,0565 3,0538 3,0421 2,9915 2,8696 2,6572 2,3437 1,9189 1,3815 0,7596 0,1189 -0,4501 -0,8611 -1,0654 -1,0730 -0,9473 -0,7783 -0,6489 -0,6053 -0,6423 -0,7157 -0,7726 -0,7802 -0,7379 -0,6728 -0,6239 -0,6227 -0,6775 -0,7767 -0,9072 -1,0662 -1,2550 -1,4570 -1,6133 -1,6344 -1,4603 -1,1190 -0,7207 -0,3948 -0,2269 -0,2379 -0,3913 -0,6095 -0,8012 -0,8948 -0,8606 -0,7086 -0,4699 -0,1764 0,1458 0,4704 0,7581 0,9531 1,0018 0,8854 0,6424 0,3580 0,1221 -0,0119 -0,0365 0,0268 0,1429 0,2574 0,2943 0,1880 -0,0680 -0,4067 -0,7239 -0,9279 -0,9695 -0,8623 -0,6836 -0,5441 -0,5442 -0,7461 -1,1597 -1,7280 -2,3254 -2,7890 -2,9756 -2,8097 -2,3001 -1,5216 -0,5826 0,4018 1,3210 2,0717 2,5654 2,7494 2,6272 2,2548 1,7175 1,1024 0,4789 -0,1071 -0,6279 -1,0694 -1,4288 -1,7115 -1,9192 -2,0401 -2,0627 -2,0056 -1,9236 -1,8768 -1,8944 -1,9671 -2,0654 -2,1557 -2,2018 -2,1740 -2,0641 -1,8828 -1,6520 -1,4028 -1,1718 -0,9971 -0,9129 -0,9302 -1,0185 -1,1114 -1,1283 -0,9978 -0,6759 -0,1552 0,5350 1,3387 2,1954 3,0544 3,8734 4,6205 5,2807 5,8555 6,3539 6,7825 7,1488 7,4730 7,7896 8,1326 8,5115 8,8990 9,2437 9,4905 9,5931 9,5299 9,3209 9,0259 8,7227 8,4792 8,3306 8,2742 8,2848 8,3363 8,4121 8,4972 8,5619 8,5692 8,4971 8,3486 8,1507 7,9503 7,7986 7,7295 7,7513 7,8478 7,9857 8,1207 8,1988 8,1630 7,9722 7,6233 7,1581 6,6495 6,1792 5,8168 5,6011 5,5327 5,5784 5,6799 5,7679 5,7867 5,7120 5,5551 5,3524 5,1522 4,9963 4,9033 4,8665 4,8648 4,8715 4,8565 4,7911 4,6580 4,4545 4,1880 3,8694 3,5119 3,1354 2,7688 2,4412 2,1786 2,0148 1,9929 2,1406 2,4495 2,8756 3,3454 3,7583 4,0051 4,0012 3,7236 3,2353 2,6720 2,1826 1,8628 1,7302 1,7487 1,8625 2,0117 2,1445 2,2331 2,2791 2,2961 2,2797 2,2012 2,0430 1,8366 1,6615 1,6060 1,7132 1,9555 2,2557 2,5349 2,7460 2,8807 2,9628 3,0336 3,1292 3,2611 3,4172 3,5798 3,7384 3,8848 4,0033 4,0784 4,1135 4,1377 4,1878 4,2775 4,3821 4,4510 4,4371 4,3167 4,0838 3,7431 3,3196 2,8661 2,4463 2,1096 1,8883 1,8123 1,9066 2,1725 2,5731 3,0310 3,4413 3,7044 3,7652 3,6308 3,3672 3,0799 2,8684 2,7763 2,7825 2,8286 2,8524 2,8257 2,7787 2,7776 2,8731 3,0663 3,3091 3,5315 3,6828 3,7594 3,8010 3,8621 3,9704 4,0992 4,1785 4,1308 3,8987 3,4619 2,8530 2,1567 1,4860 0,9459 0,6051 0,4854 0,5734 0,8381 1,2339 1,6936 2,1362 2,4864 2,6924 2,7385 2,6419 2,4301 2,1276 1,7634 1,3804 1,0415 0,8323 0,8385 1,0959 1,5587 2,1210 2,6718 3,1289 3,4356 3,5544 3,4833 3,2737 3,0222 2,8323 2,7652 2,8146 2,9253 3,0384 3,1322 3,2351 3,3957 3,6275 3,8812 4,0700 4,1228 4,0172 3,7790 3,4657 3,1475 2,8823 2,6903 2,5394 2,3597 2,0907 1,7295 1,3357 0,9917 0,7564 0,6433 0,6263 0,6563 0,6777 0,6491 0,5716 0,4990 0,5008 0,5982 0,7319 0,7974 0,7155 0,4810 0,1557 -0,1820 -0,4805 -0,7132 -0,8603 -0,9027 -0,8295 -0,6495 -0,3902 -0,0801 0,2640 0,6276 0,9828 1,2857 1,4914 1,5747 1,5438 1,4418 1,3310 1,2581 1,2224 1,1795 1,0895 0,9663 0,8796 0,9063 1,0773 1,3597 1,6780 1,9443 2,0824 2,0541 1,8831 1,6569 1,4932 1,4774 1,6085 1,8071 1,9863 2,1129 2,2051 2,2852 2,3472 2,3762 2,3790 2,3793 2,3919 2,4146 2,4437 2,4925 2,5940 2,7753 3,0216 3,2668 3,4281 3,4532 3,3407 3,1308 2,8772 2,6209 2,3823 2,1688 1,9899 1,8736 1,8617 1,9827 2,2203 2,4971 2,6883 2,6741 2,4045 1,9242 1,3479 0,8088 0,4049 0,1687 0,0798 0,1012 0,2052 0,3729 0,5774 0,7781 0,9343 1,0268 1,0649 1,0661 1,0343 0,9656 0,8677 0,7702 0,7102 0,7042 0,7395 0,7932 0,8503 0,9093 0,9876 1,1187 1,3293 1,6074 1,8896 2,0837 2,1139 1,9643 1,6918 1,3940 1,1566 1,0249 1,0030 1,0618 1,1537 1,2303 1,2497 1,1778 0,9919 0,6850 0,2651 -0,2451 -0,8057 -1,3646 -1,8680 -2,2682 -2,5344 -2,6566 -2,6367 -2,4852 -2,2298 -1,9172 -1,5982 -1,3061 -1,0504 -0,8354 -0,6842 -0,6249 -0,6542 -0,7340 -0,8306 -0,9404 -1,0609 -1,1580 -1,1787 -1,0803 -0,8415 -0,4680 0,0048 0,5264 1,0536 1,5542 1,9994 2,3755 2,7003 3,0002 3,2725 3,4847 3,6014 3,6051 3,5082 3,3570 3,2157 3,1391 3,1474 3,2171 3,3040 3,3775 3,4332 3,4832 3,5397 3,5988 3,6396 3,6407 3,5973 3,5275 3,4596 3,4053 3,3430 3,2292 3,0167 2,6662 2,1727 1,5926 1,0292 0,5804 0,3015 0,2065 0,2734 0,4326 0,5774 0,6100 0,4841 0,2145 -0,1480 -0,5611 -1,0179 -1,5302 -2,0884 -2,6417 -3,1161 -3,4502 -3,6118 -3,5963 -3,4252 -3,1515 -2,8604 -2,6498 -2,5806 -2,6381 -2,7486 -2,8350 -2,8538 -2,7925 -2,6583 -2,4859 -2,3404 -2,2839 -2,3310 -2,4430 -2,5540 -2,6002 -2,5373 -2,3512 -2,0589 -1,7036 -1,3477 -1,0571 -0,8776 -0,8128 -0,8275 -0,8787 -0,9510 -1,0562 -1,2093 -1,4101 -1,6374 -1,8539 -2,0239
