Fp1   0,0555 0,0075 -0,0127 -0,0484 -0,1054 -0,1653 -0,2126 -0,2417 -0,2509 -0,2424 -0,2328 -0,2535 -0,3327 -0,4792 -0,6834 -0,9203 -1,1498 -1,3285 -1,4287 -1,4463 -1,3943 -1,2940 -1,1654 -1,0215 -0,8647 -0,6900 -0,4983 -0,3070 -0,1374 0,0062 0,1386 0,2762 0,4232 0,5727 0,7163 0,8527 0,9875 1,1241 1,2561 1,3685 1,4419 1,4540 1,3852 1,2334 1,0238 0,8013 0,6089 0,4674 0,3757 0,3303 0,3361 0,3935 0,4835 0,5757 0,6487 0,6995 0,7375 0,7765 0,8304 0,9060 0,9974 1,0866 1,1497 1,1680 1,1378 1,0684 0,9737 0,8689 0,7675 0,6761 0,5916 0,5046 0,4029 0,2766 0,1280 -0,0261 -0,1619 -0,2496 -0,2498 -0,1279 0,1116 0,4106 0,6893 0,8904 0,9946 1,0150 0,9888 0,9623 0,9689 1,0189 1,1082 1,2340 1,3958 1,5826 1,7689 1,9240 2,0231 2,0454 1,9708 1,7946 1,5422 1,2655 1,0250 0,8720 0,8361 0,9141 1,0641 1,2169 1,3102 1,3129 1,2165 1,0286 0,7873 0,5577 0,3943 0,3022 0,2318 0,1099 -0,1174 -0,4646 -0,9148 -1,4358 -1,9883 -2,5311 -3,0280 -3,4523 -3,7865 -4,0169 -4,1252 -4,0886 -3,8962 -3,5712 -3,1692 -2,7515 -2,3623 -2,0239 -1,7391 -1,4979 -1,2883 -1,1000 -0,9259 -0,7668 -0,6302 -0,5188 -0,4215 -0,3187 -0,1877 -0,0093 0,2182 0,4687 0,7009 0,8807 0,9872 1,0091 0,9512 0,8501 0,7786 0,8270 1,0682 1,5231 2,1454 2,8379 3,4959 4,0509 4,4857 4,8181 5,0762 5,2786 5,4255 5,5028 5,4992 5,4178 5,2691 5,0650 4,8268 4,5795 4,3367 4,0995 3,8634 3,6162 3,3379 3,0165 2,6607 2,2981 1,9628 1,6784 1,4403 1,2143 0,9555 0,6319 0,2413 -0,1834 -0,5875 -0,9220 -1,1663 -1,3311 -1,4423 -1,5264 -1,6115 -1,7332 -1,9270 -2,2063 -2,5452 -2,8819 -3,1437 -3,2750 -3,2532 -3,0952 -2,8536 -2,5981 -2,3868 -2,2431 -2,1531 -2,0814 -1,9871 -1,8318 -1,5884 -1,2517 -0,8403 -0,3891 0,0547 0,4345 0,7005 0,8341 0,8533 0,7939 0,6908 0,5742 0,4707 0,3966 0,3534 0,3310 0,3106 0,2691 0,1972 0,1113 0,0422 0,0212 0,0746 0,2103 0,4026 0,6025 0,7623 0,8468 0,8321 0,7076 0,4822 0,1861 -0,1307 -0,4097 -0,6061 -0,7040 -0,7119 -0,6589 -0,5876 -0,5293 -0,4858 -0,4459 -0,4149 -0,4179 -0,4828 -0,6300 -0,8670 -1,1779 -1,5242 -1,8572 -2,1300 -2,3053 -2,3636 -2,3103 -2,1843 -2,0576 -2,0149 -2,1158 -2,3589 -2,6758 -2,9729 -3,1857 -3,3008 -3,3505 -3,3986 -3,5185 -3,7619 -4,1307 -4,5652 -4,9695 -5,2652 -5,4267 -5,4698 -5,4219 -5,3133 -5,1841 -5,0734 -4,9928 -4,9211 -4,8229 -4,6668 -4,4405 -4,1598 -3,8576 -3,5711 -3,3389 -3,1894 -3,1239 -3,1261 -3,1825 -3,2832 -3,4096 -3,5271 -3,5934 -3,5889 -3,5339 -3,4697 -3,4273 -3,4104 -3,4008 -3,3712 -3,2981 -3,1691 -2,9894 -2,7793 -2,5547 -2,3129 -2,0412 -1,7377 -1,4171 -1,1011 -0,8029 -0,5165 -0,2200 0,1031 0,4444 0,7714 1,0401 1,2103 1,2672 1,2323 1,1499 1,0612 0,9926 0,9542 0,9407 0,9326 0,9025 0,8284 0,7013 0,5204 0,2891 0,0165 -0,2813 -0,5764 -0,8248 -0,9741 -0,9811 -0,8260 -0,5155 -0,0789 0,4305 0,9485 1,4310 1,8579 2,2066 2,4362 2,5019 2,3889 2,1421 1,8571 1,6272 1,4973 1,4558 1,4527 1,4289 1,3537 1,2443 1,1416 1,0706 1,0292 1,0051 0,9893 0,9769 0,9628 0,9385 0,8872 0,7878 0,6312 0,4430 0,2925 0,2663 0,4158 0,7235 1,1143 1,4985 1,8147 2,0447 2,1959 2,2755 2,2891 2,2578 2,2199 2,2078 2,2248 2,2396 2,2030 2,0813 1,8781 1,6338 1,4102 1,2694 1,2462 1,3299 1,4821 1,6737 1,9047 2,1909 2,5397 2,9423 3,3823 3,8394 4,2781 4,6411 4,8608 4,8835 4,6881 4,3000 3,7986 3,3060 2,9467 2,7986 2,8705 3,1198 3,4831 3,8922 4,2817 4,6013 4,8238 4,9408 4,9560 4,8851 4,7496 4,5568 4,2919 3,9405 3,5141 3,0522 2,6102 2,2451 2,0027 1,9090 1,9665 2,1562 2,4392 2,7644 3,0827 3,3532 3,5391 3,6101 3,5551 3,3885 3,1481 2,8906 2,6776 2,5498 2,5076 2,5129 2,5195 2,5085 2,5026 2,5496 2,6895 2,9322 3,2571 3,6299 4,0219 4,4210 4,8279 5,2403 5,6338 5,9579 6,1542 6,1877 6,0617 5,8080 5,4722 5,1066 4,7587 4,4547 4,1888 3,9285 3,6338 3,2757 2,8384 2,3087 1,6831 0,9850 0,2676 -0,4019 -0,9618 -1,3759 -1,6434 -1,7882 -1,8429 -1,8423 -1,8212 -1,8043 -1,7893 -1,7424 -1,6154 -1,3751 -1,0270 -0,6224 -0,2395 0,0521 0,2206 0,2839 0,2934 0,2968 0,3132 0,3420 0,3798 0,4242 0,4704 0,5108 0,5397 0,5578 0,5686 0,5702 0,5512 0,4961 0,4030 0,3008 0,2399 0,2615 0,3779 0,5740 0,8161 1,0674 1,3053 1,5290 1,7485 1,9679 2,1712 2,3287 2,4278 2,4882 2,5328 2,5578 2,5422 2,4714 2,3429 2,1603 1,9341 1,6847 1,4316 1,1767 0,9031 0,5960 0,2607 -0,0803 -0,4030 -0,6979 -0,9732 -1,2424 -1,5104 -1,7772 -2,0435 -2,3031 -2,5355 -2,7147 -2,8268 -2,8789 -2,8954 -2,9120 -2,9689 -3,0992 -3,3075 -3,5558 -3,7790 -3,9197 -3,9596 -3,9311 -3,8995 -3,9322 -4,0728 -4,3255 -4,6596 -5,0280 -5,3871 -5,7049 -5,9592 -6,1388 -6,2445 -6,2812 -6,2523 -6,1677 -6,0475 -5,9101 -5,7606 -5,5893 -5,3813 -5,1272
Fz    0,7821 0,8833 0,9076 0,8243 0,6526 0,4425 0,2441 0,0907 -0,0053 -0,0529 -0,0842 -0,1480 -0,2864 -0,5167 -0,8312 -1,1987 -1,5637 -1,8629 -2,0556 -2,1385 -2,1349 -2,0775 -1,9911 -1,8806 -1,7335 -1,5333 -1,2770 -0,9847 -0,6874 -0,4007 -0,1185 0,1678 0,4540 0,7274 0,9763 1,1967 1,3930 1,5684 1,7145 1,8151 1,8566 1,8264 1,7104 1,5049 1,2329 0,9420 0,6787 0,4653 0,3049 0,2010 0,1580 0,1658 0,1943 0,2080 0,1890 0,1483 0,1168 0,1303 0,2167 0,3826 0,6064 0,8443 1,0490 1,1906 1,2634 1,2763 1,2429 1,1814 1,1124 1,0463 0,9719 0,8643 0,7038 0,4893 0,2398 -0,0104 -0,2199 -0,3464 -0,3521 -0,2186 0,0276 0,3083 0,5319 0,6431 0,6385 0,5531 0,4430 0,3669 0,3648 0,4454 0,5910 0,7774 0,9860 1,1973 1,3831 1,5162 1,5836 1,5831 1,5118 1,3726 1,1886 1,0052 0,8752 0,8376 0,9053 1,0663 1,2852 1,5098 1,6879 1,7803 1,7610 1,6217 1,3918 1,1389 0,9317 0,7955 0,6976 0,5716 0,3572 0,0244 -0,4299 -0,9936 -1,6420 -2,3332 -3,0078 -3,6007 -4,0608 -4,3598 -4,4817 -4,4160 -4,1710 -3,7849 -3,3170 -2,8240 -2,3443 -1,8976 -1,4870 -1,1059 -0,7467 -0,4044 -0,0815 0,2044 0,4291 0,5856 0,6946 0,7941 0,9255 1,1153 1,3574 1,6136 1,8367 1,9923 2,0598 2,0303 1,9161 1,7669 1,6680 1,7135 1,9648 2,4192 3,0036 3,6021 4,1065 4,4631 4,6882 4,8462 5,0065 5,2048 5,4300 5,6410 5,7949 5,8635 5,8348 5,7144 5,5258 5,2998 5,0568 4,8018 4,5287 4,2260 3,8813 3,4920 3,0749 2,6668 2,3125 2,0413 1,8419 1,6634 1,4463 1,1541 0,7839 0,3645 -0,0536 -0,4176 -0,6927 -0,8690 -0,9517 -0,9585 -0,9261 -0,9130 -0,9839 -1,1781 -1,4823 -1,8263 -2,1132 -2,2624 -2,2348 -2,0350 -1,7074 -1,3238 -0,9594 -0,6704 -0,4817 -0,3835 -0,3303 -0,2511 -0,0771 0,2291 0,6608 1,1713 1,6883 2,1311 2,4359 2,5830 2,6012 2,5431 2,4589 2,3865 2,3492 2,3475 2,3632 2,3733 2,3541 2,2831 2,1591 2,0126 1,8867 1,8202 1,8431 1,9614 2,1444 2,3382 2,4920 2,5697 2,5470 2,4110 2,1661 1,8408 1,4878 1,1673 0,9215 0,7585 0,6571 0,5823 0,5024 0,4075 0,3143 0,2459 0,2010 0,1487 0,0502 -0,1211 -0,3732 -0,6940 -1,0502 -1,3923 -1,6670 -1,8315 -1,8663 -1,7877 -1,6524 -1,5446 -1,5445 -1,6961 -1,9801 -2,3116 -2,5847 -2,7335 -2,7555 -2,7002 -2,6503 -2,6953 -2,8971 -3,2631 -3,7367 -4,2177 -4,6100 -4,8665 -4,9933 -5,0213 -4,9867 -4,9319 -4,8955 -4,8895 -4,8919 -4,8570 -4,7304 -4,4726 -4,0871 -3,6228 -3,1570 -2,7718 -2,5246 -2,4249 -2,4400 -2,5232 -2,6321 -2,7307 -2,7853 -2,7718 -2,6956 -2,5943 -2,5097 -2,4628 -2,4504 -2,4575 -2,4660 -2,4546 -2,4058 -2,3219 -2,2258 -2,1367 -2,0461 -1,9222 -1,7344 -1,4720 -1,1422 -0,7585 -0,3299 0,1391 0,6320 1,1082 1,5116 1,7936 1,9334 1,9500 1,8941 1,8229 1,7769 1,7702 1,7902 1,8047 1,7763 1,6766 1,4996 1,2639 0,9961 0,7140 0,4227 0,1265 -0,1536 -0,3793 -0,5124 -0,5243 -0,3961 -0,1199 0,2915 0,7951 1,3326 1,8582 2,3386 2,7317 2,9842 3,0541 2,9394 2,6990 2,4393 2,2596 2,2041 2,2562 2,3612 2,4552 2,5011 2,5115 2,5255 2,5622 2,6035 2,6154 2,5748 2,4795 2,3460 2,1925 2,0222 1,8259 1,5999 1,3662 1,1819 1,1219 1,2345 1,5072 1,8701 2,2368 2,5478 2,7849 2,9539 3,0640 3,1289 3,1722 3,2181 3,2713 3,3094 3,2932 3,1900 2,9980 2,7543 2,5222 2,3650 2,3218 2,3960 2,5612 2,7795 3,0218 3,2799 3,5623 3,8823 4,2527 4,6845 5,1737 5,6813 6,1310 6,4334 6,5196 6,3636 5,9908 5,4783 4,9441 4,5169 4,2924 4,3045 4,5269 4,8939 5,3199 5,7174 6,0200 6,1999 6,2638 6,2366 6,1454 6,0071 5,8170 5,5482 5,1700 4,6741 4,0951 3,5081 3,0039 2,6547 2,4973 2,5331 2,7391 3,0725 3,4738 3,8801 4,2387 4,5076 4,6527 4,6581 4,5382 4,3352 4,1075 3,9117 3,7778 3,6949 3,6216 3,5151 3,3651 3,2103 3,1180 3,1462 3,3175 3,6204 4,0304 4,5254 5,0871 5,6977 6,3333 6,9571 7,5155 7,9487 8,2161 8,3142 8,2672 8,1079 7,8690 7,5826 7,2773 6,9691 6,6493 6,2875 5,8545 5,3313 4,7016 3,9628 3,1502 2,3372 1,6061 1,0187 0,6068 0,3732 0,2947 0,3259 0,4091 0,4909 0,5425 0,5752 0,6367 0,7860 1,0647 1,4699 1,9427 2,3885 2,7175 2,8788 2,8797 2,7798 2,6572 2,5776 2,5781 2,6607 2,7944 2,9344 3,0411 3,0897 3,0746 3,0101 2,9210 2,8259 2,7252 2,6143 2,5094 2,4470 2,4577 2,5519 2,7162 2,9118 3,0947 3,2432 3,3591 3,4500 3,5183 3,5594 3,5647 3,5387 3,5067 3,4914 3,4910 3,4891 3,4713 3,4205 3,3133 3,1367 2,9025 2,6383 2,3638 2,0811 1,7864 1,4831 1,1847 0,9049 0,6390 0,3569 0,0252 -0,3668 -0,8042 -1,2556 -1,6795 -2,0285 -2,2608 -2,3565 -2,3289 -2,2240 -2,1081 -2,0491 -2,0979 -2,2648 -2,5058 -2,7435 -2,9123 -2,9965 -3,0353 -3,0989 -3,2566 -3,5475 -3,9611 -4,4436 -4,9275 -5,3568 -5,6962 -5,9257 -6,0389 -6,0462 -5,9685 -5,8286 -5,6503 -5,4554 -5,2584 -5,0608 -4,8477 -4,5965 -4,2966
F3    -0,4197 -0,4316 -0,3684 -0,2888 -0,2045 -0,1040 0,0158 0,1438 0,2642 0,3594 0,4061 0,3772 0,2562 0,0454 -0,2376 -0,5614 -0,8779 -1,1356 -1,3039 -1,3796 -1,3765 -1,3136 -1,2088 -1,0740 -0,9142 -0,7335 -0,5478 -0,3891 -0,2853 -0,2346 -0,2042 -0,1537 -0,0553 0,1019 0,3110 0,5488 0,7875 1,0044 1,1845 1,3183 1,3967 1,4056 1,3302 1,1709 0,9546 0,7304 0,5461 0,4245 0,3628 0,3572 0,4157 0,5406 0,7100 0,8822 1,0159 1,0877 1,0958 1,0560 0,9960 0,9462 0,9286 0,9488 0,9951 1,0482 1,0927 1,1182 1,1166 1,0872 1,0402 0,9858 0,9234 0,8414 0,7282 0,5811 0,4107 0,2354 0,0727 -0,0534 -0,1017 -0,0295 0,1666 0,4343 0,6977 0,9003 1,0193 1,0640 1,0721 1,0909 1,1504 1,2531 1,3894 1,5549 1,7499 1,9642 2,1722 2,3463 2,4705 2,5380 2,5379 2,4578 2,3016 2,1036 1,9231 1,8202 1,8272 1,9340 2,0900 2,2240 2,2783 2,2301 2,0795 1,8431 1,5692 1,3306 1,1817 1,1228 1,0998 1,0344 0,8642 0,5628 0,1365 -0,3856 -0,9588 -1,5331 -2,0644 -2,5199 -2,8778 -3,1244 -3,2478 -3,2359 -3,0896 -2,8345 -2,5161 -2,1800 -1,8584 -1,5681 -1,3120 -1,0819 -0,8669 -0,6568 -0,4409 -0,2132 0,0200 0,2484 0,4719 0,7012 0,9491 1,2221 1,5134 1,8002 2,0558 2,2636 2,4155 2,5036 2,5254 2,5013 2,4868 2,5611 2,7953 3,2150 3,7808 4,4002 4,9727 5,4375 5,7883 6,0509 6,2548 6,4180 6,5398 6,6008 6,5782 6,4569 6,2310 5,9139 5,5509 5,1985 4,8903 4,6292 4,4021 4,1886 3,9686 3,7339 3,4953 3,2760 3,0994 2,9729 2,8734 2,7485 2,5418 2,2210 1,7940 1,3081 0,8325 0,4298 0,1270 -0,0924 -0,2670 -0,4301 -0,6013 -0,7960 -1,0296 -1,3060 -1,6025 -1,8707 -2,0521 -2,1004 -2,0000 -1,7764 -1,4885 -1,2046 -0,9777 -0,8327 -0,7641 -0,7446 -0,7364 -0,7002 -0,6050 -0,4369 -0,1982 0,0988 0,4313 0,7620 1,0489 1,2666 1,4122 1,4909 1,5080 1,4766 1,4249 1,3852 1,3760 1,3913 1,4022 1,3742 1,3004 1,2091 1,1321 1,0869 1,0874 1,1433 1,2423 1,3529 1,4424 1,4834 1,4506 1,3301 1,1327 0,8918 0,6517 0,4565 0,3351 0,2943 0,3217 0,3890 0,4590 0,5076 0,5349 0,5483 0,5368 0,4724 0,3305 0,0995 -0,2193 -0,6038 -1,0120 -1,3949 -1,7033 -1,8908 -1,9236 -1,8006 -1,5740 -1,3445 -1,2224 -1,2765 -1,4939 -1,7841 -2,0369 -2,1861 -2,2279 -2,2071 -2,1986 -2,2834 -2,5161 -2,8978 -3,3685 -3,8308 -4,2006 -4,4424 -4,5579 -4,5586 -4,4643 -4,3182 -4,1748 -4,0626 -3,9698 -3,8616 -3,7008 -3,4661 -3,1675 -2,8423 -2,5404 -2,3138 -2,1964 -2,1837 -2,2443 -2,3527 -2,4996 -2,6766 -2,8583 -3,0053 -3,0921 -3,1256 -3,1299 -3,1210 -3,0994 -3,0562 -2,9808 -2,8660 -2,7142 -2,5403 -2,3633 -2,1860 -1,9867 -1,7399 -1,4457 -1,1303 -0,8221 -0,5310 -0,2464 0,0505 0,3675 0,6884 0,9799 1,2066 1,3445 1,3949 1,3870 1,3604 1,3468 1,3658 1,4241 1,5115 1,5999 1,6552 1,6567 1,6021 1,4947 1,3325 1,1111 0,8371 0,5427 0,2832 0,1170 0,0861 0,2112 0,4951 0,9229 1,4507 2,0131 2,5572 3,0528 3,4674 3,7541 3,8670 3,7931 3,5800 3,3242 3,1174 3,0006 2,9595 2,9466 2,9103 2,8302 2,7307 2,6539 2,6199 2,6147 2,6079 2,5749 2,5067 2,4078 2,2849 2,1367 1,9573 1,7509 1,5483 1,4133 1,4202 1,6082 1,9521 2,3743 2,7883 3,1371 3,4011 3,5779 3,6626 3,6543 3,5758 3,4743 3,3943 3,3484 3,3079 3,2217 3,0564 2,8225 2,5707 2,3699 2,2814 2,3351 2,5193 2,7966 3,1323 3,5103 3,9264 4,3730 4,8344 5,2938 5,7323 6,1166 6,3968 6,5176 6,4343 6,1279 5,6247 5,0093 4,4117 3,9648 3,7530 3,7851 4,0116 4,3610 4,7624 5,1538 5,4885 5,7363 5,8794 5,9113 5,8410 5,6878 5,4630 5,1618 4,7818 4,3441 3,8917 3,4762 3,1460 2,9369 2,8652 2,9256 3,0955 3,3400 3,6167 3,8881 4,1252 4,2967 4,3669 4,3106 4,1257 3,8421 3,5252 3,2578 3,0970 3,0446 3,0561 3,0773 3,0805 3,0762 3,0962 3,1702 3,3139 3,5297 3,8138 4,1635 4,5801 5,0636 5,6006 6,1512 6,6451 7,0021 7,1687 7,1397 6,9511 6,6656 6,3553 6,0749 5,8431 5,6432 5,4365 5,1784 4,8343 4,3850 3,8205 3,1458 2,3915 1,6143 0,8850 0,2727 -0,1775 -0,4565 -0,5823 -0,5869 -0,5115 -0,4019 -0,2953 -0,1994 -0,0839 0,0985 0,3796 0,7504 1,1573 1,5220 1,7759 1,8876 1,8750 1,7949 1,7093 1,6575 1,6579 1,7185 1,8379 2,0019 2,1867 2,3698 2,5404 2,6982 2,8412 2,9545 3,0106 2,9921 2,9177 2,8368 2,7978 2,8298 2,9404 3,1128 3,3106 3,4977 3,6551 3,7796 3,8707 3,9171 3,9011 3,8283 3,7367 3,6572 3,5830 3,4893 3,3626 3,2025 3,0127 2,8025 2,5903 2,3937 2,2122 2,0292 1,8321 1,6251 1,4214 1,2282 1,0335 0,8107 0,5423 0,2334 -0,1024 -0,4568 -0,8188 -1,1666 -1,4806 -1,7584 -2,0075 -2,2283 -2,4143 -2,5713 -2,7262 -2,9018 -3,0860 -3,2361 -3,3119 -3,3027 -3,2342 -3,1567 -3,1272 -3,1884 -3,3546 -3,6141 -3,9388 -4,2932 -4,6404 -4,9447 -5,1781 -5,3281 -5,3919 -5,3701 -5,2716 -5,1183 -4,9367 -4,7418 -4,5254 -4,2620 -3,9306
F7    1,7245 1,7246 1,7098 1,7037 1,7002 1,6825 1,6299 1,5211 1,3482 1,1275 0,8861 0,6417 0,4032 0,1840 -0,0107 -0,1926 -0,3680 -0,5204 -0,6207 -0,6477 -0,6020 -0,5071 -0,4016 -0,3312 -0,3273 -0,3886 -0,4908 -0,6042 -0,6943 -0,7252 -0,6832 -0,5881 -0,4795 -0,3999 -0,3792 -0,4171 -0,4810 -0,5323 -0,5471 -0,5188 -0,4601 -0,4040 -0,3889 -0,4313 -0,5145 -0,6033 -0,6682 -0,6972 -0,6939 -0,6671 -0,6232 -0,5770 -0,5539 -0,5680 -0,6079 -0,6504 -0,6748 -0,6652 -0,6075 -0,4969 -0,3558 -0,2362 -0,1941 -0,2539 -0,3950 -0,5669 -0,7144 -0,8010 -0,8274 -0,8268 -0,8336 -0,8568 -0,8935 -0,9561 -1,0667 -1,2212 -1,3733 -1,4635 -1,4532 -1,3329 -1,1199 -0,8556 -0,5883 -0,3507 -0,1593 -0,0271 0,0409 0,0614 0,0648 0,0783 0,1276 0,2433 0,4470 0,7312 1,0603 1,3855 1,6513 1,7982 1,7860 1,6307 1,4065 1,1951 1,0352 0,9196 0,8292 0,7556 0,6896 0,6171 0,5292 0,4229 0,2931 0,1378 -0,0255 -0,1575 -0,2224 -0,2254 -0,2260 -0,3004 -0,4913 -0,7947 -1,1790 -1,6049 -2,0381 -2,4474 -2,8015 -3,0830 -3,3025 -3,4807 -3,6124 -3,6609 -3,5930 -3,4112 -3,1454 -2,8233 -2,4652 -2,0984 -1,7562 -1,4685 -1,2547 -1,1186 -1,0498 -1,0313 -1,0418 -1,0607 -1,0779 -1,0899 -1,0800 -1,0193 -0,8925 -0,7143 -0,5208 -0,3507 -0,2340 -0,1884 -0,2113 -0,2603 -0,2472 -0,0737 0,3118 0,8881 1,5805 2,3008 2,9765 3,5597 4,0303 4,3882 4,6235 4,7019 4,5914 4,3029 3,9137 3,5526 3,3315 3,2687 3,2947 3,3318 3,3445 3,3256 3,2750 3,1930 3,0735 2,9052 2,6870 2,4403 2,1937 1,9585 1,7313 1,5139 1,3099 1,1058 0,8786 0,6234 0,3583 0,1042 -0,1262 -0,3243 -0,4876 -0,6277 -0,7695 -0,9446 -1,1810 -1,4814 -1,8067 -2,0845 -2,2503 -2,2811 -2,1920 -2,0182 -1,8147 -1,6532 -1,5866 -1,6125 -1,6858 -1,7600 -1,7997 -1,7659 -1,6261 -1,3838 -1,0803 -0,7681 -0,4958 -0,3071 -0,2291 -0,2539 -0,3383 -0,4270 -0,4820 -0,4980 -0,4976 -0,5116 -0,5580 -0,6393 -0,7520 -0,8828 -1,0072 -1,1018 -1,1464 -1,1166 -0,9918 -0,7693 -0,4772 -0,1792 0,0453 0,1394 0,0842 -0,1170 -0,4482 -0,8687 -1,3097 -1,6945 -1,9630 -2,0832 -2,0519 -1,8971 -1,6739 -1,4390 -1,2216 -1,0324 -0,8968 -0,8541 -0,9227 -1,0852 -1,3075 -1,5641 -1,8423 -2,1219 -2,3624 -2,5271 -2,6150 -2,6527 -2,6695 -2,7004 -2,7902 -2,9681 -3,2177 -3,4799 -3,6879 -3,8041 -3,8363 -3,8295 -3,8396 -3,9154 -4,0879 -4,3463 -4,6165 -4,7965 -4,8284 -4,7355 -4,5972 -4,4923 -4,4649 -4,5200 -4,6282 -4,7440 -4,8336 -4,8797 -4,8673 -4,7924 -4,6762 -4,5476 -4,4247 -4,3134 -4,2046 -4,0814 -3,9483 -3,8396 -3,7933 -3,8289 -3,9335 -4,0568 -4,1349 -4,1322 -4,0637 -3,9829 -3,9427 -3,9579 -4,0021 -4,0245 -3,9679 -3,7873 -3,4714 -3,0513 -2,5865 -2,1385 -1,7525 -1,4550 -1,2633 -1,1864 -1,2062 -1,2677 -1,2988 -1,2418 -1,0731 -0,8183 -0,5545 -0,3676 -0,2952 -0,3201 -0,4047 -0,5183 -0,6372 -0,7337 -0,7817 -0,7735 -0,7286 -0,6916 -0,7136 -0,8167 -0,9839 -1,1876 -1,4099 -1,6254 -1,7791 -1,8014 -1,6519 -1,3402 -0,9169 -0,4579 -0,0432 0,2710 0,4695 0,5742 0,6126 0,5862 0,4798 0,3016 0,0981 -0,0703 -0,1658 -0,1929 -0,1954 -0,2300 -0,3288 -0,4806 -0,6520 -0,8203 -0,9760 -1,1005 -1,1638 -1,1458 -1,0473 -0,8888 -0,7066 -0,5447 -0,4402 -0,3989 -0,3885 -0,3605 -0,2847 -0,1707 -0,0571 0,0235 0,0678 0,1059 0,1788 0,3008 0,4476 0,5838 0,6910 0,7736 0,8451 0,9068 0,9373 0,9068 0,7950 0,5970 0,3295 0,0381 -0,2173 -0,3978 -0,4898 -0,4800 -0,3515 -0,1046 0,2315 0,6067 0,9697 1,2861 1,5384 1,7147 1,7983 1,7746 1,6427 1,4181 1,1348 0,8463 0,6108 0,4752 0,4730 0,6191 0,8968 1,2562 1,6365 1,9948 2,3048 2,5385 2,6712 2,7049 2,6637 2,5631 2,3992 2,1722 1,9046 1,6348 1,3978 1,2170 1,1127 1,1059 1,2062 1,3983 1,6429 1,8924 2,1069 2,2526 2,2991 2,2322 2,0609 1,8102 1,5198 1,2382 1,0068 0,8523 0,7809 0,7731 0,8016 0,8603 0,9665 1,1404 1,3828 1,6655 1,9466 2,1998 2,4266 2,6398 2,8428 3,0189 3,1369 3,1757 3,1463 3,0821 3,0060 2,9110 2,7724 2,5748 2,3285 2,0603 1,7877 1,5086 1,2141 0,8944 0,5264 0,0734 -0,4878 -1,1398 -1,8214 -2,4502 -2,9558 -3,3064 -3,5185 -3,6353 -3,6923 -3,7095 -3,6992 -3,6635 -3,5926 -3,4721 -3,2923 -3,0644 -2,8225 -2,6041 -2,4363 -2,3310 -2,2768 -2,2316 -2,1427 -1,9895 -1,8081 -1,6671 -1,6209 -1,6808 -1,8180 -1,9786 -2,1031 -2,1519 -2,1245 -2,0587 -2,0001 -1,9732 -1,9740 -1,9745 -1,9321 -1,8119 -1,6097 -1,3563 -1,0963 -0,8596 -0,6494 -0,4543 -0,2690 -0,1054 0,0158 0,0863 0,1253 0,1659 0,2274 0,3080 0,3909 0,4434 0,4264 0,3239 0,1676 0,0224 -0,0619 -0,0878 -0,1038 -0,1642 -0,2923 -0,4826 -0,7234 -0,9953 -1,2666 -1,5131 -1,7307 -1,9232 -2,0969 -2,2647 -2,4433 -2,6384 -2,8387 -3,0272 -3,2001 -3,3729 -3,5647 -3,7743 -3,9761 -4,1422 -4,2548 -4,3014 -4,2791 -4,2022 -4,0963 -3,9942 -3,9274 -3,9076 -3,9270 -3,9789 -4,0698 -4,2068 -4,3826 -4,5772 -4,7687 -4,9338 -5,0468 -5,0941 -5,0943 -5,0877 -5,0960 -5,1049 -5,0908 -5,0413
