Fp1   -0,9285 -0,9329 -1,0146 -1,1427 -1,2726 -1,3448 -1,3005 -1,1101 -0,7928 -0,4110 -0,0380 0,2705 0,4804 0,5718 0,5490 0,4506 0,3335 0,2448 0,2121 0,2478 0,3509 0,4981 0,6342 0,6911 0,6364 0,5021 0,3618 0,2781 0,2638 0,2889 0,3180 0,3341 0,3329 0,3149 0,2929 0,2952 0,3480 0,4565 0,5989 0,7296 0,7919 0,7437 0,5787 0,3230 0,0151 -0,3081 -0,6129 -0,8712 -1,0661 -1,1924 -1,2436 -1,2017 -1,0528 -0,8131 -0,5360 -0,2938 -0,1456 -0,1059 -0,1451 -0,2256 -0,3297 -0,4548 -0,5905 -0,7041 -0,7550 -0,7215 -0,6111 -0,4536 -0,2922 -0,1727 -0,1289 -0,1719 -0,2858 -0,4259 -0,5303 -0,5467 -0,4590 -0,2921 -0,0976 0,0699 0,1707 0,1904 0,1403 0,0504 -0,0405 -0,0951 -0,0920 -0,0317 0,0703 0,1896 0,2908 0,3380 0,3161 0,2366 0,1157 -0,0434 -0,2383 -0,4480 -0,6473 -0,8388 -1,0567 -1,3404 -1,7102 -2,1525 -2,6178 -3,0461 -3,4093 -3,7330 -4,0733 -4,4720 -4,9348 -5,4387 -5,9419 -6,3940 -6,7627 -7,0611 -7,3377 -7,6311 -7,9352 -8,2048 -8,3837 -8,4282 -8,3201 -8,0700 -7,7113 -7,2881 -6,8407 -6,3944 -5,9552 -5,5087 -5,0243 -4,4716 -3,8462 -3,1826 -2,5401 -1,9729 -1,5116 -1,1643 -0,9268 -0,7791 -0,6743 -0,5462 -0,3389 -0,0324 0,3529 0,7709 1,1666 1,4849 1,6795 1,7354 1,6870 1,6040 1,5495 1,5503 1,6013 1,6877 1,8028 1,9480 2,1239 2,3238 2,5294 2,7117 2,8400 2,8947 2,8726 2,7838 2,6404 2,4459 2,1980 1,9000 1,5671 1,2254 0,9072 0,6478 0,4759 0,3946 0,3762 0,3817 0,3811 0,3547 0,2809 0,1366 -0,0897 -0,3892 -0,7347 -1,0883 -1,4149 -1,6948 -1,9364 -2,1768 -2,4623 -2,8243 -3,2757 -3,8188 -4,4449 -5,1331 -5,8552 -6,5841 -7,2957 -7,9686 -8,5812 -9,1156 -9,5692 -9,9548 -10,2859 -10,5701 -10,8169 -11,0436 -11,2757 -11,5438 -11,8747 -12,2773 -12,7316 -13,1876 -13,5809 -13,8613 -14,0124 -14,0528 -14,0204 -13,9496 -13,8566 -13,7462 -13,6238 -13,4945 -13,3575 -13,2063 -13,0380 -12,8632 -12,7058 -12,5829 -12,4886 -12,4043 -12,3178 -12,2259 -12,1336 -12,0565 -12,0109 -11,9957 -11,9912 -11,9776 -11,9520 -11,9322 -11,9443 -12,0076 -12,1298 -12,3140 -12,5590 -12,8498 -13,1578 -13,4536 -13,7183 -13,9411 -14,1151 -14,2389 -14,3231 -14,3936 -14,4759 -14,5721 -14,6570 -14,6945 -14,6550 -14,5261 -14,3227 -14,0907 -13,8967 -13,8030 -13,8389 -13,9846 -14,1779 -14,3509 -14,4702 -14,5445 -14,5981 -14,6449 -14,6884 -14,7313 -14,7796 -14,8395 -14,9174 -15,0218 -15,1589 -15,3233 -15,5007 -15,6778 -15,8441 -15,9834 -16,0687 -16,0664 -15,9554 -15,7465 -15,4867 -15,2379 -15,0440 -14,9128 -14,8257 -14,7616 -14,7107 -14,6656 -14,6114 -14,5286 -14,4026 -14,2342 -14,0414 -13,8496 -13,6814 -13,5524 -13,4642 -13,4053 -13,3595 -13,3128 -13,2518 -13,1645 -13,0468 -12,9030 -12,7448 -12,5936 -12,4795 -12,4270 -12,4381 -12,4905 -12,5501 -12,5843 -12,5665 -12,4856 -12,3614 -12,2429 -12,1881 -12,2400 -12,4123 -12,6848 -13,0109 -13,3374 -13,6307 -13,8826 -14,0895 -14,2394 -14,3236 -14,3492 -14,3368 -14,3063 -14,2661 -14,2097 -14,1189 -13,9772 -13,7913 -13,6054 -13,4849 -13,4844 -13,6257 -13,8879 -14,2106 -14,5226 -14,7815 -14,9783 -15,1078 -15,1543 -15,1119 -15,0019 -14,8654 -14,7432 -14,6636 -14,6439 -14,6953 -14,8234 -15,0222 -15,2650 -15,5001 -15,6655 -15,7206 -15,6627 -15,5100 -15,2757 -14,9689 -14,6116 -14,2412 -13,8976 -13,6092 -13,3923 -13,2540 -13,1926 -13,1955 -13,2421 -13,3045 -13,3459 -13,3324 -13,2520 -13,1121 -12,9199 -12,6790 -12,4052 -12,1239 -11,8536 -11,6026 -11,3736 -11,1658 -10,9819 -10,8345 -10,7430 -10,7240 -10,7739 -10,8578 -10,9259 -10,9512 -10,9473 -10,9468 -10,9758 -11,0481 -11,1678 -11,3254 -11,4968 -11,6458 -11,7312 -11,7206 -11,6041 -11,3939 -11,1163 -10,8052 -10,4863 -10,1620 -9,8180 -9,4514 -9,0886 -8,7748 -8,5423 -8,3929 -8,3165 -8,3156 -8,4062 -8,6014 -8,8980 -9,2654 -9,6416 -9,9476 -10,1191 -10,1355 -10,0260 -9,8561 -9,7016 -9,6255 -9,6608 -9,8049 -10,0263 -10,2765 -10,5000 -10,6446 -10,6774 -10,6001 -10,4509 -10,2824 -10,1331 -10,0184 -9,9388 -9,8839 -9,8398 -9,8063 -9,8010 -9,8385 -9,9168 -10,0188 -10,1186 -10,1841 -10,1876 -10,1262 -10,0275 -9,9270 -9,8387 -9,7494 -9,6422 -9,5206 -9,4063 -9,3239 -9,2882 -9,3014 -9,3587 -9,4566 -9,5986 -9,7984 -10,0733 -10,4226 -10,8147 -11,1986 -11,5333 -11,8044 -12,0208 -12,2029 -12,3749 -12,5557 -12,7440 -12,9195 -13,0645 -13,1743 -13,2473 -13,2829 -13,2936 -13,3115 -13,3740 -13,4967 -13,6572 -13,8087 -13,9038 -13,9079 -13,8083 -13,6173 -13,3654 -13,0941 -12,8513 -12,6788 -12,5953 -12,5860 -12,6048 -12,5900 -12,4891 -12,2821 -11,9899 -11,6603 -11,3401 -11,0531 -10,7977 -10,5667 -10,3619 -10,1883 -10,0435 -9,9199 -9,8121 -9,7214 -9,6496 -9,5920 -9,5381 -9,4782 -9,4056 -9,3090 -9,1709 -8,9841 -8,7690 -8,5707 -8,4388 -8,4009 -8,4488 -8,5488 -8,6655 -8,7783 -8,8858 -9,0038 -9,1530 -9,3462 -9,5853 -9,8617 -10,1562 -10,4426 -10,6927 -10,8803 -10,9892 -11,0215 -10,9973 -10,9420 -10,8696 -10,7779 -10,6596 -10,5082 -10,3140 -10,0646 -9,7543 -9,3933 -9,0126 -8,6633 -8,4009 -8,2601 -8,2452 -8,3428 -8,5412 -8,8343 -9,2089 -9,6259 -10,0174 -10,3133 -10,4767 -10,5148 -10,4664 -10,3839 -10,3081 -10,2472 -10,1877 -10,1273 -10,0848 -10,0786 -10,1134 -10,1836 -10,2741 -10,3563 -10,3976 -10,3813 -10,3149 -10,2206 -10,1230 -10,0479 -10,0239 -10,0714 -10,1919 -10,3658 -10,5547
Fz    0,1708 0,1623 0,1370 0,1008 0,0519 0,0020 -0,0177 0,0256 0,1385 0,2909 0,4332 0,5229 0,5344 0,4554 0,2872 0,0480 -0,2267 -0,4909 -0,6992 -0,8186 -0,8383 -0,7740 -0,6610 -0,5348 -0,4100 -0,2775 -0,1223 0,0545 0,2247 0,3474 0,3979 0,3839 0,3376 0,2966 0,2957 0,3605 0,4886 0,6387 0,7477 0,7648 0,6736 0,4942 0,2691 0,0403 -0,1731 -0,3803 -0,5988 -0,8300 -1,0582 -1,2653 -1,4324 -1,5324 -1,5432 -1,4673 -1,3342 -1,1932 -1,0940 -1,0566 -1,0626 -1,0854 -1,1166 -1,1620 -1,2257 -1,3013 -1,3742 -1,4297 -1,4592 -1,4606 -1,4381 -1,4006 -1,3517 -1,2856 -1,1937 -1,0691 -0,9083 -0,7162 -0,5113 -0,3204 -0,1641 -0,0517 0,0101 0,0147 -0,0300 -0,0877 -0,1041 -0,0342 0,1315 0,3632 0,6033 0,7834 0,8462 0,7734 0,5935 0,3601 0,1150 -0,1322 -0,3902 -0,6578 -0,9168 -1,1519 -1,3685 -1,5934 -1,8632 -2,2088 -2,6403 -3,1446 -3,7017 -4,3020 -4,9460 -5,6305 -6,3344 -7,0141 -7,6132 -8,0810 -8,3955 -8,5753 -8,6670 -8,7182 -8,7588 -8,7939 -8,8058 -8,7660 -8,6501 -8,4495 -8,1747 -7,8449 -7,4706 -7,0475 -6,5682 -6,0312 -5,4394 -4,7986 -4,1272 -3,4629 -2,8482 -2,3075 -1,8375 -1,4192 -1,0398 -0,7011 -0,4021 -0,1152 0,2080 0,6059 1,0793 1,5876 2,0659 2,4496 2,6974 2,8054 2,8055 2,7463 2,6699 2,6035 2,5680 2,5842 2,6638 2,7991 2,9636 3,1220 3,2409 3,2958 3,2710 3,1618 2,9796 2,7521 2,5132 2,2897 2,0972 1,9397 1,8081 1,6814 1,5361 1,3603 1,1588 0,9442 0,7278 0,5198 0,3323 0,1776 0,0600 -0,0301 -0,1149 -0,2132 -0,3226 -0,4219 -0,4911 -0,5260 -0,5433 -0,5761 -0,6590 -0,8155 -1,0609 -1,4056 -1,8465 -2,3639 -2,9341 -3,5431 -4,1860 -4,8500 -5,4981 -6,0722 -6,5222 -6,8373 -7,0540 -7,2371 -7,4503 -7,7324 -8,0885 -8,4933 -8,9005 -9,2614 -9,5465 -9,7510 -9,8855 -9,9667 -10,0146 -10,0469 -10,0715 -10,0837 -10,0688 -10,0095 -9,8974 -9,7434 -9,5793 -9,4422 -9,3506 -9,2987 -9,2698 -9,2425 -9,1886 -9,0891 -8,9484 -8,7831 -8,6062 -8,4285 -8,2592 -8,0977 -7,9346 -7,7664 -7,6077 -7,4867 -7,4295 -7,4432 -7,5162 -7,6362 -7,7962 -7,9826 -8,1668 -8,3127 -8,3905 -8,3867 -8,3106 -8,1977 -8,0989 -8,0583 -8,0969 -8,2086 -8,3650 -8,5262 -8,6535 -8,7192 -8,7183 -8,6742 -8,6292 -8,6212 -8,6648 -8,7461 -8,8350 -8,9087 -8,9677 -9,0310 -9,1204 -9,2511 -9,4303 -9,6572 -9,9192 -10,1894 -10,4321 -10,6194 -10,7431 -10,8122 -10,8427 -10,8536 -10,8642 -10,8890 -10,9292 -10,9680 -10,9801 -10,9468 -10,8647 -10,7448 -10,6051 -10,4583 -10,3043 -10,1317 -9,9278 -9,6909 -9,4394 -9,2039 -9,0072 -8,8536 -8,7332 -8,6294 -8,5226 -8,3940 -8,2289 -8,0233 -7,7935 -7,5766 -7,4091 -7,3001 -7,2253 -7,1484 -7,0458 -6,9181 -6,7805 -6,6447 -6,5134 -6,3885 -6,2742 -6,1666 -6,0508 -5,9158 -5,7730 -5,6551 -5,5979 -5,6238 -5,7382 -5,9310 -6,1774 -6,4427 -6,7012 -6,9454 -7,1704 -7,3573 -7,4787 -7,5195 -7,4932 -7,4373 -7,3869 -7,3491 -7,3033 -7,2237 -7,1053 -6,9765 -6,8875 -6,8815 -6,9759 -7,1597 -7,3969 -7,6373 -7,8372 -7,9674 -8,0101 -7,9654 -7,8623 -7,7507 -7,6736 -7,6465 -7,6579 -7,6847 -7,7148 -7,7601 -7,8511 -8,0167 -8,2592 -8,5465 -8,8351 -9,0959 -9,3142 -9,4780 -9,5794 -9,6179 -9,5982 -9,5275 -9,4125 -9,2561 -9,0624 -8,8437 -8,6223 -8,4218 -8,2529 -8,1024 -7,9383 -7,7303 -7,4674 -7,1590 -6,8313 -6,5220 -6,2623 -6,0589 -5,8948 -5,7400 -5,5630 -5,3437 -5,0864 -4,8204 -4,5879 -4,4236 -4,3397 -4,3235 -4,3438 -4,3608 -4,3416 -4,2795 -4,1991 -4,1357 -4,1070 -4,1096 -4,1351 -4,1778 -4,2274 -4,2660 -4,2783 -4,2638 -4,2374 -4,2114 -4,1793 -4,1170 -4,0014 -3,8293 -3,6202 -3,4022 -3,2038 -3,0576 -3,0007 -3,0643 -3,2602 -3,5710 -3,9500 -4,3327 -4,6607 -4,8999 -5,0447 -5,1144 -5,1473 -5,1883 -5,2782 -5,4459 -5,6990 -6,0165 -6,3482 -6,6251 -6,7832 -6,7959 -6,6906 -6,5398 -6,4221 -6,3771 -6,3910 -6,4222 -6,4339 -6,4091 -6,3530 -6,2850 -6,2246 -6,1837 -6,1711 -6,1916 -6,2369 -6,2855 -6,3160 -6,3134 -6,2616 -6,1424 -5,9552 -5,7326 -5,5293 -5,3948 -5,3515 -5,3917 -5,4836 -5,5823 -5,6464 -5,6606 -5,6472 -5,6530 -5,7200 -5,8655 -6,0786 -6,3300 -6,5909 -6,8463 -7,0926 -7,3277 -7,5442 -7,7284 -7,8660 -7,9535 -8,0029 -8,0346 -8,0713 -8,1363 -8,2530 -8,4402 -8,6952 -8,9833 -9,2506 -9,4498 -9,5512 -9,5400 -9,4125 -9,1819 -8,8893 -8,6009 -8,3788 -8,2462 -8,1751 -8,1049 -7,9763 -7,7626 -7,4831 -7,1901 -6,9425 -6,7828 -6,7203 -6,7313 -6,7787 -6,8303 -6,8576 -6,8324 -6,7356 -6,5686 -6,3564 -6,1375 -5,9416 -5,7746 -5,6275 -5,4930 -5,3688 -5,2519 -5,1385 -5,0282 -4,9277 -4,8534 -4,8239 -4,8445 -4,9031 -4,9803 -5,0576 -5,1191 -5,1482 -5,1274 -5,0577 -4,9794 -4,9576 -5,0397 -5,2290 -5,4962 -5,8032 -6,1165 -6,4105 -6,6659 -6,8655 -6,9947 -7,0504 -7,0508 -7,0248 -6,9860 -6,9176 -6,7850 -6,5647 -6,2628 -5,9178 -5,5875 -5,3284 -5,1809 -5,1703 -5,3101 -5,5949 -5,9943 -6,4553 -6,9110 -7,2978 -7,5757 -7,7391 -7,8156 -7,8570 -7,9216 -8,0517 -8,2577 -8,5145 -8,7677 -8,9553 -9,0351 -9,0026 -8,8840 -8,7134 -8,5135 -8,2898 -8,0362 -7,7509 -7,4538 -7,1912 -7,0217 -6,9849 -7,0805 -7,2755 -7,5227
F3    -0,1656 -0,2690 -0,3538 -0,3921 -0,3694 -0,2775 -0,1108 0,1237 0,3889 0,6182 0,7435 0,7276 0,5712 0,3028 -0,0309 -0,3739 -0,6726 -0,8870 -0,9961 -0,9992 -0,9127 -0,7653 -0,5968 -0,4477 -0,3411 -0,2741 -0,2281 -0,1836 -0,1333 -0,0824 -0,0391 -0,0103 0,0006 0,0007 0,0176 0,0914 0,2463 0,4676 0,7072 0,9071 1,0232 1,0367 0,9532 0,7909 0,5727 0,3266 0,0843 -0,1248 -0,2820 -0,3827 -0,4260 -0,4011 -0,2946 -0,1127 0,1102 0,3221 0,4778 0,5648 0,6004 0,6010 0,5644 0,4815 0,3542 0,2007 0,0463 -0,0887 -0,1934 -0,2634 -0,2996 -0,3061 -0,2861 -0,2446 -0,1915 -0,1333 -0,0652 0,0224 0,1316 0,2488 0,3438 0,3808 0,3326 0,1933 -0,0143 -0,2413 -0,4285 -0,5289 -0,5266 -0,4379 -0,2976 -0,1490 -0,0390 -0,0046 -0,0552 -0,1765 -0,3523 -0,5779 -0,8448 -1,1219 -1,3653 -1,5529 -1,7074 -1,8863 -2,1507 -2,5329 -3,0150 -3,5389 -4,0430 -4,4945 -4,8921 -5,2529 -5,5974 -5,9385 -6,2732 -6,5856 -6,8647 -7,1191 -7,3689 -7,6233 -7,8690 -8,0771 -8,2124 -8,2411 -8,1394 -7,9068 -7,5692 -7,1642 -6,7193 -6,2458 -5,7488 -5,2321 -4,6916 -4,1186 -3,5181 -2,9160 -2,3436 -1,8183 -1,3396 -0,8986 -0,4912 -0,1243 0,1944 0,4727 0,7356 1,0075 1,2939 1,5788 1,8361 2,0432 2,1893 2,2815 2,3462 2,4145 2,4975 2,5825 2,6499 2,6881 2,6973 2,6867 2,6702 2,6583 2,6543 2,6573 2,6654 2,6735 2,6702 2,6385 2,5612 2,4256 2,2269 1,9663 1,6516 1,2988 0,9336 0,5934 0,3184 0,1346 0,0432 0,0250 0,0520 0,0979 0,1397 0,1555 0,1275 0,0496 -0,0695 -0,2129 -0,3655 -0,5232 -0,6975 -0,9100 -1,1720 -1,4728 -1,7973 -2,1500 -2,5505 -3,0084 -3,5137 -4,0476 -4,5926 -5,1325 -5,6479 -6,1213 -6,5468 -6,9298 -7,2787 -7,6004 -7,9017 -8,1883 -8,4677 -8,7541 -9,0605 -9,3835 -9,6932 -9,9438 -10,0997 -10,1551 -10,1322 -10,0617 -9,9638 -9,8428 -9,6962 -9,5280 -9,3522 -9,1860 -9,0406 -8,9163 -8,8055 -8,7002 -8,6012 -8,5100 -8,4146 -8,2984 -8,1607 -8,0189 -7,9013 -7,8403 -7,8579 -7,9468 -8,0692 -8,1783 -8,2464 -8,2797 -8,3086 -8,3615 -8,4483 -8,5628 -8,6894 -8,8046 -8,8824 -8,9047 -8,8701 -8,7945 -8,7029 -8,6205 -8,5703 -8,5747 -8,6482 -8,7836 -8,9474 -9,0912 -9,1695 -9,1574 -9,0617 -8,9244 -8,8066 -8,7598 -8,7996 -8,9006 -9,0143 -9,1039 -9,1638 -9,2094 -9,2545 -9,3031 -9,3580 -9,4294 -9,5296 -9,6620 -9,8187 -9,9869 -10,1531 -10,3033 -10,4260 -10,5152 -10,5670 -10,5741 -10,5265 -10,4187 -10,2618 -10,0852 -9,9233 -9,7974 -9,7089 -9,6412 -9,5700 -9,4787 -9,3670 -9,2471 -9,1322 -9,0238 -8,9073 -8,7629 -8,5821 -8,3755 -8,1693 -7,9948 -7,8737 -7,8075 -7,7789 -7,7633 -7,7353 -7,6689 -7,5409 -7,3429 -7,0944 -6,8424 -6,6390 -6,5141 -6,4705 -6,4964 -6,5763 -6,6881 -6,8010 -6,8876 -6,9452 -7,0026 -7,1000 -7,2600 -7,4743 -7,7138 -7,9419 -8,1265 -8,2516 -8,3206 -8,3458 -8,3409 -8,3209 -8,3033 -8,3084 -8,3499 -8,4182 -8,4756 -8,4771 -8,3993 -8,2570 -8,0980 -7,9771 -7,9267 -7,9483 -8,0210 -8,1115 -8,1889 -8,2384 -8,2541 -8,2246 -8,1372 -7,9971 -7,8306 -7,6688 -7,5359 -7,4480 -7,4158 -7,4475 -7,5472 -7,7099 -7,9137 -8,1156 -8,2629 -8,3246 -8,3077 -8,2430 -8,1610 -8,0804 -8,0109 -7,9581 -7,9262 -7,9123 -7,9024 -7,8775 -7,8273 -7,7584 -7,6886 -7,6322 -7,5882 -7,5423 -7,4790 -7,3911 -7,2759 -7,1338 -6,9716 -6,7940 -6,5974 -6,3769 -6,1325 -5,8682 -5,5906 -5,3138 -5,0604 -4,8558 -4,7152 -4,6330 -4,5892 -4,5684 -4,5708 -4,6076 -4,6901 -4,8212 -4,9873 -5,1587 -5,3041 -5,4021 -5,4403 -5,4105 -5,3118 -5,1579 -4,9786 -4,8100 -4,6705 -4,5457 -4,4028 -4,2272 -4,0439 -3,8987 -3,8196 -3,8046 -3,8411 -3,9236 -4,0520 -4,2204 -4,4132 -4,6050 -4,7632 -4,8592 -4,8787 -4,8241 -4,7136 -4,5785 -4,4567 -4,3814 -4,3702 -4,4216 -4,5214 -4,6518 -4,7901 -4,9088 -4,9873 -5,0289 -5,0626 -5,1228 -5,2211 -5,3415 -5,4579 -5,5490 -5,6007 -5,6095 -5,5863 -5,5510 -5,5238 -5,5174 -5,5278 -5,5331 -5,5102 -5,4566 -5,3908 -5,3316 -5,2809 -5,2307 -5,1795 -5,1418 -5,1383 -5,1786 -5,2529 -5,3381 -5,4065 -5,4331 -5,4081 -5,3481 -5,2925 -5,2843 -5,3496 -5,4875 -5,6738 -5,8750 -6,0671 -6,2430 -6,4060 -6,5590 -6,7025 -6,8442 -7,0029 -7,1930 -7,4094 -7,6359 -7,8638 -8,0962 -8,3372 -8,5743 -8,7729 -8,8950 -8,9216 -8,8513 -8,6888 -8,4371 -8,1026 -7,7116 -7,3193 -6,9952 -6,7893 -6,7104 -6,7264 -6,7820 -6,8233 -6,8169 -6,7542 -6,6425 -6,4954 -6,3228 -6,1259 -5,9058 -5,6716 -5,4365 -5,2115 -5,0046 -4,8192 -4,6589 -4,5331 -4,4510 -4,4105 -4,3963 -4,3889 -4,3690 -4,3193 -4,2314 -4,1149 -3,9958 -3,9049 -3,8596 -3,8571 -3,8862 -3,9415 -4,0235 -4,1321 -4,2578 -4,3788 -4,4730 -4,5366 -4,5842 -4,6309 -4,6825 -4,7445 -4,8273 -4,9368 -5,0648 -5,1933 -5,3051 -5,3906 -5,4511 -5,4960 -5,5322 -5,5508 -5,5267 -5,4334 -5,2617 -5,0286 -4,7772 -4,5613 -4,4212 -4,3726 -4,4155 -4,5468 -4,7610 -5,0466 -5,3803 -5,7239 -6,0341 -6,2823 -6,4592 -6,5653 -6,6069 -6,5980 -6,5580 -6,5068 -6,4622 -6,4346 -6,4244 -6,4228 -6,4188 -6,4042 -6,3748 -6,3304 -6,2753 -6,2182 -6,1685 -6,1316 -6,1125 -6,1194 -6,1507 -6,1846 -6,1927 -6,1645
