Fp1   1,0684 0,9655 0,9406 0,9886 1,0853 1,1857 1,2336 1,1813 1,0068 0,7220 0,3697 0,0020 -0,3454 -0,6602 -0,9405 -1,1859 -1,4026 -1,6004 -1,7813 -1,9351 -2,0444 -2,0879 -2,0490 -1,9256 -1,7304 -1,4826 -1,2026 -0,9133 -0,6390 -0,3972 -0,1910 -0,0151 0,1328 0,2523 0,3503 0,4385 0,5182 0,5740 0,5876 0,5603 0,5192 0,5010 0,5327 0,6251 0,7775 0,9788 1,2131 1,4698 1,7401 2,0086 2,2561 2,4671 2,6302 2,7410 2,8061 2,8365 2,8331 2,7849 2,6786 2,5106 2,2950 2,0638 1,8558 1,6985 1,5969 1,5372 1,4984 1,4549 1,3777 1,2476 1,0676 0,8583 0,6446 0,4474 0,2829 0,1566 0,0573 -0,0372 -0,1430 -0,2581 -0,3654 -0,4445 -0,4824 -0,4740 -0,4222 -0,3404 -0,2537 -0,1871 -0,1479 -0,1245 -0,0992 -0,0522 0,0402 0,1964 0,4140 0,6696 0,9310 1,1656 1,3410 1,4320 1,4328 1,3576 1,2304 1,0739 0,9007 0,7111 0,4990 0,2617 0,0044 -0,2625 -0,5305 -0,7954 -1,0539 -1,3007 -1,5347 -1,7673 -2,0157 -2,2912 -2,5955 -2,9224 -3,2559 -3,5658 -3,8166 -3,9887 -4,0901 -4,1432 -4,1657 -4,1674 -4,1562 -4,1414 -4,1297 -4,1200 -4,1031 -4,0656 -3,9944 -3,8873 -3,7577 -3,6194 -3,4707 -3,2961 -3,0808 -2,8210 -2,5285 -2,2298 -1,9564 -1,7343 -1,5805 -1,5066 -1,5225 -1,6349 -1,8410 -2,1208 -2,4324 -2,7195 -2,9333 -3,0480 -3,0647 -3,0065 -2,9062 -2,7895 -2,6645 -2,5240 -2,3558 -2,1539 -1,9226 -1,6747 -1,4290 -1,2083 -1,0342 -0,9181 -0,8531 -0,8134 -0,7689 -0,7042 -0,6258 -0,5555 -0,5157 -0,5148 -0,5457 -0,5973 -0,6629 -0,7361 -0,8097 -0,8840 -0,9670 -1,0576 -1,1375 -1,1869 -1,2032 -1,1943 -1,1649 -1,1130 -1,0355 -0,9333 -0,8157 -0,6983 -0,5970 -0,5250 -0,4915 -0,5004 -0,5497 -0,6365 -0,7579 -0,9045 -1,0587 -1,2042 -1,3322 -1,4393 -1,5239 -1,5864 -1,6333 -1,6790 -1,7416 -1,8308 -1,9405 -2,0573 -2,1756 -2,2983 -2,4281 -2,5627 -2,6964 -2,8181 -2,9091 -2,9444 -2,8945 -2,7353 -2,4652 -2,1069 -1,6952 -1,2712 -0,8774 -0,5431 -0,2743 -0,0613 0,1063 0,2317 0,3129 0,3482 0,3444 0,3212 0,3050 0,3187 0,3718 0,4536 0,5343 0,5841 0,5956 0,5845 0,5720 0,5694 0,5796 0,6035 0,6397 0,6833 0,7271 0,7650 0,7921 0,8025 0,7898 0,7492 0,6768 0,5693 0,4250 0,2459 0,0376 -0,1904 -0,4199 -0,6237 -0,7756 -0,8589 -0,8697 -0,8250 -0,7689 -0,7566 -0,8254 -0,9825 -1,2154 -1,4972 -1,7874 -2,0428 -2,2333 -2,3421 -2,3621 -2,2978 -2,1635 -1,9792 -1,7697 -1,5603 -1,3641 -1,1761 -0,9793 -0,7549 -0,4935 -0,2047 0,0856 0,3518 0,5784 0,7606 0,8998 1,0006 1,0655 1,0951 1,0944 1,0777 1,0634 1,0607 1,0675 1,0779 1,0828 1,0706 1,0365 0,9878 0,9363 0,8850 0,8211 0,7280 0,6045 0,4670 0,3343 0,2130 0,0949 -0,0348 -0,1853 -0,3541 -0,5297 -0,6950 -0,8332 -0,9319 -0,9845 -0,9913 -0,9610 -0,9106 -0,8592 -0,8175 -0,7853 -0,7592 -0,7360 -0,7099 -0,6737 -0,6277 -0,5819 -0,5411 -0,4941 -0,4229 -0,3224 -0,2060 -0,0909 0,0166 0,1179 0,2159 0,3151 0,4181 0,5196 0,6092 0,6764 0,7087 0,6905 0,6092 0,4637 0,2642 0,0252 -0,2377 -0,5091 -0,7768 -1,0364 -1,2886 -1,5330 -1,7615 -1,9523 -2,0780 -2,1239 -2,1002 -2,0366 -1,9665 -1,9105 -1,8723 -1,8459 -1,8224 -1,7956 -1,7667 -1,7428 -1,7326 -1,7464 -1,7979 -1,8986 -2,0481 -2,2370 -2,4529 -2,6742 -2,8623 -2,9743 -2,9897 -2,9222 -2,8060 -2,6751 -2,5578 -2,4787 -2,4560 -2,4960 -2,5925 -2,7284 -2,8813 -3,0357 -3,1897 -3,3450 -3,4914 -3,6070 -3,6752 -3,6954 -3,6764 -3,6245 -3,5397 -3,4222 -3,2778 -3,1165 -2,9511 -2,7965 -2,6676 -2,5758 -2,5252 -2,5134 -2,5356 -2,5867 -2,6654 -2,7718 -2,8962 -3,0120 -3,0843 -3,0894 -3,0245 -2,9027 -2,7440 -2,5741 -2,4236 -2,3214 -2,2858 -2,3211 -2,4210 -2,5758 -2,7741 -2,9966 -3,2153 -3,4037 -3,5507 -3,6602 -3,7387 -3,7855 -3,7947 -3,7611 -3,6896 -3,6015 -3,5245 -3,4770 -3,4623 -3,4690 -3,4771 -3,4742 -3,4641 -3,4582 -3,4600 -3,4593 -3,4357 -3,3721 -3,2740 -3,1735 -3,1137 -3,1273 -3,2228 -3,3862 -3,5961 -3,8373 -4,1001 -4,3722 -4,6346 -4,8665 -5,0555 -5,2081 -5,3495 -5,5069 -5,6995 -5,9393 -6,2323 -6,5717 -6,9357 -7,2902 -7,6008 -7,8431 -8,0035 -8,0721 -8,0454 -7,9297 -7,7359 -7,4729 -7,1552 -6,8118 -6,4827 -6,2036 -5,9905 -5,8415 -5,7481 -5,6981 -5,6727 -5,6516 -5,6206 -5,5731 -5,5014 -5,3879 -5,2072 -4,9419 -4,5992 -4,2089 -3,8067 -3,4213 -3,0695 -2,7560 -2,4778 -2,2317 -2,0198 -1,8498 -1,7269 -1,6497 -1,6145 -1,6201 -1,6681 -1,7621 -1,9023 -2,0810 -2,2846 -2,5005 -2,7191 -2,9280 -3,1109 -3,2568 -3,3694 -3,4624 -3,5461 -3,6188 -3,6710 -3,6968 -3,7036 -3,7130 -3,7512 -3,8318 -3,9478 -4,0798 -4,2079 -4,3164 -4,3972 -4,4498 -4,4756 -4,4756 -4,4517 -4,4114 -4,3685 -4,3378 -4,3281 -4,3394 -4,3633 -4,3916 -4,4274 -4,4881 -4,5914 -4,7429 -4,9327 -5,1389 -5,3324 -5,4881 -5,5904 -5,6279 -5,5944 -5,4949 -5,3481 -5,1828 -5,0307 -4,9155 -4,8430 -4,8013 -4,7704 -4,7376 -4,7095 -4,7073 -4,7477 -4,8327 -4,9585 -5,1198 -5,3027 -5,4821 -5,6342 -5,7449 -5,8091 -5,8277 -5,8046 -5,7445 -5,6536 -5,5416 -5,4256 -5,3311 -5,2845 -5,3036 -5,3931
Fz    1,2622 1,1939 1,1731 1,1959 1,2434 1,2793 1,2617 1,1607 0,9651 0,6821 0,3380 -0,0293 -0,3852 -0,7089 -0,9900 -1,2235 -1,4126 -1,5690 -1,7044 -1,8169 -1,8885 -1,8966 -1,8293 -1,6927 -1,5093 -1,3070 -1,1083 -0,9276 -0,7745 -0,6523 -0,5536 -0,4647 -0,3732 -0,2707 -0,1507 -0,0116 0,1373 0,2753 0,3811 0,4489 0,4963 0,5528 0,6440 0,7839 0,9758 1,2122 1,4782 1,7590 2,0413 2,3091 2,5477 2,7478 2,9049 3,0180 3,0910 3,1285 3,1289 3,0826 2,9786 2,8138 2,6002 2,3672 2,1527 1,9862 1,8742 1,8017 1,7479 1,6938 1,6219 1,5196 1,3842 1,2205 1,0345 0,8360 0,6382 0,4493 0,2655 0,0761 -0,1233 -0,3245 -0,5091 -0,6580 -0,7566 -0,7950 -0,7729 -0,7055 -0,6188 -0,5361 -0,4665 -0,4046 -0,3402 -0,2626 -0,1586 -0,0136 0,1781 0,4054 0,6449 0,8676 1,0418 1,1403 1,1520 1,0864 0,9657 0,8156 0,6578 0,5060 0,3662 0,2384 0,1178 -0,0015 -0,1253 -0,2592 -0,4066 -0,5647 -0,7273 -0,8934 -1,0659 -1,2466 -1,4338 -1,6237 -1,8084 -1,9751 -2,1107 -2,2139 -2,3013 -2,4002 -2,5352 -2,7188 -2,9511 -3,2222 -3,5132 -3,7998 -4,0590 -4,2743 -4,4369 -4,5488 -4,6218 -4,6681 -4,6906 -4,6823 -4,6316 -4,5291 -4,3727 -4,1704 -3,9385 -3,7001 -3,4803 -3,3021 -3,1848 -3,1389 -3,1606 -3,2314 -3,3215 -3,3950 -3,4191 -3,3740 -3,2556 -3,0753 -2,8552 -2,6201 -2,3872 -2,1619 -1,9406 -1,7164 -1,4854 -1,2499 -1,0190 -0,8064 -0,6248 -0,4740 -0,3372 -0,1916 -0,0256 0,1512 0,3128 0,4307 0,4908 0,4997 0,4746 0,4307 0,3769 0,3189 0,2586 0,1898 0,1025 -0,0049 -0,1208 -0,2308 -0,3273 -0,4039 -0,4502 -0,4556 -0,4153 -0,3360 -0,2387 -0,1545 -0,1106 -0,1195 -0,1770 -0,2658 -0,3658 -0,4677 -0,5744 -0,6899 -0,8106 -0,9304 -1,0474 -1,1640 -1,2831 -1,4049 -1,5270 -1,6499 -1,7796 -1,9200 -2,0670 -2,2154 -2,3658 -2,5211 -2,6790 -2,8299 -2,9593 -3,0504 -3,0869 -3,0588 -2,9649 -2,8124 -2,6153 -2,3879 -2,1412 -1,8883 -1,6491 -1,4431 -1,2797 -1,1579 -1,0743 -1,0277 -1,0163 -1,0344 -1,0718 -1,1141 -1,1438 -1,1436 -1,1031 -1,0271 -0,9386 -0,8651 -0,8198 -0,7979 -0,7873 -0,7789 -0,7680 -0,7545 -0,7438 -0,7432 -0,7587 -0,7933 -0,8487 -0,9287 -1,0377 -1,1754 -1,3335 -1,5014 -1,6709 -1,8377 -2,0045 -2,1778 -2,3585 -2,5360 -2,6919 -2,8052 -2,8587 -2,8521 -2,8090 -2,7658 -2,7515 -2,7792 -2,8511 -2,9593 -3,0851 -3,2059 -3,3054 -3,3737 -3,4022 -3,3840 -3,3149 -3,1962 -3,0366 -2,8506 -2,6515 -2,4447 -2,2248 -1,9807 -1,7061 -1,4097 -1,1141 -0,8426 -0,6086 -0,4157 -0,2643 -0,1542 -0,0850 -0,0556 -0,0613 -0,0897 -0,1241 -0,1530 -0,1715 -0,1794 -0,1855 -0,2062 -0,2540 -0,3284 -0,4181 -0,5110 -0,6052 -0,7066 -0,8167 -0,9287 -1,0350 -1,1342 -1,2304 -1,3291 -1,4324 -1,5372 -1,6370 -1,7247 -1,7922 -1,8355 -1,8577 -1,8660 -1,8671 -1,8668 -1,8680 -1,8673 -1,8588 -1,8400 -1,8096 -1,7606 -1,6839 -1,5806 -1,4638 -1,3487 -1,2421 -1,1448 -1,0622 -1,0051 -0,9778 -0,9698 -0,9628 -0,9428 -0,9024 -0,8398 -0,7592 -0,6702 -0,5875 -0,5331 -0,5340 -0,6128 -0,7770 -1,0160 -1,3052 -1,6149 -1,9175 -2,1949 -2,4413 -2,6619 -2,8660 -3,0573 -3,2258 -3,3530 -3,4263 -3,4489 -3,4353 -3,4006 -3,3575 -3,3171 -3,2876 -3,2702 -3,2608 -3,2531 -3,2414 -3,2235 -3,2043 -3,1967 -3,2177 -3,2785 -3,3787 -3,5098 -3,6583 -3,8010 -3,9079 -3,9563 -3,9439 -3,8854 -3,8024 -3,7183 -3,6562 -3,6339 -3,6567 -3,7142 -3,7822 -3,8338 -3,8554 -3,8518 -3,8354 -3,8130 -3,7821 -3,7377 -3,6786 -3,6073 -3,5242 -3,4264 -3,3082 -3,1650 -2,9997 -2,8280 -2,6765 -2,5742 -2,5400 -2,5756 -2,6693 -2,8050 -2,9670 -3,1421 -3,3177 -3,4732 -3,5770 -3,5978 -3,5224 -3,3624 -3,1475 -2,9163 -2,7065 -2,5463 -2,4505 -2,4250 -2,4679 -2,5713 -2,7249 -2,9181 -3,1371 -3,3612 -3,5668 -3,7369 -3,8650 -3,9510 -3,9942 -3,9939 -3,9515 -3,8743 -3,7779 -3,6832 -3,6060 -3,5493 -3,5047 -3,4617 -3,4202 -3,3960 -3,4111 -3,4775 -3,5869 -3,7128 -3,8233 -3,9003 -3,9509 -4,0015 -4,0807 -4,2054 -4,3792 -4,5955 -4,8381 -5,0820 -5,2980 -5,4621 -5,5637 -5,6118 -5,6361 -5,6775 -5,7695 -5,9257 -6,1453 -6,4213 -6,7405 -7,0822 -7,4218 -7,7370 -8,0103 -8,2245 -8,3592 -8,3964 -8,3288 -8,1610 -7,9069 -7,5896 -7,2412 -6,8972 -6,5870 -6,3301 -6,1397 -6,0219 -5,9694 -5,9593 -5,9656 -5,9719 -5,9738 -5,9688 -5,9434 -5,8738 -5,7394 -5,5385 -5,2896 -5,0194 -4,7469 -4,4752 -4,1982 -3,9131 -3,6253 -3,3464 -3,0913 -2,8700 -2,6836 -2,5298 -2,4094 -2,3275 -2,2924 -2,3117 -2,3879 -2,5170 -2,6908 -2,8958 -3,1095 -3,3053 -3,4686 -3,6069 -3,7411 -3,8852 -4,0332 -4,1634 -4,2560 -4,3070 -4,3307 -4,3505 -4,3844 -4,4346 -4,4925 -4,5470 -4,5884 -4,6098 -4,6087 -4,5852 -4,5405 -4,4763 -4,3945 -4,3001 -4,2031 -4,1152 -4,0406 -3,9721 -3,9010 -3,8304 -3,7779 -3,7629 -3,7944 -3,8712 -3,9862 -4,1250 -4,2653 -4,3822 -4,4535 -4,4642 -4,4137 -4,3207 -4,2155 -4,1284 -4,0819 -4,0856 -4,1344 -4,2135 -4,3102 -4,4235 -4,5589 -4,7149 -4,8794 -5,0426 -5,2077 -5,3813 -5,5597 -5,7297 -5,8769 -5,9892 -6,0563 -6,0710 -6,0317 -5,9440 -5,8210 -5,6840 -5,5587 -5,4670 -5,4226 -5,4291
F3    0,8920 0,8303 0,8457 0,9312 1,0577 1,1771 1,2399 1,2122 1,0811 0,8531 0,5518 0,2126 -0,1284 -0,4436 -0,7136 -0,9265 -1,0846 -1,2067 -1,3150 -1,4154 -1,4897 -1,5094 -1,4556 -1,3321 -1,1643 -0,9850 -0,8203 -0,6856 -0,5874 -0,5236 -0,4815 -0,4447 -0,4021 -0,3464 -0,2709 -0,1717 -0,0556 0,0576 0,1465 0,2055 0,2482 0,2954 0,3658 0,4748 0,6324 0,8359 1,0729 1,3289 1,5868 1,8241 2,0220 2,1755 2,2902 2,3754 2,4412 2,4958 2,5408 2,5672 2,5572 2,4950 2,3783 2,2229 2,0571 1,9075 1,7846 1,6848 1,6057 1,5499 1,5130 1,4809 1,4370 1,3684 1,2691 1,1422 0,9977 0,8441 0,6824 0,5090 0,3254 0,1437 -0,0176 -0,1422 -0,2213 -0,2521 -0,2400 -0,2032 -0,1679 -0,1550 -0,1684 -0,1963 -0,2235 -0,2380 -0,2291 -0,1868 -0,1060 0,0071 0,1369 0,2619 0,3582 0,4053 0,3946 0,3321 0,2343 0,1228 0,0165 -0,0727 -0,1430 -0,2017 -0,2612 -0,3327 -0,4218 -0,5282 -0,6456 -0,7635 -0,8763 -0,9892 -1,1102 -1,2419 -1,3819 -1,5254 -1,6637 -1,7839 -1,8749 -1,9416 -2,0132 -2,1311 -2,3236 -2,5902 -2,9065 -3,2395 -3,5569 -3,8317 -4,0481 -4,2037 -4,3056 -4,3684 -4,4117 -4,4508 -4,4882 -4,5151 -4,5161 -4,4740 -4,3733 -4,2062 -3,9801 -3,7203 -3,4630 -3,2434 -3,0870 -3,0026 -2,9814 -3,0039 -3,0448 -3,0736 -3,0613 -2,9914 -2,8656 -2,7012 -2,5231 -2,3535 -2,2050 -2,0774 -1,9600 -1,8383 -1,7007 -1,5433 -1,3734 -1,2092 -1,0701 -0,9618 -0,8698 -0,7687 -0,6395 -0,4853 -0,3303 -0,2055 -0,1300 -0,1020 -0,1050 -0,1176 -0,1213 -0,1072 -0,0820 -0,0668 -0,0851 -0,1475 -0,2476 -0,3722 -0,5099 -0,6463 -0,7601 -0,8303 -0,8455 -0,8088 -0,7410 -0,6759 -0,6483 -0,6807 -0,7769 -0,9198 -1,0806 -1,2355 -1,3770 -1,5069 -1,6258 -1,7316 -1,8248 -1,9092 -1,9905 -2,0744 -2,1649 -2,2657 -2,3827 -2,5182 -2,6666 -2,8192 -2,9740 -3,1357 -3,3066 -3,4792 -3,6365 -3,7541 -3,8062 -3,7785 -3,6763 -3,5213 -3,3398 -3,1490 -2,9555 -2,7654 -2,5905 -2,4436 -2,3316 -2,2521 -2,1965 -2,1552 -2,1208 -2,0881 -2,0551 -2,0187 -1,9732 -1,9112 -1,8272 -1,7248 -1,6207 -1,5353 -1,4775 -1,4405 -1,4129 -1,3895 -1,3708 -1,3573 -1,3450 -1,3274 -1,3002 -1,2656 -1,2340 -1,2225 -1,2490 -1,3211 -1,4309 -1,5587 -1,6829 -1,7879 -1,8707 -1,9415 -2,0109 -2,0775 -2,1298 -2,1554 -2,1499 -2,1216 -2,0901 -2,0772 -2,0984 -2,1604 -2,2628 -2,3951 -2,5381 -2,6723 -2,7864 -2,8736 -2,9260 -2,9357 -2,8991 -2,8177 -2,6987 -2,5549 -2,3988 -2,2352 -2,0583 -1,8568 -1,6256 -1,3772 -1,1393 -0,9399 -0,7924 -0,6956 -0,6396 -0,6119 -0,5978 -0,5833 -0,5587 -0,5208 -0,4742 -0,4315 -0,4060 -0,4043 -0,4315 -0,4967 -0,6048 -0,7469 -0,9014 -1,0489 -1,1854 -1,3158 -1,4377 -1,5386 -1,6080 -1,6468 -1,6658 -1,6784 -1,6933 -1,7131 -1,7375 -1,7620 -1,7774 -1,7760 -1,7582 -1,7310 -1,7041 -1,6859 -1,6811 -1,6909 -1,7159 -1,7582 -1,8133 -1,8649 -1,8933 -1,8887 -1,8543 -1,7983 -1,7264 -1,6442 -1,5637 -1,5005 -1,4587 -1,4234 -1,3727 -1,2925 -1,1781 -1,0315 -0,8621 -0,6845 -0,5169 -0,3832 -0,3123 -0,3296 -0,4437 -0,6409 -0,8897 -1,1522 -1,3981 -1,6126 -1,7972 -1,9631 -2,1253 -2,2926 -2,4596 -2,6101 -2,7317 -2,8252 -2,8975 -2,9529 -2,9934 -3,0244 -3,0526 -3,0779 -3,0908 -3,0774 -3,0279 -2,9422 -2,8331 -2,7262 -2,6535 -2,6405 -2,6972 -2,8204 -2,9955 -3,1935 -3,3735 -3,5010 -3,5652 -3,5777 -3,5580 -3,5238 -3,4899 -3,4687 -3,4676 -3,4861 -3,5147 -3,5379 -3,5449 -3,5369 -3,5239 -3,5117 -3,4961 -3,4705 -3,4323 -3,3813 -3,3155 -3,2313 -3,1249 -2,9950 -2,8465 -2,6949 -2,5648 -2,4834 -2,4689 -2,5228 -2,6310 -2,7726 -2,9280 -3,0848 -3,2355 -3,3665 -3,4537 -3,4711 -3,4053 -3,2623 -3,0647 -2,8465 -2,6439 -2,4862 -2,3922 -2,3715 -2,4210 -2,5259 -2,6677 -2,8292 -2,9939 -3,1455 -3,2731 -3,3769 -3,4641 -3,5389 -3,5989 -3,6380 -3,6479 -3,6218 -3,5615 -3,4804 -3,3964 -3,3218 -3,2574 -3,1975 -3,1420 -3,1017 -3,0917 -3,1186 -3,1754 -3,2433 -3,3014 -3,3381 -3,3593 -3,3867 -3,4464 -3,5573 -3,7248 -3,9412 -4,1861 -4,4289 -4,6336 -4,7701 -4,8223 -4,7977 -4,7329 -4,6840 -4,6998 -4,7998 -4,9776 -5,2153 -5,4907 -5,7793 -6,0570 -6,3042 -6,5062 -6,6505 -6,7223 -6,7077 -6,6013 -6,4086 -6,1435 -5,8285 -5,4963 -5,1856 -4,9286 -4,7401 -4,6198 -4,5600 -4,5468 -4,5594 -4,5749 -4,5781 -4,5668 -4,5447 -4,5086 -4,4444 -4,3395 -4,1955 -4,0274 -3,8510 -3,6723 -3,4844 -3,2779 -3,0547 -2,8308 -2,6283 -2,4654 -2,3475 -2,2662 -2,2103 -2,1758 -2,1659 -2,1858 -2,2423 -2,3423 -2,4888 -2,6772 -2,8952 -3,1212 -3,3302 -3,5091 -3,6618 -3,8007 -3,9334 -4,0545 -4,1474 -4,1958 -4,1953 -4,1563 -4,1004 -4,0486 -4,0107 -3,9868 -3,9748 -3,9725 -3,9762 -3,9812 -3,9828 -3,9787 -3,9699 -3,9581 -3,9448 -3,9324 -3,9229 -3,9132 -3,8918 -3,8466 -3,7769 -3,6974 -3,6270 -3,5768 -3,5499 -3,5479 -3,5701 -3,6104 -3,6561 -3,6889 -3,6909 -3,6542 -3,5867 -3,5073 -3,4382 -3,3996 -3,4023 -3,4419 -3,5013 -3,5640 -3,6261 -3,6939 -3,7707 -3,8528 -3,9419 -4,0518 -4,1944 -4,3623 -4,5312 -4,6759 -4,7801 -4,8357 -4,8386 -4,7861 -4,6812 -4,5401 -4,3935 -4,2745 -4,2054 -4,1935 -4,2333
