Fp1   -0,2077 0,1594 0,5264 0,8553 1,0886 1,1645 1,0420 0,7222 0,2633 -0,2272 -0,6378 -0,9038 -1,0192 -1,0101 -0,9105 -0,7592 -0,5949 -0,4304 -0,2456 -0,0202 0,2299 0,4525 0,5838 0,5786 0,4343 0,1991 -0,0351 -0,1572 -0,0814 0,1966 0,5738 0,8888 1,0177 0,9347 0,7001 0,4034 0,1075 -0,1611 -0,3800 -0,5104 -0,5189 -0,4180 -0,2870 -0,2346 -0,3216 -0,5078 -0,6839 -0,7521 -0,6703 -0,4366 -0,0643 0,4190 0,9656 1,5086 1,9609 2,2280 2,2507 2,0486 1,7226 1,4023 1,1779 1,0761 1,0810 1,1629 1,2961 1,4638 1,6476 1,8258 1,9960 2,1884 2,4339 2,7162 2,9677 3,1136 3,1105 2,9465 2,6410 2,2566 1,8904 1,6348 1,5358 1,5754 1,6934 1,8172 1,8831 1,8659 1,7981 1,7298 1,6690 1,5887 1,4784 1,3545 1,2229 1,0630 0,8598 0,6354 0,4345 0,2856 0,1894 0,1223 0,0399 -0,1081 -0,3580 -0,7159 -1,1486 -1,6019 -2,0501 -2,5145 -3,0115 -3,4956 -3,8932 -4,1951 -4,4754 -4,8177 -5,2620 -5,8117 -6,4479 -7,1319 -7,8179 -8,4676 -9,0445 -9,4933 -9,7477 -9,7766 -9,6086 -9,2972 -8,8811 -8,3939 -7,8937 -7,4548 -7,1252 -6,8932 -6,6977 -6,4751 -6,2027 -5,8948 -5,5696 -5,2354 -4,9107 -4,6311 -4,4202 -4,2673 -4,1498 -4,0627 -4,0050 -3,9350 -3,7510 -3,3445 -2,6955 -1,9084 -1,1388 -0,4901 0,0170 0,3918 0,6269 0,7224 0,7309 0,7444 0,8405 1,0446 1,3280 1,6289 1,8856 2,0652 2,1675 2,2120 2,2306 2,2656 2,3540 2,5101 2,7254 2,9702 3,1921 3,3393 3,3908 3,3584 3,2770 3,2112 3,2413 3,4105 3,6826 3,9569 4,1319 4,1627 4,0681 3,9043 3,7410 3,6350 3,6023 3,6216 3,6595 3,6806 3,6527 3,5687 3,4504 3,3131 3,1377 2,8987 2,6112 2,3250 2,0771 1,8709 1,7034 1,5912 1,5617 1,6331 1,8085 2,0797 2,4311 2,8332 3,2300 3,5498 3,7392 3,7824 3,6895 3,4792 3,1768 2,8268 2,4975 2,2660 2,1947 2,3104 2,5911 2,9708 3,3701 3,7337 4,0432 4,3027 4,5126 4,6637 4,7543 4,7985 4,8061 4,7713 4,6911 4,5802 4,4532 4,3045 4,1167 3,8766 3,5805 3,2473 2,9283 2,6785 2,5175 2,4425 2,4631 2,5806 2,7437 2,8700 2,9079 2,8593 2,7623 2,6754 2,6678 2,7921 3,0415 3,3336 3,5567 3,6373 3,5589 3,3425 3,0422 2,7404 2,5027 2,3374 2,2157 2,1180 2,0476 2,0254 2,0962 2,3105 2,6636 3,0650 3,3799 3,4914 3,3433 2,9639 2,4570 1,9673 1,6355 1,5362 1,6523 1,9268 2,3278 2,8425 3,4227 3,9644 4,3569 4,5424 4,5224 4,3351 4,0443 3,7244 3,4326 3,1954 3,0338 2,9899 3,1061 3,3825 3,7607 4,1429 4,4237 4,5267 4,4313 4,1755 3,8426 3,5376 3,3490 3,3131 3,4211 3,6559 4,0108 4,4758 5,0234 5,5995 6,1215 6,4971 6,6609 6,6054 6,3859 6,0947 5,8277 5,6553 5,5952 5,6113 5,6505 5,6840 5,7162 5,7658 5,8416 5,9346 6,0295 6,1200 6,2116 6,3142 6,4390 6,6003 6,8110 7,0711 7,3665 7,6800 7,9858 8,2359 8,3760 8,3762 8,2405 8,0005 7,7108 7,4369 7,2320 7,1228 7,1106 7,1664 7,2392 7,2997 7,3716 7,4942 7,6642 7,8396 7,9959 8,1462 8,3002 8,4250 8,4454 8,2851 7,9310 7,4593 6,9950 6,6557 6,5150 6,5684 6,7310 6,8973 7,0116 7,0892 7,1785 7,2999 7,4183 7,4771 7,4480 7,3538 7,2606 7,2326 7,2697 7,2873 7,1707 6,8645 6,4214 5,9685 5,6182 5,4017 5,2850 5,2261 5,1993 5,1875 5,1771 5,1681 5,1754 5,1997 5,2029 5,1309 4,9523 4,6671 4,2841 3,8120 3,2859 2,7853 2,4111 2,2501 2,3535 2,7155 3,2633 3,8813 4,4475 4,8639 5,0849 5,1313 5,0713 4,9822 4,9233 4,9286 5,0131 5,1755 5,3842 5,5677 5,6454 5,5817 5,4035 5,1705 4,9385 4,7428 4,6023 4,5352 4,5573 4,6506 4,7362 4,6978 4,4517 4,0104 3,4911 3,0653 2,8695 2,9318 3,1751 3,4882 3,7815 3,9917 4,0861 4,0912 4,0894 4,1616 4,3280 4,5426 4,7328 4,8459 4,8706 4,8176 4,6896 4,4864 4,2344 3,9919 3,8123 3,7058 3,6493 3,6242 3,6307 3,6602 3,6582 3,5370 3,2514 2,8511 2,4451 2,1273 1,9346 1,8517 1,8428 1,8763 1,9213 1,9386 1,9038 1,8376 1,7922 1,8066 1,8703 1,9162 1,8580 1,6489 1,2946 0,8130 0,2203 -0,4281 -1,0201 -1,4427 -1,6476 -1,6598 -1,5395 -1,3454 -1,1259 -0,9109 -0,7054 -0,5167 -0,3853 -0,3606 -0,4477 -0,5947 -0,7335 -0,8171 -0,8202 -0,7357 -0,5920 -0,4584 -0,4062 -0,4590 -0,5855 -0,7217 -0,7908 -0,7349 -0,5490 -0,2822 -0,0052 0,2386 0,4626 0,7056 0,9700 1,2001 1,3160 1,2635 1,0493 0,7401 0,4168 0,1329 -0,0794 -0,1926 -0,1946 -0,1093 0,0083 0,1081 0,1733 0,2264 0,3142 0,4593 0,6158 0,7076 0,7081 0,6476 0,5633 0,4804 0,4226 0,3956 0,3670 0,2885 0,1322 -0,1086 -0,4278 -0,7899 -1,1245 -1,3635 -1,4783 -1,4801 -1,4024 -1,2845 -1,1473 -0,9836 -0,7831 -0,5488 -0,2867 -0,0028 0,2742 0,4898 0,5911 0,5510 0,3737 0,0928 -0,2366 -0,5640 -0,8715 -1,1687 -1,4668 -1,7633 -2,0360 -2,2435 -2,3579 -2,3970 -2,3987 -2,3712 -2,2928 -2,1563 -1,9902 -1,8326 -1,7064 -1,6369 -1,6700 -1,8363 -2,1006 -2,3704 -2,5500 -2,5843 -2,4788 -2,2927
Fz    0,9256 1,0931 1,2015 1,2229 1,1447 0,9745 0,7399 0,4770 0,2215 0,0075 -0,1413 -0,2228 -0,2538 -0,2555 -0,2409 -0,2125 -0,1662 -0,0951 0,0069 0,1372 0,2778 0,3950 0,4501 0,4182 0,3043 0,1435 -0,0121 -0,1111 -0,1223 -0,0572 0,0194 0,0213 -0,1002 -0,3215 -0,5674 -0,7627 -0,8713 -0,8986 -0,8678 -0,7968 -0,6944 -0,5764 -0,4751 -0,4206 -0,4086 -0,3938 -0,3229 -0,1737 0,0448 0,3162 0,6237 0,9434 1,2455 1,4981 1,6667 1,7225 1,6635 1,5264 1,3752 1,2703 1,2380 1,2677 1,3341 1,4196 1,5173 1,6233 1,7347 1,8509 1,9761 2,1177 2,2801 2,4518 2,5960 2,6570 2,5838 2,3567 2,0017 1,5843 1,1858 0,8762 0,6914 0,6235 0,6271 0,6390 0,6061 0,5138 0,3866 0,2554 0,1321 0,0176 -0,0813 -0,1608 -0,2433 -0,3732 -0,5815 -0,8554 -1,1426 -1,3810 -1,5293 -1,5870 -1,5926 -1,6040 -1,6728 -1,8245 -2,0536 -2,3394 -2,6685 -3,0357 -3,4247 -3,8005 -4,1372 -4,4514 -4,7956 -5,2185 -5,7391 -6,3498 -7,0274 -7,7375 -8,4411 -9,1003 -9,6782 -10,1393 -10,4634 -10,6583 -10,7537 -10,7777 -10,7393 -10,6362 -10,4766 -10,2836 -10,0799 -9,8742 -9,6637 -9,4479 -9,2310 -9,0115 -8,7757 -8,5087 -8,2112 -7,8997 -7,5912 -7,2896 -6,9879 -6,6799 -6,3594 -6,0076 -5,5917 -5,0839 -4,4855 -3,8363 -3,2000 -2,6332 -2,1690 -1,8206 -1,5858 -1,4411 -1,3366 -1,2093 -1,0046 -0,6953 -0,2930 0,1586 0,6052 1,0063 1,3453 1,6231 1,8504 2,0472 2,2430 2,4686 2,7434 3,0542 3,3474 3,5533 3,6195 3,5290 3,3114 3,0445 2,8220 2,7003 2,6709 2,6826 2,6806 2,6290 2,5154 2,3551 2,1928 2,0785 2,0324 2,0355 2,0460 2,0227 1,9450 1,8240 1,6947 1,5884 1,5135 1,4666 1,4564 1,4993 1,5850 1,6684 1,7041 1,6828 1,6286 1,5752 1,5546 1,5983 1,7300 1,9460 2,2079 2,4581 2,6439 2,7367 2,7411 2,6841 2,5941 2,4951 2,4145 2,3841 2,4286 2,5530 2,7413 2,9659 3,2013 3,4351 3,6679 3,9014 4,1278 4,3335 4,5130 4,6674 4,7909 4,8736 4,9225 4,9672 5,0337 5,1169 5,1812 5,1823 5,0886 4,8979 4,6405 4,3576 4,0769 3,8171 3,6070 3,4759 3,4269 3,4378 3,4838 3,5486 3,6239 3,7080 3,7984 3,8807 3,9291 3,9205 3,8528 3,7519 3,6552 3,5902 3,5682 3,5892 3,6384 3,6847 3,6979 3,6694 3,6169 3,5754 3,5859 3,6783 3,8489 4,0571 4,2472 4,3704 4,3975 4,3277 4,1899 4,0370 3,9307 3,9116 3,9795 4,1136 4,3041 4,5515 4,8421 5,1387 5,4045 5,6281 5,8155 5,9724 6,1017 6,2022 6,2610 6,2577 6,1892 6,0864 5,9964 5,9541 5,9713 6,0348 6,1077 6,1406 6,0950 5,9642 5,7784 5,5954 5,4738 5,4400 5,4867 5,6009 5,7809 6,0240 6,3098 6,5994 6,8457 7,0031 7,0414 6,9642 6,8119 6,6462 6,5281 6,4972 6,5537 6,6571 6,7533 6,8105 6,8345 6,8537 6,8912 6,9445 6,9924 7,0210 7,0346 7,0457 7,0657 7,1129 7,2205 7,4244 7,7415 8,1565 8,6219 9,0730 9,4548 9,7328 9,8842 9,8979 9,7899 9,6061 9,3995 9,2052 9,0396 8,9108 8,8247 8,7846 8,7919 8,8449 8,9330 9,0392 9,1554 9,2846 9,4167 9,5117 9,5162 9,3957 9,1595 8,8585 8,5606 8,3259 8,1920 8,1601 8,1938 8,2450 8,2842 8,3125 8,3494 8,4088 8,4870 8,5735 8,6619 8,7492 8,8328 8,9078 8,9544 8,9343 8,8094 8,5747 8,2752 7,9866 7,7665 7,6198 7,5081 7,3825 7,2120 6,9979 6,7673 6,5549 6,3870 6,2652 6,1637 6,0513 5,9142 5,7528 5,5647 5,3459 5,1098 4,8949 4,7462 4,6962 4,7606 4,9339 5,1860 5,4679 5,7245 5,9133 6,0236 6,0764 6,1040 6,1340 6,1878 6,2792 6,4113 6,5785 6,7643 6,9359 7,0521 7,0885 7,0489 6,9527 6,8268 6,7021 6,5989 6,5196 6,4550 6,3899 6,3014 6,1630 5,9613 5,7171 5,4870 5,3332 5,2842 5,3163 5,3746 5,4128 5,4125 5,3721 5,2983 5,2166 5,1698 5,1941 5,2961 5,4528 5,6263 5,7835 5,9047 5,9805 6,0060 5,9805 5,9115 5,8138 5,6994 5,5689 5,4199 5,2625 5,1200 5,0080 4,9142 4,8051 4,6600 4,4910 4,3285 4,1950 4,0970 4,0322 3,9970 3,9863 3,9873 3,9791 3,9489 3,9041 3,8626 3,8324 3,7976 3,7191 3,5598 3,3177 3,0271 2,7226 2,4172 2,1207 1,8579 1,6474 1,4760 1,3135 1,1482 0,9904 0,8461 0,7086 0,5724 0,4384 0,3057 0,1719 0,0419 -0,0642 -0,1118 -0,0664 0,0819 0,3015 0,5294 0,6982 0,7621 0,7097 0,5652 0,3878 0,2609 0,2589 0,4119 0,6991 1,0651 1,4492 1,8101 2,1284 2,3935 2,5956 2,7235 2,7693 2,7370 2,6492 2,5417 2,4559 2,4317 2,4949 2,6443 2,8537 3,0891 3,3236 3,5416 3,7399 3,9279 4,1089 4,2546 4,3170 4,2722 4,1338 3,9303 3,6881 3,4339 3,1937 2,9813 2,7967 2,6294 2,4587 2,2671 2,0621 1,8747 1,7350 1,6598 1,6569 1,7250 1,8473 2,0005 2,1695 2,3497 2,5408 2,7420 2,9466 3,1362 3,2881 3,3841 3,4096 3,3495 3,1950 2,9585 2,6771 2,3943 2,1344 1,8929 1,6516 1,4039 1,1662 0,9650 0,8226 0,7548 0,7714 0,8688 1,0203 1,1792 1,3045 1,3840 1,4209 1,4055 1,3204 1,1722 1,0033 0,8722 0,8269 0,8822 1,0074
F3    0,3982 0,5313 0,6080 0,6276 0,5853 0,4760 0,3044 0,0935 -0,1146 -0,2731 -0,3578 -0,3793 -0,3653 -0,3355 -0,2923 -0,2287 -0,1413 -0,0362 0,0772 0,1923 0,3038 0,3995 0,4556 0,4529 0,3993 0,3344 0,3129 0,3826 0,5616 0,8080 1,0114 1,0425 0,8345 0,4318 -0,0373 -0,4366 -0,6882 -0,7887 -0,7808 -0,7127 -0,6183 -0,5280 -0,4792 -0,5005 -0,5797 -0,6599 -0,6869 -0,6495 -0,5569 -0,3975 -0,1476 0,1888 0,5669 0,9211 1,1834 1,3042 1,2769 1,1466 0,9906 0,8790 0,8415 0,8626 0,9107 0,9698 1,0425 1,1334 1,2366 1,3392 1,4295 1,5014 1,5520 1,5786 1,5769 1,5324 1,4135 1,1848 0,8427 0,4334 0,0355 -0,2715 -0,4355 -0,4547 -0,3794 -0,2873 -0,2393 -0,2470 -0,2866 -0,3463 -0,4404 -0,5702 -0,6978 -0,7821 -0,8314 -0,9078 -1,0757 -1,3487 -1,6801 -1,9929 -2,2176 -2,3207 -2,3164 -2,2568 -2,2039 -2,2007 -2,2637 -2,4009 -2,6277 -2,9552 -3,3619 -3,7921 -4,1970 -4,5798 -4,9904 -5,4793 -6,0657 -6,7323 -7,4334 -8,1135 -8,7328 -9,2769 -9,7386 -10,0972 -10,3278 -10,4231 -10,3970 -10,2706 -10,0590 -9,7769 -9,4587 -9,1613 -8,9363 -8,7955 -8,7057 -8,6174 -8,4954 -8,3263 -8,1064 -7,8348 -7,5222 -7,2015 -6,9138 -6,6810 -6,4941 -6,3269 -6,1466 -5,9100 -5,5651 -5,0731 -4,4430 -3,7468 -3,0913 -2,5626 -2,1893 -1,9428 -1,7661 -1,6053 -1,4223 -1,1929 -0,9081 -0,5865 -0,2752 -0,0240 0,1483 0,2610 0,3446 0,4127 0,4683 0,5280 0,6217 0,7708 0,9765 1,2177 1,4534 1,6354 1,7208 1,6839 1,5381 1,3531 1,2249 1,2103 1,2928 1,4141 1,5228 1,5905 1,6084 1,5908 1,5818 1,6277 1,7309 1,8428 1,9024 1,8708 1,7445 1,5537 1,3455 1,1539 0,9831 0,8311 0,7255 0,7106 0,7927 0,9218 1,0344 1,0955 1,1031 1,0746 1,0443 1,0643 1,1843 1,4140 1,7037 1,9657 2,1174 2,1278 2,0358 1,9187 1,8356 1,8072 1,8336 1,9101 2,0271 2,1717 2,3351 2,5091 2,6811 2,8373 2,9710 3,0855 3,1938 3,3162 3,4750 3,6755 3,8893 4,0692 4,1872 4,2508 4,2823 4,2929 4,2759 4,2116 4,0783 3,8743 3,6330 3,4012 3,1997 3,0266 2,8951 2,8290 2,8193 2,8230 2,8080 2,7786 2,7654 2,7985 2,8828 2,9930 3,0899 3,1388 3,1236 3,0572 2,9735 2,9087 2,8894 2,9274 3,0057 3,0770 3,0926 3,0350 2,9274 2,8219 2,7787 2,8364 2,9877 3,1847 3,3682 3,4837 3,4840 3,3418 3,0705 2,7352 2,4330 2,2421 2,1868 2,2573 2,4475 2,7563 3,1591 3,5914 3,9708 4,2358 4,3680 4,3925 4,3628 4,3309 4,3146 4,2921 4,2410 4,1789 4,1542 4,2037 4,3278 4,4931 4,6435 4,7194 4,6842 4,5419 4,3318 4,1098 3,9248 3,7967 3,7258 3,7288 3,8472 4,1156 4,5271 5,0319 5,5527 6,0018 6,2998 6,4005 6,3065 6,0665 5,7608 5,4784 5,2839 5,1941 5,1821 5,2057 5,2370 5,2746 5,3348 5,4263 5,5378 5,6520 5,7608 5,8599 5,9412 6,0054 6,0844 6,2352 6,5071 6,9116 7,4092 7,9258 8,3889 8,7470 8,9582 8,9831 8,8061 8,4626 8,0300 7,5918 7,2098 6,9203 6,7397 6,6695 6,7013 6,8230 7,0150 7,2440 7,4765 7,6919 7,8698 7,9735 7,9560 7,7836 7,4627 7,0480 6,6241 6,2821 6,0945 6,0797 6,1872 6,3344 6,4632 6,5647 6,6666 6,7941 6,9424 7,0863 7,2038 7,2826 7,3184 7,3135 7,2714 7,1925 7,0751 6,9194 6,7358 6,5515 6,3960 6,2695 6,1384 5,9648 5,7398 5,4869 5,2364 5,0106 4,8267 4,6939 4,6076 4,5563 4,5239 4,4799 4,3799 4,1919 3,9316 3,6670 3,4822 3,4427 3,5824 3,8901 4,3041 4,7330 5,0886 5,3143 5,4042 5,3962 5,3401 5,2739 5,2216 5,1972 5,2048 5,2442 5,3136 5,4000 5,4786 5,5321 5,5575 5,5548 5,5266 5,4878 5,4582 5,4448 5,4323 5,3934 5,3033 5,1406 4,8937 4,5854 4,2809 4,0523 3,9324 3,9027 3,9200 3,9548 4,0000 4,0517 4,0994 4,1403 4,1868 4,2569 4,3649 4,5081 4,6523 4,7393 4,7227 4,5960 4,3912 4,1615 3,9597 3,8178 3,7386 3,7044 3,6953 3,7004 3,7194 3,7474 3,7540 3,6875 3,5205 3,2853 3,0523 2,8797 2,7878 2,7689 2,8026 2,8587 2,8971 2,8798 2,7928 2,6524 2,4900 2,3329 2,1875 2,0268 1,8090 1,5224 1,2014 0,8896 0,6066 0,3601 0,1647 0,0252 -0,0834 -0,1959 -0,3207 -0,4405 -0,5422 -0,6296 -0,7108 -0,7870 -0,8564 -0,9224 -0,9905 -1,0522 -1,0716 -0,9999 -0,8154 -0,5519 -0,2816 -0,0753 0,0250 0,0138 -0,0835 -0,2209 -0,3454 -0,4162 -0,4122 -0,3294 -0,1796 0,0154 0,2407 0,4925 0,7656 1,0432 1,2895 1,4546 1,5027 1,4428 1,3252 1,2106 1,1436 1,1378 1,1770 1,2314 1,2805 1,3233 1,3709 1,4445 1,5778 1,7864 2,0185 2,1681 2,1518 1,9563 1,6253 1,2269 0,8318 0,4948 0,2441 0,0848 -0,0014 -0,0653 -0,1700 -0,3392 -0,5341 -0,6852 -0,7342 -0,6523 -0,4452 -0,1528 0,1689 0,4760 0,7453 0,9676 1,1410 1,2639 1,3318 1,3490 1,3329 1,2955 1,2265 1,1050 0,9252 0,7097 0,4949 0,3014 0,1185 -0,0815 -0,3169 -0,5843 -0,8615 -1,1076 -1,2715 -1,3188 -1,2508 -1,1021 -0,9240 -0,7593 -0,6239 -0,5194 -0,4608 -0,4722 -0,5511 -0,6494 -0,6931 -0,6205 -0,4208 -0,1490
F7    -1,0109 -1,1134 -1,0906 -0,9396 -0,6877 -0,4082 -0,1841 -0,0677 -0,0759 -0,1899 -0,3568 -0,5096 -0,5959 -0,5919 -0,4925 -0,2962 -0,0125 0,3196 0,6358 0,8772 1,0190 1,0767 1,0830 1,0512 0,9534 0,7418 0,3924 -0,0621 -0,5278 -0,8825 -1,0295 -0,9276 -0,5941 -0,1016 0,4257 0,8447 1,0539 1,0325 0,8348 0,5613 0,3078 0,1201 0,0006 -0,0590 -0,0761 -0,0842 -0,1075 -0,1293 -0,1061 -0,0210 0,0843 0,1387 0,0989 -0,0157 -0,1345 -0,1826 -0,1290 0,0108 0,2129 0,4762 0,8077 1,1865 1,5556 1,8524 2,0320 2,0673 1,9627 1,7692 1,5493 1,3289 1,1095 0,9179 0,8069 0,8014 0,8661 0,9470 1,0218 1,0898 1,1426 1,1615 1,1221 1,0010 0,7987 0,5555 0,3329 0,1789 0,1062 0,1043 0,1623 0,2622 0,3627 0,4158 0,4105 0,3981 0,4593 0,6318 0,8705 1,0760 1,1500 1,0364 0,7422 0,3290 -0,1275 -0,5721 -0,9770 -1,3347 -1,6480 -1,9321 -2,2217 -2,5498 -2,9088 -3,2534 -3,5508 -3,8198 -4,1108 -4,4604 -4,8770 -5,3560 -5,8730 -6,3645 -6,7587 -7,0354 -7,2300 -7,3751 -7,4625 -7,4539 -7,3120 -7,0311 -6,6485 -6,2170 -5,7677 -5,3177 -4,9025 -4,5736 -4,3668 -4,2870 -4,3132 -4,4094 -4,5330 -4,6302 -4,6284 -4,4574 -4,0906 -3,5643 -2,9532 -2,3373 -1,7885 -1,3564 -1,0318 -0,7402 -0,3983 0,0194 0,4714 0,8857 1,1872 1,3089 1,2115 0,9126 0,5031 0,1204 -0,1074 -0,1118 0,1002 0,4861 1,0268 1,7094 2,4512 3,0891 3,4712 3,5440 3,3510 2,9803 2,5226 2,0526 1,6156 1,2317 0,9172 0,6928 0,5614 0,4911 0,4449 0,4233 0,4664 0,6144 0,8571 1,1158 1,2844 1,2909 1,1293 0,8608 0,5964 0,4594 0,5358 0,8493 1,3702 2,0223 2,6789 3,1871 3,4314 3,3847 3,0996 2,6594 2,1453 1,6419 1,2500 1,0533 1,0525 1,1537 1,2429 1,2676 1,2543 1,2689 1,3630 1,5408 1,7632 1,9713 2,1030 2,1052 1,9451 1,6279 1,2280 0,8921 0,7616 0,8716 1,1411 1,4654 1,7996 2,1460 2,4750 2,6975 2,7376 2,5944 2,3133 1,9420 1,5352 1,1661 0,9040 0,7859 0,8128 0,9590 1,1761 1,3960 1,5441 1,5753 1,5001 1,3635 1,2096 1,0750 0,9933 0,9861 1,0462 1,1315 1,1910 1,2003 1,1691 1,1249 1,0916 1,0634 1,0033 0,8884 0,7453 0,6199 0,5326 0,4798 0,4429 0,3770 0,2229 -0,0417 -0,3669 -0,6582 -0,8407 -0,8932 -0,8365 -0,7085 -0,5424 -0,3481 -0,1166 0,1518 0,4339 0,6987 0,9263 1,1117 1,2580 1,3750 1,4733 1,5522 1,5969 1,5934 1,5578 1,5410 1,5821 1,6690 1,7564 1,8070 1,8102 1,7685 1,6726 1,4951 1,2167 0,8622 0,5059 0,2286 0,0699 0,0255 0,0706 0,1763 0,3282 0,5382 0,8251 1,1855 1,5850 1,9597 2,2303 2,3377 2,2744 2,0868 1,8593 1,6850 1,6306 1,7135 1,9009 2,1233 2,3040 2,3955 2,3956 2,3400 2,2808 2,2502 2,2334 2,1954 2,1324 2,0857 2,1139 2,2550 2,4939 2,7571 2,9500 3,0209 2,9899 2,9118 2,8267 2,7512 2,6899 2,6476 2,6451 2,7204 2,9149 3,2623 3,7725 4,4013 5,0419 5,5597 5,8457 5,8629 5,6525 5,2819 4,7980 4,2444 3,6910 3,2169 2,8757 2,6798 2,6082 2,6309 2,7375 2,9378 3,2321 3,5795 3,8945 4,0808 4,0812 3,9025 3,5990 3,2474 2,9288 2,7133 2,6470 2,7398 2,9603 3,2566 3,5759 3,8621 4,0590 4,1332 4,0888 3,9529 3,7433 3,4601 3,1268 2,8170 2,6103 2,5371 2,5690 2,6380 2,6596 2,5715 2,3771 2,1489 1,9658 1,8478 1,7552 1,6307 1,4397 1,2113 1,0468 1,0504 1,2393 1,5264 1,7854 1,9247 1,9118 1,7585 1,5163 1,2802 1,1519 1,1726 1,3050 1,4785 1,6347 1,7486 1,8308 1,9116 2,0187 2,1677 2,3604 2,5823 2,7998 2,9722 3,0748 3,1143 3,1230 3,1212 3,0831 2,9651 2,7670 2,5488 2,3895 2,3301 2,3374 2,3191 2,1906 1,9421 1,6450 1,3999 1,2666 1,2321 1,2308 1,1872 1,0638 0,8830 0,6953 0,5319 0,4057 0,3467 0,4103 0,6416 1,0304 1,4989 1,9394 2,2744 2,4859 2,6018 2,6678 2,7187 2,7621 2,7878 2,7788 2,7054 2,5256 2,2065 1,7479 1,1856 0,5725 -0,0396 -0,5926 -1,0113 -1,2302 -1,2447 -1,1261 -0,9728 -0,8417 -0,7272 -0,5959 -0,4253 -0,2137 0,0183 0,2131 0,2782 0,1417 -0,1883 -0,6331 -1,0998 -1,5108 -1,8134 -1,9947 -2,0794 -2,1072 -2,1181 -2,1471 -2,2083 -2,2866 -2,3576 -2,4063 -2,4233 -2,4044 -2,3638 -2,3339 -2,3436 -2,3896 -2,4256 -2,4010 -2,3126 -2,2030 -2,1077 -2,0182 -1,9003 -1,7234 -1,4700 -1,1530 -0,8275 -0,5527 -0,3465 -0,1935 -0,0871 -0,0442 -0,0926 -0,2508 -0,5087 -0,8177 -1,1053 -1,3021 -1,3681 -1,3062 -1,1568 -0,9746 -0,8069 -0,6940 -0,6764 -0,7841 -1,0111 -1,2999 -1,5580 -1,7025 -1,6890 -1,5078 -1,1853 -0,7960 -0,4449 -0,2201 -0,1584 -0,2514 -0,4651 -0,7456 -1,0156 -1,1872 -1,2087 -1,1200 -1,0426 -1,0836 -1,2520 -1,4740 -1,6626 -1,7593 -1,7406 -1,6144 -1,4138 -1,1874 -0,9899 -0,8718 -0,8660 -0,9655 -1,1127 -1,2304 -1,2840 -1,3083 -1,3604 -1,4516 -1,5301 -1,5254 -1,4018 -1,1713 -0,8747 -0,5693 -0,3301 -0,2247 -0,2654 -0,4015 -0,5687 -0,7355 -0,8955 -1,0336 -1,1140 -1,1034 -1,0144 -0,9280 -0,9604 -1,1860 -1,5824 -2,0488 -2,4754
