Fp1   1,8548 1,9092 1,9233 1,8978 1,8339 1,7260 1,5442 1,2536 0,8697 0,4864 0,2262 0,1571 0,2641 0,4929 0,8055 1,1998 1,6758 2,1844 2,6138 2,8345 2,7635 2,3885 1,7499 0,9216 0,0015 -0,9003 -1,6804 -2,2683 -2,6318 -2,7463 -2,5856 -2,1721 -1,6113 -1,0534 -0,6277 -0,4032 -0,3785 -0,5029 -0,7165 -0,9870 -1,3109 -1,6715 -1,9986 -2,1890 -2,1671 -1,9172 -1,4849 -0,9663 -0,4798 -0,1274 0,0185 -0,0852 -0,4292 -0,9194 -1,3874 -1,6621 -1,6499 -1,3648 -0,8950 -0,3433 0,2232 0,7879 1,3548 1,9074 2,4083 2,8293 3,1629 3,3927 3,4711 3,3547 3,0524 2,6181 2,1088 1,5685 1,0441 0,5882 0,2443 0,0345 -0,0555 -0,0801 -0,0944 -0,1043 -0,0599 0,1087 0,4438 0,9261 1,4755 1,9794 2,3214 2,4114 2,2273 1,8397 1,3877 1,0191 0,8445 0,9234 1,2590 1,7932 2,4109 2,9716 3,3726 3,6001 3,7176 3,7997 3,8781 3,9431 3,9747 3,9454 3,7960 3,4483 2,8580 2,0537 1,1360 0,2555 -0,4125 -0,7014 -0,4926 0,2441 1,4242 2,8601 4,3170 5,5906 6,5679 7,2461 7,7117 8,0971 8,5174 9,0086 9,5259 10,0012 10,3904 10,6750 10,8522 10,9284 10,9048 10,7730 10,5443 10,2704 10,0127 9,8008 9,6300 9,4892 9,3818 9,3275 9,3608 9,5151 9,7814 10,0942 10,3782 10,6062 10,8088 11,0378 11,3250 11,6629 12,0183 12,3566 12,6447 12,8289 12,8218 12,5258 11,8852 10,9276 9,7660 8,5731 7,5378 6,8051 6,4293 6,3691 6,5037 6,6569 6,6439 6,3377 5,7211 4,8935 4,0236 3,2662 2,6890 2,2530 1,8566 1,4084 0,8712 0,2655 -0,3450 -0,8783 -1,2678 -1,4865 -1,5457 -1,4811 -1,3507 -1,2434 -1,2806 -1,5858 -2,2183 -3,1108 -4,0756 -4,8873 -5,3807 -5,5026 -5,2954 -4,8444 -4,2415 -3,5793 -2,9478 -2,4164 -2,0126 -1,7211 -1,4901 -1,2454 -0,9209 -0,4910 0,0163 0,5296 0,9684 1,2753 1,4181 1,3831 1,1858 0,8800 0,5507 0,2955 0,1944 0,2697 0,4686 0,6929 0,8606 0,9536 1,0286 1,1938 1,5553 2,1561 2,9522 3,8360 4,6746 5,3308 5,6811 5,6601 5,2981 4,7046 4,0145 3,3393 2,7392 2,2285 1,8007 1,4364 1,1074 0,8082 0,5879 0,5320 0,7039 1,1029 1,6571 2,2400 2,7053 2,9340 2,8701 2,5234 1,9428 1,1930 0,3586 -0,4508 -1,1289 -1,6084 -1,8620 -1,8798 -1,6513 -1,1659 -0,4402 0,4436 1,3393 2,0897 2,5774 2,7475 2,6112 2,2313 1,6946 1,0844 0,4634 -0,1334 -0,6958 -1,2158 -1,6473 -1,8936 -1,8444 -1,4460 -0,7573 0,0642 0,8391 1,4248 1,7335 1,7512 1,5452 1,2264 0,8933 0,6038 0,3777 0,2064 0,0575 -0,1138 -0,3365 -0,6059 -0,8882 -1,1258 -1,2418 -1,1716 -0,9096 -0,5101 -0,0296 0,5198 1,1507 1,8433 2,5167 3,0522 3,3455 3,3455 3,0672 2,5941 2,0647 1,6212 1,3500 1,2696 1,3615 1,5851 1,8639 2,0869 2,1572 2,0525 1,8348 1,6050 1,4372 1,3408 1,2808 1,2428 1,2804 1,4850 1,9070 2,5108 3,2006 3,8682 4,4197 4,7917 4,9550 4,9051 4,6619 4,2729 3,7969 3,2721 2,6971 2,0467 1,3103 0,5276 -0,2020 -0,7502 -1,0135 -0,9449 -0,5411 0,1785 1,1632 2,3150 3,5045 4,6109 5,5509 6,2752 6,7366 6,8742 6,6405 6,0388 5,1327 4,0376 2,9112 1,9304 1,2413 0,9079 0,8903 1,0694 1,3088 1,5178 1,6797 1,8272 1,9888 2,1616 2,3259 2,4628 2,5481 2,5504 2,4512 2,2631 2,0287 1,8108 1,6731 1,6410 1,6731 1,6878 1,6311 1,5315 1,4957 1,6401 2,0083 2,5424 3,1218 3,6255 3,9710 4,1245 4,1023 3,9599 3,7597 3,5361 3,2832 2,9688 2,5638 2,0678 1,5116 0,9562 0,5031 0,2714 0,3320 0,6572 1,1288 1,6028 1,9862 2,2609 2,4505 2,5859 2,6937 2,7898 2,8826 2,9900 3,1446 3,3655 3,6140 3,7759 3,7017 3,2895 2,5435 1,5723 0,5333 -0,4352 -1,2502 -1,8599 -2,2007 -2,1984 -1,8153 -1,0827 -0,0825 1,0870 2,3357 3,5806 4,7205 5,6327 6,2179 6,4360 6,3086 5,9153 5,3821 4,8385 4,3638 3,9721 3,6412 3,3445 3,0572 2,7546 2,4251 2,0833 1,7588 1,4826 1,2955 1,2543 1,4025 1,7311 2,1635 2,5753 2,8458 2,9100 2,7814 2,5376 2,2735 2,0604 1,9339 1,8886 1,8724 1,8047 1,6267 1,3404 0,9932 0,6358 0,3097 0,0630 -0,0554 -0,0308 0,1073 0,3126 0,5351 0,7120 0,7782 0,7069 0,5394 0,3720 0,2985 0,3507 0,4897 0,6542 0,8125 0,9828 1,2144 1,5468 1,9835 2,5036 3,0869 3,7249 4,4177 5,1719 5,9785 6,7805 7,4728 7,9435 8,1263 8,0358 7,7684 7,4676 7,2699 7,2553 7,4281 7,7349 8,1000 8,4587 8,7701 9,0140 9,1780 9,2386 9,1510 8,8610 8,3318 7,5679 6,6210 5,5779 4,5326 3,5634 2,7400 2,1374 1,8199 1,8140 2,0975 2,5885 3,1413 3,5820 3,7697 3,6413 3,2238 2,6223 1,9890 1,4673 1,1431 1,0342 1,1057 1,2984 1,5632 1,8850 2,2702 2,7055 3,1325 3,4653 3,6236 3,5511 3,2228 2,6547 1,9136 1,1196 0,4327 0,0137 -0,0282 0,3302 1,0352 1,9918 3,0890 4,2070 5,2103 5,9509 6,3106 6,2529 5,8211 5,0937 4,1541 3,0935 2,0166 1,0170 0,1535 -0,5387 -1,0196 -1,2407 -1,1676 -0,7996 -0,1723 0,6340 1,4885 2,2330 2,7336 2,9210 2,7926 2,3852 1,7576 0,9979
Fz    1,0810 1,4236 1,8170 2,2575 2,7471 3,2855 3,8604 4,4396 4,9683 5,3798 5,6162 5,6503 5,4951 5,1946 4,7991 4,3410 3,8262 3,2510 2,6243 1,9692 1,3089 0,6572 0,0285 -0,5417 -0,9962 -1,2829 -1,3914 -1,3657 -1,2839 -1,2255 -1,2475 -1,3775 -1,6166 -1,9413 -2,3135 -2,7004 -3,0847 -3,4539 -3,7897 -4,0703 -4,2799 -4,4133 -4,4727 -4,4643 -4,3999 -4,2973 -4,1782 -4,0606 -3,9479 -3,8245 -3,6700 -3,4760 -3,2493 -3,0002 -2,7326 -2,4463 -2,1448 -1,8335 -1,5124 -1,1765 -0,8217 -0,4459 -0,0495 0,3611 0,7702 1,1587 1,5177 1,8499 2,1539 2,4091 2,5779 2,6238 2,5297 2,3034 1,9668 1,5394 1,0348 0,4724 -0,1167 -0,6910 -1,2032 -1,6124 -1,8989 -2,0623 -2,1102 -2,0539 -1,9094 -1,6946 -1,4234 -1,1005 -0,7208 -0,2755 0,2293 0,7568 1,2493 1,6519 1,9266 2,0565 2,0439 1,8991 1,6358 1,2766 0,8546 0,4015 -0,0564 -0,4926 -0,8828 -1,2145 -1,4859 -1,6933 -1,8238 -1,8571 -1,7796 -1,6029 -1,3656 -1,1149 -0,8813 -0,6643 -0,4356 -0,1651 0,1524 0,4963 0,8419 1,1801 1,5236 1,8970 2,3184 2,7917 3,3122 3,8731 4,4607 5,0467 5,5886 6,0435 6,3875 6,6228 6,7698 6,8561 6,9109 6,9585 7,0195 7,1166 7,2724 7,4989 7,7960 8,1551 8,5604 8,9858 9,3984 9,7650 10,0590 10,2699 10,4115 10,5182 10,6301 10,7751 10,9589 11,1643 11,3614 11,5238 11,6375 11,6936 11,6768 11,5698 11,3677 11,0829 10,7339 10,3282 9,8549 9,2937 8,6344 7,8875 7,0825 6,2554 5,4336 4,6293 3,8495 3,1108 2,4455 1,8903 1,4625 1,1466 0,9040 0,6911 0,4660 0,1986 -0,1130 -0,4437 -0,7679 -1,0783 -1,3809 -1,6769 -1,9511 -2,1769 -2,3349 -2,4265 -2,4710 -2,4911 -2,4998 -2,4951 -2,4673 -2,4112 -2,3244 -2,1975 -2,0185 -1,7896 -1,5327 -1,2776 -1,0518 -0,8735 -0,7455 -0,6558 -0,5860 -0,5188 -0,4403 -0,3420 -0,2223 -0,0876 0,0510 0,1890 0,3376 0,5175 0,7493 1,0434 1,3903 1,7617 2,1237 2,4445 2,6944 2,8494 2,9014 2,8637 2,7647 2,6318 2,4794 2,3104 2,1252 1,9207 1,6872 1,4166 1,1149 0,8035 0,5129 0,2692 0,0760 -0,0907 -0,2638 -0,4610 -0,6748 -0,8822 -1,0616 -1,2020 -1,3003 -1,3548 -1,3606 -1,3105 -1,2025 -1,0505 -0,8856 -0,7406 -0,6321 -0,5548 -0,4934 -0,4385 -0,3959 -0,3817 -0,4115 -0,4924 -0,6223 -0,7903 -0,9779 -1,1600 -1,3069 -1,3924 -1,4042 -1,3483 -1,2440 -1,1159 -0,9830 -0,8494 -0,7079 -0,5524 -0,3824 -0,2022 -0,0228 0,1420 0,2858 0,4147 0,5434 0,6928 0,8844 1,1272 1,4101 1,7094 2,0023 2,2698 2,4897 2,6367 2,6972 2,6757 2,5896 2,4655 2,3339 2,2103 2,0867 1,9506 1,8061 1,6729 1,5697 1,5100 1,5059 1,5698 1,7148 1,9496 2,2683 2,6492 3,0644 3,4870 3,8924 4,2604 4,5818 4,8615 5,1098 5,3288 5,5069 5,6251 5,6638 5,6056 5,4425 5,1823 4,8462 4,4683 4,0967 3,7762 3,5241 3,3270 3,1601 3,0052 2,8602 2,7416 2,6790 2,6994 2,8129 3,0070 3,2467 3,4791 3,6523 3,7409 3,7532 3,7177 3,6659 3,6177 3,5735 3,5187 3,4399 3,3379 3,2246 3,1060 2,9789 2,8466 2,7261 2,6315 2,5584 2,4875 2,3974 2,2776 2,1365 1,9921 1,8555 1,7268 1,6018 1,4786 1,3565 1,2326 1,1050 0,9813 0,8873 0,8592 0,9171 1,0458 1,2084 1,3683 1,5022 1,6066 1,6976 1,7951 1,9048 2,0167 2,1226 2,2311 2,3640 2,5353 2,7321 2,9197 3,0683 3,1687 3,2268 3,2499 3,2380 3,1841 3,0869 2,9620 2,8399 2,7501 2,7079 2,7145 2,7689 2,8733 3,0227 3,1940 3,3525 3,4701 3,5350 3,5480 3,5198 3,4728 3,4358 3,4322 3,4717 3,5485 3,6453 3,7396 3,8113 3,8448 3,8265 3,7472 3,6084 3,4243 3,2148 2,9949 2,7683 2,5311 2,2762 1,9944 1,6843 1,3665 1,0844 0,8860 0,8008 0,8286 0,9430 1,1062 1,2843 1,4555 1,6122 1,7634 1,9310 2,1391 2,3995 2,6999 3,0088 3,2956 3,5446 3,7491 3,8967 3,9606 3,9101 3,7264 3,4105 2,9860 2,4982 1,9983 1,5243 1,0929 0,7012 0,3374 -0,0022 -0,3059 -0,5574 -0,7468 -0,8671 -0,9128 -0,8912 -0,8327 -0,7798 -0,7609 -0,7711 -0,7811 -0,7643 -0,7173 -0,6581 -0,6126 -0,6090 -0,6771 -0,8365 -1,0749 -1,3405 -1,5600 -1,6699 -1,6436 -1,4999 -1,2911 -1,0756 -0,8950 -0,7670 -0,6905 -0,6493 -0,6171 -0,5710 -0,4959 -0,3736 -0,1739 0,1383 0,5831 1,1541 1,8242 2,5586 3,3209 4,0766 4,8021 5,4917 6,1555 6,8119 7,4819 8,1817 8,9140 9,6643 10,3998 11,0696 11,6077 11,9480 12,0486 11,9070 11,5598 11,0685 10,5073 9,9486 9,4438 9,0083 8,6272 8,2708 7,9027 7,4847 6,9847 6,3825 5,6726 4,8684 4,0052 3,1333 2,3100 1,5882 0,9993 0,5423 0,1964 -0,0522 -0,2036 -0,2619 -0,2453 -0,1785 -0,0817 0,0309 0,1490 0,2674 0,3893 0,5208 0,6595 0,7901 0,8908 0,9485 0,9717 0,9909 1,0442 1,1577 1,3409 1,5982 1,9369 2,3497 2,7900 3,1749 3,4206 3,4831 3,3720 3,1325 2,8178 2,4703 2,1160 1,7675 1,4331 1,1238 0,8557 0,6476 0,5198 0,4841 0,5294 0,6170 0,6926 0,7058 0,6307 0,4772 0,2869 0,1124 -0,0061 -0,0520 -0,0253 0,0693 0,2249 0,4307 0,6780 0,9646 1,2904
F3    -1,4532 -0,9574 -0,2661 0,5721 1,5103 2,5188 3,5936 4,7260 5,8405 6,7733 7,3400 7,4391 7,0939 6,4085 5,5026 4,4683 3,3653 2,2487 1,1907 0,2716 -0,4466 -0,9365 -1,2021 -1,2614 -1,1416 -0,8984 -0,6287 -0,4442 -0,4298 -0,6341 -1,0743 -1,7173 -2,4588 -3,1457 -3,6479 -3,9281 -4,0425 -4,0771 -4,0875 -4,0763 -4,0052 -3,8425 -3,6014 -3,3203 -3,0188 -2,6950 -2,3522 -2,0073 -1,6807 -1,3841 -1,1087 -0,8202 -0,4832 -0,1041 0,2506 0,4844 0,5288 0,3848 0,1232 -0,1523 -0,3610 -0,4753 -0,4952 -0,4062 -0,1853 0,1626 0,6045 1,1158 1,6877 2,2854 2,8265 3,2205 3,4297 3,4898 3,4629 3,3686 3,1612 2,7673 2,1494 1,3486 0,4755 -0,3468 -1,0409 -1,5843 -1,9752 -2,2041 -2,2606 -2,1474 -1,8735 -1,4378 -0,8386 -0,1114 0,6474 1,3101 1,7770 2,0086 2,0218 1,8799 1,6705 1,4537 1,2174 0,8851 0,3703 -0,3626 -1,2578 -2,1824 -2,9935 -3,5873 -3,8836 -3,8052 -3,2988 -2,3755 -1,1356 0,2361 1,5120 2,4855 3,0294 3,1297 2,8880 2,4822 2,0911 1,8223 1,6900 1,6583 1,7000 1,8082 1,9764 2,2065 2,5301 2,9940 3,6315 4,4422 5,3687 6,2983 7,1175 7,7680 8,2472 8,5830 8,8165 8,9814 9,0916 9,1571 9,2007 9,2533 9,3360 9,4505 9,5868 9,7445 9,9366 10,1652 10,3991 10,5898 10,7116 10,7791 10,8301 10,8953 10,9819 11,0819 11,1981 11,3580 11,5886 11,8745 12,1473 12,3060 12,2410 11,8703 11,1792 10,2259 9,1115 7,9482 6,8379 5,8600 5,0568 4,4050 3,8032 3,1237 2,3034 1,3898 0,5025 -0,2403 -0,7727 -1,0949 -1,2642 -1,3753 -1,5300 -1,7998 -2,2029 -2,7069 -3,2471 -3,7494 -4,1490 -4,3962 -4,4638 -4,3676 -4,1687 -3,9425 -3,7429 -3,5926 -3,5013 -3,4817 -3,5433 -3,6753 -3,8333 -3,9508 -3,9765 -3,9003 -3,7376 -3,5021 -3,1958 -2,8166 -2,3759 -1,9126 -1,4862 -1,1454 -0,8905 -0,6609 -0,3700 0,0286 0,4996 0,9511 1,3022 1,5306 1,6746 1,7990 1,9585 2,1845 2,4805 2,8049 3,0697 3,1824 3,0955 2,8152 2,3807 1,8584 1,3439 0,9322 0,6632 0,5023 0,3799 0,2448 0,0861 -0,0776 -0,2093 -0,2628 -0,2078 -0,0668 0,0703 0,0876 -0,0898 -0,4623 -0,9650 -1,4862 -1,8930 -2,0660 -1,9292 -1,4611 -0,6926 0,2851 1,3166 2,2256 2,8885 3,2682 3,3843 3,2594 2,8826 2,2168 1,2665 0,1421 -0,9674 -1,8946 -2,5509 -2,9109 -2,9807 -2,7940 -2,4150 -1,9203 -1,3694 -0,7924 -0,2081 0,3491 0,8144 1,1015 1,1288 0,8564 0,3254 -0,3390 -0,9747 -1,4444 -1,6721 -1,6529 -1,4379 -1,0978 -0,6875 -0,2357 0,2488 0,7635 1,2987 1,8311 2,3289 2,7503 3,0448 3,1710 3,1146 2,8837 2,5058 2,0319 1,5181 0,9846 0,4138 -0,1890 -0,7418 -1,1110 -1,1793 -0,8835 -0,2186 0,7536 1,9000 3,0540 4,0735 4,8736 5,4329 5,7950 6,0607 6,3417 6,6935 7,0827 7,4075 7,5468 7,4214 7,0405 6,4873 5,8523 5,1761 4,4510 3,6693 2,8699 2,1368 1,5554 1,1738 0,9998 1,0289 1,2644 1,6997 2,2809 2,9037 3,4577 3,8853 4,1983 4,4457 4,6692 4,8802 5,0573 5,1559 5,1316 4,9626 4,6535 4,2240 3,6923 3,0745 2,4084 1,7547 1,1648 0,6671 0,2816 0,0322 -0,0460 0,0864 0,4326 0,9237 1,4312 1,8128 1,9607 1,8384 1,4940 1,0440 0,6358 0,4060 0,4399 0,7350 1,1985 1,6873 2,0624 2,2344 2,1911 1,9863 1,7062 1,4387 1,2454 1,1416 1,1129 1,1593 1,3125 1,6023 2,0085 2,4413 2,7729 2,9059 2,8254 2,5889 2,2785 1,9685 1,7133 1,5384 1,4392 1,4017 1,4320 1,5652 1,8465 2,3012 2,9087 3,5994 4,2777 4,8444 5,2114 5,3298 5,2259 5,0067 4,8003 4,6772 4,6288 4,6059 4,5549 4,4321 4,2112 3,8772 3,4103 2,7911 2,0295 1,1993 0,4494 -0,0360 -0,1257 0,1872 0,7891 1,5212 2,2575 2,9229 3,4588 3,7940 3,8624 3,6535 3,2332 2,7016 2,1355 1,5743 1,0574 0,6658 0,5002 0,5993 0,8958 1,2639 1,6073 1,8986 2,1565 2,4091 2,6748 2,9579 3,2408 3,4783 3,6189 3,6381 3,5437 3,3632 3,1290 2,8515 2,5062 2,0629 1,5214 0,9210 0,3301 -0,1722 -0,5275 -0,7429 -0,9031 -1,1159 -1,4368 -1,8367 -2,2309 -2,5258 -2,6532 -2,5956 -2,3961 -2,1367 -1,9034 -1,7612 -1,7441 -1,8476 -2,0166 -2,1563 -2,1860 -2,0920 -1,9170 -1,7006 -1,4401 -1,1135 -0,7271 -0,3192 0,0699 0,4015 0,6335 0,7499 0,7893 0,8293 0,9417 1,1614 1,4951 1,9482 2,5331 3,2470 4,0527 4,8937 5,7206 6,5060 7,2575 8,0123 8,7946 9,5760 10,2870 10,8557 11,2264 11,3547 11,2095 10,7927 10,1512 9,3626 8,5143 7,6879 6,9533 6,3743 6,0182 5,9351 6,1077 6,4287 6,7435 6,9158 6,8590 6,5277 5,9055 5,0092 3,9044 2,7080 1,5572 0,5656 -0,1976 -0,7027 -0,9488 -0,9571 -0,7648 -0,4210 0,0070 0,4307 0,7602 0,9328 0,9223 0,7294 0,3763 -0,0869 -0,5700 -0,9510 -1,1110 -0,9657 -0,4795 0,3171 1,3234 2,4052 3,4458 4,3551 5,0491 5,4488 5,5066 5,2232 4,6354 3,7977 2,7819 1,6864 0,6319 -0,2725 -0,9659 -1,4256 -1,6294 -1,5445 -1,1542 -0,4971 0,3236 1,1659 1,8868 2,3774 2,5855 2,5118 2,1852 1,6474 0,9642 0,2388 -0,3948 -0,7975 -0,8742 -0,6171 -0,1027 0,5511 1,2211
F7    -0,0913 0,1760 0,3377 0,3710 0,2974 0,1806 0,0945 0,0860 0,1755 0,3798 0,7031 1,1061 1,5148 1,8672 2,1377 2,3112 2,3512 2,2126 1,8759 1,3562 0,6865 -0,1079 -1,0069 -1,9509 -2,8035 -3,3734 -3,4929 -3,1000 -2,2744 -1,2083 -0,1364 0,7351 1,2797 1,4745 1,3781 1,0811 0,6777 0,2531 -0,1367 -0,4813 -0,8012 -1,1037 -1,3534 -1,4857 -1,4326 -1,1503 -0,6674 -0,1016 0,4027 0,7567 0,9472 1,0076 0,9986 1,0058 1,1251 1,4120 1,8238 2,2212 2,4470 2,4118 2,1327 1,7284 1,3728 1,2144 1,3199 1,6765 2,2229 2,8652 3,4775 3,9227 4,1093 4,0372 3,7858 3,4628 3,1438 2,8374 2,5087 2,1267 1,6761 1,1557 0,5989 0,0848 -0,2933 -0,4600 -0,3616 0,0208 0,6330 1,3342 1,9360 2,2747 2,2840 2,0257 1,6471 1,3163 1,1866 1,3576 1,8248 2,4730 3,1215 3,5823 3,7234 3,5315 3,1301 2,7181 2,4634 2,4347 2,5989 2,8378 2,9778 2,8551 2,3907 1,6257 0,6982 -0,2188 -0,9727 -1,4475 -1,5571 -1,2392 -0,4631 0,7356 2,2142 3,7363 5,0623 6,0548 6,7244 7,1965 7,6240 8,1035 8,6544 9,2442 9,8085 10,2609 10,5165 10,5263 10,2967 9,8776 9,3461 8,8172 8,4390 8,3165 8,4305 8,6673 8,9353 9,2477 9,7082 10,4147 11,3511 12,3620 13,2276 13,7681 13,9058 13,6713 13,1750 12,5775 12,0667 11,8094 11,8807 12,2310 12,7195 13,1741 13,4382 13,4006 13,0148 12,3053 11,3652 10,3297 9,3264 8,4270 7,6331 6,9040 6,1889 5,4382 4,6115 3,6962 2,7243 1,7625 0,8785 0,1148 -0,5079 -0,9840 -1,3324 -1,5994 -1,8362 -2,0839 -2,3824 -2,7617 -3,2089 -3,6616 -4,0479 -4,3475 -4,6269 -5,0000 -5,5347 -6,1959 -6,8883 -7,5415 -8,1334 -8,6394 -8,9931 -9,1029 -8,8898 -8,3275 -7,4606 -6,3805 -5,2058 -4,0898 -3,1891 -2,5859 -2,2499 -2,0727 -1,9457 -1,8287 -1,7587 -1,7969 -1,9704 -2,2502 -2,5665 -2,8451 -3,0272 -3,0650 -2,9320 -2,6507 -2,2930 -1,9445 -1,6722 -1,5071 -1,4281 -1,3634 -1,2298 -0,9846 -0,6435 -0,2476 0,1763 0,6130 1,0279 1,3503 1,4986 1,4334 1,1837 0,8164 0,3894 -0,0619 -0,5058 -0,9052 -1,2423 -1,5372 -1,8102 -2,0300 -2,1120 -1,9576 -1,5141 -0,8355 -0,0779 0,5924 1,0823 1,3863 1,5558 1,6375 1,6389 1,5600 1,4341 1,3152 1,2193 1,0958 0,8752 0,5272 0,0798 -0,3762 -0,7190 -0,8738 -0,8509 -0,6979 -0,4537 -0,1594 0,1176 0,2989 0,3324 0,1988 -0,1073 -0,5601 -1,0779 -1,5536 -1,9012 -2,0704 -2,0489 -1,8624 -1,5766 -1,3023 -1,1639 -1,2291 -1,4719 -1,8050 -2,1290 -2,3551 -2,4221 -2,3305 -2,1677 -2,0765 -2,1765 -2,5084 -3,0359 -3,6570 -4,2159 -4,5650 -4,6404 -4,4660 -4,1063 -3,6275 -3,0752 -2,4591 -1,7689 -1,0154 -0,2482 0,4534 1,0004 1,3251 1,4056 1,2709 0,9927 0,6612 0,3510 0,1148 -0,0028 0,0277 0,2070 0,5093 0,8797 1,2283 1,4495 1,4639 1,2645 0,9425 0,6556 0,5553 0,7293 1,1709 1,7716 2,3606 2,7938 3,0107 3,0133 2,8296 2,5151 2,1512 1,8064 1,4962 1,1851 0,8335 0,4535 0,1236 -0,0579 -0,0447 0,1209 0,3381 0,5199 0,6455 0,7562 0,9173 1,1761 1,5446 2,0095 2,5422 3,0909 3,5725 3,8907 3,9748 3,8125 3,4385 2,9014 2,2559 1,5768 0,9565 0,4769 0,1765 0,0407 0,0239 0,0872 0,2114 0,3719 0,5248 0,6336 0,7018 0,7740 0,9051 1,1165 1,3723 1,5959 1,7185 1,7187 1,6199 1,4618 1,2746 1,0661 0,8342 0,6031 0,4358 0,3996 0,5178 0,7450 0,9961 1,2151 1,4207 1,6830 2,0542 2,5190 2,9950 3,3637 3,5166 3,4007 3,0342 2,4921 1,8916 1,3664 1,0233 0,9061 0,9846 1,1741 1,3889 1,5844 1,7560 1,9210 2,1036 2,3168 2,5418 2,7340 2,8594 2,9123 2,8925 2,7832 2,5531 2,1785 1,6748 1,1107 0,5840 0,1711 -0,1079 -0,2756 -0,3545 -0,3443 -0,2333 -0,0173 0,3000 0,7124 1,2016 1,7330 2,2759 2,8089 3,2994 3,7012 3,9741 4,1032 4,1143 4,0694 4,0234 3,9846 3,9352 3,8707 3,7834 3,6289 3,3528 2,9562 2,5118 2,1132 1,8161 1,6143 1,4569 1,2873 1,0724 0,8224 0,6031 0,5179 0,6535 1,0270 1,5646 2,1245 2,5554 2,7475 2,6587 2,3175 1,8066 1,2368 0,7073 0,2567 -0,1569 -0,6119 -1,1452 -1,7043 -2,1670 -2,4040 -2,3541 -2,0768 -1,7320 -1,4935 -1,4640 -1,6367 -1,9211 -2,2076 -2,4119 -2,4945 -2,4606 -2,3188 -2,0361 -1,5504 -0,8324 0,0764 1,0987 2,1811 3,2999 4,4309 5,5328 6,5412 7,3665 7,9207 8,1674 8,1578 8,0157 7,8702 7,7792 7,7045 7,5533 7,2439 6,7575 6,1652 5,6056 5,2083 5,0375 5,1127 5,4271 5,9261 6,5071 7,0442 7,4055 7,4873 7,2652 6,7910 6,1365 5,3545 4,4839 3,5704 2,6831 1,9052 1,3017 0,8936 0,6615 0,5615 0,5302 0,4895 0,3774 0,1939 0,0101 -0,0714 0,0313 0,3322 0,7536 1,1675 1,4756 1,6451 1,6749 1,5597 1,3014 0,9414 0,5686 0,2817 0,1358 0,1460 0,3423 0,7667 1,4000 2,1353 2,8347 3,3957 3,7622 3,8967 3,7812 3,4552 3,0315 2,6503 2,4037 2,2864 2,2052 2,0437 1,7396 1,3065 0,7879 0,2199 -0,3524 -0,8544 -1,2027 -1,3463 -1,2858 -1,0560 -0,7046 -0,2953 0,0821 0,3360 0,4186 0,3559 0,2360 0,1623 0,2026
