Fp1   1,5825 1,1398 0,8913 0,8494 0,9520 1,1039 1,2250 1,2504 1,1283 0,8511 0,4709 0,0636 -0,3125 -0,6196 -0,8133 -0,8448 -0,7132 -0,4883 -0,2485 -0,0042 0,2925 0,6743 1,1168 1,5519 1,8895 2,0344 1,9213 1,5616 1,0475 0,4944 -0,0126 -0,4093 -0,6472 -0,7370 -0,7614 -0,8202 -0,9739 -1,2273 -1,5405 -1,8486 -2,0807 -2,1796 -2,1177 -1,9008 -1,5668 -1,1743 -0,7684 -0,3360 0,1905 0,8635 1,6581 2,4758 3,1786 3,6329 3,7656 3,5810 3,1291 2,4909 1,7823 1,1218 0,5856 0,2066 -0,0040 -0,0645 -0,0459 -0,0624 -0,2263 -0,5900 -1,1065 -1,6274 -1,9643 -2,0007 -1,7684 -1,4297 -1,2032 -1,2797 -1,7482 -2,5612 -3,5666 -4,5775 -5,4276 -5,9952 -6,2263 -6,1600 -5,9028 -5,5600 -5,1970 -4,8493 -4,5364 -4,2583 -3,9956 -3,7302 -3,4748 -3,2870 -3,2611 -3,5123 -4,1482 -5,2148 -6,6554 -8,3269 -10,0475 -11,6373 -12,9497 -13,8978 -14,4694 -14,7223 -14,7495 -14,6286 -14,3779 -13,9351 -13,1735 -11,9730 -10,3129 -8,3071 -6,1513 -4,0183 -1,9827 -0,0426 1,7978 3,4763 4,8858 5,9444 6,6659 7,1401 7,4411 7,5768 7,5211 7,2608 6,7993 6,1407 5,2972 4,3110 3,2587 2,2169 1,2180 0,2547 -0,6767 -1,5446 -2,2801 -2,8100 -3,1006 -3,1709 -3,0915 -2,9852 -2,9827 -3,1305 -3,3509 -3,5018 -3,4643 -3,1899 -2,6995 -2,0543 -1,3193 -0,5498 0,1872 0,8026 1,2172 1,4006 1,3857 1,2461 1,0457 0,8054 0,5124 0,1378 -0,3600 -1,0340 -1,9323 -3,0636 -4,3592 -5,6690 -6,8090 -7,6334 -8,0794 -8,1715 -7,9872 -7,6042 -7,0896 -6,5330 -6,0371 -5,6499 -5,3242 -4,9461 -4,4083 -3,6837 -2,8551 -2,0655 -1,4370 -1,0264 -0,8272 -0,8086 -0,9616 -1,2905 -1,7651 -2,3213 -2,9086 -3,5105 -4,1220 -4,7167 -5,2214 -5,5236 -5,5300 -5,2398 -4,7625 -4,2549 -3,8424 -3,5810 -3,4587 -3,4145 -3,3570 -3,1787 -2,7880 -2,1590 -1,3603 -0,5328 0,1727 0,6461 0,8294 0,7044 0,2799 -0,4141 -1,3267 -2,3844 -3,4974 -4,5787 -5,5607 -6,3924 -7,0282 -7,4426 -7,6478 -7,6619 -7,4693 -7,0481 -6,4312 -5,7269 -5,0837 -4,6098 -4,3019 -4,0581 -3,7589 -3,3428 -2,8319 -2,3087 -1,8854 -1,6960 -1,8589 -2,3950 -3,1969 -4,0880 -4,9064 -5,5550 -6,0103 -6,2977 -6,4602 -6,5440 -6,5983 -6,6654 -6,7622 -6,8716 -6,9530 -6,9593 -6,8572 -6,6516 -6,3919 -6,1493 -5,9903 -5,9546 -6,0353 -6,1920 -6,3832 -6,5620 -6,6556 -6,5826 -6,2981 -5,8230 -5,2356 -4,6322 -4,0778 -3,5860 -3,1540 -2,8154 -2,6450 -2,7163 -3,0598 -3,6486 -4,4024 -5,2098 -5,9689 -6,6180 -7,1312 -7,4886 -7,6445 -7,5315 -7,1194 -6,4750 -5,7467 -5,0842 -4,5729 -4,2125 -3,9234 -3,5924 -3,1698 -2,7348 -2,4570 -2,4880 -2,8746 -3,5452 -4,3584 -5,1593 -5,8207 -6,2825 -6,5750 -6,7880 -6,9966 -7,2069 -7,3739 -7,4559 -7,4384 -7,3269 -7,1410 -6,9020 -6,6260 -6,3355 -6,0696 -5,8688 -5,7504 -5,7058 -5,7223 -5,8004 -5,9347 -6,0774 -6,1450 -6,0813 -5,8992 -5,6524 -5,3997 -5,2188 -5,2074 -5,4201 -5,8147 -6,2814 -6,7125 -7,0473 -7,2801 -7,4592 -7,6827 -8,0551 -8,6011 -9,2204 -9,7439 -10,0395 -10,0709 -9,8871 -9,5811 -9,2499 -8,9606 -8,7334 -8,5538 -8,4023 -8,2618 -8,0956 -7,8594 -7,5544 -7,2452 -7,0104 -6,9041 -6,9764 -7,2891 -7,8545 -8,5708 -9,2517 -9,7166 -9,8563 -9,6578 -9,2038 -8,6401 -8,1114 -7,7122 -7,4663 -7,3275 -7,2233 -7,1190 -7,0188 -6,9131 -6,7638 -6,5373 -6,2374 -5,9079 -5,6064 -5,3640 -5,1618 -4,9477 -4,6753 -4,3388 -3,9926 -3,7225 -3,5802 -3,5529 -3,6001 -3,7012 -3,8607 -4,0753 -4,3116 -4,5214 -4,6763 -4,7868 -4,8959 -5,0443 -5,2319 -5,4136 -5,5383 -5,5925 -5,6062 -5,6190 -5,6517 -5,7190 -5,8411 -6,0117 -6,1531 -6,1339 -5,8614 -5,3658 -4,7887 -4,2863 -3,9398 -3,7486 -3,6807 -3,7177 -3,8716 -4,1581 -4,5477 -4,9548 -5,2791 -5,4653 -5,5364 -5,5662 -5,6173 -5,7113 -5,8457 -6,0114 -6,1787 -6,2869 -6,2658 -6,0788 -5,7506 -5,3442 -4,9195 -4,5253 -4,2052 -3,9807 -3,8142 -3,5917 -3,1618 -2,4288 -1,4325 -0,3380 0,6578 1,4175 1,8953 2,1235 2,1773 2,1312 2,0349 1,9088 1,7386 1,4590 0,9706 0,2054 -0,8244 -2,0401 -3,3258 -4,5367 -5,5323 -6,2491 -6,7364 -7,1118 -7,4926 -7,9670 -8,5938 -9,3800 -10,2462 -11,0375 -11,5922 -11,8214 -11,7425 -11,4346 -10,9554 -10,3063 -9,4721 -8,4683 -7,3353 -6,1066 -4,8073 -3,4795 -2,1840 -0,9724 0,1237 1,0790 1,8757 2,5277 3,0988 3,6761 4,2984 4,9085 5,3830 5,6001 5,4957 5,1045 4,5641 4,0426 3,6354 3,3392 3,1065 2,8852 2,6142 2,2318 1,6967 0,9861 0,0968 -0,9259 -1,9648 -2,8509 -3,4221 -3,6013 -3,4637 -3,2274 -3,1302 -3,2865 -3,6521 -4,1013 -4,5189 -4,8519 -5,1189 -5,3797 -5,6994 -6,1405 -6,7643 -7,6029 -8,6193 -9,6948 -10,6572 -11,3400 -11,6560 -11,6496 -11,4761 -11,3182 -11,3186 -11,5597 -12,0440 -12,6616 -13,2041 -13,4440 -13,2362 -12,5784 -11,5969 -10,4791 -9,4015 -8,4862 -7,7838 -7,2679 -6,8567 -6,4713 -6,0877 -5,7342 -5,4566 -5,3024 -5,3248 -5,5712 -6,0414 -6,6504 -7,2431 -7,6665 -7,8586 -7,8860 -7,8908 -8,0010 -8,2948 -8,8252 -9,6261 -10,6678 -11,8283 -12,9260 -13,7736 -14,2300 -14,2519 -13,8996 -13,2876 -12,5495 -11,8368 -11,2816 -10,9230 -10,6770 -10,3874 -9,9364 -9,3358 -8,7106 -8,1826 -7,7849 -7,4906 -7,2815 -7,1567
Fz    1,6695 1,3183 1,0834 0,9737 0,9493 0,9464 0,9097 0,7979 0,5896 0,3063 0,0143 -0,2143 -0,3401 -0,3577 -0,2758 -0,1112 0,0927 0,2629 0,3439 0,3495 0,3532 0,4235 0,5777 0,7845 0,9820 1,0900 1,0393 0,8164 0,4765 0,1039 -0,2307 -0,4770 -0,6090 -0,6476 -0,6600 -0,7186 -0,8635 -1,0939 -1,3786 -1,6649 -1,8860 -1,9753 -1,8870 -1,6158 -1,2030 -0,7229 -0,2468 0,1961 0,6302 1,0987 1,6208 2,1709 2,6789 3,0538 3,2275 3,1781 2,9210 2,5040 2,0045 1,5048 1,0625 0,7048 0,4351 0,2350 0,0660 -0,1232 -0,3806 -0,7272 -1,1322 -1,5093 -1,7514 -1,7921 -1,6492 -1,4261 -1,2768 -1,3456 -1,6977 -2,2898 -3,0033 -3,7065 -4,2936 -4,6931 -4,8732 -4,8568 -4,7152 -4,5276 -4,3468 -4,1958 -4,0764 -3,9671 -3,8249 -3,6123 -3,3325 -3,0403 -2,8220 -2,7736 -2,9787 -3,4753 -4,2349 -5,1767 -6,1945 -7,1719 -8,0005 -8,6091 -8,9850 -9,1724 -9,2445 -9,2615 -9,2368 -9,1249 -8,8357 -8,2788 -7,4195 -6,3085 -5,0572 -3,7730 -2,5106 -1,2840 -0,1097 0,9718 1,9042 2,6446 3,1925 3,5834 3,8453 3,9745 3,9501 3,7591 3,4013 2,8866 2,2387 1,5022 0,7371 -0,0053 -0,7087 -1,3852 -2,0408 -2,6517 -3,1666 -3,5318 -3,7187 -3,7338 -3,6225 -3,4727 -3,3906 -3,4412 -3,6025 -3,7782 -3,8500 -3,7325 -3,4014 -2,8897 -2,2627 -1,5967 -0,9732 -0,4741 -0,1638 -0,0696 -0,1722 -0,4151 -0,7301 -1,0627 -1,3837 -1,6892 -1,9985 -2,3528 -2,8091 -3,4116 -4,1510 -4,9446 -5,6624 -6,1814 -6,4344 -6,4299 -6,2349 -5,9337 -5,6044 -5,3192 -5,1277 -5,0260 -4,9527 -4,8194 -4,5548 -4,1496 -3,6698 -3,2119 -2,8445 -2,5900 -2,4378 -2,3636 -2,3475 -2,3766 -2,4344 -2,5089 -2,6129 -2,7793 -3,0360 -3,3815 -3,7710 -4,1220 -4,3502 -4,4146 -4,3392 -4,1954 -4,0620 -3,9948 -4,0115 -4,0866 -4,1572 -4,1448 -3,9874 -3,6684 -3,2288 -2,7536 -2,3367 -2,0508 -1,9427 -2,0349 -2,3181 -2,7496 -3,2690 -3,8200 -4,3617 -4,8701 -5,3353 -5,7509 -6,1064 -6,3928 -6,6098 -6,7458 -6,7642 -6,6342 -6,3690 -6,0306 -5,7045 -5,4597 -5,3083 -5,2017 -5,0658 -4,8470 -4,5376 -4,1730 -3,8252 -3,6007 -3,6072 -3,8915 -4,4110 -5,0653 -5,7471 -6,3794 -6,9240 -7,3704 -7,7256 -8,0117 -8,2609 -8,4988 -8,7282 -8,9250 -9,0485 -9,0584 -8,9331 -8,6878 -8,3763 -8,0704 -7,8315 -7,6869 -7,6232 -7,6040 -7,5930 -7,5567 -7,4556 -7,2508 -6,9242 -6,4963 -6,0242 -5,5767 -5,1994 -4,8995 -4,6656 -4,5003 -4,4294 -4,4902 -4,7163 -5,1178 -5,6649 -6,2891 -6,9117 -7,4710 -7,9245 -8,2322 -8,3447 -8,2194 -7,8595 -7,3391 -6,7789 -6,2897 -5,9272 -5,6797 -5,4805 -5,2487 -4,9527 -4,6465 -4,4408 -4,4374 -4,6788 -5,1375 -5,7398 -6,3935 -7,0036 -7,4962 -7,8484 -8,0905 -8,2666 -8,3914 -8,4529 -8,4447 -8,3791 -8,2784 -8,1639 -8,0441 -7,9121 -7,7634 -7,6108 -7,4776 -7,3831 -7,3361 -7,3388 -7,3896 -7,4711 -7,5316 -7,5027 -7,3513 -7,1090 -6,8446 -6,6275 -6,5209 -6,5757 -6,7974 -7,1258 -7,4660 -7,7392 -7,9117 -7,9948 -8,0377 -8,1208 -8,3270 -8,6837 -9,1254 -9,5223 -9,7554 -9,7749 -9,6044 -9,3139 -8,9898 -8,7055 -8,4970 -8,3620 -8,2802 -8,2233 -8,1497 -8,0211 -7,8374 -7,6425 -7,4911 -7,4234 -7,4738 -7,6762 -8,0280 -8,4583 -8,8532 -9,1110 -9,1776 -9,0522 -8,7837 -8,4574 -8,1643 -7,9645 -7,8637 -7,8105 -7,7333 -7,5903 -7,3791 -7,1120 -6,8023 -6,4706 -6,1493 -5,8752 -5,6724 -5,5364 -5,4279 -5,2884 -5,0694 -4,7669 -4,4378 -4,1720 -4,0358 -4,0412 -4,1603 -4,3571 -4,6009 -4,8565 -5,0756 -5,2136 -5,2592 -5,2466 -5,2382 -5,2861 -5,3974 -5,5300 -5,6252 -5,6465 -5,5931 -5,4829 -5,3367 -5,1849 -5,0736 -5,0398 -5,0698 -5,0922 -5,0296 -4,8604 -4,6333 -4,4226 -4,2725 -4,1837 -4,1420 -4,1509 -4,2384 -4,4270 -4,6945 -4,9739 -5,1917 -5,3154 -5,3739 -5,4296 -5,5285 -5,6787 -5,8645 -6,0598 -6,2257 -6,3087 -6,2594 -6,0632 -5,7558 -5,4036 -5,0644 -4,7694 -4,5276 -4,3260 -4,1206 -3,8339 -3,3848 -2,7425 -1,9628 -1,1666 -0,4803 0,0125 0,2843 0,3581 0,2931 0,1611 0,0215 -0,0957 -0,2038 -0,3656 -0,6716 -1,1878 -1,9112 -2,7740 -3,6746 -4,5012 -5,1608 -5,6207 -5,9227 -6,1514 -6,3922 -6,7145 -7,1654 -7,7508 -8,4165 -9,0636 -9,5926 -9,9444 -10,1161 -10,1401 -10,0404 -9,8105 -9,4340 -8,9133 -8,2701 -7,5287 -6,7151 -5,8711 -5,0503 -4,2948 -3,6271 -3,0608 -2,5993 -2,2154 -1,8425 -1,4058 -0,8799 -0,3143 0,1963 0,5580 0,7080 0,6401 0,4225 0,1664 -0,0458 -0,1932 -0,2903 -0,3618 -0,4478 -0,5991 -0,8548 -1,2339 -1,7321 -2,3091 -2,8830 -3,3523 -3,6295 -3,6805 -3,5629 -3,4204 -3,4059 -3,5932 -3,9548 -4,4079 -4,8743 -5,3146 -5,7281 -6,1284 -6,5269 -6,9406 -7,3978 -7,9211 -8,5006 -9,0820 -9,5807 -9,9146 -10,0417 -9,9864 -9,8344 -9,6946 -9,6587 -9,7789 -10,0494 -10,3922 -10,6713 -10,7439 -10,5251 -10,0304 -9,3678 -8,6801 -8,0807 -7,6227 -7,2984 -7,0526 -6,8080 -6,5060 -6,1354 -5,7331 -5,3636 -5,0968 -4,9912 -5,0806 -5,3535 -5,7354 -6,0991 -6,3202 -6,3490 -6,2407 -6,1150 -6,0830 -6,2135 -6,5463 -7,0976 -7,8313 -8,6463 -9,4090 -9,9970 -10,3323 -10,4071 -10,2817 -10,0478 -9,7951 -9,5996 -9,5014 -9,4765 -9,4377 -9,2789 -8,9425 -8,4629 -7,9430 -7,4841 -7,1325 -6,8860 -6,7278 -6,6366
F3    2,1968 1,9565 1,7679 1,6275 1,4986 1,3383 1,1214 0,8376 0,4922 0,1238 -0,1986 -0,4155 -0,5103 -0,5009 -0,4057 -0,2327 -0,0095 0,1950 0,3081 0,3182 0,2840 0,2792 0,3428 0,4714 0,6258 0,7341 0,7177 0,5411 0,2370 -0,1234 -0,4686 -0,7320 -0,8595 -0,8479 -0,7603 -0,6844 -0,6768 -0,7475 -0,8808 -1,0544 -1,2409 -1,3993 -1,4769 -1,4307 -1,2512 -0,9685 -0,6291 -0,2590 0,1478 0,6016 1,0877 1,5635 1,9662 2,2312 2,3195 2,2255 1,9653 1,5779 1,1317 0,7047 0,3524 0,0978 -0,0619 -0,1473 -0,1916 -0,2379 -0,3338 -0,5072 -0,7369 -0,9478 -1,0519 -1,0042 -0,8326 -0,6367 -0,5630 -0,7544 -1,2792 -2,0894 -3,0461 -3,9872 -4,7811 -5,3447 -5,6460 -5,7075 -5,5931 -5,3737 -5,1003 -4,8040 -4,5005 -4,1828 -3,8251 -3,4147 -2,9841 -2,6023 -2,3437 -2,2744 -2,4540 -2,9205 -3,6706 -4,6556 -5,7868 -6,9465 -8,0071 -8,8593 -9,4415 -9,7546 -9,8461 -9,7674 -9,5383 -9,1402 -8,5289 -7,6680 -6,5719 -5,3243 -4,0468 -2,8315 -1,7031 -0,6499 0,3271 1,2062 1,9571 2,5514 2,9793 3,2488 3,3657 3,3283 3,1452 2,8419 2,4450 1,9728 1,4443 0,8884 0,3425 -0,1662 -0,6434 -1,1180 -1,6028 -2,0681 -2,4543 -2,7090 -2,8096 -2,7573 -2,5767 -2,3343 -2,1293 -2,0348 -2,0432 -2,0748 -2,0377 -1,8836 -1,6135 -1,2488 -0,8081 -0,3095 0,2117 0,6966 1,0808 1,3148 1,3814 1,3058 1,1415 0,9365 0,7123 0,4689 0,1925 -0,1480 -0,6002 -1,2026 -1,9468 -2,7616 -3,5332 -4,1447 -4,5129 -4,6135 -4,4852 -4,2050 -3,8661 -3,5618 -3,3552 -3,2498 -3,1954 -3,1234 -2,9800 -2,7559 -2,5019 -2,3008 -2,2150 -2,2638 -2,4340 -2,6961 -3,0185 -3,3734 -3,7373 -4,0957 -4,4431 -4,7699 -5,0589 -5,2949 -5,4644 -5,5473 -5,5242 -5,3980 -5,2084 -5,0208 -4,8992 -4,8813 -4,9667 -5,1159 -5,2537 -5,2853 -5,1316 -4,7690 -4,2493 -3,6839 -3,1901 -2,8410 -2,6637 -2,6641 -2,8388 -3,1730 -3,6434 -4,2207 -4,8677 -5,5373 -6,1778 -6,7382 -7,1747 -7,4729 -7,6590 -7,7588 -7,7547 -7,6103 -7,3261 -6,9549 -6,5735 -6,2392 -5,9549 -5,6736 -5,3372 -4,9197 -4,4423 -3,9605 -3,5466 -3,2827 -3,2396 -3,4399 -3,8443 -4,3750 -4,9520 -5,5214 -6,0580 -6,5465 -6,9721 -7,3277 -7,6184 -7,8490 -8,0103 -8,0786 -8,0297 -7,8576 -7,5835 -7,2535 -6,9296 -6,6742 -6,5308 -6,5081 -6,5778 -6,6888 -6,7905 -6,8441 -6,8199 -6,6952 -6,4598 -6,1261 -5,7276 -5,3058 -4,8944 -4,5152 -4,1926 -3,9658 -3,8767 -3,9515 -4,2013 -4,6252 -5,1982 -5,8575 -6,5157 -7,0915 -7,5309 -7,8037 -7,8842 -7,7519 -7,4243 -6,9830 -6,5527 -6,2451 -6,1137 -6,1346 -6,2116 -6,2230 -6,1018 -5,8814 -5,6695 -5,5870 -5,7158 -6,0709 -6,6011 -7,2106 -7,7931 -8,2701 -8,6173 -8,8511 -8,9860 -9,0091 -8,9039 -8,6850 -8,3998 -8,1068 -7,8535 -7,6561 -7,4955 -7,3437 -7,1928 -7,0593 -6,9665 -6,9281 -6,9489 -7,0264 -7,1379 -7,2272 -7,2247 -7,0984 -6,8894 -6,6881 -6,5840 -6,6403 -6,8808 -7,2693 -7,7145 -8,1142 -8,4007 -8,5578 -8,6099 -8,6101 -8,6373 -8,7724 -9,0440 -9,3890 -9,6806 -9,8046 -9,7142 -9,4317 -9,0258 -8,5857 -8,1836 -7,8503 -7,5896 -7,4074 -7,3081 -7,2687 -7,2467 -7,2194 -7,2024 -7,2257 -7,3099 -7,4756 -7,7502 -8,1316 -8,5526 -8,9082 -9,1134 -9,1318 -8,9759 -8,6987 -8,3785 -8,0910 -7,8839 -7,7610 -7,6805 -7,5880 -7,4612 -7,3118 -7,1531 -6,9813 -6,7843 -6,5665 -6,3585 -6,1980 -6,1005 -6,0451 -5,9846 -5,8686 -5,6730 -5,4242 -5,1870 -5,0183 -4,9337 -4,9176 -4,9504 -5,0231 -5,1260 -5,2363 -5,3277 -5,3920 -5,4454 -5,5149 -5,6124 -5,7200 -5,8035 -5,8382 -5,8221 -5,7697 -5,6943 -5,6013 -5,5045 -5,4374 -5,4272 -5,4523 -5,4430 -5,3400 -5,1523 -4,9565 -4,8381 -4,8297 -4,8980 -4,9837 -5,0520 -5,1130 -5,1921 -5,2881 -5,3689 -5,4043 -5,4011 -5,4079 -5,4805 -5,6364 -5,8437 -6,0470 -6,1957 -6,2490 -6,1752 -5,9596 -5,6218 -5,2258 -4,8628 -4,6112 -4,5079 -4,5413 -4,6597 -4,7819 -4,8085 -4,6464 -4,2547 -3,6733 -2,9990 -2,3320 -1,7459 -1,2872 -0,9774 -0,8108 -0,7604 -0,7949 -0,8919 -1,0458 -1,2804 -1,6503 -2,2066 -2,9515 -3,8282 -4,7413 -5,5773 -6,2340 -6,6615 -6,8788 -6,9533 -6,9727 -7,0282 -7,1958 -7,5005 -7,8956 -8,2918 -8,6104 -8,8130 -8,9031 -8,9049 -8,8244 -8,6316 -8,2869 -7,7780 -7,1210 -6,3397 -5,4640 -4,5452 -3,6518 -2,8429 -2,1533 -1,6013 -1,1899 -0,8922 -0,6429 -0,3669 -0,0314 0,3313 0,6527 0,8689 0,9411 0,8724 0,7205 0,5672 0,4550 0,3690 0,2810 0,1774 0,0431 -0,1516 -0,4381 -0,8330 -1,3288 -1,8848 -2,4261 -2,8575 -3,0930 -3,1014 -2,9478 -2,7766 -2,7259 -2,8476 -3,1052 -3,4276 -3,7570 -4,0681 -4,3638 -4,6547 -4,9479 -5,2605 -5,6263 -6,0779 -6,6209 -7,2199 -7,8003 -8,2687 -8,5576 -8,6679 -8,6676 -8,6472 -8,6815 -8,8199 -9,0722 -9,3868 -9,6563 -9,7595 -9,6187 -9,2418 -8,7181 -8,1639 -7,6659 -7,2603 -6,9393 -6,6608 -6,3691 -6,0256 -5,6334 -5,2407 -4,9221 -4,7499 -4,7748 -5,0160 -5,4491 -5,9922 -6,5178 -6,9001 -7,0725 -7,0595 -6,9551 -6,8659 -6,8761 -7,0511 -7,4365 -8,0235 -8,7277 -9,4159 -9,9580 -10,2748 -10,3662 -10,2959 -10,1454 -9,9846 -9,8671 -9,8171 -9,8119 -9,7860 -9,6626 -9,4037 -9,0417 -8,6567 -8,3130 -8,0214 -7,7611 -7,5255 -7,3316
