Fp1   4,6047 4,6720 4,6747 4,6332 4,5642 4,4758 4,3721 4,2546 4,1180 3,9444 3,7117 3,4048 3,0190 2,5652 2,0704 1,5691 1,0975 0,6843 0,3323 0,0193 -0,2823 -0,5926 -0,9151 -1,2331 -1,5246 -1,7826 -2,0135 -2,2187 -2,3896 -2,5189 -2,6074 -2,6584 -2,6690 -2,6341 -2,5584 -2,4578 -2,3534 -2,2660 -2,2107 -2,1905 -2,2012 -2,2369 -2,2871 -2,3346 -2,3646 -2,3734 -2,3608 -2,3142 -2,2099 -2,0279 -1,7588 -1,4041 -0,9764 -0,4975 -0,0024 0,4566 0,8272 1,0824 1,2210 1,2533 1,2007 1,1019 0,9988 0,9092 0,8244 0,7325 0,6307 0,5114 0,3545 0,1441 -0,1092 -0,3708 -0,6073 -0,8010 -0,9479 -1,0567 -1,1480 -1,2385 -1,3272 -1,4072 -1,4815 -1,5574 -1,6354 -1,7054 -1,7473 -1,7399 -1,6736 -1,5480 -1,3655 -1,1360 -0,8829 -0,6337 -0,4083 -0,2157 -0,0530 0,0898 0,2190 0,3355 0,4406 0,5438 0,6644 0,8284 1,0581 1,3569 1,7071 2,0845 2,4703 2,8495 3,2096 3,5338 3,7988 3,9916 4,1234 4,2157 4,2834 4,3361 4,3830 4,4278 4,4655 4,4845 4,4667 4,3923 4,2582 4,0835 3,8910 3,6922 3,4905 3,2867 3,0838 2,8955 2,7502 2,6810 2,7069 2,8181 2,9751 3,1248 3,2272 3,2738 3,2814 3,2729 3,2655 3,2753 3,3251 3,4369 3,6085 3,7986 3,9490 4,0234 4,0194 3,9531 3,8434 3,7104 3,5805 3,4811 3,4249 3,4072 3,4228 3,4810 3,5993 3,7911 4,0678 4,4417 4,9224 5,5173 6,2313 7,0487 7,9160 8,7581 9,5119 10,1437 10,6545 11,0747 11,4443 11,7839 12,0792 12,2896 12,3718 12,3041 12,0931 11,7679 11,3709 10,9488 10,5395 10,1624 9,8276 9,5492 9,3431 9,2106 9,1337 9,0860 9,0407 8,9721 8,8590 8,6925 8,4879 8,2847 8,1205 8,0049 7,9194 7,8374 7,7393 7,6137 7,4529 7,2568 7,0327 6,7757 6,4581 6,0498 5,5498 4,9913 4,4175 3,8582 3,3293 2,8441 2,4164 2,0574 1,7738 1,5635 1,4109 1,2919 1,1884 1,0987 1,0356 1,0143 1,0408 1,1061 1,1869 1,2541 1,2831 1,2650 1,2202 1,1858 1,1802 1,1990 1,2387 1,3014 1,3811 1,4664 1,5549 1,6552 1,7838 1,9570 2,1766 2,4213 2,6523 2,8264 2,9109 2,8937 2,7840 2,6037 2,3739 2,1188 1,8871 1,7444 1,7284 1,8263 1,9947 2,1872 2,3685 2,5133 2,6022 2,6272 2,5980 2,5396 2,4791 2,4257 2,3663 2,2838 2,1753 2,0512 1,9199 1,7816 1,6360 1,4941 1,3780 1,3010 1,2493 1,1980 1,1391 1,0820 1,0461 1,0630 1,1690 1,3745 1,6470 1,9301 2,1738 2,3477 2,4411 2,4594 2,4272 2,3850 2,3681 2,3900 2,4460 2,5224 2,6001 2,6616 2,6927 2,6799 2,6130 2,4876 2,3055 2,0772 1,8149 1,5189 1,1754 0,7724 0,3107 -0,1937 -0,7092 -1,1889 -1,5787 -1,8376 -1,9554 -1,9530 -1,8678 -1,7360 -1,5800 -1,4090 -1,2269 -1,0374 -0,8370 -0,6051 -0,3063 0,0791 0,5320 1,0064 1,4509 1,8170 2,0683 2,1943 2,2155 2,1782 2,1365 2,1193 2,1187 2,1139 2,0946 2,0651 2,0389 2,0261 2,0219 2,0178 2,0172 2,0361 2,0923 2,1955 2,3391 2,5080 2,6929 2,8938 3,1153 3,3532 3,5814 3,7568 3,8404 3,8153 3,6864 3,4656 3,1633 2,7950 2,3945 2,0074 1,6594 1,3374 1,0093 0,6642 0,3279 0,0342 -0,2113 -0,4289 -0,6299 -0,7972 -0,9001 -0,9222 -0,8718 -0,7669 -0,6197 -0,4437 -0,2638 -0,1069 0,0089 0,0799 0,1117 0,1117 0,0890 0,0596 0,0481 0,0790 0,1683 0,3247 0,5481 0,8222 1,1189 1,4127 1,6909 1,9529 2,1998 2,4214 2,6008 2,7355 2,8461 2,9618 3,1072 3,2979 3,5323 3,7897 4,0480 4,3003 4,5467 4,7785 4,9741 5,1022 5,1326 5,0580 4,9032 4,7113 4,5262 4,3858 4,3109 4,2992 4,3380 4,4169 4,5235 4,6319 4,7011 4,6900 4,5782 4,3682 4,0732 3,7125 3,3196 2,9336 2,5741 2,2360 1,9086 1,5908 1,2970 1,0559 0,8928 0,8118 0,8028 0,8582 0,9689 1,1130 1,2669 1,4246 1,5979 1,8018 2,0408 2,3042 2,5741 2,8410 3,1088 3,3857 3,6725 3,9634 4,2539 4,5413 4,8184 5,0748 5,3088 5,5254 5,7197 5,8763 5,9832 6,0371 6,0422 6,0126 5,9710 5,9380 5,9216 5,9188 5,9229 5,9269 5,9257 5,9157 5,8948 5,8625 5,8175 5,7528 5,6556 5,5116 5,3132 5,0624 4,7660 4,4312 4,0661 3,6752 3,2524 2,7824 2,2588 1,6996 1,1447 0,6379 0,2078 -0,1325 -0,3724 -0,5048 -0,5342 -0,4765 -0,3540 -0,1914 -0,0071 0,1945 0,4229 0,6948 1,0209 1,3941 1,7961 2,2192 2,6737 3,1723 3,7146 4,2775 4,8125 5,2637 5,5963 5,8068 5,9127 5,9418 5,9272 5,9002 5,8809 5,8755 5,8819 5,8963 5,9173 5,9500 6,0100 6,1147 6,2685 6,4608 6,6722 6,8743 7,0329 7,1271 7,1586 7,1392 7,0768 6,9780 6,8502 6,6984 6,5290 6,3469 6,1414 5,8896 5,5803 5,2269 4,8559 4,4889 4,1397 3,8175 3,5303 3,2832 3,0702 2,8802 2,7066 2,5439 2,3872 2,2393 2,1168 2,0507 2,0795 2,2356 2,5275 2,9234 3,3604 3,7718 4,1049 4,3235 4,4077 4,3580 4,1978 3,9633 3,6885 3,4064 3,1462 2,9184 2,7142 2,5286 2,3778 2,2918 2,2935 2,3804 2,5246 2,6853 2,8198 2,9005 2,9253 2,9074 2,8591 2,7938 2,7294 2,6759 2,6256 2,5611 2,4701 2,3565
Fz    5,2641 5,2512 5,1639 5,0306 4,8661 4,6690 4,4352 4,1685 3,8791 3,5762 3,2655 2,9468 2,6104 2,2483 1,8676 1,4887 1,1336 0,8124 0,5142 0,2141 -0,1128 -0,4777 -0,8657 -1,2389 -1,5617 -1,8229 -2,0308 -2,1917 -2,3054 -2,3778 -2,4251 -2,4607 -2,4830 -2,4778 -2,4324 -2,3515 -2,2628 -2,2075 -2,2160 -2,2887 -2,4002 -2,5181 -2,6161 -2,6766 -2,6910 -2,6607 -2,5869 -2,4579 -2,2525 -1,9545 -1,5646 -1,0983 -0,5778 -0,0245 0,5378 1,0747 1,5448 1,9171 2,1809 2,3439 2,4263 2,4543 2,4528 2,4387 2,4216 2,4060 2,3840 2,3290 2,2063 1,9958 1,7057 1,3676 1,0250 0,7215 0,4861 0,3186 0,1926 0,0787 -0,0418 -0,1844 -0,3680 -0,6042 -0,8858 -1,1813 -1,4418 -1,6248 -1,7150 -1,7166 -1,6354 -1,4822 -1,2811 -1,0587 -0,8276 -0,5867 -0,3333 -0,0738 0,1751 0,3953 0,5841 0,7664 0,9885 1,2925 1,6948 2,1818 2,7233 3,2905 3,8584 4,3960 4,8663 5,2379 5,4967 5,6538 5,7398 5,7827 5,7944 5,7738 5,7146 5,6110 5,4646 5,2835 5,0732 4,8343 4,5695 4,2892 4,0061 3,7266 3,4481 3,1623 2,8666 2,5761 2,3220 2,1394 2,0556 2,0795 2,1923 2,3529 2,5189 2,6631 2,7704 2,8290 2,8322 2,7913 2,7439 2,7406 2,8092 2,9293 3,0513 3,1403 3,1952 3,2367 3,2876 3,3598 3,4561 3,5736 3,7019 3,8275 3,9513 4,0952 4,2911 4,5676 4,9527 5,4716 6,1319 6,9205 7,8178 8,7989 9,8209 10,8259 11,7574 12,5729 13,2541 13,8122 14,2734 14,6540 14,9475 15,1304 15,1760 15,0655 14,7958 14,3867 13,8825 13,3408 12,8093 12,3129 11,8661 11,4886 11,1982 10,9910 10,8420 10,7251 10,6232 10,5241 10,4171 10,2975 10,1721 10,0595 9,9769 9,9229 9,8754 9,8081 9,7012 9,5403 9,3175 9,0410 8,7325 8,4026 8,0380 7,6180 7,1376 6,6099 6,0541 5,4869 4,9283 4,4069 3,9520 3,5791 3,2813 3,0328 2,7991 2,5487 2,2692 1,9794 1,7232 1,5469 1,4737 1,4882 1,5404 1,5726 1,5443 1,4475 1,3129 1,1902 1,1101 1,0750 1,0798 1,1196 1,1836 1,2580 1,3331 1,4046 1,4788 1,5737 1,7053 1,8689 2,0366 2,1718 2,2466 2,2476 2,1778 2,0555 1,9044 1,7503 1,6326 1,6008 1,6859 1,8834 2,1598 2,4715 2,7799 3,0546 3,2683 3,3996 3,4445 3,4240 3,3754 3,3299 3,2971 3,2729 3,2518 3,2274 3,1910 3,1359 3,0626 2,9795 2,9043 2,8543 2,8261 2,7983 2,7584 2,7125 2,6761 2,6739 2,7385 2,8865 3,0970 3,3209 3,5091 3,6325 3,6771 3,6297 3,4854 3,2662 3,0119 2,7600 2,5462 2,4095 2,3796 2,4572 2,6106 2,7925 2,9620 3,0931 3,1714 3,1930 3,1605 3,0723 2,9141 2,6637 2,3074 1,8564 1,3519 0,8574 0,4414 0,1529 0,0004 -0,0469 -0,0387 -0,0160 0,0127 0,0701 0,1804 0,3455 0,5551 0,8086 1,1205 1,5038 1,9499 2,4236 2,8746 3,2518 3,5138 3,6389 3,6368 3,5513 3,4417 3,3502 3,2856 3,2319 3,1683 3,0887 3,0097 2,9545 2,9318 2,9381 2,9712 3,0329 3,1233 3,2410 3,3847 3,5562 3,7618 4,0128 4,3209 4,6836 5,0724 5,4370 5,7192 5,8706 5,8658 5,7037 5,3975 4,9708 4,4636 3,9316 3,4230 2,9555 2,5215 2,1116 1,7300 1,3850 1,0726 0,7801 0,5074 0,2799 0,1340 0,0889 0,1348 0,2477 0,4082 0,5981 0,7905 0,9554 1,0734 1,1397 1,1598 1,1434 1,0981 1,0305 0,9546 0,8965 0,8898 0,9650 1,1339 1,3779 1,6617 1,9605 2,2705 2,5955 2,9324 3,2643 3,5672 3,8266 4,0451 4,2323 4,3981 4,5578 4,7289 4,9235 5,1465 5,3944 5,6441 5,8521 5,9764 5,9976 5,9210 5,7685 5,5705 5,3604 5,1754 5,0548 5,0234 5,0776 5,1945 5,3514 5,5288 5,7004 5,8285 5,8735 5,8126 5,6478 5,3956 5,0752 4,7115 4,3373 3,9794 3,6492 3,3509 3,0879 2,8630 2,6846 2,5661 2,5174 2,5395 2,6264 2,7666 2,9449 3,1461 3,3595 3,5839 3,8256 4,0904 4,3749 4,6639 4,9384 5,1937 5,4436 5,7063 5,9884 6,2854 6,5852 6,8687 7,1153 7,3162 7,4756 7,5943 7,6655 7,6845 7,6513 7,5695 7,4543 7,3342 7,2386 7,1855 7,1791 7,2176 7,2998 7,4238 7,5773 7,7345 7,8652 7,9481 7,9762 7,9479 7,8547 7,6806 7,4134 7,0541 6,6159 6,1140 5,5561 4,9426 4,2754 3,5735 2,8824 2,2636 1,7669 1,4053 1,1588 1,0003 0,9107 0,8766 0,8870 0,9372 1,0307 1,1781 1,3903 1,6696 2,0082 2,3943 2,8139 3,2524 3,7065 4,1881 4,7113 5,2745 5,8517 6,3918 6,8376 7,1548 7,3453 7,4336 7,4514 7,4360 7,4266 7,4527 7,5287 7,6589 7,8413 8,0637 8,3062 8,5561 8,8169 9,0983 9,4034 9,7206 10,0198 10,2618 10,4181 10,4796 10,4473 10,3274 10,1386 9,9126 9,6805 9,4631 9,2652 9,0669 8,8282 8,5156 8,1259 7,6829 7,2199 6,7687 6,3537 5,9892 5,6741 5,3878 5,1014 4,7975 4,4787 4,1636 3,8788 3,6560 3,5339 3,5502 3,7257 4,0495 4,4681 4,8982 5,2607 5,5054 5,6118 5,5797 5,4227 5,1661 4,8435 4,4916 4,1466 3,8361 3,5709 3,3516 3,1818 3,0758 3,0592 3,1546 3,3587 3,6394 3,9489 4,2341 4,4531 4,5904 4,6471 4,6279 4,5465 4,4282 4,2917 4,1399 3,9705 3,7874 3,6065
F3    4,0051 4,1517 4,2569 4,3368 4,3826 4,3732 4,2948 4,1451 3,9270 3,6446 3,3084 2,9363 2,5461 2,1572 1,7885 1,4489 1,1409 0,8662 0,6119 0,3453 0,0316 -0,3405 -0,7437 -1,1266 -1,4536 -1,7264 -1,9592 -2,1428 -2,2487 -2,2651 -2,2123 -2,1231 -2,0200 -1,9089 -1,7861 -1,6542 -1,5414 -1,5025 -1,5843 -1,7862 -2,0602 -2,3461 -2,5995 -2,7960 -2,9247 -2,9833 -2,9697 -2,8720 -2,6699 -2,3523 -1,9304 -1,4348 -0,9023 -0,3604 0,1745 0,6799 1,1223 1,4706 1,7082 1,8336 1,8581 1,8070 1,7162 1,6216 1,5496 1,5165 1,5237 1,5458 1,5364 1,4518 1,2756 1,0272 0,7514 0,4968 0,2934 0,1425 0,0280 -0,0649 -0,1481 -0,2453 -0,3909 -0,6121 -0,9163 -1,2797 -1,6457 -1,9515 -2,1567 -2,2417 -2,1982 -2,0348 -1,7811 -1,4713 -1,1282 -0,7660 -0,4029 -0,0683 0,2043 0,3927 0,5057 0,5906 0,7146 0,9278 1,2414 1,6335 2,0725 2,5406 3,0316 3,5291 3,9998 4,4070 4,7262 4,9615 5,1435 5,3024 5,4461 5,5612 5,6252 5,6215 5,5486 5,4152 5,2286 4,9938 4,7211 4,4279 4,1328 3,8480 3,5706 3,2798 2,9570 2,6117 2,2835 2,0212 1,8647 1,8292 1,8961 2,0245 2,1749 2,3209 2,4450 2,5331 2,5748 2,5718 2,5460 2,5311 2,5395 2,5421 2,4953 2,3896 2,2610 2,1594 2,1166 2,1381 2,2124 2,3217 2,4430 2,5552 2,6538 2,7622 2,9232 3,1782 3,5552 4,0656 4,7031 5,4544 6,3129 7,2663 8,2742 9,2720 10,1892 10,9695 11,5955 12,0971 12,5249 12,9124 13,2582 13,5337 13,7003 13,7190 13,5664 13,2542 12,8336 12,3722 11,9210 11,5011 11,1213 10,8015 10,5666 10,4205 10,3375 10,2805 10,2159 10,1178 9,9722 9,7805 9,5579 9,3305 9,1297 8,9711 8,8425 8,7195 8,5851 8,4235 8,2124 7,9381 7,6074 7,2294 6,7950 6,2916 5,7284 5,1369 4,5488 3,9839 3,4574 2,9877 2,5958 2,2950 2,0782 1,9198 1,7831 1,6217 1,3974 1,1132 0,8211 0,5880 0,4534 0,4116 0,4261 0,4570 0,4740 0,4607 0,4265 0,3977 0,3845 0,3801 0,3909 0,4366 0,5226 0,6358 0,7609 0,8865 1,0094 1,1351 1,2679 1,4029 1,5312 1,6450 1,7349 1,7890 1,8001 1,7641 1,6718 1,5208 1,3407 1,1871 1,1072 1,1177 1,2095 1,3593 1,5397 1,7201 1,8646 1,9425 1,9457 1,8956 1,8329 1,7914 1,7798 1,7874 1,8006 1,8113 1,8107 1,7894 1,7471 1,6964 1,6595 1,6519 1,6591 1,6462 1,5978 1,5286 1,4628 1,4294 1,4637 1,5833 1,7641 1,9523 2,0962 2,1731 2,1821 2,1204 1,9903 1,8204 1,6497 1,5053 1,4137 1,4090 1,5095 1,6944 1,9105 2,1029 2,2405 2,3159 2,3328 2,2995 2,2194 2,0791 1,8487 1,4933 0,9899 0,3499 -0,3677 -1,0684 -1,6533 -2,0590 -2,2786 -2,3462 -2,3076 -2,2017 -2,0423 -1,8127 -1,4999 -1,1284 -0,7428 -0,3602 0,0441 0,5030 1,0191 1,5555 2,0539 2,4588 2,7318 2,8565 2,8482 2,7572 2,6442 2,5439 2,4574 2,3690 2,2637 2,1355 1,9897 1,8395 1,6972 1,5747 1,4864 1,4428 1,4453 1,4939 1,5933 1,7525 1,9795 2,2817 2,6629 3,1120 3,5921 4,0399 4,3817 4,5579 4,5430 4,3464 3,9942 3,5127 2,9381 2,3327 1,7632 1,2635 0,8306 0,4548 0,1415 -0,1043 -0,2978 -0,4651 -0,6162 -0,7338 -0,7894 -0,7696 -0,6894 -0,5754 -0,4411 -0,2866 -0,1187 0,0439 0,1847 0,2955 0,3722 0,4125 0,4203 0,4087 0,4021 0,4341 0,5383 0,7361 1,0181 1,3335 1,6141 1,8218 1,9682 2,0918 2,2226 2,3664 2,5130 2,6557 2,7999 2,9534 3,1214 3,3114 3,5315 3,7842 4,0698 4,3867 4,7142 5,0035 5,1987 5,2620 5,1837 4,9774 4,6725 4,3136 3,9629 3,6883 3,5351 3,5048 3,5691 3,6966 3,8577 4,0169 4,1314 4,1615 4,0846 3,8997 3,6186 3,2616 2,8642 2,4721 2,1187 1,8157 1,5658 1,3695 1,2221 1,1217 1,0750 1,0926 1,1828 1,3438 1,5550 1,7839 2,0047 2,2074 2,3946 2,5796 2,7785 2,9908 3,1897 3,3486 3,4775 3,6224 3,8254 4,0978 4,4286 4,7987 5,1791 5,5388 5,8671 6,1682 6,4286 6,6187 6,7243 6,7509 6,7107 6,6231 6,5123 6,3961 6,2837 6,1836 6,1066 6,0656 6,0745 6,1396 6,2502 6,3792 6,4956 6,5759 6,6055 6,5730 6,4658 6,2717 5,9859 5,6129 5,1609 4,6392 4,0591 3,4359 2,7953 2,1807 1,6459 1,2307 0,9390 0,7435 0,6138 0,5361 0,5071 0,5165 0,5432 0,5692 0,5979 0,6553 0,7695 0,9530 1,2044 1,5148 1,8734 2,2777 2,7352 3,2495 3,8092 4,3842 4,9243 5,3712 5,6886 5,8794 5,9718 5,9980 5,9914 5,9842 5,9958 6,0301 6,0913 6,1894 6,3244 6,4759 6,6235 6,7698 6,9353 7,1406 7,3959 7,6918 7,9964 8,2664 8,4603 8,5452 8,5084 8,3700 8,1764 7,9733 7,7895 7,6290 7,4641 7,2483 6,9493 6,5698 6,1367 5,6840 5,2460 4,8498 4,5120 4,2334 3,9924 3,7537 3,4925 3,2082 2,9233 2,6719 2,4874 2,3992 2,4286 2,5841 2,8564 3,2070 3,5722 3,8889 4,1106 4,2098 4,1793 4,0333 3,8007 3,5144 3,2090 2,9251 2,6953 2,5223 2,3849 2,2654 2,1701 2,1323 2,1843 2,3217 2,5079 2,7018 2,8702 2,9954 3,0770 3,1155 3,1022 3,0390 2,9486 2,8481 2,7273 2,5619 2,3417 2,0892
F7    2,6857 2,8931 3,0709 3,2275 3,3683 3,4903 3,5832 3,6365 3,6459 3,6061 3,4964 3,2831 2,9483 2,5169 2,0420 1,5694 1,1299 0,7477 0,4332 0,1744 -0,0547 -0,2799 -0,5127 -0,7495 -0,9896 -1,2392 -1,4879 -1,7019 -1,8510 -1,9316 -1,9639 -1,9710 -1,9607 -1,9295 -1,8743 -1,7934 -1,6934 -1,6039 -1,5698 -1,6187 -1,7437 -1,9141 -2,0927 -2,2497 -2,3699 -2,4529 -2,5044 -2,5241 -2,5008 -2,4199 -2,2702 -2,0459 -1,7447 -1,3663 -0,9230 -0,4591 -0,0431 0,2651 0,4338 0,4572 0,3539 0,1732 -0,0156 -0,1608 -0,2517 -0,2978 -0,3021 -0,2647 -0,2024 -0,1509 -0,1432 -0,1863 -0,2668 -0,3660 -0,4646 -0,5449 -0,5976 -0,6214 -0,6196 -0,6067 -0,6083 -0,6477 -0,7381 -0,8793 -1,0481 -1,2040 -1,3103 -1,3377 -1,2625 -1,0776 -0,7980 -0,4524 -0,0821 0,2556 0,5046 0,6368 0,6561 0,5880 0,4729 0,3655 0,3245 0,3930 0,5841 0,8780 1,2340 1,6132 1,9916 2,3557 2,6930 2,9843 3,2087 3,3673 3,4893 3,6091 3,7460 3,8992 4,0432 4,1371 4,1580 4,1217 4,0591 3,9840 3,8872 3,7510 3,5711 3,3692 3,1771 3,0062 2,8461 2,6876 2,5402 2,4323 2,3958 2,4391 2,5386 2,6630 2,7949 2,9275 3,0518 3,1586 3,2485 3,3293 3,4047 3,4662 3,4875 3,4267 3,2479 2,9509 2,5745 2,1784 1,8202 1,5368 1,3387 1,2143 1,1384 1,0918 1,0809 1,1365 1,2923 1,5631 1,9393 2,3980 2,9153 3,4805 4,1034 4,7989 5,5561 6,3245 7,0348 7,6401 8,1474 8,6100 9,0803 9,5674 10,0334 10,4204 10,6789 10,7771 10,7016 10,4639 10,1067 9,6953 9,2943 8,9453 8,6654 8,4604 8,3286 8,2528 8,2039 8,1491 8,0530 7,8849 7,6325 7,3053 6,9322 6,5606 6,2381 5,9836 5,7752 5,5697 5,3338 5,0608 4,7632 4,4562 4,1469 3,8219 3,4459 2,9905 2,4668 1,9236 1,4095 0,9423 0,5189 0,1444 -0,1592 -0,3742 -0,5080 -0,5931 -0,6734 -0,7875 -0,9500 -1,1362 -1,2898 -1,3589 -1,3319 -1,2378 -1,1216 -1,0196 -0,9483 -0,9042 -0,8666 -0,8142 -0,7539 -0,7119 -0,6937 -0,6815 -0,6655 -0,6541 -0,6591 -0,6737 -0,6677 -0,6118 -0,5024 -0,3527 -0,1743 0,0209 0,2120 0,3707 0,4705 0,4931 0,4329 0,3051 0,1468 -0,0037 -0,1310 -0,2376 -0,3265 -0,3974 -0,4507 -0,4920 -0,5300 -0,5672 -0,6004 -0,6247 -0,6334 -0,6261 -0,6207 -0,6497 -0,7413 -0,9012 -1,1080 -1,3207 -1,4927 -1,5875 -1,5939 -1,5339 -1,4618 -1,4358 -1,4781 -1,5661 -1,6566 -1,7024 -1,6563 -1,4880 -1,2144 -0,9058 -0,6477 -0,4913 -0,4370 -0,4563 -0,5080 -0,5449 -0,5379 -0,4927 -0,4235 -0,3266 -0,1920 -0,0261 0,1456 0,2873 0,3607 0,3260 0,1535 -0,1473 -0,5244 -0,9244 -1,3283 -1,7469 -2,2018 -2,7095 -3,2631 -3,8214 -4,3180 -4,6888 -4,8963 -4,9330 -4,8126 -4,5658 -4,2332 -3,8536 -3,4619 -3,0886 -2,7528 -2,4485 -2,1434 -1,8036 -1,4201 -1,0088 -0,6020 -0,2388 0,0477 0,2416 0,3485 0,3949 0,4151 0,4273 0,4211 0,3746 0,2825 0,1699 0,0726 -0,0006 -0,0784 -0,1903 -0,3275 -0,4486 -0,5049 -0,4612 -0,3107 -0,0749 0,2121 0,5210 0,8357 1,1422 1,4094 1,5868 1,6309 1,5360 1,3352 1,0740 0,7863 0,4876 0,1851 -0,1069 -0,3708 -0,6023 -0,8130 -1,0062 -1,1585 -1,2440 -1,2760 -1,3063 -1,3822 -1,5081 -1,6468 -1,7542 -1,8154 -1,8409 -1,8374 -1,8023 -1,7349 -1,6398 -1,5241 -1,3973 -1,2753 -1,1769 -1,1120 -1,0735 -1,0357 -0,9589 -0,8078 -0,5710 -0,2638 0,0795 0,4202 0,7304 1,0030 1,2475 1,4702 1,6578 1,7877 1,8552 1,8889 1,9421 2,0643 2,2722 2,5507 2,8723 3,2110 3,5432 3,8419 4,0736 4,2100 4,2379 4,1555 3,9784 3,7481 3,5177 3,3271 3,1976 3,1366 3,1387 3,1926 3,2865 3,4005 3,4980 3,5377 3,4952 3,3708 3,1735 2,9055 2,5763 2,2223 1,8915 1,6088 1,3671 1,1461 0,9290 0,7075 0,4848 0,2750 0,1008 -0,0045 -0,0107 0,0782 0,2211 0,3787 0,5346 0,6837 0,8295 0,9845 1,1521 1,3172 1,4707 1,6304 1,8272 2,0796 2,3840 2,7225 3,0733 3,4131 3,7257 4,0187 4,3138 4,6105 4,8791 5,0936 5,2476 5,3420 5,3804 5,3772 5,3538 5,3225 5,2823 5,2269 5,1537 5,0747 5,0147 4,9855 4,9692 4,9287 4,8299 4,6576 4,4223 4,1504 3,8625 3,5648 3,2540 2,9226 2,5631 2,1653 1,7192 1,2293 0,7194 0,2245 -0,2172 -0,5742 -0,8278 -0,9642 -0,9719 -0,8546 -0,6423 -0,3907 -0,1637 -0,0037 0,0879 0,1428 0,2043 0,3104 0,4806 0,7137 1,0021 1,3450 1,7453 2,2006 2,6909 3,1669 3,5558 3,7996 3,8904 3,8638 3,7656 3,6357 3,5055 3,3899 3,2857 3,1920 3,1203 3,0816 3,0759 3,1040 3,1739 3,2876 3,4349 3,6038 3,7802 3,9433 4,0725 4,1549 4,1822 4,1559 4,0992 4,0421 3,9919 3,9379 3,8678 3,7674 3,6197 3,4169 3,1666 2,8843 2,5821 2,2664 1,9466 1,6474 1,4070 1,2540 1,1954 1,2184 1,2809 1,3190 1,2834 1,1670 1,0028 0,8452 0,7485 0,7440 0,8255 0,9655 1,1405 1,3353 1,5327 1,7112 1,8501 1,9381 1,9739 1,9687 1,9495 1,9416 1,9357 1,8947 1,7956 1,6537 1,5086 1,3910 1,2994 1,2119 1,1104 0,9891 0,8538 0,7101 0,5505 0,3650 0,1671 -0,0062 -0,1240 -0,1838 -0,2081 -0,2255 -0,2510
