Fp1   0,3012 0,1164 0,0650 0,1131 0,1561 0,0974 -0,0927 -0,3900 -0,7549 -1,1282 -1,4103 -1,4908 -1,3082 -0,8797 -0,2889 0,3443 0,8965 1,2795 1,4655 1,4729 1,3339 1,0855 0,7688 0,4143 0,0384 -0,3296 -0,6282 -0,7848 -0,7587 -0,5592 -0,2277 0,1844 0,6200 1,0180 1,3224 1,4913 1,4972 1,3275 0,9917 0,5318 0,0260 -0,4383 -0,8072 -1,0701 -1,2282 -1,2665 -1,1657 -0,9384 -0,6449 -0,3677 -0,1751 -0,1088 -0,1858 -0,3932 -0,6808 -0,9747 -1,2094 -1,3514 -1,3946 -1,3338 -1,1565 -0,8684 -0,5116 -0,1432 0,2001 0,5118 0,7948 1,0354 1,2005 1,2538 1,1907 1,0627 0,9503 0,8996 0,8909 0,8600 0,7504 0,5556 0,3269 0,1499 0,1097 0,2504 0,5465 0,9106 1,2302 1,4145 1,4376 1,3485 1,2230 1,1130 1,0415 1,0115 0,9889 0,9061 0,7084 0,3938 0,0084 -0,3772 -0,6828 -0,8346 -0,7899 -0,5519 -0,1652 0,3002 0,7687 1,1790 1,4974 1,7218 1,8680 1,9394 1,9076 1,7303 1,3984 0,9611 0,4918 0,0401 -0,3697 -0,7134 -0,9628 -1,0994 -1,1228 -1,0378 -0,8333 -0,5020 -0,0777 0,3740 0,7980 1,1639 1,4525 1,6539 1,7784 1,8556 1,9208 2,0099 2,1515 2,3428 2,5428 2,7076 2,8359 2,9759 3,1796 3,4552 3,7627 4,0455 4,2619 4,4027 4,4981 4,6036 4,7590 4,9594 5,1623 5,3135 5,3771 5,3513 5,2472 5,0605 4,7728 4,3744 3,8846 3,3632 2,9047 2,6125 2,5532 2,7171 3,0200 3,3484 3,6096 3,7552 3,7737 3,6750 3,4890 3,2697 3,0875 3,0022 3,0305 3,1368 3,2511 3,3048 3,2777 3,2117 3,1715 3,1972 3,2741 3,3293 3,2720 3,0577 2,7143 2,3124 1,9194 1,5781 1,3091 1,1093 0,9430 0,7535 0,4970 0,1721 -0,1845 -0,5221 -0,7831 -0,9034 -0,8375 -0,5864 -0,1936 0,2816 0,7781 1,2309 1,5765 1,7694 1,7913 1,6595 1,4392 1,2232 1,0932 1,1007 1,2566 1,5200 1,8125 2,0613 2,2352 2,3472 2,4288 2,4988 2,5502 2,5684 2,5536 2,5218 2,4883 2,4650 2,4741 2,5519 2,7218 2,9597 3,1929 3,3424 3,3656 3,2635 3,0621 2,7941 2,4885 2,1569 1,7825 1,3310 0,7919 0,2124 -0,3135 -0,6814 -0,8072 -0,6607 -0,2956 0,1612 0,5662 0,8208 0,9107 0,8980 0,8573 0,8130 0,7495 0,6602 0,5551 0,4356 0,2941 0,1336 -0,0271 -0,1650 -0,2598 -0,2817 -0,1767 0,1184 0,6385 1,3586 2,1897 3,0029 3,6661 4,0699 4,1418 3,8558 3,2493 2,4298 1,5422 0,7211 0,0537 -0,4411 -0,7965 -1,0514 -1,2234 -1,3056 -1,2630 -1,0516 -0,6698 -0,1912 0,2691 0,6273 0,8678 1,0157 1,0839 1,0479 0,8745 0,5808 0,2614 0,0518 0,0553 0,2903 0,6915 1,1395 1,4985 1,6622 1,5904 1,3077 0,8744 0,3695 -0,1154 -0,4946 -0,7090 -0,7386 -0,6058 -0,3641 -0,0779 0,1927 0,4109 0,5733 0,6943 0,7913 0,8896 1,0210 1,1910 1,3479 1,3938 1,2447 0,9029 0,4783 0,1272 -0,0445 -0,0212 0,1539 0,4150 0,6896 0,9106 1,0373 1,0704 1,0555 1,0692 1,1807 1,4078 1,7073 2,0069 2,2420 2,3662 2,3479 2,1846 1,9187 1,6198 1,3539 1,1725 1,1104 1,1689 1,2940 1,3869 1,3590 1,1858 0,9070 0,5860 0,2827 0,0445 -0,1175 -0,2472 -0,4138 -0,6556 -0,9560 -1,2569 -1,4747 -1,5165 -1,3124 -0,8517 -0,1988 0,5114 1,1039 1,4340 1,4594 1,2421 0,8903 0,4974 0,1140 -0,2456 -0,5801 -0,8887 -1,1705 -1,4148 -1,5863 -1,6368 -1,5406 -1,3215 -1,0497 -0,8017 -0,6066 -0,4372 -0,2557 -0,0538 0,1500 0,3323 0,4860 0,6328 0,8086 1,0343 1,3009 1,5752 1,8093 1,9572 1,9964 1,9335 1,7874 1,5813 1,3482 1,1116 0,8587 0,5626 0,2353 -0,0654 -0,2751 -0,3465 -0,2509 0,0134 0,4106 0,8664 1,2812 1,5638 1,6734 1,6373 1,5230 1,3883 1,2646 1,1739 1,1319 1,1343 1,1573 1,1771 1,1807 1,1651 1,1367 1,1167 1,1376 1,2302 1,4130 1,6832 2,0098 2,3391 2,6178 2,8130 2,9166 2,9362 2,8782 2,7467 2,5608 2,3536 2,1508 1,9594 1,7704 1,5634 1,3273 1,0848 0,8853 0,7800 0,8096 0,9938 1,2908 1,5908 1,7909 1,8609 1,8195 1,6771 1,4209 1,0439 0,5778 0,0941 -0,3230 -0,6142 -0,7715 -0,8326 -0,8470 -0,8391 -0,7812 -0,5999 -0,2346 0,2950 0,8785 1,3618 1,6118 1,5741 1,2961 0,8928 0,4813 0,1412 -0,0893 -0,2052 -0,2273 -0,1984 -0,1616 -0,1275 -0,0716 0,0276 0,1493 0,2367 0,2445 0,1819 0,1083 0,0881 0,1460 0,2616 0,3994 0,5439 0,7004 0,8728 1,0589 1,2630 1,4933 1,7357 1,9424 2,0573 2,0544 1,9598 1,8474 1,8090 1,9084 2,1486 2,4720 2,7892 3,0223 3,1358 3,1330 3,0278 2,8274 2,5591 2,3029 2,1614 2,1803 2,3113 2,4578 2,5431 2,5287 2,4066 2,2060 1,9935 1,8373 1,7651 1,7484 1,7186 1,6030 1,3684 1,0346 0,6516 0,2920 0,0616 0,0753 0,4030 1,0189 1,7837 2,4956 2,9909 3,2108 3,1909 3,0025 2,7045 2,3414 1,9657 1,6394 1,4047 1,2670 1,2007 1,1613 1,1034 1,0087 0,8987 0,8176 0,7947 0,8172 0,8347 0,7849 0,6342 0,4101 0,1916 0,0645 0,0807 0,2423 0,5117 0,8264 1,1108 1,2964 1,3431 1,2539 1,0749 0,8751 0,7199 0,6544 0,6826 0,7551 0,7948 0,7417 0,5871 0,3778 0,1916 0,1059
Fz    0,4807 0,2226 0,0856 0,0665 0,1217 0,1863 0,1984 0,1127 -0,0947 -0,4041 -0,7331 -0,9708 -1,0429 -0,9453 -0,7274 -0,4532 -0,1751 0,0684 0,2493 0,3512 0,3721 0,3280 0,2508 0,1727 0,1081 0,0551 0,0102 -0,0207 -0,0266 -0,0023 0,0517 0,1326 0,2376 0,3682 0,5251 0,6887 0,8139 0,8563 0,8025 0,6747 0,5081 0,3244 0,1264 -0,0847 -0,2967 -0,4935 -0,6594 -0,7774 -0,8306 -0,8121 -0,7401 -0,6611 -0,6307 -0,6828 -0,8119 -0,9839 -1,1596 -1,3085 -1,4051 -1,4211 -1,3324 -1,1424 -0,8914 -0,6349 -0,4110 -0,2256 -0,0622 0,0995 0,2701 0,4453 0,6158 0,7848 0,9613 1,1348 1,2680 1,3194 1,2715 1,1426 0,9801 0,8387 0,7523 0,7134 0,6819 0,6212 0,5186 0,3805 0,2328 0,1246 0,1034 0,1833 0,3494 0,5763 0,8220 1,0292 1,1533 1,1837 1,1377 1,0499 0,9621 0,9108 0,9217 1,0097 1,1701 1,3746 1,5844 1,7668 1,8972 1,9551 1,9310 1,8401 1,7199 1,6079 1,5266 1,4786 1,4394 1,3647 1,2223 1,0066 0,7196 0,3602 -0,0568 -0,4630 -0,7321 -0,7408 -0,4409 0,1351 0,9160 1,8172 2,7426 3,5960 4,3086 4,8579 5,2625 5,5615 5,7961 5,9902 6,1404 6,2313 6,2654 6,2764 6,3088 6,3854 6,4988 6,6332 6,7840 6,9570 7,1611 7,4069 7,6981 8,0208 8,3404 8,6099 8,7895 8,8640 8,8385 8,7212 8,5136 8,2152 7,8384 7,4223 7,0324 6,7439 6,6116 6,6422 6,7927 6,9907 7,1570 7,2249 7,1581 6,9589 6,6657 6,3396 6,0504 5,8620 5,8132 5,9026 6,0857 6,2855 6,4252 6,4685 6,4267 6,3316 6,2071 6,0540 5,8522 5,5850 5,2611 4,9140 4,5861 4,3187 4,1466 4,0844 4,1073 4,1493 4,1370 4,0337 3,8503 3,6214 3,3854 3,1798 3,0309 2,9396 2,8818 2,8280 2,7643 2,6920 2,6099 2,5038 2,3475 2,1286 1,8817 1,6743 1,5555 1,5322 1,5859 1,6903 1,8171 1,9423 2,0561 2,1638 2,2748 2,3910 2,5043 2,6005 2,6602 2,6563 2,5583 2,3448 2,0272 1,6631 1,3352 1,1117 1,0148 1,0167 1,0671 1,1280 1,1857 1,2382 1,2757 1,2741 1,2056 1,0514 0,8110 0,5088 0,1908 -0,0888 -0,2913 -0,4128 -0,4843 -0,5504 -0,6385 -0,7408 -0,8118 -0,7852 -0,6122 -0,2961 0,1164 0,5720 1,0263 1,4370 1,7644 1,9801 2,0765 2,0754 2,0312 2,0152 2,0843 2,2624 2,5431 2,9023 3,3040 3,7048 4,0588 4,3228 4,4563 4,4228 4,2041 3,8133 3,2901 2,6926 2,0987 1,5881 1,2162 1,0033 0,9306 0,9438 0,9764 0,9765 0,9138 0,7764 0,5712 0,3269 0,0908 -0,0818 -0,1482 -0,1021 0,0245 0,1893 0,3740 0,5894 0,8466 1,1285 1,3940 1,6013 1,7191 1,7220 1,5884 1,3069 0,8803 0,3290 -0,3023 -0,9440 -1,5092 -1,9087 -2,0761 -1,9886 -1,6643 -1,1466 -0,4928 0,2250 0,9217 1,5256 2,0120 2,3994 2,7105 2,9448 3,0797 3,0882 2,9698 2,7678 2,5466 2,3502 2,1892 2,0593 1,9571 1,8858 1,8544 1,8751 1,9594 2,1102 2,3077 2,5057 2,6522 2,7208 2,7214 2,6909 2,6746 2,6979 2,7503 2,8005 2,8197 2,7939 2,7320 2,6647 2,6164 2,5716 2,4753 2,2747 1,9641 1,5900 1,2211 0,9135 0,6879 0,5233 0,3777 0,2262 0,0807 -0,0218 -0,0381 0,0717 0,3323 0,7349 1,2372 1,7815 2,3025 2,7288 3,0048 3,1197 3,1082 3,0230 2,9041 2,7657 2,6037 2,4152 2,2044 1,9748 1,7285 1,4801 1,2604 1,1057 1,0442 1,0785 1,1834 1,3258 1,4830 1,6410 1,7925 1,9372 2,0716 2,1855 2,2732 2,3364 2,3750 2,3908 2,3981 2,4130 2,4386 2,4683 2,4934 2,5045 2,4992 2,4897 2,4884 2,4854 2,4606 2,4165 2,3797 2,3718 2,4032 2,4892 2,6508 2,8977 3,2114 3,5429 3,8320 4,0354 4,1424 4,1611 4,0973 3,9605 3,7873 3,6331 3,5324 3,4792 3,4414 3,3849 3,2954 3,1901 3,1126 3,1166 3,2442 3,5046 3,8686 4,2800 4,6753 5,0022 5,2270 5,3328 5,3194 5,2036 5,0157 4,7951 4,5771 4,3749 4,1792 3,9768 3,7628 3,5453 3,3474 3,2007 3,1283 3,1383 3,2273 3,3631 3,4653 3,4449 3,2693 2,9724 2,6130 2,2367 1,8715 1,5387 1,2600 1,0526 0,9189 0,8430 0,8039 0,7919 0,8079 0,8572 0,9479 1,0794 1,2287 1,3535 1,4104 1,3771 1,2752 1,1707 1,1403 1,2304 1,4450 1,7612 2,1457 2,5542 2,9200 3,1706 3,2729 3,2573 3,1922 3,1319 3,0883 3,0487 3,0117 2,9925 2,9941 2,9911 2,9515 2,8709 2,7837 2,7404 2,7775 2,9125 3,1497 3,4736 3,8417 4,1986 4,5036 4,7463 4,9469 5,1468 5,3825 5,6548 5,9258 6,1485 6,2920 6,3440 6,3093 6,2184 6,1202 6,0517 6,0261 6,0488 6,1214 6,2202 6,2930 6,2944 6,2258 6,1276 6,0449 6,0081 6,0290 6,0902 6,1461 6,1469 6,0623 5,8825 5,6173 5,2961 4,9642 4,6856 4,5316 4,5448 4,7179 4,9998 5,3066 5,5530 5,6988 5,7622 5,7867 5,7992 5,7911 5,7303 5,5866 5,3481 5,0171 4,5961 4,0873 3,5054 2,8884 2,2919 1,7749 1,3893 1,1668 1,1039 1,1556 1,2528 1,3406 1,4014 1,4415 1,4664 1,4722 1,4480 1,3896 1,3099 1,2269 1,1454 1,0617 0,9816 0,9242 0,9056 0,9298 0,9949 1,0887 1,1762 1,2067 1,1346 0,9348 0,6082 0,1848 -0,2810
F3    0,1711 -0,1152 -0,2857 -0,3169 -0,2282 -0,0573 0,1502 0,3243 0,3696 0,2299 -0,0461 -0,3268 -0,4923 -0,5033 -0,3968 -0,2346 -0,0636 0,0933 0,2304 0,3507 0,4571 0,5512 0,6325 0,6860 0,6811 0,5966 0,4463 0,2754 0,1295 0,0310 -0,0167 -0,0173 0,0222 0,0952 0,1929 0,2874 0,3288 0,2800 0,1565 0,0140 -0,1028 -0,1903 -0,2705 -0,3565 -0,4422 -0,5215 -0,5986 -0,6759 -0,7422 -0,7819 -0,7974 -0,8214 -0,8967 -1,0447 -1,2518 -1,4800 -1,6893 -1,8583 -1,9810 -2,0405 -2,0073 -1,8717 -1,6656 -1,4486 -1,2793 -1,1860 -1,1511 -1,1217 -1,0469 -0,9113 -0,7299 -0,5240 -0,3186 -0,1529 -0,0725 -0,1091 -0,2683 -0,5242 -0,8189 -1,0747 -1,2303 -1,2836 -1,2937 -1,3304 -1,4311 -1,5939 -1,7805 -1,9232 -1,9671 -1,9099 -1,7876 -1,6407 -1,5099 -1,4355 -1,4374 -1,5099 -1,6336 -1,7727 -1,8721 -1,8819 -1,7833 -1,5905 -1,3418 -1,0844 -0,8544 -0,6689 -0,5424 -0,5065 -0,5948 -0,8058 -1,0880 -1,3634 -1,5550 -1,6103 -1,5267 -1,3576 -1,1871 -1,1064 -1,1995 -1,5215 -2,0687 -2,7437 -3,3518 -3,6835 -3,6216 -3,1653 -2,3871 -1,3941 -0,3055 0,7648 1,7216 2,4985 3,0646 3,4274 3,6261 3,7080 3,7065 3,6437 3,5506 3,4745 3,4574 3,5065 3,5945 3,6919 3,7923 3,9098 4,0671 4,2865 4,5690 4,8838 5,1773 5,3946 5,5058 5,5193 5,4610 5,3495 5,1937 4,9995 4,7753 4,5379 4,3200 4,1672 4,1135 4,1560 4,2568 4,3589 4,3967 4,3144 4,0889 3,7390 3,3177 2,8952 2,5396 2,3012 2,2038 2,2455 2,4003 2,6211 2,8576 3,0786 3,2671 3,4003 3,4450 3,3640 3,1249 2,7222 2,2000 1,6411 1,1261 0,7060 0,4078 0,2464 0,2158 0,2741 0,3594 0,4267 0,4628 0,4706 0,4582 0,4422 0,4410 0,4566 0,4676 0,4509 0,4098 0,3703 0,3486 0,3257 0,2536 0,1008 -0,1027 -0,2888 -0,4093 -0,4489 -0,4004 -0,2617 -0,0529 0,1868 0,4277 0,6701 0,9349 1,2402 1,5912 1,9793 2,3764 2,7309 2,9734 3,0384 2,9019 2,6069 2,2423 1,8911 1,5909 1,3374 1,1172 0,9342 0,8140 0,7923 0,8878 1,0773 1,2988 1,4778 1,5548 1,5084 1,3647 1,1771 0,9855 0,7882 0,5496 0,2351 -0,1598 -0,5991 -1,0051 -1,2688 -1,2924 -1,0431 -0,5701 0,0294 0,6587 1,2466 1,7465 2,1302 2,3881 2,5352 2,6165 2,6980 2,8372 3,0585 3,3483 3,6629 3,9415 4,1267 4,1871 4,1307 3,9979 3,8251 3,6176 3,3636 3,0574 2,7101 2,3554 2,0362 1,7850 1,6215 1,5479 1,5383 1,5492 1,5364 1,4608 1,2907 1,0162 0,6670 0,3111 0,0341 -0,0936 -0,0544 0,1052 0,3141 0,5309 0,7569 0,9976 1,2297 1,4155 1,5322 1,5709 1,5236 1,3854 1,1600 0,8485 0,4437 -0,0572 -0,6356 -1,2414 -1,7918 -2,1932 -2,3785 -2,3280 -2,0607 -1,6193 -1,0671 -0,4818 0,0762 0,5943 1,0869 1,5409 1,8995 2,0936 2,0819 1,8802 1,5683 1,2553 1,0209 0,8868 0,8395 0,8668 0,9722 1,1651 1,4445 1,7961 2,1887 2,5582 2,8113 2,8710 2,7201 2,4064 2,0208 1,6619 1,3851 1,1814 1,0108 0,8416 0,6609 0,4803 0,3360 0,2558 0,2123 0,1166 -0,1194 -0,5088 -0,9758 -1,3986 -1,6675 -1,7412 -1,6776 -1,5970 -1,5942 -1,6761 -1,7805 -1,8358 -1,7906 -1,6196 -1,3329 -0,9721 -0,5944 -0,2708 -0,0795 -0,0648 -0,1940 -0,3687 -0,4831 -0,4832 -0,3867 -0,2579 -0,1611 -0,1287 -0,1647 -0,2575 -0,3914 -0,5577 -0,7552 -0,9753 -1,1930 -1,3688 -1,4566 -1,4252 -1,2796 -1,0525 -0,7808 -0,4979 -0,2316 0,0073 0,2223 0,4200 0,6105 0,8051 0,9961 1,1533 1,2535 1,2948 1,2819 1,2232 1,1419 1,0633 0,9801 0,8546 0,6630 0,4147 0,1369 -0,1280 -0,3159 -0,3614 -0,2250 0,0971 0,5744 1,1473 1,7413 2,2798 2,6803 2,8556 2,7557 2,4215 1,9739 1,5414 1,1986 0,9541 0,7787 0,6540 0,5984 0,6512 0,8391 1,1542 1,5512 1,9631 2,3282 2,6134 2,8179 2,9582 3,0420 3,0546 2,9714 2,7857 2,5311 2,2693 2,0520 1,9004 1,8153 1,7907 1,8193 1,8964 2,0134 2,1412 2,2425 2,3082 2,3406 2,2985 2,1121 1,7606 1,2989 0,8107 0,3553 -0,0435 -0,3798 -0,6491 -0,8440 -0,9593 -0,9987 -0,9727 -0,8913 -0,7604 -0,5821 -0,3600 -0,1147 0,1145 0,2851 0,3609 0,3182 0,1694 -0,0267 -0,1904 -0,2572 -0,1939 0,0079 0,3365 0,7493 1,1604 1,4635 1,5902 1,5493 1,4084 1,2358 1,0637 0,9044 0,7881 0,7619 0,8419 0,9800 1,0972 1,1469 1,1429 1,1352 1,1700 1,2761 1,4692 1,7468 2,0734 2,3920 2,6659 2,9027 3,1392 3,4109 3,7223 4,0317 4,2717 4,3920 4,3830 4,2640 4,0694 3,8522 3,6696 3,5475 3,4741 3,4351 3,4322 3,4597 3,4857 3,4789 3,4467 3,4243 3,4318 3,4616 3,4979 3,5284 3,5415 3,5270 3,4754 3,3735 3,2175 3,0307 2,8582 2,7550 2,7644 2,8864 3,0813 3,2988 3,4851 3,5924 3,6171 3,6170 3,6674 3,7967 3,9607 4,0717 4,0472 3,8435 3,4630 2,9422 2,3391 1,7221 1,1499 0,6539 0,2400 -0,0913 -0,3277 -0,4528 -0,4723 -0,4219 -0,3361 -0,2229 -0,0871 0,0382 0,0986 0,0487 -0,1164 -0,3500 -0,5854 -0,7814 -0,9320 -1,0390 -1,0904 -1,0731 -0,9840 -0,8215 -0,5833 -0,2860 0,0184 0,2497 0,3303 0,2182 -0,0772 -0,4982
F7    -0,6005 -0,7835 -0,7932 -0,6691 -0,5255 -0,4687 -0,5278 -0,6691 -0,8506 -1,0350 -1,1719 -1,1974 -1,0541 -0,7262 -0,2634 0,2417 0,7055 1,0755 1,3233 1,4354 1,4179 1,3059 1,1543 1,0127 0,9122 0,8568 0,8143 0,7416 0,6259 0,4868 0,3587 0,2811 0,2805 0,3536 0,4707 0,5838 0,6297 0,5533 0,3468 0,0589 -0,2379 -0,4798 -0,6257 -0,6723 -0,6597 -0,6466 -0,6731 -0,7534 -0,8868 -1,0558 -1,2355 -1,4200 -1,6160 -1,8073 -1,9456 -1,9822 -1,9121 -1,7873 -1,6687 -1,5651 -1,4370 -1,2520 -1,0194 -0,7795 -0,5754 -0,4359 -0,3778 -0,4058 -0,5067 -0,6526 -0,8136 -0,9650 -1,0907 -1,1838 -1,2517 -1,3182 -1,4117 -1,5520 -1,7410 -1,9462 -2,1006 -2,1473 -2,0886 -1,9777 -1,8761 -1,8258 -1,8329 -1,8679 -1,8997 -1,9231 -1,9429 -1,9609 -1,9908 -2,0530 -2,1407 -2,2170 -2,2556 -2,2622 -2,2481 -2,2108 -2,1464 -2,0633 -1,9812 -1,9178 -1,8744 -1,8366 -1,7895 -1,7387 -1,7182 -1,7657 -1,8875 -2,0496 -2,1955 -2,2781 -2,2970 -2,3019 -2,3473 -2,4548 -2,6165 -2,8122 -3,0216 -3,2082 -3,2963 -3,2026 -2,9051 -2,4525 -1,9245 -1,4066 -0,9807 -0,7039 -0,5838 -0,5682 -0,5634 -0,4755 -0,2548 0,0777 0,4377 0,7294 0,9108 1,0168 1,1200 1,2666 1,4445 1,6037 1,7052 1,7516 1,7809 1,8392 1,9515 2,1199 2,3302 2,5437 2,7128 2,8245 2,9018 2,9479 2,9197 2,7703 2,4966 2,1374 1,7519 1,4118 1,1786 1,0678 1,0483 1,0722 1,0973 1,0934 1,0410 0,9299 0,7696 0,6082 0,5219 0,5572 0,6966 0,8890 1,0864 1,2508 1,3623 1,4233 1,4450 1,4376 1,4004 1,3075 1,1209 0,8298 0,4749 0,1317 -0,1417 -0,3442 -0,5213 -0,7259 -0,9837 -1,2822 -1,5836 -1,8466 -2,0507 -2,2046 -2,3218 -2,3841 -2,3455 -2,1754 -1,8908 -1,5427 -1,1831 -0,8556 -0,5982 -0,4367 -0,3801 -0,4124 -0,4905 -0,5827 -0,6903 -0,8070 -0,8903 -0,8882 -0,7708 -0,5313 -0,1806 0,2416 0,6594 0,9867 1,1741 1,2360 1,2321 1,2217 1,2295 1,2532 1,3078 1,4404 1,6745 1,9560 2,1805 2,2782 2,2589 2,1733 2,0531 1,9006 1,7159 1,5100 1,2952 1,0694 0,8112 0,5029 0,1669 -0,1300 -0,3187 -0,3748 -0,3426 -0,3154 -0,3707 -0,5126 -0,6654 -0,7228 -0,6204 -0,3665 -0,0086 0,3950 0,7667 1,0158 1,0832 0,9752 0,7445 0,4515 0,1591 -0,0516 -0,0962 0,0803 0,4924 1,1132 1,8578 2,5827 3,1238 3,3656 3,2946 2,9844 2,5373 2,0400 1,5406 1,0451 0,5437 0,0364 -0,4570 -0,8972 -1,2439 -1,4695 -1,5502 -1,4716 -1,2616 -1,0055 -0,8017 -0,6904 -0,6381 -0,5860 -0,4986 -0,3878 -0,3034 -0,2871 -0,3264 -0,3508 -0,2872 -0,1247 0,0851 0,2790 0,4153 0,4720 0,4416 0,3289 0,1385 -0,1253 -0,4439 -0,7813 -1,0926 -1,3288 -1,4496 -1,4435 -1,3312 -1,1437 -0,9009 -0,6179 -0,3349 -0,1174 -0,0102 -0,0021 -0,0477 -0,1134 -0,1904 -0,2761 -0,3607 -0,4297 -0,4709 -0,4868 -0,4900 -0,4749 -0,4113 -0,2802 -0,0936 0,1194 0,3295 0,5182 0,6782 0,7992 0,8622 0,8577 0,8050 0,7435 0,6927 0,6224 0,4757 0,2191 -0,1382 -0,5515 -0,9453 -1,2289 -1,3325 -1,2546 -1,0800 -0,9337 -0,9070 -1,0235 -1,2490 -1,5199 -1,7798 -2,0126 -2,2476 -2,5211 -2,8163 -3,0590 -3,1793 -3,1581 -3,0195 -2,8000 -2,5206 -2,1787 -1,7739 -1,3413 -0,9501 -0,6672 -0,5266 -0,5278 -0,6473 -0,8584 -1,1430 -1,4838 -1,8592 -2,2507 -2,6357 -2,9734 -3,2094 -3,2976 -3,2238 -3,0254 -2,7793 -2,5451 -2,3229 -2,0822 -1,8198 -1,5710 -1,3708 -1,2168 -1,0788 -0,9421 -0,8311 -0,7774 -0,7742 -0,7774 -0,7411 -0,6398 -0,4839 -0,3325 -0,2578 -0,2878 -0,4094 -0,6194 -0,9277 -1,3102 -1,7033 -2,0450 -2,2798 -2,3339 -2,1346 -1,6750 -1,0565 -0,4544 -0,0237 0,1699 0,1451 -0,0363 -0,2964 -0,5462 -0,7024 -0,7257 -0,6362 -0,4897 -0,3500 -0,2635 -0,2293 -0,2012 -0,1290 0,0041 0,1863 0,3996 0,6153 0,7856 0,8696 0,8689 0,8283 0,8034 0,8243 0,8837 0,9527 1,0091 1,0471 1,0632 1,0508 1,0058 0,9238 0,8008 0,6496 0,5070 0,4162 0,4087 0,4973 0,6465 0,7593 0,7455 0,5978 0,3771 0,1348 -0,1363 -0,4734 -0,8869 -1,3447 -1,7909 -2,1675 -2,4359 -2,5851 -2,6167 -2,5308 -2,3198 -1,9738 -1,5095 -0,9931 -0,5241 -0,2025 -0,0954 -0,2000 -0,4332 -0,6860 -0,8907 -1,0225 -1,0557 -0,9580 -0,7319 -0,4428 -0,1892 -0,0429 -0,0166 -0,0863 -0,2295 -0,4305 -0,6585 -0,8489 -0,9211 -0,8373 -0,6409 -0,4202 -0,2383 -0,1025 0,0134 0,1335 0,2721 0,4374 0,6215 0,7939 0,9141 0,9536 0,9141 0,8417 0,8158 0,9041 1,1240 1,4443 1,8145 2,1862 2,5134 2,7491 2,8555 2,8131 2,6143 2,2699 1,8308 1,3842 1,0141 0,7650 0,6397 0,6243 0,7019 0,8509 1,0511 1,2859 1,5297 1,7363 1,8486 1,8252 1,6681 1,4334 1,1998 1,0144 0,8868 0,8231 0,8365 0,9399 1,1265 1,3379 1,4812 1,5007 1,4162 1,2880 1,1601 1,0378 0,9149 0,8019 0,7157 0,6537 0,5869 0,4709 0,2711 -0,0030 -0,2915 -0,5310 -0,6941 -0,7737 -0,7619 -0,6743 -0,5761 -0,5472 -0,6165 -0,7463 -0,8771 -0,9685 -1,0083 -1,0017 -0,9647 -0,9223 -0,9018 -0,9278 -1,0165 -1,1639 -1,3444 -1,5211 -1,6557 -1,7225 -1,7197 -1,6682 -1,6043 -1,5651 -1,5639 -1,5716 -1,5263
