Fp1   1,2927 1,3352 1,3799 1,3939 1,3336 1,1758 0,9237 0,5978 0,2385 -0,0872 -0,3038 -0,3641 -0,2717 -0,0721 0,1727 0,4108 0,6073 0,7340 0,7740 0,7501 0,7279 0,7714 0,8881 1,0206 1,0971 1,0851 0,9922 0,8302 0,5880 0,2417 -0,2132 -0,7383 -1,2567 -1,6802 -1,9498 -2,0607 -2,0537 -1,9895 -1,9269 -1,8905 -1,8518 -1,7546 -1,5570 -1,2512 -0,8589 -0,4082 0,0809 0,5838 1,0569 1,4559 1,7628 1,9850 2,1404 2,2496 2,3261 2,3676 2,3557 2,2735 2,1283 1,9533 1,7833 1,6273 1,4644 1,2672 1,0336 0,7928 0,5900 0,4643 0,4299 0,4745 0,5719 0,6969 0,8403 1,0136 1,2234 1,4373 1,5863 1,6052 1,4670 1,1956 0,8609 0,5603 0,3813 0,3590 0,4566 0,5921 0,6887 0,7017 0,6232 0,4915 0,3869 0,3938 0,5595 0,8841 1,3243 1,7986 2,2030 2,4476 2,4987 2,3970 2,2370 2,1135 2,0686 2,0819 2,1038 2,0915 2,0203 1,8761 1,6580 1,3964 1,1524 0,9847 0,9103 0,8900 0,8387 0,6650 0,3268 -0,1414 -0,6561 -1,1244 -1,4769 -1,6906 -1,7789 -1,7637 -1,6751 -1,5674 -1,5117 -1,5647 -1,7375 -1,9893 -2,2467 -2,4263 -2,4483 -2,2537 -1,8325 -1,2350 -0,5424 0,1836 0,9248 1,6898 2,4944 3,3526 4,2604 5,1840 6,0684 6,8491 7,4580 7,8351 7,9581 7,8754 7,7059 7,5811 7,5740 7,6797 7,8418 7,9824 8,0201 7,8854 7,5349 6,9703 6,2548 5,5008 4,8256 4,3138 4,0064 3,9011 3,9576 4,1165 4,3243 4,5575 4,8367 5,2056 5,6743 6,1814 6,6260 6,9459 7,1497 7,2749 7,3387 7,3393 7,2870 7,2171 7,1772 7,2113 7,3450 7,5706 7,8465 8,1219 8,3523 8,4914 8,4942 8,3403 8,0444 7,6444 7,1795 6,6695 6,1150 5,5183 4,8946 4,2654 3,6574 3,1110 2,6722 2,3598 2,1366 1,9119 1,5873 1,1102 0,4849 -0,2417 -0,9915 -1,6746 -2,2247 -2,6191 -2,8638 -2,9716 -2,9663 -2,8860 -2,7641 -2,6250 -2,5027 -2,4368 -2,4390 -2,4712 -2,4685 -2,3956 -2,2863 -2,2216 -2,2612 -2,3942 -2,5519 -2,6551 -2,6465 -2,4933 -2,1831 -1,7312 -1,1897 -0,6383 -0,1613 0,1863 0,4128 0,5823 0,7620 0,9795 1,2187 1,4360 1,5808 1,6182 1,5439 1,3930 1,2356 1,1457 1,1553 1,2308 1,3013 1,3170 1,2726 1,1812 1,0434 0,8542 0,6289 0,4101 0,2420 0,1345 0,0447 -0,1014 -0,3480 -0,6649 -0,9657 -1,1731 -1,2706 -1,2989 -1,3160 -1,3616 -1,4451 -1,5532 -1,6754 -1,8257 -2,0289 -2,2859 -2,5592 -2,7937 -2,9499 -3,0206 -3,0247 -2,9841 -2,8989 -2,7476 -2,5135 -2,2071 -1,8673 -1,5368 -1,2288 -0,9200 -0,5831 -0,2241 0,1153 0,3872 0,5694 0,6749 0,7391 0,7977 0,8717 0,9699 1,0955 1,2467 1,4161 1,5864 1,7237 1,7814 1,7202 1,5359 1,2713 0,9992 0,7930 0,7047 0,7514 0,9079 1,1261 1,3737 1,6577 2,0078 2,4423 2,9361 3,4050 3,7319 3,8282 3,6780 3,3369 2,8986 2,4529 2,0574 1,7343 1,4813 1,2847 1,1266 0,9885 0,8594 0,7552 0,7218 0,8003 0,9847 1,2247 1,4584 1,6233 1,6520 1,4951 1,1494 0,6465 0,0228 -0,6780 -1,3824 -2,0018 -2,4819 -2,8254 -3,0636 -3,2193 -3,2940 -3,2733 -3,1403 -2,8919 -2,5390 -2,0864 -1,5237 -0,8542 -0,1301 0,5519 1,0905 1,4113 1,4882 1,3609 1,1220 0,8635 0,6322 0,4355 0,2750 0,1592 0,0942 0,0842 0,1503 0,3313 0,6548 1,1141 1,6691 2,2588 2,8084 3,2427 3,5171 3,6348 3,6296 3,5427 3,4218 3,3149 3,2312 3,1131 2,8810 2,5188 2,1060 1,7620 1,5660 1,5240 1,5889 1,6981 1,7960 1,8456 1,8448 1,8218 1,7959 1,7584 1,7117 1,7111 1,8445 2,1582 2,6004 3,0431 3,3612 3,4820 3,3833 3,0872 2,6658 2,2296 1,8808 1,6545 1,5028 1,3428 1,1145 0,8061 0,4509 0,1111 -0,1550 -0,3244 -0,4020 -0,3797 -0,2220 0,0877 0,4984 0,9004 1,1828 1,2918 1,2558 1,1579 1,0748 1,0326 1,0185 1,0208 1,0544 1,1598 1,3743 1,6987 2,0959 2,5101 2,8761 3,1298 3,2367 3,2124 3,1063 2,9677 2,8314 2,7240 2,6649 2,6631 2,7218 2,8479 3,0493 3,3185 3,6172 3,8877 4,0799 4,1605 4,1089 3,9369 3,7198 3,5756 3,5891 3,7596 4,0195 4,2881 4,5138 4,6817 4,7935 4,8407 4,7956 4,6328 4,3552 3,9923 3,5754 3,1203 2,6385 2,1663 1,7795 1,5685 1,5888 1,8361 2,2645 2,8060 3,3690 3,8441 4,1345 4,1911 4,0276 3,7175 3,3650 3,0538 2,8252 2,6987 2,6909 2,8022 2,9991 3,2273 3,4491 3,6698 3,9236 4,2388 4,6229 5,0705 5,5663 6,0766 6,5414 6,8830 7,0496 7,0675 7,0392 7,0708 7,1991 7,3839 7,5568 7,6771 7,7524 7,8174 7,9003 7,9943 8,0574 8,0440 7,9393 7,7663 7,5561 7,3197 7,0593 6,7996 6,5959 6,5175 6,6193 6,9101 7,3280 7,7505 8,0372 8,0871 7,8758 7,4560 6,9281 6,4026 5,9666 5,6708 5,5300 5,5151 5,5495 5,5311 5,3634 4,9813 4,3868 3,6666 2,9484 2,3237 1,8161 1,4076 1,0775 0,8177 0,6171 0,4366 0,2071 -0,1213 -0,5232 -0,9097 -1,2033 -1,3943 -1,5272 -1,6603 -1,8490 -2,1387 -2,5465 -3,0465 -3,5774 -4,0612 -4,4193 -4,5926 -4,5645 -4,3718 -4,0977 -3,8374 -3,6519 -3,5497 -3,5100 -3,5106 -3,5395 -3,6073 -3,7487 -3,9857 -4,2850 -4,5579 -4,6995
Fz    0,5789 0,4699 0,4964 0,6335 0,8170 0,9835 1,0864 1,0942 1,0011 0,8414 0,6782 0,5656 0,5188 0,5207 0,5446 0,5707 0,5877 0,5866 0,5635 0,5355 0,5455 0,6344 0,8043 1,0124 1,1988 1,3169 1,3405 1,2543 1,0450 0,7040 0,2436 -0,2906 -0,8272 -1,2962 -1,6572 -1,9076 -2,0700 -2,1749 -2,2501 -2,3049 -2,3188 -2,2502 -2,0616 -1,7387 -1,3001 -0,7929 -0,2754 0,2024 0,6082 0,9322 1,1884 1,4047 1,6076 1,8125 2,0147 2,1841 2,2743 2,2501 2,1169 1,9229 1,7346 1,6034 1,5429 1,5295 1,5238 1,4929 1,4241 1,3294 1,2354 1,1665 1,1325 1,1291 1,1492 1,1927 1,2598 1,3351 1,3888 1,3919 1,3265 1,1923 1,0113 0,8265 0,6860 0,6190 0,6213 0,6617 0,7004 0,7034 0,6539 0,5647 0,4774 0,4435 0,5030 0,6725 0,9381 1,2477 1,5193 1,6770 1,6961 1,6178 1,5238 1,4915 1,5540 1,6852 1,8189 1,8824 1,8258 1,6348 1,3287 0,9501 0,5537 0,1920 -0,1025 -0,3322 -0,5366 -0,7704 -1,0650 -1,4106 -1,7714 -2,1064 -2,3788 -2,5639 -2,6512 -2,6423 -2,5584 -2,4476 -2,3729 -2,3830 -2,4875 -2,6501 -2,7982 -2,8439 -2,7132 -2,3724 -1,8397 -1,1689 -0,4186 0,3677 1,1604 1,9404 2,7046 3,4617 4,2170 4,9662 5,7017 6,4112 7,0655 7,6172 8,0244 8,2823 8,4310 8,5273 8,6089 8,6857 8,7475 8,7702 8,7246 8,5881 8,3535 8,0340 7,6668 7,3070 7,0035 6,7764 6,6180 6,5099 6,4359 6,3822 6,3350 6,2909 6,2699 6,3126 6,4526 6,6847 6,9613 7,2275 7,4557 7,6435 7,7950 7,9089 7,9830 8,0285 8,0754 8,1639 8,3274 8,5794 8,9069 9,2710 9,6114 9,8616 9,9729 9,9321 9,7562 9,4713 9,0955 8,6324 8,0749 7,4203 6,6828 5,8912 5,0833 4,3091 3,6268 3,0779 2,6569 2,3045 1,9337 1,4717 0,8878 0,2017 -0,5241 -1,2070 -1,7785 -2,2042 -2,4814 -2,6301 -2,6869 -2,6956 -2,6883 -2,6724 -2,6334 -2,5464 -2,3834 -2,1190 -1,7441 -1,2871 -0,8204 -0,4356 -0,1971 -0,1099 -0,1264 -0,1792 -0,2077 -0,1651 -0,0247 0,2104 0,5044 0,8001 1,0408 1,1947 1,2740 1,3265 1,3997 1,5075 1,6205 1,6816 1,6371 1,4631 1,1738 0,8180 0,4681 0,1973 0,0491 0,0176 0,0522 0,0863 0,0706 -0,0100 -0,1463 -0,3265 -0,5415 -0,7770 -1,0144 -1,2451 -1,4779 -1,7316 -2,0154 -2,3116 -2,5784 -2,7773 -2,8969 -2,9546 -2,9813 -3,0061 -3,0461 -3,1033 -3,1726 -3,2542 -3,3556 -3,4789 -3,6106 -3,7253 -3,7988 -3,8196 -3,7873 -3,7006 -3,5474 -3,3133 -3,0040 -2,6545 -2,3078 -1,9876 -1,6867 -1,3785 -1,0466 -0,7083 -0,4080 -0,1827 -0,0340 0,0723 0,1863 0,3497 0,5837 0,8943 1,2719 1,6821 2,0649 2,3539 2,5042 2,5105 2,4040 2,2327 2,0413 1,8584 1,6953 1,5593 1,4637 1,4236 1,4508 1,5581 1,7631 2,0791 2,5028 3,0054 3,5280 3,9957 4,3443 4,5372 4,5661 4,4467 4,2150 3,9213 3,6177 3,3395 3,0936 2,8611 2,6166 2,3527 2,0897 1,8642 1,7078 1,6279 1,6053 1,6073 1,5952 1,5240 1,3546 1,0710 0,6831 0,2166 -0,2863 -0,7624 -1,1424 -1,3814 -1,4782 -1,4710 -1,4170 -1,3664 -1,3438 -1,3384 -1,3072 -1,1907 -0,9409 -0,5449 -0,0313 0,5408 1,1031 1,5959 1,9743 2,2158 2,3317 2,3665 2,3703 2,3699 2,3642 2,3383 2,2795 2,1909 2,1026 2,0691 2,1491 2,3803 2,7597 3,2418 3,7544 4,2147 4,5447 4,6971 4,6807 4,5533 4,3925 4,2725 4,2452 4,3191 4,4518 4,5774 4,6477 4,6512 4,6011 4,5110 4,3845 4,2237 4,0383 3,8444 3,6594 3,5042 3,3995 3,3536 3,3630 3,4327 3,5906 3,8717 4,2799 4,7629 5,2299 5,5937 5,7949 5,8031 5,6222 5,2966 4,9039 4,5254 4,2086 3,9510 3,7178 3,4760 3,2170 2,9592 2,7334 2,5594 2,4355 2,3555 2,3308 2,3862 2,5309 2,7361 2,9395 3,0748 3,1100 3,0685 3,0148 3,0162 3,1088 3,2865 3,5121 3,7388 3,9313 4,0724 4,1602 4,2073 4,2402 4,2875 4,3663 4,4825 4,6413 4,8479 5,0968 5,3648 5,6175 5,8222 5,9654 6,0633 6,1537 6,2704 6,4166 6,5569 6,6400 6,6352 6,5486 6,4103 6,2637 6,1649 6,1687 6,2929 6,4999 6,7145 6,8627 6,9009 6,8245 6,6607 6,4511 6,2329 6,0291 5,8484 5,6851 5,5166 5,3074 5,0292 4,6807 4,2997 3,9627 3,7574 3,7397 3,9072 4,2031 4,5408 4,8304 5,0019 5,0215 4,9020 4,7019 4,5003 4,3595 4,3098 4,3639 4,5271 4,7907 5,1273 5,4996 5,8786 6,2588 6,6552 7,0832 7,5523 8,0699 8,6338 9,2132 9,7444 10,1517 10,3825 10,4307 10,3365 10,1600 9,9489 9,7250 9,4957 9,2773 9,1024 9,0021 8,9837 9,0257 9,0956 9,1724 9,2538 9,3459 9,4434 9,5197 9,5442 9,5112 9,4498 9,4111 9,4439 9,5680 9,7566 9,9373 10,0176 9,9257 9,6365 9,1704 8,5815 7,9491 7,3635 6,9032 6,6147 6,4950 6,4881 6,5045 6,4539 6,2720 5,9417 5,4993 5,0145 4,5506 4,1322 3,7383 3,3187 2,8200 2,2099 1,4932 0,7171 -0,0331 -0,6532 -1,0637 -1,2515 -1,2762 -1,2308 -1,1954 -1,2187 -1,3249 -1,5192 -1,7831 -2,0749 -2,3425 -2,5412 -2,6489 -2,6723 -2,6420 -2,6001 -2,5822 -2,6005 -2,6397 -2,6747 -2,6909 -2,6909 -2,6959 -2,7400 -2,8468 -3,0059 -3,1773 -3,3161
F3    0,3290 0,3198 0,4140 0,5753 0,7426 0,8693 0,9285 0,9007 0,7807 0,5981 0,4108 0,2692 0,1877 0,1492 0,1291 0,1125 0,0945 0,0694 0,0295 -0,0194 -0,0484 -0,0239 0,0611 0,1836 0,3138 0,4315 0,5188 0,5514 0,4990 0,3346 0,0507 -0,3249 -0,7305 -1,0951 -1,3696 -1,5398 -1,6168 -1,6227 -1,5799 -1,4985 -1,3665 -1,1614 -0,8693 -0,4979 -0,0799 0,3356 0,7034 0,9967 1,2081 1,3463 1,4339 1,5002 1,5700 1,6573 1,7589 1,8488 1,8816 1,8165 1,6489 1,4154 1,1722 0,9671 0,8203 0,7206 0,6410 0,5573 0,4602 0,3586 0,2707 0,2055 0,1532 0,0952 0,0272 -0,0308 -0,0531 -0,0336 0,0125 0,0641 0,1039 0,1190 0,1042 0,0657 0,0219 -0,0057 -0,0071 0,0103 0,0278 0,0237 -0,0164 -0,0877 -0,1609 -0,1916 -0,1373 0,0293 0,3053 0,6438 0,9607 1,1754 1,2583 1,2467 1,2231 1,2672 1,4058 1,5964 1,7580 1,8193 1,7463 1,5440 1,2474 0,9117 0,5975 0,3491 0,1782 0,0605 -0,0548 -0,2194 -0,4525 -0,7320 -1,0165 -1,2654 -1,4488 -1,5563 -1,5995 -1,6025 -1,5953 -1,6136 -1,6955 -1,8663 -2,1171 -2,3978 -2,6317 -2,7381 -2,6537 -2,3535 -1,8607 -1,2319 -0,5239 0,2261 0,9952 1,7628 2,5076 3,2091 3,8521 4,4313 4,9509 5,4137 5,8119 6,1318 6,3713 6,5555 6,7287 6,9248 7,1458 7,3695 7,5671 7,7107 7,7746 7,7386 7,5940 7,3500 7,0367 6,6969 6,3660 6,0609 5,7887 5,5595 5,3883 5,2878 5,2600 5,3016 5,4168 5,6181 5,9090 6,2634 6,6256 6,9401 7,1804 7,3495 7,4609 7,5195 7,5196 7,4597 7,3549 7,2381 7,1547 7,1528 7,2682 7,5069 7,8318 8,1671 8,4287 8,5585 8,5376 8,3763 8,0957 7,7110 7,2267 6,6475 5,9859 5,2595 4,4880 3,7032 2,9566 2,3053 1,7786 1,3548 0,9727 0,5669 0,0971 -0,4379 -1,0034 -1,5463 -2,0166 -2,3876 -2,6628 -2,8662 -3,0259 -3,1600 -3,2720 -3,3542 -3,3949 -3,3814 -3,2963 -3,1133 -2,8110 -2,4054 -1,9657 -1,5870 -1,3354 -1,2119 -1,1653 -1,1360 -1,0819 -0,9745 -0,7916 -0,5259 -0,1946 0,1625 0,4953 0,7618 0,9477 1,0732 1,1743 1,2703 1,3433 1,3468 1,2364 0,9972 0,6534 0,2671 -0,0769 -0,3057 -0,3953 -0,3793 -0,3233 -0,2839 -0,2819 -0,3028 -0,3207 -0,3235 -0,3186 -0,3202 -0,3426 -0,4054 -0,5330 -0,7427 -1,0298 -1,3562 -1,6579 -1,8769 -1,9912 -2,0207 -2,0074 -1,9903 -1,9935 -2,0283 -2,0997 -2,2109 -2,3633 -2,5494 -2,7493 -2,9355 -3,0799 -3,1618 -3,1715 -3,1051 -2,9561 -2,7204 -2,4132 -2,0748 -1,7507 -1,4662 -1,2184 -0,9911 -0,7768 -0,5920 -0,4706 -0,4379 -0,4844 -0,5620 -0,6044 -0,5572 -0,3977 -0,1314 0,2170 0,6059 0,9827 1,3006 1,5351 1,6898 1,7859 1,8452 1,8759 1,8692 1,8133 1,7146 1,6040 1,5217 1,5019 1,5693 1,7399 2,0169 2,3843 2,8015 3,2074 3,5374 3,7470 3,8260 3,7928 3,6782 3,5129 3,3263 3,1457 2,9902 2,8623 2,7458 2,6144 2,4532 2,2738 2,1107 2,0022 1,9679 1,9966 2,0532 2,0894 2,0447 1,8604 1,5108 1,0219 0,4581 -0,1020 -0,5789 -0,9048 -1,0445 -1,0101 -0,8554 -0,6513 -0,4580 -0,3068 -0,1926 -0,0775 0,0923 0,3576 0,7257 1,1649 1,6184 2,0291 2,3563 2,5753 2,6772 2,6813 2,6349 2,5831 2,5430 2,5092 2,4738 2,4322 2,3847 2,3442 2,3424 2,4222 2,6155 2,9188 3,2885 3,6595 3,9637 4,1406 4,1604 4,0465 3,8653 3,6890 3,5702 3,5346 3,5784 3,6682 3,7607 3,8292 3,8715 3,8954 3,8990 3,8663 3,7805 3,6392 3,4560 3,2532 3,0629 2,9261 2,8753 2,9215 3,0649 3,3088 3,6527 4,0698 4,5001 4,8739 5,1413 5,2779 5,2750 5,1402 4,9050 4,6241 4,3587 4,1453 3,9774 3,8208 3,6470 3,4529 3,2619 3,1118 3,0289 3,0097 3,0358 3,1046 3,2310 3,4173 3,6312 3,8170 3,9243 3,9367 3,8842 3,8274 3,8237 3,9002 4,0446 4,2135 4,3563 4,4432 4,4723 4,4582 4,4224 4,3904 4,3805 4,3954 4,4325 4,5010 4,6212 4,8070 5,0545 5,3399 5,6233 5,8650 6,0456 6,1720 6,2685 6,3551 6,4275 6,4606 6,4334 6,3447 6,2080 6,0514 5,9281 5,8981 5,9822 6,1391 6,2936 6,3792 6,3620 6,2422 6,0427 5,7911 5,5063 5,1974 4,8720 4,5415 4,2176 3,9094 3,6261 3,3786 3,1847 3,0772 3,0913 3,2377 3,4892 3,7895 4,0699 4,2657 4,3316 4,2502 4,0370 3,7421 3,4367 3,1804 3,0085 2,9473 3,0233 3,2512 3,6215 4,0998 4,6380 5,1919 5,7317 6,2409 6,7191 7,1873 7,6739 8,1812 8,6682 9,0709 9,3388 9,4599 9,4635 9,4018 9,3205 9,2379 9,1500 9,0543 8,9630 8,8920 8,8413 8,7910 8,7198 8,6278 8,5391 8,4854 8,4835 8,5212 8,5673 8,5989 8,6170 8,6439 8,7090 8,8292 8,9854 9,1111 9,1192 8,9508 8,5999 8,0971 7,4895 6,8415 6,2368 5,7587 5,4614 5,3489 5,3716 5,4450 5,4755 5,3849 5,1340 4,7372 4,2516 3,7439 3,2551 2,7858 2,3081 1,7859 1,1923 0,5237 -0,1870 -0,8641 -1,4085 -1,7492 -1,8905 -1,9088 -1,8987 -1,9184 -1,9839 -2,0961 -2,2562 -2,4597 -2,6890 -2,9141 -3,1017 -3,2282 -3,2913 -3,3109 -3,3172 -3,3333 -3,3598 -3,3761 -3,3616 -3,3128 -3,2440 -3,1836 -3,1669 -3,2131 -3,3072 -3,4098 -3,4826
F7    0,3045 0,1007 -0,0481 -0,1278 -0,1424 -0,1052 -0,0407 0,0151 0,0324 0,0111 -0,0231 -0,0499 -0,0729 -0,1060 -0,1518 -0,2031 -0,2580 -0,3296 -0,4364 -0,5782 -0,7242 -0,8314 -0,8717 -0,8419 -0,7604 -0,6617 -0,5830 -0,5396 -0,5104 -0,4568 -0,3558 -0,2143 -0,0587 0,0845 0,1981 0,2759 0,3210 0,3414 0,3437 0,3355 0,3354 0,3689 0,4530 0,5861 0,7463 0,8978 1,0091 1,0731 1,1082 1,1415 1,1862 1,2352 1,2752 1,3018 1,3148 1,3048 1,2539 1,1554 1,0310 0,9201 0,8532 0,8355 0,8462 0,8499 0,8148 0,7277 0,6014 0,4704 0,3737 0,3359 0,3574 0,4204 0,5066 0,6120 0,7415 0,8936 1,0495 1,1770 1,2464 1,2498 1,2098 1,1693 1,1683 1,2235 1,3236 1,4400 1,5399 1,5968 1,6017 1,5736 1,5510 1,5667 1,6318 1,7439 1,8988 2,0833 2,2604 2,3813 2,4246 2,4155 2,4029 2,4260 2,4972 2,6029 2,7092 2,7706 2,7485 2,6341 2,4518 2,2377 2,0170 1,8041 1,6102 1,4390 1,2739 1,0838 0,8509 0,5882 0,3262 0,0924 -0,1014 -0,2679 -0,4379 -0,6384 -0,8770 -1,1404 -1,4015 -1,6310 -1,8048 -1,9057 -1,9170 -1,8210 -1,6079 -1,2844 -0,8738 -0,4051 0,0976 0,6186 1,1451 1,6633 2,1569 2,6046 2,9834 3,2863 3,5349 3,7690 4,0212 4,3037 4,6106 4,9267 5,2314 5,4981 5,6980 5,8142 5,8508 5,8255 5,7579 5,6596 5,5270 5,3436 5,0988 4,8060 4,4985 4,2095 3,9641 3,7830 3,6821 3,6630 3,7085 3,7970 3,9150 4,0586 4,2301 4,4288 4,6381 4,8301 4,9792 5,0727 5,1138 5,1127 5,0776 5,0183 4,9532 4,9070 4,9031 4,9537 5,0520 5,1718 5,2736 5,3141 5,2590 5,1001 4,8619 4,5891 4,3188 4,0582 3,7815 3,4514 3,0440 2,5548 1,9959 1,3990 0,8173 0,3061 -0,1076 -0,4380 -0,7226 -0,9941 -1,2724 -1,5695 -1,8888 -2,2144 -2,5103 -2,7397 -2,8866 -2,9613 -2,9891 -2,9922 -2,9792 -2,9457 -2,8824 -2,7827 -2,6439 -2,4667 -2,2553 -2,0216 -1,7884 -1,5884 -1,4497 -1,3785 -1,3586 -1,3630 -1,3606 -1,3232 -1,2352 -1,0952 -0,9117 -0,7042 -0,5042 -0,3386 -0,2068 -0,0852 0,0413 0,1577 0,2271 0,2140 0,1010 -0,1017 -0,3569 -0,6093 -0,8048 -0,9147 -0,9479 -0,9410 -0,9382 -0,9727 -1,0495 -1,1379 -1,1896 -1,1718 -1,0910 -0,9887 -0,9179 -0,9185 -1,0049 -1,1656 -1,3705 -1,5774 -1,7423 -1,8376 -1,8628 -1,8437 -1,8212 -1,8383 -1,9244 -2,0814 -2,2818 -2,4816 -2,6421 -2,7489 -2,8128 -2,8555 -2,8961 -2,9488 -3,0213 -3,1078 -3,1857 -3,2187 -3,1779 -3,0627 -2,8953 -2,7011 -2,5002 -2,3106 -2,1514 -2,0431 -2,0014 -2,0236 -2,0809 -2,1277 -2,1259 -2,0693 -1,9849 -1,9072 -1,8531 -1,8199 -1,7978 -1,7736 -1,7265 -1,6320 -1,4766 -1,2668 -1,0283 -0,7983 -0,6094 -0,4742 -0,3852 -0,3285 -0,2931 -0,2737 -0,2703 -0,2853 -0,3188 -0,3662 -0,4185 -0,4618 -0,4785 -0,4557 -0,3945 -0,3098 -0,2177 -0,1261 -0,0382 0,0322 0,0572 0,0114 -0,1057 -0,2646 -0,4170 -0,5145 -0,5270 -0,4558 -0,3278 -0,1717 -0,0056 0,1465 0,2438 0,2480 0,1462 -0,0468 -0,2957 -0,5541 -0,7800 -0,9470 -1,0431 -1,0679 -1,0316 -0,9504 -0,8409 -0,7141 -0,5685 -0,3892 -0,1588 0,1277 0,4559 0,7933 1,0982 1,3342 1,4799 1,5328 1,5101 1,4411 1,3510 1,2480 1,1269 0,9777 0,7926 0,5771 0,3569 0,1702 0,0563 0,0423 0,1267 0,2772 0,4503 0,6090 0,7227 0,7764 0,7888 0,8047 0,8619 0,9703 1,1133 1,2591 1,3780 1,4615 1,5228 1,5771 1,6226 1,6404 1,6114 1,5316 1,4094 1,2489 1,0467 0,8087 0,5647 0,3619 0,2530 0,2875 0,4953 0,8679 1,3460 1,8339 2,2389 2,5045 2,6171 2,5956 2,4812 2,3306 2,2016 2,1336 2,1336 2,1767 2,2227 2,2373 2,2083 2,1489 2,0857 2,0416 2,0299 2,0604 2,1443 2,2861 2,4725 2,6708 2,8378 2,9376 2,9587 2,9203 2,8599 2,8133 2,7998 2,8183 2,8511 2,8732 2,8658 2,8226 2,7476 2,6551 2,5683 2,5078 2,4804 2,4818 2,5078 2,5600 2,6442 2,7649 2,9186 3,0920 3,2701 3,4458 3,6208 3,7940 3,9499 4,0616 4,1084 4,0918 4,0311 3,9445 3,8412 3,7293 3,6203 3,5185 3,4116 3,2774 3,1015 2,8887 2,6640 2,4643 2,3259 2,2731 2,3084 2,4063 2,5193 2,5931 2,5874 2,4881 2,3036 2,0571 1,7893 1,5556 1,3989 1,3221 1,2858 1,2357 1,1366 0,9881 0,8139 0,6450 0,5152 0,4514 0,4571 0,5181 0,6321 0,8170 1,0887 1,4383 1,8289 2,2174 2,5803 2,9177 3,2385 3,5578 3,8974 4,2689 4,6528 4,9994 5,2585 5,4111 5,4782 5,5118 5,5734 5,7045 5,9048 6,1331 6,3295 6,4432 6,4542 6,3757 6,2368 6,0681 5,8981 5,7526 5,6509 5,5966 5,5686 5,5254 5,4270 5,2630 5,0687 4,9106 4,8478 4,8940 5,0015 5,0841 5,0645 4,9061 4,6135 4,2178 3,7700 3,3331 2,9628 2,6883 2,5106 2,4122 2,3652 2,3361 2,2907 2,2056 2,0748 1,9050 1,7005 1,4504 1,1305 0,7175 0,1998 -0,4143 -1,0859 -1,7416 -2,2921 -2,6645 -2,8292 -2,8120 -2,6836 -2,5281 -2,4092 -2,3599 -2,3936 -2,5134 -2,7111 -2,9657 -3,2441 -3,5051 -3,7137 -3,8605 -3,9673 -4,0760 -4,2250 -4,4221 -4,6375 -4,8254 -4,9509 -4,9935 -4,9432 -4,8030 -4,5848 -4,2966 -3,9415 -3,5359
