Fp1   0,5754 0,7169 0,8285 0,9484 1,1188 1,3670 1,6901 2,0263 2,2542 2,2518 1,9688 1,4607 0,8571 0,2871 -0,1642 -0,4622 -0,6308 -0,7332 -0,8057 -0,8342 -0,8072 -0,7557 -0,7258 -0,7355 -0,7670 -0,7895 -0,7815 -0,7361 -0,6452 -0,4920 -0,2912 -0,1206 -0,0737 -0,1774 -0,3768 -0,5828 -0,7108 -0,7133 -0,6082 -0,4509 -0,2794 -0,1068 0,0420 0,1125 0,0500 -0,1501 -0,4225 -0,6757 -0,8735 -1,0761 -1,3779 -1,7950 -2,2324 -2,5678 -2,7298 -2,7009 -2,5017 -2,1864 -1,8230 -1,4701 -1,1696 -0,9450 -0,8087 -0,7700 -0,8344 -0,9935 -1,2144 -1,4414 -1,6141 -1,6945 -1,6810 -1,6049 -1,5080 -1,4129 -1,3067 -1,1522 -0,9189 -0,5956 -0,1805 0,3097 0,8135 1,2306 1,4723 1,5160 1,4109 1,2363 1,0608 0,9223 0,8135 0,6867 0,4898 0,2025 -0,1673 -0,6016 -1,0657 -1,4920 -1,7955 -1,9174 -1,8597 -1,6776 -1,4331 -1,1590 -0,8639 -0,5562 -0,2549 0,0262 0,3026 0,6145 0,9893 1,4178 1,8547 2,2314 2,4839 2,5855 2,5643 2,4988 2,4813 2,5674 2,7524 2,9802 3,1772 3,2858 3,2860 3,2104 3,1287 3,0948 3,1127 3,1479 3,1519 3,0795 2,8984 2,5968 2,1945 1,7486 1,3296 0,9922 0,7715 0,6858 0,7310 0,8777 1,0687 1,2117 1,1976 0,9641 0,5519 0,0796 -0,3431 -0,6779 -0,9390 -1,1382 -1,2613 -1,2870 -1,2190 -1,1017 -0,9958 -0,9220 -0,8339 -0,6566 -0,3495 0,0618 0,4969 0,8617 1,0898 1,1696 1,1418 1,0607 0,9561 0,8496 0,7924 0,8523 1,0597 1,3839 1,7586 2,1130 2,3916 2,5749 2,6856 2,7653 2,8444 2,9425 3,0868 3,3016 3,5850 3,9061 4,2199 4,4901 4,7098 4,8948 5,0516 5,1662 5,2205 5,2097 5,1535 5,1056 5,1380 5,3021 5,6036 6,0000 6,4121 6,7532 6,9723 7,0684 7,0551 6,9247 6,6629 6,2840 5,8419 5,4154 5,0822 4,8839 4,8122 4,8325 4,9092 5,0051 5,0777 5,0925 5,0407 4,9412 4,8264 4,7286 4,6755 4,6836 4,7300 4,7430 4,6538 4,4571 4,2142 4,0123 3,9235 3,9740 4,1274 4,3008 4,4095 4,4096 4,3093 4,1439 3,9435 3,7238 3,5027 3,3135 3,1879 3,1270 3,1034 3,0913 3,0854 3,0999 3,1626 3,2970 3,4901 3,6794 3,7787 3,7219 3,4931 3,1355 2,7423 2,4261 2,2765 2,3330 2,5820 2,9625 3,3778 3,7207 3,9011 3,8697 3,6324 3,2464 2,7980 2,3737 2,0367 1,8171 1,7064 1,6538 1,5904 1,4760 1,3251 1,1844 1,0877 1,0351 1,0113 1,0060 1,0164 1,0392 1,0597 1,0511 0,9914 0,8878 0,7801 0,7204 0,7581 0,9349 1,2642 1,7082 2,1858 2,6127 2,9363 3,1420 3,2464 3,2887 3,3149 3,3566 3,4170 3,4593 3,4095 3,1989 2,8226 2,3542 1,9000 1,5474 1,3435 1,2942 1,3808 1,5847 1,8846 2,2413 2,6019 2,9175 3,1528 3,2848 3,2998 3,1942 2,9765 2,6640 2,2828 1,8844 1,5550 1,3729 1,3483 1,4287 1,5634 1,7327 1,9080 2,0245 2,0222 1,8929 1,6786 1,4401 1,2320 1,1063 1,1191 1,3035 1,6349 2,0466 2,4767 2,8775 3,1933 3,3604 3,3399 3,1579 2,9116 2,7180 2,6517 2,7239 2,8861 3,0546 3,1644 3,2131 3,2510 3,3395 3,5107 3,7444 3,9736 4,1212 4,1314 3,9765 3,6676 3,2728 2,9010 2,6484 2,5565 2,6059 2,7347 2,8623 2,9087 2,8272 2,6439 2,4568 2,3794 2,4781 2,7490 3,1352 3,5573 3,9443 4,2591 4,4967 4,6594 4,7447 4,7651 4,7640 4,7944 4,8799 4,9988 5,1126 5,1972 5,2408 5,2319 5,1628 5,0415 4,8960 4,7634 4,6739 4,6359 4,6247 4,5921 4,4944 4,3152 4,0716 3,8114 3,6052 3,5188 3,5737 3,7337 3,9285 4,0824 4,1357 4,0674 3,9081 3,7260 3,5919 3,5413 3,5536 3,5609 3,4836 3,2791 2,9708 2,6321 2,3467 2,1775 2,1413 2,2031 2,3053 2,4058 2,4827 2,5320 2,5797 2,6698 2,8244 3,0295 3,2585 3,5018 3,7631 4,0262 4,2388 4,3404 4,3063 4,1642 3,9710 3,7798 3,6295 3,5442 3,5262 3,5675 3,6729 3,8461 4,0482 4,1977 4,2319 4,1636 4,0604 3,9846 3,9711 4,0452 4,2268 4,5042 4,8060 5,0097 4,9944 4,7117 4,2164 3,6344 3,1092 2,7585 2,6354 2,7140 2,9132 3,1460 3,3665 3,5882 3,8587 4,2062 4,6133 5,0362 5,4282 5,7396 5,9265 5,9810 5,9442 5,8889 5,8826 5,9527 6,0721 6,1784 6,2133 6,1475 5,9847 5,7576 5,5187 5,3262 5,2253 5,2323 5,3334 5,4825 5,5988 5,5962 5,4209 5,0591 4,5460 3,9738 3,4595 3,0967 2,9317 2,9517 3,0890 3,2519 3,3547 3,3363 3,1856 2,9608 2,7678 2,6948 2,7590 2,9105 3,0767 3,2084 3,3012 3,3820 3,4791 3,6166 3,8140 4,0602 4,3078 4,5174 4,6879 4,8386 4,9886 5,1506 5,3183 5,4547 5,5113 5,4568 5,2935 5,0657 4,8530 4,7387 4,7789 4,9847 5,3128 5,6759 5,9914 6,2284 6,4056 6,5552 6,6952 6,8176 6,8893 6,8657 6,7198 6,4816 6,2407 6,0837 6,0262 6,0239 6,0422 6,0863 6,1737 6,3126 6,5006 6,7079 6,8644 6,8873 6,7235 6,3725 5,8813 5,3203 4,7603 4,2750 3,9397 3,8080 3,8946 4,1823 4,6294 5,1654 5,6929 6,1126 6,3629 6,4490 6,4385 6,4299 6,5143 6,7387 7,0888 7,5107 7,9364 8,2885 8,4845 8,4667 8,2378 7,8606 7,4248 7,0188 6,7109
Fz    0,5760 0,8080 1,0185 1,2238 1,4113 1,5536 1,6261 1,6003 1,4488 1,1747 0,8306 0,5038 0,2661 0,1304 0,0561 -0,0161 -0,1426 -0,3459 -0,5744 -0,7378 -0,8001 -0,8034 -0,8062 -0,8361 -0,8940 -0,9739 -1,0657 -1,1455 -1,1705 -1,0999 -0,9294 -0,7024 -0,4827 -0,3104 -0,1854 -0,0837 0,0239 0,1585 0,3178 0,4748 0,5964 0,6587 0,6421 0,5254 0,3005 -0,0125 -0,3752 -0,7555 -1,1418 -1,5354 -1,9261 -2,2787 -2,5538 -2,7362 -2,8290 -2,8356 -2,7606 -2,6156 -2,4135 -2,1684 -1,9100 -1,6839 -1,5319 -1,4743 -1,5037 -1,5894 -1,6890 -1,7602 -1,7734 -1,7282 -1,6580 -1,6157 -1,6444 -1,7484 -1,8911 -2,0200 -2,0893 -2,0645 -1,9259 -1,6818 -1,3710 -1,0517 -0,7836 -0,6041 -0,5132 -0,4869 -0,5021 -0,5475 -0,6205 -0,7216 -0,8510 -1,0095 -1,2011 -1,4246 -1,6564 -1,8520 -1,9701 -1,9955 -1,9431 -1,8400 -1,7034 -1,5351 -1,3344 -1,1166 -0,9156 -0,7612 -0,6526 -0,5598 -0,4504 -0,3105 -0,1516 -0,0075 0,0844 0,1059 0,0681 0,0078 -0,0266 -0,0009 0,0821 0,1845 0,2615 0,2818 0,2292 0,1094 -0,0464 -0,2004 -0,3289 -0,4250 -0,4927 -0,5430 -0,5913 -0,6552 -0,7531 -0,8981 -1,0904 -1,3122 -1,5273 -1,6958 -1,7937 -1,8170 -1,7778 -1,7076 -1,6537 -1,6541 -1,7113 -1,7912 -1,8529 -1,8816 -1,8919 -1,9000 -1,9034 -1,8858 -1,8360 -1,7596 -1,6692 -1,5600 -1,3981 -1,1417 -0,7780 -0,3391 0,1147 0,5217 0,8385 1,0474 1,1525 1,1660 1,0973 0,9594 0,7841 0,6261 0,5424 0,5657 0,6933 0,8901 1,1031 1,2914 1,4498 1,6000 1,7599 1,9293 2,0952 2,2421 2,3635 2,4685 2,5673 2,6581 2,7363 2,8071 2,8787 2,9447 2,9811 2,9633 2,8885 2,7831 2,6855 2,6245 2,6146 2,6560 2,7288 2,8012 2,8515 2,8779 2,8829 2,8554 2,7740 2,6269 2,4305 2,2330 2,0986 2,0762 2,1732 2,3557 2,5696 2,7597 2,8820 2,9119 2,8465 2,7026 2,5181 2,3466 2,2357 2,2047 2,2355 2,2825 2,2990 2,2643 2,1946 2,1307 2,1131 2,1592 2,2519 2,3473 2,3973 2,3777 2,2983 2,1860 2,0637 1,9494 1,8649 1,8282 1,8353 1,8589 1,8709 1,8641 1,8500 1,8473 1,8776 1,9581 2,0858 2,2292 2,3374 2,3624 2,2825 2,1107 1,8869 1,6655 1,5002 1,4249 1,4415 1,5228 1,6255 1,7021 1,7119 1,6304 1,4589 1,2245 0,9636 0,7027 0,4541 0,2236 0,0134 -0,1829 -0,3789 -0,5855 -0,7983 -0,9922 -1,1352 -1,2120 -1,2304 -1,2079 -1,1613 -1,1105 -1,0824 -1,0958 -1,1401 -1,1722 -1,1409 -1,0173 -0,8043 -0,5242 -0,2039 0,1295 0,4434 0,6976 0,8554 0,9021 0,8574 0,7643 0,6645 0,5805 0,5088 0,4173 0,2587 0,0017 -0,3380 -0,6937 -0,9758 -1,1128 -1,0764 -0,8805 -0,5635 -0,1715 0,2457 0,6335 0,9438 1,1542 1,2731 1,3197 1,3006 1,2092 1,0441 0,8197 0,5622 0,3085 0,1078 0,0034 0,0029 0,0782 0,1921 0,3123 0,4035 0,4279 0,3673 0,2346 0,0658 -0,0941 -0,2019 -0,2248 -0,1444 0,0319 0,2630 0,4911 0,6728 0,7902 0,8394 0,8258 0,7733 0,7303 0,7501 0,8583 1,0425 1,2703 1,5056 1,7169 1,8842 2,0034 2,0801 2,1248 2,1550 2,1895 2,2309 2,2615 2,2593 2,2081 2,1017 1,9508 1,7816 1,6227 1,4961 1,4148 1,3786 1,3670 1,3403 1,2607 1,1195 0,9447 0,7831 0,6798 0,6701 0,7762 0,9966 1,2993 1,6369 1,9666 2,2511 2,4567 2,5683 2,6029 2,5983 2,5859 2,5698 2,5380 2,4849 2,4186 2,3512 2,2887 2,2311 2,1799 2,1395 2,1127 2,0962 2,0732 2,0149 1,8956 1,7120 1,4852 1,2509 1,0500 0,9194 0,8794 0,9225 1,0199 1,1377 1,2441 1,3130 1,3286 1,2883 1,2060 1,1073 1,0086 0,9007 0,7589 0,5661 0,3280 0,0709 -0,1680 -0,3533 -0,4692 -0,5312 -0,5735 -0,6186 -0,6659 -0,6993 -0,6950 -0,6306 -0,4976 -0,3036 -0,0633 0,2095 0,5022 0,7961 1,0535 1,2225 1,2671 1,1932 1,0408 0,8574 0,6848 0,5525 0,4713 0,4345 0,4311 0,4529 0,4944 0,5549 0,6423 0,7670 0,9263 1,1006 1,2692 1,4238 1,5614 1,6702 1,7229 1,6834 1,5301 1,2789 0,9794 0,6885 0,4535 0,3100 0,2757 0,3419 0,4757 0,6352 0,7914 0,9402 1,0975 1,2800 1,4851 1,6891 1,8637 1,9935 2,0809 2,1386 2,1782 2,2000 2,1898 2,1281 2,0066 1,8385 1,6537 1,4811 1,3366 1,2271 1,1586 1,1412 1,1854 1,2919 1,4472 1,6205 1,7637 1,8310 1,8034 1,6901 1,5187 1,3323 1,1807 1,1052 1,1222 1,2072 1,3028 1,3500 1,3092 1,1636 0,9282 0,6588 0,4344 0,3165 0,3228 0,4299 0,5914 0,7604 0,9106 1,0451 1,1845 1,3459 1,5312 1,7275 1,9149 2,0763 2,2067 2,3151 2,4136 2,5063 2,5896 2,6527 2,6793 2,6593 2,6014 2,5354 2,4991 2,5215 2,6103 2,7524 2,9183 3,0740 3,1996 3,2995 3,3930 3,4951 3,6031 3,6956 3,7446 3,7296 3,6464 3,5130 3,3613 3,2106 3,0528 2,8722 2,6713 2,4717 2,2984 2,1697 2,0914 2,0458 1,9921 1,8832 1,6836 1,3845 1,0078 0,5947 0,1876 -0,1750 -0,4586 -0,6358 -0,6877 -0,6056 -0,3995 -0,1068 0,2112 0,4944 0,7159 0,8892 1,0488 1,2260 1,4351 1,6654 1,8892 2,0819 2,2307 2,3260 2,3555 2,3156 2,2293 2,1412 2,0878 2,0798 2,1142
F3    0,0518 0,2888 0,5534 0,8874 1,2664 1,6254 1,8877 1,9852 1,8859 1,6151 1,2532 0,9121 0,6760 0,5450 0,4606 0,3828 0,3120 0,2587 0,2366 0,2521 0,2712 0,2277 0,0727 -0,2014 -0,5683 -0,9792 -1,3840 -1,7449 -2,0191 -2,1569 -2,1367 -1,9824 -1,7399 -1,4468 -1,1231 -0,7790 -0,4226 -0,0638 0,2774 0,5759 0,8162 0,9822 1,0340 0,9239 0,6391 0,2106 -0,3126 -0,8821 -1,4504 -1,9739 -2,4101 -2,7164 -2,8746 -2,9096 -2,8592 -2,7425 -2,5685 -2,3473 -2,0830 -1,7777 -1,4530 -1,1542 -0,9292 -0,8099 -0,8039 -0,8939 -1,0461 -1,2177 -1,3700 -1,4830 -1,5587 -1,6140 -1,6693 -1,7292 -1,7765 -1,7905 -1,7557 -1,6515 -1,4564 -1,1673 -0,8100 -0,4412 -0,1341 0,0613 0,1473 0,1590 0,1304 0,0824 0,0237 -0,0455 -0,1294 -0,2381 -0,3858 -0,5786 -0,8015 -1,0188 -1,1858 -1,2678 -1,2557 -1,1668 -1,0288 -0,8585 -0,6630 -0,4643 -0,3054 -0,2233 -0,2183 -0,2495 -0,2614 -0,2166 -0,1149 0,0117 0,1227 0,1933 0,2274 0,2584 0,3327 0,4797 0,6910 0,9247 1,1292 1,2592 1,2771 1,1673 0,9550 0,6971 0,4516 0,2613 0,1561 0,1510 0,2387 0,3850 0,5351 0,6299 0,6223 0,4936 0,2658 -0,0066 -0,2598 -0,4388 -0,5151 -0,5080 -0,4795 -0,4950 -0,5832 -0,7237 -0,8675 -0,9725 -1,0293 -1,0609 -1,0962 -1,1406 -1,1729 -1,1682 -1,1176 -1,0223 -0,8734 -0,6502 -0,3409 0,0359 0,4331 0,7947 1,0791 1,2679 1,3595 1,3611 1,2939 1,1940 1,0995 1,0414 1,0452 1,1236 1,2622 1,4222 1,5620 1,6614 1,7338 1,8172 1,9449 2,1174 2,2981 2,4378 2,5078 2,5130 2,4744 2,4100 2,3366 2,2795 2,2742 2,3412 2,4580 2,5725 2,6462 2,6722 2,6616 2,6351 2,6232 2,6515 2,7164 2,7886 2,8425 2,8706 2,8735 2,8465 2,7755 2,6485 2,4754 2,2967 2,1731 2,1609 2,2837 2,5182 2,8072 3,0850 3,3010 3,4282 3,4559 3,3851 3,2426 3,0826 2,9586 2,8953 2,8826 2,8883 2,8779 2,8350 2,7724 2,7207 2,7074 2,7450 2,8279 2,9312 3,0235 3,0866 3,1201 3,1250 3,0930 3,0215 2,9357 2,8774 2,8669 2,8855 2,9014 2,9016 2,8919 2,8871 2,9099 2,9800 3,0952 3,2256 3,3242 3,3537 3,3096 3,2173 3,1079 3,0062 2,9316 2,8965 2,8985 2,9190 2,9270 2,8870 2,7710 2,5739 2,3230 2,0703 1,8618 1,7138 1,6186 1,5565 1,4941 1,3858 1,1916 0,8988 0,5336 0,1636 -0,1219 -0,2624 -0,2600 -0,1562 0,0049 0,1819 0,3299 0,4143 0,4360 0,4375 0,4777 0,5955 0,7940 1,0535 1,3488 1,6522 1,9236 2,1068 2,1487 2,0345 1,8075 1,5506 1,3415 1,2168 1,1631 1,1296 1,0523 0,8831 0,6195 0,3140 0,0518 -0,0864 -0,0588 0,1279 0,4412 0,8431 1,2836 1,6950 2,0142 2,2100 2,2873 2,2663 2,1633 1,9892 1,7610 1,5078 1,2661 1,0729 0,9561 0,9224 0,9566 1,0315 1,1170 1,1863 1,2194 1,2031 1,1398 1,0507 0,9665 0,9222 0,9506 1,0703 1,2792 1,5548 1,8533 2,1177 2,3042 2,4028 2,4288 2,4076 2,3757 2,3822 2,4652 2,6197 2,7947 2,9247 2,9677 2,9239 2,8275 2,7192 2,6223 2,5476 2,5118 2,5362 2,6236 2,7510 2,8819 2,9752 2,9962 2,9369 2,8202 2,6815 2,5548 2,4710 2,4494 2,4807 2,5247 2,5337 2,4795 2,3581 2,1817 1,9761 1,7898 1,6904 1,7312 1,9129 2,1886 2,4985 2,7879 3,0115 3,1476 3,2067 3,2220 3,2253 3,2240 3,2023 3,1476 3,0692 2,9889 2,9216 2,8729 2,8515 2,8698 2,9342 3,0354 3,1411 3,1978 3,1580 3,0093 2,7733 2,4864 2,1923 1,9419 1,7813 1,7271 1,7616 1,8525 1,9717 2,0944 2,1898 2,2185 2,1529 1,9983 1,7865 1,5529 1,3235 1,1109 0,9211 0,7658 0,6632 0,6240 0,6328 0,6449 0,6137 0,5222 0,3888 0,2507 0,1511 0,1270 0,1942 0,3463 0,5646 0,8242 1,1015 1,3769 1,6230 1,8023 1,8903 1,8959 1,8511 1,7889 1,7367 1,7167 1,7382 1,7909 1,8493 1,8838 1,8802 1,8556 1,8451 1,8714 1,9331 2,0133 2,0943 2,1646 2,2113 2,2151 2,1546 2,0133 1,7944 1,5290 1,2608 1,0240 0,8402 0,7282 0,7047 0,7729 0,9157 1,1039 1,3148 1,5456 1,8132 2,1374 2,5150 2,9067 3,2580 3,5336 3,7328 3,8748 3,9741 4,0206 3,9763 3,8051 3,5152 3,1660 2,8356 2,5774 2,3997 2,2765 2,1751 2,0845 2,0245 2,0276 2,1160 2,2893 2,5218 2,7710 2,9951 3,1597 3,2444 3,2583 3,2396 3,2273 3,2283 3,2116 3,1335 2,9664 2,7091 2,3824 2,0247 1,6905 1,4381 1,3090 1,3141 1,4340 1,6231 1,8221 1,9844 2,0977 2,1802 2,2595 2,3595 2,4970 2,6758 2,8831 3,0999 3,3108 3,4959 3,6256 3,6797 3,6639 3,6024 3,5201 3,4360 3,3652 3,3250 3,3336 3,4006 3,5162 3,6513 3,7700 3,8522 3,9021 3,9346 3,9598 3,9759 3,9736 3,9467 3,8968 3,8321 3,7674 3,7161 3,6695 3,5896 3,4328 3,1842 2,8705 2,5424 2,2429 1,9912 1,7819 1,5961 1,4170 1,2403 1,0723 0,9197 0,7796 0,6382 0,4765 0,2825 0,0667 -0,1302 -0,2569 -0,2839 -0,2124 -0,0658 0,1221 0,3242 0,5344 0,7627 1,0202 1,3058 1,5971 1,8614 2,0779 2,2461 2,3715 2,4495 2,4711 2,4439 2,3973 2,3611 2,3479 2,3616
F7    0,8551 1,0605 1,0474 0,8701 0,6436 0,4643 0,3892 0,4326 0,5440 0,6375 0,6652 0,6151 0,4743 0,2572 0,0241 -0,1751 -0,3422 -0,5057 -0,6780 -0,8268 -0,8912 -0,8441 -0,7203 -0,5745 -0,4425 -0,3258 -0,1775 0,0752 0,4566 0,9090 1,3340 1,6309 1,7169 1,5586 1,1818 0,6711 0,1610 -0,2197 -0,4205 -0,4905 -0,5343 -0,6298 -0,7813 -0,9515 -1,1092 -1,2413 -1,3500 -1,4406 -1,5006 -1,5024 -1,4377 -1,3235 -1,1601 -0,9243 -0,6132 -0,2687 0,0344 0,2208 0,2483 0,1193 -0,1375 -0,4820 -0,8588 -1,2105 -1,5023 -1,7163 -1,8273 -1,7991 -1,6035 -1,2624 -0,8653 -0,5158 -0,2752 -0,1675 -0,1912 -0,3020 -0,4200 -0,4628 -0,3736 -0,1415 0,1885 0,5342 0,8171 0,9968 1,0735 1,0613 0,9623 0,7722 0,5078 0,2121 -0,0675 -0,3028 -0,4961 -0,6701 -0,8384 -0,9912 -1,1055 -1,1491 -1,0779 -0,8585 -0,5063 -0,0952 0,2806 0,5605 0,7330 0,8216 0,8677 0,9118 0,9667 1,0119 1,0174 0,9708 0,8854 0,7868 0,6967 0,6328 0,6121 0,6425 0,7119 0,7866 0,8297 0,8277 0,8020 0,7975 0,8575 0,9934 1,1752 1,3501 1,4690 1,5038 1,4524 1,3350 1,1807 1,0123 0,8416 0,6785 0,5440 0,4607 0,4270 0,4024 0,3201 0,1189 -0,2221 -0,6620 -1,1110 -1,4761 -1,7096 -1,8259 -1,8685 -1,8580 -1,7790 -1,6226 -1,4168 -1,2094 -1,0390 -0,9165 -0,8197 -0,7156 -0,5881 -0,4399 -0,2758 -0,0977 0,0815 0,2266 0,2978 0,2699 0,1239 -0,1515 -0,5301 -0,9387 -1,2885 -1,5133 -1,5889 -1,5397 -1,4291 -1,3256 -1,2600 -1,2123 -1,1452 -1,0389 -0,8913 -0,7023 -0,4686 -0,1912 0,1073 0,3788 0,5810 0,7008 0,7351 0,6804 0,5554 0,4032 0,2632 0,1637 0,1251 0,1470 0,2007 0,2505 0,2830 0,3114 0,3500 0,3854 0,3757 0,2791 0,0815 -0,1984 -0,5133 -0,7937 -0,9751 -1,0376 -1,0179 -0,9790 -0,9685 -1,0019 -1,0624 -1,1119 -1,1163 -1,0691 -0,9859 -0,8765 -0,7286 -0,5217 -0,2596 0,0185 0,2631 0,4447 0,5584 0,6092 0,5972 0,5154 0,3596 0,1380 -0,1322 -0,4338 -0,7491 -1,0531 -1,3142 -1,5018 -1,5961 -1,5966 -1,5246 -1,4177 -1,3220 -1,2739 -1,2765 -1,3026 -1,3189 -1,3006 -1,2361 -1,1393 -1,0562 -1,0447 -1,1362 -1,3160 -1,5343 -1,7307 -1,8616 -1,9162 -1,9161 -1,9036 -1,9212 -1,9902 -2,1102 -2,2807 -2,5115 -2,8077 -3,1455 -3,4693 -3,7166 -3,8447 -3,8437 -3,7403 -3,5966 -3,4896 -3,4690 -3,5383 -3,6715 -3,8285 -3,9654 -4,0565 -4,1111 -4,1657 -4,2563 -4,3944 -4,5632 -4,7288 -4,8579 -4,9333 -4,9565 -4,9364 -4,8744 -4,7612 -4,5862 -4,3464 -4,0531 -3,7396 -3,4531 -3,2362 -3,1166 -3,1087 -3,2104 -3,4021 -3,6579 -3,9580 -4,2834 -4,5988 -4,8589 -5,0357 -5,1278 -5,1450 -5,0977 -5,0033 -4,8909 -4,7896 -4,7124 -4,6508 -4,5816 -4,4901 -4,3902 -4,3106 -4,2619 -4,2297 -4,1912 -4,1211 -3,9846 -3,7597 -3,4751 -3,2013 -3,0025 -2,9131 -2,9488 -3,1138 -3,3895 -3,7353 -4,1064 -4,4642 -4,7674 -4,9593 -4,9875 -4,8534 -4,6277 -4,4036 -4,2435 -4,1708 -4,1910 -4,3015 -4,4850 -4,7090 -4,9391 -5,1472 -5,3055 -5,3790 -5,3318 -5,1470 -4,8488 -4,5069 -4,2069 -4,0039 -3,9028 -3,8746 -3,8874 -3,9291 -4,0035 -4,1057 -4,2113 -4,2961 -4,3521 -4,3835 -4,4033 -4,4329 -4,4937 -4,5995 -4,7515 -4,9303 -5,0931 -5,1905 -5,1918 -5,0883 -4,8767 -4,5574 -4,1469 -3,6835 -3,2242 -2,8400 -2,6022 -2,5588 -2,7066 -2,9815 -3,2870 -3,5474 -3,7417 -3,8893 -4,0157 -4,1381 -4,2702 -4,4214 -4,5858 -4,7401 -4,8535 -4,8974 -4,8578 -4,7536 -4,6379 -4,5679 -4,5708 -4,6328 -4,7129 -4,7683 -4,7803 -4,7672 -4,7656 -4,7980 -4,8669 -4,9711 -5,1100 -5,2721 -5,4312 -5,5593 -5,6421 -5,6869 -5,7219 -5,7838 -5,8933 -6,0346 -6,1536 -6,1786 -6,0594 -5,8049 -5,4849 -5,1873 -4,9766 -4,8911 -4,9494 -5,1376 -5,4046 -5,6838 -5,9198 -6,0831 -6,1695 -6,1858 -6,1371 -6,0286 -5,8774 -5,7150 -5,5730 -5,4675 -5,3932 -5,3322 -5,2706 -5,2145 -5,1861 -5,1978 -5,2401 -5,3040 -5,3948 -5,5042 -5,5941 -5,6260 -5,5906 -5,5016 -5,3767 -5,2341 -5,1004 -5,0130 -5,0085 -5,1047 -5,2848 -5,4988 -5,6899 -5,8230 -5,8891 -5,8907 -5,8337 -5,7264 -5,5850 -5,4367 -5,3111 -5,2198 -5,1440 -5,0459 -4,8936 -4,6796 -4,4241 -4,1698 -3,9705 -3,8672 -3,8582 -3,9028 -3,9725 -4,0842 -4,2669 -4,5163 -4,7879 -5,0128 -5,1153 -5,0431 -4,7992 -4,4472 -4,0751 -3,7497 -3,5079 -3,3841 -3,4143 -3,6091 -3,9389 -4,3446 -4,7589 -5,1215 -5,3809 -5,4916 -5,4306 -5,2205 -4,9332 -4,6667 -4,5036 -4,4672 -4,5062 -4,5268 -4,4562 -4,2901 -4,0849 -3,9091 -3,8030 -3,7617 -3,7474 -3,7252 -3,6904 -3,6632 -3,6740 -3,7519 -3,9057 -4,1060 -4,2919 -4,3941 -4,3640 -4,1996 -3,9460 -3,6756 -3,4623 -3,3526 -3,3366 -3,3556 -3,3463 -3,2710 -3,1181 -2,9004 -2,6533 -2,4191 -2,2290 -2,0954 -2,0153 -1,9775 -1,9750 -2,0055 -2,0597 -2,1211 -2,1817 -2,2541 -2,3673 -2,5362 -2,7347 -2,9154 -3,0607 -3,1937 -3,3317 -3,4597 -3,5622 -3,6595 -3,8029 -4,0402 -4,3798 -4,7785 -5,1663 -5,4803 -5,6823 -5,7610 -5,7293 -5,6080 -5,4005 -5,0909 -4,6839 -4,2417 -3,8631 -3,6245 -3,5429 -3,5805 -3,6735 -3,7539 -3,7660 -3,6859 -3,5252 -3,3125 -3,0774 -2,8504 -2,6660 -2,5589 -2,5560 -2,6697 -2,8926 -3,1948
