Fp1   -0,1879 -0,0528 0,0867 0,2367 0,4033 0,5917 0,8007 1,0140 1,2001 1,3234 1,3600 1,3082 1,1901 1,0390 0,8826 0,7323 0,5817 0,4140 0,2141 -0,0184 -0,2687 -0,5213 -0,7688 -1,0041 -1,2113 -1,3728 -1,4810 -1,5375 -1,5488 -1,5201 -1,4497 -1,3313 -1,1647 -0,9615 -0,7408 -0,5219 -0,3222 -0,1536 -0,0176 0,0941 0,1898 0,2721 0,3410 0,4002 0,4542 0,5062 0,5600 0,6162 0,6630 0,6815 0,6641 0,6168 0,5486 0,4692 0,3926 0,3352 0,3128 0,3429 0,4411 0,6086 0,8236 1,0457 1,2319 1,3535 1,4004 1,3717 1,2661 1,0831 0,8342 0,5511 0,2794 0,0604 -0,0834 -0,1483 -0,1399 -0,0693 0,0488 0,2039 0,4000 0,6470 0,9444 1,2722 1,5929 1,8574 2,0157 2,0337 1,9048 1,6467 1,2886 0,8527 0,3400 -0,2628 -0,9603 -1,7355 -2,5509 -3,3548 -4,0919 -4,7166 -5,2056 -5,5615 -5,8012 -5,9365 -5,9590 -5,8419 -5,5627 -5,1277 -4,5717 -3,9368 -3,2587 -2,5684 -1,8901 -1,2301 -0,5763 0,0819 0,7351 1,3532 1,9065 2,3894 2,8257 3,2526 3,6950 4,1460 4,5681 4,9203 5,1838 5,3646 5,4785 5,5377 5,5487 5,5101 5,4121 5,2454 5,0136 4,7335 4,4278 4,1204 3,8344 3,5858 3,3777 3,2056 3,0681 2,9707 2,9185 2,9098 2,9362 2,9857 3,0474 3,1122 3,1712 3,2170 3,2414 3,2304 3,1656 3,0337 2,8365 2,5968 2,3515 2,1325 1,9562 1,8278 1,7455 1,6956 1,6534 1,5973 1,5225 1,4337 1,3282 1,1941 1,0182 0,7886 0,4928 0,1225 -0,3146 -0,7881 -1,2484 -1,6392 -1,9239 -2,1064 -2,2226 -2,3045 -2,3575 -2,3684 -2,3271 -2,2370 -2,1132 -1,9782 -1,8600 -1,7902 -1,7982 -1,9044 -2,1135 -2,4181 -2,8003 -3,2210 -3,6155 -3,9199 -4,1036 -4,1771 -4,1780 -4,1506 -4,1273 -4,1198 -4,1226 -4,1254 -4,1203 -4,1025 -4,0701 -4,0266 -3,9832 -3,9552 -3,9497 -3,9557 -3,9468 -3,8976 -3,7954 -3,6317 -3,3894 -3,0561 -2,6504 -2,2210 -1,8148 -1,4529 -1,1343 -0,8502 -0,5961 -0,3793 -0,2109 -0,0938 -0,0222 0,0105 0,0105 -0,0137 -0,0498 -0,0855 -0,1118 -0,1245 -0,1283 -0,1365 -0,1658 -0,2307 -0,3420 -0,5063 -0,7213 -0,9738 -1,2446 -1,5169 -1,7794 -2,0223 -2,2361 -2,4162 -2,5596 -2,6551 -2,6869 -2,6562 -2,5920 -2,5328 -2,4995 -2,4938 -2,5111 -2,5455 -2,5907 -2,6426 -2,7002 -2,7584 -2,8037 -2,8212 -2,8102 -2,7885 -2,7813 -2,8051 -2,8606 -2,9340 -3,0027 -3,0379 -3,0083 -2,8874 -2,6631 -2,3454 -1,9683 -1,5769 -1,2084 -0,8843 -0,6162 -0,4080 -0,2569 -0,1568 -0,0989 -0,0707 -0,0619 -0,0672 -0,0798 -0,0847 -0,0604 0,0047 0,0997 0,2012 0,2908 0,3568 0,3899 0,3877 0,3608 0,3321 0,3248 0,3484 0,3984 0,4662 0,5450 0,6236 0,6852 0,7198 0,7317 0,7326 0,7321 0,7374 0,7550 0,7855 0,8182 0,8394 0,8445 0,8381 0,8257 0,8029 0,7518 0,6498 0,4854 0,2706 0,0365 -0,1856 -0,3843 -0,5664 -0,7355 -0,8784 -0,9727 -0,9996 -0,9483 -0,8168 -0,6125 -0,3477 -0,0312 0,3314 0,7288 1,1453 1,5701 1,9974 2,4165 2,8094 3,1584 3,4506 3,6788 3,8446 3,9636 4,0634 4,1694 4,2969 4,4589 4,6715 4,9360 5,2208 5,4723 5,6487 5,7398 5,7592 5,7242 5,6407 5,5054 5,3216 5,1102 4,9083 4,7554 4,6745 4,6611 4,6912 4,7382 4,7770 4,7822 4,7354 4,6343 4,4931 4,3329 4,1703 4,0106 3,8515 3,6932 3,5426 3,4092 3,3021 3,2339 3,2238 3,2889 3,4382 3,6733 3,9848 4,3499 4,7397 5,1276 5,4871 5,7918 6,0215 6,1690 6,2401 6,2492 6,2135 6,1494 6,0711 5,9905 5,9158 5,8466 5,7747 5,6921 5,5971 5,4932 5,3868 5,2842 5,1888 5,1001 5,0154 4,9379 4,8846 4,8797 4,9364 5,0459 5,1856 5,3370 5,4903 5,6356 5,7618 5,8605 5,9289 5,9711 5,9968 6,0184 6,0460 6,0847 6,1350 6,1917 6,2431 6,2775 6,2874 6,2711 6,2345 6,1916 6,1637 6,1740 6,2340 6,3311 6,4381 6,5364 6,6228 6,6970 6,7565 6,8028 6,8436 6,8833 6,9170 6,9314 6,9131 6,8529 6,7435 6,5789 6,3592 6,0915 5,7866 5,4580 5,1227 4,8003 4,5159 4,3021 4,1848 4,1598 4,1858 4,2026 4,1594 4,0337 3,8380 3,6159 3,4257 3,3215 3,3375 3,4761 3,7089 3,9883 4,2624 4,4887 4,6404 4,7037 4,6736 4,5625 4,4032 4,2360 4,0944 4,0022 3,9763 4,0253 4,1454 4,3205 4,5271 4,7419 4,9464 5,1281 5,2815 5,4119 5,5366 5,6789 5,8560 6,0716 6,3171 6,5715 6,8003 6,9660 7,0454 7,0405 6,9778 6,8979 6,8370 6,8124 6,8224 6,8518 6,8730 6,8466 6,7373 6,5368 6,2698 5,9746 5,6759 5,3748 5,0620 4,7416 4,4391 4,1851 3,9939 3,8548 3,7375 3,6058 3,4357 3,2259 2,9951 2,7677 2,5556 2,3543 2,1554 1,9552 1,7528 1,5491 1,3525 1,1797 1,0478 0,9684 0,9488 0,9922 1,0953 1,2452 1,4219 1,6079 1,7912 1,9605 2,1004 2,1933 2,2203 2,1639 2,0161 1,7868 1,5032 1,2039 0,9294 0,7113 0,5651 0,4877 0,4563 0,4341 0,3818 0,2670 0,0689 -0,2161 -0,5731 -0,9768 -1,4017 -1,8245 -2,2244 -2,5897 -2,9226 -3,2332 -3,5248 -3,7862 -3,9942 -4,1199 -4,1407 -4,0554 -3,8866 -3,6672 -3,4302 -3,2039 -3,0063 -2,8416 -2,7103 -2,6180 -2,5647 -2,5297 -2,4779 -2,3874 -2,2663
Fz    0,5022 0,6346 0,7525 0,8407 0,8982 0,9390 0,9822 1,0366 1,0916 1,1223 1,1025 1,0171 0,8696 0,6778 0,4636 0,2428 0,0210 -0,2063 -0,4447 -0,6913 -0,9357 -1,1700 -1,3897 -1,5840 -1,7325 -1,8167 -1,8301 -1,7794 -1,6814 -1,5559 -1,4139 -1,2551 -1,0755 -0,8770 -0,6671 -0,4569 -0,2615 -0,0955 0,0376 0,1491 0,2579 0,3795 0,5214 0,6839 0,8608 1,0419 1,2197 1,3892 1,5378 1,6471 1,7056 1,7136 1,6803 1,6202 1,5499 1,4848 1,4416 1,4401 1,4964 1,6120 1,7717 1,9511 2,1212 2,2544 2,3300 2,3356 2,2644 2,1148 1,8946 1,6261 1,3467 1,0969 0,9053 0,7851 0,7423 0,7789 0,8919 1,0758 1,3263 1,6355 1,9843 2,3432 2,6755 2,9388 3,0923 3,1094 2,9819 2,7145 2,3202 1,8152 1,2128 0,5250 -0,2289 -1,0186 -1,8039 -2,5400 -3,1829 -3,6984 -4,0735 -4,3184 -4,4550 -4,4985 -4,4442 -4,2742 -3,9815 -3,5868 -3,1274 -2,6340 -2,1248 -1,6173 -1,1311 -0,6757 -0,2429 0,1805 0,5973 0,9989 1,3772 1,7392 2,1061 2,5002 2,9308 3,3844 3,8303 4,2392 4,6003 4,9208 5,2138 5,4881 5,7432 5,9662 6,1356 6,2345 6,2607 6,2258 6,1478 6,0478 5,9492 5,8728 5,8273 5,8100 5,8183 5,8536 5,9158 5,9989 6,0929 6,1888 6,2840 6,3809 6,4794 6,5753 6,6626 6,7312 6,7678 6,7650 6,7305 6,6892 6,6734 6,7067 6,7960 6,9327 7,0947 7,2482 7,3583 7,4044 7,3871 7,3175 7,2047 7,0521 6,8596 6,6208 6,3223 5,9496 5,4976 4,9788 4,4259 3,8883 3,4114 3,0159 2,6984 2,4513 2,2766 2,1823 2,1695 2,2264 2,3301 2,4515 2,5588 2,6193 2,6004 2,4754 2,2349 1,8891 1,4659 1,0131 0,5940 0,2640 0,0456 -0,0759 -0,1392 -0,1868 -0,2452 -0,3167 -0,3879 -0,4437 -0,4750 -0,4800 -0,4614 -0,4258 -0,3865 -0,3605 -0,3559 -0,3616 -0,3510 -0,2996 -0,1973 -0,0392 0,1876 0,4985 0,8921 1,3416 1,8113 2,2765 2,7258 3,1526 3,5475 3,8959 4,1825 4,3982 4,5398 4,6101 4,6207 4,5929 4,5536 4,5245 4,5152 4,5224 4,5308 4,5189 4,4689 4,3715 4,2252 4,0318 3,7957 3,5282 3,2509 2,9891 2,7610 2,5741 2,4292 2,3217 2,2443 2,1929 2,1690 2,1674 2,1684 2,1481 2,0949 2,0072 1,8826 1,7176 1,5145 1,2833 1,0387 0,8028 0,6063 0,4824 0,4502 0,5035 0,6139 0,7481 0,8834 1,0124 1,1420 1,2910 1,4849 1,7454 2,0817 2,4825 2,9132 3,3257 3,6786 3,9478 4,1257 4,2198 4,2470 4,2265 4,1780 4,1213 4,0737 4,0481 4,0545 4,1017 4,1966 4,3344 4,4928 4,6437 4,7680 4,8535 4,8917 4,8830 4,8409 4,7871 4,7399 4,7073 4,6916 4,6962 4,7248 4,7733 4,8284 4,8798 4,9283 4,9807 5,0397 5,1019 5,1635 5,2183 5,2532 5,2516 5,2055 5,1185 5,0008 4,8607 4,7000 4,5145 4,3026 4,0738 3,8512 3,6624 3,5211 3,4186 3,3365 3,2622 3,1960 3,1506 3,1479 3,2086 3,3436 3,5542 3,8389 4,1932 4,6047 5,0547 5,5278 6,0136 6,4984 6,9629 7,3880 7,7591 8,0667 8,3113 8,5097 8,6914 8,8830 9,0986 9,3477 9,6393 9,9658 10,2865 10,5421 10,6906 10,7314 10,6963 10,6233 10,5375 10,4497 10,3664 10,2996 10,2678 10,2900 10,3734 10,5053 10,6600 10,8114 10,9366 11,0141 11,0274 10,9688 10,8401 10,6519 10,4212 10,1649 9,8960 9,6252 9,3633 9,1216 8,9119 8,7495 8,6534 8,6390 8,7147 8,8864 9,1546 9,5077 9,9227 10,3697 10,8119 11,2087 11,5251 11,7413 11,8534 11,8664 11,7880 11,6290 11,4097 11,1601 10,9099 10,6780 10,4706 10,2890 10,1325 9,9959 9,8716 9,7557 9,6522 9,5707 9,5209 9,5127 9,5573 9,6617 9,8193 10,0081 10,1984 10,3667 10,5024 10,6024 10,6656 10,6912 10,6784 10,6291 10,5485 10,4452 10,3264 10,1958 10,0557 9,9113 9,7725 9,6531 9,5657 9,5157 9,4999 9,5118 9,5472 9,6075 9,6925 9,7899 9,8799 9,9513 10,0054 10,0466 10,0779 10,1043 10,1330 10,1685 10,2069 10,2366 10,2436 10,2147 10,1340 9,9825 9,7449 9,4150 8,9975 8,5070 7,9673 7,4105 6,8775 6,4160 6,0670 5,8424 5,7154 5,6339 5,5458 5,4176 5,2462 5,0599 4,9056 4,8294 4,8582 4,9884 5,1896 5,4183 5,6300 5,7874 5,8675 5,8607 5,7698 5,6162 5,4387 5,2813 5,1806 5,1607 5,2311 5,3854 5,6016 5,8480 6,0915 6,3056 6,4749 6,5953 6,6728 6,7218 6,7623 6,8146 6,8955 7,0147 7,1726 7,3547 7,5300 7,6646 7,7400 7,7616 7,7559 7,7599 7,8056 7,9071 8,0577 8,2345 8,4035 8,5232 8,5604 8,5089 8,3873 8,2210 8,0260 7,8061 7,5626 7,3086 7,0715 6,8784 6,7398 6,6461 6,5723 6,4885 6,3721 6,2170 6,0342 5,8425 5,6563 5,4821 5,3235 5,1832 5,0599 4,9471 4,8391 4,7376 4,6510 4,5918 4,5716 4,5964 4,6628 4,7558 4,8521 4,9337 4,9939 5,0318 5,0427 5,0179 4,9489 4,8314 4,6693 4,4748 4,2644 4,0574 3,8769 3,7453 3,6742 3,6558 3,6606 3,6441 3,5609 3,3784 3,0833 2,6874 2,2261 1,7411 1,2610 0,7979 0,3553 -0,0668 -0,4713 -0,8612 -1,2314 -1,5627 -1,8269 -1,9972 -2,0622 -2,0370 -1,9572 -1,8582 -1,7615 -1,6762 -1,6020 -1,5304 -1,4527 -1,3671 -1,2742 -1,1657 -1,0264 -0,8522 -0,6604
F3    0,7866 0,9398 1,0644 1,1621 1,2393 1,3035 1,3595 1,4030 1,4183 1,3835 1,2788 1,0980 0,8565 0,5866 0,3222 0,0838 -0,1287 -0,3305 -0,5387 -0,7570 -0,9747 -1,1804 -1,3704 -1,5391 -1,6734 -1,7625 -1,8058 -1,8093 -1,7789 -1,7150 -1,6077 -1,4393 -1,2016 -0,9093 -0,5948 -0,2934 -0,0335 0,1683 0,3101 0,4016 0,4566 0,4866 0,5022 0,5163 0,5414 0,5868 0,6590 0,7542 0,8513 0,9243 0,9624 0,9696 0,9518 0,9151 0,8703 0,8340 0,8253 0,8637 0,9622 1,1187 1,3153 1,5226 1,7069 1,8387 1,8986 1,8758 1,7667 1,5777 1,3296 1,0606 0,8172 0,6392 0,5468 0,5415 0,6133 0,7446 0,9139 1,1075 1,3273 1,5840 1,8821 2,2094 2,5333 2,8054 2,9750 3,0069 2,8914 2,6412 2,2812 1,8356 1,3158 0,7203 0,0489 -0,6842 -1,4461 -2,1883 -2,8594 -3,4213 -3,8603 -4,1858 -4,4171 -4,5667 -4,6251 -4,5610 -4,3455 -3,9802 -3,4976 -2,9400 -2,3451 -1,7475 -1,1752 -0,6366 -0,1186 0,3971 0,9161 1,4255 1,9054 2,3476 2,7634 3,1746 3,5939 4,0102 4,3904 4,7032 4,9415 5,1224 5,2702 5,3988 5,5082 5,5899 5,6309 5,6225 5,5682 5,4828 5,3828 5,2813 5,1916 5,1264 5,0923 5,0906 5,1243 5,1986 5,3126 5,4572 5,6176 5,7804 5,9381 6,0884 6,2269 6,3458 6,4367 6,4918 6,5037 6,4669 6,3838 6,2714 6,1589 6,0740 6,0316 6,0335 6,0689 6,1157 6,1461 6,1389 6,0867 5,9893 5,8443 5,6474 5,3965 5,0880 4,7142 4,2705 3,7667 3,2298 2,6984 2,2136 1,8038 1,4713 1,2006 0,9819 0,8255 0,7492 0,7595 0,8469 0,9922 1,1692 1,3426 1,4688 1,5024 1,4082 1,1772 0,8277 0,3958 -0,0679 -0,4996 -0,8413 -1,0651 -1,1833 -1,2368 -1,2720 -1,3167 -1,3721 -1,4238 -1,4564 -1,4609 -1,4353 -1,3835 -1,3138 -1,2394 -1,1759 -1,1329 -1,1050 -1,0732 -1,0174 -0,9275 -0,7938 -0,5965 -0,3183 0,0315 0,4161 0,7954 1,1461 1,4643 1,7572 2,0301 2,2740 2,4734 2,6246 2,7378 2,8257 2,8959 2,9537 3,0051 3,0550 3,1023 3,1394 3,1541 3,1326 3,0646 2,9459 2,7768 2,5610 2,3100 2,0457 1,7935 1,5714 1,3843 1,2291 1,1012 0,9961 0,9146 0,8682 0,8708 0,9155 0,9657 0,9764 0,9206 0,7954 0,6121 0,3902 0,1520 -0,0856 -0,3102 -0,5050 -0,6441 -0,7043 -0,6816 -0,5974 -0,4882 -0,3887 -0,3172 -0,2676 -0,2125 -0,1151 0,0564 0,3195 0,6731 1,0955 1,5430 1,9646 2,3254 2,6164 2,8443 3,0207 3,1570 3,2608 3,3383 3,3974 3,4454 3,4851 3,5144 3,5306 3,5375 3,5402 3,5363 3,5201 3,4941 3,4669 3,4446 3,4300 3,4293 3,4530 3,5096 3,5998 3,7194 3,8655 4,0371 4,2271 4,4188 4,5937 4,7409 4,8577 4,9438 4,9992 5,0273 5,0319 5,0107 4,9591 4,8794 4,7801 4,6680 4,5404 4,3834 4,1789 3,9211 3,6275 3,3355 3,0844 2,8940 2,7596 2,6690 2,6194 2,6185 2,6776 2,8072 3,0140 3,2959 3,6415 4,0341 4,4549 4,8840 5,3080 5,7247 6,1326 6,5158 6,8472 7,1053 7,2861 7,3998 7,4638 7,5032 7,5498 7,6325 7,7696 7,9748 8,2605 8,6234 9,0269 9,4110 9,7250 9,9490 10,0890 10,1598 10,1730 10,1366 10,0646 9,9831 9,9238 9,9129 9,9567 10,0366 10,1219 10,1861 10,2090 10,1722 10,0646 9,8916 9,6741 9,4389 9,2062 8,9811 8,7601 8,5441 8,3442 8,1743 8,0438 7,9591 7,9261 7,9497 8,0374 8,1997 8,4410 8,7503 9,1059 9,4795 9,8395 10,1544 10,4027 10,5771 10,6819 10,7300 10,7405 10,7316 10,7131 10,6875 10,6532 10,6024 10,5221 10,4045 10,2519 10,0745 9,8866 9,7046 9,5450 9,4209 9,3363 9,2881 9,2752 9,2996 9,3601 9,4461 9,5429 9,6420 9,7421 9,8426 9,9391 10,0225 10,0826 10,1140 10,1213 10,1185 10,1226 10,1452 10,1888 10,2461 10,3035 10,3457 10,3594 10,3354 10,2693 10,1621 10,0270 9,8959 9,8042 9,7647 9,7660 9,7941 9,8434 9,9114 9,9950 10,0923 10,2020 10,3192 10,4314 10,5170 10,5504 10,5103 10,3839 10,1683 9,8726 9,5132 9,1065 8,6666 8,2086 7,7506 7,3176 6,9433 6,6610 6,4824 6,3874 6,3343 6,2804 6,1975 6,0806 5,9522 5,8516 5,8190 5,8823 6,0465 6,2868 6,5559 6,8025 6,9897 7,1006 7,1292 7,0760 6,9568 6,8065 6,6650 6,5613 6,5095 6,5141 6,5738 6,6825 6,8294 6,9997 7,1770 7,3470 7,4993 7,6287 7,7357 7,8283 7,9190 8,0176 8,1262 8,2398 8,3485 8,4375 8,4923 8,5079 8,4937 8,4740 8,4796 8,5330 8,6401 8,7931 8,9728 9,1454 9,2638 9,2878 9,2066 9,0419 8,8284 8,5914 8,3396 8,0761 7,8111 7,5638 7,3489 7,1674 7,0067 6,8444 6,6552 6,4246 6,1587 5,8831 5,6299 5,4174 5,2433 5,0944 4,9564 4,8207 4,6884 4,5708 4,4848 4,4428 4,4483 4,4964 4,5799 4,6910 4,8180 4,9451 5,0584 5,1475 5,2043 5,2211 5,1885 5,0973 4,9447 4,7396 4,4998 4,2457 3,9971 3,7741 3,5971 3,4809 3,4276 3,4216 3,4325 3,4237 3,3609 3,2190 2,9866 2,6690 2,2838 1,8538 1,4020 0,9477 0,5025 0,0694 -0,3522 -0,7563 -1,1231 -1,4195 -1,6075 -1,6628 -1,5921 -1,4329 -1,2321 -1,0273 -0,8423 -0,6871 -0,5623 -0,4674 -0,4069 -0,3824 -0,3801 -0,3750 -0,3502 -0,3096
F7    0,3388 0,3966 0,4512 0,5171 0,6081 0,7310 0,8765 1,0189 1,1253 1,1690 1,1393 1,0440 0,9037 0,7429 0,5811 0,4293 0,2889 0,1535 0,0130 -0,1390 -0,3031 -0,4776 -0,6599 -0,8396 -0,9952 -1,1074 -1,1739 -1,2049 -1,2112 -1,1932 -1,1387 -1,0324 -0,8723 -0,6736 -0,4578 -0,2451 -0,0548 0,0959 0,2001 0,2636 0,2951 0,2951 0,2595 0,1902 0,0980 0,0007 -0,0791 -0,1239 -0,1317 -0,1126 -0,0783 -0,0407 -0,0128 -0,0031 -0,0107 -0,0291 -0,0486 -0,0538 -0,0251 0,0464 0,1481 0,2530 0,3354 0,3836 0,3984 0,3806 0,3224 0,2138 0,0556 -0,1329 -0,3198 -0,4741 -0,5747 -0,6106 -0,5770 -0,4786 -0,3319 -0,1547 0,0496 0,2919 0,5787 0,8970 1,2152 1,4910 1,6772 1,7381 1,6661 1,4821 1,2160 0,8872 0,4958 0,0326 -0,4991 -1,0762 -1,6618 -2,2142 -2,6973 -3,0922 -3,4037 -3,6531 -3,8603 -4,0289 -4,1386 -4,1496 -4,0257 -3,7600 -3,3770 -2,9184 -2,4293 -1,9508 -1,5060 -1,0888 -0,6728 -0,2361 0,2195 0,6692 1,0849 1,4616 1,8242 2,2083 2,6358 3,1009 3,5733 4,0183 4,4140 4,7507 5,0189 5,2049 5,2981 5,2996 5,2190 5,0718 4,8791 4,6623 4,4393 4,2248 4,0299 3,8586 3,7061 3,5677 3,4505 3,3735 3,3566 3,4103 3,5327 3,7111 3,9256 4,1487 4,3490 4,5032 4,5989 4,6266 4,5771 4,4479 4,2514 4,0184 3,7865 3,5777 3,3945 3,2316 3,0815 2,9285 2,7519 2,5441 2,3207 2,1067 1,9162 1,7475 1,5900 1,4252 1,2226 0,9502 0,5982 0,1929 -0,2080 -0,5353 -0,7432 -0,8374 -0,8654 -0,8774 -0,8966 -0,9195 -0,9298 -0,9123 -0,8638 -0,7992 -0,7454 -0,7294 -0,7713 -0,8856 -1,0806 -1,3599 -1,7168 -2,1173 -2,4983 -2,7959 -2,9794 -3,0595 -3,0730 -3,0575 -3,0350 -3,0101 -2,9775 -2,9324 -2,8759 -2,8119 -2,7416 -2,6680 -2,6040 -2,5671 -2,5647 -2,5850 -2,6029 -2,5928 -2,5373 -2,4235 -2,2375 -1,9749 -1,6581 -1,3319 -1,0352 -0,7800 -0,5596 -0,3652 -0,1970 -0,0650 0,0222 0,0678 0,0837 0,0825 0,0746 0,0669 0,0630 0,0652 0,0728 0,0789 0,0704 0,0349 -0,0335 -0,1362 -0,2784 -0,4661 -0,6919 -0,9296 -1,1531 -1,3541 -1,5402 -1,7208 -1,8986 -2,0700 -2,2231 -2,3353 -2,3843 -2,3722 -2,3314 -2,2973 -2,2819 -2,2774 -2,2764 -2,2792 -2,2895 -2,3103 -2,3435 -2,3877 -2,4355 -2,4769 -2,5093 -2,5408 -2,5844 -2,6491 -2,7326 -2,8210 -2,8926 -2,9237 -2,8948 -2,7959 -2,6271 -2,3984 -2,1300 -1,8465 -1,5670 -1,3046 -1,0739 -0,8899 -0,7625 -0,6926 -0,6687 -0,6688 -0,6758 -0,6891 -0,7146 -0,7455 -0,7554 -0,7169 -0,6248 -0,4960 -0,3548 -0,2271 -0,1381 -0,1017 -0,1095 -0,1329 -0,1413 -0,1201 -0,0733 -0,0115 0,0566 0,1208 0,1682 0,1911 0,1935 0,1858 0,1746 0,1588 0,1375 0,1123 0,0839 0,0540 0,0309 0,0224 0,0251 0,0177 -0,0323 -0,1511 -0,3379 -0,5599 -0,7690 -0,9315 -1,0470 -1,1397 -1,2324 -1,3258 -1,3989 -1,4225 -1,3747 -1,2483 -1,0542 -0,8177 -0,5647 -0,3093 -0,0551 0,2000 0,4635 0,7441 1,0425 1,3482 1,6438 1,9077 2,1163 2,2549 2,3301 2,3696 2,4083 2,4766 2,6023 2,8102 3,1038 3,4475 3,7799 4,0485 4,2310 4,3319 4,3677 4,3513 4,2848 4,1684 4,0153 3,8557 3,7245 3,6421 3,6040 3,5917 3,5892 3,5856 3,5686 3,5261 3,4522 3,3525 3,2427 3,1374 3,0372 2,9314 2,8131 2,6887 2,5726 2,4811 2,4308 2,4344 2,4970 2,6195 2,8038 3,0468 3,3364 3,6556 3,9848 4,2983 4,5642 4,7562 4,8658 4,9033 4,8901 4,8508 4,8055 4,7661 4,7380 4,7219 4,7127 4,6989 4,6690 4,6192 4,5569 4,4985 4,4588 4,4405 4,4350 4,4290 4,4133 4,3909 4,3747 4,3751 4,3891 4,4058 4,4192 4,4301 4,4406 4,4504 4,4578 4,4621 4,4662 4,4795 4,5190 4,6045 4,7481 4,9455 5,1702 5,3784 5,5272 5,5936 5,5830 5,5236 5,4530 5,4084 5,4177 5,4835 5,5767 5,6577 5,7061 5,7236 5,7168 5,6915 5,6611 5,6455 5,6580 5,6975 5,7535 5,8143 5,8677 5,8962 5,8800 5,8080 5,6797 5,5015 5,2873 5,0600 4,8476 4,6799 4,5847 4,5744 4,6297 4,7019 4,7364 4,6990 4,5851 4,4150 4,2245 4,0556 3,9476 3,9273 3,9977 4,1374 4,3138 4,4941 4,6513 4,7647 4,8168 4,7937 4,6960 4,5438 4,3680 4,1986 4,0634 3,9871 3,9852 4,0577 4,1898 4,3587 4,5417 4,7216 4,8893 5,0423 5,1827 5,3152 5,4448 5,5733 5,6980 5,8156 5,9237 6,0137 6,0700 6,0802 6,0449 5,9782 5,9015 5,8330 5,7813 5,7464 5,7206 5,6847 5,6102 5,4731 5,2689 5,0163 4,7459 4,4806 4,2211 3,9539 3,6740 3,4004 3,1675 3,0063 2,9257 2,9028 2,8944 2,8628 2,7900 2,6780 2,5408 2,3908 2,2363 2,0878 1,9574 1,8490 1,7575 1,6769 1,6050 1,5425 1,4917 1,4608 1,4654 1,5192 1,6212 1,7562 1,9076 2,0604 2,1972 2,2978 2,3427 2,3146 2,2019 2,0060 1,7454 1,4520 1,1625 0,9080 0,7053 0,5562 0,4523 0,3786 0,3162 0,2485 0,1626 0,0450 -0,1169 -0,3297 -0,5935 -0,9003 -1,2308 -1,5603 -1,8762 -2,1882 -2,5162 -2,8650 -3,2131 -3,5192 -3,7371 -3,8322 -3,7994 -3,6647 -3,4699 -3,2569 -3,0579 -2,8868 -2,7395 -2,6091 -2,4995 -2,4188 -2,3618 -2,3073 -2,2364 -2,1501
