Fp1   1,2974 1,2913 1,3700 1,4833 1,5925 1,6910 1,7831 1,8475 1,8340 1,6978 1,4320 1,0690 0,6661 0,2915 0,0065 -0,1521 -0,1730 -0,0587 0,1826 0,5317 0,9446 1,3454 1,6406 1,7476 1,6206 1,2514 0,6606 -0,0925 -0,9034 -1,6450 -2,1989 -2,4815 -2,4688 -2,2019 -1,7608 -1,2308 -0,6860 -0,2005 0,1324 0,2168 0,0200 -0,3861 -0,8653 -1,2939 -1,6044 -1,7833 -1,8506 -1,8504 -1,8476 -1,9116 -2,0902 -2,3896 -2,7728 -3,1815 -3,5612 -3,8664 -4,0564 -4,0982 -3,9764 -3,7084 -3,3538 -2,9986 -2,7174 -2,5422 -2,4635 -2,4619 -2,5307 -2,6582 -2,8004 -2,8959 -2,9118 -2,8737 -2,8474 -2,8926 -3,0319 -3,2498 -3,5075 -3,7590 -3,9710 -4,1274 -4,2120 -4,2094 -4,1315 -4,0274 -3,9520 -3,9283 -3,9388 -3,9483 -3,9354 -3,9064 -3,8726 -3,8156 -3,6919 -3,4832 -3,2294 -3,0120 -2,9151 -2,9888 -3,2282 -3,5782 -3,9603 -4,3066 -4,5851 -4,8015 -4,9739 -5,1025 -5,1594 -5,1123 -4,9580 -4,7358 -4,5098 -4,3308 -4,2171 -4,1711 -4,1993 -4,3031 -4,4610 -4,6298 -4,7639 -4,8371 -4,8573 -4,8641 -4,9044 -5,0134 -5,2125 -5,5124 -5,9137 -6,3990 -6,9283 -7,4488 -7,9126 -8,2851 -8,5382 -8,6427 -8,5682 -8,2908 -7,8115 -7,1714 -6,4398 -5,6854 -4,9585 -4,2824 -3,6535 -3,0592 -2,5067 -2,0305 -1,6655 -1,4075 -1,1971 -0,9405 -0,5583 -0,0306 0,5943 1,2317 1,7967 2,2237 2,4741 2,5358 2,4148 2,1277 1,7084 1,2284 0,7973 0,5352 0,5425 0,8736 1,5077 2,3358 3,1913 3,9233 4,4741 4,9058 5,3463 5,8894 6,5302 7,1771 7,7098 8,0329 8,1002 7,9157 7,5265 7,0097 6,4553 5,9496 5,5521 5,2706 5,0507 4,8084 4,4987 4,1561 3,8649 3,7002 3,6938 3,8329 4,0846 4,4239 4,8354 5,2901 5,7419 6,1479 6,4770 6,6946 6,7611 6,6543 6,3881 6,0117 5,5994 5,2341 4,9774 4,8419 4,7955 4,7897 4,7832 4,7461 4,6483 4,4580 4,1552 3,7429 3,2494 2,7192 2,2077 1,7913 1,5635 1,5823 1,8210 2,1920 2,6150 3,0492 3,4725 3,8581 4,1691 4,3719 4,4552 4,4287 4,3026 4,0872 3,8154 3,5431 3,3141 3,1315 2,9691 2,8086 2,6605 2,5531 2,5069 2,5146 2,5382 2,5267 2,4380 2,2454 1,9303 1,4854 0,9317 0,3347 -0,2071 -0,6036 -0,8062 -0,8102 -0,6425 -0,3521 0,0042 0,3746 0,7022 0,9095 0,9232 0,7332 0,4161 0,0938 -0,1361 -0,2439 -0,2645 -0,2651 -0,3142 -0,4645 -0,7485 -1,1841 -1,7698 -2,4573 -3,1369 -3,6688 -3,9386 -3,9046 -3,6164 -3,1893 -2,7418 -2,3398 -1,9883 -1,6698 -1,3901 -1,1934 -1,1358 -1,2441 -1,4968 -1,8392 -2,2126 -2,5762 -2,9104 -3,2050 -3,4505 -3,6396 -3,7617 -3,7992 -3,7409 -3,6006 -3,4143 -3,2193 -3,0464 -2,9257 -2,8890 -2,9619 -3,1463 -3,4038 -3,6642 -3,8560 -3,9281 -3,8620 -3,6800 -3,4293 -3,1533 -2,8822 -2,6357 -2,4280 -2,2775 -2,2152 -2,2765 -2,4769 -2,7855 -3,1147 -3,3419 -3,3647 -3,1593 -2,7911 -2,3605 -1,9392 -1,5597 -1,2586 -1,0929 -1,1031 -1,2815 -1,5818 -1,9441 -2,3114 -2,6414 -2,9118 -3,1146 -3,2459 -3,3009 -3,2814 -3,2095 -3,1261 -3,0633 -3,0128 -2,9261 -2,7447 -2,4311 -1,9844 -1,4471 -0,9035 -0,4607 -0,2186 -0,2480 -0,5897 -1,2499 -2,1690 -3,1966 -4,1277 -4,7927 -5,1230 -5,1412 -4,9100 -4,4981 -3,9703 -3,3741 -2,7290 -2,0416 -1,3295 -0,6222 0,0520 0,6590 1,1307 1,3694 1,3022 0,9320 0,3348 -0,3742 -1,0707 -1,6558 -2,0947 -2,4300 -2,7485 -3,1170 -3,5287 -3,9079 -4,1791 -4,3224 -4,3556 -4,2889 -4,1063 -3,7680 -3,2295 -2,4802 -1,5784 -0,6467 0,1695 0,7484 1,0260 1,0103 0,7641 0,3689 -0,1052 -0,6142 -1,1332 -1,6303 -2,0552 -2,3713 -2,5962 -2,7951 -3,0326 -3,3265 -3,6334 -3,8745 -3,9787 -3,9127 -3,6849 -3,3256 -2,8586 -2,2965 -1,6640 -1,0273 -0,4928 -0,1626 -0,0813 -0,2212 -0,5083 -0,8641 -1,2309 -1,5622 -1,8053 -1,9123 -1,8722 -1,7306 -1,5783 -1,5163 -1,6197 -1,9171 -2,3835 -2,9431 -3,4881 -3,9047 -4,0944 -4,0034 -3,6499 -3,1184 -2,5241 -1,9816 -1,5812 -1,3613 -1,2954 -1,3233 -1,4044 -1,5438 -1,7733 -2,1117 -2,5424 -3,0179 -3,4784 -3,8730 -4,1786 -4,3891 -4,4765 -4,3759 -4,0310 -3,4500 -2,7192 -1,9641 -1,2905 -0,7531 -0,3722 -0,1551 -0,0907 -0,1463 -0,2902 -0,5168 -0,8378 -1,2443 -1,6832 -2,0856 -2,4223 -2,7226 -3,0421 -3,4279 -3,9090 -4,4885 -5,1272 -5,7387 -6,2100 -6,4402 -6,3813 -6,0622 -5,5848 -5,0960 -4,7378 -4,5982 -4,6922 -4,9765 -5,3722 -5,7851 -6,1227 -6,3077 -6,2898 -6,0659 -5,6954 -5,2781 -4,8981 -4,5792 -4,2835 -3,9488 -3,5300 -3,0173 -2,4317 -1,8228 -1,2644 -0,8331 -0,5810 -0,5209 -0,6225 -0,8057 -0,9535 -0,9597 -0,7754 -0,4238 0,0104 0,4194 0,7350 0,9598 1,1322 1,2770 1,3968 1,4917 1,5674 1,6147 1,5950 1,4700 1,2538 1,0310 0,9234 1,0382 1,4177 2,0106 2,6943 3,3394 3,8591 4,2048 4,3379 4,2263 3,8708 3,3240 2,6824 2,0525 1,5058 1,0492 0,6435 0,2593 -0,0740 -0,2651 -0,2028 0,1781 0,8487 1,6861 2,5056 3,1062 3,3268 3,0969 2,4552 1,5219 0,4450 -0,6343 -1,5826 -2,2822 -2,6714 -2,7727 -2,6651 -2,4408 -2,1907 -1,9906 -1,8731 -1,8251 -1,8126 -1,8058 -1,7975 -1,8059 -1,8594 -1,9783 -2,1655 -2,4063 -2,6712 -2,9087 -3,0478 -3,0337 -2,8639
Fz    0,6683 0,4367 0,2762 0,1909 0,1760 0,2218 0,3087 0,4004 0,4540 0,4423 0,3654 0,2430 0,1003 -0,0401 -0,1588 -0,2387 -0,2640 -0,2253 -0,1230 0,0354 0,2362 0,4534 0,6482 0,7816 0,8304 0,7899 0,6667 0,4833 0,2844 0,1232 0,0404 0,0541 0,1566 0,3148 0,4794 0,6016 0,6466 0,5967 0,4444 0,1898 -0,1485 -0,5284 -0,8973 -1,2122 -1,4484 -1,5944 -1,6480 -1,6213 -1,5430 -1,4497 -1,3749 -1,3431 -1,3664 -1,4443 -1,5644 -1,7073 -1,8548 -1,9968 -2,1257 -2,2299 -2,2954 -2,3124 -2,2783 -2,2024 -2,1083 -2,0303 -1,9979 -2,0191 -2,0770 -2,1468 -2,2202 -2,3090 -2,4277 -2,5794 -2,7551 -2,9368 -3,1030 -3,2374 -3,3379 -3,4160 -3,4861 -3,5603 -3,6474 -3,7516 -3,8705 -3,9983 -4,1326 -4,2743 -4,4208 -4,5667 -4,7059 -4,8254 -4,9006 -4,9072 -4,8413 -4,7304 -4,6246 -4,5704 -4,5931 -4,6975 -4,8752 -5,1081 -5,3717 -5,6411 -5,8950 -6,1174 -6,3018 -6,4554 -6,5940 -6,7343 -6,8927 -7,0844 -7,3169 -7,5871 -7,8844 -8,1936 -8,4969 -8,7798 -9,0354 -9,2666 -9,4906 -9,7347 -10,0198 -10,3505 -10,7182 -11,1071 -11,4955 -11,8617 -12,1896 -12,4690 -12,6909 -12,8446 -12,9167 -12,8945 -12,7690 -12,5378 -12,2055 -11,7780 -11,2546 -10,6320 -9,9215 -9,1506 -8,3491 -7,5434 -6,7613 -6,0299 -5,3697 -4,7886 -4,2769 -3,8092 -3,3579 -2,9076 -2,4586 -2,0222 -1,6190 -1,2727 -0,9951 -0,7736 -0,5769 -0,3716 -0,1346 0,1446 0,4658 0,8196 1,1957 1,5924 2,0137 2,4569 2,9051 3,3358 3,7364 4,1142 4,4855 4,8522 5,1908 5,4714 5,6768 5,8012 5,8413 5,7993 5,6910 5,5411 5,3721 5,2039 5,0607 4,9631 4,9082 4,8687 4,8219 4,7756 4,7569 4,7859 4,8645 4,9790 5,1085 5,2386 5,3682 5,4988 5,6242 5,7355 5,8297 5,9057 5,9545 5,9571 5,8925 5,7493 5,5385 5,2994 5,0868 4,9425 4,8757 4,8663 4,8826 4,8971 4,8857 4,8246 4,6959 4,4984 4,2542 4,0034 3,7909 3,6564 3,6241 3,6873 3,8061 3,9337 4,0484 4,1612 4,2949 4,4616 4,6513 4,8370 4,9936 5,1070 5,1674 5,1673 5,1125 5,0220 4,9134 4,7930 4,6602 4,5205 4,3930 4,3076 4,2935 4,3648 4,5102 4,6941 4,8709 4,9984 5,0457 4,9948 4,8454 4,6202 4,3612 4,1138 3,9133 3,7782 3,7079 3,6810 3,6678 3,6509 3,6271 3,5888 3,5171 3,3974 3,2399 3,0807 2,9599 2,8969 2,8812 2,8804 2,8543 2,7720 2,6223 2,4107 2,1528 1,8762 1,6147 1,3979 1,2433 1,1585 1,1472 1,2095 1,3349 1,4976 1,6646 1,8074 1,9060 1,9467 1,9213 1,8274 1,6677 1,4498 1,1884 0,9037 0,6182 0,3568 0,1410 -0,0208 -0,1329 -0,2027 -0,2399 -0,2636 -0,2986 -0,3599 -0,4437 -0,5360 -0,6263 -0,7137 -0,8029 -0,8907 -0,9604 -0,9923 -0,9712 -0,8848 -0,7266 -0,5023 -0,2323 0,0476 0,2948 0,4767 0,5799 0,6037 0,5520 0,4351 0,2783 0,1254 0,0292 0,0319 0,1448 0,3420 0,5720 0,7790 0,9198 0,9670 0,9082 0,7509 0,5241 0,2642 0,0014 -0,2411 -0,4401 -0,5736 -0,6289 -0,6054 -0,5061 -0,3299 -0,0792 0,2234 0,5342 0,8074 1,0138 1,1430 1,1971 1,1848 1,1164 0,9975 0,8295 0,6176 0,3774 0,1321 -0,0924 -0,2646 -0,3498 -0,3222 -0,1791 0,0570 0,3469 0,6471 0,9161 1,1217 1,2515 1,3192 1,3530 1,3778 1,4086 1,4546 1,5187 1,5901 1,6469 1,6749 1,6751 1,6537 1,6122 1,5476 1,4507 1,3028 1,0823 0,7782 0,4008 -0,0111 -0,3986 -0,7121 -0,9314 -1,0568 -1,0964 -1,0671 -0,9904 -0,8775 -0,7242 -0,5197 -0,2583 0,0489 0,3700 0,6641 0,8993 1,0600 1,1459 1,1662 1,1327 1,0579 0,9579 0,8464 0,7229 0,5720 0,3763 0,1291 -0,1577 -0,4584 -0,7483 -1,0123 -1,2440 -1,4431 -1,6105 -1,7400 -1,8184 -1,8404 -1,8210 -1,7888 -1,7630 -1,7371 -1,6870 -1,5893 -1,4350 -1,2340 -1,0068 -0,7732 -0,5462 -0,3356 -0,1533 -0,0179 0,0488 0,0315 -0,0702 -0,2393 -0,4442 -0,6468 -0,8130 -0,9157 -0,9408 -0,8974 -0,8191 -0,7503 -0,7297 -0,7826 -0,9138 -1,1009 -1,3032 -1,4850 -1,6301 -1,7397 -1,8218 -1,8836 -1,9255 -1,9388 -1,9137 -1,8543 -1,7800 -1,7044 -1,6172 -1,4893 -1,2955 -1,0341 -0,7300 -0,4215 -0,1475 0,0602 0,1890 0,2540 0,2877 0,3164 0,3451 0,3586 0,3332 0,2460 0,0763 -0,1934 -0,5705 -1,0441 -1,5896 -2,1768 -2,7752 -3,3584 -3,9053 -4,3941 -4,8053 -5,1339 -5,3967 -5,6250 -5,8498 -6,0869 -6,3315 -6,5665 -6,7737 -6,9352 -7,0318 -7,0499 -6,9888 -6,8574 -6,6670 -6,4293 -6,1579 -5,8668 -5,5637 -5,2447 -4,8999 -4,5246 -4,1198 -3,6817 -3,2014 -2,6800 -2,1353 -1,5928 -1,0737 -0,5904 -0,1445 0,2728 0,6725 1,0560 1,4094 1,7097 1,9372 2,0901 2,1859 2,2460 2,2799 2,2885 2,2760 2,2540 2,2298 2,1950 2,1373 2,0652 2,0115 2,0128 2,0868 2,2231 2,3905 2,5548 2,6945 2,8036 2,8833 2,9299 2,9294 2,8644 2,7260 2,5195 2,2633 1,9790 1,6804 1,3746 1,0717 0,7889 0,5474 0,3682 0,2612 0,2140 0,2009 0,1965 0,1749 0,1028 -0,0516 -0,3034 -0,6473 -1,0644 -1,5260 -1,9917 -2,4118 -2,7440 -2,9706 -3,1000 -3,1557 -3,1676 -3,1629 -3,1578 -3,1616 -3,1859 -3,2428 -3,3397 -3,4786 -3,6593 -3,8802 -4,1295 -4,3815 -4,6037 -4,7682 -4,8621 -4,8981 -4,9124
F3    0,5219 0,3462 0,2072 0,1116 0,0640 0,0699 0,1295 0,2271 0,3327 0,4176 0,4653 0,4663 0,4142 0,3132 0,1855 0,0648 -0,0178 -0,0467 -0,0239 0,0382 0,1236 0,2136 0,2890 0,3367 0,3545 0,3453 0,3092 0,2515 0,1948 0,1725 0,2100 0,3157 0,4803 0,6758 0,8575 0,9694 0,9617 0,8119 0,5307 0,1514 -0,2792 -0,7071 -1,0831 -1,3761 -1,5748 -1,6790 -1,6911 -1,6201 -1,4901 -1,3410 -1,2158 -1,1452 -1,1388 -1,1862 -1,2687 -1,3714 -1,4879 -1,6174 -1,7586 -1,9026 -2,0325 -2,1282 -2,1716 -2,1548 -2,0903 -2,0117 -1,9565 -1,9406 -1,9497 -1,9607 -1,9668 -1,9804 -2,0150 -2,0737 -2,1539 -2,2538 -2,3712 -2,5009 -2,6375 -2,7772 -2,9119 -3,0325 -3,1383 -3,2377 -3,3386 -3,4432 -3,5506 -3,6569 -3,7525 -3,8266 -3,8741 -3,8908 -3,8689 -3,8053 -3,7132 -3,6234 -3,5719 -3,5803 -3,6510 -3,7751 -3,9379 -4,1196 -4,3011 -4,4721 -4,6337 -4,7959 -4,9733 -5,1797 -5,4212 -5,6934 -5,9834 -6,2732 -6,5426 -6,7735 -6,9572 -7,0965 -7,2001 -7,2789 -7,3482 -7,4303 -7,5552 -7,7528 -8,0383 -8,4058 -8,8342 -9,2892 -9,7278 -10,1105 -10,4128 -10,6264 -10,7524 -10,7978 -10,7738 -10,6920 -10,5604 -10,3790 -10,1392 -9,8238 -9,4072 -8,8687 -8,2115 -7,4652 -6,6743 -5,8883 -5,1549 -4,5070 -3,9550 -3,4879 -3,0794 -2,6954 -2,3037 -1,8842 -1,4336 -0,9661 -0,5132 -0,1135 0,2113 0,4729 0,7077 0,9549 1,2398 1,5674 1,9228 2,2800 2,6208 2,9472 3,2760 3,6207 3,9815 4,3408 4,6658 4,9235 5,1004 5,2057 5,2611 5,2917 5,3151 5,3289 5,3112 5,2392 5,1083 4,9354 4,7487 4,5812 4,4670 4,4279 4,4577 4,5244 4,5953 4,6586 4,7167 4,7688 4,8081 4,8292 4,8329 4,8280 4,8244 4,8239 4,8213 4,8154 4,8133 4,8228 4,8438 4,8639 4,8596 4,8030 4,6792 4,5026 4,3104 4,1337 3,9794 3,8369 3,6948 3,5484 3,3925 3,2166 3,0134 2,7876 2,5592 2,3575 2,2130 2,1499 2,1736 2,2533 2,3292 2,3521 2,3149 2,2488 2,1957 2,1861 2,2250 2,2925 2,3625 2,4197 2,4561 2,4660 2,4519 2,4245 2,3917 2,3517 2,2970 2,2234 2,1360 2,0492 1,9812 1,9467 1,9495 1,9811 2,0238 2,0560 2,0602 2,0299 1,9741 1,9137 1,8727 1,8643 1,8841 1,9175 1,9481 1,9562 1,9210 1,8339 1,7022 1,5334 1,3262 1,0828 0,8253 0,5996 0,4585 0,4293 0,4930 0,5947 0,6700 0,6696 0,5683 0,3622 0,0676 -0,2733 -0,6046 -0,8794 -1,0719 -1,1733 -1,1831 -1,1079 -0,9692 -0,8061 -0,6609 -0,5595 -0,5044 -0,4879 -0,5066 -0,5636 -0,6657 -0,8191 -1,0239 -1,2727 -1,5469 -1,8119 -2,0256 -2,1600 -2,2112 -2,1916 -2,1267 -2,0548 -2,0157 -2,0308 -2,0962 -2,1962 -2,3182 -2,4539 -2,5909 -2,7051 -2,7679 -2,7612 -2,6837 -2,5466 -2,3716 -2,1850 -2,0107 -1,8669 -1,7640 -1,7003 -1,6658 -1,6505 -1,6495 -1,6599 -1,6732 -1,6719 -1,6336 -1,5444 -1,4079 -1,2447 -1,0861 -0,9645 -0,9049 -0,9196 -1,0024 -1,1286 -1,2660 -1,3937 -1,5086 -1,6131 -1,6996 -1,7501 -1,7466 -1,6805 -1,5535 -1,3690 -1,1265 -0,8321 -0,5097 -0,1980 0,0622 0,2373 0,3081 0,2719 0,1417 -0,0591 -0,3021 -0,5540 -0,7788 -0,9460 -1,0387 -1,0511 -0,9835 -0,8389 -0,6234 -0,3479 -0,0336 0,2867 0,5745 0,7952 0,9313 0,9933 1,0123 1,0206 1,0385 1,0752 1,1313 1,1976 1,2593 1,3075 1,3413 1,3600 1,3596 1,3320 1,2652 1,1458 0,9666 0,7316 0,4571 0,1732 -0,0805 -0,2721 -0,3869 -0,4212 -0,3819 -0,2955 -0,2008 -0,1251 -0,0706 -0,0213 0,0439 0,1373 0,2541 0,3768 0,4863 0,5675 0,6146 0,6338 0,6365 0,6319 0,6262 0,6196 0,6023 0,5608 0,4889 0,3913 0,2784 0,1579 0,0264 -0,1276 -0,3164 -0,5446 -0,8054 -1,0773 -1,3291 -1,5333 -1,6804 -1,7781 -1,8330 -1,8369 -1,7681 -1,6044 -1,3425 -1,0086 -0,6489 -0,3061 -0,0060 0,2396 0,4256 0,5486 0,6073 0,6025 0,5388 0,4265 0,2829 0,1302 -0,0063 -0,0997 -0,1325 -0,1134 -0,0777 -0,0689 -0,1238 -0,2681 -0,5067 -0,8125 -1,1353 -1,4253 -1,6507 -1,7957 -1,8521 -1,8164 -1,6921 -1,4909 -1,2368 -0,9714 -0,7437 -0,5836 -0,4831 -0,4051 -0,3116 -0,1855 -0,0335 0,1263 0,2772 0,4061 0,5034 0,5678 0,6072 0,6312 0,6425 0,6296 0,5683 0,4286 0,1868 -0,1645 -0,6112 -1,1231 -1,6712 -2,2349 -2,7947 -3,3262 -3,8057 -4,2145 -4,5428 -4,7991 -5,0097 -5,2054 -5,4046 -5,6051 -5,7890 -5,9366 -6,0360 -6,0827 -6,0753 -6,0181 -5,9208 -5,7910 -5,6325 -5,4506 -5,2555 -5,0549 -4,8457 -4,6146 -4,3467 -4,0366 -3,6886 -3,3073 -2,8917 -2,4400 -1,9514 -1,4271 -0,8763 -0,3213 0,2083 0,6885 1,1046 1,4454 1,7005 1,8631 1,9412 1,9649 1,9755 2,0032 2,0557 2,1248 2,2015 2,2804 2,3490 2,3798 2,3476 2,2561 2,1424 2,0534 2,0197 2,0428 2,0979 2,1517 2,1866 2,2073 2,2260 2,2451 2,2535 2,2359 2,1813 2,0853 1,9518 1,7905 1,6078 1,4045 1,1820 0,9449 0,7005 0,4623 0,2466 0,0615 -0,0921 -0,2154 -0,3194 -0,4322 -0,5866 -0,8014 -1,0780 -1,4087 -1,7784 -2,1611 -2,5217 -2,8250 -3,0448 -3,1698 -3,2064 -3,1784 -3,1180 -3,0553 -3,0195 -3,0381 -3,1265 -3,2772 -3,4644 -3,6598 -3,8466 -4,0151 -4,1526 -4,2434 -4,2774 -4,2580 -4,2090 -4,1711
F7    1,0103 0,8933 0,8059 0,7427 0,7039 0,6961 0,7185 0,7474 0,7456 0,6968 0,6199 0,5452 0,4870 0,4463 0,4233 0,4222 0,4458 0,4916 0,5538 0,6246 0,6867 0,7085 0,6557 0,5142 0,3040 0,0646 -0,1667 -0,3589 -0,4825 -0,5161 -0,4516 -0,2944 -0,0690 0,1765 0,3804 0,4902 0,4830 0,3681 0,1679 -0,1036 -0,4376 -0,8132 -1,1955 -1,5478 -1,8350 -2,0210 -2,0751 -1,9948 -1,8227 -1,6345 -1,5052 -1,4811 -1,5677 -1,7321 -1,9199 -2,0806 -2,1880 -2,2445 -2,2711 -2,2914 -2,3155 -2,3288 -2,3036 -2,2291 -2,1325 -2,0724 -2,1028 -2,2368 -2,4434 -2,6754 -2,8952 -3,0803 -3,2212 -3,3216 -3,3907 -3,4334 -3,4482 -3,4354 -3,4059 -3,3785 -3,3651 -3,3638 -3,3671 -3,3682 -3,3549 -3,3098 -3,2246 -3,1059 -2,9710 -2,8448 -2,7497 -2,6881 -2,6396 -2,5828 -2,5171 -2,4625 -2,4409 -2,4614 -2,5235 -2,6295 -2,7853 -2,9880 -3,2159 -3,4353 -3,6240 -3,7847 -3,9366 -4,0949 -4,2547 -4,3974 -4,5143 -4,6127 -4,6976 -4,7573 -4,7730 -4,7398 -4,6806 -4,6360 -4,6395 -4,7021 -4,8200 -4,9841 -5,1800 -5,3954 -5,6350 -5,9148 -6,2407 -6,5959 -6,9501 -7,2732 -7,5433 -7,7494 -7,8839 -7,9266 -7,8430 -7,6073 -7,2278 -6,7465 -6,2137 -5,6679 -5,1320 -4,6172 -4,1300 -3,6837 -3,2988 -2,9920 -2,7678 -2,6096 -2,4725 -2,2964 -2,0372 -1,6852 -1,2553 -0,7734 -0,2799 0,1744 0,5523 0,8442 1,0617 1,2290 1,3785 1,5418 1,7288 1,9203 2,0909 2,2343 2,3628 2,4925 2,6380 2,8117 3,0252 3,2883 3,6031 3,9515 4,2977 4,6060 4,8569 5,0435 5,1580 5,1854 5,1122 4,9360 4,6715 4,3547 4,0425 3,7909 3,6211 3,5102 3,4219 3,3418 3,2764 3,2340 3,2167 3,2233 3,2492 3,2871 3,3289 3,3656 3,3913 3,4134 3,4516 3,5170 3,5950 3,6533 3,6600 3,5931 3,4487 3,2512 3,0459 2,8732 2,7513 2,6748 2,6223 2,5665 2,4828 2,3506 2,1532 1,8837 1,5557 1,2092 0,8996 0,6787 0,5742 0,5718 0,6183 0,6572 0,6650 0,6507 0,6301 0,6159 0,6188 0,6440 0,6897 0,7436 0,7804 0,7726 0,7096 0,6010 0,4603 0,2923 0,0960 -0,1240 -0,3515 -0,5582 -0,7079 -0,7711 -0,7449 -0,6577 -0,5539 -0,4742 -0,4445 -0,4767 -0,5768 -0,7437 -0,9588 -1,1865 -1,3920 -1,5536 -1,6631 -1,7217 -1,7322 -1,6991 -1,6389 -1,5848 -1,5728 -1,6183 -1,7096 -1,8145 -1,8943 -1,9241 -1,9077 -1,8788 -1,8856 -1,9648 -2,1310 -2,3830 -2,7028 -3,0495 -3,3754 -3,6479 -3,8514 -3,9779 -4,0286 -4,0219 -3,9886 -3,9564 -3,9363 -3,9187 -3,8840 -3,8248 -3,7586 -3,7223 -3,7578 -3,8939 -4,1263 -4,4125 -4,6896 -4,9045 -5,0413 -5,1211 -5,1714 -5,1995 -5,1976 -5,1628 -5,1043 -5,0360 -4,9660 -4,8957 -4,8324 -4,7957 -4,8019 -4,8434 -4,8944 -4,9336 -4,9536 -4,9565 -4,9477 -4,9279 -4,8887 -4,8189 -4,7178 -4,6015 -4,4988 -4,4390 -4,4420 -4,5093 -4,6152 -4,7109 -4,7433 -4,6789 -4,5196 -4,3074 -4,1066 -3,9642 -3,8914 -3,8789 -3,9152 -3,9869 -4,0773 -4,1767 -4,2885 -4,4151 -4,5415 -4,6410 -4,6911 -4,6769 -4,5846 -4,4027 -4,1343 -3,8090 -3,4791 -3,1958 -2,9863 -2,8517 -2,7772 -2,7343 -2,6885 -2,6245 -2,5668 -2,5644 -2,6510 -2,8243 -3,0515 -3,2770 -3,4297 -3,4524 -3,3326 -3,1073 -2,8396 -2,5854 -2,3731 -2,2050 -2,0658 -1,9290 -1,7694 -1,5776 -1,3610 -1,1331 -0,9088 -0,7134 -0,5819 -0,5399 -0,5854 -0,6926 -0,8285 -0,9719 -1,1222 -1,2907 -1,4796 -1,6734 -1,8543 -2,0178 -2,1699 -2,3182 -2,4649 -2,5970 -2,6868 -2,7088 -2,6533 -2,5213 -2,3139 -2,0328 -1,6859 -1,2907 -0,8757 -0,4774 -0,1349 0,1153 0,2475 0,2533 0,1380 -0,0788 -0,3569 -0,6456 -0,9070 -1,1317 -1,3323 -1,5219 -1,6982 -1,8478 -1,9620 -2,0468 -2,1222 -2,2095 -2,3105 -2,3959 -2,4181 -2,3452 -2,1865 -1,9858 -1,7869 -1,6100 -1,4595 -1,3371 -1,2410 -1,1602 -1,0743 -0,9613 -0,8099 -0,6259 -0,4299 -0,2537 -0,1353 -0,1062 -0,1743 -0,3206 -0,5116 -0,7172 -0,9147 -1,0832 -1,2062 -1,2827 -1,3294 -1,3694 -1,4213 -1,4952 -1,5892 -1,6910 -1,7880 -1,8760 -1,9557 -2,0219 -2,0626 -2,0678 -2,0312 -1,9431 -1,7957 -1,6047 -1,4118 -1,2511 -1,1187 -0,9796 -0,8012 -0,5821 -0,3547 -0,1682 -0,0682 -0,0781 -0,1811 -0,3198 -0,4278 -0,4710 -0,4644 -0,4601 -0,5183 -0,6803 -0,9555 -1,3253 -1,7561 -2,2171 -2,6908 -3,1685 -3,6381 -4,0795 -4,4653 -4,7653 -4,9635 -5,0801 -5,1660 -5,2711 -5,4134 -5,5716 -5,7079 -5,8028 -5,8690 -5,9292 -5,9838 -6,0020 -5,9405 -5,7686 -5,4861 -5,1273 -4,7453 -4,3885 -4,0836 -3,8275 -3,5930 -3,3451 -3,0540 -2,7042 -2,3029 -1,8848 -1,4989 -1,1861 -0,9620 -0,8132 -0,7032 -0,5880 -0,4357 -0,2391 -0,0158 0,2060 0,4084 0,5961 0,7796 0,9445 1,0503 1,0639 0,9867 0,8538 0,7138 0,6058 0,5448 0,5220 0,5238 0,5496 0,6098 0,7111 0,8502 1,0206 1,2199 1,4416 1,6599 1,8315 1,9135 1,8831 1,7443 1,5266 1,2787 1,0508 0,8738 0,7496 0,6617 0,5941 0,5472 0,5357 0,5662 0,6200 0,6616 0,6591 0,5914 0,4433 0,2037 -0,1284 -0,5372 -0,9925 -1,4555 -1,8848 -2,2438 -2,5140 -2,7006 -2,8175 -2,8709 -2,8615 -2,7983 -2,7069 -2,6284 -2,6086 -2,6793 -2,8419 -3,0691 -3,3246 -3,5776 -3,7971 -3,9481 -4,0057 -3,9652 -3,8382 -3,6452 -3,4144
