Fp1   -2,3372 -2,6511 -2,8074 -2,6465 -2,1053 -1,2202 -0,0756 1,2010 2,4227 3,3898 3,9820 4,2159 4,2247 4,1488 4,0142 3,7251 3,1765 2,3587 1,3853 0,4615 -0,1998 -0,4853 -0,4542 -0,3054 -0,2417 -0,3531 -0,6082 -0,9107 -1,1580 -1,2793 -1,2528 -1,1003 -0,8646 -0,5913 -0,3133 -0,0465 0,1938 0,3874 0,5199 0,5737 0,5087 0,2661 -0,2095 -0,9390 -1,8522 -2,7419 -3,3129 -3,3361 -2,8027 -1,9534 -1,1377 -0,6132 -0,4439 -0,5484 -0,8037 -1,1016 -1,3573 -1,5002 -1,4611 -1,1782 -0,6373 0,0659 0,7036 1,0104 0,8341 0,2049 -0,7190 -1,7642 -2,7965 -3,6584 -4,1221 -3,9981 -3,3004 -2,2758 -1,2823 -0,6213 -0,4142 -0,5840 -0,9501 -1,3418 -1,6495 -1,8370 -1,9515 -2,0997 -2,3701 -2,7553 -3,1355 -3,3256 -3,1592 -2,5845 -1,7165 -0,8037 -0,1336 0,0679 -0,2636 -0,9727 -1,7610 -2,3598 -2,6225 -2,5079 -2,0563 -1,3722 -0,5832 0,1754 0,7496 0,9997 0,8747 0,4572 -0,0548 -0,4023 -0,3520 0,1947 1,1517 2,2949 3,3403 4,0082 4,0840 3,4913 2,3664 1,0488 -0,0796 -0,8074 -1,1480 -1,2048 -1,0461 -0,7051 -0,2306 0,2934 0,7601 1,0585 1,1181 0,9749 0,7930 0,8146 1,2643 2,2175 3,5129 4,8093 5,7526 6,1171 5,8441 5,0274 3,9010 2,7814 1,9500 1,5695 1,6790 2,2326 3,1306 4,2208 5,3164 6,2673 7,0092 7,5379 7,8851 8,1348 8,4108 8,8221 9,4079 10,0955 10,6992 11,0053 10,8919 10,3927 9,6662 8,9062 8,2624 7,7998 7,5069 7,3324 7,2150 7,1023 6,9569 6,7524 6,5046 6,3159 6,3530 6,7552 7,5377 8,5479 9,5142 10,1878 10,4560 10,3311 9,8962 9,2885 8,6834 8,2356 8,0142 8,0151 8,2228 8,6048 9,0544 9,3946 9,4614 9,1806 8,5770 7,7503 6,8711 6,1531 5,7622 5,7458 6,0440 6,5333 7,0692 7,5210 7,7996 7,8761 7,7703 7,5154 7,1546 6,7687 6,4675 6,3299 6,3583 6,4832 6,5995 6,6232 6,5286 6,3473 6,1459 5,9923 5,9329 5,9983 6,1947 6,4676 6,6966 6,7445 6,5290 6,0824 5,5432 5,0650 4,7429 4,6083 4,6435 4,7897 4,9655 5,1015 5,1544 5,0709 4,7654 4,1892 3,4263 2,7105 2,3372 2,5197 3,2753 4,3928 5,4921 6,1794 6,2380 5,7134 4,8413 3,9176 3,1979 2,8373 2,8584 3,1528 3,5410 3,8832 4,1382 4,3186 4,4409 4,5409 4,6788 4,9002 5,2049 5,5324 5,7565 5,7407 5,4331 4,8836 4,1694 3,3709 2,6203 2,0958 1,9395 2,1922 2,7827 3,5671 4,3952 5,1519 5,7534 6,1419 6,2953 6,2112 5,8570 5,1654 4,1361 2,9500 1,9343 1,3815 1,4002 1,9053 2,6851 3,4833 4,0851 4,3802 4,3648 4,0950 3,6525 3,1515 2,7338 2,5007 2,4443 2,4690 2,4793 2,4437 2,3970 2,4170 2,5885 2,9638 3,5589 4,3761 5,3928 6,5130 7,5522 8,2974 8,5916 8,3734 7,6594 6,5031 5,0014 3,3528 1,8353 0,6731 -0,0322 -0,2428 0,0605 0,8353 1,9301 3,1134 4,1731 5,0024 5,6104 6,0789 6,4967 6,8893 7,1864 7,2613 7,0034 6,3859 5,5132 4,6054 3,8991 3,5343 3,5174 3,7621 4,1327 4,4681 4,6182 4,4880 4,0683 3,4395 2,7447 2,1567 1,8262 1,8248 2,1508 2,7710 3,6173 4,5623 5,4545 6,1936 6,7503 7,1153 7,2592 7,1318 6,6686 5,8174 4,6076 3,2131 1,9530 1,1924 1,1561 1,7992 2,8609 4,0410 5,1183 5,9382 6,3585 6,2760 5,7289 4,9276 4,1467 3,5863 3,3022 3,2220 3,2252 3,2161 3,1550 3,0579 2,9597 2,8807 2,8357 2,8709 3,0831 3,5583 4,2555 4,9766 5,4683 5,5415 5,1293 4,3106 3,3031 2,3838 1,7664 1,5182 1,5462 1,6629 1,7277 1,7557 1,8721 2,1619 2,5730 2,9521 3,1632 3,1630 2,9680 2,5980 2,0882 1,5482 1,1607 1,0778 1,3193 1,7828 2,2912 2,6245 2,5976 2,1571 1,3927 0,4651 -0,4664 -1,2889 -1,9608 -2,4940 -2,8864 -3,0803 -2,9941 -2,5720 -1,7919 -0,6556 0,7783 2,3313 3,7093 4,6204 4,9336 4,7391 4,2721 3,7843 3,4514 3,3434 3,4443 3,6805 3,9448 4,1328 4,1955 4,1546 4,0378 3,8157 3,4328 2,8718 2,1586 1,3368 0,4862 -0,2325 -0,6113 -0,5124 0,0650 1,0117 2,1519 3,2864 4,2529 4,9534 5,3276 5,3492 5,0740 4,6599 4,2886 4,0438 3,8653 3,6134 3,1646 2,4905 1,6903 0,9227 0,3047 -0,0957 -0,1993 0,0897 0,8145 1,8950 3,1288 4,2772 5,1656 5,7188 5,9361 5,8634 5,5774 5,1644 4,7032 4,2775 3,9894 3,9327 4,1421 4,5714 5,1112 5,6242 5,9973 6,1936 6,2519 6,2476 6,2564 6,3227 6,4420 6,5591 6,5778 6,3876 5,9248 5,2420 4,4893 3,8081 3,2759 2,9514 2,9131 3,2119 3,7864 4,4438 4,9480 5,1409 5,0034 4,6402 4,2150 3,8752 3,7112 3,7652 4,0554 4,5747 5,2614 5,9854 6,5901 6,9590 7,0351 6,8029 6,2957 5,6142 4,8994 4,2679 3,7865 3,5120 3,5091 3,8002 4,3366 5,0300 5,7857 6,5140 7,1305 7,5308 7,5870 7,2173 6,4604 5,4701 4,4621 3,6600 3,2342 3,2505 3,6598 4,3211 5,0503 5,6784 6,0794 6,1869 6,0478 5,8460 5,8102 6,0736 6,6142 7,2846 7,8735 8,1836 8,1086 7,6794 7,0505 6,3981 5,7838 5,1231 4,3004 3,3078 2,2827 1,4448 0,9885 0,9924 1,3963 2,0422 2,7367 3,3100 3,6518 3,7160 3,5075 3,0720
Fz    0,2640 0,2104 0,0997 0,0288 0,0759 0,2776 0,6390 1,1295 1,6670 2,1377 2,4487 2,5760 2,5733 2,5203 2,4479 2,3195 2,0804 1,7092 1,2364 0,7338 0,2803 -0,0827 -0,3776 -0,6666 -0,9856 -1,3098 -1,5826 -1,7532 -1,7903 -1,6833 -1,4449 -1,1127 -0,7440 -0,4064 -0,1614 -0,0458 -0,0614 -0,1727 -0,3211 -0,4604 -0,5889 -0,7459 -0,9754 -1,2833 -1,6127 -1,8508 -1,8738 -1,6182 -1,1389 -0,6051 -0,2189 -0,1097 -0,2842 -0,6528 -1,0973 -1,5292 -1,9080 -2,2177 -2,4257 -2,4655 -2,2729 -1,8637 -1,3747 -1,0012 -0,8845 -1,0497 -1,4249 -1,9105 -2,4313 -2,9153 -3,2552 -3,3430 -3,1465 -2,7403 -2,2692 -1,8773 -1,6402 -1,5426 -1,5196 -1,5132 -1,4954 -1,4715 -1,4816 -1,5845 -1,8137 -2,1395 -2,4680 -2,6741 -2,6428 -2,3101 -1,6972 -0,9219 -0,1796 0,3171 0,4434 0,2383 -0,1331 -0,4897 -0,7068 -0,7313 -0,5820 -0,3298 -0,0519 0,1924 0,3547 0,4038 0,3472 0,2399 0,1731 0,2513 0,5597 1,1220 1,8782 2,7036 3,4455 3,9514 4,1011 3,8543 3,2883 2,5788 1,9101 1,3790 0,9833 0,6937 0,5091 0,4447 0,4949 0,6229 0,7780 0,9116 0,9913 1,0275 1,0839 1,2598 1,6502 2,2828 3,0666 3,8139 4,3286 4,4882 4,2723 3,7543 3,0821 2,4389 1,9859 1,8235 1,9824 2,4312 3,0938 3,8722 4,6720 5,4294 6,1199 6,7455 7,3216 7,8770 8,4465 9,0555 9,7041 10,3464 10,8816 11,1925 11,2075 10,9344 10,4490 9,8629 9,2878 8,8036 8,4442 8,2056 8,0592 7,9628 7,8718 7,7520 7,6050 7,4841 7,4728 7,6301 7,9421 8,3092 8,5849 8,6492 8,4640 8,0725 7,5681 7,0639 6,6628 6,4276 6,3664 6,4484 6,6335 6,8779 7,1249 7,3147 7,4137 7,4289 7,3945 7,3509 7,3351 7,3711 7,4509 7,5375 7,5994 7,6326 7,6531 7,6772 7,7015 7,7027 7,6578 7,5584 7,4093 7,2300 7,0563 6,9205 6,8259 6,7426 6,6276 6,4556 6,2331 5,9909 5,7755 5,6372 5,6121 5,7114 5,9160 6,1756 6,4219 6,5952 6,6661 6,6489 6,5969 6,5733 6,6204 6,7446 6,9165 7,0817 7,1794 7,1618 7,0042 6,6912 6,2065 5,5623 4,8392 4,1881 3,7833 3,7448 4,0730 4,6364 5,2179 5,5994 5,6480 5,3607 4,8463 4,2629 3,7510 3,3888 3,1804 3,0701 2,9860 2,9001 2,8496 2,8944 3,0698 3,3765 3,7839 4,2365 4,6722 5,0351 5,2713 5,3399 5,2469 5,0404 4,7616 4,4304 4,0827 3,7892 3,6222 3,6109 3,7288 3,9209 4,1352 4,3276 4,4575 4,4976 4,4491 4,3343 4,1618 3,9075 3,5535 3,1555 2,8459 2,7579 2,9507 3,3897 3,9658 4,5333 4,9515 5,1169 4,9819 4,5630 3,9373 3,2381 2,6296 2,2419 2,1171 2,2188 2,4834 2,8612 3,3175 3,8145 4,3076 4,7609 5,1722 5,5826 6,0441 6,5604 7,0605 7,4326 7,5903 7,5076 7,2046 6,7110 6,0580 5,3072 4,5615 3,9332 3,5211 3,4230 3,7212 4,4233 5,4178 6,4959 7,4335 8,0836 8,4276 8,5552 8,5799 8,5544 8,4558 8,2370 7,8795 7,4208 6,9626 6,6422 6,5690 6,7731 7,2041 7,7677 8,3555 8,8592 9,1893 9,2939 9,1651 8,8362 8,3781 7,8997 7,5222 7,3272 7,3343 7,5222 7,8516 8,2659 8,6967 9,0872 9,4030 9,6092 9,6556 9,4894 9,0662 8,3623 7,4047 6,3008 5,2357 4,4204 4,0030 4,0067 4,3442 4,8824 5,4962 6,0779 6,5213 6,7349 6,6989 6,4922 6,2455 6,0752 6,0416 6,1372 6,3040 6,4618 6,5384 6,4913 6,3043 5,9782 5,5373 5,0435 4,5994 4,3127 4,2297 4,3003 4,4051 4,4138 4,2425 3,8999 3,4934 3,1712 3,0371 3,0996 3,2770 3,4486 3,5312 3,5335 3,5406 3,6413 3,8651 4,1779 4,5251 4,8617 5,1376 5,2921 5,2896 5,1615 5,0033 4,9147 4,9402 5,0665 5,2359 5,3496 5,3009 5,0347 4,5708 3,9735 3,3205 2,6970 2,1843 1,8356 1,6702 1,6919 1,9016 2,2922 2,8399 3,5094 4,2548 4,9963 5,6024 5,9337 5,9321 5,6643 5,2771 4,9184 4,6844 4,6041 4,6468 4,7459 4,8307 4,8559 4,8153 4,7293 4,6056 4,4175 4,1308 3,7464 3,3091 2,8839 2,5371 2,3356 2,3353 2,5494 2,9379 3,4298 3,9484 4,4277 4,8240 5,1042 5,2241 5,1449 4,8850 4,5387 4,2293 4,0344 3,9420 3,8700 3,7249 3,4644 3,1243 2,7766 2,4711 2,2440 2,1622 2,3128 2,7363 3,3799 4,1100 4,7716 5,2478 5,4860 5,4944 5,3239 5,0403 4,6995 4,3503 4,0527 3,8731 3,8502 3,9751 4,2035 4,4731 4,7114 4,8597 4,9065 4,8854 4,8418 4,8103 4,8097 4,8373 4,8580 4,8070 4,6177 4,2649 3,8017 3,3443 3,0066 2,8521 2,8951 3,1143 3,4528 3,8103 4,0533 4,0568 3,7603 3,2015 2,5083 1,8492 1,3686 1,1439 1,1829 1,4491 1,8879 2,4341 3,0096 3,5291 3,9173 4,1161 4,0858 3,8295 3,4185 2,9772 2,6236 2,4189 2,3718 2,4723 2,6967 3,0021 3,3424 3,6819 3,9835 4,1960 4,2509 4,0815 3,6622 3,0415 2,3387 1,7050 1,2722 1,1182 1,2487 1,5944 2,0369 2,4648 2,8162 3,0637 3,1890 3,2070 3,1875 3,2106 3,2998 3,4140 3,4940 3,4992 3,4122 3,2347 2,9916 2,7322 2,5103 2,3450 2,2015 2,0207 1,7786 1,5184 1,3238 1,2650 1,3612 1,5847 1,8846 2,2104 2,5250 2,7998 2,9922 3,0366 2,8696
F3    0,4554 0,5730 0,5871 0,5564 0,5547 0,6452 0,8759 1,2619 1,7604 2,2760 2,6978 2,9491 3,0225 2,9643 2,8195 2,5947 2,2722 1,8445 1,3385 0,8159 0,3449 -0,0437 -0,3823 -0,7351 -1,1305 -1,5364 -1,8973 -2,1688 -2,3211 -2,3337 -2,1981 -1,9275 -1,5635 -1,1712 -0,8177 -0,5512 -0,3871 -0,3015 -0,2459 -0,1935 -0,1734 -0,2539 -0,4879 -0,8663 -1,3083 -1,6884 -1,8847 -1,8332 -1,5712 -1,2363 -1,0042 -1,0007 -1,2495 -1,6791 -2,1736 -2,6332 -3,0083 -3,2866 -3,4479 -3,4373 -3,1937 -2,7253 -2,1540 -1,6607 -1,3770 -1,3263 -1,4471 -1,6567 -1,8973 -2,1208 -2,2535 -2,2170 -1,9898 -1,6351 -1,2711 -1,0154 -0,9310 -1,0024 -1,1614 -1,3333 -1,4629 -1,5300 -1,5663 -1,6423 -1,8140 -2,0697 -2,3264 -2,4696 -2,3901 -2,0158 -1,3532 -0,5150 0,2958 0,8534 1,0129 0,7900 0,3413 -0,1337 -0,4747 -0,5948 -0,4923 -0,2363 0,0790 0,3658 0,5554 0,6182 0,5743 0,4788 0,4035 0,4315 0,6434 1,0707 1,6591 2,2894 2,8273 3,1548 3,1860 2,8909 2,3238 1,6190 0,9321 0,3657 -0,0488 -0,3084 -0,4059 -0,3412 -0,1409 0,1455 0,4652 0,7696 1,0197 1,2099 1,3830 1,6174 1,9944 2,5421 3,1872 3,7742 4,1433 4,1993 3,9309 3,4053 2,7558 2,1464 1,7190 1,5612 1,7006 2,1147 2,7459 3,5112 4,3158 5,0788 5,7517 6,3209 6,8084 7,2673 7,7516 8,2865 8,8613 9,4302 9,9142 10,2269 10,3113 10,1556 9,7913 9,2852 8,7217 8,1752 7,6955 7,3090 7,0207 6,8165 6,6728 6,5697 6,5092 6,5225 6,6511 6,9108 7,2647 7,6235 7,8726 7,9195 7,7376 7,3775 6,9441 6,5574 6,3089 6,2296 6,2933 6,4532 6,6704 6,9046 7,0982 7,1929 7,1662 7,0486 6,9061 6,8056 6,7880 6,8474 6,9242 6,9426 6,8766 6,7737 6,7136 6,7515 6,8881 7,0783 7,2679 7,4231 7,5268 7,5698 7,5560 7,4966 7,3922 7,2289 6,9950 6,6969 6,3593 6,0213 5,7365 5,5618 5,5306 5,6343 5,8201 6,0084 6,1318 6,1714 6,1547 6,1285 6,1381 6,2209 6,4014 6,6762 7,0013 7,3010 7,4960 7,5357 7,4083 7,1149 6,6492 6,0253 5,3199 4,6771 4,2643 4,1975 4,4789 4,9877 5,5288 5,9105 6,0121 5,8155 5,3947 4,8782 4,3962 4,0319 3,7975 3,6452 3,5122 3,3829 3,3054 3,3455 3,5374 3,8704 4,2893 4,7128 5,0702 5,3226 5,4487 5,4410 5,3266 5,1615 4,9842 4,7957 4,5936 4,4044 4,2705 4,2088 4,1916 4,1784 4,1573 4,1378 4,1167 4,0748 4,0022 3,9051 3,7795 3,5925 3,3193 3,0085 2,7899 2,8013 3,1059 3,6553 4,3082 4,8883 5,2441 5,2780 4,9601 4,3393 3,5346 2,7107 2,0360 1,6229 1,4958 1,6163 1,9310 2,4018 2,9959 3,6544 4,2871 4,8147 5,2205 5,5552 5,8811 6,2109 6,4923 6,6447 6,6170 6,4154 6,0750 5,6096 5,0026 4,2537 3,4194 2,6064 1,9561 1,6337 1,7783 2,4244 3,4636 4,6784 5,8236 6,7146 7,2836 7,5747 7,6748 7,6361 7,4597 7,1407 6,7136 6,2672 5,9245 5,7872 5,8790 6,1343 6,4436 6,7185 6,9205 7,0455 7,0961 7,0633 6,9271 6,6718 6,3102 5,9073 5,5714 5,4010 5,4436 5,6960 6,1217 6,6569 7,2193 7,7368 8,1727 8,5070 8,7026 8,7022 8,4492 7,9113 7,1083 6,1324 5,1430 4,3229 3,8077 3,6400 3,7752 4,1165 4,5472 4,9496 5,2111 5,2468 5,0446 4,6795 4,2745 3,9548 3,8171 3,9060 4,2062 4,6500 5,1439 5,6001 5,9433 6,1079 6,0512 5,7774 5,3526 4,8800 4,4413 4,0562 3,6850 3,2618 2,7450 2,1692 1,6536 1,3413 1,3155 1,5518 1,9299 2,2948 2,5381 2,6462 2,6849 2,7432 2,8813 3,1076 3,3893 3,6709 3,8777 3,9331 3,8023 3,5270 3,2148 2,9804 2,8890 2,9470 3,1120 3,2966 3,3993 3,3575 3,1660 2,8514 2,4485 2,0016 1,5650 1,1843 0,8842 0,6803 0,5976 0,6681 0,9105 1,3153 1,8431 2,4189 2,9310 3,2674 3,3779 3,3059 3,1528 3,0199 2,9737 3,0356 3,1847 3,3693 3,5237 3,5924 3,5529 3,4143 3,1858 2,8566 2,4132 1,8757 1,3052 0,7765 0,3510 0,0818 0,0189 0,1849 0,5535 1,0628 1,6425 2,2308 2,7738 3,2079 3,4494 3,4339 3,1799 2,7967 2,4225 2,1494 1,9869 1,8776 1,7474 1,5635 1,3544 1,1678 1,0229 0,9370 0,9759 1,2309 1,7402 2,4425 3,1979 3,8464 4,2663 4,4067 4,2927 4,0077 3,6536 3,3075 3,0125 2,7998 2,6942 2,6909 2,7503 2,8277 2,8956 2,9323 2,9209 2,8681 2,8064 2,7731 2,7914 2,8592 2,9389 2,9606 2,8484 2,5571 2,1035 1,5822 1,1362 0,8865 0,8852 1,1168 1,5169 1,9866 2,4050 2,6440 2,6002 2,2391 1,6225 0,8968 0,2428 -0,1941 -0,3540 -0,2662 -0,0111 0,3286 0,6976 1,0602 1,3767 1,6001 1,6871 1,6148 1,4052 1,1343 0,9081 0,8177 0,9080 1,1811 1,6136 2,1537 2,7181 3,2136 3,5648 3,7240 3,6734 3,4203 2,9878 2,4151 1,7677 1,1396 0,6362 0,3432 0,2999 0,4855 0,8206 1,1926 1,5089 1,7409 1,9061 2,0220 2,1007 2,1686 2,2479 2,3245 2,3602 2,3321 2,2490 2,1386 2,0284 1,9336 1,8591 1,8017 1,7413 1,6337 1,4308 1,1205 0,7468 0,3883 0,1202 -0,0104 0,0094 0,1671 0,4349 0,7785 1,1522 1,4833 1,6716 1,6290
F7    -1,1359 -1,0795 -1,0775 -1,0532 -0,9356 -0,6801 -0,2639 0,3055 0,9662 1,6024 2,0873 2,3454 2,3869 2,2794 2,0786 1,7963 1,4289 0,9967 0,5496 0,1479 -0,1638 -0,3794 -0,5416 -0,7184 -0,9452 -1,1964 -1,4147 -1,5511 -1,5755 -1,4724 -1,2372 -0,8816 -0,4448 0,0065 0,3991 0,6795 0,8284 0,8640 0,8288 0,7551 0,6373 0,4406 0,1357 -0,2669 -0,7026 -1,0651 -1,2425 -1,1685 -0,8711 -0,4817 -0,1767 -0,0868 -0,2355 -0,5411 -0,8765 -1,1449 -1,3166 -1,4018 -1,3981 -1,2643 -0,9517 -0,4783 0,0284 0,3888 0,4854 0,3220 -0,0096 -0,4024 -0,7768 -1,0629 -1,1745 -1,0419 -0,6706 -0,1558 0,3595 0,7439 0,9316 0,9414 0,8423 0,7060 0,5837 0,4982 0,4307 0,3253 0,1316 -0,1429 -0,4205 -0,5803 -0,5062 -0,1374 0,4964 1,2701 1,9866 2,4367 2,4979 2,2078 1,7327 1,2629 0,9387 0,8309 0,9347 1,1784 1,4656 1,7077 1,8352 1,8146 1,6637 1,4393 1,2161 1,0794 1,1137 1,3613 1,7850 2,2835 2,7359 3,0318 3,0892 2,8837 2,4749 1,9947 1,5869 1,3304 1,2180 1,2035 1,2482 1,3222 1,3951 1,4411 1,4481 1,4111 1,3298 1,2319 1,1900 1,3045 1,6572 2,2519 2,9769 3,6357 4,0390 4,0870 3,7866 3,2233 2,5324 1,8690 1,3660 1,1063 1,1182 1,3851 1,8579 2,4635 3,1122 3,7204 4,2368 4,6517 4,9876 5,2870 5,6050 5,9975 6,4950 7,0661 7,6063 7,9799 8,0864 7,8981 7,4583 6,8585 6,2119 5,6246 5,1697 4,8746 4,7281 4,6979 4,7459 4,8378 4,9568 5,1155 5,3483 5,6813 6,0966 6,5166 6,8219 6,9103 6,7584 6,4302 6,0365 5,6923 5,4893 5,4691 5,6173 5,8922 6,2501 6,6347 6,9662 7,1690 7,2085 7,0983 6,8783 6,6004 6,3279 6,1199 5,9951 5,9242 5,8652 5,8016 5,7483 5,7298 5,7536 5,8040 5,8571 5,8929 5,8946 5,8542 5,7857 5,7152 5,6534 5,5827 5,4736 5,3175 5,1421 4,9972 4,9345 4,9944 5,1941 5,5160 5,8988 6,2460 6,4632 6,5021 6,3777 6,1573 5,9338 5,7908 5,7725 5,8746 6,0545 6,2480 6,3853 6,4097 6,2947 6,0382 5,6509 5,1686 4,6737 4,2899 4,1454 4,3161 4,7763 5,3944 5,9822 6,3659 6,4442 6,2149 5,7646 5,2284 4,7386 4,3806 4,1674 4,0446 3,9340 3,8039 3,6955 3,6776 3,7891 4,0190 4,3098 4,5792 4,7617 4,8333 4,7949 4,6531 4,4315 4,1710 3,8982 3,6176 3,3486 3,1463 3,0706 3,1405 3,3189 3,5452 3,7746 3,9840 4,1577 4,2848 4,3673 4,4145 4,4143 4,3199 4,0935 3,7741 3,4801 3,3343 3,3931 3,6338 3,9773 4,3173 4,5461 4,5728 4,3416 3,8493 3,1552 2,3829 1,6925 1,2100 0,9730 0,9422 1,0570 1,2811 1,6012 1,9945 2,4106 2,7935 3,1238 3,4359 3,7832 4,1787 4,5643 4,8372 4,9101 4,7513 4,3764 3,8104 3,0744 2,2143 1,3249 0,5281 -0,0561 -0,3160 -0,1682 0,3902 1,2436 2,1868 3,0081 3,5714 3,8549 3,9353 3,9210 3,8733 3,7848 3,6216 3,3706 3,0597 2,7623 2,5755 2,5689 2,7419 3,0269 3,3305 3,5725 3,7034 3,7049 3,5789 3,3345 2,9824 2,5464 2,0898 1,7117 1,5000 1,4970 1,7073 2,1080 2,6432 3,2329 3,8047 4,3149 4,7315 5,0144 5,1217 5,0243 4,7095 4,1922 3,5345 2,8577 2,3177 2,0373 2,0495 2,3037 2,7138 3,1923 3,6506 3,9900 4,1223 4,0182 3,7274 3,3500 2,9925 2,7328 2,6072 2,6176 2,7388 2,9257 3,1248 3,2786 3,3318 3,2557 3,0738 2,8648 2,7253 2,7113 2,8104 2,9533 3,0410 2,9850 2,7622 2,4427 2,1537 2,0046 2,0299 2,1714 2,3106 2,3400 2,2314 2,0476 1,8906 1,8344 1,8961 2,0522 2,2607 2,4633 2,5928 2,6050 2,5152 2,3987 2,3420 2,3897 2,5405 2,7595 2,9744 3,0876 3,0210 2,7557 2,3294 1,8125 1,2907 0,8504 0,5580 0,4460 0,5150 0,7445 1,1014 1,5481 2,0513 2,5814 3,0893 3,4881 3,6852 3,6478 3,4357 3,1713 2,9808 2,9481 3,0946 3,3840 3,7380 4,0593 4,2645 4,3160 4,2257 4,0185 3,6971 3,2536 2,7104 2,1338 1,6067 1,2008 0,9771 0,9811 1,2135 1,6226 2,1346 2,6829 3,2186 3,7077 4,1093 4,3590 4,3989 4,2395 3,9785 3,7509 3,6479 3,6635 3,7072 3,6677 3,4859 3,1883 2,8503 2,5379 2,3053 2,2270 2,3847 2,8089 3,4380 4,1305 4,7225 5,0940 5,2088 5,1123 4,8964 4,6488 4,4192 4,2305 4,1146 4,1177 4,2665 4,5426 4,8877 5,2180 5,4399 5,4842 5,3396 5,0496 4,6843 4,3207 4,0252 3,8261 3,6911 3,5423 3,3021 2,9443 2,5256 2,1632 1,9630 1,9708 2,1778 2,5396 2,9835 3,4130 3,7205 3,8130 3,6468 3,2523 2,7348 2,2400 1,8921 1,7450 1,7776 1,9328 2,1615 2,4375 2,7406 3,0358 3,2762 3,4124 3,4041 3,2475 3,0003 2,7645 2,6342 2,6571 2,8435 3,1898 3,6692 4,2195 4,7688 5,2633 5,6648 5,9371 6,0390 5,9302 5,5978 5,0829 4,4777 3,8947 3,4343 3,1638 3,1022 3,2133 3,4245 3,6702 3,9178 4,1473 4,3284 4,4435 4,5173 4,5924 4,6801 4,7478 4,7487 4,6520 4,4517 4,1630 3,8203 3,4757 3,1787 2,9436 2,7373 2,5141 2,2678 2,0493 1,9330 1,9632 2,1249 2,3602 2,6073 2,8299 3,0197 3,1773 3,2796 3,2647 3,0598
