Fp1   -2,5510 -2,2671 -1,5807 -0,5336 0,7290 1,9739 2,9580 3,5202 3,6416 3,4404 3,0878 2,7009 2,3002 1,8633 1,3972 0,9372 0,5008 0,0809 -0,3292 -0,7154 -1,0372 -1,2462 -1,3173 -1,2511 -1,0687 -0,8288 -0,6203 -0,5260 -0,6041 -0,8587 -1,1763 -1,3402 -1,1827 -0,7082 -0,0540 0,6076 1,1169 1,3528 1,2490 0,8018 0,0929 -0,6971 -1,3524 -1,7361 -1,8311 -1,6911 -1,4150 -1,1726 -1,1651 -1,4951 -2,0885 -2,7611 -3,3383 -3,6898 -3,7025 -3,3173 -2,6175 -1,8435 -1,2908 -1,1566 -1,4297 -1,9097 -2,3562 -2,6311 -2,7145 -2,6420 -2,4718 -2,3003 -2,2562 -2,4320 -2,8068 -3,2607 -3,6890 -4,0839 -4,4769 -4,8456 -5,1321 -5,3393 -5,5576 -5,8676 -6,2294 -6,4860 -6,4662 -6,0808 -5,3625 -4,4484 -3,5165 -2,7196 -2,1676 -1,9210 -1,9486 -2,1116 -2,2439 -2,2622 -2,1887 -2,0903 -2,0308 -2,0703 -2,2713 -2,6849 -3,3180 -4,1204 -5,0273 -5,9969 -6,9839 -7,9151 -8,7157 -9,3396 -9,7702 -10,0103 -10,0820 -10,0233 -9,8923 -9,7810 -9,8017 -10,0133 -10,3432 -10,6110 -10,6566 -10,4303 -9,9659 -9,3198 -8,5461 -7,6804 -6,7268 -5,6732 -4,5167 -3,2695 -1,9549 -0,6038 0,7486 2,0620 3,2869 4,3566 5,1729 5,6180 5,6045 5,1129 4,2025 3,0026 1,6906 0,4595 -0,5352 -1,2236 -1,6228 -1,8176 -1,9266 -2,0513 -2,2424 -2,4825 -2,6804 -2,7109 -2,4789 -1,9673 -1,2514 -0,4547 0,3164 0,9863 1,5008 1,8508 2,0732 2,1869 2,1769 2,0799 2,0249 2,1466 2,4800 2,9367 3,3544 3,5598 3,4235 2,9086 2,0970 1,1814 0,4054 -0,0649 -0,2428 -0,2595 -0,2231 -0,1625 -0,0720 0,0351 0,1310 0,2173 0,3423 0,5706 0,9344 1,4121 1,9369 2,4187 2,7605 2,8735 2,7099 2,3025 1,7656 1,2353 0,7944 0,4408 0,1076 -0,2930 -0,8161 -1,4345 -2,0420 -2,5232 -2,8266 -2,9761 -3,0262 -3,0022 -2,8761 -2,5976 -2,1374 -1,5046 -0,7419 0,0930 0,9420 1,7500 2,4549 2,9725 3,2094 3,1144 2,7195 2,1400 1,5454 1,1135 0,9801 1,1869 1,6431 2,1573 2,5383 2,6707 2,5189 2,1162 1,5677 1,0435 0,7252 0,7086 0,9419 1,2583 1,4769 1,4948 1,3234 1,0602 0,8245 0,7116 0,7886 1,0927 1,6243 2,3497 3,2035 4,0910 4,9107 5,5953 6,1428 6,5982 6,9817 7,2496 7,3345 7,1960 6,8517 6,3942 5,9492 5,5815 5,2431 4,8129 4,2073 3,4799 2,7969 2,3189 2,1202 2,1757 2,3914 2,6689 2,9575 3,2283 3,4246 3,5023 3,5091 3,5736 3,8130 4,2663 4,8984 5,6447 6,4409 7,2224 7,9344 8,5479 9,0532 9,4451 9,7253 9,9129 10,0366 10,1262 10,2193 10,3521 10,5200 10,6641 10,7233 10,6915 10,6057 10,4915 10,3450 10,1688 10,0113 9,9571 10,0709 10,3549 10,7579 11,2064 11,6191 11,9280 12,1286 12,2882 12,4797 12,7337 13,0448 13,3713 13,6351 13,7549 13,6807 13,4093 12,9748 12,4091 11,7517 11,1077 10,6299 10,4180 10,4565 10,6509 10,9138 11,2104 11,5264 11,8398 12,1495 12,4998 12,9508 13,5173 14,1157 14,5801 14,7769 14,7064 14,4782 14,1998 13,9064 13,5819 13,2035 12,7718 12,3259 11,9151 11,5619 11,2841 11,1408 11,2304 11,6366 12,3449 13,1874 13,9157 14,3753 14,5855 14,6581 14,7015 14,7878 14,9297 15,0828 15,2030 15,2863 15,3591 15,4385 15,4672 15,3021 14,8218 14,0499 13,1520 12,3301 11,7192 11,3639 11,2613 11,3859 11,6745 12,0259 12,3189 12,4336 12,3037 11,9659 11,5387 11,1327 10,7807 10,4695 10,2192 10,0907 10,1096 10,2081 10,2515 10,1386 9,8935 9,6313 9,4131 9,1842 8,8708 8,4862 8,1188 7,8570 7,7594 7,8782 8,2629 8,9120 9,7364 10,5798 11,2697 11,6563 11,6491 11,2627 10,6371 10,0155 9,6691 9,7777 10,3414 11,1881 12,0713 12,7798 13,1841 13,2367 12,9698 12,4860 11,9371 11,4959 11,3092 11,4355 11,7998 12,2078 12,4332 12,3264 11,8822 11,2489 10,6590 10,2938 10,1705 10,1475 10,0416 9,7353 9,1963 8,4581 7,6282 6,8800 6,3838 6,2210 6,3513 6,6644 7,0683 7,5269 8,0310 8,5765 9,1625 9,7883 10,4502 11,1415 11,8401 12,4927 13,0302 13,4044 13,5948 13,5855 13,3667 12,9657 12,4746 12,0452 11,8262 11,8804 12,1533 12,4977 12,7396 12,7734 12,6216 12,4076 12,2868 12,3698 12,6500 13,0037 13,2705 13,3221 13,0928 12,6060 11,9652 11,2963 10,7150 10,3452 10,2957 10,5794 11,0869 11,6540 12,1345 12,4273 12,4817 12,3152 12,0276 11,7604 11,6061 11,5544 11,5242 11,4190 11,1537 10,6801 10,0234 9,2956 8,6650 8,2865 8,2367 8,4903 8,9258 9,3631 9,6586 9,7940 9,8622 9,9965 10,3189 10,9017 11,7305 12,6923 13,6119 14,3225 14,7236 14,8044 14,6274 14,2720 13,7732 13,1344 12,4104 11,7383 11,2601 11,0337 11,0134 11,0830 11,0984 10,9315 10,5100 9,8407 9,0148 8,1831 7,4935 7,0073 6,6591 6,3202 5,9293 5,5554 5,3238 5,3059 5,4947 5,8396 6,2587 6,6406 6,8876 6,9668 6,9109 6,7762 6,6095 6,4361 6,2612 6,0734 5,8386 5,5071 5,0406 4,4341 3,7300 3,0124 2,3827 1,9386 1,7409 1,7748 1,9528 2,1688 2,3668 2,5608 2,7796 3,0148 3,2403 3,4485 3,6410 3,8160 3,9754 4,1132 4,1928 4,1751 4,0759 3,9853 4,0305 4,2932 4,7426 5,2620 5,7483 6,1707 6,5348 6,8192 6,9639 6,9119 6,6477 6,2077 5,6698 5,1202 4,6263 4,2651 4,1435
Fz    0,0108 0,1136 0,3314 0,6700 1,0933 1,5264 1,8858 2,1130 2,1991 2,1815 2,1132 2,0257 1,9168 1,7711 1,5887 1,3845 1,1660 0,9288 0,6712 0,4052 0,1541 -0,0605 -0,2265 -0,3385 -0,4012 -0,4403 -0,4963 -0,6013 -0,7693 -0,9897 -1,2088 -1,3385 -1,3120 -1,1284 -0,8368 -0,5068 -0,2160 -0,0384 -0,0241 -0,1870 -0,4955 -0,8707 -1,2158 -1,4665 -1,6140 -1,6876 -1,7346 -1,8142 -1,9801 -2,2508 -2,5958 -2,9510 -3,2474 -3,4246 -3,4343 -3,2607 -2,9470 -2,5913 -2,3091 -2,1801 -2,2044 -2,3064 -2,3892 -2,3916 -2,3049 -2,1566 -1,9933 -1,8732 -1,8548 -1,9694 -2,1987 -2,4935 -2,8204 -3,1848 -3,5999 -4,0439 -4,4662 -4,8380 -5,1750 -5,5008 -5,8011 -6,0234 -6,1071 -6,0157 -5,7522 -5,3540 -4,8769 -4,3802 -3,9227 -3,5520 -3,2762 -3,0527 -2,8238 -2,5709 -2,3264 -2,1431 -2,0653 -2,1262 -2,3513 -2,7501 -3,2985 -3,9395 -4,6141 -5,2821 -5,9139 -6,4830 -6,9753 -7,3957 -7,7638 -8,1009 -8,4128 -8,6751 -8,8433 -8,8905 -8,8311 -8,7011 -8,5176 -8,2656 -7,9189 -7,4647 -6,9055 -6,2531 -5,5220 -4,7179 -3,8339 -2,8664 -1,8325 -0,7711 0,2653 1,2249 2,0723 2,7897 3,3669 3,7918 4,0453 4,1023 3,9448 3,5744 3,0206 2,3413 1,6097 0,8922 0,2319 -0,3556 -0,8742 -1,3399 -1,7756 -2,2050 -2,6436 -3,0730 -3,4244 -3,6092 -3,5705 -3,3072 -2,8667 -2,3206 -1,7385 -1,1755 -0,6662 -0,2175 0,1781 0,5062 0,7328 0,8545 0,9210 0,9933 1,0925 1,1878 1,2193 1,1270 0,8675 0,4252 -0,1727 -0,8482 -1,4886 -2,0015 -2,3646 -2,6122 -2,7850 -2,9061 -2,9915 -3,0608 -3,1292 -3,1895 -3,2093 -3,1471 -2,9776 -2,7051 -2,3633 -2,0082 -1,7045 -1,5110 -1,4674 -1,5806 -1,8168 -2,1198 -2,4488 -2,7991 -3,1929 -3,6579 -4,2004 -4,7791 -5,3089 -5,7049 -5,9262 -5,9818 -5,9078 -5,7387 -5,4899 -5,1610 -4,7562 -4,2988 -3,8237 -3,3567 -2,9075 -2,4851 -2,1167 -1,8484 -1,7230 -1,7529 -1,9082 -2,1228 -2,3122 -2,4000 -2,3427 -2,1494 -1,8879 -1,6588 -1,5477 -1,5959 -1,8027 -2,1350 -2,5309 -2,9073 -3,1851 -3,3214 -3,3258 -3,2500 -3,1583 -3,0964 -3,0725 -3,0633 -3,0384 -2,9757 -2,8584 -2,6720 -2,4091 -2,0738 -1,6837 -1,2696 -0,8679 -0,5057 -0,1892 0,0913 0,3382 0,5311 0,6419 0,6561 0,5802 0,4427 0,2794 0,1060 -0,0944 -0,3576 -0,7026 -1,0985 -1,4707 -1,7391 -1,8509 -1,7970 -1,6109 -1,3443 -1,0389 -0,7226 -0,4183 -0,1334 0,1553 0,4890 0,8979 1,3825 1,9120 2,4441 2,9455 3,3932 3,7719 4,0761 4,3142 4,5044 4,6636 4,8013 4,9205 5,0257 5,1332 5,2657 5,4279 5,5896 5,7023 5,7329 5,6749 5,5370 5,3380 5,1161 4,9249 4,8156 4,8197 4,9420 5,1613 5,4380 5,7237 5,9793 6,1998 6,4112 6,6402 6,8953 7,1711 7,4480 7,6890 7,8505 7,9001 7,8330 7,6729 7,4497 7,1852 6,9075 6,6569 6,4692 6,3620 6,3396 6,4047 6,5594 6,7922 7,0739 7,3768 7,6953 8,0419 8,4218 8,8057 9,1343 9,3575 9,4679 9,4905 9,4486 9,3515 9,2058 9,0205 8,8078 8,5911 8,4002 8,2536 8,1612 8,1449 8,2443 8,4928 8,8791 9,3284 9,7393 10,0473 10,2394 10,3168 10,2781 10,1327 9,9057 9,6314 9,3488 9,0927 8,8865 8,7338 8,5956 8,3900 8,0460 7,5607 6,9967 6,4376 5,9498 5,5717 5,3214 5,1999 5,1811 5,2111 5,2250 5,1728 5,0412 4,8564 4,6619 4,4883 4,3396 4,2106 4,1133 4,0737 4,0971 4,1468 4,1633 4,1094 4,0031 3,8978 3,8248 3,7668 3,6938 3,6064 3,5333 3,5038 3,5358 3,6428 3,8349 4,1076 4,4376 4,7890 5,1192 5,3795 5,5240 5,5334 5,4312 5,2795 5,1538 5,1075 5,1447 5,2212 5,2722 5,2417 5,0929 4,8106 4,4107 3,9459 3,4957 3,1433 2,9487 2,9284 3,0437 3,2068 3,3160 3,3048 3,1713 2,9730 2,7893 2,6708 2,6117 2,5659 2,4848 2,3407 2,1262 1,8529 1,5605 1,3174 1,1970 1,2462 1,4659 1,8182 2,2524 2,7249 3,2038 3,6679 4,1086 4,5299 4,9476 5,3837 5,8506 6,3309 6,7725 7,1118 7,3054 7,3417 7,2346 7,0146 6,7364 6,4835 6,3405 6,3467 6,4817 6,6821 6,8704 6,9882 7,0188 6,9836 6,9244 6,8795 6,8575 6,8360 6,7893 6,7037 6,5758 6,4198 6,2703 6,1650 6,1290 6,1818 6,3360 6,5757 6,8542 7,1193 7,3276 7,4441 7,4468 7,3410 7,1678 6,9855 6,8287 6,6881 6,5295 6,3230 6,0521 5,7156 5,3310 4,9371 4,5891 4,3438 4,2378 4,2717 4,4026 4,5543 4,6604 4,7038 4,7174 4,7594 4,8927 5,1616 5,5684 6,0637 6,5644 6,9865 7,2701 7,3882 7,3454 7,1640 6,8687 6,4900 6,0831 5,7206 5,4556 5,2934 5,1962 5,1079 4,9740 4,7549 4,4346 4,0263 3,5710 3,1234 2,7264 2,3887 2,0823 1,7689 1,4404 1,1315 0,8861 0,7188 0,6118 0,5332 0,4461 0,3153 0,1254 -0,1120 -0,3771 -0,6572 -0,9400 -1,2110 -1,4627 -1,6975 -1,9247 -2,1543 -2,3907 -2,6259 -2,8340 -2,9741 -3,0050 -2,8984 -2,6513 -2,2959 -1,8919 -1,4979 -1,1410 -0,8183 -0,5282 -0,2848 -0,1006 0,0322 0,1356 0,2299 0,3263 0,4226 0,5036 0,5570 0,5934 0,6475 0,7602 0,9445 1,1572 1,3211 1,3835 1,3485 1,2556 1,1386 1,0086 0,8628 0,6965 0,5068 0,2977 0,0796 -0,1321 -0,2996 -0,3553
F3    -0,5936 -0,4982 -0,2630 0,1042 0,5501 0,9844 1,3139 1,4804 1,4876 1,3968 1,2839 1,1885 1,1007 0,9970 0,8773 0,7565 0,6345 0,4938 0,3213 0,1241 -0,0701 -0,2289 -0,3317 -0,3719 -0,3545 -0,3033 -0,2571 -0,2514 -0,3063 -0,4176 -0,5381 -0,5871 -0,5089 -0,3136 -0,0514 0,2219 0,4476 0,5655 0,5291 0,3217 -0,0307 -0,4550 -0,8566 -1,1644 -1,3507 -1,4179 -1,3956 -1,3529 -1,3791 -1,5313 -1,8004 -2,1286 -2,4472 -2,6897 -2,7918 -2,7164 -2,4941 -2,2266 -2,0416 -2,0259 -2,1750 -2,3959 -2,5711 -2,6284 -2,5594 -2,3931 -2,1769 -1,9787 -1,8796 -1,9318 -2,1189 -2,3746 -2,6486 -2,9445 -3,2855 -3,6639 -4,0406 -4,3899 -4,7229 -5,0529 -5,3488 -5,5356 -5,5386 -5,3241 -4,9132 -4,3715 -3,7814 -3,2185 -2,7473 -2,4163 -2,2353 -2,1614 -2,1247 -2,0747 -2,0004 -1,9178 -1,8564 -1,8617 -1,9943 -2,3084 -2,8135 -3,4595 -4,1702 -4,8817 -5,5467 -6,1306 -6,6192 -7,0208 -7,3534 -7,6302 -7,8514 -7,9997 -8,0505 -8,0012 -7,8826 -7,7292 -7,5405 -7,2795 -6,9083 -6,4161 -5,8160 -5,1341 -4,4005 -3,6312 -2,8193 -1,9549 -1,0484 -0,1339 0,7417 1,5357 2,2229 2,7974 3,2652 3,6351 3,9012 4,0354 4,0063 3,8015 3,4386 2,9648 2,4420 1,9264 1,4535 1,0403 0,6934 0,4023 0,1318 -0,1665 -0,5282 -0,9405 -1,3233 -1,5627 -1,5716 -1,3237 -0,8554 -0,2491 0,3952 0,9870 1,4683 1,8319 2,1063 2,3099 2,4373 2,5024 2,5594 2,6617 2,8152 2,9741 3,0681 3,0301 2,8096 2,3856 1,7838 1,0853 0,4041 -0,1702 -0,6169 -0,9639 -1,2337 -1,4258 -1,5370 -1,5819 -1,5853 -1,5568 -1,4801 -1,3263 -1,0789 -0,7489 -0,3732 -0,0043 0,3038 0,5027 0,5549 0,4446 0,1904 -0,1568 -0,5403 -0,9284 -1,3246 -1,7541 -2,2351 -2,7477 -3,2295 -3,6106 -3,8560 -3,9760 -4,0050 -3,9691 -3,8668 -3,6766 -3,3844 -3,0014 -2,5585 -2,0897 -1,6261 -1,2045 -0,8739 -0,6891 -0,6870 -0,8593 -1,1452 -1,4522 -1,6834 -1,7648 -1,6691 -1,4301 -1,1379 -0,9034 -0,8097 -0,8899 -1,1354 -1,5031 -1,9168 -2,2796 -2,5061 -2,5640 -2,4888 -2,3582 -2,2453 -2,1872 -2,1766 -2,1757 -2,1474 -2,0757 -1,9553 -1,7759 -1,5252 -1,1993 -0,8084 -0,3788 0,0531 0,4557 0,8155 1,1331 1,3974 1,5766 1,6420 1,5927 1,4588 1,2932 1,1460 1,0308 0,9170 0,7574 0,5276 0,2507 -0,0159 -0,2168 -0,3219 -0,3308 -0,2690 -0,1686 -0,0443 0,1025 0,2633 0,4308 0,6220 0,8710 1,2007 1,6068 2,0616 2,5313 2,9882 3,4088 3,7704 4,0564 4,2626 4,3947 4,4634 4,4848 4,4794 4,4689 4,4764 4,5179 4,5848 4,6437 4,6625 4,6380 4,5939 4,5538 4,5260 4,5144 4,5324 4,5975 4,7142 4,8676 5,0383 5,2138 5,3823 5,5328 5,6775 5,8521 6,0788 6,3443 6,6160 6,8560 7,0239 7,0924 7,0618 6,9554 6,8010 6,6137 6,4024 6,1919 6,0243 5,9377 5,9464 6,0423 6,2101 6,4358 6,6984 6,9645 7,2101 7,4398 7,6747 7,9253 8,1759 8,3890 8,5352 8,6229 8,6889 8,7565 8,8140 8,8312 8,7808 8,6484 8,4434 8,1952 7,9392 7,7153 7,5773 7,5841 7,7708 8,1138 8,5206 8,8699 9,0793 9,1377 9,0786 8,9441 8,7721 8,5926 8,4258 8,2836 8,1708 8,0865 8,0231 7,9456 7,7846 7,4793 7,0348 6,5265 6,0493 5,6650 5,3900 5,2211 5,1520 5,1583 5,1881 5,1790 5,0847 4,8966 4,6459 4,3819 4,1448 3,9503 3,7981 3,6948 3,6604 3,7049 3,8002 3,8854 3,9038 3,8435 3,7370 3,6121 3,4574 3,2470 2,9842 2,7063 2,4600 2,2854 2,2162 2,2764 2,4683 2,7691 3,1365 3,5114 3,8201 3,9945 4,0062 3,8886 3,7307 3,6415 3,6974 3,9016 4,1881 4,4653 4,6614 4,7339 4,6578 4,4315 4,0955 3,7311 3,4319 3,2660 3,2480 3,3303 3,4254 3,4527 3,3756 3,2159 3,0416 2,9274 2,9055 2,9431 2,9621 2,8869 2,6798 2,3419 1,9030 1,4224 0,9849 0,6749 0,5436 0,5895 0,7696 1,0338 1,3473 1,6877 2,0407 2,4067 2,8007 3,2406 3,7316 4,2550 4,7652 5,2002 5,5076 5,6630 5,6655 5,5260 5,2709 4,9611 4,6904 4,5419 4,5426 4,6588 4,8199 4,9452 4,9813 4,9306 4,8404 4,7679 4,7529 4,7977 4,8684 4,9201 4,9164 4,8373 4,6936 4,5324 4,4144 4,3852 4,4692 4,6691 4,9576 5,2870 5,6154 5,9107 6,1397 6,2701 6,2897 6,2217 6,1097 5,9842 5,8481 5,6904 5,4958 5,2480 4,9388 4,5812 4,2137 3,8919 3,6683 3,5716 3,5923 3,6778 3,7471 3,7393 3,6520 3,5294 3,4351 3,4380 3,5905 3,8972 4,3036 4,7205 5,0615 5,2684 5,3219 5,2385 5,0458 4,7594 4,3935 3,9927 3,6295 3,3592 3,1887 3,0843 2,9938 2,8645 2,6618 2,3796 2,0381 1,6765 1,3438 1,0834 0,9096 0,7940 0,6866 0,5605 0,4321 0,3291 0,2508 0,1696 0,0529 -0,1228 -0,3627 -0,6462 -0,9362 -1,1979 -1,4119 -1,5742 -1,6963 -1,8014 -1,9114 -2,0372 -2,1792 -2,3357 -2,5099 -2,6993 -2,8833 -3,0232 -3,0754 -3,0150 -2,8559 -2,6454 -2,4335 -2,2433 -2,0699 -1,9075 -1,7624 -1,6357 -1,5144 -1,3944 -1,2932 -1,2305 -1,2130 -1,2389 -1,2968 -1,3581 -1,3796 -1,3166 -1,1521 -0,9229 -0,7046 -0,5612 -0,5111 -0,5366 -0,6136 -0,7271 -0,8664 -1,0205 -1,1859 -1,3674 -1,5708 -1,7892 -1,9781 -2,0507
F7    -1,2120 -1,2900 -1,2371 -1,0576 -0,7932 -0,5157 -0,2969 -0,1790 -0,1566 -0,1816 -0,1962 -0,1734 -0,1283 -0,0861 -0,0515 -0,0235 -0,0217 -0,0773 -0,2020 -0,3754 -0,5500 -0,6696 -0,6939 -0,6109 -0,4372 -0,2135 0,0095 0,1879 0,2934 0,3228 0,3127 0,3275 0,4094 0,5508 0,7221 0,8977 1,0494 1,1436 1,1538 1,0686 0,8934 0,6560 0,4064 0,1981 0,0736 0,0567 0,1311 0,2226 0,2341 0,1090 -0,1431 -0,4719 -0,8213 -1,1425 -1,3929 -1,5459 -1,6119 -1,6429 -1,7091 -1,8608 -2,0966 -2,3564 -2,5570 -2,6456 -2,6211 -2,5134 -2,3613 -2,2188 -2,1582 -2,2273 -2,4061 -2,6283 -2,8497 -3,0719 -3,3049 -3,5318 -3,7181 -3,8446 -3,9260 -3,9889 -4,0320 -4,0156 -3,8885 -3,6203 -3,2187 -2,7260 -2,2050 -1,7222 -1,3375 -1,0900 -0,9783 -0,9544 -0,9503 -0,9170 -0,8431 -0,7435 -0,6449 -0,5890 -0,6350 -0,8413 -1,2253 -1,7424 -2,3148 -2,8769 -3,3870 -3,8218 -4,1743 -4,4492 -4,6542 -4,7977 -4,8898 -4,9392 -4,9533 -4,9477 -4,9473 -4,9664 -4,9870 -4,9639 -4,8518 -4,6274 -4,2908 -3,8604 -3,3586 -2,7908 -2,1430 -1,4104 -0,6194 0,1737 0,9063 1,5368 2,0579 2,4883 2,8548 3,1785 3,4617 3,6824 3,8075 3,8120 3,6947 3,4774 3,1884 2,8492 2,4817 2,1228 1,8237 1,6222 1,5145 1,4539 1,3754 1,2403 1,0740 0,9512 0,9466 1,0985 1,3997 1,8032 2,2383 2,6296 2,9217 3,1020 3,1951 3,2276 3,2137 3,1744 3,1444 3,1483 3,1841 3,2230 3,2201 3,1270 2,9024 2,5257 2,0130 1,4183 0,8115 0,2451 -0,2616 -0,7026 -1,0558 -1,2846 -1,3707 -1,3334 -1,2174 -1,0658 -0,8993 -0,7145 -0,4976 -0,2414 0,0464 0,3418 0,6096 0,8145 0,9338 0,9632 0,9194 0,8395 0,7613 0,6936 0,6042 0,4381 0,1562 -0,2309 -0,6621 -1,0586 -1,3664 -1,5810 -1,7348 -1,8542 -1,9251 -1,9021 -1,7479 -1,4588 -1,0619 -0,5977 -0,1117 0,3405 0,6890 0,8665 0,8431 0,6524 0,3776 0,1126 -0,0645 -0,1090 -0,0263 0,1279 0,2658 0,3040 0,1982 -0,0532 -0,4298 -0,8993 -1,4108 -1,8937 -2,2808 -2,5427 -2,6972 -2,7839 -2,8362 -2,8718 -2,8912 -2,8815 -2,8319 -2,7431 -2,6111 -2,4132 -2,1184 -1,7091 -1,1972 -0,6251 -0,0504 0,4769 0,9320 1,3150 1,6309 1,8735 2,0377 2,1365 2,2045 2,2850 2,4034 2,5398 2,6379 2,6413 2,5206 2,2851 1,9822 1,6764 1,4205 1,2338 1,1014 1,0016 0,9352 0,9162 0,9424 0,9998 1,0878 1,2173 1,3928 1,6037 1,8259 2,0321 2,2006 2,3141 2,3596 2,3338 2,2488 2,1266 1,9887 1,8504 1,7228 1,6213 1,5722 1,5921 1,6593 1,7242 1,7470 1,7185 1,6516 1,5652 1,4802 1,4242 1,4265 1,5044 1,6507 1,8402 2,0525 2,2800 2,5134 2,7406 2,9695 3,2292 3,5286 3,8405 4,1330 4,3887 4,5934 4,7384 4,8346 4,9102 4,9877 5,0658 5,1301 5,1806 5,2405 5,3403 5,4979 5,7130 5,9752 6,2689 6,5690 6,8376 7,0399 7,1607 7,2022 7,1757 7,0971 6,9859 6,8652 6,7652 6,7116 6,6958 6,6701 6,5828 6,4137 6,1832 5,9392 5,7256 5,5608 5,4496 5,4054 5,4495 5,5918 5,8097 6,0432 6,2175 6,2827 6,2364 6,1104 5,9402 5,7544 5,5799 5,4432 5,3583 5,3213 5,3220 5,3537 5,3989 5,4127 5,3432 5,1740 4,9396 4,6998 4,5056 4,3855 4,3594 4,4386 4,5998 4,7777 4,9024 4,9441 4,9180 4,8591 4,8001 4,7636 4,7514 4,7412 4,7051 4,6373 4,5546 4,4735 4,3919 4,2898 4,1460 3,9489 3,6850 3,3310 2,8764 2,3495 1,8068 1,3030 0,8783 0,5608 0,3635 0,2829 0,3085 0,4263 0,6029 0,7785 0,8877 0,8950 0,8213 0,7477 0,7846 1,0060 1,3997 1,8789 2,3420 2,7256 3,0069 3,1771 3,2378 3,2238 3,2053 3,2557 3,4102 3,6484 3,9063 4,1110 4,2161 4,2165 4,1497 4,0811 4,0673 4,1183 4,1908 4,2130 4,1245 3,9061 3,5815 3,2015 2,8318 2,5374 2,3624 2,3135 2,3558 2,4297 2,4858 2,5025 2,4797 2,4352 2,4057 2,4348 2,5495 2,7459 2,9922 3,2384 3,4299 3,5268 3,5152 3,3956 3,1657 2,8296 2,4276 2,0401 1,7461 1,5842 1,5507 1,6126 1,7164 1,8139 1,8908 1,9646 2,0661 2,2260 2,4539 2,7183 2,9574 3,1093 3,1401 3,0590 2,9166 2,7865 2,7377 2,8127 3,0128 3,2990 3,6230 3,9576 4,2927 4,6134 4,8950 5,1174 5,2799 5,3924 5,4548 5,4541 5,3812 5,2334 5,0103 4,7216 4,3960 4,0720 3,7826 3,5478 3,3734 3,2524 3,1653 3,0855 2,9975 2,9049 2,8197 2,7641 2,7786 2,9003 3,1256 3,4008 3,6492 3,8034 3,8235 3,7058 3,4748 3,1571 2,7592 2,2875 1,7908 1,3543 1,0416 0,8591 0,7700 0,7165 0,6396 0,5071 0,3275 0,1362 -0,0229 -0,1108 -0,1066 -0,0189 0,1114 0,2339 0,3260 0,4032 0,4852 0,5642 0,6065 0,5737 0,4421 0,2244 -0,0281 -0,2532 -0,4068 -0,4716 -0,4562 -0,3951 -0,3364 -0,3158 -0,3403 -0,3967 -0,4722 -0,5683 -0,6921 -0,8342 -0,9543 -0,9939 -0,9165 -0,7411 -0,5322 -0,3589 -0,2583 -0,2268 -0,2405 -0,2731 -0,2941 -0,2734 -0,2109 -0,1471 -0,1303 -0,1791 -0,2796 -0,4026 -0,5197 -0,6080 -0,6479 -0,6285 -0,5603 -0,4721 -0,3970 -0,3598 -0,3733 -0,4442 -0,5769 -0,7637 -0,9823 -1,2149 -1,4589 -1,7142 -1,9665 -2,1726 -2,2606
