Fp1   0,3785 0,0897 0,0782 0,3031 0,5540 0,5067 -0,0875 -1,2112 -2,6147 -4,0164 -5,2303 -6,1477 -6,6705 -6,6840 -6,1028 -4,9458 -3,3393 -1,4168 0,7795 3,2485 5,8579 8,2611 9,9901 10,6213 9,9289 7,9978 5,2172 2,1386 -0,6913 -2,8516 -4,1547 -4,7006 -4,7662 -4,5688 -4,1133 -3,2671 -1,9649 -0,3222 1,4156 2,9740 4,0973 4,5794 4,3280 3,4208 2,0805 0,5703 -0,8956 -2,1534 -3,0498 -3,4507 -3,3071 -2,6993 -1,7900 -0,7370 0,3189 1,2195 1,8209 2,0748 2,0497 1,8761 1,6949 1,6320 1,7424 1,9272 1,9232 1,4187 0,2155 -1,6874 -4,1095 -6,7179 -9,0488 -10,5527 -10,7095 -9,2371 -6,2760 -2,3647 1,7730 5,4553 8,1910 9,7492 10,1352 9,4976 8,0531 6,0546 3,7611 1,4037 -0,8148 -2,6915 -4,0209 -4,6331 -4,4356 -3,4552 -1,9072 -0,2187 1,1011 1,6845 1,4513 0,6217 -0,3483 -0,9308 -0,7922 0,0303 1,2058 2,3137 2,9813 2,9737 2,2756 1,0794 -0,3365 -1,7337 -2,9345 -3,7392 -3,8748 -3,1258 -1,5876 0,2240 1,5805 1,8994 0,9711 -1,0120 -3,5344 -5,9254 -7,6239 -8,3989 -8,3555 -7,7665 -6,9098 -5,9732 -4,9919 -3,8568 -2,4490 -0,8192 0,7475 1,8743 2,3342 2,1626 1,5801 0,8807 0,3705 0,3003 0,7962 1,8250 3,1565 4,3669 4,9988 4,8249 4,0045 3,0055 2,3407 2,2700 2,6460 3,0170 2,9143 2,1166 0,7750 -0,6029 -1,3489 -0,9898 0,4723 2,5694 4,6323 6,1266 6,8627 6,9854 6,7974 6,5325 6,2446 5,9216 5,6460 5,5755 5,8058 6,3142 7,0244 7,8870 8,8881 9,9962 11,1012 12,0005 12,4766 12,4099 11,8263 10,8474 9,6005 8,1672 6,5868 4,9047 3,2480 1,8106 0,6837 -0,2667 -1,3067 -2,6392 -4,2735 -5,9823 -7,3507 -7,9642 -7,6891 -6,8166 -5,9063 -5,4257 -5,4628 -5,7298 -5,7985 -5,3354 -4,2189 -2,5627 -0,6676 1,0781 2,3135 2,8215 2,6097 1,8966 0,9848 0,0891 -0,7575 -1,6672 -2,8055 -4,3033 -6,1610 -8,1949 -10,0976 -11,5452 -12,2434 -11,9247 -10,3908 -7,6332 -3,9524 0,0299 3,5059 5,7181 6,1948 4,8997 2,2541 -0,9838 -3,9833 -6,1622 -7,3654 -7,7863 -7,7235 -7,3594 -6,7192 -5,8063 -4,7083 -3,5512 -2,4486 -1,5625 -1,1660 -1,6048 -3,1621 -5,8784 -9,4232 -13,1249 -16,1754 -17,9190 -18,0739 -16,7657 -14,3751 -11,3448 -8,0742 -4,8990 -2,1049 0,0606 1,3982 1,7751 1,1197 -0,5551 -3,0374 -5,8789 -8,5897 -10,8471 -12,4629 -13,2439 -13,0040 -11,7347 -9,7349 -7,5394 -5,7010 -4,6092 -4,4319 -5,1394 -6,5605 -8,4556 -10,5833 -12,7223 -14,6549 -16,1759 -17,1525 -17,5885 -17,6167 -17,4038 -17,0821 -16,8108 -16,8451 -17,4405 -18,6170 -19,9754 -20,7702 -20,2796 -18,2300 -14,9395 -11,0913 -7,3792 -4,3134 -2,2359 -1,3956 -1,9695 -4,0173 -7,3820 -11,5943 -15,9209 -19,5912 -22,0699 -23,2058 -23,2018 -22,4606 -21,3806 -20,1847 -18,8837 -17,3795 -15,6008 -13,5928 -11,5608 -9,8668 -8,9455 -9,1329 -10,4772 -12,6697 -15,1543 -17,3443 -18,8495 -19,6131 -19,8315 -19,7021 -19,2659 -18,5054 -17,5256 -16,5685 -15,8670 -15,5433 -15,6231 -16,0754 -16,8151 -17,6554 -18,2727 -18,3197 -17,6445 -16,3845 -14,8575 -13,3903 -12,2405 -11,6027 -11,5652 -12,0130 -12,6348 -13,1220 -13,3932 -13,6072 -13,9693 -14,5715 -15,3989 -16,4157 -17,6192 -19,0223 -20,5682 -22,0225 -22,9452 -22,8468 -21,4844 -19,0764 -16,2548 -13,7863 -12,2496 -11,8571 -12,4769 -13,7782 -15,3890 -17,0083 -18,4660 -19,7157 -20,7733 -21,6327 -22,2113 -22,3745 -22,0175 -21,1366 -19,8612 -18,4241 -17,0712 -15,9520 -15,0391 -14,1442 -13,0829 -11,8683 -10,7348 -9,9917 -9,8793 -10,5170 -11,8850 -13,8120 -16,0280 -18,2677 -20,3222 -22,0264 -23,2311 -23,7888 -23,5956 -22,6809 -21,2369 -19,5341 -17,8202 -16,2852 -15,0721 -14,2906 -13,9999 -14,1738 -14,7200 -15,5403 -16,5354 -17,5727 -18,5137 -19,2651 -19,7534 -19,8637 -19,4704 -18,5551 -17,3098 -16,1255 -15,4238 -15,4507 -16,1905 -17,3828 -18,6032 -19,4360 -19,6762 -19,4199 -18,9809 -18,6527 -18,4488 -18,0817 -17,2783 -16,1232 -15,0342 -14,4087 -14,3468 -14,7044 -15,3288 -16,1798 -17,2640 -18,5400 -19,8975 -21,1874 -22,2555 -22,9668 -23,2344 -23,0468 -22,4514 -21,5075 -20,2843 -18,9094 -17,5894 -16,5450 -15,9031 -15,6498 -15,6829 -15,8911 -16,1924 -16,5132 -16,7337 -16,6980 -16,3494 -15,8826 -15,7267 -16,3114 -17,7606 -19,7687 -21,7967 -23,4029 -24,4081 -24,8318 -24,7382 -24,1263 -22,9456 -21,1946 -18,9729 -16,4509 -13,8498 -11,4621 -9,6397 -8,7258 -8,9429 -10,2398 -12,2364 -14,3924 -16,2509 -17,5710 -18,3605 -18,8598 -19,4545 -20,4731 -21,9323 -23,4636 -24,5225 -24,6719 -23,7367 -21,8268 -19,2868 -16,5951 -14,2085 -12,4171 -11,3033 -10,7863 -10,6875 -10,7918 -10,9036 -10,9061 -10,8261 -10,8351 -11,1339 -11,8239 -12,9001 -14,2780 -15,7187 -16,7842 -17,0088 -16,1707 -14,4332 -12,2776 -10,2661 -8,7517 -7,7423 -7,0219 -6,3940 -5,8359 -5,4838 -5,4755 -5,7703 -6,1241 -6,2520 -6,0038 -5,4446 -4,8540 -4,6074 -4,9482 -5,8299 -6,9656 -8,0156 -8,7700 -9,2337 -9,5755 -9,9947 -10,5900 -11,2746 -11,7897 -11,8518 -11,3305 -10,3093 -9,0161 -7,7130 -6,6075 -5,8270 -5,4702 -5,6503 -6,4232 -7,6716 -9,1164 -10,4745 -11,5967 -12,4451 -12,9747 -13,0942 -12,7507 -11,9986 -10,9434 -9,6395 -8,1039 -6,4571 -5,0219 -4,2333 -4,4049 -5,5295 -7,2644 -9,1213 -10,7138 -11,8825 -12,6434 -13,0525 -13,1150 -12,7937 -12,0803 -11,0571 -9,9138 -8,9107 -8,2889 -8,1783 -8,5562 -9,2497 -9,9762 -10,4363 -10,4289 -9,9176
Fz    -1,8885 -2,2359 -2,3276 -2,1577 -1,8052 -1,4389 -1,2301 -1,2440 -1,4568 -1,8558 -2,4559 -3,2215 -4,0072 -4,5893 -4,7733 -4,5056 -3,8878 -3,0681 -2,1232 -1,0670 0,0495 1,0894 1,8698 2,2348 2,1209 1,5934 0,8379 0,1203 -0,2804 -0,1834 0,3762 1,1432 1,7989 2,1500 2,2084 2,1434 2,1693 2,4334 2,9528 3,6068 4,1820 4,4725 4,3771 3,9097 3,1408 2,1611 1,0821 0,0265 -0,8897 -1,5576 -1,8857 -1,8514 -1,5467 -1,1543 -0,8726 -0,8428 -1,1057 -1,5913 -2,1438 -2,5838 -2,7868 -2,7302 -2,4797 -2,1354 -1,7937 -1,5528 -1,5154 -1,7465 -2,2234 -2,8291 -3,3937 -3,7526 -3,7891 -3,4642 -2,8324 -2,0144 -1,1345 -0,2703 0,5534 1,3164 1,9373 2,2729 2,1942 1,6549 0,7028 -0,5344 -1,8553 -2,9982 -3,7011 -3,7912 -3,2338 -2,1289 -0,7037 0,7225 1,8405 2,4737 2,6294 2,4593 2,1794 1,9764 1,9125 1,8976 1,7725 1,4203 0,8111 -0,0115 -0,9485 -1,8504 -2,5461 -2,9131 -2,9307 -2,6548 -2,1478 -1,4677 -0,7344 -0,1607 0,0262 -0,3004 -1,1189 -2,2676 -3,4748 -4,4411 -4,9709 -5,0483 -4,7835 -4,3026 -3,6948 -3,0153 -2,2808 -1,4710 -0,5703 0,3740 1,2275 1,8079 1,9844 1,7598 1,2596 0,6593 0,1144 -0,2834 -0,5005 -0,5172 -0,3195 0,0673 0,5901 1,2351 2,0534 3,1001 4,3460 5,6365 6,7176 7,3179 7,2537 6,5004 5,2059 3,6554 2,1912 1,0946 0,4936 0,3622 0,6065 1,1474 1,9294 2,8831 3,8993 4,8427 5,6100 6,2070 6,7611 7,4141 8,1811 8,9354 9,5327 9,9206 10,1338 10,2268 10,2048 9,9879 9,4582 8,5690 7,4038 6,1456 5,0162 4,2170 3,8638 3,9461 4,3597 4,9685 5,5985 6,0099 5,9591 5,3238 4,1711 2,7285 1,2949 0,1326 -0,6344 -1,0667 -1,3477 -1,6330 -1,9163 -2,0314 -1,7784 -1,0473 0,1324 1,5994 3,1182 4,4574 5,4286 5,8967 5,8196 5,2781 4,4267 3,4050 2,3113 1,2413 0,2922 -0,4746 -1,0346 -1,3653 -1,4367 -1,2290 -0,7452 0,0005 1,0118 2,3063 3,8432 5,4492 6,8377 7,7134 7,8798 7,3030 6,1187 4,5822 2,9840 1,5673 0,4753 -0,2569 -0,6560 -0,7337 -0,4692 0,1148 0,8940 1,6977 2,3925 2,8828 3,0738 2,8761 2,2381 1,1803 -0,1728 -1,5927 -2,8042 -3,5861 -3,8518 -3,6488 -3,0842 -2,2480 -1,1813 0,1180 1,6601 3,3914 5,1393 6,6398 7,6100 7,8244 7,2196 5,9513 4,3071 2,5804 1,0425 -0,0394 -0,4476 -0,1325 0,7077 1,7023 2,5059 2,9480 3,0363 2,8618 2,4946 1,9306 1,1242 0,0833 -1,0647 -2,1028 -2,8235 -3,1188 -3,0094 -2,6063 -2,0662 -1,5809 -1,3463 -1,4879 -1,9925 -2,6730 -3,1871 -3,1525 -2,3245 -0,7238 1,3691 3,5372 5,3719 6,5557 6,8988 6,3587 5,0261 3,0940 0,8481 -1,3496 -3,1364 -4,2598 -4,6617 -4,4895 -4,0262 -3,5505 -3,1856 -2,8476 -2,3272 -1,4217 -0,0537 1,6457 3,3485 4,6569 5,2601 5,0318 4,0464 2,5308 0,7829 -0,9149 -2,3709 -3,5135 -4,3514 -4,9124 -5,2125 -5,2426 -4,9506 -4,2665 -3,1774 -1,7729 -0,2386 1,1695 2,2130 2,8066 3,0345 3,0230 2,8391 2,4965 2,0029 1,3906 0,7221 0,0826 -0,4300 -0,7328 -0,8190 -0,7901 -0,7884 -0,8758 -0,9729 -0,9144 -0,5847 -0,0268 0,5805 1,0537 1,3249 1,4622 1,5819 1,7267 1,8156 1,7021 1,2881 0,5883 -0,3071 -1,2995 -2,2948 -3,1754 -3,8031 -4,0686 -3,9436 -3,5028 -2,9064 -2,3323 -1,8927 -1,5891 -1,3250 -0,9641 -0,4090 0,3335 1,1563 1,9520 2,7039 3,4371 4,0975 4,5381 4,6223 4,3138 3,6853 2,8741 2,0309 1,2695 0,6336 0,1169 -0,2886 -0,5663 -0,6844 -0,6258 -0,4208 -0,1620 0,0270 0,0598 -0,0646 -0,2678 -0,4330 -0,4494 -0,2603 0,0865 0,4398 0,6390 0,6087 0,3588 -0,0498 -0,5124 -0,9085 -1,1605 -1,2698 -1,3224 -1,4702 -1,8641 -2,5557 -3,4445 -4,3083 -4,8984 -5,0493 -4,7589 -4,1966 -3,6238 -3,2542 -3,1355 -3,1482 -3,1342 -3,0433 -2,9590 -2,9892 -3,1548 -3,3945 -3,6388 -3,8399 -3,9612 -3,9932 -3,9793 -3,9875 -4,0557 -4,1808 -4,3504 -4,5685 -4,8521 -5,2218 -5,6991 -6,2967 -6,9933 -7,7055 -8,2910 -8,6165 -8,6389 -8,4115 -8,0201 -7,5204 -6,9103 -6,1554 -5,2610 -4,3319 -3,5665 -3,1658 -3,2080 -3,6059 -4,2099 -4,9329 -5,7581 -6,6484 -7,4822 -8,0845 -8,3050 -8,0537 -7,2894 -6,0356 -4,4352 -2,7566 -1,3026 -0,3000 0,1554 0,1123 -0,2868 -0,9110 -1,6891 -2,5748 -3,5224 -4,5074 -5,5410 -6,6336 -7,7199 -8,6338 -9,1773 -9,2153 -8,7209 -7,7827 -6,5945 -5,4153 -4,4845 -3,9333 -3,7558 -3,8350 -3,9880 -4,0329 -3,8591 -3,4646 -2,9609 -2,5420 -2,3984 -2,6209 -3,1779 -3,9567 -4,7880 -5,4609 -5,7767 -5,6251 -5,0438 -4,2295 -3,4547 -2,9055 -2,5756 -2,3275 -2,0427 -1,7013 -1,3540 -1,0541 -0,8052 -0,5453 -0,1663 0,4504 1,3688 2,5056 3,6115 4,3925 4,6658 4,4130 3,7351 2,7809 1,6928 0,5961 -0,3852 -1,1365 -1,5735 -1,6501 -1,3799 -0,8778 -0,3538 -0,0268 -0,0079 -0,2450 -0,5759 -0,8447 -0,9884 -1,0324 -1,0198 -0,9631 -0,8762 -0,8311 -0,9480 -1,2998 -1,8323 -2,4012 -2,8893 -3,2656 -3,5385 -3,6938 -3,7088 -3,5996 -3,4220 -3,2199 -2,9845 -2,6638 -2,2096 -1,6049 -0,8658 -0,0601 0,6756 1,1711 1,2991 1,0204 0,3628 -0,6216 -1,8572 -3,2098 -4,4792 -5,4477 -5,9414 -5,8729 -5,2695 -4,2730 -3,0863
F3    -2,2600 -2,8353 -2,9405 -2,4039 -1,3096 -0,0220 0,9987 1,4282 1,1532 0,2153 -1,2152 -2,8224 -4,1927 -4,9494 -4,8911 -4,0631 -2,7313 -1,2643 0,0243 0,9756 1,5751 1,8734 1,9014 1,6411 1,0781 0,2810 -0,5833 -1,3007 -1,6562 -1,4799 -0,7530 0,3085 1,3464 2,0784 2,4388 2,5563 2,6317 2,8016 3,0767 3,3755 3,5887 3,6191 3,4049 2,9185 2,1517 1,1209 -0,1018 -1,3584 -2,4126 -3,0163 -3,0168 -2,4533 -1,5641 -0,6741 -0,0563 0,1332 -0,1354 -0,7496 -1,4559 -1,9512 -2,0573 -1,8486 -1,5981 -1,5788 -1,8961 -2,4658 -3,1054 -3,6381 -3,9518 -3,9998 -3,7675 -3,2569 -2,5064 -1,6147 -0,7103 0,1350 0,9484 1,7866 2,6442 3,4169 3,9042 3,8770 3,2120 1,9705 0,3643 -1,3233 -2,7952 -3,7824 -4,1003 -3,7092 -2,7132 -1,3094 0,2333 1,5941 2,4949 2,8246 2,6841 2,3263 2,0378 1,9964 2,1670 2,3477 2,3373 2,0509 1,5031 0,7543 -0,0847 -0,8394 -1,3370 -1,4969 -1,3380 -0,9125 -0,2601 0,5576 1,3827 1,9576 2,0368 1,5235 0,5065 -0,7919 -2,0871 -3,1231 -3,7769 -4,0792 -4,1149 -3,9191 -3,4791 -2,7839 -1,8264 -0,5978 0,8632 2,4062 3,7685 4,6555 4,8698 4,4119 3,4851 2,4097 1,4922 0,9137 0,7111 0,8350 1,1864 1,6268 2,0370 2,4171 2,9211 3,7499 4,9783 6,4672 7,9032 8,9091 9,1732 8,5490 7,1011 5,1137 3,0330 1,3148 0,2502 -0,1038 0,1403 0,8119 1,7491 2,8184 3,9072 4,9082 5,7430 6,4320 7,1047 7,8824 8,7412 9,5174 10,0420 10,2503 10,1913 9,9769 9,6918 9,3046 8,6874 7,7410 6,4813 5,0376 3,6221 2,4854 1,8403 1,7901 2,3120 3,2711 4,4152 5,3872 5,8262 5,5247 4,5207 3,0512 1,4218 -0,1110 -1,4195 -2,5307 -3,5556 -4,5423 -5,3720 -5,8008 -5,6000 -4,6731 -3,0942 -1,0840 1,0608 3,0340 4,5521 5,3985 5,5023 4,9572 3,9282 2,5490 0,9163 -0,8464 -2,5682 -4,0703 -5,1904 -5,8048 -5,8800 -5,4871 -4,7454 -3,7503 -2,5156 -0,9843 0,8418 2,7655 4,4290 5,4960 5,8028 5,3897 4,4419 3,1852 1,8097 0,4595 -0,7584 -1,7786 -2,5649 -3,0663 -3,2174 -3,0247 -2,6177 -2,1553 -1,7155 -1,3311 -1,0850 -1,1123 -1,5194 -2,3135 -3,3912 -4,5663 -5,6025 -6,2644 -6,4071 -6,0371 -5,2809 -4,3076 -3,2819 -2,3244 -1,4474 -0,5480 0,4818 1,6127 2,6189 3,1593 2,9922 2,1391 0,8324 -0,6427 -2,0291 -3,1038 -3,6957 -3,7514 -3,3929 -2,8704 -2,4211 -2,1684 -2,1276 -2,2672 -2,5691 -3,0525 -3,7451 -4,6117 -5,5100 -6,2361 -6,6155 -6,5664 -6,1248 -5,4282 -4,6869 -4,1664 -4,1213 -4,6786 -5,7653 -7,1074 -8,2779 -8,8237 -8,4434 -7,1088 -5,0600 -2,6875 -0,4054 1,4074 2,4447 2,5379 1,6873 0,0488 -2,0720 -4,2430 -6,0159 -7,1004 -7,4772 -7,3590 -7,0601 -6,8622 -6,8903 -7,0533 -7,0973 -6,7296 -5,7724 -4,2928 -2,6080 -1,1404 -0,2414 -0,0993 -0,7266 -1,9763 -3,5763 -5,2039 -6,5959 -7,6357 -8,3429 -8,7986 -9,0888 -9,2494 -9,2145 -8,8541 -8,0923 -6,9784 -5,6898 -4,5105 -3,7295 -3,4643 -3,6005 -3,9213 -4,2570 -4,5312 -4,7448 -4,9422 -5,1609 -5,3823 -5,5199 -5,4600 -5,1486 -4,6586 -4,1572 -3,8027 -3,6546 -3,6621 -3,7434 -3,8848 -4,1486 -4,5835 -5,1535 -5,7418 -6,2012 -6,4357 -6,4716 -6,4394 -6,4635 -6,5606 -6,6531 -6,6702 -6,6118 -6,5278 -6,4661 -6,4415 -6,4421 -6,4661 -6,5247 -6,5939 -6,5946 -6,4410 -6,0865 -5,5379 -4,8751 -4,2709 -3,9303 -3,9368 -4,1733 -4,4361 -4,5986 -4,6502 -4,6407 -4,6314 -4,6621 -4,7238 -4,7603 -4,7170 -4,5935 -4,4397 -4,3181 -4,2847 -4,3770 -4,5953 -4,9232 -5,3715 -5,9699 -6,7002 -7,4556 -8,0832 -8,4588 -8,5072 -8,1859 -7,5227 -6,6653 -5,8282 -5,1848 -4,8185 -4,7268 -4,8321 -5,0208 -5,2100 -5,3981 -5,6729 -6,1612 -6,9294 -7,9129 -8,9370 -9,7972 -10,3297 -10,4506 -10,1878 -9,6858 -9,1533 -8,7652 -8,5640 -8,4506 -8,3117 -8,1534 -8,0783 -8,1491 -8,3165 -8,4849 -8,6029 -8,6615 -8,6433 -8,5259 -8,3333 -8,1682 -8,1697 -8,4251 -8,9301 -9,6265 -10,4403 -11,2923 -12,1031 -12,8004 -13,3264 -13,6314 -13,6383 -13,2495 -12,4449 -11,3586 -10,2205 -9,2125 -8,3779 -7,6594 -7,0195 -6,5393 -6,4183 -6,8492 -7,8329 -9,1177 -10,3668 -11,3925 -12,2086 -12,8892 -13,4306 -13,7558 -13,7981 -13,5190 -12,8701 -11,8057 -10,3507 -8,6340 -6,8618 -5,2916 -4,1990 -3,7840 -4,0853 -4,9907 -6,2997 -7,7904 -9,2875 -10,7065 -12,0636 -13,4264 -14,7750 -15,8955 -16,4585 -16,2087 -15,0974 -13,3134 -11,2407 -9,3373 -7,9507 -7,1704 -6,8398 -6,6983 -6,5217 -6,1956 -5,7313 -5,2465 -4,9264 -4,9518 -5,3971 -6,1777 -7,1201 -8,0828 -8,9868 -9,7496 -10,2420 -10,3337 -9,9852 -9,3041 -8,5064 -7,7839 -7,1800 -6,6141 -6,0287 -5,4621 -4,9846 -4,6206 -4,3154 -3,9445 -3,3816 -2,5776 -1,5945 -0,6135 0,1090 0,3806 0,1820 -0,3934 -1,2538 -2,3212 -3,4858 -4,6039 -5,5371 -6,1866 -6,4910 -6,4087 -5,9472 -5,2205 -4,4424 -3,8405 -3,5496 -3,5439 -3,6658 -3,7570 -3,7794 -3,8040 -3,8988 -4,0552 -4,2296 -4,4390 -4,7750 -5,3039 -5,9708 -6,6126 -7,0620 -7,2256 -7,0738 -6,6255 -5,9922 -5,3925 -5,0477 -5,0229 -5,1643 -5,2087 -4,9657 -4,4019 -3,6021 -2,7254 -1,9966 -1,6584 -1,8706 -2,6482 -3,8900 -5,4484 -7,1662 -8,8689 -10,3563 -11,4192 -11,8681 -11,5889 -10,6129 -9,1205 -7,3534
F7    -2,0555 -2,4456 -2,4997 -2,2064 -1,6644 -1,0846 -0,7000 -0,6385 -0,8995 -1,4177 -2,0921 -2,7711 -3,2639 -3,3995 -3,1039 -2,4421 -1,5830 -0,6950 0,1441 0,9388 1,6958 2,3652 2,8395 2,9894 2,7165 2,0150 1,0173 -0,0157 -0,7796 -1,0634 -0,8699 -0,4073 0,0633 0,3773 0,5026 0,5041 0,5126 0,7004 1,2160 2,0726 3,0762 3,8998 4,2615 4,0381 3,2482 2,0120 0,5414 -0,8994 -2,0538 -2,6958 -2,6530 -1,9008 -0,6543 0,6871 1,7274 2,2288 2,1513 1,6173 0,8459 0,0812 -0,4815 -0,7534 -0,7523 -0,5516 -0,2364 0,0962 0,3355 0,4189 0,3982 0,4078 0,5719 0,9524 1,5560 2,3452 3,2321 4,0844 4,7700 5,2178 5,4378 5,4654 5,2888 4,8510 4,1246 3,1636 2,0768 0,9684 -0,0721 -0,9200 -1,3927 -1,3175 -0,6312 0,5753 2,0720 3,5519 4,7312 5,4491 5,7076 5,6346 5,4158 5,2089 5,0531 4,8558 4,4959 3,9421 3,2729 2,6027 2,0262 1,6403 1,5559 1,8264 2,3891 3,1101 3,8597 4,5264 4,9920 5,1389 4,8958 4,2766 3,3778 2,3595 1,4292 0,7909 0,5395 0,5986 0,7919 0,9864 1,1662 1,4068 1,8088 2,4393 3,2966 4,2924 5,2449 5,9277 6,1938 6,0681 5,7092 5,2895 4,9075 4,5777 4,2924 4,0922 4,0450 4,1697 4,4368 4,8556 5,5102 6,4745 7,7097 9,0586 10,3120 11,2703 11,7826 11,7632 11,1959 10,1512 8,8013 7,3888 6,1450 5,2032 4,5821 4,2523 4,2025 4,4405 4,9472 5,6423 6,4255 7,2715 8,2438 9,3671 10,4978 11,3741 11,8068 11,7984 11,4877 11,0192 10,4647 9,8176 9,0374 8,1155 7,1097 6,1268 5,2819 4,6552 4,2602 4,0442 3,9358 3,8960 3,8899 3,8039 3,4442 2,6760 1,5594 0,3351 -0,7040 -1,3511 -1,5713 -1,5069 -1,3938 -1,4177 -1,5938 -1,7753 -1,7737 -1,4636 -0,8196 0,0801 1,0737 1,9557 2,5177 2,6023 2,1666 1,2917 0,1062 -1,2954 -2,8374 -4,3879 -5,7575 -6,7793 -7,3578 -7,4626 -7,1136 -6,3722 -5,3328 -4,1091 -2,7885 -1,3929 0,0610 1,4448 2,5115 3,0145 2,8239 1,9723 0,6249 -0,9914 -2,6398 -4,0930 -5,1678 -5,7705 -5,8978 -5,5860 -4,8797 -3,8699 -2,7314 -1,6695 -0,8375 -0,3305 -0,2304 -0,6215 -1,5567 -2,9953 -4,7557 -6,5370 -8,0186 -8,9852 -9,3924 -9,3434 -9,0080 -8,5272 -7,9473 -7,2250 -6,3037 -5,2060 -4,0651 -3,0743 -2,4285 -2,2926 -2,7321 -3,6431 -4,7817 -5,8718 -6,6975 -7,1250 -7,0857 -6,6086 -5,8800 -5,2029 -4,8436 -4,9066 -5,3227 -5,9256 -6,5549 -7,1321 -7,6765 -8,2481 -8,8622 -9,4488 -9,8841 -10,0743 -10,0218 -9,7989 -9,4878 -9,1862 -9,0386 -9,2039 -9,7531 -10,5616 -11,2985 -11,5677 -11,1051 -9,8988 -8,1811 -6,3111 -4,6355 -3,4330 -2,9153 -3,2087 -4,3356 -6,1969 -8,5331 -10,9374 -12,9810 -14,3668 -15,0052 -15,0128 -14,6671 -14,2903 -14,0690 -13,9501 -13,7083 -13,1067 -12,0411 -10,6145 -9,1031 -7,8260 -7,0124 -6,7518 -7,0203 -7,7075 -8,6256 -9,5559 -10,3481 -10,9856 -11,5445 -12,0969 -12,6574 -13,1794 -13,5696 -13,7248 -13,5796 -13,1225 -12,4148 -11,6419 -11,0645 -10,8301 -10,8629 -10,9671 -10,9955 -10,9217 -10,8177 -10,7994 -10,9577 -11,2912 -11,6884 -11,9848 -12,0717 -11,9721 -11,8044 -11,6613 -11,5158 -11,2453 -10,7566 -10,1018 -9,4775 -9,1031 -9,0848 -9,3646 -9,7849 -10,2105 -10,6047 -11,0099 -11,4731 -12,0062 -12,6171 -13,3248 -14,1003 -14,8146 -15,2799 -15,3457 -14,9702 -14,2382 -13,3345 -12,4767 -11,8270 -11,4346 -11,2365 -11,1007 -10,8956 -10,5769 -10,2213 -9,9419 -9,7826 -9,7438 -9,8738 -10,2560 -10,9086 -11,7387 -12,5867 -13,2919 -13,7429 -13,9179 -13,8885 -13,7709 -13,6630 -13,6173 -13,6561 -13,7840 -13,9721 -14,1508 -14,2347 -14,1564 -13,8899 -13,4354 -12,7782 -11,8947 -10,8322 -9,7814 -9,0286 -8,8010 -9,1496 -9,9588 -11,0124 -12,0327 -12,7378 -12,9583 -12,7220 -12,2199 -11,7062 -11,4107 -11,4679 -11,8618 -12,4293 -12,9284 -13,1494 -13,0322 -12,7058 -12,3884 -12,2406 -12,3027 -12,5307 -12,8516 -13,2036 -13,5664 -13,9493 -14,3401 -14,6902 -14,9489 -15,0859 -15,0939 -15,0099 -14,9289 -14,9626 -15,1769 -15,5745 -16,1007 -16,6341 -17,0111 -17,1182 -16,9546 -16,5877 -16,0739 -15,4372 -14,7056 -13,9500 -13,2828 -12,8146 -12,6132 -12,6870 -12,9716 -13,3352 -13,6302 -13,7609 -13,7190 -13,5614 -13,3620 -13,1882 -13,1051 -13,1684 -13,4012 -13,7830 -14,2519 -14,7172 -15,0837 -15,2558 -15,1281 -14,6382 -13,8717 -13,0643 -12,4630 -12,1938 -12,2398 -12,4938 -12,8475 -13,2562 -13,7068 -14,1593 -14,5576 -14,8823 -15,1656 -15,4446 -15,6977 -15,8427 -15,7930 -15,4953 -14,9182 -14,0445 -12,9073 -11,6374 -10,4434 -9,5160 -8,9363 -8,6535 -8,5355 -8,4523 -8,3296 -8,1580 -7,9939 -7,9599 -8,1889 -8,7145 -9,4332 -10,1806 -10,7997 -11,1582 -11,1679 -10,8039 -10,1148 -9,2468 -8,4369 -7,9031 -7,7056 -7,7331 -7,8079 -7,7765 -7,5390 -7,0743 -6,4554 -5,7960 -5,1553 -4,4979 -3,7575 -2,9592 -2,2689 -1,8932 -1,9360 -2,3699 -3,1145 -4,1001 -5,2611 -6,4955 -7,6440 -8,5152 -8,9370 -8,8065 -8,1501 -7,1774 -6,2455 -5,6935 -5,6502 -5,9844 -6,4329 -6,7764 -6,9290 -6,9153 -6,7930 -6,6051 -6,3961 -6,2391 -6,2107 -6,3320 -6,5404 -6,7303 -6,8307 -6,8479 -6,8349 -6,8400 -6,9029 -7,0601 -7,3096 -7,5761 -7,7343 -7,6808 -7,3890 -6,8900 -6,2325 -5,5022 -4,8581 -4,4888 -4,5021 -4,8655 -5,4641 -6,1986 -7,0060 -7,8105 -8,4934 -8,9162 -8,9571 -8,5502 -7,7311 -6,6608 -5,5775
