Fp1   0,6778 3,1746 4,8722 5,6353 5,6363 5,2482 4,8053 4,3761 3,7007 2,3313 -0,0742 -3,4463 -7,2259 -10,6042 -12,8552 -13,5263 -12,4898 -9,9258 -6,2341 -1,9173 2,4557 6,2388 8,8189 9,8466 9,3745 7,7568 5,4020 2,5992 -0,4521 -3,4937 -6,1037 -7,7223 -7,8234 -6,1929 -3,1582 0,4591 3,6940 5,8209 6,5505 6,0468 4,7881 3,2884 1,8454 0,5120 -0,7354 -1,8325 -2,6151 -2,9303 -2,7052 -1,8918 -0,4385 1,5885 3,8887 6,0001 7,4940 8,1245 7,8802 6,9583 5,6579 4,2160 2,7212 1,2093 -0,1928 -1,2791 -1,9004 -2,0550 -1,8788 -1,5653 -1,2365 -0,8606 -0,3341 0,3603 1,1094 1,7512 2,1819 2,4419 2,7351 3,3358 4,4248 5,9781 7,7868 9,5472 10,9165 11,5397 11,1399 9,6669 7,3738 4,7497 2,3902 0,8504 0,4364 1,0205 2,1026 3,1120 3,6571 3,5648 2,8378 1,6579 0,3503 -0,7872 -1,6387 -2,1994 -2,3578 -1,8368 -0,4080 1,8327 4,3854 6,5177 7,5705 7,1879 5,3598 2,3732 -1,2260 -4,7306 -7,4839 -9,0686 -9,3239 -8,2561 -5,9872 -2,7846 0,9205 4,6254 7,8864 10,3785 11,9116 12,4210 11,9172 10,4766 8,2983 5,7101 3,0941 0,8237 -0,7804 -1,5510 -1,5695 -1,1016 -0,3826 0,5593 1,9053 3,8973 6,6384 9,9339 13,2761 16,0085 17,5861 17,7725 16,6440 14,4743 11,6695 8,7181 6,0766 4,0899 3,0068 2,9992 4,1328 6,2997 9,1665 12,2125 14,8723 16,7152 17,5519 17,4155 16,4929 15,0695 13,4519 11,8579 10,3404 8,8102 7,1697 5,4759 3,9935 3,0817 3,0000 3,7402 4,9905 6,2910 7,2920 7,9439 8,5153 9,4242 10,9256 12,8194 14,4342 14,9556 13,8528 11,1191 7,2446 3,0006 -0,8210 -3,6083 -5,0518 -5,1772 -4,2457 -2,5801 -0,4620 1,8342 3,9637 5,5514 6,3572 6,3645 5,6757 4,3662 2,4694 0,0656 -2,6292 -5,2618 -7,4600 -8,9773 -9,7127 -9,6108 -8,6023 -6,6705 -3,9541 -0,7945 2,3118 4,8614 6,4827 6,9726 6,3169 4,7322 2,6075 0,3628 -1,6034 -2,9242 -3,3952 -3,1201 -2,4476 -1,7571 -1,3224 -1,3050 -1,7528 -2,5413 -3,3421 -3,7313 -3,4185 -2,4097 -0,9493 0,6750 2,2610 3,6859 4,8528 5,6882 6,1739 6,3187 6,1066 5,5362 4,6727 3,5914 2,3190 0,8951 -0,5506 -1,8365 -2,8295 -3,4820 -3,7968 -3,7916 -3,4948 -2,9140 -1,9702 -0,5202 1,4878 3,8732 6,2197 7,9791 8,6212 7,8349 5,7029 2,6793 -0,6250 -3,6448 -5,9247 -7,1060 -6,9628 -5,5407 -3,2937 -1,0205 0,4612 0,7225 -0,0652 -1,2873 -2,3260 -2,9378 -3,2768 -3,6350 -4,2018 -4,9865 -5,8291 -6,4459 -6,5591 -6,0821 -5,1980 -4,2600 -3,6246 -3,5318 -4,0535 -5,0911 -6,4159 -7,7666 -8,9523 -9,8718 -10,4636 -10,6684 -10,4207 -9,6609 -8,4047 -6,8626 -5,4659 -4,6999 -4,8575 -5,8908 -7,4603 -9,1383 -10,5759 -11,5099 -11,7278 -11,1282 -9,8409 -8,2716 -6,9711 -6,3556 -6,4729 -6,9984 -7,4493 -7,4854 -7,1306 -6,7451 -6,7481 -7,3369 -8,4233 -9,7363 -10,9300 -11,6741 -11,7635 -11,2068 -10,2481 -9,3083 -8,8148 -8,9855 -9,7246 -10,6717 -11,3200 -11,2016 -10,1014 -8,1159 -5,5137 -2,5839 0,3725 2,9722 4,7507 5,2962 4,4316 2,2770 -0,8909 -4,8242 -9,3199 -14,0955 -18,6967 -22,4892 -24,7299 -24,7603 -22,2913 -17,6048 -11,5394 -5,2777 -0,0227 3,3498 4,5368 3,8103 1,7469 -1,0993 -4,3006 -7,4458 -10,0769 -11,8059 -12,4926 -12,3012 -11,5769 -10,6461 -9,7045 -8,8486 -8,1307 -7,5403 -6,9841 -6,3424 -5,5618 -4,6925 -3,8434 -3,1291 -2,6484 -2,4626 -2,5617 -2,8562 -3,2303 -3,6188 -3,9926 -4,2559 -4,2183 -3,7280 -2,8567 -1,9557 -1,5220 -1,9738 -3,4785 -5,9018 -8,8599 -11,8141 -14,1873 -15,5054 -15,5045 -14,1680 -11,7380 -8,7087 -5,7437 -3,5139 -2,5364 -3,0797 -5,0916 -8,1318 -11,4450 -14,2356 -15,9430 -16,3193 -15,3741 -13,3592 -10,7942 -8,3732 -6,7159 -6,1480 -6,6480 -7,9145 -9,4656 -10,7640 -11,3502 -10,9380 -9,5102 -7,4134 -5,2495 -3,5221 -2,3650 -1,5994 -0,9945 -0,5033 -0,3367 -0,8183 -2,1253 -4,1167 -6,3641 -8,3602 -9,7564 -10,4478 -10,4971 -10,0406 -9,2550 -8,3507 -7,5365 -6,9550 -6,6505 -6,5787 -6,6425 -6,7743 -7,0006 -7,3852 -7,9244 -8,5143 -8,9740 -9,0736 -8,5974 -7,4668 -5,8347 -4,0534 -2,5396 -1,6480 -1,6048 -2,4838 -4,1868 -6,4469 -8,9071 -11,2283 -13,1307 -14,3712 -14,7327 -14,0756 -12,4445 -10,1437 -7,6707 -5,5235 -4,0412 -3,3733 -3,4947 -4,2296 -5,3599 -6,7586 -8,3709 -10,0458 -11,4515 -12,2189 -12,1503 -11,2682 -9,7208 -7,6991 -5,4324 -3,1988 -1,2915 0,0353 0,6124 0,4065 -0,4654 -1,8069 -3,4187 -5,0704 -6,4419 -7,1784 -7,0477 -6,0596 -4,4911 -2,8448 -1,7253 -1,5828 -2,4214 -3,7542 -4,9259 -5,5068 -5,4109 -4,7907 -3,9292 -3,1340 -2,5891 -2,2670 -1,9877 -1,5548 -0,8271 0,2964 1,8633 3,7963 5,8438 7,5986 8,5864 8,4173 6,9430 4,3203 0,9717 -2,4720 -5,2946 -6,9619 -7,3573 -6,7392 -5,4441 -3,6232 -1,2352 1,7543 5,1629 8,5127 11,1431 12,4779 12,2744 10,6717 8,0362 4,7572 1,1644 -2,3806 -5,3706 -7,2170 -7,5061 -6,2596 -3,9734 -1,3864 0,8571 2,4503 3,4509 4,1224 4,7318 5,3958 5,9981 6,2359 5,8168 4,6778 3,0570 1,3751 0,0390 -0,7074 -0,8205 -0,3636 0,6380 2,2181 4,3289 6,7327 9,0399 10,8054 11,6533 11,4465 10,3704 8,8383 7,3007 6,0905 5,3871 5,2767 5,7705 6,7264 7,7930 8,5155
Fz    0,3897 0,5581 0,6372 0,6380 0,5732 0,4812 0,4122 0,3840 0,3394 0,1571 -0,2663 -0,9165 -1,6345 -2,1981 -2,4386 -2,3049 -1,8494 -1,1687 -0,3331 0,6431 1,7619 2,9695 4,1213 5,0048 5,3956 5,1291 4,1653 2,6073 0,6673 -1,3793 -3,2284 -4,5820 -5,2001 -4,9692 -3,9776 -2,5224 -0,9866 0,3256 1,2592 1,7871 1,9659 1,8817 1,5946 1,1218 0,4779 -0,2762 -1,0300 -1,6721 -2,1334 -2,3817 -2,3909 -2,1408 -1,6444 -0,9542 -0,1417 0,7167 1,5428 2,2575 2,7810 3,0380 2,9886 2,6725 2,2136 1,7511 1,3566 1,0113 0,6405 0,1717 -0,3994 -0,9789 -1,4332 -1,6803 -1,7227 -1,6141 -1,4102 -1,1312 -0,7551 -0,2517 0,3760 1,0826 1,7864 2,3622 2,6513 2,5212 1,9513 1,0738 0,1207 -0,6740 -1,1304 -1,1306 -0,6425 0,2370 1,2899 2,2543 2,9035 3,0860 2,7487 1,9661 0,9422 -0,0670 -0,8730 -1,3999 -1,6275 -1,5380 -1,1453 -0,5463 0,0759 0,5079 0,5905 0,2797 -0,3509 -1,1446 -1,9007 -2,4247 -2,5981 -2,4332 -2,0510 -1,5876 -1,1057 -0,5848 0,0272 0,7562 1,5612 2,3298 2,9325 3,2826 3,3371 3,0738 2,4978 1,6595 0,6593 -0,3555 -1,2132 -1,7656 -1,9251 -1,6499 -0,9141 0,2846 1,8893 3,7708 5,7336 7,5302 8,9080 9,6939 9,8556 9,4924 8,7731 7,8716 6,9300 6,0491 5,2975 4,7403 4,4698 4,5948 5,1888 6,2375 7,6141 9,0928 10,3989 11,2855 11,5972 11,2851 10,3930 9,0588 7,5213 6,0755 4,9803 4,3891 4,3540 4,8722 5,8982 7,3110 8,9023 10,4191 11,6258 12,3567 12,5481 12,2552 11,6364 10,8958 10,1949 9,5730 8,9329 8,1163 7,0140 5,6385 4,1349 2,7497 1,7601 1,3777 1,6679 2,5340 3,7675 5,1235 6,3824 7,3721 7,9596 8,0601 7,6760 6,9029 5,8749 4,7055 3,4734 2,2504 1,1352 0,2463 -0,3213 -0,5282 -0,3824 0,0770 0,7720 1,5793 2,3538 2,9590 3,2885 3,2931 2,9902 2,4367 1,7100 0,9193 0,2015 -0,3169 -0,5426 -0,4236 0,0308 0,7371 1,5555 2,3295 2,9301 3,2864 3,3840 3,2540 2,9713 2,6460 2,3852 2,2482 2,2432 2,3617 2,5987 2,9427 3,3758 3,8877 4,4599 5,0272 5,4766 5,7046 5,6672 5,3727 4,8529 4,1664 3,4173 2,7293 2,1874 1,8146 1,5944 1,5013 1,5206 1,6686 1,9996 2,5767 3,4221 4,4813 5,6045 6,5517 7,0479 6,9014 6,1189 4,8999 3,5122 2,1810 1,0735 0,3245 0,0250 0,1633 0,5844 1,0317 1,2663 1,1890 0,8826 0,5453 0,3482 0,3204 0,3623 0,3614 0,2856 0,1827 0,1175 0,1096 0,1134 0,0475 -0,1514 -0,4958 -0,9527 -1,4578 -1,9121 -2,1836 -2,1489 -1,7721 -1,1599 -0,5244 -0,0672 0,1118 0,0252 -0,2422 -0,5941 -0,9805 -1,4032 -1,8634 -2,3162 -2,6723 -2,8313 -2,7312 -2,3893 -1,8831 -1,2881 -0,6638 -0,1060 0,2219 0,1477 -0,3810 -1,2063 -2,0045 -2,4450 -2,3640 -1,8533 -1,1905 -0,6647 -0,4421 -0,5371 -0,8414 -1,1719 -1,3346 -1,1881 -0,6884 0,0800 0,9020 1,5122 1,7302 1,5350 1,0398 0,4260 -0,1158 -0,4337 -0,4392 -0,0934 0,6100 1,6222 2,8104 3,9764 4,8963 5,3498 5,1634 4,2773 2,7837 0,9009 -1,0969 -2,9518 -4,4571 -5,4526 -5,8241 -5,5383 -4,6751 -3,4170 -2,0014 -0,6518 0,4851 1,3620 1,9972 2,4123 2,5981 2,5501 2,3350 2,1015 2,0022 2,0803 2,2339 2,2994 2,1714 1,8493 1,3990 0,8937 0,3892 -0,0706 -0,4476 -0,7086 -0,8211 -0,7522 -0,4823 -0,0216 0,5889 1,2851 1,9815 2,5742 2,9478 3,0020 2,7090 2,1561 1,5136 0,9417 0,5174 0,2226 -0,0171 -0,2671 -0,5340 -0,7693 -0,9198 -0,9711 -0,9455 -0,8639 -0,7164 -0,4741 -0,1423 0,2026 0,4466 0,5027 0,3343 -0,0596 -0,6452 -1,3537 -2,1015 -2,8016 -3,3580 -3,6845 -3,7557 -3,6329 -3,4186 -3,1848 -2,9466 -2,6953 -2,4448 -2,2319 -2,0722 -1,9183 -1,6615 -1,1997 -0,5381 0,1880 0,8127 1,2516 1,5243 1,7051 1,8538 1,9623 1,9517 1,7211 1,2158 0,4647 -0,4333 -1,3413 -2,0963 -2,5198 -2,4628 -1,8739 -0,8451 0,4005 1,5857 2,4812 2,9731 3,0559 2,7681 2,1420 1,2197 0,0974 -1,0698 -2,1050 -2,8426 -3,1494 -2,9653 -2,3454 -1,4390 -0,4203 0,5516 1,3207 1,7266 1,6431 1,0443 0,0463 -1,1165 -2,1782 -2,9407 -3,3204 -3,3290 -3,0297 -2,5130 -1,8920 -1,2906 -0,8230 -0,5777 -0,6112 -0,9484 -1,5928 -2,5184 -3,6290 -4,7271 -5,5488 -5,8753 -5,6412 -4,9320 -3,8776 -2,5671 -1,0618 0,5427 2,0887 3,3897 4,2990 4,7569 4,7799 4,4057 3,6634 2,6018 1,3288 0,0020 -1,2206 -2,2188 -2,9299 -3,3692 -3,6150 -3,7330 -3,7096 -3,4743 -2,9921 -2,3241 -1,5903 -0,8944 -0,2969 0,1724 0,5136 0,7666 0,9949 1,2472 1,5456 1,9061 2,3440 2,8540 3,3825 3,8101 3,9703 3,7222 3,0307 1,9939 0,8171 -0,2270 -0,8676 -0,9506 -0,5150 0,2489 1,1242 1,9757 2,7813 3,5837 4,4043 5,1795 5,7600 5,9773 5,7373 5,0692 4,0936 2,9476 1,7373 0,5471 -0,5394 -1,4521 -2,1504 -2,6075 -2,7951 -2,7046 -2,3677 -1,8393 -1,1806 -0,4753 0,1547 0,5693 0,6471 0,3155 -0,4296 -1,5109 -2,7789 -4,0514 -5,1610 -5,9853 -6,4515 -6,5150 -6,1458 -5,3611 -4,2686 -3,0462 -1,8723 -0,8928 -0,2228 0,0799 0,0442 -0,2450 -0,7065 -1,2789 -1,8925 -2,4473 -2,8444 -3,0574 -3,1743 -3,3462
F3    3,9910 3,5805 2,6585 1,3740 -0,0495 -1,3281 -2,1900 -2,4862 -2,2741 -1,7862 -1,2784 -0,8806 -0,5755 -0,2899 0,0220 0,3632 0,7051 1,0111 1,2923 1,6367 2,1313 2,7514 3,3407 3,6843 3,6076 3,0465 2,0506 0,7311 -0,7914 -2,3945 -3,9165 -5,1224 -5,7235 -5,4886 -4,4109 -2,7675 -0,9660 0,6650 1,9429 2,7903 3,1997 3,1986 2,8120 2,0741 1,0649 -0,0952 -1,2774 -2,3691 -3,2889 -3,9752 -4,3662 -4,4104 -4,0765 -3,3303 -2,1612 -0,6722 0,8961 2,2507 3,1437 3,4148 3,0043 1,9948 0,6487 -0,6687 -1,6555 -2,1990 -2,3972 -2,4703 -2,6127 -2,8872 -3,2230 -3,4902 -3,5762 -3,4369 -3,1067 -2,6562 -2,1231 -1,4751 -0,6447 0,3816 1,4823 2,3996 2,8320 2,5693 1,6035 0,1660 -1,3454 -2,5092 -3,0112 -2,7247 -1,7605 -0,4610 0,7343 1,4941 1,7004 1,4109 0,7769 -0,0003 -0,7044 -1,2003 -1,5167 -1,7720 -2,0072 -2,1459 -2,1101 -1,9114 -1,6448 -1,4486 -1,4516 -1,6982 -2,1002 -2,4634 -2,5704 -2,2688 -1,5572 -0,6321 0,1805 0,6151 0,6277 0,3774 0,0793 -0,1027 -0,0863 0,1154 0,4103 0,6880 0,8639 0,8930 0,7676 0,4978 0,0975 -0,3861 -0,8457 -1,1470 -1,1806 -0,8798 -0,2127 0,8336 2,2533 3,9918 5,9086 7,7531 9,1910 9,9444 9,9484 9,3485 8,3622 7,1718 5,9066 4,6712 3,5658 2,6972 2,1911 2,1768 2,7382 3,8584 5,3853 7,0496 8,5311 9,5427 9,8947 9,5267 8,5066 7,0124 5,3061 3,6961 2,4877 1,9084 2,0401 2,8227 4,1337 5,8449 7,7894 9,7066 11,2713 12,1937 12,3262 11,7242 10,6055 9,2345 7,8245 6,4889 5,2343 4,0037 2,7441 1,4529 0,2002 -0,8592 -1,5016 -1,5083 -0,7814 0,5803 2,3112 4,0835 5,6049 6,6631 7,1348 7,0084 6,3906 5,4294 4,2159 2,7978 1,2704 -0,2034 -1,4595 -2,3879 -2,9343 -3,0954 -2,9282 -2,5503 -2,1259 -1,8292 -1,7806 -2,0071 -2,4272 -2,8364 -2,9744 -2,6940 -2,0648 -1,3053 -0,6494 -0,2456 -0,0934 -0,0591 0,0157 0,2060 0,4649 0,6435 0,5412 -0,0047 -1,0044 -2,2611 -3,4460 -4,2495 -4,5054 -4,2240 -3,5318 -2,5746 -1,4621 -0,2850 0,8590 1,8744 2,6731 3,1591 3,2599 2,9958 2,4776 1,8192 1,0803 0,2931 -0,5003 -1,2641 -2,0003 -2,7324 -3,4489 -4,0699 -4,4700 -4,5232 -4,1242 -3,2042 -1,7575 0,1143 2,1483 3,9110 4,9136 4,8437 3,7566 2,0458 0,2215 -1,3063 -2,3226 -2,7960 -2,8176 -2,5506 -2,2167 -2,0591 -2,2438 -2,7685 -3,4451 -3,9747 -4,1029 -3,7701 -3,1288 -2,4135 -1,7900 -1,3058 -0,9537 -0,7600 -0,8035 -1,1670 -1,8783 -2,8791 -4,0417 -5,2066 -6,1877 -6,7750 -6,8060 -6,2885 -5,4571 -4,6662 -4,1823 -4,0563 -4,1598 -4,3066 -4,3697 -4,3538 -4,3679 -4,5228 -4,8570 -5,3249 -5,8000 -6,1215 -6,1913 -6,0141 -5,6445 -5,1452 -4,6166 -4,2306 -4,1881 -4,6075 -5,4261 -6,3782 -7,0705 -7,1861 -6,7009 -5,8865 -5,0918 -4,5401 -4,2891 -4,2773 -4,3657 -4,3785 -4,1674 -3,6766 -2,9843 -2,2988 -1,8792 -1,9118 -2,4314 -3,3194 -4,3542 -5,3029 -6,0115 -6,4164 -6,4730 -6,0954 -5,1999 -3,8107 -2,1121 -0,4093 0,9423 1,6157 1,4084 0,3099 -1,5183 -3,8190 -6,2984 -8,6520 -10,5827 -11,8333 -12,2324 -11,7496 -10,5326 -8,8687 -7,0636 -5,3352 -3,8050 -2,5601 -1,6894 -1,2463 -1,1802 -1,3340 -1,5124 -1,5506 -1,3633 -0,9715 -0,4955 -0,1227 -0,0466 -0,3870 -1,1447 -2,2058 -3,3865 -4,5057 -5,4261 -6,0435 -6,2728 -6,0730 -5,4864 -4,6348 -3,6675 -2,7079 -1,8389 -1,1306 -0,6657 -0,5075 -0,6170 -0,8270 -0,9646 -1,0266 -1,2073 -1,7373 -2,6892 -3,9187 -5,1603 -6,1562 -6,7134 -6,7270 -6,2140 -5,3134 -4,2454 -3,2501 -2,5035 -2,0641 -1,9012 -1,9615 -2,2160 -2,6736 -3,3604 -4,2642 -5,2888 -6,2762 -7,0878 -7,6937 -8,1762 -8,6054 -8,9465 -9,1069 -9,0102 -8,6136 -7,9069 -6,9098 -5,6597 -4,2050 -2,6490 -1,2128 -0,1813 0,2723 0,1929 -0,2050 -0,6515 -0,9502 -1,0986 -1,2941 -1,7831 -2,6861 -3,9415 -5,3656 -6,7415 -7,8745 -8,5947 -8,7555 -8,2817 -7,2420 -5,8672 -4,4690 -3,3102 -2,5217 -2,1169 -2,0609 -2,3158 -2,8427 -3,5966 -4,5213 -5,5296 -6,4805 -7,2000 -7,5718 -7,6160 -7,4417 -7,1177 -6,6305 -5,9797 -5,2809 -4,7477 -4,5637 -4,7604 -5,2024 -5,6786 -6,0110 -6,1147 -6,0068 -5,7683 -5,4890 -5,2419 -5,0736 -4,9990 -5,0225 -5,1715 -5,5190 -6,1769 -7,2121 -8,5268 -9,8350 -10,7743 -11,0584 -10,5776 -9,4004 -7,7040 -5,7077 -3,6464 -1,7620 -0,2722 0,6950 1,1452 1,1783 0,9028 0,3910 -0,3068 -1,1324 -2,0141 -2,8926 -3,7430 -4,5695 -5,4016 -6,3044 -7,3464 -8,5057 -9,5977 -10,3271 -10,4556 -9,9389 -8,9038 -7,5306 -5,9907 -4,4545 -3,0888 -2,0108 -1,2375 -0,6971 -0,2932 0,0637 0,4624 0,9587 1,4957 1,8668 1,7860 1,0221 -0,4739 -2,5130 -4,7200 -6,6407 -7,8621 -8,1586 -7,5826 -6,3906 -4,8819 -3,2962 -1,7732 -0,3413 1,0217 2,2557 3,1534 3,4618 3,0573 2,0343 0,6502 -0,8132 -2,1616 -3,3005 -4,1940 -4,8436 -5,2761 -5,5152 -5,5780 -5,4922 -5,2904 -4,9859 -4,5680 -4,0267 -3,3960 -2,8022 -2,4683 -2,6253 -3,3635 -4,5320 -5,7973 -6,8449 -7,5412 -7,9303 -8,1230 -8,1804 -8,0763 -7,7679 -7,2748 -6,6549 -5,9429 -5,1698 -4,3960 -3,6758 -3,0338 -2,5139 -2,2209 -2,2760 -2,7072 -3,3951 -4,1597 -4,8913 -5,5995 -6,3640
F7    -0,7374 -0,6726 -0,5372 -0,4450 -0,4649 -0,5736 -0,6760 -0,6811 -0,5681 -0,3819 -0,1956 -0,0892 -0,1229 -0,3002 -0,5627 -0,8205 -0,9771 -0,9315 -0,5896 0,1013 1,1171 2,3368 3,5498 4,5029 4,9768 4,8621 4,1912 3,0995 1,7507 0,2889 -1,1565 -2,4350 -3,3518 -3,7014 -3,3779 -2,4819 -1,2891 -0,0941 0,9039 1,6032 1,9601 1,9683 1,6487 1,0389 0,1978 -0,7761 -1,7460 -2,5803 -3,2002 -3,5804 -3,7182 -3,6202 -3,3121 -2,8349 -2,2298 -1,5528 -0,8984 -0,3880 -0,1251 -0,1514 -0,4303 -0,8618 -1,3153 -1,6717 -1,8655 -1,9149 -1,9152 -1,9819 -2,1682 -2,4193 -2,6095 -2,6284 -2,4390 -2,0909 -1,7012 -1,3831 -1,1623 -0,9659 -0,6858 -0,2471 0,3589 1,0619 1,7204 2,1787 2,3632 2,3205 2,1579 1,9721 1,8341 1,8053 1,9183 2,1280 2,3127 2,3376 2,1025 1,5526 0,6985 -0,3555 -1,4180 -2,2731 -2,7629 -2,8201 -2,4493 -1,7217 -0,7760 0,2240 1,1375 1,8493 2,2641 2,3241 2,0287 1,4371 0,6706 -0,0882 -0,6543 -0,9548 -1,0809 -1,1877 -1,3344 -1,4314 -1,3284 -0,9365 -0,2874 0,4959 1,2792 1,9689 2,4971 2,7878 2,7672 2,4070 1,7547 0,9296 0,0946 -0,5848 -0,9804 -1,0176 -0,6749 0,0121 0,9564 2,0422 3,1431 4,1362 4,9349 5,5259 5,9620 6,3078 6,5882 6,7719 6,7808 6,5239 5,9571 5,1500 4,3090 3,7061 3,5488 3,8848 4,5890 5,4202 6,1249 6,5361 6,6028 6,3493 5,8271 5,1091 4,3059 3,5571 2,9958 2,7295 2,8406 3,3721 4,2788 5,3930 6,4777 7,3243 7,7985 7,8334 7,4319 6,6782 5,7224 4,7329 3,8522 3,1699 2,6971 2,3631 2,0578 1,7000 1,2877 0,9101 0,7097 0,8066 1,2381 1,9469 2,8055 3,6528 4,3363 4,7511 4,8526 4,6401 4,1411 3,4087 2,5176 1,5448 0,5351 -0,5059 -1,5745 -2,6376 -3,6337 -4,4707 -5,0270 -5,1954 -4,9492 -4,3629 -3,5806 -2,7873 -2,1895 -1,9645 -2,1946 -2,8473 -3,8179 -4,9855 -6,2326 -7,4350 -8,4608 -9,1951 -9,5686 -9,5599 -9,1927 -8,5403 -7,7071 -6,7814 -5,8200 -4,8844 -4,0582 -3,4085 -2,9557 -2,6863 -2,5656 -2,5411 -2,5739 -2,6751 -2,8781 -3,1696 -3,4762 -3,7243 -3,8917 -4,0090 -4,1370 -4,3387 -4,6523 -5,0681 -5,5177 -5,9009 -6,1475 -6,2524 -6,2594 -6,2288 -6,2152 -6,2457 -6,3009 -6,3229 -6,2522 -6,0695 -5,8272 -5,6498 -5,6789 -5,9856 -6,5201 -7,1508 -7,7570 -8,2773 -8,6681 -8,8559 -8,7749 -8,4511 -8,0272 -7,6877 -7,5463 -7,5879 -7,6943 -7,7215 -7,5861 -7,3184 -7,0350 -6,8561 -6,8359 -6,9497 -7,1272 -7,3101 -7,5017 -7,7689 -8,1849 -8,7631 -9,4407 -10,1075 -10,6339 -10,8929 -10,8069 -10,4045 -9,8301 -9,2866 -8,9549 -8,9375 -9,2325 -9,7306 -10,2695 -10,7322 -11,0912 -11,3682 -11,5869 -11,7609 -11,8900 -11,9633 -11,9674 -11,8693 -11,5991 -11,1141 -10,5053 -10,0183 -9,9409 -10,4223 -11,3437 -12,3449 -12,9984 -13,0252 -12,4189 -11,4079 -10,2986 -9,3333 -8,6377 -8,2345 -8,0812 -8,1113 -8,2675 -8,5118 -8,8222 -9,1962 -9,6383 -10,1149 -10,5334 -10,7775 -10,7594 -10,4520 -9,9111 -9,2636 -8,6307 -8,0394 -7,4311 -6,7614 -6,0825 -5,5397 -5,3091 -5,5348 -6,2808 -7,5031 -9,0629 -10,7738 -12,4517 -13,9429 -15,1190 -15,8602 -16,0623 -15,6765 -14,7482 -13,4185 -11,8762 -10,3026 -8,8538 -7,6658 -6,8497 -6,4670 -6,4973 -6,8167 -7,2241 -7,5347 -7,6824 -7,7293 -7,7701 -7,8422 -7,9289 -8,0132 -8,1067 -8,2379 -8,4337 -8,7026 -9,0070 -9,2610 -9,3805 -9,3260 -9,0920 -8,6857 -8,1333 -7,4856 -6,8086 -6,1826 -5,7078 -5,4803 -5,5407 -5,8484 -6,3136 -6,8543 -7,4268 -8,0136 -8,5945 -9,1250 -9,5394 -9,7914 -9,8934 -9,9029 -9,8758 -9,8287 -9,7344 -9,5522 -9,2648 -8,8961 -8,5218 -8,2701 -8,2770 -8,5942 -9,1418 -9,7661 -10,3290 -10,7410 -10,9501 -10,9472 -10,7711 -10,4703 -10,0596 -9,5358 -8,9298 -8,3191 -7,7811 -7,3344 -6,9251 -6,4593 -5,8740 -5,2104 -4,6114 -4,2198 -4,0757 -4,1122 -4,2217 -4,3273 -4,4244 -4,5769 -4,8678 -5,3474 -6,0274 -6,8979 -7,9219 -9,0128 -10,0314 -10,8096 -11,2019 -11,1565 -10,7731 -10,2791 -9,9046 -9,7569 -9,8177 -10,0291 -10,3414 -10,6948 -11,0027 -11,1815 -11,1961 -11,0606 -10,7881 -10,3666 -9,7987 -9,1345 -8,4530 -7,8483 -7,4417 -7,3631 -7,6849 -8,3589 -9,2032 -9,9581 -10,3922 -10,3969 -10,0202 -9,4240 -8,7805 -8,1805 -7,6304 -7,1161 -6,6618 -6,3384 -6,2317 -6,4032 -6,8725 -7,6026 -8,4816 -9,3434 -10,0318 -10,4563 -10,6012 -10,4840 -10,1060 -9,4585 -8,5714 -7,5423 -6,5178 -5,6484 -5,0408 -4,7375 -4,7403 -5,0375 -5,5964 -6,3366 -7,1237 -7,7960 -8,2227 -8,3646 -8,3000 -8,1888 -8,1769 -8,3023 -8,4834 -8,5890 -8,5163 -8,2271 -7,7549 -7,1979 -6,6752 -6,2543 -5,9153 -5,5883 -5,2274 -4,8475 -4,4900 -4,1681 -3,8506 -3,4792 -3,0098 -2,4741 -1,9988 -1,7375 -1,7675 -2,0497 -2,4641 -2,8579 -3,0993 -3,1410 -3,0408 -2,9098 -2,8311 -2,7967 -2,7012 -2,4125 -1,8845 -1,2196 -0,6349 -0,3595 -0,5263 -1,1223 -2,0222 -3,0637 -4,0971 -4,9973 -5,6753 -6,1023 -6,3183 -6,4046 -6,4360 -6,4401 -6,3726 -6,1193 -5,5498 -4,6191 -3,4468 -2,3006 -1,4893 -1,2424 -1,6381 -2,5920 -3,8963 -5,2877 -6,5064 -7,3465 -7,7011 -7,5670 -7,0088 -6,1303 -5,0697 -3,9878 -3,0393 -2,3430 -1,9512 -1,8239 -1,8597 -1,9837 -2,1938 -2,5142 -2,9383 -3,4289 -3,9477 -4,4765 -5,0279 -5,6253
