Fp1   4,5539 4,8502 5,1087 5,3147 5,3163 4,9161 4,0651 2,9675 1,9515 1,2071 0,6952 0,2877 -0,0865 -0,4418 -0,8054 -1,2196 -1,6726 -2,0675 -2,2884 -2,2879 -2,0998 -1,8018 -1,4914 -1,2808 -1,2800 -1,5417 -1,9949 -2,4435 -2,6393 -2,3756 -1,5660 -0,2906 1,2006 2,5581 3,4770 3,8310 3,6778 3,1060 2,1016 0,6614 -0,9853 -2,4141 -3,2927 -3,5757 -3,4620 -3,2291 -3,0811 -3,1057 -3,3191 -3,7076 -4,2445 -4,8784 -5,4976 -5,9507 -6,1242 -5,9705 -5,5012 -4,8201 -4,1261 -3,6361 -3,5043 -3,7618 -4,3047 -4,9805 -5,6533 -6,1835 -6,4451 -6,3844 -6,0140 -5,3819 -4,5919 -3,7926 -3,1000 -2,5655 -2,2153 -2,0724 -2,1338 -2,3523 -2,6624 -2,9962 -3,2569 -3,3281 -3,1379 -2,7020 -2,1149 -1,5036 -0,9744 -0,5872 -0,3638 -0,3021 -0,3670 -0,5083 -0,7183 -1,0216 -1,3981 -1,7698 -2,0657 -2,2642 -2,3746 -2,4018 -2,3423 -2,2389 -2,2387 -2,5323 -3,2186 -4,2505 -5,4807 -6,7315 -7,8478 -8,7368 -9,3762 -9,7684 -9,9027 -9,7873 -9,4916 -9,1357 -8,8278 -8,5744 -8,2385 -7,6295 -6,6685 -5,4743 -4,2972 -3,3477 -2,6478 -2,0341 -1,3000 -0,3401 0,8051 1,9907 3,0345 3,8002 4,2867 4,6247 4,9347 5,2105 5,3708 5,3645 5,1936 4,8702 4,3906 3,7563 2,9853 2,0852 1,0584 -0,0476 -1,1323 -2,0948 -2,8540 -3,3309 -3,4744 -3,3119 -2,9477 -2,5148 -2,1173 -1,7706 -1,3755 -0,7772 0,1299 1,3381 2,7271 4,0996 5,2308 5,9287 6,1109 5,8549 5,3498 4,7827 4,2776 3,9016 3,6621 3,5009 3,3352 3,1071 2,7957 2,4204 2,0550 1,8031 1,7209 1,7702 1,8611 1,9265 1,9309 1,8340 1,6090 1,2917 0,9714 0,7246 0,5666 0,4676 0,4071 0,4022 0,4691 0,5716 0,6310 0,5904 0,4527 0,2697 0,1166 0,0612 0,1228 0,2518 0,3691 0,4453 0,5355 0,7240 1,0557 1,5290 2,1109 2,7372 3,3277 3,8192 4,1680 4,3359 4,3083 4,1219 3,8673 3,6606 3,5773 3,5950 3,6276 3,6205 3,6078 3,6629 3,7874 3,8892 3,8880 3,7838 3,6108 3,3719 3,0168 2,4749 1,7448 0,9603 0,3247 -0,0097 0,0205 0,3932 0,9821 1,5887 2,0476 2,3031 2,3872 2,3421 2,1929 1,9860 1,7956 1,6930 1,7429 2,0025 2,4838 3,1196 3,7782 4,3289 4,7158 4,9814 5,2062 5,4114 5,5204 5,4120 5,0111 4,3355 3,4550 2,4387 1,3816 0,4415 -0,2122 -0,4801 -0,3673 0,0120 0,4763 0,8689 1,1112 1,2010 1,1979 1,1797 1,1756 1,1554 1,0951 1,0212 0,9584 0,8468 0,5536 -0,0142 -0,8149 -1,6735 -2,3419 -2,5904 -2,3156 -1,5811 -0,5629 0,5127 1,3891 1,8109 1,6170 0,8439 -0,2678 -1,3778 -2,1741 -2,4718 -2,2902 -1,8608 -1,4718 -1,2392 -1,0608 -0,7802 -0,3314 0,2497 0,8822 1,4876 1,9970 2,3470 2,5000 2,4639 2,3074 2,1784 2,2615 2,6479 3,2468 3,8352 4,1943 4,2536 4,1390 4,0724 4,2229 4,6515 5,3392 6,2074 7,1226 7,9199 8,4432 8,5998 8,4174 8,0431 7,6591 7,4066 7,3862 7,6674 8,2499 9,0348 9,8510 10,5051 10,8179 10,6631 10,0238 9,0287 7,9297 7,0247 6,5478 6,5630 6,9387 7,4382 7,8503 8,0803 8,1676 8,2287 8,3570 8,5638 8,8058 9,0181 9,0809 8,8317 8,1958 7,2990 6,4243 5,8723 5,8477 6,3986 7,4057 8,6398 9,8611 10,8894 11,5979 11,8880 11,7237 11,1694 10,3529 9,3894 8,3547 7,3333 6,4571 5,8642 5,6096 5,6108 5,6852 5,6506 5,4321 5,1254 4,9460 5,0678 5,4842 6,0192 6,4659 6,6926 6,6532 6,3759 5,9622 5,5539 5,2866 5,2647 5,5179 5,9464 6,3611 6,6123 6,6719 6,6011 6,4687 6,3266 6,2376 6,2753 6,4904 6,8825 7,3865 7,8821 8,2306 8,3319 8,1748 7,8497 7,4985 7,2298 7,0500 6,8609 6,5662 6,1949 5,8722 5,6722 5,5616 5,4862 5,4505 5,4957 5,6375 5,8404 6,0332 6,1298 6,0502 5,7642 5,3193 4,7960 4,2378 3,6669 3,1542 2,8013 2,6422 2,6189 2,6670 2,7815 2,9920 3,2970 3,5972 3,6850 3,3522 2,5429 1,3931 0,1260 -1,0849 -2,1534 -3,0181 -3,5987 -3,8061 -3,5664 -2,8738 -1,8518 -0,7324 0,2538 0,9885 1,5092 1,9598 2,4758 3,1011 3,7915 4,4726 5,1062 5,7120 6,3198 6,9074 7,3790 7,5951 7,4558 6,9923 6,3728 5,7834 5,2846 4,8031 4,2630 3,6744 3,0916 2,5447 2,0269 1,5224 1,0403 0,6088 0,2403 -0,0692 -0,3058 -0,4361 -0,4530 -0,3965 -0,3146 -0,2228 -0,1110 0,0314 0,2033 0,3930 0,5805 0,7436 0,8701 0,9764 1,1197 1,3874 1,8451 2,4647 3,1057 3,5875 3,7906 3,7044 3,4089 3,0342 2,7067 2,4723 2,2722 2,0131 1,6456 1,1936 0,7565 0,4570 0,3321 0,3059 0,2848 0,2425 0,2147 0,2379 0,2914 0,2954 0,1797 -0,0399 -0,2677 -0,3989 -0,3587 -0,1058 0,3586 0,9880 1,6915 2,3264 2,7210 2,7636 2,4769 1,9684 1,3327 0,6440 0,0076 -0,4447 -0,6382 -0,6201 -0,5159 -0,4262 -0,3912 -0,4355 -0,5996 -0,8957 -1,2546 -1,5577 -1,7445 -1,8923 -2,1863 -2,7780 -3,6332 -4,5171 -5,1372 -5,3131 -5,0700 -4,6150 -4,2061 -4,0154 -4,0730 -4,3149 -4,6859 -5,1678 -5,7119 -6,2216 -6,6216 -6,8982 -7,0647 -7,1346 -7,1442 -7,1593 -7,2309 -7,3491 -7,4406 -7,4187 -7,2531 -6,9989 -6,7466 -6,5461 -6,3963 -6,2908 -6,2355 -6,2380 -6,3128 -6,4803 -6,7215
Fz    1,2931 1,3123 1,4159 1,5922 1,7704 1,8515 1,7794 1,5828 1,3437 1,1256 0,9387 0,7605 0,5670 0,3451 0,0925 -0,1750 -0,4144 -0,5650 -0,5732 -0,4182 -0,1200 0,2697 0,6806 1,0326 1,2469 1,2755 1,1300 0,8773 0,6134 0,4368 0,4200 0,5765 0,8409 1,0925 1,2162 1,1594 0,9380 0,5836 0,0940 -0,5357 -1,2425 -1,8994 -2,4028 -2,7349 -2,9526 -3,1361 -3,3433 -3,5980 -3,9018 -4,2414 -4,5949 -4,9327 -5,2083 -5,3613 -5,3420 -5,1283 -4,7285 -4,1928 -3,6105 -3,0769 -2,6651 -2,4124 -2,3134 -2,3330 -2,4171 -2,4951 -2,5026 -2,4102 -2,2256 -1,9815 -1,7313 -1,5337 -1,4247 -1,4099 -1,4785 -1,6135 -1,7927 -1,9899 -2,1802 -2,3440 -2,4623 -2,5180 -2,5087 -2,4518 -2,3763 -2,3073 -2,2573 -2,2356 -2,2582 -2,3365 -2,4608 -2,6107 -2,7816 -2,9807 -3,1983 -3,4035 -3,5694 -3,6879 -3,7607 -3,7899 -3,7855 -3,7846 -3,8577 -4,0776 -4,4728 -5,0090 -5,6070 -6,1750 -6,6368 -6,9538 -7,1272 -7,1750 -7,1142 -6,9664 -6,7612 -6,5255 -6,2660 -5,9541 -5,5266 -4,9193 -4,1178 -3,1851 -2,2357 -1,3678 -0,6078 0,0879 0,7848 1,5222 2,2967 3,0655 3,7563 4,2928 4,6344 4,7904 4,7845 4,6259 4,3255 3,9177 3,4483 2,9516 2,4432 1,9284 1,4072 0,8705 0,3083 -0,2677 -0,8221 -1,3146 -1,7068 -1,9616 -2,0597 -2,0162 -1,8747 -1,6881 -1,4972 -1,3085 -1,0857 -0,7685 -0,3080 0,3074 1,0423 1,8182 2,5334 3,0935 3,4455 3,5947 3,5900 3,4864 3,3197 3,1017 2,8183 2,4385 1,9434 1,3433 0,6690 -0,0375 -0,7225 -1,3278 -1,8106 -2,1610 -2,4001 -2,5611 -2,6783 -2,7848 -2,8991 -3,0111 -3,0953 -3,1443 -3,1833 -3,2475 -3,3465 -3,4534 -3,5270 -3,5465 -3,5227 -3,4758 -3,4154 -3,3413 -3,2529 -3,1559 -3,0641 -3,0000 -2,9871 -3,0294 -3,0980 -3,1449 -3,1300 -3,0356 -2,8691 -2,6606 -2,4531 -2,2869 -2,1927 -2,1921 -2,2875 -2,4511 -2,6311 -2,7724 -2,8464 -2,8674 -2,8704 -2,8697 -2,8431 -2,7592 -2,6194 -2,4623 -2,3249 -2,2189 -2,1436 -2,1046 -2,1241 -2,2391 -2,4721 -2,7952 -3,1361 -3,4122 -3,5562 -3,5327 -3,3512 -3,0586 -2,7094 -2,3449 -1,9931 -1,6838 -1,4465 -1,2888 -1,1935 -1,1374 -1,0964 -1,0424 -0,9546 -0,8318 -0,6883 -0,5351 -0,3637 -0,1464 0,1382 0,4731 0,7976 1,0328 1,1183 1,0333 0,7883 0,4122 -0,0427 -0,4965 -0,8671 -1,1016 -1,1901 -1,1673 -1,0994 -1,0560 -1,0875 -1,2093 -1,3941 -1,5929 -1,7704 -1,9208 -2,0546 -2,1813 -2,3131 -2,4790 -2,7161 -3,0340 -3,3873 -3,6875 -3,8373 -3,7686 -3,4751 -3,0198 -2,5024 -2,0206 -1,6576 -1,4815 -1,5305 -1,7843 -2,1575 -2,5272 -2,7773 -2,8398 -2,7254 -2,5208 -2,3237 -2,1575 -1,9607 -1,6577 -1,2210 -0,6774 -0,0817 0,5064 1,0302 1,4419 1,7119 1,8369 1,8470 1,8126 1,8235 1,9335 2,1205 2,3022 2,3941 2,3688 2,2746 2,1984 2,2153 2,3625 2,6393 3,0146 3,4370 3,8438 4,1683 4,3572 4,3977 4,3237 4,1909 4,0519 3,9531 3,9385 4,0374 4,2419 4,4995 4,7277 4,8405 4,7771 4,5268 4,1419 3,7250 3,3914 3,2254 3,2453 3,3989 3,5952 3,7456 3,7989 3,7604 3,6814 3,6178 3,5929 3,5974 3,6014 3,5505 3,3786 3,0615 2,6540 2,2642 1,9996 1,9335 2,0909 2,4404 2,9063 3,3989 3,8395 4,1622 4,3082 4,2447 3,9897 3,6019 3,1440 2,6662 2,2219 1,8770 1,6857 1,6570 1,7440 1,8686 1,9657 2,0193 2,0684 2,1728 2,3618 2,6065 2,8396 3,0015 3,0646 3,0267 2,9062 2,7468 2,6066 2,5352 2,5610 2,6805 2,8472 2,9880 3,0457 3,0097 2,9092 2,7878 2,6899 2,6580 2,7205 2,8812 3,1196 3,3919 3,6344 3,7773 3,7714 3,6073 3,3195 2,9751 2,6476 2,3827 2,1787 2,0085 1,8606 1,7462 1,6721 1,6256 1,5934 1,5767 1,5793 1,5939 1,6104 1,6283 1,6506 1,6695 1,6694 1,6434 1,5939 1,5210 1,4275 1,3315 1,2500 1,1715 1,0616 0,8995 0,6981 0,4886 0,2954 0,1113 -0,1086 -0,4168 -0,8325 -1,3314 -1,8685 -2,4012 -2,8888 -3,2831 -3,5394 -3,6304 -3,5437 -3,2844 -2,8869 -2,4173 -1,9527 -1,5485 -1,2072 -0,8812 -0,5168 -0,0935 0,3759 0,8655 1,3509 1,8121 2,2267 2,5641 2,7910 2,8868 2,8642 2,7789 2,7060 2,6913 2,7161 2,7142 2,6317 2,4646 2,2457 2,0136 1,7923 1,5882 1,3990 1,2199 1,0446 0,8703 0,7037 0,5547 0,4239 0,3030 0,1894 0,0951 0,0368 0,0231 0,0514 0,1091 0,1768 0,2355 0,2796 0,3211 0,3861 0,5074 0,7092 0,9832 1,2811 1,5368 1,7006 1,7569 1,7225 1,6376 1,5501 1,4850 1,4237 1,3234 1,1531 0,9153 0,6484 0,4051 0,2151 0,0717 -0,0413 -0,1282 -0,1848 -0,2143 -0,2387 -0,2964 -0,4158 -0,5859 -0,7564 -0,8750 -0,9155 -0,8794 -0,7883 -0,6755 -0,5821 -0,5617 -0,6747 -0,9528 -1,3683 -1,8567 -2,3615 -2,8437 -3,2663 -3,5952 -3,8230 -3,9813 -4,1155 -4,2489 -4,3809 -4,5099 -4,6444 -4,7841 -4,8982 -4,9379 -4,8834 -4,7789 -4,7172 -4,7770 -4,9582 -5,1722 -5,2980 -5,2538 -5,0418 -4,7500 -4,5050 -4,4089 -4,4953 -4,7312 -5,0599 -5,4335 -5,8117 -6,1663 -6,5015 -6,8492 -7,2355 -7,6582 -8,0945 -8,5125 -8,8780 -9,1555 -9,3073 -9,3025 -9,1443 -8,8876 -8,6143 -8,3862 -8,2244 -8,1214 -8,0543 -7,9903 -7,8993 -7,7661 -7,5884
F3    1,7845 1,8696 1,9639 2,0726 2,1324 2,0367 1,7330 1,2854 0,8281 0,4573 0,1816 -0,0422 -0,2492 -0,4466 -0,6312 -0,7984 -0,9291 -0,9848 -0,9273 -0,7450 -0,4573 -0,1015 0,2718 0,5931 0,7813 0,7829 0,6134 0,3551 0,1226 0,0246 0,1291 0,4340 0,8568 1,2629 1,5296 1,6065 1,5146 1,2754 0,8535 0,2120 -0,5738 -1,3116 -1,8293 -2,0989 -2,2332 -2,3855 -2,6448 -3,0035 -3,3999 -3,7712 -4,0798 -4,3095 -4,4432 -4,4556 -4,3278 -4,0486 -3,6155 -3,0629 -2,4787 -1,9762 -1,6535 -1,5562 -1,6614 -1,9080 -2,2189 -2,4938 -2,6338 -2,5882 -2,3594 -1,9855 -1,5375 -1,1030 -0,7507 -0,5182 -0,4239 -0,4766 -0,6698 -0,9708 -1,3263 -1,6811 -1,9876 -2,2105 -2,3328 -2,3541 -2,2864 -2,1522 -1,9823 -1,8189 -1,7111 -1,6941 -1,7678 -1,9103 -2,1101 -2,3600 -2,6255 -2,8492 -2,9833 -3,0102 -2,9396 -2,7962 -2,6135 -2,4442 -2,3720 -2,4851 -2,8222 -3,3463 -3,9630 -4,5565 -5,0274 -5,3290 -5,4713 -5,4845 -5,3856 -5,1867 -4,9183 -4,6241 -4,3294 -4,0136 -3,6140 -3,0661 -2,3523 -1,5289 -0,7063 0,0177 0,6249 1,1781 1,7617 2,4176 3,1205 3,7926 4,3368 4,6744 4,7843 4,7114 4,5207 4,2510 3,9202 3,5465 3,1497 2,7452 2,3427 1,9478 1,5601 1,1656 0,7439 0,2950 -0,1515 -0,5523 -0,8573 -1,0167 -1,0092 -0,8607 -0,6332 -0,4019 -0,2236 -0,0990 0,0375 0,2800 0,6976 1,3056 2,0626 2,8810 3,6471 4,2541 4,6415 4,8158 4,8308 4,7446 4,5934 4,3849 4,0980 3,6984 3,1743 2,5475 1,8560 1,1465 0,4796 -0,0830 -0,5091 -0,8064 -1,0035 -1,1255 -1,1952 -1,2462 -1,3122 -1,4009 -1,4978 -1,5997 -1,7304 -1,9131 -2,1325 -2,3334 -2,4588 -2,4900 -2,4502 -2,3797 -2,3173 -2,2971 -2,3375 -2,4236 -2,5132 -2,5755 -2,6171 -2,6603 -2,7047 -2,7252 -2,6974 -2,6122 -2,4760 -2,3107 -2,1448 -2,0006 -1,9003 -1,8738 -1,9385 -2,0757 -2,2322 -2,3474 -2,3924 -2,3887 -2,3791 -2,3793 -2,3607 -2,2836 -2,1487 -2,0013 -1,8860 -1,8219 -1,8174 -1,8820 -2,0265 -2,2590 -2,5646 -2,8875 -3,1479 -3,2752 -3,2231 -2,9806 -2,5920 -2,1471 -1,7333 -1,3947 -1,1345 -0,9458 -0,8257 -0,7582 -0,7104 -0,6494 -0,5506 -0,4047 -0,2309 -0,0722 0,0351 0,0915 0,1389 0,2401 0,4398 0,7255 1,0213 1,2241 1,2572 1,0989 0,7685 0,3050 -0,2285 -0,7432 -1,1504 -1,3865 -1,4247 -1,2912 -1,0667 -0,8514 -0,7197 -0,6918 -0,7311 -0,7780 -0,7961 -0,7902 -0,7860 -0,8002 -0,8408 -0,9298 -1,1076 -1,3957 -1,7560 -2,0937 -2,2976 -2,2843 -2,0356 -1,6054 -1,0879 -0,5845 -0,1943 -0,0048 -0,0585 -0,3195 -0,6780 -0,9983 -1,1712 -1,1487 -0,9670 -0,7385 -0,5769 -0,4996 -0,4205 -0,2384 0,0841 0,5130 0,9805 1,4237 1,8002 2,0830 2,2532 2,3019 2,2478 2,1594 2,1336 2,2239 2,3900 2,5237 2,5237 2,3679 2,1299 1,9307 1,8716 1,9977 2,2977 2,7212 3,2010 3,6653 4,0421 4,2753 4,3569 4,3326 4,2638 4,1952 4,1654 4,2193 4,3887 4,6623 4,9779 5,2391 5,3479 5,2355 4,8885 4,3661 3,7908 3,3071 3,0297 2,9972 3,1584 3,4052 3,6240 3,7393 3,7391 3,6676 3,5799 3,5031 3,4415 3,3884 3,3034 3,1138 2,7798 2,3513 1,9479 1,6904 1,6564 1,8652 2,2683 2,7604 3,2223 3,5681 3,7516 3,7490 3,5663 3,2525 2,8761 2,4831 2,0869 1,7032 1,3793 1,1833 1,1582 1,2833 1,4806 1,6630 1,7858 1,8722 1,9858 2,1679 2,3955 2,5967 2,7008 2,6693 2,4965 2,2117 1,8811 1,5866 1,3932 1,3373 1,4236 1,6139 1,8378 2,0319 2,1696 2,2538 2,2967 2,3216 2,3688 2,4762 2,6552 2,8906 3,1493 3,3818 3,5267 3,5298 3,3685 3,0670 2,6932 2,3274 2,0152 1,7421 1,4714 1,2043 0,9808 0,8266 0,7277 0,6601 0,6214 0,6253 0,6848 0,8021 0,9655 1,1437 1,2901 1,3636 1,3484 1,2481 1,0700 0,8349 0,5920 0,3933 0,2474 0,1197 -0,0184 -0,1592 -0,2717 -0,3356 -0,3771 -0,4775 -0,7219 -1,1348 -1,6707 -2,2572 -2,8330 -3,3491 -3,7546 -4,0001 -4,0515 -3,8950 -3,5472 -3,0660 -2,5414 -2,0632 -1,6843 -1,3956 -1,1392 -0,8600 -0,5424 -0,2042 0,1280 0,4394 0,7323 1,0143 1,2749 1,4731 1,5579 1,5154 1,3961 1,2883 1,2537 1,2783 1,2901 1,2319 1,1014 0,9275 0,7332 0,5234 0,2923 0,0399 -0,2201 -0,4636 -0,6649 -0,8038 -0,8723 -0,8821 -0,8601 -0,8284 -0,7923 -0,7528 -0,7233 -0,7251 -0,7691 -0,8485 -0,9490 -1,0558 -1,1471 -1,1864 -1,1273 -0,9376 -0,6334 -0,2891 -0,0017 0,1572 0,1597 0,0158 -0,2281 -0,5022 -0,7566 -0,9935 -1,2485 -1,5486 -1,8840 -2,2032 -2,4415 -2,5677 -2,5958 -2,5549 -2,4631 -2,3278 -2,1624 -2,0005 -1,8885 -1,8520 -1,8718 -1,8974 -1,8863 -1,8201 -1,6977 -1,5316 -1,3480 -1,1875 -1,1093 -1,1821 -1,4464 -1,8833 -2,4320 -3,0294 -3,6208 -4,1459 -4,5419 -4,7764 -4,8740 -4,8965 -4,9002 -4,9193 -4,9805 -5,1097 -5,3108 -5,5350 -5,6933 -5,7191 -5,6282 -5,5154 -5,4818 -5,5478 -5,6348 -5,6290 -5,4626 -5,1586 -4,8261 -4,6063 -4,5975 -4,8057 -5,1571 -5,5613 -5,9530 -6,2885 -6,5496 -6,7641 -6,9927 -7,2826 -7,6397 -8,0376 -8,4404 -8,8189 -9,1501 -9,3989 -9,5196 -9,4917 -9,3443 -9,1312 -8,8949 -8,6658 -8,4765 -8,3542 -8,3006 -8,2891 -8,2799 -8,2280
F7    2,5596 2,5928 2,6276 2,6654 2,6501 2,4988 2,1857 1,7887 1,4334 1,1890 1,0235 0,8513 0,6079 0,2830 -0,0962 -0,4853 -0,8300 -1,0780 -1,1951 -1,1734 -1,0225 -0,7592 -0,4191 -0,0787 0,1539 0,1979 0,0534 -0,2014 -0,4494 -0,5779 -0,5200 -0,2764 0,0917 0,4884 0,8185 1,0179 1,0546 0,8988 0,5029 -0,1450 -0,9321 -1,6378 -2,0861 -2,2617 -2,2725 -2,2408 -2,2414 -2,3023 -2,4150 -2,5378 -2,6164 -2,6080 -2,4895 -2,2634 -1,9558 -1,5916 -1,1791 -0,7361 -0,3175 -0,0003 0,1552 0,1369 -0,0161 -0,2430 -0,4826 -0,6733 -0,7652 -0,7409 -0,6116 -0,4036 -0,1596 0,0682 0,2404 0,3343 0,3270 0,1913 -0,0841 -0,4778 -0,9473 -1,4489 -1,9468 -2,4128 -2,8163 -3,1211 -3,3072 -3,3804 -3,3540 -3,2392 -3,0632 -2,8819 -2,7572 -2,7265 -2,8012 -2,9689 -3,1899 -3,4097 -3,5828 -3,6861 -3,7110 -3,6470 -3,4853 -3,2501 -3,0220 -2,9050 -2,9594 -3,1748 -3,4892 -3,8219 -4,1063 -4,3179 -4,4709 -4,5786 -4,6197 -4,5556 -4,3726 -4,0986 -3,7750 -3,4183 -3,0098 -2,5215 -1,9488 -1,3316 -0,7474 -0,2671 0,0927 0,3764 0,6537 0,9734 1,3408 1,7247 2,0750 2,3437 2,5133 2,6086 2,6601 2,6708 2,6310 2,5368 2,3871 2,1827 1,9279 1,6299 1,2933 0,9112 0,4739 -0,0014 -0,4650 -0,8616 -1,1497 -1,3121 -1,3583 -1,3093 -1,1864 -1,0170 -0,8239 -0,5986 -0,3034 0,1001 0,6306 1,2827 2,0205 2,7749 3,4578 3,9944 4,3565 4,5622 4,6416 4,6109 4,4789 4,2581 3,9497 3,5430 3,0421 2,4752 1,8780 1,2891 0,7570 0,3252 0,0053 -0,2211 -0,3765 -0,4728 -0,5249 -0,5641 -0,6255 -0,7203 -0,8338 -0,9561 -1,1022 -1,2857 -1,4821 -1,6389 -1,7224 -1,7436 -1,7414 -1,7551 -1,8164 -1,9532 -2,1776 -2,4658 -2,7591 -2,9978 -3,1529 -3,2213 -3,2066 -3,1166 -2,9701 -2,7881 -2,5842 -2,3739 -2,1784 -2,0182 -1,9162 -1,8970 -1,9635 -2,0805 -2,1863 -2,2275 -2,1960 -2,1336 -2,0894 -2,0724 -2,0439 -1,9593 -1,8200 -1,6766 -1,5839 -1,5718 -1,6429 -1,7775 -1,9470 -2,1292 -2,3067 -2,4551 -2,5402 -2,5246 -2,3791 -2,1049 -1,7512 -1,3946 -1,0897 -0,8436 -0,6348 -0,4491 -0,2871 -0,1501 -0,0359 0,0571 0,1351 0,2070 0,2729 0,3205 0,3348 0,3123 0,2737 0,2602 0,3088 0,4223 0,5559 0,6340 0,5892 0,3916 0,0452 -0,4243 -0,9614 -1,4783 -1,8844 -2,1159 -2,1442 -1,9871 -1,7140 -1,4204 -1,1807 -1,0167 -0,8990 -0,7769 -0,6192 -0,4396 -0,2877 -0,2118 -0,2297 -0,3345 -0,5159 -0,7579 -1,0194 -1,2305 -1,3094 -1,1898 -0,8599 -0,3807 0,1400 0,5923 0,8923 0,9910 0,8792 0,5964 0,2298 -0,1159 -0,3566 -0,4519 -0,4242 -0,3579 -0,3377 -0,3697 -0,3828 -0,3073 -0,1344 0,0967 0,3439 0,5874 0,8166 1,0104 1,1438 1,2088 1,2282 1,2529 1,3340 1,4794 1,6350 1,7136 1,6528 1,4667 1,2474 1,1122 1,1402 1,3426 1,6759 2,0777 2,4935 2,8741 3,1625 3,3113 3,3228 3,2544 3,1709 3,1086 3,0903 3,1439 3,2857 3,4977 3,7267 3,9008 3,9504 3,8269 3,5253 3,1020 2,6603 2,3062 2,1067 2,0668 2,1381 2,2509 2,3423 2,3679 2,3133 2,2023 2,0844 2,0101 2,0166 2,1079 2,2173 2,2188 2,0187 1,6348 1,1771 0,7742 0,5309 0,5138 0,7214 1,0678 1,4252 1,6926 1,8194 1,7913 1,6240 1,3668 1,0800 0,7967 0,5141 0,2287 -0,0261 -0,1868 -0,2044 -0,0859 0,1104 0,3190 0,5078 0,6893 0,8977 1,1486 1,4126 1,6294 1,7511 1,7645 1,6809 1,5292 1,3571 1,2180 1,1532 1,1913 1,3456 1,5950 1,8841 2,1520 2,3582 2,4848 2,5378 2,5555 2,5939 2,6806 2,7916 2,8819 2,9204 2,8899 2,7793 2,5885 2,3348 2,0472 1,7554 1,4808 1,2234 0,9598 0,6802 0,4245 0,2529 0,1832 0,1760 0,1752 0,1485 0,0979 0,0467 0,0194 0,0270 0,0664 0,1298 0,2122 0,3046 0,3775 0,3870 0,3104 0,1700 0,0089 -0,1497 -0,3081 -0,4671 -0,6125 -0,7268 -0,8075 -0,8845 -1,0207 -1,2713 -1,6348 -2,0568 -2,4817 -2,8815 -3,2381 -3,5228 -3,6960 -3,7129 -3,5382 -3,1800 -2,7079 -2,2248 -1,8240 -1,5551 -1,4030 -1,2991 -1,1734 -0,9946 -0,7701 -0,5278 -0,2971 -0,0894 0,1056 0,2991 0,4792 0,6146 0,6889 0,7237 0,7669 0,8508 0,9515 0,9994 0,9429 0,7915 0,5938 0,3924 0,2019 0,0183 -0,1580 -0,3106 -0,4165 -0,4630 -0,4538 -0,4075 -0,3540 -0,3210 -0,3102 -0,2965 -0,2644 -0,2353 -0,2533 -0,3470 -0,5123 -0,7263 -0,9598 -1,1718 -1,3098 -1,3236 -1,1873 -0,9261 -0,6269 -0,4042 -0,3463 -0,4948 -0,8522 -1,3769 -1,9840 -2,5892 -3,1531 -3,6765 -4,1661 -4,6051 -4,9437 -5,1320 -5,1660 -5,0890 -4,9497 -4,7702 -4,5498 -4,2931 -4,0289 -3,7952 -3,6055 -3,4377 -3,2635 -3,0788 -2,8941 -2,7092 -2,5124 -2,2950 -2,0669 -1,8654 -1,7439 -1,7392 -1,8524 -2,0610 -2,3385 -2,6590 -2,9853 -3,2563 -3,4086 -3,4226 -3,3355 -3,2140 -3,1240 -3,1150 -3,2139 -3,4170 -3,6786 -3,9265 -4,1128 -4,2599 -4,4501 -4,7556 -5,1658 -5,5831 -5,8921 -6,0322 -6,0256 -5,9628 -5,9577 -6,0850 -6,3361 -6,6401 -6,9308 -7,1753 -7,3540 -7,4625 -7,5302 -7,6009 -7,6956 -7,8051 -7,9141 -8,0138 -8,1006 -8,1641 -8,1720 -8,0793 -7,8675 -7,5658 -7,2275 -6,8979 -6,6106 -6,3985 -6,2885 -6,2821 -6,3529 -6,4618 -6,5639
