Fp1   0,0245 -0,6963 -1,0991 -1,1222 -0,7653 -0,1370 0,5413 1,0660 1,3742 1,4551 1,1997 0,4584 -0,8015 -2,4553 -4,2598 -5,8979 -7,0773 -7,6348 -7,5028 -6,6108 -4,9118 -2,4909 0,3729 3,1952 5,3531 6,2891 5,7782 4,0576 1,6862 -0,7155 -2,6005 -3,5318 -3,2817 -1,9810 -0,1395 1,5756 2,6619 2,9809 2,7617 2,4187 2,2551 2,3015 2,4356 2,5731 2,6920 2,7370 2,5803 2,0746 1,1164 -0,3033 -2,0596 -3,8827 -5,3886 -6,2167 -6,2628 -5,7709 -5,1612 -4,7972 -4,8706 -5,3874 -6,2220 -7,1884 -8,0342 -8,4094 -7,9348 -6,3307 -3,5539 0,0707 3,8257 6,7511 7,9289 6,8337 3,5779 -1,0942 -6,0105 -9,8874 -11,6924 -10,9077 -7,6093 -2,4127 3,6705 9,4636 13,8931 16,1998 16,0475 13,5576 9,2773 4,0558 -1,1602 -5,5599 -8,6381 -10,2346 -10,4417 -9,4226 -7,2799 -4,1316 -0,2904 3,7050 7,2139 9,6347 10,5419 9,8287 7,7948 5,0772 2,3706 0,0819 -1,7611 -3,2661 -4,4224 -5,0965 -5,1490 -4,4888 -3,0707 -0,9278 1,7468 4,5679 7,0643 8,8584 9,7612 9,6930 8,5408 6,1621 2,5785 -1,8240 -6,2802 -9,8685 -11,8251 -11,7387 -9,6154 -5,9340 -1,5897 2,4149 5,3592 7,0051 7,5346 7,3072 6,6153 5,6175 4,4238 3,1793 2,0676 1,2419 0,7364 0,4769 0,4482 0,8510 2,0107 4,0824 6,8390 9,7507 12,2793 14,1133 15,1663 15,3938 14,6642 12,8461 9,9896 6,3832 2,4816 -1,1889 -4,1210 -5,9067 -6,3067 -5,3320 -3,2728 -0,5762 2,3550 5,2622 7,9801 10,3706 12,3271 13,7528 14,4833 14,3285 13,2943 11,7332 10,2102 9,1651 8,6471 8,3107 7,6463 6,2886 4,1964 1,5872 -1,2465 -4,0185 -6,4178 -8,1031 -8,7951 -8,4117 -7,1261 -5,2778 -3,2213 -1,2321 0,5303 2,0001 3,1092 3,7212 3,6767 2,8794 1,3478 -0,7416 -3,0362 -5,1035 -6,6099 -7,4469 -7,7630 -7,9091 -8,2512 -8,9266 -9,7506 -10,3349 -10,3183 -9,6028 -8,4846 -7,5762 -7,4982 -8,5078 -10,3440 -12,3849 -13,9088 -14,2870 -13,1522 -10,5522 -6,9872 -3,3022 -0,4417 0,9032 0,5794 -1,0416 -3,3599 -5,8546 -8,2116 -10,2810 -11,9637 -13,1619 -13,8195 -13,9238 -13,4410 -12,3371 -10,6900 -8,6948 -6,5351 -4,3092 -2,1190 -0,1984 1,1036 1,4907 0,8756 -0,6076 -2,7077 -5,1307 -7,5421 -9,6017 -11,0504 -11,7625 -11,7573 -11,2202 -10,4869 -9,8985 -9,6138 -9,5913 -9,7390 -9,9944 -10,2401 -10,2198 -9,6359 -8,3942 -6,7664 -5,2945 -4,4969 -4,6169 -5,5766 -7,0879 -8,7973 -10,4019 -11,7132 -12,6482 -13,1791 -13,3271 -13,2171 -13,0905 -13,1458 -13,2825 -13,0634 -12,0278 -10,0774 -7,5832 -5,1766 -3,4495 -2,7797 -3,2970 -4,8930 -7,2431 -9,9132 -12,5417 -14,9385 -17,0237 -18,7140 -19,8645 -20,2947 -19,8815 -18,6363 -16,7031 -14,3179 -11,7957 -9,5376 -7,9654 -7,3698 -7,8033 -9,1002 -10,9449 -12,8956 -14,4121 -15,0035 -14,4606 -12,9945 -11,1908 -9,8249 -9,5670 -10,6389 -12,6221 -14,6176 -15,7252 -15,5280 -14,2253 -12,3601 -10,4206 -8,6347 -7,0407 -5,6568 -4,5856 -4,0475 -4,3117 -5,5216 -7,5622 -10,1001 -12,7260 -15,0573 -16,7848 -17,7244 -17,8292 -17,1339 -15,7121 -13,6704 -11,1584 -8,4310 -5,9391 -4,3072 -4,1093 -5,5785 -8,4728 -12,1636 -15,8382 -18,7185 -20,2799 -20,4137 -19,3989 -17,6902 -15,7550 -14,0679 -13,0526 -12,8640 -13,2449 -13,6655 -13,6581 -13,1012 -12,2709 -11,6192 -11,4377 -11,6654 -11,9473 -11,8393 -11,0380 -9,5601 -7,8056 -6,4324 -6,0597 -6,9695 -8,9709 -11,4555 -13,6235 -14,8614 -15,1013 -14,8532 -14,8283 -15,4464 -16,6253 -17,9628 -19,0505 -19,6402 -19,6234 -18,9515 -17,6496 -15,9172 -14,1155 -12,5784 -11,4616 -10,7786 -10,5063 -10,6207 -11,1054 -12,0140 -13,5031 -15,6840 -18,3474 -20,8598 -22,4364 -22,5776 -21,3052 -19,0825 -16,5308 -14,1406 -12,1572 -10,6370 -9,5222 -8,6497 -7,7710 -6,7106 -5,6182 -5,0219 -5,4947 -7,1919 -9,7068 -12,3244 -14,3651 -15,3871 -15,2604 -14,1856 -12,6424 -11,2048 -10,2655 -9,8693 -9,8040 -9,8307 -9,8079 -9,6463 -9,2445 -8,5351 -7,6034 -6,7119 -6,1478 -6,0295 -6,2880 -6,8408 -7,7412 -9,1266 -11,0326 -13,2738 -15,4794 -17,2014 -18,0287 -17,7291 -16,4120 -14,5838 -12,9409 -11,9725 -11,6793 -11,6392 -11,3431 -10,5040 -9,1534 -7,5566 -6,0278 -4,7803 -3,9458 -3,6532 -4,0076 -5,0369 -6,6708 -8,6976 -10,7281 -12,2935 -13,0589 -12,9479 -12,0776 -10,6337 -8,8589 -7,1137 -5,8020 -5,1239 -4,9287 -4,8816 -4,7648 -4,5921 -4,4972 -4,5863 -4,8865 -5,4034 -6,2102 -7,4579 -9,2812 -11,6241 -14,0684 -15,8882 -16,4125 -15,4233 -13,2841 -10,7674 -8,7181 -7,7257 -7,9156 -8,9111 -10,0079 -10,5255 -10,1274 -8,8953 -7,1586 -5,2929 -3,6413 -2,4779 -1,9018 -1,7542 -1,7180 -1,5719 -1,3652 -1,3402 -1,7304 -2,6822 -4,2653 -6,3944 -8,7562 -10,9132 -12,4891 -13,2379 -12,9755 -11,5259 -8,7925 -4,8883 -0,2151 4,5415 8,5241 10,9347 11,3018 9,6560 6,5202 2,6814 -1,1242 -4,3908 -6,8374 -8,3415 -8,8938 -8,5716 -7,5099 -5,8609 -3,7759 -1,4509 0,8116 2,6368 3,7339 4,0221 3,5823 2,5067 0,8329 -1,3495 -3,7331 -5,7809 -6,9513 -6,9771 -5,9399 -4,1498 -2,0248 -0,0213 1,4537 2,1140 1,8230 0,6291 -1,2380 -3,4510 -5,6609 -7,5376 -8,8182 -9,3380 -9,0214 -7,8686 -5,9753 -3,5912 -1,1549 0,8057 1,8863 1,9852 1,3310 0,3523 -0,5364 -1,1078 -1,3514 -1,3837 -1,3466 -1,3582 -1,4916 -1,7486 -2,0501 -2,2956 -2,4956 -2,8292 -3,4625 -4,2817 -4,8887 -4,8988 -4,2211
Fz    -0,3391 -0,9278 -1,4682 -1,9176 -2,2213 -2,3235 -2,1913 -1,8435 -1,3687 -0,9154 -0,6288 -0,5678 -0,6993 -0,9705 -1,3479 -1,7973 -2,2800 -2,7781 -3,2735 -3,6926 -3,8988 -3,7458 -3,1461 -2,1190 -0,7969 0,6068 1,8616 2,8048 3,3920 3,6836 3,8032 3,8705 3,9206 3,8640 3,5403 2,8439 1,8278 0,7064 -0,2253 -0,7094 -0,6370 -0,0860 0,7428 1,6104 2,2839 2,5760 2,4042 1,8127 0,9198 -0,1590 -1,3534 -2,6053 -3,7980 -4,7666 -5,4064 -5,7345 -5,8395 -5,8050 -5,6827 -5,4992 -5,2678 -4,9852 -4,6172 -4,1032 -3,3825 -2,4051 -1,1508 0,2974 1,6885 2,6550 2,8770 2,2509 0,9463 -0,6687 -2,1512 -3,0971 -3,2419 -2,5168 -1,0309 0,9775 3,1727 5,1624 6,5867 7,2110 6,9569 5,8892 4,2059 2,2057 0,2095 -1,5145 -2,7692 -3,4047 -3,3196 -2,5105 -1,1336 0,4777 1,9001 2,7967 3,0434 2,7035 1,9248 0,8774 -0,2420 -1,1957 -1,7748 -1,9376 -1,8335 -1,6419 -1,4164 -1,0995 -0,6347 -0,0350 0,6326 1,2880 1,8546 2,2708 2,5194 2,6435 2,7192 2,8076 2,9128 2,9695 2,8735 2,5409 1,9742 1,2967 0,7079 0,3855 0,4134 0,7659 1,3326 1,9570 2,4760 2,7792 2,8880 2,9632 3,1913 3,6512 4,2914 5,0197 5,7844 6,5592 7,2809 7,8470 8,2067 8,4483 8,7495 9,2122 9,7605 10,2224 10,4917 10,5881 10,5954 10,5629 10,4458 10,1339 9,5520 8,7295 7,7859 6,8811 6,1690 5,7622 5,7201 6,0547 6,7402 7,7400 9,0352 10,5938 12,2900 13,8735 15,0580 15,6411 15,5482 14,8233 13,6324 12,2565 11,0189 10,1582 9,7249 9,5743 9,4585 9,1677 8,6234 7,8641 6,9843 6,1185 5,4427 5,1357 5,2991 5,8866 6,7061 7,5205 8,1562 8,5182 8,5578 8,2726 7,7129 6,9582 6,0963 5,2278 4,4633 3,8923 3,5527 3,4369 3,5272 3,8003 4,1732 4,4749 4,5331 4,3055 3,9106 3,5357 3,3214 3,2922 3,3385 3,2675 2,9346 2,3743 1,8005 1,4771 1,5835 2,1668 3,1620 4,4269 5,7689 6,9705 7,8289 8,2045 8,0634 7,4870 6,6353 5,6917 4,8190 4,1294 3,6670 3,3905 3,1769 2,9052 2,5892 2,4123 2,6001 3,2617 4,3345 5,6264 6,8970 7,9344 8,5971 8,8192 8,6093 8,0455 7,2542 6,3949 5,6554 5,2118 5,1548 5,4472 5,9398 6,4142 6,6660 6,6232 6,3784 6,0615 5,7146 5,3231 4,9263 4,6463 4,6027 4,8113 5,1691 5,5155 5,7018 5,6320 5,2840 4,7058 3,9710 3,1519 2,3656 1,8200 1,7633 2,3544 3,5537 5,1117 6,6893 8,0401 9,1009 9,9236 10,5579 11,0031 11,2240 11,1811 10,8628 10,2965 9,5178 8,5421 7,3821 6,0897 4,7850 3,6393 2,8133 2,4008 2,4100 2,7631 3,3322 4,0089 4,7547 5,5810 6,4758 7,3499 8,0736 8,5569 8,7722 8,7069 8,3397 7,6891 6,8667 6,0423 5,3391 4,7562 4,1813 3,4890 2,6632 1,8676 1,4057 1,5686 2,4491 3,8530 5,3827 6,6398 7,4014 7,6573 7,5190 7,1022 6,4680 5,6437 4,6752 3,6442 2,6320 1,6754 0,7814 -0,0216 -0,6756 -1,1159 -1,2839 -1,1434 -0,6994 0,0044 0,8838 1,7922 2,5248 2,8720 2,6931 1,9683 0,8200 -0,4973 -1,6490 -2,3321 -2,4002 -1,9063 -1,0278 0,0237 1,0270 1,7757 2,1437 2,1239 1,8047 1,3185 0,7798 0,2304 -0,3538 -0,9925 -1,6397 -2,1664 -2,3791 -2,0983 -1,2768 -0,0757 1,1782 2,1487 2,6366 2,5997 2,0998 1,2679 0,2601 -0,8240 -1,9835 -3,2539 -4,6037 -5,8992 -6,9679 -7,6696 -7,8900 -7,4959 -6,3726 -4,5896 -2,5160 -0,6729 0,5617 1,0861 1,0020 0,5002 -0,2278 -1,0520 -1,9172 -2,8205 -3,7564 -4,6306 -5,2394 -5,3925 -5,0654 -4,4214 -3,7027 -3,0867 -2,5990 -2,1314 -1,5356 -0,7072 0,3812 1,6783 3,0509 4,2855 5,1363 5,4345 5,1715 4,4770 3,5506 2,6193 1,8926 1,4761 1,2905 1,0865 0,5999 -0,2457 -1,2685 -2,1550 -2,6481 -2,6358 -2,1245 -1,1881 0,0454 1,3828 2,5844 3,4541 3,9475 4,1595 4,1785 3,9754 3,4456 2,5247 1,2688 -0,1329 -1,4064 -2,2838 -2,5802 -2,2405 -1,3716 -0,2256 0,8902 1,7247 2,1577 2,2253 2,0820 1,9096 1,8308 1,8917 2,0805 2,3107 2,4219 2,2581 1,7518 0,9424 -0,0322 -0,9352 -1,4758 -1,4374 -0,8002 0,2542 1,4390 2,4513 3,0112 2,9277 2,2270 1,1986 0,2203 -0,4886 -0,9330 -1,2213 -1,4393 -1,6106 -1,7220 -1,7689 -1,7961 -1,9089 -2,2080 -2,6768 -3,1679 -3,5289 -3,7118 -3,7611 -3,7534 -3,7734 -3,9170 -4,2616 -4,7934 -5,3651 -5,7483 -5,7491 -5,2971 -4,4642 -3,4244 -2,3773 -1,4588 -0,6737 0,0918 0,9553 1,8994 2,7477 3,2853 3,3916 3,0555 2,3307 1,3378 0,2764 -0,6306 -1,2271 -1,4710 -1,4027 -1,0767 -0,5288 0,2078 1,0767 1,9775 2,7523 3,2087 3,1964 2,6968 1,8605 0,9501 0,2185 -0,1721 -0,1503 0,2773 1,0285 1,9695 2,9614 3,9054 4,7622 5,5290 6,1856 6,6688 6,9296 6,9920 6,9020 6,6304 6,0815 5,2073 4,1054 3,0188 2,2247 1,8852 2,0011 2,5000 3,3139 4,3452 5,4186 6,3288 6,9329 7,1753 7,0344 6,4841 5,5331 4,2732 2,8608 1,4661 0,2347 -0,7376 -1,4094 -1,8002 -2,0123 -2,2104 -2,5298 -2,9810 -3,4141 -3,5844 -3,3029 -2,5525 -1,4768 -0,2952 0,7721 1,5545 1,9629 1,9971 1,7333 1,2926 0,7870 0,2838 -0,1482 -0,3695 -0,2123 0,3824 1,3078
F3    2,5301 1,9668 1,2983 0,5240 -0,2509 -0,8602 -1,2122 -1,3792 -1,5595 -1,9463 -2,5872 -3,3428 -4,0023 -4,4249 -4,5582 -4,4015 -4,0037 -3,4544 -2,8434 -2,2269 -1,6195 -1,0035 -0,3479 0,3583 1,0681 1,6673 2,0351 2,1435 2,0934 2,0533 2,1571 2,4144 2,6782 2,6865 2,1716 1,0193 -0,6023 -2,2607 -3,4316 -3,7279 -3,0559 -1,6032 0,3043 2,3175 4,0895 5,3001 5,7310 5,3304 4,2058 2,5622 0,6136 -1,4613 -3,4614 -5,1333 -6,2726 -6,8330 -6,9236 -6,7235 -6,3883 -6,0024 -5,5929 -5,1535 -4,6425 -3,9938 -3,1549 -2,0997 -0,8294 0,5804 1,9091 2,7858 2,8314 1,8982 0,1874 -1,8544 -3,7220 -4,9887 -5,3855 -4,8070 -3,2638 -0,8889 1,9724 4,7399 6,7820 7,6865 7,3683 5,9964 3,9016 1,5005 -0,8004 -2,6826 -3,9236 -4,3731 -3,9842 -2,8809 -1,3603 0,1941 1,4230 2,0808 2,0831 1,5014 0,5197 -0,6383 -1,7672 -2,6763 -3,2040 -3,3012 -3,0548 -2,5960 -2,0181 -1,3649 -0,6409 0,1666 1,0547 1,9807 2,8351 3,4376 3,6295 3,4058 2,9399 2,4727 2,1617 2,0125 1,9340 1,8365 1,7051 1,6265 1,7490 2,1742 2,8486 3,5487 3,9941 4,0006 3,5425 2,7317 1,8121 1,1309 0,9966 1,5185 2,5853 3,9676 5,4219 6,7436 7,7937 8,5218 8,9921 9,3802 9,8805 10,5278 11,0848 11,1699 10,5531 9,3549 7,9936 6,9326 6,4172 6,3951 6,6438 6,9417 7,1473 7,2067 7,1509 7,0832 7,1433 7,4449 8,0200 8,8259 9,7927 10,8228 11,7491 12,3555 12,4808 12,0875 11,2380 10,0581 8,7449 7,5634 6,7730 6,5174 6,7605 7,3078 7,8866 8,2502 8,2562 7,8761 7,1700 6,2708 5,3726 4,6951 4,4035 4,5238 4,9324 5,4369 5,8522 6,0202 5,8298 5,2626 4,4012 3,3784 2,3301 1,3817 0,6294 0,1016 -0,2501 -0,4772 -0,5274 -0,2555 0,4135 1,3449 2,2581 2,9263 3,3041 3,4950 3,6212 3,6936 3,5637 3,0079 1,9194 0,4521 -1,0437 -2,2203 -2,8456 -2,8012 -2,0743 -0,7643 0,9113 2,6228 3,9976 4,7449 4,7532 4,1205 3,1201 2,0827 1,2386 0,6482 0,2514 -0,0657 -0,4256 -0,8848 -1,3438 -1,5778 -1,4159 -0,8770 -0,1205 0,6935 1,4831 2,2318 2,9206 3,4782 3,7972 3,7900 3,4334 2,7893 1,9921 1,1941 0,4957 -0,0643 -0,4653 -0,7007 -0,7968 -0,7741 -0,6262 -0,4041 -0,2676 -0,3749 -0,7188 -1,0935 -1,2218 -0,9040 -0,0875 1,1243 2,4979 3,7186 4,4563 4,4433 3,5401 1,7836 -0,5674 -3,0278 -4,9978 -5,9871 -5,8178 -4,6516 -2,8238 -0,6296 1,7630 4,2319 6,5751 8,4857 9,6436 9,8424 9,0867 7,6030 5,7240 3,7349 1,8027 -0,0043 -1,6628 -3,1498 -4,4216 -5,3930 -5,9392 -5,9683 -5,4831 -4,5376 -3,1656 -1,3890 0,6968 2,8551 4,7529 6,0911 6,6968 6,5204 5,6093 4,1256 2,3530 0,6090 -0,8955 -2,1243 -3,1672 -4,1185 -4,9635 -5,5523 -5,6665 -5,1315 -3,9490 -2,3797 -0,8499 0,2847 0,8961 1,0336 0,7935 0,2540 -0,5191 -1,4510 -2,4478 -3,3971 -4,1972 -4,8154 -5,2945 -5,6853 -6,0001 -6,2098 -6,2319 -5,9467 -5,2703 -4,2191 -2,9303 -1,6674 -0,8011 -0,7197 -1,6690 -3,5909 -6,0660 -8,4334 -10,0480 -10,5371 -9,9012 -8,4146 -6,4566 -4,4219 -2,6929 -1,5714 -1,1826 -1,4468 -2,1393 -2,9965 -3,8373 -4,6340 -5,4665 -6,4043 -7,4263 -8,4109 -9,1519 -9,3984 -8,9606 -7,8352 -6,2295 -4,4708 -2,9092 -1,8530 -1,4876 -1,7986 -2,6126 -3,7539 -5,1419 -6,7421 -8,4583 -10,1023 -11,4765 -12,4529 -12,9463 -12,8428 -12,0188 -10,4877 -8,5198 -6,5338 -4,8547 -3,6267 -2,9176 -2,7887 -3,2413 -4,1648 -5,3845 -6,7622 -8,2194 -9,6282 -10,7342 -11,2798 -11,1945 -10,6183 -9,7856 -8,9155 -8,1476 -7,5224 -6,9969 -6,4595 -5,7357 -4,6433 -3,1303 -1,3798 0,2480 1,3952 1,8512 1,5903 0,7490 -0,3953 -1,4936 -2,2858 -2,7643 -3,1996 -3,9625 -5,2350 -6,8550 -8,4383 -9,6154 -10,1500 -9,9407 -9,0032 -7,4718 -5,6173 -3,8205 -2,4385 -1,6197 -1,2444 -1,0768 -0,9846 -1,0167 -1,3116 -1,9447 -2,8286 -3,7485 -4,5072 -5,0208 -5,2894 -5,3371 -5,1940 -4,9093 -4,5758 -4,3061 -4,1370 -3,9616 -3,6042 -2,9821 -2,1583 -1,2508 -0,3767 0,3097 0,5836 0,1995 -0,9676 -2,7741 -4,7789 -6,3855 -7,0948 -6,7223 -5,4454 -3,6795 -1,9249 -0,6705 -0,2804 -0,8150 -1,9603 -3,2227 -4,2372 -4,9000 -5,2905 -5,5481 -5,7927 -6,0738 -6,3591 -6,5926 -6,7802 -6,9644 -7,0873 -6,9660 -6,4693 -5,6686 -4,7943 -4,0894 -3,7274 -3,8236 -4,4410 -5,5234 -6,8393 -8,0346 -8,7745 -8,8835 -8,3881 -7,4412 -6,2047 -4,7809 -3,2261 -1,6194 -0,1194 1,0415 1,6442 1,6050 1,0087 -0,0111 -1,3810 -3,0259 -4,7469 -6,2245 -7,1582 -7,4148 -7,0615 -6,2844 -5,2931 -4,2577 -3,2832 -2,4395 -1,8284 -1,5982 -1,8663 -2,6193 -3,6691 -4,6957 -5,3639 -5,4492 -4,9028 -3,8350 -2,4437 -0,9441 0,4649 1,6206 2,4375 2,9403 3,2227 3,3571 3,3747 3,3096 3,1860 2,9514 2,4700 1,6119 0,3720 -1,0650 -2,3834 -3,2991 -3,6719 -3,4654 -2,6707 -1,3412 0,3266 2,0107 3,3670 4,1171 4,0835 3,2314 1,7229 -0,1297 -2,0134 -3,7126 -5,1048 -6,1176 -6,6941 -6,8409 -6,7359 -6,7114 -7,0492 -7,7529 -8,4747 -8,6869 -8,0191 -6,4826 -4,4059 -2,2122 -0,2505 1,2537 2,1812 2,4875 2,1831 1,3194 -0,0542 -1,9070 -4,1206 -6,3456 -8,0565 -8,8223 -8,5254
F7    0,2115 0,3045 0,2116 -0,1198 -0,6681 -1,3426 -2,0419 -2,7161 -3,3598 -3,9510 -4,3958 -4,5334 -4,2299 -3,4854 -2,4413 -1,3089 -0,3142 0,3545 0,6280 0,5894 0,4034 0,2088 0,0628 -0,0426 -0,1192 -0,1494 -0,0990 0,0653 0,3520 0,7186 1,1102 1,5251 1,9920 2,4819 2,8711 3,0073 2,8148 2,3431 1,7526 1,2535 0,9929 0,9857 1,1579 1,4011 1,5738 1,5369 1,2511 0,8135 0,3680 -0,0247 -0,4277 -0,9203 -1,4461 -1,8132 -1,8574 -1,5720 -1,0904 -0,5917 -0,2337 -0,1263 -0,3084 -0,7232 -1,2354 -1,6977 -2,0030 -2,0662 -1,8006 -1,1881 -0,3812 0,3222 0,6382 0,4667 -0,0467 -0,6017 -0,9088 -0,8129 -0,3249 0,4474 1,4087 2,4989 3,6150 4,5681 5,1529 5,2430 4,8150 3,9376 2,7748 1,5533 0,4688 -0,3735 -0,9235 -1,1157 -0,8565 -0,0945 1,0824 2,4071 3,5156 4,1210 4,1297 3,6069 2,6938 1,5835 0,5142 -0,2711 -0,6069 -0,5007 -0,1291 0,3111 0,7413 1,1785 1,6275 2,0355 2,3336 2,4877 2,5054 2,4261 2,3283 2,3182 2,4806 2,8454 3,3873 4,0288 4,6379 5,0514 5,1601 5,0120 4,8067 4,7563 4,9372 5,2619 5,5727 5,7463 5,7199 5,4832 5,1100 4,7796 4,7078 5,0137 5,6473 6,4515 7,2672 7,9779 8,5037 8,7864 8,8090 8,6466 8,4477 8,3024 8,1585 7,9227 7,6101 7,3443 7,2475 7,3593 7,6160 7,8886 8,0690 8,1365 8,1459 8,1567 8,1793 8,1945 8,2121 8,2754 8,4098 8,6074 8,8632 9,1808 9,5222 9,7848 9,8686 9,7473 9,4409 8,9570 8,3246 7,6745 7,2216 7,1299 7,4010 7,8828 8,3515 8,6001 8,5014 8,0269 7,2406 6,2848 5,3531 4,6456 4,2910 4,2633 4,4013 4,5565 4,6982 4,8475 4,9687 4,9698 4,7564 4,2547 3,4318 2,3354 1,1079 -0,0623 -1,0133 -1,6333 -1,8455 -1,6310 -1,1013 -0,5120 -0,1385 -0,1116 -0,3706 -0,7499 -1,0969 -1,3501 -1,5584 -1,8325 -2,2368 -2,7176 -3,1399 -3,3732 -3,3463 -3,0655 -2,6065 -2,0756 -1,5565 -1,0766 -0,6155 -0,1600 0,2381 0,4564 0,3602 -0,1027 -0,8418 -1,6581 -2,3650 -2,9115 -3,4061 -4,0035 -4,7320 -5,4106 -5,7547 -5,5751 -4,8982 -3,9455 -3,0087 -2,3046 -1,9247 -1,8855 -2,1647 -2,6793 -3,2866 -3,8389 -4,2258 -4,3677 -4,2052 -3,7216 -3,0017 -2,2714 -1,8241 -1,8511 -2,3480 -3,1762 -4,1550 -5,0881 -5,7773 -6,0710 -5,9298 -5,4543 -4,8331 -4,2664 -3,9264 -3,9214 -4,2457 -4,7932 -5,4547 -6,1612 -6,8162 -7,2499 -7,2877 -6,8526 -6,0126 -4,9632 -3,9370 -3,0749 -2,3918 -1,8763 -1,5668 -1,5160 -1,7366 -2,1992 -2,8422 -3,5939 -4,4145 -5,2968 -6,2086 -7,0631 -7,7533 -8,2082 -8,4234 -8,4519 -8,3807 -8,3059 -8,2867 -8,2956 -8,2152 -7,9024 -7,2909 -6,4650 -5,6314 -5,0078 -4,7407 -4,9139 -5,5666 -6,6488 -7,9778 -9,2928 -10,3790 -11,1409 -11,5804 -11,7465 -11,7007 -11,4759 -11,0352 -10,2939 -9,2161 -7,9068 -6,6079 -5,5788 -4,9541 -4,7177 -4,8058 -5,1917 -5,8670 -6,7846 -7,8549 -8,9850 -10,1144 -11,2212 -12,2968 -13,3027 -14,1466 -14,6969 -14,8366 -14,5254 -13,8114 -12,8000 -11,6323 -10,4742 -9,5013 -8,8804 -8,7341 -9,0834 -9,8089 -10,6652 -11,3648 -11,6969 -11,6143 -11,2293 -10,7178 -10,2375 -9,9275 -9,8999 -10,1740 -10,6513 -11,1771 -11,6232 -11,9363 -12,1357 -12,2646 -12,3337 -12,3157 -12,1716 -11,8605 -11,3482 -10,6381 -9,8074 -9,0090 -8,4074 -8,0940 -8,0756 -8,3084 -8,7184 -9,2357 -9,8471 -10,5917 -11,4882 -12,4771 -13,4373 -14,2516 -14,8420 -15,1137 -14,8773 -13,9149 -12,2162 -10,1230 -8,1564 -6,7176 -5,9864 -5,9867 -6,6376 -7,7790 -9,2097 -10,7228 -12,1398 -13,3287 -14,1742 -14,5582 -14,4312 -13,8974 -13,1889 -12,5386 -12,0545 -11,6880 -11,3038 -10,7646 -9,9733 -8,9053 -7,6377 -6,3498 -5,2764 -4,6189 -4,4571 -4,7361 -5,3384 -6,1532 -7,0755 -7,9772 -8,7346 -9,3285 -9,9028 -10,6583 -11,6444 -12,6669 -13,4070 -13,6072 -13,1635 -12,1166 -10,6041 -8,8270 -7,0506 -5,5879 -4,6938 -4,4358 -4,6917 -5,2734 -6,0231 -6,8056 -7,4872 -7,9609 -8,1636 -8,0596 -7,6344 -6,9133 -5,9890 -5,0328 -4,2525 -3,8038 -3,7223 -3,9126 -4,1836 -4,3275 -4,2250 -3,9082 -3,5151 -3,1956 -3,0771 -3,2739 -3,8614 -4,8272 -6,0664 -7,4042 -8,5960 -9,3489 -9,4369 -8,8378 -7,7405 -6,4194 -5,1408 -4,1669 -3,7330 -3,9155 -4,5324 -5,2654 -5,9016 -6,4196 -6,8892 -7,3595 -7,8246 -8,2431 -8,5759 -8,8239 -9,0349 -9,2401 -9,3615 -9,2272 -8,7071 -7,8126 -6,6764 -5,4875 -4,4510 -3,7496 -3,4833 -3,6214 -4,0131 -4,4699 -4,8661 -5,1591 -5,3409 -5,4179 -5,4211 -5,3831 -5,2849 -5,0498 -4,6179 -4,0375 -3,4787 -3,1397 -3,1304 -3,4353 -3,9487 -4,5295 -5,0541 -5,4598 -5,7467 -5,9359 -6,0206 -5,9520 -5,6744 -5,1774 -4,5208 -3,8332 -3,2938 -3,0752 -3,2641 -3,8260 -4,6356 -5,5365 -6,3784 -7,0058 -7,2454 -6,9684 -6,1839 -5,0424 -3,7481 -2,4767 -1,3413 -0,4004 0,3050 0,7421 0,9444 1,0418 1,1520 1,2470 1,1884 0,8792 0,3515 -0,2566 -0,7805 -1,1197 -1,2601 -1,1968 -0,8909 -0,3640 0,2178 0,6191 0,6746 0,3453 -0,3118 -1,1873 -2,1469 -3,0624 -3,8397 -4,4170 -4,7546 -4,8458 -4,7289 -4,4972 -4,3061 -4,3321 -4,6818 -5,3064 -5,9811 -6,4044 -6,3707 -5,8614 -5,0042 -4,0027 -3,0824 -2,4255 -2,1229 -2,1870 -2,5794 -3,2206 -4,0172 -4,8849 -5,7063 -6,2920 -6,4580 -6,1554 -5,4992
