Fp1   -0,4180 -0,5413 -0,6946 -0,8460 -0,9621 -1,0282 -1,0523 -1,0521 -1,0482 -1,0687 -1,1399 -1,2664 -1,4208 -1,5526 -1,6145 -1,5912 -1,4982 -1,3551 -1,1695 -0,9525 -0,7322 -0,5414 -0,3947 -0,2791 -0,1639 -0,0214 0,1567 0,3595 0,5732 0,7929 1,0196 1,2501 1,4676 1,6422 1,7381 1,7274 1,6094 1,4178 1,2078 1,0333 0,9281 0,9006 0,9368 1,0031 1,0514 1,0365 0,9363 0,7606 0,5415 0,3145 0,1055 -0,0749 -0,2293 -0,3618 -0,4645 -0,5149 -0,4859 -0,3652 -0,1664 0,0794 0,3382 0,5797 0,7821 0,9379 1,0494 1,1220 1,1628 1,1785 1,1725 1,1439 1,0903 1,0087 0,8945 0,7447 0,5603 0,3481 0,1187 -0,1170 -0,3426 -0,5323 -0,6617 -0,7225 -0,7206 -0,6600 -0,5373 -0,3543 -0,1276 0,1221 0,3825 0,6501 0,9224 1,1924 1,4492 1,6770 1,8504 1,9374 1,9104 1,7571 1,4805 1,0959 0,6267 0,0993 -0,4638 -1,0378 -1,5766 -2,0124 -2,2835 -2,3661 -2,2867 -2,1078 -1,8952 -1,6885 -1,4958 -1,3050 -1,1016 -0,8818 -0,6545 -0,4360 -0,2435 -0,0827 0,0608 0,2089 0,3708 0,5423 0,7214 0,9138 1,1292 1,3786 1,6726 2,0192 2,4221 2,8786 3,3721 3,8681 4,3287 4,7403 5,1250 5,5284 5,9951 6,5498 7,1915 7,8916 8,5934 9,2297 9,7528 10,1503 10,4384 10,6442 10,7935 10,9097 11,0144 11,1219 11,2399 11,3729 11,5147 11,6425 11,7321 11,7835 11,8222 11,8719 11,9324 11,9834 12,0055 11,9951 11,9618 11,9140 11,8494 11,7598 11,6352 11,4664 11,2565 11,0334 10,8383 10,7007 10,6200 10,5640 10,4908 10,3790 10,2319 10,0555 9,8474 9,6027 9,3158 8,9773 8,5715 8,0811 7,5025 6,8586 6,1925 5,5476 4,9527 4,4201 3,9526 3,5475 3,1993 2,9053 2,6738 2,5160 2,4263 2,3775 2,3396 2,2997 2,2622 2,2410 2,2533 2,3114 2,4149 2,5522 2,7044 2,8457 2,9494 2,9981 2,9831 2,8986 2,7428 2,5254 2,2714 2,0194 1,8145 1,6948 1,6756 1,7418 1,8512 1,9528 2,0086 1,9996 1,9182 1,7651 1,5521 1,2962 1,0148 0,7308 0,4730 0,2682 0,1326 0,0782 0,1236 0,2882 0,5689 0,9234 1,2790 1,5660 1,7468 1,8182 1,7954 1,7003 1,5612 1,4130 1,2893 1,2077 1,1599 1,1167 1,0505 0,9579 0,8616 0,7890 0,7522 0,7474 0,7638 0,7937 0,8406 0,9144 1,0152 1,1236 1,2112 1,2627 1,2840 1,2930 1,3084 1,3422 1,3979 1,4714 1,5537 1,6413 1,7453 1,8800 2,0472 2,2396 2,4543 2,6949 2,9597 3,2294 3,4765 3,6866 3,8602 3,9989 4,1033 4,1817 4,2467 4,3017 4,3309 4,3059 4,2013 4,0076 3,7358 3,4170 3,1030 2,8563 2,7271 2,7370 2,8794 3,1304 3,4618 3,8488 4,2665 4,6786 5,0364 5,2962 5,4385 5,4792 5,4614 5,4303 5,4139 5,4232 5,4647 5,5429 5,6519 5,7725 5,8725 5,9105 5,8492 5,6770 5,4155 5,1007 4,7617 4,4116 4,0531 3,6958 3,3719 3,1303 3,0070 3,0023 3,0802 3,1888 3,2864 3,3555 3,4008 3,4399 3,4938 3,5784 3,6973 3,8362 3,9675 4,0673 4,1303 4,1653 4,1862 4,2032 4,2216 4,2448 4,2696 4,2766 4,2401 4,1528 4,0314 3,9055 3,8028 3,7345 3,6960 3,6844 3,7161 3,8213 4,0211 4,3074 4,6456 4,9930 5,3171 5,6039 5,8589 6,0993 6,3400 6,5848 6,8237 7,0409 7,2331 7,4250 7,6542 7,9355 8,2434 8,5268 8,7422 8,8759 8,9387 8,9493 8,9290 8,8972 8,8612 8,8189 8,7730 8,7338 8,7108 8,7125 8,7492 8,8233 8,9164 8,9940 9,0213 8,9764 8,8642 8,7232 8,6078 8,5579 8,5810 8,6542 8,7345 8,7750 8,7468 8,6481 8,4911 8,2873 8,0481 7,7935 7,5542 7,3586 7,2169 7,1200 7,0527 7,0021 6,9528 6,8838 6,7784 6,6357 6,4737 6,3226 6,2189 6,1994 6,2899 6,4933 6,7884 7,1393 7,5149 7,9074 8,3260 8,7692 9,2085 9,5983 9,8953 10,0773 10,1541 10,1614 10,1415 10,1282 10,1367 10,1577 10,1621 10,1145 9,9879 9,7744 9,4889 9,1591 8,8087 8,4523 8,1026 7,7794 7,5060 7,2935 7,1366 7,0275 6,9675 6,9627 7,0094 7,0888 7,1765 7,2542 7,3102 7,3362 7,3275 7,2842 7,2123 7,1285 7,0542 7,0009 6,9621 6,9185 6,8471 6,7300 6,5600 6,3409 6,0828 5,7974 5,4979 5,2022 4,9310 4,7041 4,5319 4,4091 4,3251 4,2843 4,3019 4,3818 4,5081 4,6576 4,8123 4,9623 5,1064 5,2506 5,4062 5,5882 5,8130 6,0952 6,4428 6,8465 7,2755 7,6909 8,0671 8,3990 8,6927 8,9561 9,1964 9,4199 9,6343 9,8469 10,0552 10,2414 10,3852 10,4812 10,5431 10,5931 10,6559 10,7530 10,8897 11,0439 11,1794 11,2744 11,3356 11,3794 11,4094 11,4234 11,4332 11,4674 11,5555 11,7120 11,9254 12,1566 12,3455 12,4240 12,3382 12,0734 11,6578 11,1378 10,5537 9,9389 9,3295 8,7645 8,2768 7,8852 7,5904 7,3703 7,1769 6,9462 6,6223 6,1795 5,6257 4,9886 4,2979 3,5745 2,8328 2,0894 1,3679 0,6926 0,0760 -0,4846 -0,9934 -1,4371 -1,7789 -1,9747 -1,9997 -1,8639 -1,6114 -1,3138 -1,0566 -0,9165 -0,9348 -1,0996 -1,3497 -1,6044 -1,8034 -1,9278 -1,9915 -2,0193 -2,0277 -2,0131 -1,9538 -1,8271 -1,6299 -1,3871 -1,1441 -0,9471 -0,8242 -0,7796 -0,7955 -0,8364 -0,8623 -0,8511 -0,8102 -0,7663 -0,7405 -0,7317 -0,7203 -0,6803
Fz    2,1378 1,7735 1,3528 0,8962 0,4253 -0,0394 -0,4771 -0,8654 -1,1887 -1,4506 -1,6717 -1,8754 -2,0693 -2,2349 -2,3449 -2,3916 -2,3901 -2,3541 -2,2814 -2,1685 -2,0277 -1,8799 -1,7319 -1,5663 -1,3551 -1,0819 -0,7553 -0,4010 -0,0418 0,3132 0,6644 1,0062 1,3199 1,5782 1,7570 1,8450 1,8500 1,7984 1,7300 1,6834 1,6785 1,7101 1,7538 1,7750 1,7375 1,6170 1,4171 1,1715 0,9279 0,7245 0,5772 0,4817 0,4276 0,4104 0,4312 0,4928 0,5991 0,7514 0,9412 1,1522 1,3717 1,5934 1,8148 2,0354 2,2560 2,4741 2,6767 2,8367 2,9230 2,9188 2,8283 2,6667 2,4458 2,1713 1,8452 1,4701 1,0533 0,6114 0,1734 -0,2227 -0,5410 -0,7596 -0,8757 -0,8998 -0,8440 -0,7213 -0,5515 -0,3547 -0,1413 0,0858 0,3192 0,5425 0,7317 0,8628 0,9216 0,9041 0,8062 0,6209 0,3437 -0,0234 -0,4679 -0,9611 -1,4640 -1,9388 -2,3548 -2,6887 -2,9250 -3,0558 -3,0839 -3,0228 -2,8893 -2,6960 -2,4543 -2,1752 -1,8657 -1,5285 -1,1666 -0,7922 -0,4325 -0,1209 0,1229 0,3020 0,4401 0,5778 0,7590 1,0082 1,3219 1,6824 2,0752 2,4939 2,9381 3,4105 3,9065 4,4064 4,8825 5,3135 5,6917 6,0239 6,3297 6,6367 6,9696 7,3371 7,7218 8,0875 8,3996 8,6415 8,8201 8,9606 9,0950 9,2520 9,4489 9,6876 9,9634 10,2765 10,6269 11,0060 11,4025 11,8152 12,2509 12,7112 13,1821 13,6379 14,0536 14,4133 14,7108 14,9430 15,1058 15,1969 15,2183 15,1770 15,0884 14,9769 14,8664 14,7676 14,6746 14,5701 14,4375 14,2737 14,0846 13,8688 13,6136 13,3064 12,9470 12,5478 12,1191 11,6550 11,1435 10,5891 10,0162 9,4509 8,9094 8,4024 7,9430 7,5424 7,1998 6,9015 6,6286 6,3648 6,0961 5,8139 5,5258 5,2578 5,0399 4,8865 4,7925 4,7432 4,7281 4,7482 4,8113 4,9168 5,0507 5,1910 5,3111 5,3783 5,3598 5,2419 5,0447 4,8137 4,5995 4,4391 4,3471 4,3176 4,3315 4,3624 4,3848 4,3771 4,3194 4,1952 3,9983 3,7375 3,4387 3,1458 2,9121 2,7830 2,7795 2,8935 3,0990 3,3668 3,6682 3,9659 4,2139 4,3742 4,4310 4,3811 4,2247 3,9722 3,6533 3,3142 3,0037 2,7533 2,5676 2,4337 2,3343 2,2542 2,1819 2,1110 2,0409 1,9762 1,9226 1,8888 1,8897 1,9432 2,0561 2,2122 2,3793 2,5329 2,6698 2,7998 2,9336 3,0725 3,2045 3,3101 3,3731 3,3952 3,4018 3,4246 3,4809 3,5709 3,6891 3,8348 4,0107 4,2135 4,4314 4,6536 4,8704 5,0649 5,2194 5,3254 5,3830 5,3962 5,3709 5,3098 5,2089 5,0629 4,8722 4,6477 4,4169 4,2188 4,0904 4,0577 4,1333 4,3142 4,5826 4,9149 5,2845 5,6573 5,9946 6,2625 6,4423 6,5363 6,5649 6,5557 6,5308 6,5015 6,4687 6,4240 6,3536 6,2474 6,1043 5,9281 5,7231 5,4933 5,2388 4,9504 4,6114 4,2061 3,7297 3,1971 2,6490 2,1435 1,7274 1,4138 1,1869 1,0196 0,8884 0,7856 0,7232 0,7219 0,7953 0,9417 1,1452 1,3765 1,5994 1,7860 1,9261 2,0225 2,0856 2,1272 2,1546 2,1699 2,1680 2,1359 2,0644 1,9594 1,8392 1,7238 1,6232 1,5304 1,4305 1,3211 1,2217 1,1627 1,1700 1,2546 1,4071 1,6024 1,8145 2,0313 2,2590 2,5135 2,8076 3,1419 3,5031 3,8685 4,2192 4,5502 4,8627 5,1494 5,3899 5,5606 5,6531 5,6857 5,6906 5,6930 5,7021 5,7160 5,7267 5,7292 5,7296 5,7445 5,7916 5,8842 6,0288 6,2199 6,4368 6,6536 6,8495 7,0056 7,1059 7,1482 7,1529 7,1518 7,1653 7,1906 7,2074 7,1926 7,1367 7,0443 6,9200 6,7631 6,5754 6,3695 6,1693 5,9981 5,8647 5,7671 5,7054 5,6818 5,6878 5,6995 5,6893 5,6409 5,5531 5,4350 5,3082 5,2087 5,1752 5,2326 5,3885 5,6365 5,9610 6,3459 6,7787 7,2440 7,7137 8,1462 8,4989 8,7435 8,8744 8,9055 8,8639 8,7829 8,6947 8,6181 8,5522 8,4784 8,3688 8,1999 7,9649 7,6736 7,3455 7,0057 6,6827 6,4000 6,1666 5,9747 5,8069 5,6466 5,4856 5,3246 5,1692 5,0258 4,9019 4,8045 4,7367 4,6965 4,6797 4,6838 4,7113 4,7688 4,8605 4,9767 5,0931 5,1797 5,2125 5,1833 5,0986 4,9725 4,8185 4,6462 4,4588 4,2539 4,0283 3,7841 3,5338 3,3011 3,1184 3,0218 3,0398 3,1810 3,4332 3,7746 4,1849 4,6474 5,1419 5,6412 6,1178 6,5581 6,9687 7,3723 7,7919 8,2343 8,6821 9,1019 9,4604 9,7330 9,9055 9,9805 9,9790 9,9322 9,8718 9,8190 9,7739 9,7176 9,6289 9,5008 9,3453 9,1881 9,0635 9,0037 9,0233 9,1085 9,2273 9,3546 9,4891 9,6449 9,8325 10,0590 10,3365 10,6811 11,1056 11,6133 12,1892 12,7947 13,3722 13,8540 14,1773 14,3058 14,2429 14,0233 13,6963 13,3139 12,9204 12,5423 12,1876 11,8552 11,5401 11,2302 10,9019 10,5220 10,0565 9,4828 8,7985 8,0217 7,1800 6,2995 5,4056 4,5287 3,7027 2,9569 2,3106 1,7702 1,3273 0,9629 0,6633 0,4308 0,2740 0,1916 0,1650 0,1598 0,1306 0,0320 -0,1621 -0,4417 -0,7651 -1,0848 -1,3758 -1,6432 -1,9025 -2,1554 -2,3827 -2,5558 -2,6477 -2,6396 -2,5230 -2,3042 -2,0096 -1,6826 -1,3683 -1,0990 -0,8886 -0,7352 -0,6283 -0,5579 -0,5143 -0,4828 -0,4461 -0,3914 -0,3126 -0,2049
F3    1,5933 1,3545 1,0581 0,7216 0,3692 0,0243 -0,2978 -0,5868 -0,8382 -1,0562 -1,2502 -1,4244 -1,5707 -1,6683 -1,6975 -1,6613 -1,5868 -1,5011 -1,4122 -1,3192 -1,2300 -1,1584 -1,1051 -1,0472 -0,9513 -0,7961 -0,5827 -0,3258 -0,0384 0,2772 0,6220 0,9834 1,3271 1,6075 1,7856 1,8417 1,7818 1,6371 1,4546 1,2795 1,1381 1,0321 0,9424 0,8411 0,7043 0,5247 0,3166 0,1111 -0,0573 -0,1659 -0,2113 -0,2079 -0,1766 -0,1316 -0,0763 -0,0058 0,0904 0,2196 0,3769 0,5502 0,7317 0,9203 1,1160 1,3171 1,5185 1,7095 1,8708 1,9751 1,9954 1,9196 1,7557 1,5216 1,2318 0,8971 0,5310 0,1505 -0,2261 -0,5791 -0,8839 -1,1138 -1,2534 -1,3059 -1,2890 -1,2227 -1,1211 -0,9935 -0,8501 -0,6987 -0,5384 -0,3637 -0,1721 0,0305 0,2275 0,3935 0,5048 0,5486 0,5217 0,4224 0,2474 -0,0029 -0,3179 -0,6751 -1,0497 -1,4214 -1,7697 -2,0691 -2,2940 -2,4254 -2,4592 -2,4067 -2,2871 -2,1171 -1,9072 -1,6604 -1,3731 -1,0435 -0,6816 -0,3129 0,0237 0,2922 0,4802 0,6034 0,6992 0,8168 1,0000 1,2650 1,5970 1,9666 2,3464 2,7174 3,0704 3,4051 3,7240 4,0249 4,3048 4,5695 4,8339 5,1162 5,4316 5,7906 6,1977 6,6440 7,0984 7,5157 7,8587 8,1168 8,3081 8,4657 8,6226 8,8044 9,0248 9,2828 9,5725 9,8924 10,2371 10,5867 10,9165 11,2135 11,4787 11,7170 11,9323 12,1312 12,3256 12,5294 12,7490 12,9730 13,1711 13,3076 13,3586 13,3239 13,2297 13,1216 13,0449 13,0228 13,0477 13,0860 13,0960 13,0508 12,9441 12,7783 12,5535 12,2670 11,9176 11,5103 11,0523 10,5436 9,9813 9,3746 8,7490 8,1335 7,5492 7,0099 6,5297 6,1204 5,7810 5,4972 5,2514 5,0269 4,8009 4,5476 4,2572 3,9496 3,6623 3,4244 3,2433 3,1114 3,0206 2,9728 2,9762 3,0318 3,1277 3,2421 3,3437 3,3930 3,3545 3,2214 3,0268 2,8277 2,6748 2,5907 2,5665 2,5752 2,5872 2,5802 2,5439 2,4768 2,3754 2,2308 2,0358 1,7929 1,5203 1,2538 1,0383 0,9134 0,8996 0,9959 1,1876 1,4554 1,7736 2,1025 2,3919 2,6018 2,7184 2,7469 2,6989 2,5905 2,4494 2,3154 2,2278 2,2055 2,2359 2,2863 2,3262 2,3425 2,3402 2,3311 2,3258 2,3296 2,3408 2,3538 2,3704 2,4036 2,4636 2,5399 2,6049 2,6417 2,6611 2,6923 2,7605 2,8691 2,9975 3,1140 3,1925 3,2275 3,2397 3,2639 3,3282 3,4436 3,6060 3,8032 4,0197 4,2383 4,4461 4,6407 4,8216 4,9765 5,0873 5,1421 5,1394 5,0836 4,9784 4,8226 4,6141 4,3577 4,0662 3,7594 3,4637 3,2105 3,0285 2,9379 2,9475 3,0529 3,2394 3,4889 3,7790 4,0760 4,3391 4,5359 4,6572 4,7167 4,7391 4,7437 4,7363 4,7140 4,6762 4,6275 4,5725 4,5134 4,4496 4,3733 4,2699 4,1271 3,9398 3,7060 3,4214 3,0805 2,6847 2,2523 1,8245 1,4572 1,1940 1,0439 0,9846 0,9794 0,9952 1,0167 1,0510 1,1162 1,2268 1,3865 1,5843 1,7904 1,9670 2,0908 2,1623 2,1968 2,2143 2,2316 2,2564 2,2847 2,2997 2,2760 2,1996 2,0856 1,9720 1,8961 1,8737 1,8920 1,9228 1,9486 1,9773 2,0353 2,1489 2,3294 2,5670 2,8382 3,1168 3,3834 3,6306 3,8629 4,0914 4,3270 4,5751 4,8329 5,0964 5,3692 5,6573 5,9534 6,2285 6,4406 6,5577 6,5797 6,5344 6,4561 6,3698 6,2893 6,2189 6,1591 6,1129 6,0874 6,0899 6,1271 6,2057 6,3255 6,4733 6,6292 6,7725 6,8814 6,9359 6,9341 6,9002 6,8711 6,8737 6,9117 6,9673 7,0127 7,0262 6,9981 6,9233 6,7987 6,6274 6,4238 6,2130 6,0201 5,8597 5,7387 5,6652 5,6469 5,6772 5,7301 5,7709 5,7746 5,7345 5,6613 5,5840 5,5456 5,5835 5,7117 5,9252 6,2095 6,5482 6,9293 7,3455 7,7844 8,2201 8,6139 8,9238 9,1221 9,2059 9,1928 9,1117 8,9952 8,8716 8,7558 8,6460 8,5303 8,3943 8,2266 8,0230 7,7857 7,5210 7,2380 6,9483 6,6648 6,3972 6,1466 5,9084 5,6803 5,4653 5,2706 5,1044 4,9717 4,8723 4,8026 4,7585 4,7371 4,7399 4,7710 4,8352 4,9364 5,0733 5,2298 5,3777 5,4855 5,5282 5,4941 5,3899 5,2362 5,0552 4,8593 4,6472 4,4105 4,1457 3,8616 3,5784 3,3237 3,1297 3,0299 3,0498 3,1936 3,4442 3,7759 4,1649 4,5908 5,0347 5,4786 5,9063 6,3072 6,6823 7,0458 7,4166 7,8050 8,2045 8,5958 8,9579 9,2732 9,5271 9,7126 9,8335 9,9014 9,9304 9,9320 9,9110 9,8664 9,8000 9,7219 9,6476 9,5934 9,5763 9,6139 9,7135 9,8593 10,0206 10,1770 10,3355 10,5156 10,7263 10,9655 11,2328 11,5319 11,8650 12,2286 12,6073 12,9702 13,2757 13,4826 13,5635 13,5142 13,3533 13,1087 12,8074 12,4738 12,1297 11,7894 11,4592 11,1411 10,8335 10,5246 10,1874 9,7833 9,2746 8,6416 7,8943 7,0680 6,2039 5,3323 4,4730 3,6449 2,8687 2,1641 1,5419 0,9984 0,5167 0,0792 -0,3148 -0,6429 -0,8746 -0,9947 -1,0144 -0,9728 -0,9297 -0,9481 -1,0691 -1,2919 -1,5766 -1,8695 -2,1340 -2,3621 -2,5580 -2,7176 -2,8254 -2,8649 -2,8251 -2,7016 -2,4962 -2,2215 -1,9068 -1,5942 -1,3223 -1,1140 -0,9727 -0,8855 -0,8313 -0,7906 -0,7504 -0,7025 -0,6407 -0,5632 -0,4727 -0,3699
F7    0,9170 0,7856 0,6353 0,4825 0,3389 0,2167 0,1285 0,0758 0,0406 -0,0072 -0,0924 -0,2210 -0,3737 -0,5111 -0,5934 -0,6036 -0,5520 -0,4580 -0,3352 -0,1976 -0,0700 0,0169 0,0454 0,0217 -0,0263 -0,0617 -0,0511 0,0239 0,1626 0,3487 0,5568 0,7550 0,9111 1,0021 1,0112 0,9225 0,7329 0,4688 0,1819 -0,0746 -0,2675 -0,3880 -0,4501 -0,4911 -0,5556 -0,6642 -0,7987 -0,9202 -0,9969 -1,0213 -1,0116 -0,9992 -1,0089 -1,0462 -1,0973 -1,1377 -1,1411 -1,0864 -0,9636 -0,7757 -0,5387 -0,2810 -0,0342 0,1798 0,3547 0,4957 0,6093 0,6915 0,7221 0,6798 0,5668 0,4141 0,2588 0,1194 -0,0079 -0,1353 -0,2697 -0,4091 -0,5448 -0,6665 -0,7688 -0,8499 -0,9032 -0,9165 -0,8796 -0,7923 -0,6663 -0,5223 -0,3820 -0,2593 -0,1550 -0,0586 0,0490 0,1847 0,3486 0,5189 0,6611 0,7398 0,7291 0,6183 0,4055 0,0925 -0,3096 -0,7694 -1,2290 -1,6143 -1,8615 -1,9440 -1,8780 -1,7075 -1,4826 -1,2430 -1,0150 -0,8122 -0,6336 -0,4662 -0,2946 -0,1120 0,0715 0,2314 0,3412 0,3882 0,3830 0,3545 0,3366 0,3563 0,4310 0,5719 0,7825 1,0580 1,3887 1,7583 2,1373 2,4850 2,7687 2,9871 3,1730 3,3729 3,6239 3,9448 4,3363 4,7833 5,2550 5,7139 6,1306 6,4899 6,7861 7,0207 7,2063 7,3654 7,5167 7,6648 7,8077 7,9497 8,0998 8,2590 8,4166 8,5613 8,6905 8,8024 8,8893 8,9451 8,9752 8,9956 9,0247 9,0759 9,1492 9,2284 9,2918 9,3292 9,3439 9,3431 9,3320 9,3121 9,2750 9,1987 9,0606 8,8610 8,6260 8,3864 8,1577 7,9379 7,7144 7,4701 7,1873 6,8499 6,4533 6,0150 5,5726 5,1666 4,8186 4,5230 4,2605 4,0147 3,7808 3,5674 3,3880 3,2419 3,1028 2,9327 2,7104 2,4461 2,1707 1,9135 1,6884 1,4993 1,3520 1,2532 1,1974 1,1644 1,1296 1,0761 0,9989 0,9036 0,8016 0,6986 0,5887 0,4674 0,3478 0,2577 0,2206 0,2399 0,2995 0,3748 0,4415 0,4797 0,4746 0,4176 0,3105 0,1679 0,0146 -0,1250 -0,2369 -0,3184 -0,3694 -0,3832 -0,3434 -0,2311 -0,0376 0,2247 0,5203 0,7973 1,0028 1,1006 1,0829 0,9700 0,8009 0,6191 0,4594 0,3380 0,2495 0,1767 0,1036 0,0260 -0,0435 -0,0816 -0,0706 -0,0106 0,0821 0,1903 0,3072 0,4313 0,5537 0,6599 0,7440 0,8148 0,8846 0,9573 1,0261 1,0819 1,1219 1,1501 1,1665 1,1707 1,1749 1,2006 1,2614 1,3597 1,4940 1,6650 1,8736 2,1093 2,3451 2,5490 2,6943 2,7639 2,7579 2,6968 2,6085 2,5097 2,3971 2,2542 2,0646 1,8242 1,5452 1,2528 0,9796 0,7564 0,6001 0,5098 0,4752 0,4892 0,5528 0,6741 0,8652 1,1326 1,4569 1,7823 2,0385 2,1803 2,2056 2,1446 2,0431 1,9476 1,8901 1,8812 1,9157 1,9804 2,0562 2,1170 2,1344 2,0896 1,9795 1,8124 1,6013 1,3685 1,1496 0,9837 0,8968 0,8925 0,9510 1,0382 1,1263 1,2150 1,3313 1,5060 1,7491 2,0428 2,3553 2,6557 2,9173 3,1143 3,2266 3,2499 3,1948 3,0759 2,9094 2,7202 2,5404 2,3986 2,3058 2,2492 2,2004 2,1354 2,0483 1,9514 1,8666 1,8154 1,8108 1,8576 1,9609 2,1315 2,3748 2,6721 2,9804 3,2557 3,4736 3,6349 3,7573 3,8640 3,9722 4,0861 4,1985 4,3012 4,3945 4,4894 4,6034 4,7495 4,9245 5,1033 5,2459 5,3137 5,2885 5,1835 5,0356 4,8838 4,7553 4,6653 4,6168 4,5978 4,5888 4,5807 4,5814 4,6046 4,6551 4,7257 4,7989 4,8560 4,8913 4,9185 4,9605 5,0327 5,1349 5,2552 5,3794 5,4913 5,5718 5,6032 5,5727 5,4735 5,3082 5,0923 4,8548 4,6320 4,4569 4,3508 4,3191 4,3493 4,4091 4,4550 4,4522 4,3908 4,2837 4,1545 4,0294 3,9375 3,9103 3,9686 4,1102 4,3155 4,5631 4,8426 5,1521 5,4878 5,8361 6,1730 6,4682 6,6937 6,8319 6,8807 6,8551 6,7843 6,7008 6,6249 6,5555 6,4714 6,3460 6,1677 5,9465 5,7036 5,4615 5,2459 5,0810 4,9765 4,9233 4,9020 4,8930 4,8816 4,8597 4,8284 4,7951 4,7662 4,7434 4,7246 4,7036 4,6769 4,6524 4,6487 4,6827 4,7624 4,8862 5,0437 5,2119 5,3557 5,4412 5,4522 5,3916 5,2714 5,0999 4,8754 4,5942 4,2622 3,8953 3,5135 3,1368 2,7838 2,4767 2,2438 2,1058 2,0614 2,0900 2,1687 2,2825 2,4238 2,5887 2,7784 2,9988 3,2587 3,5669 3,9270 4,3329 4,7668 5,2001 5,6026 5,9526 6,2368 6,4501 6,6007 6,7073 6,7882 6,8522 6,8978 6,9112 6,8722 6,7720 6,6292 6,4862 6,3915 6,3834 6,4784 6,6697 6,9363 7,2546 7,6027 7,9585 8,2972 8,5976 8,8534 9,0749 9,2767 9,4693 9,6614 9,8582 10,0475 10,1938 10,2522 10,1889 9,9958 9,6901 9,3024 8,8644 8,4002 7,9254 7,4547 7,0093 6,6074 6,2520 5,9292 5,6151 5,2805 4,8970 4,4417 3,9046 3,2948 2,6351 1,9493 1,2542 0,5604 -0,1224 -0,7832 -1,4078 -1,9793 -2,4775 -2,8850 -3,1944 -3,4035 -3,5069 -3,5008 -3,3978 -3,2328 -3,0559 -2,9170 -2,8503 -2,8666 -2,9508 -3,0678 -3,1817 -3,2722 -3,3337 -3,3673 -3,3751 -3,3525 -3,2836 -3,1493 -2,9458 -2,6969 -2,4441 -2,2200 -2,0317 -1,8666 -1,7084 -1,5505 -1,4038 -1,2891 -1,2179 -1,1804 -1,1534 -1,1140 -1,0448 -0,9378
