Fp1   -0,2532 -0,3789 -0,4650 -0,5160 -0,5240 -0,4956 -0,4659 -0,4782 -0,5549 -0,6871 -0,8433 -0,9833 -1,0732 -1,0955 -1,0564 -0,9865 -0,9252 -0,8914 -0,8748 -0,8544 -0,8176 -0,7621 -0,6950 -0,6295 -0,5742 -0,5269 -0,4761 -0,4016 -0,2763 -0,0747 0,2116 0,5657 0,9523 1,3305 1,6587 1,9007 2,0368 2,0649 1,9892 1,8129 1,5445 1,2095 0,8535 0,5307 0,2866 0,1440 0,0962 0,1124 0,1537 0,1826 0,1623 0,0694 -0,0853 -0,2576 -0,3989 -0,4848 -0,5150 -0,4953 -0,4296 -0,3230 -0,1851 -0,0284 0,1362 0,3008 0,4552 0,5828 0,6678 0,7092 0,7271 0,7556 0,8217 0,9272 1,0537 1,1838 1,3103 1,4335 1,5585 1,6933 1,8422 2,0038 2,1775 2,3664 2,5678 2,7699 2,9599 3,1271 3,2581 3,3468 3,4069 3,4699 3,5670 3,7089 3,8806 4,0536 4,2005 4,2987 4,3273 4,2677 4,1126 3,8773 3,6030 3,3458 3,1513 3,0349 2,9846 2,9777 2,9858 2,9683 2,8755 2,6694 2,3501 1,9655 1,5932 1,3060 1,1435 1,1037 1,1523 1,2402 1,3244 1,3881 1,4501 1,5523 1,7357 2,0216 2,4064 2,8616 3,3343 3,7570 4,0720 4,2583 4,3418 4,3755 4,4130 4,5004 4,6817 4,9933 5,4503 6,0362 6,7046 7,3992 8,0806 8,7328 9,3478 9,9115 10,4027 10,8000 11,0867 11,2564 11,3191 11,3015 11,2380 11,1543 11,0569 10,9469 10,8400 10,7635 10,7346 10,7532 10,8106 10,8943 10,9895 11,0768 11,1322 11,1320 11,0668 10,9598 10,8686 10,8540 10,9368 11,0815 11,2173 11,2821 11,2549 11,1570 11,0284 10,8977 10,7674 10,6232 10,4472 10,2194 9,9225 9,5542 9,1288 8,6676 8,1940 7,7329 7,3031 6,9111 6,5535 6,2222 5,9089 5,6069 5,3113 5,0168 4,7204 4,4256 4,1433 3,8896 3,6744 3,4926 3,3320 3,1878 3,0675 2,9811 2,9296 2,9060 2,9036 2,9169 2,9372 2,9577 2,9835 3,0352 3,1322 3,2690 3,4102 3,5154 3,5672 3,5810 3,5899 3,6132 3,6385 3,6384 3,6003 3,5377 3,4766 3,4344 3,4099 3,3863 3,3408 3,2557 3,1310 2,9885 2,8558 2,7429 2,6397 2,5382 2,4486 2,3881 2,3568 2,3300 2,2680 2,1316 1,9021 1,6020 1,2936 1,0468 0,9021 0,8586 0,8856 0,9460 1,0133 1,0734 1,1166 1,1305 1,1016 1,0257 0,9132 0,7848 0,6688 0,6032 0,6285 0,7673 1,0093 1,3166 1,6415 1,9406 2,1799 2,3440 2,4444 2,5089 2,5612 2,6144 2,6746 2,7438 2,8231 2,9162 3,0240 3,1365 3,2299 3,2734 3,2476 3,1648 3,0667 2,9978 2,9804 3,0064 3,0498 3,0885 3,1101 3,1043 3,0617 2,9837 2,8881 2,8048 2,7640 2,7770 2,8232 2,8651 2,8730 2,8387 2,7821 2,7517 2,7937 2,9113 3,0641 3,1988 3,2739 3,2770 3,2334 3,1901 3,1851 3,2361 3,3463 3,5070 3,6931 3,8661 3,9910 4,0518 4,0497 3,9942 3,9009 3,7878 3,6679 3,5500 3,4474 3,3842 3,3930 3,5027 3,7205 4,0246 4,3765 4,7383 5,0790 5,3738 5,6058 5,7701 5,8723 5,9276 5,9530 5,9565 5,9345 5,8775 5,7764 5,6268 5,4287 5,1868 4,9151 4,6370 4,3775 4,1573 3,9924 3,8947 3,8687 3,9089 4,0046 4,1514 4,3565 4,6276 4,9560 5,3142 5,6644 5,9680 6,1932 6,3190 6,3387 6,2632 6,1166 5,9331 5,7606 5,6558 5,6655 5,8112 6,0834 6,4456 6,8405 7,1984 7,4536 7,5669 7,5369 7,3968 7,2019 7,0153 6,8882 6,8433 6,8704 6,9387 7,0117 7,0567 7,0550 7,0121 6,9544 6,9085 6,8857 6,8822 6,8848 6,8749 6,8328 6,7494 6,6391 6,5399 6,4927 6,5102 6,5647 6,6139 6,6331 6,6222 6,5908 6,5419 6,4697 6,3738 6,2740 6,2105 6,2238 6,3275 6,5030 6,7256 6,9915 7,3121 7,6876 8,0950 8,5000 8,8723 9,1929 9,4524 9,6469 9,7758 9,8402 9,8409 9,7793 9,6569 9,4762 9,2481 9,0004 8,7717 8,5939 8,4836 8,4438 8,4626 8,5161 8,5810 8,6418 8,6885 8,7074 8,6781 8,5894 8,4588 8,3238 8,2072 8,0947 7,9568 7,7828 7,5885 7,4007 7,2439 7,1363 7,0859 7,0859 7,1210 7,1806 7,2643 7,3734 7,4975 7,6065 7,6612 7,6397 7,5491 7,4086 7,2269 7,0035 6,7475 6,4813 6,2198 5,9579 5,6861 5,4124 5,1660 4,9826 4,8857 4,8764 4,9334 5,0179 5,0869 5,1086 5,0675 4,9662 4,8238 4,6673 4,5179 4,3776 4,2228 4,0170 3,7452 3,4367 3,1448 2,9137 2,7695 2,7264 2,7885 2,9502 3,1995 3,5200 3,8941 4,3081 4,7480 5,1846 5,5691 5,8533 6,0169 6,0770 6,0777 6,0713 6,1020 6,1925 6,3416 6,5313 6,7374 6,9468 7,1648 7,3979 7,6316 7,8370 7,9979 8,1248 8,2467 8,3904 8,5648 8,7597 8,9600 9,1601 9,3580 9,5451 9,7149 9,8715 10,0193 10,1526 10,2573 10,3151 10,3154 10,2696 10,2065 10,1519 10,1117 10,0704 9,9994 9,8729 9,6835 9,4446 9,1745 8,8743 8,5241 8,1040 7,6120 7,0624 6,4770 5,8820 5,3083 4,7826 4,3111 3,8768 3,4550 3,0298 2,5983 2,1703 1,7618 1,3826 1,0311 0,7023 0,3949 0,1107 -0,1464 -0,3687 -0,5476 -0,6816 -0,7779 -0,8489 -0,9053 -0,9478 -0,9695 -0,9706 -0,9683 -0,9901 -1,0591 -1,1858 -1,3693 -1,5935 -1,8179 -1,9882 -2,0599 -2,0137 -1,8621 -1,6441 -1,4111 -1,2058 -1,0477 -0,9335 -0,8494 -0,7794 -0,7085 -0,6235 -0,5092
Fz    1,9809 1,8739 1,8027 1,7527 1,7041 1,6305 1,5046 1,3094 1,0455 0,7308 0,3932 0,0612 -0,2432 -0,5087 -0,7347 -0,9333 -1,1266 -1,3317 -1,5450 -1,7457 -1,9089 -2,0157 -2,0577 -2,0399 -1,9768 -1,8860 -1,7810 -1,6594 -1,4997 -1,2761 -0,9780 -0,6180 -0,2234 0,1761 0,5516 0,8742 1,1180 1,2662 1,3121 1,2587 1,1221 0,9346 0,7389 0,5700 0,4432 0,3629 0,3309 0,3458 0,4026 0,4917 0,5975 0,7045 0,8093 0,9222 1,0537 1,2019 1,3557 1,5043 1,6377 1,7412 1,7993 1,8073 1,7782 1,7376 1,7080 1,6965 1,6961 1,6993 1,7104 1,7445 1,8089 1,8856 1,9356 1,9217 1,8305 1,6765 1,4904 1,3035 1,1384 1,0121 0,9418 0,9420 1,0115 1,1315 1,2788 1,4364 1,5904 1,7287 1,8460 1,9472 2,0448 2,1479 2,2551 2,3549 2,4295 2,4569 2,4153 2,2919 2,0926 1,8446 1,5898 1,3717 1,2200 1,1392 1,1092 1,1015 1,0927 1,0689 1,0247 0,9639 0,8994 0,8486 0,8267 0,8424 0,8990 0,9984 1,1400 1,3098 1,4806 1,6276 1,7468 1,8553 1,9787 2,1386 2,3480 2,6095 2,9109 3,2240 3,5127 3,7484 3,9221 4,0449 4,1411 4,2417 4,3795 4,5804 4,8562 5,2008 5,5914 6,0010 6,4139 6,8278 7,2394 7,6363 8,0013 8,3171 8,5687 8,7480 8,8609 8,9255 8,9600 8,9735 8,9642 8,9280 8,8721 8,8160 8,7814 8,7864 8,8429 8,9501 9,0944 9,2578 9,4275 9,5951 9,7549 9,9127 10,0954 10,3410 10,6709 11,0699 11,4922 11,8870 12,2242 12,5009 12,7259 12,8945 12,9831 12,9693 12,8474 12,6187 12,2810 11,8403 11,3222 10,7709 10,2400 9,7786 9,4155 9,1529 8,9729 8,8453 8,7379 8,6266 8,4968 8,3388 8,1468 7,9166 7,6465 7,3440 7,0249 6,7069 6,4083 6,1523 5,9638 5,8560 5,8211 5,8361 5,8753 5,9173 5,9477 5,9621 5,9709 5,9996 6,0784 6,2236 6,4264 6,6603 6,8972 7,1168 7,3038 7,4422 7,5170 7,5239 7,4783 7,4118 7,3546 7,3215 7,3138 7,3274 7,3528 7,3695 7,3485 7,2678 7,1208 6,9109 6,6490 6,3568 6,0673 5,8134 5,6114 5,4495 5,2925 5,0965 4,8293 4,4889 4,1066 3,7257 3,3764 3,0666 2,7902 2,5402 2,3189 2,1376 2,0052 1,9144 1,8389 1,7498 1,6372 1,5123 1,3964 1,3146 1,2880 1,3231 1,4057 1,5078 1,5982 1,6468 1,6273 1,5320 1,3834 1,2212 1,0767 0,9626 0,8764 0,8077 0,7501 0,7085 0,6938 0,7111 0,7557 0,8178 0,8938 0,9949 1,1456 1,3649 1,6452 1,9455 2,2091 2,3927 2,4802 2,4752 2,3927 2,2582 2,1052 1,9660 1,8627 1,7997 1,7624 1,7296 1,6904 1,6503 1,6301 1,6576 1,7514 1,9058 2,0932 2,2740 2,4056 2,4573 2,4269 2,3400 2,2339 2,1439 2,0987 2,1150 2,1906 2,3027 2,4185 2,5068 2,5431 2,5118 2,4101 2,2486 2,0528 1,8596 1,7074 1,6247 1,6256 1,7063 1,8439 2,0026 2,1474 2,2556 2,3209 2,3480 2,3477 2,3317 2,3074 2,2773 2,2447 2,2129 2,1795 2,1360 2,0733 1,9876 1,8786 1,7458 1,5911 1,4253 1,2672 1,1388 1,0578 1,0321 1,0589 1,1311 1,2455 1,4085 1,6325 1,9206 2,2582 2,6216 2,9898 3,3449 3,6668 3,9310 4,1157 4,2133 4,2321 4,1890 4,1066 4,0142 3,9430 3,9183 3,9526 4,0404 4,1578 4,2681 4,3343 4,3363 4,2772 4,1787 4,0730 3,9907 3,9466 3,9330 3,9240 3,8876 3,7961 3,6338 3,4099 3,1630 2,9434 2,7894 2,7155 2,7140 2,7624 2,8360 2,9149 2,9867 3,0502 3,1199 3,2184 3,3541 3,5089 3,6524 3,7632 3,8345 3,8654 3,8537 3,7984 3,7113 3,6297 3,6118 3,7136 3,9633 4,3529 4,8546 5,4387 6,0755 6,7295 7,3610 7,9348 8,4289 8,8403 9,1783 9,4508 9,6561 9,7839 9,8271 9,7896 9,6820 9,5081 9,2671 8,9725 8,6588 8,3620 8,0981 7,8609 7,6315 7,3917 7,1355 6,8739 6,6236 6,3916 6,1688 5,9446 5,7243 5,5287 5,3732 5,2532 5,1525 5,0598 4,9696 4,8766 4,7764 4,6710 4,5690 4,4813 4,4196 4,3920 4,3961 4,4171 4,4335 4,4222 4,3643 4,2559 4,1127 3,9578 3,8072 3,6679 3,5450 3,4394 3,3386 3,2171 3,0530 2,8429 2,6044 2,3724 2,1902 2,0948 2,1014 2,1949 2,3384 2,4893 2,6103 2,6757 2,6783 2,6285 2,5457 2,4467 2,3361 2,2067 2,0563 1,9038 1,7860 1,7356 1,7682 1,8818 2,0599 2,2765 2,4999 2,7008 2,8651 3,0009 3,1291 3,2606 3,3834 3,4728 3,5107 3,4989 3,4579 3,4175 3,4036 3,4265 3,4793 3,5482 3,6287 3,7345 3,8880 4,0979 4,3484 4,6123 4,8735 5,1355 5,4149 5,7276 6,0788 6,4614 6,8650 7,2834 7,7092 8,1287 8,5326 8,9243 9,3133 9,7043 10,0912 10,4574 10,7868 11,0750 11,3264 11,5447 11,7297 11,8794 11,9889 12,0484 12,0431 11,9615 11,8048 11,5849 11,3088 10,9660 10,5366 10,0070 9,3773 8,6656 7,9112 7,1632 6,4532 5,7803 5,1222 4,4571 3,7737 3,0715 2,3589 1,6507 0,9633 0,3106 -0,3004 -0,8713 -1,4056 -1,8988 -2,3389 -2,7164 -3,0307 -3,2881 -3,4980 -3,6692 -3,8049 -3,9011 -3,9547 -3,9783 -4,0031 -4,0605 -4,1667 -4,3212 -4,5048 -4,6841 -4,8244 -4,8971 -4,8821 -4,7744 -4,5905 -4,3623 -4,1190 -3,8767 -3,6415 -3,4146 -3,1925 -2,9651 -2,7147
F3    1,5197 1,4836 1,4679 1,4560 1,4348 1,3865 1,2884 1,1226 0,8855 0,5899 0,2604 -0,0720 -0,3781 -0,6379 -0,8456 -1,0121 -1,1620 -1,3165 -1,4782 -1,6327 -1,7582 -1,8330 -1,8426 -1,7855 -1,6717 -1,5195 -1,3507 -1,1784 -0,9949 -0,7759 -0,5023 -0,1785 0,1700 0,5119 0,8191 1,0679 1,2423 1,3365 1,3522 1,2907 1,1514 0,9434 0,6933 0,4384 0,2114 0,0365 -0,0707 -0,1057 -0,0726 0,0149 0,1305 0,2427 0,3337 0,4068 0,4740 0,5388 0,5927 0,6254 0,6311 0,6049 0,5425 0,4453 0,3256 0,2043 0,0987 0,0137 -0,0582 -0,1244 -0,1757 -0,1857 -0,1328 -0,0249 0,1026 0,2135 0,2950 0,3577 0,4208 0,4953 0,5799 0,6688 0,7615 0,8619 0,9664 1,0630 1,1441 1,2120 1,2721 1,3298 1,3964 1,4904 1,6287 1,8134 2,0283 2,2476 2,4437 2,5901 2,6613 2,6365 2,5094 2,2981 2,0454 1,8079 1,6346 1,5477 1,5400 1,5880 1,6639 1,7398 1,7882 1,7894 1,7420 1,6626 1,5727 1,4874 1,4138 1,3581 1,3259 1,3155 1,3188 1,3319 1,3647 1,4381 1,5715 1,7730 2,0398 2,3616 2,7175 3,0705 3,3758 3,5992 3,7335 3,7975 3,8253 3,8598 3,9448 4,1113 4,3690 4,7058 5,0910 5,4888 5,8780 6,2559 6,6211 6,9624 7,2651 7,5194 7,7201 7,8661 7,9645 8,0311 8,0834 8,1341 8,1847 8,2279 8,2612 8,2944 8,3428 8,4204 8,5356 8,6857 8,8572 9,0349 9,2092 9,3747 9,5290 9,6821 9,8614 10,0971 10,3957 10,7260 11,0333 11,2698 11,4185 11,4941 11,5254 11,5270 11,4874 11,3854 11,2096 10,9559 10,6199 10,2045 9,7292 9,2282 8,7426 8,3126 7,9659 7,7099 7,5306 7,3986 7,2799 7,1459 6,9752 6,7529 6,4730 6,1353 5,7453 5,3194 4,8830 4,4610 4,0762 3,7514 3,5050 3,3424 3,2531 3,2182 3,2228 3,2585 3,3192 3,3973 3,4871 3,5924 3,7242 3,8866 4,0673 4,2456 4,4071 4,5470 4,6615 4,7402 4,7691 4,7405 4,6628 4,5588 4,4528 4,3587 4,2832 4,2323 4,2072 4,1971 4,1831 4,1491 4,0857 3,9858 3,8469 3,6813 3,5171 3,3862 3,3063 3,2701 3,2459 3,1886 3,0587 2,8441 2,5722 2,2925 2,0440 1,8401 1,6756 1,5406 1,4290 1,3409 1,2773 1,2311 1,1858 1,1287 1,0609 0,9934 0,9411 0,9247 0,9676 1,0815 1,2541 1,4518 1,6352 1,7703 1,8322 1,8171 1,7518 1,6774 1,6222 1,5900 1,5661 1,5299 1,4718 1,4021 1,3402 1,2985 1,2788 1,2780 1,2979 1,3534 1,4679 1,6540 1,8986 2,1618 2,3912 2,5445 2,6013 2,5567 2,4132 2,1801 1,8758 1,5279 1,1687 0,8251 0,5077 0,2158 -0,0492 -0,2778 -0,4492 -0,5333 -0,5064 -0,3704 -0,1548 0,0938 0,3244 0,4980 0,6030 0,6507 0,6605 0,6540 0,6572 0,6914 0,7569 0,8312 0,8875 0,9113 0,8998 0,8544 0,7802 0,6874 0,5919 0,5138 0,4749 0,4958 0,5933 0,7738 1,0268 1,3255 1,6375 1,9340 2,1938 2,4030 2,5576 2,6633 2,7292 2,7603 2,7587 2,7255 2,6581 2,5510 2,4010 2,2118 1,9932 1,7571 1,5170 1,2907 1,0987 0,9618 0,8967 0,9079 0,9847 1,1060 1,2526 1,4190 1,6110 1,8274 2,0509 2,2608 2,4438 2,5927 2,7004 2,7603 2,7718 2,7458 2,6993 2,6469 2,6028 2,5843 2,6061 2,6742 2,7856 2,9293 3,0852 3,2228 3,3077 3,3176 3,2522 3,1339 3,0006 2,8908 2,8233 2,7871 2,7541 2,6990 2,6058 2,4662 2,2890 2,1061 1,9594 1,8788 1,8723 1,9269 2,0159 2,1124 2,1983 2,2669 2,3216 2,3745 2,4381 2,5120 2,5809 2,6314 2,6665 2,6996 2,7408 2,7912 2,8438 2,8901 2,9323 2,9915 3,1000 3,2821 3,5421 3,8728 4,2694 4,7274 5,2321 5,7553 6,2630 6,7274 7,1361 7,4904 7,7966 8,0568 8,2659 8,4173 8,5097 8,5402 8,4938 8,3533 8,1244 7,8453 7,5681 7,3349 7,1641 7,0471 6,9554 6,8581 6,7361 6,5843 6,4029 6,1902 5,9506 5,7040 5,4796 5,2929 5,1325 4,9739 4,8032 4,6241 4,4452 4,2710 4,1038 3,9469 3,8042 3,6838 3,5993 3,5627 3,5749 3,6238 3,6817 3,7128 3,6920 3,6184 3,5071 3,3713 3,2198 3,0641 2,9164 2,7771 2,6306 2,4581 2,2532 2,0276 1,8116 1,6472 1,5727 1,6044 1,7270 1,9031 2,0895 2,2478 2,3491 2,3822 2,3558 2,2918 2,2120 2,1248 2,0247 1,9117 1,8064 1,7425 1,7482 1,8403 2,0230 2,2849 2,5997 2,9314 3,2442 3,5143 3,7395 3,9312 4,0943 4,2130 4,2589 4,2135 4,0863 3,9150 3,7489 3,6250 3,5545 3,5284 3,5331 3,5645 3,6352 3,7658 3,9625 4,2065 4,4654 4,7135 4,9464 5,1801 5,4354 5,7197 6,0249 6,3434 6,6792 7,0367 7,4060 7,7713 8,1246 8,4628 8,7797 9,0640 9,3019 9,4871 9,6325 9,7652 9,9067 10,0622 10,2227 10,3692 10,4749 10,5106 10,4554 10,3064 10,0744 9,7687 9,3863 8,9153 8,3459 7,6805 6,9402 6,1650 5,3992 4,6694 3,9734 3,2907 2,6018 1,9001 1,1947 0,5055 -0,1469 -0,7467 -1,2819 -1,7456 -2,1414 -2,4818 -2,7779 -3,0381 -3,2750 -3,5021 -3,7244 -3,9340 -4,1132 -4,2411 -4,3034 -4,3010 -4,2554 -4,2028 -4,1783 -4,2035 -4,2811 -4,3910 -4,4982 -4,5703 -4,5881 -4,5461 -4,4529 -4,3328 -4,2165 -4,1235 -4,0531 -3,9929 -3,9285 -3,8465 -3,7312 -3,5617
F7    1,1184 1,0361 0,9504 0,8603 0,7703 0,6847 0,6013 0,5109 0,4041 0,2750 0,1222 -0,0494 -0,2290 -0,4087 -0,5897 -0,7790 -0,9776 -1,1654 -1,3002 -1,3419 -1,2770 -1,1223 -0,9117 -0,6822 -0,4636 -0,2777 -0,1391 -0,0487 0,0119 0,0755 0,1690 0,2965 0,4406 0,5774 0,6874 0,7574 0,7774 0,7377 0,6278 0,4452 0,2106 -0,0319 -0,2289 -0,3375 -0,3437 -0,2707 -0,1643 -0,0660 0,0058 0,0524 0,0805 0,0944 0,1021 0,1207 0,1652 0,2301 0,2894 0,3151 0,2931 0,2235 0,1150 -0,0176 -0,1585 -0,2950 -0,4154 -0,5069 -0,5586 -0,5638 -0,5161 -0,4045 -0,2167 0,0460 0,3575 0,6785 0,9777 1,2439 1,4826 1,7018 1,8994 2,0658 2,1917 2,2748 2,3281 2,3845 2,4815 2,6304 2,8067 2,9772 3,1335 3,2949 3,4828 3,6995 3,9282 4,1450 4,3262 4,4506 4,4990 4,4555 4,3149 4,0928 3,8285 3,5751 3,3763 3,2487 3,1821 3,1508 3,1277 3,0952 3,0453 2,9687 2,8506 2,6822 2,4757 2,2633 2,0783 1,9376 1,8410 1,7766 1,7279 1,6821 1,6410 1,6255 1,6643 1,7759 1,9581 2,1865 2,4224 2,6278 2,7859 2,9146 3,0533 3,2313 3,4488 3,6901 3,9483 4,2345 4,5648 4,9419 5,3477 5,7570 6,1528 6,5250 6,8573 7,1268 7,3197 7,4397 7,4995 7,5141 7,5067 7,5117 7,5635 7,6779 7,8386 8,0048 8,1351 8,2037 8,2063 8,1612 8,1031 8,0625 8,0490 8,0528 8,0568 8,0481 8,0249 8,0028 8,0127 8,0869 8,2346 8,4277 8,6143 8,7524 8,8313 8,8642 8,8685 8,8523 8,8052 8,7030 8,5257 8,2665 7,9264 7,5121 7,0417 6,5431 6,0472 5,5817 5,1692 4,8268 4,5605 4,3542 4,1708 3,9674 3,7095 3,3799 2,9878 2,5696 2,1743 1,8425 1,5902 1,4049 1,2603 1,1385 1,0373 0,9617 0,9129 0,8892 0,8912 0,9225 0,9822 1,0624 1,1555 1,2589 1,3673 1,4633 1,5207 1,5239 1,4881 1,4545 1,4596 1,5092 1,5806 1,6456 1,6873 1,6989 1,6780 1,6251 1,5470 1,4543 1,3532 1,2427 1,1228 1,0023 0,8924 0,7936 0,6956 0,5896 0,4798 0,3790 0,2919 0,2036 0,0901 -0,0613 -0,2421 -0,4292 -0,5975 -0,7269 -0,8076 -0,8454 -0,8576 -0,8605 -0,8614 -0,8608 -0,8599 -0,8661 -0,8881 -0,9281 -0,9796 -1,0284 -1,0544 -1,0338 -0,9488 -0,7955 -0,5834 -0,3287 -0,0531 0,2163 0,4587 0,6707 0,8632 1,0475 1,2240 1,3794 1,4911 1,5387 1,5193 1,4514 1,3616 1,2740 1,2063 1,1627 1,1336 1,1118 1,1043 1,1220 1,1607 1,2014 1,2311 1,2562 1,2836 1,2986 1,2720 1,1846 1,0358 0,8375 0,6091 0,3728 0,1462 -0,0617 -0,2480 -0,4099 -0,5344 -0,5979 -0,5813 -0,4823 -0,3147 -0,1027 0,1227 0,3358 0,5283 0,7071 0,8821 1,0551 1,2201 1,3690 1,4925 1,5772 1,6082 1,5791 1,4976 1,3801 1,2439 1,1061 0,9865 0,9081 0,8912 0,9514 1,0990 1,3336 1,6359 1,9728 2,3110 2,6266 2,9048 3,1380 3,3260 3,4738 3,5889 3,6795 3,7529 3,8113 3,8459 3,8393 3,7782 3,6637 3,5068 3,3186 3,1094 2,8918 2,6805 2,4871 2,3180 2,1768 2,0644 1,9764 1,9069 1,8609 1,8594 1,9259 2,0669 2,2670 2,4978 2,7285 2,9355 3,1064 3,2374 3,3301 3,3862 3,4058 3,3947 3,3708 3,3569 3,3715 3,4258 3,5249 3,6640 3,8245 3,9806 4,1125 4,2133 4,2868 4,3406 4,3804 4,4131 4,4466 4,4812 4,5039 4,4935 4,4350 4,3367 4,2303 4,1485 4,1015 4,0744 4,0397 3,9749 3,8752 3,7534 3,6312 3,5321 3,4769 3,4786 3,5361 3,6309 3,7325 3,8106 3,8460 3,8347 3,7847 3,7132 3,6466 3,6172 3,6488 3,7442 3,8832 4,0369 4,1864 4,3337 4,4929 4,6767 4,8874 5,1174 5,3567 5,5976 5,8315 6,0435 6,2121 6,3171 6,3561 6,3520 6,3370 6,3349 6,3574 6,4029 6,4553 6,4916 6,4971 6,4737 6,4305 6,3706 6,2879 6,1736 6,0200 5,8210 5,5745 5,2910 4,9979 4,7324 4,5244 4,3783 4,2684 4,1577 4,0252 3,8707 3,7005 3,5206 3,3427 3,1847 3,0616 2,9811 2,9472 2,9628 3,0236 3,1040 3,1583 3,1455 3,0533 2,8969 2,7005 2,4884 2,2828 2,0989 1,9358 1,7797 1,6203 1,4628 1,3243 1,2203 1,1632 1,1697 1,2595 1,4367 1,6772 1,9325 2,1482 2,2849 2,3322 2,3084 2,2461 2,1735 2,0975 2,0021 1,8715 1,7166 1,5721 1,4714 1,4336 1,4669 1,5785 1,7804 2,0805 2,4646 2,8927 3,3156 3,6931 4,0009 4,2300 4,3836 4,4706 4,5013 4,4901 4,4573 4,4240 4,4025 4,3936 4,3941 4,4082 4,4506 4,5363 4,6656 4,8242 4,9978 5,1868 5,4016 5,6421 5,8906 6,1219 6,3180 6,4791 6,6249 6,7835 6,9751 7,1994 7,4363 7,6593 7,8512 8,0055 8,1197 8,1977 8,2574 8,3199 8,3912 8,4582 8,4990 8,4949 8,4344 8,3147 8,1402 7,9151 7,6321 7,2721 6,8159 6,2575 5,6087 4,8974 4,1664 3,4680 2,8460 2,3163 1,8674 1,4765 1,1186 0,7700 0,4187 0,0692 -0,2682 -0,5892 -0,8935 -1,1817 -1,4603 -1,7395 -2,0182 -2,2753 -2,4835 -2,6326 -2,7353 -2,8096 -2,8626 -2,8909 -2,8902 -2,8606 -2,8057 -2,7266 -2,6230 -2,5056 -2,3961 -2,3080 -2,2362 -2,1677 -2,0954 -2,0207 -1,9533 -1,9086 -1,9009 -1,9328 -1,9901 -2,0459 -2,0645 -2,0099 -1,8631 -1,6282
