Fp1   4,6041 5,1992 5,7057 5,7800 5,3095 4,4299 3,4006 2,4254 1,5372 0,6423 -0,3258 -1,3101 -2,1786 -2,8354 -3,2724 -3,5355 -3,6622 -3,6596 -3,5435 -3,3788 -3,2572 -3,2390 -3,3247 -3,4632 -3,5726 -3,5697 -3,3999 -3,0451 -2,5128 -1,8448 -1,1453 -0,5602 -0,1837 0,0076 0,1192 0,2678 0,5595 1,0956 1,9171 2,9089 3,8107 4,3536 4,3773 3,8448 2,8140 1,4386 -0,0253 -1,2781 -2,0814 -2,3435 -2,1567 -1,7410 -1,3060 -0,9623 -0,7542 -0,7154 -0,8566 -1,1234 -1,3962 -1,5530 -1,5476 -1,4508 -1,4216 -1,6009 -1,9963 -2,4710 -2,8440 -2,9852 -2,8292 -2,3517 -1,5645 -0,5153 0,7225 2,0599 3,4072 4,6996 5,9001 6,9687 7,8486 8,4757 8,7784 8,7147 8,3356 7,7508 7,0203 6,1246 5,0285 3,7417 2,3188 0,8463 -0,5468 -1,6928 -2,4316 -2,6764 -2,4559 -1,8992 -1,1935 -0,5570 -0,1838 -0,1535 -0,3845 -0,6929 -0,9173 -1,0239 -1,1264 -1,3961 -1,9221 -2,6602 -3,4909 -4,2833 -4,9411 -5,4665 -5,9910 -6,7055 -7,7233 -9,0051 -10,4218 -11,8593 -13,2314 -14,4351 -15,3630 -15,9694 -16,2950 -16,4094 -16,3510 -16,1451 -15,8640 -15,6331 -15,5615 -15,6656 -15,8548 -15,9873 -15,9638 -15,7999 -15,5848 -15,3325 -14,8862 -13,9946 -12,4737 -10,3092 -7,6791 -4,9090 -2,3436 -0,2104 1,4125 2,5569 3,3342 3,9215 4,5372 5,3860 6,5628 7,9764 9,4068 10,6643 11,6840 12,4996 13,1857 13,8069 14,3584 14,7430 14,8447 14,6356 14,2051 13,6987 13,2321 12,8460 12,5272 12,2670 12,0912 12,0228 12,0158 11,9541 11,7297 11,2973 10,6430 9,7276 8,4940 6,9311 5,1246 3,2526 1,5322 0,1745 -0,6370 -0,7960 -0,3536 0,4488 1,2456 1,6764 1,5155 0,7596 -0,3750 -1,5441 -2,3853 -2,6211 -2,1576 -1,1058 0,3122 1,8726 3,3752 4,6178 5,3996 5,5693 5,0972 4,1223 2,9163 1,7844 0,9895 0,7219 1,0740 2,0282 3,4750 5,2296 7,0272 8,5521 9,5304 9,8240 9,4494 8,5357 7,2811 5,9154 4,6558 3,6754 3,0839 2,8836 2,9532 3,1411 3,4071 3,8352 4,4929 5,3114 6,1134 6,7354 7,1214 7,3311 7,5002 7,7871 8,2991 9,0209 9,8105 10,5022 11,0314 11,4328 11,7205 11,8403 11,7628 11,5627 11,3655 11,2367 11,1434 11,0173 10,8246 10,5577 10,1876 9,6620 8,9539 8,1038 7,2152 6,4319 5,9471 6,0008 6,7649 8,1784 9,9312 11,6298 12,9880 13,9089 14,4267 14,5687 14,3031 13,6246 12,6407 11,5536 10,5826 9,9059 9,6259 9,7356 10,1324 10,7007 11,3830 12,1594 12,9692 13,6914 14,2253 14,5723 14,8043 14,9661 15,0394 14,9653 14,6540 14,0093 13,0042 11,7344 10,3815 9,1186 8,0340 7,1268 6,3670 5,7402 5,2326 4,8076 4,4188 4,0489 3,7207 3,4686 3,3103 3,2425 3,2525 3,3354 3,5240 3,8810 4,4090 4,9876 5,4469 5,7057 5,8146 5,8692 5,8976 5,8436 5,6356 5,2590 4,7916 4,3895 4,2232 4,4005 4,9093 5,5981 6,2244 6,5757 6,6010 6,4411 6,3398 6,5193 7,0868 8,0145 9,1960 10,5154 11,8724 13,1924 14,4598 15,7294 17,0750 18,5202 20,0025 21,3887 22,5475 23,4294 24,0705 24,5308 24,8613 25,1153 25,3389 25,5423 25,6919 25,7359 25,6527 25,4857 25,3154 25,2087 25,2178 25,3743 25,6332 25,8677 25,9630 25,8825 25,6283 25,1977 24,6351 24,1033 23,8409 24,0216 24,6459 25,5372 26,4068 26,9495 26,9528 26,3650 25,2726 23,8207 22,1544 20,4036 18,6794 17,0696 15,6526 14,5158 13,7355 13,3411 13,3100 13,5755 14,0172 14,4756 14,8069 14,9385 14,8994 14,7966 14,7332 14,7597 14,8936 15,1298 15,4012 15,5705 15,5189 15,2737 15,0302 15,0225 15,3767 16,0847 17,0753 18,2705 19,5798 20,8720 21,9831 22,7881 23,2688 23,4913 23,5355 23,4498 23,2408 22,8990 22,4463 21,9516 21,4998 21,1479 20,9227 20,8723 21,0979 21,6879 22,6128 23,6963 24,6798 25,3127 25,4207 24,9258 23,8411 22,2915 20,5459 18,9793 17,9357 17,5896 17,9041 18,6734 19,6143 20,4806 21,1223 21,4664 21,4743 21,1148 20,3806 19,3442 18,1937 17,2046 16,6622 16,7637 17,5463 18,8709 20,4490 21,9214 23,0095 23,6492 23,9926 24,2849 24,7119 25,3145 26,0171 26,7360 27,4466 28,1358 28,7403 29,1883 29,4748 29,6595 29,8123 29,9692 30,0931 30,0694 29,7807 29,1829 28,2973 27,1714 25,8789 24,5375 23,2941 22,2525 21,4000 20,6303 19,8463 19,0317 18,2555 17,6488 17,3705 17,5551 18,2283 19,2294 20,2592 21,0563 21,5154 21,6411 21,4579 21,0088 20,3888 19,7048 18,9940 18,2066 17,2713 16,1846 15,0372 13,9509 13,0061 12,2310 11,6320 11,2119 10,9695 10,8947 10,9651 11,1571 11,4690 11,9122 12,4662 13,0520 13,5605 13,9295 14,2103 14,5697 15,2203 16,3220 17,9117 19,8843 22,0193 24,0506 25,7444 26,9442 27,5971 27,7919 27,7633 27,8145 28,2004 29,0476 30,3160 31,7854 33,1122 33,9699 34,1814 33,7600 32,8548 31,6546 30,3151 28,9471 27,6533 26,5567 25,7778 25,3582 25,1884 25,0277 24,6268 23,8408 22,6421 21,0827 19,2857 17,4603 15,8827 14,7820 14,1817 13,8800 13,5995 13,1346 12,3835 11,3132 9,9549 8,4338 6,9519 5,7013 4,7963 4,2834 4,1733 4,4215 4,9094 5,5007 6,1160 6,7448 7,3986 8,0647 8,6959 9,2330 9,6423 9,9549 10,2804 10,7485 11,4011 12,1528 12,8559 13,3801 13,6687 13,7675 13,7964 13,8691 14,0263 14,2215 14,3539 14,3275 14,1014 13,7050
Fz    1,4758 1,6571 1,8361 1,8835 1,7665 1,5429 1,3049 1,1089 0,9393 0,7439 0,5026 0,2542 0,0593 -0,0519 -0,1046 -0,1611 -0,2751 -0,4584 -0,6843 -0,9131 -1,1063 -1,2336 -1,2853 -1,2732 -1,2192 -1,1467 -1,0744 -0,9994 -0,8845 -0,6831 -0,3895 -0,0597 0,2240 0,4046 0,4645 0,4183 0,3176 0,2513 0,3026 0,4840 0,7208 0,8951 0,9048 0,6999 0,2826 -0,3056 -0,9831 -1,6312 -2,1264 -2,3957 -2,4522 -2,3738 -2,2374 -2,0836 -1,9411 -1,8504 -1,8455 -1,9217 -2,0254 -2,0841 -2,0569 -1,9627 -1,8669 -1,8384 -1,9011 -2,0209 -2,1378 -2,2015 -2,1752 -2,0329 -1,7763 -1,4458 -1,1012 -0,7897 -0,5366 -0,3508 -0,2333 -0,1853 -0,2053 -0,2837 -0,4186 -0,6205 -0,8884 -1,2039 -1,5564 -1,9498 -2,3790 -2,8152 -3,2267 -3,5968 -3,9093 -4,1304 -4,2135 -4,1213 -3,8594 -3,4882 -3,1007 -2,7870 -2,6016 -2,5449 -2,5733 -2,6308 -2,6888 -2,7707 -2,9407 -3,2483 -3,6735 -4,1323 -4,5268 -4,7773 -4,8347 -4,7058 -4,4659 -4,2277 -4,0849 -4,0753 -4,1937 -4,4259 -4,7567 -5,1537 -5,5602 -5,9156 -6,1878 -6,3792 -6,4985 -6,5441 -6,5181 -6,4348 -6,3043 -6,1143 -5,8329 -5,4338 -4,9273 -4,3757 -3,8630 -3,4301 -3,0356 -2,5831 -1,9771 -1,1639 -0,1618 0,9212 1,9270 2,7311 3,2901 3,6263 3,8029 3,9161 4,0886 4,4400 5,0319 5,8234 6,6958 7,5331 8,2731 8,8951 9,4017 9,8190 10,1802 10,4952 10,7485 10,9260 11,0362 11,1110 11,1902 11,3003 11,4463 11,6204 11,8091 11,9847 12,0976 12,0961 11,9623 11,7182 11,3934 10,9924 10,4927 9,8720 9,1440 8,3715 7,6457 7,0621 6,7072 6,6319 6,8143 7,1456 7,4601 7,5903 7,4224 6,9379 6,2197 5,4194 4,7075 4,2287 4,0675 4,2380 4,6979 5,3680 6,1428 6,8995 7,5052 7,8365 7,8254 7,5022 6,9853 6,4277 5,9668 5,6930 5,6372 5,7826 6,0977 6,5524 7,1001 7,6539 8,1042 8,3619 8,3797 8,1464 7,6847 7,0560 6,3553 5,6997 5,2061 4,9427 4,8942 4,9978 5,2181 5,5683 6,0553 6,6235 7,1664 7,5899 7,8606 7,9984 8,0510 8,0799 8,1381 8,2325 8,3091 8,2964 8,1683 7,9552 7,6940 7,3949 7,0644 6,7324 6,4466 6,2449 6,1292 6,0685 6,0247 5,9630 5,8453 5,6426 5,3599 5,0382 4,7277 4,4677 4,2979 4,2779 4,4657 4,8637 5,3955 5,9393 6,3822 6,6563 6,7286 6,5673 6,1440 5,4750 4,6431 3,7733 2,9853 2,3622 1,9417 1,7096 1,6108 1,5940 1,6499 1,7973 2,0376 2,3340 2,6450 2,9660 3,3126 3,6702 3,9894 4,2201 4,3193 4,2431 3,9620 3,4896 2,8905 2,2571 1,6703 1,1778 0,8081 0,5783 0,4827 0,4908 0,5635 0,6721 0,8044 0,9651 1,1708 1,4312 1,7308 2,0392 2,3417 2,6454 2,9404 3,1768 3,2980 3,2949 3,2203 3,1488 3,1170 3,1034 3,0627 2,9640 2,8073 2,6279 2,4896 2,4589 2,5632 2,7591 2,9512 3,0592 3,0784 3,0798 3,1626 3,4107 3,8583 4,4704 5,1536 5,7976 6,3199 6,6956 6,9608 7,1854 7,4277 7,7064 8,0051 8,2958 8,5608 8,7987 9,0043 9,1558 9,2419 9,2904 9,3481 9,4361 9,5348 9,6022 9,6110 9,5803 9,5663 9,6216 9,7632 9,9624 10,1501 10,2499 10,2270 10,1056 9,9334 9,7433 9,5571 9,4124 9,3598 9,4238 9,5711 9,7199 9,7777 9,6757 9,3890 8,9461 8,4229 7,9128 7,4797 7,1272 6,8109 6,4801 6,1297 5,8223 5,6475 5,6593 5,8570 6,1984 6,6114 7,0101 7,3198 7,4999 7,5642 7,5778 7,6089 7,6863 7,8097 7,9701 8,1389 8,2525 8,2304 8,0253 7,6604 7,2248 6,8322 6,5768 6,5061 6,6154 6,8563 7,1540 7,4281 7,6184 7,7012 7,6811 7,5742 7,3996 7,1784 6,9369 6,7054 6,5054 6,3372 6,1784 6,0045 5,8271 5,7096 5,7268 5,9018 6,1785 6,4455 6,5834 6,5027 6,1530 5,5240 4,6698 3,7342 2,9220 2,4169 2,3053 2,5602 3,0737 3,7102 4,3613 4,9638 5,4775 5,8560 6,0459 6,0123 5,7671 5,3715 4,9196 4,5237 4,2977 4,3280 4,6353 5,1525 5,7476 6,2946 6,7404 7,1186 7,5124 7,9950 8,5814 9,2249 9,8544 10,4086 10,8412 11,1299 11,3009 11,4203 11,5422 11,6774 11,8070 11,8947 11,8850 11,7280 11,4123 10,9604 10,4085 9,8063 9,2278 8,7615 8,4692 8,3486 8,3415 8,3796 8,4240 8,4800 8,5866 8,7942 9,1355 9,5906 10,0682 10,4468 10,6495 10,6741 10,5575 10,3336 10,0291 9,6763 9,3042 8,9213 8,5169 8,0787 7,6155 7,1631 6,7568 6,4016 6,0822 5,7961 5,5656 5,4150 5,3411 5,3113 5,2874 5,2470 5,1918 5,1426 5,1167 5,1100 5,1132 5,1464 5,2724 5,5793 6,1396 6,9714 8,0183 9,1629 10,2649 11,1996 11,8832 12,2942 12,4871 12,5704 12,6579 12,8319 13,1358 13,5676 14,0597 14,4828 14,7015 14,6405 14,3110 13,7873 13,1625 12,5114 11,8811 11,3123 10,8701 10,6468 10,7128 11,0487 11,5336 12,0119 12,3670 12,5422 12,5304 12,3629 12,0987 11,8162 11,5874 11,4282 11,2826 11,0745 10,7565 10,3089 9,7278 9,0379 8,3072 7,6252 7,0625 6,6516 6,3998 6,3034 6,3397 6,4607 6,6173 6,7906 6,9899 7,2283 7,4989 7,7657 7,9815 8,1266 8,2336 8,3742 8,6050 8,9098 9,1963 9,3519 9,3047 9,0541 8,6646 8,2337 7,8455 7,5414 7,3194 7,1508 6,9940 6,8064 6,5599
F3    0,6412 0,6751 0,7529 0,7691 0,6946 0,5774 0,4952 0,4911 0,5345 0,5486 0,4835 0,3617 0,2545 0,2185 0,2512 0,2950 0,2843 0,1891 0,0193 -0,1986 -0,4360 -0,6627 -0,8566 -1,0117 -1,1313 -1,2190 -1,2760 -1,2921 -1,2384 -1,0839 -0,8327 -0,5363 -0,2586 -0,0330 0,1425 0,2860 0,4309 0,6310 0,9257 1,2826 1,5930 1,7347 1,6326 1,2703 0,6749 -0,0862 -0,8990 -1,6211 -2,1246 -2,3433 -2,3024 -2,0947 -1,8132 -1,5144 -1,2410 -1,0418 -0,9487 -0,9440 -0,9588 -0,9154 -0,7824 -0,6017 -0,4676 -0,4724 -0,6477 -0,9469 -1,2795 -1,5611 -1,7362 -1,7823 -1,7137 -1,5713 -1,3937 -1,1968 -0,9810 -0,7420 -0,4764 -0,1939 0,0763 0,2957 0,4202 0,4149 0,2810 0,0452 -0,2806 -0,7063 -1,2337 -1,8396 -2,4894 -3,1447 -3,7445 -4,2048 -4,4496 -4,4464 -4,2266 -3,8805 -3,5224 -3,2481 -3,1039 -3,0784 -3,1213 -3,1741 -3,2044 -3,2303 -3,3177 -3,5339 -3,8903 -4,3335 -4,7821 -5,1544 -5,3867 -5,4703 -5,4701 -5,4894 -5,6080 -5,8445 -6,1684 -6,5386 -6,9221 -7,2853 -7,5880 -7,7995 -7,9213 -7,9774 -7,9832 -7,9401 -7,8623 -7,7881 -7,7560 -7,7723 -7,8050 -7,8080 -7,7568 -7,6712 -7,5947 -7,5364 -7,4364 -7,1966 -6,7371 -6,0253 -5,0903 -4,0342 -3,0018 -2,1135 -1,4228 -0,9197 -0,5475 -0,2164 0,1792 0,7278 1,4555 2,2991 3,1433 3,9000 4,5474 5,1045 5,6000 6,0588 6,4859 6,8532 7,1196 7,2675 7,3211 7,3348 7,3621 7,4309 7,5433 7,6905 7,8629 8,0441 8,2014 8,2934 8,2924 8,1948 8,0056 7,7129 7,2873 6,7104 6,0108 5,2716 4,5978 4,0809 3,7882 3,7521 3,9448 4,2684 4,5799 4,7370 4,6447 4,2927 3,7612 3,1846 2,7051 2,4320 2,4125 2,6290 3,0274 3,5443 4,1080 4,6286 4,9967 5,1049 4,8910 4,3795 3,6828 2,9585 2,3600 2,0017 1,9396 2,1722 2,6613 3,3468 4,1368 4,9004 5,4998 5,8443 5,9131 5,7349 5,3606 4,8536 4,2893 3,7533 3,3282 3,0575 2,9200 2,8620 2,8598 2,9354 3,1030 3,3189 3,5000 3,5884 3,5941 3,5810 3,6273 3,7957 4,1095 4,5300 4,9631 5,3135 5,5451 5,6782 5,7285 5,6794 5,5197 5,2821 5,0322 4,8263 4,6810 4,5803 4,5032 4,4315 4,3377 4,1918 3,9864 3,7478 3,5206 3,3450 3,2598 3,3234 3,5994 4,1008 4,7549 5,4324 6,0073 6,3985 6,5685 6,4907 6,1466 5,5714 4,8785 4,2202 3,7278 3,4837 3,5158 3,7835 4,1875 4,6258 5,0493 5,4583 5,8544 6,2122 6,5056 6,7457 6,9631 7,1543 7,2724 7,2636 7,0892 6,7279 6,1864 5,5145 4,8007 4,1429 3,6102 3,2276 2,9970 2,9150 2,9652 3,1108 3,3065 3,5179 3,7295 3,9396 4,1521 4,3680 4,5759 4,7556 4,8996 5,0201 5,1191 5,1623 5,1073 4,9552 4,7623 4,5953 4,4798 4,3925 4,2946 4,1635 4,0102 3,8770 3,8181 3,8715 4,0295 4,2249 4,3575 4,3560 4,2341 4,0890 4,0514 4,2305 4,6717 5,3340 6,1067 6,8615 7,5047 8,0030 8,3827 8,7079 9,0411 9,4133 9,8220 10,2473 10,6713 11,0850 11,4752 11,8132 12,0783 12,2848 12,4686 12,6500 12,8146 12,9254 12,9560 12,9236 12,8802 12,8745 12,9312 13,0479 13,1889 13,2965 13,3287 13,2796 13,1557 12,9569 12,7025 12,4609 12,3274 12,3616 12,5434 12,7787 12,9441 12,9364 12,7078 12,2786 11,7233 11,1344 10,5796 10,0802 9,6185 9,1649 8,7148 8,3113 8,0224 7,8927 7,9227 8,0746 8,2825 8,4662 8,5562 8,5232 8,3969 8,2504 8,1483 8,1121 8,1337 8,1939 8,2564 8,2610 8,1491 7,9115 7,6091 7,3420 7,1969 7,2183 7,4113 7,7502 8,1835 8,6425 9,0563 9,3722 9,5700 9,6540 9,6337 9,5129 9,2884 8,9687 8,5915 8,2139 7,8861 7,6336 7,4619 7,3853 7,4468 7,6897 8,1038 8,6074 9,0766 9,3903 9,4646 9,2566 8,7563 8,0002 7,1007 6,2383 5,5957 5,2819 5,3048 5,5900 6,0256 6,5142 6,9977 7,4408 7,8067 8,0517 8,1450 8,0937 7,9485 7,7896 7,7087 7,7905 8,0917 8,6184 9,3011 10,0008 10,5758 10,9641 11,2081 11,4085 11,6558 11,9836 12,3677 12,7615 13,1254 13,4264 13,6364 13,7539 13,8119 13,8507 13,8918 13,9338 13,9483 13,8806 13,6798 13,3285 12,8383 12,2354 11,5638 10,8915 10,3017 9,8574 9,5632 9,3656 9,1953 9,0119 8,8231 8,6817 8,6625 8,8243 9,1634 9,5916 9,9816 10,2477 10,3753 10,3802 10,2682 10,0421 9,7254 9,3562 8,9647 8,5657 8,1702 7,8012 7,4940 7,2658 7,0913 6,9259 6,7519 6,5913 6,4795 6,4343 6,4467 6,4905 6,5423 6,5935 6,6468 6,6984 6,7314 6,7403 6,7637 6,8852 7,2057 7,8002 8,6789 9,7741 10,9627 12,1101 13,1048 13,8697 14,3708 14,6337 14,7424 14,8070 14,9215 15,1430 15,4829 15,8869 16,2317 16,3772 16,2391 15,8219 15,2067 14,5119 13,8471 13,2839 12,8624 12,6184 12,5916 12,7908 13,1470 13,5226 13,7775 13,8270 13,6453 13,2479 12,6867 12,0491 11,4475 10,9757 10,6475 10,3907 10,1104 9,7414 9,2472 8,6100 7,8479 7,0340 6,2758 5,6660 5,2534 5,0479 5,0361 5,1770 5,4018 5,6417 5,8584 6,0452 6,2081 6,3468 6,4457 6,4876 6,4810 6,4734 6,5377 6,7325 7,0541 7,4304 7,7581 7,9473 7,9550 7,8056 7,5761 7,3468 7,1566 6,9965 6,8327 6,6313 6,3690 6,0458
F7    0,9175 1,0506 1,1623 1,1701 1,0637 0,8985 0,7462 0,6397 0,5475 0,4022 0,1683 -0,1142 -0,3563 -0,4860 -0,4902 -0,4035 -0,2697 -0,1208 0,0135 0,0962 0,0959 0,0021 -0,1751 -0,4114 -0,6673 -0,8954 -1,0600 -1,1449 -1,1389 -1,0307 -0,8313 -0,5902 -0,3662 -0,1858 -0,0411 0,0893 0,2363 0,4421 0,7287 1,0513 1,3083 1,4039 1,2922 0,9704 0,4631 -0,1701 -0,8288 -1,3993 -1,7956 -1,9874 -2,0085 -1,9274 -1,7907 -1,6073 -1,3882 -1,1733 -1,0037 -0,8791 -0,7575 -0,5988 -0,4084 -0,2435 -0,1896 -0,3151 -0,6198 -1,0243 -1,4198 -1,7301 -1,9302 -2,0295 -2,0508 -2,0152 -1,9276 -1,7753 -1,5424 -1,2221 -0,8238 -0,3836 0,0382 0,3740 0,5591 0,5468 0,3389 -0,0201 -0,4836 -1,0255 -1,6334 -2,2953 -2,9889 -3,6684 -4,2545 -4,6528 -4,7922 -4,6495 -4,2550 -3,6807 -3,0263 -2,4084 -1,9353 -1,6621 -1,5660 -1,5733 -1,6159 -1,6724 -1,7727 -1,9673 -2,2798 -2,6846 -3,1229 -3,5230 -3,8245 -4,0211 -4,1814 -4,4075 -4,7625 -5,2306 -5,7430 -6,2346 -6,6696 -7,0291 -7,3048 -7,5053 -7,6480 -7,7370 -7,7581 -7,7017 -7,5908 -7,4824 -7,4391 -7,4911 -7,6215 -7,7872 -7,9576 -8,1352 -8,3320 -8,5156 -8,5909 -8,4446 -8,0078 -7,2842 -6,3483 -5,3249 -4,3413 -3,4819 -2,7814 -2,2391 -1,8206 -1,4578 -1,0682 -0,5919 -0,0276 0,5583 1,0761 1,4758 1,7616 1,9685 2,1471 2,3513 2,6052 2,8777 3,1062 3,2518 3,3264 3,3729 3,4288 3,5063 3,5988 3,7020 3,8233 3,9621 4,0829 4,1232 4,0324 3,8027 3,4626 3,0461 2,5699 2,0418 1,4875 0,9648 0,5407 0,2614 0,1477 0,1975 0,3723 0,5911 0,7518 0,7635 0,5721 0,1864 -0,3101 -0,7880 -1,1197 -1,2224 -1,0879 -0,7790 -0,3840 0,0277 0,4102 0,7191 0,8973 0,8866 0,6583 0,2431 -0,2681 -0,7538 -1,0960 -1,2042 -1,0384 -0,6223 -0,0319 0,6300 1,2517 1,7259 1,9731 1,9675 1,7384 1,3485 0,8737 0,3897 -0,0438 -0,3900 -0,6306 -0,7687 -0,8307 -0,8427 -0,7952 -0,6503 -0,4053 -0,1321 0,0578 0,0893 -0,0247 -0,1870 -0,2604 -0,1279 0,2527 0,8228 1,4521 2,0143 2,4527 2,7816 3,0313 3,2119 3,3301 3,4138 3,5028 3,6213 3,7675 3,9265 4,0837 4,2161 4,2769 4,2099 3,9870 3,6379 3,2423 2,8929 2,6687 2,6378 2,8509 3,3057 3,9294 4,6106 5,2505 5,7883 6,1916 6,4235 6,4406 6,2427 5,9100 5,5727 5,3532 5,3351 5,5536 5,9771 6,5094 7,0439 7,5283 7,9673 8,3690 8,7060 8,9402 9,0673 9,1123 9,0898 8,9906 8,8004 8,5047 8,0887 7,5553 6,9463 6,3352 5,7928 5,3519 5,0111 4,7735 4,6656 4,7058 4,8681 5,0912 5,3244 5,5500 5,7643 5,9553 6,1052 6,2033 6,2509 6,2645 6,2731 6,2918 6,3022 6,2724 6,2005 6,1332 6,1360 6,2417 6,4247 6,6199 6,7672 6,8500 6,8963 6,9491 7,0334 7,1309 7,1785 7,0985 6,8555 6,5007 6,1624 5,9853 6,0653 6,4133 6,9599 7,6000 8,2454 8,8443 9,3726 9,8327 10,2624 10,7227 11,2608 11,8759 12,5102 13,0819 13,5324 13,8429 14,0188 14,0811 14,0710 14,0398 14,0243 14,0313 14,0418 14,0354 14,0171 14,0138 14,0462 14,1193 14,2288 14,3520 14,4482 14,4878 14,4723 14,4103 14,2967 14,1427 14,0144 14,0126 14,2046 14,5755 15,0294 15,4298 15,6504 15,6186 15,3360 14,8572 14,2448 13,5429 12,7823 11,9937 11,2105 10,4684 9,8056 9,2552 8,8355 8,5511 8,4005 8,3733 8,4400 8,5488 8,6440 8,6985 8,7216 8,7293 8,7264 8,7194 8,7194 8,7218 8,6963 8,6174 8,5120 8,4636 8,5539 8,8042 9,1746 9,6073 10,0588 10,5026 10,9153 11,2704 11,5508 11,7597 11,9069 11,9899 11,9899 11,8811 11,6540 11,3337 10,9699 10,6121 10,2942 10,0384 9,8793 9,8765 10,0820 10,4880 11,0134 11,5330 11,9241 12,1080 12,0647 11,8122 11,3837 10,8354 10,2626 9,7822 9,4825 9,3827 9,4301 9,5325 9,6131 9,6427 9,6286 9,5830 9,4970 9,3444 9,1148 8,8438 8,6192 8,5546 8,7417 9,2097 9,9158 10,7556 11,5870 12,2852 12,7987 13,1564 13,4285 13,6801 13,9424 14,2101 14,4691 14,7158 14,9402 15,1089 15,1923 15,1997 15,1721 15,1509 15,1496 15,1356 15,0418 14,8153 14,4480 13,9600 13,3766 12,7329 12,0880 11,5202 11,0904 10,8025 10,6077 10,4485 10,2946 10,1477 10,0352 10,0064 10,1195 10,4008 10,8012 11,2099 11,5286 11,7219 11,7973 11,7650 11,6286 11,3943 11,0686 10,6527 10,1503 9,5828 9,0008 8,4780 8,0761 7,8109 7,6599 7,5944 7,5937 7,6436 7,7351 7,8587 7,9990 8,1409 8,2768 8,4057 8,5230 8,6112 8,6501 8,6486 8,6696 8,8160 9,1788 9,7857 10,5900 11,4959 12,3968 13,2039 13,8496 14,2892 14,5223 14,6082 14,6463 14,7353 14,9442 15,2996 15,7662 16,2368 16,5694 16,6541 16,4602 16,0396 15,4965 14,9389 14,4397 14,0326 13,7332 13,5525 13,4847 13,4889 13,4942 13,4258 13,2269 12,8657 12,3410 11,6940 11,0152 10,4262 10,0216 9,8067 9,7051 9,6221 9,4868 9,2454 8,8492 8,2739 7,5555 6,7937 6,1075 5,5838 5,2636 5,1528 5,2239 5,4173 5,6695 5,9421 6,2215 6,4992 6,7549 6,9551 7,0680 7,0901 7,0625 7,0630 7,1690 7,4100 7,7451 8,0812 8,3138 8,3787 8,2890 8,1240 7,9758 7,8989 7,8917 7,9123 7,9094 7,8483 7,7264
