Fp1   3,1358 3,4791 3,8626 4,2150 4,4233 4,3342 3,8029 2,8226 1,5950 0,3915 -0,6444 -1,5203 -2,2843 -2,9383 -3,3977 -3,5117 -3,1920 -2,5545 -1,9075 -1,5726 -1,6860 -2,1490 -2,7312 -3,1743 -3,2547 -2,8613 -2,0555 -1,0242 0,0465 1,0352 1,8539 2,4251 2,7153 2,7745 2,7212 2,6667 2,6397 2,5860 2,4157 2,0253 1,3368 0,3876 -0,6561 -1,6011 -2,3177 -2,7487 -2,8773 -2,7247 -2,3686 -1,9377 -1,5950 -1,4975 -1,7190 -2,2015 -2,7540 -3,0909 -2,9569 -2,2981 -1,3155 -0,3524 0,2644 0,3262 -0,1972 -1,1366 -2,2138 -3,1877 -3,9368 -4,4867 -4,9899 -5,6051 -6,3433 -7,0336 -7,4518 -7,4649 -7,0647 -6,3424 -5,4845 -4,7644 -4,4315 -4,5376 -4,9230 -5,3793 -5,7574 -5,9488 -5,8593 -5,4547 -4,8246 -4,1581 -3,6521 -3,4496 -3,6047 -4,0461 -4,5933 -5,0382 -5,2410 -5,1652 -4,8194 -4,2043 -3,3516 -2,3798 -1,4885 -0,9153 -0,8907 -1,5769 -2,9624 -4,8028 -6,7377 -8,4803 -9,8822 -10,8942 -11,5330 -11,8415 -11,8486 -11,6174 -11,3104 -11,1045 -11,0229 -10,9209 -10,6616 -10,2416 -9,7452 -9,2593 -8,8351 -8,4560 -8,0276 -7,4286 -6,5965 -5,6014 -4,6485 -3,9561 -3,5887 -3,4105 -3,1981 -2,7827 -2,1118 -1,2496 -0,3380 0,4566 0,9411 0,9083 0,2702 -0,8389 -2,1725 -3,5532 -4,8949 -6,1165 -7,1080 -7,7678 -8,0685 -8,0912 -7,9664 -7,7784 -7,5427 -7,2528 -6,9379 -6,6557 -6,4079 -6,1019 -5,6370 -5,0243 -4,3998 -3,9141 -3,6378 -3,5656 -3,6361 -3,7393 -3,7898 -3,8204 -3,9458 -4,2180 -4,5662 -4,8925 -5,1873 -5,5149 -5,8831 -6,1776 -6,2543 -6,0812 -5,7990 -5,6400 -5,7264 -5,9476 -6,0694 -5,8942 -5,2899 -4,2055 -2,7520 -1,2079 0,1037 0,9354 1,1790 0,9067 0,3386 -0,3017 -0,8769 -1,2869 -1,4526 -1,3770 -1,1552 -0,9266 -0,8091 -0,8149 -0,8470 -0,8076 -0,6809 -0,5189 -0,4075 -0,4440 -0,6997 -1,1809 -1,8185 -2,4906 -3,0621 -3,4211 -3,4951 -3,2704 -2,8275 -2,3436 -2,0200 -1,9807 -2,2244 -2,6785 -3,3008 -4,0959 -5,0285 -5,9711 -6,7683 -7,3348 -7,6567 -7,7317 -7,5613 -7,1823 -6,6701 -6,0906 -5,4451 -4,7048 -3,9278 -3,3067 -3,0533 -3,2305 -3,7097 -4,2740 -4,7488 -5,0520 -5,1493 -4,9904 -4,5175 -3,7306 -2,7239 -1,6429 -0,6039 0,3368 1,1416 1,7348 2,0195 1,9940 1,8157 1,6771 1,6403 1,6212 1,4982 1,2334 0,9199 0,7139 0,7007 0,8265 0,9734 1,0856 1,2075 1,4156 1,7096 1,9897 2,1775 2,3159 2,5039 2,7790 3,0780 3,2647 3,2109 2,9160 2,5141 2,1192 1,7450 1,4166 1,2525 1,3875 1,8835 2,7120 3,7571 4,8297 5,7189 6,2478 6,3026 5,8779 5,1103 4,2081 3,3339 2,5447 1,8029 1,0464 0,2645 -0,5029 -1,2076 -1,7924 -2,1784 -2,2968 -2,1385 -1,7763 -1,3777 -1,1938 -1,4444 -2,1478 -3,0799 -3,9012 -4,3032 -4,1125 -3,3879 -2,4259 -1,5850 -1,0632 -0,8343 -0,7577 -0,7061 -0,6019 -0,3905 -0,0355 0,4549 1,0159 1,5602 2,0401 2,4752 2,9111 3,3651 3,8116 4,2147 4,5631 4,8579 5,0585 5,0433 4,6600 3,8627 2,7927 1,7146 0,9024 0,5827 0,8826 1,7494 2,9380 4,1075 4,9527 5,3085 5,1914 4,7505 4,1724 3,6382 3,3283 3,3968 3,8885 4,6655 5,4468 5,9633 6,0765 5,7812 5,1772 4,4788 3,9945 4,0016 4,5610 5,4356 6,2249 6,6043 6,4600 5,8616 4,9567 3,8800 2,7203 1,5625 0,5495 -0,1438 -0,4112 -0,2865 0,0598 0,3982 0,5568 0,4924 0,2905 0,1335 0,2101 0,5736 1,0933 1,5766 1,9113 2,0690 2,0286 1,7651 1,2985 0,7293 0,2249 -0,0597 -0,0731 0,1165 0,3630 0,4904 0,3642 -0,0299 -0,5672 -1,0692 -1,4521 -1,7996 -2,2589 -2,8662 -3,5120 -4,0574 -4,4351 -4,6297 -4,6208 -4,3886 -3,9464 -3,3338 -2,6075 -1,8812 -1,3503 -1,2140 -1,5510 -2,2684 -3,1150 -3,7575 -3,9656 -3,7638 -3,3729 -3,0326 -2,8604 -2,7974 -2,6582 -2,2835 -1,6824 -0,9996 -0,3811 0,0574 0,1986 -0,0453 -0,6518 -1,4299 -2,0804 -2,3901 -2,3919 -2,3454 -2,5598 -3,1785 -4,0791 -4,9523 -5,4843 -5,5072 -5,0498 -4,3112 -3,5621 -2,9751 -2,5143 -2,0290 -1,4370 -0,7670 -0,0627 0,6808 1,4745 2,2432 2,8097 3,0095 2,8254 2,3922 1,8833 1,4173 1,0762 0,9786 1,2581 1,9243 2,7759 3,4916 3,8110 3,6415 3,0395 2,1233 0,9870 -0,3259 -1,7813 -3,3008 -4,7550 -6,0010 -6,9323 -7,5142 -7,7715 -7,7310 -7,3783 -6,6887 -5,7237 -4,6862 -3,8068 -3,1386 -2,5154 -1,7490 -0,8262 0,1007 0,8340 1,2094 1,1503 0,7180 0,1139 -0,3904 -0,5693 -0,3507 0,1435 0,6669 0,9915 1,0207 0,7946 0,4080 -0,0704 -0,6464 -1,3776 -2,2390 -3,0559 -3,6571 -4,0299 -4,2706 -4,4638 -4,6452 -4,8364 -5,0688 -5,3540 -5,6741 -6,0457 -6,5298 -7,1245 -7,7027 -8,1042 -8,2594 -8,1954 -7,9398 -7,4685 -6,7927 -6,0639 -5,5397 -5,4471 -5,8726 -6,7277 -7,7975 -8,8412 -9,6869 -10,2933 -10,7441 -11,1521 -11,5691 -11,9888 -12,3632 -12,5799 -12,5021 -12,1107 -11,5731 -11,1446 -11,0548 -11,4671 -12,4106 -13,6986 -15,0050 -16,0410 -16,5917 -16,5001 -15,7713 -14,6543 -13,5305 -12,6886 -12,2011 -12,0071 -12,0563 -12,3383 -12,8202 -13,3888 -13,8954 -14,2666 -14,5335 -14,7738 -15,0799 -15,5397 -16,1541 -16,7528 -17,0526 -16,8492 -16,1522 -15,1526 -14,1269 -13,3573 -13,0492 -13,2663 -13,9220 -14,8123 -15,6484 -16,1254 -16,0857 -15,6495 -15,1247 -14,7747
Fz    1,6521 1,7562 1,9039 2,0572 2,1452 2,0834 1,8074 1,3167 0,6953 0,0681 -0,4755 -0,9096 -1,2401 -1,4661 -1,5657 -1,5078 -1,2910 -0,9813 -0,7026 -0,5737 -0,6401 -0,8554 -1,1177 -1,3152 -1,3600 -1,2157 -0,9065 -0,4936 -0,0370 0,4214 0,8498 1,2173 1,4976 1,6792 1,7714 1,7941 1,7591 1,6625 1,4889 1,2123 0,8091 0,2942 -0,2705 -0,8124 -1,2874 -1,6817 -1,9947 -2,2350 -2,4231 -2,5828 -2,7384 -2,9166 -3,1297 -3,3506 -3,5025 -3,4826 -3,2244 -2,7523 -2,1719 -1,6165 -1,2030 -1,0074 -1,0447 -1,2638 -1,5821 -1,9279 -2,2567 -2,5600 -2,8732 -3,2502 -3,7067 -4,1852 -4,5808 -4,8008 -4,8059 -4,6255 -4,3516 -4,1158 -4,0409 -4,1787 -4,4925 -4,8999 -5,3142 -5,6552 -5,8598 -5,9072 -5,8358 -5,7230 -5,6456 -5,6552 -5,7666 -5,9487 -6,1302 -6,2225 -6,1546 -5,8996 -5,4683 -4,8924 -4,2323 -3,5869 -3,0718 -2,7839 -2,7815 -3,0818 -3,6535 -4,4116 -5,2478 -6,0748 -6,8391 -7,5060 -8,0491 -8,4461 -8,6774 -8,7459 -8,6985 -8,6037 -8,4940 -8,3461 -8,1248 -7,8271 -7,4783 -7,1074 -6,7286 -6,3268 -5,8583 -5,2832 -4,6048 -3,8919 -3,2644 -2,8345 -2,6376 -2,6143 -2,6529 -2,6490 -2,5463 -2,3491 -2,1065 -1,8855 -1,7645 -1,8280 -2,1221 -2,6142 -3,2185 -3,8565 -4,4772 -5,0393 -5,5042 -5,8500 -6,0873 -6,2560 -6,3957 -6,5139 -6,5844 -6,5692 -6,4486 -6,2344 -5,9485 -5,5968 -5,1857 -4,7610 -4,4074 -4,1992 -4,1650 -4,2950 -4,5519 -4,8765 -5,2131 -5,5431 -5,8793 -6,2286 -6,5724 -6,8876 -7,1748 -7,4480 -7,6935 -7,8551 -7,8755 -7,7517 -7,5494 -7,3634 -7,2460 -7,1685 -7,0494 -6,8016 -6,3555 -5,6871 -4,8560 -3,9994 -3,2714 -2,7880 -2,6063 -2,7137 -3,0335 -3,4654 -3,9230 -4,3324 -4,6389 -4,8326 -4,9502 -5,0517 -5,1945 -5,4050 -5,6688 -5,9524 -6,2299 -6,4932 -6,7575 -7,0554 -7,4123 -7,8241 -8,2565 -8,6579 -8,9748 -9,1662 -9,2106 -9,1112 -8,9065 -8,6698 -8,4834 -8,4088 -8,4734 -8,6768 -9,0087 -9,4496 -9,9546 -10,4572 -10,8999 -11,2555 -11,5150 -11,6677 -11,7030 -11,6238 -11,4498 -11,2022 -10,8840 -10,4924 -10,0621 -9,6782 -9,4303 -9,3538 -9,4148 -9,5402 -9,6557 -9,7032 -9,6351 -9,4120 -9,0222 -8,5007 -7,9186 -7,3430 -6,8068 -6,3130 -5,8564 -5,4429 -5,0927 -4,8176 -4,5991 -4,4085 -4,2434 -4,1340 -4,1189 -4,2086 -4,3641 -4,5121 -4,5935 -4,6019 -4,5724 -4,5389 -4,5086 -4,4692 -4,4176 -4,3729 -4,3440 -4,3016 -4,1994 -4,0175 -3,7815 -3,5578 -3,4235 -3,4170 -3,5199 -3,6988 -3,9369 -4,2031 -4,4254 -4,5218 -4,4444 -4,1936 -3,8190 -3,4117 -3,0795 -2,9113 -2,9544 -3,1995 -3,5829 -4,0245 -4,4730 -4,9253 -5,4171 -5,9839 -6,6233 -7,2945 -7,9424 -8,5072 -8,9274 -9,1568 -9,1891 -9,0725 -8,9076 -8,8229 -8,9186 -9,2037 -9,5880 -9,9288 -10,0860 -9,9704 -9,5939 -9,0746 -8,5683 -8,1759 -7,9046 -7,6925 -7,4599 -7,1395 -6,6876 -6,1003 -5,4250 -4,7428 -4,1313 -3,6317 -3,2456 -2,9612 -2,7709 -2,6641 -2,6158 -2,5890 -2,5572 -2,5277 -2,5476 -2,6783 -2,9437 -3,2990 -3,6503 -3,8984 -3,9631 -3,7986 -3,4150 -2,8851 -2,3175 -1,8181 -1,4607 -1,2754 -1,2535 -1,3594 -1,5375 -1,7147 -1,8161 -1,8030 -1,7099 -1,6356 -1,6842 -1,9089 -2,2965 -2,7836 -3,2731 -3,6498 -3,8126 -3,7306 -3,4789 -3,2026 -3,0354 -3,0457 -3,2329 -3,5504 -3,9380 -4,3475 -4,7387 -5,0575 -5,2388 -5,2411 -5,0752 -4,8031 -4,5062 -4,2420 -4,0209 -3,8121 -3,5600 -3,2185 -2,7938 -2,3514 -1,9726 -1,7072 -1,5679 -1,5545 -1,6657 -1,8910 -2,1981 -2,5321 -2,8365 -3,0821 -3,2734 -3,4392 -3,6227 -3,8650 -4,1759 -4,5139 -4,8115 -5,0370 -5,2260 -5,4409 -5,7083 -6,0022 -6,2792 -6,5122 -6,6908 -6,8056 -6,8469 -6,8123 -6,7073 -6,5498 -6,3794 -6,2571 -6,2377 -6,3369 -6,5162 -6,6889 -6,7506 -6,6414 -6,3881 -6,0787 -5,8050 -5,6150 -5,4919 -5,3724 -5,1994 -4,9677 -4,7160 -4,4889 -4,3323 -4,3019 -4,4436 -4,7562 -5,1697 -5,5656 -5,8419 -5,9761 -6,0358 -6,1319 -6,3421 -6,6522 -6,9571 -7,1208 -7,0465 -6,7128 -6,1773 -5,5480 -4,9247 -4,3566 -3,8570 -3,4371 -3,1007 -2,8190 -2,5372 -2,2179 -1,8864 -1,6274 -1,5302 -1,6272 -1,8807 -2,2197 -2,5801 -2,9077 -3,1414 -3,2246 -3,1465 -2,9677 -2,8009 -2,7614 -2,9223 -3,2945 -3,8375 -4,4935 -5,2169 -5,9718 -6,7126 -7,3830 -7,9307 -8,3186 -8,5294 -8,5679 -8,4498 -8,1865 -7,7876 -7,2839 -6,7437 -6,2406 -5,7874 -5,3230 -4,7854 -4,1825 -3,5836 -3,0702 -2,7050 -2,5140 -2,4729 -2,5120 -2,5422 -2,4936 -2,3524 -2,1745 -2,0588 -2,0916 -2,2961 -2,6266 -3,0101 -3,3938 -3,7697 -4,1643 -4,5911 -5,0221 -5,4230 -5,7906 -6,1378 -6,4630 -6,7500 -6,9923 -7,2106 -7,4375 -7,7005 -8,0292 -8,4519 -8,9582 -9,4801 -9,9263 -10,2349 -10,3932 -10,4175 -10,3249 -10,1395 -9,9189 -9,7493 -9,7085 -9,8310 -10,0988 -10,4592 -10,8561 -11,2543 -11,6471 -12,0431 -12,4399 -12,8159 -13,1478 -13,4216 -13,6190 -13,7194 -13,7325 -13,7117 -13,7259 -13,8339 -14,0816 -14,4817 -14,9809 -15,4712 -15,8407 -15,9960 -15,8716 -15,4731 -14,9062 -14,3375 -13,9034 -13,6454 -13,5311 -13,5166 -13,5774 -13,6987 -13,8553 -14,0146 -14,1641 -14,3183 -14,4966 -14,7136 -14,9816 -15,2894 -15,5736 -15,7370 -15,7126 -15,5085 -15,1975 -14,8842 -14,6722 -14,6296 -14,7660 -15,0384 -15,3730 -15,6785 -15,8589 -15,8616 -15,7248 -15,5491 -15,4127
F3    1,9786 2,1526 2,4033 2,6870 2,9077 2,9370 2,6643 2,0710 1,2660 0,4233 -0,3254 -0,9276 -1,3715 -1,6452 -1,7265 -1,5922 -1,2565 -0,8141 -0,4303 -0,2620 -0,3646 -0,6665 -1,0296 -1,3166 -1,4255 -1,3154 -1,0145 -0,5867 -0,0920 0,4160 0,8784 1,2446 1,4908 1,6202 1,6532 1,6097 1,4948 1,3027 1,0242 0,6409 0,1414 -0,4334 -0,9919 -1,4587 -1,8193 -2,0974 -2,3136 -2,4753 -2,5885 -2,6670 -2,7398 -2,8457 -3,0095 -3,2173 -3,4035 -3,4587 -3,2872 -2,8803 -2,3321 -1,7874 -1,3791 -1,1937 -1,2558 -1,5184 -1,8886 -2,2798 -2,6456 -2,9912 -3,3666 -3,8241 -4,3535 -4,8536 -5,1821 -5,2441 -5,0390 -4,6483 -4,2061 -3,8726 -3,7780 -3,9457 -4,2851 -4,6764 -5,0362 -5,3087 -5,4447 -5,4210 -5,2741 -5,0897 -4,9591 -4,9471 -5,0759 -5,3124 -5,5746 -5,7603 -5,7845 -5,6022 -5,2015 -4,5921 -3,8293 -3,0308 -2,3420 -1,8882 -1,7607 -2,0150 -2,6334 -3,4952 -4,4283 -5,3015 -6,0531 -6,6563 -7,0935 -7,3538 -7,4371 -7,3750 -7,2448 -7,1283 -7,0406 -6,9193 -6,6984 -6,3713 -5,9767 -5,5590 -5,1443 -4,7227 -4,2507 -3,6867 -3,0307 -2,3485 -1,7649 -1,4038 -1,3065 -1,4028 -1,5592 -1,6518 -1,6113 -1,4319 -1,1516 -0,8326 -0,5762 -0,5224 -0,7730 -1,3108 -2,0291 -2,8238 -3,6206 -4,3437 -4,9126 -5,2762 -5,4405 -5,4645 -5,4171 -5,3348 -5,2216 -5,0749 -4,9056 -4,7333 -4,5572 -4,3461 -4,0741 -3,7671 -3,4976 -3,3335 -3,3086 -3,4309 -3,6837 -4,0152 -4,3617 -4,6911 -5,0087 -5,3199 -5,6070 -5,8516 -6,0718 -6,3128 -6,5843 -6,8250 -6,9460 -6,9052 -6,7489 -6,5899 -6,5234 -6,5498 -6,5846 -6,5225 -6,2756 -5,7939 -5,1058 -4,3300 -3,6286 -3,1454 -2,9660 -3,0867 -3,4190 -3,8497 -4,2910 -4,6745 -4,9487 -5,1045 -5,1803 -5,2408 -5,3438 -5,5084 -5,7121 -5,9171 -6,0926 -6,2262 -6,3396 -6,4853 -6,7138 -7,0400 -7,4400 -7,8633 -8,2475 -8,5312 -8,6660 -8,6360 -8,4781 -8,2732 -8,1094 -8,0474 -8,1080 -8,2833 -8,5681 -8,9650 -9,4556 -9,9859 -10,4891 -10,9163 -11,2385 -11,4337 -11,4839 -11,3826 -11,1398 -10,7756 -10,3013 -9,7299 -9,1216 -8,6007 -8,2951 -8,2548 -8,4285 -8,7098 -8,9996 -9,2296 -9,3441 -9,2850 -9,0157 -8,5582 -7,9930 -7,4122 -6,8722 -6,3847 -5,9395 -5,5397 -5,2196 -5,0077 -4,8796 -4,7786 -4,6743 -4,5889 -4,5808 -4,6936 -4,9045 -5,1306 -5,2953 -5,3830 -5,4212 -5,4290 -5,3966 -5,3067 -5,1727 -5,0431 -4,9486 -4,8597 -4,7198 -4,5049 -4,2485 -4,0305 -3,9347 -3,9834 -4,1219 -4,2916 -4,4784 -4,6641 -4,7795 -4,7432 -4,5194 -4,1322 -3,6506 -3,1698 -2,7908 -2,6001 -2,6531 -2,9479 -3,4129 -3,9462 -4,4759 -4,9889 -5,5135 -6,0733 -6,6581 -7,2386 -7,7889 -8,2804 -8,6677 -8,8999 -8,9518 -8,8495 -8,6811 -8,5803 -8,6660 -8,9664 -9,3951 -9,7978 -10,0181 -9,9589 -9,6383 -9,1942 -8,8002 -8,5538 -8,4323 -8,3402 -8,1833 -7,9008 -7,4639 -6,8845 -6,2250 -5,5756 -5,0114 -4,5541 -4,1764 -3,8526 -3,5935 -3,4280 -3,3601 -3,3541 -3,3602 -3,3600 -3,4007 -3,5765 -3,9495 -4,4794 -5,0348 -5,4592 -5,6245 -5,4593 -4,9738 -4,2636 -3,4760 -2,7610 -2,2318 -1,9398 -1,8720 -1,9728 -2,1631 -2,3459 -2,4257 -2,3586 -2,1967 -2,0672 -2,0928 -2,3279 -2,7544 -3,3075 -3,8865 -4,3581 -4,5945 -4,5470 -4,2906 -3,9821 -3,7711 -3,7416 -3,9068 -4,2363 -4,6895 -5,2278 -5,7994 -6,3188 -6,6809 -6,8048 -6,6748 -6,3558 -5,9633 -5,6003 -5,3146 -5,0922 -4,8690 -4,5690 -4,1653 -3,7080 -3,2853 -2,9645 -2,7777 -2,7437 -2,8742 -3,1599 -3,5560 -3,9767 -4,3205 -4,5234 -4,5866 -4,5622 -4,5293 -4,5723 -4,7423 -5,0203 -5,3357 -5,6359 -5,9298 -6,2555 -6,6228 -6,9963 -7,3264 -7,5805 -7,7448 -7,8132 -7,7921 -7,7046 -7,5739 -7,4135 -7,2494 -7,1371 -7,1375 -7,2765 -7,5239 -7,7876 -7,9352 -7,8734 -7,6184 -7,2742 -6,9557 -6,7277 -6,5811 -6,4538 -6,2937 -6,1136 -5,9725 -5,9160 -5,9640 -6,1326 -6,4361 -6,8580 -7,3115 -7,6502 -7,7580 -7,6382 -7,4199 -7,2820 -7,3435 -7,5878 -7,8764 -8,0415 -7,9776 -7,6755 -7,2200 -6,7513 -6,3792 -6,1115 -5,8798 -5,6228 -5,3247 -4,9905 -4,6156 -4,1996 -3,7927 -3,5030 -3,4297 -3,5895 -3,9110 -4,2934 -4,6612 -4,9622 -5,1378 -5,1300 -4,9340 -4,6304 -4,3536 -4,2262 -4,3084 -4,5860 -5,0015 -5,5045 -6,0777 -6,7167 -7,3968 -8,0645 -8,6539 -9,1113 -9,4186 -9,5908 -9,6445 -9,5716 -9,3459 -8,9646 -8,4865 -8,0039 -7,5509 -7,0612 -6,4505 -5,7208 -4,9694 -4,3273 -3,9025 -3,7428 -3,8140 -4,0108 -4,1998 -4,2725 -4,1894 -3,9985 -3,8153 -3,7660 -3,9193 -4,2602 -4,7222 -5,2352 -5,7614 -6,3031 -6,8574 -7,3747 -7,7967 -8,1109 -8,3430 -8,5233 -8,6747 -8,8232 -9,0001 -9,2222 -9,4839 -9,7908 -10,1712 -10,6254 -11,0863 -11,4577 -11,6817 -11,7578 -11,7079 -11,5438 -11,2855 -10,9994 -10,7904 -10,7546 -10,9367 -11,3141 -11,8134 -12,3469 -12,8406 -13,2542 -13,5895 -13,8659 -14,0895 -14,2613 -14,3882 -14,4608 -14,4469 -14,3402 -14,1971 -14,1064 -14,1466 -14,3742 -14,8040 -15,3739 -15,9604 -16,4377 -16,6994 -16,6629 -16,3183 -15,7740 -15,2161 -14,7937 -14,5393 -14,4067 -14,3565 -14,3879 -14,5099 -14,6965 -14,8864 -15,0347 -15,1430 -15,2422 -15,3752 -15,5855 -15,8799 -16,1932 -16,4134 -16,4553 -16,3094 -16,0335 -15,7272 -15,5055 -15,4560 -15,6006 -15,8933 -16,2441 -16,5401 -16,6675 -16,5698 -16,3050 -16,0085 -15,7875
