Fp1   -0,1786 -0,3416 -0,5240 -0,6495 -0,6508 -0,5021 -0,2340 0,0788 0,3476 0,5035 0,5214 0,4226 0,2556 0,0727 -0,0839 -0,1880 -0,2328 -0,2279 -0,1879 -0,1245 -0,0468 0,0391 0,1340 0,2388 0,3374 0,3965 0,3886 0,3115 0,1855 0,0374 -0,1074 -0,2300 -0,3257 -0,4048 -0,4749 -0,5172 -0,4896 -0,3578 -0,1168 0,2096 0,5701 0,8883 1,0815 1,0921 0,9065 0,5540 0,0940 -0,3974 -0,8496 -1,2234 -1,5083 -1,6961 -1,7689 -1,7164 -1,5566 -1,3356 -1,1068 -0,9113 -0,7721 -0,6944 -0,6689 -0,6827 -0,7287 -0,8038 -0,8957 -0,9764 -1,0077 -0,9580 -0,8234 -0,6391 -0,4615 -0,3367 -0,2825 -0,2927 -0,3485 -0,4298 -0,5223 -0,6179 -0,7086 -0,7782 -0,8028 -0,7612 -0,6458 -0,4692 -0,2635 -0,0694 0,0827 0,1870 0,2612 0,3303 0,4079 0,4893 0,5601 0,6086 0,6330 0,6379 0,6294 0,6162 0,6123 0,6374 0,7108 0,8398 1,0097 1,1843 1,3249 1,4096 1,4302 1,3695 1,1910 0,8598 0,3753 -0,2130 -0,8244 -1,3870 -1,8654 -2,2566 -2,5650 -2,7948 -2,9647 -3,1168 -3,3036 -3,5623 -3,8872 -4,2229 -4,4901 -4,6231 -4,5949 -4,4260 -4,1743 -3,9064 -3,6709 -3,4919 -3,3755 -3,3142 -3,2897 -3,2758 -3,2474 -3,1852 -3,0763 -2,9137 -2,6970 -2,4257 -2,0942 -1,7033 -1,2725 -0,8317 -0,3976 0,0425 0,5170 1,0373 1,5775 2,0841 2,5112 2,8524 3,1450 3,4434 3,7871 4,1860 4,6267 5,0893 5,5505 5,9719 6,3013 6,4914 6,5202 6,3962 6,1520 5,8325 5,4876 5,1652 4,9012 4,7086 4,5784 4,4930 4,4380 4,4035 4,3840 4,3847 4,4240 4,5186 4,6596 4,8028 4,8910 4,8942 4,8295 4,7463 4,6929 4,6916 4,7358 4,8055 4,8842 4,9721 5,0854 5,2436 5,4582 5,7298 6,0477 6,3911 6,7338 7,0441 7,2847 7,4258 7,4628 7,4142 7,3047 7,1554 6,9817 6,7947 6,6086 6,4482 6,3509 6,3542 6,4697 6,6657 6,8820 7,0623 7,1750 7,2173 7,2085 7,1675 7,0959 6,9900 6,8652 6,7577 6,7057 6,7344 6,8488 7,0270 7,2224 7,3867 7,5010 7,5791 7,6380 7,6753 7,6787 7,6465 7,5942 7,5456 7,5205 7,5275 7,5667 7,6354 7,7190 7,7802 7,7696 7,6520 7,4182 7,0784 6,6542 6,1787 5,7016 5,2842 4,9811 4,8193 4,7928 4,8737 5,0246 5,2021 5,3595 5,4579 5,4820 5,4412 5,3539 5,2301 5,0696 4,8632 4,5941 4,2481 3,8346 3,3982 3,0065 2,7224 2,5788 2,5756 2,6924 2,8978 3,1546 3,4320 3,7099 3,9666 4,1676 4,2727 4,2565 4,1300 3,9513 3,8048 3,7532 3,8019 3,9094 4,0229 4,1008 4,1142 4,0479 3,9044 3,7041 3,4790 3,2571 3,0455 2,8322 2,6090 2,3866 2,1867 2,0233 1,8948 1,7980 1,7437 1,7482 1,8095 1,8962 1,9619 1,9741 1,9340 1,8689 1,8035 1,7437 1,6928 1,6706 1,7040 1,8015 1,9430 2,0917 2,2147 2,2975 2,3417 2,3591 2,3648 2,3709 2,3834 2,4075 2,4463 2,4939 2,5358 2,5587 2,5590 2,5443 2,5296 2,5276 2,5374 2,5419 2,5182 2,4521 2,3473 2,2270 2,1272 2,0791 2,0879 2,1303 2,1751 2,2002 2,1889 2,1226 1,9933 1,8161 1,6202 1,4318 1,2636 1,1113 0,9586 0,7934 0,6214 0,4691 0,3786 0,3934 0,5370 0,7946 1,1132 1,4152 1,6217 1,6812 1,5889 1,3802 1,1049 0,8098 0,5390 0,3318 0,2130 0,1856 0,2390 0,3583 0,5231 0,7000 0,8478 0,9358 0,9562 0,9165 0,8280 0,7079 0,5881 0,5109 0,5127 0,6110 0,7997 1,0479 1,3050 1,5207 1,6766 1,8054 1,9719 2,2269 2,5705 2,9481 3,2766 3,4797 3,5149 3,3841 3,1264 2,7973 2,4458 2,1023 1,7763 1,4640 1,1661 0,9088 0,7374 0,6878 0,7646 0,9369 1,1484 1,3403 1,4766 1,5524 1,5867 1,6119 1,6591 1,7432 1,8564 1,9709 2,0419 2,0209 1,8872 1,6679 1,4210 1,1976 1,0236 0,9049 0,8413 0,8353 0,8926 1,0125 1,1822 1,3861 1,6170 1,8721 2,1390 2,3904 2,5948 2,7320 2,8028 2,8246 2,8130 2,7662 2,6644 2,4847 2,2258 1,9155 1,5911 1,2810 1,0106 0,8150 0,7278 0,7525 0,8527 0,9714 1,0555 1,0733 1,0213 0,9169 0,7831 0,6432 0,5253 0,4578 0,4545 0,5021 0,5598 0,5729 0,4951 0,3042 0,0064 -0,3613 -0,7378 -1,0655 -1,3178 -1,5039 -1,6549 -1,8093 -2,0026 -2,2538 -2,5538 -2,8661 -3,1404 -3,3357 -3,4424 -3,4868 -3,5124 -3,5525 -3,6131 -3,6755 -3,7145 -3,7193 -3,7069 -3,7171 -3,7860 -3,9147 -4,0597 -4,1572 -4,1586 -4,0507 -3,8574 -3,6304 -3,4277 -3,2837 -3,1885 -3,0937 -2,9438 -2,7128 -2,4229 -2,1287 -1,8865 -1,7286 -1,6534 -1,6303 -1,6149 -1,5675 -1,4732 -1,3488 -1,2288 -1,1410 -1,0907 -1,0658 -1,0615 -1,0950 -1,1924 -1,3672 -1,6129 -1,9068 -2,2148 -2,4973 -2,7135 -2,8287 -2,8280 -2,7289 -2,5820 -2,4526 -2,3963 -2,4390 -2,5694 -2,7506 -2,9477 -3,1429 -3,3290 -3,5049 -3,6797 -3,8622 -4,0453 -4,2092 -4,3425 -4,4526 -4,5586 -4,6747 -4,7939 -4,8806 -4,8843 -4,7699 -4,5403 -4,2359 -3,9134 -3,6250 -3,4113 -3,3021 -3,3128 -3,4360 -3,6396 -3,8834 -4,1431 -4,4122 -4,6796 -4,9113 -5,0554 -5,0700 -4,9531 -4,7483 -4,5168 -4,2973 -4,0906 -3,8852 -3,6922 -3,5497 -3,4943 -3,5368 -3,6621 -3,8415 -4,0474 -4,2616 -4,4655 -4,6273 -4,7113 -4,7029 -4,6221 -4,5134 -4,4201
Fz    1,0862 0,9811 0,8711 0,7854 0,7465 0,7542 0,7832 0,7975 0,7684 0,6842 0,5485 0,3736 0,1808 -0,0005 -0,1446 -0,2398 -0,2911 -0,3155 -0,3320 -0,3501 -0,3683 -0,3785 -0,3697 -0,3349 -0,2793 -0,2224 -0,1906 -0,2046 -0,2670 -0,3592 -0,4543 -0,5313 -0,5800 -0,5986 -0,5883 -0,5473 -0,4711 -0,3560 -0,2035 -0,0238 0,1604 0,3145 0,4000 0,3892 0,2774 0,0855 -0,1514 -0,3966 -0,6219 -0,8158 -0,9818 -1,1252 -1,2456 -1,3436 -1,4287 -1,5163 -1,6156 -1,7219 -1,8223 -1,9063 -1,9684 -2,0077 -2,0255 -2,0212 -1,9875 -1,9140 -1,7916 -1,6143 -1,3826 -1,1104 -0,8258 -0,5617 -0,3410 -0,1711 -0,0508 0,0220 0,0546 0,0608 0,0533 0,0388 0,0219 0,0082 -0,0010 -0,0111 -0,0285 -0,0553 -0,0854 -0,1019 -0,0824 -0,0125 0,1030 0,2456 0,3977 0,5545 0,7179 0,8835 1,0340 1,1477 1,2097 1,2152 1,1633 1,0505 0,8735 0,6354 0,3474 0,0271 -0,3061 -0,6385 -0,9672 -1,2982 -1,6405 -1,9998 -2,3730 -2,7517 -3,1305 -3,5096 -3,8848 -4,2440 -4,5740 -4,8669 -5,1191 -5,3305 -5,5029 -5,6330 -5,7069 -5,7027 -5,6010 -5,3979 -5,1100 -4,7702 -4,4174 -4,0884 -3,8110 -3,5983 -3,4445 -3,3256 -3,2104 -3,0733 -2,8999 -2,6859 -2,4330 -2,1456 -1,8288 -1,4878 -1,1268 -0,7474 -0,3469 0,0840 0,5559 1,0665 1,5937 2,1065 2,5813 3,0107 3,3996 3,7569 4,0909 4,4091 4,7192 5,0242 5,3191 5,5936 5,8361 6,0379 6,1957 6,3102 6,3808 6,4029 6,3704 6,2842 6,1595 6,0208 5,8885 5,7730 5,6788 5,6069 5,5512 5,4988 5,4357 5,3550 5,2598 5,1594 5,0659 4,9951 4,9683 5,0059 5,1149 5,2837 5,4891 5,7087 5,9320 6,1631 6,4134 6,6876 6,9754 7,2560 7,5040 7,6960 7,8181 7,8695 7,8592 7,8051 7,7328 7,6665 7,6186 7,5906 7,5756 7,5580 7,5195 7,4500 7,3531 7,2374 7,1051 6,9529 6,7834 6,6098 6,4486 6,3134 6,2113 6,1409 6,0917 6,0509 6,0125 5,9784 5,9558 5,9516 5,9701 6,0155 6,0935 6,2108 6,3752 6,5921 6,8527 7,1271 7,3774 7,5797 7,7330 7,8468 7,9278 7,9782 8,0013 8,0048 7,9948 7,9690 7,9202 7,8454 7,7479 7,6312 7,4975 7,3571 7,2314 7,1439 7,1104 7,1361 7,2169 7,3407 7,4889 7,6410 7,7797 7,8919 7,9665 7,9953 7,9756 7,9085 7,7963 7,6419 7,4485 7,2231 6,9854 6,7715 6,6225 6,5665 6,6110 6,7485 6,9679 7,2546 7,5860 7,9351 8,2788 8,6004 8,8867 9,1257 9,3082 9,4331 9,5107 9,5578 9,5842 9,5848 9,5497 9,4802 9,3924 9,3093 9,2474 9,2077 9,1789 9,1512 9,1211 9,0826 9,0234 8,9327 8,8112 8,6690 8,5184 8,3695 8,2314 8,1138 8,0234 7,9628 7,9295 7,9133 7,9004 7,8846 7,8740 7,8805 7,9043 7,9337 7,9576 7,9724 7,9808 7,9875 7,9974 8,0176 8,0572 8,1201 8,1979 8,2747 8,3378 8,3853 8,4250 8,4634 8,4965 8,5147 8,5151 8,5031 8,4868 8,4714 8,4566 8,4355 8,3966 8,3286 8,2233 8,0784 7,9002 7,7033 7,5048 7,3128 7,1227 6,9281 6,7323 6,5447 6,3723 6,2196 6,0927 5,9974 5,9353 5,9008 5,8797 5,8554 5,8175 5,7633 5,6971 5,6300 5,5767 5,5495 5,5557 5,5950 5,6529 5,7004 5,7080 5,6641 5,5780 5,4705 5,3641 5,2769 5,2231 5,2130 5,2498 5,3263 5,4304 5,5504 5,6726 5,7796 5,8560 5,8965 5,9068 5,8976 5,8789 5,8639 5,8707 5,9205 6,0319 6,2124 6,4492 6,7090 6,9486 7,1280 7,2238 7,2381 7,1952 7,1254 7,0501 6,9753 6,8963 6,8046 6,6931 6,5593 6,4079 6,2519 6,1087 5,9930 5,9118 5,8688 5,8662 5,9001 5,9576 6,0227 6,0792 6,1087 6,0899 6,0071 5,8575 5,6539 5,4210 5,1900 4,9893 4,8337 4,7195 4,6263 4,5266 4,4006 4,2470 4,0748 3,8900 3,6988 3,5183 3,3748 3,2922 3,2827 3,3452 3,4676 3,6348 3,8341 4,0555 4,2867 4,5119 4,7149 4,8825 5,0063 5,0846 5,1222 5,1277 5,1062 5,0546 4,9693 4,8523 4,7062 4,5291 4,3234 4,1073 3,9139 3,7749 3,7032 3,6869 3,6969 3,7031 3,6897 3,6585 3,6193 3,5802 3,5436 3,5056 3,4609 3,4089 3,3535 3,2949 3,2250 3,1312 3,0034 2,8387 2,6389 2,4057 2,1416 1,8546 1,5602 1,2754 1,0108 0,7722 0,5697 0,4217 0,3471 0,3544 0,4335 0,5555 0,6816 0,7755 0,8141 0,7927 0,7225 0,6206 0,4988 0,3566 0,1898 0,0043 -0,1810 -0,3430 -0,4595 -0,5131 -0,4965 -0,4174 -0,2991 -0,1731 -0,0635 0,0245 0,1016 0,1808 0,2697 0,3712 0,4848 0,6033 0,7111 0,7912 0,8344 0,8422 0,8245 0,8006 0,7974 0,8373 0,9259 1,0512 1,1901 1,3160 1,4094 1,4618 1,4729 1,4463 1,3902 1,3175 1,2428 1,1786 1,1317 1,0985 1,0629 1,0016 0,8946 0,7346 0,5279 0,2903 0,0416 -0,1975 -0,4087 -0,5829 -0,7204 -0,8239 -0,8931 -0,9289 -0,9402 -0,9426 -0,9501 -0,9696 -1,0019 -1,0431 -1,0878 -1,1342 -1,1857 -1,2463 -1,3143 -1,3841 -1,4521 -1,5212 -1,5986 -1,6913 -1,7977 -1,9040 -1,9920 -2,0528 -2,0900 -2,1108 -2,1131 -2,0849 -2,0163 -1,9118 -1,7892 -1,6669 -1,5556 -1,4608 -1,3935 -1,3719 -1,4109 -1,5132 -1,6712 -1,8722 -2,1018 -2,3416 -2,5636 -2,7313 -2,8130 -2,8001 -2,7136 -2,5916 -2,4692
F3    0,1664 -0,0590 -0,2780 -0,4349 -0,4858 -0,4239 -0,2826 -0,1154 0,0290 0,1233 0,1604 0,1451 0,0923 0,0289 -0,0151 -0,0209 0,0135 0,0780 0,1588 0,2432 0,3185 0,3746 0,4095 0,4260 0,4227 0,3915 0,3241 0,2205 0,0949 -0,0275 -0,1238 -0,1831 -0,2063 -0,2015 -0,1784 -0,1431 -0,0965 -0,0352 0,0466 0,1492 0,2608 0,3551 0,3974 0,3562 0,2170 -0,0086 -0,2854 -0,5669 -0,8153 -1,0163 -1,1747 -1,2961 -1,3782 -1,4206 -1,4379 -1,4552 -1,4889 -1,5360 -1,5830 -1,6212 -1,6502 -1,6744 -1,6998 -1,7283 -1,7525 -1,7601 -1,7401 -1,6824 -1,5794 -1,4372 -1,2795 -1,1387 -1,0369 -0,9756 -0,9430 -0,9283 -0,9273 -0,9380 -0,9596 -0,9922 -1,0327 -1,0723 -1,1041 -1,1303 -1,1596 -1,1972 -1,2390 -1,2687 -1,2620 -1,1953 -1,0582 -0,8594 -0,6215 -0,3664 -0,1086 0,1390 0,3600 0,5363 0,6565 0,7197 0,7293 0,6826 0,5697 0,3831 0,1286 -0,1730 -0,4943 -0,8165 -1,1365 -1,4606 -1,7982 -2,1561 -2,5346 -2,9276 -3,3281 -3,7292 -4,1199 -4,4872 -4,8234 -5,1268 -5,3954 -5,6235 -5,8038 -5,9255 -5,9735 -5,9331 -5,7991 -5,5823 -5,3094 -5,0118 -4,7133 -4,4265 -4,1586 -3,9168 -3,7057 -3,5228 -3,3608 -3,2118 -3,0670 -2,9157 -2,7466 -2,5492 -2,3150 -2,0410 -1,7297 -1,3832 -0,9970 -0,5581 -0,0561 0,5023 1,0883 1,6603 2,1808 2,6309 3,0109 3,3324 3,6135 3,8749 4,1316 4,3878 4,6382 4,8726 5,0825 5,2664 5,4290 5,5754 5,7042 5,8075 5,8781 5,9159 5,9310 5,9384 5,9502 5,9712 6,0037 6,0497 6,1072 6,1665 6,2132 6,2342 6,2243 6,1868 6,1302 6,0683 6,0208 6,0087 6,0446 6,1289 6,2534 6,4072 6,5804 6,7649 6,9523 7,1312 7,2884 7,4125 7,4929 7,5219 7,5001 7,4377 7,3505 7,2605 7,1976 7,1895 7,2489 7,3689 7,5253 7,6792 7,7872 7,8194 7,7702 7,6537 7,4861 7,2768 7,0355 6,7770 6,5169 6,2664 6,0335 5,8219 5,6302 5,4551 5,2983 5,1670 5,0698 5,0109 4,9923 5,0167 5,0853 5,1977 5,3563 5,5659 5,8177 6,0757 6,2917 6,4353 6,5093 6,5385 6,5492 6,5589 6,5769 6,6082 6,6504 6,6897 6,7065 6,6877 6,6301 6,5332 6,3963 6,2276 6,0503 5,8937 5,7802 5,7182 5,7060 5,7368 5,8003 5,8825 5,9696 6,0520 6,1240 6,1809 6,2149 6,2145 6,1695 6,0766 5,9388 5,7623 5,5605 5,3624 5,2089 5,1335 5,1449 5,2289 5,3661 5,5360 5,7136 5,8730 5,9993 6,0936 6,1682 6,2364 6,3058 6,3789 6,4586 6,5475 6,6383 6,7102 6,7425 6,7296 6,6819 6,6172 6,5494 6,4819 6,4098 6,3331 6,2589 6,1912 6,1233 6,0435 5,9468 5,8399 5,7341 5,6342 5,5358 5,4301 5,3108 5,1778 5,0378 4,9001 4,7722 4,6615 4,5767 4,5202 4,4818 4,4463 4,4082 4,3726 4,3455 4,3256 4,3059 4,2852 4,2741 4,2878 4,3361 4,4199 4,5332 4,6685 4,8200 4,9780 5,1193 5,2123 5,2354 5,1888 5,0896 4,9597 4,8152 4,6641 4,5123 4,3692 4,2420 4,1289 4,0212 3,9147 3,8114 3,7094 3,5985 3,4720 3,3362 3,2009 3,0680 2,9339 2,7990 2,6698 2,5553 2,4619 2,3882 2,3276 2,2754 2,2323 2,2024 2,1912 2,2038 2,2420 2,3016 2,3706 2,4271 2,4422 2,3937 2,2772 2,1040 1,8922 1,6622 1,4364 1,2397 1,0960 1,0198 1,0118 1,0657 1,1734 1,3186 1,4734 1,6102 1,7209 1,8180 1,9183 2,0310 2,1629 2,3240 2,5228 2,7612 3,0301 3,3072 3,5588 3,7500 3,8585 3,8835 3,8440 3,7661 3,6689 3,5619 3,4478 3,3262 3,1979 3,0660 2,9313 2,7913 2,6443 2,4954 2,3526 2,2220 2,1133 2,0423 2,0214 2,0490 2,1121 2,1916 2,2650 2,3090 2,3051 2,2452 2,1354 1,9975 1,8626 1,7582 1,6975 1,6765 1,6766 1,6703 1,6339 1,5597 1,4528 1,3191 1,1657 1,0099 0,8783 0,7980 0,7849 0,8392 0,9479 1,0948 1,2685 1,4609 1,6619 1,8582 2,0346 2,1748 2,2657 2,3012 2,2817 2,2108 2,0952 1,9460 1,7812 1,6226 1,4836 1,3626 1,2528 1,1587 1,0976 1,0839 1,1130 1,1579 1,1801 1,1488 1,0580 0,9269 0,7844 0,6534 0,5448 0,4572 0,3831 0,3171 0,2592 0,2098 0,1654 0,1193 0,0645 -0,0024 -0,0838 -0,1840 -0,3079 -0,4552 -0,6198 -0,7933 -0,9724 -1,1580 -1,3445 -1,5141 -1,6404 -1,7015 -1,6913 -1,6235 -1,5239 -1,4201 -1,3367 -1,2901 -1,2816 -1,3015 -1,3444 -1,4176 -1,5328 -1,6898 -1,8729 -2,0572 -2,2172 -2,3345 -2,4036 -2,4313 -2,4336 -2,4284 -2,4239 -2,4115 -2,3742 -2,3037 -2,2056 -2,0891 -1,9582 -1,8133 -1,6578 -1,5000 -1,3473 -1,2029 -1,0670 -0,9390 -0,8157 -0,6938 -0,5744 -0,4650 -0,3794 -0,3345 -0,3427 -0,4028 -0,5002 -0,6124 -0,7181 -0,8020 -0,8569 -0,8846 -0,8963 -0,9100 -0,9459 -1,0216 -1,1459 -1,3153 -1,5165 -1,7326 -1,9481 -2,1516 -2,3354 -2,4956 -2,6279 -2,7237 -2,7749 -2,7847 -2,7698 -2,7523 -2,7469 -2,7575 -2,7800 -2,8057 -2,8231 -2,8270 -2,8222 -2,8185 -2,8224 -2,8356 -2,8577 -2,8910 -2,9440 -3,0284 -3,1484 -3,2939 -3,4467 -3,5926 -3,7234 -3,8301 -3,8970 -3,9068 -3,8551 -3,7584 -3,6444 -3,5351 -3,4381 -3,3543 -3,2933 -3,2748 -3,3149 -3,4149 -3,5618 -3,7336 -3,9043 -4,0476 -4,1363 -4,1457 -4,0665 -3,9155 -3,7343 -3,5737 -3,4707
F7    -0,6593 -0,7477 -0,8304 -0,8707 -0,8480 -0,7672 -0,6564 -0,5499 -0,4705 -0,4211 -0,3908 -0,3681 -0,3426 -0,3001 -0,2261 -0,1170 0,0148 0,1464 0,2597 0,3515 0,4305 0,5051 0,5752 0,6348 0,6770 0,6975 0,6929 0,6619 0,6105 0,5500 0,4898 0,4357 0,3944 0,3735 0,3746 0,3893 0,4044 0,4131 0,4154 0,4104 0,3917 0,3487 0,2686 0,1396 -0,0411 -0,2613 -0,4981 -0,7242 -0,9144 -1,0523 -1,1323 -1,1509 -1,1039 -0,9941 -0,8399 -0,6719 -0,5203 -0,4079 -0,3529 -0,3697 -0,4638 -0,6304 -0,8552 -1,1108 -1,3529 -1,5324 -1,6161 -1,5955 -1,4807 -1,2946 -1,0733 -0,8588 -0,6809 -0,5461 -0,4457 -0,3676 -0,3063 -0,2665 -0,2623 -0,3061 -0,3985 -0,5285 -0,6838 -0,8539 -1,0232 -1,1676 -1,2630 -1,2913 -1,2403 -1,1063 -0,9036 -0,6669 -0,4354 -0,2314 -0,0543 0,1059 0,2509 0,3718 0,4593 0,5136 0,5368 0,5182 0,4350 0,2740 0,0538 -0,1767 -0,3633 -0,4783 -0,5400 -0,6017 -0,7213 -0,9356 -1,2528 -1,6588 -2,1286 -2,6331 -3,1386 -3,6112 -4,0271 -4,3767 -4,6611 -4,8877 -5,0625 -5,1785 -5,2116 -5,1353 -4,9440 -4,6616 -4,3278 -3,9787 -3,6398 -3,3289 -3,0599 -2,8442 -2,6851 -2,5719 -2,4808 -2,3883 -2,2814 -2,1535 -1,9949 -1,7886 -1,5159 -1,1689 -0,7584 -0,3062 0,1681 0,6566 1,1626 1,6865 2,2132 2,7180 3,1838 3,6078 3,9945 4,3466 4,6668 4,9613 5,2382 5,5000 5,7414 5,9527 6,1229 6,2400 6,2982 6,3061 6,2813 6,2374 6,1814 6,1205 6,0640 6,0172 5,9761 5,9359 5,9000 5,8746 5,8596 5,8525 5,8549 5,8712 5,9006 5,9348 5,9612 5,9720 5,9724 5,9848 6,0366 6,1393 6,2761 6,4136 6,5252 6,6064 6,6688 6,7230 6,7689 6,7964 6,7893 6,7308 6,6117 6,4338 6,2083 5,9605 5,7294 5,5492 5,4295 5,3566 5,3046 5,2411 5,1359 4,9775 4,7804 4,5736 4,3802 4,2059 4,0493 3,9145 3,8073 3,7265 3,6633 3,6041 3,5371 3,4611 3,3871 3,3292 3,2948 3,2811 3,2786 3,2771 3,2708 3,2610 3,2568 3,2702 3,3037 3,3415 3,3587 3,3388 3,2811 3,1972 3,1014 3,0046 2,9161 2,8475 2,8059 2,7831 2,7561 2,7071 2,6313 2,5244 2,3766 2,1871 1,9757 1,7729 1,6039 1,4792 1,3953 1,3394 1,2936 1,2410 1,1737 1,0948 1,0146 0,9445 0,8897 0,8437 0,7959 0,7411 0,6762 0,5882 0,4626 0,3029 0,1320 -0,0262 -0,1609 -0,2712 -0,3591 -0,4334 -0,5131 -0,6163 -0,7441 -0,8830 -1,0182 -1,1427 -1,2535 -1,3457 -1,4108 -1,4394 -1,4306 -1,3955 -1,3513 -1,3110 -1,2789 -1,2522 -1,2289 -1,2165 -1,2287 -1,2681 -1,3196 -1,3657 -1,4047 -1,4468 -1,4969 -1,5442 -1,5727 -1,5805 -1,5858 -1,6138 -1,6789 -1,7793 -1,9052 -2,0488 -2,2067 -2,3715 -2,5268 -2,6562 -2,7563 -2,8308 -2,8797 -2,9019 -2,9021 -2,8918 -2,8818 -2,8761 -2,8670 -2,8385 -2,7776 -2,6813 -2,5528 -2,3942 -2,2083 -2,0084 -1,8249 -1,6969 -1,6517 -1,6909 -1,7887 -1,9059 -2,0103 -2,0908 -2,1544 -2,2149 -2,2846 -2,3702 -2,4693 -2,5702 -2,6586 -2,7299 -2,7925 -2,8555 -2,9149 -2,9616 -2,9956 -3,0222 -3,0422 -3,0570 -3,0737 -3,1005 -3,1406 -3,1890 -3,2339 -3,2636 -3,2762 -3,2784 -3,2766 -3,2715 -3,2606 -3,2432 -3,2307 -3,2501 -3,3304 -3,4835 -3,6994 -3,9545 -4,2227 -4,4828 -4,7192 -4,9167 -5,0609 -5,1441 -5,1656 -5,1266 -5,0287 -4,8780 -4,6867 -4,4681 -4,2343 -4,0015 -3,7941 -3,6359 -3,5348 -3,4766 -3,4342 -3,3863 -3,3318 -3,2861 -3,2623 -3,2555 -3,2365 -3,1674 -3,0302 -2,8424 -2,6478 -2,4946 -2,4120 -2,3938 -2,4060 -2,4138 -2,4029 -2,3815 -2,3733 -2,4088 -2,5098 -2,6689 -2,8490 -3,0068 -3,1117 -3,1473 -3,1159 -3,0424 -2,9641 -2,9113 -2,8908 -2,8837 -2,8578 -2,7862 -2,6604 -2,4950 -2,3221 -2,1811 -2,1031 -2,0966 -2,1437 -2,2172 -2,3018 -2,3957 -2,4971 -2,5942 -2,6684 -2,7040 -2,6966 -2,6502 -2,5662 -2,4386 -2,2618 -2,0423 -1,7967 -1,5432 -1,3009 -1,0906 -0,9297 -0,8286 -0,7911 -0,8196 -0,9159 -1,0736 -1,2735 -1,4924 -1,7117 -1,9116 -2,0631 -2,1363 -2,1212 -2,0388 -1,9338 -1,8565 -1,8440 -1,9073 -2,0357 -2,2106 -2,4122 -2,6202 -2,8158 -2,9857 -3,1210 -3,2125 -3,2509 -3,2343 -3,1770 -3,1033 -3,0325 -2,9740 -2,9358 -2,9310 -2,9719 -3,0639 -3,2061 -3,3954 -3,6228 -3,8666 -4,0943 -4,2755 -4,3937 -4,4512 -4,4620 -4,4415 -4,4021 -4,3570 -4,3176 -4,2830 -4,2424 -4,1939 -4,1571 -4,1580 -4,2046 -4,2823 -4,3646 -4,4224 -4,4307 -4,3791 -4,2770 -4,1505 -4,0275 -3,9221 -3,8267 -3,7214 -3,5888 -3,4235 -3,2310 -3,0213 -2,8051 -2,5960 -2,4116 -2,2660 -2,1599 -2,0797 -2,0052 -1,9194 -1,8150 -1,6933 -1,5627 -1,4411 -1,3543 -1,3252 -1,3639 -1,4659 -1,6125 -1,7716 -1,9025 -1,9644 -1,9288 -1,7920 -1,5794 -1,3381 -1,1229 -0,9798 -0,9380 -1,0073 -1,1813 -1,4444 -1,7756 -2,1460 -2,5203 -2,8630 -3,1439 -3,3457 -3,4703 -3,5385 -3,5817 -3,6269 -3,6826 -3,7354 -3,7575 -3,7229 -3,6246 -3,4792 -3,3118 -3,1405 -2,9774 -2,8396 -2,7491 -2,7224 -2,7620 -2,8543 -2,9751 -3,1009 -3,2175 -3,3190 -3,3983 -3,4385 -3,4189 -3,3361 -3,2192 -3,1165 -3,0643 -3,0670 -3,1035 -3,1495 -3,1920 -3,2282 -3,2609 -3,2991 -3,3530 -3,4233 -3,4968 -3,5516 -3,5669 -3,5323 -3,4534 -3,3534 -3,2664 -3,2203
