Fp1   3,1571 3,9176 4,4003 4,7701 5,1610 5,6095 6,0276 6,2473 6,1095 5,5380 4,5642 3,3037 1,9127 0,5496 -0,6506 -1,5853 -2,1966 -2,4989 -2,6019 -2,6812 -2,8774 -3,2036 -3,5631 -3,8467 -4,0047 -4,0465 -3,9978 -3,8744 -3,6931 -3,4985 -3,3574 -3,3081 -3,3170 -3,2890 -3,1041 -2,6483 -1,8642 -0,8197 0,2912 1,2547 1,9490 2,3453 2,4289 2,1783 1,6299 0,9021 0,1220 -0,6336 -1,3174 -1,8904 -2,3533 -2,7691 -3,2245 -3,7714 -4,4031 -5,0549 -5,6163 -5,9736 -6,0605 -5,8816 -5,5167 -5,1046 -4,7840 -4,6309 -4,6508 -4,7971 -4,9853 -5,1296 -5,1891 -5,1744 -5,1247 -5,0828 -5,0895 -5,1901 -5,4048 -5,6635 -5,7814 -5,5154 -4,6830 -3,2712 -1,4334 0,6147 2,6861 4,6592 6,4854 8,1673 9,7108 11,0683 12,1122 12,6816 12,6831 12,1503 11,2269 10,1246 9,0751 8,2524 7,7196 7,4424 7,3048 7,1141 6,6637 5,8470 4,7186 3,4407 2,1587 0,9363 -0,1987 -1,1976 -2,0063 -2,6150 -3,0758 -3,4990 -4,0467 -4,8886 -6,1075 -7,6193 -9,1676 -10,4153 -11,0987 -11,1515 -10,7326 -10,1574 -9,7654 -9,7828 -10,2516 -11,0423 -11,9413 -12,7794 -13,5257 -14,2685 -15,1019 -16,0354 -16,9824 -17,7639 -18,1121 -17,7655 -16,6304 -14,8275 -12,5740 -10,0766 -7,5346 -5,1580 -3,1254 -1,5334 -0,3871 0,3836 0,8792 1,1541 1,1774 0,8972 0,3416 -0,3578 -1,0231 -1,4760 -1,5489 -1,1037 -0,0787 1,4410 3,1970 4,8501 6,1259 6,9068 7,2312 7,2094 6,9453 6,5502 6,1924 6,0753 6,3347 6,9601 7,8019 8,6340 9,2462 9,5419 9,5553 9,3541 8,9322 8,2200 7,1791 5,8587 4,3628 2,7862 1,1901 -0,3786 -1,8685 -3,2365 -4,4693 -5,5671 -6,5021 -7,2435 -7,8306 -8,3555 -8,8557 -9,2707 -9,5164 -9,5589 -9,4136 -9,1227 -8,7524 -8,4006 -8,2110 -8,3522 -8,9295 -9,8970 -11,0722 -12,2366 -13,2176 -13,8994 -14,2265 -14,2307 -14,0086 -13,6515 -13,2259 -12,8039 -12,4713 -12,2811 -12,1962 -12,0731 -11,7287 -11,0727 -10,1850 -9,2484 -8,4126 -7,7079 -7,0540 -6,3592 -5,6265 -4,9487 -4,4159 -4,0533 -3,8402 -3,7697 -3,8610 -4,0851 -4,3002 -4,3004 -3,9356 -3,1813 -2,1128 -0,8490 0,4693 1,7035 2,7812 3,7215 4,5755 5,3627 6,0694 6,6928 7,2776 7,9055 8,6476 9,5302 10,5336 11,5856 12,5526 13,2958 13,7871 14,1642 14,6577 15,4317 16,4735 17,6292 18,7073 19,5223 19,8967 19,7018 18,9310 17,7268 16,3202 14,9193 13,6382 12,5051 11,4900 10,5150 9,4674 8,2296 6,7185 4,9258 2,9422 0,9213 -1,0060 -2,7716 -4,3192 -5,5545 -6,3827 -6,7636 -6,7118 -6,2808 -5,5861 -4,8325 -4,2668 -4,0558 -4,2113 -4,6290 -5,1670 -5,6946 -6,1120 -6,3567 -6,4306 -6,4198 -6,4474 -6,5918 -6,8480 -7,1496 -7,4228 -7,6342 -7,7990 -7,9628 -8,1954 -8,5840 -9,1879 -9,9820 -10,8532 -11,6591 -12,2918 -12,6954 -12,8440 -12,7325 -12,3944 -11,9053 -11,3428 -10,7328 -10,0351 -9,1863 -8,1466 -6,9035 -5,4555 -3,8263 -2,0941 -0,3804 1,2116 2,6284 3,8229 4,7280 5,3217 5,7040 6,0800 6,6605 7,5587 8,7402 10,0688 11,4192 12,7410 14,0149 15,1845 16,1726 16,9596 17,6162 18,2468 18,9091 19,5733 20,1341 20,4610 20,4659 20,1560 19,6348 19,0421 18,4720 17,9515 17,4738 17,0085 16,4966 15,8934 15,2263 14,5854 14,0449 13,5873 13,0980 12,4456 11,5867 10,5989 9,6203 8,7562 8,0159 7,3333 6,6703 6,0961 5,7535 5,7449 6,0335 6,4269 6,6777 6,6332 6,3036 5,8096 5,2715 4,7259 4,1305 3,4378 2,6691 1,9311 1,3479 0,9806 0,8301 0,8915 1,1751 1,6931 2,4227 3,2652 4,0733 4,7336 5,2000 5,4785 5,6346 5,7795 5,9941 6,2896 6,6514 7,0672 7,5057 7,9240 8,3296 8,8153 9,5039 10,4501 11,5941 12,7976 13,9249 14,8938 15,6529 16,1491 16,3728 16,4241 16,5013 16,8130 17,4747 18,4574 19,6176 20,7488 21,6138 22,0210 21,9469 21,5635 21,1153 20,7770 20,6100 20,5889 20,6433 20,6908 20,6460 20,4388 20,0585 19,5578 19,0081 18,4718 18,0115 17,6947 17,5900 17,7435 18,1174 18,5616 18,8875 18,9728 18,8112 18,4810 18,0419 17,4603 16,6647 15,6672 14,6039 13,6569 12,9268 12,3714 11,8760 11,3628 10,8173 10,2533 9,6708 9,0354 8,3327 7,6398 7,0942 6,7901 6,7136 6,7604 6,8240 6,8844 6,9922 7,1605 7,2912 7,1988 6,6909 5,6650 4,1790 2,4447 0,7465 -0,6573 -1,6224 -2,1806 -2,5238 -2,8861 -3,4277 -4,2056 -5,1862 -6,2641 -7,3388 -8,3930 -9,4506 -10,4810 -11,3864 -12,0490 -12,3728 -12,3010 -11,8128 -10,9154 -9,6468 -8,0794 -6,3253 -4,5309 -2,8436 -1,3569 -0,0711 1,1025 2,2862 3,5477 4,8637 6,1917 7,5541 9,0120 10,5694 12,1368 13,5938 14,8677 15,9319 16,7701 17,3918 17,8600 18,2469 18,5600 18,7414 18,7516 18,6442 18,5319 18,4783 18,4571 18,4281 18,3775 18,2517 17,9417 17,3859 16,6442 15,8562 15,1448 14,5451 13,9894 13,3574 12,5539 11,5472 10,3720 9,1224 7,9068 6,7768 5,7102 4,6616 3,6064 2,5524 1,5410 0,6025 -0,2997 -1,2453 -2,2956 -3,4683 -4,7243 -5,9680 -7,0915 -8,0139 -8,6906 -9,1308 -9,3968 -9,5525 -9,6145 -9,5655 -9,3999 -9,1278 -8,7539 -8,2844 -7,7447 -7,1871 -6,6822 -6,2636 -5,8609 -5,3139 -4,4782 -3,3258 -1,9529 -0,5304 0,7425 1,6821 2,1796 2,2415 1,9779 1,5736 1,2610 1,2501 1,6241 2,2902 3,0328 3,6306 3,9522 3,9669
Fz    1,0778 1,4817 1,7487 1,9626 2,1938 2,4600 2,7199 2,9043 2,9537 2,8372 2,5582 2,1494 1,6634 1,1642 0,7170 0,3776 0,1760 0,0964 0,0685 -0,0033 -0,1759 -0,4249 -0,6696 -0,8333 -0,8861 -0,8484 -0,7696 -0,7036 -0,6934 -0,7728 -0,9659 -1,2693 -1,6367 -1,9899 -2,2414 -2,3073 -2,1261 -1,6958 -1,1001 -0,4843 0,0102 0,2969 0,3440 0,1528 -0,2429 -0,7747 -1,3613 -1,9274 -2,4137 -2,7965 -3,1033 -3,3960 -3,7316 -4,1303 -4,5719 -5,0065 -5,3649 -5,5796 -5,6106 -5,4615 -5,1800 -4,8489 -4,5620 -4,3914 -4,3671 -4,4742 -4,6573 -4,8412 -4,9689 -5,0328 -5,0721 -5,1437 -5,2959 -5,5551 -5,8996 -6,2349 -6,4123 -6,2841 -5,7658 -4,8779 -3,7336 -2,4838 -1,2682 -0,1808 0,7457 1,5290 2,2053 2,7942 3,2803 3,6294 3,8192 3,8525 3,7556 3,5739 3,3581 3,1402 2,9275 2,7156 2,4878 2,2076 1,8387 1,3751 0,8508 0,3237 -0,1529 -0,5475 -0,8388 -1,0130 -1,0857 -1,1108 -1,1581 -1,2899 -1,5581 -2,0008 -2,6191 -3,3463 -4,0440 -4,5521 -4,7675 -4,6903 -4,4140 -4,0835 -3,8418 -3,7802 -3,9112 -4,1719 -4,4657 -4,7300 -4,9755 -5,2600 -5,6261 -6,0693 -6,5540 -7,0232 -7,3795 -7,4933 -7,2729 -6,7231 -5,9243 -4,9781 -3,9800 -3,0108 -2,1274 -1,3648 -0,7447 -0,2725 0,0634 0,2735 0,3527 0,3053 0,1841 0,0799 0,0690 0,1945 0,4921 1,0039 1,7560 2,7093 3,7356 4,6663 5,3790 5,8484 6,1347 6,3251 6,4856 6,6672 6,9377 7,3839 8,0621 8,9453 9,9274 10,8676 11,6416 12,1882 12,5211 12,6888 12,7248 12,6323 12,3968 12,0079 11,4755 10,8290 10,1047 9,3384 8,5656 7,8176 7,1059 6,4253 5,7809 5,1867 4,6272 4,0564 3,4504 2,8348 2,2527 1,7301 1,2754 0,8840 0,5342 0,1828 -0,2361 -0,7968 -1,5432 -2,4519 -3,4322 -4,3697 -5,1817 -5,8408 -6,3571 -6,7516 -7,0347 -7,2036 -7,2646 -7,2538 -7,2271 -7,2203 -7,2170 -7,1490 -6,9339 -6,5297 -5,9668 -5,3195 -4,6518 -3,9911 -3,3424 -2,7209 -2,1679 -1,7377 -1,4688 -1,3621 -1,3838 -1,4975 -1,6844 -1,9175 -2,1327 -2,2473 -2,2044 -1,9949 -1,6481 -1,2139 -0,7549 -0,3360 0,0019 0,2557 0,4466 0,6066 0,7771 0,9985 1,2889 1,6393 2,0238 2,4095 2,7619 3,0442 3,2174 3,2626 3,2170 3,1737 3,2375 3,4677 3,8510 4,3224 4,8027 5,2086 5,4551 5,4848 5,3057 4,9921 4,6376 4,2996 3,9856 3,6811 3,3717 3,0365 2,6327 2,1013 1,4004 0,5311 -0,4626 -1,5171 -2,5811 -3,6313 -4,6510 -5,6030 -6,4383 -7,1193 -7,6201 -7,9222 -8,0286 -7,9906 -7,9025 -7,8538 -7,8889 -8,0122 -8,2061 -8,4398 -8,6721 -8,8596 -8,9836 -9,0671 -9,1489 -9,2440 -9,3350 -9,3909 -9,3843 -9,3011 -9,1435 -8,9318 -8,7061 -8,5216 -8,4261 -8,4334 -8,5189 -8,6434 -8,7799 -8,9093 -9,0047 -9,0351 -8,9838 -8,8527 -8,6515 -8,3877 -8,0672 -7,6980 -7,2873 -6,8303 -6,3063 -5,6934 -4,9902 -4,2192 -3,4003 -2,5361 -1,6414 -0,7720 0,0047 0,6641 1,2421 1,8028 2,3856 2,9710 3,4983 3,9242 4,2538 4,5142 4,7228 4,8951 5,0699 5,3018 5,6276 6,0422 6,4948 6,8972 7,1488 7,1828 7,0098 6,7218 6,4418 6,2540 6,1740 6,1648 6,1583 6,0728 5,8537 5,5158 5,1277 4,7433 4,3540 3,9056 3,3559 2,7151 2,0346 1,3702 0,7608 0,2247 -0,2293 -0,5836 -0,8030 -0,8521 -0,7270 -0,4760 -0,1928 0,0180 0,0824 -0,0181 -0,2487 -0,5521 -0,8891 -1,2481 -1,6241 -1,9953 -2,3196 -2,5588 -2,7102 -2,7980 -2,8392 -2,8271 -2,7353 -2,5395 -2,2484 -1,9058 -1,5699 -1,3056 -1,1709 -1,1758 -1,2684 -1,3756 -1,4395 -1,4147 -1,2667 -0,9895 -0,6105 -0,1644 0,3351 0,8922 1,5044 2,1498 2,7991 3,4312 4,0288 4,5578 4,9722 5,2575 5,4572 5,6517 5,9158 6,2801 6,7142 7,1441 7,4823 7,6406 7,5557 7,2428 6,8143 6,4248 6,2016 6,2123 6,4558 6,8687 7,3448 7,7581 7,9957 7,9955 7,7619 7,3542 6,8650 6,3918 6,0077 5,7518 5,6297 5,6077 5,6190 5,5916 5,4755 5,2581 4,9613 4,6065 4,1796 3,6550 3,0497 2,4355 1,8991 1,5003 1,2585 1,1669 1,2046 1,3317 1,4928 1,6341 1,7198 1,7518 1,7783 1,8638 2,0387 2,2747 2,5062 2,6874 2,8268 2,9584 3,0877 3,1745 3,1485 2,9300 2,4611 1,7446 0,8619 -0,0444 -0,8104 -1,3103 -1,5169 -1,5066 -1,4027 -1,3146 -1,3170 -1,4433 -1,6788 -1,9846 -2,3372 -2,7308 -3,1585 -3,6105 -4,0677 -4,4897 -4,8146 -4,9725 -4,9084 -4,6056 -4,0936 -3,4386 -2,7244 -2,0307 -1,4057 -0,8491 -0,3187 0,2334 0,8171 1,3979 1,9466 2,4904 3,0964 3,8025 4,5747 5,3382 6,0442 6,6960 7,3244 7,9577 8,6082 9,2663 9,8903 10,4078 10,7515 10,9037 10,8938 10,7569 10,5255 10,2579 10,0261 9,8548 9,6995 9,4955 9,2153 8,8815 8,5463 8,2560 8,0160 7,7862 7,5183 7,1954 6,8415 6,5027 6,2130 5,9683 5,7333 5,4674 5,1446 4,7707 4,3908 4,0620 3,8051 3,5929 3,3757 3,1135 2,8027 2,4821 2,1967 1,9607 1,7628 1,5860 1,4088 1,2085 0,9820 0,7517 0,5394 0,3502 0,1831 0,0399 -0,0836 -0,2106 -0,3799 -0,6117 -0,8699 -1,0617 -1,0839 -0,8778 -0,4523 0,1191 0,7180 1,2219 1,5515 1,6879 1,6548 1,4998 1,2912 1,1072 1,0043 0,9872 1,0079 0,9972 0,9022 0,7003
F3    1,2516 1,7820 2,1748 2,5022 2,8299 3,1781 3,5135 3,7718 3,8910 3,8340 3,5961 3,2008 2,6930 2,1343 1,5922 1,1258 0,7693 0,5148 0,3068 0,0698 -0,2343 -0,5739 -0,8764 -1,0824 -1,1766 -1,1835 -1,1450 -1,1036 -1,0968 -1,1594 -1,3188 -1,5753 -1,8881 -2,1878 -2,3949 -2,4317 -2,2440 -1,8414 -1,3183 -0,8174 -0,4617 -0,3142 -0,3914 -0,6863 -1,1605 -1,7388 -2,3377 -2,8928 -3,3637 -3,7350 -4,0211 -4,2589 -4,4863 -4,7225 -4,9638 -5,1855 -5,3443 -5,4000 -5,3405 -5,1853 -4,9774 -4,7771 -4,6476 -4,6273 -4,7173 -4,8842 -5,0721 -5,2228 -5,3002 -5,3050 -5,2691 -5,2366 -5,2469 -5,3267 -5,4656 -5,5902 -5,5757 -5,2928 -4,6668 -3,7234 -2,5795 -1,3871 -0,2779 0,6711 1,4519 2,1072 2,6916 3,2309 3,6999 4,0422 4,2130 4,2060 4,0552 3,8253 3,5893 3,3938 3,2435 3,1160 2,9703 2,7453 2,3817 1,8564 1,1960 0,4630 -0,2722 -0,9520 -1,5280 -1,9629 -2,2481 -2,4153 -2,5263 -2,6570 -2,8844 -3,2705 -3,8311 -4,5044 -5,1504 -5,6064 -5,7688 -5,6420 -5,3290 -4,9832 -4,7478 -4,7048 -4,8540 -5,1236 -5,4175 -5,6851 -5,9548 -6,2942 -6,7401 -7,2708 -7,8273 -8,3287 -8,6639 -8,7092 -8,3956 -7,7518 -6,8676 -5,8421 -4,7729 -3,7567 -2,8717 -2,1644 -1,6492 -1,3069 -1,0923 -0,9670 -0,9245 -0,9657 -1,0520 -1,1095 -1,0765 -0,9208 -0,6167 -0,1313 0,5588 1,4261 2,3654 3,2290 3,9025 4,3544 4,6290 4,7937 4,8987 4,9873 5,1304 5,4253 5,9427 6,6704 7,5078 8,3063 8,9305 9,3177 9,4892 9,5015 9,3913 9,1618 8,8061 8,3294 7,7548 7,1124 6,4309 5,7400 5,0747 4,4660 3,9226 3,4330 2,9910 2,5929 2,2053 1,7763 1,2897 0,7816 0,2989 -0,1342 -0,5128 -0,8439 -1,1494 -1,4696 -1,8649 -2,4040 -3,1242 -3,9927 -4,9083 -5,7469 -6,4189 -6,8912 -7,1755 -7,3101 -7,3395 -7,2976 -7,2153 -7,1364 -7,1087 -7,1489 -7,2201 -7,2398 -7,1143 -6,7921 -6,2978 -5,7101 -5,1048 -4,5161 -3,9380 -3,3621 -2,8121 -2,3394 -1,9919 -1,7861 -1,7035 -1,7184 -1,8169 -1,9741 -2,1275 -2,1955 -2,1214 -1,8940 -1,5379 -1,0989 -0,6392 -0,2228 0,1156 0,3828 0,6044 0,8029 0,9981 1,2097 1,4524 1,7310 2,0406 2,3716 2,7087 3,0186 3,2471 3,3522 3,3531 3,3379 3,4175 3,6558 4,0295 4,4596 4,8666 5,1838 5,3468 5,3080 5,0673 4,6787 4,2187 3,7437 3,2776 2,8315 2,4140 2,0177 1,6051 1,1165 0,5000 -0,2570 -1,1189 -2,0250 -2,9283 -3,8090 -4,6465 -5,3931 -5,9908 -6,4008 -6,6067 -6,6096 -6,4399 -6,1741 -5,9202 -5,7648 -5,7370 -5,8207 -5,9769 -6,1542 -6,2945 -6,3464 -6,2927 -6,1688 -6,0359 -5,9356 -5,8719 -5,8266 -5,7826 -5,7362 -5,6954 -5,6737 -5,6902 -5,7728 -5,9481 -6,2206 -6,5588 -6,9102 -7,2275 -7,4739 -7,6132 -7,6150 -7,4723 -7,2037 -6,8349 -6,3788 -5,8345 -5,2051 -4,5069 -3,7580 -2,9676 -2,1468 -1,3243 -0,5407 0,1834 0,8600 1,4955 2,0567 2,5005 2,8289 3,1048 3,4170 3,8230 4,3089 4,8020 5,2337 5,5831 5,8610 6,0774 6,2445 6,3997 6,5986 6,8802 7,2418 7,6339 7,9716 8,1651 8,1647 7,9915 7,7306 7,4831 7,3080 7,2042 7,1371 7,0601 6,9223 6,6919 6,3842 6,0498 5,7253 5,3987 5,0240 4,5682 4,0453 3,5041 2,9936 2,5393 2,1414 1,7909 1,4985 1,3103 1,2825 1,4333 1,7130 2,0140 2,2171 2,2459 2,0895 1,7880 1,3972 0,9558 0,4785 -0,0284 -0,5453 -1,0297 -1,4362 -1,7488 -1,9767 -2,1247 -2,1774 -2,1028 -1,8746 -1,5039 -1,0425 -0,5607 -0,1361 0,1635 0,3190 0,3731 0,3914 0,4282 0,5272 0,7216 1,0163 1,3839 1,7869 2,2076 2,6528 3,1319 3,6373 4,1465 4,6389 5,0982 5,4948 5,7857 5,9547 6,0449 6,1457 6,3491 6,7020 7,1805 7,7077 8,1842 8,5045 8,5873 8,4334 8,1421 7,8544 7,6837 7,6874 7,8650 8,1674 8,5122 8,7979 8,9305 8,8566 8,5740 8,1241 7,5875 7,0657 6,6486 6,3917 6,3083 6,3587 6,4576 6,5141 6,4662 6,2975 6,0341 5,7087 5,3235 4,8635 4,3401 3,8044 3,3202 2,9275 2,6299 2,4113 2,2519 2,1273 2,0095 1,8761 1,7136 1,5335 1,3860 1,3356 1,4090 1,5702 1,7465 1,8904 2,0136 2,1523 2,3080 2,4312 2,4431 2,2659 1,8554 1,2295 0,4699 -0,2985 -0,9403 -1,3588 -1,5480 -1,5979 -1,6391 -1,7808 -2,0851 -2,5560 -3,1338 -3,7322 -4,2916 -4,7866 -5,2047 -5,5421 -5,7984 -5,9582 -5,9832 -5,8251 -5,4501 -4,8578 -4,0867 -3,2123 -2,3363 -1,5596 -0,9451 -0,4923 -0,1443 0,1752 0,5146 0,8779 1,2631 1,7058 2,2644 2,9603 3,7482 4,5466 5,2927 5,9633 6,5594 7,0923 7,5778 8,0260 8,4216 8,7204 8,8804 8,8997 8,8111 8,6451 8,4238 8,1910 8,0035 7,8735 7,7531 7,5894 7,3774 7,1591 6,9877 6,8891 6,8395 6,7770 6,6425 6,4121 6,1014 5,7507 5,3970 5,0501 4,6918 4,2939 3,8378 3,3350 2,8381 2,4137 2,0950 1,8684 1,6926 1,5249 1,3487 1,1858 1,0683 1,0061 0,9876 0,9941 1,0041 1,0007 0,9826 0,9591 0,9269 0,8671 0,7660 0,6294 0,4724 0,2952 0,0735 -0,2058 -0,4977 -0,6997 -0,7116 -0,4954 -0,0859 0,4314 0,9425 1,3384 1,5564 1,5970 1,5055 1,3483 1,2026 1,1404 1,1981 1,3548 1,5398 1,6683 1,6799 1,5514
F7    0,2819 0,7532 1,1074 1,4369 1,8265 2,3054 2,8298 3,3096 3,6528 3,7943 3,7047 3,3925 2,9030 2,3098 1,6983 1,1483 0,7139 0,4080 0,1986 0,0227 -0,1755 -0,4058 -0,6369 -0,8339 -0,9902 -1,1258 -1,2642 -1,4135 -1,5697 -1,7309 -1,8997 -2,0708 -2,2208 -2,3111 -2,2961 -2,1305 -1,7898 -1,3029 -0,7585 -0,2673 0,0828 0,2418 0,1882 -0,0764 -0,5127 -1,0434 -1,5940 -2,1275 -2,6379 -3,1245 -3,5823 -4,0020 -4,3695 -4,6690 -4,8915 -5,0319 -5,0795 -5,0255 -4,8769 -4,6559 -4,3971 -4,1517 -3,9783 -3,9147 -3,9614 -4,0866 -4,2371 -4,3581 -4,4194 -4,4261 -4,4128 -4,4256 -4,5003 -4,6509 -4,8569 -5,0511 -5,1270 -4,9747 -4,5309 -3,8150 -2,9160 -1,9442 -0,9909 -0,1111 0,6784 1,3837 2,0054 2,5202 2,8839 3,0552 3,0268 2,8356 2,5434 2,2184 1,9270 1,7179 1,6100 1,5954 1,6319 1,6365 1,5177 1,2298 0,7932 0,2678 -0,2919 -0,8540 -1,3885 -1,8531 -2,2099 -2,4522 -2,6169 -2,7756 -3,0121 -3,3983 -3,9608 -4,6501 -5,3401 -5,8749 -6,1429 -6,1312 -5,9303 -5,6887 -5,5440 -5,5689 -5,7596 -6,0582 -6,3903 -6,7117 -7,0375 -7,4234 -7,9115 -8,4900 -9,0925 -9,6114 -9,9128 -9,8746 -9,4503 -8,6911 -7,7036 -6,6042 -5,5089 -4,5261 -3,7314 -3,1559 -2,7943 -2,6146 -2,5672 -2,6095 -2,7261 -2,9091 -3,1210 -3,2927 -3,3577 -3,2712 -3,0039 -2,5359 -1,8665 -1,0388 -0,1512 0,6721 1,3351 1,8062 2,1126 2,2944 2,3738 2,3767 2,3695 2,4543 2,7151 3,1657 3,7413 4,3235 4,7855 5,0492 5,1150 5,0299 4,8335 4,5378 4,1489 3,6865 3,1761 2,6337 2,0696 1,4996 0,9440 0,4155 -0,0961 -0,6149 -1,1476 -1,6777 -2,1951 -2,6983 -3,1623 -3,5380 -3,7927 -3,9328 -3,9894 -4,0036 -4,0248 -4,1098 -4,3194 -4,7033 -5,2681 -5,9554 -6,6610 -7,2840 -7,7616 -8,0707 -8,2168 -8,2302 -8,1512 -8,0107 -7,8365 -7,6729 -7,5754 -7,5791 -7,6675 -7,7636 -7,7562 -7,5674 -7,2088 -6,7689 -6,3434 -5,9703 -5,6149 -5,2192 -4,7695 -4,3116 -3,9112 -3,6103 -3,4169 -3,3286 -3,3541 -3,4928 -3,7004 -3,8907 -3,9728 -3,8869 -3,6153 -3,1762 -2,6246 -2,0401 -1,4888 -0,9928 -0,5412 -0,1175 0,2873 0,6757 1,0513 1,4249 1,8108 2,2204 2,6524 3,0742 3,4153 3,6065 3,6392 3,5847 3,5540 3,6206 3,7723 3,9441 4,0818 4,1547 4,1337 3,9892 3,7149 3,3444 2,9386 2,5501 2,2011 1,8893 1,5962 1,2872 0,9167 0,4387 -0,1782 -0,9317 -1,7764 -2,6460 -3,4892 -4,2788 -4,9862 -5,5678 -5,9833 -6,2115 -6,2411 -6,0693 -5,7256 -5,2953 -4,8989 -4,6258 -4,4908 -4,4589 -4,4928 -4,5668 -4,6517 -4,7063 -4,7004 -4,6494 -4,6083 -4,6253 -4,7034 -4,8031 -4,8790 -4,9168 -4,9356 -4,9648 -5,0283 -5,1505 -5,3546 -5,6387 -5,9593 -6,2479 -6,4505 -6,5441 -6,5215 -6,3764 -6,1114 -5,7536 -5,3444 -4,9111 -4,4507 -3,9461 -3,3894 -2,7848 -2,1439 -1,4899 -0,8632 -0,3070 0,1639 0,5730 0,9443 1,2679 1,5233 1,7253 1,9342 2,2288 2,6639 3,2293 3,8480 4,4314 4,9338 5,3502 5,6849 5,9437 6,1506 6,3481 6,5700 6,8201 7,0696 7,2673 7,3621 7,3292 7,1826 6,9690 6,7446 6,5445 6,3698 6,2034 6,0269 5,8265 5,6028 5,3805 5,1958 5,0634 4,9553 4,8142 4,5940 4,2970 3,9718 3,6726 3,4200 3,1863 2,9209 2,6065 2,2943 2,0779 2,0286 2,1398 2,3208 2,4495 2,4430 2,2824 1,9902 1,5966 1,1204 0,5731 -0,0245 -0,6271 -1,1640 -1,5685 -1,8185 -1,9339 -1,9385 -1,8398 -1,6325 -1,3215 -0,9455 -0,5665 -0,2340 0,0285 0,2199 0,3648 0,5080 0,6796 0,8810 1,1054 1,3567 1,6440 1,9655 2,3058 2,6496 2,9917 3,3302 3,6541 3,9435 4,1859 4,3895 4,5661 4,7095 4,8141 4,9075 5,0481 5,2956 5,6797 6,1831 6,7462 7,2798 7,6787 7,8599 7,8170 7,6268 7,3927 7,1889 7,0514 6,9909 7,0033 7,0701 7,1506 7,1878 7,1296 6,9391 6,5966 6,1165 5,5636 5,0405 4,6561 4,4874 4,5387 4,7325 4,9536 5,1043 5,1362 5,0511 4,8711 4,6057 4,2562 3,8406 3,4004 2,9820 2,6081 2,2676 1,9421 1,6305 1,3413 1,0770 0,8294 0,5809 0,3275 0,0999 -0,0586 -0,1329 -0,1467 -0,1400 -0,1296 -0,0879 0,0300 0,2337 0,4704 0,6377 0,6248 0,3674 -0,1164 -0,7317 -1,3411 -1,8088 -2,0475 -2,0606 -1,9481 -1,8532 -1,8953 -2,1378 -2,5791 -3,1544 -3,7702 -4,3520 -4,8537 -5,2444 -5,5110 -5,6566 -5,6838 -5,5839 -5,3460 -4,9739 -4,4948 -3,9504 -3,3819 -2,8255 -2,3173 -1,8842 -1,5263 -1,2096 -0,8851 -0,5219 -0,1199 0,3172 0,8102 1,3891 2,0534 2,7558 3,4285 4,0229 4,5195 4,9151 5,2235 5,4821 5,7316 5,9838 6,2151 6,3996 6,5391 6,6494 6,7217 6,7210 6,6298 6,4627 6,2283 5,9142 5,5323 5,1524 4,8723 4,7610 4,8213 4,9899 5,1712 5,2807 5,2691 5,1316 4,9016 4,6219 4,3115 3,9619 3,5604 3,1096 2,6329 2,1727 1,7715 1,4477 1,1930 0,9812 0,7771 0,5565 0,3223 0,0914 -0,1172 -0,2839 -0,3974 -0,4621 -0,4902 -0,4937 -0,4860 -0,4883 -0,5196 -0,5780 -0,6394 -0,6741 -0,6723 -0,6582 -0,6621 -0,6724 -0,6288 -0,4697 -0,1791 0,2118 0,6479 1,0678 1,4182 1,6638 1,7929 1,8169 1,7749 1,7364 1,7792 1,9413 2,1880 2,4292 2,5731 2,5699 2,4166
