Participant.Public.ID,total_correct.x,listLength,total_correct.y,omissions,intrusions,repetitions,highest_total_correct,average_correct
crar9,22,3,7,2,559,NA,8,0.4583333333333333
crar9,22,4,8,2,559,NA,8,0.4583333333333333
crar9,22,5,5,2,559,NA,8,0.4583333333333333
crar9,22,6,2,2,559,NA,8,0.4583333333333333
crar9,22,7,0,2,559,NA,8,0.4583333333333333
crar9,22,8,0,2,559,NA,8,0.4583333333333333
crar9,22,NA,0,2,559,NA,8,0.4583333333333333
exdq7,24,3,7,2,559,NA,7,0.5217391304347826
exdq7,24,4,3,2,559,NA,7,0.5217391304347826
exdq7,24,5,5,2,559,NA,7,0.5217391304347826
exdq7,24,6,5,2,559,NA,7,0.5217391304347826
exdq7,24,7,4,2,559,NA,7,0.5217391304347826
exdq7,24,8,0,2,559,NA,7,0.5217391304347826
exdq7,24,NA,0,2,559,NA,7,0.5217391304347826
ezje7,36,3,7,2,546,NA,8,0.7659574468085106
ezje7,36,4,8,2,546,NA,8,0.7659574468085106
ezje7,36,5,8,2,546,NA,8,0.7659574468085106
ezje7,36,6,5,2,546,NA,8,0.7659574468085106
ezje7,36,7,4,2,546,NA,8,0.7659574468085106
ezje7,36,8,4,2,546,NA,8,0.7659574468085106
ezje7,36,NA,0,2,546,NA,8,0.7659574468085106
finc3,37,3,7,2,544,NA,7,0.7708333333333334
finc3,37,4,7,2,544,NA,7,0.7708333333333334
finc3,37,5,6,2,544,NA,7,0.7708333333333334
finc3,37,6,7,2,544,NA,7,0.7708333333333334
finc3,37,7,7,2,544,NA,7,0.7708333333333334
finc3,37,8,3,2,544,NA,7,0.7708333333333334
finc3,37,NA,0,2,544,NA,7,0.7708333333333334
fqrf6,18,3,7,2,569,NA,7,0.45
fqrf6,18,4,5,2,569,NA,7,0.45
fqrf6,18,5,3,2,569,NA,7,0.45
fqrf6,18,6,3,2,569,NA,7,0.45
fqrf6,18,7,0,2,569,NA,7,0.45
fqrf6,18,8,0,2,569,NA,7,0.45
fqrf6,18,NA,0,2,569,NA,7,0.45
gxac7,23,3,7,2,559,NA,7,0.48936170212765956
gxac7,23,4,6,2,559,NA,7,0.48936170212765956
gxac7,23,5,5,2,559,NA,7,0.48936170212765956
gxac7,23,6,4,2,559,NA,7,0.48936170212765956
gxac7,23,7,0,2,559,NA,7,0.48936170212765956
gxac7,23,8,1,2,559,NA,7,0.48936170212765956
gxac7,23,NA,0,2,559,NA,7,0.48936170212765956
hcqa8,30,3,7,2,560,NA,8,0.7435897435897436
hcqa8,30,4,8,2,560,NA,8,0.7435897435897436
hcqa8,30,5,6,2,560,NA,8,0.7435897435897436
hcqa8,30,6,6,2,560,NA,8,0.7435897435897436
hcqa8,30,7,3,2,560,NA,8,0.7435897435897436
hcqa8,30,8,0,2,560,NA,8,0.7435897435897436
hcqa8,30,NA,0,2,560,NA,8,0.7435897435897436
jpxp4,23,3,7,2,558,NA,7,0.4791666666666667
jpxp4,23,4,5,2,558,NA,7,0.4791666666666667
jpxp4,23,5,4,2,558,NA,7,0.4791666666666667
jpxp4,23,6,3,2,558,NA,7,0.4791666666666667
jpxp4,23,7,3,2,558,NA,7,0.4791666666666667
jpxp4,23,8,1,2,558,NA,7,0.4791666666666667
jpxp4,23,NA,0,2,558,NA,7,0.4791666666666667
ksjo8,26,3,6,2,556,NA,7,0.5652173913043478
ksjo8,26,4,6,2,556,NA,7,0.5652173913043478
ksjo8,26,5,7,2,556,NA,7,0.5652173913043478
ksjo8,26,6,4,2,556,NA,7,0.5652173913043478
ksjo8,26,7,2,2,556,NA,7,0.5652173913043478
ksjo8,26,8,1,2,556,NA,7,0.5652173913043478
ksjo8,26,NA,0,2,556,NA,7,0.5652173913043478
ltsl3,16,3,7,2,567,NA,7,0.34782608695652173
ltsl3,16,4,4,2,567,NA,7,0.34782608695652173
ltsl3,16,5,3,2,567,NA,7,0.34782608695652173
ltsl3,16,6,1,2,567,NA,7,0.34782608695652173
ltsl3,16,7,1,2,567,NA,7,0.34782608695652173
ltsl3,16,8,0,2,567,NA,7,0.34782608695652173
ltsl3,16,NA,0,2,567,NA,7,0.34782608695652173
qdvg4,27,3,6,2,554,NA,7,0.5625
qdvg4,27,4,7,2,554,NA,7,0.5625
qdvg4,27,5,7,2,554,NA,7,0.5625
qdvg4,27,6,4,2,554,NA,7,0.5625
qdvg4,27,7,2,2,554,NA,7,0.5625
qdvg4,27,8,1,2,554,NA,7,0.5625
qdvg4,27,NA,0,2,554,NA,7,0.5625
qgsl9,34,3,6,2,548,NA,8,0.723404255319149
qgsl9,34,4,8,2,548,NA,8,0.723404255319149
qgsl9,34,5,7,2,548,NA,8,0.723404255319149
qgsl9,34,6,6,2,548,NA,8,0.723404255319149
qgsl9,34,7,5,2,548,NA,8,0.723404255319149
qgsl9,34,8,2,2,548,NA,8,0.723404255319149
qgsl9,34,NA,0,2,548,NA,8,0.723404255319149
rqed8,31,3,7,2,551,NA,8,0.6595744680851063
rqed8,31,4,8,2,551,NA,8,0.6595744680851063
rqed8,31,5,7,2,551,NA,8,0.6595744680851063
rqed8,31,6,5,2,551,NA,8,0.6595744680851063
rqed8,31,7,4,2,551,NA,8,0.6595744680851063
rqed8,31,8,0,2,551,NA,8,0.6595744680851063
rqed8,31,NA,0,2,551,NA,8,0.6595744680851063
rvax5,29,3,5,2,552,NA,8,0.6304347826086957
rvax5,29,4,8,2,552,NA,8,0.6304347826086957
rvax5,29,5,7,2,552,NA,8,0.6304347826086957
rvax5,29,6,6,2,552,NA,8,0.6304347826086957
rvax5,29,7,2,2,552,NA,8,0.6304347826086957
rvax5,29,8,1,2,552,NA,8,0.6304347826086957
rvax5,29,NA,0,2,552,NA,8,0.6304347826086957
uyxx3,28,3,7,2,553,NA,8,0.5833333333333334
uyxx3,28,4,7,2,553,NA,8,0.5833333333333334
uyxx3,28,5,8,2,553,NA,8,0.5833333333333334
uyxx3,28,6,5,2,553,NA,8,0.5833333333333334
uyxx3,28,7,0,2,553,NA,8,0.5833333333333334
uyxx3,28,8,1,2,553,NA,8,0.5833333333333334
uyxx3,28,NA,0,2,553,NA,8,0.5833333333333334
wbij5,19,3,7,2,563,NA,7,0.3829787234042553
wbij5,19,4,5,2,563,NA,7,0.3829787234042553
wbij5,19,5,4,2,563,NA,7,0.3829787234042553
wbij5,19,6,3,2,563,NA,7,0.3829787234042553
wbij5,19,7,0,2,563,NA,7,0.3829787234042553
wbij5,19,8,0,2,563,NA,7,0.3829787234042553
wbij5,19,NA,0,2,563,NA,7,0.3829787234042553
