Fp1   5,7684 5,5854 5,3399 4,9719 4,4595 3,8489 3,2104 2,5740 1,9237 1,2318 0,4827 -0,3072 -1,0740 -1,7233 -2,1705 -2,3757 -2,3643 -2,2222 -2,0410 -1,8594 -1,6682 -1,4622 -1,2645 -1,1025 -0,9733 -0,8298 -0,6034 -0,2581 0,1780 0,6329 1,0195 1,2560 1,3021 1,1874 0,9852 0,7605 0,5399 0,3059 0,0165 -0,3521 -0,7687 -1,1613 -1,4749 -1,7111 -1,9236 -2,1882 -2,5679 -3,0847 -3,7046 -4,3436 -4,8914 -5,2458 -5,3571 -5,2564 -5,0273 -4,7480 -4,4670 -4,2078 -3,9608 -3,6814 -3,3277 -2,8990 -2,4282 -1,9489 -1,4821 -1,0428 -0,6492 -0,3266 -0,0981 0,0332 0,0875 0,0974 0,0927 0,0860 0,0785 0,0702 0,0572 0,0342 0,0053 -0,0240 -0,0629 -0,1254 -0,2191 -0,3595 -0,5772 -0,8859 -1,2424 -1,5511 -1,7191 -1,7140 -1,5866 -1,4416 -1,3734 -1,4226 -1,5852 -1,8291 -2,0969 -2,3284 -2,4885 -2,5666 -2,5692 -2,5265 -2,4881 -2,4909 -2,5217 -2,5212 -2,4356 -2,2527 -1,9886 -1,6624 -1,3030 -0,9688 -0,7391 -0,6711 -0,7712 -1,0018 -1,3062 -1,6377 -1,9756 -2,3200 -2,6855 -3,0965 -3,5720 -4,1227 -4,7675 -5,5231 -6,3567 -7,1613 -7,8006 -8,1963 -8,3590 -8,3303 -8,1134 -7,6735 -6,9879 -6,0808 -5,0298 -3,9522 -2,9679 -2,1504 -1,4997 -0,9591 -0,4547 0,0739 0,6679 1,3597 2,1804 3,1468 4,2375 5,3954 6,5567 7,6694 8,7044 9,6684 10,5942 11,5066 12,3990 13,2404 13,9994 14,6617 15,2332 15,7289 16,1434 16,4358 16,5487 16,4417 16,1139 15,6086 14,9981 14,3594 13,7490 13,1736 12,5888 11,9407 11,2032 10,3789 9,4947 8,6077 7,8006 7,1487 6,6803 6,3631 6,1220 5,8840 5,6211 5,3457 5,0675 4,7704 4,4285 4,0259 3,5657 3,0664 2,5429 1,9841 1,3539 0,6200 -0,2141 -1,1057 -1,9915 -2,8053 -3,4992 -4,0731 -4,5736 -5,0477 -5,4949 -5,8690 -6,1121 -6,1896 -6,1285 -6,0268 -6,0029 -6,1261 -6,3816 -6,6805 -6,9014 -6,9356 -6,7209 -6,2554 -5,5790 -4,7400 -3,7916 -2,8135 -1,9115 -1,1758 -0,6288 -0,2078 0,1848 0,6124 1,0786 1,5429 1,9443 2,2291 2,3729 2,3892 2,3213 2,2280 2,1681 2,1866 2,2968 2,4566 2,5805 2,6004 2,5095 2,3367 2,1063 1,8178 1,4475 0,9783 0,4348 -0,1233 -0,6460 -1,1267 -1,5902 -2,0524 -2,5024 -2,9217 -3,3039 -3,6554 -3,9848 -4,3033 -4,6341 -5,0104 -5,4526 -5,9469 -6,4491 -6,9032 -7,2513 -7,4418 -7,4516 -7,3116 -7,0972 -6,8716 -6,6445 -6,3972 -6,1170 -5,7883 -5,3747 -4,8340 -4,1521 -3,3600 -2,5376 -1,8038 -1,2677 -0,9627 -0,8321 -0,7842 -0,7529 -0,7102 -0,6513 -0,5870 -0,5353 -0,5017 -0,4685 -0,4045 -0,2961 -0,1710 -0,0812 -0,0609 -0,1041 -0,1776 -0,2486 -0,2977 -0,3220 -0,3470 -0,4217 -0,5778 -0,7948 -1,0209 -1,2240 -1,4147 -1,6260 -1,8771 -2,1521 -2,4197 -2,6721 -2,9424 -3,2886 -3,7525 -4,3198 -4,9166 -5,4396 -5,8067 -6,0085 -6,1020 -6,1460 -6,1536 -6,0992 -5,9596 -5,7500 -5,5257 -5,3476 -5,2477 -5,2218 -5,2362 -5,2347 -5,1573 -4,9737 -4,7000 -4,3664 -3,9726 -3,4996 -2,9621 -2,4220 -1,9425 -1,5440 -1,2033 -0,8783 -0,5407 -0,1955 0,1296 0,4080 0,6273 0,7920 0,9214 1,0342 1,1334 1,2227 1,3300 1,4901 1,7063 1,9445 2,1687 2,3737 2,5767 2,7756 2,9296 2,9823 2,8955 2,6680 2,3362 1,9528 1,5584 1,1655 0,7605 0,3251 -0,1446 -0,6359 -1,1286 -1,6192 -2,1397 -2,7303 -3,3879 -4,0612 -4,6904 -5,2328 -5,6513 -5,9053 -5,9806 -5,9260 -5,8432 -5,8324 -5,9418 -6,1650 -6,4702 -6,8121 -7,1328 -7,3843 -7,5527 -7,6600 -7,7561 -7,9135 -8,2080 -8,6729 -9,2630 -9,8769 -10,4073 -10,7618 -10,8642 -10,6725 -10,2092 -9,5663 -8,8746 -8,2498 -7,7480 -7,3728 -7,1229 -6,9996 -6,9633 -6,9256 -6,8206 -6,6780 -6,6034 -6,6795 -6,8943 -7,1680 -7,4200 -7,5943 -7,6567 -7,5991 -7,4347 -7,1789 -6,8436 -6,4508 -6,0393 -5,6465 -5,2907 -4,9744 -4,6944 -4,4462 -4,2317 -4,0703 -4,0008 -4,0577 -4,2364 -4,4851 -4,7267 -4,8903 -4,9405 -4,8978 -4,8227 -4,7658 -4,7479 -4,7870 -4,9091 -5,1119 -5,3314 -5,4581 -5,4006 -5,1523 -4,8049 -4,4889 -4,3008 -4,2688 -4,3560 -4,4880 -4,6019 -4,6838 -4,7541 -4,8204 -4,8734 -4,9270 -5,0299 -5,2072 -5,4010 -5,4906 -5,3647 -4,9719 -4,3534 -3,6425 -2,9977 -2,5144 -2,1963 -1,9929 -1,8546 -1,7589 -1,6935 -1,6408 -1,6010 -1,6131 -1,7319 -1,9915 -2,3936 -2,9170 -3,5277 -4,1762 -4,8024 -5,3649 -5,8634 -6,3290 -6,8078 -7,3452 -7,9555 -8,5964 -9,1924 -9,6747 -9,9952 -10,1155 -10,0042 -9,6602 -9,1451 -8,5688 -8,0275 -7,5594 -7,1397 -6,6983 -6,1535 -5,4479 -4,5671 -3,5454 -2,4575 -1,3835 -0,3661 0,5994 1,5305 2,4205 3,2425 3,9808 4,6431 5,2476 5,8110 6,3431 6,8328 7,2422 7,5261 7,6592 7,6381 7,4678 7,1628 6,7613 6,3137 5,8414 5,3220 4,7245 4,0500 3,3400 2,6562 2,0464 1,5177 1,0404 0,5758 0,0895 -0,4614 -1,1359 -1,9848 -3,0134 -4,1672 -5,3489 -6,4522 -7,4002 -8,1675 -8,7807 -9,2970 -9,7706 -10,2305 -10,6679 -11,0341 -11,2676 -11,3476 -11,3179 -11,2550 -11,2224 -11,2468 -11,3237 -11,4378 -11,5791 -11,7519 -11,9730 -12,2462 -12,5410 -12,8140 -13,0332 -13,1706 -13,1948 -13,0828 -12,8408 -12,5155 -12,1766 -11,8822 -11,6625 -11,5157 -11,3986 -11,2470 -11,0277 -10,7518 -10,4336 -10,0661 -9,6411 -9,1681 -8,6620 -8,1298
Fz    8,1471 7,7888 7,2733 6,6015 5,8077 4,9552 4,1144 3,3301 2,6021 1,8885 1,1334 0,3067 -0,5753 -1,4575 -2,2648 -2,9208 -3,3678 -3,5805 -3,5670 -3,3613 -3,0109 -2,5652 -2,0698 -1,5633 -1,0686 -0,5842 -0,0948 0,4011 0,8724 1,2661 1,5270 1,6139 1,5196 1,2808 0,9601 0,6177 0,2979 0,0191 -0,2345 -0,5036 -0,8233 -1,2059 -1,6506 -2,1564 -2,7234 -3,3482 -4,0113 -4,6660 -5,2482 -5,7014 -5,9970 -6,1378 -6,1528 -6,0911 -6,0062 -5,9327 -5,8717 -5,7900 -5,6285 -5,3308 -4,8795 -4,3104 -3,6912 -3,0856 -2,5333 -2,0499 -1,6310 -1,2540 -0,8894 -0,5222 -0,1668 0,1427 0,3742 0,5082 0,5443 0,5088 0,4481 0,4045 0,3944 0,3988 0,3744 0,2833 0,1116 -0,1402 -0,4715 -0,8691 -1,2839 -1,6374 -1,8663 -1,9662 -1,9985 -2,0516 -2,1859 -2,4066 -2,6806 -2,9609 -3,1972 -3,3481 -3,3915 -3,3208 -3,1452 -2,8984 -2,6355 -2,4080 -2,2327 -2,0809 -1,8997 -1,6510 -1,3334 -0,9747 -0,6149 -0,3032 -0,0948 -0,0317 -0,1239 -0,3536 -0,6907 -1,1092 -1,5921 -2,1234 -2,6911 -3,2964 -3,9409 -4,6141 -5,3044 -5,9978 -6,6543 -7,1942 -7,5312 -7,6287 -7,5214 -7,2802 -6,9595 -6,5708 -6,0942 -5,5091 -4,8211 -4,0675 -3,2947 -2,5322 -1,7890 -1,0678 -0,3684 0,3207 1,0231 1,7704 2,5930 3,5024 4,4809 5,4978 6,5328 7,5791 8,6364 9,7090 10,8046 11,9241 13,0433 14,1060 15,0366 15,7678 16,2695 16,5571 16,6680 16,6357 16,4881 16,2595 15,9924 15,7234 15,4684 15,2217 14,9534 14,6004 14,0877 13,3803 12,5059 11,5359 10,5602 9,6608 8,8900 8,2652 7,7722 7,3632 6,9679 6,5320 6,0511 5,5659 5,1295 4,7779 4,5134 4,2976 4,0666 3,7634 3,3594 2,8517 2,2497 1,5739 0,8585 0,1387 -0,5638 -1,2340 -1,8582 -2,4353 -2,9803 -3,5131 -4,0451 -4,5691 -5,0513 -5,4380 -5,6951 -5,8454 -5,9593 -6,1008 -6,2768 -6,4278 -6,4650 -6,3188 -5,9646 -5,4178 -4,7155 -3,9104 -3,0744 -2,2851 -1,5983 -1,0272 -0,5351 -0,0435 0,5259 1,1989 1,9381 2,6684 3,3048 3,7800 4,0613 4,1526 4,0884 3,9302 3,7553 3,6307 3,5780 3,5559 3,4876 3,3221 3,0582 2,7142 2,3097 1,8720 1,4311 1,0147 0,6471 0,3390 0,0761 -0,1788 -0,4677 -0,8091 -1,1872 -1,5678 -1,9175 -2,2165 -2,4672 -2,6955 -2,9414 -3,2392 -3,5974 -3,9910 -4,3788 -4,7203 -4,9752 -5,1086 -5,1158 -5,0441 -4,9678 -4,9219 -4,8750 -4,7738 -4,5848 -4,2875 -3,8636 -3,3115 -2,6620 -1,9729 -1,3147 -0,7541 -0,3289 -0,0294 0,1920 0,3917 0,6103 0,8590 1,1164 1,3405 1,4974 1,5820 1,6150 1,6252 1,6306 1,6280 1,5993 1,5286 1,4144 1,2682 1,1002 0,9094 0,6909 0,4457 0,1860 -0,0614 -0,2578 -0,3707 -0,3993 -0,3811 -0,3711 -0,4080 -0,5025 -0,6588 -0,8877 -1,1966 -1,5851 -2,0509 -2,5829 -3,1477 -3,6890 -4,1509 -4,5032 -4,7413 -4,8633 -4,8576 -4,7092 -4,4195 -4,0297 -3,6226 -3,2905 -3,0923 -3,0301 -3,0559 -3,0953 -3,0684 -2,9088 -2,5832 -2,0987 -1,4924 -0,8180 -0,1395 0,4831 1,0187 1,4756 1,8878 2,2943 2,7184 3,1515 3,5602 3,9084 4,1724 4,3486 4,4583 4,5414 4,6373 4,7737 4,9675 5,2186 5,4921 5,7260 5,8724 5,9270 5,9126 5,8460 5,7274 5,5509 5,3126 5,0150 4,6694 4,2903 3,8866 3,4643 3,0347 2,6174 2,2346 1,8991 1,6004 1,3020 0,9571 0,5387 0,0516 -0,4852 -1,0564 -1,6461 -2,2275 -2,7620 -3,2130 -3,5687 -3,8537 -4,1134 -4,3794 -4,6579 -4,9522 -5,2722 -5,6173 -5,9674 -6,2879 -6,5424 -6,7177 -6,8447 -6,9879 -7,2047 -7,5092 -7,8670 -8,2089 -8,4493 -8,5129 -8,3605 -8,0025 -7,4994 -6,9435 -6,4217 -5,9809 -5,6296 -5,3647 -5,1778 -5,0399 -4,9050 -4,7492 -4,5998 -4,5150 -4,5317 -4,6387 -4,7893 -4,9286 -5,0066 -4,9823 -4,8370 -4,5837 -4,2533 -3,8759 -3,4768 -3,0795 -2,6970 -2,3283 -1,9673 -1,6080 -1,2486 -0,9102 -0,6528 -0,5544 -0,6597 -0,9463 -1,3376 -1,7404 -2,0787 -2,3187 -2,4729 -2,5750 -2,6516 -2,7184 -2,7901 -2,8750 -2,9613 -3,0132 -2,9843 -2,8422 -2,5884 -2,2561 -1,8950 -1,5603 -1,2963 -1,1132 -0,9880 -0,9002 -0,8618 -0,9072 -1,0500 -1,2622 -1,5012 -1,7386 -1,9472 -2,0763 -2,0629 -1,8587 -1,4445 -0,8458 -0,1405 0,5688 1,1996 1,7112 2,0937 2,3507 2,4948 2,5511 2,5466 2,4856 2,3413 2,0785 1,6844 1,1746 0,5739 -0,0980 -0,8185 -1,5543 -2,2715 -2,9486 -3,5839 -4,2006 -4,8374 -5,5203 -6,2366 -6,9323 -7,5330 -7,9655 -8,1746 -8,1411 -7,8958 -7,5092 -7,0553 -6,5818 -6,1062 -5,6177 -5,0747 -4,4151 -3,5848 -2,5674 -1,4003 -0,1622 1,0637 2,2211 3,2895 4,2745 5,1948 6,0712 6,9209 7,7538 8,5736 9,3800 10,1574 10,8590 11,4174 11,7829 11,9554 11,9789 11,9053 11,7672 11,5759 11,3242 10,9858 10,5267 9,9297 9,2061 8,3936 7,5474 6,7209 5,9454 5,2244 4,5376 3,8446 3,0911 2,2203 1,1937 0,0171 -1,2529 -2,5262 -3,7102 -4,7402 -5,6008 -6,3308 -7,0019 -7,6773 -8,3851 -9,1116 -9,8016 -10,3846 -10,8259 -11,1500 -11,4163 -11,6833 -11,9825 -12,3099 -12,6355 -12,9250 -13,1598 -13,3390 -13,4621 -13,5251 -13,5429 -13,5502 -13,5611 -13,5463 -13,4589 -13,2719 -12,9962 -12,6670 -12,3180 -11,9746 -11,6565 -11,3639 -11,0746 -10,7688 -10,4465 -10,1097 -9,7432 -9,3162 -8,7993 -8,1804 -7,4742
F3    7,5041 7,3928 7,1777 6,7966 6,2294 5,5204 4,7407 3,9327 3,1032 2,2495 1,3726 0,4845 -0,3756 -1,1391 -1,7337 -2,1159 -2,2911 -2,3100 -2,2368 -2,1140 -1,9594 -1,7865 -1,6120 -1,4433 -1,2678 -1,0508 -0,7547 -0,3783 0,0277 0,3870 0,6313 0,7152 0,6323 0,4299 0,1835 -0,0584 -0,3003 -0,5774 -0,9205 -1,3330 -1,7816 -2,2057 -2,5505 -2,8015 -2,9952 -3,2019 -3,4826 -3,8470 -4,2516 -4,6349 -4,9426 -5,1343 -5,1956 -5,1518 -5,0524 -4,9371 -4,8210 -4,6957 -4,5259 -4,2574 -3,8541 -3,3258 -2,7109 -2,0467 -1,3717 -0,7390 -0,2129 0,1519 0,3378 0,3758 0,3265 0,2494 0,1813 0,1272 0,0778 0,0347 0,0056 -0,0105 -0,0177 -0,0197 -0,0289 -0,0663 -0,1531 -0,3156 -0,5820 -0,9498 -1,3554 -1,6947 -1,8782 -1,8790 -1,7520 -1,6088 -1,5525 -1,6302 -1,8376 -2,1362 -2,4608 -2,7372 -2,9082 -2,9449 -2,8509 -2,6641 -2,4448 -2,2495 -2,0998 -1,9739 -1,8358 -1,6686 -1,4732 -1,2558 -1,0368 -0,8674 -0,8169 -0,9300 -1,1976 -1,5674 -1,9774 -2,3820 -2,7548 -3,0804 -3,3649 -3,6485 -3,9864 -4,4272 -5,0141 -5,7665 -6,6365 -7,4978 -8,2052 -8,6731 -8,8925 -8,8852 -8,6585 -8,2044 -7,5266 -6,6626 -5,6835 -4,6792 -3,7330 -2,8952 -2,1690 -1,5192 -0,8976 -0,2665 0,3988 1,1232 1,9387 2,8698 3,9092 5,0160 6,1389 7,2332 8,2754 9,2774 10,2790 11,3108 12,3614 13,3767 14,2855 15,0322 15,6053 16,0429 16,3944 16,6726 16,8426 16,8505 16,6609 16,2764 15,7362 15,1037 14,4445 13,7939 13,1443 12,4670 11,7324 10,9185 10,0238 9,0798 8,1482 7,2999 6,5831 5,9979 5,4976 5,0279 4,5735 4,1614 3,8204 3,5450 3,2952 3,0215 2,6934 2,3125 1,8933 1,4348 0,9133 0,3027 -0,4038 -1,1875 -2,0052 -2,7915 -3,4841 -4,0610 -4,5473 -4,9785 -5,3646 -5,6896 -5,9311 -6,0700 -6,1062 -6,0796 -6,0610 -6,1126 -6,2534 -6,4522 -6,6407 -6,7346 -6,6606 -6,3760 -5,8667 -5,1423 -4,2481 -3,2741 -2,3384 -1,5448 -0,9357 -0,4719 -0,0655 0,3589 0,8261 1,3053 1,7300 2,0355 2,1935 2,2201 2,1648 2,0941 2,0719 2,1431 2,3146 2,5322 2,6895 2,6992 2,5520 2,2922 1,9605 1,5683 1,1045 0,5635 -0,0277 -0,6110 -1,1303 -1,5688 -1,9553 -2,3341 -2,7368 -3,1736 -3,6367 -4,1087 -4,5715 -5,0114 -5,4242 -5,8151 -6,1883 -6,5400 -6,8666 -7,1694 -7,4358 -7,6252 -7,6945 -7,6429 -7,5150 -7,3479 -7,1391 -6,8719 -6,5398 -6,1341 -5,6275 -4,9923 -4,2284 -3,3686 -2,4763 -1,6446 -0,9677 -0,4874 -0,1710 0,0504 0,2284 0,3831 0,5165 0,6225 0,6960 0,7473 0,8036 0,8898 1,0038 1,1116 1,1729 1,1676 1,0997 0,9890 0,8608 0,7307 0,5937 0,4260 0,2009 -0,0831 -0,3884 -0,6622 -0,8787 -1,0542 -1,2273 -1,4291 -1,6670 -1,9364 -2,2451 -2,6189 -3,0845 -3,6455 -4,2696 -4,8938 -5,4395 -5,8438 -6,0995 -6,2545 -6,3575 -6,4113 -6,3793 -6,2306 -5,9789 -5,6857 -5,4268 -5,2547 -5,1797 -5,1745 -5,1840 -5,1422 -4,9989 -4,7441 -4,4018 -3,9943 -3,5246 -2,9987 -2,4476 -1,9148 -1,4334 -1,0163 -0,6587 -0,3523 -0,1034 0,0744 0,1866 0,2652 0,3557 0,5053 0,7465 1,0791 1,4744 1,9028 2,3407 2,7520 3,0900 3,3341 3,5103 3,6576 3,7799 3,8377 3,7832 3,6011 3,3258 3,0242 2,7513 2,5130 2,2679 1,9682 1,5970 1,1717 0,7273 0,2971 -0,1164 -0,5565 -1,0798 -1,7039 -2,3905 -3,0685 -3,6660 -4,1273 -4,4208 -4,5527 -4,5739 -4,5647 -4,6024 -4,7307 -4,9553 -5,2600 -5,6148 -5,9780 -6,3090 -6,5803 -6,7819 -6,9337 -7,0957 -7,3450 -7,7221 -8,1933 -8,6726 -9,0706 -9,3156 -9,3544 -9,1630 -8,7630 -8,2223 -7,6319 -7,0704 -6,5765 -6,1554 -5,8111 -5,5537 -5,3657 -5,1930 -4,9950 -4,8008 -4,6963 -4,7414 -4,9084 -5,1067 -5,2511 -5,3001 -5,2528 -5,1348 -4,9761 -4,7911 -4,5781 -4,3326 -4,0574 -3,7620 -3,4563 -3,1470 -2,8367 -2,5250 -2,2200 -1,9517 -1,7661 -1,6951 -1,7347 -1,8515 -2,0043 -2,1591 -2,2925 -2,4011 -2,5049 -2,6272 -2,7742 -2,9477 -3,1624 -3,4273 -3,7052 -3,9017 -3,9145 -3,7100 -3,3536 -2,9671 -2,6587 -2,4749 -2,3984 -2,3863 -2,4151 -2,4999 -2,6672 -2,9050 -3,1565 -3,3700 -3,5351 -3,6626 -3,7417 -3,7306 -3,5773 -3,2500 -2,7745 -2,2486 -1,7964 -1,4980 -1,3517 -1,2919 -1,2419 -1,1549 -1,0171 -0,8353 -0,6388 -0,4779 -0,4088 -0,4718 -0,6827 -1,0391 -1,5299 -2,1304 -2,7979 -3,4850 -4,1566 -4,8022 -5,4415 -6,1086 -6,8107 -7,5050 -8,1185 -8,5857 -8,8650 -8,9313 -8,7710 -8,3979 -7,8710 -7,2751 -6,6746 -6,0880 -5,4915 -4,8372 -4,0808 -3,2086 -2,2439 -1,2380 -0,2564 0,6424 1,4326 2,1303 2,7712 3,3808 3,9734 4,5674 5,1846 5,8327 6,5036 7,1836 7,8511 8,4608 8,9504 9,2703 9,4004 9,3463 9,1405 8,8425 8,5068 8,1412 7,7084 7,1752 6,5549 5,9067 5,3022 4,7840 4,3433 3,9341 3,5039 3,0087 2,4070 1,6570 0,7377 -0,3302 -1,4916 -2,6777 -3,8168 -4,8407 -5,7065 -6,4203 -7,0329 -7,6060 -8,1807 -8,7644 -9,3249 -9,8139 -10,2123 -10,5392 -10,8212 -11,0701 -11,2870 -11,4672 -11,6000 -11,6738 -11,6939 -11,6957 -11,7205 -11,7792 -11,8566 -11,9314 -11,9726 -11,9358 -11,7836 -11,5119 -11,1581 -10,7773 -10,4095 -10,0760 -9,7921 -9,5593 -9,3621 -9,1904 -9,0481 -8,9271 -8,7929 -8,6084 -8,3543 -8,0230 -7,6098
F7    5,5184 5,5162 5,4353 5,2085 4,8222 4,3272 3,8084 3,3378 2,9447 2,6109 2,2800 1,8815 1,3725 0,7681 0,1311 -0,4622 -0,9496 -1,2935 -1,4856 -1,5505 -1,5438 -1,5280 -1,5352 -1,5546 -1,5493 -1,4821 -1,3420 -1,1553 -0,9634 -0,7895 -0,6319 -0,4810 -0,3335 -0,1939 -0,0802 -0,0301 -0,0860 -0,2667 -0,5560 -0,9180 -1,3152 -1,7158 -2,0933 -2,4274 -2,7107 -2,9581 -3,1928 -3,4162 -3,6087 -3,7626 -3,8964 -4,0357 -4,1863 -4,3276 -4,4287 -4,4656 -4,4272 -4,3102 -4,1044 -3,7918 -3,3720 -2,8700 -2,3157 -1,7352 -1,1652 -0,6569 -0,2628 -0,0163 0,0933 0,1212 0,1320 0,1712 0,2582 0,3788 0,4952 0,5801 0,6319 0,6607 0,6733 0,6716 0,6530 0,6076 0,5258 0,4080 0,2633 0,1078 -0,0327 -0,1317 -0,1841 -0,2152 -0,2672 -0,3735 -0,5310 -0,6982 -0,8259 -0,8863 -0,8733 -0,7936 -0,6554 -0,4655 -0,2492 -0,0657 0,0165 -0,0352 -0,1994 -0,4239 -0,6634 -0,9015 -1,1398 -1,3746 -1,5895 -1,7658 -1,9049 -2,0414 -2,2282 -2,5078 -2,8952 -3,3750 -3,8999 -4,4006 -4,8240 -5,1721 -5,4938 -5,8330 -6,1884 -6,5141 -6,7531 -6,8684 -6,8527 -6,7181 -6,4878 -6,1942 -5,8628 -5,4908 -5,0523 -4,5330 -3,9472 -3,3145 -2,6321 -1,8930 -1,1239 -0,3845 0,2680 0,8065 1,2422 1,6226 2,0200 2,5087 3,1308 3,8759 4,6985 5,5482 6,3866 7,1941 7,9745 8,7464 9,5182 10,2720 10,9674 11,5588 12,0157 12,3357 12,5466 12,6957 12,8226 12,9374 13,0234 13,0633 13,0614 13,0352 12,9784 12,8456 12,5833 12,1687 11,6114 10,9398 10,1934 9,4205 8,6712 7,9748 7,3235 6,6873 6,0428 5,3850 4,7257 4,0918 3,5160 3,0206 2,6077 2,2533 1,9102 1,5286 1,0809 0,5721 0,0322 -0,5034 -1,0179 -1,5180 -2,0090 -2,4766 -2,9014 -3,2812 -3,6337 -3,9813 -4,3361 -4,6948 -5,0379 -5,3314 -5,5350 -5,6241 -5,6113 -5,5410 -5,4640 -5,4137 -5,3908 -5,3622 -5,2814 -5,1159 -4,8609 -4,5329 -4,1514 -3,7296 -3,2806 -2,8200 -2,3549 -1,8752 -1,3650 -0,8287 -0,3013 0,1772 0,5907 0,9393 1,2160 1,4066 1,5118 1,5606 1,5979 1,6634 1,7764 1,9208 2,0382 2,0621 1,9697 1,7904 1,5691 1,3332 1,0867 0,8210 0,5234 0,1809 -0,2152 -0,6648 -1,1546 -1,6579 -2,1503 -2,6202 -3,0637 -3,4830 -3,8864 -4,2836 -4,6827 -5,0872 -5,4911 -5,8816 -6,2497 -6,5941 -6,9096 -7,1662 -7,3148 -7,3205 -7,1819 -6,9218 -6,5709 -6,1594 -5,7119 -5,2463 -4,7715 -4,2911 -3,8121 -3,3514 -2,9338 -2,5835 -2,3158 -2,1267 -1,9861 -1,8504 -1,6835 -1,4618 -1,1754 -0,8385 -0,4948 -0,1973 0,0213 0,1563 0,2154 0,2066 0,1446 0,0571 -0,0272 -0,0974 -0,1661 -0,2586 -0,3893 -0,5481 -0,7126 -0,8679 -1,0071 -1,1217 -1,2114 -1,2977 -1,4157 -1,5981 -1,8611 -2,1887 -2,5345 -2,8458 -3,0955 -3,2962 -3,4849 -3,6887 -3,9092 -4,1353 -4,3535 -4,5475 -4,6962 -4,7752 -4,7688 -4,6885 -4,5727 -4,4705 -4,4227 -4,4409 -4,4974 -4,5417 -4,5398 -4,4874 -4,3893 -4,2457 -4,0602 -3,8429 -3,6033 -3,3474 -3,0789 -2,7916 -2,4700 -2,1015 -1,6815 -1,2152 -0,7297 -0,2779 0,0794 0,2981 0,3737 0,3540 0,3238 0,3690 0,5402 0,8410 1,2354 1,6638 2,0656 2,3997 2,6473 2,8036 2,8740 2,8744 2,8218 2,7264 2,5963 2,4461 2,2983 2,1699 2,0559 1,9394 1,8110 1,6688 1,5079 1,3230 1,1057 0,8374 0,5018 0,1016 -0,3396 -0,7863 -1,2011 -1,5533 -1,8360 -2,0766 -2,3227 -2,6174 -2,9820 -3,4056 -3,8479 -4,2594 -4,5998 -4,8395 -4,9617 -4,9769 -4,9264 -4,8611 -4,8112 -4,7797 -4,7643 -4,7718 -4,7990 -4,8133 -4,7694 -4,6465 -4,4605 -4,2469 -4,0351 -3,8332 -3,6330 -3,4292 -3,2304 -3,0537 -2,9112 -2,8063 -2,7364 -2,6918 -2,6619 -2,6520 -2,6758 -2,7320 -2,8048 -2,8785 -2,9353 -2,9523 -2,9145 -2,8237 -2,6924 -2,5356 -2,3645 -2,1770 -1,9595 -1,7033 -1,4155 -1,1205 -0,8531 -0,6459 -0,5228 -0,4999 -0,5802 -0,7440 -0,9491 -1,1511 -1,3275 -1,4787 -1,6109 -1,7274 -1,8232 -1,8838 -1,9032 -1,9015 -1,9119 -1,9407 -1,9475 -1,8773 -1,7046 -1,4405 -1,1175 -0,7855 -0,4988 -0,2950 -0,1917 -0,1960 -0,3080 -0,5172 -0,7983 -1,1111 -1,4118 -1,6681 -1,8632 -1,9907 -2,0463 -2,0251 -1,9297 -1,7810 -1,6133 -1,4577 -1,3323 -1,2415 -1,1772 -1,1233 -1,0600 -0,9736 -0,8727 -0,7942 -0,7882 -0,8865 -1,0778 -1,3194 -1,5846 -1,8894 -2,2641 -2,7090 -3,1870 -3,6529 -4,0808 -4,4721 -4,8441 -5,2098 -5,5684 -5,9015 -6,1671 -6,3065 -6,2757 -6,0773 -5,7593 -5,3794 -4,9724 -4,5446 -4,0872 -3,5849 -3,0199 -2,3805 -1,6722 -0,9185 -0,1546 0,5799 1,2525 1,8482 2,3720 2,8394 3,2698 3,6830 4,0916 4,4991 4,9004 5,2783 5,6057 5,8566 6,0102 6,0604 6,0364 5,9941 5,9714 5,9631 5,9408 5,8823 5,7797 5,6281 5,4185 5,1464 4,8275 4,4909 4,1554 3,8204 3,4761 3,1088 2,6956 2,2085 1,6277 0,9550 0,2261 -0,5009 -1,1889 -1,8535 -2,5382 -3,2673 -4,0331 -4,8191 -5,6123 -6,3937 -7,1265 -7,7585 -8,2514 -8,6090 -8,8717 -9,0852 -9,2754 -9,4459 -9,5922 -9,7154 -9,8208 -9,9039 -9,9432 -9,9079 -9,7724 -9,5354 -9,2275 -8,8914 -8,5599 -8,2528 -7,9800 -7,7452 -7,5479 -7,3835 -7,2510 -7,1643 -7,1400 -7,1754 -7,2468 -7,3247 -7,3775 -7,3683 -7,2706 -7,0805 -6,8057 -6,4513
