Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
﻿1,1722209090754,"28/07/2024, 23:24:50",1722209121754,2,"29/07/2024, 01:25:21",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,
2,1722209148821,"28/07/2024, 23:25:48",1722209179848,2,"29/07/2024, 01:26:19",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,57756.90000009537,,,,0,,,,,,,,Instructions,,,,
3,1722209149299,"28/07/2024, 23:25:49",1722209180322,2,"29/07/2024, 01:26:20",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.70000000000437,,,,0,,,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1722209150203,"28/07/2024, 23:25:50",1722209181234,2,"29/07/2024, 01:26:21",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,894,,,red,1,1,,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1722209150978,"28/07/2024, 23:25:50",1722209182017,2,"29/07/2024, 01:26:22",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,499.1999999999971,,,,0,,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1722209152233,"28/07/2024, 23:25:52",1722209183274,2,"29/07/2024, 01:26:23",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,1244.9000000953674,,,yellow,1,1,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1722209153027,"28/07/2024, 23:25:53",1722209184065,2,"29/07/2024, 01:26:24",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,499.40000000000146,,,,0,,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1722209153661,"28/07/2024, 23:25:53",1722209184660,2,"29/07/2024, 01:26:24",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,582.6999998092651,,,yellow,1,1,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1722209154414,"28/07/2024, 23:25:54",1722209185447,2,"29/07/2024, 01:26:25",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,499.59999999999854,,,,0,,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1722209155045,"28/07/2024, 23:25:55",1722209186089,2,"29/07/2024, 01:26:26",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,623.5999999046326,,,red,1,1,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
11,1722209155841,"28/07/2024, 23:25:55",1722209186878,2,"29/07/2024, 01:26:26",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
12,1722209156750,"28/07/2024, 23:25:56",1722209187789,2,"29/07/2024, 01:26:27",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,2,Screen 2,buttonb,response_keyboard,898.7000002861023,,,blue,1,1,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
13,1722209157540,"28/07/2024, 23:25:57",1722209188576,2,"29/07/2024, 01:26:28",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,1,Screen 1,fixation,fixation,499,,,,0,,,,,,,,Practice Trials,GREENred.jpg,green,0,1
14,1722209158062,"28/07/2024, 23:25:58",1722209189096,2,"29/07/2024, 01:26:29",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,2,Screen 2,buttonb,response_keyboard,500.30000019073486,,,green,1,1,,,,,,,Practice Trials,GREENred.jpg,green,0,1
15,1722209158839,"28/07/2024, 23:25:58",1722209189874,2,"29/07/2024, 01:26:29",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,1,Screen 1,fixation,fixation,499.1000000000058,,,,0,,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
16,1722209159475,"28/07/2024, 23:25:59",1722209190515,2,"29/07/2024, 01:26:30",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,2,Screen 2,buttonb,response_keyboard,619.3000001907349,,,blue,1,1,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
17,1722209160255,"28/07/2024, 23:26:00",1722209191289,2,"29/07/2024, 01:26:31",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,1,Screen 1,fixation,fixation,499.3999999999942,,,,0,,,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
18,1722209160668,"28/07/2024, 23:26:00",1722209191708,2,"29/07/2024, 01:26:31",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,9,8,2,Screen 2,buttonb,response_keyboard,402.69999980926514,,,green,1,,,,,,,,Practice Trials,BLUEred.jpg,blue,0,1
