Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79
22,1708881127763,"25/02/2024, 17:12:07",1708881127679,1,"25/02/2024, 18:12:07",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
23,1708881128546,"25/02/2024, 17:12:08",1708881128473,1,"25/02/2024, 18:12:08",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
24,1708881129071,"25/02/2024, 17:12:09",1708881128997,1,"25/02/2024, 18:12:08",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
25,1708881129867,"25/02/2024, 17:12:09",1708881129790,1,"25/02/2024, 18:12:09",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
26,1708881131530,"25/02/2024, 17:12:11",1708881131444,1,"25/02/2024, 18:12:11",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
27,1708881132319,"25/02/2024, 17:12:12",1708881132239,1,"25/02/2024, 18:12:12",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
28,1708881132838,"25/02/2024, 17:12:12",1708881132754,1,"25/02/2024, 18:12:12",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
29,1708881133624,"25/02/2024, 17:12:13",1708881133539,1,"25/02/2024, 18:12:13",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
30,1708881134070,"25/02/2024, 17:12:14",1708881133983,1,"25/02/2024, 18:12:13",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
31,1708881134848,"25/02/2024, 17:12:14",1708881134773,1,"25/02/2024, 18:12:14",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
