Filename       Segment   T200T500Fp1-ASN T200T500Fz-ASN T200T500F3-ASN T200T500F7-ASN T200T500FT9-ASN T200T500FC5-ASN T200T500FC1-ASN T200T500C3-ASN T200T500T7-ASN T200T500CP5-ASN T200T500CP1-ASN T200T500Pz-ASN T200T500P3-ASN T200T500P7-ASN T200T500O1-ASN T200T500Oz-ASN T200T500O2-ASN T200T500P4-ASN T200T500P8-ASN T200T500CP6-ASN T200T500CP2-ASN T200T500Cz-ASN T200T500C4-ASN T200T500T8-ASN T200T500FT10-ASN T200T500FC6-ASN T200T500FC2-ASN T200T500F4-ASN T200T500F8-ASN T200T500Fp2-ASN T200T500FCz-ASN
10                1        2224,2128       307,8398       374,5976      -421,3591      -514,0227       -55,1246       270,4548       117,4089       840,5598      1105,1251       399,8139       525,2210       722,1014       877,5218        57,2086      -494,9026      -549,1250       434,9361        22,7473       845,2121       362,2653       218,7847       614,0104       535,2263      1202,9373       285,8465       312,4807       516,8037       644,1114      2174,1134      -259,3564
10                2        3130,2824      -709,0581     -1719,3979      -140,6436      1092,3861      -334,0136     -1006,9465      -311,8156     -1006,2952       401,4943       261,9626       758,1207      1244,4165      1603,2904      2080,2918      1732,7791       993,4001       283,7957      -137,1928      -728,2063      -885,8659      -960,2218     -1268,5304     -1238,4271      -973,6659     -1729,5653     -1326,4895     -1108,2772      -364,9258      2553,7068     -1823,0821
10                3         723,5162      -990,4137        68,2438     -1289,3687      -902,7389      -923,2370     -1057,8592      -453,1681      -222,9709      -471,8038      -781,2015      -490,6334      -416,0455       415,4424      -282,0736      -190,1320      -678,3699      -851,3310      -313,5445     -1101,1780     -1124,9154     -1363,2021     -1528,2307      -687,3618      -811,1700      -700,7814     -1421,9706        38,0330        26,6099       910,9148     -1410,4587
10                4        3302,2683       774,1076       241,4156     -1404,4619     -4418,1300      -888,7452        56,7163       209,5549       -44,9136       939,3827       367,7339       231,2063       990,3459      1198,1688      1063,0976      1059,6862       893,0520       296,9998       441,1017       359,7983      -218,6289      -403,8387       113,0949       157,8075        60,0592       117,0946       -49,1561       766,9792      1290,6325      6917,0747     -1358,0605
10                5       -1012,6095     -1929,7263     -2402,8526      -961,5898     -3149,1305     -1694,0441     -2538,5267     -1816,0603      -170,9673      -734,7105     -1494,3576      -973,2822      -862,1791       107,4445      -159,6430      -729,7653      -392,7745      -935,0809      -217,4291      -958,6747     -1784,4581     -2389,5112     -2141,9896      -902,7654     -1396,5370     -1777,5923     -2170,6482     -2349,6919      -233,7222      -323,7099     -2991,3008
10                6        -124,5089       851,3745      -286,8495      -736,5515       443,6529      -126,4051       459,2241       -78,7171       -57,3929      -196,8371        37,0232      -754,3018      -362,7927       -41,8276      -667,5405      -720,7918      -462,6077      -275,3937      -223,7677      -340,7976      -114,7517       569,0365      -300,6123      -188,9503       -79,7220      -302,7103       541,6637        61,3192      -649,5465       -18,4984       253,9426
10                7        1788,8205      -596,3685     -1412,5940     -1715,9935     -1619,7491      -857,0543      -982,8552      -654,1748      -614,0102      -540,8243      -604,3157      -374,5981      -372,6230       185,5783      -198,9585      -112,8416      -448,1412      -323,7729      -265,9381      -879,3738     -1002,0313     -1350,9068     -1300,9002      -838,9516     -1373,9245     -1150,3609      -902,7012      -518,6473      -464,9346      2614,2060     -1857,8949
10                8       -3402,1083     -2633,6959     -2190,2416     -1158,0863      -129,0598     -1498,7387     -2537,8875     -1993,6678     -1701,3183     -1247,9712     -2078,4455     -1724,5747     -1286,9631      -134,0792     -1084,6952     -1301,4324     -1036,7545     -1287,4104      -401,9014     -1014,2926     -2204,3392     -2349,7359     -1976,2689     -1175,0021     -1215,7090     -1890,3255     -2567,2472     -2650,0666     -1630,0647     -3104,0851     -2351,7939
10                9         441,6537      -914,6828     -2225,9441      -618,0836      -641,9661     -1000,0572     -1002,9016     -1111,5175      -609,2463      -810,1895     -1124,6487      -991,5021      -857,1987      -172,3358      -170,4059      -760,5590      -954,1210     -1153,4882      -628,1578     -1128,3805     -1447,8580     -1100,0260     -1235,3881      -855,6603      -764,6363     -1212,8774     -1169,1927      -949,9207      -781,9074      -359,0395     -1361,7155
10               10        -659,0637      -395,7923      -864,2980     -1135,2238       123,8084      -753,9154      -856,7593     -1125,4023       142,9023      -649,2177     -1108,4806     -1441,8983     -1377,7149       -72,8901      -824,6809     -1034,8957     -1028,7622     -1026,3748      -506,5376      -787,9435     -1038,7727     -1154,3273     -1111,2468      -402,9233      -679,4334      -896,5486      -728,4951      -599,4159      -953,3449      -127,3930     -1179,9772
10               11       -3200,0204     -1008,5744     -1049,8967     -1554,1257     -1580,4363      -660,1811      -743,4108     -1114,8773     -1166,0029      -951,7437     -1207,6493     -1552,1255      -893,5282      -504,4228     -1114,5702     -1047,5201      -910,0609     -1567,9842      -561,3031     -1370,7102     -1229,0367      -505,6052     -1295,1616      -918,6620      -603,2964      -850,1667      -800,7037      -426,8936       -29,0684     -1863,5123      -148,9315
10               12       -1560,7121      -983,7700      -752,2837     -1894,9155     -2053,0256     -1170,5149     -1297,5407      -916,4451     -1377,8651      -564,9293      -527,5200      -388,9896      -289,4158       261,2640       328,9665       847,8243      1125,2133       398,1050       999,4219       769,6078      -566,8344     -1140,1590      -438,0496      -498,4363      -936,5285     -1090,6980     -1002,4277      -891,6409      -281,8225      -562,8339     -1654,3100
10               13       -2466,2012     -1168,6817       828,5690     -1315,5359      -503,7187      -802,7133      -880,4726      -735,1091      -268,6863      -611,7590     -1061,2486      -936,9521      -873,6902      -367,2138     -1177,8554      -992,7009      -494,6661      -805,7130      -170,3378      -865,5731      -979,4453     -1048,6819     -1134,4171      -513,5615     -1035,4316     -1196,5226     -1314,8988     -2121,8166      -661,7666     -2469,6872      -793,4259
10               14       -2949,1767     -1858,5137     -2541,7987     -1862,4453        25,6560     -2282,4032     -2294,8026     -2618,0028     -1758,8784     -1376,8885     -2589,9047     -2789,3232     -1468,0985      -313,6946      -533,8987     -1246,9733     -1065,2957     -2264,6368     -1156,4191     -2216,4542     -3008,4879     -2641,4921     -2783,9992     -1825,2863     -1148,3379     -2615,8058     -2604,6568     -2462,5339     -1792,4460     -2421,9075     -1979,7333
10               15         -37,0246      -925,2371      -689,4184     -1200,8059      -222,6688     -1013,3652     -1130,6549     -1067,0355     -1630,0661      -507,7765      -940,6311      -444,0399      -177,5655        17,0773       201,4689       555,1120       219,4403      -313,8831      -246,6475      -676,1344     -1075,4419     -1138,9693     -1285,0342      -724,7181      -682,4836     -1188,3948      -944,4941      -817,7525      -924,3446       138,6595     -1382,4980
10               16         556,8079     -1525,5012     -1424,1145     -1358,8156     -1412,2600     -1341,4175     -1677,3270      -742,5332     -1630,7228     -1226,8198     -1373,9857     -2323,9396     -1328,3529      -814,8139     -1111,6271     -1547,9996      -781,2439     -1809,5149      -547,7454     -1739,8653     -2107,1588     -1845,6892     -1806,9159     -1297,2744      -963,5518     -1480,5947     -1558,2569     -1214,7692      -951,2132       706,9270     -1984,4039
10               17        -179,0527      -590,2662      -776,5925     -1091,8523      -949,3750      -794,4046      -724,7352      -659,8017     -1423,3844        64,4522      -111,9584      -159,2212       233,9676       869,5989       453,7712       -96,6305       -35,0444      -399,4970       102,3404      -547,4386      -659,1391      -605,0547      -870,1155      -783,9055      -545,1465     -1078,1346      -549,2729      -857,3441      -506,4790       777,0617     -1273,7965
