Fp1   0,4857 0,4286 0,3013 0,1000 -0,1530 -0,4247 -0,6895 -0,9362 -1,1628 -1,3617 -1,5105 -1,5770 -1,5404 -1,4063 -1,2021 -0,9617 -0,7225 -0,5354 -0,4592 -0,5290 -0,7211 -0,9600 -1,1631 -1,2790 -1,2877 -1,1859 -0,9869 -0,7304 -0,4784 -0,2908 -0,1962 -0,1781 -0,1817 -0,1366 0,0090 0,2609 0,5796 0,9070 1,1939 1,4150 1,5739 1,6921 1,7860 1,8608 1,9243 1,9905 2,0648 2,1314 2,1534 2,0897 1,9237 1,6768 1,3984 1,1466 0,9695 0,8848 0,8757 0,9057 0,9341 0,9160 0,8073 0,5835 0,2561 -0,1378 -0,5682 -1,0303 -1,5269 -2,0403 -2,5347 -2,9815 -3,3709 -3,7043 -3,9899 -4,2383 -4,4479 -4,5968 -4,6591 -4,6356 -4,5631 -4,4855 -4,4173 -4,3386 -4,2124 -4,0055 -3,7082 -3,3407 -2,9323 -2,4986 -2,0407 -1,5580 -1,0452 -0,4859 0,1317 0,7859 1,4100 1,9136 2,2230 2,3155 2,2265 2,0234 1,7684 1,4962 1,2146 0,9203 0,6134 0,2982 -0,0283 -0,3807 -0,7779 -1,2383 -1,7672 -2,3395 -2,9019 -3,3939 -3,7709 -4,0234 -4,1736 -4,2403 -4,2146 -4,0785 -3,8344 -3,5014 -3,0915 -2,6039 -2,0376 -1,3954 -0,6798 0,1059 0,9436 1,7908 2,5934 3,3172 3,9679 4,5829 5,2058 5,8594 6,5320 7,1832 7,7686 8,2709 8,7129 9,1409 9,5874 10,0505 10,5114 10,9674 11,4403 11,9596 12,5442 13,1926 13,8715 14,5131 15,0430 15,4185 15,6311 15,6777 15,5462 15,2240 14,7033 13,9889 13,1143 12,1405 11,1369 10,1640 9,2658 8,4674 7,7784 7,2058 6,7553 6,4155 6,1467 5,8948 5,6202 5,3086 4,9583 4,5717 4,1613 3,7478 3,3536 3,0023 2,7148 2,5075 2,3969 2,3945 2,4913 2,6527 2,8331 2,9936 3,1088 3,1747 3,2252 3,3220 3,5130 3,8092 4,1937 4,6264 5,0487 5,4103 5,6978 5,9362 6,1708 6,4386 6,7446 7,0654 7,3657 7,6056 7,7449 7,7614 7,6644 7,4885 7,2782 7,0719 6,8846 6,7074 6,5381 6,4058 6,3535 6,4022 6,5460 6,7667 7,0368 7,3177 7,5678 7,7495 7,8256 7,7621 7,5587 7,2686 6,9623 6,6687 6,3693 6,0452 5,7055 5,3716 5,0585 4,7748 4,5179 4,2690 4,0095 3,7378 3,4737 3,2472 3,0751 2,9493 2,8578 2,8026 2,7800 2,7592 2,7020 2,6016 2,4892 2,4035 2,3692 2,4016 2,5136 2,7103 2,9812 3,2991 3,6334 3,9755 4,3445 4,7610 5,2214 5,7004 6,1696 6,6037 6,9689 7,2260 7,3536 7,3631 7,2921 7,1815 7,0584 6,9460 6,8828 6,9110 7,0427 7,2491 7,4858 7,7200 7,9337 8,1180 8,2631 8,3477 8,3446 8,2422 8,0542 7,8113 7,5528 7,3205 7,1408 7,0035 6,8667 6,6904 6,4608 6,1825 5,8590 5,4846 5,0520 4,5660 4,0496 3,5434 3,1072 2,8084 2,6888 2,7398 2,9104 3,1392 3,3817 3,6151 3,8277 4,0156 4,1898 4,3731 4,5810 4,8159 5,0809 5,3814 5,7138 6,0637 6,4170 6,7656 7,1043 7,4232 7,7067 7,9368 8,1003 8,1946 8,2312 8,2334 8,2276 8,2297 8,2423 8,2659 8,3031 8,3478 8,3779 8,3692 8,3088 8,1960 8,0426 7,8724 7,7046 7,5331 7,3292 7,0717 6,7736 6,4728 6,1959 5,9318 5,6423 5,2997 4,9174 4,5466 4,2447 4,0447 3,9478 3,9364 3,9864 4,0702 4,1606 4,2344 4,2739 4,2721 4,2393 4,2006 4,1854 4,2174 4,3024 4,4255 4,5601 4,6808 4,7771 4,8586 4,9423 5,0253 5,0734 5,0444 4,9270 4,7466 4,5363 4,3084 4,0497 3,7392 3,3653 2,9300 2,4512 1,9601 1,4862 1,0530 0,6924 0,4457 0,3360 0,3437 0,4161 0,4993 0,5659 0,6232 0,6990 0,8091 0,9417 1,0838 1,2516 1,4782 1,7902 2,2042 2,7229 3,3215 3,9533 4,5660 5,1116 5,5554 5,8880 6,1277 6,3083 6,4591 6,5952 6,7256 6,8655 7,0312 7,2261 7,4370 7,6428 7,8154 7,9194 7,9178 7,7829 7,5093 7,1245 6,6859 6,2523 5,8523 5,4811 5,1238 4,7761 4,4478 4,1567 3,9138 3,7086 3,5112 3,2971 3,0685 2,8547 2,6971 2,6237 2,6278 2,6716 2,7097 2,7060 2,6306 2,4600 2,1942 1,8671 1,5326 1,2394 1,0097 0,8303 0,6618 0,4702 0,2570 0,0546 -0,1033 -0,1949 -0,2053 -0,1308 0,0105 0,1912 0,4042 0,6636 0,9740 1,3066 1,6090 1,8332 1,9536 1,9669 1,8867 1,7347 1,5342 1,3109 1,0900 0,8903 0,7270 0,6064 0,5133 0,4121 0,2683 0,0777 -0,1245 -0,2948 -0,4173 -0,5014 -0,5559 -0,5757 -0,5411 -0,4199 -0,1859 0,1537 0,5583 0,9909 1,4489 1,9550 2,5296 3,1814 3,9101 4,6942 5,4813 6,2086 6,8317 7,3379 7,7469 8,0965 8,4155 8,7114 8,9784 9,2085 9,3949 9,5277 9,5977 9,6095 9,5840 9,5377 9,4639 9,3329 9,1120 8,7915 8,3958 7,9708 7,5573 7,1715 6,8046 6,4376 6,0504 5,6286 5,1714 4,6854 4,1698 3,6141 3,0139 2,3847 1,7609 1,1878 0,7078 0,3474 0,1132 -0,0009 -0,0068 0,0804 0,2387 0,4354 0,6388 0,8415 1,0651 1,3295 1,6233 1,9172 2,1994 2,4905 2,8262 3,2289 3,6875 4,1553 4,5665 4,8666 5,0393 5,1125 5,1356 5,1461 5,1452 5,0945 4,9389 4,6418 4,2054 3,6704 3,1011 2,5526 2,0455 1,5725 1,1256 0,7091 0,3296 -0,0147 -0,3298 -0,6188 -0,8784 -1,0979 -1,2633 -1,3671 -1,4060 -1,3726 -1,2605 -1,0711 -0,8137 -0,5024 -0,1552 0,2051 0,5549 0,8792 1,1743 1,4454 1,7059
Fz    1,3419 1,2612 1,0598 0,7336 0,3099 -0,1606 -0,6255 -1,0489 -1,4164 -1,7227 -1,9564 -2,0929 -2,1052 -1,9800 -1,7207 -1,3436 -0,8850 -0,4115 -0,0077 0,2639 0,4000 0,4526 0,4840 0,5253 0,5736 0,6106 0,6169 0,5734 0,4600 0,2632 -0,0092 -0,3214 -0,6143 -0,8183 -0,8755 -0,7620 -0,4985 -0,1448 0,2200 0,5279 0,7506 0,8989 0,9983 1,0700 1,1300 1,1868 1,2354 1,2546 1,2165 1,1023 0,9145 0,6770 0,4251 0,1976 0,0307 -0,0527 -0,0490 0,0250 0,1292 0,2025 0,1818 0,0337 -0,2282 -0,5607 -0,9252 -1,3045 -1,6891 -2,0596 -2,3903 -2,6633 -2,8709 -3,0139 -3,1072 -3,1766 -3,2389 -3,2883 -3,3123 -3,3231 -3,3650 -3,4841 -3,6934 -3,9681 -4,2624 -4,5302 -4,7420 -4,8904 -4,9763 -4,9944 -4,9335 -4,7850 -4,5431 -4,1994 -3,7489 -3,2089 -2,6302 -2,0830 -1,6279 -1,2979 -1,0970 -1,0052 -0,9882 -1,0123 -1,0567 -1,1145 -1,1911 -1,3050 -1,4832 -1,7450 -2,0909 -2,5018 -2,9400 -3,3530 -3,6860 -3,8954 -3,9583 -3,8846 -3,7151 -3,4933 -3,2365 -2,9397 -2,5974 -2,2092 -1,7755 -1,2975 -0,7775 -0,2133 0,4036 1,0752 1,7804 2,4717 3,0910 3,6006 4,0039 4,3429 4,6759 5,0485 5,4735 5,9352 6,4117 6,8933 7,3880 7,9149 8,4915 9,1256 9,8248 10,6116 11,5163 12,5493 13,6842 14,8617 15,9988 16,9997 17,7816 18,3037 18,5716 18,6152 18,4644 18,1374 17,6366 16,9585 16,1150 15,1428 14,0910 13,0097 11,9453 10,9374 10,0156 9,1990 8,4917 7,8773 7,3206 6,7810 6,2310 5,6645 5,0899 4,5252 3,9962 3,5268 3,1279 2,7986 2,5359 2,3486 2,2638 2,3106 2,4907 2,7679 3,0852 3,3936 3,6700 3,9252 4,2064 4,5765 5,0711 5,6807 6,3680 7,0805 7,7490 8,3087 8,7325 9,0425 9,2920 9,5281 9,7620 9,9708 10,1198 10,1768 10,1185 9,9407 9,6650 9,3309 8,9852 8,6734 8,4271 8,2611 8,1855 8,2140 8,3512 8,5807 8,8718 9,1927 9,5110 9,7917 10,0002 10,1064 10,0815 9,9036 9,5786 9,1494 8,6668 8,1534 7,6066 7,0314 6,4534 5,9063 5,4227 5,0298 4,7357 4,5211 4,3537 4,2103 4,0878 3,9932 3,9226 3,8544 3,7684 3,6598 3,5295 3,3735 3,1972 3,0320 2,9257 2,9156 3,0210 3,2550 3,6259 4,1271 4,7347 5,4137 6,1242 6,8296 7,5019 8,1162 8,6476 9,0774 9,4038 9,6417 9,8064 9,9026 9,9305 9,8993 9,8339 9,7685 9,7361 9,7697 9,9024 10,1503 10,4955 10,8940 11,3020 11,6860 12,0184 12,2766 12,4457 12,5180 12,5007 12,4225 12,3213 12,2216 12,1245 12,0126 11,8596 11,6375 11,3238 10,9105 10,4093 9,8427 9,2305 8,5828 7,9035 7,1973 6,4734 5,7489 5,0560 4,4371 3,9254 3,5285 3,2277 2,9957 2,8177 2,6970 2,6429 2,6642 2,7746 2,9899 3,3133 3,7316 4,2281 4,7863 5,3860 6,0039 6,6214 7,2301 7,8289 8,4176 8,9897 9,5345 10,0424 10,5083 10,9321 11,3205 11,6854 12,0382 12,3861 12,7321 13,0701 13,3767 13,6153 13,7541 13,7801 13,6983 13,5289 13,3036 13,0509 12,7795 12,4798 12,1437 11,7760 11,3824 10,9491 10,4434 9,8385 9,1448 8,4173 7,7267 7,1171 6,5897 6,1206 5,6880 5,2846 4,9145 4,5896 4,3217 4,1104 3,9455 3,8229 3,7535 3,7615 3,8757 4,1108 4,4559 4,8784 5,3376 5,8000 6,2490 6,6731 7,0411 7,2961 7,3864 7,3059 7,0980 6,8220 6,5201 6,2060 5,8744 5,5149 5,1228 4,7065 4,2850 3,8705 3,4627 3,0712 2,7309 2,4836 2,3459 2,3031 2,3292 2,4042 2,5208 2,6827 2,8910 3,1336 3,4018 3,7083 4,0791 4,5341 5,0786 5,6996 6,3594 7,0043 7,5823 8,0558 8,4072 8,6415 8,7804 8,8478 8,8613 8,8408 8,8247 8,8659 9,0031 9,2373 9,5374 9,8637 10,1855 10,4776 10,7077 10,8316 10,8089 10,6300 10,3264 9,9526 9,5546 9,1487 8,7270 8,2807 7,8174 7,3635 6,9561 6,6236 6,3697 6,1762 6,0203 5,8902 5,7874 5,7104 5,6346 5,5177 5,3215 5,0186 4,5834 3,9972 3,2739 2,4689 1,6610 0,9222 0,2936 -0,2240 -0,6603 -1,0490 -1,4021 -1,7081 -1,9461 -2,0946 -2,1333 -2,0562 -1,8819 -1,6372 -1,3315 -0,9595 -0,5263 -0,0614 0,3928 0,8013 1,1442 1,4131 1,6084 1,7336 1,7919 1,7924 1,7514 1,6872 1,6185 1,5606 1,5192 1,4912 1,4724 1,4660 1,4825 1,5182 1,5404 1,5111 1,4248 1,3197 1,2613 1,3125 1,5080 1,8412 2,2754 2,7769 3,3388 3,9715 4,6773 5,4433 6,2503 7,0727 7,8741 8,6197 9,2936 9,9009 10,4594 10,9845 11,4752 11,9165 12,2984 12,6289 12,9264 13,1947 13,4146 13,5649 13,6430 13,6577 13,6101 13,4870 13,2703 12,9538 12,5549 12,1077 11,6441 11,1791 10,7074 10,2056 9,6372 8,9668 8,1755 7,2661 6,2566 5,1722 4,0446 2,9144 1,8326 0,8624 0,0696 -0,4972 -0,8207 -0,9136 -0,8078 -0,5428 -0,1588 0,3059 0,8187 1,3608 1,9282 2,5164 3,1098 3,6944 4,2781 4,8920 5,5760 6,3565 7,2200 8,1027 8,9129 9,5717 10,0416 10,3310 10,4731 10,4986 10,4152 10,2026 9,8290 9,2784 8,5682 7,7476 6,8823 6,0322 5,2365 4,5142 3,8713 3,3019 2,7859 2,2935 1,7997 1,2934 0,7795 0,2794 -0,1745 -0,5508 -0,8271 -0,9891 -1,0326 -0,9634 -0,7898 -0,5178 -0,1571 0,2702 0,7345 1,2116 1,6910 2,1749 2,6749
F3    1,1810 0,9938 0,7359 0,4222 0,0788 -0,2667 -0,5957 -0,8995 -1,1706 -1,3930 -1,5386 -1,5732 -1,4738 -1,2449 -0,9135 -0,5095 -0,0645 0,3675 0,7104 0,9058 0,9569 0,9249 0,8815 0,8644 0,8742 0,8987 0,9231 0,9205 0,8455 0,6536 0,3341 -0,0704 -0,4733 -0,7754 -0,9086 -0,8643 -0,6881 -0,4560 -0,2474 -0,1163 -0,0658 -0,0543 -0,0334 0,0222 0,1143 0,2304 0,3483 0,4343 0,4427 0,3319 0,0910 -0,2511 -0,6414 -1,0162 -1,3136 -1,4907 -1,5349 -1,4579 -1,2911 -1,0904 -0,9277 -0,8580 -0,8960 -1,0309 -1,2580 -1,5840 -2,0014 -2,4713 -2,9406 -3,3695 -3,7386 -4,0427 -4,2846 -4,4685 -4,5901 -4,6370 -4,6054 -4,5195 -4,4319 -4,3925 -4,4175 -4,4882 -4,5685 -4,6219 -4,6271 -4,5835 -4,4988 -4,3742 -4,2066 -3,9985 -3,7462 -3,4241 -3,0011 -2,4810 -1,9257 -1,4360 -1,1046 -0,9708 -1,0068 -1,1398 -1,2934 -1,4195 -1,5054 -1,5631 -1,6132 -1,6804 -1,7959 -1,9879 -2,2675 -2,6286 -3,0551 -3,5167 -3,9621 -4,3296 -4,5737 -4,6930 -4,7264 -4,7100 -4,6420 -4,4928 -4,2384 -3,8714 -3,3962 -2,8267 -2,1795 -1,4585 -0,6542 0,2313 1,1574 2,0487 2,8304 3,4661 3,9671 4,3758 4,7407 5,0981 5,4623 5,8287 6,1887 6,5479 6,9337 7,3829 7,9190 8,5461 9,2667 10,0980 11,0641 12,1747 13,4125 14,7263 16,0262 17,1956 18,1297 18,7728 19,1203 19,1931 19,0183 18,6194 18,0103 17,2065 16,2474 15,1963 14,1150 13,0476 12,0214 11,0537 10,1628 9,3748 8,7127 8,1749 7,7260 7,3073 6,8641 6,3661 5,8106 5,2175 4,6242 4,0703 3,5818 3,1694 2,8338 2,5758 2,4133 2,3797 2,4960 2,7439 3,0637 3,3779 3,6200 3,7639 3,8443 3,9392 4,1180 4,4084 4,8007 5,2551 5,7103 6,1105 6,4337 6,6981 6,9496 7,2330 7,5587 7,8954 8,1900 8,3873 8,4442 8,3491 8,1305 7,8426 7,5422 7,2728 7,0532 6,8814 6,7626 6,7292 6,8195 7,0418 7,3670 7,7415 8,1012 8,3883 8,5700 8,6355 8,5767 8,3821 8,0613 7,6622 7,2417 6,8204 6,3808 5,9101 5,4267 4,9670 4,5646 4,2395 3,9838 3,7626 3,5423 3,3156 3,1021 2,9346 2,8295 2,7694 2,7198 2,6571 2,5656 2,4265 2,2326 2,0152 1,8367 1,7507 1,7808 1,9359 2,2225 2,6368 3,1565 3,7398 4,3347 4,9054 5,4454 5,9604 6,4484 6,8969 7,2897 7,6122 7,8476 7,9761 7,9874 7,8917 7,7193 7,5100 7,3019 7,1376 7,0719 7,1531 7,3892 7,7417 8,1575 8,5959 9,0262 9,4181 9,7397 9,9601 10,0596 10,0406 9,9227 9,7310 9,4949 9,2486 9,0187 8,8038 8,5754 8,3040 7,9767 7,5884 7,1270 6,5735 5,9184 5,1838 4,4250 3,7136 3,1247 2,7251 2,5473 2,5672 2,7153 2,9163 3,1266 3,3397 3,5673 3,8236 4,1251 4,4865 4,9053 5,3590 5,8173 6,2517 6,6358 6,9493 7,1863 7,3598 7,4973 7,6310 7,7906 8,0014 8,2791 8,6210 9,0061 9,4056 9,7922 10,1438 10,4484 10,7107 10,9441 11,1483 11,2999 11,3721 11,3557 11,2573 11,0919 10,8778 10,6255 10,3230 9,9457 9,4869 8,9730 8,4432 7,9167 7,3800 6,8078 6,1992 5,5955 5,0595 4,6359 4,3300 4,1178 3,9698 3,8634 3,7819 3,7141 3,6531 3,5877 3,5050 3,4078 3,3208 3,2862 3,3525 3,5518 3,8830 4,3143 4,7988 5,2918 5,7633 6,1894 6,5317 6,7345 6,7586 6,6201 6,3861 6,1275 5,8776 5,6263 5,3424 5,0031 4,6073 4,1719 3,7165 3,2480 2,7690 2,3092 1,9333 1,7030 1,6336 1,6881 1,8068 1,9379 2,0562 2,1641 2,2721 2,3812 2,5022 2,6779 2,9589 3,3726 3,9197 4,5744 5,2803 5,9683 6,5846 7,0996 7,5005 7,7882 7,9755 8,0768 8,0982 8,0450 7,9452 7,8545 7,8302 7,8982 8,0490 8,2604 8,5107 8,7684 8,9821 9,0889 9,0367 8,8154 8,4677 8,0563 7,6168 7,1479 6,6391 6,0983 5,5589 5,0717 4,6842 4,4176 4,2599 4,1798 4,1452 4,1385 4,1621 4,2246 4,3151 4,3975 4,4303 4,3771 4,1990 3,8599 3,3518 2,7113 2,0064 1,3048 0,6475 0,0414 -0,5264 -1,0579 -1,5232 -1,8746 -2,0754 -2,1103 -1,9806 -1,7035 -1,3136 -0,8451 -0,3127 0,2777 0,9038 1,5231 2,0897 2,5721 2,9500 3,2033 3,3162 3,2860 3,1263 2,8686 2,5542 2,2214 1,9035 1,6263 1,3992 1,2142 1,0570 0,9235 0,8260 0,7694 0,7277 0,6621 0,5596 0,4473 0,3806 0,4205 0,6067 0,9314 1,3434 1,7902 2,2566 2,7580 3,3055 3,8917 4,5013 5,1166 5,7123 6,2625 6,7523 7,1805 7,5589 7,9053 8,2305 8,5327 8,8055 9,0475 9,2603 9,4366 9,5637 9,6484 9,7219 9,8099 9,9021 9,9521 9,9071 9,7453 9,4944 9,2107 8,9392 8,6917 8,4519 8,1886 7,8643 7,4488 6,9326 6,3212 5,6167 4,8149 3,9234 2,9780 2,0413 1,1903 0,4996 0,0211 -0,2318 -0,2821 -0,1737 0,0464 0,3349 0,6477 0,9442 1,2034 1,4301 1,6339 1,8110 1,9612 2,1139 2,3255 2,6546 3,1349 3,7516 4,4354 5,0876 5,6211 5,9906 6,2000 6,2818 6,2632 6,1415 5,8872 5,4684 4,8808 4,1600 3,3761 2,6145 1,9471 1,4130 1,0196 0,7537 0,5812 0,4422 0,2609 -0,0237 -0,4316 -0,9371 -1,4775 -1,9737 -2,3570 -2,5839 -2,6368 -2,5231 -2,2684 -1,9050 -1,4633 -0,9755 -0,4839 -0,0343 0,3446 0,6517 0,9075 1,1483
F7    -0,4688 -0,6043 -0,8075 -1,0807 -1,3863 -1,6663 -1,8795 -2,0257 -2,1271 -2,1829 -2,1497 -1,9760 -1,6518 -1,2307 -0,8087 -0,4714 -0,2621 -0,1952 -0,2778 -0,5001 -0,8075 -1,1015 -1,2832 -1,2982 -1,1410 -0,8333 -0,4170 0,0359 0,4321 0,6931 0,7849 0,7261 0,5866 0,4745 0,4854 0,6489 0,9254 1,2459 1,5479 1,7893 1,9504 2,0309 2,0461 2,0250 2,0067 2,0222 2,0739 2,1225 2,0887 1,8917 1,5117 1,0044 0,4571 -0,0534 -0,4775 -0,7977 -1,0194 -1,1512 -1,2008 -1,1994 -1,2114 -1,3004 -1,4875 -1,7578 -2,1090 -2,5708 -3,1536 -3,7978 -4,4069 -4,9264 -5,3660 -5,7576 -6,1190 -6,4464 -6,7200 -6,9144 -7,0066 -6,9921 -6,8925 -6,7295 -6,5006 -6,1906 -5,7859 -5,2767 -4,6685 -3,9923 -3,2777 -2,5258 -1,7291 -0,9015 -0,0612 0,8012 1,7013 2,6067 3,4169 3,9955 4,2352 4,1205 3,7426 3,2460 2,7472 2,2894 1,8516 1,3878 0,8682 0,2904 -0,3412 -1,0244 -1,7420 -2,4683 -3,1840 -3,8593 -4,4335 -4,8373 -5,0382 -5,0693 -5,0108 -4,9307 -4,8440 -4,7303 -4,5726 -4,3643 -4,0929 -3,7386 -3,2893 -2,7364 -2,0622 -1,2562 -0,3570 0,5413 1,3464 2,0313 2,6391 3,2433 3,9069 4,6545 5,4572 6,2333 6,8816 7,3504 7,6865 8,0003 8,3708 8,7976 9,2437 9,6971 10,1778 10,7121 11,3224 12,0190 12,7730 13,5023 14,1146 14,5633 14,8412 14,9421 14,8599 14,5973 14,1515 13,5144 12,7042 11,7843 10,8462 9,9753 9,2246 8,6112 8,1289 7,7667 7,5138 7,3463 7,2145 7,0570 6,8355 6,5452 6,1907 5,7695 5,2847 4,7586 4,2279 3,7324 3,3034 2,9641 2,7415 2,6615 2,7255 2,8999 3,1211 3,3097 3,3875 3,3118 3,1159 2,9011 2,7712 2,7814 2,9328 3,1802 3,4498 3,6845 3,8767 4,0606 4,2809 4,5623 4,8997 5,2661 5,6209 5,9094 6,0732 6,0760 5,9221 5,6580 5,3576 5,0845 4,8504 4,6212 4,3822 4,1903 4,1418 4,2988 4,6629 5,1956 5,8326 6,4920 7,0922 7,5649 7,8487 7,8880 7,6727 7,2792 6,8341 6,4164 6,0158 5,5941 5,1483 4,7001 4,2609 3,8244 3,3668 2,8612 2,3081 1,7410 1,2128 0,7876 0,5173 0,4123 0,4514 0,6031 0,8125 0,9904 1,0516 0,9692 0,7812 0,5478 0,3185 0,1380 0,0600 0,1255 0,3235 0,5853 0,8351 1,0658 1,3560 1,7980 2,4105 3,1215 3,8271 4,4528 4,9554 5,3069 5,5028 5,5677 5,5386 5,4411 5,2814 5,0716 4,8581 4,7040 4,6399 4,6499 4,7082 4,8095 4,9593 5,1563 5,3815 5,5892 5,7162 5,7104 5,5509 5,2507 4,8598 4,4715 4,1874 4,0441 3,9842 3,9114 3,7554 3,4933 3,1367 2,7088 2,2375 1,7693 1,3643 1,0718 0,9303 0,9796 1,2381 1,6684 2,1814 2,6823 3,1188 3,4899 3,8113 4,0961 4,3664 4,6470 4,9412 5,2387 5,5381 5,8434 6,1500 6,4466 6,7214 6,9577 7,1348 7,2403 7,2716 7,2290 7,1158 6,9451 6,7371 6,5109 6,2804 6,0474 5,8056 5,5652 5,3570 5,1950 5,0552 4,9047 4,7363 4,5701 4,4387 4,3674 4,3443 4,3010 4,1418 3,8196 3,3826 2,9438 2,5986 2,3601 2,1623 1,9260 1,6258 1,3064 1,0413 0,8876 0,8840 1,0643 1,4395 1,9697 2,5730 3,1579 3,6441 3,9820 4,1723 4,2562 4,2825 4,2879 4,2908 4,2955 4,3087 4,3429 4,3995 4,4666 4,5305 4,5648 4,5137 4,3182 3,9749 3,5545 3,1550 2,8378 2,5958 2,3718 2,1003 1,7362 1,2709 0,7316 0,1574 -0,4069 -0,8881 -1,1933 -1,2695 -1,1515 -0,9425 -0,7497 -0,6250 -0,5446 -0,4452 -0,2976 -0,1438 -0,0384 0,0212 0,0870 0,2276 0,5164 1,0021 1,6703 2,4494 3,2424 3,9467 4,4723 4,7729 4,8752 4,8725 4,8732 4,9458 5,1088 5,3555 5,6617 5,9706 6,1998 6,2783 6,1754 5,9030 5,5037 5,0300 4,5250 4,0294 3,5902 3,2317 2,9261 2,6212 2,2986 1,9887 1,7382 1,5797 1,5134 1,4934 1,4450 1,3109 1,0854 0,8173 0,5906 0,4825 0,5126 0,6314 0,7659 0,8680 0,9177 0,9099 0,8652 0,8340 0,8706 0,9928 1,1588 1,2817 1,2790 1,1294 0,8889 0,6438 0,4537 0,3437 0,3300 0,4246 0,6123 0,8538 1,1228 1,4183 1,7282 2,0020 2,1727 2,1957 2,0598 1,7817 1,4028 0,9756 0,5456 0,1480 -0,1978 -0,4902 -0,7231 -0,8841 -0,9876 -1,0877 -1,2431 -1,4631 -1,6855 -1,8245 -1,8426 -1,7668 -1,6486 -1,5307 -1,4303 -1,3273 -1,1710 -0,9216 -0,5868 -0,2046 0,1952 0,6039 1,0176 1,4316 1,8518 2,2892 2,7369 3,1672 3,5490 3,8621 4,1091 4,3140 4,5026 4,6829 4,8375 4,9274 4,9046 4,7339 4,4244 4,0607 3,7785 3,6804 3,7645 3,9277 4,0323 3,9916 3,8109 3,5587 3,3078 3,1039 2,9749 2,9441 3,0149 3,1550 3,3178 3,4674 3,5645 3,5499 3,3650 2,9896 2,4605 1,8618 1,2938 0,8347 0,5132 0,3062 0,1648 0,0483 -0,0655 -0,1925 -0,3518 -0,5422 -0,7235 -0,8513 -0,9244 -0,9689 -0,9890 -0,9572 -0,8392 -0,6194 -0,3166 0,0137 0,2926 0,4525 0,4774 0,4151 0,3472 0,3411 0,4100 0,5010 0,5278 0,4316 0,2126 -0,0818 -0,3892 -0,6740 -0,9454 -1,2247 -1,5057 -1,7596 -1,9647 -2,1193 -2,2382 -2,3473 -2,4690 -2,5988 -2,7056 -2,7570 -2,7298 -2,6072 -2,3941 -2,1256 -1,8496 -1,6019 -1,3991 -1,2462 -1,1290 -1,0085 -0,8445 -0,6183 -0,3280
