Fp1   -0,7322 -0,8806 -0,9798 -1,0023 -0,9517 -0,8483 -0,7070 -0,5391 -0,3655 -0,2162 -0,1176 -0,0811 -0,1004 -0,1518 -0,2038 -0,2277 -0,2074 -0,1451 -0,0556 0,0509 0,1755 0,3184 0,4837 0,6913 0,9518 1,2297 1,4521 1,5512 1,5009 1,3240 1,0706 0,7860 0,4962 0,2145 -0,0515 -0,3015 -0,5345 -0,7291 -0,8478 -0,8622 -0,7704 -0,5987 -0,3912 -0,1884 -0,0107 0,1433 0,2787 0,3768 0,3948 0,3091 0,1488 -0,0224 -0,1454 -0,1919 -0,1675 -0,0973 -0,0059 0,0892 0,1663 0,1984 0,1747 0,1161 0,0590 0,0290 0,0310 0,0523 0,0688 0,0565 0,0002 -0,1114 -0,2844 -0,5061 -0,7423 -0,9527 -1,1000 -1,1580 -1,1293 -1,0477 -0,9556 -0,8831 -0,8345 -0,7846 -0,7018 -0,5805 -0,4404 -0,3028 -0,1698 -0,0175 0,1828 0,4225 0,6447 0,7825 0,8032 0,7182 0,5602 0,3533 0,1108 -0,1525 -0,4215 -0,6919 -0,9745 -1,2938 -1,6764 -2,1222 -2,5931 -3,0404 -3,4407 -3,8072 -4,1733 -4,5720 -5,0303 -5,5675 -6,1830 -6,8453 -7,4905 -8,0294 -8,3776 -8,4983 -8,4183 -8,2085 -7,9532 -7,7177 -7,5266 -7,3731 -7,2432 -7,1267 -7,0179 -6,9190 -6,8396 -6,7869 -6,7586 -6,7422 -6,7174 -6,6652 -6,5792 -6,4672 -6,3442 -6,2252 -6,1120 -5,9778 -5,7765 -5,4753 -5,0774 -4,6113 -4,0965 -3,5298 -2,9151 -2,2918 -1,7175 -1,2289 -0,8309 -0,5114 -0,2454 0,0039 0,2640 0,5320 0,7863 1,0107 1,1972 1,3426 1,4621 1,5957 1,7769 2,0012 2,2366 2,4500 2,6180 2,7278 2,7777 2,7844 2,7825 2,7976 2,8202 2,8239 2,8055 2,7824 2,7609 2,7353 2,7093 2,6993 2,7219 2,7833 2,8748 2,9817 3,0999 3,2295 3,3437 3,3796 3,2778 3,0398 2,7431 2,4907 2,3384 2,2719 2,2438 2,2285 2,2449 2,3325 2,5178 2,7948 3,1150 3,3910 3,5360 3,5167 3,3639 3,1336 2,8813 2,6660 2,5442 2,5521 2,6964 2,9509 3,2587 3,5514 3,7738 3,8990 3,9318 3,9021 3,8442 3,7807 3,7263 3,6965 3,6968 3,7089 3,7012 3,6497 3,5444 3,3853 3,1819 2,9546 2,7355 2,5595 2,4479 2,3995 2,4048 2,4547 2,5283 2,5891 2,6136 2,6165 2,6367 2,7046 2,8214 2,9603 3,0808 3,1434 3,1199 3,0063 2,8249 2,6081 2,3815 2,1616 1,9533 1,7449 1,5194 1,2770 1,0427 0,8517 0,7355 0,7194 0,8199 1,0314 1,3147 1,6106 1,8624 2,0309 2,1042 2,0994 2,0516 1,9978 1,9570 1,9214 1,8759 1,8235 1,7831 1,7703 1,7877 1,8220 1,8507 1,8622 1,8637 1,8674 1,8741 1,8684 1,8298 1,7523 1,6544 1,5648 1,5003 1,4582 1,4244 1,3888 1,3594 1,3551 1,3862 1,4542 1,5616 1,7047 1,8603 1,9888 2,0491 2,0164 1,8959 1,7245 1,5505 1,4062 1,2994 1,2296 1,2035 1,2380 1,3491 1,5344 1,7685 2,0102 2,2106 2,3250 2,3310 2,2469 2,1307 2,0502 2,0526 2,1673 2,4229 2,8357 3,3799 3,9810 4,5427 4,9840 5,2619 5,3776 5,3677 5,2874 5,1935 5,1320 5,1210 5,1421 5,1549 5,1220 5,0240 4,8658 4,6719 4,4691 4,2695 4,0758 3,9024 3,7788 3,7275 3,7438 3,8009 3,8689 3,9252 3,9589 3,9759 3,9965 4,0378 4,0980 4,1629 4,2269 4,3028 4,4141 4,5756 4,7739 4,9677 5,1202 5,2298 5,3194 5,4034 5,4792 5,5433 5,6016 5,6682 5,7665 5,9297 6,1815 6,5056 6,8392 7,1053 7,2508 7,2648 7,1766 7,0396 6,9108 6,8305 6,8069 6,8113 6,7829 6,6500 6,3714 5,9661 5,4938 5,0093 4,5496 4,1598 3,9013 3,8230 3,9263 4,1583 4,4355 4,6820 4,8583 4,9566 4,9800 4,9400 4,8607 4,7720 4,6954 4,6459 4,6438 4,7077 4,8313 4,9774 5,0980 5,1634 5,1699 5,1233 5,0314 4,9134 4,8010 4,7234 4,6900 4,6870 4,6851 4,6508 4,5594 4,4107 4,2315 4,0591 3,9260 3,8514 3,8338 3,8513 3,8731 3,8729 3,8415 3,7889 3,7306 3,6713 3,6005 3,4993 3,3562 3,1762 2,9815 2,8095 2,7052 2,7006 2,7985 2,9721 3,1797 3,3813 3,5384 3,6010 3,5248 3,3143 3,0361 2,7785 2,5979 2,4969 2,4443 2,4008 2,3268 2,1862 1,9703 1,7175 1,4959 1,3596 1,3181 1,3422 1,3967 1,4671 1,5561 1,6643 1,7776 1,8733 1,9332 1,9484 1,9216 1,8750 1,8425 1,8427 1,8694 1,9145 1,9845 2,0890 2,2129 2,3088 2,3282 2,2572 2,1207 1,9560 1,7810 1,5852 1,3525 1,0931 0,8497 0,6656 0,5411 0,4317 0,2908 0,1021 -0,1289 -0,3902 -0,6609 -0,9152 -1,1385 -1,3299 -1,4920 -1,6259 -1,7329 -1,8188 -1,8912 -1,9533 -2,0015 -2,0171 -1,9535 -1,7535 -1,3922 -0,9086 -0,3921 0,0617 0,3904 0,5813 0,6709 0,7252 0,8048 0,9386 1,1202 1,3200 1,4960 1,5997 1,5871 1,4342 1,1526 0,7888 0,4045 0,0489 -0,2503 -0,4733 -0,5947 -0,5961 -0,4840 -0,2903 -0,0661 0,1254 0,2286 0,2312 0,1853 0,1735 0,2481 0,4113 0,6407 0,9180 1,2346 1,5778 1,9209 2,2308 2,4796 2,6463 2,7215 2,7187 2,6649 2,5713 2,4282 2,2353 2,0228 1,8332 1,6860 1,5722 1,4753 1,3877 1,3104 1,2462 1,2006 1,1857 1,2011 1,2058 1,1351 0,9588 0,7046 0,4216 0,1450 -0,1025 -0,3034 -0,4492 -0,5411 -0,5921 -0,6301 -0,6830 -0,7561 -0,8298 -0,8700 -0,8479 -0,7536 -0,5985 -0,4180 -0,2639 -0,1720 -0,1450 -0,1756 -0,2659 -0,4237
Fz    -0,2112 -0,3822 -0,5345 -0,6314 -0,6568 -0,6149 -0,5136 -0,3697 -0,2217 -0,1203 -0,0988 -0,1592 -0,2796 -0,4204 -0,5295 -0,5553 -0,4651 -0,2614 0,0166 0,3139 0,5814 0,7867 0,9291 1,0445 1,1711 1,3094 1,4236 1,4730 1,4353 1,3116 1,1177 0,8720 0,5893 0,2850 -0,0241 -0,3294 -0,6294 -0,9027 -1,0970 -1,1597 -1,0762 -0,8852 -0,6587 -0,4591 -0,3072 -0,1845 -0,0641 0,0445 0,0864 0,0117 -0,1680 -0,3828 -0,5497 -0,6141 -0,5662 -0,4304 -0,2488 -0,0724 0,0457 0,0661 -0,0131 -0,1506 -0,2894 -0,3912 -0,4484 -0,4702 -0,4645 -0,4356 -0,3992 -0,3927 -0,4539 -0,5869 -0,7559 -0,9073 -0,9937 -0,9935 -0,9260 -0,8401 -0,7797 -0,7602 -0,7631 -0,7476 -0,6800 -0,5550 -0,3899 -0,2100 -0,0336 0,1432 0,3347 0,5301 0,6859 0,7621 0,7535 0,6854 0,5884 0,4818 0,3742 0,2679 0,1586 0,0345 -0,1286 -0,3675 -0,7055 -1,1212 -1,5593 -1,9712 -2,3405 -2,6769 -3,0017 -3,3412 -3,7265 -4,1858 -4,7263 -5,3184 -5,8948 -6,3632 -6,6426 -6,7058 -6,5927 -6,3918 -6,2044 -6,0983 -6,0794 -6,1098 -6,1493 -6,1777 -6,1941 -6,2086 -6,2297 -6,2560 -6,2782 -6,2801 -6,2357 -6,1200 -5,9354 -5,7177 -5,5171 -5,3755 -5,3032 -5,2610 -5,1736 -4,9765 -4,6510 -4,2141 -3,6821 -3,0625 -2,3790 -1,6843 -1,0347 -0,4611 0,0340 0,4603 0,8325 1,1687 1,4786 1,7582 1,9999 2,2019 2,3676 2,5030 2,6270 2,7762 2,9822 3,2501 3,5592 3,8701 4,1348 4,3182 4,4133 4,4401 4,4321 4,4105 4,3656 4,2788 4,1592 4,0410 3,9465 3,8737 3,8147 3,7694 3,7412 3,7260 3,7127 3,6998 3,7062 3,7526 3,8243 3,8620 3,8027 3,6342 3,4083 3,1974 3,0440 2,9466 2,8813 2,8368 2,8327 2,9044 3,0741 3,3320 3,6302 3,8938 4,0561 4,0975 4,0474 3,9469 3,8297 3,7258 3,6590 3,6445 3,6950 3,8170 4,0017 4,2239 4,4430 4,6151 4,7155 4,7490 4,7341 4,6855 4,6149 4,5425 4,4912 4,4661 4,4525 4,4321 4,3923 4,3191 4,1958 4,0194 3,8153 3,6251 3,4770 3,3719 3,2984 3,2487 3,2181 3,1983 3,1794 3,1580 3,1409 3,1415 3,1680 3,2135 3,2604 3,2879 3,2738 3,2019 3,0758 2,9190 2,7594 2,6180 2,5050 2,4159 2,3360 2,2534 2,1616 2,0549 1,9383 1,8395 1,8037 1,8672 2,0349 2,2758 2,5307 2,7330 2,8404 2,8527 2,8057 2,7497 2,7159 2,6981 2,6732 2,6276 2,5626 2,4883 2,4208 2,3721 2,3400 2,3189 2,3169 2,3508 2,4228 2,5062 2,5577 2,5488 2,4792 2,3634 2,2163 2,0516 1,8827 1,7276 1,6166 1,5793 1,6217 1,7291 1,8849 2,0698 2,2428 2,3455 2,3360 2,2199 2,0515 1,9024 1,8262 1,8396 1,9296 2,0718 2,2433 2,4241 2,5960 2,7475 2,8819 3,0113 3,1358 3,2374 3,2942 3,2959 3,2480 3,1678 3,0832 3,0361 3,0775 3,2481 3,5609 3,9979 4,5090 5,0154 5,4335 5,7096 5,8397 5,8599 5,8212 5,7702 5,7355 5,7183 5,6952 5,6338 5,5096 5,3172 5,0731 4,8039 4,5333 4,2836 4,0853 3,9707 3,9555 4,0323 4,1779 4,3585 4,5281 4,6419 4,6860 4,6862 4,6776 4,6766 4,6837 4,6972 4,7209 4,7688 4,8588 4,9910 5,1370 5,2715 5,4079 5,5814 5,8029 6,0459 6,2734 6,4628 6,6105 6,7337 6,8675 7,0420 7,2545 7,4666 7,6253 7,6870 7,6359 7,4929 7,3061 7,1305 7,0033 6,9287 6,8805 6,8113 6,6629 6,3920 6,0002 5,5317 5,0411 4,5745 4,1822 3,9265 3,8544 3,9644 4,2027 4,4900 4,7601 4,9766 5,1191 5,1757 5,1590 5,1092 5,0692 5,0573 5,0662 5,0816 5,0980 5,1169 5,1383 5,1600 5,1816 5,1983 5,1935 5,1490 5,0627 4,9496 4,8252 4,6930 4,5516 4,4031 4,2491 4,0928 3,9551 3,8736 3,8788 3,9822 4,1738 4,4183 4,6627 4,8509 4,9344 4,8890 4,7305 4,5030 4,2502 3,9980 3,7512 3,5071 3,2744 3,0764 2,9407 2,8870 2,9176 3,0096 3,1220 3,2174 3,2812 3,3148 3,3088 3,2415 3,1126 2,9667 2,8661 2,8393 2,8573 2,8580 2,7898 2,6302 2,3803 2,0618 1,7257 1,4498 1,3115 1,3503 1,5502 1,8570 2,2115 2,5681 2,8893 3,1375 3,2805 3,3034 3,2105 3,0250 2,7956 2,5852 2,4439 2,3916 2,4211 2,5096 2,6305 2,7519 2,8344 2,8486 2,8021 2,7367 2,6886 2,6505 2,5771 2,4310 2,2233 2,0108 1,8505 1,7515 1,6712 1,5525 1,3582 1,0831 0,7551 0,4291 0,1613 -0,0237 -0,1415 -0,2287 -0,3161 -0,4132 -0,5099 -0,5908 -0,6440 -0,6569 -0,6038 -0,4389 -0,1162 0,3732 0,9787 1,6000 2,1252 2,4747 2,6311 2,6391 2,5764 2,5146 2,4982 2,5427 2,6442 2,7850 2,9281 3,0180 3,0024 2,8658 2,6402 2,3821 2,1438 1,9615 1,8575 1,8458 1,9275 2,0841 2,2785 2,4631 2,5839 2,5915 2,4725 2,2750 2,0877 1,9863 2,0013 2,1273 2,3524 2,6713 3,0670 3,4974 3,9103 4,2630 4,5227 4,6670 4,6976 4,6391 4,5137 4,3298 4,1005 3,8571 3,6324 3,4419 3,2900 3,1786 3,1049 3,0610 3,0394 3,0361 3,0482 3,0610 3,0367 2,9271 2,7041 2,3747 1,9720 1,5387 1,1187 0,7479 0,4447 0,2144 0,0602 -0,0226 -0,0532 -0,0543 -0,0369 0,0063 0,0902 0,2165 0,3655 0,5023 0,5923 0,6206 0,5917 0,5092 0,3684 0,1688
F3    0,3669 -0,1067 -0,5800 -0,9747 -1,2387 -1,3421 -1,2594 -0,9820 -0,5493 -0,0532 0,3900 0,6794 0,7607 0,6369 0,3595 0,0119 -0,3113 -0,5326 -0,6124 -0,5520 -0,3855 -0,1624 0,0882 0,3767 0,7141 1,0651 1,3570 1,5240 1,5405 1,4274 1,2315 0,9859 0,6911 0,3354 -0,0801 -0,5375 -0,9972 -1,3863 -1,6202 -1,6450 -1,4574 -1,0987 -0,6423 -0,1717 0,2503 0,5975 0,8638 1,0277 1,0541 0,9433 0,7551 0,5703 0,4400 0,3720 0,3464 0,3429 0,3577 0,3869 0,3948 0,3271 0,1780 0,0227 -0,0383 0,0458 0,2527 0,5074 0,7156 0,8064 0,7592 0,5858 0,3045 -0,0555 -0,4420 -0,7900 -1,0425 -1,1698 -1,1881 -1,1525 -1,1207 -1,1190 -1,1240 -1,0720 -0,9104 -0,6498 -0,3558 -0,0919 0,1274 0,3382 0,5839 0,8588 1,0979 1,2256 1,2077 1,0647 0,8409 0,5691 0,2693 -0,0320 -0,3085 -0,5554 -0,7958 -1,0704 -1,4114 -1,8056 -2,1962 -2,5353 -2,8291 -3,1290 -3,4854 -3,9170 -4,4189 -4,9846 -5,6057 -6,2590 -6,8931 -7,4166 -7,7244 -7,7569 -7,5290 -7,1141 -6,6187 -6,1510 -5,7817 -5,5309 -5,3892 -5,3397 -5,3651 -5,4514 -5,5890 -5,7649 -5,9521 -6,1091 -6,1921 -6,1751 -6,0636 -5,8913 -5,7062 -5,5579 -5,4727 -5,4216 -5,3244 -5,1043 -4,7377 -4,2490 -3,6627 -2,9849 -2,2420 -1,5139 -0,8983 -0,4428 -0,1280 0,0941 0,2752 0,4711 0,7173 0,9993 1,2721 1,5083 1,7085 1,8825 2,0465 2,2289 2,4497 2,6962 2,9333 3,1303 3,2695 3,3400 3,3411 3,3011 3,2750 3,2995 3,3508 3,3711 3,3300 3,2385 3,1162 2,9809 2,8643 2,8153 2,8829 3,0912 3,4199 3,8153 4,2245 4,6046 4,8935 5,0019 4,8606 4,4877 4,0030 3,5557 3,2273 3,0040 2,8346 2,7062 2,6651 2,7730 3,0543 3,4777 3,9545 4,3515 4,5437 4,4857 4,2258 3,8525 3,4526 3,1105 2,9019 2,8721 3,0277 3,3340 3,7202 4,1104 4,4546 4,7272 4,9153 5,0197 5,0492 5,0044 4,8839 4,7039 4,4940 4,2802 4,0833 3,9172 3,7798 3,6542 3,5235 3,3803 3,2320 3,1043 3,0278 3,0164 3,0625 3,1411 3,2100 3,2299 3,2124 3,2347 3,3857 3,7006 4,1424 4,6244 5,0460 5,3195 5,3827 5,2114 4,8292 4,3072 3,7475 3,2481 2,8611 2,5701 2,3133 2,0366 1,7296 1,4253 1,1855 1,0850 1,1884 1,5136 2,0119 2,5848 3,1218 3,5345 3,7803 3,8610 3,8089 3,6744 3,5071 3,3353 3,1712 3,0303 2,9271 2,8589 2,8108 2,7715 2,7452 2,7579 2,8452 3,0242 3,2645 3,4811 3,5695 3,4768 3,2450 2,9790 2,7665 2,6260 2,5175 2,3905 2,2285 2,0531 1,8997 1,8074 1,8171 1,9501 2,1834 2,4476 2,6476 2,6991 2,5700 2,3066 2,0154 1,8077 1,7512 1,8568 2,0923 2,4056 2,7413 3,0431 3,2669 3,4002 3,4557 3,4440 3,3665 3,2410 3,1181 3,0556 3,0859 3,2235 3,4877 3,8952 4,4301 5,0307 5,6072 6,0729 6,3753 6,5067 6,4990 6,4116 6,3162 6,2646 6,2540 6,2319 6,1458 5,9842 5,7733 5,5477 5,3300 5,1241 4,9177 4,6985 4,4787 4,2988 4,2003 4,1921 4,2521 4,3519 4,4694 4,5843 4,6779 4,7424 4,7769 4,7724 4,7218 4,6456 4,5954 4,6268 4,7664 4,9854 5,1993 5,3165 5,3018 5,1908 5,0479 4,9266 4,8607 4,8726 4,9770 5,1822 5,4922 5,9014 6,3713 6,8250 7,1807 7,3840 7,4190 7,3167 7,1511 7,0083 6,9484 6,9846 7,0784 7,1420 7,0650 6,7774 6,2985 5,7086 5,0764 4,4453 3,8847 3,5089 3,4166 3,6159 4,0088 4,4416 4,7837 4,9820 5,0478 5,0100 4,8986 4,7548 4,6261 4,5448 4,5266 4,5918 4,7637 5,0369 5,3577 5,6412 5,8106 5,8269 5,6930 5,4449 5,1460 4,8782 4,7091 4,6543 4,6736 4,7065 4,7012 4,6228 4,4652 4,2691 4,1072 4,0389 4,0734 4,1673 4,2521 4,2708 4,2066 4,0943 4,0010 3,9805 4,0343 4,1050 4,1035 3,9603 3,6692 3,2907 2,9200 2,6511 2,5455 2,6138 2,8143 3,0709 3,3069 3,4593 3,4665 3,2819 2,9231 2,4952 2,1470 1,9899 2,0389 2,2174 2,4014 2,4616 2,3055 1,9257 1,4161 0,9251 0,5775 0,4245 0,4497 0,6126 0,8791 1,2188 1,5941 1,9626 2,2854 2,5317 2,6803 2,7237 2,6743 2,5598 2,4065 2,2404 2,1072 2,0706 2,1714 2,3792 2,5920 2,6969 2,6408 2,4478 2,1834 1,9040 1,6284 1,3487 1,0696 0,8312 0,6866 0,6484 0,6769 0,7241 0,7619 0,7589 0,6665 0,4542 0,1400 -0,2208 -0,5632 -0,8396 -1,0324 -1,1490 -1,2139 -1,2599 -1,3165 -1,4014 -1,4962 -1,5163 -1,3371 -0,8813 -0,1910 0,5806 1,2503 1,6918 1,8773 1,8697 1,7736 1,6792 1,6378 1,6723 1,7863 1,9570 2,1248 2,2052 2,1244 1,8584 1,4453 0,9601 0,4800 0,0722 -0,1985 -0,2765 -0,1498 0,1368 0,5036 0,8630 1,1343 1,2566 1,2164 1,0691 0,9093 0,8142 0,8234 0,9538 1,2111 1,5895 2,0633 2,5798 3,0725 3,4803 3,7577 3,8849 3,8795 3,7823 3,6199 3,3893 3,0849 2,7285 2,3604 2,0076 1,6810 1,4050 1,2271 1,1912 1,3082 1,5531 1,8792 2,2151 2,4495 2,4678 2,2392 1,8448 1,4060 1,0090 0,6977 0,4876 0,3633 0,2837 0,1991 0,0685 -0,1153 -0,3153 -0,4697 -0,5176 -0,4250 -0,2013 0,1072 0,4257 0,6685 0,7793 0,7555 0,6268 0,4251 0,1677
F7    -1,3431 -0,8082 -0,2013 0,4210 0,9564 1,2975 1,3560 1,0858 0,5196 -0,2155 -0,9354 -1,4674 -1,6988 -1,5879 -1,1565 -0,4955 0,2309 0,8274 1,1632 1,2490 1,1961 1,0877 0,9172 0,6517 0,3103 -0,0298 -0,2798 -0,3923 -0,3790 -0,2844 -0,1529 -0,0086 0,1487 0,3263 0,5215 0,7207 0,8979 1,0091 1,0052 0,8604 0,5814 0,1947 -0,2561 -0,7059 -1,0814 -1,3254 -1,4103 -1,3375 -1,1351 -0,8476 -0,5225 -0,2096 0,0419 0,2011 0,2650 0,2518 0,2030 0,1994 0,3438 0,6803 1,1145 1,4334 1,4356 1,0774 0,5100 -0,0273 -0,3528 -0,4109 -0,2570 -0,0119 0,1990 0,3043 0,2923 0,1795 0,0043 -0,1748 -0,3165 -0,4277 -0,5511 -0,7422 -1,0418 -1,4357 -1,8379 -2,1289 -2,2142 -2,0604 -1,6982 -1,1935 -0,6091 0,0020 0,5742 1,0193 1,2594 1,2801 1,1340 0,8875 0,5918 0,2936 0,0274 -0,1961 -0,3703 -0,4972 -0,6362 -0,8937 -1,3199 -1,8364 -2,2856 -2,5568 -2,6701 -2,7582 -2,9786 -3,4237 -4,0775 -4,8407 -5,5989 -6,2765 -6,8397 -7,2805 -7,6176 -7,8939 -8,1491 -8,3843 -8,5546 -8,6017 -8,4924 -8,2258 -7,8202 -7,2966 -6,6766 -5,9989 -5,3314 -4,7676 -4,4028 -4,2832 -4,3631 -4,5236 -4,6276 -4,5686 -4,3011 -3,8599 -3,3525 -2,9057 -2,6077 -2,4876 -2,5122 -2,5949 -2,6333 -2,5493 -2,3061 -1,9175 -1,4554 -1,0170 -0,6606 -0,3841 -0,1645 0,0118 0,1576 0,2839 0,3792 0,4254 0,4525 0,5486 0,7919 1,1821 1,6430 2,0811 2,4468 2,7381 2,9547 3,0777 3,1072 3,0876 3,0792 3,1241 3,2364 3,3941 3,5398 3,6236 3,6399 3,5959 3,4720 3,2520 2,9722 2,7095 2,5334 2,4637 2,4618 2,4647 2,4298 2,3539 2,2680 2,2154 2,2319 2,3405 2,5396 2,7824 2,9764 3,0294 2,9238 2,7379 2,5758 2,4855 2,4526 2,4529 2,4921 2,5901 2,7467 2,9428 3,1659 3,4181 3,6965 3,9714 4,1791 4,2380 4,0855 3,7138 3,1819 2,6036 2,1257 1,8976 2,0231 2,5087 3,2420 4,0196 4,6197 4,8862 4,7662 4,3023 3,6065 2,8191 2,0751 1,4879 1,1223 0,9761 1,0131 1,2161 1,5679 1,9854 2,3252 2,4673 2,3803 2,1174 1,7537 1,3287 0,8561 0,3785 0,0013 -0,1357 0,0520 0,5174 1,1014 1,6271 1,9769 2,1137 2,0677 1,9181 1,7704 1,7063 1,7299 1,7749 1,7700 1,6811 1,4963 1,2201 0,8976 0,6068 0,4165 0,3682 0,4722 0,7014 1,0013 1,2971 1,4929 1,5116 1,3595 1,1391 0,9703 0,8867 0,8273 0,7237 0,5545 0,3298 0,0811 -0,1186 -0,1673 -0,0102 0,2941 0,6041 0,8083 0,9065 0,9871 1,1349 1,3657 1,6297 1,8511 1,9591 1,8976 1,6341 1,1959 0,7027 0,3332 0,2415 0,4927 1,0385 1,7197 2,2967 2,5429 2,3606 1,8313 1,1735 0,6491 0,4541 0,6265 1,0281 1,4290 1,6369 1,5771 1,2970 0,9265 0,6131 0,4638 0,5462 0,9227 1,6226 2,5603 3,5164 4,2371 4,5733 4,5351 4,2395 3,8290 3,4118 3,0476 2,7944 2,7380 2,9376 3,3443 3,7975 4,1162 4,2040 4,0883 3,8714 3,6576 3,5156 3,4745 3,5209 3,5908 3,5876 3,4328 3,1122 2,6878 2,2695 1,9591 1,8187 1,8779 2,1320 2,5187 2,9306 3,2686 3,4729 3,5198 3,4349 3,3153 3,3003 3,4843 3,8485 4,2829 4,6740 4,9535 5,0894 5,0831 4,9793 4,8565 4,7914 4,8125 4,8848 4,9482 4,9723 4,9735 4,9831 5,0140 5,0620 5,1260 5,2092 5,2969 5,3507 5,3313 5,2178 5,0105 4,7320 4,4314 4,1664 3,9625 3,7929 3,6083 3,3847 3,1459 2,9442 2,8218 2,7987 2,8867 3,0800 3,3264 3,5421 3,6598 3,6548 3,5461 3,3859 3,2172 3,0340 2,8047 2,5438 2,3585 2,4028 2,7642 3,3905 4,1166 4,7507 5,1681 5,3548 5,3604 5,2216 4,9609 4,6382 4,3390 4,0835 3,7914 3,3830 2,8976 2,4785 2,2530 2,2407 2,3557 2,4657 2,4516 2,2540 1,8925 1,4490 1,0405 0,7774 0,7018 0,7634 0,8830 1,0231 1,1930 1,4201 1,7237 2,1029 2,5426 3,0019 3,3949 3,6346 3,7032 3,6431 3,4745 3,1727 2,7418 2,2722 1,9064 1,7653 1,8968 2,2589 2,7439 3,2238 3,5868 3,7559 3,6868 3,3652 2,8123 2,0940 1,3233 0,6271 0,0955 -0,2346 -0,3735 -0,3629 -0,2344 0,0058 0,3237 0,6376 0,8770 1,0271 1,1098 1,1553 1,1946 1,2586 1,3702 1,5394 1,7675 2,0420 2,3104 2,4810 2,4629 2,2131 1,7577 1,1756 0,5589 -0,0207 -0,5128 -0,8766 -1,0860 -1,1449 -1,1030 -1,0486 -1,0542 -1,1183 -1,1755 -1,1661 -1,0868 -0,9729 -0,8458 -0,7037 -0,5638 -0,4917 -0,5648 -0,8052 -1,1552 -1,5118 -1,7721 -1,8621 -1,7498 -1,4388 -0,9511 -0,3238 0,3788 1,0663 1,6409 2,0242 2,1777 2,1058 1,8469 1,4592 1,0164 0,6108 0,3107 0,0948 -0,1277 -0,4124 -0,7141 -0,9190 -0,9316 -0,7413 -0,4246 -0,0901 0,1968 0,4535 0,7465 1,1069 1,4769 1,7441 1,8259 1,7101 1,4440 1,1103 0,8053 0,6199 0,6147 0,7922 1,0926 1,4210 1,6942 1,8867 2,0414 2,2366 2,5325 2,9309 3,3571 3,6646 3,6784 3,2722 2,4288 1,2640 0,0218 -0,9966 -1,5603 -1,5999 -1,2070 -0,5869 0,0004 0,3381 0,3471 0,0999 -0,2294 -0,4439 -0,4338 -0,2483 -0,0531 -0,0123 -0,1955 -0,5683 -1,0391 -1,4885 -1,7815 -1,8201 -1,5945 -1,1719 -0,6565 -0,1699 0,1728 0,3129
