Fp1   6,2313 6,0688 5,8141 5,5002 5,1401 4,7444 4,3424 3,9849 3,7350 3,6473 3,7402 3,9758 4,2690 4,5228 4,6745 4,7162 4,6680 4,5314 4,2730 3,8425 3,2003 2,3509 1,3701 0,3838 -0,4894 -1,1850 -1,7115 -2,1368 -2,5355 -2,9357 -3,3058 -3,5962 -3,8019 -3,9703 -4,1416 -4,3042 -4,4235 -4,4942 -4,5479 -4,6301 -4,7727 -4,9655 -5,1525 -5,2696 -5,2857 -5,1975 -4,9900 -4,6177 -4,0347 -3,2317 -2,2399 -1,1193 0,0517 1,1967 2,2697 3,2525 4,1200 4,8169 5,2628 5,3859 5,1706 4,6791 4,0343 3,3874 2,8819 2,6160 2,6159 2,8444 3,2434 3,7568 4,3154 4,8342 5,2378 5,4752 5,5234 5,4037 5,1879 4,9666 4,8117 4,7682 4,8556 5,0585 5,3199 5,5623 5,7145 5,7280 5,5932 5,3464 5,0428 4,7143 4,3530 3,9339 3,4607 2,9940 2,6379 2,4847 2,5428 2,7134 2,8592 2,9057 2,8828 2,8939 3,0641 3,4850 4,1785 5,0964 6,1443 7,2021 8,1364 8,8258 9,2075 9,3035 9,2172 9,1100 9,1488 9,4278 9,9185 10,4973 11,0264 11,4161 11,6366 11,6967 11,6180 11,4216 11,1210 10,7094 10,1682 9,5134 8,8350 8,2613 7,8726 7,6631 7,5967 7,6746 7,9186 8,3074 8,7772 9,2861 9,8453 10,4979 11,2877 12,2336 13,3086 14,4374 15,5218 16,4763 17,2404 17,7741 18,0621 18,1304 18,0476 17,8977 17,7465 17,6375 17,6059 17,6750 17,8289 18,0070 18,1285 18,1267 17,9767 17,7015 17,3457 16,9407 16,4927 16,0017 15,4860 14,9804 14,5130 14,0879 13,6764 13,2223 12,6763 12,0441 11,3930 10,8036 10,3364 10,0431 9,9663 10,1040 10,3964 10,7631 11,1309 11,4235 11,5630 11,4929 11,1922 10,6941 10,1017 9,5547 9,1441 8,8568 8,6025 8,2746 7,7943 7,1399 6,3618 5,5674 4,8853 4,4219 4,2085 4,1645 4,1292 3,9628 3,6314 3,1983 2,7504 2,3480 2,0233 1,7950 1,6765 1,6745 1,7905 2,0166 2,3273 2,7006 3,1529 3,7178 4,3810 5,0691 5,7028 6,2194 6,5523 6,6329 6,4291 5,9701 5,3283 4,5905 3,8393 3,1388 2,5241 2,0205 1,6656 1,4884 1,4657 1,5172 1,5440 1,4719 1,2806 0,9977 0,6699 0,3426 0,0422 -0,2344 -0,4775 -0,6142 -0,5279 -0,1262 0,6052 1,5983 2,7434 3,9330 5,0668 6,0416 6,7623 7,1752 7,2973 7,2038 6,9666 6,6130 6,1437 5,5659 4,9060 4,2132 3,5641 3,0621 2,8023 2,8161 3,0560 3,4316 3,8354 4,1489 4,2683 4,1427 3,7838 3,2399 2,5757 1,8789 1,2535 0,7919 0,5724 0,6719 1,1451 1,9853 3,1064 4,3549 5,5434 6,4969 7,1034 7,3497 7,3201 7,1682 7,0720 7,1771 7,5463 8,1438 8,8606 9,5550 10,0807 10,3018 10,1215 9,5273 8,6120 7,5437 6,5082 5,6622 5,1117 4,9022 5,0044 5,3140 5,6893 6,0046 6,1897 6,2474 6,2388 6,2342 6,2690 6,3435 6,4455 6,5419 6,5692 6,4686 6,2208 5,8355 5,3396 4,7885 4,2627 3,8477 3,6160 3,6053 3,7942 4,1132 4,4960 4,9154 5,3630 5,8129 6,2254 6,5804 6,8936 7,1949 7,5074 7,8423 8,1905 8,5157 8,7717 8,9218 8,9394 8,8147 8,5702 8,2523 7,8990 7,5205 7,1063 6,6515 6,1895 5,8058 5,6048 5,6416 5,8680 6,1367 6,2642 6,1292 5,7507 5,2782 4,9017 4,7505 4,8333 5,0561 5,2984 5,4677 5,5103 5,4279 5,2841 5,1552 5,0718 5,0219 4,9907 4,9821 5,0142 5,0969 5,2173 5,3553 5,4985 5,6280 5,7041 5,6760 5,5064 5,1940 4,7958 4,4350 4,2521 4,3215 4,6108 5,0069 5,3808 5,6562 5,8450 6,0178 6,2288 6,4621 6,6465 6,7092 6,6096 6,3473 5,9603 5,5142 5,0948 4,8094 4,7745 5,0716 5,6952 6,5400 7,4525 8,2976 8,9838 9,4693 9,7689 9,9316 9,9996 9,9941 9,9281 9,8223 9,7074 9,6055 9,5065 9,3855 9,2587 9,1966 9,2651 9,4809 9,8281 10,2775 10,7782 11,2533 11,6204 11,8276 11,8826 11,8511 11,8234 11,8701 11,9925 12,1043 12,0797 11,8231 11,3089 10,5952 9,8247 9,1970 8,9077 9,0731 9,6873 10,6316 11,7156 12,7337 13,5396 14,0994 14,4643 14,6914 14,8022 14,7949 14,6698 14,4594 14,2425 14,1108 14,1132 14,2294 14,3810 14,4750 14,4747 14,4346 14,4484 14,5664 14,7702 15,0006 15,1964 15,3197 15,3562 15,2974 15,1276 14,8287 14,4052 13,9036 13,3929 12,9241 12,5126 12,1468 11,8057 11,4686 11,1229 10,7964 10,5908 10,6462 11,0332 11,6656 12,3274 12,7924 12,9398 12,7999 12,5148 12,2474 12,1141 12,1694 12,4017 12,7398 13,0862 13,3581 13,5033 13,4987 13,3544 13,1181 12,8617 12,6589 12,5745 12,6497 12,8895 13,2895 13,8768 14,6912 15,7191 16,8596 17,9600 18,8926 19,6045 20,1064 20,4390 20,6431 20,7354 20,7168 20,6189 20,5213 20,5109 20,6312 20,8517 21,0719 21,1738 21,0821 20,7707 20,2339 19,4824 18,5580 17,5263 16,4451 15,3467 14,2517 13,1953 12,2308 11,4061 10,7531 10,2969 10,0525 10,0001 10,0715 10,1661 10,1789 10,0391 9,7569 9,4180 9,1091 8,8620 8,6723 8,5326 8,4390 8,3860 8,3638 8,3520 8,3145 8,2111 8,0230 7,7772 7,5423 7,3856 7,3374 7,3911 7,5019 7,5814 7,5406 7,3589 7,0910 6,8101 6,5541 6,3098 6,0357 5,6942 5,2663 4,7614 4,2319 3,7581 3,3994 3,1629 3,0147 2,9109 2,8213 2,7258 2,6235 2,5687 2,6634 2,9817 3,5097 4,1565 4,8004
Fz    5,1735 4,8008 4,2759 3,6672 3,0495 2,4947 2,0664 1,8060 1,7197 1,7789 1,9316 2,1186 2,2858 2,3886 2,4005 2,3235 2,1812 1,9973 1,7811 1,5286 1,2326 0,8988 0,5557 0,2426 -0,0156 -0,2272 -0,4350 -0,6988 -1,0678 -1,5548 -2,1217 -2,6894 -3,1767 -3,5331 -3,7365 -3,7757 -3,6542 -3,4061 -3,0938 -2,7906 -2,5583 -2,4202 -2,3524 -2,3067 -2,2350 -2,0955 -1,8529 -1,4856 -0,9976 -0,4177 0,2201 0,8911 1,5759 2,2534 2,9063 3,5204 4,0726 4,5234 4,8223 4,9252 4,8214 4,5451 4,1643 3,7639 3,4294 3,2270 3,1839 3,2864 3,4987 3,7734 4,0474 4,2534 4,3499 4,3366 4,2468 4,1350 4,0603 4,0676 4,1785 4,3971 4,7104 5,0776 5,4284 5,6924 5,8370 5,8755 5,8440 5,7716 5,6585 5,4700 5,1547 4,6840 4,0903 3,4702 2,9465 2,6120 2,4883 2,5245 2,6391 2,7707 2,8986 3,0380 3,2335 3,5452 4,0219 4,6751 5,4641 6,2952 7,0398 7,5759 7,8362 7,8295 7,6279 7,3405 7,0804 6,9240 6,8814 6,9073 6,9420 6,9431 6,8933 6,7943 6,6552 6,4838 6,2825 6,0453 5,7604 5,4296 5,0828 4,7576 4,4631 4,1816 3,9124 3,6952 3,5800 3,5917 3,7357 4,0205 4,4588 5,0542 5,7954 6,6600 7,6201 8,6434 9,6933 10,7300 11,7097 12,5890 13,3354 13,9393 14,4182 14,8058 15,1384 15,4532 15,7868 16,1585 16,5502 16,9073 17,1643 17,2788 17,2548 17,1395 16,9922 16,8473 16,7023 16,5364 16,3299 16,0629 15,7109 15,2584 14,7112 14,0917 13,4347 12,7998 12,2686 11,9092 11,7459 11,7616 11,9128 12,1365 12,3610 12,5275 12,6006 12,5647 12,4171 12,1603 11,7969 11,3451 10,8597 10,4193 10,0781 9,8335 9,6400 9,4405 9,1926 8,8903 8,5701 8,2872 8,0850 7,9777 7,9452 7,9347 7,8741 7,7064 7,4242 7,0664 6,6842 6,3177 5,9947 5,7318 5,5282 5,3657 5,2191 5,0719 4,9253 4,8062 4,7613 4,8244 4,9788 5,1659 5,3275 5,4244 5,4227 5,2905 5,0141 4,6059 4,0969 3,5333 2,9741 2,4765 2,0801 1,8066 1,6648 1,6437 1,7063 1,8026 1,8876 1,9278 1,8995 1,7848 1,5751 1,2874 0,9675 0,6737 0,4713 0,4312 0,6057 1,0009 1,5714 2,2416 2,9384 3,6100 4,2141 4,7042 5,0378 5,1974 5,2055 5,1170 4,9876 4,8454 4,6905 4,5104 4,2968 4,0589 3,8337 3,6804 3,6444 3,7147 3,8242 3,8935 3,8624 3,6923 3,3710 2,9258 2,4205 1,9265 1,4917 1,1326 0,8480 0,6356 0,5095 0,5063 0,6660 1,0016 1,4826 2,0358 2,5622 2,9701 3,2160 3,3278 3,3918 3,5186 3,8079 4,3209 5,0611 5,9723 6,9572 7,9014 8,6871 9,2032 9,3686 9,1644 8,6514 7,9580 7,2432 6,6508 6,2760 6,1466 6,2160 6,3764 6,5028 6,5045 6,3518 6,0751 5,7419 5,4260 5,1768 5,0073 4,8956 4,7909 4,6337 4,3953 4,0931 3,7701 3,4742 3,2526 3,1423 3,1629 3,3169 3,5829 3,9054 4,2070 4,4273 4,5538 4,6140 4,6439 4,6688 4,7002 4,7331 4,7440 4,7042 4,6052 4,4689 4,3374 4,2503 4,2251 4,2508 4,3018 4,3554 4,3966 4,4097 4,3746 4,2734 4,1098 3,9300 3,8259 3,9001 4,2067 4,7112 5,2950 5,7998 6,0947 6,1366 5,9847 5,7607 5,5862 5,5291 5,5871 5,7101 5,8298 5,8806 5,8289 5,6968 5,5465 5,4352 5,3847 5,3822 5,3981 5,4028 5,3716 5,2879 5,1560 5,0065 4,8796 4,8041 4,7852 4,8000 4,8039 4,7559 4,6493 4,5134 4,3892 4,3071 4,2781 4,2955 4,3545 4,4723 4,6801 4,9857 5,3491 5,6997 5,9737 6,1378 6,1924 6,1655 6,0999 6,0468 6,0675 6,2222 6,5336 6,9616 7,4235 7,8472 8,2049 8,5015 8,7570 8,9979 9,2392 9,4696 9,6563 9,7594 9,7487 9,6220 9,4071 9,1413 8,8578 8,5960 8,4073 8,3348 8,3941 8,5769 8,8571 9,1875 9,5040 9,7452 9,8748 9,8896 9,8052 9,6405 9,4137 9,1334 8,7905 8,3697 7,8681 7,3036 6,7195 6,1885 5,7993 5,6317 5,7342 6,1095 6,7117 7,4530 8,2276 8,9538 9,6065 10,2056 10,7748 11,3099 11,7745 12,1178 12,3115 12,3765 12,3732 12,3692 12,4146 12,5281 12,6957 12,8922 13,0991 13,2898 13,4157 13,4268 13,3062 13,0827 12,8203 12,5915 12,4428 12,3708 12,3236 12,2287 12,0347 11,7395 11,3883 11,0500 10,7863 10,6318 10,5804 10,5818 10,5701 10,5124 10,4269 10,3461 10,2698 10,1577 9,9579 9,6394 9,2142 8,7345 8,2659 7,8651 7,5762 7,4289 7,4311 7,5689 7,8138 8,1251 8,4540 8,7569 9,0151 9,2396 9,4597 9,7137 10,0448 10,4930 11,0897 11,8548 12,7837 13,8264 14,8874 15,8532 16,6344 17,1986 17,5700 17,8088 17,9842 18,1486 18,3299 18,5472 18,8206 19,1595 19,5475 19,9368 20,2563 20,4377 20,4404 20,2470 19,8454 19,2286 18,4111 17,4372 16,3686 15,2643 14,1775 13,1639 12,2763 11,5435 10,9610 10,5015 10,1255 9,7848 9,4319 9,0333 8,5737 8,0617 7,5449 7,1028 6,7974 6,6344 6,5719 6,5531 6,5356 6,5089 6,4901 6,4997 6,5408 6,5968 6,6479 6,6887 6,7340 6,8030 6,9051 7,0411 7,1980 7,3439 7,4502 7,5225 7,5932 7,6854 7,7880 7,8589 7,8475 7,7177 7,4504 7,0391 6,4956 5,8512 5,1403 4,3896 3,6283 2,9003 2,2569 1,7399 1,3799 1,2117 1,2714 1,5669 2,0518 2,6257 3,1606
F3    3,9137 3,7801 3,4797 3,0612 2,5943 2,1667 1,8685 1,7614 1,8524 2,0899 2,3929 2,6961 2,9655 3,1704 3,2630 3,2019 2,9882 2,6670 2,2960 1,9184 1,5536 1,2035 0,8647 0,5388 0,2301 -0,0629 -0,3562 -0,6795 -1,0611 -1,5081 -1,9900 -2,4398 -2,7840 -2,9829 -3,0427 -3,0025 -2,9192 -2,8518 -2,8456 -2,9266 -3,0970 -3,3188 -3,5130 -3,5913 -3,4932 -3,1989 -2,7232 -2,1034 -1,3902 -0,6362 0,1230 0,8717 1,5920 2,2513 2,8179 3,2843 3,6723 4,0174 4,3359 4,6092 4,8013 4,8918 4,8950 4,8584 4,8347 4,8474 4,8804 4,9018 4,8953 4,8656 4,8209 4,7606 4,6760 4,5564 4,4029 4,2421 4,1212 4,0843 4,1534 4,3248 4,5684 4,8264 5,0273 5,1310 5,1622 5,1815 5,2231 5,2644 5,2411 5,0825 4,7428 4,2262 3,5987 2,9664 2,4278 2,0338 1,7843 1,6519 1,6098 1,6443 1,7512 1,9301 2,1863 2,5322 2,9828 3,5461 4,2079 4,9189 5,5965 6,1464 6,5027 6,6591 6,6693 6,6172 6,5760 6,5811 6,6332 6,7152 6,8023 6,8630 6,8666 6,7976 6,6617 6,4795 6,2830 6,1086 5,9820 5,9028 5,8402 5,7448 5,5701 5,3006 4,9765 4,6910 4,5424 4,5760 4,7760 5,1032 5,5299 6,0517 6,6811 7,4243 8,2593 9,1354 9,9893 10,7617 11,4107 11,9244 12,3265 12,6638 12,9846 13,3203 13,6814 14,0636 14,4554 14,8390 15,1863 15,4595 15,6249 15,6710 15,6166 15,4997 15,3586 15,2209 15,1014 15,0020 14,9089 14,7872 14,5906 14,2879 13,8787 13,3860 12,8519 12,3450 11,9487 11,7264 11,7002 11,8572 12,1590 12,5371 12,8994 13,1577 13,2580 13,1922 12,9879 12,6803 12,2887 11,8310 11,3552 10,9368 10,6339 10,4495 10,3384 10,2384 10,0937 9,8718 9,5767 9,2398 8,8922 8,5435 8,1779 7,7664 7,2849 6,7335 6,1456 5,5808 5,1045 4,7607 4,5591 4,4853 4,5176 4,6324 4,8057 5,0168 5,2483 5,4849 5,7122 5,9032 6,0056 5,9625 5,7482 5,3758 4,8827 4,3213 3,7495 3,2071 2,7018 2,2271 1,7864 1,3896 1,0417 0,7513 0,5474 0,4754 0,5707 0,8325 1,2093 1,6074 1,9200 2,0586 1,9780 1,6925 1,2627 0,7702 0,3124 -0,0068 -0,1112 0,0184 0,3501 0,8267 1,3854 1,9535 2,4433 2,7755 2,9210 2,9179 2,8513 2,8160 2,8748 3,0328 3,2441 3,4423 3,5710 3,6068 3,5724 3,5210 3,4936 3,4837 3,4493 3,3577 3,2022 2,9826 2,6948 2,3415 1,9430 1,5300 1,1314 0,7697 0,4686 0,2587 0,1721 0,2242 0,3998 0,6590 0,9567 1,2558 1,5314 1,7759 2,0055 2,2499 2,5337 2,8743 3,2942 3,8204 4,4682 5,2248 6,0450 6,8541 7,5549 8,0471 8,2606 8,1864 7,8858 7,4680 7,0500 6,7211 6,5324 6,5025 6,6058 6,7577 6,8383 6,7518 6,4735 6,0524 5,5779 5,1335 4,7621 4,4655 4,2240 4,0063 3,7792 3,5303 3,2812 3,0684 2,9250 2,8774 2,9440 3,1289 3,4155 3,7631 4,1157 4,4215 4,6496 4,7905 4,8487 4,8400 4,7949 4,7484 4,7178 4,6917 4,6488 4,5831 4,5077 4,4443 4,4142 4,4295 4,4882 4,5795 4,6874 4,7921 4,8740 4,9168 4,9056 4,8353 4,7269 4,6306 4,6110 4,7207 4,9683 5,2928 5,5813 5,7351 5,7308 5,6257 5,5085 5,4410 5,4338 5,4600 5,4804 5,4597 5,3744 5,2271 5,0559 4,9213 4,8789 4,9555 5,1369 5,3743 5,6011 5,7492 5,7685 5,6564 5,4625 5,2570 5,0954 4,9985 4,9476 4,8997 4,8165 4,6888 4,5302 4,3571 4,1885 4,0520 3,9741 3,9692 4,0445 4,2036 4,4367 4,7093 4,9678 5,1617 5,2664 5,2930 5,2827 5,2887 5,3571 5,5213 5,7927 6,1413 6,4910 6,7570 6,9008 6,9484 6,9620 7,0043 7,1167 7,3027 7,5284 7,7432 7,9010 7,9738 7,9603 7,8847 7,7873 7,7156 7,7113 7,7966 7,9641 8,1836 8,4235 8,6626 8,8755 9,0211 9,0576 8,9682 8,7713 8,5088 8,2266 7,9668 7,7578 7,5977 7,4492 7,2561 6,9736 6,5991 6,1868 5,8334 5,6412 5,6809 5,9722 6,4766 7,1015 7,7328 8,2954 8,7933 9,2779 9,7825 10,2937 10,7633 11,1292 11,3425 11,3934 11,3164 11,1771 11,0523 11,0035 11,0449 11,1414 11,2440 11,3164 11,3383 11,3077 11,2401 11,1614 11,1013 11,0840 11,1134 11,1615 11,1678 11,0577 10,7772 10,3258 9,7690 9,2182 8,7943 8,5907 8,6382 8,8826 9,2102 9,5126 9,7298 9,8425 9,8455 9,7374 9,5249 9,2273 8,8725 8,4879 8,0945 7,7138 7,3802 7,1412 7,0382 7,0865 7,2693 7,5466 7,8743 8,2228 8,5827 8,9563 9,3505 9,7790 10,2598 10,8001 11,3887 12,0078 12,6445 13,2849 13,9033 14,4628 14,9351 15,3237 15,6589 15,9689 16,2636 16,5401 16,8021 17,0687 17,3576 17,6591 17,9360 18,1459 18,2615 18,2784 18,2095 18,0630 17,8216 17,4403 16,8746 16,1179 15,2101 14,2156 13,2037 12,2458 11,4038 10,7094 10,1570 9,7153 9,3361 8,9533 8,4993 7,9436 7,3146 6,6860 6,1557 5,8198 5,7284 5,8537 6,1108 6,4055 6,6721 6,8921 7,0870 7,2876 7,5034 7,7146 7,8849 7,9833 7,9963 7,9248 7,7788 7,5826 7,3762 7,2007 7,0817 7,0233 7,0065 6,9912 6,9256 6,7590 6,4564 6,0116 5,4497 4,8201 4,1873 3,6154 3,1414 2,7616 2,4458 2,1640 1,9051 1,6815 1,5303 1,5047 1,6454 1,9480 2,3543 2,7686 3,0898
F7    2,1464 1,9954 1,8665 1,7916 1,7725 1,7929 1,8362 1,8873 1,9319 1,9590 1,9643 1,9578 1,9639 2,0056 2,0851 2,1813 2,2613 2,2930 2,2498 2,1120 1,8713 1,5391 1,1535 0,7702 0,4411 0,1908 0,0022 -0,1737 -0,3858 -0,6523 -0,9548 -1,2572 -1,5331 -1,7770 -1,9915 -2,1742 -2,3221 -2,4414 -2,5472 -2,6583 -2,7837 -2,9057 -2,9825 -2,9762 -2,8731 -2,6842 -2,4333 -2,1457 -1,8411 -1,5278 -1,1938 -0,8093 -0,3472 0,2009 0,8224 1,4840 2,1343 2,7164 3,1810 3,4962 3,6579 3,6910 3,6425 3,5743 3,5464 3,5930 3,7155 3,8995 4,1365 4,4215 4,7324 5,0258 5,2548 5,3850 5,4014 5,3164 5,1696 5,0106 4,8811 4,8052 4,7803 4,7746 4,7421 4,6488 4,4921 4,2979 4,1010 3,9258 3,7721 3,6168 3,4310 3,2007 2,9360 2,6643 2,4177 2,2230 2,0903 2,0076 1,9557 1,9298 1,9436 2,0173 2,1710 2,4195 2,7627 3,1766 3,6140 4,0190 4,3454 4,5725 4,7118 4,8011 4,8938 5,0484 5,3122 5,6986 6,1735 6,6704 7,1240 7,4895 7,7409 7,8657 7,8628 7,7393 7,5068 7,1775 6,7643 6,2948 5,8199 5,3970 5,0551 4,7863 4,5800 4,4524 4,4309 4,5244 4,7204 5,0012 5,3527 5,7688 6,2536 6,8148 7,4476 8,1251 8,8010 9,4233 9,9483 10,3522 10,6365 10,8228 10,9434 11,0297 11,1033 11,1755 11,2547 11,3511 11,4720 11,6143 11,7600 11,8796 11,9477 11,9554 11,9075 11,8143 11,6902 11,5505 11,4081 11,2702 11,1404 11,0243 10,9282 10,8442 10,7529 10,6541 10,5842 10,5942 10,7149 10,9452 11,2584 11,6098 11,9434 12,2049 12,3559 12,3781 12,2705 12,0391 11,6896 11,2371 10,7224 10,2073 9,7466 9,3658 9,0610 8,8082 8,5727 8,3228 8,0454 7,7508 7,4645 7,2149 7,0134 6,8360 6,6270 6,3338 5,9413 5,4761 4,9854 4,5206 4,1308 3,8575 3,7239 3,7290 3,8511 4,0586 4,3142 4,5857 4,8611 5,1414 5,4142 5,6485 5,8130 5,8886 5,8663 5,7453 5,5326 5,2366 4,8622 4,4220 3,9448 3,4634 2,9986 2,5611 2,1647 1,8312 1,5814 1,4222 1,3362 1,2869 1,2418 1,1903 1,1415 1,1097 1,0974 1,0905 1,0814 1,0935 1,1755 1,3740 1,7092 2,1669 2,7093 3,2913 3,8710 4,4102 4,8733 5,2304 5,4672 5,5891 5,6114 5,5458 5,3956 5,1560 4,8241 4,4161 3,9749 3,5602 3,2239 2,9917 2,8672 2,8462 2,9118 3,0199 3,1104 3,1390 3,0913 2,9728 2,7945 2,5699 2,3201 2,0769 1,8854 1,8008 1,8732 2,1259 2,5439 3,0768 3,6545 4,2090 4,6946 5,0958 5,4253 5,7165 6,0096 6,3327 6,6925 7,0805 7,4832 7,8790 8,2251 8,4563 8,5055 8,3385 7,9809 7,5131 7,0352 6,6292 6,3444 6,2000 6,1816 6,2386 6,3019 6,3139 6,2508 6,1296 6,0008 5,9226 5,9237 5,9842 6,0468 6,0463 5,9388 5,7202 5,4208 5,0841 4,7563 4,4823 4,2986 4,2277 4,2799 4,4468 4,6898 4,9477 5,1713 5,3465 5,4832 5,5924 5,6790 5,7476 5,8052 5,8611 5,9290 6,0215 6,1352 6,2501 6,3470 6,4189 6,4677 6,5017 6,5303 6,5537 6,5600 6,5333 6,4633 6,3534 6,2235 6,1095 6,0536 6,0856 6,1994 6,3425 6,4360 6,4166 6,2747 6,0617 5,8643 5,7608 5,7850 5,9162 6,0954 6,2506 6,3198 6,2758 6,1437 5,9854 5,8604 5,7962 5,7879 5,8156 5,8560 5,8870 5,8974 5,8949 5,8935 5,8918 5,8675 5,7878 5,6205 5,3481 4,9900 4,6132 4,3039 4,1220 4,0837 4,1692 4,3341 4,5247 4,7005 4,8452 4,9551 5,0241 5,0503 5,0497 5,0527 5,0819 5,1342 5,1831 5,2014 5,1895 5,1779 5,1996 5,2603 5,3369 5,4053 5,4662 5,5415 5,6558 5,8255 6,0516 6,3193 6,6052 6,8851 7,1430 7,3710 7,5574 7,6831 7,7364 7,7237 7,6622 7,5684 7,4605 7,3708 7,3440 7,4124 7,5690 7,7680 7,9521 8,0820 8,1466 8,1546 8,1234 8,0703 8,0041 7,9242 7,8179 7,6657 7,4619 7,2299 7,0119 6,8478 6,7619 6,7619 6,8419 6,9831 7,1567 7,3415 7,5450 7,7937 8,0990 8,4395 8,7726 9,0559 9,2658 9,4033 9,4863 9,5352 9,5633 9,5770 9,5794 9,5794 9,5971 9,6496 9,7291 9,8025 9,8308 9,7925 9,6996 9,5918 9,5110 9,4745 9,4664 9,4514 9,3977 9,2916 9,1383 8,9568 8,7680 8,5834 8,4005 8,2060 7,9947 7,7911 7,6466 7,6078 7,6829 7,8307 7,9819 8,0728 8,0713 7,9810 7,8281 7,6474 7,4776 7,3541 7,2954 7,2973 7,3418 7,4111 7,4976 7,6034 7,7328 7,8851 8,0566 8,2527 8,4941 8,8065 9,2086 9,7090 10,3023 10,9595 11,6278 12,2445 12,7633 13,1768 13,5102 13,7923 14,0308 14,2064 14,2956 14,3019 14,2630 14,2259 14,2176 14,2297 14,2202 14,1364 13,9474 13,6552 13,2833 12,8622 12,4224 11,9922 11,5884 11,2075 10,8337 10,4584 10,0838 9,7071 9,3158 8,9078 8,5037 8,1321 7,8087 7,5372 7,3172 7,1537 7,0671 7,0833 7,1967 7,3521 7,4749 7,5140 7,4591 7,3325 7,1674 6,9893 6,8109 6,6386 6,4802 6,3490 6,2608 6,2188 6,2071 6,2040 6,1946 6,1708 6,1326 6,0911 6,0594 6,0377 6,0052 5,9240 5,7542 5,4701 5,0677 4,5673 4,0180 3,4877 3,0382 2,7049 2,4954 2,3958 2,3795 2,4156 2,4800 2,5680 2,6888 2,8469 3,0280 3,1975 3,3146
