Fp1   1,8231 2,4853 3,1088 3,6444 4,0627 4,3465 4,4787 4,4518 4,2835 4,0190 3,7197 3,4273 3,1254 2,7585 2,2907 1,7243 1,0657 0,3079 -0,5387 -1,4245 -2,2788 -3,0379 -3,6536 -4,0894 -4,3300 -4,3958 -4,3315 -4,1828 -3,9828 -3,7560 -3,5259 -3,3066 -3,0916 -2,8674 -2,6271 -2,3593 -2,0282 -1,5744 -0,9557 -0,2015 0,5738 1,2099 1,5615 1,5648 1,2737 0,8246 0,3675 0,0323 -0,0783 0,0864 0,4960 1,0378 1,5515 1,8900 1,9686 1,7861 1,4266 1,0419 0,7895 0,7339 0,8020 0,8482 0,7678 0,5605 0,3127 0,1207 0,0208 -0,0215 -0,0672 -0,1637 -0,3342 -0,5701 -0,8265 -1,0368 -1,1486 -1,1591 -1,1166 -1,0849 -1,1100 -1,2095 -1,3811 -1,6120 -1,8755 -2,1293 -2,3370 -2,4826 -2,5511 -2,5084 -2,3157 -1,9668 -1,5091 -1,0304 -0,6200 -0,3272 -0,1501 -0,0515 0,0337 0,1865 0,4712 0,9175 1,5253 2,2555 3,0079 3,6440 4,0480 4,1796 4,1034 3,9603 3,8637 3,8226 3,7660 3,6060 3,2740 2,7247 1,9352 0,9092 -0,3115 -1,6547 -3,0558 -4,4804 -5,8815 -7,1502 -8,1455 -8,7682 -9,0009 -8,8941 -8,5273 -7,9688 -7,2602 -6,4277 -5,5035 -4,5422 -3,6305 -2,8824 -2,4198 -2,3239 -2,5818 -3,0727 -3,6035 -3,9744 -4,0585 -3,8405 -3,3743 -2,7148 -1,8847 -0,8630 0,3861 1,8351 3,3474 4,7338 5,8622 6,7250 7,4120 8,0337 8,6592 9,2892 9,8663 10,3124 10,5586 10,5568 10,2999 9,8297 9,2111 8,4999 7,7403 6,9757 6,2369 5,5341 4,8833 4,3118 3,8078 3,2928 2,6700 1,8973 1,0272 0,1964 -0,4264 -0,7141 -0,6317 -0,2401 0,3362 0,9665 1,5691 2,1291 2,6756 3,2437 3,8531 4,4974 5,1372 5,7425 6,3520 7,0397 7,7958 8,4740 8,8657 8,8289 8,3879 7,7290 7,0731 6,5395 6,1108 5,6927 5,2127 4,6653 4,0642 3,3919 2,6338 1,8389 1,1147 0,5472 0,1244 -0,2471 -0,6457 -1,0803 -1,5296 -2,0066 -2,5642 -3,2460 -4,0547 -4,9683 -5,9685 -7,0261 -8,0583 -8,9292 -9,5086 -9,7234 -9,5502 -8,9943 -8,1042 -6,9843 -5,7826 -4,6600 -3,7447 -3,0887 -2,6470 -2,2997 -1,9187 -1,4234 -0,7881 -0,0381 0,7391 1,4036 1,8035 1,8324 1,4881 0,8825 0,1766 -0,5002 -1,0849 -1,5729 -1,9914 -2,3730 -2,7421 -3,1068 -3,4508 -3,7488 -4,0085 -4,2858 -4,6443 -5,1033 -5,6143 -6,0787 -6,3944 -6,4946 -6,3686 -6,0725 -5,7091 -5,3755 -5,1153 -4,9210 -4,7728 -4,6437 -4,4912 -4,2747 -3,9676 -3,5597 -3,0631 -2,4960 -1,8564 -1,1384 -0,3764 0,3288 0,8254 0,9755 0,7192 0,0781 -0,8632 -1,9647 -3,0681 -4,0490 -4,8339 -5,3869 -5,6998 -5,7909 -5,7102 -5,5413 -5,3842 -5,3283 -5,4289 -5,6815 -6,0051 -6,2749 -6,4044 -6,3880 -6,2700 -6,1073 -5,9565 -5,8554 -5,7928 -5,6986 -5,4709 -5,0333 -4,3829 -3,5803 -2,7069 -1,8373 -1,0388 -0,3721 0,1273 0,4803 0,7616 1,0530 1,3993 1,7937 2,1868 2,5262 2,8064 3,0595 3,3055 3,5428 3,7724 4,0008 4,2287 4,4508 4,6448 4,7601 4,7438 4,5752 4,2742 3,8939 3,5015 3,1505 2,8608 2,6272 2,4537 2,3653 2,3722 2,4384 2,5001 2,5055 2,4320 2,2808 2,0684 1,8330 1,6425 1,5650 1,6255 1,8043 2,0675 2,3859 2,7347 3,0931 3,4387 3,7341 3,9384 4,0459 4,1061 4,1951 4,3590 4,5834 4,8191 5,0227 5,1510 5,1302 4,8560 4,2434 3,2926 2,1153 0,8869 -0,2396 -1,1714 -1,8755 -2,3873 -2,7978 -3,1941 -3,6106 -4,0347 -4,4298 -4,7373 -4,8793 -4,8026 -4,5423 -4,2240 -3,9866 -3,9122 -4,0165 -4,2651 -4,5845 -4,8756 -5,0432 -5,0335 -4,8552 -4,5690 -4,2560 -3,9937 -3,8340 -3,7873 -3,8244 -3,8783 -3,8461 -3,6209 -3,1474 -2,4699 -1,7404 -1,1649 -0,8931 -0,9318 -1,1653 -1,4495 -1,6699 -1,7404 -1,6121 -1,3077 -0,9315 -0,6254 -0,5002 -0,5832 -0,8001 -1,0035 -1,0606 -0,9326 -0,6691 -0,3504 -0,0530 0,1630 0,2756 0,3113 0,3295 0,3905 0,5144 0,6562 0,7239 0,6343 0,3571 -0,0887 -0,6644 -1,3241 -2,0034 -2,6131 -3,0599 -3,2821 -3,2733 -3,0857 -2,8266 -2,6301 -2,5977 -2,7493 -3,0132 -3,2575 -3,3533 -3,2333 -2,9275 -2,5489 -2,2170 -1,9815 -1,8066 -1,6158 -1,3689 -1,0955 -0,8511 -0,6647 -0,5253 -0,3856 -0,1776 0,1534 0,6206 1,1909 1,7955 2,3442 2,7448 2,9373 2,9192 2,7263 2,3949 1,9537 1,4272 0,8197 0,1160 -0,6822 -1,5374 -2,4031 -3,2517 -4,0733 -4,8676 -5,6411 -6,4010 -7,1424 -7,8224 -8,3550 -8,6565 -8,6794 -8,3939 -7,7860 -6,9046 -5,8782 -4,8562 -3,9408 -3,1790 -2,5857 -2,1455 -1,8187 -1,5816 -1,4515 -1,4616 -1,6348 -1,9765 -2,4642 -3,0431 -3,6492 -4,2433 -4,8203 -5,3730 -5,8576 -6,2237 -6,4717 -6,6440 -6,7593 -6,7729 -6,5954 -6,1580 -5,4821 -4,6809 -3,8886 -3,1816 -2,5436 -1,8963 -1,1824 -0,4281 0,2860 0,9139 1,4803 2,0354 2,6018 3,1562 3,6399 3,9963 4,2183 4,3582 4,4756 4,5856 4,6743 4,7407 4,8041 4,8911 5,0271 5,2300 5,4896 5,7465 5,9218 5,9928 6,0221 6,1040 6,2962 6,6019 6,9889 7,4055 7,7998 8,1500 8,4690 8,7609 8,9682 8,9735 8,6651 8,0043 7,0371 5,8567 4,5701 3,2991 2,1765 1,3031 0,7016 0,3236 0,0797 -0,1475 -0,4710 -0,9324 -1,4707 -1,9705 -2,3416 -2,5572 -2,6534 -2,7066 -2,7826 -2,8745 -2,8975 -2,7574 -2,4234 -1,9583 -1,5000 -1,1990
Fz    1,5969 1,9007 2,1640 2,3487 2,4442 2,4672 2,4437 2,3937 2,3206 2,2140 2,0668 1,8785 1,6410 1,3423 0,9853 0,5859 0,1574 -0,2922 -0,7451 -1,1693 -1,5336 -1,8232 -2,0398 -2,1901 -2,2830 -2,3343 -2,3610 -2,3679 -2,3438 -2,2743 -2,1576 -2,0038 -1,8282 -1,6487 -1,4813 -1,3265 -1,1540 -0,9053 -0,5337 -0,0540 0,4506 0,8706 1,1188 1,1598 1,0176 0,7561 0,4489 0,1675 -0,0202 -0,0698 0,0145 0,1727 0,3086 0,3270 0,1754 -0,1343 -0,5298 -0,9027 -1,1526 -1,2378 -1,1932 -1,0961 -1,0127 -0,9690 -0,9553 -0,9544 -0,9689 -1,0260 -1,1534 -1,3539 -1,6000 -1,8464 -2,0484 -2,1749 -2,2182 -2,1965 -2,1403 -2,0751 -2,0155 -1,9747 -1,9729 -2,0371 -2,1896 -2,4387 -2,7771 -3,1777 -3,5833 -3,9091 -4,0655 -3,9914 -3,6775 -3,1743 -2,5786 -1,9935 -1,4908 -1,0957 -0,7849 -0,5003 -0,1796 0,2186 0,7013 1,2339 1,7458 2,1629 2,4429 2,5858 2,6308 2,6356 2,6341 2,6121 2,5262 2,3334 2,0049 1,5288 0,9092 0,1630 -0,6829 -1,5977 -2,5587 -3,5478 -4,5212 -5,3906 -6,0553 -6,4494 -6,5609 -6,4162 -6,0584 -5,5336 -4,8901 -4,1805 -3,4621 -2,7939 -2,2364 -1,8523 -1,7037 -1,8231 -2,1736 -2,6464 -3,0995 -3,4084 -3,5057 -3,3863 -3,0691 -2,5645 -1,8793 -1,0245 -0,0239 1,0574 2,1001 2,9735 3,6063 4,0193 4,2952 4,5208 4,7454 4,9682 5,1602 5,2997 5,3858 5,4250 5,4186 5,3568 5,2176 4,9832 4,6661 4,3111 3,9640 3,6468 3,3596 3,0855 2,7895 2,4286 1,9763 1,4396 0,8634 0,3217 -0,1018 -0,3399 -0,3602 -0,1733 0,1674 0,5819 0,9954 1,3654 1,6850 1,9672 2,2321 2,4987 2,7781 3,0860 3,4609 3,9355 4,4766 4,9699 5,2684 5,2625 4,9361 4,3739 3,7072 3,0468 2,4475 1,9121 1,4204 0,9516 0,4801 -0,0249 -0,5674 -1,0991 -1,5389 -1,8277 -1,9726 -2,0392 -2,1018 -2,2071 -2,3791 -2,6427 -3,0260 -3,5382 -4,1565 -4,8412 -5,5571 -6,2713 -6,9332 -7,4775 -7,8531 -8,0371 -8,0145 -7,7659 -7,2897 -6,6327 -5,8938 -5,1995 -4,6571 -4,3079 -4,1095 -3,9613 -3,7606 -3,4469 -3,0075 -2,4674 -1,8918 -1,3822 -1,0482 -0,9651 -1,1375 -1,4903 -1,9025 -2,2603 -2,4947 -2,5941 -2,5905 -2,5339 -2,4750 -2,4570 -2,5053 -2,6215 -2,7962 -3,0266 -3,3124 -3,6398 -3,9704 -4,2478 -4,4196 -4,4548 -4,3584 -4,1811 -4,0036 -3,8920 -3,8584 -3,8667 -3,8755 -3,8663 -3,8485 -3,8461 -3,8642 -3,8714 -3,8186 -3,6628 -3,3743 -2,9468 -2,4166 -1,8748 -1,4526 -1,2691 -1,3798 -1,7649 -2,3426 -2,9900 -3,5842 -4,0438 -4,3433 -4,5058 -4,5829 -4,6260 -4,6717 -4,7475 -4,8772 -5,0798 -5,3641 -5,7157 -6,0826 -6,3875 -6,5707 -6,6186 -6,5584 -6,4401 -6,3142 -6,2029 -6,0802 -5,8826 -5,5480 -5,0576 -4,4461 -3,7719 -3,0902 -2,4492 -1,8917 -1,4481 -1,1270 -0,9103 -0,7601 -0,6357 -0,5119 -0,3871 -0,2790 -0,2033 -0,1438 -0,0519 0,1215 0,4024 0,7891 1,2520 1,7338 2,1618 2,4653 2,5956 2,5496 2,3716 2,1324 1,9014 1,7233 1,6102 1,5477 1,5112 1,4810 1,4488 1,4111 1,3622 1,2957 1,2043 1,0772 0,9008 0,6666 0,3859 0,0998 -0,1341 -0,2705 -0,2938 -0,2174 -0,0743 0,0936 0,2522 0,3854 0,4874 0,5558 0,6008 0,6502 0,7349 0,8646 1,0207 1,1736 1,2970 1,3588 1,3080 1,0869 0,6639 0,0636 -0,6300 -1,3109 -1,9003 -2,3652 -2,7058 -2,9481 -3,1377 -3,3190 -3,5096 -3,6907 -3,8198 -3,8529 -3,7641 -3,5674 -3,3351 -3,1822 -3,2081 -3,4481 -3,8698 -4,3950 -4,9277 -5,3790 -5,6909 -5,8490 -5,8788 -5,8271 -5,7420 -5,6609 -5,5986 -5,5442 -5,4711 -5,3439 -5,1179 -4,7511 -4,2343 -3,6215 -3,0289 -2,5870 -2,3722 -2,3654 -2,4734 -2,5834 -2,5977 -2,4455 -2,1021 -1,6090 -1,0665 -0,5964 -0,2913 -0,1793 -0,2158 -0,3062 -0,3583 -0,3314 -0,2389 -0,1196 -0,0154 0,0392 0,0317 -0,0173 -0,0654 -0,0752 -0,0365 0,0234 0,0483 -0,0164 -0,1935 -0,4738 -0,8373 -1,2643 -1,7264 -2,1771 -2,5594 -2,8291 -2,9753 -3,0235 -3,0291 -3,0575 -3,1512 -3,3064 -3,4748 -3,5880 -3,5924 -3,4710 -3,2507 -2,9880 -2,7310 -2,4912 -2,2457 -1,9635 -1,6488 -1,3592 -1,1671 -1,1091 -1,1650 -1,2603 -1,2877 -1,1527 -0,8162 -0,3049 0,3024 0,8991 1,3823 1,6918 1,8280 1,8292 1,7329 1,5652 1,3470 1,0917 0,8005 0,4701 0,1016 -0,3020 -0,7370 -1,1960 -1,6697 -2,1516 -2,6311 -3,0826 -3,4587 -3,6970 -3,7488 -3,6009 -3,2698 -2,7957 -2,2445 -1,6922 -1,1939 -0,7682 -0,4138 -0,1311 0,0760 0,2052 0,2470 0,1839 0,0070 -0,2755 -0,6421 -1,0584 -1,4827 -1,8871 -2,2765 -2,6802 -3,1157 -3,5570 -3,9500 -4,2523 -4,4452 -4,5141 -4,4387 -4,2052 -3,8274 -3,3587 -2,8742 -2,4270 -2,0159 -1,5917 -1,1008 -0,5296 0,0839 0,6821 1,2342 1,7461 2,2295 2,6773 3,0635 3,3558 3,5329 3,6045 3,6118 3,6000 3,5982 3,6301 3,7232 3,8926 4,1297 4,4099 4,7081 5,0018 5,2571 5,4332 5,5170 5,5374 5,5337 5,5220 5,4989 5,4641 5,4298 5,4150 5,4372 5,5042 5,6038 5,6946 5,7078 5,5723 5,2446 4,7182 4,0146 3,1795 2,2858 1,4240 0,6719 0,0644 -0,4109 -0,8013 -1,1741 -1,5881 -2,0528 -2,5167 -2,9069 -3,1794 -3,3348 -3,4102 -3,4632 -3,5364 -3,6218 -3,6647 -3,6090 -3,4380 -3,1855 -2,9174 -2,6996
F3    0,9643 1,2039 1,3799 1,4626 1,4476 1,3676 1,2851 1,2590 1,3038 1,3806 1,4339 1,4255 1,3276 1,1146 0,7777 0,3344 -0,1744 -0,6802 -1,0926 -1,3350 -1,3851 -1,2835 -1,1047 -0,9179 -0,7718 -0,7033 -0,7315 -0,8409 -0,9818 -1,0939 -1,1382 -1,1200 -1,0804 -1,0642 -1,0859 -1,1197 -1,1073 -0,9783 -0,6939 -0,2892 0,1347 0,4673 0,6406 0,6471 0,5267 0,3449 0,1748 0,0797 0,0917 0,1982 0,3511 0,4810 0,5118 0,3822 0,0718 -0,3836 -0,8963 -1,3513 -1,6431 -1,7135 -1,5689 -1,2672 -0,8917 -0,5237 -0,2131 0,0324 0,2204 0,3393 0,3544 0,2377 -0,0009 -0,3067 -0,5988 -0,8016 -0,8744 -0,8238 -0,6907 -0,5245 -0,3686 -0,2643 -0,2555 -0,3833 -0,6742 -1,1292 -1,7131 -2,3512 -2,9413 -3,3800 -3,5881 -3,5272 -3,2116 -2,7162 -2,1535 -1,6166 -1,1362 -0,6859 -0,2188 0,2900 0,8217 1,3351 1,8017 2,2065 2,5213 2,7063 2,7458 2,6718 2,5458 2,4174 2,2927 2,1414 1,9252 1,6128 1,1807 0,6200 -0,0548 -0,8079 -1,5964 -2,3907 -3,1865 -3,9871 -4,7646 -5,4461 -5,9442 -6,1966 -6,1843 -5,9252 -5,4596 -4,8395 -4,1307 -3,4233 -2,8182 -2,3825 -2,1218 -2,0108 -2,0454 -2,2424 -2,5835 -2,9810 -3,3012 -3,4135 -3,2418 -2,7925 -2,1274 -1,3078 -0,3584 0,7367 1,9936 3,3604 4,6952 5,8265 6,6376 7,1047 7,2827 7,2672 7,1524 6,9969 6,8267 6,6677 6,5551 6,5041 6,4829 6,4198 6,2384 5,9010 5,4311 4,8994 4,3899 3,9686 3,6671 3,4805 3,3697 3,2657 3,0882 2,7753 2,3054 1,7073 1,0634 0,4866 0,0721 -0,1423 -0,1827 -0,1140 -0,0011 0,1307 0,3057 0,5719 0,9602 1,4606 2,0282 2,6173 3,2138 3,8204 4,4040 4,8696 5,0956 5,0023 4,6080 4,0307 3,4189 2,8699 2,3998 1,9749 1,5661 1,1720 0,7965 0,4282 0,0547 -0,3098 -0,6195 -0,8232 -0,9039 -0,8983 -0,8751 -0,8929 -0,9863 -1,1846 -1,5175 -1,9936 -2,5872 -3,2529 -3,9490 -4,6411 -5,2868 -5,8289 -6,2154 -6,4194 -6,4292 -6,2295 -5,8090 -5,1906 -4,4566 -3,7439 -3,1966 -2,8974 -2,8174 -2,8251 -2,7605 -2,5162 -2,0707 -1,4827 -0,8735 -0,3902 -0,1483 -0,1917 -0,4950 -0,9875 -1,5736 -2,1504 -2,6356 -2,9900 -3,2163 -3,3413 -3,4061 -3,4576 -3,5257 -3,6050 -3,6663 -3,6948 -3,7183 -3,7921 -3,9511 -4,1785 -4,4188 -4,6127 -4,7225 -4,7444 -4,7102 -4,6697 -4,6559 -4,6745 -4,7254 -4,8157 -4,9513 -5,1226 -5,2859 -5,3674 -5,3008 -5,0559 -4,6358 -4,0685 -3,4135 -2,7723 -2,2763 -2,0330 -2,0753 -2,3641 -2,8139 -3,3114 -3,7416 -4,0208 -4,1177 -4,0636 -3,9401 -3,8375 -3,8165 -3,9050 -4,1107 -4,4310 -4,8529 -5,3369 -5,8051 -6,1684 -6,3773 -6,4373 -6,3835 -6,2552 -6,0875 -5,8977 -5,6671 -5,3501 -4,9167 -4,3859 -3,8149 -3,2601 -2,7527 -2,2990 -1,8910 -1,5186 -1,1831 -0,8991 -0,6823 -0,5378 -0,4616 -0,4488 -0,4962 -0,5942 -0,7116 -0,7881 -0,7500 -0,5408 -0,1452 0,3984 1,0021 1,5530 1,9551 2,1676 2,2098 2,1293 1,9725 1,7827 1,6094 1,4984 1,4622 1,4658 1,4515 1,3797 1,2488 1,0833 0,9126 0,7585 0,6278 0,5058 0,3649 0,1926 0,0104 -0,1467 -0,2580 -0,3180 -0,3243 -0,2764 -0,1765 -0,0261 0,1720 0,4051 0,6516 0,8965 1,1418 1,3985 1,6689 1,9339 2,1534 2,2759 2,2550 2,0620 1,6867 1,1340 0,4338 -0,3471 -1,1167 -1,7924 -2,3239 -2,6925 -2,9031 -2,9837 -2,9822 -2,9521 -2,9316 -2,9341 -2,9506 -2,9622 -2,9654 -2,9928 -3,0969 -3,3059 -3,6092 -3,9844 -4,4090 -4,8467 -5,2400 -5,5332 -5,6995 -5,7465 -5,6954 -5,5662 -5,3856 -5,1918 -5,0156 -4,8555 -4,6716 -4,4032 -3,9997 -3,4512 -2,8063 -2,1691 -1,6641 -1,3771 -1,3218 -1,4546 -1,7038 -1,9760 -2,1624 -2,1712 -1,9696 -1,6022 -1,1713 -0,7857 -0,5143 -0,3746 -0,3509 -0,4186 -0,5486 -0,7005 -0,8297 -0,9123 -0,9564 -0,9819 -1,0020 -1,0214 -1,0355 -1,0178 -0,9267 -0,7458 -0,5157 -0,3183 -0,2346 -0,3179 -0,5843 -1,0039 -1,5022 -1,9860 -2,3845 -2,6743 -2,8765 -3,0361 -3,1901 -3,3429 -3,4674 -3,5242 -3,4770 -3,3078 -3,0353 -2,7207 -2,4340 -2,2002 -1,9884 -1,7513 -1,4728 -1,1849 -0,9523 -0,8387 -0,8753 -1,0309 -1,1964 -1,2190 -0,9798 -0,4550 0,2775 1,0725 1,7637 2,2137 2,3600 2,2334 1,9226 1,5136 1,0585 0,5815 0,0968 -0,3807 -0,8321 -1,2396 -1,6000 -1,9297 -2,2521 -2,5864 -2,9457 -3,3321 -3,7291 -4,1032 -4,4142 -4,6248 -4,7016 -4,6276 -4,4270 -4,1637 -3,8978 -3,6375 -3,3416 -2,9743 -2,5532 -2,1357 -1,7737 -1,5003 -1,3427 -1,3211 -1,4364 -1,6660 -1,9721 -2,3184 -2,6833 -3,0599 -3,4446 -3,8183 -4,1395 -4,3670 -4,4893 -4,5216 -4,4764 -4,3444 -4,1036 -3,7461 -3,2919 -2,7723 -2,2028 -1,5776 -0,8914 -0,1657 0,5462 1,1766 1,6735 2,0238 2,2530 2,3971 2,4693 2,4519 2,3266 2,1157 1,8919 1,7425 1,7196 1,8239 2,0303 2,3121 2,6464 3,0150 3,4050 3,8051 4,1954 4,5292 4,7388 4,7841 4,6903 4,5253 4,3479 4,1813 4,0163 3,8297 3,6111 3,3771 3,1639 3,0161 2,9723 3,0303 3,1205 3,1265 2,9435 2,5256 1,8977 1,1449 0,3832 -0,2838 -0,7978 -1,1504 -1,3753 -1,5361 -1,6946 -1,8730 -2,0520 -2,2053 -2,3295 -2,4428 -2,5701 -2,7342 -2,9466 -3,1942 -3,4409 -3,6512 -3,8106 -3,9229 -3,9948 -4,0257
F7    0,6066 0,6583 0,6727 0,6330 0,5682 0,5227 0,5141 0,5198 0,4976 0,4174 0,2753 0,0845 -0,1381 -0,3683 -0,5722 -0,7255 -0,8369 -0,9355 -1,0278 -1,0829 -1,0668 -0,9797 -0,8466 -0,6830 -0,4916 -0,2860 -0,0965 0,0493 0,1437 0,2035 0,2525 0,2882 0,2719 0,1645 -0,0308 -0,2674 -0,4799 -0,6027 -0,5863 -0,4205 -0,1436 0,1685 0,4300 0,5836 0,6252 0,5989 0,5730 0,6142 0,7556 0,9759 1,2145 1,4036 1,4923 1,4610 1,3212 1,1036 0,8518 0,6199 0,4604 0,3971 0,4138 0,4761 0,5606 0,6648 0,8015 0,9815 1,1913 1,3819 1,4849 1,4465 1,2560 0,9535 0,6151 0,3230 0,1348 0,0672 0,1029 0,2144 0,3846 0,6030 0,8429 1,0446 1,1280 1,0293 0,7373 0,3069 -0,1555 -0,5291 -0,7168 -0,6713 -0,4022 0,0338 0,5573 1,0953 1,6056 2,0833 2,5488 3,0192 3,4809 3,8894 4,1913 4,3472 4,3491 4,2309 4,0593 3,9023 3,7996 3,7520 3,7266 3,6752 3,5586 3,3589 3,0728 2,6985 2,2326 1,6703 1,0013 0,2162 -0,6776 -1,6432 -2,6021 -3,4388 -4,0412 -4,3476 -4,3613 -4,1306 -3,7139 -3,1610 -2,5192 -1,8452 -1,1972 -0,6165 -0,1248 0,2613 0,5139 0,6074 0,5551 0,4268 0,3256 0,3478 0,5489 0,9352 1,4833 2,1615 2,9408 3,8058 4,7472 5,7260 6,6489 7,4003 7,9069 8,1759 8,2778 8,3045 8,3326 8,3996 8,5025 8,6202 8,7374 8,8450 8,9234 8,9301 8,8017 8,4831 7,9675 7,3083 6,5871 5,8745 5,2154 4,6303 4,1136 3,6394 3,1838 2,7432 2,3373 2,0011 1,7765 1,7001 1,7845 2,0035 2,2980 2,6033 2,8749 3,1005 3,2945 3,4814 3,6814 3,9016 4,1394 4,4056 4,7384 5,1723 5,6870 6,1865 6,5325 6,6171 6,4281 6,0543 5,6217 5,2188 4,8651 4,5318 4,1929 3,8586 3,5555 3,2882 3,0414 2,8174 2,6477 2,5630 2,5613 2,6068 2,6519 2,6544 2,5826 2,4193 2,1671 1,8440 1,4670 1,0377 0,5409 -0,0390 -0,6887 -1,3489 -1,9314 -2,3483 -2,5303 -2,4410 -2,0983 -1,5846 -1,0289 -0,5699 -0,3097 -0,2774 -0,4174 -0,6155 -0,7509 -0,7373 -0,5319 -0,1365 0,3919 0,9445 1,3953 1,6490 1,6815 1,5529 1,3735 1,2369 1,1698 1,1323 1,0597 0,9134 0,7043 0,4775 0,2820 0,1500 0,0812 0,0342 -0,0563 -0,2446 -0,5469 -0,9340 -1,3382 -1,6726 -1,8710 -1,9285 -1,9006 -1,8587 -1,8390 -1,8294 -1,7973 -1,7219 -1,6099 -1,4889 -1,3869 -1,3146 -1,2600 -1,1874 -1,0480 -0,8052 -0,4617 -0,0749 0,2499 0,3985 0,2968 -0,0570 -0,5910 -1,1920 -1,7539 -2,2026 -2,4932 -2,6096 -2,5678 -2,4026 -2,1539 -1,8712 -1,6161 -1,4515 -1,4276 -1,5634 -1,8234 -2,1233 -2,3759 -2,5279 -2,5615 -2,4876 -2,3448 -2,1827 -2,0250 -1,8496 -1,6117 -1,2908 -0,9120 -0,5185 -0,1369 0,2209 0,5378 0,7910 0,9646 1,0550 1,0647 1,0025 0,8914 0,7724 0,6902 0,6743 0,7356 0,8751 1,0845 1,3428 1,6220 1,8949 2,1337 2,3097 2,3978 2,3889 2,3045 2,1943 2,1127 2,0956 2,1460 2,2308 2,2996 2,3177 2,2842 2,2202 2,1488 2,0867 2,0461 2,0324 2,0345 2,0250 1,9796 1,9060 1,8548 1,8845 2,0092 2,1854 2,3454 2,4387 2,4472 2,3825 2,2761 2,1655 2,0891 2,0838 2,1740 2,3617 2,6236 2,9116 3,1619 3,3113 3,3091 3,1231 2,7459 2,2015 1,5516 0,8878 0,2964 -0,1746 -0,5153 -0,7315 -0,8410 -0,8856 -0,9244 -1,0011 -1,1179 -1,2416 -1,3302 -1,3546 -1,3150 -1,2558 -1,2528 -1,3669 -1,6089 -1,9416 -2,2979 -2,5982 -2,7723 -2,7774 -2,6070 -2,2928 -1,8975 -1,4956 -1,1562 -0,9318 -0,8459 -0,8810 -0,9756 -1,0343 -0,9614 -0,7103 -0,3205 0,0940 0,4050 0,5333 0,4746 0,2861 0,0601 -0,0985 -0,1041 0,0704 0,3848 0,7595 1,1072 1,3521 1,4436 1,3716 1,1707 0,9003 0,6212 0,3876 0,2417 0,1955 0,2255 0,3001 0,4096 0,5609 0,7525 0,9651 1,1704 1,3388 1,4466 1,4797 1,4298 1,2848 1,0216 0,6195 0,0932 -0,4891 -1,0295 -1,4481 -1,7124 -1,8326 -1,8363 -1,7520 -1,6158 -1,4703 -1,3402 -1,2194 -1,0931 -0,9689 -0,8825 -0,8664 -0,9101 -0,9506 -0,9061 -0,7397 -0,4981 -0,2823 -0,1755 -0,1905 -0,2621 -0,2807 -0,1491 0,1697 0,6386 1,1645 1,6348 1,9561 2,0885 2,0587 1,9311 1,7641 1,5983 1,4626 1,3654 1,2800 1,1565 0,9493 0,6304 0,1925 -0,3450 -0,9377 -1,5317 -2,0788 -2,5356 -2,8607 -3,0268 -3,0386 -2,9236 -2,7052 -2,3983 -2,0265 -1,6260 -1,2275 -0,8392 -0,4551 -0,0806 0,2585 0,5223 0,6651 0,6519 0,4813 0,1848 -0,1882 -0,5779 -0,9229 -1,1846 -1,3656 -1,5028 -1,6338 -1,7653 -1,8733 -1,9273 -1,9035 -1,7807 -1,5374 -1,1609 -0,6644 -0,0992 0,4605 0,9521 1,3503 1,6666 1,9289 2,1554 2,3485 2,5156 2,6882 2,9071 3,1857 3,4882 3,7411 3,8715 3,8499 3,7076 3,5191 3,3567 3,2582 3,2292 3,2600 3,3325 3,4243 3,5190 3,6162 3,7258 3,8430 3,9390 3,9870 3,9877 3,9618 3,9274 3,8900 3,8532 3,8316 3,8506 3,9349 4,0917 4,2929 4,4730 4,5586 4,5047 4,3024 3,9579 3,4732 2,8573 2,1572 1,4610 0,8571 0,3981 0,0983 -0,0611 -0,1300 -0,1666 -0,1938 -0,1874 -0,1197 -0,0078 0,0874 0,0981 -0,0145 -0,2402 -0,5211 -0,7768 -0,9410 -0,9843 -0,9113 -0,7481 -0,5359
