Fp1   -0,6383 -0,7116 -0,7126 -0,6405 -0,4813 -0,2595 -0,0489 0,0715 0,0663 -0,0469 -0,2199 -0,4069 -0,5857 -0,7535 -0,9060 -1,0242 -1,0724 -1,0099 -0,8208 -0,5334 -0,2037 0,1130 0,3682 0,5122 0,5083 0,3647 0,1337 -0,1296 -0,3913 -0,6257 -0,8080 -0,9227 -0,9591 -0,9006 -0,7389 -0,4964 -0,2209 0,0419 0,2733 0,4890 0,7172 0,9694 1,2323 1,4757 1,6568 1,7385 1,7221 1,6538 1,5909 1,5702 1,6034 1,6810 1,7770 1,8696 1,9617 2,0707 2,1983 2,3146 2,3743 2,3488 2,2432 2,0864 1,9178 1,7775 1,6958 1,6834 1,7352 1,8441 2,0115 2,2323 2,4678 2,6468 2,7037 2,6178 2,4195 2,1654 1,9111 1,7019 1,5731 1,5473 1,6284 1,7968 2,0104 2,2103 2,3281 2,3106 2,1501 1,8897 1,5973 1,3322 1,1222 0,9601 0,8135 0,6467 0,4435 0,2103 -0,0464 -0,3335 -0,6472 -0,9445 -1,1624 -1,2737 -1,3182 -1,3750 -1,5094 -1,7361 -2,0216 -2,3179 -2,5866 -2,8037 -2,9710 -3,1225 -3,3013 -3,5321 -3,8202 -4,1582 -4,5269 -4,8976 -5,2411 -5,5334 -5,7617 -5,9249 -6,0255 -6,0620 -6,0286 -5,9101 -5,6762 -5,2953 -4,7622 -4,1094 -3,3959 -2,6804 -1,9942 -1,3371 -0,6943 -0,0534 0,5903 1,2407 1,9067 2,5904 3,2702 3,9091 4,4782 4,9620 5,3508 5,6405 5,8452 5,9967 6,1180 6,2075 6,2551 6,2540 6,1889 6,0360 5,7776 5,4091 4,9428 4,4197 3,9032 3,4501 3,0913 2,8399 2,7086 2,7100 2,8405 3,0645 3,3194 3,5459 3,7175 3,8421 3,9424 4,0304 4,1004 4,1521 4,2073 4,2899 4,4016 4,5243 4,6310 4,6837 4,6340 4,4486 4,1325 3,7223 3,2734 2,8658 2,6041 2,5713 2,7649 3,0911 3,4307 3,7050 3,8862 3,9679 3,9388 3,7839 3,5037 3,1267 2,6912 2,2269 1,7579 1,3152 0,9395 0,6780 0,5688 0,6191 0,7922 1,0159 1,2034 1,2791 1,2105 1,0323 0,8308 0,6860 0,6334 0,6849 0,8609 1,1746 1,5952 2,0426 2,4207 2,6566 2,7226 2,6295 2,4137 2,1465 1,9393 1,9062 2,1046 2,5088 3,0279 3,5473 3,9690 4,2258 4,2772 4,1154 3,7806 3,3467 2,8813 2,4235 1,9955 1,6195 1,3250 1,1514 1,1338 1,2801 1,5640 1,9315 2,3141 2,6572 2,9388 3,1559 3,3042 3,3831 3,4088 3,4141 3,4441 3,5486 3,7666 4,1133 4,5711 5,0765 5,5239 5,8031 5,8449 5,6425 5,2370 4,6888 4,0623 3,4315 2,8774 2,4629 2,2024 2,0592 1,9782 1,9323 1,9356 2,0161 2,1814 2,4047 2,6275 2,7726 2,7791 2,6423 2,4089 2,1273 1,8244 1,5245 1,2631 1,0773 0,9933 1,0217 1,1626 1,4074 1,7237 2,0477 2,3071 2,4487 2,4491 2,3180 2,0865 1,7912 1,4740 1,1891 0,9932 0,9257 0,9993 1,2025 1,5015 1,8437 2,1717 2,4417 2,6388 2,7827 2,9096 3,0390 3,1592 3,2545 3,3363 3,4323 3,5520 3,6793 3,7888 3,8594 3,8792 3,8487 3,7852 3,7141 3,6511 3,5982 3,5590 3,5549 3,6226 3,7913 4,0508 4,3395 4,5733 4,6945 4,7003 4,6346 4,5623 4,5354 4,5657 4,6250 4,6712 4,6740 4,6220 4,5203 4,3920 4,2795 4,2344 4,2977 4,4837 4,7616 5,0524 5,2649 5,3419 5,2718 5,0787 4,8092 4,5155 4,2432 4,0286 3,8974 3,8619 3,9147 4,0277 4,1652 4,2927 4,3745 4,3767 4,2866 4,1217 3,9090 3,6604 3,3704 3,0367 2,6814 2,3531 2,1044 1,9592 1,8982 1,8754 1,8504 1,8103 1,7738 1,7790 1,8561 2,0094 2,2304 2,5109 2,8249 3,1097 3,2880 3,3179 3,2256 3,0872 2,9837 2,9645 3,0281 3,1131 3,1300 3,0257 2,8170 2,5585 2,2945 2,0417 1,8011 1,5792 1,3937 1,2574 1,1583 1,0659 0,9578 0,8340 0,7119 0,6205 0,5874 0,6212 0,7123 0,8482 1,0126 1,1829 1,3438 1,4868 1,5884 1,6131 1,5491 1,4311 1,3259 1,2961 1,3697 1,5351 1,7639 2,0399 2,3675 2,7535 3,1799 3,5923 3,9142 4,0791 4,0506 3,8239 3,4302 2,9475 2,4826 2,1274 1,9249 1,8610 1,8794 1,9108 1,9024 1,8358 1,7319 1,6388 1,6022 1,6381 1,7297 1,8428 1,9387 1,9811 1,9429 1,8155 1,6061 1,3235 0,9778 0,6092 0,3032 0,1522 0,1968 0,4063 0,7004 0,9884 1,2153 1,3808 1,5205 1,6778 1,8806 2,1186 2,3430 2,4950 2,5300 2,4282 2,2067 1,9243 1,6569 1,4609 1,3480 1,2842 1,2189 1,1200 0,9867 0,8382 0,7027 0,6069 0,5546 0,5158 0,4485 0,3313 0,1731 -0,0014 -0,1680 -0,3023 -0,3672 -0,3201 -0,1453 0,1251 0,4335 0,7362 1,0231 1,3104 1,6230 1,9723 2,3416 2,7010 3,0409 3,3798 3,7411 4,1358 4,5616 4,9970 5,3930 5,6806 5,7960 5,7052 5,4163 4,9811 4,4826 4,0072 3,6232 3,3669 3,2321 3,1723 3,1252 3,0424 2,9025 2,7005 2,4341 2,1056 1,7348 1,3599 1,0288 0,7901 0,6685 0,6359 0,6158 0,5294 0,3462 0,1053 -0,1144 -0,2562 -0,3231 -0,3574 -0,3917 -0,4327 -0,4891 -0,5914 -0,7636 -0,9828 -1,1868 -1,3190 -1,3518 -1,2809 -1,1183 -0,8906 -0,6311 -0,3614 -0,0811 0,2175 0,5316 0,8463 1,1404 1,3858 1,5396 1,5458 1,3620 0,9958 0,5116 0,0040 -0,4309 -0,7152 -0,8026 -0,6923 -0,4361 -0,1250 0,1524 0,3458 0,4353 0,4124 0,2955 0,1539 0,0879 0,1725 0,4161 0,7600 1,1115 1,3811 1,5069 1,4746 1,3232
Fz    1,6030 1,4305 1,2921 1,1837 1,0943 0,9883 0,8136 0,5393 0,1833 -0,1948 -0,5299 -0,7832 -0,9486 -1,0366 -1,0556 -1,0032 -0,8646 -0,6205 -0,2690 0,1476 0,5479 0,8543 1,0241 1,0388 0,8906 0,5967 0,2111 -0,1947 -0,5637 -0,8723 -1,1248 -1,3278 -1,4752 -1,5566 -1,5660 -1,5021 -1,3679 -1,1660 -0,8946 -0,5563 -0,1710 0,2179 0,5530 0,7844 0,8918 0,8961 0,8573 0,8562 0,9596 1,1895 1,5259 1,9280 2,3452 2,7252 3,0282 3,2328 3,3285 3,3117 3,1935 3,0035 2,7774 2,5384 2,2986 2,0759 1,9002 1,7971 1,7728 1,8199 1,9334 2,1097 2,3314 2,5615 2,7572 2,8888 2,9520 2,9667 2,9651 2,9832 3,0564 3,2095 3,4388 3,7068 3,9616 4,1592 4,2648 4,2483 4,0914 3,7995 3,4074 2,9723 2,5567 2,2083 1,9438 1,7504 1,6048 1,4910 1,4054 1,3552 1,3529 1,4035 1,4881 1,5565 1,5429 1,4000 1,1253 0,7589 0,3576 -0,0307 -0,3739 -0,6594 -0,9050 -1,1584 -1,4753 -1,8877 -2,3849 -2,9189 -3,4287 -3,8652 -4,2031 -4,4350 -4,5627 -4,5977 -4,5617 -4,4773 -4,3531 -4,1724 -3,8998 -3,5072 -2,9978 -2,4010 -1,7518 -1,0738 -0,3748 0,3460 1,0793 1,7975 2,4735 3,1033 3,7020 4,2851 4,8536 5,3926 5,8791 6,2913 6,6154 6,8548 7,0340 7,1872 7,3421 7,5197 7,7417 8,0219 8,3495 8,6839 8,9696 9,1605 9,2404 9,2243 9,1389 9,0002 8,8139 8,5955 8,3808 8,2097 8,1029 8,0561 8,0533 8,0814 8,1323 8,1999 8,2779 8,3567 8,4271 8,4947 8,5835 8,7210 8,9250 9,1969 9,5071 9,7882 9,9577 9,9576 9,7760 9,4438 9,0247 8,6043 8,2685 8,0681 7,9907 7,9705 7,9335 7,8356 7,6628 7,4115 7,0814 6,6826 6,2421 5,7959 5,3767 5,0080 4,7007 4,4516 4,2553 4,1171 4,0435 4,0215 4,0192 4,0064 3,9677 3,8955 3,7824 3,6355 3,4944 3,4178 3,4473 3,5905 3,8313 4,1408 4,4746 4,7758 4,9919 5,0960 5,0909 4,9962 4,8402 4,6733 4,5787 4,6429 4,9026 5,3225 5,8209 6,3118 6,7302 7,0342 7,2012 7,2368 7,1791 7,0770 6,9602 6,8374 6,7130 6,5962 6,4997 6,4406 6,4381 6,5064 6,6422 6,8190 6,9935 7,1226 7,1780 7,1498 7,0467 6,8951 6,7315 6,5893 6,4896 6,4408 6,4470 6,5156 6,6407 6,7791 6,8611 6,8332 6,6807 6,4184 6,0769 5,6971 5,3207 4,9789 4,6946 4,4875 4,3674 4,3225 4,3281 4,3684 4,4456 4,5653 4,7192 4,8768 4,9914 5,0149 4,9169 4,6921 4,3532 3,9228 3,4393 2,9620 2,5558 2,2720 2,1360 2,1424 2,2601 2,4444 2,6479 2,8376 3,0096 3,1767 3,3458 3,5133 3,6718 3,8106 3,9245 4,0279 4,1532 4,3315 4,5760 4,8826 5,2360 5,6136 5,9857 6,3215 6,6025 6,8270 7,0029 7,1382 7,2441 7,3452 7,4760 7,6544 7,8628 8,0619 8,2180 8,3177 8,3578 8,3328 8,2365 8,0762 7,8784 7,6836 7,5391 7,4923 7,5697 7,7513 7,9692 8,1462 8,2412 8,2671 8,2749 8,3218 8,4415 8,6343 8,8723 9,1093 9,2927 9,3770 9,3348 9,1668 8,9083 8,6203 8,3637 8,1805 8,0916 8,0896 8,1289 8,1426 8,0788 7,9251 7,7092 7,4766 7,2570 7,0550 6,8660 6,6903 6,5336 6,4013 6,2939 6,2100 6,1485 6,1003 6,0373 5,9222 5,7296 5,4565 5,1227 4,7664 4,4296 4,1407 3,9131 3,7565 3,6753 3,6566 3,6717 3,6974 3,7314 3,7877 3,8816 4,0178 4,1928 4,4121 4,6894 5,0199 5,3662 5,6802 5,9338 6,1322 6,3079 6,5012 6,7365 7,0029 7,2548 7,4452 7,5656 7,6475 7,7268 7,8183 7,9162 8,0000 8,0445 8,0388 7,9954 7,9375 7,8846 7,8469 7,8206 7,7899 7,7382 7,6578 7,5523 7,4379 7,3405 7,2764 7,2357 7,1893 7,1028 6,9439 6,6939 6,3657 6,0104 5,7034 5,5135 5,4756 5,5846 5,8077 6,1024 6,4313 6,7662 7,0828 7,3522 7,5404 7,6182 7,5728 7,4112 7,1562 6,8434 6,5188 6,2251 5,9786 5,7596 5,5309 5,2641 4,9538 4,6161 4,2778 3,9641 3,6938 3,4792 3,3235 3,2218 3,1674 3,1559 3,1821 3,2361 3,3011 3,3542 3,3732 3,3523 3,3170 3,3144 3,3815 3,5213 3,7024 3,8753 4,0019 4,0753 4,1108 4,1203 4,0979 4,0228 3,8763 3,6568 3,3788 3,0647 2,7439 2,4542 2,2344 2,1096 2,0776 2,1061 2,1467 2,1545 2,0992 1,9703 1,7798 1,5571 1,3303 1,1144 0,9181 0,7559 0,6422 0,5738 0,5249 0,4700 0,4161 0,4075 0,4913 0,6833 0,9683 1,3204 1,7127 2,1216 2,5353 2,9568 3,3956 3,8609 4,3603 4,8946 5,4480 5,9914 6,4966 6,9403 7,2954 7,5250 7,5916 7,4740 7,1806 6,7518 6,2472 5,7340 5,2798 4,9381 4,7286 4,6336 4,6131 4,6230 4,6209 4,5616 4,3994 4,1029 3,6670 3,1162 2,5047 1,9095 1,4025 1,0116 0,7148 0,4761 0,2853 0,1717 0,1768 0,3035 0,4969 0,6820 0,8131 0,8851 0,9131 0,9167 0,9169 0,9360 0,9853 1,0520 1,1076 1,1317 1,1269 1,1138 1,1170 1,1554 1,2366 1,3549 1,4896 1,6046 1,6513 1,5871 1,3939 1,0770 0,6594 0,1861 -0,2790 -0,6722 -0,9441 -1,0590 -0,9958 -0,7585 -0,3858 0,0568 0,5027 0,9064 1,2391 1,4728 1,5858 1,5887 1,5302 1,4722 1,4587 1,4998 1,5709 1,6221 1,6051 1,5046 1,3470
F3    1,1613 1,0786 1,0090 0,9429 0,8719 0,7652 0,5752 0,2738 -0,1174 -0,5335 -0,8990 -1,1623 -1,3085 -1,3479 -1,2954 -1,1547 -0,9134 -0,5520 -0,0735 0,4697 0,9884 1,4028 1,6708 1,7710 1,6853 1,4178 1,0156 0,5558 0,1103 -0,2796 -0,6061 -0,8752 -1,0891 -1,2476 -1,3513 -1,3988 -1,3865 -1,3071 -1,1498 -0,9070 -0,5885 -0,2299 0,1129 0,3839 0,5473 0,6009 0,5807 0,5503 0,5687 0,6638 0,8304 1,0431 1,2640 1,4556 1,5958 1,6789 1,6999 1,6492 1,5277 1,3627 1,1976 1,0642 0,9740 0,9328 0,9482 1,0179 1,1191 1,2232 1,3200 1,4202 1,5301 1,6313 1,6904 1,6838 1,6138 1,5099 1,4159 1,3771 1,4348 1,6180 1,9211 2,2945 2,6663 2,9736 3,1705 3,2267 3,1338 2,9130 2,6119 2,2907 2,0087 1,8097 1,7064 1,6806 1,7019 1,7437 1,7903 1,8406 1,9053 1,9924 2,0864 2,1383 2,0836 1,8812 1,5412 1,1173 0,6752 0,2626 -0,0967 -0,4008 -0,6757 -0,9737 -1,3518 -1,8419 -2,4315 -3,0666 -3,6752 -4,1951 -4,5891 -4,8465 -4,9773 -5,0087 -4,9752 -4,9024 -4,7956 -4,6366 -4,3888 -4,0214 -3,5359 -2,9618 -2,3300 -1,6564 -0,9416 -0,1817 0,6129 1,4105 2,1795 2,9125 3,6211 4,3169 5,0006 5,6592 6,2675 6,7957 7,2190 7,5294 7,7392 7,8690 7,9360 7,9609 7,9791 8,0299 8,1309 8,2647 8,3886 8,4580 8,4504 8,3732 8,2481 8,0897 7,9034 7,7038 7,5251 7,4030 7,3511 7,3580 7,4009 7,4563 7,5038 7,5317 7,5406 7,5382 7,5356 7,5516 7,6096 7,7253 7,9008 8,1272 8,3791 8,6071 8,7501 8,7653 8,6454 8,4127 8,1125 7,8135 7,5935 7,5026 7,5299 7,6071 7,6538 7,6175 7,4781 7,2308 6,8752 6,4185 5,8835 5,3094 4,7417 4,2201 3,7710 3,4046 3,1222 2,9279 2,8238 2,7953 2,8082 2,8214 2,7991 2,7170 2,5697 2,3804 2,2008 2,0900 2,0852 2,1932 2,4009 2,6826 2,9972 3,2908 3,5136 3,6382 3,6615 3,5933 3,4522 3,2817 3,1629 3,1840 3,3838 3,7289 4,1425 4,5491 4,8959 5,1450 5,2662 5,2513 5,1276 4,9402 4,7220 4,4895 4,2575 4,0504 3,9015 3,8446 3,8989 4,0537 4,2709 4,5028 4,7119 4,8797 4,9986 5,0616 5,0650 5,0199 4,9516 4,8895 4,8579 4,8761 4,9663 5,1518 5,4310 5,7490 6,0087 6,1229 6,0592 5,8419 5,5244 5,1647 4,8134 4,5075 4,2690 4,1116 4,0388 4,0370 4,0813 4,1540 4,2508 4,3663 4,4811 4,5636 4,5809 4,5102 4,3477 4,1093 3,8172 3,4889 3,1438 2,8122 2,5305 2,3305 2,2315 2,2347 2,3264 2,4791 2,6517 2,8042 2,9171 2,9880 3,0177 3,0088 2,9675 2,8993 2,8130 2,7302 2,6852 2,7116 2,8288 3,0424 3,3458 3,7122 4,0878 4,4071 4,6233 4,7281 4,7456 4,7129 4,6683 4,6521 4,7026 4,8359 5,0308 5,2398 5,4154 5,5283 5,5657 5,5219 5,3978 5,2079 4,9816 4,7559 4,5726 4,4771 4,5013 4,6349 4,8171 4,9683 5,0372 5,0265 4,9859 4,9816 5,0630 5,2446 5,5044 5,7927 6,0475 6,2163 6,2699 6,2092 6,0665 5,8962 5,7539 5,6776 5,6802 5,7436 5,8181 5,8432 5,7787 5,6227 5,4129 5,2060 5,0402 4,9200 4,8344 4,7757 4,7427 4,7348 4,7487 4,7797 4,8235 4,8685 4,8877 4,8465 4,7224 4,5135 4,2367 3,9229 3,6062 3,3128 3,0638 2,8843 2,7931 2,7820 2,8171 2,8667 2,9199 2,9842 3,0714 3,1832 3,3114 3,4549 3,6213 3,8008 3,9558 4,0499 4,0804 4,0823 4,1095 4,2101 4,4009 4,6492 4,8811 5,0223 5,0431 4,9648 4,8254 4,6531 4,4620 4,2540 4,0227 3,7716 3,5259 3,3177 3,1670 3,0749 3,0231 2,9836 2,9334 2,8644 2,7844 2,7149 2,6839 2,7060 2,7658 2,8249 2,8380 2,7638 2,5798 2,3025 1,9940 1,7417 1,6230 1,6738 1,8841 2,2143 2,6165 3,0507 3,4908 3,9160 4,2981 4,5988 4,7812 4,8227 4,7195 4,4875 4,1641 3,8051 3,4698 3,1950 2,9810 2,8017 2,6276 2,4419 2,2456 2,0548 1,8889 1,7598 1,6709 1,6204 1,6045 1,6205 1,6662 1,7370 1,8264 1,9247 2,0135 2,0689 2,0811 2,0765 2,1082 2,2179 2,4096 2,6495 2,8823 3,0593 3,1605 3,1909 3,1617 3,0765 2,9283 2,7106 2,4303 2,1085 1,7705 1,4437 1,1612 0,9581 0,8588 0,8615 0,9323 1,0156 1,0541 1,0030 0,8404 0,5774 0,2515 -0,0993 -0,4566 -0,8110 -1,1436 -1,4292 -1,6577 -1,8426 -2,0011 -2,1215 -2,1583 -2,0674 -1,8412 -1,5071 -1,1023 -0,6591 -0,2028 0,2517 0,7008 1,1493 1,6050 2,0771 2,5678 3,0615 3,5284 3,9420 4,2848 4,5380 4,6771 4,6801 4,5391 4,2673 3,8982 3,4772 3,0550 2,6876 2,4257 2,2898 2,2584 2,2819 2,3042 2,2746 2,1485 1,8907 1,4857 0,9437 0,3035 -0,3658 -0,9752 -1,4487 -1,7619 -1,9447 -2,0456 -2,0901 -2,0641 -1,9378 -1,7173 -1,4642 -1,2559 -1,1341 -1,0955 -1,1143 -1,1606 -1,2023 -1,2067 -1,1584 -1,0727 -0,9801 -0,8978 -0,8217 -0,7384 -0,6372 -0,5097 -0,3485 -0,1541 0,0548 0,2369 0,3360 0,3069 0,1336 -0,1741 -0,5876 -1,0578 -1,5224 -1,9254 -2,2267 -2,3992 -2,4282 -2,3212 -2,1147 -1,8639 -1,6167 -1,3968 -1,2143 -1,0864 -1,0287 -1,0281 -1,0404 -1,0164 -0,9260 -0,7691 -0,5776 -0,4082 -0,3197 -0,3399 -0,4500
F7    -0,3142 -0,5976 -0,9208 -1,2647 -1,5854 -1,8419 -2,0163 -2,1187 -2,1819 -2,2365 -2,2771 -2,2611 -2,1496 -1,9413 -1,6702 -1,3845 -1,1225 -0,8936 -0,6754 -0,4366 -0,1787 0,0431 0,1603 0,1646 0,1309 0,1653 0,3284 0,5987 0,9032 1,1730 1,3594 1,4194 1,3361 1,1425 0,8962 0,6574 0,4913 0,4512 0,5521 0,7732 1,0747 1,4021 1,6926 1,8943 1,9863 1,9836 1,9242 1,8503 1,7856 1,7283 1,6668 1,5983 1,5356 1,5041 1,5336 1,6383 1,7939 1,9332 1,9819 1,9134 1,7611 1,5814 1,4259 1,3447 1,3808 1,5404 1,7750 2,0071 2,1780 2,2712 2,2968 2,2722 2,2146 2,1350 2,0348 1,9120 1,7763 1,6601 1,6131 1,6796 1,8690 2,1446 2,4461 2,7162 2,9116 3,0146 3,0367 2,9961 2,8960 2,7400 2,5611 2,4111 2,3201 2,2773 2,2517 2,2272 2,2199 2,2643 2,3851 2,5732 2,7813 2,9389 2,9746 2,8402 2,5287 2,0785 1,5554 1,0171 0,4865 -0,0480 -0,6147 -1,2456 -1,9617 -2,7499 -3,5483 -4,2656 -4,8319 -5,2339 -5,4959 -5,6420 -5,6931 -5,6810 -5,6392 -5,5889 -5,5378 -5,4703 -5,3374 -5,0831 -4,6917 -4,1960 -3,6405 -3,0500 -2,4241 -1,7460 -0,9927 -0,1556 0,7325 1,6013 2,3908 3,0873 3,7095 4,2799 4,8123 5,2989 5,7022 5,9764 6,1047 6,1092 6,0283 5,8969 5,7468 5,6109 5,5178 5,4879 5,5361 5,6676 5,8589 6,0494 6,1738 6,2024 6,1345 5,9763 5,7461 5,4824 5,2365 5,0524 4,9439 4,8830 4,8182 4,7194 4,6096 4,5447 4,5747 4,7301 5,0177 5,4030 5,7970 6,0842 6,1978 6,1686 6,0906 6,0556 6,1122 6,2567 6,4539 6,6686 6,8708 7,0202 7,0591 6,9312 6,6112 6,1295 5,5837 5,1239 4,8868 4,8917 5,0079 5,0483 4,8860 4,4928 3,9178 3,2486 2,5638 1,8992 1,2601 0,6677 0,1868 -0,1057 -0,1871 -0,0999 0,1030 0,3823 0,6936 0,9929 1,2543 1,4627 1,5975 1,6333 1,5525 1,3544 1,0585 0,7013 0,3317 0,0105 -0,1829 -0,1601 0,1320 0,6770 1,4078 2,2381 3,0710 3,8095 4,3757 4,7214 4,8372 4,7654 4,5896 4,3917 4,2078 4,0183 3,7803 3,4851 3,2016 3,0641 3,1936 3,6108 4,2234 4,8881 5,4878 5,9718 6,3351 6,5800 6,7094 6,7369 6,6942 6,6263 6,5705 6,5392 6,5369 6,5810 6,6907 6,8568 7,0288 7,1272 7,0876 6,9104 6,6584 6,4090 6,2147 6,0860 5,9912 5,8798 5,7215 5,5343 5,3772 5,3098 5,3480 5,4580 5,5957 5,7392 5,8685 5,9326 5,8681 5,6491 5,2993 4,8633 4,3725 3,8359 3,2640 2,7012 2,2214 1,8937 1,7602 1,8241 2,0399 2,3262 2,5974 2,7876 2,8657 2,8406 2,7545 2,6761 2,6808 2,8110 3,0512 3,3519 3,6677 3,9673 4,2218 4,3998 4,4769 4,4505 4,3544 4,2562 4,2297 4,3127 4,4777 4,6498 4,7653 4,8056 4,7918 4,7725 4,8045 4,9147 5,0764 5,2357 5,3527 5,4069 5,3756 5,2308 4,9663 4,6240 4,2918 4,0717 4,0390 4,2078 4,5192 4,8682 5,1577 5,3350 5,4026 5,4039 5,3924 5,4059 5,4623 5,5590 5,6650 5,7282 5,7095 5,6162 5,4984 5,4127 5,3829 5,3819 5,3503 5,2347 5,0161 4,7209 4,4155 4,1708 4,0136 3,9194 3,8488 3,7816 3,7231 3,6898 3,7000 3,7689 3,8809 3,9709 3,9621 3,8258 3,5836 3,2618 2,8613 2,3759 1,8345 1,3179 0,9282 0,7355 0,7400 0,8709 1,0274 1,1371 1,1835 1,2016 1,2520 1,3820 1,6037 1,8983 2,2258 2,5328 2,7734 2,9339 3,0418 3,1463 3,2842 3,4623 3,6657 3,8692 4,0415 4,1504 4,1718 4,0964 3,9348 3,7218 3,5043 3,3159 3,1725 3,0884 3,0785 3,1457 3,2768 3,4437 3,5998 3,6885 3,6722 3,5519 3,3575 3,1253 2,8904 2,6775 2,4956 2,3483 2,2391 2,1534 2,0536 1,9074 1,7182 1,5242 1,3710 1,2895 1,2923 1,3730 1,5111 1,6840 1,8791 2,0894 2,2975 2,4688 2,5660 2,5639 2,4508 2,2287 1,9219 1,5779 1,2510 0,9790 0,7685 0,5987 0,4455 0,3080 0,2165 0,2136 0,3241 0,5375 0,8168 1,1182 1,4015 1,6396 1,8296 1,9913 2,1474 2,3047 2,4478 2,5411 2,5491 2,4711 2,3497 2,2380 2,1658 2,1268 2,0882 2,0181 1,9030 1,7449 1,5539 1,3390 1,0949 0,8064 0,4699 0,1019 -0,2725 -0,6292 -0,9491 -1,2237 -1,4538 -1,6470 -1,8214 -2,0083 -2,2401 -2,5342 -2,8875 -3,2734 -3,6421 -3,9361 -4,1186 -4,1882 -4,1700 -4,1016 -4,0319 -4,0208 -4,1069 -4,2649 -4,4104 -4,4595 -4,3888 -4,2418 -4,0859 -3,9613 -3,8586 -3,7266 -3,5015 -3,1435 -2,6576 -2,0821 -1,4620 -0,8347 -0,2247 0,3570 0,9019 1,3897 1,7890 2,0696 2,2122 2,2116 2,0786 1,8431 1,5555 1,2833 1,0956 1,0360 1,0948 1,2053 1,2773 1,2415 1,0713 0,7767 0,3848 -0,0842 -0,6218 -1,1989 -1,7341 -2,1250 -2,3226 -2,3621 -2,3180 -2,2428 -2,1466 -2,0262 -1,8980 -1,7970 -1,7495 -1,7565 -1,8016 -1,8679 -1,9405 -1,9926 -1,9851 -1,8987 -1,7573 -1,6054 -1,4742 -1,3752 -1,3065 -1,2514 -1,1790 -1,0650 -0,9185 -0,7807 -0,6963 -0,6966 -0,8080 -1,0584 -1,4581 -1,9713 -2,5155 -3,0028 -3,3839 -3,6541 -3,8311 -3,9334 -3,9773 -3,9796 -3,9587 -3,9346 -3,9148 -3,8813 -3,7997 -3,6481 -3,4372 -3,1973 -2,9413 -2,6505 -2,3148 -1,9711 -1,6878 -1,5177 -1,4742 -1,5402
