Fp1   0,1187 0,0633 -0,0201 -0,0981 -0,1428 -0,1463 -0,1128 -0,0460 0,0570 0,2026 0,3822 0,5576 0,6757 0,7016 0,6358 0,5072 0,3590 0,2377 0,1868 0,2435 0,4189 0,6748 0,9430 1,1666 1,3090 1,3454 1,2723 1,1138 0,9072 0,6861 0,4762 0,2933 0,1328 -0,0333 -0,2330 -0,4670 -0,7092 -0,9293 -1,1038 -1,2141 -1,2510 -1,2221 -1,1463 -1,0458 -0,9450 -0,8732 -0,8551 -0,8997 -1,0056 -1,1684 -1,3690 -1,5702 -1,7402 -1,8758 -2,0035 -2,1633 -2,3877 -2,6822 -3,0261 -3,3944 -3,7674 -4,1233 -4,4260 -4,6285 -4,6983 -4,6443 -4,5138 -4,3616 -4,2230 -4,1071 -3,9993 -3,8719 -3,7083 -3,5143 -3,3112 -3,1309 -3,0126 -2,9908 -3,0769 -3,2451 -3,4332 -3,5619 -3,5713 -3,4519 -3,2473 -3,0290 -2,8577 -2,7512 -2,6795 -2,5870 -2,4234 -2,1644 -1,8133 -1,4060 -1,0179 -0,7319 -0,5920 -0,5997 -0,7423 -1,0032 -1,3599 -1,7956 -2,3044 -2,8778 -3,4963 -4,1376 -4,7818 -5,4116 -6,0156 -6,5923 -7,1375 -7,6234 -7,9948 -8,1888 -8,1600 -7,8956 -7,4216 -6,7955 -6,0796 -5,3213 -4,5591 -3,8258 -3,1393 -2,5018 -1,9029 -1,3181 -0,7179 -0,0946 0,5262 1,1049 1,6204 2,0784 2,4972 2,8994 3,3125 3,7535 4,2181 4,6907 5,1614 5,6359 6,1359 6,6783 7,2535 7,8347 8,4096 8,9922 9,6097 10,2803 10,9939 11,6974 12,2992 12,7134 12,9132 12,9425 12,8836 12,8256 12,8495 13,0117 13,3135 13,6904 14,0442 14,2874 14,3715 14,2946 14,0946 13,8340 13,5780 13,3653 13,2074 13,1121 13,0851 13,1129 13,1679 13,2324 13,3046 13,3767 13,4265 13,4339 13,3919 13,3094 13,2143 13,1364 13,0768 13,0179 12,9547 12,8937 12,8337 12,7628 12,6683 12,5509 12,4241 12,2965 12,1650 12,0239 11,8733 11,7156 11,5502 11,3784 11,2140 11,0773 10,9665 10,8457 10,6732 10,4370 10,1533 9,8470 9,5443 9,2703 9,0401 8,8612 8,7486 8,7224 8,7868 8,9310 9,1465 9,4206 9,7178 9,9763 10,1249 10,1133 9,9327 9,6143 9,2164 8,8070 8,4450 8,1683 7,9898 7,8970 7,8626 7,8671 7,9187 8,0446 8,2549 8,5236 8,8052 9,0563 9,2378 9,3154 9,2821 9,1806 9,0874 9,0649 9,1263 9,2421 9,3769 9,5171 9,6632 9,8055 9,9109 9,9355 9,8545 9,6876 9,4854 9,2867 9,1033 8,9455 8,8342 8,7806 8,7711 8,7798 8,7864 8,7827 8,7810 8,8136 8,9065 9,0443 9,1654 9,1972 9,1059 8,9179 8,7049 8,5484 8,5005 8,5558 8,6624 8,7667 8,8423 8,8784 8,8613 8,7731 8,6001 8,3418 8,0200 7,6819 7,3903 7,1961 7,1085 7,0894 7,0833 7,0555 7,0092 6,9744 6,9801 7,0290 7,0901 7,1199 7,0943 7,0222 6,9343 6,8585 6,8008 6,7388 6,6352 6,4634 6,2181 5,9082 5,5588 5,2088 4,8937 4,6347 4,4482 4,3523 4,3525 4,4277 4,5368 4,6372 4,6941 4,6841 4,6034 4,4800 4,3693 4,3159 4,3162 4,3304 4,3258 4,2919 4,2253 4,1198 3,9682 3,7685 3,5385 3,3178 3,1459 3,0367 2,9754 2,9370 2,9101 2,9118 2,9846 3,1738 3,4902 3,8818 4,2562 4,5382 4,6977 4,7383 4,6819 4,5593 4,3999 4,2299 4,0630 3,8813 3,6441 3,3207 2,9049 2,4148 1,9050 1,4686 1,2042 1,1699 1,3564 1,6910 2,0732 2,4185 2,6833 2,8643 2,9835 3,0626 3,1057 3,1025 3,0371 2,8965 2,6835 2,4204 2,1308 1,8213 1,4904 1,1541 0,8526 0,6278 0,4944 0,4322 0,4032 0,3731 0,3273 0,2774 0,2554 0,2973 0,4165 0,5844 0,7413 0,8372 0,8680 0,8737 0,9033 0,9825 1,1081 1,2617 1,4203 1,5598 1,6635 1,7280 1,7611 1,7788 1,7958 1,8263 1,8923 2,0094 2,1591 2,2899 2,3472 2,3055 2,1808 2,0152 1,8495 1,7044 1,5757 1,4451 1,2982 1,1318 0,9473 0,7462 0,5382 0,3454 0,1884 0,0744 0,0074 -0,0066 0,0218 0,0548 0,0457 -0,0370 -0,1968 -0,4157 -0,6716 -0,9404 -1,1898 -1,3934 -1,5503 -1,6762 -1,7761 -1,8345 -1,8310 -1,7542 -1,5989 -1,3640 -1,0558 -0,6919 -0,3049 0,0560 0,3371 0,5029 0,5463 0,4746 0,2957 0,0260 -0,3000 -0,6436 -0,9873 -1,3376 -1,6992 -2,0504 -2,3458 -2,5398 -2,6142 -2,5916 -2,5235 -2,4583 -2,4183 -2,4018 -2,4014 -2,4208 -2,4800 -2,6051 -2,8091 -3,0818 -3,3898 -3,6839 -3,9196 -4,0815 -4,1862 -4,2663 -4,3548 -4,4744 -4,6328 -4,8281 -5,0500 -5,2724 -5,4557 -5,5669 -5,5995 -5,5790 -5,5479 -5,5426 -5,5880 -5,6966 -5,8548 -6,0200 -6,1350 -6,1501 -6,0525 -5,8780 -5,6795 -5,4882 -5,3107 -5,1476 -4,9940 -4,8333 -4,6505 -4,4484 -4,2440 -4,0518 -3,8729 -3,6986 -3,5259 -3,3675 -3,2456 -3,1790 -3,1786 -3,2525 -3,4000 -3,5877 -3,7443 -3,7952 -3,7072 -3,5084 -3,2687 -3,0583 -2,9115 -2,8246 -2,7834 -2,7812 -2,8114 -2,8604 -2,9083 -2,9324 -2,9179 -2,8732 -2,8300 -2,8241 -2,8685 -2,9465 -3,0329 -3,1195 -3,2180 -3,3429 -3,4928 -3,6532 -3,8100 -3,9525 -4,0709 -4,1584 -4,2155 -4,2503 -4,2750 -4,3034 -4,3491 -4,4305 -4,5687 -4,7631 -4,9764 -5,1616 -5,2953 -5,3827 -5,4438 -5,4952 -5,5397 -5,5729 -5,5940 -5,6131 -5,6556 -5,7558 -5,9415 -6,2187 -6,5655 -6,9375 -7,2816 -7,5553 -7,7389 -7,8297 -7,8338 -7,7685 -7,6668 -7,5691 -7,5081 -7,4972 -7,5306 -7,5937 -7,6670 -7,7237 -7,7378 -7,7018 -7,6305 -7,5435 -7,4472 -7,3408 -7,2333 -7,1405 -7,0669 -7,0036
Fz    0,3471 0,2877 0,1447 -0,0542 -0,2645 -0,4411 -0,5531 -0,5845 -0,5246 -0,3687 -0,1367 0,1167 0,3261 0,4571 0,5242 0,5720 0,6421 0,7514 0,8934 1,0505 1,1998 1,3130 1,3681 1,3644 1,3170 1,2400 1,1427 1,0393 0,9465 0,8675 0,7834 0,6634 0,4811 0,2283 -0,0770 -0,3952 -0,6859 -0,9248 -1,0992 -1,1961 -1,2078 -1,1467 -1,0467 -0,9528 -0,9125 -0,9677 -1,1416 -1,4279 -1,7891 -2,1694 -2,5095 -2,7612 -2,9056 -2,9646 -2,9887 -3,0305 -3,1218 -3,2629 -3,4297 -3,5920 -3,7282 -3,8280 -3,8852 -3,8941 -3,8625 -3,8223 -3,8154 -3,8671 -3,9732 -4,1096 -4,2489 -4,3707 -4,4637 -4,5248 -4,5629 -4,5981 -4,6528 -4,7398 -4,8512 -4,9531 -4,9961 -4,9415 -4,7832 -4,5499 -4,2900 -4,0508 -3,8586 -3,7041 -3,5460 -3,3404 -3,0777 -2,7909 -2,5327 -2,3524 -2,2901 -2,3678 -2,5758 -2,8810 -3,2509 -3,6676 -4,1265 -4,6335 -5,1974 -5,8168 -6,4699 -7,1176 -7,7203 -8,2592 -8,7397 -9,1750 -9,5661 -9,8949 -10,1304 -10,2396 -10,1945 -9,9789 -9,5952 -9,0642 -8,4147 -7,6767 -6,8772 -6,0357 -5,1635 -4,2726 -3,3793 -2,4957 -1,6255 -0,7785 0,0155 0,7231 1,3368 1,8799 2,3907 2,9093 3,4667 4,0777 4,7436 5,4576 6,2018 6,9487 7,6691 8,3414 8,9569 9,5276 10,0850 10,6630 11,2744 11,9021 12,5065 13,0398 13,4634 13,7690 13,9905 14,1873 14,4124 14,6963 15,0479 15,4519 15,8628 16,2114 16,4334 16,5001 16,4256 16,2438 15,9847 15,6742 15,3442 15,0320 14,7708 14,5820 14,4710 14,4269 14,4292 14,4611 14,5218 14,6206 14,7538 14,8930 14,9953 15,0267 14,9801 14,8746 14,7378 14,5898 14,4428 14,3098 14,2076 14,1471 14,1192 14,0963 14,0468 13,9455 13,7750 13,5294 13,2184 12,8622 12,4799 12,0851 11,6933 11,3281 11,0096 10,7396 10,5057 10,3010 10,1307 9,9989 9,8934 9,7789 9,6140 9,3891 9,1480 8,9629 8,8925 8,9617 9,1602 9,4456 9,7537 10,0173 10,1852 10,2377 10,1897 10,0798 9,9529 9,8440 9,7686 9,7252 9,7023 9,6882 9,6812 9,6962 9,7581 9,8859 10,0766 10,3035 10,5297 10,7236 10,8680 10,9629 11,0258 11,0838 11,1606 11,2703 11,4174 11,6019 11,8244 12,0864 12,3806 12,6810 12,9434 13,1204 13,1899 13,1718 13,1101 13,0357 12,9539 12,8660 12,7851 12,7288 12,7066 12,7240 12,7911 12,9151 13,0923 13,3128 13,5625 13,8135 14,0237 14,1536 14,1841 14,1273 14,0271 13,9465 13,9350 13,9995 14,1104 14,2379 14,3684 14,4894 14,5744 14,5943 14,5363 14,4128 14,2602 14,1256 14,0471 14,0364 14,0756 14,1320 14,1800 14,2150 14,2491 14,3000 14,3780 14,4754 14,5669 14,6212 14,6149 14,5397 14,4070 14,2444 14,0855 13,9547 13,8553 13,7727 13,6885 13,5918 13,4779 13,3456 13,2001 13,0607 12,9579 12,9222 12,9667 13,0791 13,2305 13,3951 13,5606 13,7192 13,8571 13,9602 14,0298 14,0749 14,0914 14,0657 13,9982 13,9045 13,7989 13,6829 13,5460 13,3762 13,1711 12,9399 12,6941 12,4442 12,2060 12,0058 11,8762 11,8437 11,9169 12,0814 12,2960 12,4953 12,6136 12,6227 12,5402 12,4013 12,2300 12,0358 11,8288 11,6286 11,4502 11,2791 11,0755 10,8038 10,4524 10,0372 9,6007 9,2027 8,8952 8,7012 8,6081 8,5760 8,5584 8,5247 8,4693 8,4098 8,3758 8,3833 8,4160 8,4325 8,3875 8,2494 8,0162 7,7144 7,3779 7,0297 6,6888 6,3815 6,1402 5,9861 5,9145 5,8927 5,8719 5,8082 5,6846 5,5187 5,3496 5,2157 5,1346 5,0941 5,0606 5,0030 4,9130 4,8042 4,6928 4,5860 4,4905 4,4225 4,4004 4,4295 4,4983 4,5828 4,6537 4,6855 4,6638 4,5907 4,4852 4,3698 4,2577 4,1540 4,0609 3,9773 3,8992 3,8233 3,7433 3,6441 3,5042 3,3096 3,0651 2,7889 2,4969 2,1953 1,8862 1,5739 1,2616 0,9506 0,6510 0,3871 0,1819 0,0400 -0,0504 -0,1062 -0,1440 -0,1800 -0,2283 -0,2919 -0,3583 -0,4109 -0,4468 -0,4778 -0,5176 -0,5702 -0,6288 -0,6758 -0,6863 -0,6386 -0,5253 -0,3560 -0,1516 0,0553 0,2175 0,2834 0,2205 0,0282 -0,2706 -0,6405 -1,0417 -1,4372 -1,8014 -2,1212 -2,3927 -2,6162 -2,7900 -2,9010 -2,9294 -2,8710 -2,7564 -2,6402 -2,5679 -2,5545 -2,5951 -2,6887 -2,8474 -3,0858 -3,4072 -3,7998 -4,2372 -4,6795 -5,0801 -5,4001 -5,6225 -5,7606 -5,8577 -5,9706 -6,1406 -6,3689 -6,6195 -6,8440 -7,0067 -7,0967 -7,1259 -7,1203 -7,1059 -7,1018 -7,1260 -7,1924 -7,2936 -7,3989 -7,4697 -7,4770 -7,4202 -7,3277 -7,2318 -7,1443 -7,0623 -6,9818 -6,8957 -6,7901 -6,6534 -6,4879 -6,3092 -6,1305 -5,9466 -5,7319 -5,4594 -5,1253 -4,7647 -4,4461 -4,2466 -4,2172 -4,3574 -4,6131 -4,8996 -5,1349 -5,2654 -5,2769 -5,1886 -5,0395 -4,8709 -4,7118 -4,5761 -4,4676 -4,3793 -4,2909 -4,1761 -4,0165 -3,8160 -3,6042 -3,4249 -3,3147 -3,2879 -3,3377 -3,4522 -3,6235 -3,8447 -4,1018 -4,3750 -4,6458 -4,9067 -5,1642 -5,4334 -5,7247 -6,0371 -6,3623 -6,6903 -7,0079 -7,2991 -7,5571 -7,7884 -7,9942 -8,1534 -8,2338 -8,2194 -8,1240 -7,9812 -7,8209 -7,6535 -7,4719 -7,2662 -7,0450 -6,8529 -6,7556 -6,8004 -6,9931 -7,3006 -7,6644 -8,0205 -8,3258 -8,5687 -8,7517 -8,8743 -8,9352 -8,9402 -8,8967 -8,8077 -8,6781 -8,5253 -8,3756 -8,2521 -8,1650 -8,1168 -8,1156 -8,1749 -8,2979 -8,4649 -8,6426 -8,8059 -8,9500 -9,0826 -9,2111
F3    0,1800 0,0953 -0,0235 -0,1520 -0,2650 -0,3490 -0,4034 -0,4297 -0,4193 -0,3566 -0,2423 -0,1116 -0,0172 0,0115 -0,0118 -0,0466 -0,0553 -0,0199 0,0643 0,2022 0,3915 0,6070 0,8120 0,9821 1,1069 1,1807 1,2062 1,1981 1,1722 1,1288 1,0526 0,9252 0,7339 0,4780 0,1791 -0,1216 -0,3861 -0,6010 -0,7682 -0,8800 -0,9167 -0,8679 -0,7511 -0,6089 -0,4971 -0,4702 -0,5658 -0,7893 -1,1103 -1,4701 -1,7943 -2,0144 -2,0980 -2,0675 -1,9909 -1,9493 -2,0015 -2,1625 -2,4064 -2,6903 -2,9788 -3,2487 -3,4738 -3,6207 -3,6729 -3,6569 -3,6285 -3,6363 -3,6958 -3,7913 -3,8941 -3,9817 -4,0496 -4,1065 -4,1631 -4,2282 -4,3094 -4,4089 -4,5140 -4,5917 -4,5978 -4,4971 -4,2833 -3,9873 -3,6676 -3,3892 -3,1927 -3,0703 -2,9691 -2,8268 -2,6149 -2,3521 -2,0804 -1,8431 -1,6834 -1,6356 -1,7073 -1,8834 -2,1492 -2,5001 -2,9346 -3,4478 -4,0276 -4,6490 -5,2756 -5,8687 -6,3985 -6,8562 -7,2561 -7,6237 -7,9764 -8,3090 -8,5917 -8,7813 -8,8393 -8,7477 -8,5149 -8,1629 -7,7054 -7,1444 -6,4836 -5,7342 -4,9162 -4,0615 -3,2057 -2,3671 -1,5412 -0,7231 0,0673 0,7929 1,4274 1,9695 2,4426 2,8953 3,3870 3,9563 4,6028 5,2938 5,9803 6,6168 7,1840 7,6925 8,1687 8,6444 9,1511 9,7084 10,3148 10,9498 11,5792 12,1581 12,6377 12,9886 13,2252 13,3956 13,5488 13,7185 13,9289 14,1937 14,4996 14,8002 15,0393 15,1811 15,2200 15,1667 15,0336 14,8389 14,6161 14,4076 14,2518 14,1733 14,1751 14,2377 14,3299 14,4289 14,5318 14,6460 14,7704 14,8916 14,9876 15,0349 15,0237 14,9620 14,8596 14,7189 14,5447 14,3554 14,1792 14,0373 13,9313 13,8481 13,7686 13,6668 13,5125 13,2876 12,9969 12,6604 12,2981 11,9288 11,5790 11,2806 11,0490 10,8664 10,6991 10,5278 10,3562 10,1973 10,0519 9,8936 9,6824 9,4086 9,1188 8,8884 8,7772 8,8130 8,9967 9,3015 9,6694 10,0201 10,2777 10,4009 10,3919 10,2795 10,0986 9,8796 9,6491 9,4383 9,2794 9,1926 9,1823 9,2471 9,3866 9,5941 9,8434 10,0940 10,3108 10,4732 10,5704 10,5990 10,5702 10,5171 10,4840 10,5045 10,5823 10,6916 10,8017 10,9035 11,0085 11,1229 11,2264 11,2825 11,2741 11,2243 11,1743 11,1452 11,1342 11,1402 11,1740 11,2383 11,3145 11,3804 11,4298 11,4675 11,5015 11,5516 11,6450 11,7868 11,9454 12,0716 12,1279 12,1064 12,0375 11,9780 11,9751 12,0305 12,1071 12,1695 12,2039 12,2029 12,1534 12,0467 11,8916 11,7129 11,5402 11,3960 11,2892 11,2173 11,1706 11,1352 11,0975 11,0512 11,0044 10,9794 10,9961 11,0497 11,1067 11,1224 11,0614 10,9133 10,6977 10,4521 10,2112 9,9914 9,7857 9,5729 9,3363 9,0779 8,8188 8,5869 8,4014 8,2719 8,2072 8,2190 8,3136 8,4825 8,7023 8,9448 9,1842 9,3963 9,5564 9,6535 9,7042 9,7384 9,7722 9,8079 9,8487 9,8978 9,9472 9,9751 9,9516 9,8483 9,6553 9,3927 9,1028 8,8324 8,6179 8,4793 8,4251 8,4604 8,5884 8,8026 9,0755 9,3500 9,5585 9,6629 9,6668 9,5938 9,4682 9,3147 9,1605 9,0302 8,9271 8,8166 8,6406 8,3541 7,9448 7,4358 6,8863 6,3771 5,9809 5,7402 5,6623 5,7212 5,8687 6,0527 6,2293 6,3729 6,4796 6,5537 6,5877 6,5631 6,4615 6,2760 6,0205 5,7283 5,4336 5,1535 4,8907 4,6509 4,4506 4,3045 4,2069 4,1285 4,0316 3,8877 3,6914 3,4682 3,2639 3,1204 3,0572 3,0633 3,1055 3,1519 3,1974 3,2599 3,3546 3,4772 3,6147 3,7610 3,9160 4,0771 4,2358 4,3761 4,4752 4,5127 4,4801 4,3898 4,2749 4,1701 4,0900 4,0295 3,9730 3,9017 3,8044 3,6849 3,5548 3,4189 3,2707 3,1025 2,9159 2,7195 2,5188 2,3154 2,1141 1,9231 1,7426 1,5632 1,3865 1,2319 1,1140 1,0226 0,9305 0,8126 0,6550 0,4515 0,1981 -0,0935 -0,3827 -0,6179 -0,7697 -0,8424 -0,8556 -0,8206 -0,7339 -0,5831 -0,3574 -0,0572 0,2998 0,6819 1,0503 1,3640 1,5804 1,6621 1,5899 1,3696 1,0256 0,5938 0,1177 -0,3626 -0,8246 -1,2640 -1,6801 -2,0631 -2,3924 -2,6386 -2,7755 -2,8030 -2,7563 -2,6871 -2,6304 -2,5906 -2,5600 -2,5455 -2,5754 -2,6813 -2,8770 -3,1558 -3,4933 -3,8463 -4,1577 -4,3773 -4,4835 -4,4956 -4,4715 -4,4845 -4,5893 -4,7993 -5,0874 -5,4014 -5,6850 -5,8979 -6,0277 -6,0875 -6,1021 -6,0955 -6,0946 -6,1278 -6,2051 -6,3084 -6,4029 -6,4549 -6,4540 -6,4217 -6,3877 -6,3599 -6,3267 -6,2752 -6,1977 -6,0900 -5,9532 -5,7950 -5,6228 -5,4342 -5,2134 -4,9364 -4,5887 -4,1859 -3,7817 -3,4577 -3,2944 -3,3410 -3,5955 -4,0010 -4,4577 -4,8523 -5,0974 -5,1625 -5,0762 -4,9037 -4,7130 -4,5476 -4,4230 -4,3348 -4,2625 -4,1730 -4,0338 -3,8294 -3,5760 -3,3200 -3,1184 -3,0101 -3,0007 -3,0712 -3,1989 -3,3697 -3,5751 -3,8059 -4,0507 -4,2991 -4,5435 -4,7789 -4,9996 -5,1993 -5,3753 -5,5327 -5,6818 -5,8315 -5,9870 -6,1561 -6,3493 -6,5585 -6,7407 -6,8380 -6,8159 -6,6832 -6,4871 -6,2867 -6,1211 -5,9949 -5,8884 -5,7887 -5,7170 -5,7189 -5,8304 -6,0597 -6,3903 -6,7858 -7,1974 -7,5798 -7,9042 -8,1566 -8,3335 -8,4459 -8,5168 -8,5662 -8,6011 -8,6216 -8,6326 -8,6456 -8,6687 -8,6977 -8,7240 -8,7473 -8,7745 -8,8056 -8,8278 -8,8270 -8,8046 -8,7813 -8,7817 -8,8198
F7    0,0154 -0,0728 -0,1999 -0,3507 -0,5000 -0,6242 -0,7157 -0,7748 -0,7855 -0,7143 -0,5457 -0,3170 -0,1040 0,0326 0,0824 0,0796 0,0740 0,1056 0,1967 0,3579 0,5827 0,8324 1,0477 1,1822 1,2186 1,1648 1,0520 0,9289 0,8412 0,8069 0,8059 0,7935 0,7240 0,5698 0,3364 0,0625 -0,2024 -0,4264 -0,5991 -0,7172 -0,7797 -0,7900 -0,7521 -0,6700 -0,5598 -0,4587 -0,4131 -0,4547 -0,5863 -0,7791 -0,9775 -1,1158 -1,1548 -1,1111 -1,0515 -1,0565 -1,1782 -1,4172 -1,7334 -2,0798 -2,4222 -2,7312 -2,9652 -3,0787 -3,0555 -2,9292 -2,7686 -2,6368 -2,5541 -2,4958 -2,4212 -2,3047 -2,1545 -2,0065 -1,9000 -1,8617 -1,9030 -2,0200 -2,1928 -2,3827 -2,5368 -2,6043 -2,5597 -2,4174 -2,2268 -2,0531 -1,9484 -1,9238 -1,9386 -1,9200 -1,8035 -1,5652 -1,2257 -0,8470 -0,5211 -0,3304 -0,3056 -0,4256 -0,6505 -0,9432 -1,2704 -1,6093 -1,9532 -2,3056 -2,6666 -3,0277 -3,3801 -3,7294 -4,0949 -4,4913 -4,9113 -5,3184 -5,6553 -5,8641 -5,9119 -5,8065 -5,5921 -5,3165 -4,9941 -4,6133 -4,1697 -3,6793 -3,1679 -2,6580 -2,1552 -1,6379 -1,0718 -0,4448 0,2168 0,8749 1,5150 2,1453 2,7717 3,3921 4,0043 4,6014 5,1676 5,6890 6,1610 6,5884 6,9863 7,3758 7,7738 8,1945 8,6517 9,1542 9,7004 10,2779 10,8660 11,4335 11,9356 12,3315 12,6081 12,7796 12,8694 12,9055 12,9312 12,9981 13,1328 13,3141 13,4899 13,6143 13,6683 13,6523 13,5755 13,4622 13,3531 13,2884 13,2928 13,3759 13,5288 13,7201 13,9044 14,0470 14,1390 14,1859 14,1898 14,1503 14,0711 13,9675 13,8788 13,8535 13,9077 14,0099 14,1101 14,1726 14,1872 14,1586 14,0895 13,9845 13,8571 13,7177 13,5624 13,3826 13,1827 12,9824 12,8049 12,6647 12,5668 12,5077 12,4638 12,3857 12,2249 11,9734 11,6689 11,3661 11,1001 10,8641 10,6191 10,3352 10,0294 9,7559 9,5640 9,4781 9,5045 9,6387 9,8572 10,1108 10,3345 10,4781 10,5249 10,4835 10,3702 10,2009 9,9908 9,7577 9,5237 9,3140 9,1546 9,0683 9,0683 9,1468 9,2694 9,3870 9,4585 9,4640 9,4026 9,2853 9,1326 8,9769 8,8596 8,8163 8,8532 8,9366 9,0166 9,0620 9,0745 9,0692 9,0475 8,9949 8,9069 8,8086 8,7384 8,7106 8,7099 8,7223 8,7493 8,7872 8,8140 8,8091 8,7737 8,7260 8,6915 8,6993 8,7655 8,8717 8,9655 8,9859 8,8959 8,7027 8,4593 8,2401 8,0982 8,0391 8,0345 8,0607 8,1119 8,1829 8,2558 8,3073 8,3200 8,2897 8,2239 8,1304 8,0092 7,8577 7,6798 7,4837 7,2763 7,0718 6,9050 6,8213 6,8443 6,9505 7,0810 7,1759 7,2003 7,1532 7,0639 6,9684 6,8836 6,8012 6,7023 6,5769 6,4299 6,2711 6,1062 5,9349 5,7506 5,5496 5,3467 5,1806 5,0970 5,1201 5,2396 5,4231 5,6310 5,8191 5,9456 5,9954 5,9971 5,9993 6,0288 6,0839 6,1578 6,2487 6,3472 6,4234 6,4297 6,3251 6,1095 5,8361 5,5830 5,4090 5,3281 5,3191 5,3547 5,4269 5,5514 5,7569 6,0546 6,4044 6,7222 6,9308 6,9961 6,9287 6,7712 6,5802 6,4121 6,3186 6,3269 6,4055 6,4675 6,4176 6,1958 5,8015 5,3009 4,8019 4,4103 4,1998 4,2011 4,3975 4,7335 5,1363 5,5363 5,8834 6,1558 6,3522 6,4797 6,5477 6,5609 6,5178 6,4225 6,2925 6,1446 5,9775 5,7755 5,5358 5,2891 5,0809 4,9323 4,8265 4,7276 4,6018 4,4352 4,2429 4,0595 3,9192 3,8404 3,8206 3,8437 3,9053 4,0355 4,2839 4,6710 5,1561 5,6536 6,0796 6,3884 6,5772 6,6652 6,6699 6,6044 6,4897 6,3534 6,2265 6,1430 6,1223 6,1499 6,1839 6,1821 6,1273 6,0358 5,9421 5,8693 5,8114 5,7407 5,6309 5,4736 5,2752 5,0423 4,7799 4,5083 4,2665 4,0896 3,9895 3,9583 3,9729 3,9887 3,9493 3,8163 3,5929 3,3200 3,0434 2,7824 2,5357 2,3067 2,1060 1,9397 1,8120 1,7347 1,7295 1,8160 1,9978 2,2631 2,5929 2,9638 3,3450 3,6956 3,9687 4,1241 4,1443 4,0391 3,8314 3,5396 3,1773 2,7625 2,3162 1,8546 1,3908 0,9453 0,5470 0,2247 0,0026 -0,1059 -0,1130 -0,0613 0,0010 0,0529 0,1048 0,1716 0,2497 0,3158 0,3438 0,3186 0,2359 0,1002 -0,0647 -0,2147 -0,3067 -0,3199 -0,2624 -0,1744 -0,1232 -0,1757 -0,3626 -0,6590 -0,9966 -1,3006 -1,5257 -1,6641 -1,7305 -1,7463 -1,7388 -1,7505 -1,8329 -2,0173 -2,2918 -2,6043 -2,8842 -3,0792 -3,1813 -3,2071 -3,1629 -3,0445 -2,8528 -2,5975 -2,2976 -1,9877 -1,7092 -1,4855 -1,3045 -1,1229 -0,8872 -0,5700 -0,1978 0,1528 0,3872 0,4297 0,2490 -0,1285 -0,6192 -1,1046 -1,4711 -1,6519 -1,6478 -1,5176 -1,3450 -1,1996 -1,1145 -1,0942 -1,1320 -1,2063 -1,2796 -1,3104 -1,2720 -1,1686 -1,0390 -0,9360 -0,8940 -0,9133 -0,9719 -1,0492 -1,1404 -1,2545 -1,4020 -1,5846 -1,7938 -2,0125 -2,2164 -2,3787 -2,4750 -2,4992 -2,4827 -2,4867 -2,5646 -2,7317 -2,9699 -3,2472 -3,5186 -3,7196 -3,7898 -3,7101 -3,5168 -3,2861 -3,0923 -2,9681 -2,8977 -2,8408 -2,7750 -2,7250 -2,7477 -2,8888 -3,1585 -3,5318 -3,9590 -4,3815 -4,7518 -5,0461 -5,2588 -5,3928 -5,4622 -5,4946 -5,5179 -5,5479 -5,5878 -5,6391 -5,7045 -5,7785 -5,8395 -5,8609 -5,8312 -5,7602 -5,6628 -5,5413 -5,3888 -5,2104 -5,0345 -4,9029 -4,8531
