Fp1   1,0333 1,0512 0,9481 0,8279 0,7518 0,6990 0,6135 0,4595 0,2229 -0,1072 -0,5533 -1,1442 -1,8613 -2,5763 -3,0798 -3,1962 -2,8780 -2,2096 -1,3473 -0,4416 0,4215 1,2225 1,9530 2,5747 3,0358 3,2975 3,3210 3,0517 2,4443 1,5077 0,3219 -0,9799 -2,2286 -3,2318 -3,8218 -3,9308 -3,6224 -3,0360 -2,2876 -1,4324 -0,5067 0,4259 1,2751 1,9532 2,3976 2,5664 2,4302 1,9874 1,2812 0,3970 -0,5361 -1,3616 -1,9612 -2,3186 -2,4982 -2,5573 -2,4989 -2,3146 -2,0455 -1,7814 -1,6068 -1,5576 -1,6140 -1,7186 -1,8059 -1,8420 -1,8536 -1,9002 -2,0090 -2,1383 -2,1949 -2,0952 -1,8393 -1,5225 -1,2592 -1,1018 -1,0317 -0,9906 -0,8960 -0,6586 -0,2363 0,3153 0,8534 1,2131 1,2708 0,9676 0,3177 -0,5871 -1,5914 -2,5122 -3,1774 -3,4625 -3,3347 -2,8799 -2,2753 -1,7097 -1,3031 -1,0747 -0,9642 -0,8725 -0,7121 -0,4693 -0,2517 -0,2418 -0,5585 -1,1596 -1,8877 -2,5886 -3,1798 -3,6267 -3,8871 -3,9046 -3,6535 -3,1749 -2,5749 -1,9987 -1,5957 -1,4798 -1,7055 -2,2570 -3,0312 -3,8265 -4,3926 -4,5407 -4,2227 -3,5039 -2,4828 -1,2458 0,1311 1,5624 2,9386 4,1261 4,9909 5,4462 5,5019 5,2751 4,9373 4,6354 4,4300 4,2786 4,0852 3,7916 3,4393 3,1438 3,0025 3,0332 3,2001 3,4660 3,8034 4,1707 4,5003 4,7206 4,7868 4,6928 4,4629 4,1392 3,7610 3,3377 2,8524 2,3103 1,7888 1,4310 1,3739 1,6658 2,2358 2,9251 3,5428 3,9147 3,9284 3,5798 2,9946 2,3782 1,9101 1,6690 1,6386 1,7552 1,9503 2,1653 2,3355 2,3851 2,2630 1,9688 1,5271 0,9592 0,2865 -0,4513 -1,1793 -1,7855 -2,1536 -2,2235 -2,0462 -1,7823 -1,6129 -1,6177 -1,7329 -1,8302 -1,8370 -1,7883 -1,7849 -1,9010 -2,1119 -2,3044 -2,3562 -2,2052 -1,8562 -1,3504 -0,7528 -0,1589 0,3171 0,5858 0,6283 0,4957 0,2659 -0,0002 -0,2796 -0,5737 -0,8657 -1,0899 -1,1569 -1,0204 -0,7369 -0,4558 -0,3243 -0,3831 -0,5465 -0,6749 -0,6569 -0,4448 -0,0534 0,4453 0,9304 1,2466 1,2433 0,8527 0,1459 -0,6990 -1,4743 -2,0082 -2,2252 -2,1686 -1,9381 -1,6114 -1,2459 -0,9161 -0,6877 -0,5555 -0,4541 -0,3537 -0,3194 -0,4329 -0,6758 -0,9309 -1,0806 -1,0676 -0,8803 -0,5361 -0,1050 0,2785 0,4633 0,3597 -0,0217 -0,5768 -1,1188 -1,4183 -1,3228 -0,8601 -0,2081 0,4097 0,8004 0,8536 0,5659 0,0176 -0,6759 -1,4016 -2,0598 -2,5696 -2,8896 -3,0239 -3,0017 -2,8554 -2,6060 -2,2470 -1,7537 -1,1318 -0,4440 0,2352 0,8730 1,4626 1,9580 2,2388 2,1476 1,5845 0,5932 -0,6280 -1,8034 -2,6878 -3,1413 -3,1546 -2,8282 -2,3188 -1,7809 -1,3256 -1,0137 -0,8683 -0,8769 -1,0030 -1,2198 -1,5136 -1,8484 -2,1495 -2,3403 -2,4066 -2,4384 -2,5860 -2,9497 -3,5064 -4,1288 -4,6565 -4,9609 -4,9787 -4,7145 -4,2336 -3,6571 -3,1288 -2,7410 -2,4711 -2,2082 -1,8640 -1,4574 -1,0950 -0,9117 -1,0421 -1,5859 -2,5357 -3,7259 -4,8662 -5,6479 -5,8628 -5,4695 -4,5745 -3,3582 -2,0027 -0,6698 0,4744 1,2446 1,4694 1,0409 -0,0452 -1,6540 -3,4963 -5,1878 -6,3845 -6,9073 -6,7683 -6,1100 -5,1267 -3,9949 -2,8388 -1,7420 -0,7806 -0,0483 0,3463 0,3205 -0,1254 -0,8880 -1,7886 -2,6141 -3,1630 -3,3133 -3,0757 -2,5655 -1,9171 -1,2212 -0,5233 0,1285 0,6479 0,9389 0,9561 0,7386 0,3956 0,0538 -0,2042 -0,3621 -0,4492 -0,5201 -0,6494 -0,9109 -1,3203 -1,7764 -2,0888 -2,1106 -1,8473 -1,4231 -0,9677 -0,5548 -0,2139 0,0473 0,2319 0,3442 0,3823 0,3305 0,1603 -0,1496 -0,6000 -1,1817 -1,8710 -2,5958 -3,2206 -3,5944 -3,6279 -3,3347 -2,8193 -2,2416 -1,7698 -1,5287 -1,5712 -1,8879 -2,4226 -3,0743 -3,7129 -4,2176 -4,4995 -4,5065 -4,2395 -3,7649 -3,1859 -2,6068 -2,1250 -1,8177 -1,7172 -1,8241 -2,1356 -2,6254 -3,1946 -3,6739 -3,9041 -3,8198 -3,4607 -2,9276 -2,3570 -1,8992 -1,6537 -1,6214 -1,7349 -1,9226 -2,1455 -2,4017 -2,7178 -3,1211 -3,5990 -4,0730 -4,4070 -4,4571 -4,1469 -3,5299 -2,7879 -2,1509 -1,7955 -1,7879 -2,0707 -2,4861 -2,8550 -3,0754 -3,1529 -3,1422 -3,0744 -2,9424 -2,7356 -2,4667 -2,1711 -1,8830 -1,6073 -1,3374 -1,1114 -1,0233 -1,1668 -1,5913 -2,2978 -3,2369 -4,3011 -5,3414 -6,2028 -6,7643 -6,9679 -6,8218 -6,3856 -5,7530 -5,0162 -4,2289 -3,4191 -2,6457 -2,0261 -1,6975 -1,7652 -2,2764 -3,1912 -4,3463 -5,4781 -6,3255 -6,7222 -6,6106 -6,0004 -4,9288 -3,4650 -1,7470 0,0111 1,5574 2,6629 3,1839 3,1025 2,5209 1,6242 0,6283 -0,2816 -0,9973 -1,4999 -1,8472 -2,1244 -2,3657 -2,5088 -2,4226 -1,9751 -1,0960 0,1689 1,6189 2,9302 3,7789 3,9752 3,5144 2,5398 1,2760 -0,0444 -1,2564 -2,2943 -3,1601 -3,8533 -4,3145 -4,4417 -4,1718 -3,5419 -2,6812 -1,7668 -0,9840 -0,4830 -0,3257 -0,4717 -0,8377 -1,3570 -1,9667 -2,5700 -3,0543 -3,3520 -3,4608 -3,4104 -3,2375 -2,9979 -2,7735 -2,6421 -2,6388 -2,7513 -2,9479 -3,2064 -3,5241 -3,9137 -4,3949 -4,9731 -5,6042 -6,1833 -6,5898 -6,7467 -6,6382 -6,3032 -5,8291 -5,3382 -4,9627 -4,8043 -4,8822 -5,1111 -5,3374 -5,4105 -5,2462 -4,8580 -4,3453 -3,8435 -3,4686 -3,2848 -3,3076 -3,5241 -3,8989 -4,3594 -4,7887 -5,0517 -5,0548 -4,8029 -4,3994 -3,9924 -3,7180 -3,6617 -3,8386 -4,1955
Fz    -0,9314 -0,9159 -0,9208 -0,9416 -0,9615 -0,9702 -0,9732 -0,9998 -1,0966 -1,2969 -1,5943 -1,9442 -2,2809 -2,5298 -2,6176 -2,4940 -2,1609 -1,6790 -1,1373 -0,6125 -0,1469 0,2523 0,6017 0,9202 1,2117 1,4647 1,6617 1,7859 1,8211 1,7562 1,6015 1,3949 1,1859 1,0130 0,8927 0,8220 0,7839 0,7482 0,6898 0,6150 0,5541 0,5304 0,5462 0,5968 0,6872 0,8209 0,9712 1,0848 1,1206 1,0705 0,9453 0,7543 0,4977 0,1660 -0,2528 -0,7565 -1,3125 -1,8624 -2,3538 -2,7663 -3,0991 -3,3420 -3,4717 -3,4711 -3,3399 -3,0927 -2,7623 -2,4037 -2,0884 -1,8876 -1,8488 -1,9772 -2,2347 -2,5579 -2,8826 -3,1612 -3,3744 -3,5351 -3,6751 -3,8213 -3,9794 -4,1209 -4,1860 -4,1195 -3,9057 -3,5660 -3,1334 -2,6450 -2,1564 -1,7443 -1,4922 -1,4726 -1,7235 -2,2191 -2,8677 -3,5476 -4,1533 -4,6217 -4,9343 -5,1081 -5,1855 -5,2143 -5,2218 -5,2063 -5,1467 -5,0157 -4,7995 -4,5145 -4,2092 -3,9462 -3,7795 -3,7352 -3,8056 -3,9560 -4,1410 -4,3213 -4,4668 -4,5442 -4,5137 -4,3399 -4,0072 -3,5334 -2,9823 -2,4491 -2,0158 -1,7105 -1,5078 -1,3583 -1,2141 -1,0390 -0,8114 -0,5254 -0,1904 0,1756 0,5636 0,9808 1,4304 1,8937 2,3367 2,7271 3,0423 3,2680 3,3949 3,4173 3,3340 3,1483 2,8650 2,4919 2,0526 1,5966 1,1860 0,8726 0,6842 0,6170 0,6368 0,6978 0,7592 0,7860 0,7587 0,6909 0,6277 0,6230 0,7113 0,8832 1,0874 1,2658 1,3839 1,4301 1,4031 1,2967 1,0977 0,8053 0,4446 0,0522 -0,3470 -0,7403 -1,1162 -1,4613 -1,7621 -2,0076 -2,1932 -2,3263 -2,4276 -2,5226 -2,6316 -2,7653 -2,9238 -3,0982 -3,2739 -3,4245 -3,5083 -3,4862 -3,3483 -3,1197 -2,8394 -2,5347 -2,2158 -1,8877 -1,5565 -1,2234 -0,8920 -0,5929 -0,3890 -0,3342 -0,4221 -0,5803 -0,7114 -0,7462 -0,6711 -0,5141 -0,3105 -0,0831 0,1496 0,3573 0,4977 0,5402 0,4954 0,4139 0,3475 0,3078 0,2645 0,1744 0,0071 -0,2444 -0,5576 -0,8842 -1,1672 -1,3692 -1,4914 -1,5608 -1,5963 -1,5962 -1,5539 -1,4816 -1,4106 -1,3746 -1,4008 -1,5109 -1,7054 -1,9528 -2,2100 -2,4457 -2,6317 -2,7306 -2,7096 -2,5620 -2,3085 -1,9898 -1,6634 -1,3923 -1,2219 -1,1593 -1,1838 -1,2747 -1,4194 -1,6006 -1,7965 -1,9886 -2,1587 -2,2817 -2,3316 -2,2991 -2,2012 -2,0710 -1,9404 -1,8311 -1,7537 -1,7055 -1,6746 -1,6543 -1,6495 -1,6636 -1,6828 -1,6782 -1,6287 -1,5420 -1,4533 -1,4127 -1,4677 -1,6413 -1,9179 -2,2488 -2,5673 -2,8103 -2,9348 -2,9187 -2,7596 -2,4798 -2,1260 -1,7512 -1,3941 -1,0793 -0,8328 -0,6939 -0,7109 -0,9170 -1,3100 -1,8532 -2,4909 -3,1642 -3,8167 -4,3943 -4,8550 -5,1789 -5,3590 -5,3907 -5,2804 -5,0601 -4,7841 -4,5068 -4,2633 -4,0719 -3,9395 -3,8612 -3,8306 -3,8557 -3,9580 -4,1474 -4,4025 -4,6830 -4,9569 -5,2096 -5,4424 -5,6690 -5,9035 -6,1408 -6,3533 -6,5121 -6,6170 -6,6978 -6,7833 -6,8724 -6,9342 -6,9377 -6,8856 -6,8236 -6,8158 -6,9096 -7,1168 -7,4171 -7,7716 -8,1333 -8,4529 -8,6772 -8,7441 -8,5922 -8,1911 -7,5714 -6,8295 -6,1017 -5,5142 -5,1397 -4,9827 -4,9955 -5,1095 -5,2623 -5,4142 -5,5524 -5,6758 -5,7751 -5,8330 -5,8390 -5,7875 -5,6668 -5,4608 -5,1707 -4,8291 -4,4867 -4,1876 -3,9551 -3,7916 -3,6855 -3,6138 -3,5412 -3,4305 -3,2708 -3,0919 -2,9415 -2,8508 -2,8182 -2,8114 -2,7840 -2,7002 -2,5612 -2,4120 -2,3068 -2,2695 -2,2894 -2,3415 -2,3982 -2,4322 -2,4225 -2,3646 -2,2808 -2,2160 -2,2071 -2,2553 -2,3308 -2,3967 -2,4286 -2,4227 -2,3947 -2,3663 -2,3506 -2,3480 -2,3517 -2,3593 -2,3849 -2,4530 -2,5800 -2,7621 -2,9839 -3,2339 -3,5113 -3,8204 -4,1609 -4,5070 -4,7941 -4,9496 -4,9511 -4,8527 -4,7445 -4,6862 -4,6850 -4,7232 -4,7882 -4,8770 -4,9819 -5,0830 -5,1567 -5,1915 -5,1904 -5,1580 -5,0928 -4,9990 -4,9006 -4,8328 -4,8190 -4,8603 -4,9458 -5,0649 -5,2056 -5,3541 -5,4984 -5,6295 -5,7463 -5,8612 -5,9943 -6,1618 -6,3670 -6,5920 -6,7928 -6,9126 -6,9075 -6,7648 -6,5019 -6,1568 -5,7754 -5,3977 -5,0466 -4,7278 -4,4400 -4,1849 -3,9725 -3,8177 -3,7366 -3,7478 -3,8692 -4,0984 -4,3939 -4,6747 -4,8482 -4,8554 -4,6991 -4,4311 -4,1182 -3,8232 -3,6043 -3,5120 -3,5729 -3,7790 -4,0920 -4,4586 -4,8272 -5,1621 -5,4468 -5,6764 -5,8506 -5,9751 -6,0633 -6,1343 -6,2044 -6,2712 -6,3085 -6,2773 -6,1445 -5,8997 -5,5673 -5,2022 -4,8620 -4,5720 -4,3175 -4,0697 -3,8165 -3,5664 -3,3341 -3,1329 -2,9719 -2,8504 -2,7488 -2,6356 -2,4941 -2,3441 -2,2305 -2,1905 -2,2322 -2,3432 -2,5124 -2,7332 -2,9923 -3,2628 -3,5131 -3,7197 -3,8662 -3,9367 -3,9210 -3,8232 -3,6591 -3,4563 -3,2625 -3,1381 -3,1280 -3,2356 -3,4174 -3,6010 -3,7230 -3,7660 -3,7655 -3,7772 -3,8363 -3,9452 -4,0951 -4,2861 -4,5250 -4,8051 -5,0956 -5,3566 -5,5603 -5,6907 -5,7376 -5,7031 -5,6113 -5,5000 -5,4033 -5,3458 -5,3489 -5,4315 -5,6004 -5,8423 -6,1265 -6,4139 -6,6676 -6,8577 -6,9655 -6,9965 -6,9853 -6,9719 -6,9794 -7,0172 -7,0907 -7,1939 -7,3022 -7,3787 -7,3953 -7,3530 -7,2829 -7,2282 -7,2287 -7,3180 -7,5110 -7,7779 -8,0375 -8,1996 -8,2214 -8,1172 -7,9235 -7,6692 -7,3714 -7,0431 -6,7035 -6,3855 -6,1272 -5,9528 -5,8662 -5,8585 -5,9149 -6,0154 -6,1362 -6,2555 -6,3653
F3    -1,7503 -2,0746 -2,2883 -2,3691 -2,3154 -2,1228 -1,8010 -1,4026 -1,0058 -0,6606 -0,3715 -0,1330 0,0391 0,1234 0,1255 0,0843 0,0535 0,0844 0,2029 0,3780 0,5187 0,5277 0,3805 0,1508 -0,0490 -0,1421 -0,1021 0,0707 0,3702 0,7867 1,2859 1,7903 2,1961 2,4105 2,3838 2,1323 1,7317 1,2745 0,8331 0,4570 0,1773 -0,0017 -0,1078 -0,1867 -0,2708 -0,3549 -0,4019 -0,3703 -0,2416 -0,0447 0,1291 0,1510 -0,0693 -0,5129 -1,0576 -1,5583 -1,9283 -2,1556 -2,2712 -2,3270 -2,3807 -2,4628 -2,5578 -2,6255 -2,6262 -2,5249 -2,2997 -1,9629 -1,5714 -1,2122 -0,9758 -0,9310 -1,1095 -1,4992 -2,0342 -2,6003 -3,0891 -3,4631 -3,7622 -4,0476 -4,3468 -4,6250 -4,7908 -4,7393 -4,3981 -3,7482 -2,8318 -1,7645 -0,7359 0,0320 0,3584 0,1537 -0,5657 -1,6732 -2,9551 -4,1722 -5,1252 -5,6959 -5,8663 -5,7162 -5,3897 -5,0311 -4,7224 -4,4629 -4,1981 -3,8623 -3,4160 -2,8847 -2,3761 -2,0404 -1,9907 -2,2483 -2,7356 -3,3079 -3,8126 -4,1417 -4,2431 -4,0986 -3,7045 -3,0703 -2,2396 -1,3174 -0,4619 0,1733 0,4999 0,5061 0,2340 -0,2337 -0,7790 -1,2784 -1,6432 -1,8243 -1,7830 -1,4817 -0,9161 -0,1469 0,7081 1,5196 2,1995 2,7273 3,1308 3,4366 3,6414 3,7234 3,6638 3,4491 3,0659 2,5140 1,8341 1,1201 0,4913 0,0413 -0,1901 -0,2180 -0,1001 0,0943 0,3170 0,5501 0,8007 1,0911 1,4263 1,7573 1,9897 2,0332 1,8475 1,4665 0,9967 0,5844 0,3559 0,3521 0,5066 0,6866 0,7590 0,6322 0,2673 -0,3184 -1,0498 -1,8114 -2,4863 -3,0000 -3,3360 -3,5181 -3,5885 -3,5938 -3,5635 -3,4991 -3,4017 -3,3098 -3,2958 -3,4107 -3,6213 -3,8093 -3,8482 -3,6866 -3,3636 -2,9638 -2,5631 -2,2002 -1,8732 -1,5601 -1,2508 -0,9677 -0,7650 -0,7025 -0,8048 -1,0321 -1,2911 -1,4741 -1,4974 -1,3282 -0,9994 -0,6006 -0,2425 -0,0200 0,0128 -0,1371 -0,3897 -0,6143 -0,6906 -0,5811 -0,3537 -0,1279 -0,0014 -0,0196 -0,1856 -0,4803 -0,8632 -1,2702 -1,6357 -1,9206 -2,1111 -2,1876 -2,1073 -1,8314 -1,3681 -0,7881 -0,2132 0,2100 0,3636 0,2119 -0,1948 -0,7538 -1,3304 -1,7763 -1,9813 -1,9261 -1,6766 -1,3230 -0,9322 -0,5537 -0,2405 -0,0407 0,0176 -0,0774 -0,3276 -0,7154 -1,1836 -1,6250 -1,9039 -1,9041 -1,5829 -1,0071 -0,3491 0,1808 0,4316 0,3696 0,0671 -0,3470 -0,7396 -1,0157 -1,1423 -1,1419 -1,0635 -0,9504 -0,8342 -0,7399 -0,6790 -0,6515 -0,6603 -0,7119 -0,8040 -0,9215 -1,0562 -1,2258 -1,4592 -1,7630 -2,1047 -2,4180 -2,6183 -2,6249 -2,3842 -1,8928 -1,2235 -0,5243 0,0314 0,3160 0,2824 -0,0511 -0,6301 -1,3788 -2,2065 -3,0209 -3,7427 -4,3083 -4,6702 -4,8105 -4,7518 -4,5487 -4,2652 -3,9522 -3,6358 -3,3261 -3,0317 -2,7715 -2,5795 -2,4876 -2,4976 -2,5817 -2,7174 -2,9174 -3,2173 -3,6294 -4,1166 -4,6195 -5,0958 -5,5255 -5,8822 -6,1120 -6,1544 -5,9849 -5,6300 -5,1555 -4,6412 -4,1550 -3,7507 -3,4888 -3,4400 -3,6544 -4,1286 -4,8096 -5,6240 -6,4944 -7,3309 -8,0145 -8,4016 -8,3572 -7,8018 -6,7549 -5,3630 -3,8894 -2,6419 -1,8544 -1,5932 -1,7652 -2,2086 -2,7743 -3,3523 -3,8688 -4,2739 -4,5319 -4,6254 -4,5654 -4,3863 -4,1264 -3,8102 -3,4518 -3,0753 -2,7193 -2,4195 -2,2011 -2,0814 -2,0619 -2,1190 -2,2094 -2,2815 -2,2942 -2,2370 -2,1330 -2,0258 -1,9617 -1,9740 -2,0582 -2,1614 -2,2174 -2,1902 -2,0704 -1,8478 -1,5297 -1,1868 -0,9435 -0,8947 -1,0392 -1,3017 -1,6014 -1,8852 -2,1217 -2,2935 -2,4027 -2,4687 -2,5108 -2,5352 -2,5331 -2,4799 -2,3375 -2,0729 -1,6806 -1,1948 -0,6941 -0,2951 -0,1153 -0,2231 -0,6148 -1,2276 -1,9571 -2,6820 -3,3059 -3,7715 -4,0366 -4,0727 -3,8988 -3,5933 -3,2567 -2,9613 -2,7366 -2,5943 -2,5567 -2,6529 -2,8824 -3,1873 -3,4656 -3,6233 -3,6277 -3,5178 -3,3677 -3,2451 -3,1921 -3,2215 -3,3230 -3,4726 -3,6311 -3,7499 -3,8004 -3,7968 -3,7828 -3,8030 -3,8890 -4,0534 -4,2873 -4,5730 -4,8962 -5,2361 -5,5491 -5,7724 -5,8540 -5,7802 -5,5649 -5,2292 -4,8032 -4,3294 -3,8495 -3,3990 -3,0108 -2,7126 -2,5262 -2,4704 -2,5574 -2,7875 -3,1440 -3,5832 -4,0246 -4,3663 -4,5287 -4,4783 -4,2141 -3,7535 -3,1432 -2,4688 -1,8445 -1,3892 -1,2000 -1,3291 -1,7638 -2,4155 -3,1384 -3,7836 -4,2589 -4,5588 -4,7472 -4,9102 -5,1110 -5,3630 -5,6335 -5,8704 -6,0171 -6,0102 -5,7876 -5,3260 -4,6780 -3,9715 -3,3544 -2,9171 -2,6592 -2,5427 -2,5595 -2,7217 -2,9933 -3,2647 -3,4019 -3,3149 -2,9850 -2,4510 -1,7942 -1,1369 -0,6183 -0,3345 -0,2844 -0,3809 -0,5222 -0,6577 -0,8050 -1,0216 -1,3720 -1,9053 -2,6138 -3,3885 -4,0493 -4,4447 -4,5249 -4,3422 -4,0050 -3,6313 -3,3108 -3,0786 -2,9084 -2,7403 -2,5388 -2,3357 -2,2169 -2,2683 -2,5243 -2,9423 -3,4222 -3,8647 -4,2170 -4,4682 -4,6282 -4,7269 -4,8114 -4,9255 -5,0883 -5,2956 -5,5325 -5,7781 -6,0104 -6,2219 -6,4314 -6,6744 -6,9728 -7,3069 -7,6229 -7,8642 -7,9889 -7,9687 -7,7945 -7,4937 -7,1358 -6,8126 -6,6028 -6,5493 -6,6595 -6,9095 -7,2393 -7,5643 -7,8062 -7,9095 -7,8424 -7,6188 -7,3207 -7,0716 -6,9736 -7,0559 -7,2619 -7,4841 -7,6299 -7,6674 -7,6220 -7,5367 -7,4196 -7,2219 -6,8805 -6,3867 -5,8086 -5,2509 -4,7945 -4,4707 -4,2752 -4,1895 -4,1875 -4,2352 -4,3032
