Fp1   2,0702 2,3286 2,4609 2,4558 2,3288 2,1089 1,8273 1,5186 1,2114 0,9146 0,6244 0,3412 0,0779 -0,1415 -0,2961 -0,3840 -0,4175 -0,4051 -0,3487 -0,2621 -0,1833 -0,1495 -0,1598 -0,1826 -0,2036 -0,2509 -0,3701 -0,5889 -0,9006 -1,2592 -1,5948 -1,8479 -1,9821 -1,9691 -1,7872 -1,4492 -1,0207 -0,5979 -0,2740 -0,1147 -0,1296 -0,2548 -0,3955 -0,4803 -0,4685 -0,3405 -0,1087 0,1651 0,3883 0,4969 0,4937 0,4239 0,3394 0,2830 0,2751 0,3002 0,3165 0,2920 0,2291 0,1586 0,1189 0,1464 0,2738 0,5185 0,8559 1,2115 1,4978 1,6635 1,7062 1,6545 1,5500 1,4307 1,3211 1,2381 1,1916 1,1673 1,1272 1,0471 0,9417 0,8457 0,7753 0,7209 0,6842 0,7088 0,8526 1,1233 1,4388 1,6598 1,6807 1,4933 1,1783 0,8538 0,6172 0,4992 0,4599 0,4281 0,3414 0,1622 -0,1123 -0,4485 -0,7976 -1,1277 -1,4347 -1,7273 -2,0094 -2,2670 -2,4722 -2,6093 -2,6947 -2,7656 -2,8520 -2,9597 -3,0703 -3,1529 -3,1845 -3,1646 -3,1173 -3,0911 -3,1434 -3,3034 -3,5489 -3,8146 -4,0236 -4,1273 -4,1336 -4,0940 -4,0631 -4,0641 -4,0823 -4,0763 -3,9949 -3,7945 -3,4522 -2,9682 -2,3642 -1,6765 -0,9467 -0,2230 0,4384 0,9870 1,3982 1,6950 1,9509 2,2508 2,6346 3,0768 3,5160 3,9053 4,2357 4,5179 4,7540 4,9471 5,1239 5,3255 5,5855 5,9265 6,3509 6,8098 7,1984 7,4080 7,3962 7,2113 6,9477 6,6914 6,5078 6,4472 6,5318 6,7347 6,9802 7,1736 7,2541 7,2370 7,2018 7,2340 7,3808 7,6334 7,9177 8,1208 8,1529 7,9833 7,6282 7,1413 6,6210 6,1917 5,9477 5,9074 6,0210 6,2121 6,4081 6,5406 6,5585 6,4603 6,2978 6,1323 5,9946 5,8876 5,8026 5,7162 5,5891 5,4006 5,1765 4,9596 4,7662 4,5932 4,4476 4,3449 4,2891 4,2641 4,2349 4,1599 4,0228 3,8631 3,7698 3,8246 4,0402 4,3530 4,6608 4,8610 4,8872 4,7535 4,5584 4,4187 4,4035 4,5223 4,7510 5,0566 5,4029 5,7387 5,9971 6,1224 6,1096 6,0173 5,9291 5,9036 5,9617 6,0951 6,2667 6,4201 6,5114 6,5328 6,5038 6,4450 6,3584 6,2250 6,0221 5,7513 5,4442 5,1331 4,8320 4,5606 4,3701 4,3233 4,4325 4,6208 4,7643 4,7781 4,6528 4,4227 4,1314 3,8305 3,5831 3,4477 3,4459 3,5390 3,6481 3,7019 3,6734 3,5828 3,4683 3,3456 3,2012 3,0269 2,8442 2,6917 2,6068 2,6068 2,6713 2,7558 2,8317 2,9014 2,9761 3,0538 3,1171 3,1441 3,1283 3,0904 3,0714 3,1159 3,2491 3,4550 3,6818 3,8788 4,0199 4,0972 4,1189 4,1101 4,0937 4,0760 4,0639 4,0764 4,1325 4,2373 4,3761 4,5190 4,6433 4,7523 4,8565 4,9509 5,0263 5,0827 5,1223 5,1468 5,1634 5,1855 5,2241 5,2830 5,3668 5,4910 5,6752 5,9207 6,2002 6,4769 6,7343 6,9722 7,1739 7,2956 7,3028 7,2018 7,0258 6,8029 6,5517 6,3006 6,0900 5,9503 5,8907 5,9193 6,0539 6,2811 6,5152 6,6307 6,5481 6,2859 5,9383 5,6123 5,3856 5,2967 5,3442 5,4980 5,7232 5,9907 6,2719 6,5311 6,7273 6,8246 6,8111 6,7053 6,5406 6,3511 6,1744 6,0533 6,0320 6,1476 6,4136 6,8036 7,2591 7,7114 8,0919 8,3319 8,3749 8,2006 7,8415 7,3799 6,9239 6,5720 6,3706 6,2867 6,2249 6,0914 5,8657 5,6170 5,4547 5,4639 5,6797 6,0938 6,6626 7,3051 7,9007 8,3133 8,4479 8,3024 7,9653 7,5595 7,1773 6,8521 6,5794 6,3565 6,1941 6,0928 6,0248 5,9470 5,8322 5,6927 5,5685 5,4874 5,4432 5,4079 5,3571 5,2854 5,1932 5,0654 4,8829 4,6573 4,4372 4,2773 4,2042 4,2096 4,2691 4,3608 4,4619 4,5344 4,5371 4,4653 4,3612 4,2762 4,2384 4,2544 4,3141 4,3861 4,4217 4,3775 4,2417 4,0396 3,8135 3,5969 3,3995 3,2175 3,0565 2,9391 2,8887 2,9140 3,0089 3,1667 3,3836 3,6341 3,8574 3,9902 4,0048 3,9094 3,7270 3,4810 3,1941 2,8972 2,6385 2,4731 2,4364 2,5218 2,6802 2,8521 3,0095 3,1666 3,3617 3,6355 4,0150 4,4943 5,0096 5,4422 5,6668 5,6188 5,3343 4,9311 4,5445 4,2744 4,1623 4,1873 4,2774 4,3384 4,2935 4,1217 3,8656 3,5940 3,3582 3,1809 3,0676 3,0152 3,0154 3,0585 3,1384 3,2422 3,3261 3,3188 3,1710 2,8991 2,5687 2,2376 1,9251 1,6269 1,3412 1,0803 0,8675 0,7329 0,7099 0,8129 1,0104 1,2459 1,4914 1,7738 2,1395 2,5893 3,0528 3,4313 3,6691 3,7849 3,8410 3,9012 4,0206 4,2321 4,5116 4,7784 4,9473 4,9793 4,8986 4,7790 4,7098 4,7469 4,8787 5,0378 5,1529 5,2007 5,2198 5,2678 5,3687 5,5094 5,6709 5,8444 6,0275 6,2142 6,3845 6,4999 6,5095 6,3706 6,0728 5,6540 5,1985 4,8006 4,5043 4,2841 4,0790 3,8327 3,5121 3,1220 2,7049 2,3075 1,9501 1,6394 1,3932 1,2321 1,1556 1,1396 1,1626 1,2287 1,3589 1,5611 1,8174 2,0885 2,3171 2,4299 2,3515 2,0459 1,5625 1,0291 0,5867 0,3317 0,3005 0,4784 0,8115 1,2224 1,6242 1,9366 2,1071 2,1277 2,0295 1,8621 1,6734 1,4966 1,3443 1,2127 1,0989 1,0177 1,0046 1,0988 1,3127 1,6132 1,9357 2,2138 2,3993 2,4761 2,4586 2,3685 2,2192 2,0290
Fz    2,6508 2,7019 2,6141 2,4208 2,1657 1,8795 1,5714 1,2455 0,9095 0,5722 0,2516 -0,0239 -0,2287 -0,3512 -0,3950 -0,3742 -0,3077 -0,2170 -0,1232 -0,0543 -0,0524 -0,1470 -0,3125 -0,4734 -0,5683 -0,6016 -0,6320 -0,7257 -0,9189 -1,1987 -1,5129 -1,7999 -2,0023 -2,0641 -1,9469 -1,6596 -1,2646 -0,8490 -0,4907 -0,2423 -0,1173 -0,0817 -0,0803 -0,0712 -0,0227 0,1030 0,3292 0,6183 0,8720 1,0060 1,0108 0,9320 0,8219 0,7203 0,6572 0,6547 0,7218 0,8472 1,0056 1,1745 1,3454 1,5250 1,7284 1,9631 2,2042 2,3883 2,4538 2,3889 2,2290 2,0203 1,8007 1,6009 1,4467 1,3592 1,3521 1,4174 1,5203 1,6218 1,7024 1,7573 1,7748 1,7331 1,6337 1,5353 1,5266 1,6504 1,8497 1,9964 1,9812 1,7811 1,4587 1,1202 0,8694 0,7659 0,8059 0,9329 1,0603 1,0974 0,9839 0,7113 0,3202 -0,1189 -0,5328 -0,8721 -1,1218 -1,2885 -1,3835 -1,4318 -1,4794 -1,5634 -1,6748 -1,7599 -1,7561 -1,6296 -1,3921 -1,0961 -0,8225 -0,6642 -0,6949 -0,9319 -1,3281 -1,7927 -2,2228 -2,5404 -2,7204 -2,7921 -2,8073 -2,7982 -2,7599 -2,6652 -2,4841 -2,1918 -1,7766 -1,2482 -0,6384 0,0110 0,6601 1,2725 1,8208 2,2928 2,6868 3,0197 3,3418 3,7167 4,1715 4,6733 5,1528 5,5585 5,8853 6,1570 6,4002 6,6450 6,9289 7,2785 7,6970 8,1705 8,6680 9,1285 9,4682 9,6231 9,5953 9,4556 9,2957 9,1813 9,1476 9,2090 9,3527 9,5303 9,6682 9,7022 9,6153 9,4597 9,3399 9,3587 9,5605 9,9042 10,2764 10,5424 10,6069 10,4453 10,0957 9,6372 9,1734 8,8101 8,6173 8,6043 8,7284 8,9197 9,1014 9,2023 9,1827 9,0665 8,9236 8,8112 8,7457 8,7186 8,7119 8,6927 8,6225 8,4924 8,3376 8,1968 8,0732 7,9476 7,8160 7,6927 7,5854 7,4759 7,3271 7,1147 6,8532 6,5906 6,3871 6,2922 6,3205 6,4375 6,5756 6,6594 6,6301 6,4769 6,2534 6,0449 5,9196 5,9098 6,0186 6,2283 6,5016 6,7814 6,9988 7,0959 7,0621 6,9529 6,8612 6,8613 6,9765 7,1856 7,4377 7,6644 7,8046 7,8328 7,7605 7,6138 7,4151 7,1796 6,9211 6,6618 6,4320 6,2485 6,0982 5,9613 5,8465 5,7909 5,8170 5,8952 5,9619 5,9685 5,9016 5,7660 5,5704 5,3366 5,1138 4,9672 4,9366 5,0037 5,1124 5,2096 5,2629 5,2586 5,1916 5,0541 4,8437 4,5831 4,3199 4,1038 3,9742 3,9520 4,0182 4,1143 4,1832 4,2068 4,2003 4,1820 4,1569 4,1266 4,1033 4,1070 4,1519 4,2380 4,3536 4,4842 4,6229 4,7786 4,9669 5,1877 5,4178 5,6229 5,7663 5,8163 5,7714 5,6773 5,6075 5,6193 5,7213 5,8755 6,0410 6,2069 6,3709 6,5074 6,5758 6,5543 6,4587 6,3344 6,2352 6,2042 6,2586 6,3827 6,5436 6,7210 6,9144 7,1243 7,3391 7,5436 7,7363 7,9282 8,1210 8,2939 8,4210 8,4907 8,4994 8,4378 8,2983 8,0929 7,8616 7,6612 7,5452 7,5506 7,6860 7,9076 8,1118 8,1793 8,0478 7,7447 7,3594 6,9918 6,7232 6,6053 6,6502 6,8321 7,1017 7,4010 7,6733 7,8714 7,9656 7,9528 7,8596 7,7314 7,6112 7,5319 7,5208 7,5956 7,7578 7,9998 8,3088 8,6592 9,0124 9,3309 9,5835 9,7402 9,7681 9,6366 9,3384 8,9159 8,4615 8,0804 7,8379 7,7268 7,6757 7,5993 7,4571 7,2800 7,1495 7,1512 7,3374 7,7126 8,2339 8,8175 9,3501 9,7179 9,8470 9,7321 9,4366 9,0601 8,6877 8,3577 8,0733 7,8375 7,6687 7,5792 7,5477 7,5277 7,4875 7,4382 7,4147 7,4307 7,4552 7,4351 7,3398 7,1836 7,0038 6,8231 6,6436 6,4640 6,2879 6,1252 5,9886 5,8852 5,8051 5,7224 5,6080 5,4420 5,2259 4,9959 4,8155 4,7434 4,8083 5,0019 5,2737 5,5415 5,7292 5,8014 5,7644 5,6466 5,4854 5,3209 5,1823 5,0760 4,9938 4,9275 4,8771 4,8464 4,8357 4,8521 4,9170 5,0394 5,1934 5,3382 5,4391 5,4600 5,3622 5,1243 4,7597 4,3191 3,8831 3,5360 3,3314 3,2727 3,3166 3,3999 3,4778 3,5497 3,6585 3,8661 4,2177 4,7160 5,3084 5,8901 6,3343 6,5493 6,5303 6,3607 6,1678 6,0704 6,1315 6,3297 6,5729 6,7420 6,7401 6,5387 6,1922 5,7946 5,4243 5,1306 4,9418 4,8650 4,8892 4,9973 5,1708 5,3770 5,5522 5,6129 5,5025 5,2319 4,8663 4,4680 4,0639 3,6622 3,2776 2,9315 2,6471 2,4520 2,3802 2,4528 2,6488 2,9118 3,1949 3,4950 3,8321 4,1993 4,5455 4,8098 4,9691 5,0547 5,1246 5,2317 5,4135 5,6828 6,0096 6,3233 6,5495 6,6484 6,6313 6,5577 6,5134 6,5672 6,7244 6,9245 7,0843 7,1497 7,1206 7,0348 6,9354 6,8597 6,8393 6,8952 7,0368 7,2642 7,5589 7,8713 8,1249 8,2416 8,1746 7,9354 7,6004 7,2725 7,0164 6,8333 6,6816 6,5033 6,2481 5,9044 5,5097 5,1130 4,7336 4,3708 4,0412 3,7794 3,6024 3,4962 3,4417 3,4421 3,5204 3,6986 3,9792 4,3337 4,6984 4,9765 5,0597 4,8786 4,4559 3,9091 3,3938 3,0335 2,8923 2,9870 3,2967 3,7561 4,2550 4,6591 4,8570 4,8109 4,5714 4,2423 3,9308 3,7108 3,6054 3,5872 3,6023 3,6092 3,6026 3,6073 3,6507 3,7449 3,8870 4,0602 4,2344 4,3801 4,4862 4,5572 4,5996 4,6241
F3    3,0692 3,5669 3,8935 3,9735 3,7716 3,3074 2,6652 1,9809 1,3754 0,8833 0,4547 0,0195 -0,4469 -0,9037 -1,2787 -1,5209 -1,6149 -1,5615 -1,3744 -1,1005 -0,8205 -0,6058 -0,4670 -0,3632 -0,2636 -0,1852 -0,1778 -0,2978 -0,5759 -0,9799 -1,4196 -1,8028 -2,0670 -2,1582 -2,0243 -1,6600 -1,1393 -0,5910 -0,1552 0,0564 0,0237 -0,1469 -0,3005 -0,3469 -0,2837 -0,1544 -0,0222 0,0369 -0,0361 -0,2318 -0,4683 -0,6518 -0,7226 -0,6576 -0,4739 -0,2385 -0,0451 0,0452 0,0357 -0,0284 -0,0946 -0,1139 -0,0385 0,1617 0,4679 0,8022 1,0714 1,2291 1,2896 1,2959 1,2886 1,2907 1,3111 1,3613 1,4465 1,5317 1,5444 1,4381 1,2349 0,9978 0,7695 0,5500 0,3443 0,2177 0,2743 0,5616 0,9876 1,3492 1,4618 1,2727 0,8757 0,4493 0,1601 0,0742 0,1370 0,2334 0,2609 0,1586 -0,0910 -0,4645 -0,9142 -1,3995 -1,8909 -2,3505 -2,7239 -2,9478 -2,9656 -2,7615 -2,3939 -1,9898 -1,6892 -1,5778 -1,6496 -1,8242 -2,0014 -2,1097 -2,1282 -2,1072 -2,1551 -2,3635 -2,7315 -3,1575 -3,4942 -3,6389 -3,6055 -3,5158 -3,5205 -3,7116 -4,0726 -4,4810 -4,7604 -4,7596 -4,4100 -3,7333 -2,8167 -1,7720 -0,7082 0,2614 1,0173 1,4778 1,6519 1,6510 1,6492 1,8038 2,1768 2,7123 3,2939 3,8302 4,2926 4,6820 4,9873 5,1968 5,3359 5,4632 5,6395 5,9099 6,2797 6,6723 6,9341 6,9219 6,6162 6,1475 5,7072 5,4418 5,4280 5,6969 6,2353 6,9629 7,7255 8,3326 8,6354 8,6049 8,3443 8,0255 7,8098 7,7903 7,9547 8,2013 8,4043 8,4572 8,2838 7,8698 7,3046 6,7592 6,3896 6,2520 6,3101 6,5057 6,7946 7,1144 7,3735 7,5043 7,5066 7,4229 7,2908 7,1291 6,9487 6,7470 6,5005 6,1999 5,8925 5,6584 5,5458 5,5456 5,6147 5,7038 5,7766 5,8123 5,7837 5,6552 5,4262 5,1714 5,0226 5,0877 5,3718 5,7714 6,1253 6,2675 6,0931 5,6397 5,0936 4,6700 4,4873 4,5508 4,8083 5,1958 5,6435 6,0665 6,3790 6,5331 6,5499 6,5086 6,4973 6,5673 6,7225 6,9215 7,0833 7,1248 7,0170 6,8076 6,5887 6,4353 6,3602 6,3156 6,2413 6,1164 5,9600 5,7806 5,5540 5,2778 5,0260 4,9119 4,9790 5,1346 5,2141 5,1148 4,8504 4,4918 4,1049 3,7473 3,4835 3,3727 3,4301 3,5999 3,7751 3,8564 3,8116 3,6937 3,5961 3,5724 3,6032 3,6382 3,6491 3,6421 3,6496 3,7013 3,7868 3,8630 3,8957 3,8756 3,8013 3,6687 3,4780 3,2489 3,0345 2,9050 2,9134 3,0794 3,3877 3,7845 4,1899 4,5343 4,7785 4,8979 4,8746 4,7101 4,4241 4,0534 3,6692 3,3746 3,2583 3,3524 3,6240 3,9984 4,4036 4,7969 5,1408 5,3807 5,4682 5,3899 5,1724 4,8761 4,5815 4,3646 4,2708 4,3124 4,4928 4,8221 5,2935 5,8472 6,3743 6,7704 6,9923 7,0622 7,0198 6,8896 6,6986 6,4970 6,3347 6,2206 6,1237 6,0191 5,9084 5,7919 5,6633 5,5613 5,5847 5,7969 6,1255 6,3904 6,4326 6,2149 5,8142 5,3453 4,9107 4,5966 4,4688 4,5662 4,8995 5,4382 6,0935 6,7301 7,2108 7,4490 7,4371 7,2266 6,8835 6,4630 6,0227 5,6421 5,4181 5,4314 5,7073 6,2008 6,8165 7,4389 7,9462 8,2224 8,1888 7,8473 7,2965 6,6936 6,1929 5,9016 5,8451 5,9438 6,0341 5,9585 5,6753 5,2896 4,9773 4,8888 5,1070 5,6411 6,4284 7,3366 8,1707 8,7210 8,8579 8,6046 8,1143 7,5742 7,1185 6,7926 6,5700 6,4056 6,2750 6,1654 6,0484 5,8868 5,6754 5,4684 5,3411 5,3103 5,3105 5,2535 5,1006 4,8847 4,6708 4,4953 4,3559 4,2476 4,1747 4,1262 4,0695 3,9808 3,8751 3,7969 3,7700 3,7547 3,6773 3,5127 3,3168 3,1734 3,1355 3,2180 3,4121 3,6783 3,9390 4,1073 4,1409 4,0615 3,9190 3,7494 3,5639 3,3653 3,1651 2,9857 2,8470 2,7575 2,7241 2,7738 2,9398 3,2029 3,4653 3,6173 3,6228 3,5283 3,4016 3,2709 3,1157 2,9080 2,6552 2,4038 2,2093 2,0999 2,0623 2,0747 2,1540 2,3558 2,7356 3,3171 4,0802 4,9472 5,7663 6,3340 6,4729 6,1191 5,3714 4,4604 3,6456 3,1121 2,9302 3,0585 3,3674 3,6791 3,8281 3,7365 3,4530 3,1096 2,8339 2,6938 2,6926 2,7932 2,9551 3,1636 3,4351 3,7766 4,1224 4,3317 4,2831 3,9740 3,5170 3,0442 2,6279 2,2759 1,9715 1,7109 1,5107 1,3948 1,3835 1,4701 1,5974 1,6903 1,7356 1,8178 2,0525 2,4704 2,9786 3,4367 3,7568 3,9295 3,9858 3,9671 3,9318 3,9419 4,0145 4,1149 4,2065 4,2851 4,3757 4,5189 4,7592 5,1137 5,5330 5,9028 6,1046 6,0987 5,9604 5,8210 5,7691 5,8189 5,9432 6,1074 6,2926 6,5051 6,7528 7,0016 7,1615 7,1279 6,8452 6,3442 5,7343 5,1467 4,6600 4,2725 3,9357 3,6021 3,2473 2,8702 2,4846 2,0976 1,6971 1,2818 0,9010 0,6375 0,5505 0,6427 0,8725 1,1924 1,5731 1,9977 2,4478 2,8905 3,2617 3,4560 3,3492 2,8711 2,0807 1,1615 0,3296 -0,2508 -0,4954 -0,4005 -0,0334 0,4966 1,0726 1,5987 2,0184 2,3123 2,4764 2,5122 2,4363 2,2825 2,0834 1,8543 1,6025 1,3482 1,1409 1,0562 1,1561 1,4354 1,8142 2,1853 2,4728 2,6591 2,7572 2,7517 2,5914 2,2514
F7    0,9361 1,0116 1,0118 0,9991 1,0950 1,3956 1,8541 2,2666 2,4014 2,1591 1,6431 1,0983 0,7613 0,7354 0,9670 1,3006 1,5543 1,5936 1,3835 0,9972 0,5725 0,2359 0,0322 -0,1006 -0,2894 -0,6349 -1,1245 -1,6299 -1,9918 -2,1068 -1,9493 -1,5580 -1,0331 -0,5257 -0,1760 -0,0514 -0,1474 -0,4046 -0,7279 -1,0451 -1,3554 -1,7026 -2,0959 -2,4416 -2,5596 -2,2903 -1,5939 -0,5740 0,5579 1,5467 2,1859 2,3929 2,2165 1,7842 1,2351 0,6683 0,1304 -0,3554 -0,7497 -0,9930 -1,0413 -0,8889 -0,5458 -0,0146 0,6789 1,4367 2,0947 2,4846 2,5061 2,1789 1,6352 1,0338 0,4746 -0,0041 -0,3868 -0,6530 -0,7637 -0,6767 -0,3888 0,0476 0,5509 1,0562 1,5399 1,9963 2,3958 2,6769 2,7752 2,6643 2,3894 2,0536 1,7495 1,4966 1,2327 0,8656 0,3498 -0,2740 -0,9021 -1,4224 -1,7401 -1,7820 -1,5348 -1,0887 -0,6155 -0,2959 -0,2431 -0,4753 -0,9618 -1,6589 -2,4780 -3,2689 -3,8762 -4,2102 -4,2644 -4,0891 -3,7707 -3,4158 -3,1084 -2,8657 -2,6527 -2,4537 -2,3205 -2,3503 -2,6194 -3,1179 -3,7282 -4,2560 -4,4901 -4,2957 -3,7085 -2,9337 -2,2366 -1,8152 -1,7237 -1,8775 -2,1314 -2,3551 -2,4304 -2,2227 -1,6275 -0,6724 0,4491 1,4675 2,1793 2,5224 2,5607 2,4384 2,3188 2,3168 2,4745 2,7660 3,1090 3,4165 3,6570 3,8428 3,9930 4,1528 4,4234 4,9268 5,7242 6,7485 7,7984 8,6105 8,9722 8,8115 8,2100 7,3308 6,3306 5,3379 4,4875 3,9311 3,8012 4,1620 4,9524 5,9656 6,9346 7,6487 7,9895 7,9324 7,5716 7,0875 6,6366 6,2931 6,0868 6,0428 6,1676 6,4100 6,6407 6,6820 6,3947 5,7756 4,9850 4,2691 3,8384 3,7843 4,0583 4,5189 5,0154 5,4323 5,6863 5,7276 5,5357 5,0850 4,3590 3,4441 2,5693 1,9881 1,8138 1,9766 2,3004 2,5883 2,6789 2,5144 2,1847 1,8540 1,6407 1,5901 1,7187 2,0396 2,5529 3,2041 3,8581 4,3514 4,5809 4,5310 4,2520 3,8540 3,4877 3,2676 3,2034 3,2143 3,2202 3,2138 3,2302 3,2794 3,3540 3,4717 3,6649 3,9504 4,3048 4,6425 4,8330 4,7753 4,4512 3,9005 3,1775 2,3553 1,5349 0,8307 0,3578 0,1983 0,3451 0,7083 1,1875 1,7049 2,1861 2,5617 2,7974 2,9007 2,9034 2,8386 2,7171 2,5315 2,2888 2,0175 1,7555 1,5541 1,4573 1,4451 1,4234 1,2834 0,9690 0,5125 0,0271 -0,3456 -0,5043 -0,4372 -0,2188 0,0624 0,3879 0,8097 1,3798 2,0997 2,8933 3,5853 3,9473 3,8348 3,3112 2,6330 2,0946 1,8473 1,8306 1,8602 1,7729 1,5273 1,2447 1,1477 1,3958 1,9761 2,7338 3,4589 3,9661 4,1529 4,0033 3,5578 2,9002 2,1583 1,4875 1,0625 1,0673 1,6056 2,5892 3,7576 4,8211 5,5836 5,9803 6,0494 5,8649 5,4943 5,0262 4,5869 4,2883 4,1885 4,3055 4,6121 5,0017 5,3034 5,3676 5,1464 4,6974 4,1284 3,5514 3,0902 2,8971 3,1022 3,7043 4,5315 5,3370 5,9319 6,2410 6,2783 6,0960 5,7633 5,3885 5,1180 5,0582 5,1817 5,3104 5,2116 4,7522 3,9913 3,1457 2,4754 2,1473 2,1511 2,3430 2,5682 2,7467 2,8987 3,1148 3,4765 3,9955 4,6187 5,2582 5,8280 6,2931 6,6841 7,0449 7,3767 7,6452 7,8086 7,8160 7,6184 7,2096 6,6446 6,0100 5,3818 4,8081 4,3169 3,9294 3,6668 3,5288 3,4634 3,3873 3,2636 3,1507 3,1801 3,4794 4,0685 4,8117 5,4858 5,9035 5,9878 5,7547 5,2671 4,6416 4,0601 3,7033 3,6653 3,9385 4,4262 4,9358 5,2272 5,1487 4,7570 4,2886 3,9819 3,9072 3,9451 3,8891 3,5677 2,9283 2,0798 1,2794 0,8276 0,8956 1,4267 2,2065 3,0162 3,7244 4,2790 4,6616 4,8686 4,9218 4,8695 4,7716 4,6827 4,6212 4,5337 4,3111 3,8612 3,1846 2,3975 1,6807 1,1763 0,9097 0,8212 0,8740 1,0983 1,5270 2,1406 2,8732 3,6203 4,2527 4,6670 4,8234 4,7231 4,3687 3,7667 2,9673 2,0991 1,3518 0,9048 0,8492 1,1591 1,7167 2,3564 2,9092 3,2510 3,3235 3,1234 2,6931 2,1248 1,5536 1,1264 0,9674 1,1647 1,7582 2,6932 3,7824 4,7456 5,3274 5,4174 5,0866 4,5115 3,8678 3,3013 2,9490 2,8875 3,0379 3,1880 3,1443 2,8607 2,4506 2,1005 1,9368 1,9391 1,9767 1,9252 1,7464 1,4958 1,2800 1,1852 1,2143 1,2929 1,3310 1,2657 1,0599 0,7004 0,2102 -0,3293 -0,7795 -1,0074 -0,9458 -0,5878 0,0191 0,7685 1,5459 2,2803 2,9095 3,3390 3,5144 3,5162 3,5143 3,6515 3,9914 4,5009 5,0346 5,3808 5,3572 4,8898 4,0595 3,0917 2,2617 1,7654 1,6556 1,8740 2,3266 2,9235 3,5574 4,0945 4,4411 4,6226 4,7664 4,9856 5,2590 5,4118 5,2372 4,6619 3,8017 2,8776 2,0930 1,5717 1,3667 1,4804 1,8532 2,3622 2,8636 3,2249 3,3349 3,1342 2,6492 1,9938 1,3555 0,9296 0,7918 0,8471 0,9217 0,8824 0,7038 0,4613 0,2429 0,0581 -0,1560 -0,4605 -0,8584 -1,2838 -1,6310 -1,8027 -1,7326 -1,3925 -0,8259 -0,1623 0,4369 0,8556 1,0709 1,1412 1,1356 1,0726 0,9242 0,6617 0,3013 -0,0935 -0,4549 -0,7453 -0,9558 -1,0862 -1,1261 -1,0549 -0,8691 -0,6070 -0,3491 -0,1884 -0,1799 -0,3208 -0,5820 -0,9233 -1,2623 -1,4544 -1,3424 -0,8607
