Fp1   4,3518 3,8768 3,5261 3,3056 3,1672 3,0358 2,8466 2,5629 2,1892 1,7626 1,3242 0,9074 0,5493 0,2949 0,1857 0,2333 0,3849 0,5269 0,5478 0,4082 0,1505 -0,1468 -0,4215 -0,6375 -0,7708 -0,8097 -0,7709 -0,7057 -0,6775 -0,7327 -0,8957 -1,1771 -1,5622 -2,0024 -2,4242 -2,7444 -2,9060 -2,9120 -2,8066 -2,6309 -2,4012 -2,1156 -1,7864 -1,4518 -1,1347 -0,8088 -0,4265 0,0336 0,5589 1,1293 1,7374 2,3783 3,0358 3,6733 4,2297 4,6401 4,8689 4,9132 4,7852 4,5197 4,1971 3,9189 3,7460 3,6875 3,7261 3,8150 3,8742 3,8167 3,5703 3,0844 2,3515 1,4227 0,3956 -0,6008 -1,4366 -2,0512 -2,4976 -2,8750 -3,2026 -3,4020 -3,4097 -3,2602 -3,0647 -2,9430 -2,9639 -3,1395 -3,4637 -3,9175 -4,4131 -4,7942 -4,9543 -4,9145 -4,7638 -4,5893 -4,4650 -4,4330 -4,4592 -4,4227 -4,1676 -3,5908 -2,7100 -1,6750 -0,7199 -0,0730 0,1324 -0,1161 -0,7354 -1,5605 -2,3939 -3,1086 -3,6887 -4,1712 -4,5968 -5,0167 -5,5051 -6,1487 -7,0028 -8,0145 -9,0167 -9,8364 -10,3780 -10,5959 -10,4287 -9,8018 -8,7215 -7,3372 -5,8743 -4,5295 -3,4328 -2,6390 -2,1194 -1,7983 -1,6237 -1,5795 -1,6533 -1,8294 -2,0943 -2,4347 -2,8428 -3,3288 -3,9029 -4,5194 -5,0608 -5,4109 -5,5441 -5,5316 -5,4690 -5,4122 -5,3778 -5,3752 -5,4103 -5,4726 -5,5660 -5,7370 -6,0032 -6,2629 -6,3576 -6,2122 -5,8490 -5,3128 -4,6495 -3,9248 -3,2095 -2,5494 -1,9547 -1,4064 -0,8669 -0,3032 0,2738 0,7985 1,1718 1,2934 1,1154 0,6689 0,0408 -0,6434 -1,2257 -1,5654 -1,6143 -1,4390 -1,1539 -0,8509 -0,5777 -0,3298 -0,0603 0,2874 0,7552 1,3448 1,9970 2,6224 3,1640 3,6164 3,9826 4,2106 4,1870 3,8376 3,2514 2,6623 2,2886 2,2317 2,5156 3,1278 3,9669 4,8063 5,3978 5,6397 5,6287 5,5474 5,5178 5,5432 5,5433 5,4206 5,1037 4,5441 3,7058 2,6090 1,3840 0,2403 -0,6273 -1,1226 -1,2879 -1,2746 -1,2480 -1,2827 -1,3286 -1,2771 -1,0630 -0,7030 -0,2492 0,2685 0,8112 1,2608 1,4698 1,3932 1,1023 0,6927 0,2512 -0,1365 -0,4205 -0,5842 -0,5842 -0,3550 0,1228 0,7938 1,5496 2,2581 2,8006 3,1104 3,1721 2,9919 2,6041 2,0859 1,5469 1,1124 0,8743 0,8275 0,8838 0,9631 1,0463 1,1406 1,2304 1,2730 1,2202 1,0345 0,7067 0,2804 -0,1617 -0,5548 -0,8814 -1,1446 -1,3468 -1,5018 -1,6355 -1,7652 -1,8862 -1,9882 -2,0828 -2,1921 -2,3225 -2,4815 -2,6952 -2,9781 -3,3149 -3,6823 -4,0645 -4,4420 -4,7811 -5,0380 -5,1707 -5,1546 -4,9908 -4,6963 -4,2969 -3,8315 -3,3557 -2,9301 -2,5902 -2,3372 -2,1636 -2,0616 -1,9922 -1,8727 -1,6206 -1,1981 -0,6186 0,0378 0,6146 0,9590 1,0212 0,8340 0,4378 -0,1172 -0,7215 -1,2162 -1,4842 -1,5323 -1,4795 -1,4669 -1,5678 -1,7720 -2,0542 -2,4263 -2,8947 -3,4119 -3,9018 -4,3118 -4,6354 -4,8893 -5,0651 -5,1404 -5,1430 -5,1648 -5,2945 -5,5549 -5,9030 -6,2524 -6,4985 -6,5712 -6,4952 -6,3877 -6,3795 -6,5262 -6,7877 -7,0798 -7,3266 -7,4612 -7,4137 -7,1264 -6,5842 -5,8388 -5,0034 -4,2026 -3,5141 -2,9475 -2,4637 -2,0199 -1,6012 -1,2143 -0,8749 -0,6147 -0,4790 -0,5004 -0,6752 -0,9723 -1,3587 -1,8012 -2,2525 -2,6676 -3,0257 -3,3286 -3,5885 -3,8091 -3,9778 -4,0899 -4,1718 -4,2686 -4,4073 -4,5765 -4,7482 -4,9117 -5,0797 -5,2696 -5,4910 -5,7451 -6,0257 -6,3174 -6,5994 -6,8442 -6,9953 -6,9575 -6,6486 -6,0688 -5,3154 -4,5438 -3,9117 -3,5131 -3,3173 -3,1852 -2,9839 -2,6806 -2,3241 -1,9842 -1,7156 -1,5461 -1,4688 -1,4392 -1,3977 -1,3056 -1,1532 -0,9473 -0,7183 -0,5283 -0,4456 -0,5056 -0,7005 -0,9917 -1,3245 -1,6482 -1,9401 -2,2192 -2,5233 -2,8531 -3,1493 -3,3372 -3,3791 -3,2846 -3,0897 -2,8447 -2,6092 -2,4320 -2,3261 -2,2687 -2,2293 -2,1964 -2,1803 -2,2047 -2,2821 -2,3674 -2,3539 -2,1454 -1,7348 -1,2006 -0,6437 -0,1499 0,2124 0,4113 0,4664 0,4318 0,3709 0,3480 0,4169 0,5930 0,8309 1,0495 1,1845 1,2026 1,0816 0,8099 0,4085 -0,0555 -0,4813 -0,7743 -0,8995 -0,9042 -0,8631 -0,8054 -0,7065 -0,5275 -0,2651 0,0067 0,1598 0,1053 -0,1412 -0,5037 -0,9454 -1,4878 -2,1414 -2,8642 -3,5872 -4,2559 -4,8612 -5,4533 -6,1044 -6,8452 -7,6305 -8,3467 -8,8503 -9,0208 -8,7992 -8,1937 -7,2649 -6,1023 -4,7897 -3,3840 -1,9358 -0,5091 0,8288 2,0116 2,9793 3,7001 4,1774 4,4499 4,5917 4,6958 4,8403 5,0548 5,3148 5,5692 5,7559 5,8045 5,6699 5,3616 4,9171 4,3790 3,8173 3,3280 2,9722 2,7419 2,5909 2,4750 2,3736 2,2981 2,2756 2,3194 2,4284 2,5862 2,7445 2,8451 2,8664 2,8245 2,7466 2,6537 2,5429 2,3800 2,1187 1,7457 1,3123 0,9025 0,5729 0,3336 0,1643 0,0262 -0,1315 -0,3529 -0,6405 -0,9375 -1,1612 -1,2538 -1,2012 -1,0277 -0,7860 -0,5470 -0,3841 -0,3507 -0,4652 -0,7094 -1,0277 -1,3393 -1,5721 -1,6852 -1,6693 -1,5484 -1,3739 -1,2047 -1,0860 -1,0328 -1,0208 -0,9902 -0,8778 -0,6581 -0,3480 0,0156 0,3810 0,6790 0,8444 0,8522 0,7282 0,5123 0,2212 -0,1336 -0,4952 -0,7592 -0,8385 -0,7223 -0,4643 -0,1352 0,2030 0,4887 0,6536 0,6451 0,4456 0,0671 -0,4540 -1,0477 -1,6132 -2,0453 -2,2765 -2,2998 -2,1525 -1,8930
Fz    3,2617 2,7647 2,2904 1,8764 1,5311 1,2347 0,9565 0,6766 0,4026 0,1536 -0,0727 -0,2914 -0,4904 -0,6275 -0,6693 -0,6172 -0,5078 -0,3979 -0,3401 -0,3633 -0,4670 -0,6209 -0,7675 -0,8452 -0,8179 -0,6856 -0,4842 -0,2861 -0,1743 -0,1922 -0,3216 -0,5048 -0,6794 -0,8036 -0,8618 -0,8588 -0,8287 -0,8315 -0,9016 -0,9999 -1,0311 -0,9105 -0,6289 -0,2569 0,1198 0,4590 0,7549 1,0070 1,2213 1,4272 1,6750 2,0072 2,4349 2,9300 3,4268 3,8389 4,0972 4,1825 4,1307 4,0222 3,9607 4,0254 4,2229 4,4951 4,7647 4,9593 5,0138 4,8863 4,5679 4,0659 3,3975 2,6090 1,7841 1,0191 0,3799 -0,1340 -0,5846 -1,0236 -1,4080 -1,6135 -1,5503 -1,2430 -0,8081 -0,3892 -0,1119 -0,0598 -0,2588 -0,6656 -1,1542 -1,5430 -1,7021 -1,6323 -1,4152 -1,1354 -0,8788 -0,7387 -0,7540 -0,8535 -0,8937 -0,7493 -0,3752 0,1682 0,7296 1,1407 1,3012 1,1919 0,8454 0,3416 -0,2086 -0,7215 -1,1715 -1,5588 -1,8840 -2,1701 -2,4730 -2,8580 -3,3660 -3,9764 -4,6053 -5,1632 -5,5947 -5,8573 -5,8820 -5,5824 -4,9331 -4,0298 -3,0408 -2,1181 -1,3705 -0,8625 -0,5857 -0,4654 -0,4298 -0,4446 -0,4901 -0,5457 -0,6005 -0,6720 -0,8103 -1,0771 -1,5053 -2,0484 -2,5782 -2,9617 -3,1466 -3,1734 -3,1224 -3,0598 -3,0322 -3,0831 -3,2378 -3,4739 -3,7357 -3,9852 -4,2054 -4,3504 -4,3585 -4,2111 -3,9280 -3,5284 -3,0379 -2,4954 -1,9426 -1,4231 -0,9741 -0,6071 -0,2968 0,0110 0,3601 0,7356 1,0514 1,1939 1,1064 0,8270 0,4512 0,0855 -0,1816 -0,3026 -0,2780 -0,1457 0,0423 0,2404 0,4288 0,6354 0,9135 1,2759 1,6762 2,0613 2,4129 2,7300 3,0053 3,2359 3,4340 3,5941 3,6554 3,5397 3,2446 2,8602 2,4863 2,1919 2,0504 2,1288 2,4160 2,7951 3,1085 3,2658 3,2904 3,2676 3,2662 3,2952 3,3085 3,2527 3,1051 2,8552 2,4746 1,9413 1,2904 0,6159 0,0190 -0,4296 -0,6936 -0,7739 -0,7003 -0,4895 -0,1204 0,4335 1,1493 1,9273 2,6182 3,0953 3,3032 3,2453 2,9785 2,6193 2,2832 2,0099 1,7749 1,5526 1,3442 1,1836 1,1434 1,3006 1,6713 2,1879 2,7331 3,1797 3,4224 3,4130 3,1669 2,7383 2,2045 1,6600 1,1930 0,8643 0,6934 0,6467 0,6603 0,7015 0,7942 0,9644 1,1877 1,4031 1,5488 1,5806 1,4957 1,3443 1,1981 1,0951 1,0240 0,9566 0,8802 0,7944 0,6884 0,5401 0,3590 0,1988 0,1022 0,0698 0,0852 0,1266 0,1677 0,1919 0,1860 0,1240 -0,0175 -0,2377 -0,5114 -0,7955 -1,0315 -1,1598 -1,1502 -1,0151 -0,7935 -0,5320 -0,2742 -0,0576 0,0891 0,1510 0,1291 0,0412 -0,0621 -0,0869 0,0588 0,3930 0,8440 1,2771 1,5361 1,5213 1,2516 0,8281 0,3572 -0,0780 -0,4068 -0,5721 -0,5619 -0,4319 -0,2799 -0,1880 -0,1765 -0,2095 -0,2431 -0,2640 -0,2858 -0,3301 -0,4119 -0,5319 -0,6845 -0,8633 -1,0450 -1,1991 -1,3335 -1,4933 -1,7038 -1,9443 -2,1754 -2,3628 -2,4716 -2,4732 -2,3788 -2,2500 -2,1567 -2,1279 -2,1406 -2,1461 -2,1034 -1,9925 -1,8138 -1,5843 -1,3334 -1,0931 -0,8877 -0,7189 -0,5581 -0,3620 -0,0994 0,2290 0,5895 0,9331 1,2089 1,3667 1,3769 1,2486 1,0124 0,6899 0,2907 -0,1661 -0,6377 -1,0699 -1,4153 -1,6467 -1,7618 -1,7665 -1,6627 -1,4613 -1,2016 -0,9533 -0,7988 -0,7984 -0,9513 -1,1965 -1,4607 -1,7024 -1,9206 -2,1426 -2,4073 -2,7320 -3,0762 -3,3522 -3,4690 -3,3597 -3,0052 -2,4553 -1,8156 -1,2106 -0,7475 -0,4827 -0,3911 -0,3781 -0,3519 -0,2828 -0,1881 -0,0959 -0,0297 0,0048 0,0289 0,0792 0,1809 0,3351 0,5266 0,7314 0,9113 1,0095 0,9719 0,7844 0,4809 0,1177 -0,2488 -0,5689 -0,8122 -0,9798 -1,0966 -1,1841 -1,2458 -1,2787 -1,2813 -1,2387 -1,1196 -0,9067 -0,6233 -0,3221 -0,0548 0,1439 0,2568 0,2903 0,2734 0,2381 0,2145 0,2512 0,4027 0,6832 1,0494 1,4288 1,7538 1,9759 2,0775 2,0786 2,0181 1,9320 1,8520 1,8085 1,8199 1,8752 1,9406 1,9873 2,0022 1,9719 1,8790 1,7199 1,5132 1,2907 1,0896 0,9483 0,8913 0,9137 0,9923 1,1071 1,2477 1,4132 1,5993 1,7778 1,8936 1,8872 1,7238 1,4068 0,9711 0,4747 -0,0115 -0,4262 -0,7372 -0,9449 -1,0856 -1,2270 -1,4330 -1,7207 -2,0542 -2,3675 -2,5885 -2,6526 -2,5123 -2,1524 -1,6000 -0,9088 -0,1256 0,7300 1,6428 2,5763 3,4794 4,2969 4,9764 5,4920 5,8580 6,1123 6,2907 6,4185 6,5133 6,5906 6,6675 6,7534 6,8300 6,8540 6,7941 6,6521 6,4410 6,1665 5,8429 5,4982 5,1573 4,8341 4,5385 4,2805 4,0718 3,9239 3,8372 3,7972 3,7940 3,8305 3,9074 4,0152 4,1375 4,2502 4,3321 4,3698 4,3362 4,1838 3,8772 3,4290 2,9099 2,4154 2,0140 1,7281 1,5463 1,4326 1,3329 1,2031 1,0381 0,8708 0,7399 0,6666 0,6558 0,7010 0,7774 0,8417 0,8491 0,7726 0,6127 0,4005 0,1937 0,0514 -0,0003 0,0261 0,1045 0,2154 0,3407 0,4516 0,5150 0,5120 0,4496 0,3634 0,3129 0,3550 0,5162 0,7902 1,1441 1,5220 1,8549 2,0907 2,2180 2,2442 2,1574 1,9513 1,6837 1,4716 1,4112 1,5213 1,7602 2,0659 2,3765 2,6313 2,7735 2,7735 2,6449 2,4273 2,1620 1,8855 1,6322 1,4345 1,3163 1,2885 1,3514 1,4872
F3    2,6720 2,2519 1,8630 1,5195 1,2186 0,9400 0,6591 0,3639 0,0749 -0,1687 -0,3495 -0,4833 -0,5882 -0,6617 -0,6860 -0,6445 -0,5417 -0,4119 -0,3022 -0,2495 -0,2675 -0,3379 -0,4148 -0,4520 -0,4262 -0,3383 -0,2109 -0,0882 -0,0197 -0,0276 -0,1016 -0,2197 -0,3641 -0,5201 -0,6663 -0,7777 -0,8619 -0,9622 -1,0929 -1,1940 -1,1692 -0,9578 -0,5846 -0,1510 0,2456 0,5778 0,8630 1,1137 1,3428 1,5875 1,8973 2,3032 2,8044 3,3614 3,8943 4,3023 4,4996 4,4543 4,2083 3,8679 3,5769 3,4642 3,5816 3,8973 4,3307 4,7722 5,1001 5,2159 5,0601 4,6047 3,8724 2,9622 2,0225 1,1902 0,5396 0,0547 -0,3587 -0,7911 -1,2210 -1,5124 -1,5410 -1,2995 -0,8946 -0,4791 -0,1780 -0,0624 -0,1745 -0,5191 -0,9867 -1,3541 -1,4468 -1,2624 -0,9002 -0,4551 -0,0251 0,2555 0,2865 0,1092 -0,0881 -0,0771 0,2737 0,9131 1,6185 2,1130 2,2161 1,8939 1,2174 0,3444 -0,5099 -1,1736 -1,5854 -1,7662 -1,7866 -1,7745 -1,8998 -2,3223 -3,1209 -4,2076 -5,3448 -6,3003 -6,9512 -7,2584 -7,1947 -6,7192 -5,8426 -4,6942 -3,4752 -2,3704 -1,5293 -1,0471 -0,8949 -0,9352 -1,0536 -1,2147 -1,3992 -1,5546 -1,6134 -1,5511 -1,4242 -1,3567 -1,4785 -1,8318 -2,3219 -2,7761 -3,0573 -3,1396 -3,0881 -2,9859 -2,9094 -2,9391 -3,1211 -3,4178 -3,7554 -4,1276 -4,5647 -5,0005 -5,2907 -5,3590 -5,2158 -4,8703 -4,3209 -3,6014 -2,7919 -1,9982 -1,3221 -0,8251 -0,4921 -0,2375 0,0264 0,3187 0,5618 0,6203 0,4233 0,0239 -0,4803 -1,0065 -1,4636 -1,7481 -1,7991 -1,6475 -1,3951 -1,1487 -0,9588 -0,7868 -0,5550 -0,2380 0,1294 0,5173 0,9321 1,3924 1,9061 2,4714 3,0644 3,5900 3,8598 3,7087 3,1792 2,4932 1,8238 1,2236 0,7498 0,5094 0,5497 0,7679 0,9834 1,1046 1,1940 1,3743 1,6972 2,0859 2,3874 2,4814 2,3340 1,9491 1,3124 0,4369 -0,5647 -1,5088 -2,2320 -2,6528 -2,7939 -2,7627 -2,6759 -2,5592 -2,3230 -1,8496 -1,1004 -0,1591 0,8022 1,6029 2,1044 2,2115 1,9257 1,4029 0,8564 0,4088 0,0788 -0,1577 -0,3400 -0,4810 -0,5173 -0,3455 0,0775 0,6870 1,3496 1,9178 2,2570 2,2649 1,8971 1,1967 0,3072 -0,5838 -1,3322 -1,8643 -2,1672 -2,2864 -2,2944 -2,2293 -2,0858 -1,8655 -1,6037 -1,3461 -1,1310 -0,9927 -0,9511 -0,9921 -1,0769 -1,1810 -1,3104 -1,4741 -1,6564 -1,8313 -1,9876 -2,1261 -2,2342 -2,2931 -2,3113 -2,3149 -2,3173 -2,3272 -2,3533 -2,3847 -2,4039 -2,4182 -2,4592 -2,5627 -2,7527 -3,0184 -3,2954 -3,4900 -3,5356 -3,4225 -3,1907 -2,9066 -2,6395 -2,4457 -2,3533 -2,3583 -2,4374 -2,5546 -2,6443 -2,6073 -2,3568 -1,8810 -1,2537 -0,6175 -0,1570 -0,0169 -0,2140 -0,6514 -1,2010 -1,7415 -2,1568 -2,3575 -2,3210 -2,1133 -1,8677 -1,7180 -1,7220 -1,8345 -1,9716 -2,0947 -2,2166 -2,3539 -2,5004 -2,6464 -2,8187 -3,0654 -3,3835 -3,7178 -4,0371 -4,3497 -4,6588 -4,9521 -5,2169 -5,4309 -5,5511 -5,5410 -5,4124 -5,2314 -5,0818 -5,0187 -5,0407 -5,1058 -5,1669 -5,1830 -5,1179 -4,9495 -4,6825 -4,3572 -4,0372 -3,7657 -3,5326 -3,2906 -2,9947 -2,6350 -2,2425 -1,8712 -1,5833 -1,4418 -1,4750 -1,6470 -1,8955 -2,1884 -2,5294 -2,9217 -3,3378 -3,7277 -4,0493 -4,2857 -4,4403 -4,5173 -4,5149 -4,4388 -4,3146 -4,1865 -4,1009 -4,0863 -4,1399 -4,2322 -4,3339 -4,4355 -4,5402 -4,6566 -4,8082 -5,0198 -5,2737 -5,4998 -5,6076 -5,5102 -5,1591 -4,5877 -3,9096 -3,2748 -2,8235 -2,6308 -2,6595 -2,7864 -2,9018 -2,9686 -3,0010 -3,0291 -3,0770 -3,1451 -3,2088 -3,2291 -3,1731 -3,0312 -2,8147 -2,5468 -2,2682 -2,0416 -1,9348 -1,9956 -2,2395 -2,6416 -3,1286 -3,5948 -3,9549 -4,1853 -4,3140 -4,3787 -4,3955 -4,3615 -4,2740 -4,1326 -3,9342 -3,6924 -3,4503 -3,2542 -3,1237 -3,0559 -3,0425 -3,0677 -3,1036 -3,1295 -3,1393 -3,1036 -2,9550 -2,6444 -2,1994 -1,7127 -1,2888 -1,0028 -0,8842 -0,9159 -1,0480 -1,2194 -1,3771 -1,4830 -1,5111 -1,4546 -1,3358 -1,1957 -1,0761 -1,0160 -1,0434 -1,1573 -1,3266 -1,5049 -1,6437 -1,7031 -1,6706 -1,5686 -1,4321 -1,2784 -1,1020 -0,8881 -0,6404 -0,4086 -0,2800 -0,3296 -0,5734 -0,9726 -1,4761 -2,0295 -2,5580 -2,9848 -3,2739 -3,4445 -3,5624 -3,7177 -3,9766 -4,3386 -4,7411 -5,0933 -5,3097 -5,3303 -5,1234 -4,6868 -4,0523 -3,2856 -2,4580 -1,6105 -0,7582 0,0833 0,8860 1,6006 2,1701 2,5721 2,8299 2,9847 3,0740 3,1344 3,2054 3,3146 3,4570 3,6009 3,7042 3,7305 3,6671 3,5233 3,3027 3,0026 2,6485 2,2959 1,9867 1,7265 1,5068 1,3233 1,1808 1,0982 1,0879 1,1340 1,2151 1,3278 1,4694 1,6289 1,7980 1,9667 2,1198 2,2402 2,2978 2,2393 2,0112 1,6065 1,0929 0,5816 0,1643 -0,1212 -0,2860 -0,3722 -0,4364 -0,5287 -0,6610 -0,7941 -0,8748 -0,8781 -0,8110 -0,6996 -0,5848 -0,5129 -0,5191 -0,6156 -0,7885 -1,0110 -1,2514 -1,4705 -1,6336 -1,7288 -1,7629 -1,7469 -1,6943 -1,6280 -1,5779 -1,5710 -1,6177 -1,6970 -1,7566 -1,7424 -1,6252 -1,4019 -1,0919 -0,7401 -0,4073 -0,1384 0,0574 0,1778 0,1851 0,0318 -0,2620 -0,5872 -0,8213 -0,9053 -0,8462 -0,6856 -0,4787 -0,2853 -0,1615 -0,1438 -0,2392 -0,4336 -0,7027 -1,0146 -1,3253 -1,5774 -1,7170 -1,7124 -1,5555 -1,2651
F7    2,1336 1,9710 1,9453 2,0809 2,3108 2,4956 2,5022 2,2743 1,8442 1,2997 0,7399 0,2390 -0,1566 -0,4036 -0,4580 -0,3050 0,0096 0,3891 0,7317 0,9691 1,0727 1,0359 0,8649 0,5927 0,2846 0,0041 -0,2222 -0,4041 -0,5700 -0,7575 -1,0136 -1,3768 -1,8268 -2,2712 -2,6050 -2,7714 -2,7686 -2,6260 -2,4001 -2,1582 -1,9227 -1,6592 -1,3373 -0,9648 -0,5622 -0,1393 0,3070 0,7770 1,2298 1,5756 1,7379 1,7153 1,5765 1,4080 1,2612 1,1560 1,1315 1,2508 1,5415 1,9453 2,3240 2,5222 2,4431 2,0854 1,5331 0,9090 0,3206 -0,1651 -0,5247 -0,7700 -0,9474 -1,1455 -1,4533 -1,8693 -2,2763 -2,5250 -2,5267 -2,2860 -1,8994 -1,5372 -1,3932 -1,5908 -2,0986 -2,7432 -3,3142 -3,6650 -3,7531 -3,6233 -3,3730 -3,1329 -3,0403 -3,1902 -3,6040 -4,2331 -4,9368 -5,4593 -5,5348 -5,0865 -4,2990 -3,4915 -2,9315 -2,7142 -2,7472 -2,8504 -2,8958 -2,8450 -2,7012 -2,5116 -2,3933 -2,4870 -2,8849 -3,5860 -4,4691 -5,3225 -5,9414 -6,1964 -6,0658 -5,6718 -5,2367 -4,9501 -4,8751 -4,9449 -5,0428 -5,1016 -5,1104 -5,0556 -4,9114 -4,6613 -4,2802 -3,7471 -3,1268 -2,5689 -2,1971 -2,0495 -2,1157 -2,3961 -2,9087 -3,6263 -4,4218 -5,0834 -5,3985 -5,2562 -4,7124 -3,9999 -3,4298 -3,1958 -3,2660 -3,4557 -3,5721 -3,5214 -3,3220 -3,0578 -2,8199 -2,6324 -2,4362 -2,1777 -1,8623 -1,5358 -1,2805 -1,2005 -1,3755 -1,8427 -2,5712 -3,4100 -4,1042 -4,4235 -4,2965 -3,8156 -3,1269 -2,3342 -1,4849 -0,6314 0,0971 0,5560 0,7437 0,8225 0,9536 1,1417 1,2662 1,2543 1,1727 1,1430 1,2018 1,2677 1,2575 1,2043 1,1985 1,2282 1,1515 0,8279 0,2306 -0,5624 -1,4234 -2,1917 -2,6716 -2,7234 -2,3932 -1,8188 -1,0197 0,0508 1,3293 2,6273 3,7184 4,4331 4,7202 4,6262 4,2416 3,6753 3,0434 2,4575 2,0172 1,7782 1,7179 1,7619 1,8400 1,8961 1,8945 1,8418 1,7662 1,6731 1,5502 1,4000 1,2394 1,0742 0,8900 0,6583 0,3420 -0,0646 -0,4653 -0,6703 -0,5156 0,0136 0,7480 1,4300 1,8832 2,0919 2,1523 2,1883 2,2695 2,3779 2,4442 2,3959 2,2091 1,9375 1,6639 1,4395 1,3228 1,4500 1,9523 2,7654 3,6013 4,1366 4,2145 3,8972 3,3666 2,7860 2,2415 1,7824 1,4749 1,3835 1,5088 1,7671 2,0294 2,1729 2,1210 1,8741 1,5026 1,0914 0,6940 0,3288 0,0036 -0,2587 -0,4279 -0,5003 -0,4958 -0,4263 -0,3064 -0,1764 -0,0818 -0,0565 -0,1309 -0,3252 -0,6281 -0,9841 -1,3033 -1,5064 -1,5555 -1,4388 -1,1624 -0,7694 -0,3297 0,0957 0,4584 0,7134 0,8332 0,8312 0,7596 0,6800 0,6331 0,6247 0,6212 0,5619 0,4018 0,1494 -0,1302 -0,3404 -0,3883 -0,2186 0,1333 0,5189 0,7642 0,7942 0,6743 0,5433 0,4975 0,5450 0,6600 0,8344 1,0552 1,2446 1,2655 1,0210 0,5265 -0,1300 -0,8503 -1,5207 -2,0101 -2,2389 -2,2277 -2,0481 -1,7784 -1,5299 -1,4238 -1,4942 -1,6626 -1,8095 -1,8471 -1,7484 -1,5544 -1,3548 -1,2309 -1,2106 -1,2819 -1,4316 -1,6530 -1,9206 -2,1677 -2,2931 -2,1955 -1,8208 -1,2094 -0,5016 0,1299 0,5692 0,7936 0,8474 0,8046 0,7546 0,7901 0,9543 1,1761 1,2959 1,1951 0,8883 0,4911 0,1336 -0,1110 -0,2637 -0,4085 -0,6144 -0,8842 -1,1568 -1,3464 -1,3925 -1,2933 -1,1085 -0,9235 -0,7976 -0,7495 -0,7821 -0,9025 -1,1079 -1,3632 -1,5994 -1,7393 -1,7580 -1,7198 -1,7108 -1,7338 -1,6979 -1,5110 -1,1656 -0,7374 -0,3345 -0,0582 0,0329 -0,0361 -0,1658 -0,2560 -0,2560 -0,1571 0,0243 0,2456 0,4450 0,5696 0,5920 0,5101 0,3487 0,1528 -0,0304 -0,1641 -0,2197 -0,1723 -0,0172 0,2041 0,4051 0,4746 0,3232 -0,0509 -0,5514 -1,0447 -1,4145 -1,5802 -1,5112 -1,2438 -0,8697 -0,4802 -0,1253 0,1684 0,3703 0,4467 0,3837 0,2061 -0,0275 -0,2514 -0,4194 -0,5065 -0,5050 -0,4240 -0,2710 -0,0341 0,3083 0,7662 1,3159 1,8842 2,3587 2,6390 2,6992 2,6080 2,4845 2,4366 2,5256 2,7414 3,0025 3,2093 3,2984 3,2449 3,0470 2,7299 2,3529 1,9956 1,7357 1,6212 1,6426 1,7436 1,8701 2,0004 2,1336 2,2611 2,3500 2,3645 2,3009 2,1882 2,0512 1,8746 1,6035 1,1966 0,6832 0,1600 -0,2599 -0,5055 -0,5876 -0,5927 -0,6289 -0,7468 -0,8995 -0,9873 -0,9409 -0,7502 -0,4331 -0,0045 0,5435 1,2439 2,0989 3,0191 3,8675 4,5552 5,0629 5,3947 5,5492 5,5346 5,4048 5,2621 5,2131 5,3212 5,5785 5,9057 6,1931 6,3478 6,3138 6,0832 5,7008 5,2460 4,8029 4,4430 4,2057 4,0824 4,0328 4,0236 4,0568 4,1648 4,3684 4,6430 4,9343 5,1841 5,3320 5,3212 5,1348 4,8244 4,4824 4,1939 4,0143 3,9598 4,0087 4,1204 4,2465 4,3346 4,3505 4,3052 4,2454 4,2087 4,1899 4,1475 4,0385 3,8492 3,6144 3,4125 3,3234 3,3856 3,5863 3,8711 4,1591 4,3724 4,4653 4,4313 4,3036 4,1431 3,9988 3,8853 3,8066 3,7771 3,8098 3,8989 4,0179 4,1300 4,2088 4,2520 4,2724 4,2720 4,2248 4,1037 3,9268 3,7521 3,6302 3,5702 3,5424 3,5016 3,4195 3,3182 3,2641 3,3055 3,4242 3,5595 3,6650 3,7442 3,8483 4,0351 4,3123 4,6129 4,8291 4,8739 4,7149 4,3719 3,9064 3,4157 3,0124 2,7818 2,7458 2,8708 3,1031
