Fp1   0,6910 0,5920 0,4894 0,4177 0,3718 0,3289 0,2590 0,1303 -0,0665 -0,2965 -0,4938 -0,6080 -0,6418 -0,6395 -0,6371 -0,6381 -0,6309 -0,6147 -0,6054 -0,6141 -0,6189 -0,5617 -0,3755 -0,0291 0,4398 0,9278 1,3104 1,5099 1,5329 1,4404 1,2876 1,0930 0,8498 0,5494 0,2069 -0,1221 -0,3651 -0,4942 -0,5584 -0,6444 -0,8026 -1,0070 -1,1711 -1,1969 -1,0277 -0,6809 -0,2299 0,2449 0,6796 1,0194 1,2265 1,3005 1,2725 1,1728 1,0147 0,8005 0,5268 0,1794 -0,2626 -0,7895 -1,3203 -1,7230 -1,8838 -1,7577 -1,3723 -0,8128 -0,2001 0,3515 0,7782 1,0715 1,2437 1,3038 1,2638 1,1371 0,9218 0,6080 0,2173 -0,1788 -0,4948 -0,6882 -0,7810 -0,8249 -0,8539 -0,8688 -0,8493 -0,7714 -0,6260 -0,4294 -0,2019 0,0600 0,3677 0,6951 0,9658 1,0913 1,0203 0,7581 0,3549 -0,1051 -0,5103 -0,7498 -0,7643 -0,5866 -0,3417 -0,1952 -0,2750 -0,6216 -1,1932 -1,8995 -2,6400 -3,3396 -3,9720 -4,5443 -5,0567 -5,4850 -5,7985 -5,9785 -6,0280 -5,9838 -5,9113 -5,8660 -5,8587 -5,8605 -5,8345 -5,7525 -5,5872 -5,3039 -4,8681 -4,2566 -3,4624 -2,4910 -1,3525 -0,0735 1,2810 2,6054 3,7736 4,6820 5,3025 5,6964 5,9730 6,2271 6,4981 6,7706 6,9962 7,1148 7,0783 6,8755 6,5472 6,1701 5,8207 5,5515 5,3941 5,3615 5,4386 5,5833 5,7507 5,9078 6,0233 6,0618 5,9904 5,7884 5,4644 5,0689 4,6716 4,3144 3,9943 3,6991 3,4453 3,2678 3,1777 3,1441 3,1223 3,0946 3,0781 3,0961 3,1582 3,2649 3,4162 3,6233 3,9102 4,2935 4,7596 5,2666 5,7570 6,1663 6,4217 6,4433 6,1732 5,6206 4,8767 4,0706 3,3041 2,6204 2,0290 1,5422 1,1785 0,9395 0,7987 0,7090 0,6159 0,4658 0,2216 -0,1208 -0,5356 -0,9872 -1,4479 -1,9073 -2,3737 -2,8633 -3,3831 -3,9164 -4,4193 -4,8356 -5,1291 -5,3110 -5,4306 -5,5272 -5,5868 -5,5443 -5,3308 -4,9306 -4,4032 -3,8641 -3,4352 -3,2004 -3,1933 -3,3995 -3,7448 -4,0864 -4,2496 -4,1023 -3,6117 -2,8459 -1,9395 -1,0590 -0,3744 -0,0185 -0,0468 -0,4254 -1,0500 -1,7910 -2,5382 -3,2190 -3,7908 -4,2344 -4,5454 -4,7160 -4,7395 -4,6527 -4,5493 -4,5213 -4,5898 -4,6971 -4,7553 -4,7080 -4,5623 -4,3825 -4,2557 -4,2451 -4,3598 -4,5707 -4,8512 -5,1899 -5,5579 -5,8977 -6,1661 -6,3612 -6,4997 -6,6001 -6,6840 -6,7636 -6,8313 -6,8621 -6,8134 -6,6351 -6,3093 -5,8821 -5,4470 -5,0860 -4,8228 -4,6324 -4,4869 -4,3770 -4,3047 -4,2773 -4,3077 -4,3970 -4,5153 -4,6157 -4,6655 -4,6561 -4,5944 -4,4980 -4,3833 -4,2532 -4,1072 -3,9631 -3,8639 -3,8625 -3,9914 -4,2318 -4,5098 -4,7249 -4,7959 -4,6939 -4,4502 -4,1417 -3,8573 -3,6612 -3,5901 -3,6745 -3,9279 -4,3060 -4,7041 -5,0070 -5,1426 -5,0926 -4,8749 -4,5271 -4,1013 -3,6652 -3,3017 -3,1042 -3,1634 -3,5204 -4,1240 -4,8521 -5,5797 -6,2251 -6,7464 -7,1128 -7,2874 -7,2383 -6,9676 -6,5271 -5,9917 -5,4303 -4,9108 -4,5094 -4,2820 -4,2280 -4,2975 -4,4327 -4,5952 -4,7579 -4,8813 -4,9161 -4,8504 -4,7497 -4,7216 -4,8355 -5,0896 -5,4359 -5,8131 -6,1601 -6,4192 -6,5447 -6,5101 -6,3112 -5,9677 -5,5246 -5,0544 -4,6491 -4,3880 -4,3015 -4,3609 -4,4933 -4,6220 -4,7164 -4,7866 -4,8223 -4,7720 -4,5877 -4,2711 -3,8841 -3,5243 -3,2678 -3,1199 -3,0355 -2,9775 -2,9372 -2,9140 -2,9010 -2,8858 -2,8581 -2,8208 -2,7947 -2,8122 -2,9038 -3,0849 -3,3489 -3,6628 -3,9676 -4,1976 -4,3222 -4,3692 -4,4025 -4,4766 -4,6041 -4,7512 -4,8650 -4,9080 -4,8749 -4,7756 -4,6076 -4,3545 -4,0116 -3,6030 -3,1676 -2,7383 -2,3303 -1,9469 -1,5937 -1,2913 -1,0746 -0,9773 -1,0076 -1,1396 -1,3277 -1,5283 -1,7156 -1,8827 -2,0298 -2,1515 -2,2343 -2,2644 -2,2544 -2,2679 -2,3850 -2,6277 -2,9307 -3,1815 -3,2861 -3,2118 -2,9864 -2,6557 -2,2439 -1,7570 -1,2195 -0,6939 -0,2600 0,0171 0,0976 -0,0360 -0,3661 -0,8126 -1,2295 -1,4534 -1,3932 -1,0732 -0,5807 -0,0009 0,5839 1,0835 1,4256 1,5885 1,6072 1,5401 1,4184 1,2421 1,0209 0,7853 0,5598 0,3552 0,1827 0,0574 -0,0050 0,0138 0,1329 0,3485 0,6167 0,8790 1,1023 1,2758 1,3789 1,3658 1,1723 0,7445 0,0845 -0,7302 -1,5879 -2,3906 -3,0522 -3,5002 -3,7168 -3,7460 -3,6437 -3,4577 -3,2559 -3,1260 -3,1254 -3,2356 -3,3700 -3,4320 -3,3608 -3,1367 -2,7778 -2,3362 -1,8666 -1,4012 -0,9650 -0,5931 -0,3161 -0,1418 -0,0597 -0,0535 -0,1022 -0,1728 -0,2157 -0,1757 -0,0193 0,2559 0,6318 1,0778 1,5604 2,0474 2,5010 2,8833 3,1876 3,4561 3,7445 4,0689 4,4014 4,7142 5,0054 5,2805 5,5195 5,6732 5,7057 5,6438 5,5725 5,5761 5,6730 5,7976 5,8421 5,7196 5,4050 4,9384 4,4093 3,9246 3,5601 3,3256 3,1760 3,0413 2,8520 2,5599 2,1481 1,6295 1,0562 0,5326 0,1895 0,1226 0,3486 0,8049 1,3793 1,9443 2,3865 2,6331 2,6681 2,5365 2,3412 2,2228 2,3031 2,6213 3,1087 3,6167 3,9822 4,0952 3,9324 3,5436 3,0113 2,4261 1,8798 1,4417 1,1304 0,9287 0,8211 0,8013 0,8507 0,9196 0,9337 0,8262 0,5716 0,2028 -0,1953 -0,5225 -0,7068 -0,7228 -0,5915 -0,3736 -0,1458 0,0263 0,1017 0,0727 -0,0262 -0,1322 -0,1895 -0,1680 -0,0441 0,2140 0,6185
Fz    0,6618 0,6073 0,6098 0,6702 0,7484 0,7883 0,7538 0,6494 0,5136 0,3995 0,3506 0,3826 0,4778 0,6003 0,7278 0,8612 0,9982 1,1134 1,1724 1,1554 1,0623 0,9099 0,7329 0,5753 0,4688 0,4121 0,3693 0,2956 0,1696 -0,0013 -0,2045 -0,4354 -0,6860 -0,9384 -1,1669 -1,3359 -1,4057 -1,3649 -1,2587 -1,1696 -1,1594 -1,2234 -1,3005 -1,3231 -1,2522 -1,0810 -0,8337 -0,5643 -0,3367 -0,1960 -0,1451 -0,1404 -0,1212 -0,0529 0,0517 0,1488 0,1947 0,1701 0,0815 -0,0493 -0,1867 -0,2819 -0,2825 -0,1533 0,1050 0,4491 0,8078 1,1077 1,2992 1,3693 1,3373 1,2384 1,1073 0,9636 0,8038 0,6087 0,3693 0,1119 -0,1106 -0,2606 -0,3401 -0,3712 -0,3641 -0,3118 -0,2146 -0,0986 -0,0037 0,0432 0,0391 -0,0038 -0,0755 -0,1797 -0,3300 -0,5315 -0,7724 -1,0347 -1,3029 -1,5573 -1,7748 -1,9454 -2,0804 -2,2033 -2,3460 -2,5438 -2,8210 -3,1777 -3,5955 -4,0494 -4,5160 -4,9809 -5,4431 -5,8993 -6,3287 -6,7084 -7,0351 -7,3179 -7,5631 -7,7787 -7,9729 -8,1338 -8,2224 -8,1986 -8,0542 -7,8173 -7,5284 -7,2175 -6,8947 -6,5534 -6,1848 -5,7880 -5,3648 -4,9137 -4,4334 -3,9306 -3,4235 -2,9314 -2,4563 -1,9783 -1,4780 -0,9575 -0,4327 0,0851 0,5901 1,0739 1,5233 1,9296 2,3012 2,6662 3,0548 3,4770 3,9231 4,3797 4,8308 5,2507 5,6143 5,9156 6,1656 6,3739 6,5354 6,6360 6,6728 6,6656 6,6410 6,6069 6,5477 6,4459 6,3029 6,1343 5,9533 5,7619 5,5569 5,3434 5,1402 4,9691 4,8475 4,7889 4,7993 4,8739 4,9968 5,1422 5,2763 5,3606 5,3605 5,2596 5,0616 4,7786 4,4255 4,0300 3,6386 3,2927 2,9982 2,7259 2,4443 2,1480 1,8555 1,5839 1,3312 1,0812 0,8191 0,5386 0,2366 -0,0936 -0,4640 -0,8860 -1,3628 -1,8809 -2,4080 -2,9039 -3,3420 -3,7211 -4,0553 -4,3588 -4,6435 -4,9235 -5,2121 -5,5111 -5,7979 -6,0231 -6,1374 -6,1306 -6,0371 -5,9054 -5,7684 -5,6335 -5,4911 -5,3302 -5,1438 -4,9186 -4,6344 -4,2808 -3,8757 -3,4625 -3,0888 -2,7906 -2,5906 -2,4981 -2,5018 -2,5619 -2,6141 -2,6005 -2,5074 -2,3669 -2,2281 -2,1330 -2,1015 -2,1208 -2,1550 -2,1725 -2,1666 -2,1532 -2,1562 -2,1950 -2,2789 -2,4053 -2,5635 -2,7424 -2,9394 -3,1604 -3,4119 -3,6938 -4,0009 -4,3284 -4,6656 -4,9906 -5,2824 -5,5398 -5,7840 -6,0446 -6,3354 -6,6377 -6,9134 -7,1340 -7,2884 -7,3698 -7,3778 -7,3362 -7,2970 -7,3094 -7,3832 -7,4838 -7,5658 -7,6060 -7,6170 -7,6414 -7,7216 -7,8586 -8,0099 -8,1273 -8,1850 -8,1834 -8,1469 -8,1120 -8,1015 -8,1038 -8,0774 -7,9774 -7,7817 -7,5092 -7,2151 -6,9592 -6,7733 -6,6484 -6,5445 -6,4134 -6,2256 -5,9835 -5,7185 -5,4842 -5,3456 -5,3507 -5,4974 -5,7300 -5,9681 -6,1425 -6,2183 -6,1984 -6,1096 -5,9832 -5,8425 -5,7039 -5,5843 -5,5030 -5,4778 -5,5124 -5,5855 -5,6583 -5,6983 -5,6955 -5,6567 -5,5828 -5,4625 -5,2951 -5,1168 -4,9870 -4,9478 -5,0007 -5,1152 -5,2528 -5,3846 -5,4948 -5,5712 -5,5976 -5,5554 -5,4301 -5,2174 -4,9222 -4,5569 -4,1445 -3,7242 -3,3485 -3,0663 -2,9030 -2,8550 -2,8994 -3,0051 -3,1315 -3,2272 -3,2480 -3,1832 -3,0617 -2,9371 -2,8628 -2,8637 -2,9215 -2,9934 -3,0470 -3,0832 -3,1361 -3,2422 -3,4025 -3,5789 -3,7246 -3,8106 -3,8373 -3,8264 -3,7978 -3,7516 -3,6807 -3,5931 -3,5060 -3,4203 -3,3154 -3,1738 -3,0008 -2,8220 -2,6669 -2,5463 -2,4475 -2,3595 -2,2972 -2,2893 -2,3454 -2,4389 -2,5247 -2,5739 -2,5914 -2,5957 -2,5844 -2,5343 -2,4291 -2,2680 -2,0521 -1,7822 -1,4733 -1,1561 -0,8652 -0,6261 -0,4463 -0,3139 -0,2098 -0,1288 -0,0918 -0,1364 -0,2946 -0,5703 -0,9328 -1,3296 -1,7022 -1,9926 -2,1589 -2,2019 -2,1649 -2,1027 -2,0562 -2,0491 -2,0913 -2,1785 -2,2934 -2,4102 -2,4972 -2,5220 -2,4655 -2,3320 -2,1425 -1,9194 -1,6771 -1,4276 -1,1926 -1,0032 -0,8860 -0,8451 -0,8499 -0,8458 -0,7849 -0,6469 -0,4340 -0,1616 0,1401 0,4322 0,6831 0,8693 0,9683 0,9638 0,8637 0,7040 0,5357 0,3981 0,2940 0,1996 0,0969 -0,0194 -0,1559 -0,3166 -0,4904 -0,6568 -0,7948 -0,8848 -0,9171 -0,9044 -0,8820 -0,8937 -0,9748 -1,1442 -1,4029 -1,7339 -2,1135 -2,5258 -2,9541 -3,3661 -3,7334 -4,0540 -4,3356 -4,5774 -4,7782 -4,9415 -5,0709 -5,1756 -5,2745 -5,3858 -5,5155 -5,6571 -5,7954 -5,9100 -5,9736 -5,9568 -5,8465 -5,6575 -5,4182 -5,1504 -4,8656 -4,5682 -4,2572 -3,9403 -3,6472 -3,4111 -3,2401 -3,1147 -3,0067 -2,8903 -2,7444 -2,5523 -2,3005 -1,9770 -1,5773 -1,1165 -0,6349 -0,1811 0,2176 0,5674 0,8927 1,2121 1,5262 1,8209 2,0808 2,3024 2,4908 2,6383 2,7145 2,6861 2,5468 2,3211 2,0433 1,7320 1,3843 0,9898 0,5491 0,0806 -0,3812 -0,7942 -1,1295 -1,3901 -1,6032 -1,7985 -1,9973 -2,2195 -2,4879 -2,8122 -3,1653 -3,4867 -3,7160 -3,8321 -3,8656 -3,8739 -3,8985 -3,9414 -3,9758 -3,9706 -3,9040 -3,7700 -3,5759 -3,3335 -3,0594 -2,7818 -2,5341 -2,3357 -2,1841 -2,0696 -1,9911 -1,9530 -1,9567 -2,0000 -2,0852 -2,2317 -2,4774 -2,8533 -3,3432 -3,8766 -4,3672 -4,7580 -5,0426 -5,2612 -5,4756 -5,7367 -6,0644 -6,4450 -6,8382 -7,1972 -7,4926 -7,7165 -7,8657 -7,9320 -7,9117 -7,8142 -7,6509 -7,4280 -7,1607 -6,8786 -6,6056 -6,3444 -6,0850
F3    0,1665 -0,0318 -0,1573 -0,2067 -0,2106 -0,2077 -0,2099 -0,1962 -0,1367 -0,0147 0,1696 0,4028 0,6576 0,9016 1,1200 1,3233 1,5219 1,7044 1,8431 1,9039 1,8538 1,6776 1,3958 1,0579 0,7194 0,4196 0,1696 -0,0393 -0,2125 -0,3428 -0,4266 -0,4726 -0,4921 -0,4930 -0,4785 -0,4420 -0,3713 -0,2732 -0,1942 -0,2050 -0,3566 -0,6434 -1,0027 -1,3477 -1,6054 -1,7355 -1,7410 -1,6669 -1,5768 -1,5176 -1,4937 -1,4702 -1,4088 -1,3059 -1,1968 -1,1245 -1,1023 -1,1049 -1,0917 -1,0348 -0,9281 -0,7785 -0,5982 -0,4022 -0,2102 -0,0451 0,0732 0,1304 0,1174 0,0364 -0,0935 -0,2427 -0,3817 -0,4861 -0,5406 -0,5463 -0,5187 -0,4758 -0,4301 -0,3972 -0,3963 -0,4335 -0,4853 -0,5069 -0,4681 -0,3819 -0,2936 -0,2469 -0,2650 -0,3507 -0,4931 -0,6771 -0,8916 -1,1225 -1,3465 -1,5419 -1,6988 -1,8146 -1,8931 -1,9509 -2,0129 -2,0963 -2,2075 -2,3516 -2,5360 -2,7682 -3,0594 -3,4243 -3,8713 -4,3915 -4,9530 -5,5034 -5,9882 -6,3843 -6,7112 -7,0003 -7,2606 -7,4787 -7,6307 -7,6850 -7,6079 -7,3828 -7,0311 -6,6087 -6,1769 -5,7746 -5,4142 -5,0898 -4,7905 -4,5118 -4,2518 -4,0050 -3,7601 -3,4991 -3,1981 -2,8388 -2,4188 -1,9490 -1,4502 -0,9499 -0,4687 -0,0057 0,4596 0,9505 1,4738 2,0113 2,5324 3,0168 3,4593 3,8555 4,1945 4,4715 4,6929 4,8663 5,0012 5,1211 5,2607 5,4421 5,6567 5,8742 6,0721 6,2506 6,4177 6,5642 6,6603 6,6718 6,5756 6,3669 6,0655 5,7118 5,3515 5,0216 4,7462 4,5344 4,3807 4,2644 4,1540 4,0238 3,8676 3,6904 3,4882 3,2449 2,9511 2,6204 2,2865 1,9877 1,7545 1,6054 1,5435 1,5495 1,5824 1,5969 1,5652 1,4817 1,3528 1,1792 0,9458 0,6355 0,2543 -0,1640 -0,5783 -0,9646 -1,3240 -1,6747 -2,0365 -2,4141 -2,7883 -3,1265 -3,4107 -3,6507 -3,8718 -4,0943 -4,3245 -4,5596 -4,7942 -5,0254 -5,2520 -5,4664 -5,6554 -5,8089 -5,9165 -5,9601 -5,9229 -5,8009 -5,6017 -5,3395 -5,0389 -4,7335 -4,4527 -4,2105 -4,0101 -3,8557 -3,7511 -3,6912 -3,6644 -3,6620 -3,6769 -3,6888 -3,6574 -3,5450 -3,3468 -3,0931 -2,8343 -2,6309 -2,5395 -2,5864 -2,7511 -2,9796 -3,2181 -3,4406 -3,6514 -3,8707 -4,1166 -4,3897 -4,6682 -4,9167 -5,1076 -5,2365 -5,3196 -5,3807 -5,4454 -5,5367 -5,6570 -5,7810 -5,8820 -5,9625 -6,0568 -6,2029 -6,4084 -6,6438 -6,8667 -7,0554 -7,2081 -7,3177 -7,3637 -7,3313 -7,2275 -7,0767 -6,9061 -6,7375 -6,5855 -6,4625 -6,3889 -6,3950 -6,4957 -6,6634 -6,8407 -6,9756 -7,0375 -7,0137 -6,9114 -6,7635 -6,6188 -6,5157 -6,4571 -6,4060 -6,3074 -6,1316 -5,8965 -5,6462 -5,4231 -5,2544 -5,1450 -5,0712 -4,9867 -4,8401 -4,6042 -4,3052 -4,0217 -3,8449 -3,8278 -3,9578 -4,1647 -4,3620 -4,4937 -4,5531 -4,5618 -4,5434 -4,5141 -4,4850 -4,4637 -4,4517 -4,4470 -4,4345 -4,3793 -4,2523 -4,0635 -3,8660 -3,7263 -3,6828 -3,7268 -3,8277 -3,9730 -4,1720 -4,4222 -4,6899 -4,9310 -5,1207 -5,2645 -5,3890 -5,5199 -5,6584 -5,7773 -5,8378 -5,8109 -5,6846 -5,4559 -5,1218 -4,6907 -4,1979 -3,7019 -3,2620 -2,9251 -2,7268 -2,6858 -2,7813 -2,9448 -3,0967 -3,1947 -3,2478 -3,2982 -3,3873 -3,5227 -3,6665 -3,7608 -3,7663 -3,6887 -3,5842 -3,5310 -3,5755 -3,7069 -3,8765 -4,0274 -4,1151 -4,1184 -4,0388 -3,8980 -3,7429 -3,6376 -3,6235 -3,6816 -3,7462 -3,7553 -3,6854 -3,5490 -3,3762 -3,1965 -3,0315 -2,9070 -2,8622 -2,9319 -3,1090 -3,3330 -3,5298 -3,6597 -3,7240 -3,7323 -3,6775 -3,5399 -3,3119 -3,0076 -2,6507 -2,2649 -1,8805 -1,5387 -1,2833 -1,1483 -1,1437 -1,2455 -1,4043 -1,5708 -1,7182 -1,8533 -2,0180 -2,2648 -2,6104 -3,0156 -3,4015 -3,6802 -3,7884 -3,7173 -3,5113 -3,2393 -2,9709 -2,7591 -2,6285 -2,5793 -2,5917 -2,6268 -2,6397 -2,6071 -2,5451 -2,4947 -2,4906 -2,5399 -2,6162 -2,6714 -2,6625 -2,5791 -2,4500 -2,3253 -2,2443 -2,2135 -2,2088 -2,1898 -2,1164 -1,9715 -1,7787 -1,5876 -1,4358 -1,3409 -1,3219 -1,3994 -1,5664 -1,7698 -1,9281 -1,9825 -1,9391 -1,8531 -1,7671 -1,6876 -1,6098 -1,5304 -1,4412 -1,3374 -1,2258 -1,1186 -1,0313 -0,9837 -1,0000 -1,1036 -1,3094 -1,6172 -2,0099 -2,4535 -2,9071 -3,3380 -3,7249 -4,0532 -4,3223 -4,5454 -4,7294 -4,8733 -4,9946 -5,1299 -5,3092 -5,5399 -5,8050 -6,0694 -6,2994 -6,4815 -6,6261 -6,7556 -6,8753 -6,9581 -6,9664 -6,8838 -6,7199 -6,4954 -6,2344 -5,9598 -5,6839 -5,4077 -5,1346 -4,8746 -4,6393 -4,4402 -4,2849 -4,1660 -4,0528 -3,9015 -3,6802 -3,3832 -3,0252 -2,6276 -2,2102 -1,7871 -1,3595 -0,9170 -0,4561 -0,0014 0,4007 0,7047 0,8861 0,9561 0,9600 0,9449 0,9194 0,8485 0,6873 0,4171 0,0542 -0,3710 -0,8357 -1,3251 -1,8196 -2,2937 -2,7208 -3,0706 -3,3245 -3,5029 -3,6525 -3,7994 -3,9328 -4,0320 -4,0916 -4,1187 -4,1212 -4,1039 -4,0734 -4,0453 -4,0455 -4,0956 -4,1967 -4,3239 -4,4377 -4,5006 -4,4863 -4,3851 -4,2082 -3,9833 -3,7505 -3,5559 -3,4315 -3,3710 -3,3344 -3,2863 -3,2234 -3,1664 -3,1388 -3,1584 -3,2353 -3,3771 -3,6020 -3,9348 -4,3782 -4,8947 -5,4228 -5,9066 -6,3134 -6,6368 -6,8913 -7,1020 -7,2974 -7,5007 -7,7181 -7,9360 -8,1344 -8,2986 -8,4165 -8,4762 -8,4718 -8,4035 -8,2623 -8,0351 -7,7360 -7,4171 -7,1388 -6,9331 -6,7951
F7    0,1602 0,4445 0,7138 0,9690 1,2093 1,4039 1,4920 1,4342 1,2534 1,0059 0,7356 0,4669 0,2143 -0,0180 -0,2365 -0,4495 -0,6528 -0,8249 -0,9410 -0,9863 -0,9590 -0,8715 -0,7434 -0,5854 -0,3934 -0,1611 0,1049 0,3842 0,6553 0,8915 1,0444 1,0640 0,9408 0,7133 0,4394 0,1751 -0,0350 -0,1736 -0,2688 -0,3799 -0,5515 -0,7844 -1,0333 -1,2219 -1,2786 -1,1855 -0,9985 -0,8131 -0,7007 -0,6682 -0,6672 -0,6433 -0,5796 -0,4979 -0,4407 -0,4577 -0,5874 -0,8375 -1,1818 -1,5675 -1,9248 -2,1797 -2,2654 -2,1395 -1,8144 -1,3704 -0,9288 -0,5996 -0,4329 -0,4028 -0,4405 -0,4955 -0,5621 -0,6507 -0,7519 -0,8428 -0,9087 -0,9405 -0,9295 -0,8866 -0,8515 -0,8601 -0,9091 -0,9612 -0,9711 -0,9014 -0,7329 -0,4775 -0,1769 0,1190 0,3684 0,5387 0,6090 0,5793 0,4686 0,3006 0,0960 -0,1249 -0,3401 -0,5279 -0,6711 -0,7685 -0,8498 -0,9689 -1,1755 -1,4889 -1,8886 -2,3230 -2,7293 -3,0587 -3,2994 -3,4728 -3,6025 -3,6999 -3,7777 -3,8605 -3,9793 -4,1532 -4,3677 -4,5730 -4,7056 -4,7141 -4,5760 -4,3010 -3,9194 -3,4685 -2,9889 -2,5146 -2,0566 -1,6028 -1,1363 -0,6499 -0,1491 0,3526 0,8375 1,2896 1,6990 2,0557 2,3464 2,5709 2,7553 2,9401 3,1535 3,3905 3,6113 3,7650 3,8265 3,8146 3,7745 3,7509 3,7801 3,8929 4,1071 4,4119 4,7641 5,1037 5,3773 5,5580 5,6463 5,6482 5,5650 5,4144 5,2401 5,0826 4,9554 4,8616 4,8166 4,8390 4,9317 5,0750 5,2354 5,3820 5,4933 5,5565 5,5801 5,6025 5,6627 5,7634 5,8730 5,9533 5,9767 5,9268 5,7996 5,6132 5,3963 5,1602 4,8932 4,5862 4,2537 3,9258 3,6244 3,3452 3,0624 2,7518 2,4120 2,0689 1,7605 1,5177 1,3559 1,2672 1,2104 1,1179 0,9273 0,6112 0,1895 -0,2805 -0,7311 -1,1164 -1,4234 -1,6570 -1,8238 -1,9331 -2,0076 -2,0869 -2,2108 -2,3946 -2,6226 -2,8569 -3,0472 -3,1555 -3,1841 -3,1665 -3,1293 -3,0767 -2,9992 -2,8699 -2,6366 -2,2488 -1,7174 -1,1404 -0,6517 -0,3486 -0,2603 -0,3625 -0,6029 -0,9109 -1,2016 -1,4017 -1,4856 -1,4862 -1,4765 -1,5379 -1,7153 -1,9813 -2,2506 -2,4395 -2,5180 -2,5119 -2,4688 -2,4271 -2,4131 -2,4554 -2,5874 -2,8261 -3,1503 -3,5041 -3,8208 -4,0500 -4,1750 -4,2194 -4,2369 -4,2812 -4,3742 -4,5099 -4,6800 -4,8697 -5,0413 -5,1472 -5,1485 -5,0275 -4,7983 -4,5036 -4,1950 -3,9193 -3,7127 -3,5999 -3,5894 -3,6664 -3,8025 -3,9788 -4,1827 -4,3728 -4,4657 -4,3868 -4,1368 -3,7947 -3,4602 -3,2128 -3,1091 -3,1806 -3,4224 -3,7786 -4,1324 -4,3360 -4,2888 -4,0063 -3,6022 -3,2043 -2,8982 -2,7224 -2,6733 -2,7137 -2,7912 -2,8558 -2,8759 -2,8480 -2,7814 -2,6709 -2,5080 -2,3228 -2,1901 -2,1842 -2,3324 -2,5954 -2,8838 -3,1052 -3,2055 -3,1729 -3,0214 -2,7764 -2,4659 -2,1327 -1,8515 -1,7080 -1,7448 -1,9328 -2,2024 -2,4918 -2,7671 -3,0089 -3,1922 -3,2869 -3,2835 -3,2131 -3,1361 -3,1116 -3,1693 -3,3097 -3,5353 -3,8601 -4,2849 -4,7737 -5,2538 -5,6311 -5,8123 -5,7437 -5,4504 -5,0244 -4,5729 -4,1860 -3,9287 -3,8263 -3,8469 -3,9061 -3,9034 -3,7821 -3,5646 -3,3239 -3,1200 -2,9756 -2,8992 -2,8959 -2,9664 -3,1150 -3,3428 -3,6220 -3,8975 -4,1256 -4,3062 -4,4672 -4,6224 -4,7589 -4,8687 -4,9657 -5,0515 -5,0809 -4,9886 -4,7518 -4,4069 -4,0086 -3,6031 -3,2424 -2,9852 -2,8680 -2,8991 -3,0783 -3,3894 -3,7746 -4,1540 -4,4757 -4,7326 -4,9398 -5,1090 -5,2421 -5,3315 -5,3601 -5,3202 -5,2365 -5,1560 -5,1219 -5,1543 -5,2455 -5,3794 -5,5513 -5,7530 -5,9435 -6,0358 -5,9279 -5,5854 -5,0893 -4,5795 -4,1712 -3,9184 -3,8095 -3,7850 -3,7732 -3,7348 -3,7115 -3,8053 -4,0693 -4,4388 -4,7822 -4,9747 -4,9236 -4,5968 -4,0587 -3,4676 -3,0076 -2,7875 -2,8016 -2,9857 -3,2889 -3,6888 -4,1514 -4,5964 -4,9363 -5,1542 -5,3064 -5,4484 -5,5871 -5,6779 -5,6502 -5,4514 -5,0821 -4,6027 -4,1017 -3,6411 -3,2487 -2,9525 -2,7733 -2,6946 -2,6819 -2,7145 -2,7910 -2,9310 -3,1630 -3,4791 -3,8073 -4,0582 -4,1864 -4,1857 -4,0625 -3,8569 -3,6531 -3,5290 -3,5028 -3,5333 -3,5666 -3,5743 -3,5545 -3,5205 -3,4887 -3,4665 -3,4561 -3,4723 -3,5311 -3,6136 -3,6852 -3,7501 -3,8317 -3,9177 -3,9772 -4,0218 -4,1213 -4,3558 -4,7521 -5,2577 -5,7603 -6,1333 -6,3031 -6,2873 -6,1490 -5,9289 -5,6428 -5,3150 -4,9967 -4,7545 -4,6351 -4,6414 -4,7427 -4,8958 -5,0498 -5,1506 -5,1594 -5,0712 -4,9032 -4,6642 -4,3432 -3,9326 -3,4647 -3,0122 -2,6397 -2,3579 -2,1368 -1,9473 -1,7763 -1,6140 -1,4407 -1,2355 -0,9972 -0,7538 -0,5486 -0,4099 -0,3311 -0,2798 -0,2331 -0,1944 -0,1716 -0,1528 -0,1141 -0,0394 0,0682 0,1824 0,2615 0,2644 0,1710 -0,0038 -0,2245 -0,4694 -0,7324 -0,9928 -1,2150 -1,3729 -1,4568 -1,4694 -1,4400 -1,4247 -1,4658 -1,5483 -1,6078 -1,5861 -1,4796 -1,3372 -1,2195 -1,1539 -1,1219 -1,0838 -1,0034 -0,8487 -0,5979 -0,2631 0,0943 0,3819 0,5216 0,4820 0,2779 -0,0437 -0,4171 -0,7837 -1,1118 -1,3912 -1,6171 -1,7885 -1,9193 -2,0411 -2,1861 -2,3537 -2,4997 -2,5765 -2,5854 -2,5882 -2,6750 -2,9139 -3,3109 -3,8079 -4,3160 -4,7532 -5,0789 -5,3092 -5,4852 -5,6137 -5,6515 -5,5556 -5,3345 -5,0465 -4,7562 -4,5020 -4,2901 -4,1097 -3,9560
