Fp1   3,9294 4,0663 4,1725 4,1821 4,0301 3,6745 3,1088 2,3685 1,5305 0,6966 -0,0401 -0,6292 -1,0690 -1,3874 -1,6205 -1,7949 -1,9200 -1,9945 -2,0156 -1,9785 -1,8764 -1,7137 -1,5158 -1,3106 -1,1018 -0,8682 -0,5839 -0,2325 0,1903 0,6730 1,1804 1,6527 2,0156 2,2088 2,2126 2,0486 1,7622 1,4079 1,0307 0,6419 0,2159 -0,2822 -0,8688 -1,5327 -2,2419 -2,9535 -3,6214 -4,2020 -4,6619 -4,9831 -5,1566 -5,1734 -5,0301 -4,7478 -4,3812 -3,9983 -3,6476 -3,3523 -3,1267 -2,9757 -2,8848 -2,8352 -2,8211 -2,8384 -2,8725 -2,8984 -2,8748 -2,7460 -2,4734 -2,0722 -1,6191 -1,2220 -0,9746 -0,9235 -1,0642 -1,3600 -1,7632 -2,2238 -2,6875 -3,1054 -3,4492 -3,7129 -3,8969 -3,9908 -3,9722 -3,8250 -3,5623 -3,2300 -2,8803 -2,5356 -2,1784 -1,7773 -1,3147 -0,7892 -0,2143 0,3679 0,8846 1,2628 1,4588 1,4548 1,2451 0,8465 0,3190 -0,2460 -0,7704 -1,2298 -1,6619 -2,1413 -2,7374 -3,4838 -4,3693 -5,3497 -6,3712 -7,3934 -8,3949 -9,3627 -10,2771 -11,0994 -11,7751 -12,2475 -12,4665 -12,3953 -12,0201 -11,3487 -10,4041 -9,2309 -7,8953 -6,4716 -5,0280 -3,6141 -2,2536 -0,9555 0,2693 1,4023 2,4190 3,2930 4,0068 4,5670 5,0069 5,3730 5,7030 6,0080 6,2700 6,4516 6,5127 6,4261 6,1906 5,8332 5,3994 4,9393 4,4989 4,1075 3,7624 3,4365 3,1179 2,8331 2,6249 2,5160 2,4960 2,5324 2,5899 2,6412 2,6725 2,6813 2,6613 2,5945 2,4692 2,3069 2,1645 2,1051 2,1610 2,3149 2,5087 2,6744 2,7699 2,7906 2,7517 2,6706 2,5673 2,4684 2,3929 2,3323 2,2567 2,1408 1,9768 1,7669 1,5135 1,2279 0,9372 0,6703 0,4430 0,2567 0,1026 -0,0366 -0,1813 -0,3476 -0,5503 -0,8107 -1,1555 -1,5981 -2,1185 -2,6736 -3,2300 -3,7810 -4,3340 -4,8858 -5,4037 -5,8286 -6,1028 -6,2025 -6,1466 -5,9839 -5,7759 -5,5838 -5,4543 -5,4052 -5,4292 -5,5146 -5,6534 -5,8220 -5,9706 -6,0509 -6,0514 -5,9930 -5,8987 -5,7728 -5,5970 -5,3464 -5,0186 -4,6451 -4,2697 -3,9243 -3,6312 -3,4142 -3,2964 -3,2931 -3,4110 -3,6431 -3,9568 -4,2867 -4,5535 -4,7005 -4,7169 -4,6384 -4,5351 -4,4757 -4,4851 -4,5329 -4,5656 -4,5491 -4,4788 -4,3571 -4,1844 -3,9796 -3,7853 -3,6426 -3,5707 -3,5650 -3,6012 -3,6448 -3,6655 -3,6429 -3,5645 -3,4283 -3,2559 -3,0977 -3,0076 -3,0041 -3,0656 -3,1623 -3,2784 -3,4077 -3,5463 -3,6951 -3,8584 -4,0291 -4,1741 -4,2418 -4,1921 -4,0168 -3,7372 -3,3939 -3,0436 -2,7469 -2,5405 -2,4251 -2,3722 -2,3374 -2,2731 -2,1414 -1,9269 -1,6425 -1,3233 -1,0157 -0,7627 -0,5823 -0,4583 -0,3642 -0,2965 -0,2736 -0,3079 -0,3870 -0,4730 -0,5147 -0,4694 -0,3271 -0,1099 0,1427 0,3873 0,5911 0,7383 0,8220 0,8404 0,8014 0,7249 0,6408 0,5830 0,5721 0,5944 0,6055 0,5636 0,4554 0,2904 0,0838 -0,1513 -0,4019 -0,6440 -0,8421 -0,9729 -1,0381 -1,0513 -1,0252 -0,9749 -0,9186 -0,8732 -0,8495 -0,8513 -0,8787 -0,9288 -0,9920 -1,0514 -1,0908 -1,0989 -1,0613 -0,9515 -0,7457 -0,4540 -0,1334 0,1343 0,2800 0,2796 0,1612 -0,0195 -0,2169 -0,4073 -0,5713 -0,6846 -0,7348 -0,7298 -0,6859 -0,6222 -0,5695 -0,5684 -0,6492 -0,8131 -1,0260 -1,2307 -1,3726 -1,4189 -1,3622 -1,2160 -1,0031 -0,7482 -0,4864 -0,2722 -0,1635 -0,1912 -0,3370 -0,5337 -0,6880 -0,7152 -0,5696 -0,2664 0,1243 0,5177 0,8530 1,1041 1,2731 1,3795 1,4449 1,4798 1,4812 1,4358 1,3270 1,1440 0,8853 0,5557 0,1715 -0,2337 -0,6094 -0,8965 -1,0485 -1,0527 -0,9319 -0,7264 -0,4687 -0,1717 0,1587 0,5117 0,8709 1,2139 1,5108 1,7390 1,8965 1,9949 2,0414 2,0340 1,9760 1,8813 1,7595 1,6026 1,3916 1,1139 0,7772 0,4148 0,0701 -0,2248 -0,4530 -0,6054 -0,6809 -0,6882 -0,6411 -0,5581 -0,4644 -0,3838 -0,3264 -0,2913 -0,2800 -0,3025 -0,3807 -0,5454 -0,8111 -1,1493 -1,4892 -1,7550 -1,9090 -1,9601 -1,9347 -1,8466 -1,6961 -1,4851 -1,2258 -0,9372 -0,6388 -0,3488 -0,0861 0,1363 0,3181 0,4630 0,5601 0,5843 0,5206 0,3840 0,2129 0,0482 -0,0776 -0,1418 -0,1369 -0,0795 -0,0123 0,0099 -0,0564 -0,2233 -0,4568 -0,6801 -0,8043 -0,7721 -0,5808 -0,2786 0,0553 0,3337 0,4764 0,4245 0,1548 -0,3224 -0,9875 -1,8244 -2,8101 -3,9025 -5,0393 -6,1481 -7,1628 -8,0335 -8,7231 -9,1996 -9,4338 -9,4068 -9,1208 -8,6015 -7,8809 -6,9841 -5,9373 -4,7844 -3,5917 -2,4359 -1,3835 -0,4708 0,2989 0,9472 1,5226 2,1022 2,7632 3,5438 4,4396 5,4302 6,4947 7,5991 8,6727 9,6058 10,2828 10,6252 10,6148 10,2903 9,7238 8,9924 8,1595 7,2709 6,3582 5,4413 4,5349 3,6627 2,8561 2,1317 1,4698 0,8191 0,1248 -0,6388 -1,4545 -2,2775 -3,0636 -3,7902 -4,4605 -5,0992 -5,7394 -6,3955 -7,0366 -7,5922 -7,9885 -8,1909 -8,2183 -8,1230 -7,9609 -7,7627 -7,5166 -7,1839 -6,7423 -6,2168 -5,6733 -5,1819 -4,7819 -4,4762 -4,2584 -4,1471 -4,1820 -4,3816 -4,7116 -5,0961 -5,4424 -5,6659 -5,7169 -5,5963 -5,3469 -5,0264 -4,6872 -4,3717 -4,1156 -3,9518 -3,9077 -3,9895 -4,1802 -4,4674 -4,8680 -5,4086 -6,0907 -6,8813 -7,7252 -8,5647 -9,3585 -10,0812 -10,7099 -11,2241 -11,6152 -11,8900 -12,0645 -12,1615 -12,2111 -12,2416 -12,2652 -12,2776 -12,2768
Fz    6,3311 6,1813 5,9583 5,6385 5,2056 4,6641 4,0389 3,3669 2,6890 2,0424 1,4522 0,9261 0,4537 0,0128 -0,4208 -0,8572 -1,2788 -1,6453 -1,9145 -2,0606 -2,0771 -1,9706 -1,7588 -1,4684 -1,1282 -0,7652 -0,4059 -0,0775 0,1955 0,3901 0,4842 0,4628 0,3231 0,0771 -0,2491 -0,6190 -0,9874 -1,3087 -1,5544 -1,7246 -1,8437 -1,9501 -2,0818 -2,2633 -2,4987 -2,7695 -3,0400 -3,2697 -3,4250 -3,4797 -3,4153 -3,2265 -2,9242 -2,5357 -2,0973 -1,6389 -1,1768 -0,7234 -0,2947 0,0984 0,4560 0,7736 1,0298 1,1974 1,2654 1,2497 1,1923 1,1512 1,1837 1,3248 1,5702 1,8743 2,1668 2,3808 2,4779 2,4540 2,3297 2,1383 1,9166 1,6934 1,4812 1,2796 1,0860 0,9074 0,7665 0,6953 0,7225 0,8593 1,0985 1,4233 1,8127 2,2391 2,6728 3,0970 3,5129 3,9246 4,3224 4,6786 4,9555 5,1114 5,1070 4,9167 4,5372 3,9834 3,2763 2,4351 1,4758 0,4165 -0,7156 -1,8818 -3,0382 -4,1462 -5,1785 -6,1191 -6,9587 -7,6888 -8,2969 -8,7630 -9,0625 -9,1731 -9,0814 -8,7835 -8,2835 -7,5892 -6,7100 -5,6591 -4,4562 -3,1247 -1,6883 -0,1684 1,4114 3,0108 4,5694 6,0225 7,3207 8,4341 9,3513 10,0832 10,6641 11,1378 11,5352 11,8640 12,1133 12,2663 12,3106 12,2482 12,1043 11,9243 11,7563 11,6316 11,5580 11,5232 11,5003 11,4601 11,3907 11,3045 11,2274 11,1868 11,2082 11,3105 11,4987 11,7582 12,0577 12,3572 12,6182 12,8191 12,9718 13,1201 13,3207 13,6167 14,0197 14,5057 15,0250 15,5170 15,9270 16,2190 16,3804 16,4186 16,3545 16,2117 16,0032 15,7297 15,3978 15,0312 14,6615 14,3124 13,9959 13,7198 13,4907 13,3084 13,1608 13,0245 12,8666 12,6524 12,3589 11,9851 11,5486 11,0708 10,5635 10,0323 9,4874 8,9428 8,4056 7,8719 7,3369 6,8062 6,2975 5,8300 5,4161 5,0622 4,7718 4,5436 4,3628 4,1971 4,0113 3,7905 3,5492 3,3172 3,1195 2,9738 2,8959 2,8943 2,9571 3,0542 3,1579 3,2653 3,3989 3,5859 3,8296 4,0992 4,3423 4,5091 4,5734 4,5366 4,4168 4,2383 4,0280 3,8142 3,6276 3,4997 3,4510 3,4766 3,5458 3,6206 3,6760 3,7094 3,7389 3,7927 3,8963 4,0643 4,2999 4,5956 4,9290 5,2634 5,5634 5,8119 6,0114 6,1729 6,3057 6,4179 6,5203 6,6256 6,7436 6,8797 7,0335 7,1984 7,3649 7,5241 7,6663 7,7798 7,8565 7,8979 7,9129 7,9090 7,8891 7,8569 7,8211 7,7931 7,7801 7,7795 7,7790 7,7577 7,6910 7,5624 7,3765 7,1626 6,9630 6,8198 6,7606 6,7901 6,8879 7,0194 7,1520 7,2684 7,3686 7,4673 7,5860 7,7430 7,9432 8,1766 8,4244 8,6719 8,9205 9,1852 9,4787 9,7980 10,1313 10,4674 10,7933 11,0889 11,3317 11,5055 11,6064 11,6420 11,6283 11,5872 11,5418 11,5074 11,4824 11,4533 11,4081 11,3424 11,2566 11,1530 11,0399 10,9298 10,8360 10,7723 10,7520 10,7832 10,8631 10,9730 11,0772 11,1357 11,1237 11,0417 10,9128 10,7720 10,6556 10,5948 10,6106 10,7108 10,8893 11,1291 11,4042 11,6767 11,8981 12,0239 12,0292 11,9136 11,6990 11,4241 11,1321 10,8571 10,6238 10,4538 10,3625 10,3465 10,3826 10,4402 10,4907 10,5090 10,4733 10,3680 10,1872 9,9416 9,6625 9,3940 9,1760 9,0282 8,9412 8,8843 8,8233 8,7324 8,5967 8,4098 8,1756 7,9127 7,6594 7,4629 7,3602 7,3637 7,4571 7,5997 7,7409 7,8426 7,8931 7,9065 7,9195 7,9825 8,1406 8,4159 8,8002 9,2597 9,7444 10,1981 10,5686 10,8167 10,9249 10,9014 10,7802 10,6083 10,4267 10,2557 10,0951 9,9370 9,7762 9,6115 9,4439 9,2796 9,1264 8,9843 8,8436 8,6909 8,5129 8,3016 8,0572 7,7892 7,5114 7,2340 6,9589 6,6782 6,3780 6,0490 5,6984 5,3485 5,0209 4,7265 4,4710 4,2600 4,0950 3,9650 3,8397 3,6777 3,4532 3,1776 2,8946 2,6624 2,5370 2,5532 2,7064 2,9542 3,2390 3,5163 3,7653 3,9800 4,1567 4,2941 4,3982 4,4807 4,5505 4,6105 4,6619 4,7057 4,7384 4,7509 4,7331 4,6804 4,5928 4,4703 4,3134 4,1287 3,9303 3,7330 3,5491 3,3911 3,2748 3,2177 3,2314 3,3122 3,4356 3,5613 3,6531 3,7030 3,7366 3,7903 3,8856 4,0169 4,1515 4,2343 4,1998 3,9873 3,5555 2,8966 2,0372 1,0249 -0,0877 -1,2468 -2,3952 -3,4771 -4,4484 -5,2839 -5,9757 -6,5221 -6,9174 -7,1470 -7,1899 -7,0292 -6,6630 -6,1075 -5,3893 -4,5407 -3,5977 -2,5997 -1,5855 -0,5866 0,3800 1,3109 2,2115 3,0939 3,9797 4,8936 5,8470 6,8252 7,7990 8,7421 9,6291 10,4232 11,0801 11,5652 11,8674 11,9964 11,9692 11,7997 11,4988 11,0794 10,5632 9,9826 9,3727 8,7588 8,1497 7,5348 6,8847 6,1596 5,3293 4,3907 3,3702 2,3128 1,2698 0,2871 -0,6060 -1,4019 -2,1113 -2,7497 -3,3191 -3,7978 -4,1489 -4,3442 -4,3873 -4,3169 -4,1878 -4,0434 -3,8975 -3,7327 -3,5207 -3,2467 -2,9175 -2,5559 -2,1935 -1,8662 -1,6097 -1,4599 -1,4496 -1,5955 -1,8833 -2,2694 -2,6954 -3,1021 -3,4420 -3,6915 -3,8533 -3,9469 -3,9946 -4,0156 -4,0306 -4,0655 -4,1467 -4,2952 -4,5224 -4,8326 -5,2326 -5,7370 -6,3600 -7,1009 -7,9350 -8,8137 -9,6761 -10,4638 -11,1273 -11,6290 -11,9517 -12,1105 -12,1528 -12,1363 -12,1048 -12,0811 -12,0708 -12,0617 -12,0274 -11,9452
F3    5,5959 5,5468 5,4174 5,1833 4,8281 4,3552 3,7874 3,1588 2,5069 1,8681 1,2720 0,7359 0,2614 -0,1642 -0,5628 -0,9504 -1,3191 -1,6375 -1,8713 -2,0006 -2,0205 -1,9373 -1,7665 -1,5311 -1,2537 -0,9513 -0,6395 -0,3367 -0,0624 0,1639 0,3228 0,3967 0,3756 0,2637 0,0781 -0,1569 -0,4122 -0,6566 -0,8687 -1,0470 -1,2086 -1,3791 -1,5819 -1,8334 -2,1399 -2,4923 -2,8632 -3,2165 -3,5182 -3,7388 -3,8552 -3,8554 -3,7402 -3,5228 -3,2285 -2,8896 -2,5359 -2,1936 -1,8839 -1,6149 -1,3802 -1,1771 -1,0222 -0,9414 -0,9477 -1,0273 -1,1371 -1,2140 -1,1965 -1,0497 -0,7824 -0,4446 -0,1096 0,1530 0,2958 0,2998 0,1697 -0,0688 -0,3738 -0,7013 -1,0204 -1,3198 -1,6005 -1,8623 -2,0942 -2,2744 -2,3802 -2,4003 -2,3344 -2,1842 -1,9503 -1,6433 -1,2851 -0,8963 -0,4870 -0,0665 0,3438 0,7083 0,9841 1,1262 1,0958 0,8756 0,4801 -0,0496 -0,6658 -1,3321 -2,0329 -2,7703 -3,5501 -4,3705 -5,2194 -6,0792 -6,9296 -7,7498 -8,5175 -9,2093 -9,8031 -10,2790 -10,6170 -10,7940 -10,7846 -10,5668 -10,1298 -9,4760 -8,6167 -7,5728 -6,3775 -5,0720 -3,6930 -2,2636 -0,8007 0,6679 2,0951 3,4263 4,6144 5,6270 6,4473 7,0802 7,5543 7,9114 8,1873 8,3995 8,5475 8,6212 8,6090 8,5042 8,3130 8,0583 7,7745 7,4946 7,2396 7,0138 6,8033 6,5838 6,3401 6,0809 5,8345 5,6385 5,5318 5,5428 5,6781 5,9188 6,2257 6,5496 6,8429 7,0731 7,2350 7,3506 7,4557 7,5811 7,7390 7,9227 8,1130 8,2835 8,4076 8,4672 8,4568 8,3806 8,2511 8,0866 7,9024 7,7034 7,4915 7,2754 7,0675 6,8735 6,6887 6,5058 6,3213 6,1336 5,9391 5,7292 5,4889 5,2001 4,8506 4,4420 3,9856 3,4915 2,9621 2,4006 1,8233 1,2534 0,7084 0,1960 -0,2768 -0,6952 -1,0387 -1,2933 -1,4591 -1,5483 -1,5769 -1,5605 -1,5177 -1,4762 -1,4652 -1,4977 -1,5632 -1,6411 -1,7158 -1,7776 -1,8154 -1,8211 -1,8017 -1,7791 -1,7727 -1,7789 -1,7704 -1,7149 -1,6002 -1,4451 -1,2899 -1,1757 -1,1242 -1,1347 -1,1957 -1,2948 -1,4187 -1,5504 -1,6687 -1,7519 -1,7858 -1,7752 -1,7444 -1,7233 -1,7292 -1,7564 -1,7768 -1,7523 -1,6536 -1,4701 -1,2060 -0,8708 -0,4797 -0,0572 0,3680 0,7725 1,1424 1,4678 1,7391 1,9503 2,1070 2,2291 2,3422 2,4669 2,6103 2,7654 2,9214 3,0724 3,2136 3,3326 3,4119 3,4414 3,4256 3,3791 3,3206 3,2719 3,2555 3,2867 3,3627 3,4625 3,5584 3,6267 3,6499 3,6217 3,5523 3,4681 3,4023 3,3865 3,4454 3,5885 3,8048 4,0658 4,3393 4,6005 4,8317 5,0205 5,1613 5,2538 5,2983 5,2958 5,2543 5,1956 5,1570 5,1794 5,2867 5,4755 5,7231 5,9991 6,2689 6,4948 6,6460 6,7102 6,6982 6,6331 6,5379 6,4290 6,3146 6,1939 6,0555 5,8837 5,6741 5,4379 5,1915 4,9492 4,7254 4,5359 4,3950 4,3156 4,3075 4,3709 4,4883 4,6230 4,7308 4,7789 4,7564 4,6741 4,5591 4,4469 4,3726 4,3671 4,4517 4,6337 4,9059 5,2501 5,6366 6,0194 6,3371 6,5318 6,5706 6,4539 6,2119 5,8959 5,5620 5,2513 4,9896 4,7995 4,6976 4,6786 4,7177 4,7880 4,8714 4,9538 5,0198 5,0531 5,0421 4,9872 4,9035 4,8154 4,7472 4,7117 4,6985 4,6789 4,6249 4,5227 4,3753 4,1953 3,9996 3,8124 3,6708 3,6161 3,6744 3,8438 4,0918 4,3627 4,5961 4,7486 4,8032 4,7705 4,6882 4,6123 4,5954 4,6637 4,8067 4,9828 5,1364 5,2156 5,1834 5,0223 4,7372 4,3575 3,9357 3,5352 3,2078 2,9782 2,8465 2,8013 2,8311 2,9238 3,0637 3,2351 3,4246 3,6173 3,7942 3,9357 4,0258 4,0551 4,0192 3,9192 3,7633 3,5631 3,3271 3,0564 2,7461 2,3957 2,0184 1,6362 1,2682 0,9252 0,6178 0,3595 0,1604 0,0154 -0,1031 -0,2353 -0,4082 -0,6158 -0,8263 -1,0008 -1,1057 -1,1235 -1,0598 -0,9407 -0,7979 -0,6499 -0,4957 -0,3267 -0,1417 0,0499 0,2382 0,4230 0,6124 0,8125 1,0222 1,2337 1,4334 1,6054 1,7376 1,8255 1,8668 1,8512 1,7606 1,5832 1,3261 1,0125 0,6749 0,3491 0,0668 -0,1497 -0,2879 -0,3450 -0,3311 -0,2698 -0,1882 -0,0972 0,0161 0,1735 0,3820 0,6212 0,8461 0,9973 1,0133 0,8414 0,4497 -0,1636 -0,9715 -1,9317 -3,0003 -4,1348 -5,2885 -6,4121 -7,4587 -8,3896 -9,1760 -9,7953 -10,2273 -10,4529 -10,4541 -10,2199 -9,7542 -9,0790 -8,2267 -7,2319 -6,1297 -4,9607 -3,7721 -2,6098 -1,5084 -0,4895 0,4376 1,2803 2,0669 2,8400 3,6342 4,4543 5,2794 6,0805 6,8262 7,4781 7,9936 8,3393 8,5017 8,4848 8,3016 7,9677 7,5020 6,9305 6,2856 5,6008 4,9056 4,2223 3,5643 2,9306 2,2958 1,6165 0,8568 0,0130 -0,8834 -1,7826 -2,6375 -3,4163 -4,1088 -4,7259 -5,2952 -5,8485 -6,4015 -6,9372 -7,4115 -7,7809 -8,0301 -8,1772 -8,2555 -8,2930 -8,2993 -8,2634 -8,1669 -8,0033 -7,7838 -7,5308 -7,2696 -7,0234 -6,8123 -6,6607 -6,6015 -6,6646 -6,8560 -7,1524 -7,5090 -7,8694 -8,1793 -8,4013 -8,5214 -8,5455 -8,4901 -8,3765 -8,2281 -8,0680 -7,9167 -7,7928 -7,7139 -7,6986 -7,7708 -7,9586 -8,2812 -8,7364 -9,2998 -9,9317 -10,5848 -11,2125 -11,7748 -12,2408 -12,5925 -12,8353 -13,0020 -13,1361 -13,2695 -13,4163 -13,5775 -13,7394 -13,8735 -13,9517
F7    4,4561 4,3172 4,0916 3,7747 3,3661 2,8772 2,3336 1,7694 1,2183 0,7098 0,2658 -0,1031 -0,4010 -0,6463 -0,8667 -1,0842 -1,3007 -1,5002 -1,6637 -1,7749 -1,8179 -1,7777 -1,6451 -1,4218 -1,1199 -0,7601 -0,3692 0,0250 0,4001 0,7383 1,0239 1,2423 1,3818 1,4362 1,4031 1,2799 1,0675 0,7762 0,4253 0,0382 -0,3605 -0,7524 -1,1356 -1,5238 -1,9334 -2,3718 -2,8336 -3,3046 -3,7643 -4,1853 -4,5374 -4,7986 -4,9590 -5,0181 -4,9832 -4,8665 -4,6843 -4,4609 -4,2251 -3,9912 -3,7483 -3,4810 -3,1961 -2,9250 -2,7063 -2,5634 -2,4913 -2,4574 -2,4194 -2,3457 -2,2246 -2,0650 -1,8930 -1,7439 -1,6516 -1,6443 -1,7431 -1,9534 -2,2567 -2,6176 -2,9991 -3,3742 -3,7298 -4,0597 -4,3554 -4,6017 -4,7831 -4,8943 -4,9383 -4,9165 -4,8272 -4,6747 -4,4715 -4,2339 -3,9809 -3,7359 -3,5228 -3,3607 -3,2641 -3,2476 -3,3241 -3,4950 -3,7456 -4,0504 -4,3843 -4,7342 -5,1063 -5,5231 -6,0076 -6,5672 -7,1921 -7,8637 -8,5577 -9,2407 -9,8704 -10,4015 -10,7973 -11,0407 -11,1365 -11,0989 -10,9346 -10,6358 -10,1878 -9,5848 -8,8389 -7,9786 -7,0385 -6,0485 -5,0252 -3,9677 -2,8652 -1,7184 -0,5540 0,5831 1,6442 2,5825 3,3625 3,9729 4,4304 4,7608 4,9782 5,0842 5,0808 4,9787 4,7941 4,5470 4,2633 3,9725 3,6996 3,4569 3,2437 3,0505 2,8621 2,6612 2,4381 2,1972 1,9552 1,7371 1,5702 1,4769 1,4674 1,5378 1,6691 1,8301 1,9850 2,1046 2,1733 2,1869 2,1483 2,0636 1,9423 1,8023 1,6704 1,5726 1,5202 1,5048 1,5044 1,4949 1,4598 1,3905 1,2775 1,1080 0,8770 0,5958 0,2866 -0,0305 -0,3433 -0,6468 -0,9437 -1,2429 -1,5531 -1,8771 -2,2143 -2,5692 -2,9530 -3,3762 -3,8388 -4,3311 -4,8376 -5,3390 -5,8133 -6,2457 -6,6378 -7,0033 -7,3511 -7,6686 -7,9249 -8,0933 -8,1680 -8,1639 -8,1037 -8,0082 -7,8937 -7,7733 -7,6547 -7,5380 -7,4167 -7,2852 -7,1440 -6,9895 -6,8046 -6,5678 -6,2781 -5,9668 -5,6785 -5,4399 -5,2463 -5,0747 -4,9084 -4,7526 -4,6322 -4,5763 -4,6002 -4,6980 -4,8492 -5,0295 -5,2153 -5,3839 -5,5128 -5,5839 -5,5912 -5,5475 -5,4814 -5,4249 -5,3978 -5,3989 -5,4065 -5,3892 -5,3198 -5,1844 -4,9826 -4,7249 -4,4299 -4,1175 -3,8010 -3,4897 -3,1971 -2,9431 -2,7476 -2,6205 -2,5516 -2,5109 -2,4592 -2,3623 -2,2061 -2,0020 -1,7797 -1,5716 -1,4049 -1,2998 -1,2625 -1,2779 -1,3166 -1,3521 -1,3697 -1,3616 -1,3185 -1,2298 -1,0953 -0,9332 -0,7743 -0,6526 -0,5907 -0,5858 -0,6069 -0,6095 -0,5535 -0,4142 -0,1849 0,1215 0,4716 0,8191 1,1243 1,3663 1,5398 1,6472 1,6931 1,6789 1,6014 1,4597 1,2652 1,0496 0,8642 0,7630 0,7745 0,8852 1,0520 1,2291 1,3834 1,4940 1,5514 1,5600 1,5372 1,5033 1,4721 1,4472 1,4246 1,3959 1,3508 1,2782 1,1707 1,0242 0,8359 0,6099 0,3641 0,1253 -0,0819 -0,2380 -0,3306 -0,3570 -0,3288 -0,2695 -0,2073 -0,1653 -0,1599 -0,1993 -0,2789 -0,3815 -0,4844 -0,5650 -0,6046 -0,5919 -0,5244 -0,4054 -0,2472 -0,0782 0,0597 0,1278 0,1047 -0,0132 -0,2152 -0,4751 -0,7554 -1,0196 -1,2414 -1,4050 -1,5109 -1,5796 -1,6361 -1,6907 -1,7341 -1,7459 -1,7084 -1,6188 -1,4943 -1,3637 -1,2503 -1,1617 -1,0923 -1,0342 -0,9921 -0,9819 -1,0133 -1,0762 -1,1431 -1,1855 -1,1866 -1,1397 -1,0412 -0,8913 -0,6996 -0,4842 -0,2654 -0,0660 0,0889 0,1737 0,1668 0,0618 -0,1196 -0,3309 -0,5223 -0,6590 -0,7270 -0,7325 -0,7028 -0,6845 -0,7315 -0,8865 -1,1656 -1,5522 -1,9961 -2,4257 -2,7733 -2,9971 -3,0885 -3,0614 -2,9356 -2,7303 -2,4645 -2,1565 -1,8257 -1,4945 -1,1876 -0,9273 -0,7298 -0,6009 -0,5365 -0,5296 -0,5760 -0,6768 -0,8355 -1,0532 -1,3228 -1,6242 -1,9240 -2,1863 -2,3898 -2,5352 -2,6357 -2,7026 -2,7415 -2,7607 -2,7817 -2,8363 -2,9470 -3,1089 -3,2935 -3,4644 -3,5917 -3,6620 -3,6842 -3,6816 -3,6755 -3,6756 -3,6802 -3,6823 -3,6751 -3,6543 -3,6123 -3,5326 -3,3951 -3,1877 -2,9134 -2,5884 -2,2397 -1,9023 -1,6126 -1,3992 -1,2789 -1,2605 -1,3460 -1,5282 -1,7920 -2,1190 -2,4853 -2,8565 -3,1945 -3,4670 -3,6551 -3,7566 -3,7858 -3,7678 -3,7228 -3,6499 -3,5271 -3,3347 -3,0787 -2,7915 -2,5174 -2,3011 -2,1863 -2,2144 -2,4176 -2,8094 -3,3796 -4,1012 -4,9402 -5,8566 -6,8018 -7,7250 -8,5848 -9,3528 -10,0072 -10,5243 -10,8749 -11,0258 -10,9496 -10,6361 -10,0994 -9,3731 -8,4987 -7,5173 -6,4687 -5,3942 -4,3332 -3,3127 -2,3462 -1,4415 -0,6032 0,1721 0,9018 1,6151 2,3371 3,0675 3,7817 4,4487 5,0387 5,5184 5,8531 6,0175 6,0052 5,8286 5,5113 5,0822 4,5765 4,0373 3,5080 3,0191 2,5804 2,1838 1,8107 1,4344 1,0176 0,5217 -0,0726 -0,7509 -1,4691 -2,1735 -2,8222 -3,3948 -3,8915 -4,3265 -4,7221 -5,0992 -5,4653 -5,8057 -6,0924 -6,3047 -6,4453 -6,5360 -6,6002 -6,6500 -6,6805 -6,6724 -6,6062 -6,4757 -6,2893 -6,0650 -5,8295 -5,6142 -5,4479 -5,3513 -5,3367 -5,4059 -5,5468 -5,7357 -5,9439 -6,1377 -6,2840 -6,3622 -6,3691 -6,3113 -6,1966 -6,0364 -5,8522 -5,6728 -5,5253 -5,4292 -5,3968 -5,4377 -5,5631 -5,7826 -6,0952 -6,4834 -6,9177 -7,3676 -7,8114 -8,2389 -8,6415 -9,0022 -9,3007 -9,5344 -9,7298 -9,9280 -10,1603 -10,4412 -10,7758 -11,1612 -11,5773 -11,9866
