Fp1   0,3714 0,7355 1,0219 1,1768 1,1842 1,0706 0,8975 0,7409 0,6629 0,6824 0,7636 0,8361 0,8364 0,7443 0,5861 0,4122 0,2731 0,2027 0,2105 0,2845 0,3938 0,4929 0,5301 0,4653 0,2916 0,0396 -0,2434 -0,5150 -0,7400 -0,8903 -0,9564 -0,9526 -0,9087 -0,8552 -0,8152 -0,8033 -0,8245 -0,8718 -0,9276 -0,9715 -0,9907 -0,9764 -0,9164 -0,7999 -0,6275 -0,4180 -0,2026 -0,0133 0,1237 0,1898 0,1793 0,1019 -0,0230 -0,1736 -0,3242 -0,4417 -0,4909 -0,4473 -0,3077 -0,0968 0,1368 0,3396 0,4757 0,5351 0,5317 0,4955 0,4611 0,4532 0,4753 0,5156 0,5622 0,6065 0,6364 0,6396 0,6169 0,5774 0,5183 0,4204 0,2644 0,0476 -0,2120 -0,4818 -0,7223 -0,8961 -0,9813 -0,9802 -0,9122 -0,8028 -0,6776 -0,5575 -0,4504 -0,3499 -0,2495 -0,1594 -0,1044 -0,0942 -0,0969 -0,0612 0,0337 0,1595 0,2619 0,2899 0,2119 0,0245 -0,2421 -0,5267 -0,7560 -0,8785 -0,8925 -0,8411 -0,7807 -0,7527 -0,7727 -0,8368 -0,9324 -1,0444 -1,1657 -1,3055 -1,4772 -1,6792 -1,8964 -2,1167 -2,3414 -2,5807 -2,8388 -3,0961 -3,3021 -3,3899 -3,3151 -3,0879 -2,7637 -2,4058 -2,0638 -1,7780 -1,5770 -1,4598 -1,3929 -1,3369 -1,2730 -1,2023 -1,1261 -1,0350 -0,9127 -0,7518 -0,5670 -0,3870 -0,2267 -0,0736 0,0959 0,2882 0,4825 0,6466 0,7598 0,8244 0,8578 0,8752 0,8805 0,8772 0,8779 0,9003 0,9589 1,0630 1,2155 1,4116 1,6363 1,8621 2,0535 2,1807 2,2352 2,2351 2,2106 2,1815 2,1485 2,1023 2,0347 1,9445 1,8379 1,7248 1,6129 1,5045 1,3978 1,2835 1,1420 0,9554 0,7255 0,4684 0,1930 -0,1020 -0,4105 -0,7137 -0,9927 -1,2363 -1,4355 -1,5818 -1,6759 -1,7410 -1,8215 -1,9620 -2,1786 -2,4461 -2,7117 -2,9190 -3,0272 -3,0214 -2,9113 -2,7250 -2,5054 -2,2994 -2,1400 -2,0376 -1,9886 -1,9855 -2,0195 -2,0801 -2,1594 -2,2487 -2,3287 -2,3705 -2,3522 -2,2698 -2,1350 -1,9709 -1,8031 -1,6453 -1,4945 -1,3415 -1,1828 -1,0199 -0,8580 -0,7096 -0,5939 -0,5264 -0,5190 -0,5856 -0,7361 -0,9585 -1,2146 -1,4540 -1,6348 -1,7397 -1,7779 -1,7759 -1,7664 -1,7815 -1,8439 -1,9601 -2,1187 -2,2944 -2,4521 -2,5577 -2,5987 -2,5959 -2,5963 -2,6522 -2,7927 -2,9999 -3,2111 -3,3493 -3,3698 -3,2890 -3,1623 -3,0327 -2,9076 -2,7743 -2,6231 -2,4549 -2,2807 -2,1172 -1,9773 -1,8600 -1,7504 -1,6307 -1,4919 -1,3356 -1,1682 -1,0027 -0,8602 -0,7576 -0,6927 -0,6488 -0,6188 -0,6150 -0,6507 -0,7162 -0,7837 -0,8382 -0,8929 -0,9703 -1,0785 -1,2050 -1,3255 -1,4200 -1,4862 -1,5378 -1,5936 -1,6688 -1,7672 -1,8767 -1,9741 -2,0399 -2,0687 -2,0652 -2,0346 -1,9778 -1,8933 -1,7836 -1,6613 -1,5495 -1,4777 -1,4714 -1,5329 -1,6336 -1,7301 -1,7875 -1,7924 -1,7540 -1,6929 -1,6210 -1,5276 -1,3876 -1,1865 -0,9372 -0,6787 -0,4599 -0,3162 -0,2556 -0,2573 -0,2824 -0,2884 -0,2426 -0,1361 0,0126 0,1719 0,3127 0,4172 0,4877 0,5470 0,6236 0,7366 0,8880 1,0579 1,2029 1,2721 1,2334 1,0871 0,8573 0,5740 0,2599 -0,0703 -0,3984 -0,6977 -0,9435 -1,1230 -1,2321 -1,2710 -1,2398 -1,1385 -0,9749 -0,7700 -0,5535 -0,3554 -0,1992 -0,0937 -0,0308 0,0049 0,0289 0,0510 0,0683 0,0679 0,0454 0,0155 0,0018 0,0188 0,0678 0,1491 0,2696 0,4367 0,6542 0,9252 1,2451 1,5833 1,8803 2,0785 2,1586 2,1483 2,0947 2,0252 1,9339 1,8035 1,6357 1,4624 1,3341 1,3000 1,3856 1,5734 1,8110 2,0465 2,2547 2,4300 2,5683 2,6603 2,6954 2,6603 2,5425 2,3459 2,1025 1,8693 1,7060 1,6468 1,6871 1,8003 1,9607 2,1506 2,3533 2,5490 2,7166 2,8352 2,8903 2,8839 2,8365 2,7768 2,7341 2,7288 2,7591 2,7999 2,8229 2,8190 2,8049 2,8097 2,8513 2,9272 3,0296 3,1562 3,3025 3,4489 3,5584 3,5926 3,5425 3,4397 3,3348 3,2607 3,2122 3,1598 3,0751 2,9489 2,7928 2,6323 2,5023 2,4396 2,4629 2,5571 2,6810 2,7917 2,8624 2,8778 2,8227 2,6874 2,4876 2,2719 2,1045 2,0321 2,0607 2,1569 2,2750 2,3864 2,4907 2,6005 2,7206 2,8429 2,9565 3,0547 3,1331 3,1862 3,2118 3,2132 3,1883 3,1165 2,9675 2,7274 2,4165 2,0801 1,7597 1,4778 1,2385 1,0298 0,8332 0,6422 0,4656 0,3110 0,1747 0,0484 -0,0705 -0,1776 -0,2692 -0,3492 -0,4207 -0,4703 -0,4749 -0,4240 -0,3250 -0,1901 -0,0355 0,1059 0,1864 0,1730 0,0750 -0,0600 -0,1754 -0,2302 -0,2062 -0,1056 0,0494 0,2204 0,3653 0,4550 0,4865 0,4788 0,4507 0,4086 0,3544 0,2966 0,2472 0,2115 0,1811 0,1411 0,0909 0,0569 0,0772 0,1719 0,3323 0,5325 0,7488 0,9632 1,1595 1,3230 1,4436 1,5186 1,5601 1,5902 1,6221 1,6554 1,6903 1,7332 1,7873 1,8435 1,8770 1,8557 1,7652 1,6297 1,5003 1,4187 1,3968 1,4248 1,4867 1,5616 1,6200 1,6300 1,5733 1,4534 1,2876 1,0895 0,8653 0,6249 0,3859 0,1711 0,0048 -0,0922 -0,1041 -0,0241 0,1362 0,3419 0,5413 0,6797 0,7192 0,6588 0,5336 0,3934 0,2841 0,2422 0,2942 0,4574 0,7337 1,0929 1,4701 1,7937 2,0229 2,1618 2,2449 2,3107 2,3818 2,4642 2,5510 2,6235 2,6556 2,6241 2,5237 2,3831 2,2595 2,2053 2,2369
Fz    0,9266 1,4039 1,7809 1,9758 1,9655 1,7931 1,5541 1,3621 1,3018 1,3872 1,5509 1,6779 1,6652 1,4703 1,1276 0,7342 0,4088 0,2400 0,2518 0,4034 0,6112 0,7732 0,7980 0,6347 0,2899 -0,1776 -0,6825 -1,1423 -1,4939 -1,7055 -1,7838 -1,7678 -1,7085 -1,6495 -1,6157 -1,6096 -1,6148 -1,6022 -1,5417 -1,4192 -1,2507 -1,0734 -0,9209 -0,8035 -0,7073 -0,6076 -0,4883 -0,3531 -0,2264 -0,1420 -0,1283 -0,2035 -0,3690 -0,5977 -0,8315 -0,9994 -1,0472 -0,9542 -0,7318 -0,4185 -0,0764 0,2208 0,4094 0,4536 0,3578 0,1691 -0,0383 -0,1922 -0,2506 -0,2098 -0,0916 0,0694 0,2303 0,3507 0,4080 0,3959 0,3096 0,1456 -0,0822 -0,3360 -0,5677 -0,7391 -0,8310 -0,8397 -0,7766 -0,6719 -0,5639 -0,4780 -0,4173 -0,3662 -0,2999 -0,2028 -0,0906 -0,0091 -0,0031 -0,0725 -0,1583 -0,1829 -0,1098 0,0339 0,1789 0,2469 0,1785 -0,0431 -0,3788 -0,7405 -1,0254 -1,1600 -1,1309 -0,9834 -0,7941 -0,6353 -0,5483 -0,5417 -0,6062 -0,7259 -0,8883 -1,0875 -1,3143 -1,5490 -1,7752 -1,9984 -2,2455 -2,5476 -2,9188 -3,3349 -3,7247 -3,9864 -4,0297 -3,8210 -3,4026 -2,8757 -2,3659 -1,9818 -1,7768 -1,7275 -1,7556 -1,7771 -1,7408 -1,6331 -1,4613 -1,2384 -0,9784 -0,7060 -0,4680 -0,3158 -0,2628 -0,2625 -0,2365 -0,1345 0,0337 0,2166 0,3572 0,4123 0,3599 0,2039 -0,0197 -0,2407 -0,3754 -0,3652 -0,1988 0,0981 0,4825 0,9078 1,3295 1,7084 2,0183 2,2523 2,4258 2,5702 2,7099 2,8394 2,9291 2,9493 2,8888 2,7569 2,5801 2,3972 2,2472 2,1546 2,1188 2,1074 2,0611 1,9262 1,6885 1,3691 0,9908 0,5670 0,1159 -0,3342 -0,7586 -1,1447 -1,4869 -1,7836 -2,0399 -2,2712 -2,5004 -2,7442 -2,9940 -3,2110 -3,3452 -3,3622 -3,2596 -3,0659 -2,8230 -2,5676 -2,3266 -2,1210 -1,9620 -1,8484 -1,7764 -1,7447 -1,7524 -1,7986 -1,8829 -1,9947 -2,1004 -2,1510 -2,1078 -1,9618 -1,7384 -1,4875 -1,2613 -1,0875 -0,9634 -0,8695 -0,7816 -0,6743 -0,5306 -0,3574 -0,1888 -0,0695 -0,0367 -0,1145 -0,3044 -0,5731 -0,8580 -1,0921 -1,2285 -1,2518 -1,1801 -1,0613 -0,9620 -0,9488 -1,0634 -1,3068 -1,6393 -1,9925 -2,2889 -2,4715 -2,5278 -2,4951 -2,4473 -2,4696 -2,6195 -2,8884 -3,1964 -3,4336 -3,5292 -3,4943 -3,3986 -3,3090 -3,2546 -3,2343 -3,2347 -3,2379 -3,2251 -3,1831 -3,1054 -2,9856 -2,8171 -2,6035 -2,3661 -2,1357 -1,9355 -1,7803 -1,6800 -1,6308 -1,6084 -1,5847 -1,5548 -1,5424 -1,5781 -1,6720 -1,8071 -1,9586 -2,1128 -2,2646 -2,4035 -2,5103 -2,5675 -2,5752 -2,5538 -2,5302 -2,5240 -2,5482 -2,6046 -2,6713 -2,7059 -2,6712 -2,5612 -2,4002 -2,2196 -2,0397 -1,8699 -1,7165 -1,5861 -1,4825 -1,4111 -1,3830 -1,4052 -1,4675 -1,5480 -1,6274 -1,6967 -1,7559 -1,8082 -1,8452 -1,8390 -1,7595 -1,5975 -1,3739 -1,1320 -0,9222 -0,7835 -0,7276 -0,7312 -0,7477 -0,7266 -0,6307 -0,4508 -0,2101 0,0503 0,2868 0,4682 0,5939 0,6962 0,8171 0,9855 1,2085 1,4697 1,7280 1,9286 2,0225 1,9797 1,7938 1,4811 1,0747 0,6176 0,1598 -0,2507 -0,5849 -0,8456 -1,0600 -1,2518 -1,4132 -1,5065 -1,4911 -1,3459 -1,0826 -0,7491 -0,4162 -0,1478 0,0223 0,0896 0,0725 0,0022 -0,0966 -0,2116 -0,3240 -0,4005 -0,4186 -0,3876 -0,3309 -0,2502 -0,1165 0,1087 0,4503 0,9075 1,4456 1,9900 2,4394 2,7079 2,7690 2,6652 2,4750 2,2644 2,0652 1,8864 1,7342 1,6223 1,5724 1,6051 1,7258 1,9119 2,1223 2,3268 2,5252 2,7369 2,9737 3,2213 3,4351 3,5506 3,5124 3,3096 2,9925 2,6560 2,3971 2,2709 2,2766 2,3770 2,5242 2,6761 2,8066 2,9084 2,9825 3,0241 3,0276 3,0054 2,9907 3,0184 3,1034 3,2329 3,3705 3,4752 3,5271 3,5375 3,5384 3,5637 3,6310 3,7403 3,8910 4,0832 4,3015 4,5076 4,6482 4,6789 4,5992 4,4616 4,3336 4,2451 4,1782 4,0945 3,9616 3,7645 3,5144 3,2532 3,0445 2,9498 2,9942 3,1487 3,3419 3,4954 3,5578 3,5091 3,3436 3,0691 2,7283 2,4052 2,1917 2,1337 2,2021 2,3161 2,4029 2,4474 2,4952 2,6092 2,8198 3,1068 3,4206 3,7113 3,9412 4,0840 4,1242 4,0601 3,8996 3,6568 3,3556 3,0336 2,7332 2,4809 2,2755 2,1011 1,9417 1,7768 1,5816 1,3486 1,1017 0,8826 0,7216 0,6211 0,5561 0,4897 0,3921 0,2593 0,1207 0,0228 -0,0030 0,0432 0,1433 0,2760 0,4145 0,5163 0,5287 0,4204 0,2075 -0,0533 -0,2949 -0,4650 -0,5357 -0,5052 -0,4010 -0,2756 -0,1907 -0,1928 -0,2916 -0,4569 -0,6378 -0,7869 -0,8710 -0,8773 -0,8177 -0,7267 -0,6484 -0,6138 -0,6167 -0,6065 -0,5167 -0,3062 0,0191 0,4124 0,8068 1,1409 1,3820 1,5336 1,6206 1,6735 1,7281 1,8172 1,9464 2,0914 2,2248 2,3348 2,4203 2,4807 2,5115 2,5059 2,4696 2,4328 2,4384 2,5120 2,6435 2,7950 2,9230 2,9909 2,9701 2,8413 2,6041 2,2849 1,9261 1,5629 1,2126 0,8791 0,5595 0,2489 -0,0479 -0,3069 -0,4857 -0,5416 -0,4592 -0,2686 -0,0436 0,1253 0,1738 0,0975 -0,0549 -0,2142 -0,3190 -0,3259 -0,2130 0,0223 0,3626 0,7631 1,1541 1,4696 1,6797 1,7983 1,8648 1,9238 2,0123 2,1487 2,3201 2,4801 2,5670 2,5324 2,3666 2,1135 1,8604 1,6956 1,6634
F3    0,2855 0,6718 0,9914 1,2067 1,3083 1,3154 1,2709 1,2289 1,2316 1,2832 1,3406 1,3376 1,2261 1,0040 0,7191 0,4506 0,2697 0,2039 0,2312 0,3039 0,3748 0,4095 0,3853 0,2867 0,1137 -0,1086 -0,3385 -0,5365 -0,6765 -0,7523 -0,7800 -0,7891 -0,8072 -0,8504 -0,9205 -1,0100 -1,1072 -1,1958 -1,2550 -1,2705 -1,2440 -1,1853 -1,0987 -0,9817 -0,8344 -0,6644 -0,4854 -0,3136 -0,1691 -0,0757 -0,0513 -0,0992 -0,2079 -0,3524 -0,4947 -0,5913 -0,6087 -0,5343 -0,3754 -0,1574 0,0768 0,2797 0,4172 0,4781 0,4725 0,4253 0,3684 0,3290 0,3194 0,3380 0,3798 0,4366 0,4876 0,5046 0,4720 0,3929 0,2742 0,1160 -0,0821 -0,3081 -0,5354 -0,7288 -0,8536 -0,8883 -0,8358 -0,7235 -0,5915 -0,4802 -0,4186 -0,4093 -0,4256 -0,4293 -0,3976 -0,3350 -0,2637 -0,1979 -0,1291 -0,0420 0,0611 0,1589 0,2250 0,2336 0,1588 -0,0140 -0,2696 -0,5581 -0,8137 -0,9885 -1,0749 -1,1006 -1,1051 -1,1139 -1,1291 -1,1436 -1,1596 -1,1897 -1,2527 -1,3699 -1,5520 -1,7854 -2,0415 -2,2976 -2,5456 -2,7856 -3,0172 -3,2315 -3,4003 -3,4767 -3,4217 -3,2343 -2,9541 -2,6423 -2,3635 -2,1675 -2,0651 -2,0187 -1,9681 -1,8706 -1,7191 -1,5287 -1,3120 -1,0693 -0,7994 -0,5156 -0,2515 -0,0456 0,0862 0,1645 0,2319 0,3220 0,4390 0,5658 0,6850 0,7866 0,8593 0,8883 0,8682 0,8158 0,7679 0,7647 0,8400 1,0141 1,2855 1,6293 2,0059 2,3697 2,6782 2,9032 3,0411 3,1130 3,1449 3,1465 3,1120 3,0356 2,9191 2,7678 2,5921 2,4111 2,2461 2,1103 2,0060 1,9228 1,8354 1,7142 1,5439 1,3256 1,0636 0,7610 0,4265 0,0766 -0,2690 -0,5891 -0,8640 -1,0816 -1,2459 -1,3788 -1,5132 -1,6780 -1,8836 -2,1149 -2,3388 -2,5176 -2,6215 -2,6369 -2,5665 -2,4256 -2,2428 -2,0546 -1,8867 -1,7454 -1,6306 -1,5472 -1,5020 -1,4966 -1,5303 -1,5984 -1,6824 -1,7484 -1,7649 -1,7183 -1,6137 -1,4670 -1,2934 -1,1012 -0,8992 -0,7077 -0,5552 -0,4615 -0,4283 -0,4455 -0,5020 -0,5864 -0,6896 -0,8146 -0,9724 -1,1575 -1,3385 -1,4756 -1,5437 -1,5430 -1,4933 -1,4215 -1,3554 -1,3233 -1,3508 -1,4517 -1,6205 -1,8318 -2,0445 -2,2156 -2,3182 -2,3549 -2,3586 -2,3818 -2,4675 -2,6202 -2,7970 -2,9315 -2,9755 -2,9304 -2,8355 -2,7271 -2,6149 -2,4909 -2,3489 -2,1941 -2,0385 -1,8938 -1,7663 -1,6516 -1,5336 -1,3954 -1,2309 -1,0463 -0,8556 -0,6818 -0,5539 -0,4892 -0,4778 -0,4893 -0,4942 -0,4799 -0,4535 -0,4325 -0,4355 -0,4804 -0,5845 -0,7560 -0,9843 -1,2408 -1,4891 -1,7007 -1,8655 -1,9878 -2,0765 -2,1402 -2,1813 -2,1954 -2,1796 -2,1403 -2,0901 -2,0352 -1,9666 -1,8659 -1,7226 -1,5484 -1,3753 -1,2385 -1,1647 -1,1671 -1,2372 -1,3408 -1,4328 -1,4789 -1,4672 -1,4117 -1,3440 -1,2890 -1,2431 -1,1802 -1,0755 -0,9226 -0,7359 -0,5454 -0,3853 -0,2754 -0,2087 -0,1593 -0,0978 -0,0018 0,1369 0,3125 0,5103 0,7063 0,8708 0,9889 1,0726 1,1485 1,2376 1,3458 1,4626 1,5639 1,6230 1,6215 1,5462 1,3834 1,1261 0,7853 0,3926 -0,0054 -0,3638 -0,6552 -0,8735 -1,0264 -1,1211 -1,1549 -1,1182 -1,0051 -0,8194 -0,5795 -0,3230 -0,0964 0,0703 0,1755 0,2336 0,2634 0,2834 0,3030 0,3201 0,3333 0,3479 0,3693 0,4002 0,4489 0,5371 0,6936 0,9347 1,2535 1,6256 2,0152 2,3751 2,6556 2,8257 2,8877 2,8735 2,8262 2,7747 2,7192 2,6415 2,5301 2,3975 2,2799 2,2206 2,2444 2,3403 2,4670 2,5835 2,6758 2,7576 2,8479 2,9468 3,0301 3,0598 3,0013 2,8437 2,6149 2,3756 2,1914 2,1030 2,1187 2,2247 2,3983 2,6183 2,8684 3,1334 3,3901 3,6032 3,7407 3,7969 3,8003 3,7968 3,8256 3,9026 4,0164 4,1379 4,2396 4,3062 4,3312 4,3101 4,2399 4,1304 4,0178 3,9518 3,9620 4,0373 4,1344 4,2061 4,2326 4,2292 4,2226 4,2205 4,2077 4,1633 4,0740 3,9373 3,7663 3,5935 3,4655 3,4203 3,4561 3,5250 3,5669 3,5545 3,5026 3,4379 3,3659 3,2687 3,1315 2,9676 2,8167 2,7186 2,6848 2,6986 2,7389 2,8007 2,8961 3,0378 3,2213 3,4215 3,6093 3,7688 3,8972 3,9928 4,0489 4,0568 4,0067 3,8887 3,6984 3,4439 3,1489 2,8469 2,5656 2,3213 2,1242 1,9709 1,8359 1,6866 1,5076 1,3078 1,1093 0,9332 0,7921 0,6899 0,6207 0,5736 0,5430 0,5352 0,5577 0,6073 0,6728 0,7429 0,8064 0,8468 0,8465 0,7961 0,7026 0,5857 0,4671 0,3659 0,3013 0,2897 0,3329 0,4129 0,5006 0,5694 0,6086 0,6278 0,6446 0,6711 0,7120 0,7695 0,8431 0,9217 0,9814 0,9988 0,9756 0,9496 0,9755 1,0897 1,2910 1,5470 1,8126 2,0496 2,2380 2,3765 2,4716 2,5291 2,5577 2,5725 2,5888 2,6163 2,6602 2,7229 2,8013 2,8833 2,9480 2,9706 2,9354 2,8486 2,7415 2,6554 2,6208 2,6493 2,7336 2,8467 2,9461 2,9858 2,9313 2,7711 2,5185 2,2010 1,8517 1,5049 1,1901 0,9271 0,7290 0,6057 0,5668 0,6171 0,7471 0,9271 1,1138 1,2628 1,3464 1,3659 1,3445 1,3098 1,2855 1,2951 1,3603 1,4981 1,7149 1,9950 2,2939 2,5539 2,7334 2,8278 2,8667 2,8985 2,9686 3,0976 3,2700 3,4433 3,5687 3,6102 3,5596 3,4459 3,3268 3,2565 3,2558
F7    0,1704 0,6463 0,9999 1,1688 1,1396 0,9527 0,6899 0,4481 0,3014 0,2662 0,2960 0,3150 0,2681 0,1518 0,0090 -0,1026 -0,1437 -0,1088 -0,0183 0,0996 0,2198 0,3209 0,3768 0,3540 0,2344 0,0395 -0,1815 -0,3784 -0,5124 -0,5667 -0,5574 -0,5205 -0,4838 -0,4554 -0,4332 -0,4202 -0,4273 -0,4624 -0,5214 -0,5932 -0,6670 -0,7263 -0,7391 -0,6686 -0,5008 -0,2635 -0,0125 0,2029 0,3565 0,4376 0,4438 0,3784 0,2490 0,0690 -0,1353 -0,3206 -0,4364 -0,4434 -0,3275 -0,1089 0,1613 0,4253 0,6411 0,7906 0,8807 0,9382 0,9956 1,0686 1,1452 1,2017 1,2293 1,2333 1,2103 1,1453 1,0365 0,9048 0,7717 0,6367 0,4828 0,2925 0,0573 -0,2123 -0,4800 -0,6961 -0,8211 -0,8375 -0,7502 -0,5913 -0,4175 -0,2851 -0,2158 -0,1880 -0,1590 -0,1023 -0,0250 0,0516 0,1257 0,2154 0,3269 0,4361 0,5014 0,4831 0,3603 0,1443 -0,1190 -0,3610 -0,5143 -0,5457 -0,4773 -0,3727 -0,2973 -0,2837 -0,3239 -0,3874 -0,4426 -0,4704 -0,4803 -0,5137 -0,6170 -0,8048 -1,0531 -1,3234 -1,5907 -1,8494 -2,0979 -2,3200 -2,4763 -2,5140 -2,4048 -2,1754 -1,8878 -1,5971 -1,3395 -1,1418 -1,0141 -0,9355 -0,8671 -0,7892 -0,7221 -0,7031 -0,7438 -0,8121 -0,8512 -0,8147 -0,6922 -0,5042 -0,2754 -0,0177 0,2629 0,5510 0,8185 1,0406 1,2156 1,3630 1,4984 1,6159 1,6923 1,7111 1,6805 1,6323 1,6111 1,6572 1,7900 2,0051 2,2782 2,5626 2,7935 2,9144 2,9092 2,8110 2,6806 2,5694 2,4957 2,4479 2,4036 2,3438 2,2613 2,1626 2,0574 1,9465 1,8252 1,6900 1,5349 1,3516 1,1410 0,9112 0,6655 0,4053 0,1413 -0,1093 -0,3327 -0,5166 -0,6450 -0,7041 -0,7007 -0,6726 -0,6772 -0,7680 -0,9713 -1,2733 -1,6233 -1,9504 -2,1867 -2,2902 -2,2521 -2,0939 -1,8658 -1,6350 -1,4576 -1,3616 -1,3544 -1,4323 -1,5782 -1,7572 -1,9249 -2,0455 -2,1002 -2,0842 -2,0051 -1,8808 -1,7319 -1,5733 -1,4103 -1,2387 -1,0489 -0,8382 -0,6186 -0,4110 -0,2366 -0,1159 -0,0617 -0,0705 -0,1356 -0,2664 -0,4754 -0,7475 -1,0352 -1,2862 -1,4686 -1,5781 -1,6285 -1,6405 -1,6358 -1,6349 -1,6528 -1,6949 -1,7587 -1,8367 -1,9110 -1,9540 -1,9514 -1,9207 -1,9054 -1,9530 -2,0857 -2,2736 -2,4330 -2,4673 -2,3322 -2,0705 -1,7751 -1,5190 -1,3205 -1,1622 -1,0222 -0,8896 -0,7678 -0,6709 -0,6123 -0,5879 -0,5698 -0,5191 -0,4035 -0,2096 0,0504 0,3370 0,5932 0,7700 0,8502 0,8504 0,8011 0,7278 0,6511 0,5936 0,5707 0,5689 0,5464 0,4624 0,3024 0,0830 -0,1586 -0,3849 -0,5760 -0,7270 -0,8389 -0,9173 -0,9728 -1,0186 -1,0673 -1,1304 -1,2169 -1,3266 -1,4418 -1,5313 -1,5641 -1,5287 -1,4434 -1,3450 -1,2744 -1,2656 -1,3262 -1,4231 -1,4982 -1,5010 -1,4139 -1,2619 -1,1004 -0,9766 -0,8938 -0,8137 -0,6903 -0,5030 -0,2737 -0,0570 0,0942 0,1616 0,1665 0,1484 0,1442 0,1800 0,2644 0,3851 0,5186 0,6435 0,7461 0,8260 0,8956 0,9676 1,0459 1,1252 1,1914 1,2164 1,1708 1,0454 0,8516 0,6018 0,3020 -0,0416 -0,4145 -0,7860 -1,1155 -1,3657 -1,5100 -1,5342 -1,4417 -1,2504 -0,9840 -0,6728 -0,3558 -0,0729 0,1428 0,2724 0,3244 0,3363 0,3518 0,3982 0,4726 0,5388 0,5483 0,4797 0,3544 0,2212 0,1293 0,1128 0,1880 0,3522 0,5799 0,8341 1,0868 1,3223 1,5209 1,6583 1,7288 1,7591 1,7938 1,8638 1,9545 2,0052 1,9515 1,7712 1,4998 1,2183 1,0240 0,9839 1,0948 1,2885 1,4861 1,6443 1,7589 1,8392 1,8880 1,8989 1,8567 1,7407 1,5449 1,3013 1,0769 0,9434 0,9413 1,0630 1,2653 1,5006 1,7392 1,9700 2,1881 2,3789 2,5132 2,5628 2,5268 2,4366 2,3383 2,2708 2,2511 2,2686 2,2932 2,2961 2,2657 2,2058 2,1273 2,0352 1,9307 1,8349 1,7928 1,8399 1,9676 2,1252 2,2545 2,3252 2,3454 2,3458 2,3519 2,3641 2,3600 2,3145 2,2193 2,0884 1,9488 1,8348 1,7778 1,7779 1,7915 1,7661 1,6892 1,5956 1,5225 1,4673 1,3944 1,2793 1,1388 1,0215 0,9714 1,0019 1,0957 1,2253 1,3743 1,5414 1,7286 1,9263 2,1100 2,2519 2,3325 2,3437 2,2915 2,1981 2,0940 1,9961 1,8900 1,7366 1,5059 1,2127 0,9165 0,6782 0,5196 0,4251 0,3665 0,3201 0,2751 0,2284 0,1720 0,0921 -0,0233 -0,1760 -0,3538 -0,5400 -0,7276 -0,9136 -1,0809 -1,2009 -1,2530 -1,2311 -1,1354 -0,9782 -0,7981 -0,6504 -0,5724 -0,5603 -0,5787 -0,5884 -0,5624 -0,4852 -0,3551 -0,1908 -0,0277 0,0984 0,1640 0,1681 0,1301 0,0738 0,0153 -0,0355 -0,0718 -0,0910 -0,1013 -0,1252 -0,1872 -0,2876 -0,3930 -0,4540 -0,4359 -0,3370 -0,1810 0,0036 0,1944 0,3727 0,5248 0,6415 0,7130 0,7323 0,7027 0,6372 0,5565 0,4895 0,4674 0,5090 0,6034 0,7048 0,7487 0,6920 0,5480 0,3781 0,2483 0,1961 0,2276 0,3281 0,4692 0,6164 0,7363 0,7994 0,7839 0,6779 0,4813 0,2124 -0,0873 -0,3693 -0,5935 -0,7312 -0,7626 -0,6766 -0,4784 -0,2026 0,0918 0,3434 0,5055 0,5537 0,4916 0,3471 0,1592 -0,0300 -0,1783 -0,2432 -0,1842 0,0199 0,3427 0,7064 1,0151 1,1993 1,2448 1,1955 1,1268 1,1044 1,1598 1,2874 1,4498 1,5894 1,6527 1,6187 1,5172 1,4144 1,3703 1,4072
