Fp1   2,9199 3,2122 3,4969 3,5811 3,2954 2,5855 1,5664 0,4741 -0,4590 -1,0850 -1,3498 -1,2981 -1,0611 -0,7841 -0,5503 -0,3654 -0,1996 -0,0298 0,1598 0,3765 0,5806 0,6790 0,5945 0,3267 -0,0734 -0,5551 -1,0695 -1,5524 -1,9303 -2,1386 -2,1304 -1,8937 -1,4788 -0,9951 -0,5692 -0,3089 -0,2723 -0,4227 -0,6268 -0,7421 -0,7145 -0,5738 -0,3634 -0,1171 0,1172 0,2811 0,3447 0,3375 0,3415 0,4398 0,6475 0,8917 1,0678 1,1064 0,9983 0,7944 0,5829 0,4496 0,4485 0,5941 0,8655 1,2284 1,6469 2,0684 2,4261 2,6796 2,8226 2,8379 2,6789 2,3154 1,7887 1,2185 0,7521 0,4788 0,3703 0,3088 0,1950 0,0267 -0,1385 -0,2593 -0,3036 -0,1952 0,1503 0,7212 1,3817 1,9592 2,3350 2,4655 2,3690 2,1043 1,7274 1,2638 0,7371 0,2079 -0,2413 -0,5520 -0,7078 -0,7236 -0,6362 -0,4915 -0,3204 -0,1357 0,0390 0,1500 0,1354 -0,0238 -0,2601 -0,4333 -0,4161 -0,1765 0,2176 0,6315 0,9157 0,9727 0,7660 0,2866 -0,4133 -1,1839 -1,8585 -2,3611 -2,7041 -2,9292 -3,0836 -3,1922 -3,2292 -3,1546 -2,9711 -2,7268 -2,4803 -2,2766 -2,1399 -2,0722 -2,0464 -1,9991 -1,8554 -1,5895 -1,2504 -0,9032 -0,5536 -0,1355 0,4435 1,2258 2,1432 3,0401 3,7727 4,2934 4,6825 5,1213 5,7987 6,8071 8,0923 9,4712 10,7009 11,5614 11,9247 11,8228 11,4626 11,1310 11,0423 11,2474 11,6665 12,1927 12,7487 13,2566 13,6057 13,7066 13,5859 13,3855 13,2447 13,2076 13,2423 13,2881 13,2714 13,1321 12,8586 12,4827 12,0533 11,6169 11,1835 10,7111 10,1563 9,5292 8,8769 8,2407 7,6560 7,1731 6,8502 6,7351 6,8687 7,2731 7,9081 8,6602 9,3792 9,9074 10,1091 9,9306 9,4301 8,7209 7,9136 7,1380 6,5624 6,3123 6,3676 6,5741 6,7701 6,8929 6,9753 7,0687 7,2004 7,3882 7,6324 7,8752 8,0112 7,9638 7,7342 7,3754 6,9533 6,5467 6,2535 6,1510 6,2321 6,4092 6,5942 6,7495 6,8552 6,8652 6,7301 6,4620 6,1715 6,0354 6,2000 6,6751 7,3000 7,8297 8,0869 8,0466 7,7856 7,3924 6,9520 6,5727 6,3595 6,3512 6,5006 6,7062 6,8552 6,8620 6,6924 6,3749 6,0048 5,7144 5,5958 5,6579 5,8723 6,2266 6,7086 7,2742 7,8675 8,4392 8,9252 9,2616 9,4485 9,5437 9,5745 9,5042 9,2921 8,9342 8,4406 7,8372 7,2143 6,7251 6,5142 6,6421 7,0516 7,5751 7,9831 8,0970 7,9018 7,5395 7,1868 6,9490 6,8510 6,8713 6,9468 6,9867 6,9384 6,8396 6,7965 6,9253 7,3007 7,9276 8,7379 9,6049 10,3725 10,9123 11,1908 11,2667 11,2332 11,1925 11,2345 11,3849 11,5817 11,7203 11,7284 11,5925 11,3314 10,9908 10,6633 10,4472 10,3731 10,4219 10,5979 10,9257 11,3893 11,9142 12,4040 12,7882 13,0654 13,3030 13,5652 13,8396 14,0462 14,0918 13,9093 13,4757 12,8099 11,9569 10,9985 10,0696 9,3271 8,8898 8,7995 9,0061 9,3833 9,7630 9,9799 9,9479 9,7147 9,4233 9,2058 9,1080 9,1091 9,1880 9,3456 9,5733 9,8280 10,0556 10,2282 10,3351 10,3601 10,3078 10,2241 10,1456 10,0612 9,9419 9,7837 9,6081 9,4410 9,3158 9,2916 9,4377 9,7869 10,2989 10,8690 11,3920 11,8191 12,1303 12,2901 12,2787 12,1337 11,9190 11,6627 11,3539 10,9814 10,5438 10,0392 9,4798 8,9076 8,3947 8,0298 7,8845 7,9876 8,3112 8,7705 9,2644 9,7030 9,9904 10,0395 9,8396 9,4854 9,1158 8,8261 8,6202 8,4212 8,1424 7,7642 7,3370 6,9143 6,4998 6,0568 5,5605 5,0427 4,5880 4,2887 4,1882 4,2462 4,3670 4,4811 4,6006 4,7907 5,0994 5,5228 6,0034 6,4379 6,7216 6,8091 6,7391 6,6139 6,5492 6,6152 6,8040 7,0416 7,2283 7,2797 7,1475 6,8152 6,2975 5,6719 5,0764 4,6329 4,3766 4,2471 4,1444 4,0175 3,8800 3,7404 3,5771 3,3935 3,2485 3,2038 3,2673 3,4151 3,6380 3,9326 4,2690 4,5855 4,8021 4,8467 4,7117 4,4978 4,3683 4,4267 4,6348 4,8554 4,9683 4,9385 4,7896 4,5539 4,2629 3,9573 3,6786 3,4528 3,2867 3,1617 3,0347 2,8581 2,5875 2,1994 1,7432 1,3525 1,1646 1,2026 1,3305 1,3472 1,1322 0,6957 0,1125 -0,5392 -1,1696 -1,6697 -1,9617 -2,0313 -1,8907 -1,5489 -1,0668 -0,6058 -0,3491 -0,3664 -0,5904 -0,9118 -1,2601 -1,6017 -1,9042 -2,1186 -2,1911 -2,1115 -1,9632 -1,9061 -2,0891 -2,5686 -3,2887 -4,1205 -4,9308 -5,6370 -6,2029 -6,5978 -6,7830 -6,7291 -6,4228 -5,8642 -5,0674 -4,0597 -2,8853 -1,6370 -0,4778 0,4108 0,9499 1,2480 1,5296 1,9421 2,4473 2,9083 3,2301 3,3880 3,3923 3,2838 3,1296 2,9939 2,9230 2,9426 3,0516 3,2284 3,4582 3,7479 4,1045 4,4967 4,8468 5,0626 5,0911 4,9741 4,8383 4,7913 4,8310 4,8492 4,6964 4,2634 3,5443 2,6405 1,7038 0,8684 0,2147 -0,2262 -0,4543 -0,5122 -0,5074 -0,5846 -0,8438 -1,2751 -1,7762 -2,2306 -2,5609 -2,7291 -2,7428 -2,6882 -2,7254 -3,0078 -3,5820 -4,3588 -5,1649 -5,8134 -6,1547 -6,1318 -5,8271 -5,4239 -5,0926 -4,9181 -4,9062 -5,0036 -5,1202 -5,1859 -5,1808 -5,0997 -4,9359 -4,7315 -4,6134 -4,7334 -5,1480 -5,7323 -6,2149 -6,3389 -6,0144 -5,3244 -4,4369 -3,5350 -2,7729 -2,2342 -1,9220 -1,7862 -1,7550 -1,7674 -1,7926
Fz    1,3448 1,2327 1,1407 0,9985 0,7368 0,3320 -0,1619 -0,6379 -1,0029 -1,2160 -1,2734 -1,1944 -1,0248 -0,8236 -0,6371 -0,4862 -0,3774 -0,3138 -0,2875 -0,2728 -0,2498 -0,2278 -0,2320 -0,2746 -0,3505 -0,4444 -0,5302 -0,5790 -0,5785 -0,5369 -0,4672 -0,3758 -0,2685 -0,1568 -0,0579 0,0073 0,0255 0,0107 0,0059 0,0557 0,1739 0,3430 0,5368 0,7311 0,9033 1,0406 1,1507 1,2606 1,4041 1,6050 1,8539 2,0957 2,2530 2,2726 2,1576 1,9646 1,7777 1,6743 1,6945 1,8318 2,0518 2,3158 2,5895 2,8419 3,0530 3,2200 3,3441 3,4107 3,3886 3,2492 2,9897 2,6461 2,2800 1,9488 1,6808 1,4737 1,3201 1,2310 1,2204 1,2785 1,3840 1,5387 1,7658 2,0705 2,4181 2,7514 3,0163 3,1759 3,2209 3,1713 3,0532 2,8771 2,6512 2,4072 2,1982 2,0718 2,0507 2,1313 2,2890 2,4870 2,6901 2,8684 2,9850 2,9941 2,8623 2,5988 2,2677 1,9659 1,7689 1,6925 1,6994 1,7228 1,6903 1,5572 1,3197 0,9947 0,6139 0,2290 -0,1154 -0,4122 -0,6785 -0,9283 -1,1631 -1,3620 -1,4813 -1,4870 -1,3829 -1,2020 -0,9874 -0,7798 -0,6105 -0,4965 -0,4326 -0,3808 -0,2820 -0,0950 0,1790 0,5156 0,9015 1,3444 1,8557 2,4221 2,9881 3,4752 3,8269 4,0422 4,1849 4,3670 4,7049 5,2671 6,0442 6,9539 7,8752 8,6884 9,3117 9,7345 10,0229 10,2716 10,5384 10,8196 11,0769 11,2809 11,4270 11,5162 11,5333 11,4640 11,3392 11,2448 11,2697 11,4479 11,7437 12,0702 12,3226 12,4250 12,3594 12,1502 11,8324 11,4367 10,9791 10,4545 9,8538 9,1929 8,5211 7,9070 7,4170 7,0948 6,9480 6,9491 7,0554 7,2296 7,4427 7,6704 7,8885 8,0621 8,1459 8,1128 7,9757 7,7697 7,5272 7,2869 7,1049 7,0249 7,0372 7,0839 7,1070 7,0834 7,0232 6,9464 6,8684 6,7966 6,7257 6,6309 6,4822 6,2745 6,0402 5,8230 5,6511 5,5412 5,5094 5,5627 5,6816 5,8215 5,9395 6,0127 6,0288 5,9693 5,8229 5,6102 5,3910 5,2486 5,2502 5,3978 5,6062 5,7479 5,7407 5,5975 5,3944 5,2066 5,0763 5,0137 5,0057 5,0265 5,0528 5,0718 5,0796 5,0766 5,0640 5,0491 5,0570 5,1275 5,2818 5,4939 5,7119 5,8989 6,0447 6,1528 6,2386 6,3249 6,4157 6,4882 6,5252 6,5312 6,5092 6,4536 6,3653 6,2504 6,1009 5,9041 5,6733 5,4524 5,2931 5,2325 5,2755 5,3789 5,4560 5,4269 5,2797 5,0725 4,8742 4,7148 4,5888 4,4759 4,3442 4,1589 3,9122 3,6403 3,4050 3,2685 3,2750 3,4408 3,7509 4,1617 4,6075 5,0232 5,3744 5,6570 5,8778 6,0571 6,2301 6,4206 6,6187 6,7875 6,8957 6,9387 6,9292 6,8862 6,8403 6,8265 6,8605 6,9434 7,0845 7,2917 7,5484 7,8215 8,0867 8,3414 8,6060 8,9103 9,2586 9,6091 9,8937 10,0547 10,0663 9,9353 9,6875 9,3562 8,9868 8,6370 8,3567 8,1693 8,0719 8,0434 8,0570 8,0840 8,0911 8,0562 7,9932 7,9466 7,9573 8,0352 8,1624 8,3155 8,4739 8,6182 8,7314 8,8062 8,8456 8,8501 8,8081 8,7142 8,5838 8,4335 8,2614 8,0610 7,8402 7,6197 7,4243 7,2828 7,2278 7,2804 7,4301 7,6343 7,8355 7,9902 8,0838 8,1137 8,0693 7,9441 7,7537 7,5256 7,2763 7,0101 6,7367 6,4735 6,2328 6,0154 5,8142 5,6239 5,4520 5,3227 5,2677 5,2991 5,3888 5,4871 5,5500 5,5404 5,4328 5,2361 4,9981 4,7720 4,5811 4,4113 4,2270 4,0048 3,7620 3,5435 3,3774 3,2484 3,1106 2,9279 2,7097 2,5085 2,3868 2,3762 2,4561 2,5721 2,6868 2,8103 2,9762 3,2013 3,4785 3,7863 4,0911 4,3536 4,5479 4,6765 4,7655 4,8426 4,9143 4,9606 4,9479 4,8429 4,6243 4,2927 3,8714 3,4055 2,9658 2,6318 2,4491 2,4032 2,4222 2,4120 2,3141 2,1313 1,8957 1,6386 1,3961 1,2141 1,1258 1,1316 1,2109 1,3391 1,4810 1,5901 1,6271 1,5757 1,4482 1,2898 1,1722 1,1630 1,2862 1,5017 1,7261 1,8840 1,9383 1,8797 1,7124 1,4592 1,1658 0,8875 0,6698 0,5366 0,4847 0,4845 0,4913 0,4588 0,3629 0,2308 0,1340 0,1368 0,2387 0,3576 0,3802 0,2392 -0,0586 -0,4647 -0,9254 -1,3905 -1,8145 -2,1746 -2,4730 -2,7079 -2,8538 -2,8910 -2,8456 -2,7817 -2,7568 -2,8000 -2,9255 -3,1412 -3,4406 -3,8010 -4,1874 -4,5529 -4,8521 -5,0752 -5,2590 -5,4578 -5,7077 -6,0090 -6,3341 -6,6490 -6,9257 -7,1335 -7,2256 -7,1485 -6,8643 -6,3688 -5,6939 -4,8977 -4,0461 -3,2002 -2,4172 -1,7582 -1,2774 -0,9811 -0,7946 -0,5943 -0,2996 0,0723 0,4486 0,7744 1,0343 1,2342 1,3887 1,5134 1,6212 1,7239 1,8297 1,9361 2,0330 2,1145 2,1867 2,2612 2,3428 2,4258 2,4925 2,5223 2,5148 2,4967 2,4902 2,4784 2,4046 2,1967 1,8059 1,2409 0,5717 -0,1017 -0,6925 -1,1505 -1,4571 -1,6132 -1,6463 -1,6213 -1,6205 -1,7001 -1,8595 -2,0531 -2,2319 -2,3690 -2,4573 -2,5102 -2,5719 -2,7082 -2,9697 -3,3601 -3,8341 -4,3158 -4,7166 -4,9576 -5,0031 -4,8893 -4,7084 -4,5468 -4,4442 -4,4030 -4,4122 -4,4626 -4,5621 -4,7282 -4,9553 -5,2040 -5,4362 -5,6478 -5,8605 -6,0807 -6,2633 -6,3211 -6,1864 -5,8619 -5,4070 -4,8952 -4,3959 -3,9662 -3,6311 -3,3794 -3,1841 -3,0236 -2,8950 -2,8146
F3    1,4655 1,5038 1,5813 1,5766 1,3713 0,9227 0,3103 -0,3059 -0,7872 -1,0718 -1,1532 -1,0590 -0,8523 -0,6132 -0,4002 -0,2323 -0,1073 -0,0231 0,0374 0,1133 0,2251 0,3420 0,4110 0,3991 0,2950 0,1010 -0,1564 -0,4308 -0,6788 -0,8715 -0,9887 -1,0181 -0,9666 -0,8631 -0,7470 -0,6562 -0,6126 -0,6011 -0,5701 -0,4684 -0,2866 -0,0534 0,1976 0,4378 0,6382 0,7807 0,8693 0,9272 0,9878 1,0811 1,2070 1,3195 1,3532 1,2707 1,0880 0,8670 0,6870 0,6116 0,6672 0,8414 1,0974 1,3938 1,6940 1,9674 2,1974 2,3909 2,5606 2,6936 2,7466 2,6778 2,4832 2,2093 1,9302 1,7004 1,5217 1,3561 1,1762 0,9980 0,8552 0,7610 0,7226 0,7790 0,9808 1,3306 1,7695 2,2158 2,5978 2,8629 2,9886 2,9859 2,8771 2,6734 2,3924 2,0817 1,8079 1,6206 1,5339 1,5342 1,5942 1,6839 1,7850 1,8916 1,9853 2,0193 1,9426 1,7462 1,4937 1,2999 1,2570 1,3737 1,5812 1,7701 1,8326 1,7078 1,3919 0,9091 0,3088 -0,3252 -0,9091 -1,4075 -1,8241 -2,1666 -2,4335 -2,6046 -2,6381 -2,5021 -2,2129 -1,8319 -1,4379 -1,1012 -0,8692 -0,7603 -0,7588 -0,8079 -0,8276 -0,7654 -0,6256 -0,4373 -0,2032 0,1119 0,5503 1,1188 1,7616 2,3775 2,8815 3,2585 3,5775 3,9652 4,5459 5,3781 6,4263 7,5724 8,6554 9,5163 10,0472 10,2468 10,2348 10,1835 10,2168 10,3612 10,5749 10,8122 11,0535 11,2802 11,4445 11,4971 11,4544 11,4155 11,4890 11,7126 12,0404 12,3797 12,6323 12,7332 12,6707 12,4717 12,1754 11,8181 11,4164 10,9543 10,4081 9,7890 9,1487 8,5531 8,0610 7,7126 7,5198 7,4686 7,5420 7,7311 8,0182 8,3647 8,7156 8,9970 9,1257 9,0534 8,7950 8,4017 7,9295 7,4557 7,0891 6,9152 6,9262 7,0227 7,0927 7,0831 7,0045 6,8918 6,7793 6,6960 6,6496 6,6095 6,5225 6,3576 6,1314 5,8885 5,6673 5,4979 5,4178 5,4573 5,6017 5,7889 5,9537 6,0601 6,0872 6,0042 5,7889 5,4690 5,1405 4,9410 4,9806 5,2632 5,6597 5,9762 6,0806 5,9756 5,7532 5,5058 5,2922 5,1490 5,0935 5,1139 5,1762 5,2425 5,2831 5,2826 5,2423 5,1852 5,1623 5,2381 5,4439 5,7510 6,1020 6,4498 6,7586 6,9986 7,1638 7,2739 7,3424 7,3684 7,3705 7,3883 7,4355 7,4843 7,5005 7,4585 7,3230 7,0608 6,6893 6,2901 5,9719 5,8230 5,8733 6,0657 6,2673 6,3501 6,2793 6,1158 5,9416 5,7989 5,6915 5,6045 5,5039 5,3468 5,1230 4,8802 4,6987 4,6505 4,7775 5,0816 5,5241 6,0317 6,5072 6,8637 7,0733 7,1684 7,1977 7,2111 7,2565 7,3544 7,4757 7,5603 7,5658 7,4928 7,3649 7,2141 7,0943 7,0661 7,1539 7,3420 7,6091 7,9317 8,2659 8,5550 8,7586 8,8749 8,9535 9,0754 9,2942 9,5930 9,8996 10,1312 10,2287 10,1684 9,9538 9,6061 9,1720 8,7256 8,3424 8,0729 7,9373 7,9293 8,0194 8,1532 8,2577 8,2792 8,2232 8,1478 8,1169 8,1591 8,2667 8,4220 8,6109 8,8106 8,9833 9,0963 9,1417 9,1245 9,0457 8,9197 8,7829 8,6583 8,5341 8,3886 8,2168 8,0258 7,8261 7,6425 7,5252 7,5264 7,6615 7,8955 8,1662 8,4257 8,6556 8,8375 8,9293 8,8992 8,7609 8,5517 8,2919 7,9846 7,6408 7,2806 6,9157 6,5487 6,1805 5,8222 5,5078 5,2936 5,2384 5,3616 5,6158 5,9148 6,1774 6,3370 6,3481 6,2148 5,9983 5,7768 5,5970 5,4547 5,3072 5,1172 4,8985 4,7079 4,5867 4,5124 4,4114 4,2239 3,9561 3,6753 3,4654 3,3761 3,3911 3,4493 3,5120 3,6012 3,7670 4,0337 4,3863 4,7837 5,1664 5,4725 5,6696 5,7738 5,8350 5,8967 5,9649 6,0096 5,9897 5,8712 5,6326 5,2715 4,8049 4,2710 3,7408 3,3043 3,0221 2,8871 2,8207 2,7187 2,5309 2,2849 2,0267 1,7758 1,5490 1,3843 1,3158 1,3400 1,4315 1,5719 1,7469 1,9296 2,0791 2,1511 2,1180 1,9996 1,8746 1,8437 1,9593 2,1831 2,4178 2,5803 2,6384 2,5920 2,4490 2,2252 1,9554 1,6898 1,4772 1,3516 1,3209 1,3627 1,4336 1,4777 1,4524 1,3735 1,3212 1,3785 1,5473 1,7213 1,7566 1,5761 1,2018 0,7070 0,1647 -0,3604 -0,8131 -1,1656 -1,4210 -1,5766 -1,6053 -1,5016 -1,3312 -1,2020 -1,1905 -1,3107 -1,5410 -1,8551 -2,2268 -2,6256 -3,0152 -3,3511 -3,5958 -3,7556 -3,8946 -4,0984 -4,4138 -4,8177 -5,2409 -5,6196 -5,9221 -6,1303 -6,2131 -6,1278 -5,8420 -5,3523 -4,6877 -3,8989 -3,0424 -2,1708 -1,3428 -0,6403 -0,1485 0,1107 0,2294 0,3690 0,6348 1,0013 1,3687 1,6615 1,8558 1,9551 1,9784 1,9562 1,9226 1,9070 1,9286 1,9898 2,0799 2,1918 2,3343 2,5167 2,7258 2,9252 3,0666 3,1067 3,0421 2,9243 2,8145 2,7257 2,6100 2,3873 1,9939 1,4285 0,7608 0,0976 -0,4634 -0,8628 -1,0801 -1,1213 -1,0261 -0,8810 -0,7932 -0,8329 -0,9973 -1,2299 -1,4693 -1,6736 -1,8189 -1,9073 -1,9883 -2,1504 -2,4697 -2,9569 -3,5493 -4,1391 -4,6077 -4,8568 -4,8505 -4,6476 -4,3713 -4,1298 -3,9712 -3,9000 -3,9013 -3,9540 -4,0478 -4,1843 -4,3494 -4,5072 -4,6381 -4,7718 -4,9667 -5,2445 -5,5389 -5,7156 -5,6602 -5,3490 -4,8381 -4,2148 -3,5756 -3,0140 -2,5897 -2,3111 -2,1525 -2,0814 -2,0762 -2,1268
F7    1,8893 1,9339 2,0289 2,0887 2,0308 1,8216 1,5063 1,1773 0,8988 0,6782 0,5021 0,3597 0,2322 0,0992 -0,0407 -0,1660 -0,2468 -0,2563 -0,1710 0,0173 0,2739 0,5159 0,6598 0,6716 0,5669 0,3815 0,1536 -0,0816 -0,2974 -0,4788 -0,6176 -0,7084 -0,7596 -0,7986 -0,8588 -0,9671 -1,1270 -1,2922 -1,3758 -1,3138 -1,1221 -0,8834 -0,6867 -0,5857 -0,5957 -0,7016 -0,8696 -1,0545 -1,1964 -1,2341 -1,1458 -0,9708 -0,7795 -0,6320 -0,5569 -0,5432 -0,5452 -0,5056 -0,3881 -0,1961 0,0379 0,2785 0,4905 0,6302 0,6627 0,5929 0,4612 0,3082 0,1530 0,0039 -0,1255 -0,2142 -0,2487 -0,2373 -0,2155 -0,2356 -0,3311 -0,4883 -0,6715 -0,8635 -1,0503 -1,1832 -1,1990 -1,0840 -0,8926 -0,7037 -0,5777 -0,5415 -0,5851 -0,6748 -0,7844 -0,9106 -1,0562 -1,2089 -1,3334 -1,3835 -1,3304 -1,1844 -0,9889 -0,8013 -0,6757 -0,6465 -0,7178 -0,8731 -1,0896 -1,3337 -1,5527 -1,6904 -1,7241 -1,6803 -1,6161 -1,5986 -1,6900 -1,9206 -2,2855 -2,7689 -3,3428 -3,9560 -4,5640 -5,1550 -5,7226 -6,2378 -6,6618 -6,9564 -7,0823 -7,0270 -6,8310 -6,5674 -6,3036 -6,0821 -5,9173 -5,7964 -5,6800 -5,5042 -5,2030 -4,7548 -4,2068 -3,6320 -3,0696 -2,5128 -1,9320 -1,3106 -0,6783 -0,1060 0,3382 0,6281 0,8072 0,9941 1,3411 1,9571 2,8449 3,8924 4,9223 5,7565 6,2679 6,4207 6,2816 5,9850 5,6765 5,4713 5,4414 5,6178 5,9839 6,4618 6,9285 7,2848 7,5267 7,7356 7,9870 8,2787 8,5446 8,7055 8,7053 8,5338 8,2284 7,8454 7,4380 7,0469 6,6809 6,3076 5,8878 5,4208 4,9527 4,5511 4,2764 4,1654 4,2200 4,4117 4,7032 5,0587 5,4244 5,7252 5,8928 5,8798 5,6611 5,2545 4,7276 4,1542 3,5776 3,0401 2,6218 2,4033 2,3888 2,4897 2,5895 2,6194 2,5810 2,5138 2,4516 2,4033 2,3485 2,2404 2,0361 1,7415 1,4129 1,1153 0,8959 0,7933 0,8367 1,0178 1,2698 1,4897 1,5884 1,5246 1,2994 0,9411 0,5037 0,0756 -0,2239 -0,2748 -0,0112 0,5254 1,1793 1,7461 2,0699 2,0949 1,8554 1,4484 1,0101 0,6804 0,5495 0,6245 0,8402 1,0944 1,2882 1,3607 1,3021 1,1540 1,0069 0,9718 1,1167 1,4303 1,8556 2,3431 2,8585 3,3651 3,8316 4,2399 4,5542 4,7138 4,6865 4,4975 4,1917 3,8049 3,3746 2,9370 2,5055 2,0816 1,6929 1,4024 1,2833 1,3836 1,6892 2,1045 2,4786 2,6892 2,7218 2,6571 2,5841 2,5384 2,5122 2,4846 2,4260 2,3044 2,1167 1,9108 1,7744 1,8029 2,0556 2,5259 3,1546 3,8585 4,5395 5,1031 5,5020 5,7470 5,8806 5,9645 6,0646 6,2126 6,3820 6,5100 6,5510 6,5149 6,4555 6,4393 6,5206 6,7080 6,9485 7,1786 7,3866 7,5997 7,8294 8,0587 8,2647 8,4293 8,5534 8,6714 8,8243 9,0092 9,1703 9,2291 9,1172 8,8075 8,3298 7,7620 7,2082 6,7721 6,5238 6,4811 6,6116 6,8344 7,0357 7,1004 6,9448 6,5568 6,0241 5,5020 5,1279 4,9561 4,9645 5,0963 5,2860 5,4793 5,6549 5,8287 6,0303 6,2694 6,5208 6,7525 6,9627 7,1600 7,3221 7,3967 7,3389 7,1463 6,8653 6,5761 6,3730 6,3353 6,4915 6,7959 7,1458 7,4382 7,6126 7,6446 7,5359 7,3299 7,1065 6,9291 6,7975 6,6622 6,4778 6,2365 5,9636 5,6958 5,4620 5,2841 5,1895 5,2145 5,3990 5,7616 6,2665 6,8268 7,3352 7,6861 7,8040 7,6843 7,4040 7,0756 6,7789 6,5258 6,2684 5,9496 5,5670 5,1861 4,8858 4,6963 4,5757 4,4422 4,2355 3,9503 3,6285 3,3314 3,0999 2,9354 2,8293 2,8016 2,8981 3,1577 3,5850 4,1317 4,6946 5,1518 5,4165 5,4672 5,3515 5,1643 5,0047 4,9325 4,9488 5,0082 5,0469 4,9970 4,7969 4,4239 3,9284 3,4101 2,9585 2,6235 2,4131 2,2924 2,2083 2,1248 2,0290 1,9291 1,8581 1,8587 1,9513 2,1236 2,3502 2,6018 2,8252 2,9441 2,8973 2,6702 2,3031 1,8946 1,5792 1,4677 1,5862 1,8603 2,1654 2,4021 2,5265 2,5263 2,4031 2,1805 1,9043 1,6272 1,3954 1,2371 1,1483 1,0959 1,0408 0,9498 0,8062 0,6370 0,5178 0,5205 0,6378 0,7613 0,7558 0,5581 0,1990 -0,2473 -0,7090 -1,1154 -1,3946 -1,5065 -1,4715 -1,3479 -1,1912 -1,0490 -0,9765 -1,0204 -1,1866 -1,4439 -1,7614 -2,1286 -2,5470 -3,0138 -3,5048 -3,9734 -4,3862 -4,7645 -5,1731 -5,6613 -6,2210 -6,7959 -7,3216 -7,7597 -8,1037 -8,3523 -8,4835 -8,4638 -8,2759 -7,9248 -7,4218 -6,7738 -5,9905 -5,0982 -4,1526 -3,2457 -2,4815 -1,9106 -1,4746 -1,0373 -0,5021 0,1070 0,6845 1,1364 1,4228 1,5499 1,5617 1,5268 1,5090 1,5449 1,6399 1,7750 1,9220 2,0595 2,1819 2,2974 2,4206 2,5623 2,7127 2,8454 2,9500 3,0441 3,1350 3,1828 3,1067 2,8192 2,2754 1,5152 0,6566 -0,1604 -0,8315 -1,3052 -1,5656 -1,6157 -1,4896 -1,2743 -1,0941 -1,0510 -1,1724 -1,4106 -1,6905 -1,9491 -2,1407 -2,2517 -2,3317 -2,4879 -2,8222 -3,3579 -4,0216 -4,6854 -5,2174 -5,5185 -5,5621 -5,4194 -5,2160 -5,0501 -4,9495 -4,8868 -4,8124 -4,6873 -4,5149 -4,3388 -4,2035 -4,1285 -4,1243 -4,2180 -4,4436 -4,8006 -5,2120 -5,5260 -5,5905 -5,3453 -4,8391 -4,1772 -3,4694 -2,8039 -2,2395 -1,8056 -1,5052 -1,3225 -1,2436 -1,2716
