Fp1   1,9856 2,1148 2,0035 1,6864 1,2466 0,7793 0,3645 0,0468 -0,1767 -0,3513 -0,5357 -0,7690 -1,0592 -1,3951 -1,7600 -2,1338 -2,4896 -2,7927 -3,0057 -3,0988 -3,0637 -2,9190 -2,7016 -2,4537 -2,2096 -1,9858 -1,7805 -1,5799 -1,3624 -1,1038 -0,7922 -0,4337 -0,0390 0,3832 0,8146 1,2208 1,5622 1,8138 1,9789 2,0813 2,1460 2,1929 2,2364 2,2791 2,3074 2,3012 2,2514 2,1670 2,0661 1,9627 1,8594 1,7464 1,6111 1,4483 1,2609 1,0595 0,8657 0,7082 0,6105 0,5785 0,6035 0,6728 0,7784 0,9175 1,0854 1,2697 1,4538 1,6250 1,7759 1,9015 1,9925 2,0325 2,0065 1,9160 1,7842 1,6474 1,5358 1,4594 1,4148 1,4033 1,4373 1,5353 1,7089 1,9514 2,2328 2,5156 2,7789 3,0320 3,3082 3,6373 4,0128 4,3834 4,6815 4,8568 4,8817 4,7417 4,4348 3,9776 3,4085 2,7865 2,1831 1,6584 1,2408 0,9262 0,6898 0,5056 0,3638 0,2717 0,2378 0,2634 0,3454 0,4693 0,5979 0,6834 0,6893 0,5986 0,4160 0,1634 -0,1313 -0,4450 -0,7683 -1,1118 -1,4901 -1,8926 -2,2735 -2,5674 -2,7109 -2,6622 -2,4158 -2,0096 -1,5183 -1,0307 -0,6223 -0,3360 -0,1766 -0,1160 -0,1052 -0,0937 -0,0521 0,0149 0,0752 0,0901 0,0325 -0,0969 -0,2629 -0,4128 -0,5077 -0,5393 -0,5260 -0,4994 -0,4886 -0,4984 -0,4947 -0,4254 -0,2571 0,0148 0,3847 0,8458 1,3808 1,9545 2,5256 3,0663 3,5663 4,0244 4,4393 4,8051 5,1172 5,3819 5,6169 5,8430 6,0735 6,2983 6,4810 6,5812 6,5870 6,5205 6,4158 6,2937 6,1524 5,9719 5,7222 5,3781 4,9412 4,4493 3,9623 3,5415 3,2309 3,0360 2,9153 2,7967 2,6094 2,3190 1,9370 1,5008 1,0516 0,6307 0,2828 0,0433 -0,0860 -0,1408 -0,1743 -0,2329 -0,3416 -0,5011 -0,6991 -0,9228 -1,1597 -1,3909 -1,5895 -1,7288 -1,7935 -1,7837 -1,7127 -1,6025 -1,4749 -1,3413 -1,2089 -1,0937 -1,0182 -0,9958 -1,0206 -1,0673 -1,1074 -1,1292 -1,1376 -1,1365 -1,1244 -1,1041 -1,0821 -1,0583 -1,0285 -0,9949 -0,9655 -0,9464 -0,9397 -0,9463 -0,9671 -1,0029 -1,0562 -1,1316 -1,2311 -1,3488 -1,4688 -1,5665 -1,6201 -1,6283 -1,6150 -1,6102 -1,6266 -1,6596 -1,7111 -1,8062 -1,9766 -2,2212 -2,4877 -2,6903 -2,7487 -2,6225 -2,3289 -1,9407 -1,5642 -1,2965 -1,1900 -1,2437 -1,4129 -1,6287 -1,8296 -1,9830 -2,0748 -2,0911 -2,0254 -1,9007 -1,7700 -1,6940 -1,7215 -1,8839 -2,1934 -2,6352 -3,1628 -3,7084 -4,2048 -4,6068 -4,8991 -5,0877 -5,1920 -5,2392 -5,2511 -5,2354 -5,1962 -5,1441 -5,0943 -5,0598 -5,0445 -5,0395 -5,0343 -5,0315 -5,0435 -5,0750 -5,1156 -5,1462 -5,1449 -5,0850 -4,9362 -4,6801 -4,3310 -3,9379 -3,5630 -3,2545 -3,0318 -2,8806 -2,7538 -2,5876 -2,3368 -1,9971 -1,5966 -1,1741 -0,7650 -0,4001 -0,1094 0,0846 0,1781 0,1866 0,1366 0,0583 -0,0173 -0,0581 -0,0379 0,0498 0,1844 0,3274 0,4390 0,4957 0,5032 0,5020 0,5504 0,6911 0,9272 1,2261 1,5411 1,8332 2,0817 2,2839 2,4571 2,6358 2,8547 3,1314 3,4667 3,8505 4,2594 4,6540 4,9885 5,2313 5,3785 5,4482 5,4651 5,4517 5,4313 5,4295 5,4659 5,5398 5,6226 5,6705 5,6477 5,5385 5,3504 5,1129 4,8607 4,6145 4,3812 4,1666 3,9855 3,8604 3,8026 3,7861 3,7514 3,6465 3,4646 3,2423 3,0275 2,8575 2,7610 2,7613 2,8589 3,0147 3,1682 3,2709 3,2969 3,2417 3,1315 3,0295 3,0110 3,1202 3,3501 3,6555 3,9817 4,2952 4,6007 4,9289 5,3020 5,7098 6,1154 6,4708 6,7299 6,8655 6,8856 6,8311 6,7488 6,6670 6,5917 6,5213 6,4519 6,3701 6,2459 6,0466 5,7623 5,4149 5,0454 4,6958 4,3995 4,1827 4,0632 4,0450 4,1146 4,2410 4,3822 4,4976 4,5619 4,5723 4,5502 4,5300 4,5408 4,6000 4,7233 4,9296 5,2260 5,5968 6,0132 6,4487 6,8842 7,3074 7,7109 8,0798 8,3876 8,6116 8,7458 8,7921 8,7499 8,6219 8,4283 8,2087 8,0128 7,8863 7,8577 7,9271 8,0653 8,2195 8,3244 8,3269 8,2113 7,9975 7,7136 7,3800 7,0145 6,6380 6,2678 5,9130 5,5777 5,2687 5,0045 4,8144 4,7267 4,7561 4,8921 5,0913 5,2842 5,4018 5,4073 5,3066 5,1323 4,9207 4,7004 4,4847 4,2663 4,0283 3,7682 3,5062 3,2697 3,0696 2,8909 2,7038 2,4805 2,2019 1,8591 1,4557 1,0094 0,5470 0,0954 -0,3195 -0,6667 -0,9120 -1,0336 -1,0301 -0,9099 -0,6786 -0,3475 0,0499 0,4585 0,8233 1,1079 1,2960 1,3872 1,3949 1,3393 1,2353 1,0895 0,9115 0,7251 0,5534 0,3923 0,2095 -0,0332 -0,3575 -0,7602 -1,2153 -1,6782 -2,0924 -2,4050 -2,5873 -2,6438 -2,6045 -2,5088 -2,3852 -2,2331 -2,0251 -1,7259 -1,3114 -0,7831 -0,1730 0,4763 1,1419 1,8201 2,4955 3,1290 3,6739 4,0828 4,3014 4,2837 4,0343 3,6318 3,1995 2,8415 2,5954 2,4363 2,3089 2,1560 1,9398 1,6549 1,3234 0,9838 0,6746 0,4106 0,1748 -0,0572 -0,2904 -0,5145 -0,7245 -0,9296 -1,1460 -1,3889 -1,6677 -1,9803 -2,3065 -2,6080 -2,8389 -2,9612 -2,9596 -2,8484 -2,6735 -2,5064 -2,4254 -2,4830 -2,6786 -2,9597 -3,2519 -3,4926 -3,6467 -3,7103 -3,7052 -3,6696 -3,6452 -3,6570 -3,7001 -3,7464 -3,7537 -3,6720 -3,4635 -3,1284 -2,7054 -2,2492 -1,8098
Fz    1,8297 1,9682 1,9177 1,7157 1,4355 1,1523 0,9199 0,7565 0,6356 0,4955 0,2718 -0,0699 -0,5236 -1,0562 -1,6268 -2,1954 -2,7204 -3,1561 -3,4626 -3,6230 -3,6548 -3,6002 -3,4996 -3,3715 -3,2138 -3,0148 -2,7630 -2,4495 -2,0683 -1,6199 -1,1202 -0,5980 -0,0788 0,4215 0,8898 1,3108 1,6698 1,9625 2,2037 2,4191 2,6228 2,8058 2,9396 2,9891 2,9311 2,7666 2,5218 2,2395 1,9648 1,7296 1,5417 1,3876 1,2473 1,1084 0,9668 0,8284 0,7126 0,6473 0,6519 0,7242 0,8462 0,9992 1,1703 1,3480 1,5182 1,6648 1,7753 1,8466 1,8801 1,8764 1,8404 1,7918 1,7601 1,7646 1,8037 1,8639 1,9343 2,0116 2,0994 2,2082 2,3543 2,5523 2,8040 3,0927 3,3892 3,6679 3,9200 4,1524 4,3806 4,6135 4,8380 5,0161 5,1029 5,0666 4,8971 4,6016 4,1988 3,7164 3,1929 2,6759 2,2115 1,8263 1,5222 1,2895 1,1223 1,0253 1,0102 1,0849 1,2426 1,4648 1,7329 2,0205 2,2796 2,4549 2,5076 2,4251 2,2205 1,9279 1,5900 1,2466 0,9214 0,6140 0,3119 0,0148 -0,2533 -0,4491 -0,5221 -0,4330 -0,1762 0,2074 0,6450 1,0646 1,4172 1,6797 1,8500 1,9407 1,9717 1,9663 1,9490 1,9403 1,9492 1,9688 1,9798 1,9644 1,9221 1,8708 1,8292 1,7995 1,7662 1,7081 1,6070 1,4599 1,2907 1,1458 1,0725 1,1062 1,2727 1,5877 2,0499 2,6334 3,2908 3,9676 4,6186 5,2204 5,7714 6,2817 6,7617 7,2187 7,6540 8,0616 8,4290 8,7354 8,9526 9,0563 9,0412 8,9214 8,7190 8,4562 8,1531 7,8248 7,4744 7,0932 6,6761 6,2368 5,8082 5,4325 5,1445 4,9557 4,8473 4,7730 4,6736 4,5015 4,2361 3,8825 3,4675 3,0409 2,6647 2,3839 2,2014 2,0822 1,9809 1,8678 1,7382 1,6038 1,4735 1,3444 1,2126 1,0879 0,9890 0,9284 0,9053 0,9105 0,9349 0,9730 1,0260 1,1021 1,2045 1,3181 1,4149 1,4726 1,4883 1,4794 1,4645 1,4463 1,4196 1,3897 1,3690 1,3622 1,3684 1,3940 1,4492 1,5314 1,6237 1,7045 1,7568 1,7719 1,7490 1,6951 1,6225 1,5424 1,4586 1,3661 1,2557 1,1243 0,9836 0,8545 0,7509 0,6737 0,6219 0,5998 0,6017 0,5986 0,5544 0,4597 0,3428 0,2504 0,2219 0,2741 0,3995 0,5673 0,7271 0,8277 0,8408 0,7694 0,6393 0,4869 0,3425 0,2194 0,1224 0,0587 0,0310 0,0257 0,0167 -0,0220 -0,1112 -0,2691 -0,5088 -0,8296 -1,2129 -1,6290 -2,0469 -2,4409 -2,7927 -3,0914 -3,3359 -3,5350 -3,6971 -3,8234 -3,9158 -3,9853 -4,0457 -4,1040 -4,1574 -4,2010 -4,2372 -4,2760 -4,3267 -4,3906 -4,4588 -4,5137 -4,5326 -4,4876 -4,3488 -4,0999 -3,7559 -3,3650 -2,9884 -2,6745 -2,4457 -2,2973 -2,1959 -2,0911 -1,9408 -1,7238 -1,4361 -1,0890 -0,7083 -0,3260 0,0262 0,3229 0,5506 0,7101 0,8109 0,8658 0,8927 0,9163 0,9589 1,0264 1,1059 1,1758 1,2199 1,2375 1,2508 1,3041 1,4472 1,7083 2,0789 2,5217 2,9904 3,4457 3,8576 4,2038 4,4775 4,6923 4,8737 5,0419 5,2064 5,3716 5,5365 5,6876 5,8000 5,8553 5,8587 5,8371 5,8208 5,8333 5,8945 6,0213 6,2170 6,4595 6,7003 6,8852 6,9787 6,9710 6,8728 6,7058 6,4919 6,2477 5,9893 5,7341 5,4992 5,3003 5,1387 4,9871 4,8036 4,5692 4,3075 4,0669 3,8884 3,7875 3,7607 3,7969 3,8747 3,9613 4,0260 4,0521 4,0320 3,9663 3,8791 3,8224 3,8522 3,9989 4,2604 4,6113 5,0160 5,4441 5,8824 6,3345 6,8001 7,2547 7,6515 7,9436 8,1069 8,1524 8,1241 8,0782 8,0560 8,0676 8,1005 8,1355 8,1516 8,1203 8,0042 7,7731 7,4317 7,0285 6,6314 6,2934 6,0364 5,8634 5,7721 5,7572 5,8057 5,8957 6,0002 6,0962 6,1682 6,2113 6,2349 6,2607 6,3133 6,4181 6,6044 6,8942 7,2838 7,7456 8,2484 8,7722 9,3058 9,8356 10,3409 10,7962 11,1749 11,4565 11,6312 11,6978 11,6617 11,5383 11,3526 11,1355 10,9218 10,7469 10,6347 10,5878 10,5893 10,6079 10,5995 10,5223 10,3552 10,0983 9,7571 9,3377 8,8544 8,3332 7,8066 7,3079 6,8664 6,5039 6,2365 6,0754 6,0238 6,0753 6,2119 6,4008 6,5979 6,7610 6,8681 6,9228 6,9411 6,9309 6,8867 6,7989 6,6604 6,4703 6,2443 6,0203 5,8400 5,7187 5,6317 5,5329 5,3795 5,1405 4,7948 4,3310 3,7537 3,0873 2,3729 1,6666 1,0356 0,5420 0,2196 0,0637 0,0461 0,1365 0,3052 0,5173 0,7370 0,9408 1,1184 1,2612 1,3561 1,3944 1,3808 1,3322 1,2714 1,2263 1,2236 1,2711 1,3428 1,3845 1,3370 1,1591 0,8413 0,4073 -0,0914 -0,5865 -1,0086 -1,3068 -1,4611 -1,4791 -1,3838 -1,1988 -0,9332 -0,5782 -0,1178 0,4564 1,1328 1,8759 2,6419 3,4023 4,1424 4,8365 5,4428 5,9211 6,2450 6,3988 6,3792 6,2105 5,9517 5,6766 5,4336 5,2199 4,9905 4,6904 4,2882 3,7939 3,2500 2,7050 2,1970 1,7486 1,3605 1,0150 0,6956 0,4029 0,1487 -0,0574 -0,2137 -0,3306 -0,4340 -0,5609 -0,7452 -0,9999 -1,3053 -1,6150 -1,8767 -2,0538 -2,1379 -2,1488 -2,1298 -2,1368 -2,2160 -2,3821 -2,6136 -2,8660 -3,0893 -3,2402 -3,2972 -3,2727 -3,2082 -3,1510 -3,1269 -3,1266 -3,1122 -3,0343 -2,8497 -2,5405 -2,1254 -1,6501 -1,1667 -0,7220
F3    1,4907 1,5498 1,4339 1,1938 0,9155 0,6786 0,5359 0,5031 0,5498 0,6080 0,6020 0,4788 0,2189 -0,1688 -0,6559 -1,1991 -1,7426 -2,2269 -2,6032 -2,8465 -2,9622 -2,9777 -2,9268 -2,8354 -2,7157 -2,5697 -2,3962 -2,1953 -1,9611 -1,6775 -1,3298 -0,9199 -0,4637 0,0181 0,4969 0,9319 1,2827 1,5300 1,6879 1,7961 1,8969 2,0144 2,1424 2,2493 2,3000 2,2781 2,1923 2,0674 1,9303 1,8007 1,6866 1,5857 1,4940 1,4073 1,3183 1,2245 1,1421 1,1053 1,1447 1,2654 1,4434 1,6378 1,8093 1,9357 2,0149 2,0583 2,0836 2,1083 2,1387 2,1632 2,1604 2,1160 2,0329 1,9283 1,8250 1,7437 1,6989 1,6962 1,7337 1,8129 1,9440 2,1421 2,4152 2,7535 3,1307 3,5169 3,8909 4,2471 4,5938 4,9366 5,2560 5,5071 5,6456 5,6467 5,5026 5,2145 4,7922 4,2575 3,6492 3,0245 2,4463 1,9605 1,5854 1,3202 1,1590 1,0957 1,1204 1,2155 1,3561 1,5214 1,7038 1,8949 2,0703 2,1959 2,2424 2,1927 2,0488 1,8350 1,5859 1,3273 1,0626 0,7712 0,4286 0,0342 -0,3748 -0,7296 -0,9517 -0,9837 -0,8117 -0,4707 -0,0305 0,4311 0,8488 1,1811 1,4145 1,5611 1,6486 1,7124 1,7834 1,8695 1,9538 2,0084 2,0064 1,9349 1,8054 1,6448 1,4746 1,2985 1,1103 0,9094 0,7111 0,5451 0,4494 0,4578 0,5839 0,8210 1,1563 1,5775 2,0678 2,6013 3,1505 3,6961 4,2293 4,7483 5,2513 5,7257 6,1493 6,5043 6,7898 7,0208 7,2181 7,3945 7,5450 7,6535 7,7081 7,7062 7,6513 7,5510 7,4138 7,2395 7,0147 6,7222 6,3602 5,9524 5,5386 5,1597 4,8479 4,6161 4,4502 4,3116 4,1546 3,9459 3,6708 3,3274 2,9278 2,5077 2,1211 1,8084 1,5708 1,3773 1,1925 0,9987 0,8043 0,6299 0,4846 0,3573 0,2315 0,1042 -0,0106 -0,0878 -0,1013 -0,0396 0,0878 0,2568 0,4429 0,6286 0,7980 0,9310 1,0113 1,0366 1,0167 0,9668 0,8973 0,8082 0,6970 0,5710 0,4428 0,3173 0,1976 0,0979 0,0359 0,0123 0,0109 0,0134 0,0081 -0,0086 -0,0318 -0,0511 -0,0609 -0,0654 -0,0741 -0,0949 -0,1272 -0,1551 -0,1529 -0,1075 -0,0323 0,0428 0,0962 0,1224 0,1170 0,0622 -0,0608 -0,2486 -0,4671 -0,6640 -0,7886 -0,8113 -0,7337 -0,5885 -0,4294 -0,3099 -0,2651 -0,3087 -0,4333 -0,6109 -0,8036 -0,9772 -1,1062 -1,1747 -1,1795 -1,1323 -1,0579 -0,9904 -0,9694 -1,0342 -1,2151 -1,5188 -1,9213 -2,3775 -2,8406 -3,2743 -3,6514 -3,9502 -4,1619 -4,2968 -4,3756 -4,4138 -4,4224 -4,4129 -4,3948 -4,3697 -4,3330 -4,2826 -4,2314 -4,2068 -4,2346 -4,3251 -4,4689 -4,6358 -4,7779 -4,8395 -4,7729 -4,5585 -4,2205 -3,8239 -3,4506 -3,1654 -2,9926 -2,9131 -2,8720 -2,7996 -2,6415 -2,3759 -2,0126 -1,5836 -1,1305 -0,6951 -0,3156 -0,0212 0,1772 0,2880 0,3309 0,3289 0,3078 0,2958 0,3148 0,3697 0,4489 0,5336 0,6055 0,6518 0,6736 0,6954 0,7578 0,8914 1,0946 1,3424 1,6091 1,8820 2,1549 2,4218 2,6842 2,9617 3,2804 3,6537 4,0766 4,5328 4,9962 5,4291 5,7863 6,0321 6,1580 6,1844 6,1480 6,0887 6,0446 6,0479 6,1165 6,2424 6,3883 6,5063 6,5624 6,5387 6,4256 6,2234 5,9450 5,6168 5,2762 4,9634 4,7134 4,5515 4,4782 4,4534 4,4135 4,3159 4,1644 3,9984 3,8635 3,7913 3,8040 3,9176 4,1196 4,3519 4,5357 4,6113 4,5528 4,3681 4,1024 3,8351 3,6526 3,6148 3,7403 4,0099 4,3776 4,7913 5,2159 5,6400 6,0608 6,4678 6,8376 7,1400 7,3522 7,4718 7,5202 7,5358 7,5543 7,5895 7,6310 7,6555 7,6363 7,5454 7,3555 7,0517 6,6494 6,1936 5,7368 5,3161 4,9515 4,6612 4,4678 4,3884 4,4221 4,5457 4,7190 4,9006 5,0618 5,1940 5,3070 5,4185 5,5417 5,6868 5,8711 6,1149 6,4217 6,7736 7,1468 7,5248 7,8928 8,2311 8,5228 8,7604 8,9396 9,0565 9,1115 9,1061 9,0406 8,9235 8,7797 8,6417 8,5385 8,4941 8,5227 8,6180 8,7536 8,8915 8,9857 8,9933 8,8936 8,6937 8,4164 8,0843 7,7129 7,3096 6,8776 6,4286 5,9910 5,6047 5,3112 5,1430 5,1166 5,2277 5,4485 5,7247 5,9831 6,1578 6,2205 6,1895 6,1067 6,0053 5,8980 5,7806 5,6393 5,4587 5,2360 4,9884 4,7441 4,5194 4,3064 4,0845 3,8378 3,5571 3,2337 2,8583 2,4275 1,9481 1,4393 0,9361 0,4911 0,1642 -0,0023 -0,0016 0,1448 0,4058 0,7414 1,0968 1,4139 1,6523 1,7998 1,8641 1,8588 1,7995 1,7069 1,6002 1,4878 1,3734 1,2653 1,1673 1,0607 0,9070 0,6733 0,3524 -0,0357 -0,4577 -0,8745 -1,2417 -1,5190 -1,6872 -1,7517 -1,7302 -1,6407 -1,4926 -1,2812 -0,9916 -0,6115 -0,1427 0,3963 0,9747 1,5641 2,1539 2,7418 3,3129 3,8346 4,2651 4,5582 4,6672 4,5634 4,2634 3,8434 3,4137 3,0629 2,8158 2,6382 2,4706 2,2612 1,9873 1,6570 1,2918 0,9118 0,5359 0,1810 -0,1441 -0,4335 -0,6769 -0,8657 -1,0077 -1,1286 -1,2606 -1,4306 -1,6529 -1,9256 -2,2273 -2,5195 -2,7569 -2,9044 -2,9510 -2,9099 -2,8130 -2,7066 -2,6454 -2,6706 -2,7851 -2,9506 -3,1131 -3,2273 -3,2695 -3,2451 -3,1878 -3,1430 -3,1459 -3,2046 -3,2955 -3,3734 -3,3840 -3,2786 -3,0366 -2,6781 -2,2507 -1,8070 -1,3928
F7    1,2500 1,4367 1,4910 1,3991 1,1874 0,9168 0,6579 0,4567 0,3181 0,2097 0,0866 -0,0790 -0,2942 -0,5635 -0,8922 -1,2713 -1,6648 -2,0139 -2,2549 -2,3414 -2,2658 -2,0603 -1,7757 -1,4601 -1,1543 -0,8908 -0,6848 -0,5325 -0,4197 -0,3290 -0,2492 -0,1767 -0,1030 -0,0108 0,1093 0,2456 0,3744 0,4838 0,5819 0,6783 0,7690 0,8510 0,9406 1,0558 1,1888 1,3070 1,3783 1,3938 1,3732 1,3471 1,3290 1,3082 1,2675 1,1974 1,0971 0,9758 0,8548 0,7649 0,7334 0,7667 0,8430 0,9308 1,0175 1,1123 1,2216 1,3378 1,4473 1,5394 1,6107 1,6699 1,7283 1,7795 1,7958 1,7521 1,6511 1,5171 1,3694 1,2136 1,0600 0,9402 0,8977 0,9639 1,1424 1,4058 1,7038 1,9909 2,2490 2,4862 2,7208 2,9659 3,2178 3,4550 3,6473 3,7649 3,7760 3,6493 3,3753 2,9826 2,5260 2,0699 1,6763 1,3871 1,2085 1,1071 1,0240 0,9112 0,7682 0,6351 0,5554 0,5588 0,6573 0,8304 1,0250 1,1836 1,2656 1,2480 1,1257 0,9098 0,6168 0,2625 -0,1374 -0,5691 -1,0162 -1,4485 -1,8242 -2,1043 -2,2600 -2,2690 -2,1195 -1,8259 -1,4443 -1,0598 -0,7451 -0,5248 -0,3795 -0,2748 -0,1828 -0,0887 0,0115 0,1179 0,2236 0,3049 0,3260 0,2656 0,1401 -0,0008 -0,1072 -0,1603 -0,1764 -0,1932 -0,2508 -0,3638 -0,4975 -0,5879 -0,5902 -0,4930 -0,2947 0,0029 0,3804 0,8034 1,2430 1,6803 2,0972 2,4773 2,8121 3,1027 3,3587 3,5954 3,8283 4,0653 4,3039 4,5362 4,7498 4,9233 5,0377 5,0910 5,0915 5,0366 4,9060 4,6726 4,3196 3,8566 3,3259 2,7909 2,3196 1,9689 1,7659 1,6957 1,7144 1,7734 1,8299 1,8490 1,8085 1,7007 1,5251 1,2871 1,0084 0,7260 0,4713 0,2569 0,0822 -0,0596 -0,1796 -0,2915 -0,4110 -0,5586 -0,7550 -1,0057 -1,2857 -1,5430 -1,7252 -1,8007 -1,7605 -1,6165 -1,3981 -1,1392 -0,8682 -0,6163 -0,4273 -0,3448 -0,3813 -0,5032 -0,6524 -0,7826 -0,8789 -0,9534 -1,0276 -1,1158 -1,2226 -1,3472 -1,4802 -1,5961 -1,6593 -1,6384 -1,5218 -1,3310 -1,1169 -0,9316 -0,8106 -0,7755 -0,8317 -0,9537 -1,0867 -1,1717 -1,1777 -1,1157 -1,0310 -0,9784 -0,9932 -1,0800 -1,2235 -1,4050 -1,6051 -1,8008 -1,9662 -2,0821 -2,1372 -2,1150 -1,9936 -1,7771 -1,5135 -1,2681 -1,0885 -1,0002 -1,0195 -1,1577 -1,4188 -1,7938 -2,2397 -2,6646 -2,9636 -3,0837 -3,0492 -2,9333 -2,8071 -2,7156 -2,6862 -2,7370 -2,8734 -3,0813 -3,3276 -3,5719 -3,7844 -3,9534 -4,0822 -4,1820 -4,2640 -4,3306 -4,3767 -4,3978 -4,3977 -4,3903 -4,3869 -4,3815 -4,3526 -4,2838 -4,1767 -4,0457 -3,9118 -3,7995 -3,7241 -3,6743 -3,6143 -3,5136 -3,3659 -3,1827 -2,9827 -2,7896 -2,6251 -2,4952 -2,3844 -2,2645 -2,1125 -1,9211 -1,6980 -1,4594 -1,2310 -1,0474 -0,9380 -0,9057 -0,9246 -0,9581 -0,9763 -0,9589 -0,8898 -0,7585 -0,5671 -0,3364 -0,1098 0,0583 0,1331 0,1228 0,0713 0,0369 0,0664 0,1738 0,3400 0,5324 0,7271 0,9182 1,1069 1,2827 1,4228 1,5133 1,5662 1,6174 1,7110 1,8747 2,1035 2,3634 2,6102 2,8160 2,9800 3,1183 3,2474 3,3758 3,5074 3,6456 3,7887 3,9271 4,0479 4,1370 4,1825 4,1776 4,1206 4,0143 3,8607 3,6580 3,4091 3,1304 2,8526 2,6151 2,4474 2,3463 2,2799 2,2162 2,1407 2,0496 1,9433 1,8373 1,7649 1,7648 1,8612 2,0442 2,2710 2,4883 2,6555 2,7597 2,8217 2,8788 2,9535 3,0364 3,0997 3,1256 3,1255 3,1324 3,1787 3,2904 3,4874 3,7751 4,1338 4,5133 4,8445 5,0730 5,1916 5,2413 5,2730 5,3061 5,3278 5,3201 5,2676 5,1481 4,9381 4,6357 4,2732 3,9071 3,5943 3,3733 3,2585 3,2396 3,2874 3,3687 3,4587 3,5391 3,5932 3,6165 3,6272 3,6565 3,7301 3,8566 4,0273 4,2234 4,4240 4,6120 4,7769 4,9135 5,0251 5,1250 5,2276 5,3470 5,5036 5,7043 5,9185 6,0989 6,2169 6,2683 6,2609 6,2072 6,1259 6,0460 6,0044 6,0300 6,1267 6,2706 6,4181 6,5134 6,5081 6,3936 6,2126 6,0296 5,8881 5,7916 5,7170 5,6388 5,5398 5,4127 5,2604 5,0912 4,9150 4,7484 4,6178 4,5526 4,5722 4,6709 4,8063 4,9132 4,9374 4,8545 4,6670 4,3955 4,0732 3,7367 3,4130 3,1166 2,8599 2,6556 2,5042 2,3789 2,2320 2,0215 1,7341 1,3934 1,0539 0,7759 0,5934 0,4994 0,4569 0,4295 0,4044 0,3868 0,3826 0,3931 0,4172 0,4573 0,5266 0,6351 0,7677 0,8914 0,9816 1,0337 1,0589 1,0740 1,0830 1,0640 0,9817 0,8180 0,5933 0,3551 0,1421 -0,0426 -0,2284 -0,4523 -0,7293 -1,0424 -1,3517 -1,6071 -1,7595 -1,7821 -1,6861 -1,5132 -1,3123 -1,1193 -0,9459 -0,7745 -0,5641 -0,2737 0,1026 0,5280 0,9595 1,3832 1,8103 2,2467 2,6733 3,0510 3,3407 3,5162 3,5689 3,5127 3,3860 3,2415 3,1170 3,0142 2,9070 2,7700 2,5962 2,3905 2,1547 1,8847 1,5801 1,2500 0,9038 0,5511 0,2190 -0,0504 -0,2288 -0,3168 -0,3388 -0,3351 -0,3497 -0,4170 -0,5513 -0,7374 -0,9337 -1,0915 -1,1766 -1,1824 -1,1341 -1,0794 -1,0689 -1,1378 -1,2913 -1,5044 -1,7383 -1,9567 -2,1291 -2,2332 -2,2603 -2,2171 -2,1254 -2,0179 -1,9230 -1,8499 -1,7830 -1,6898 -1,5376 -1,3155 -1,0453 -0,7679 -0,5128 -0,2777
