Fp1   0,4287 0,2126 -0,0066 -0,1863 -0,2831 -0,2697 -0,1413 0,0815 0,3500 0,5884 0,7167 0,7030 0,5978 0,5007 0,4871 0,5657 0,6865 0,7783 0,7926 0,7197 0,5713 0,3613 0,0928 -0,2402 -0,6141 -0,9504 -1,1608 -1,2163 -1,1548 -1,0384 -0,9193 -0,8306 -0,7855 -0,7824 -0,8036 -0,8020 -0,6987 -0,4373 -0,0531 0,3312 0,5866 0,6583 0,5869 0,4615 0,3512 0,2784 0,2402 0,2266 0,2197 0,1993 0,1473 0,0345 -0,1806 -0,5193 -0,9525 -1,4016 -1,7641 -1,9535 -1,9351 -1,7273 -1,3792 -0,9542 -0,5237 -0,1528 0,1223 0,3038 0,4224 0,5186 0,6216 0,7309 0,8173 0,8413 0,7791 0,6439 0,4838 0,3642 0,3468 0,4587 0,6590 0,8525 0,9431 0,8653 0,5915 0,1414 -0,4136 -0,9584 -1,3594 -1,5241 -1,4547 -1,2328 -0,9519 -0,6623 -0,3733 -0,0915 0,1594 0,3583 0,5090 0,6368 0,7708 0,9351 1,1366 1,3359 1,4497 1,4135 1,2395 1,0070 0,8080 0,7191 0,8009 1,0873 1,5647 2,1716 2,8206 3,4272 3,9171 4,2177 4,2633 4,0154 3,4857 2,7492 1,9337 1,1747 0,5647 0,1334 -0,1433 -0,3195 -0,4526 -0,5996 -0,8294 -1,2074 -1,7411 -2,3478 -2,8872 -3,2297 -3,3042 -3,1089 -2,7035 -2,2001 -1,7354 -1,4228 -1,3137 -1,4013 -1,6391 -1,9487 -2,2342 -2,4202 -2,4870 -2,4653 -2,3871 -2,2376 -1,9700 -1,5692 -1,0876 -0,6137 -0,2063 0,1390 0,4584 0,7670 1,0534 1,3110 1,5404 1,7263 1,8329 1,8230 1,6858 1,4504 1,1624 0,8513 0,5387 0,2743 0,1470 0,2520 0,6425 1,3062 2,1785 3,1691 4,1801 5,1153 5,8923 6,4588 6,7928 6,8870 6,7479 6,4218 6,0031 5,5992 5,2787 5,0507 4,8821 4,7234 4,5340 4,3055 4,0697 3,8827 3,7959 3,8240 3,9328 4,0709 4,2030 4,3064 4,3569 4,3363 4,2508 4,1380 4,0467 4,0049 4,0075 4,0341 4,0779 4,1621 4,3279 4,5944 4,9160 5,1794 5,2563 5,0724 4,6499 4,1096 3,6281 3,3670 3,4045 3,7022 4,1210 4,4903 4,6919 4,7013 4,5678 4,3653 4,1561 3,9780 3,8516 3,7924 3,8110 3,9025 4,0390 4,1763 4,2722 4,3041 4,2721 4,1824 4,0321 3,8146 3,5366 3,2229 2,9035 2,6020 2,3387 2,1315 1,9868 1,8917 1,8186 1,7485 1,6941 1,6879 1,7476 1,8645 2,0141 2,1573 2,2421 2,2283 2,1096 1,9086 1,6576 1,3832 1,1005 0,8302 0,6288 0,5862 0,7740 1,1905 1,7523 2,3270 2,7791 3,0100 2,9792 2,7057 2,2604 1,7516 1,2928 0,9583 0,7423 0,5645 0,3413 0,0591 -0,2258 -0,4299 -0,4685 -0,2735 0,1575 0,7329 1,3129 1,7822 2,0760 2,1646 2,0444 1,7565 1,3893 1,0389 0,7693 0,6082 0,5577 0,5970 0,6838 0,7623 0,7760 0,6780 0,4508 0,1304 -0,1954 -0,4369 -0,5623 -0,6165 -0,6930 -0,8691 -1,1396 -1,4215 -1,6305 -1,7428 -1,7814 -1,7663 -1,6939 -1,5530 -1,3493 -1,1144 -0,8898 -0,7100 -0,6031 -0,5862 -0,6480 -0,7408 -0,7985 -0,7663 -0,6298 -0,4279 -0,2387 -0,1445 -0,1943 -0,3771 -0,6230 -0,8365 -0,9435 -0,9304 -0,8554 -0,8109 -0,8659 -1,0279 -1,2360 -1,3896 -1,4184 -1,3375 -1,2200 -1,1259 -1,0704 -1,0454 -1,0460 -1,0778 -1,1459 -1,2428 -1,3506 -1,4560 -1,5590 -1,6624 -1,7583 -1,8229 -1,8160 -1,7031 -1,4913 -1,2276 -0,9539 -0,6855 -0,4353 -0,2336 -0,1117 -0,0811 -0,1331 -0,2425 -0,3633 -0,4372 -0,4271 -0,3457 -0,2374 -0,1315 -0,0311 0,0564 0,0994 0,0559 -0,1018 -0,3655 -0,6813 -0,9696 -1,1669 -1,2521 -1,2395 -1,1463 -0,9647 -0,6671 -0,2542 0,2040 0,5861 0,7888 0,7851 0,6284 0,4187 0,2519 0,1682 0,1349 0,0850 -0,0284 -0,2023 -0,3966 -0,5744 -0,7284 -0,8657 -0,9752 -1,0195 -0,9522 -0,7409 -0,3905 0,0485 0,5023 0,9014 1,1922 1,3453 1,3648 1,2893 1,1844 1,1234 1,1575 1,2932 1,4839 1,6437 1,6890 1,5777 1,3174 0,9574 0,5849 0,3016 0,1710 0,1845 0,2850 0,4142 0,5350 0,6246 0,6648 0,6443 0,5650 0,4360 0,2636 0,0558 -0,1658 -0,3695 -0,5260 -0,6057 -0,5728 -0,4004 -0,0959 0,2887 0,6697 0,9607 1,1050 1,1017 1,0104 0,9210 0,8967 0,9482 1,0621 1,2264 1,4163 1,5852 1,6930 1,7354 1,7426 1,7586 1,8243 1,9744 2,2313 2,5763 2,9277 3,1770 3,2614 3,1982 3,0532 2,8973 2,7865 2,7455 2,7554 2,7584 2,6856 2,4926 2,1846 1,8207 1,4927 1,2795 1,1998 1,1972 1,1725 1,0439 0,7950 0,4728 0,1410 -0,1628 -0,4290 -0,6610 -0,8704 -1,0772 -1,3052 -1,5719 -1,8647 -2,1313 -2,3215 -2,4351 -2,5204 -2,6304 -2,7696 -2,8614 -2,7796 -2,4395 -1,8691 -1,1959 -0,5715 -0,0989 0,1974 0,3559 0,4403 0,5025 0,5637 0,6169 0,6421 0,6143 0,4994 0,2620 -0,1118 -0,5959 -1,1169 -1,5688 -1,8456 -1,8707 -1,6144 -1,1084 -0,4421 0,2723 0,9369 1,4796 1,8501 2,0233 2,0149 1,8878 1,7315 1,6146 1,5412 1,4579 1,3148 1,1233 0,9562 0,8931 0,9518 1,0660 1,1305 1,0778 0,9263 0,7684 0,7128 0,8256 1,1007 1,4643 1,8027 2,0054 2,0091 1,8197 1,4963 1,1159 0,7460 0,4321 0,1932 0,0199 -0,1232 -0,2758 -0,4423 -0,5787 -0,6332 -0,5988 -0,5215 -0,4595 -0,4434 -0,4613 -0,4667 -0,4089 -0,2696 -0,0773 0,1044 0,2007 0,1550 -0,0464 -0,3687 -0,7474 -1,1121 -1,4011 -1,5738 -1,6247 -1,5806
Fz    1,3679 1,4262 1,4638 1,4619 1,4160 1,3294 1,2145 1,0925 0,9861 0,9045 0,8331 0,7443 0,6172 0,4441 0,2217 -0,0466 -0,3360 -0,6016 -0,8011 -0,9192 -0,9705 -0,9759 -0,9484 -0,8967 -0,8214 -0,7099 -0,5531 -0,3632 -0,1615 0,0401 0,2288 0,3753 0,4407 0,3950 0,2314 -0,0187 -0,2810 -0,4740 -0,5581 -0,5507 -0,5071 -0,4862 -0,5166 -0,5860 -0,6634 -0,7242 -0,7534 -0,7427 -0,6873 -0,5800 -0,4179 -0,2261 -0,0581 0,0370 0,0442 -0,0202 -0,1252 -0,2362 -0,3167 -0,3324 -0,2719 -0,1618 -0,0576 -0,0198 -0,0858 -0,2521 -0,4823 -0,7278 -0,9399 -1,0769 -1,1160 -1,0626 -0,9447 -0,7951 -0,6431 -0,5121 -0,4046 -0,3008 -0,1873 -0,0745 0,0174 0,0660 0,0438 -0,0735 -0,2890 -0,5708 -0,8605 -1,1089 -1,3008 -1,4434 -1,5427 -1,5915 -1,5763 -1,4937 -1,3564 -1,1798 -0,9707 -0,7295 -0,4590 -0,1690 0,1279 0,4168 0,6753 0,8818 1,0389 1,1764 1,3255 1,5012 1,7068 1,9417 2,2021 2,4706 2,7054 2,8520 2,8704 2,7527 2,5222 2,2219 1,9029 1,6156 1,3931 1,2284 1,0718 0,8589 0,5413 0,1035 -0,4288 -0,9984 -1,5415 -2,0103 -2,3806 -2,6574 -2,8728 -3,0685 -3,2726 -3,4886 -3,6973 -3,8679 -3,9691 -3,9725 -3,8592 -3,6394 -3,3650 -3,1027 -2,8860 -2,6988 -2,5059 -2,2880 -2,0453 -1,7846 -1,5171 -1,2651 -1,0628 -0,9489 -0,9512 -1,0715 -1,2807 -1,5268 -1,7418 -1,8496 -1,7917 -1,5575 -1,1848 -0,7289 -0,2330 0,2779 0,7778 1,2239 1,5749 1,8217 1,9907 2,1184 2,2284 2,3294 2,4323 2,5659 2,7751 3,0952 3,5242 4,0202 4,5181 4,9437 5,2296 5,3431 5,3011 5,1488 4,9277 4,6670 4,3942 4,1388 3,9270 3,7826 3,7195 3,7248 3,7602 3,7805 3,7532 3,6749 3,5670 3,4472 3,3157 3,1737 3,0432 2,9605 2,9480 2,9886 3,0287 3,0135 2,9227 2,7840 2,6611 2,6197 2,6834 2,8127 2,9281 2,9512 2,8345 2,5720 2,2055 1,8179 1,5073 1,3492 1,3686 1,5369 1,7988 2,0988 2,3878 2,6284 2,8002 2,8963 2,9192 2,8780 2,7842 2,6501 2,4901 2,3181 2,1543 2,0330 1,9933 2,0516 2,1824 2,3237 2,4062 2,3845 2,2499 2,0244 1,7475 1,4627 1,2055 0,9923 0,8186 0,6693 0,5325 0,4012 0,2670 0,1225 -0,0287 -0,1704 -0,2805 -0,3381 -0,3297 -0,2523 -0,1118 0,0739 0,2677 0,4247 0,5173 0,5465 0,5341 0,5008 0,4469 0,3578 0,2250 0,0589 -0,1175 -0,2818 -0,4187 -0,5207 -0,5869 -0,6226 -0,6445 -0,6779 -0,7345 -0,8004 -0,8622 -0,9352 -1,0488 -1,2114 -1,4074 -1,6203 -1,8364 -2,0350 -2,1923 -2,2957 -2,3474 -2,3520 -2,3038 -2,1955 -2,0385 -1,8669 -1,7157 -1,6004 -1,5191 -1,4628 -1,4264 -1,4153 -1,4369 -1,4817 -1,5238 -1,5439 -1,5439 -1,5456 -1,5858 -1,6966 -1,8801 -2,1062 -2,3346 -2,5390 -2,7150 -2,8694 -3,0067 -3,1260 -3,2219 -3,2821 -3,2893 -3,2364 -3,1422 -3,0396 -2,9473 -2,8583 -2,7543 -2,6237 -2,4727 -2,3192 -2,1801 -2,0674 -1,9939 -1,9759 -2,0264 -2,1393 -2,2804 -2,4091 -2,5119 -2,6059 -2,7113 -2,8271 -2,9255 -2,9681 -2,9353 -2,8476 -2,7507 -2,6783 -2,6320 -2,5944 -2,5551 -2,5250 -2,5282 -2,5782 -2,6640 -2,7599 -2,8453 -2,9118 -2,9614 -3,0010 -3,0335 -3,0510 -3,0447 -3,0186 -2,9870 -2,9626 -2,9524 -2,9603 -2,9845 -3,0101 -3,0146 -2,9844 -2,9266 -2,8611 -2,8033 -2,7628 -2,7493 -2,7634 -2,7888 -2,8071 -2,8177 -2,8347 -2,8731 -2,9379 -3,0186 -3,0947 -3,1532 -3,1974 -3,2409 -3,2984 -3,3707 -3,4365 -3,4653 -3,4398 -3,3630 -3,2467 -3,1012 -2,9396 -2,7896 -2,6910 -2,6830 -2,7918 -3,0172 -3,3193 -3,6219 -3,8430 -3,9370 -3,9143 -3,8271 -3,7365 -3,6859 -3,6880 -3,7272 -3,7678 -3,7699 -3,7076 -3,5763 -3,3878 -3,1685 -2,9618 -2,8164 -2,7601 -2,7855 -2,8614 -2,9587 -3,0662 -3,1845 -3,3086 -3,4276 -3,5324 -3,6131 -3,6549 -3,6451 -3,5770 -3,4519 -3,2865 -3,1144 -2,9738 -2,8848 -2,8428 -2,8390 -2,8806 -2,9887 -3,1766 -3,4292 -3,7041 -3,9566 -4,1662 -4,3361 -4,4721 -4,5728 -4,6342 -4,6534 -4,6267 -4,5482 -4,4101 -4,1996 -3,8971 -3,4891 -2,9959 -2,4763 -1,9992 -1,6221 -1,3949 -1,3510 -1,4769 -1,7078 -1,9660 -2,2055 -2,4207 -2,6176 -2,7827 -2,8819 -2,8830 -2,7772 -2,5805 -2,3273 -2,0655 -1,8444 -1,6934 -1,6140 -1,5892 -1,5996 -1,6303 -1,6610 -1,6631 -1,6171 -1,5346 -1,4622 -1,4635 -1,5921 -1,8644 -2,2457 -2,6702 -3,0823 -3,4573 -3,7922 -4,0913 -4,3618 -4,6163 -4,8701 -5,1301 -5,3820 -5,5874 -5,6976 -5,6793 -5,5329 -5,2957 -5,0294 -4,7893 -4,5929 -4,4207 -4,2496 -4,0745 -3,8945 -3,6921 -3,4378 -3,1189 -2,7624 -2,4277 -2,1758 -2,0431 -2,0319 -2,1144 -2,2479 -2,3936 -2,5203 -2,6044 -2,6356 -2,6175 -2,5638 -2,5000 -2,4581 -2,4602 -2,5049 -2,5636 -2,5955 -2,5744 -2,5046 -2,4132 -2,3339 -2,2922 -2,2883 -2,2905 -2,2536 -2,1530 -1,9965 -1,8048 -1,5912 -1,3621 -1,1340 -0,9484 -0,8673 -0,9426 -1,1793 -1,5192 -1,8727 -2,1754 -2,4149 -2,6094 -2,7782 -2,9392 -3,1125 -3,3047 -3,4928 -3,6350 -3,7047 -3,7163 -3,7165 -3,7513 -3,8394 -3,9728 -4,1305 -4,2903 -4,4369 -4,5683 -4,6887 -4,7885 -4,8341 -4,7913 -4,6609 -4,4877 -4,3386 -4,2698 -4,3014 -4,4113 -4,5497 -4,6668 -4,7328 -4,7402 -4,6985 -4,6281 -4,5485 -4,4656 -4,3765 -4,2862
F3    0,5784 0,6994 0,8577 1,0131 1,1355 1,2092 1,2295 1,1954 1,1090 0,9800 0,8224 0,6439 0,4396 0,1981 -0,0841 -0,3903 -0,6825 -0,9149 -1,0545 -1,0972 -1,0651 -0,9861 -0,8811 -0,7621 -0,6283 -0,4679 -0,2753 -0,0624 0,1528 0,3597 0,5463 0,6877 0,7575 0,7445 0,6516 0,4905 0,2855 0,0685 -0,1357 -0,3191 -0,4871 -0,6441 -0,7739 -0,8450 -0,8431 -0,7905 -0,7263 -0,6777 -0,6479 -0,6133 -0,5384 -0,4054 -0,2301 -0,0463 0,1195 0,2489 0,3188 0,3060 0,2148 0,0877 -0,0282 -0,1196 -0,2112 -0,3398 -0,5236 -0,7527 -1,0061 -1,2678 -1,5179 -1,7223 -1,8415 -1,8487 -1,7400 -1,5349 -1,2769 -1,0253 -0,8233 -0,6730 -0,5533 -0,4460 -0,3389 -0,2290 -0,1293 -0,0591 -0,0279 -0,0316 -0,0653 -0,1395 -0,2739 -0,4710 -0,7045 -0,9324 -1,1158 -1,2295 -1,2600 -1,1982 -1,0391 -0,7899 -0,4814 -0,1634 0,1212 0,3593 0,5568 0,7206 0,8648 1,0155 1,1917 1,3890 1,5857 1,7649 1,9300 2,0948 2,2569 2,3916 2,4693 2,4754 2,4163 2,3130 2,1877 2,0543 1,9114 1,7423 1,5214 1,2258 0,8412 0,3656 -0,1806 -0,7440 -1,2469 -1,6197 -1,8356 -1,9307 -1,9936 -2,1212 -2,3717 -2,7464 -3,1993 -3,6510 -4,0042 -4,1658 -4,0796 -3,7547 -3,2663 -2,7165 -2,1825 -1,6931 -1,2438 -0,8289 -0,4636 -0,1869 -0,0432 -0,0508 -0,1816 -0,3780 -0,5922 -0,8078 -1,0258 -1,2385 -1,4131 -1,4956 -1,4344 -1,2077 -0,8317 -0,3422 0,2249 0,8348 1,4422 1,9932 2,4488 2,7991 3,0496 3,2051 3,2696 3,2518 3,1697 3,0593 2,9716 2,9557 3,0384 3,2167 3,4644 3,7390 3,9919 4,1882 4,3159 4,3731 4,3533 4,2515 4,0812 3,8755 3,6737 3,5123 3,4129 3,3687 3,3501 3,3246 3,2724 3,1953 3,1130 3,0438 2,9931 2,9653 2,9738 3,0280 3,1113 3,1768 3,1677 3,0467 2,8151 2,5138 2,2107 1,9735 1,8406 1,8089 1,8454 1,9043 1,9407 1,9211 1,8340 1,6943 1,5410 1,4267 1,3930 1,4511 1,5888 1,7844 2,0069 2,2183 2,3822 2,4717 2,4775 2,4082 2,2796 2,1100 1,9225 1,7408 1,5894 1,4999 1,5039 1,6060 1,7677 1,9223 2,0136 2,0204 1,9486 1,8129 1,6291 1,4124 1,1773 0,9390 0,7113 0,5019 0,3113 0,1336 -0,0426 -0,2245 -0,4066 -0,5700 -0,6866 -0,7276 -0,6759 -0,5315 -0,3097 -0,0426 0,2193 0,4242 0,5370 0,5392 0,4290 0,2243 -0,0440 -0,3380 -0,6095 -0,8016 -0,8680 -0,7986 -0,6332 -0,4468 -0,3113 -0,2611 -0,2901 -0,3697 -0,4612 -0,5259 -0,5502 -0,5666 -0,6371 -0,8112 -1,1017 -1,4861 -1,9145 -2,3245 -2,6583 -2,8752 -2,9611 -2,9294 -2,8089 -2,6296 -2,4218 -2,2216 -2,0628 -1,9608 -1,9084 -1,8850 -1,8686 -1,8454 -1,8116 -1,7711 -1,7372 -1,7289 -1,7550 -1,8060 -1,8662 -1,9250 -1,9841 -2,0604 -2,1767 -2,3466 -2,5705 -2,8353 -3,1102 -3,3528 -3,5215 -3,5799 -3,5032 -3,2966 -3,0076 -2,7051 -2,4421 -2,2397 -2,0983 -2,0117 -1,9721 -1,9619 -1,9502 -1,9126 -1,8508 -1,7955 -1,7930 -1,8735 -2,0236 -2,1975 -2,3555 -2,4836 -2,5867 -2,6729 -2,7444 -2,8014 -2,8487 -2,8977 -2,9618 -3,0396 -3,1045 -3,1167 -3,0535 -2,9282 -2,7781 -2,6323 -2,4950 -2,3589 -2,2258 -2,1103 -2,0323 -2,0117 -2,0582 -2,1585 -2,2827 -2,4072 -2,5298 -2,6630 -2,8146 -2,9708 -3,0955 -3,1421 -3,0732 -2,8862 -2,6263 -2,3711 -2,1960 -2,1478 -2,2319 -2,4080 -2,6033 -2,7500 -2,8185 -2,8172 -2,7697 -2,6988 -2,6222 -2,5540 -2,5075 -2,4881 -2,4876 -2,4922 -2,4958 -2,5059 -2,5389 -2,6013 -2,6724 -2,7144 -2,6992 -2,6307 -2,5501 -2,5122 -2,5509 -2,6637 -2,8239 -2,9932 -3,1258 -3,1765 -3,1222 -2,9755 -2,7806 -2,5955 -2,4698 -2,4317 -2,4887 -2,6232 -2,7907 -2,9350 -3,0101 -2,9914 -2,8834 -2,7233 -2,5682 -2,4652 -2,4277 -2,4394 -2,4775 -2,5250 -2,5620 -2,5630 -2,5131 -2,4181 -2,2969 -2,1748 -2,0775 -2,0171 -1,9877 -1,9830 -2,0102 -2,0815 -2,1944 -2,3293 -2,4670 -2,6051 -2,7483 -2,8878 -2,9990 -3,0617 -3,0814 -3,0914 -3,1289 -3,2097 -3,3210 -3,4315 -3,4993 -3,4792 -3,3374 -3,0632 -2,6670 -2,1722 -1,6106 -1,0329 -0,5127 -0,1213 0,0977 0,1281 -0,0194 -0,2973 -0,6311 -0,9591 -1,2648 -1,5672 -1,8823 -2,1918 -2,4453 -2,5857 -2,5761 -2,4132 -2,1290 -1,7814 -1,4368 -1,1489 -0,9419 -0,8075 -0,7235 -0,6720 -0,6335 -0,5760 -0,4743 -0,3447 -0,2492 -0,2623 -0,4289 -0,7398 -1,1366 -1,5507 -1,9458 -2,3201 -2,6772 -3,0085 -3,3021 -3,5536 -3,7667 -3,9487 -4,1043 -4,2295 -4,3082 -4,3128 -4,2135 -4,0029 -3,7128 -3,4012 -3,1190 -2,8928 -2,7316 -2,6338 -2,5765 -2,5099 -2,3744 -2,1408 -1,8404 -1,5534 -1,3590 -1,2904 -1,3292 -1,4298 -1,5473 -1,6516 -1,7181 -1,7244 -1,6635 -1,5499 -1,4101 -1,2775 -1,1901 -1,1871 -1,2916 -1,4839 -1,7084 -1,9166 -2,0933 -2,2435 -2,3688 -2,4581 -2,4898 -2,4379 -2,2835 -2,0299 -1,7032 -1,3366 -0,9633 -0,6197 -0,3447 -0,1712 -0,1196 -0,1941 -0,3789 -0,6393 -0,9380 -1,2549 -1,5838 -1,9102 -2,2010 -2,4204 -2,5531 -2,6073 -2,6038 -2,5666 -2,5284 -2,5347 -2,6252 -2,8004 -3,0143 -3,2047 -3,3349 -3,4154 -3,4947 -3,6244 -3,8159 -4,0229 -4,1655 -4,1811 -4,0650 -3,8697 -3,6694 -3,5221 -3,4499 -3,4410 -3,4631 -3,4813 -3,4750 -3,4410 -3,3809 -3,2957 -3,1926 -3,0860 -2,9880 -2,9064
F7    0,1283 0,1206 0,1517 0,2063 0,2893 0,4046 0,5243 0,5941 0,5869 0,5427 0,5365 0,6111 0,7406 0,8407 0,8050 0,5630 0,1345 -0,3680 -0,8026 -1,0730 -1,1604 -1,1119 -1,0105 -0,9261 -0,8684 -0,7846 -0,6145 -0,3459 -0,0106 0,3548 0,7174 1,0302 1,2377 1,3041 1,2286 1,0360 0,7485 0,3754 -0,0576 -0,4862 -0,8331 -1,0468 -1,1134 -1,0519 -0,9053 -0,7154 -0,4985 -0,2549 -0,0012 0,2280 0,4074 0,5315 0,5998 0,6035 0,5273 0,3591 0,1069 -0,1854 -0,4450 -0,6113 -0,6746 -0,6709 -0,6542 -0,6764 -0,7599 -0,8747 -0,9598 -0,9672 -0,8843 -0,7306 -0,5476 -0,3784 -0,2419 -0,1262 -0,0127 0,1033 0,2177 0,3237 0,3952 0,3797 0,2270 -0,0772 -0,4999 -0,9755 -1,4289 -1,7881 -1,9908 -2,0008 -1,8269 -1,5186 -1,1405 -0,7444 -0,3567 0,0076 0,3289 0,5865 0,7633 0,8407 0,8089 0,6850 0,5070 0,3124 0,1262 -0,0418 -0,1854 -0,2924 -0,3502 -0,3452 -0,2537 -0,0470 0,2895 0,7289 1,1836 1,5258 1,6572 1,5751 1,3643 1,1200 0,8895 0,6781 0,4780 0,2815 0,0795 -0,1471 -0,4266 -0,7712 -1,1532 -1,5146 -1,7991 -1,9666 -1,9949 -1,8893 -1,6946 -1,4828 -1,3225 -1,2506 -1,2619 -1,3181 -1,3724 -1,3949 -1,3823 -1,3499 -1,3163 -1,2942 -1,2875 -1,2907 -1,2851 -1,2348 -1,0960 -0,8466 -0,5128 -0,1640 0,1187 0,2796 0,3069 0,2254 0,0841 -0,0442 -0,0720 0,0662 0,3774 0,8037 1,2434 1,5858 1,7450 1,6778 1,3913 0,9546 0,4951 0,1569 0,0435 0,1911 0,5843 1,1840 1,9402 2,8003 3,7177 4,6392 5,4800 6,1281 6,4927 6,5484 6,3341 5,9297 5,4360 4,9595 4,5953 4,4057 4,3968 4,5179 4,6990 4,8896 5,0585 5,1730 5,2011 5,1326 4,9843 4,7804 4,5353 4,2619 3,9909 3,7606 3,5964 3,5177 3,5532 3,7249 4,0289 4,4340 4,8823 5,2898 5,5686 5,6630 5,5686 5,3258 4,9931 4,6190 4,2331 3,8560 3,5188 3,2722 3,1695 3,2315 3,4304 3,7027 3,9755 4,1839 4,2893 4,2954 4,2482 4,2080 4,2153 4,2732 4,3520 4,4018 4,3731 4,2496 4,0644 3,8860 3,7910 3,8264 3,9731 4,1507 4,2751 4,3126 4,2810 4,2131 4,1244 4,0074 3,8441 3,6183 3,3255 2,9835 2,6284 2,2979 2,0179 1,8008 1,6464 1,5450 1,4881 1,4726 1,4933 1,5409 1,6127 1,7092 1,8103 1,8705 1,8475 1,7358 1,5726 1,4218 1,3513 1,4018 1,5573 1,7425 1,8619 1,8504 1,7010 1,4660 1,2430 1,1257 1,1430 1,2535 1,3947 1,5190 1,5959 1,6141 1,5908 1,5722 1,6162 1,7569 1,9709 2,1860 2,3263 2,3483 2,2430 2,0237 1,7185 1,3747 1,0544 0,8052 0,6333 0,5109 0,4075 0,3175 0,2640 0,2796 0,3808 0,5513 0,7455 0,9130 1,0174 1,0388 0,9767 0,8616 0,7532 0,7150 0,7814 0,9361 1,1143 1,2370 1,2553 1,1673 1,0088 0,8422 0,7357 0,7278 0,8110 0,9519 1,1211 1,2989 1,4622 1,5761 1,6063 1,5350 1,3649 1,1114 0,8013 0,4788 0,1973 -0,0027 -0,1064 -0,1206 -0,0554 0,1005 0,3751 0,7668 1,2081 1,5891 1,8220 1,8817 1,7950 1,6040 1,3413 1,0312 0,7035 0,3996 0,1613 0,0130 -0,0413 -0,0115 0,0817 0,2098 0,3406 0,4490 0,5359 0,6291 0,7483 0,8829 1,0120 1,1301 1,2432 1,3534 1,4520 1,5213 1,5399 1,4915 1,3762 1,2076 1,0016 0,7763 0,5685 0,4423 0,4587 0,6231 0,8748 1,1345 1,3462 1,4812 1,5344 1,5269 1,4971 1,4770 1,4681 1,4390 1,3593 1,2471 1,1774 1,2390 1,4720 1,8369 2,2337 2,5425 2,6599 2,5300 2,1615 1,6243 1,0260 0,4781 0,0696 -0,1445 -0,1449 0,0560 0,4177 0,8805 1,3785 1,8485 2,2321 2,4921 2,6327 2,6973 2,7452 2,8289 2,9796 3,1999 3,4642 3,7282 3,9377 4,0331 3,9588 3,6847 3,2301 2,6621 2,0630 1,5047 1,0545 0,7814 0,7328 0,9046 1,2381 1,6448 2,0435 2,3854 2,6558 2,8549 2,9757 2,9982 2,9047 2,7016 2,4269 2,1330 1,8625 1,6433 1,4936 1,4164 1,3962 1,4182 1,5003 1,6963 2,0539 2,5640 3,1536 3,7295 4,2249 4,6099 4,8764 5,0287 5,0749 5,0120 4,8256 4,5111 4,0856 3,5785 3,0339 2,5248 2,1396 1,9396 1,9322 2,0857 2,3605 2,7231 3,1477 3,6101 4,0764 4,5025 4,8513 5,1065 5,2711 5,3560 5,3740 5,3419 5,2775 5,1900 5,0760 4,9263 4,7232 4,4404 4,0626 3,6051 3,1033 2,5923 2,1024 1,6671 1,3278 1,1222 1,0590 1,1067 1,2089 1,3065 1,3484 1,3006 1,1634 0,9881 0,8652 0,8830 1,0859 1,4612 1,9481 2,4553 2,8938 3,2091 3,3928 3,4730 3,4968 3,5030 3,5000 3,4699 3,3913 3,2553 3,0757 2,8922 2,7554 2,6910 2,6805 2,6925 2,7250 2,8054 2,9586 3,1877 3,4778 3,8104 4,1708 4,5400 4,8816 5,1425 5,2718 5,2458 5,0844 4,8392 4,5586 4,2679 3,9834 3,7368 3,5783 3,5575 3,6949 3,9651 4,3063 4,6451 4,9185 5,0870 5,1336 5,0593 4,8862 4,6617 4,4478 4,2977 4,2288 4,2171 4,2180 4,1945 4,1322 4,0361 3,9198 3,7975 3,6742 3,5354 3,3596 3,1479 2,9239 2,7007 2,4616 2,1785 1,8535 1,5468 1,3568 1,3588 1,5608 1,9116 2,3368 2,7708 3,1684 3,4913 3,6950 3,7428 3,6322 3,4032 3,1227 2,8591 2,6569 2,5213
