Fp1   -1,4720 -1,2178 -0,8199 -0,2411 0,5072 1,3553 2,1782 2,8292 3,1879 3,1944 2,8521 2,2085 1,3433 0,3650 -0,6094 -1,4905 -2,2232 -2,7589 -3,0414 -3,0313 -2,7352 -2,2210 -1,6112 -1,0306 -0,5374 -0,1071 0,3179 0,7651 1,2005 1,5290 1,6308 1,4339 0,9777 0,4026 -0,1252 -0,4893 -0,6505 -0,6256 -0,4612 -0,2278 -0,0020 0,1669 0,2670 0,2972 0,2511 0,1291 -0,0518 -0,2739 -0,5296 -0,8048 -1,0614 -1,2564 -1,3843 -1,4860 -1,6059 -1,7499 -1,8991 -2,0533 -2,2328 -2,4314 -2,5810 -2,5835 -2,3834 -1,9997 -1,4912 -0,9123 -0,3057 0,2732 0,7268 0,9401 0,8671 0,5905 0,2838 0,1082 0,1264 0,2891 0,4863 0,6068 0,5766 0,3826 0,0810 -0,2296 -0,4529 -0,5228 -0,4053 -0,1078 0,2974 0,6848 0,9434 1,0360 0,9917 0,8661 0,7241 0,6411 0,6765 0,8324 1,0501 1,2422 1,3148 1,1905 0,8525 0,3574 -0,2107 -0,7801 -1,2792 -1,6241 -1,7501 -1,6559 -1,4021 -1,0591 -0,6719 -0,2737 0,0986 0,4084 0,6198 0,6937 0,5868 0,2618 -0,2850 -0,9991 -1,7717 -2,4700 -2,9737 -3,2085 -3,1578 -2,8526 -2,3497 -1,7177 -1,0363 -0,3890 0,1625 0,5906 0,9043 1,1598 1,4553 1,8731 2,4089 2,9766 3,4797 3,8522 4,0368 3,9762 3,6645 3,1965 2,7334 2,3896 2,1529 1,9257 1,6272 1,2508 0,8477 0,4768 0,1531 -0,1619 -0,5055 -0,8526 -1,1205 -1,2278 -1,1445 -0,9016 -0,5592 -0,1662 0,2460 0,6481 1,0208 1,3671 1,6770 1,8736 1,8384 1,5267 1,0447 0,5892 0,3130 0,2613 0,4095 0,7109 1,1132 1,5765 2,0861 2,6313 3,1823 3,7037 4,1852 4,6437 5,0952 5,5326 5,9207 6,2027 6,3237 6,2634 6,0467 5,7264 5,3619 5,0127 4,7323 4,5526 4,4728 4,4656 4,4971 4,5518 4,6459 4,8062 5,0251 5,2314 5,3246 5,2518 5,0443 4,7816 4,5294 4,3035 4,0804 3,8438 3,6213 3,4649 3,3867 3,3223 3,1606 2,8086 2,2448 1,5364 0,8094 0,1836 -0,2818 -0,5833 -0,7394 -0,7879 -0,8036 -0,8716 -1,0151 -1,1638 -1,2092 -1,0934 -0,8502 -0,5800 -0,4037 -0,4210 -0,6757 -1,1254 -1,6389 -2,0500 -2,2371 -2,1562 -1,8259 -1,3039 -0,6659 0,0158 0,6822 1,2913 1,8194 2,2591 2,6064 2,8460 2,9582 2,9470 2,8445 2,6846 2,4802 2,2204 1,8989 1,5642 1,3417 1,3747 1,7116 2,2475 2,7806 3,1252 3,2016 3,0536 2,7934 2,5357 2,3706 2,3674 2,5613 2,9044 3,2513 3,4334 3,3563 3,0230 2,4948 1,8562 1,1928 0,5750 0,0675 -0,2572 -0,3407 -0,1847 0,1279 0,4630 0,7117 0,8574 0,9734 1,1480 1,3947 1,6112 1,6301 1,3349 0,7509 0,0445 -0,5511 -0,8359 -0,7309 -0,3137 0,2217 0,6528 0,8139 0,6423 0,1890 -0,4068 -0,9823 -1,4170 -1,6445 -1,6136 -1,2634 -0,5575 0,4537 1,6247 2,7795 3,7767 4,5206 4,9630 5,1213 5,0711 4,8907 4,5988 4,1455 3,4677 2,5608 1,5073 0,4568 -0,4040 -0,8897 -0,8722 -0,3235 0,6752 1,9523 3,2830 4,4481 5,2939 5,7710 5,9320 5,8875 5,7436 5,5536 5,3160 5,0149 4,6443 4,1873 3,6058 2,8781 2,0387 1,1775 0,4182 -0,1013 -0,2628 -0,0216 0,5649 1,3658 2,2404 3,0824 3,8253 4,4303 4,8722 5,1144 5,0971 4,7625 4,0925 3,1286 1,9770 0,8025 -0,2031 -0,8755 -1,1267 -0,9726 -0,5273 0,0387 0,5675 0,9771 1,2729 1,4910 1,6311 1,6460 1,4794 1,1132 0,6004 0,0522 -0,4285 -0,8119 -1,1408 -1,4625 -1,7674 -1,9969 -2,0956 -2,0566 -1,9220 -1,7380 -1,5031 -1,1626 -0,6701 -0,0474 0,6330 1,2987 1,8863 2,3247 2,5396 2,4918 2,2139 1,8197 1,4810 1,3712 1,5963 2,1496 2,9041 3,6493 4,1697 4,3451 4,2171 3,9685 3,8187 3,8853 4,1014 4,2594 4,1460 3,6664 2,8858 1,9848 1,1655 0,5559 0,1621 -0,0912 -0,2749 -0,4201 -0,5312 -0,5892 -0,5375 -0,2921 0,2053 0,9268 1,7392 2,4528 2,9039 3,0096 2,7684 2,2306 1,4771 0,6171 -0,2054 -0,8119 -1,0319 -0,8008 -0,2226 0,4807 1,0808 1,4288 1,4881 1,3219 1,0395 0,7302 0,4373 0,1680 -0,0870 -0,3291 -0,5424 -0,7060 -0,8007 -0,8040 -0,6926 -0,4530 -0,0942 0,3341 0,7476 1,0843 1,3529 1,5901 1,7864 1,8807 1,8167 1,5913 1,2562 0,8795 0,5109 0,1850 -0,0539 -0,1493 -0,0603 0,2122 0,6265 1,1124 1,5803 1,9366 2,1178 2,1197 1,9765 1,7003 1,2475 0,5627 -0,3436 -1,3598 -2,3076 -3,0100 -3,3541 -3,3150 -2,9238 -2,2310 -1,3198 -0,3325 0,5501 1,1638 1,4062 1,2653 0,8296 0,2468 -0,3531 -0,8936 -1,3173 -1,5512 -1,5288 -1,2317 -0,7079 -0,0611 0,5806 1,1024 1,4428 1,6156 1,6860 1,7203 1,7656 1,8576 2,0160 2,2220 2,4157 2,5235 2,4898 2,3059 2,0395 1,8187 1,7358 1,7649 1,7887 1,6966 1,4472 1,0628 0,5902 0,0797 -0,4028 -0,7621 -0,8916 -0,7218 -0,2628 0,3911 1,0968 1,7241 2,2090 2,5671 2,8620 3,1516 3,4595 3,7803 4,0775 4,2755 4,2962 4,1212 3,8069 3,4406 3,0954 2,8140 2,6115 2,4865 2,4332 2,4303 2,4236 2,3441 2,1458 1,8238 1,4053 0,9392 0,4908 0,1237 -0,1196 -0,2142 -0,1495 0,0592 0,3770 0,7771 1,2523 1,7887 2,3277 2,7567 2,9495 2,8356 2,4369 1,8479 1,1900 0,5649 0,0248 -0,4190 -0,7674 -1,0178 -1,1728 -1,2624 -1,3435
Fz    -0,3346 -0,0709 0,1135 0,2234 0,3042 0,4139 0,5926 0,8433 1,1344 1,4218 1,6666 1,8396 1,9229 1,9144 1,8317 1,7065 1,5705 1,4405 1,3213 1,2119 1,0990 0,9518 0,7400 0,4630 0,1602 -0,1084 -0,2920 -0,3677 -0,3429 -0,2446 -0,1076 0,0301 0,1299 0,1604 0,1073 -0,0272 -0,2305 -0,4825 -0,7581 -1,0359 -1,3056 -1,5628 -1,8023 -2,0225 -2,2218 -2,3829 -2,4757 -2,4798 -2,3999 -2,2585 -2,0840 -1,9150 -1,8062 -1,8078 -1,9400 -2,1849 -2,4945 -2,8060 -3,0613 -3,2215 -3,2689 -3,1975 -2,9983 -2,6634 -2,2142 -1,7149 -1,2435 -0,8519 -0,5553 -0,3494 -0,2268 -0,1773 -0,1769 -0,1843 -0,1581 -0,0823 0,0216 0,1126 0,1650 0,1832 0,1839 0,1782 0,1754 0,1940 0,2573 0,3703 0,5085 0,6307 0,6959 0,6710 0,5351 0,2859 -0,0519 -0,4207 -0,7435 -0,9566 -1,0369 -1,0153 -0,9636 -0,9530 -1,0123 -1,1216 -1,2351 -1,3085 -1,3193 -1,2749 -1,2060 -1,1479 -1,1210 -1,1255 -1,1566 -1,2230 -1,3375 -1,4896 -1,6359 -1,7249 -1,7326 -1,6735 -1,5767 -1,4585 -1,3199 -1,1627 -0,9985 -0,8429 -0,7100 -0,6057 -0,5192 -0,4246 -0,3018 -0,1504 0,0155 0,1790 0,3298 0,4740 0,6306 0,8126 1,0179 1,2370 1,4621 1,6837 1,8829 2,0301 2,0949 2,0604 1,9336 1,7462 1,5399 1,3492 1,1956 1,0940 1,0522 1,0617 1,0917 1,0993 1,0427 0,8861 0,6038 0,1918 -0,3226 -0,8813 -1,4043 -1,8044 -2,0106 -1,9819 -1,7057 -1,1972 -0,5076 0,2800 1,0783 1,8276 2,5086 3,1251 3,6694 4,1079 4,4036 4,5505 4,5853 4,5698 4,5562 4,5654 4,5973 4,6532 4,7458 4,8989 5,1412 5,4943 5,9598 6,5160 7,1214 7,7200 8,2473 8,6415 8,8633 8,9115 8,8124 8,5950 8,2783 7,8864 7,4697 7,0981 6,8279 6,6763 6,6221 6,6232 6,6394 6,6470 6,6330 6,5743 6,4329 6,1800 5,8209 5,3933 4,9486 4,5298 4,1518 3,7928 3,4024 2,9306 2,3638 1,7411 1,1365 0,6245 0,2570 0,0640 0,0545 0,2002 0,4368 0,7007 0,9550 1,1720 1,3110 1,3235 1,1809 0,8952 0,5133 0,0952 -0,2975 -0,6012 -0,7532 -0,7075 -0,4545 -0,0248 0,5330 1,1781 1,8759 2,5762 3,2095 3,7131 4,0657 4,2972 4,4579 4,5740 4,6400 4,6563 4,6556 4,6878 4,7948 4,9973 5,2901 5,6455 6,0161 6,3326 6,5185 6,5298 6,3837 6,1440 5,8815 5,6381 5,4086 5,1487 4,8074 4,3639 3,8512 3,3491 2,9467 2,6971 2,5945 2,5829 2,5851 2,5373 2,4199 2,2607 2,1084 2,0004 1,9507 1,9567 2,0086 2,0914 2,1828 2,2560 2,2836 2,2385 2,1005 1,8745 1,5989 1,3207 1,0630 0,8186 0,5629 0,2756 -0,0359 -0,3264 -0,5304 -0,5924 -0,4890 -0,2412 0,0902 0,4227 0,6751 0,7950 0,7873 0,7148 0,6632 0,7009 0,8564 1,1135 1,4205 1,7135 1,9423 2,0846 2,1492 2,1746 2,2135 2,2993 2,4250 2,5607 2,6889 2,8188 2,9771 3,1947 3,4873 3,8288 4,1468 4,3559 4,3988 4,2689 4,0116 3,7120 3,4699 3,3631 3,4197 3,6142 3,8779 4,1160 4,2373 4,1917 3,9852 3,6649 3,2993 2,9647 2,7250 2,6086 2,6038 2,6775 2,8015 2,9657 3,1619 3,3559 3,4824 3,4775 3,3264 3,0839 2,8490 2,7122 2,7164 2,8563 3,0962 3,3834 3,6548 3,8555 3,9676 4,0212 4,0668 4,1257 4,1661 4,1316 3,9898 3,7505 3,4486 3,1185 2,7862 2,4690 2,1822 1,9482 1,7978 1,7587 1,8405 2,0226 2,2565 2,4816 2,6479 2,7375 2,7638 2,7513 2,7176 2,6676 2,6003 2,5209 2,4473 2,4014 2,3953 2,4290 2,4991 2,5999 2,7217 2,8548 2,9913 3,1238 3,2478 3,3619 3,4647 3,5529 3,6214 3,6627 3,6652 3,6179 3,5154 3,3557 3,1337 2,8486 2,5210 2,1962 1,9239 1,7320 1,6177 1,5579 1,5301 1,5222 1,5245 1,5168 1,4709 1,3693 1,2237 1,0718 0,9529 0,8902 0,8945 0,9680 1,1034 1,2876 1,5051 1,7345 1,9522 2,1422 2,2915 2,3802 2,3850 2,2954 2,1196 1,8782 1,5972 1,3086 1,0476 0,8411 0,6983 0,6154 0,5873 0,6132 0,6859 0,7875 0,8992 1,0105 1,1179 1,2190 1,3113 1,3892 1,4355 1,4215 1,3243 1,1409 0,8930 0,6210 0,3629 0,1336 -0,0729 -0,2597 -0,4081 -0,4889 -0,4915 -0,4324 -0,3345 -0,2096 -0,0689 0,0596 0,1299 0,0935 -0,0784 -0,3758 -0,7488 -1,1305 -1,4629 -1,7101 -1,8600 -1,9191 -1,9106 -1,8817 -1,9015 -2,0321 -2,2944 -2,6626 -3,0862 -3,5024 -3,8447 -4,0561 -4,0992 -3,9560 -3,6334 -3,1721 -2,6414 -2,1193 -1,6717 -1,3387 -1,1269 -1,0121 -0,9518 -0,9062 -0,8606 -0,8321 -0,8524 -0,9378 -1,0724 -1,2159 -1,3262 -1,3806 -1,3809 -1,3417 -1,2741 -1,1784 -1,0466 -0,8702 -0,6534 -0,4165 -0,1835 0,0233 0,1767 0,2478 0,2287 0,1508 0,0712 0,0315 0,0380 0,0791 0,1479 0,2447 0,3673 0,5015 0,6185 0,6823 0,6687 0,5859 0,4740 0,3779 0,3269 0,3298 0,3708 0,4164 0,4412 0,4429 0,4337 0,4352 0,4723 0,5543 0,6653 0,7829 0,8965 0,9969 1,0640 1,0737 1,0111 0,8718 0,6604 0,3977 0,1258 -0,1055 -0,2677 -0,3740 -0,4709 -0,6069 -0,8113 -1,0952 -1,4526 -1,8559 -2,2679 -2,6658 -3,0441 -3,3966 -3,7051 -3,9477 -4,1041 -4,1482 -4,0528 -3,8167 -3,4818 -3,1171 -2,7857 -2,5253 -2,3505 -2,2612 -2,2471 -2,2908
F3    -0,5341 -0,2399 -0,0661 -0,0297 -0,0983 -0,2070 -0,2835 -0,2778 -0,1748 0,0217 0,3012 0,6400 0,9928 1,3041 1,5321 1,6644 1,7077 1,6679 1,5476 1,3554 1,1003 0,7862 0,4289 0,0738 -0,2180 -0,3989 -0,4541 -0,4021 -0,2829 -0,1332 0,0320 0,2097 0,3817 0,5078 0,5454 0,4723 0,2947 0,0440 -0,2314 -0,4825 -0,6795 -0,8213 -0,9335 -1,0569 -1,2204 -1,4154 -1,6022 -1,7395 -1,8096 -1,8190 -1,7836 -1,7234 -1,6650 -1,6346 -1,6476 -1,7061 -1,7925 -1,8649 -1,8752 -1,8015 -1,6602 -1,4803 -1,2669 -0,9975 -0,6612 -0,2913 0,0537 0,3366 0,5612 0,7513 0,9183 1,0471 1,1137 1,1123 1,0629 0,9918 0,9077 0,8060 0,6927 0,5876 0,5043 0,4460 0,4244 0,4686 0,6063 0,8361 1,1244 1,4218 1,6721 1,8147 1,7957 1,5844 1,1903 0,6692 0,1070 -0,4123 -0,8309 -1,1276 -1,3160 -1,4267 -1,4850 -1,4980 -1,4560 -1,3535 -1,2133 -1,0877 -1,0359 -1,0973 -1,2701 -1,5072 -1,7402 -1,9155 -2,0109 -2,0261 -1,9680 -1,8505 -1,6988 -1,5365 -1,3637 -1,1567 -0,8967 -0,5967 -0,2999 -0,0554 0,1012 0,1600 0,1495 0,1294 0,1561 0,2565 0,4292 0,6536 0,8960 1,1216 1,3066 1,4428 1,5409 1,6300 1,7407 1,8862 2,0510 2,1928 2,2549 2,1912 1,9942 1,7072 1,4037 1,1460 0,9620 0,8516 0,8041 0,8064 0,8449 0,9039 0,9569 0,9571 0,8460 0,5842 0,1767 -0,3245 -0,8369 -1,2721 -1,5588 -1,6526 -1,5317 -1,1940 -0,6596 0,0299 0,8214 1,6599 2,4910 3,2642 3,9336 4,4544 4,7876 4,9196 4,8863 4,7710 4,6652 4,6258 4,6699 4,7941 4,9870 5,2340 5,5246 5,8528 6,2109 6,5914 6,9935 7,4159 7,8345 8,1969 8,4493 8,5663 8,5578 8,4518 8,2763 8,0580 7,8308 7,6300 7,4706 7,3387 7,2093 7,0670 6,9114 6,7502 6,5856 6,4004 6,1623 5,8530 5,4917 5,1241 4,7903 4,5028 4,2487 3,9987 3,7146 3,3666 2,9568 2,5212 2,1028 1,7238 1,3865 1,0978 0,8797 0,7544 0,7313 0,8082 0,9649 1,1472 1,2693 1,2446 1,0287 0,6454 0,1719 -0,3012 -0,6967 -0,9512 -1,0135 -0,8589 -0,5082 -0,0291 0,4943 1,0033 1,4775 1,9142 2,3074 2,6479 2,9357 3,1879 3,4237 3,6381 3,8052 3,9167 4,0035 4,1170 4,3025 4,5807 4,9325 5,2986 5,5952 5,7367 5,6692 5,4060 5,0324 4,6622 4,3820 4,2215 4,1510 4,0996 3,9870 3,7564 3,4019 2,9805 2,5904 2,3179 2,1936 2,1905 2,2475 2,3010 2,3151 2,2949 2,2709 2,2672 2,2848 2,3118 2,3383 2,3582 2,3604 2,3269 2,2445 2,1105 1,9346 1,7477 1,5995 1,5262 1,5199 1,5332 1,5017 1,3664 1,1021 0,7450 0,3928 0,1674 0,1609 0,3923 0,8010 1,2744 1,6904 1,9610 2,0673 2,0528 1,9745 1,8665 1,7452 1,6268 1,5316 1,4759 1,4628 1,4779 1,5013 1,5278 1,5750 1,6645 1,7993 1,9660 2,1593 2,3983 2,7138 3,1187 3,5782 4,0001 4,2639 4,2816 4,0440 3,6231 3,1369 2,7032 2,4022 2,2632 2,2724 2,3888 2,5515 2,6875 2,7308 2,6512 2,4711 2,2532 2,0687 1,9688 1,9634 2,0197 2,0858 2,1216 2,1184 2,0950 2,0723 2,0425 1,9661 1,8053 1,5682 1,3209 1,1574 1,1496 1,3158 1,6243 2,0152 2,4157 2,7509 2,9669 3,0561 3,0612 3,0487 3,0659 3,1086 3,1291 3,0767 2,9323 2,7092 2,4353 2,1417 1,8584 1,6101 1,4115 1,2676 1,1862 1,1872 1,2926 1,5026 1,7814 2,0732 2,3372 2,5651 2,7665 2,9433 3,0718 3,1105 3,0376 2,8850 2,7242 2,6197 2,6041 2,6842 2,8461 3,0522 3,2461 3,3718 3,3944 3,3127 3,1535 2,9569 2,7674 2,6304 2,5819 2,6262 2,7204 2,7858 2,7412 2,5390 2,1897 1,7606 1,3501 1,0467 0,8918 0,8702 0,9298 1,0154 1,0891 1,1283 1,1102 1,0105 0,8174 0,5436 0,2259 -0,0870 -0,3459 -0,5078 -0,5455 -0,4611 -0,2902 -0,0870 0,1009 0,2564 0,3980 0,5585 0,7521 0,9543 1,1120 1,1756 1,1261 0,9801 0,7761 0,5569 0,3560 0,1974 0,1056 0,1064 0,2141 0,4196 0,6937 0,9983 1,2970 1,5631 1,7797 1,9341 2,0138 2,0044 1,8969 1,7052 1,4643 1,2091 0,9558 0,7007 0,4319 0,1462 -0,1380 -0,3803 -0,5394 -0,6014 -0,5819 -0,5023 -0,3805 -0,2490 -0,1636 -0,1857 -0,3546 -0,6692 -1,0875 -1,5418 -1,9632 -2,3009 -2,5224 -2,6048 -2,5342 -2,3204 -2,0171 -1,7245 -1,5545 -1,5821 -1,8227 -2,2430 -2,7790 -3,3482 -3,8567 -4,2084 -4,3230 -4,1648 -3,7670 -3,2243 -2,6559 -2,1645 -1,8110 -1,6035 -1,5073 -1,4690 -1,4440 -1,4149 -1,3924 -1,3977 -1,4385 -1,4979 -1,5479 -1,5711 -1,5693 -1,5542 -1,5328 -1,5044 -1,4657 -1,4139 -1,3471 -1,2683 -1,1825 -1,0957 -1,0255 -1,0023 -1,0439 -1,1264 -1,1858 -1,1530 -1,0005 -0,7564 -0,4695 -0,1730 0,1222 0,4115 0,6800 0,8981 1,0321 1,0638 1,0038 0,8848 0,7414 0,6053 0,5058 0,4530 0,4240 0,3861 0,3297 0,2780 0,2732 0,3457 0,4846 0,6428 0,7745 0,8631 0,9168 0,9535 0,9938 1,0527 1,1257 1,1885 1,2170 1,2096 1,1815 1,1353 1,0419 0,8567 0,5590 0,1686 -0,2705 -0,7135 -1,1332 -1,5358 -1,9601 -2,4412 -2,9660 -3,4675 -3,8610 -4,0865 -4,1216 -3,9758 -3,6934 -3,3468 -3,0065 -2,7101 -2,4645 -2,2707 -2,1346 -2,0567 -2,0246
F7    0,2195 0,3340 0,3548 0,3151 0,2716 0,2683 0,3054 0,3491 0,3735 0,3820 0,3925 0,4197 0,4746 0,5750 0,7445 0,9893 1,2703 1,5083 1,6315 1,6203 1,5064 1,3336 1,1184 0,8433 0,4881 0,0677 -0,3662 -0,7576 -1,0732 -1,3021 -1,4437 -1,5020 -1,4826 -1,3866 -1,2127 -0,9655 -0,6625 -0,3435 -0,0729 0,0822 0,0864 -0,0489 -0,2820 -0,5561 -0,7991 -0,9397 -0,9488 -0,8568 -0,7241 -0,5986 -0,5032 -0,4484 -0,4424 -0,4849 -0,5623 -0,6538 -0,7260 -0,7263 -0,6012 -0,3333 0,0321 0,3997 0,6739 0,8033 0,7861 0,6527 0,4564 0,2653 0,1451 0,1291 0,1943 0,2741 0,3096 0,3025 0,3188 0,4449 0,7278 1,1451 1,6357 2,1509 2,6635 3,1350 3,4989 3,6916 3,6916 3,5178 3,2091 2,8164 2,3916 1,9754 1,6003 1,2949 1,0783 0,9562 0,9241 0,9730 1,0803 1,1879 1,2098 1,0859 0,8160 0,4437 0,0293 -0,3643 -0,6868 -0,9135 -1,0398 -1,0623 -0,9730 -0,7766 -0,5108 -0,2421 -0,0438 0,0382 0,0192 -0,0415 -0,1002 -0,1594 -0,2420 -0,3474 -0,4409 -0,4912 -0,5028 -0,4986 -0,4814 -0,4278 -0,3111 -0,1256 0,1113 0,3726 0,6263 0,8423 1,0207 1,2070 1,4496 1,7450 2,0376 2,2607 2,3733 2,3772 2,3187 2,2714 2,2964 2,3999 2,5229 2,5736 2,4734 2,1945 1,7804 1,3355 0,9704 0,7429 0,6402 0,6028 0,5565 0,4337 0,1996 -0,1160 -0,4142 -0,5794 -0,5556 -0,3764 -0,1193 0,1630 0,4634 0,7903 1,1332 1,4622 1,7519 2,0026 2,2350 2,4667 2,7004 2,9420 3,2174 3,5563 3,9628 4,4071 4,8339 5,1744 5,3609 5,3577 5,1945 4,9641 4,7747 4,6992 4,7530 4,9063 5,1116 5,3353 5,5705 5,8165 6,0561 6,2464 6,3262 6,2401 5,9760 5,5929 5,2065 4,9322 4,8279 4,8736 5,0030 5,1568 5,3112 5,4655 5,6125 5,7248 5,7651 5,7028 5,5280 5,2584 4,9249 4,5456 4,1230 3,6584 3,1558 2,6152 2,0400 1,4550 0,9171 0,5029 0,2793 0,2781 0,4810 0,8094 1,1339 1,3276 1,3287 1,1476 0,8229 0,3865 -0,1273 -0,6542 -1,0994 -1,3830 -1,4875 -1,4487 -1,3119 -1,1062 -0,8478 -0,5357 -0,1371 0,4010 1,1020 1,9228 2,7614 3,4895 3,9944 4,2251 4,2087 4,0165 3,7164 3,3631 3,0035 2,6668 2,3691 2,1417 2,0434 2,1375 2,4420 2,8904 3,3547 3,7155 3,9098 3,9256 3,7777 3,4996 3,1430 2,7623 2,4033 2,1117 1,9381 1,9138 2,0205 2,1909 2,3475 2,4481 2,4937 2,5048 2,4971 2,4634 2,3698 2,1776 1,8720 1,4818 1,0826 0,7636 0,5709 0,4898 0,4766 0,4909 0,5074 0,5271 0,5796 0,6860 0,8187 0,9180 0,9478 0,9215 0,8849 0,8804 0,9225 0,9964 1,0706 1,1145 1,1169 1,0838 1,0182 0,9162 0,7835 0,6573 0,6081 0,7017 0,9504 1,3040 1,6794 2,0041 2,2489 2,4297 2,5756 2,6971 2,7845 2,8254 2,8214 2,7906 2,7523 2,7018 2,6150 2,4869 2,3494 2,2482 2,2129 2,2522 2,3619 2,5278 2,7181 2,8871 3,0006 3,0580 3,0893 3,1330 3,2107 3,3078 3,3718 3,3360 3,1590 2,8504 2,4657 2,0818 1,7646 1,5395 1,3924 1,3039 1,2704 1,2960 1,3784 1,5073 1,6715 1,8602 2,0523 2,2078 2,2776 2,2278 2,0551 1,7969 1,5387 1,3854 1,3960 1,5442 1,7345 1,8547 1,8312 1,6542 1,3772 1,1050 0,9489 0,9617 1,1100 1,3126 1,5005 1,6463 1,7588 1,8657 1,9888 2,1202 2,2196 2,2407 2,1636 2,0078 1,8190 1,6476 1,5275 1,4607 1,4244 1,4001 1,3963 1,4449 1,5769 1,7964 2,0778 2,3862 2,6940 2,9870 3,2720 3,5739 3,9044 4,2269 4,4638 4,5442 4,4473 4,2086 3,8965 3,5851 3,3359 3,1832 3,1210 3,1001 3,0483 2,9076 2,6671 2,3628 2,0452 1,7469 1,4723 1,2126 0,9737 0,7876 0,6934 0,7036 0,7857 0,8807 0,9484 0,9836 0,9892 0,9517 0,8508 0,6875 0,5075 0,3996 0,4515 0,6871 1,0409 1,3978 1,6571 1,7633 1,7005 1,4798 1,1386 0,7398 0,3648 0,1004 0,0115 0,1065 0,3230 0,5569 0,7199 0,7759 0,7369 0,6403 0,5345 0,4707 0,4866 0,5854 0,7382 0,9089 1,0630 1,1679 1,2047 1,1768 1,1046 1,0217 0,9724 0,9987 1,1181 1,3053 1,4913 1,5893 1,5389 1,3384 1,0377 0,7000 0,3728 0,0892 -0,1246 -0,2594 -0,3284 -0,3526 -0,3476 -0,3293 -0,3267 -0,3806 -0,5279 -0,7865 -1,1476 -1,5749 -2,0149 -2,4035 -2,6663 -2,7347 -2,5805 -2,2358 -1,7845 -1,3362 -0,9881 -0,7874 -0,7219 -0,7492 -0,8295 -0,9311 -1,0155 -1,0396 -0,9790 -0,8417 -0,6507 -0,4263 -0,1943 -0,0077 0,0580 -0,0471 -0,2949 -0,5837 -0,8004 -0,8842 -0,8400 -0,7138 -0,5646 -0,4411 -0,3568 -0,2758 -0,1398 0,0797 0,3660 0,6806 0,9717 1,1749 1,2485 1,2170 1,1520 1,1053 1,0772 1,0388 0,9561 0,7992 0,5562 0,2491 -0,0698 -0,3428 -0,5328 -0,6193 -0,5865 -0,4367 -0,1996 0,0956 0,4445 0,8549 1,3237 1,8233 2,2959 2,6683 2,8895 2,9566 2,9090 2,8125 2,7345 2,7078 2,7108 2,6816 2,5546 2,2919 1,8979 1,4125 0,8941 0,4079 0,0160 -0,2374 -0,3343 -0,2854 -0,1357 0,0485 0,2180 0,3602 0,4814 0,5766 0,6162 0,5629 0,4040 0,1606 -0,1332 -0,4501 -0,7720 -1,0868 -1,3876 -1,6678 -1,9112 -2,0915 -2,1917 -2,2259 -2,2327 -2,2428
