Fp1   0,8996 0,9705 1,1102 1,2824 1,4349 1,5241 1,5412 1,5134 1,4778 1,4583 1,4732 1,5572 1,7588 2,1050 2,5478 2,9409 3,0997 2,9227 2,4702 1,9274 1,4757 1,1985 1,0943 1,1214 1,2032 1,2583 1,2666 1,2734 1,3323 1,4679 1,6655 1,8617 1,9524 1,8256 1,4066 0,6816 -0,3152 -1,5125 -2,8007 -4,0541 -5,1570 -5,9935 -6,4495 -6,4720 -6,1133 -5,4839 -4,6850 -3,8122 -2,9755 -2,2762 -1,7711 -1,4533 -1,2594 -1,1147 -0,9960 -0,9511 -1,0385 -1,2504 -1,4954 -1,6385 -1,5658 -1,2385 -0,7037 -0,0713 0,5350 1,0404 1,4511 1,8308 2,2409 2,6957 3,1700 3,6292 4,0384 4,3564 4,5268 4,4889 4,2245 3,7989 3,3403 2,9789 2,7951 2,7862 2,8685 2,9319 2,9027 2,7625 2,5365 2,2798 2,0509 1,8791 1,7588 1,6698 1,5912 1,5043 1,4002 1,2878 1,1725 1,0292 0,8212 0,5447 0,2248 -0,1347 -0,5587 -1,0496 -1,5663 -2,0559 -2,4789 -2,8315 -3,1819 -3,6629 -4,3959 -5,4172 -6,6637 -8,0204 -9,3844 -10,6843 -11,8608 -12,8729 -13,7031 -14,3318 -14,7291 -14,8661 -14,7182 -14,2774 -13,5745 -12,6844 -11,7092 -10,7481 -9,8690 -9,0966 -8,4286 -7,8546 -7,3551 -6,8966 -6,4400 -5,9518 -5,4136 -4,8174 -4,1514 -3,4052 -2,5844 -1,7070 -0,7907 0,1539 1,1225 2,0996 3,0406 3,8851 4,5866 5,1240 5,4948 5,7214 5,8608 5,9813 6,1124 6,2362 6,3457 6,4860 6,7180 7,0458 7,3867 7,6173 7,6488 7,4543 7,0337 6,3776 5,4671 4,3020 2,9246 1,4249 -0,0532 -1,3205 -2,2094 -2,6603 -2,7323 -2,5337 -2,1583 -1,6627 -1,0608 -0,3317 0,5425 1,5428 2,6151 3,6878 4,6903 5,5594 6,2324 6,6362 6,7024 6,4154 5,8549 5,1805 4,5564 4,0819 3,7867 3,6606 3,6642 3,7301 3,7930 3,8246 3,8195 3,7571 3,6068 3,3630 3,0449 2,6548 2,1600 1,5261 0,7507 -0,1463 -1,1457 -2,2190 -3,3083 -4,3494 -5,3305 -6,3102 -7,3485 -8,4243 -9,4416 -10,3091 -10,9931 -11,5001 -11,8435 -12,0481 -12,1587 -12,2218 -12,2815 -12,4052 -12,6710 -13,0943 -13,5789 -13,9559 -14,0706 -13,8474 -13,3090 -12,5517 -11,6866 -10,7902 -9,9023 -9,0683 -8,3708 -7,9064 -7,7312 -7,8273 -8,1111 -8,4730 -8,8148 -9,0633 -9,1712 -9,1326 -8,9954 -8,8468 -8,7845 -8,8848 -9,1613 -9,5465 -9,9382 -10,2663 -10,5109 -10,6804 -10,7909 -10,8650 -10,9438 -11,0834 -11,3121 -11,5948 -11,8562 -12,0429 -12,1681 -12,2971 -12,4960 -12,7994 -13,2141 -13,7198 -14,2534 -14,7097 -14,9812 -15,0046 -14,7842 -14,4018 -13,9972 -13,7045 -13,5847 -13,6091 -13,6896 -13,7259 -13,6432 -13,4017 -12,9835 -12,3819 -11,5978 -10,6522 -9,6180 -8,6283 -7,8273 -7,2994 -7,0308 -6,9297 -6,8855 -6,8161 -6,6811 -6,4890 -6,2929 -6,1497 -6,0794 -6,0706 -6,0979 -6,1135 -6,0507 -5,8637 -5,5432 -5,0938 -4,5284 -3,8852 -3,2251 -2,6062 -2,0553 -1,5673 -1,1384 -0,8033 -0,6342 -0,6893 -0,9601 -1,3773 -1,8708 -2,4018 -2,9340 -3,4093 -3,7686 -3,9781 -4,0356 -3,9732 -3,8570 -3,7710 -3,7903 -3,9562 -4,2635 -4,6658 -5,0921 -5,4628 -5,7010 -5,7414 -5,5474 -5,1388 -4,5909 -3,9995 -3,4544 -3,0289 -2,7579 -2,6200 -2,5630 -2,5372 -2,4835 -2,3339 -2,0553 -1,6725 -1,2511 -0,8747 -0,6168 -0,5074 -0,5266 -0,6383 -0,8340 -1,1414 -1,5903 -2,1515 -2,6982 -3,0297 -2,9524 -2,3662 -1,3161 0,0088 1,3372 2,4309 3,1898 3,6620 3,9716 4,2467 4,5769 4,9892 5,4633 5,9720 6,4888 6,9710 7,3734 7,6826 7,9101 8,0450 8,0483 7,9054 7,6576 7,3798 7,1422 6,9758 6,8468 6,6785 6,4068 6,0157 5,5381 5,0324 4,5507 4,1300 3,8069 3,6129 3,5438 3,5553 3,5980 3,6400 3,6609 3,6442 3,5776 3,4559 3,2861 3,0789 2,8231 2,4855 2,0455 1,5218 0,9653 0,4264 -0,0743 -0,5449 -1,0006 -1,4366 -1,7962 -1,9749 -1,8774 -1,4799 -0,8484 -0,1169 0,5711 1,1311 1,5530 1,8421 1,9745 1,9304 1,7458 1,5224 1,3962 1,4739 1,7755 2,2249 2,6907 3,0475 3,2268 3,2270 3,0722 2,7596 2,2524 1,5264 0,6203 -0,3600 -1,2944 -2,1020 -2,7333 -3,1475 -3,3411 -3,3854 -3,3976 -3,4633 -3,6007 -3,7824 -3,9589 -4,0736 -4,0841 -3,9736 -3,7449 -3,4318 -3,1158 -2,8899 -2,7919 -2,7909 -2,8343 -2,9057 -3,0424 -3,2939 -3,6638 -4,0948 -4,4984 -4,7847 -4,8826 -4,7792 -4,5605 -4,3902 -4,4358 -4,8057 -5,5264 -6,5518 -7,7956 -9,1537 -10,5031 -11,7089 -12,6532 -13,2704 -13,5618 -13,5770 -13,3826 -13,0573 -12,6958 -12,3799 -12,1264 -11,8706 -11,5182 -11,0258 -10,4367 -9,8380 -9,2867 -8,7706 -8,2224 -7,5626 -6,7456 -5,7846 -4,7490 -3,7501 -2,9048 -2,2888 -1,9216 -1,7778 -1,7902 -1,8659 -1,9225 -1,9044 -1,7805 -1,5607 -1,3144 -1,1387 -1,0849 -1,1208 -1,1712 -1,1958 -1,2391 -1,4115 -1,8117 -2,4562 -3,2923 -4,2631 -5,3202 -6,3915 -7,3809 -8,2059 -8,8379 -9,3179 -9,7326 -10,1542 -10,5839 -10,9513 -11,1725 -11,2137 -11,0991 -10,8645 -10,5198 -10,0592 -9,4942 -8,8652 -8,2143 -7,5577 -6,8915 -6,2063 -5,4897 -4,7392 -3,9719 -3,2122 -2,4717 -1,7410 -0,9973 -0,2304 0,5325 1,2448 1,8883 2,4811 3,0302 3,4859 3,7209 3,5560 2,8580 1,6390 0,0621 -1,6401 -3,2542 -4,6443 -5,7846 -6,7336 -7,5543 -8,2638 -8,8294 -9,1724 -9,2106 -8,9257 -8,3670 -7,5978 -6,6749 -5,6795 -4,7295 -3,9349 -3,3552 -3,0028 -2,8644 -2,9066 -3,0695 -3,2747
Fz    0,7161 0,9072 1,1288 1,3160 1,4185 1,4223 1,3572 1,2749 1,2127 1,1762 1,1584 1,1668 1,2261 1,3557 1,5351 1,6865 1,7088 1,5476 1,2409 0,8991 0,6352 0,5071 0,5131 0,6128 0,7406 0,8359 0,8837 0,9142 0,9642 1,0498 1,1576 1,2447 1,2521 1,1283 0,8481 0,4142 -0,1570 -0,8379 -1,5816 -2,3270 -3,0118 -3,5691 -3,9312 -4,0620 -3,9815 -3,7479 -3,4271 -3,0887 -2,8048 -2,6284 -2,5723 -2,6023 -2,6514 -2,6569 -2,6019 -2,5265 -2,4943 -2,5425 -2,6527 -2,7513 -2,7442 -2,5700 -2,2334 -1,7968 -1,3358 -0,8878 -0,4414 0,0310 0,5355 1,0502 1,5489 2,0169 2,4403 2,7924 3,0357 3,1389 3,1107 3,0142 2,9385 2,9502 3,0623 3,2332 3,3883 3,4567 3,4027 3,2371 3,0130 2,8043 2,6609 2,5756 2,4998 2,3889 2,2336 2,0574 1,8971 1,7807 1,7050 1,6253 1,4780 1,2306 0,9002 0,5196 0,1028 -0,3515 -0,8438 -1,3642 -1,8831 -2,3655 -2,8097 -3,2603 -3,7781 -4,4025 -5,1322 -5,9299 -6,7441 -7,5243 -8,2209 -8,7906 -9,2005 -9,4282 -9,4711 -9,3511 -9,0955 -8,7189 -8,2292 -7,6408 -6,9828 -6,2994 -5,6428 -5,0556 -4,5526 -4,1167 -3,7082 -3,2869 -2,8296 -2,3310 -1,7984 -1,2449 -0,6812 -0,1116 0,4627 1,0404 1,6181 2,1888 2,7398 3,2477 3,6851 4,0415 4,3328 4,5832 4,8059 5,0010 5,1701 5,3223 5,4646 5,5999 5,7458 5,9432 6,2258 6,5767 6,9220 7,1695 7,2579 7,1712 6,9111 6,4683 5,8254 4,9816 3,9722 2,8731 1,8023 0,9014 0,2802 -0,0390 -0,1173 -0,0517 0,0720 0,2062 0,3554 0,5683 0,8997 1,3717 1,9635 2,6243 3,2923 3,9080 4,4151 4,7569 4,8766 4,7318 4,3266 3,7368 3,0901 2,5091 2,0717 1,8094 1,7160 1,7526 1,8626 1,9971 2,1226 2,2177 2,2805 2,3335 2,3986 2,4566 2,4395 2,2672 1,8876 1,2888 0,4918 -0,4507 -1,4522 -2,4189 -3,2973 -4,0968 -4,8533 -5,5744 -6,2268 -6,7704 -7,1921 -7,5060 -7,7342 -7,8998 -8,0261 -8,1306 -8,2292 -8,3555 -8,5529 -8,8316 -9,1429 -9,3982 -9,5109 -9,4315 -9,1609 -8,7373 -8,2122 -7,6399 -7,0772 -6,5864 -6,2268 -6,0315 -5,9878 -6,0445 -6,1388 -6,2186 -6,2502 -6,2121 -6,0862 -5,8656 -5,5742 -5,2782 -5,0746 -5,0505 -5,2295 -5,5529 -5,9169 -6,2321 -6,4571 -6,6003 -6,6999 -6,7961 -6,9193 -7,0937 -7,3380 -7,6581 -8,0426 -8,4686 -8,9171 -9,3820 -9,8608 -10,3397 -10,7887 -11,1684 -11,4426 -11,5895 -11,6086 -11,5168 -11,3367 -11,0977 -10,8465 -10,6400 -10,5156 -10,4659 -10,4396 -10,3689 -10,2037 -9,9265 -9,5471 -9,0850 -8,5568 -7,9790 -7,3866 -6,8381 -6,3854 -6,0372 -5,7519 -5,4666 -5,1385 -4,7659 -4,3816 -4,0403 -3,8036 -3,7068 -3,7299 -3,8079 -3,8646 -3,8363 -3,6903 -3,4391 -3,1243 -2,7804 -2,4275 -2,0931 -1,8185 -1,6372 -1,5534 -1,5455 -1,5892 -1,6769 -1,8178 -2,0189 -2,2627 -2,5139 -2,7501 -2,9770 -3,2067 -3,4378 -3,6574 -3,8495 -4,0035 -4,1208 -4,2141 -4,3014 -4,4023 -4,5317 -4,6867 -4,8390 -4,9468 -4,9726 -4,8971 -4,7209 -4,4586 -4,1360 -3,7827 -3,4227 -3,0807 -2,7904 -2,5847 -2,4763 -2,4556 -2,4992 -2,5650 -2,6012 -2,5768 -2,5021 -2,4228 -2,3933 -2,4480 -2,5902 -2,8024 -3,0619 -3,3501 -3,6542 -3,9612 -4,2413 -4,4308 -4,4361 -4,1685 -3,5897 -2,7401 -1,7319 -0,7087 0,2106 0,9688 1,5686 2,0438 2,4385 2,7941 3,1362 3,4763 3,8249 4,1881 4,5493 4,8724 5,1310 5,3177 5,4161 5,3960 5,2481 5,0014 4,7005 4,3804 4,0549 3,7132 3,3343 2,9085 2,4476 1,9842 1,5673 1,2442 1,0440 0,9726 1,0052 1,0754 1,0916 0,9843 0,7411 0,4034 0,0380 -0,2953 -0,5630 -0,7607 -0,9100 -1,0556 -1,2474 -1,5144 -1,8480 -2,2041 -2,5291 -2,7921 -2,9945 -3,1548 -3,2796 -3,3411 -3,2865 -3,0751 -2,7056 -2,2172 -1,6841 -1,1987 -0,8367 -0,6335 -0,5967 -0,7167 -0,9551 -1,2411 -1,4845 -1,5928 -1,4967 -1,1814 -0,7000 -0,1563 0,3345 0,6834 0,8438 0,8080 0,5871 0,1938 -0,3592 -1,0435 -1,7983 -2,5404 -3,1937 -3,7032 -4,0343 -4,1868 -4,2079 -4,1722 -4,1395 -4,1337 -4,1495 -4,1639 -4,1448 -4,0640 -3,9064 -3,6759 -3,4083 -3,1748 -3,0424 -3,0234 -3,0707 -3,1252 -3,1645 -3,2063 -3,2726 -3,3595 -3,4399 -3,4873 -3,4889 -3,4426 -3,3598 -3,2824 -3,2822 -3,4357 -3,7932 -4,3605 -5,1003 -5,9482 -6,8240 -7,6441 -8,3392 -8,8640 -9,1936 -9,3225 -9,2639 -9,0445 -8,7047 -8,3008 -7,8868 -7,4848 -7,0746 -6,6219 -6,1216 -5,6140 -5,1581 -4,7939 -4,5222 -4,3051 -4,0787 -3,7814 -3,3855 -2,9126 -2,4255 -2,0023 -1,7056 -1,5696 -1,5984 -1,7638 -2,0118 -2,2798 -2,5072 -2,6455 -2,6758 -2,6183 -2,5192 -2,4205 -2,3425 -2,2894 -2,2735 -2,3356 -2,5366 -2,9151 -3,4502 -4,0753 -4,7221 -5,3418 -5,9016 -6,3821 -6,7811 -7,1226 -7,4564 -7,8348 -8,2777 -8,7524 -9,1840 -9,4983 -9,6593 -9,6716 -9,5569 -9,3364 -9,0292 -8,6609 -8,2680 -7,8823 -7,5114 -7,1418 -6,7506 -6,3096 -5,7995 -5,2280 -4,6252 -4,0217 -3,4287 -2,8368 -2,2365 -1,6368 -1,0571 -0,5076 0,0093 0,4758 0,8407 1,0168 0,9033 0,4427 -0,3302 -1,2953 -2,3041 -3,2341 -4,0184 -4,6611 -5,2262 -5,7842 -6,3632 -6,9285 -7,3911 -7,6504 -7,6519 -7,4053 -6,9612 -6,3898 -5,7800 -5,2305 -4,8202 -4,5842 -4,5137 -4,5699 -4,6947 -4,8209 -4,8919
F3    0,4025 0,5671 0,7907 0,9759 1,0471 0,9828 0,8204 0,6334 0,4929 0,4346 0,4534 0,5292 0,6552 0,8332 1,0416 1,2137 1,2660 1,1575 0,9226 0,6571 0,4710 0,4332 0,5445 0,7517 0,9813 1,1755 1,3132 1,3979 1,4314 1,4044 1,3056 1,1371 0,9177 0,6668 0,3883 0,0713 -0,3001 -0,7361 -1,2327 -1,7684 -2,2985 -2,7497 -3,0395 -3,1228 -3,0208 -2,8017 -2,5454 -2,3230 -2,1836 -2,1455 -2,2003 -2,3141 -2,4277 -2,4766 -2,4188 -2,2525 -2,0211 -1,7982 -1,6489 -1,5895 -1,5811 -1,5608 -1,4830 -1,3416 -1,1481 -0,8895 -0,5244 -0,0273 0,5722 1,1989 1,7822 2,2897 2,7197 3,0649 3,2877 3,3400 3,2141 2,9602 2,6569 2,3755 2,1614 2,0248 1,9419 1,8736 1,7878 1,6740 1,5570 1,4924 1,5254 1,6492 1,8068 1,9238 1,9450 1,8579 1,6904 1,4806 1,2475 0,9811 0,6562 0,2687 -0,1419 -0,5227 -0,8542 -1,1584 -1,4778 -1,8505 -2,2808 -2,7265 -3,1321 -3,4803 -3,8073 -4,1730 -4,6178 -5,1443 -5,7321 -6,3527 -6,9684 -7,5336 -8,0009 -8,3257 -8,4798 -8,4612 -8,2839 -7,9634 -7,5179 -6,9739 -6,3681 -5,7487 -5,1709 -4,6783 -4,2841 -3,9687 -3,6833 -3,3681 -2,9841 -2,5262 -2,0114 -1,4651 -0,9105 -0,3562 0,2059 0,7849 1,3685 1,9219 2,4056 2,7926 3,0779 3,2863 3,4650 3,6480 3,8248 3,9507 3,9895 3,9487 3,8784 3,8490 3,9319 4,1826 4,6145 5,1731 5,7441 6,2043 6,4725 6,5215 6,3487 5,9426 5,2834 4,3773 3,2841 2,1113 0,9894 0,0483 -0,6156 -0,9771 -1,0906 -1,0521 -0,9444 -0,8024 -0,6106 -0,3199 0,1159 0,7048 1,4109 2,1772 2,9429 3,6461 4,2228 4,6123 4,7586 4,6189 4,1986 3,5839 2,9230 2,3596 1,9762 1,7806 1,7235 1,7256 1,7055 1,6076 1,4220 1,1871 0,9778 0,8766 0,9217 1,0629 1,1785 1,1415 0,8753 0,3655 -0,3520 -1,2106 -2,1365 -3,0652 -3,9526 -4,7790 -5,5366 -6,2101 -6,7706 -7,1915 -7,4706 -7,6364 -7,7281 -7,7754 -7,7969 -7,8069 -7,8241 -7,8830 -8,0254 -8,2619 -8,5429 -8,7745 -8,8660 -8,7730 -8,5146 -8,1579 -7,7809 -7,4386 -7,1537 -6,9312 -6,7742 -6,6795 -6,6231 -6,5701 -6,5022 -6,4233 -6,3364 -6,2254 -6,0645 -5,8451 -5,5921 -5,3630 -5,2370 -5,2872 -5,5375 -5,9348 -6,3685 -6,7236 -6,9306 -6,9890 -6,9566 -6,9125 -6,9202 -7,0067 -7,1609 -7,3542 -7,5665 -7,7933 -8,0394 -8,3164 -8,6415 -9,0287 -9,4678 -9,9098 -10,2829 -10,5288 -10,6249 -10,5801 -10,4174 -10,1717 -9,9053 -9,6992 -9,6051 -9,6085 -9,6393 -9,6142 -9,4788 -9,2271 -8,8909 -8,5088 -8,1001 -7,6674 -7,2293 -6,8388 -6,5487 -6,3569 -6,1967 -5,9839 -5,6673 -5,2451 -4,7599 -4,2925 -3,9459 -3,8056 -3,8902 -4,1246 -4,3640 -4,4620 -4,3446 -4,0352 -3,6128 -3,1512 -2,6983 -2,2930 -1,9792 -1,7949 -1,7491 -1,8139 -1,9381 -2,0655 -2,1560 -2,2009 -2,2197 -2,2466 -2,3192 -2,4633 -2,6787 -2,9401 -3,2138 -3,4700 -3,6885 -3,8654 -4,0115 -4,1395 -4,2579 -4,3704 -4,4572 -4,4653 -4,3423 -4,0849 -3,7455 -3,3916 -3,0699 -2,8014 -2,5930 -2,4429 -2,3449 -2,2929 -2,2812 -2,3008 -2,3428 -2,4051 -2,4855 -2,5722 -2,6392 -2,6552 -2,6089 -2,5254 -2,4504 -2,4180 -2,4435 -2,5370 -2,7061 -2,9472 -3,2443 -3,5640 -3,8417 -3,9765 -3,8605 -3,4345 -2,7292 -1,8619 -0,9856 -0,2215 0,3826 0,8439 1,2059 1,5095 1,7886 2,0759 2,4066 2,8120 3,3004 3,8450 4,3900 4,8733 5,2440 5,4656 5,5174 5,4048 5,1594 4,8224 4,4245 3,9781 3,4861 2,9582 2,4180 1,8940 1,4142 1,0095 0,7114 0,5444 0,5191 0,6150 0,7651 0,8708 0,8464 0,6542 0,3111 -0,1243 -0,5718 -0,9523 -1,2133 -1,3505 -1,4100 -1,4648 -1,5781 -1,7722 -2,0159 -2,2484 -2,4270 -2,5494 -2,6369 -2,7040 -2,7340 -2,6800 -2,4958 -2,1732 -1,7499 -1,2977 -0,9005 -0,6232 -0,4927 -0,5093 -0,6569 -0,8911 -1,1410 -1,3374 -1,4370 -1,4223 -1,2867 -1,0310 -0,6817 -0,3084 -0,0071 0,1370 0,0799 -0,1698 -0,5602 -1,0284 -1,5274 -2,0251 -2,4857 -2,8674 -3,1366 -3,2857 -3,3445 -3,3746 -3,4359 -3,5501 -3,6977 -3,8461 -3,9640 -4,0140 -3,9580 -3,7797 -3,4971 -3,1687 -2,8887 -2,7433 -2,7525 -2,8611 -2,9868 -3,0737 -3,1085 -3,1032 -3,0763 -3,0534 -3,0716 -3,1594 -3,3077 -3,4726 -3,6112 -3,7143 -3,8168 -3,9859 -4,2876 -4,7496 -5,3477 -6,0222 -6,7069 -7,3483 -7,9036 -8,3347 -8,6136 -8,7274 -8,6788 -8,4942 -8,2192 -7,8907 -7,5062 -7,0233 -6,3977 -5,6382 -4,8253 -4,0714 -3,4622 -3,0270 -2,7432 -2,5581 -2,4121 -2,2580 -2,0747 -1,8754 -1,6986 -1,5853 -1,5624 -1,6328 -1,7708 -1,9257 -2,0344 -2,0424 -1,9263 -1,7049 -1,4340 -1,1793 -0,9796 -0,8333 -0,7180 -0,6303 -0,6132 -0,7381 -1,0429 -1,4941 -2,0138 -2,5399 -3,0539 -3,5678 -4,0982 -4,6503 -5,2229 -5,8244 -6,4687 -7,1421 -7,7793 -8,2803 -8,5599 -8,5919 -8,4158 -8,1033 -7,7215 -7,3207 -6,9458 -6,6371 -6,4088 -6,2358 -6,0695 -5,8544 -5,5335 -5,0644 -4,4460 -3,7261 -2,9807 -2,2799 -1,6594 -1,1134 -0,6129 -0,1312 0,3446 0,8067 1,2184 1,5161 1,6239 1,4767 1,0506 0,3822 -0,4468 -1,3480 -2,2561 -3,1361 -3,9768 -4,7750 -5,5159 -6,1714 -6,7088 -7,0908 -7,2831 -7,2710 -7,0677 -6,7103 -6,2576 -5,7881 -5,3846 -5,1036 -4,9570 -4,9246 -4,9775 -5,0853 -5,2111 -5,3141
F7    -1,1744 -0,9767 -0,6422 -0,2473 0,1319 0,4442 0,6735 0,8362 0,9604 1,0521 1,0869 1,0466 0,9582 0,8860 0,8789 0,9262 0,9706 0,9611 0,8933 0,8092 0,7634 0,7870 0,8766 1,0017 1,1136 1,1642 1,1346 1,0430 0,9251 0,8149 0,7322 0,6762 0,6367 0,6034 0,5553 0,4494 0,2364 -0,1110 -0,5834 -1,1425 -1,7305 -2,2672 -2,6576 -2,8304 -2,7766 -2,5480 -2,2265 -1,9007 -1,6557 -1,5583 -1,6338 -1,8464 -2,1047 -2,2971 -2,3359 -2,1994 -1,9479 -1,6804 -1,4579 -1,2697 -1,0719 -0,8431 -0,6005 -0,3835 -0,2223 -0,1087 0,0022 0,1622 0,3989 0,7074 1,0662 1,4542 1,8482 2,2083 2,4771 2,6088 2,6073 2,5300 2,4525 2,4301 2,4797 2,5761 2,6581 2,6566 2,5368 2,3203 2,0726 1,8660 1,7388 1,6791 1,6438 1,5896 1,4916 1,3462 1,1722 1,0005 0,8453 0,6795 0,4494 0,1234 -0,2750 -0,6825 -1,0347 -1,2960 -1,4708 -1,5898 -1,6758 -1,7341 -1,7820 -1,8729 -2,0801 -2,4514 -2,9779 -3,6094 -4,2979 -5,0109 -5,7098 -6,3381 -6,8344 -7,1499 -7,2610 -7,1685 -6,8822 -6,4180 -5,8126 -5,1302 -4,4492 -3,8449 -3,3730 -3,0503 -2,8488 -2,7040 -2,5300 -2,2464 -1,8184 -1,2783 -0,7115 -0,2125 0,1601 0,4047 0,5658 0,7068 0,8810 1,1123 1,3933 1,6949 1,9813 2,2347 2,4736 2,7391 3,0548 3,3993 3,7146 3,9446 4,0667 4,1010 4,1052 4,1573 4,3221 4,6180 5,0054 5,4032 5,7273 5,9225 5,9568 5,7970 5,4058 4,7706 3,9351 2,9970 2,0765 1,2802 0,6777 0,2923 0,1041 0,0598 0,0927 0,1560 0,2512 0,4178 0,6920 1,0864 1,6028 2,2357 2,9488 3,6622 4,2722 4,6799 4,8091 4,6258 4,1681 3,5558 2,9526 2,5041 2,2915 2,3157 2,5042 2,7442 2,9384 3,0486 3,0931 3,1164 3,1579 3,2394 3,3578 3,4717 3,5070 3,3937 3,0958 2,6091 1,9533 1,1757 0,3494 -0,4448 -1,1478 -1,7460 -2,2608 -2,7154 -3,1162 -3,4602 -3,7465 -3,9732 -4,1316 -4,2128 -4,2178 -4,1588 -4,0628 -3,9780 -3,9568 -4,0159 -4,1198 -4,2034 -4,2092 -4,1111 -3,9209 -3,6764 -3,4210 -3,1894 -3,0055 -2,8898 -2,8595 -2,9125 -3,0122 -3,1022 -3,1418 -3,1298 -3,1015 -3,1021 -3,1538 -3,2450 -3,3511 -3,4654 -3,6154 -3,8470 -4,1777 -4,5599 -4,8984 -5,1001 -5,1148 -4,9548 -4,6903 -4,4120 -4,1873 -4,0462 -3,9954 -4,0322 -4,1477 -4,3280 -4,5613 -4,8421 -5,1620 -5,5000 -5,8173 -6,0642 -6,1967 -6,1950 -6,0732 -5,8810 -5,6851 -5,5440 -5,4988 -5,5752 -5,7752 -6,0641 -6,3705 -6,6091 -6,7179 -6,6786 -6,5050 -6,2225 -5,8589 -5,4442 -5,0232 -4,6608 -4,4125 -4,2773 -4,1911 -4,0725 -3,8739 -3,5930 -3,2655 -2,9670 -2,7966 -2,8234 -3,0363 -3,3442 -3,6236 -3,7705 -3,7324 -3,5138 -3,1580 -2,7236 -2,2758 -1,8846 -1,6128 -1,4919 -1,5054 -1,5983 -1,7076 -1,7919 -1,8396 -1,8589 -1,8620 -1,8537 -1,8321 -1,7943 -1,7366 -1,6570 -1,5661 -1,4874 -1,4431 -1,4492 -1,5172 -1,6508 -1,8444 -2,0846 -2,3432 -2,5765 -2,7399 -2,8097 -2,7904 -2,7024 -2,5674 -2,4022 -2,2175 -2,0238 -1,8478 -1,7328 -1,7113 -1,7812 -1,9140 -2,0770 -2,2415 -2,3862 -2,4937 -2,5414 -2,5096 -2,4056 -2,2662 -2,1385 -2,0663 -2,0909 -2,2410 -2,5116 -2,8592 -3,2184 -3,5191 -3,6967 -3,7021 -3,5124 -3,1434 -2,6525 -2,1203 -1,6132 -1,1545 -0,7330 -0,3378 0,0216 0,3228 0,5470 0,6935 0,7875 0,8670 0,9625 1,0915 1,2628 1,4628 1,6377 1,7171 1,6674 1,5119 1,3107 1,1281 0,9960 0,8935 0,7767 0,6271 0,4660 0,3301 0,2431 0,2049 0,2049 0,2362 0,2878 0,3239 0,2809 0,0935 -0,2640 -0,7530 -1,2876 -1,7804 -2,1709 -2,4231 -2,5197 -2,4723 -2,3265 -2,1443 -1,9816 -1,8780 -1,8540 -1,9101 -2,0351 -2,2144 -2,4257 -2,6259 -2,7508 -2,7401 -2,5693 -2,2661 -1,9104 -1,6100 -1,4537 -1,4816 -1,6979 -2,0877 -2,6052 -3,1622 -3,6418 -3,9303 -3,9546 -3,7085 -3,2538 -2,6984 -2,1636 -1,7459 -1,4896 -1,3887 -1,4172 -1,5600 -1,8181 -2,1908 -2,6523 -3,1452 -3,5935 -3,9270 -4,1032 -4,1251 -4,0431 -3,9262 -3,8172 -3,7164 -3,5999 -3,4387 -3,2069 -2,8882 -2,4913 -2,0625 -1,6872 -1,4636 -1,4478 -1,6125 -1,8643 -2,1095 -2,3086 -2,4743 -2,6264 -2,7636 -2,8732 -2,9516 -3,0042 -3,0337 -3,0446 -3,0547 -3,0936 -3,1963 -3,3982 -3,7253 -4,1778 -4,7180 -5,2745 -5,7726 -6,1725 -6,4807 -6,7231 -6,9092 -7,0189 -7,0219 -6,9106 -6,7156 -6,4852 -6,2464 -5,9885 -5,6828 -5,3137 -4,8932 -4,4595 -4,0651 -3,7551 -3,5391 -3,3774 -3,2032 -2,9629 -2,6460 -2,2891 -1,9563 -1,7082 -1,5757 -1,5486 -1,5880 -1,6529 -1,7135 -1,7374 -1,6757 -1,4774 -1,1233 -0,6389 -0,0741 0,5152 1,0652 1,5000 1,7344 1,6912 1,3440 0,7546 0,0504 -0,6462 -1,2683 -1,8065 -2,2784 -2,7014 -3,0927 -3,4806 -3,8936 -4,3355 -4,7768 -5,1651 -5,4494 -5,6101 -5,6677 -5,6541 -5,5787 -5,4263 -5,1836 -4,8566 -4,4621 -4,0160 -3,5395 -3,0610 -2,6035 -2,1786 -1,7936 -1,4507 -1,1414 -0,8430 -0,5280 -0,1842 0,1712 0,5052 0,7923 1,0195 1,1720 1,2277 1,1593 0,9412 0,5638 0,0487 -0,5538 -1,1839 -1,7905 -2,3440 -2,8489 -3,3335 -3,8152 -4,2785 -4,6807 -4,9682 -5,0931 -5,0311 -4,7855 -4,3804 -3,8630 -3,3124 -2,8219 -2,4593 -2,2482 -2,1850 -2,2531 -2,4156 -2,6083 -2,7589
