Fp1   2,1242 1,7824 1,2474 0,5832 -0,1150 -0,7385 -1,1938 -1,4406 -1,5078 -1,4717 -1,4184 -1,4101 -1,4690 -1,5782 -1,6989 -1,7898 -1,8115 -1,7264 -1,5127 -1,1744 -0,7402 -0,2725 0,1245 0,3327 0,2866 0,0314 -0,3008 -0,5806 -0,7470 -0,8084 -0,8033 -0,7669 -0,7396 -0,7724 -0,8790 -0,9911 -0,9961 -0,8127 -0,4237 0,1346 0,7887 1,4474 2,0214 2,4453 2,7097 2,8679 3,0052 3,2077 3,5391 4,0116 4,5789 5,1657 5,7037 6,1420 6,4348 6,5449 6,4701 6,2565 5,9749 5,6750 5,3652 5,0401 4,7040 4,3575 3,9886 3,5924 3,2017 2,8763 2,6525 2,5096 2,3849 2,2121 1,9514 1,5991 1,1881 0,7809 0,4427 0,2031 0,0374 -0,1133 -0,3081 -0,5891 -0,9734 -1,4444 -1,9517 -2,4230 -2,7863 -3,0052 -3,0835 -3,0151 -2,7496 -2,2315 -1,4662 -0,5336 0,4719 1,4929 2,4964 3,4352 4,2454 4,8725 5,2877 5,4918 5,5140 5,4017 5,2065 4,9812 4,7859 4,6841 4,7069 4,8126 4,9003 4,8665 4,6610 4,3116 3,9068 3,5519 3,3254 3,2559 3,3336 3,5375 3,8435 4,2148 4,5957 4,9122 5,0894 5,0831 4,8929 4,5485 4,0958 3,5853 3,0575 2,5313 2,0019 1,4442 0,8201 0,0933 -0,7445 -1,6501 -2,5359 -3,3104 -3,9262 -4,4082 -4,8471 -5,3506 -5,9702 -6,6612 -7,3102 -7,7810 -7,9486 -7,7470 -7,2161 -6,4822 -5,6857 -4,9389 -4,3167 -3,8313 -3,4153 -2,9625 -2,4041 -1,7514 -1,0759 -0,4490 0,1098 0,6331 1,1737 1,7869 2,5221 3,4068 4,4342 5,5667 6,7475 7,9115 8,9866 9,9025 10,6066 11,0616 11,2494 11,2038 11,0207 10,8106 10,6496 10,5766 10,6207 10,8019 11,0954 11,4229 11,7105 11,9440 12,1502 12,3402 12,4711 12,4518 12,2084 11,7485 11,1507 10,5069 9,8944 9,3871 9,0555 8,9445 9,0498 9,3077 9,6200 9,8935 10,0514 10,0219 9,7461 9,2049 8,4284 7,4795 6,4145 5,2464 3,9492 2,5002 0,9264 -0,6680 -2,1266 -3,3224 -4,2236 -4,8669 -5,2724 -5,4179 -5,2977 -4,9739 -4,5534 -4,1337 -3,7746 -3,4897 -3,2379 -2,9596 -2,6552 -2,4123 -2,3412 -2,4922 -2,8367 -3,3110 -3,8649 -4,4659 -5,0749 -5,6357 -6,0943 -6,4221 -6,6122 -6,6667 -6,5962 -6,4245 -6,1881 -5,9172 -5,6131 -5,2696 -4,9213 -4,6439 -4,5111 -4,5620 -4,8000 -5,1975 -5,6868 -6,1508 -6,4422 -6,4261 -6,0358 -5,3134 -4,3939 -3,4456 -2,6115 -1,9604 -1,4632 -1,0403 -0,6537 -0,3449 -0,1807 -0,1844 -0,3219 -0,5226 -0,6998 -0,7723 -0,6792 -0,3812 0,1114 0,6977 1,1982 1,4256 1,2702 0,7534 0,0155 -0,7562 -1,3940 -1,7740 -1,8336 -1,5922 -1,1349 -0,5731 -0,0211 0,4180 0,6593 0,6398 0,3537 -0,1044 -0,5625 -0,8561 -0,9113 -0,7776 -0,5950 -0,5154 -0,6312 -0,9527 -1,4298 -1,9736 -2,4735 -2,8375 -3,0326 -3,0773 -3,0036 -2,8350 -2,5817 -2,2414 -1,8139 -1,3211 -0,8063 -0,3065 0,1706 0,6417 1,1241 1,6081 2,0506 2,3980 2,6139 2,7008 2,6956 2,6312 2,5023 2,2712 1,8950 1,3493 0,6432 -0,1620 -0,9430 -1,5529 -1,8896 -1,9331 -1,7377 -1,3985 -1,0001 -0,5781 -0,1405 0,2830 0,6428 0,9068 1,0663 1,1202 1,0736 0,9373 0,7203 0,4296 0,0791 -0,2951 -0,6208 -0,8207 -0,8731 -0,8324 -0,7918 -0,8259 -0,9377 -1,0407 -1,0088 -0,7600 -0,2896 0,3578 1,1139 1,8858 2,5662 3,0671 3,3500 3,4165 3,2696 2,9109 2,3725 1,7241 1,0507 0,4300 -0,0821 -0,4578 -0,7007 -0,8443 -0,9291 -0,9735 -0,9671 -0,8829 -0,6948 -0,3938 -0,0012 0,4262 0,8159 1,1117 1,2919 1,3660 1,3607 1,3168 1,2875 1,3169 1,4133 1,5407 1,6407 1,6782 1,6751 1,6888 1,7568 1,8683 1,9887 2,0905 2,1540 2,1663 2,1271 2,0330 1,8683 1,6297 1,3453 1,0583 0,8052 0,6126 0,4925 0,4180 0,3185 0,1298 -0,1444 -0,4336 -0,6447 -0,6948 -0,5338 -0,1695 0,3310 0,8689 1,3460 1,6898 1,8785 1,9424 1,9300 1,8712 1,7775 1,6665 1,5650 1,4852 1,4184 1,3534 1,2847 1,2159 1,1840 1,2629 1,5180 1,9599 2,5371 3,1565 3,7153 4,1320 4,3574 4,3757 4,2115 3,9260 3,5946 3,2910 3,0820 3,0088 3,0724 3,2511 3,5222 3,8655 4,2572 4,6606 5,0236 5,2841 5,3703 5,2130 4,7777 4,0803 3,1763 2,1488 1,1034 0,1598 -0,5577 -0,9351 -0,8942 -0,4233 0,3984 1,4091 2,4181 3,2827 3,9584 4,4829 4,9213 5,3255 5,7170 6,0717 6,3078 6,3159 6,0208 5,4307 4,6402 3,7839 2,9811 2,3111 1,7993 1,4098 1,0847 0,8018 0,5748 0,4080 0,2777 0,1516 -0,0064 -0,2497 -0,6419 -1,2287 -2,0217 -3,0086 -4,1667 -5,4403 -6,6992 -7,7549 -8,4398 -8,6727 -8,4778 -7,9678 -7,3042 -6,6452 -6,0969 -5,6855 -5,3564 -4,9963 -4,4736 -3,6944 -2,6579 -1,4622 -0,2378 0,9267 1,9939 2,9361 3,7136 4,2995 4,7139 5,0180 5,2780 5,5473 5,8749 6,2998 6,8223 7,4018 8,0010 8,6214 9,2832 9,9819 10,6843 11,3539 11,9673 12,5152 12,9954 13,4000 13,7141 13,9338 14,0678 14,1133 14,0501 13,8548 13,5015 12,9681 12,2701 11,4733 10,6685 9,9351 9,3173 8,8233 8,4450 8,1599 7,9263 7,7023 7,4587 7,1646 6,7923 6,3391 5,8212 5,2475 4,6051 3,8661 3,0198 2,1018 1,1844 0,3581 -0,2761 -0,6280 -0,6574 -0,4042 0,0155 0,4501 0,7686 0,9056 0,8716 0,7240 0,5327 0,3582 0,2368 0,1789
Fz    1,7065 1,4837 1,1526 0,7441 0,3135 -0,0705 -0,3467 -0,4927 -0,5380 -0,5472 -0,5871 -0,6999 -0,8886 -1,1183 -1,3346 -1,4848 -1,5263 -1,4317 -1,2005 -0,8615 -0,4633 -0,0675 0,2569 0,4492 0,4854 0,3994 0,2685 0,1645 0,1150 0,1042 0,0987 0,0721 0,0069 -0,1100 -0,2695 -0,4238 -0,5074 -0,4743 -0,3158 -0,0597 0,2378 0,5101 0,7026 0,7888 0,7829 0,7392 0,7346 0,8451 1,1170 1,5405 2,0526 2,5686 3,0174 3,3618 3,5994 3,7541 3,8644 3,9694 4,0937 4,2330 4,3591 4,4452 4,4783 4,4512 4,3565 4,1976 4,0013 3,8060 3,6309 3,4598 3,2571 2,9934 2,6620 2,2838 1,9046 1,5845 1,3744 1,2892 1,2982 1,3428 1,3629 1,3143 1,1785 0,9695 0,7304 0,5201 0,3913 0,3660 0,4301 0,5590 0,7421 0,9789 1,2612 1,5739 1,9175 2,3184 2,8006 3,3508 3,9156 4,4251 4,8199 5,0693 5,1763 5,1690 5,0893 4,9869 4,9101 4,8917 4,9266 4,9573 4,8958 4,6738 4,2792 3,7626 3,2180 2,7495 2,4333 2,2941 2,3077 2,4222 2,5771 2,7184 2,8075 2,8207 2,7483 2,6012 2,4061 2,1880 1,9575 1,7093 1,4316 1,1209 0,7907 0,4653 0,1629 -0,1139 -0,3711 -0,6089 -0,8175 -0,9901 -1,1399 -1,3056 -1,5403 -1,8844 -2,3330 -2,8231 -3,2566 -3,5338 -3,5787 -3,3679 -2,9476 -2,4085 -1,8376 -1,2950 -0,8114 -0,3767 0,0630 0,5750 1,1909 1,8853 2,5953 3,2609 3,8562 4,3907 4,8963 5,4194 6,0109 6,7023 7,4854 8,3096 9,0998 9,7869 10,3306 10,7240 10,9844 11,1333 11,1849 11,1578 11,0821 10,9831 10,8658 10,7248 10,5686 10,4232 10,3074 10,2169 10,1419 10,0887 10,0717 10,0898 10,1100 10,0759 9,9441 9,7181 9,4454 9,1871 8,9949 8,9007 8,9112 9,0067 9,1477 9,2859 9,3814 9,4142 9,3781 9,2682 9,0805 8,8171 8,4817 8,0705 7,5696 6,9610 6,2372 5,4187 4,5637 3,7639 3,1189 2,6944 2,4941 2,4768 2,5998 2,8397 3,1725 3,5559 3,9439 4,3091 4,6426 4,9450 5,2214 5,4661 5,6359 5,6563 5,4698 5,0788 4,5467 3,9599 3,3860 2,8587 2,3865 1,9663 1,5900 1,2464 0,9317 0,6552 0,4351 0,2900 0,2314 0,2640 0,3877 0,5824 0,7900 0,9308 0,9442 0,8132 0,5603 0,2292 -0,1230 -0,4292 -0,6274 -0,6808 -0,5922 -0,4043 -0,1777 0,0386 0,2257 0,4003 0,6074 0,8844 1,2161 1,5285 1,7322 1,7702 1,6350 1,3603 1,0054 0,6364 0,3157 0,0980 0,0108 0,0262 0,0611 0,0143 -0,1782 -0,5060 -0,8900 -1,2253 -1,4202 -1,4177 -1,2092 -0,8398 -0,3862 0,0744 0,4784 0,7795 0,9505 0,9829 0,8933 0,7344 0,5818 0,4952 0,4853 0,5106 0,5049 0,4136 0,2208 -0,0468 -0,3389 -0,6068 -0,8184 -0,9681 -1,0790 -1,1824 -1,2940 -1,4048 -1,4848 -1,4886 -1,3724 -1,1166 -0,7395 -0,2895 0,1742 0,5992 0,9491 1,2048 1,3632 1,4373 1,4525 1,4408 1,4303 1,4265 1,4045 1,3213 1,1360 0,8275 0,4068 -0,0757 -0,5331 -0,8695 -1,0212 -0,9798 -0,7872 -0,5124 -0,2184 0,0618 0,3204 0,5589 0,7854 1,0136 1,2471 1,4683 1,6477 1,7609 1,8006 1,7835 1,7459 1,7334 1,7921 1,9519 2,2038 2,4967 2,7582 2,9258 2,9784 2,9494 2,9069 2,9126 2,9973 3,1650 3,3976 3,6469 3,8383 3,8983 3,7924 3,5374 3,1814 2,7835 2,4055 2,0987 1,8898 1,7772 1,7386 1,7456 1,7756 1,8133 1,8527 1,9022 1,9791 2,0976 2,2595 2,4511 2,6419 2,7923 2,8704 2,8670 2,8040 2,7290 2,6977 2,7548 2,9227 3,1918 3,5178 3,8338 4,0768 4,2210 4,2933 4,3519 4,4454 4,5873 4,7558 4,9094 5,0061 5,0242 4,9722 4,8719 4,7428 4,6072 4,4963 4,4426 4,4665 4,5636 4,7008 4,8218 4,8645 4,7943 4,6341 4,4556 4,3405 4,3491 4,5027 4,7748 5,1010 5,4052 5,6255 5,7286 5,7154 5,6176 5,4801 5,3378 5,2052 5,0829 4,9623 4,8263 4,6595 4,4637 4,2604 4,0865 3,9934 4,0320 4,2213 4,5296 4,8872 5,2123 5,4370 5,5258 5,4809 5,3359 5,1428 4,9524 4,7943 4,6753 4,5907 4,5297 4,4798 4,4414 4,4370 4,5020 4,6632 4,9188 5,2341 5,5498 5,7955 5,9073 5,8514 5,6346 5,2987 4,9082 4,5361 4,2484 4,0962 4,1131 4,3121 4,6793 5,1659 5,6914 6,1675 6,5404 6,8148 7,0380 7,2578 7,4950 7,7393 7,9536 8,0819 8,0693 7,8941 7,5850 7,2065 6,8210 6,4602 6,1248 5,7941 5,4356 5,0272 4,5765 4,1141 3,6706 3,2640 2,9017 2,5769 2,2600 1,9031 1,4626 0,9232 0,3040 -0,3508 -0,9781 -1,4962 -1,8205 -1,8947 -1,7135 -1,3231 -0,8055 -0,2558 0,2431 0,6497 0,9794 1,2908 1,6535 2,1200 2,7039 3,3643 4,0181 4,5859 5,0332 5,3704 5,6258 5,8246 5,9874 6,1338 6,2796 6,4317 6,5934 6,7774 7,0060 7,2966 7,6545 8,0832 8,5921 9,1826 9,8259 10,4653 11,0421 11,5187 11,8883 12,1726 12,4055 12,6125 12,8019 12,9665 13,0833 13,1215 13,0586 12,8875 12,6212 12,3002 11,9841 11,7281 11,5618 11,4805 11,4512 11,4335 11,3948 11,3162 11,2016 11,0769 10,9694 10,8936 10,8527 10,8354 10,8063 10,7074 10,4796 10,0962 9,5782 8,9780 8,3590 7,7865 7,3196 6,9940 6,8025 6,6957 6,6043 6,4701 6,2716 6,0300 5,7931 5,6140 5,5326 5,5556 5,6518
F3    1,2455 1,0071 0,6547 0,2319 -0,2003 -0,5754 -0,8381 -0,9703 -1,0015 -0,9908 -0,9995 -1,0669 -1,1952 -1,3504 -1,4829 -1,5477 -1,5112 -1,3552 -1,0856 -0,7320 -0,3387 0,0425 0,3602 0,5760 0,6793 0,6987 0,6856 0,6757 0,6657 0,6275 0,5395 0,4041 0,2353 0,0422 -0,1580 -0,3193 -0,3856 -0,3271 -0,1525 0,1025 0,3857 0,6404 0,8217 0,9091 0,9153 0,8860 0,8854 0,9754 1,1882 1,5030 1,8555 2,1771 2,4270 2,5973 2,6991 2,7506 2,7720 2,7843 2,8047 2,8350 2,8627 2,8817 2,9005 2,9244 2,9440 2,9464 2,9289 2,8985 2,8607 2,8101 2,7320 2,6106 2,4380 2,2204 1,9815 1,7574 1,5776 1,4452 1,3324 1,1993 1,0164 0,7715 0,4729 0,1525 -0,1399 -0,3529 -0,4504 -0,4321 -0,3342 -0,1987 -0,0416 0,1476 0,3830 0,6677 1,0050 1,4077 1,8830 2,4110 2,9459 3,4332 3,8293 4,1146 4,2946 4,3892 4,4225 4,4205 4,4105 4,4154 4,4352 4,4338 4,3528 4,1427 3,7915 3,3385 2,8629 2,4525 2,1669 2,0168 1,9727 1,9897 2,0236 2,0352 1,9926 1,8741 1,6762 1,4177 1,1301 0,8385 0,5552 0,2855 0,0338 -0,1930 -0,3863 -0,5429 -0,6712 -0,7901 -0,9171 -1,0529 -1,1796 -1,2764 -1,3362 -1,3728 -1,4168 -1,5008 -1,6346 -1,7922 -1,9229 -1,9700 -1,8853 -1,6499 -1,2920 -0,8711 -0,4414 -0,0338 0,3439 0,7107 1,1114 1,5959 2,1833 2,8458 3,5255 4,1703 4,7611 5,3109 5,8477 6,4063 7,0222 7,7157 8,4775 9,2683 10,0298 10,7030 11,2437 11,6337 11,8823 12,0105 12,0375 11,9848 11,8819 11,7561 11,6208 11,4798 11,3439 11,2343 11,1627 11,1158 11,0695 11,0130 10,9457 10,8598 10,7304 10,5236 10,2251 9,8614 9,4837 9,1355 8,8396 8,6098 8,4596 8,3950 8,4053 8,4633 8,5361 8,5951 8,6156 8,5707 8,4335 8,1869 7,8281 7,3664 6,8163 6,1890 5,4952 4,7585 4,0275 3,3766 2,8821 2,5837 2,4608 2,4567 2,5304 2,6769 2,9026 3,1993 3,5460 3,9185 4,2868 4,6136 4,8658 5,0208 5,0538 4,9336 4,6448 4,2116 3,6949 3,1622 2,6576 2,1971 1,7822 1,4113 1,0829 0,7974 0,5631 0,3971 0,3147 0,3198 0,4007 0,5366 0,7065 0,8839 1,0250 1,0781 1,0060 0,8002 0,4807 0,0860 -0,3341 -0,7227 -1,0264 -1,2060 -1,2489 -1,1752 -1,0256 -0,8383 -0,6345 -0,4128 -0,1529 0,1564 0,4829 0,7522 0,8943 0,8848 0,7474 0,5372 0,3256 0,1797 0,1432 0,2321 0,4294 0,6763 0,8802 0,9462 0,8192 0,5162 0,1195 -0,2626 -0,5362 -0,6412 -0,5658 -0,3476 -0,0509 0,2656 0,5637 0,8219 1,0236 1,1478 1,1808 1,1398 1,0721 1,0278 1,0298 1,0634 1,0878 1,0593 0,9568 0,7893 0,5807 0,3547 0,1321 -0,0752 -0,2745 -0,4840 -0,7069 -0,9190 -1,0731 -1,1132 -0,9950 -0,7081 -0,2838 0,2215 0,7502 1,2597 1,7210 2,1106 2,4082 2,6034 2,6974 2,7065 2,6614 2,5869 2,4840 2,3322 2,1055 1,7899 1,3961 0,9656 0,5667 0,2693 0,1104 0,0803 0,1346 0,2228 0,3171 0,4189 0,5362 0,6633 0,7861 0,8952 0,9841 1,0425 1,0619 1,0447 1,0084 0,9825 1,0015 1,0964 1,2903 1,5832 1,9384 2,2904 2,5698 2,7299 2,7706 2,7435 2,7231 2,7632 2,8799 3,0634 3,2876 3,5063 3,6573 3,6838 3,5625 3,3120 2,9754 2,5991 2,2250 1,8852 1,6000 1,3786 1,2213 1,1246 1,0841 1,0921 1,1407 1,2279 1,3551 1,5195 1,7126 1,9175 2,1055 2,2430 2,3109 2,3168 2,2898 2,2642 2,2641 2,3041 2,3955 2,5404 2,7196 2,8943 3,0260 3,1060 3,1685 3,2679 3,4392 3,6789 3,9527 4,2116 4,4091 4,5247 4,5751 4,5924 4,6003 4,6132 4,6420 4,6913 4,7580 4,8329 4,8986 4,9231 4,8671 4,7121 4,4870 4,2571 4,0889 4,0273 4,0870 4,2495 4,4704 4,6982 4,8890 5,0129 5,0591 5,0373 4,9639 4,8449 4,6726 4,4437 4,1731 3,8886 3,6204 3,4000 3,2545 3,2008 3,2521 3,4179 3,6912 4,0377 4,4035 4,7323 4,9811 5,1291 5,1772 5,1446 5,0628 4,9632 4,8645 4,7719 4,6877 4,6184 4,5725 4,5611 4,5996 4,7040 4,8811 5,1167 5,3734 5,6000 5,7434 5,7644 5,6546 5,4388 5,1607 4,8721 4,6273 4,4742 4,4472 4,5657 4,8333 5,2322 5,7186 6,2263 6,6857 7,0513 7,3169 7,5026 7,6276 7,6979 7,7141 7,6769 7,5822 7,4202 7,1893 6,9047 6,5903 6,2622 5,9232 5,5670 5,1805 4,7469 4,2632 3,7561 3,2725 2,8518 2,5052 2,2142 1,9421 1,6443 1,2782 0,8163 0,2576 -0,3724 -1,0299 -1,6542 -2,1658 -2,4817 -2,5454 -2,3464 -1,9215 -1,3450 -0,7106 -0,1032 0,4274 0,8787 1,2877 1,7087 2,1909 2,7597 3,4020 4,0691 4,7058 5,2771 5,7672 6,1663 6,4662 6,6673 6,7809 6,8290 6,8418 6,8555 6,9132 7,0583 7,3184 7,6978 8,1860 8,7672 9,4120 10,0687 10,6751 11,1825 11,5685 11,8386 12,0213 12,1512 12,2502 12,3197 12,3437 12,2963 12,1549 11,9130 11,5819 11,1911 10,7906 10,4394 10,1809 10,0283 9,9680 9,9712 10,0073 10,0459 10,0592 10,0357 9,9838 9,9162 9,8369 9,7410 9,6114 9,4167 9,1196 8,6943 8,1482 7,5293 6,9058 6,3419 5,8882 5,5748 5,4017 5,3322 5,3054 5,2620 5,1690 5,0297 4,8785 4,7587 4,7037 4,7261 4,8117 4,9247
F7    0,8914 0,6630 0,3735 0,0591 -0,2432 -0,4965 -0,6677 -0,7383 -0,7124 -0,6155 -0,4853 -0,3602 -0,2686 -0,2250 -0,2296 -0,2720 -0,3309 -0,3787 -0,3932 -0,3643 -0,2943 -0,1981 -0,1015 -0,0335 -0,0097 -0,0194 -0,0333 -0,0309 -0,0155 -0,0056 -0,0145 -0,0370 -0,0644 -0,1020 -0,1530 -0,1957 -0,1984 -0,1489 -0,0555 0,0695 0,2147 0,3677 0,5095 0,6180 0,6823 0,7122 0,7311 0,7684 0,8496 0,9827 1,1570 1,3536 1,5560 1,7486 1,9110 2,0198 2,0611 2,0423 1,9881 1,9208 1,8475 1,7708 1,6968 1,6249 1,5426 1,4385 1,3163 1,1934 1,0875 1,0035 0,9341 0,8678 0,7966 0,7192 0,6425 0,5791 0,5345 0,4914 0,4173 0,2920 0,1225 -0,0708 -0,2687 -0,4571 -0,6241 -0,7603 -0,8615 -0,9367 -1,0000 -1,0456 -1,0370 -0,9302 -0,7066 -0,3849 -0,0041 0,3992 0,7955 1,1580 1,4631 1,6958 1,8521 1,9421 1,9894 2,0206 2,0532 2,0946 2,1493 2,2243 2,3176 2,4035 2,4413 2,3996 2,2735 2,0867 1,8821 1,7052 1,5866 1,5267 1,5037 1,4954 1,4860 1,4606 1,4033 1,3000 1,1417 0,9290 0,6704 0,3786 0,0714 -0,2290 -0,4995 -0,7200 -0,8800 -0,9845 -1,0567 -1,1344 -1,2526 -1,4211 -1,6181 -1,8041 -1,9435 -2,0221 -2,0518 -2,0600 -2,0684 -2,0790 -2,0781 -2,0429 -1,9404 -1,7433 -1,4577 -1,1229 -0,7819 -0,4641 -0,1835 0,0684 0,3231 0,6179 0,9708 1,3696 1,7823 2,1798 2,5517 2,9028 3,2416 3,5801 3,9329 4,3097 4,7105 5,1295 5,5607 5,9946 6,4094 6,7762 7,0703 7,2735 7,3727 7,3704 7,2911 7,1697 7,0343 6,9061 6,8094 6,7689 6,7845 6,8176 6,8191 6,7671 6,6734 6,5633 6,4493 6,3172 6,1431 5,9242 5,6812 5,4358 5,2000 4,9869 4,8202 4,7266 4,7180 4,7816 4,8895 5,0109 5,1103 5,1434 5,0700 4,8715 4,5533 4,1368 3,6506 3,1184 2,5534 1,9640 1,3680 0,8039 0,3228 -0,0413 -0,2960 -0,4758 -0,5989 -0,6496 -0,6055 -0,4665 -0,2540 0,0028 0,2700 0,5133 0,7122 0,8609 0,9466 0,9406 0,8187 0,5834 0,2637 -0,1050 -0,4986 -0,9009 -1,2882 -1,6260 -1,8823 -2,0389 -2,0899 -2,0388 -1,9043 -1,7242 -1,5494 -1,4199 -1,3432 -1,3036 -1,2942 -1,3256 -1,4108 -1,5557 -1,7625 -2,0337 -2,3604 -2,7077 -3,0176 -3,2262 -3,2912 -3,2109 -3,0185 -2,7649 -2,5001 -2,2539 -2,0233 -1,7866 -1,5384 -1,3047 -1,1230 -1,0131 -0,9714 -0,9766 -0,9942 -0,9887 -0,9335 -0,8094 -0,6123 -0,3708 -0,1452 -0,0040 0,0066 -0,1162 -0,3294 -0,5660 -0,7612 -0,8670 -0,8608 -0,7508 -0,5651 -0,3370 -0,0994 0,1167 0,2805 0,3601 0,3371 0,2322 0,1044 0,0176 0,0067 0,0649 0,1530 0,2215 0,2353 0,1831 0,0685 -0,0941 -0,2763 -0,4423 -0,5656 -0,6367 -0,6564 -0,6273 -0,5510 -0,4336 -0,2902 -0,1406 0,0005 0,1307 0,2607 0,4074 0,5823 0,7810 0,9819 1,1546 1,2696 1,3113 1,2868 1,2165 1,1143 0,9784 0,7932 0,5396 0,2093 -0,1787 -0,5692 -0,8887 -1,0836 -1,1414 -1,0847 -0,9524 -0,7769 -0,5737 -0,3568 -0,1556 -0,0030 0,0886 0,1295 0,1385 0,1353 0,1345 0,1422 0,1576 0,1815 0,2238 0,3042 0,4351 0,5982 0,7464 0,8301 0,8244 0,7471 0,6549 0,6134 0,6611 0,7984 1,0049 1,2561 1,5218 1,7648 1,9521 2,0686 2,1114 2,0739 1,9456 1,7252 1,4302 1,0986 0,7796 0,5153 0,3260 0,2098 0,1505 0,1273 0,1225 0,1278 0,1457 0,1848 0,2519 0,3462 0,4552 0,5595 0,6415 0,6900 0,7008 0,6758 0,6269 0,5766 0,5448 0,5369 0,5413 0,5381 0,5141 0,4763 0,4449 0,4346 0,4448 0,4697 0,5069 0,5589 0,6313 0,7280 0,8388 0,9406 1,0178 1,0709 1,1052 1,1235 1,1291 1,1264 1,1091 1,0566 0,9525 0,8092 0,6666 0,5708 0,5562 0,6369 0,8084 1,0516 1,3361 1,6216 1,8645 2,0333 2,1201 2,1356 2,0952 2,0122 1,9029 1,7916 1,7043 1,6576 1,6552 1,6896 1,7501 1,8370 1,9641 2,1438 2,3751 2,6415 2,9142 3,1608 3,3586 3,4974 3,5737 3,5861 3,5345 3,4220 3,2628 3,0851 2,9199 2,7887 2,7034 2,6691 2,6822 2,7327 2,8039 2,8734 2,9155 2,9020 2,8080 2,6254 2,3676 2,0622 1,7438 1,4494 1,2115 1,0582 1,0161 1,1084 1,3430 1,6973 2,1158 2,5253 2,8636 3,1017 3,2427 3,3034 3,3030 3,2621 3,1956 3,0995 2,9535 2,7421 2,4720 2,1668 1,8503 1,5386 1,2462 0,9816 0,7389 0,5064 0,2829 0,0735 -0,1239 -0,3191 -0,5200 -0,7303 -0,9575 -1,2160 -1,5200 -1,8752 -2,2759 -2,7055 -3,1324 -3,5029 -3,7503 -3,8202 -3,6905 -3,3798 -2,9441 -2,4594 -1,9979 -1,6077 -1,3047 -1,0758 -0,8842 -0,6748 -0,3920 -0,0100 0,4539 0,9620 1,4827 1,9910 2,4544 2,8356 3,1130 3,2962 3,4190 3,5211 3,6357 3,7893 3,9974 4,2551 4,5418 4,8410 5,1526 5,4805 5,8145 6,1326 6,4160 6,6545 6,8441 6,9839 7,0717 7,1035 7,0812 7,0154 6,9173 6,7943 6,6489 6,4745 6,2601 6,0055 5,7256 5,4394 5,1600 4,8926 4,6403 4,4128 4,2220 4,0712 3,9546 3,8616 3,7754 3,6747 3,5401 3,3553 3,1048 2,7765 2,3677 1,8965 1,4059 0,9493 0,5724 0,3056 0,1666 0,1578 0,2594 0,4292 0,6164 0,7806 0,9041 0,9927 1,0592 1,1101 1,1461 1,1670 1,1737
