Fp1   -1,9099 -2,5162 -2,7047 -2,4818 -1,9089 -1,0922 -0,1909 0,6041 1,1301 1,3021 1,1277 0,6815 0,0646 -0,6186 -1,2735 -1,8399 -2,2984 -2,6326 -2,7988 -2,7548 -2,5028 -2,0985 -1,6434 -1,2532 -1,0001 -0,8810 -0,8528 -0,8816 -0,9493 -1,0211 -1,0168 -0,8415 -0,4574 0,0948 0,7354 1,3764 1,9498 2,4527 2,9402 3,4414 3,8953 4,1787 4,1810 3,8580 3,2456 2,4431 1,5880 0,8272 0,2812 0,0219 0,0653 0,3533 0,7551 1,1430 1,4813 1,8302 2,2748 2,8490 3,5183 4,2257 4,9266 5,5754 6,1055 6,4409 6,5251 6,3454 5,9498 5,4409 4,9339 4,5079 4,1878 3,9666 3,8512 3,8771 4,0567 4,3197 4,5444 4,6519 4,6381 4,5354 4,4048 4,3548 4,4950 4,8535 5,3565 5,8736 6,2631 6,4199 6,3262 6,0639 5,7751 5,5901 5,5616 5,6584 5,8123 5,9643 6,0869 6,1918 6,3148 6,4665 6,5869 6,5692 6,3263 5,8320 5,1335 4,3481 3,6322 3,1000 2,7248 2,3266 1,6879 0,7150 -0,4895 -1,7043 -2,7249 -3,4212 -3,7254 -3,6143 -3,1091 -2,2778 -1,2018 0,0691 1,5024 3,0358 4,5787 6,0499 7,3960 8,5887 9,6226 10,5133 11,2878 11,9697 12,5711 13,0942 13,5295 13,8399 13,9684 13,8773 13,5686 13,0759 12,4667 11,8551 11,3727 11,1069 11,0622 11,1668 11,3239 11,4804 11,6438 11,8407 12,0917 12,4180 12,8190 13,2397 13,5905 13,8072 13,8929 13,8966 13,8492 13,7440 13,5908 13,4544 13,4077 13,4676 13,6049 13,7863 13,9791 14,1531 14,3039 14,4479 14,5795 14,6598 14,6625 14,6065 14,5220 14,4106 14,2688 14,1295 14,0678 14,1636 14,4355 14,8041 15,1391 15,3430 15,3929 15,3233 15,1908 15,0489 14,9248 14,7984 14,6150 14,3299 13,9274 13,4057 12,7794 12,1053 11,4805 10,9827 10,6006 10,2361 9,7830 9,1909 8,4688 7,6595 6,8212 6,0346 5,4106 5,0621 5,0479 5,3379 5,8317 6,4091 6,9768 7,4831 7,8939 8,1721 8,2984 8,2995 8,2372 8,1647 8,0945 7,9971 7,8190 7,4986 6,9869 6,2873 5,4790 4,6762 3,9634 3,3725 2,9197 2,6504 2,6207 2,8446 3,2778 3,8234 4,3543 4,7722 5,0593 5,2742 5,5095 5,8267 6,1996 6,5258 6,6938 6,6280 6,2878 5,6826 4,8979 4,0640 3,3018 2,7151 2,3926 2,3654 2,5707 2,8775 3,1464 3,2739 3,2091 2,9648 2,6206 2,2909 2,0900 2,1212 2,4469 3,0431 3,8070 4,6099 5,3480 5,9804 6,5329 7,0491 7,5272 7,8988 8,0724 8,0040 7,7295 7,3564 7,0216 6,8043 6,6782 6,5719 6,4629 6,3994 6,4580 6,6801 7,0297 7,4018 7,6624 7,6885 7,3955 6,7643 5,8717 4,8780 3,9458 3,1593 2,5376 2,1078 1,9354 2,0869 2,5714 3,3083 4,1705 5,0560 5,8935 6,6006 7,0826 7,2869 7,2380 7,0106 6,6903 6,3712 6,1526 6,1093 6,2722 6,6103 7,0167 7,3366 7,4209 7,1647 6,5433 5,6415 4,6425 3,7586 3,1297 2,7678 2,6006 2,5543 2,5886 2,6902 2,8688 3,1644 3,6403 4,3254 5,1427 5,9190 6,4742 6,7072 6,6261 6,3176 5,8903 5,4296 4,9785 4,5558 4,2012 3,9933 4,0196 4,3249 4,8675 5,5222 6,1322 6,5714 6,7890 6,8252 6,7872 6,7999 6,9595 7,2966 7,7721 8,3245 8,9193 9,5371 10,1203 10,5585 10,7402 10,6169 10,2128 9,5881 8,8061 7,9369 7,0773 6,3350 5,7692 5,3577 5,0278 4,7171 4,4199 4,1736 3,9951 3,8454 3,6635 3,4160 3,1140 2,7917 2,4825 2,2355 2,1515 2,3544 2,8943 3,6976 4,6158 5,4880 6,1749 6,5904 6,7120 6,5606 6,1909 5,6864 5,1309 4,5792 4,0570 3,5902 3,2310 3,0371 3,0247 3,1652 3,4330 3,8370 4,3905 5,0621 5,7664 6,3983 6,8903 7,2530 7,5465 7,8002 7,9605 7,9122 7,5708 6,9669 6,2313 5,5134 4,9181 4,4874 4,2172 4,0844 4,0627 4,1298 4,2660 4,4449 4,6394 4,8369 5,0452 5,2720 5,4759 5,5527 5,4125 5,0670 4,6290 4,2540 4,0767 4,1501 4,4282 4,8159 5,2342 5,6331 5,9529 6,1148 6,0741 5,8489 5,4827 5,0120 4,4743 3,9202 3,4072 2,9789 2,6718 2,5502 2,6914 3,0979 3,6550 4,2064 4,6640 5,0381 5,3672 5,6469 5,8489 5,9833 6,0883 6,1589 6,1229 5,8993 5,4643 4,8767 4,2683 3,7955 3,5660 3,5967 3,8153 4,0746 4,1902 4,0209 3,5489 2,8997 2,2843 1,8880 1,7792 1,9065 2,1607 2,4302 2,6341 2,7514 2,8293 2,9647 3,2722 3,8307 4,6495 5,6964 6,9358 8,3054 9,6824 10,9130 11,8750 12,5185 12,8675 12,9876 12,9513 12,8315 12,7026 12,6322 12,6715 12,8324 13,0568 13,2330 13,2640 13,1164 12,8095 12,3918 11,9287 11,4794 11,0706 10,6918 10,3011 9,8641 9,4205 9,0880 8,9650 9,0363 9,1920 9,3333 9,4455 9,5748 9,7484 9,9282 10,0434 10,0464 9,9347 9,7428 9,5312 9,3792 9,3661 9,5316 9,8530 10,2646 10,6887 11,0526 11,2996 11,3887 11,2848 10,9788 10,5148 9,9748 9,4422 8,9815 8,6155 8,3104 8,0024 7,6382 7,1942 6,6877 6,1877 5,8056 5,6475 5,7549 6,0806 6,5098 6,9123 7,2119 7,4130 7,5447 7,5953 7,5121 7,2415 6,7666 6,1353 5,4572 4,8584 4,4204 4,1406 3,9498 3,7760 3,5948 3,4201 3,2553 3,0777 2,8762 2,6779 2,5387 2,5236 2,6765 2,9843 3,3760 3,7454 3,9810 4,0130 3,8470 3,5486 3,2091 2,9345 2,8423
Fz    0,5660 0,2306 0,0383 0,0054 0,1210 0,3443 0,6040 0,8166 0,9090 0,8266 0,5442 0,0910 -0,4406 -0,9331 -1,3054 -1,5421 -1,6705 -1,7099 -1,6464 -1,4634 -1,1792 -0,8518 -0,5626 -0,3969 -0,4095 -0,5918 -0,8718 -1,1502 -1,3404 -1,3863 -1,2638 -0,9856 -0,5989 -0,1631 0,2699 0,6578 0,9761 1,2358 1,4717 1,6953 1,8706 1,9423 1,8747 1,6667 1,3481 0,9749 0,6197 0,3506 0,2083 0,2037 0,3354 0,5860 0,8982 1,1941 1,4337 1,6424 1,8820 2,1970 2,5850 3,0155 3,4589 3,8866 4,2559 4,5129 4,6169 4,5604 4,3684 4,0850 3,7645 3,4657 3,2367 3,1016 3,0699 3,1540 3,3573 3,6428 3,9376 4,1793 4,3422 4,4296 4,4695 4,5107 4,6035 4,7748 5,0093 5,2404 5,3696 5,3173 5,0737 4,7118 4,3517 4,1046 4,0246 4,0894 4,2195 4,3239 4,3488 4,3004 4,2273 4,1765 4,1566 4,1386 4,0811 3,9497 3,7308 3,4437 3,1370 2,8560 2,6022 2,3298 1,9859 1,5602 1,1074 0,7250 0,5022 0,4809 0,6518 0,9737 1,3959 1,8775 2,4097 3,0236 3,7631 4,6509 5,6780 6,8095 7,9878 9,1373 10,1837 11,0723 11,7706 12,2671 12,5779 12,7492 12,8419 12,9011 12,9380 12,9404 12,8938 12,7925 12,6500 12,5035 12,4012 12,3807 12,4568 12,6066 12,7711 12,8965 12,9726 13,0148 13,0369 13,0572 13,1026 13,1934 13,3270 13,4784 13,6138 13,7021 13,7179 13,6582 13,5708 13,5465 13,6612 13,9294 14,3146 14,7671 15,2367 15,6717 16,0265 16,2692 16,3789 16,3502 16,2028 15,9811 15,7311 15,4814 15,2510 15,0613 14,9322 14,8746 14,8834 14,9350 15,0008 15,0695 15,1476 15,2392 15,3291 15,3794 15,3351 15,1417 14,7787 14,2862 13,7449 13,2245 12,7552 12,3409 11,9781 11,6541 11,3388 10,9978 10,6134 10,1876 9,7394 9,3034 8,9187 8,6144 8,4094 8,3182 8,3404 8,4442 8,5790 8,7070 8,8179 8,9161 8,9963 9,0402 9,0424 9,0259 9,0230 9,0507 9,0997 9,1334 9,0964 8,9378 8,6391 8,2325 7,7881 7,3637 6,9650 6,5624 6,1437 5,7455 5,4331 5,2624 5,2616 5,4228 5,6990 6,0267 6,3537 6,6585 6,9541 7,2536 7,5310 7,7304 7,8050 7,7277 7,4797 7,0652 6,5374 5,9802 5,4645 5,0379 4,7372 4,5788 4,5453 4,5982 4,7004 4,8214 4,9353 5,0317 5,1248 5,2372 5,3781 5,5437 5,7202 5,8881 6,0419 6,2008 6,3915 6,6300 6,9176 7,2379 7,5503 7,7974 7,9359 7,9621 7,8976 7,7633 7,5730 7,3283 7,0214 6,6654 6,3219 6,0853 6,0327 6,1756 6,4399 6,6924 6,7951 6,6563 6,2561 5,6487 4,9477 4,2926 3,7904 3,4777 3,3423 3,3723 3,5742 3,9592 4,5185 5,2030 5,9285 6,6054 7,1527 7,4933 7,5672 7,3693 6,9628 6,4423 5,8933 5,3877 4,9910 4,7563 4,7177 4,8755 5,1797 5,5343 5,8235 5,9446 5,8480 5,5605 5,1662 4,7644 4,4306 4,2001 4,0833 4,0787 4,1665 4,3092 4,4673 4,6103 4,7244 4,8098 4,8596 4,8524 4,7691 4,6117 4,4063 4,1962 4,0301 3,9429 3,9360 3,9872 4,0881 4,2574 4,5169 4,8579 5,2273 5,5522 5,7791 5,8865 5,8816 5,8043 5,7195 5,6886 5,7453 5,8892 6,0938 6,3319 6,5986 6,8977 7,1992 7,4264 7,4980 7,3876 7,1341 6,7962 6,4100 5,9992 5,6110 5,3078 5,1188 5,0161 4,9366 4,8177 4,6363 4,4230 4,2235 4,0404 3,8248 3,5221 3,1130 2,6135 2,0640 1,5437 1,1764 1,0803 1,2932 1,7519 2,3357 2,9249 3,4381 3,8423 4,1342 4,3150 4,3904 4,3815 4,3178 4,2158 4,0649 3,8455 3,5655 3,2659 2,9866 2,7489 2,5699 2,4746 2,4871 2,6159 2,8474 3,1498 3,4921 3,8688 4,2940 4,7617 5,2171 5,5752 5,7745 5,8088 5,7062 5,4934 5,1834 4,7903 4,3496 3,9179 3,5497 3,2771 3,1039 3,0160 3,0074 3,0968 3,3075 3,6310 4,0044 4,3273 4,5169 4,5623 4,5279 4,5076 4,5713 4,7346 4,9610 5,1853 5,3430 5,3877 5,2914 5,0531 4,7161 4,3532 4,0235 3,7521 3,5452 3,4083 3,3437 3,3385 3,3705 3,4313 3,5329 3,6830 3,8634 4,0390 4,1859 4,3077 4,4156 4,4995 4,5400 4,5448 4,5489 4,5771 4,6163 4,6272 4,5722 4,4379 4,2508 4,0772 3,9943 4,0505 4,2359 4,4726 4,6431 4,6502 4,4680 4,1509 3,7979 3,5030 3,3276 3,2988 3,4155 3,6495 3,9606 4,3248 4,7469 5,2448 5,8274 6,4790 7,1739 7,9143 8,7311 9,6282 10,5437 11,3779 12,0420 12,4793 12,6729 12,6529 12,4898 12,2717 12,0802 11,9806 12,0148 12,1802 12,4140 12,6181 12,7131 12,6749 12,5367 12,3712 12,2516 12,2033 12,1882 12,1336 11,9737 11,6890 11,3337 11,0194 10,8481 10,8490 10,9770 11,1694 11,3917 11,6291 11,8556 12,0261 12,0961 12,0469 11,8922 11,6653 11,4023 11,1377 10,9048 10,7245 10,5955 10,5033 10,4334 10,3767 10,3301 10,2902 10,2395 10,1456 9,9818 9,7480 9,4681 9,1648 8,8358 8,4595 8,0292 7,5677 7,1018 6,6422 6,2011 5,8154 5,5387 5,4130 5,4495 5,6295 5,9151 6,2693 6,6659 7,0704 7,4179 7,6242 7,6250 7,4158 7,0597 6,6550 6,2892 6,0012 5,7675 5,5299 5,2492 4,9321 4,6113 4,3134 4,0521 3,8441 3,7145 3,6900 3,7883 4,0026 4,2882 4,5707 4,7693 4,8246 4,7239 4,5055 4,2327 3,9701 3,7850 3,7504
F3    0,9021 0,8119 0,7660 0,7928 0,9061 1,0859 1,2751 1,4003 1,3950 1,1998 0,7761 0,1518 -0,5555 -1,1915 -1,6510 -1,9098 -1,9878 -1,8913 -1,5992 -1,1109 -0,4970 0,1032 0,5261 0,6410 0,4049 -0,1114 -0,7463 -1,3109 -1,6575 -1,7185 -1,5084 -1,1038 -0,6042 -0,0891 0,3945 0,8170 1,1608 1,4322 1,6489 1,8015 1,8412 1,7158 1,4075 0,9352 0,3431 -0,2977 -0,8875 -1,3166 -1,4982 -1,3918 -1,0059 -0,4009 0,3011 0,9477 1,4310 1,7382 1,9377 2,1141 2,3087 2,5139 2,7035 2,8510 2,9340 2,9440 2,8924 2,7958 2,6527 2,4418 2,1532 1,8271 1,5513 1,4124 1,4598 1,7061 2,1275 2,6502 3,1685 3,5929 3,8714 3,9833 3,9388 3,7823 3,5842 3,4192 3,3295 3,2940 3,2367 3,0756 2,7809 2,4013 2,0393 1,7975 1,7289 1,8127 1,9654 2,0897 2,1327 2,1108 2,0838 2,1038 2,1762 2,2636 2,3168 2,2995 2,1959 2,0131 1,7789 1,5273 1,2755 1,0167 0,7352 0,4337 0,1528 -0,0356 -0,0626 0,0979 0,4110 0,8019 1,1971 1,5541 1,8754 2,2075 2,6222 3,1864 3,9352 4,8600 5,9087 6,9979 8,0341 8,9314 9,6220 10,0687 10,2802 10,3131 10,2512 10,1659 10,0933 10,0447 10,0210 10,0202 10,0445 10,1072 10,2277 10,4241 10,7052 11,0493 11,3925 11,6584 11,7930 11,7666 11,5806 11,2895 10,9937 10,7969 10,7639 10,8917 11,1125 11,3277 11,4449 11,4196 11,2960 11,1937 11,2315 11,4573 11,8430 12,3241 12,8323 13,3060 13,6912 13,9394 14,0120 13,9013 13,6441 13,3104 12,9700 12,6669 12,4201 12,2382 12,1276 12,0937 12,1406 12,2677 12,4706 12,7465 13,0838 13,4416 13,7454 13,9059 13,8461 13,5215 12,9426 12,1926 11,4046 10,6996 10,1445 9,7551 9,5131 9,3689 9,2450 9,0615 8,7696 8,3628 7,8802 7,4026 7,0217 6,7959 6,7348 6,8148 6,9832 7,1509 7,2202 7,1415 6,9396 6,6840 6,4358 6,2231 6,0595 5,9655 5,9653 6,0700 6,2598 6,4733 6,6270 6,6582 6,5561 6,3563 6,1106 5,8514 5,5820 5,2981 5,0165 4,7788 4,6248 4,5687 4,6019 4,7064 4,8596 5,0361 5,2127 5,3788 5,5432 5,7116 5,8621 5,9553 5,9582 5,8415 5,5750 5,1535 4,6211 4,0493 3,4973 3,0121 2,6436 2,4288 2,3683 2,4371 2,6105 2,8696 3,1926 3,5600 3,9631 4,3884 4,7939 5,1204 5,3287 5,4254 5,4674 5,5380 5,6983 5,9596 6,2934 6,6500 6,9658 7,1814 7,2761 7,2818 7,2432 7,1690 7,0271 6,7732 6,3905 5,9267 5,4992 5,2529 5,2888 5,6010 6,0626 6,4820 6,6880 6,5831 6,1583 5,4880 4,7115 3,9869 3,4278 3,0693 2,8954 2,8933 3,0808 3,4924 4,1403 4,9772 5,8918 6,7441 7,3972 7,7343 7,6925 7,3056 6,6971 6,0149 5,3723 4,8450 4,4897 4,3452 4,4226 4,6964 5,1004 5,5356 5,8895 6,0687 6,0369 5,8275 5,5145 5,1733 4,8581 4,6097 4,4793 4,5180 4,7346 5,0842 5,4848 5,8303 6,0182 5,9928 5,7626 5,3835 4,9398 4,5251 4,2184 4,0710 4,1058 4,3104 4,6225 4,9493 5,2228 5,4310 5,5953 5,7243 5,7897 5,7558 5,6277 5,4516 5,2862 5,1938 5,2319 5,4254 5,7515 6,1485 6,5373 6,8510 7,0630 7,1789 7,1974 7,0917 6,8375 6,4586 6,0309 5,6351 5,3131 5,0795 4,9561 4,9605 5,0584 5,1631 5,1869 5,0912 4,9068 4,7141 4,5791 4,4873 4,3409 4,0328 3,5252 2,8640 2,1480 1,5092 1,0980 1,0260 1,2917 1,7755 2,3132 2,7758 3,1101 3,3370 3,5091 3,6610 3,8034 3,9449 4,0949 4,2411 4,3266 4,2716 4,0373 3,6590 3,2115 2,7665 2,3800 2,0966 1,9438 1,9259 2,0270 2,2206 2,4840 2,8141 3,2265 3,7265 4,2789 4,8120 5,2549 5,5658 5,7289 5,7309 5,5493 5,1711 4,6261 3,9938 3,3741 2,8506 2,4699 2,2450 2,1758 2,2625 2,4938 2,8306 3,2047 3,5349 3,7583 3,8645 3,9039 3,9532 4,0652 4,2416 4,4353 4,5756 4,6007 4,4821 4,2282 3,8873 3,5421 3,2719 3,1090 3,0449 3,0713 3,1980 3,4320 3,7474 4,0789 4,3476 4,4949 4,4999 4,3764 4,1622 3,9097 3,6732 3,4852 3,3394 3,2127 3,1027 3,0350 3,0426 3,1391 3,3015 3,4677 3,5605 3,5321 3,3963 3,2256 3,1112 3,1100 3,2103 3,3450 3,4382 3,4464 3,3608 3,1799 2,8993 2,5415 2,1812 1,9223 1,8465 1,9893 2,3532 2,9195 3,6488 4,4839 5,3539 6,1942 6,9881 7,7781 8,6101 9,4767 10,3159 11,0390 11,5533 11,7933 11,7576 11,5163 11,1786 10,8508 10,6139 10,5155 10,5498 10,6463 10,7053 10,6585 10,4989 10,2788 10,0920 10,0317 10,1350 10,3593 10,6039 10,7566 10,7424 10,5583 10,2758 9,9967 9,7939 9,6943 9,7066 9,8421 10,1018 10,4506 10,8062 11,0570 11,1109 10,9325 10,5414 9,9896 9,3562 8,7474 8,2636 7,9511 7,7911 7,7338 7,7424 7,8110 7,9511 8,1622 8,4102 8,6348 8,7756 8,7884 8,6411 8,3142 7,8215 7,2253 6,6126 6,0453 5,5374 5,0787 4,6711 4,3420 4,1307 4,0694 4,1678 4,4084 4,7548 5,1640 5,5836 5,9427 6,1658 6,2089 6,0908 5,8795 5,6486 5,4449 5,2776 5,1162 4,9130 4,6482 4,3545 4,0898 3,8927 3,7671 3,7011 3,6873 3,7246 3,8049 3,9023 3,9809 4,0100 3,9641 3,8275 3,6189 3,3956 3,2169 3,1118 3,0916 3,1826
F7    0,0971 -0,5000 -1,0086 -1,3557 -1,4520 -1,2380 -0,7460 -0,1006 0,5405 1,0450 1,3307 1,3800 1,2518 1,0496 0,8511 0,6625 0,4342 0,1184 -0,2851 -0,7322 -1,1513 -1,4440 -1,5070 -1,3025 -0,9074 -0,4762 -0,1512 -0,0095 -0,0653 -0,2794 -0,5530 -0,7470 -0,7442 -0,5159 -0,1404 0,2423 0,5133 0,6414 0,6853 0,7254 0,7892 0,8466 0,8606 0,8201 0,7399 0,6407 0,5255 0,3851 0,2168 0,0191 -0,2129 -0,4689 -0,7120 -0,8785 -0,8816 -0,6542 -0,1963 0,4368 1,1615 1,8628 2,4161 2,7489 2,8562 2,7652 2,5249 2,2167 1,9339 1,7415 1,6561 1,6481 1,6547 1,6062 1,4620 1,2319 0,9623 0,7000 0,4863 0,3766 0,4207 0,6195 0,9326 1,3078 1,6938 2,0463 2,3199 2,4594 2,4301 2,2584 2,0266 1,8220 1,6907 1,6368 1,6441 1,6832 1,7071 1,6588 1,5058 1,2717 1,0217 0,8207 0,7137 0,7311 0,8872 1,1634 1,5088 1,8740 2,2348 2,5557 2,7491 2,7172 2,4340 1,9541 1,3701 0,7808 0,2530 -0,2021 -0,5816 -0,8392 -0,9168 -0,8021 -0,5179 -0,0853 0,4716 1,1198 1,8573 2,7360 3,8123 5,0796 6,4621 7,8427 9,0819 10,0568 10,7173 11,0992 11,2870 11,3576 11,3330 11,1905 10,9050 10,4603 9,8478 9,0869 8,2295 7,3524 6,5652 5,9983 5,7478 5,8285 6,1788 6,6950 7,2695 7,8299 8,3466 8,8010 9,1577 9,3752 9,4337 9,3491 9,1706 8,9707 8,8379 8,8428 8,9770 9,1583 9,3179 9,4466 9,5512 9,6142 9,6106 9,5361 9,4227 9,3404 9,3595 9,5020 9,7404 10,0345 10,3511 10,6509 10,8747 10,9570 10,8546 10,5719 10,1792 9,7942 9,5241 9,4218 9,4789 9,6329 9,7957 9,8969 9,9062 9,8242 9,6631 9,4350 9,1522 8,8336 8,5050 8,1847 7,8870 7,6473 7,5156 7,5009 7,5276 7,4665 7,2187 6,7621 6,1378 5,4318 4,7623 4,2404 3,9267 3,8310 3,9469 4,2643 4,7420 5,2936 5,8162 6,2292 6,4903 6,5991 6,5952 6,5317 6,4205 6,2153 5,8817 5,4839 5,1653 5,0351 5,0875 5,2174 5,2919 5,2139 4,9708 4,6498 4,3942 4,3211 4,4669 4,7872 5,1923 5,5924 5,9371 6,2150 6,4209 6,5348 6,5243 6,3480 5,9648 5,3823 4,7048 4,0872 3,6251 3,3219 3,1514 3,1044 3,1681 3,2997 3,4488 3,5811 3,6760 3,7330 3,7909 3,9185 4,1739 4,5680 5,0420 5,4804 5,7684 5,8513 5,7496 5,5349 5,3016 5,1402 5,1039 5,1873 5,3498 5,5650 5,8343 6,1577 6,5033 6,8045 6,9960 7,0587 7,0195 6,9102 6,7538 6,5768 6,3954 6,1874 5,9118 5,5629 5,1737 4,7660 4,3413 3,9287 3,5978 3,4144 3,4014 3,5266 3,7125 3,8862 4,0377 4,2158 4,4752 4,8387 5,2886 5,7575 6,1320 6,2995 6,2035 5,8743 5,4258 5,0084 4,7338 4,6337 4,6764 4,8074 4,9713 5,1185 5,2063 5,2078 5,1248 4,9871 4,8344 4,7080 4,6453 4,6614 4,7419 4,8494 4,9277 4,9306 4,8698 4,8065 4,7964 4,8581 4,9777 5,1071 5,1623 5,0665 4,8132 4,4725 4,1311 3,8311 3,5607 3,2994 3,0747 2,9795 3,1254 3,5615 4,2311 4,9992 5,7101 6,2235 6,4396 6,3434 6,0222 5,6151 5,2418 4,9605 4,7612 4,6146 4,5475 4,6438 4,9559 5,4250 5,8886 6,1731 6,1865 5,9382 5,5060 5,0073 4,5772 4,3239 4,2692 4,3330 4,3728 4,2498 3,9032 3,3891 2,8380 2,3823 2,1150 2,0661 2,1731 2,2930 2,3028 2,1967 2,0690 2,0329 2,1749 2,5386 3,1076 3,8017 4,5045 5,1018 5,5029 5,6448 5,4973 5,0782 4,4624 3,7596 3,0580 2,3917 1,7675 1,1959 0,6937 0,2871 0,0161 -0,0749 0,0526 0,4234 1,0294 1,8207 2,7276 3,6811 4,6038 5,3837 5,8734 5,9505 5,6029 4,9474 4,1545 3,3601 2,6315 1,9852 1,4267 0,9735 0,6572 0,5115 0,5559 0,7885 1,1843 1,6843 2,2057 2,6950 3,1558 3,6095 4,0526 4,4602 4,8114 5,0965 5,3095 5,4464 5,4972 5,4358 5,2295 4,8629 4,3508 3,7406 3,1052 2,5175 2,0277 1,6678 1,4636 1,4188 1,4779 1,5344 1,5178 1,4798 1,5645 1,8880 2,4486 3,1280 3,7582 4,2087 4,4325 4,4439 4,2781 3,9879 3,6544 3,3646 3,1710 3,0767 3,0446 3,0201 2,9717 2,9091 2,8552 2,8177 2,7797 2,6866 2,4553 2,0360 1,4715 0,8909 0,4477 0,2447 0,2945 0,5397 0,9048 1,3263 1,7610 2,1882 2,6004 2,9929 3,3665 3,7295 4,1014 4,5226 5,0282 5,5944 6,1392 6,5890 6,9234 7,1575 7,3114 7,4047 7,4635 7,5202 7,6044 7,7438 7,9689 8,2986 8,7069 9,1173 9,4393 9,6069 9,5958 9,4242 9,1281 8,7334 8,2628 7,7453 7,2029 6,6552 6,1544 5,7828 5,5908 5,5353 5,4981 5,3861 5,2130 5,0756 5,0630 5,1917 5,4088 5,6409 5,8346 5,9529 5,9614 5,8438 5,6216 5,3512 5,1029 4,9338 4,8668 4,8820 4,9238 4,9281 4,8515 4,6682 4,3565 3,9194 3,4165 2,9433 2,5671 2,3010 2,1492 2,1458 2,3166 2,6286 3,0092 3,3870 3,6993 3,9027 4,0027 4,0517 4,1143 4,2447 4,4755 4,7838 5,0620 5,1391 4,8634 4,2145 3,3476 2,5220 1,9701 1,7923 1,9298 2,2176 2,4785 2,6025 2,5730 2,4447 2,3046 2,2257 2,2324 2,3174 2,4894 2,7749 3,1539 3,5236 3,7523 3,7576 3,5366 3,1461 2,6626 2,1549 1,6757 1,2603
