Fp1   1,3264 0,3140 -0,7301 -1,6724 -2,3898 -2,7330 -2,5460 -1,7590 -0,4680 1,0799 2,5856 3,7877 4,4838 4,5380 3,9438 2,8808 1,6716 0,6503 0,0302 -0,1543 -0,0127 0,2807 0,5547 0,6881 0,6265 0,3780 0,0105 -0,3663 -0,6763 -0,9512 -1,2901 -1,7253 -2,1586 -2,4355 -2,4527 -2,1955 -1,7140 -1,0928 -0,4370 0,1347 0,5046 0,5968 0,4246 0,1074 -0,1768 -0,2918 -0,2320 -0,1360 -0,2103 -0,5914 -1,2375 -1,9492 -2,5023 -2,7687 -2,7456 -2,5130 -2,1775 -1,8346 -1,5489 -1,3532 -1,2552 -1,2302 -1,2052 -1,0608 -0,6760 -0,0167 0,8011 1,5503 2,0129 2,0890 1,8296 1,3852 0,9082 0,4961 0,2189 0,1550 0,3396 0,6868 1,0222 1,2066 1,1933 0,9797 0,5715 0,0227 -0,5221 -0,8570 -0,7954 -0,2525 0,6987 1,8453 2,9325 3,7603 4,2142 4,2655 3,9827 3,5131 2,9969 2,4913 1,9951 1,5265 1,1539 0,9617 1,0071 1,2990 1,7809 2,3229 2,7478 2,8967 2,6867 2,1233 1,3009 0,4100 -0,3115 -0,6892 -0,6820 -0,3667 0,1119 0,5912 0,9435 1,1090 1,0797 0,8520 0,4173 -0,1958 -0,8904 -1,5179 -1,9293 -2,0446 -1,9046 -1,6402 -1,3848 -1,2129 -1,1256 -1,0612 -0,9320 -0,6823 -0,3190 0,1123 0,5628 0,9801 1,3064 1,5066 1,5807 1,5564 1,5057 1,5417 1,7471 2,1088 2,5378 2,9316 3,2031 3,3042 3,2692 3,1911 3,1139 2,9801 2,7005 2,2430 1,6576 1,0577 0,5735 0,2957 0,2518 0,4281 0,7853 1,2454 1,6975 2,0485 2,2734 2,4169 2,5600 2,7830 3,1200 3,5070 3,7932 3,8632 3,7620 3,6709 3,7653 4,1042 4,6128 5,1311 5,5009 5,6387 5,5531 5,3093 4,9667 4,5220 3,9193 3,1351 2,2526 1,4573 0,9601 0,9018 1,3086 2,1093 3,1466 4,1833 4,9768 5,3932 5,4462 5,2450 4,9230 4,5964 4,3372 4,1443 3,9436 3,6394 3,1702 2,5385 1,8370 1,2380 0,9125 0,9246 1,1957 1,5757 1,9562 2,3131 2,6549 2,9539 3,1354 3,1247 2,8908 2,4509 1,8660 1,2490 0,7405 0,4380 0,3483 0,4065 0,5246 0,6314 0,7198 0,8617 1,1302 1,5062 1,8860 2,1497 2,2074 2,0441 1,7518 1,4930 1,4023 1,4959 1,6726 1,8138 1,8788 1,9063 1,9486 2,0259 2,1353 2,2720 2,4303 2,6069 2,8177 3,0875 3,3899 3,6150 3,6219 3,3326 2,7829 2,0973 1,4208 0,8613 0,4800 0,3042 0,3190 0,4595 0,6419 0,7865 0,8194 0,7029 0,4864 0,3018 0,2772 0,4570 0,7992 1,2270 1,6708 2,0712 2,3650 2,4896 2,4095 2,1332 1,7075 1,2020 0,7002 0,2912 0,0463 -0,0004 0,1527 0,4773 0,9104 1,3803 1,8417 2,2520 2,5179 2,5084 2,1494 1,5019 0,7498 0,1181 -0,2154 -0,1747 0,1975 0,7579 1,3167 1,7137 1,8844 1,8850 1,8525 1,9194 2,1509 2,5402 3,0229 3,4869 3,8094 3,9225 3,8321 3,5656 3,1292 2,5503 1,9536 1,5697 1,6442 2,3050 3,4746 4,8970 6,2590 7,3110 7,9320 8,1356 8,0218 7,6930 7,1942 6,5287 5,7186 4,8226 3,9015 3,0049 2,2000 1,5808 1,2273 1,1598 1,3469 1,7423 2,2914 2,9135 3,5109 4,0066 4,3759 4,6482 4,8705 5,0502 5,1236 4,9730 4,4914 3,6690 2,6346 1,6076 0,7976 0,3410 0,2999 0,6735 1,3854 2,2780 3,1539 3,8475 4,2773 4,4429 4,3782 4,1214 3,7313 3,3018 2,9304 2,6784 2,5735 2,6214 2,7903 3,0104 3,2140 3,3757 3,5135 3,6641 3,8617 4,1289 4,4788 4,9053 5,3620 5,7667 6,0286 6,0647 5,8279 5,3494 4,7457 4,1754 3,7709 3,5811 3,5652 3,6381 3,7233 3,7853 3,8159 3,7999 3,7338 3,6838 3,7736 4,0941 4,6390 5,3097 5,9621 6,4699 6,7743 6,8822 6,8286 6,6444 6,3432 5,9354 5,4622 5,0064 4,6623 4,4957 4,5137 4,6507 4,7887 4,8120 4,6631 4,3781 4,0879 3,9618 4,1100 4,5311 5,1375 5,8047 6,4051 6,8335 7,0217 6,9456 6,6366 6,1768 5,6533 5,0955 4,4469 3,6213 2,6258 1,6297 0,9045 0,6875 1,0543 1,8818 2,9162 3,8752 4,5233 4,7189 4,4436 3,7979 2,9649 2,1577 1,5634 1,2925 1,3537 1,6764 2,1722 2,7845 3,4821 4,2232 4,9484 5,6011 6,1312 6,4887 6,6262 6,5108 6,1531 5,6504 5,1867 4,9442 4,9942 5,2810 5,6914 6,1145 6,4558 6,6347 6,5903 6,3131 5,8690 5,3883 5,0379 4,9757 5,2670 5,8134 6,3914 6,7771 6,8447 6,5904 6,1150 5,5729 5,0991 4,7621 4,5677 4,4734 4,3993 4,2615 4,0103 3,6435 3,1979 2,7402 2,3602 2,1516 2,1763 2,4255 2,8125 3,2152 3,5244 3,6656 3,6060 3,3537 2,9510 2,4686 1,9893 1,5764 1,2577 1,0376 0,9217 0,9178 0,9986 1,0747 1,0306 0,7956 0,3895 -0,0770 -0,4465 -0,5868 -0,4405 -0,0064 0,6886 1,5672 2,4981 3,3545 4,0556 4,5565 4,8383 4,9254 4,8844 4,7829 4,6653 4,5765 4,5762 4,7062 4,9568 5,2816 5,6355 5,9925 6,3381 6,6507 6,8859 6,9853 6,9170 6,7129 6,4491 6,1789 5,8988 5,6012 5,3289 5,1283 4,9785 4,8240 4,6590 4,5490 4,5829 4,8083 5,1831 5,5818 5,8648 5,9432 5,7805 5,3633 4,7013 3,8510 2,9065 1,9429 0,9780 0,0173 -0,8718 -1,5590 -1,9309 -1,9627 -1,7335 -1,3983 -1,1343 -1,0862 -1,3434 -1,9319 -2,7910 -3,7639 -4,6523 -5,3043 -5,6777 -5,8499 -5,9441 -6,0081
Fz    0,1206 0,0857 0,0645 0,1386 0,3443 0,6586 1,0032 1,2685 1,3666 1,2783 1,0553 0,7841 0,5424 0,3706 0,2706 0,2264 0,2250 0,2620 0,3232 0,3680 0,3464 0,2355 0,0519 -0,1597 -0,3388 -0,4242 -0,3859 -0,2490 -0,0791 0,0553 0,1108 0,0816 -0,0103 -0,1357 -0,2749 -0,4196 -0,5652 -0,7060 -0,8370 -0,9535 -1,0413 -1,0762 -1,0433 -0,9496 -0,8130 -0,6457 -0,4522 -0,2391 -0,0207 0,1817 0,3435 0,4375 0,4394 0,3454 0,1803 -0,0190 -0,2232 -0,4051 -0,5262 -0,5438 -0,4406 -0,2411 0,0120 0,2924 0,5945 0,9086 1,2024 1,4286 1,5581 1,6002 1,5937 1,5876 1,6252 1,7263 1,8760 2,0285 2,1153 2,0731 1,8890 1,6189 1,3616 1,2156 1,2420 1,4476 1,7938 2,2115 2,6206 2,9595 3,2046 3,3572 3,4183 3,3885 3,2813 3,1162 2,9003 2,6382 2,3563 2,1042 1,9303 1,8551 1,8642 1,9249 2,0078 2,0921 2,1655 2,2316 2,3041 2,3791 2,4179 2,3619 2,1668 1,8250 1,3644 0,8371 0,3056 -0,1731 -0,5612 -0,8488 -1,0551 -1,2142 -1,3554 -1,4940 -1,6315 -1,7554 -1,8466 -1,8950 -1,9014 -1,8681 -1,8042 -1,7277 -1,6494 -1,5637 -1,4622 -1,3467 -1,2326 -1,1439 -1,1000 -1,0917 -1,0678 -0,9548 -0,7036 -0,3229 0,1296 0,5829 0,9918 1,3496 1,6675 1,9481 2,1756 2,3201 2,3546 2,2775 2,1208 1,9357 1,7600 1,5889 1,3842 1,1182 0,7998 0,4643 0,1524 -0,0920 -0,2180 -0,1734 0,0759 0,5263 1,1281 1,8003 2,4647 3,0729 3,6106 4,0922 4,5485 4,9977 5,4166 5,7452 5,9299 5,9671 5,9023 5,7914 5,6813 5,6182 5,6395 5,7476 5,9153 6,1159 6,3348 6,5609 6,7807 6,9759 7,1185 7,1699 7,0904 6,8514 6,4491 5,9204 5,3496 4,8470 4,4986 4,3200 4,2588 4,2428 4,2283 4,2126 4,2136 4,2361 4,2564 4,2311 4,1212 3,9150 3,6399 3,3453 3,0681 2,8173 2,5834 2,3445 2,0735 1,7612 1,4312 1,1244 0,8773 0,7127 0,6358 0,6390 0,7199 0,8892 1,1491 1,4640 1,7610 1,9657 2,0401 1,9893 1,8454 1,6619 1,5171 1,4941 1,6340 1,9056 2,2214 2,4931 2,6788 2,7879 2,8582 2,9292 3,0179 3,1124 3,1939 3,2704 3,3827 3,5666 3,8131 4,0738 4,2961 4,4474 4,5168 4,5136 4,4652 4,4047 4,3452 4,2632 4,1150 3,8662 3,4978 2,9998 2,3861 1,7144 1,0687 0,5149 0,0784 -0,2471 -0,4793 -0,6245 -0,6750 -0,6286 -0,5042 -0,3300 -0,1184 0,1470 0,5063 0,9987 1,6218 2,3030 2,9131 3,3194 3,4432 3,2949 2,9630 2,5642 2,1890 1,8851 1,6759 1,5815 1,6145 1,7633 1,9871 2,2246 2,4107 2,5035 2,5073 2,4645 2,4203 2,3944 2,3758 2,3403 2,2776 2,2059 2,1599 2,1709 2,2542 2,4023 2,5864 2,7724 2,9374 3,0794 3,2196 3,4015 3,6742 4,0623 4,5468 5,0781 5,6123 6,1374 6,6635 7,1845 7,6545 8,0060 8,1912 8,2116 8,1199 7,9945 7,9038 7,8846 7,9432 8,0670 8,2323 8,4069 8,5557 8,6440 8,6263 8,4394 8,0287 7,3928 6,6008 5,7694 5,0222 4,4507 4,0862 3,8991 3,8289 3,8240 3,8540 3,8960 3,9216 3,9032 3,8352 3,7452 3,6754 3,6575 3,7076 3,8290 4,0033 4,1897 4,3471 4,4597 4,5446 4,6297 4,7242 4,8108 4,8680 4,8953 4,9156 4,9607 5,0581 5,2257 5,4642 5,7483 6,0343 6,2840 6,4817 6,6310 6,7497 6,8615 6,9780 7,0859 7,1580 7,1802 7,1739 7,1848 7,2473 7,3674 7,5323 7,7182 7,9017 8,0746 8,2408 8,3950 8,5088 8,5412 8,4610 8,2571 7,9404 7,5540 7,1660 6,8348 6,5831 6,4090 6,3039 6,2520 6,2252 6,1969 6,1675 6,1711 6,2491 6,4157 6,6452 6,8823 7,0659 7,1568 7,1582 7,1157 7,0901 7,1253 7,2364 7,4174 7,6562 7,9390 8,2332 8,4688 8,5593 8,4552 8,1732 7,7716 7,3105 6,8389 6,4110 6,0840 5,8844 5,7838 5,7159 5,6108 5,4239 5,1510 4,8266 4,5077 4,2620 4,1453 4,1635 4,2548 4,3204 4,2760 4,0904 3,7896 3,4281 3,0597 2,7316 2,4911 2,3773 2,3993 2,5339 2,7498 3,0273 3,3597 3,7508 4,2094 4,7320 5,2871 5,8157 6,2563 6,5792 6,7951 6,9285 6,9961 7,0142 7,0048 6,9911 6,9993 7,0638 7,2151 7,4635 7,7972 8,1923 8,6207 9,0566 9,4837 9,8955 10,2840 10,6290 10,9013 11,0753 11,1347 11,0718 10,8891 10,6026 10,2389 9,8267 9,3910 8,9510 8,5154 8,0821 7,6425 7,1846 6,6990 6,1918 5,6910 5,2359 4,8553 4,5472 4,2885 4,0648 3,8773 3,7187 3,5664 3,4046 3,2494 3,1443 3,1246 3,1843 3,2763 3,3444 3,3622 3,3442 3,3196 3,2956 3,2514 3,1616 3,0187 2,8333 2,6217 2,3977 2,1717 1,9513 1,7430 1,5568 1,4161 1,3603 1,4299 1,6433 1,9880 2,4374 2,9646 3,5370 4,1144 4,6688 5,2008 5,7247 6,2458 6,7609 7,2690 7,7715 8,2636 8,7283 9,1383 9,4767 9,7616 10,0447 10,3751 10,7521 11,1076 11,3400 11,3738 11,1974 10,8631 10,4599 10,0717 9,7503 9,5161 9,3703 9,2938 9,2402 9,1469 8,9638 8,6745 8,2940 7,8546 7,3902 6,9173 6,4184 5,8544 5,2047 4,4862 3,7266 2,9334 2,0896 1,1780 0,2191 -0,7128 -1,5220 -2,1415 -2,5587 -2,8137 -2,9842 -3,1561 -3,3872 -3,6810 -3,9872 -4,2284 -4,3377 -4,2952 -4,1340 -3,9161
F3    -1,6471 -1,2814 -0,9010 -0,4794 -0,0055 0,4897 0,9199 1,1636 1,1246 0,7940 0,2602 -0,3351 -0,8485 -1,1701 -1,2495 -1,1068 -0,8166 -0,4758 -0,1800 -0,0072 0,0053 -0,1199 -0,3152 -0,5005 -0,6027 -0,5641 -0,3592 -0,0104 0,4146 0,8276 1,1477 1,3137 1,2864 1,0580 0,6688 0,2026 -0,2391 -0,5734 -0,7631 -0,8120 -0,7375 -0,5574 -0,2978 0,0044 0,3110 0,5923 0,8322 1,0286 1,1897 1,3216 1,4100 1,4100 1,2646 0,9572 0,5492 0,1514 -0,1433 -0,2977 -0,3160 -0,2190 -0,0423 0,1646 0,3639 0,5472 0,7182 0,8725 1,0029 1,1110 1,2092 1,3138 1,4363 1,5810 1,7441 1,9087 2,0421 2,0962 2,0204 1,7965 1,4738 1,1576 0,9652 0,9841 1,2438 1,7066 2,2844 2,8656 3,3432 3,6462 3,7598 3,7132 3,5490 3,3151 3,0719 2,8789 2,7634 2,7193 2,7338 2,7960 2,8806 2,9403 2,9273 2,8266 2,6661 2,4908 2,3424 2,2631 2,2886 2,4114 2,5666 2,6673 2,6495 2,4823 2,1613 1,7107 1,1840 0,6421 0,1275 -0,3395 -0,7521 -1,1038 -1,3765 -1,5432 -1,5876 -1,5169 -1,3595 -1,1634 -0,9854 -0,8645 -0,8063 -0,7892 -0,7746 -0,7238 -0,6188 -0,4692 -0,3091 -0,1894 -0,1669 -0,2777 -0,4989 -0,7367 -0,8754 -0,8484 -0,6692 -0,4067 -0,1322 0,1224 0,3606 0,5892 0,7962 0,9548 1,0473 1,0809 1,0794 1,0644 1,0418 0,9954 0,8949 0,7189 0,4699 0,1713 -0,1452 -0,4420 -0,6706 -0,7747 -0,7072 -0,4449 0,0124 0,6427 1,3992 2,2135 3,0106 3,7298 4,3376 4,8254 5,2016 5,4801 5,6681 5,7637 5,7575 5,6416 5,4400 5,2326 5,1180 5,1518 5,3366 5,6520 6,0656 6,5300 6,9935 7,4049 7,7073 7,8452 7,7878 7,5388 7,1302 6,6207 6,0992 5,6712 5,4158 5,3422 5,3901 5,4779 5,5539 5,6049 5,6297 5,6192 5,5617 5,4459 5,2566 4,9868 4,6616 4,3326 4,0346 3,7621 3,4898 3,1960 2,8644 2,4906 2,0965 1,7267 1,4338 1,2624 1,2290 1,3139 1,4782 1,6789 1,8593 1,9475 1,8860 1,6698 1,3532 1,0171 0,7228 0,5047 0,3989 0,4483 0,6696 1,0307 1,4639 1,9019 2,3028 2,6450 2,9230 3,1515 3,3516 3,5206 3,6320 3,6748 3,6841 3,7179 3,8023 3,9101 3,9931 4,0212 3,9953 3,9410 3,8978 3,8984 3,9417 3,9834 3,9587 3,8182 3,5444 3,1416 2,6340 2,0750 1,5332 1,0582 0,6693 0,3697 0,1625 0,0594 0,0775 0,2149 0,4334 0,6808 0,9333 1,2123 1,5657 2,0340 2,6157 3,2452 3,8022 4,1596 4,2498 4,1050 3,8358 3,5586 3,3308 3,1474 2,9870 2,8470 2,7391 2,6701 2,6394 2,6454 2,6871 2,7643 2,8832 3,0517 3,2591 3,4596 3,5874 3,5966 3,4947 3,3403 3,2071 3,1470 3,1714 3,2521 3,3393 3,3899 3,3901 3,3608 3,3524 3,4271 3,6331 3,9829 4,4503 4,9833 5,5274 6,0423 6,4992 6,8651 7,0933 7,1409 7,0032 6,7284 6,4016 6,1122 5,9266 5,8731 5,9457 6,1201 6,3670 6,6544 6,9494 7,2116 7,3812 7,3875 7,1901 6,8160 6,3513 5,8993 5,5390 5,2998 5,1554 5,0470 4,9233 4,7688 4,5957 4,4192 4,2446 4,0799 3,9562 3,9252 4,0283 4,2682 4,6129 5,0116 5,4036 5,7292 5,9517 6,0726 6,1286 6,1633 6,1963 6,2174 6,2051 6,1519 6,0720 5,9867 5,9039 5,8208 5,7414 5,6778 5,6364 5,6235 5,6591 5,7717 5,9795 6,2776 6,6301 6,9710 7,2261 7,3478 7,3429 7,2679 7,1975 7,1970 7,3031 7,5062 7,7573 8,0034 8,2106 8,3542 8,4005 8,3126 8,0780 7,7247 7,3126 6,9198 6,6228 6,4705 6,4664 6,5742 6,7389 6,9015 7,0065 7,0176 6,9480 6,8705 6,8797 7,0291 7,2928 7,5822 7,8034 7,9073 7,9060 7,8596 7,8344 7,8605 7,9277 8,0162 8,1288 8,2902 8,5059 8,7209 8,8390 8,7940 8,5930 8,2939 7,9546 7,6177 7,3268 7,1263 7,0355 7,0370 7,0874 7,1281 7,1077 7,0169 6,8992 6,8224 6,8366 6,9359 7,0412 7,0278 6,7898 6,2941 5,5971 4,8220 4,1104 3,5768 3,2876 3,2611 3,4709 3,8523 4,3233 4,8156 5,2886 5,7180 6,0864 6,3927 6,6576 6,9067 7,1374 7,3138 7,4095 7,4465 7,4756 7,5380 7,6503 7,7964 7,9273 7,9937 7,9851 7,9312 7,8780 7,8770 7,9827 8,2344 8,6362 9,1533 9,7165 10,2313 10,6080 10,7998 10,8158 10,6998 10,5038 10,2806 10,0818 9,9453 9,8762 9,8403 9,7727 9,6017 9,2778 8,7896 8,1571 7,4202 6,6331 5,8577 5,1517 4,5505 4,0497 3,6176 3,2364 2,9208 2,6908 2,5433 2,4566 2,4148 2,4223 2,4892 2,6078 2,7478 2,8736 2,9724 3,0670 3,1896 3,3404 3,4816 3,5696 3,5816 3,5168 3,3859 3,2001 2,9606 2,6633 2,3184 1,9655 1,6728 1,5144 1,5395 1,7522 2,1183 2,5931 3,1374 3,7115 4,2792 4,8283 5,3781 5,9602 6,5950 7,2827 7,9990 8,6932 9,2971 9,7455 10,0007 10,0768 10,0477 10,0215 10,0929 10,2970 10,5897 10,8789 11,0839 11,1689 11,1409 11,0324 10,8839 10,7279 10,5782 10,4251 10,2384 9,9735 9,5861 9,0603 8,4251 7,7442 7,0921 6,5296 6,0848 5,7440 5,4619 5,1873 4,8807 4,5093 4,0383 3,4370 2,6991 1,8604 0,9933 0,1731 -0,5482 -1,1427 -1,6060 -1,9614 -2,2536 -2,5303 -2,8231 -3,1332 -3,4223 -3,6221 -3,6709 -3,5507 -3,2983
F7    -1,9902 -1,9966 -1,8729 -1,5791 -1,1492 -0,6720 -0,2518 0,0315 0,1627 0,2044 0,2498 0,3507 0,4966 0,6514 0,7820 0,8592 0,8583 0,7744 0,6260 0,4364 0,2199 -0,0073 -0,2204 -0,3980 -0,5178 -0,5497 -0,4959 -0,4225 -0,4063 -0,4520 -0,4885 -0,4392 -0,2777 -0,0247 0,2800 0,5842 0,8205 0,9292 0,8930 0,7542 0,6067 0,5463 0,5911 0,6548 0,6225 0,4535 0,2052 -0,0225 -0,1667 -0,2436 -0,3067 -0,3702 -0,3882 -0,3019 -0,1075 0,1261 0,3198 0,4469 0,5306 0,6166 0,7572 0,9944 1,3425 1,7767 2,2311 2,6150 2,8414 2,8593 2,6808 2,3726 2,0106 1,6567 1,3761 1,2344 1,2552 1,3973 1,5853 1,7504 1,8423 1,8305 1,7251 1,5857 1,4953 1,5207 1,6778 1,9111 2,1202 2,2297 2,2400 2,2148 2,2239 2,2971 2,4155 2,5220 2,5411 2,4171 2,1647 1,8956 1,7775 1,9380 2,3814 2,9770 3,5344 3,9043 4,0163 3,8570 3,4475 2,8371 2,0921 1,2814 0,4750 -0,2489 -0,8153 -1,1837 -1,3623 -1,3804 -1,2531 -0,9792 -0,5727 -0,0944 0,3494 0,6493 0,7448 0,6417 0,3864 0,0347 -0,3613 -0,7590 -1,1395 -1,5138 -1,9009 -2,2932 -2,6524 -2,9338 -3,1001 -3,1026 -2,8740 -2,3738 -1,6394 -0,7873 0,0273 0,6679 1,0715 1,2667 1,3406 1,3818 1,4472 1,5607 1,7157 1,8727 1,9652 1,9183 1,6694 1,1922 0,5244 -0,2226 -0,8991 -1,3787 -1,6056 -1,6045 -1,4436 -1,1735 -0,8047 -0,3408 0,1900 0,7367 1,2331 1,6059 1,8045 1,8349 1,7729 1,7387 1,8370 2,0990 2,4706 2,8522 3,1665 3,4169 3,6859 4,0644 4,5629 5,0862 5,4940 5,6829 5,6249 5,3646 5,0026 4,6698 4,4808 4,4843 4,6393 4,8283 4,9101 4,7913 4,4717 4,0416 3,6408 3,3911 3,3295 3,3920 3,4732 3,5017 3,4669 3,4095 3,4034 3,5183 3,7657 4,0824 4,3775 4,5868 4,6776 4,6399 4,4950 4,2981 4,1145 3,9800 3,8863 3,8031 3,6929 3,5050 3,1865 2,7121 2,1015 1,4169 0,7514 0,1967 -0,1922 -0,4009 -0,4399 -0,3461 -0,1838 -0,0160 0,1248 0,2406 0,3670 0,5597 0,8421 1,1527 1,3755 1,4398 1,3782 1,2892 1,2668 1,3620 1,5744 1,8625 2,1730 2,4725 2,7518 3,0038 3,2057 3,3219 3,3182 3,1766 2,9009 2,5178 2,0828 1,6935 1,4720 1,4997 1,7487 2,0761 2,2934 2,2634 1,9626 1,4770 0,9439 0,4836 0,1591 -0,0279 -0,1061 -0,0879 0,0408 0,2870 0,6268 1,0100 1,3734 1,6570 1,8205 1,8556 1,7948 1,7062 1,6639 1,7131 1,8461 2,0014 2,1006 2,0978 2,0018 1,8683 1,7785 1,8118 2,0068 2,3300 2,6821 2,9470 3,0490 2,9826 2,7936 2,5307 2,2218 1,8912 1,5727 1,2993 1,0933 0,9608 0,8931 0,8845 0,9445 1,0802 1,2872 1,5673 1,9370 2,3876 2,8441 3,1956 3,3664 3,3489 3,1843 2,9411 2,7091 2,5808 2,6173 2,8245 3,1562 3,5443 3,9255 4,2452 4,4699 4,6050 4,6785 4,7156 4,7347 4,7424 4,7168 4,6126 4,3954 4,0779 3,7289 3,4388 3,2596 3,1735 3,1213 3,0512 2,9456 2,8349 2,7892 2,8625 3,0352 3,2304 3,3883 3,5094 3,6281 3,7579 3,8719 3,9307 3,9154 3,8409 3,7495 3,6869 3,6707 3,6702 3,6159 3,4394 3,1184 2,6905 2,2400 1,8682 1,6544 1,6220 1,7346 1,9373 2,2085 2,5582 2,9836 3,4508 3,9223 4,3775 4,7877 5,0930 5,2272 5,1522 4,8687 4,4188 3,8921 3,4148 3,1031 3,0039 3,0726 3,2088 3,3114 3,3183 3,2330 3,1306 3,1167 3,2676 3,6041 4,1030 4,7167 5,3743 5,9704 6,3809 6,5158 6,3651 6,0005 5,5349 5,0769 4,7079 4,4770 4,4009 4,4656 4,6280 4,8231 4,9960 5,1419 5,3090 5,5575 5,9028 6,2774 6,5488 6,5942 6,3695 5,9241 5,3782 4,8815 4,5615 4,4713 4,5739 4,7875 5,0527 5,3548 5,6961 6,0629 6,4088 6,6598 6,7450 6,6347 6,3404 5,8959 5,3559 4,7964 4,2919 3,8841 3,5712 3,3295 3,1491 3,0481 3,0551 3,1848 3,4294 3,7618 4,1396 4,5031 4,7891 4,9605 5,0168 4,9684 4,8161 4,5638 4,2462 3,9374 3,7310 3,7072 3,8968 4,2607 4,7073 5,1355 5,4713 5,6713 5,7056 5,5703 5,3217 5,0639 4,8885 4,8369 4,9188 5,1444 5,5137 5,9835 6,4698 6,8875 7,1852 7,3530 7,4118 7,4039 7,3822 7,3792 7,3847 7,3763 7,3540 7,3159 7,2149 6,9747 6,5493 5,9637 5,3065 4,6935 4,2252 3,9522 3,8511 3,8337 3,8035 3,7272 3,6455 3,6145 3,6448 3,6876 3,6659 3,5241 3,2499 2,8580 2,3751 1,8540 1,3818 1,0445 0,8747 0,8359 0,8484 0,8300 0,7209 0,5035 0,2164 -0,0781 -0,3528 -0,6167 -0,8677 -1,0781 -1,2178 -1,2640 -1,2097 -1,0810 -0,9285 -0,7919 -0,6715 -0,5224 -0,2665 0,1682 0,7838 1,4928 2,1799 2,7633 3,2032 3,4993 3,6891 3,8165 3,8984 3,9354 3,9567 4,0368 4,2595 4,6690 5,2544 5,9596 6,6992 7,3793 7,9260 8,3053 8,5203 8,5935 8,5380 8,3392 7,9732 7,4494 6,8408 6,2755 5,8863 5,7475 5,8416 6,0736 6,3179 6,4633 6,4239 6,1372 5,5898 4,8554 4,0769 3,3744 2,7745 2,2373 1,7276 1,2440 0,7914 0,3408 -0,1688 -0,7705 -1,4115 -1,9658 -2,3171 -2,4403 -2,4065 -2,3172 -2,2487 -2,2458 -2,3361 -2,5342 -2,8244 -3,1513 -3,4427 -3,6484 -3,7642
